[00:00.000 --> 00:29.000]  When I grow up, I want to be around you guys!
[30:28.000 --> 30:33.000]  And we also have an everyday extremely affordable fluorolive everyday maintenance.
[30:33.000 --> 30:43.000]  But all of these are the very cutting-edge, top-of-the-line probiotics and digestive enzymes at an extremely affordable price.
[30:43.000 --> 30:49.000]  That is my goal here, is to bring you the very best at the lowest price.
[30:49.000 --> 30:58.000]  When you purchase it at mpoorstore.com, you know you are also financing the attack on the globalist and the defense of our republic and freedom worldwide.
[30:58.000 --> 31:09.000]  We've taken thousands of years of known research and put it together with our own four years of seeking and testing to find the very best systems that God gave us through Mother Nature to detoxify the body.
[31:09.000 --> 31:14.000]  That's why I'm introducing ZShield, Toxic Metal and Chemical Defense Support.
[31:14.000 --> 31:22.000]  It's made in the USA. It's filled with known compounds from nature that are absolutely associated with detoxifying the body and it supports the mpoor.
[31:22.000 --> 31:28.000]  It is a classical 360 win. This is the formula that I personally have been taking for over a year.
[31:28.000 --> 31:34.000]  And now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[31:34.000 --> 31:44.000]  You owe it to yourself, you owe it to your family and you owe it to the future of this country and the world that patriots stay as healthy and as clean and as focused as you can be.
[31:44.000 --> 31:51.000]  Because we need you, the remnant of America, to reignite those brush fires the next level and to be healthy and as focused as you can be.
[31:51.000 --> 31:54.000]  Thanks to your support and your prayers together, we're changing the world.
[31:54.000 --> 32:05.000]  Now it's time to change our bodies with ZShield and mpoorslife.com.
[32:25.000 --> 32:35.000]  This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[32:35.000 --> 32:42.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[32:42.000 --> 32:46.000]  Drop by the site today, order a bag or two and I don't think you're going to be disappointed.
[32:46.000 --> 32:50.000]  Available in original or with our immune support infusion blend.
[32:50.000 --> 33:02.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee available at infowarslife.com.
[33:02.000 --> 33:10.000]  You're listening to the Alex Jones show.
[33:10.000 --> 33:22.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[33:22.000 --> 33:27.000]  Listen, I've rattled off a lot of statistics, a lot of facts, probably giving some people headaches.
[33:27.000 --> 33:29.000]  I'm going to go over more of it here in a moment.
[33:29.000 --> 33:32.000]  Who gives me a headache?
[33:32.000 --> 33:36.000]  I know why Trump hit Syria.
[33:36.000 --> 33:41.000]  I studied Trump enough to know his calculus. He is a nationalist. He is a patriot.
[33:41.000 --> 33:45.000]  He believes the U.S. should control its own sovereignty.
[33:45.000 --> 33:49.000]  But that doesn't mean he won't use the globalist infrastructure to carry out operations.
[33:49.000 --> 33:56.000]  He thinks are for the greater good of the United States and the planet.
[33:56.000 --> 34:01.000]  And I disagree with the president's calculus.
[34:01.000 --> 34:06.000]  Now, a lot of people would say, tune in next segment and I'll tell you.
[34:06.000 --> 34:14.000]  But I've laid out a lot of questions here because I want to get people thinking, but I know why this happened.
[34:14.000 --> 34:18.000]  I don't just know this from my sources or my research.
[34:18.000 --> 34:27.000]  I know it from watching what happened with Trump last year and watching everything else he does, how he creates uncertainty.
[34:27.000 --> 34:34.000]  How he creates concern, mystique.
[34:34.000 --> 34:53.000]  One year ago, almost to the day, he struck with 59 cruise missiles, a Russian air base in Syria with no evidence that they'd launched a chemical attack.
[34:53.000 --> 35:00.000]  And then I said, this is about getting North Korea to the negotiating table.
[35:00.000 --> 35:03.000]  Well, it brought North Korea to the negotiating table.
[35:03.000 --> 35:10.000]  And now I told you two months ago before it was even announced that North Korea had already agreed to the basic terms of denuclearization
[35:10.000 --> 35:14.000]  and a unification with South Korea within a decade and that he would be meeting with Trump.
[35:14.000 --> 35:16.000]  I got that from high-level sources.
[35:16.000 --> 35:21.000]  And over a month later, word for word, what I told you came out.
[35:21.000 --> 35:26.000]  Now, this information I don't just get from sources because they're not even exactly sure what's going on.
[35:26.000 --> 35:36.000]  But I know this is about total uncertainty to Russia, total uncertainty to Syria, but more importantly to China and North Korea
[35:36.000 --> 35:39.000]  to have matters come out and say, we don't have any evidence.
[35:39.000 --> 35:43.000]  It'll take weeks to find out who's behind it.
[35:43.000 --> 35:51.000]  Dad Pompeo just said we killed a bunch of Russians last week very, very cryptically to put out mixed messages when other governments don't do this.
[35:51.000 --> 35:55.000]  People call this bad coordination.
[35:55.000 --> 35:57.000]  No, Trump's bringing the economy back.
[35:57.000 --> 35:58.000]  Trump's broken the globalist.
[35:58.000 --> 36:01.000]  He's outsmarted a bunch of different groups.
[36:01.000 --> 36:04.000]  But I don't think you can do this with nuclear war and nuclear powers.
[36:04.000 --> 36:06.000]  I think at this point, it becomes too dangerous.
[36:06.000 --> 36:10.000]  And I disagree with the president, though respectfully.
[36:10.000 --> 36:15.000]  So you got mad at saying we're not going to strike.
[36:15.000 --> 36:18.000]  Trump knows full well that it's the rebels doing it.
[36:18.000 --> 36:26.000]  Trump announced a week and a half ago that he was going to pull out the next month and this attack happens.
[36:26.000 --> 36:30.000]  Now, I know for a fact, Trump blocked McMaster for a year wanting to take out Assad.
[36:30.000 --> 36:33.000]  And Trump told me they weren't planning to take out Assad.
[36:33.000 --> 36:38.000]  And Trump then later days after I told you that was in Bloomberg that he'd said no boots on the ground.
[36:38.000 --> 36:41.000]  So there is a very sophisticated calculus going on here.
[36:41.000 --> 36:42.000]  And it's for Russia.
[36:42.000 --> 36:44.000]  It's for Iran.
[36:44.000 --> 36:45.000]  It's for Syria.
[36:45.000 --> 36:55.000]  But it's really for China and North Korea to think, wow, General Mattis said they weren't going to strike.
[36:55.000 --> 36:57.000]  And then hours later they do.
[36:57.000 --> 37:05.000]  That means the president isn't listening to anybody.
[37:05.000 --> 37:07.000]  So that's what's going on.
[37:07.000 --> 37:13.000]  But here's the deal, even if it makes China and other set up and pay attention to make North Korea roll over,
[37:13.000 --> 37:16.000]  you don't blame Assad and their regime.
[37:16.000 --> 37:19.000]  It's fought so hard against Al Qaeda and ISIS and radical Jihad.
[37:19.000 --> 37:25.000]  And it's a doorway to Europe when they have all those other enemies who are trying to bring down Syria,
[37:25.000 --> 37:28.000]  who are Israel and I'm not Israel's enemy, but they are.
[37:28.000 --> 37:38.000]  It was Syria going back to Assad's dad and you've got Turkey that's out of control and air the gun pressuring us to do this.
[37:38.000 --> 37:40.000]  This is all about Trump having cake and eating it too.
[37:40.000 --> 37:42.000]  Okay, we'll hit some limited stuff.
[37:42.000 --> 37:44.000]  We'll tell the Russians where we're going to hit.
[37:44.000 --> 37:45.000]  They'll pull out days before.
[37:45.000 --> 37:46.000]  They'll have a bunch of rhetoric.
[37:46.000 --> 37:47.000]  We'll have a bunch of rhetoric.
[37:47.000 --> 37:51.000]  They'll put Iran on notice.
[37:51.000 --> 37:55.000]  It'll put North Korea on notice and they'll roll over harder.
[37:55.000 --> 37:57.000]  But you've got a tiger by the tail there.
[37:57.000 --> 37:59.000]  You're playing with fire.
[37:59.000 --> 38:03.000]  And you're allowing Al Qaeda and ISIS to reconstitute.
[38:03.000 --> 38:08.000]  Trump says they're smashing them, but the truth, our military has taken them, rebranded them,
[38:08.000 --> 38:13.000]  and is getting them ready right there on the Iraq-Syrian border to start this whole thing over again.
[38:13.000 --> 38:15.000]  And you can think, well, maybe Trump doesn't know.
[38:15.000 --> 38:18.000]  Well, there's a lot of people in the government who don't let the president know what's going on.
[38:18.000 --> 38:20.000]  I got like 80-something employees.
[38:20.000 --> 38:22.000]  I can't keep track of it.
[38:22.000 --> 38:34.000]  But still, at a rhetorical level and at a iconography, optics, visual level,
[38:34.000 --> 38:39.000]  this is a major ideological betrayal on something Trump knows completely.
[38:39.000 --> 38:42.000]  If he'd have been a little sideways on Syria, I still would have voted for him,
[38:42.000 --> 38:45.000]  but that he was so hardcore and understood what was happening
[38:45.000 --> 38:47.000]  and knew the globalists had created Al Qaeda and ISIS
[38:47.000 --> 38:49.000]  and were destabilizing the border with Europe.
[38:49.000 --> 38:55.000]  And if he hadn't put out hundreds of tweets detailing it all, I wouldn't be so upset right now.
[38:55.000 --> 38:58.000]  We're going to open the phones up coming up, and you can agree with me.
[38:58.000 --> 39:04.000]  You can disagree.
[39:04.000 --> 39:08.000]  But I'd say 80% of people who are conservatives, Christians, or libertarians
[39:08.000 --> 39:12.000]  agree with me on YouTube, Facebook, Twitter, M4s.com.
[39:12.000 --> 39:15.000]  20% don't, but man, out of liberals, they're just like,
[39:15.000 --> 39:21.000]  let's kill Assad, you traitor Jones, let's kill Putin, let's have war,
[39:21.000 --> 39:23.000]  and they are just fruit loop land.
[39:23.000 --> 39:33.000]  And how did it become that where Alex Jones, Tucker Carlson, Laura Ingram was President Trump,
[39:33.000 --> 39:37.000]  but now I guess he's not on that team.
[39:37.000 --> 39:46.000]  And then we just go with no evidence that Assad did this, worse than the stuff in Iraq.
[39:46.000 --> 39:52.000]  At least Powell showed fake trucks and anthrax in his hand and all this other stuff.
[39:52.000 --> 39:55.000]  The British trucks, they should have been sold to him in the 80s to fight the Iran-Iraq war.
[39:55.000 --> 40:00.000]  They were hydrogen balloons tethered to a truck, so you'd have cameras on it directing artillery.
[40:00.000 --> 40:02.000]  They said that was an anthrax machine.
[40:02.000 --> 40:06.000]  It was all lies.
[40:06.000 --> 40:15.000]  So, I'm very decisive when it comes to issues.
[40:15.000 --> 40:18.000]  Second Amendment, property rights, Christianity, you name it.
[40:18.000 --> 40:20.000]  But when it comes to this, I get the world's a mess.
[40:20.000 --> 40:22.000]  I get there's different powers.
[40:22.000 --> 40:24.000]  I get there's different structures.
[40:24.000 --> 40:27.000]  It's geopolitical.
[40:27.000 --> 40:30.000]  And I'm glad Trump's getting Saudi Arabia to stop funding the globalists
[40:30.000 --> 40:33.000]  and getting them to stop funding jihadis, they claim.
[40:33.000 --> 40:37.000]  This is really about putting Saudi Arabia in charge in Syria.
[40:37.000 --> 40:46.000]  And it's a fundamental off-the-rails change from what the president said he was going to do.
[40:46.000 --> 40:49.000]  And we're allying with bad people.
[40:49.000 --> 40:52.000]  Even if it sends a message to North Korea, I get all that.
[40:52.000 --> 40:54.000]  You know, people out there that look at the geopolitics, they go,
[40:54.000 --> 40:59.000]  Jones, you just don't get the larger ramifications of the region and what the message it sends.
[40:59.000 --> 41:00.000]  No, I get it all.
[41:00.000 --> 41:05.000]  The world's complex and out of control because we've got Machiavellians playing games.
[41:05.000 --> 41:11.000]  If you deal from a directness, chivalry, strength, honor, courage, will,
[41:11.000 --> 41:14.000]  historically, that's what creates civilization.
[41:14.000 --> 41:19.000]  All of this backstabbing and sneaking around and double dealing and duplicitous stuff
[41:19.000 --> 41:23.000]  is what you get out of imbred mentally ill populations.
[41:23.000 --> 41:30.000]  And I'm sad for Islamic nations from Indonesia to Iraq to Pakistan.
[41:30.000 --> 41:40.000]  Muslims are a billion, 300 million people, but they account every year for one half of the deformities in the world.
[41:40.000 --> 41:43.000]  Pakistanis are less than 1% of the British population.
[41:43.000 --> 41:49.000]  They're 36%, 37% of the deformities because they marry their sisters and cousins and all the rest of it.
[41:49.000 --> 41:50.000]  And I want them to stop that.
[41:50.000 --> 41:53.000]  It's like the British royalty stop doing it.
[41:53.000 --> 42:00.000]  But this is a lot of mental illness and you've got the Islamic view, the Arab view of the enemy of my enemies, my friend.
[42:00.000 --> 42:07.000]  This is all mental illness and it's never going to stop and it's never going to go away until people stop inbreeding.
[42:07.000 --> 42:15.000]  We have to wall it all off like you wall off rattlesnakes and not try to tame the rattlesnakes and not try to do all this.
[42:15.000 --> 42:24.000]  I mean, look, taking down Assad is the globalist UN plan to open the border up to Europe to make a major Islamic corridor through Turkey, which Turkey wants.
[42:24.000 --> 42:26.000]  Turkey wants to project Islamic power into Europe.
[42:26.000 --> 42:28.000]  They have Turkish parties in every area of Europe.
[42:28.000 --> 42:31.000]  They're already threatening to quote last year, burn down Europe.
[42:31.000 --> 42:40.000]  They don't let Erdogan be politically involved to have parliamentary control in many of these countries where there's only one or 2% difference in the parties.
[42:40.000 --> 42:46.000]  This is an Islamic UN globalist takeover, allied with the whole Hollywood system.
[42:46.000 --> 42:56.000]  And Trump is now going to help blow the doors of Europe off to bring down Assad and mark my words, have tens of millions more military aged men pour into Europe.
[42:56.000 --> 43:11.000]  Video clips of your calls coming up.
[43:26.000 --> 43:28.000]  And the outlets issued a correction.
[43:28.000 --> 43:31.000]  Noting the subpoenas were for bank records of Trump associates.
[43:31.000 --> 43:39.000]  This week, the president tweeted, if I wanted to fire Robert Mueller in December as reported by the failing New York Times, I would have fired him.
[43:39.000 --> 43:42.000]  Just more fake news from a biased newspaper.
[43:42.000 --> 43:47.000]  And this isn't the first time that the New York Times has reported that the president considered firing Mueller.
[43:47.000 --> 43:57.000]  The New York Times reported that the president demanded White House counsel Don McGahn fire Mueller in June 2017, but Trump backed down after McGahn threatened to resign.
[43:57.000 --> 44:18.000]  I want to plow into all of this, that I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts or water filtration systems or books or videos or other material from infowarstore.com, you are funding the revolution.
[44:18.000 --> 44:31.000]  I mean, I cannot say it any clearer. And so it is essential that you purchase the products at infowarstore.com. I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high quality atomic iodine.
[44:31.000 --> 44:39.000]  And you cannot beat that for children and adults. We've got the best mouthwash designed by Dr. Jones. That's my dad with colloidal silver and iodine as well.
[44:39.000 --> 44:51.000]  That's infowarslife.com or AAA-253-3139. And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[44:51.000 --> 45:10.000]  And that's who they are, and they know we know who they are, and they're coming back against us so we need your support.
[45:21.000 --> 45:28.000]  And it is perfect for freeze-drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[45:28.000 --> 45:38.000]  Woo, that's what I'm talking about. And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[45:38.000 --> 45:47.000]  Harvest right-freeze dryers retain 97% of the food's taste, color, and nutritional value and have a shelf life of up to 25 years.
[45:47.000 --> 45:55.000]  Now that's what I call the miracle of food preservation. Harvest right is truly the world's best, most affordable freeze-dryer.
[45:55.000 --> 45:59.000]  So what are you waiting for? Check it out right now at infowarsstore.com.
[45:59.000 --> 46:05.000]  InfoWarslife Brainforce Plus is our number one selling product by leaps and bounds, and for a good reason.
[46:05.000 --> 46:14.000]  Going back about five years ago, we did research on what top-selling new tropics were, what were most popular, what were best, what people liked, and we made it even stronger.
[46:14.000 --> 46:23.000]  When we cut the price, because leading competitors have five to seven times markup, we only have 150%, and then it helps funder operation.
[46:23.000 --> 46:34.000]  Well, now it's 50% off. That means we've got a 25% markup, and we've got it paired with the real red pill that takes about seven days to kick in.
[46:34.000 --> 46:39.000]  Brainforce takes about 30 minutes, but the two go together. It's the mind and body challenge.
[46:39.000 --> 46:48.000]  They're both 50% off individually or together they're 50% off and free shipping with the combo at infowarslife.com.
[46:48.000 --> 46:53.000]  But it's got to end in a couple days because both of these best sellers are about to sell out.
[46:53.000 --> 47:10.000]  InfoWarslife.com to get your Brainforce Plus and real red pill today.
[47:10.000 --> 47:19.000]  From the front lines of the Information War, it's Alex Jones.
[47:19.000 --> 47:25.000]  All right, it's the live Global Sunday edition. The second hour is coming up. I'm going to have Nigel Farage on.
[47:25.000 --> 47:28.000]  I'm going to air some excerpts of when he joined us last Thursday.
[47:28.000 --> 47:33.000]  Really one of the biggest patriots leading folks out of globalism, promoting nationalism, free market.
[47:33.000 --> 47:37.000]  We're going to air some of that clip coming up in the last segment of the transmission.
[47:37.000 --> 47:51.000]  We're going to have the phones open in the next hour. The toll-free number to join us is 877-789-ALAX, 877-789-2539, specifically on Trump and the change in Syria policy.
[47:51.000 --> 47:57.000]  Just saying they know that Assad did it with no evidence when the rebels had been caught.
[47:57.000 --> 48:06.000]  The Russians came out on April 18th, said U.S. training militants for false flag chemical attack at bases so that you have an excuse for air strikes.
[48:06.000 --> 48:11.000]  That's March 17th. Excuse me. One of the other articles is March 18th.
[48:11.000 --> 48:21.000]  Here's another one. Syrian Eastern militants prepared chemical attack provocation. Russia Ministry of Defense tipped off.
[48:21.000 --> 48:30.000]  So again, my friends, it is crazy that this is all out there and we're not supposed to look at it.
[48:30.000 --> 48:37.000]  And then it's Alex Jones, Laura Ingram, Tucker Carlson pointing all this out.
[48:37.000 --> 48:50.000]  Think about that. Now, remember Wesley Clark. He was the head of NATO, the number two of NATO, but the head of operations.
[48:50.000 --> 49:02.000]  He was under what? General Jackson. And they got ordered by Obama's predecessor, Bill Clinton, to launch a nuclear attack on Pristina and the Russians.
[49:02.000 --> 49:09.000]  When the Russians came into Pristina Airport in Kosovo, was being overrun by a million Muslims, and he was ordered to nuke them.
[49:09.000 --> 49:13.000]  And so was General Jackson, and they said no.
[49:13.000 --> 49:19.000]  And that's because Wesley Clark is a globalist and is a liberal, but he's not insane.
[49:19.000 --> 49:35.000]  So he got relieved from command after that because they didn't follow the order to, you know, this is famous to nuke Russians at the Pristina Air Base in Serbia, being overrun by Muslims.
[49:35.000 --> 49:40.000]  And of course, those Russians had a bunch of weapons caches there.
[49:40.000 --> 49:49.000]  And remember, Clinton was bombing Belgrade with depleted uranium. You talk about chemical warfare, you talk about radiological warfare.
[49:49.000 --> 50:00.000]  And so a few years after he's out of command, he's at the Pentagon, this is 10 years ago, and they've got a plan to hit seven countries.
[50:00.000 --> 50:04.000]  And these are countries they want to destabilize, overthrow, and make more radical.
[50:04.000 --> 50:10.000]  He's bipartisan, whether it's Bill Clinton or George W. Bush or Barack Obama. It's been the same policy.
[50:10.000 --> 50:15.000]  That's all this is. There's WikiLeaks on how they're trying to get Trump to attack Syria and overthrow Assad.
[50:15.000 --> 50:21.000]  That's a fact. It's when they play dumb and act like that's not what they're trying to walk us into. It's a fraud.
[50:21.000 --> 50:26.000]  But see, Clark's already experienced getting the order to nuke the Russians.
[50:26.000 --> 50:31.000]  And you can look it up at the time. He called up General Jackson. Guys, you can search this.
[50:31.000 --> 50:38.000]  General Jackson, head of NATO, refused attack on Russians and Pristina.
[50:38.000 --> 50:45.000]  And they're like, it's their base. They built it. We're not going to bomb them. It would have gone to nuclear war like that.
[50:45.000 --> 50:49.000]  But that's the type of crazy town we're dealing with here.
[50:49.000 --> 50:55.000]  In every case, whether it was the Clintons then or now, it's for the Muslims because the globalists see the demographics.
[50:55.000 --> 50:59.000]  Europe's dying. The U.S. is dying. The Muslims are having six kids on average.
[50:59.000 --> 51:02.000]  They're going to be three billion of them by the end of the next decade.
[51:02.000 --> 51:10.000]  They are the future, not even the Chinese. The decision has been made.
[51:10.000 --> 51:17.000]  And the non-radical Muslims, they've all got to die to make room for the new global caliphate that's going to merge into this whole system.
[51:17.000 --> 51:23.000]  It's incredible. It's the plan. It's here. So let's go to Wesley Clark. Here it is.
[51:23.000 --> 51:30.000]  About ten days after 9-11, I went through the Pentagon and I saw Secretary Rumsfeld and Deputy Secretary Wolfowitz.
[51:30.000 --> 51:35.000]  I went downstairs just to say hello to some of the people on the joint staff who used to work for me.
[51:35.000 --> 51:40.000]  And one of the generals called me and he said, sir, you got to come in and talk to me a second.
[51:40.000 --> 51:47.000]  I said, well, you're too busy. He said, no, no. He says, we've made the decision. We're going to war with Iraq.
[51:47.000 --> 51:53.000]  This was on or about the 20th of September. I said, we're going to war with Iraq. Why?
[51:53.000 --> 52:00.000]  He said, I don't know. He said, I guess they don't know what else to do.
[52:00.000 --> 52:05.000]  So I said, well, did they find some information to collect connecting Saddam to al-Qaeda?
[52:05.000 --> 52:12.000]  He said, no, no. He says, there's nothing new that way. They've just made the decision to go to war with Iraq.
[52:12.000 --> 52:19.000]  He said, I guess it's like we don't know what to do about terrorists, but we've got a good military and we can take down governments.
[52:19.000 --> 52:26.000]  And he said, I guess if the only two you have is a hammer, every problem has to look like a nail.
[52:26.000 --> 52:32.000]  So I came back to see him a few weeks later and by that time we were bombing in Afghanistan.
[52:32.000 --> 52:35.000]  I said, are we still going to war with Iraq? And he said, oh, it's worse than that.
[52:35.000 --> 52:38.000]  He said he reached over on his desk. He picked up a piece of paper.
[52:38.000 --> 52:43.000]  He said, I just, he said, I just got this down from upstairs meeting the Secretary of Defense's office today.
[52:43.000 --> 52:56.000]  And he said, this is a memo that describes how we're going to take out seven countries in five years, starting with Iraq and then Syria, Lebanon, Libya, Somalia, Sudan and finishing off Iran.
[52:56.000 --> 53:03.000]  Now notice, it all goes in order and he goes on for an hour describing it. This is the plan.
[53:03.000 --> 53:10.000]  It's the neocon globalist leftist think tank plan. And that's why whether it was Hillary, Obama, whoever, they continue it.
[53:10.000 --> 53:14.000]  And then they use every new Muslim country they bring down to get its weapons and exploit the next.
[53:14.000 --> 53:20.000]  They even took out our allies like Egypt. Now there was a counter surveillance against that.
[53:20.000 --> 53:29.000]  And Trump, you know, has helped Egypt try to fix its problems once he got in, but will he double cross Egypt now?
[53:29.000 --> 53:33.000]  So this should be a discussion really about Trump and how they compromised him.
[53:33.000 --> 53:38.000]  Because let me tell you, you get somebody's lawyer and you've got hundreds of properties and companies and stuff.
[53:38.000 --> 53:44.000]  I mean, there's no way to follow the laws in this country when you're that big. I guarantee you that they've got something on Trump now.
[53:44.000 --> 53:50.000]  It's not Russia related. We know that.
[53:50.000 --> 53:59.000]  But Trump went with his generals, even though Madison told him not to. I got so mad Friday night.
[53:59.000 --> 54:05.000]  I was like, you know, Madison said such and such. And then I watched their out. Madison's the one saying, No, I just got so mad.
[54:05.000 --> 54:10.000]  I was talking about Madison. I went into something else.
[54:10.000 --> 54:19.000]  And I was not even saying that about Madison. I've actually talked to people with no Madison. They say he's actually a good influence in the White House.
[54:19.000 --> 54:27.000]  Dumpard just follows orders. So I guess it's, you know, I know Roger place poker and drinks whiskey with.
[54:27.000 --> 54:33.000]  Bolton. I saw a great graphic on the got tweeted at real Alex Jones.
[54:33.000 --> 54:38.000]  You need to retweet it, but it was it was it was a big beard of the mustache of Bolton. And it says war.
[54:38.000 --> 54:44.000]  It forms war. Let me pull out cartoon of Bolton where his mustache says war. And we can find that for TV viewers.
[54:44.000 --> 54:55.000]  But it's not funny. And we can laugh at this all day. We're going to overthrow seven countries and make up excuses to get rid of the border with Europe and then flood Russia and Europe with Muslims.
[54:55.000 --> 54:59.000]  There it is. Well, the crew is great finding that in 10 seconds.
[54:59.000 --> 55:10.000]  We just retweeted that at real Alex Jones. I saw somebody had my feet. I meant to retweet it and then I fell asleep.
[55:10.000 --> 55:19.000]  If you ever demonstrate laying in bed with your iPhone and you fall asleep and then it actually cut my lip and loosened my tooth falling from like two feet.
[55:19.000 --> 55:29.000]  Bam. So I got to stop doing that. I tell you, I was like reading and looking at that like two in the morning after the airstrikes on Friday and just fell asleep in the phone.
[55:29.000 --> 55:32.000]  Bam. And boy, I was awake after that.
[55:32.000 --> 55:43.000]  But continuing, we're going to go to your calls the next segment. We're going to go to Pastor Sam, Vincent Carlos, David, Lucas, Elaine, Dan and many others.
[55:43.000 --> 55:51.000]  Before I end this transmission, I don't lionize Russia. I don't think they're perfect.
[55:51.000 --> 55:54.000]  I don't think Syrian government's perfect. They're far from that.
[55:54.000 --> 56:01.000]  But the West has been run by globalists a long time and they started the fight and they started this whole Arab Spring and they started the civil war in Ukraine and in Syria.
[56:01.000 --> 56:11.000]  And in many other places. And it's morally wrong to go do that to those countries.
[56:11.000 --> 56:21.000]  But if you're bringing in jihadis that are hundreds of times worse than the current regime, I mean, I know a lot of Europeans that were vacationing seven years ago before the globalist started the civil war.
[56:21.000 --> 56:34.000]  Now, I remember looking up some of the travel sites like TripAdvisor. They have some of the best scuba diving, some of the best beaches, best hotels, the Syrians, they say everybody are so cool.
[56:34.000 --> 56:42.000]  They're like the coolest Muslims in the world. And of course, the globalists want to blow them up.
[56:42.000 --> 56:59.000]  And you just can't do stuff like that and say, well, it's you don't get the larger plan. No, I get you say it's a larger plan about, you know, stopping tyrants and sending a message to Russia and North Korea.
[56:59.000 --> 57:11.000]  No, it's about breaking Europe's borders up for the larger global government and attacking Russia with jihadis and flooding Europe with jihadis and bringing in a world government to then basically referee and mediate between the class of civilizations.
[57:11.000 --> 57:20.000]  I've read the white papers and most you generals haven't read the project for an American century. I've not just read their rebuilding America's defenses and Pax Americana.
[57:20.000 --> 57:32.000]  I've read probably 30 of the reports. So yes, I get the larger strategy. It's the same strategy where they put fluoride in our water and all the chemicals and why they tell us two plus two equals five in school.
[57:32.000 --> 57:42.000]  And the same reason the globalists hate everybody. They're a technocracy. They want to get rid of any strong culture and they're using radical Islam as the weapon, as the battering ram, as the wrecking ball to do it.
[57:42.000 --> 57:48.000]  Hour number two, your phone calls. Nigel Farage and others straight ahead. Please spread the live links.
[57:48.000 --> 58:06.000]  Choose to take control of your chemistry with Survival Shield X2 and Biotru Selenium. This powerful combo is perfect for supporting your thyroid and health. Biotru Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[58:06.000 --> 58:22.000]  Our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals. This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[58:22.000 --> 58:36.000]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain and overall brain fog. Survival Shield X2 and Biotru Selenium work together to support the systems in your body.
[58:36.000 --> 58:49.000]  Take control of your chemistry today with this super combo. Discover the power of Survival Shield X2 and Biotru Selenium at infowarslife.com.
[58:49.000 --> 59:05.000]  You know, if I tried to sit here and tell you about the 60 plus products, we have it in Fuller's life. It take hours. Michael ZX Plus now has a lower price. It's stronger. It's the other equation in probiotics. It knocks out the yeast, the mold, the candida. It's back in stock.
[59:05.000 --> 59:20.000]  The real red pill, it's been sold out for months. It's got the preglonone that's the precursor to all the natural hormones in your body. Then it's got all the minerals and the vitamins and amino acids. So you can upload it.
[59:20.000 --> 59:35.000]  The other silver and iodine 4 to 5 toothpaste is super blue silver immune gargle that's a spray you do. You can also swallow it. It's a supplement with iodine, super high quality silver and a lot more. Without you, we couldn't do it.
[59:35.000 --> 59:52.000]  Thank you all for remembering infowarstore.com and remembering that it's not just you that's already awake, but it's other people that aren't awake and it's so essential to spread the word. Again, thank you so much for being part of the Second American Revolution.
[01:00:05.000 --> 01:00:20.000]  Defending the Republic from enemies, foreign and domestic is Alex Jones.
[01:00:20.000 --> 01:00:35.000]  This is so complex, but bottom line, everything Trump's doing is 180 degrees from what he tweeted and what he spoke about and what he said in the campaign. He knows the players. He knows what's happening in Syria. He knows it's a globalist war to get rid of the border states with Europe.
[01:00:35.000 --> 01:00:47.000]  Part of a grand stratagem is the Big New Brzezinski grand chess board operation. He knows that. So why did he do this to get them off his back? So they quit saying he's a Russian agent. This will only encourage him.
[01:00:47.000 --> 01:00:56.000]  Haley's beating the drums for a wider war. Now Trump's signaling more airstrikes may come.
[01:00:56.000 --> 01:01:05.000]  And what's scary is Trump did so much of what he said he would do in the first year and a half. That's what's even more freaky about this. Let's go to your phone calls.
[01:01:05.000 --> 01:01:10.000]  Elaine, Lucas, Dan, we're going to you right now. Elaine and Maine, you've got a question. Go ahead.
[01:01:10.000 --> 01:01:11.000]  Hello?
[01:01:11.000 --> 01:01:12.000]  Yes, go ahead. Welcome.
[01:01:12.000 --> 01:01:15.000]  Yes, hi. Thank you for taking my phone call.
[01:01:15.000 --> 01:01:16.000]  Thank you.
[01:01:16.000 --> 01:01:32.000]  I'm a long time listener, a very long time. And I've got a question for you. Just wondering, is it possible that Trump has dementia? Is it possible he might have beginning?
[01:01:32.000 --> 01:01:41.000]  He's done through so much stress in the last year and a half, two years, well, more than that, running for office. I'm just wondering.
[01:01:41.000 --> 01:01:47.000]  Well, I know this. He I know this. He drinks a lot of Diet Coke and that stuff eats your brain.
