[00:00.000 --> 00:02.000]  ["Pomp and Circumstance"]
[43:19.000 --> 43:22.000]  and then we'll punch up the screen for a moment for folks.
[43:22.000 --> 43:24.000]  Oh, no, you're on camera with us now.
[43:24.000 --> 43:26.000]  Specifically, just put me everything you got.
[43:26.000 --> 43:29.000]  There was an AP or Reuters. I think it was Reuters.
[43:29.000 --> 43:36.000]  It was going from memory that said that the federal official that greeted Obama is now dead.
[43:36.000 --> 43:39.000]  So just Google something like, man who shook Obama's hand, now dead or flew.
[43:39.000 --> 43:40.000]  I need that.
[43:40.000 --> 43:43.000]  And also, again, a bunch of stories.
[43:43.000 --> 43:45.000]  And they're out there in the printed versions I did,
[43:45.000 --> 43:47.000]  but they're hard to read because the printer was out of ink.
[43:47.000 --> 43:50.000]  I need you to find me the article about AP.
[43:50.000 --> 43:53.000]  Why deaths in Mexico, but not U.S.?
[43:53.000 --> 43:54.000]  And I wanted to go over that article.
[43:54.000 --> 43:58.000]  That was the question I was answering all day, and then about two hours ago, AP asked the question.
[43:58.000 --> 44:02.000]  And it's basically because it's probably mutating by the time it gets here,
[44:02.000 --> 44:05.000]  because it goes through so many generations by the time it gets here.
[44:05.000 --> 44:12.000]  And also, the key is I need you to look into, because I've confirmed they've locked down Mexico City.
[44:12.000 --> 44:17.000]  And that's 35 million people in the suburbs, 28 million in the city limits.
[44:17.000 --> 44:22.000]  I mean, this is the biggest city in the world, an absolute hellhole, the worst kidnapping, giant open-sirs.
[44:22.000 --> 44:24.000]  I feel so sorry for those folks, and wonder they want to come here.
[44:24.000 --> 44:29.000]  They're driven off their land in the south by the UN agreements under UNESCO and sent there.
[44:29.000 --> 44:32.000]  But, you know, we've really been talking about this lately, and I'm not tooting my horn again,
[44:32.000 --> 44:36.000]  but I said I'm really seeing bird flu the way they're pre-hyping.
[44:36.000 --> 44:39.000]  As some type of trial balloon to panic people, they get control,
[44:39.000 --> 44:41.000]  even if it is just a light pandemic and burns out.
[44:41.000 --> 44:43.000]  We hope and pray that's the case.
[44:43.000 --> 44:50.000]  The fact that it's mutated from so many different strains of bird and pig and human together from all over the world in one spot,
[44:50.000 --> 44:52.000]  that's a huge red flag.
[44:52.000 --> 44:54.000]  You start adding all this together.
[44:54.000 --> 44:58.000]  The SPP is saying they use a pandemic to bring in the North American Union.
[44:58.000 --> 45:00.000]  That's very suspicious.
[45:00.000 --> 45:02.000]  Aaron Dykes, give me your take on this.
[45:02.000 --> 45:07.000]  Well, I'm far from an expert on this, but it is troubling.
[45:07.000 --> 45:14.000]  Knowing things like Obama had stalk and tamiflu, that doesn't help anything.
[45:14.000 --> 45:17.000]  I hope it doesn't spread further, obviously.
[45:17.000 --> 45:19.000]  I don't know what else I could add.
[45:19.000 --> 45:22.000]  By the way, we did find the article.
[45:22.000 --> 45:30.000]  This says Obama shook hands with man that's now dead, died from swine flu.
[45:30.000 --> 45:32.000]  So, Will, just get me a printout.
[45:32.000 --> 45:34.000]  That's a blog linking to it.
[45:34.000 --> 45:36.000]  Anything else, Aaron?
[45:36.000 --> 45:37.000]  No.
[45:37.000 --> 45:40.000]  Okay.
[45:40.000 --> 45:41.000]  I mean, you've heard my breakdown of this.
[45:41.000 --> 45:43.000]  Do you have any other angles on it?
[45:43.000 --> 45:47.000]  Because studying it, the fact that it's from all over the world mutating in Mexico,
[45:47.000 --> 45:49.000]  that's really suspicious.
[45:49.000 --> 45:55.000]  And then I have even gotten into a month ago, Bloomberg and AP and others reporting,
[45:55.000 --> 46:01.000]  that you have a mutated bird flu, one of the most deadly strains,
[46:01.000 --> 46:06.000]  mixed on purpose in 18 countries with the vaccine.
[46:06.000 --> 46:11.000]  And it was mixed perfectly with a vaccine spectrum of normal human flu viruses
[46:11.000 --> 46:16.000]  to where it would mutate in the body and combine to create an airborne bird flu.
[46:16.000 --> 46:19.000]  The scientists in Czech Republic and Germany in mainstream news said,
[46:19.000 --> 46:22.000]  we believe this may be done on purpose to create a pandemic.
[46:22.000 --> 46:24.000]  And then they could blame it on the subsidiaries.
[46:24.000 --> 46:31.000]  They were ordering to take the seed batch, the seed, the virus stock,
[46:31.000 --> 46:35.000]  to then make larger batches at their sub factories in Europe.
[46:35.000 --> 46:39.000]  And then suddenly, accompanying headlines in London Telegraph,
[46:39.000 --> 46:42.000]  but all these homeless told, we're giving you this vaccine.
[46:42.000 --> 46:46.000]  It's just a flu shot and then they die of the bird flu.
[46:46.000 --> 46:48.000]  And then that's mainstream news.
[46:48.000 --> 46:50.000]  And I've been saying, folks, what's going on here?
[46:50.000 --> 46:53.000]  Well, there's no way Baxter could have done that on accident.
[46:53.000 --> 46:56.000]  And you put all this together and then this happens.
[46:56.000 --> 46:57.000]  I hadn't even gotten to that yet.
[46:57.000 --> 47:00.000]  And now this, Aaron.
[47:00.000 --> 47:01.000]  Well, it's true.
[47:01.000 --> 47:03.000]  They have their hands in the pot.
[47:03.000 --> 47:07.000]  So who else are you going to look to?
[47:07.000 --> 47:09.000]  Well, I mean, they have this history of doing it over and over again.
[47:09.000 --> 47:12.000]  So we would be remiss if we didn't question it.
[47:12.000 --> 47:16.000]  Rob was showing me a clip right before showtime of Al Gore testifying Friday.
[47:16.000 --> 47:19.000]  And they banned people the day he testified from criticizing it.
[47:19.000 --> 47:24.000]  But they had, in untelevised hearings, because we're reading the transcripts,
[47:24.000 --> 47:26.000]  people that, scientists, the majority of them out there,
[47:26.000 --> 47:28.000]  they had 30-something thousand sign letters.
[47:28.000 --> 47:31.000]  Now in the U.N.'s got 2,000 to say it's real 30,000 to say,
[47:31.000 --> 47:33.000]  global warming, being man-made is a fraud.
[47:33.000 --> 47:35.000]  It goes up and down with the sun.
[47:35.000 --> 47:38.000]  And the reason I'm changing subjects is this shows how they use conspiracy theory.
[47:38.000 --> 47:40.000]  And Al Gore, we ought to try to find a clip.
[47:40.000 --> 47:44.000]  I bet it's on YouTube, but I just saw it on C-SPAN from what Rob taped.
[47:44.000 --> 47:46.000]  Said, oh, there's people that believe we didn't walk on the moon.
[47:46.000 --> 47:47.000]  Those are conspiracy theorists.
[47:47.000 --> 47:49.000]  These are degree climatologists.
[47:49.000 --> 47:52.000]  You know, the people that study the sun, all of this.
[47:52.000 --> 47:54.000]  He just says, oh, you're just conspiracy theorists.
[47:54.000 --> 47:57.000]  No, we have the government in the U.S. thousands of times alone,
[47:57.000 --> 47:59.000]  not to mention other governments, releasing bio weapons.
[47:59.000 --> 48:02.000]  You've got the Russians releasing them on their own people.
[48:02.000 --> 48:05.000]  And so who normally does this in history is government.
[48:05.000 --> 48:10.000]  So we would be mental patients if we didn't look at them first,
[48:10.000 --> 48:12.000]  just mindless idiots in denial.
[48:12.000 --> 48:15.000]  But they're just going to kill the messenger instead.
[48:15.000 --> 48:17.000]  That seems to be the M.O.
[48:17.000 --> 48:19.000]  Well, yeah, this conspiracy theorist thing now is this.
[48:19.000 --> 48:20.000]  I don't care what 30,000 scientists say.
[48:20.000 --> 48:22.000]  They believe we didn't walk on the moon.
[48:22.000 --> 48:24.000]  They didn't say anything about not walking on the moon.
[48:24.000 --> 48:25.000]  No, I know.
[48:25.000 --> 48:30.000]  They just shut out the whole debate and framed it only how they wanted to be framed.
[48:30.000 --> 48:33.000]  And how exactly that transfers to the swine flu.
[48:33.000 --> 48:37.000]  I don't know, but yeah, we know about these terrible episodes
[48:37.000 --> 48:39.000]  where they were clearly in control.
[48:39.000 --> 48:42.000]  You know, I'm not taking breaks on this show tonight
[48:42.000 --> 48:44.000]  because I don't really have folks get my own coffee,
[48:44.000 --> 48:46.000]  but I literally can't take a break so I can't leave.
[48:46.000 --> 48:47.000]  Aaron, do me a big favor.
[48:47.000 --> 48:48.000]  I know you're busy printing those articles.
[48:48.000 --> 48:50.000]  Get me those articles and you have somebody.
[48:50.000 --> 48:52.000]  I guess we don't have the secretary here today.
[48:52.000 --> 48:53.000]  Get me a cup of coffee.
[48:53.000 --> 48:54.000]  Thank you, sir.
[48:54.000 --> 48:55.000]  Appreciate that, my friend.
[48:55.000 --> 48:59.000]  Yeah, when I do these shows without breaks, there's no bathroom breaks.
[48:59.000 --> 49:01.000]  There's no time to get coffee.
[49:01.000 --> 49:03.000]  And that coffee got cold before I ever drank it,
[49:03.000 --> 49:06.000]  so I need some energy here and I have some coffee.
[49:06.000 --> 49:08.000]  That's the only drug I get to enjoy now.
[49:08.000 --> 49:09.000]  I don't smoke.
[49:09.000 --> 49:10.000]  Don't smoke a cigar anymore.
[49:10.000 --> 49:11.000]  Don't drink one.
[49:11.000 --> 49:13.000]  I don't drink any beer anymore.
[49:13.000 --> 49:14.000]  And I don't get to...
[49:14.000 --> 49:16.000]  I used to even have a pipe.
[49:16.000 --> 49:18.000]  Not because I'm like an old man or something.
[49:18.000 --> 49:19.000]  I like to...
[49:19.000 --> 49:22.000]  It's fun to load it up and smoke you some nice vanilla tobacco or something.
[49:22.000 --> 49:23.000]  I'm an old-fashioned guy.
[49:23.000 --> 49:24.000]  That's what I like.
[49:24.000 --> 49:26.000]  I don't even do that anymore.
[49:26.000 --> 49:29.000]  But I still have a cup of coffee in the morning and at night
[49:29.000 --> 49:31.000]  if I've got to stay up because I'm going to work on a film
[49:31.000 --> 49:33.000]  once the show is done today.
[49:33.000 --> 49:35.000]  We may go past 10.
[49:35.000 --> 49:37.000]  Jaren, I know you've got a party you were going to go to.
[49:37.000 --> 49:38.000]  Are you going to go past 10?
[49:38.000 --> 49:39.000]  If need be, okay.
[49:39.000 --> 49:41.000]  I don't want to go too far because I've got to go to church in the morning.
[49:41.000 --> 49:43.000]  But I may not, though.
[49:43.000 --> 49:49.000]  These cases keep popping up in Austin and it's causing deaths.
[49:49.000 --> 49:54.000]  If it turns into a pandemic, I am going to be here this next week in studio,
[49:54.000 --> 49:56.000]  but I'm packing my bags.
[49:56.000 --> 49:58.000]  There's not a shower at this office, though.
[49:58.000 --> 49:59.000]  I've been trying to get one at it.
[49:59.000 --> 50:01.000]  But I guess I can wash under my arms and sink in there.
[50:01.000 --> 50:04.000]  I'm going to come stay here.
[50:04.000 --> 50:09.000]  And I'm going to have my family locked down out of our house.
[50:09.000 --> 50:11.000]  And I'm going to come stay here.
[50:11.000 --> 50:13.000]  In fact, we've got to pull the trigger on that.
[50:13.000 --> 50:14.000]  By Monday, we'll know.
[50:14.000 --> 50:17.000]  Jaren, I want to see who wants to volunteer with me
[50:17.000 --> 50:19.000]  because we're going to have to lock ourselves in here.
[50:19.000 --> 50:21.000]  Whoever comes in here stays in.
[50:21.000 --> 50:23.000]  Whoever goes out stays out.
[50:23.000 --> 50:25.000]  We've got to lock our families down if it does.
[50:25.000 --> 50:27.000]  Now, I'm not saying that's happening.
[50:27.000 --> 50:30.000]  The point is, they've already got quarantines in South Texas and San Antonio
[50:30.000 --> 50:32.000]  at some hospitals and homes.
[50:32.000 --> 50:33.000]  That's confirmed.
[50:33.000 --> 50:35.000]  They've got the AP and Reuters right here.
[50:35.000 --> 50:39.000]  They're already locking down states in Mexico and Mexico City.
[50:39.000 --> 50:42.000]  And this thing has killed a bunch of people in Mexico.
[50:42.000 --> 50:46.000]  And it hasn't killed anybody here yet.
[50:46.000 --> 50:50.000]  Has it mutated to a less virulent strain by the time it got here?
[50:50.000 --> 50:51.000]  Which happens.
[50:51.000 --> 50:55.000]  That's how it works if it's a really naturally occurring event.
[50:55.000 --> 50:59.000]  If it's virulent all over, folks, and kills people all over,
[50:59.000 --> 51:01.000]  you're looking at a staged event.
[51:01.000 --> 51:02.000]  We don't know.
[51:02.000 --> 51:03.000]  Time will tell.
[51:03.000 --> 51:04.000]  That's why we're here covering this.
[51:04.000 --> 51:08.000]  Do I have any other calls from Mexico?
[51:08.000 --> 51:09.000]  Okay.
[51:09.000 --> 51:10.000]  I'm going to open them.
[51:10.000 --> 51:12.000]  Every time we open the lines up, dozens of calls come in.
[51:12.000 --> 51:14.000]  But I'm going to open them up again in a minute.
[51:14.000 --> 51:22.000]  For only people in Mexico, please, or if you directly are in a quarantine area
[51:22.000 --> 51:24.000]  in Texas or Kansas or Canada.
[51:24.000 --> 51:25.000]  Okay.
[51:25.000 --> 51:26.000]  I'm going to go to everybody else.
[51:26.000 --> 51:27.000]  You don't have to hang up.
[51:27.000 --> 51:31.000]  But don't you want to know viewers and listeners out there?
[51:31.000 --> 51:32.000]  Okay.
[51:32.000 --> 51:33.000]  Reese has good info.
[51:33.000 --> 51:35.000]  I'm going to give the number of folks in Mexico.
[51:35.000 --> 51:37.000]  888-201-2244.
[51:37.000 --> 51:40.000]  888-201-2244.
[51:40.000 --> 51:42.000]  888-201-2244.
[51:42.000 --> 51:43.000]  Listen carefully.
[51:43.000 --> 51:47.000]  And we've got the 512-646-1776.
[51:47.000 --> 51:53.000]  512-646-1776 is the answer to 1984-1776.
[51:53.000 --> 51:55.000]  Let's go ahead and talk to Reese in Texas.
[51:55.000 --> 51:57.000]  Reese, you're on the air.
[51:57.000 --> 51:58.000]  Hey, man.
[51:58.000 --> 52:03.000]  Hey, you know, this kind of freaked me out because when they said to feel high school
[52:03.000 --> 52:07.000]  here, my heart kind of dropped, man, because I can see the light from my house.
[52:07.000 --> 52:09.000]  It's less than two miles away.
[52:09.000 --> 52:10.000]  Yeah, that's right.
[52:10.000 --> 52:11.000]  I had the AP on that.
[52:11.000 --> 52:17.000]  Tell folks again, that's one of the high schools in South Texas shut down to some of the kids
[52:17.000 --> 52:18.000]  that go there.
[52:18.000 --> 52:22.000]  They have it in their families or locked down under police guard in their homes.
[52:22.000 --> 52:23.000]  Tell folks about that.
[52:23.000 --> 52:25.000]  Yeah, it's crazy, man.
[52:25.000 --> 52:26.000]  Well, slowly.
[52:26.000 --> 52:28.000]  Tell folks the name of your town, your school.
[52:28.000 --> 52:30.000]  Give them all the details, Reese.
[52:30.000 --> 52:31.000]  All right.
[52:31.000 --> 52:32.000]  All right.
[52:32.000 --> 52:39.000]  I live in Siblo, Texas, just north of San Antonio about an hour away from Austin.
[52:39.000 --> 52:44.000]  My father's actually on the school board here, and from what I was hearing this morning
[52:44.000 --> 52:48.000]  when I woke up, they were thinking about shutting down the entire school district next week.
[52:48.000 --> 52:53.000]  But from what I hear right now, they're just closing down Steel High School here.
[52:53.000 --> 52:58.000]  And they've also, they had a public meeting scheduled for the 27th.
[52:58.000 --> 53:00.000]  I was going to go there and film it.
[53:00.000 --> 53:02.000]  They've canceled that.
[53:02.000 --> 53:07.000]  Basically, that's all I know, man, but I've got to be honest with you, we're freaking
[53:07.000 --> 53:10.000]  out over here because, I mean, it's just right on our doorstep.
[53:10.000 --> 53:14.000]  I mean, what I don't understand is why they would pick this town.
[53:14.000 --> 53:15.000]  I don't understand.
[53:15.000 --> 53:16.000]  You know, man?
[53:16.000 --> 53:19.000]  Well, it may be naturally occurring.
[53:19.000 --> 53:22.000]  I mean, there are hundreds of real flues every year.
[53:22.000 --> 53:27.000]  It's just, if you look at all the preparation, the hype of bird flu and the drills on the
[53:27.000 --> 53:32.000]  border for martial law, and the state senator I had on talking about martial law on the
[53:32.000 --> 53:37.000]  Texas border with Mexico, and the way the media has been hyping it and the way they've
[53:37.000 --> 53:39.000]  been hyping Tamo flu.
[53:39.000 --> 53:43.000]  Notice how they just came out again talking about pandemics and things the last few months.
[53:43.000 --> 53:49.000]  The last time they did all of this was back in 2002, 2003, when they tried to get 14 million
[53:49.000 --> 53:55.000]  first responders, firemen, police, medical workers, doctors, county, city workers, state
[53:55.000 --> 53:59.000]  workers, federal workers that take smallpox, and then some started taking it, and it would
[53:59.000 --> 54:02.000]  cause an autoimmune response, mainly in middle-aged men.
[54:02.000 --> 54:04.000]  They were having heart attacks.
[54:04.000 --> 54:06.000]  Some people actually got smallpox.
[54:06.000 --> 54:07.000]  That was in the news.
[54:07.000 --> 54:11.000]  They covered it up, and so their first responders wouldn't take it.
[54:11.000 --> 54:13.000]  Then they did forced inoculation drills.
[54:13.000 --> 54:17.000]  Now they've hired the preachers and the clergy response teams to prepare their flocks to go
[54:17.000 --> 54:19.000]  to the FEMA camps, take the inoculations.
[54:19.000 --> 54:21.000]  We reported that when it was secret.
[54:21.000 --> 54:22.000]  Now it's public.
[54:22.000 --> 54:26.000]  Just like we reported Mayak in the federal documents when they were secret, that gun owners are
[54:26.000 --> 54:29.000]  terrorists, and conservatives, and Christians are terrorists, and veterans are terrorists.
[54:29.000 --> 54:30.000]  Now it's public.
[54:30.000 --> 54:32.000]  I mean, we get the secret documents.
[54:32.000 --> 54:36.000]  Look at how we're doing an internet-only show, not even my M&FM show.
[54:36.000 --> 54:37.000]  We will do that tomorrow.
[54:37.000 --> 54:39.000]  Four to six, and we're getting calls from Mexico, Texas.
[54:39.000 --> 54:43.000]  One of the towns in Texas it's happening in, Mexico where it's going on.
[54:43.000 --> 54:50.000]  That's because this show is huge, and it's a great responsibility we have, but we're
[54:50.000 --> 54:53.000]  getting all these documents, and it's just amazing.
[54:53.000 --> 54:56.000]  That's why I've got to somehow raise more money to hire more competent people.
[54:56.000 --> 54:57.000]  We got competent folks.
[54:57.000 --> 54:58.000]  People spend that.
[54:58.000 --> 54:59.000]  Like I'm saying, we're not competent.
[54:59.000 --> 55:00.000]  No, we don't have enough people.
[55:00.000 --> 55:04.000]  We need more competent people to be able to gauge and handle all this.
[55:04.000 --> 55:07.000]  We have to also stop infiltration here, which has been a major problem.
[55:07.000 --> 55:10.000]  I don't get into on air, but it's been a major problem.
[55:10.000 --> 55:16.000]  Again, tell folks, I have that in my stack, Texas school quarantine.
[55:16.000 --> 55:18.000]  Google that and throw it up on screen if you can.
[55:18.000 --> 55:20.000]  We got one guy doing things like an octopus in there.
[55:20.000 --> 55:23.000]  Again, tell folks the name of your town north of San Antonio.
[55:23.000 --> 55:28.000]  That's right by that German town.
[55:28.000 --> 55:31.000]  That's right by the German town.
[55:31.000 --> 55:33.000]  What's the name of the German town?
[55:33.000 --> 55:40.000]  Siblo, Texas, right off the I-35 corridor, about 10 minutes from San Antonio to the north,
[55:40.000 --> 55:41.000]  right along the I-35.
[55:41.000 --> 55:42.000]  Yeah, you're right.
[55:42.000 --> 55:45.000]  You're just south of New Braunvils, right?
[55:45.000 --> 55:46.000]  That's right.
[55:46.000 --> 55:47.000]  15 minutes.
[55:47.000 --> 55:52.000]  Man, I've got to be honest with you, dude.
[55:52.000 --> 55:54.000]  I'm not going to allow the FEMA to come in here.
[55:54.000 --> 55:55.000]  I don't know what's going to happen.
[55:55.000 --> 55:57.000]  Maybe it's nothing, okay?
[55:57.000 --> 56:02.000]  But if FEMA comes in here and starts injecting us, that's not going to fly.
[56:02.000 --> 56:06.000]  I mean, you know, I'm not going to allow that to happen.
[56:06.000 --> 56:08.000]  But that's not happened yet.
[56:08.000 --> 56:11.000]  So I'll let you get to other colors because the important is the important broadcast.
[56:11.000 --> 56:13.000]  Well, you say folks are scared there.
[56:13.000 --> 56:14.000]  Anything else, Rhys?
[56:14.000 --> 56:15.000]  I mean, what else is it?
[56:15.000 --> 56:20.000]  What's the feeling of folks there in your town north of San Antonio in the suburbs?
[56:20.000 --> 56:21.000]  Okay.
[56:21.000 --> 56:25.000]  To be honest with you, I'm scared because I listen to your show daily.
[56:25.000 --> 56:27.000]  I know what's going on here.
[56:27.000 --> 56:32.000]  I know that they've actually put live viruses in the avian flu.
[56:32.000 --> 56:37.000]  But people here, they're mindless neocons, man.
[56:37.000 --> 56:38.000]  They don't understand.
[56:38.000 --> 56:40.000]  This is a big joke to them.
[56:40.000 --> 56:41.000]  Okay?
[56:41.000 --> 56:43.000]  They don't even know what's coming.
[56:43.000 --> 56:46.000]  So if this is a pandemic, it's going to come through here.
[56:46.000 --> 56:48.000]  And these people are totally unaware.
[56:48.000 --> 56:50.000]  They're not even going to prepare.
[56:50.000 --> 56:51.000]  Okay?
[56:51.000 --> 56:53.000]  Well, that's how it works.
[56:53.000 --> 56:54.000]  Sure, sure.
[56:54.000 --> 56:59.000]  I mean, it's meant to get you accustomed to death and problems.
[56:59.000 --> 57:03.000]  I've always said, and you say you're a listener, so you can attest to this, but it's on record
[57:03.000 --> 57:09.000]  in all the shows we've done, that they're going to have trial balloons of a SARS-type respiratory
[57:09.000 --> 57:10.000]  flu.
[57:10.000 --> 57:11.000]  I said that last week.
[57:11.000 --> 57:12.000]  I said it a month ago.
[57:12.000 --> 57:14.000]  That would kill a few hundred.
[57:14.000 --> 57:16.000]  Then they test the drills, the takeovers.
[57:16.000 --> 57:19.000]  Then they have something that kills 10,000.
[57:19.000 --> 57:21.000]  Then they have something that kills a million.
[57:21.000 --> 57:23.000]  This is a period of a decade.
[57:23.000 --> 57:26.000]  Then they have something that kills a hundred million.
[57:26.000 --> 57:30.000]  And by then, you're drilled of how to lock down, how people die, how they get taken away,
[57:30.000 --> 57:34.000]  how you take the shots, the first shots they give you during the crises.
[57:34.000 --> 57:38.000]  You know, aren't filled with cancer viruses, aren't filled with pathogens.
[57:38.000 --> 57:40.000]  You learn how to trust them.
[57:40.000 --> 57:42.000]  It's like a Jim Jones Kool-Aid drinking drill.
[57:42.000 --> 57:43.000]  I studied it.
[57:43.000 --> 57:44.000]  Yeah, it's exactly what I was trying to.
[57:44.000 --> 57:46.000]  Yes, it's exactly what I was trying to tell everyone.
[57:46.000 --> 57:48.000]  It's like I'm living in Jones down here.
[57:48.000 --> 57:50.000]  I mean, they're just, they don't even care.
[57:50.000 --> 57:54.000]  I mean, it's like, you know, I asked them if they're going to take the flu vaccine.
[57:54.000 --> 57:55.000]  They said, yeah, sure.
[57:55.000 --> 57:56.000]  I mean, you got to die sometime.
[57:56.000 --> 57:58.000]  I mean, who says that?
[57:58.000 --> 57:59.000]  You know?
[57:59.000 --> 58:03.000]  But I got to ask you one more question before I let you go and you can get to other colleges.
[58:03.000 --> 58:04.000]  It's very important.
[58:04.000 --> 58:09.000]  But my question is, do you think that the national media could be doing some sort of
[58:09.000 --> 58:12.000]  files here because they said there's only a few cases here.
[58:12.000 --> 58:17.000]  But what if it actually is getting, you know, it's getting into the population.
[58:17.000 --> 58:22.000]  It's infecting people and they're only reporting a few just to keep us.
[58:22.000 --> 58:28.000]  Well, I already have a headline here from AP that, and again, it's in my stack.
[58:28.000 --> 58:29.000]  In fact, Google this.
[58:29.000 --> 58:30.000]  I got the headline right.
[58:30.000 --> 58:31.000]  I got so many stories here.
[58:31.000 --> 58:34.000]  I need to see, I'm used to being able to take a break and go through my notes, but I'll
[58:34.000 --> 58:35.000]  just do that on air in a moment.
[58:35.000 --> 58:37.000]  I'll just read every headline in a moment.
[58:37.000 --> 58:38.000]  It'll be fine.
[58:38.000 --> 58:48.000]  The headline is CDC flew outbreak too late to stop flu outbreak spread.
[58:48.000 --> 58:49.000]  Jesus.
[58:49.000 --> 58:51.000]  So, so they've already said, and it's true.
[58:51.000 --> 58:54.000]  Because people are saying, why don't you shut the border?
[58:54.000 --> 58:56.000]  And they're saying too late.
[58:56.000 --> 58:57.000]  Now that's not true.
[58:57.000 --> 59:01.000]  If things really get bad in Mexico, which again, we hope doesn't happen, but they're
[59:01.000 --> 59:05.000]  the ones fear mongering, then you would have a breakdown of society down there.
[59:05.000 --> 59:10.000]  The edge of collapse, the government admits in Mexico and here that if there is a real
[59:10.000 --> 59:15.000]  flu outbreak and it's like the Spanish flu that killed 40 something million people, then
[59:15.000 --> 59:17.000]  you would have people streaming across in mass.
[59:17.000 --> 59:21.000]  So, but, but the CDC's excuse of why they haven't shut down the border is, oh, well,
[59:21.000 --> 59:22.000]  it's already too late.
[59:22.000 --> 59:23.000]  It's in Canada.
[59:23.000 --> 59:24.000]  It's in Kansas.
[59:24.000 --> 59:25.000]  It's in Texas.
[59:25.000 --> 59:27.000]  So it doesn't matter.
[59:27.000 --> 59:33.000]  I appreciate your call from San Antonio suburb that says they're not having school Monday.
[59:33.000 --> 59:34.000]  Thank you.
[59:34.000 --> 59:35.000]  We've got the stack.
[59:35.000 --> 59:36.000]  Here's Los Angeles Times.
[59:36.000 --> 59:39.000]  11 more suspected swine flu cases in U.S.
[59:39.000 --> 59:44.000]  Total reaches 19 with a couple in Kansas, school children in New York City and a person in
[59:44.000 --> 59:47.000]  California to believe have mild cases of swine flu.
[59:47.000 --> 59:51.000]  It is not clear yet whether the virus is easily transmitted, but it is confirmed it's human
[59:51.000 --> 59:53.000]  to human, not from pig to human.
[59:53.000 --> 59:55.000]  That may have originally come through pigs to human.
[59:55.000 --> 1:00:03.000]  Remember, it's a hybrid of bird, swine and human just folks that has, I'd say 95% chance
[1:00:03.000 --> 1:00:05.000]  this was manufactured came out of a laboratory.
[1:00:05.000 --> 1:00:09.000]  In fact, I'm a, I'm a hundred percent, but because I've studied it, but who knows what's
[1:00:09.000 --> 1:00:10.000]  going to happen with this?
[1:00:10.000 --> 1:00:11.000]  This, this really stinks.
[1:00:11.000 --> 1:00:15.000]  Obama shook hands with man who died from swine flu.
[1:00:15.000 --> 1:00:17.000]  The first case was seen in Mexico, April 13th.
[1:00:17.000 --> 1:00:20.000]  The outbreak coincided with President Obama's trip to Mexico on April 16th.
[1:00:20.000 --> 1:00:25.000]  Obama was received by Mexico's Anthropology Museum in Mexico City by Felipe Solis,
[1:00:25.000 --> 1:00:30.000]  distinguished archeologists who died the following day from symptoms similar to flu.
[1:00:30.000 --> 1:00:32.000]  Reforma newspaper reported that this paper didn't come out.
[1:00:32.000 --> 1:00:37.000]  This paper didn't confirm if Solis had swine flu or not, but actually found an AP article
[1:00:37.000 --> 1:00:39.000]  that did say he died of it.
[1:00:39.000 --> 1:00:40.000]  Now, whatever.
[1:00:40.000 --> 1:00:43.000]  There's that one.
[1:00:43.000 --> 1:00:55.000]  Again, out of BBC, they're reporting that medical doctor Yenne Gregorio de Vila, Mexico City,
[1:00:55.000 --> 1:01:00.000]  is saying that it's 20 dead at his hospital alone, not 68 dead as of this morning, but
[1:01:00.000 --> 1:01:01.000]  200.
[1:01:01.000 --> 1:01:03.000]  That's BBC.
[1:01:03.000 --> 1:01:10.000]  Mexico may take more flu control steps, Calderon says, declares emergency, locking down at
[1:01:10.000 --> 1:01:15.000]  cities, locking down areas, putting people on quarantine.
[1:01:15.000 --> 1:01:22.000]  Global flu, epidemic fears grow, grows more U.S.
[1:01:22.000 --> 1:01:24.000]  cases.
[1:01:24.000 --> 1:01:34.000]  And then look at this story, venture capital firms set to reap rewards of swine flu.
[1:01:34.000 --> 1:01:40.000]  The swine flu outbreak is likely to benefit one of the most prolific and successful venture
[1:01:40.000 --> 1:01:42.000]  capital firms in the United States.
[1:01:42.000 --> 1:01:49.000]  Kellner, Perkins, and Caulfield and Bayers, Thomson, Reuters, Private Equity Week reported
[1:01:49.000 --> 1:01:50.000]  on Friday.
[1:01:50.000 --> 1:01:55.000]  It shares the two public companies in the firm portfolio of eight pandemic and biodefense
[1:01:55.000 --> 1:02:07.000]  companies, Biocrist, Pharmaceuticals, Novavax, Jump Friday on news that the swine flu killed
[1:02:07.000 --> 1:02:12.000]  reported 60 people, it's over that now, in Mexico and has infected people in the United
[1:02:12.000 --> 1:02:13.000]  States.
[1:02:13.000 --> 1:02:18.000]  I mean, if they've confirmed three days into this outbreak in Mexico, that's three days,
[1:02:18.000 --> 1:02:24.000]  it'll be four at midnight tonight, that it killed 68 as of this morning, and then now
[1:02:24.000 --> 1:02:28.000]  they're saying it's really over 200, this is not going to be pretty.
[1:02:28.000 --> 1:02:36.000]  So Obama and Boyce are all tied into that, so is Rumsfeld.
[1:02:36.000 --> 1:02:44.000]  You know what, I want to play this video clip first, and then I got Kevin in Canada, Bob
[1:02:44.000 --> 1:02:49.000]  in South Carolina, Julian in Indiana, Chuck in North Carolina, Angela in Virginia, Mark
[1:02:49.000 --> 1:02:55.000]  in Oregon, and we'll, if my call guy can remember who called first, just let me know in the system,
