[00:00:00.149 --> 00:00:03.451]  The GCN Radio Network.
[00:24:12.019 --> 00:24:18.144]  Well, it's being reported, and I heard this before, that the White House has an enemies list.
[00:24:18.144 --> 00:24:19.325]  Now, Nixon had one, but he
[00:24:19.827 --> 00:24:24.953]  But he never really went after anybody on it, except for maybe a few people.
[00:24:24.953 --> 00:24:30.059]  But it certainly wasn't in excess of probably a hundred or so people.
[00:24:30.059 --> 00:24:31.421]  It was found to be illegal.
[00:24:31.421 --> 00:24:33.523]  Yeah, and it was illegal.
[00:24:33.523 --> 00:24:36.547]  And this list is said to contain the names of 10,000 people, including
[00:24:38.061 --> 00:24:38.841]  I don't think so.
[00:25:00.232 --> 00:25:05.739]  Yeah, I mean, so the problem is where do they get the information to populate this database?
[00:25:05.739 --> 00:25:15.591]  Apparently this was started by Rove when he was in Texas politics, but now it's been added to by FBI agents using these national security letters to go get information from
[00:25:15.991 --> 00:25:18.472]  Phone companies, credit card companies.
[00:25:18.472 --> 00:25:22.873]  And of course these FBI files are famous for being full of complete baloney.
[00:25:22.873 --> 00:25:36.356]  Oh absolutely, because it's raw information and people when they're confronted by one of these agents tend to freeze up and say things that may or may not be true or at least exaggerate.
[00:25:36.356 --> 00:25:38.736]  It's like what happened during the McCarthy era.
[00:25:38.736 --> 00:25:41.997]  So yeah, this is the nature of this beast.
[00:25:43.038 --> 00:25:50.878]  But I do know that people in the Pentagon and in the NSA and in the CIA, the ones that do the work, not the high up
[00:25:53.170 --> 00:26:15.255]  Um, political types, uh, are getting very concerned about what's happened, because understand that they grew up in the environment of post-Watergate, with all the controls and restraints that were put on these agencies, and they knew they could go to jail if they violated these laws, and now they see this administration... Well, they've also got to be looking, uh, because it's one thing to be dumbed-down, American, six-pack, you know, Sally Soccer Mom, wants to be stupid.
[00:26:15.855 --> 00:26:22.697]  And even a lot of people who've been neo-conish, who I've talked to in government, are now actually getting to see what the final plan is.
[00:26:22.697 --> 00:26:23.938]  It really is FEMA camps.
[00:26:23.938 --> 00:26:25.418]  It really is martial law.
[00:26:25.418 --> 00:26:26.659]  It really is dictatorship.
[00:26:26.659 --> 00:26:31.060]  I mean, I had Bob Barr on a week ago, a little over, and he actually said, well, could we have martial law?
[00:26:31.060 --> 00:26:33.641]  And he said, yeah, I think a dictatorship's a real danger.
[00:26:33.641 --> 00:26:37.382]  I mean, when Bob Barr's talking like that, Wayne, it's not very hard.
[00:26:37.382 --> 00:26:38.822]  I mean, it's getting pretty obvious.
[00:26:38.822 --> 00:26:39.543]  Well, that's right.
[00:26:39.543 --> 00:26:43.924]  And I mean, Barr used to work at the CIA, so he knows about the laws and what
[00:26:46.145 --> 00:26:52.186]  I mean, I agree with that.
[00:26:52.186 --> 00:27:03.609]  And then we see how people retaliated against, like this NSA analyst who had been a White House Secret Service agent who protected, was willing to take a bullet for Bill Clinton and George W. Bush
[00:27:04.028 --> 00:27:21.443]  Went to the NSA, and then he's been set up in his phony, as they say, he took two boxes of classified material home in broad daylight out of the most heavily guarded complex in the world, the National Security Agency at Fort Meade, Maryland.
[00:27:21.443 --> 00:27:28.289]  The reason he did this to him is that he authored an intelligence report that said there were no WMDs in Iraq.
[00:27:28.289 --> 00:27:29.570]  His name was on it when it reached
[00:27:30.540 --> 00:27:33.362]  That Dick Cheney's office.
[00:27:33.362 --> 00:27:38.006]  And you know, Dick Cheney is starting to look more and more like Dr. Evil in this whole thing.
[00:27:38.006 --> 00:27:57.680]  Well, but what about the Army colonel who was in military intelligence who saw clearly that they had been blocked from stopping Al-Cieda, and so he releases this, and now they go, well, you had $65 in phone calls on your government phone to your wife, and we're going to charge you with theft.
[00:27:57.680 --> 00:27:58.981]  And it actually was in the newspaper.
[00:27:59.281 --> 00:28:00.121]  We're good to go.
[00:28:22.116 --> 00:28:44.010]  Coalition, and they're putting all their notes together and there's going to be heck to pay for the Bush administration next year when these people start to show up at these political campaign rallies and talk about how they were fighting the war on terrorism and what happened to them when they refused to lie for this administration.
[00:28:44.010 --> 00:28:46.712]  And I think it's going to be devastating.
[00:28:47.410 --> 00:29:03.179]  Well, that is good news that the White House, that the Vice President's Office with Puder Libby, that, and that's what his nickname for him, they all have a feces name, that's how sick he is, that Puder Libby, that they have to manufacture it themselves.
[00:29:03.179 --> 00:29:03.759]  Well, that's it.
[00:29:06.299 --> 00:29:08.401]  Particularly the Cheney office.
[00:29:08.401 --> 00:29:15.305]  Now, Cheney's office also was the scene of a Filipino espionage ring, which has conveniently dropped off the radar screen.
[00:29:15.305 --> 00:29:15.785]  That's right.
[00:29:15.785 --> 00:29:21.408]  Israeli, German, Filipino, any type of real espionage is just fine.
[00:29:21.408 --> 00:29:26.171]  It's just wonderful, but oh, you called your wife with your government phone.
[00:29:26.171 --> 00:29:27.492]  That's right, that's right.
[00:29:27.492 --> 00:29:29.113]  This was obviously an attempt to get
[00:29:29.793 --> 00:29:31.014]  Well, speaking of
[00:29:53.027 --> 00:29:53.427]  We're good to go.
[00:30:10.468 --> 00:30:15.031]  I mean, just to get the word out, you're like a movie.
[00:30:15.031 --> 00:30:16.932]  That's how obvious this is, Wayne.
[00:30:16.932 --> 00:30:31.282]  Well, yeah, and you know, the whole false flag operations, what they call these, you know, I still have a lot of questions about the arson in France, the London underground attacks, the bombings there.
[00:30:31.901 --> 00:30:36.624]  Um, there are people who engage in these false flag activities.
[00:30:36.624 --> 00:30:38.185]  Well, no, I mean, they'll get something started.
[00:30:38.185 --> 00:30:46.149]  Well, I mean, we caught British intelligence, I mean, that's what SAS is, Special Air Service, dressed up like Arabs, running around shooting people with bombs.
[00:30:46.149 --> 00:30:46.730]  Well, that's right.
[00:30:47.210 --> 00:30:51.433]  And God knows who's behind some of these terrorist attacks in Iraq.
[00:30:51.433 --> 00:30:55.035]  Three separate times they've caught Israelis dressed up, shooting at Marines.
[00:30:55.035 --> 00:31:00.139]  The Marines catch them, beat them up, kill them sometimes, and then are ordered to release them.
[00:31:00.139 --> 00:31:03.181]  Now, why, Wayne, would they have Israeli units going around killing our own troops?
[00:31:03.181 --> 00:31:05.463]  Well, does our government make more money over there?
[00:31:05.463 --> 00:31:07.404]  Were there a year or were there ten?
[00:31:07.404 --> 00:31:08.385]  Well, that's it.
[00:31:08.385 --> 00:31:14.529]  I mean, and then we've got these private military contractors in Iraq that are ex-mercenaries from South Africa.
[00:31:15.376 --> 00:31:24.172]  Uh, Pinochet's people in Chile, Contra's out of Nicaragua, Iraq is now... They talk about all the jihadists going to Iraq, but the United States has engineered...
[00:31:24.525 --> 00:31:31.849]  The worst filth in the world are now working in Iraq, supposedly for this Iraqi puppet regime.
[00:31:31.849 --> 00:31:41.354]  Well, we've gone from one Iraqi puppet regime, where Christians and Jews were left alone, to one where they're going to have the jihadist Shiites running the entire country.
[00:31:41.354 --> 00:31:43.515]  That's right, that's right.
[00:31:43.515 --> 00:31:47.017]  Basically, Iraq will become a province of Iran.
[00:31:47.017 --> 00:31:49.618]  Some people call it Western Iran.
[00:31:49.618 --> 00:31:52.180]  And that's what this crowd of neocons has done.
[00:31:52.180 --> 00:31:52.980]  Now they want to nuke
[00:31:53.453 --> 00:31:55.774]  Iran and going to Syria.
[00:31:55.774 --> 00:31:58.816]  These people basically are insane.
[00:31:58.816 --> 00:32:06.300]  They're just like the Nazis in Germany or the fascists that wanted to recreate the Roman Empire under Mussolini.
[00:32:06.300 --> 00:32:09.962]  These people, they belong in a prison.
[00:32:09.962 --> 00:32:11.122]  They belong in the Hague.
[00:32:11.122 --> 00:32:14.504]  They should be on trial with Milosevic and others.
[00:32:14.504 --> 00:32:15.605]  Here's the problem.
[00:32:17.357 --> 00:32:19.600]  I mean, I hope that their system's just falling apart.
[00:32:19.600 --> 00:32:21.984]  Bush giving three press conferences in three days.
[00:32:21.984 --> 00:32:25.069]  He doesn't usually give about five a year.
[00:32:25.069 --> 00:32:26.611]  But I'm a little confused here.
[00:32:26.611 --> 00:32:30.397]  I mean, it looks to me like what I'm getting is that they're going to let the Patriot Act expire.
[00:32:31.300 --> 00:32:54.091]  We're going to have a government terror attack, false flag attack, then they're going to say, see, it's you guys, you peaceniks, you caused the terrorists to attack, and I've heard Michael Savage saying this, and then we're going to be arrested because we aided the terrorists getting the law changed, and in Australia they're trying to pass a law to criticize the military and its actions, you get seven years in prison.
[00:32:54.091 --> 00:32:58.333]  I mean, I really see them going to that, because if they carry out an attack now, people will say, oh look, you couldn't protect us.
[00:32:58.573 --> 00:33:01.475]  But if they, quote, lose the Patriot Act, then they'll have that.
[00:33:01.475 --> 00:33:02.976]  I mean, do you see him setting that up, Wayne?
[00:33:02.976 --> 00:33:05.157]  Well, look, I don't put anything past these people.
[00:33:05.157 --> 00:33:06.118]  They're insane.
[00:33:06.118 --> 00:33:16.304]  Any administration who would out not only a covert CIA agent, but her entire network that was trying to stop the flow of WMDs, and including an attempt to salt
[00:33:16.904 --> 00:33:20.827]  uh... uh... vx nerve gas into iraq from uh... u.s.
[00:33:20.827 --> 00:33:45.847]  controlled kurdistan uh... before the war uh... it definitely tells me that they did that's what how far they're they they would go and i want to play this at them on what is what you want to play out play the uh... green skin puppet plays go ahead there's a process that goes on inside the justice department and uh... i presume about leaks i presume that process is moving forward
[00:33:48.197 --> 00:33:57.564]  My personal opinion is it was a shameful act for someone to disclose this very important program in time of war.
[00:33:57.564 --> 00:34:00.647]  You're shameful!
[00:34:00.647 --> 00:34:05.730]  The fact that we're discussing this program is helping the enemy.
[00:34:05.730 --> 00:34:06.871]  Oh, you, the criminal?
[00:34:06.871 --> 00:34:14.517]  You've got to understand, and I hope the American people understand, there is still an enemy that would like to strike the United States of America.
[00:34:14.517 --> 00:34:16.198]  We know you are very dangerous.
[00:34:16.198 --> 00:34:16.959]  You are very dangerous.
[00:34:18.018 --> 00:34:32.467]  And, you know, the discussion about how we try to find them will enable them to adjust.
[00:34:32.467 --> 00:34:39.572]  Now, I can understand you asking these questions, and if I were you, I'd be asking me these questions too.
[00:34:39.572 --> 00:34:41.253]  But it is a shameful act.
[00:34:42.958 --> 00:34:49.223]  By somebody who has got secrets of the United States government and feels like they need to disclose them publicly.
[00:34:49.223 --> 00:34:53.646]  Okay, let's just stop right there and let's just think about what we just heard.
[00:34:53.646 --> 00:34:56.889]  This is the individual that said he wasn't looking for Bin Laden and didn't want him.
[00:34:56.889 --> 00:35:00.572]  Buzzy Krongar, number three at CIA, said we don't want him.
[00:35:00.572 --> 00:35:05.456]  Okay, any time special forces have cornered a real Taliban or Al-Qaeda, they're told to back off.
[00:35:05.456 --> 00:35:10.059]  When they capture them, top generals fly in and order them released, because they're government ops, folks.
[00:35:10.059 --> 00:35:11.060]  Okay, this is confirmed.
[00:35:11.644 --> 00:35:13.105]  This is confirmed.
[00:35:13.105 --> 00:35:16.008]  And then he talks about a shameful act giving out intelligence.
[00:35:16.008 --> 00:35:19.992]  It's Bush that really gives out real intelligence, burning whole European networks.
[00:35:19.992 --> 00:35:20.672]  Right, Wayne?
[00:35:20.672 --> 00:35:21.173]  That's right.
[00:35:21.173 --> 00:35:27.038]  And everything he said, if you apply that to the people who leaked Mallory Plain Wilson and her Brewster Jennings
[00:35:27.463 --> 00:35:27.623]  Yes.
[00:35:42.117 --> 00:35:44.478]  Involved in all this traffic and this intelligence?
[00:35:44.478 --> 00:35:53.964]  As if Al-Qaeda, if it really existed outside of the military-industrial complex backroom creations of the seventies and eighties, as if they don't know that phones aren't listened to.
[00:35:53.964 --> 00:35:56.705]  They're not naive like the general American public.
[00:35:56.705 --> 00:36:10.153]  Well, let me tell you, Bin Laden was talking on his satellite phone up until 1996, and I'll tell you why he stopped, because the Chechen president, Dzhokhar Dudayev, was hit by a missile while he was on his satellite phone to
[00:36:10.533 --> 00:36:11.654]  Thank you for your time.
[00:36:30.003 --> 00:36:32.344]  Yeah, they're using what Benjamin Franklin used.
[00:36:32.344 --> 00:36:33.725]  Yeah, right, exactly.
[00:36:33.725 --> 00:36:35.446]  And Tom Jefferson and the rest, yeah.
[00:36:35.446 --> 00:36:37.227]  You ever seen his cipher?
[00:36:37.227 --> 00:36:38.288]  That's right, that's right.
[00:36:38.288 --> 00:36:47.833]  And this is what they, the so-called Al-Qaeda, I mean, I'm not sure they were using official channels to communicate courtesy of
[00:36:48.733 --> 00:36:53.258]  I'm afraid the next one's going to be this biological thing.
[00:36:53.258 --> 00:36:55.259]  I think, you know, we hear Bush talking about bird flu all the time.
[00:36:55.259 --> 00:36:55.660]  Of course,
[00:37:05.785 --> 00:37:21.613]  You know, here's a person with a bird brain talking about avian flu, but see, this will give them a chance to do the quarantine, and the martial law, and close the borders, and that's what I'm... How many people live in the United States?
[00:37:21.613 --> 00:37:28.436]  Bush and others in his drug addict ilk, you know, are kind of cunning like a rat, but they do have really smart people around them.
[00:37:28.436 --> 00:37:31.558]  Don't they know every time in history somebody does this, they end up getting caught?
[00:37:32.412 --> 00:37:33.913]  Yeah, I'm not sure.
[00:37:33.913 --> 00:37:35.255]  I'm not sure they know that.
[00:37:35.255 --> 00:37:45.924]  I think these people are fanatics and are radicals and I'm not sure they really... I mean, look, Hitler should have known about what happened with Napoleon.
[00:37:45.924 --> 00:37:46.845]  They always go there.
[00:37:46.845 --> 00:37:48.446]  They always go back.
[00:37:48.446 --> 00:37:50.028]  They refuse to learn from history.
[00:37:50.028 --> 00:37:57.555]  And I think this crowd of neocons whose ideological forebears were these
[00:37:58.335 --> 00:38:01.498]  People who really were fascists.
[00:38:01.498 --> 00:38:04.600]  I mean, they practiced fascism.
[00:38:04.600 --> 00:38:08.603]  Jabotinsky and... And Straussian!
[00:38:08.603 --> 00:38:09.563]  Straussian, right.
[00:38:09.563 --> 00:38:10.624]  Leo Strauss.
[00:38:10.624 --> 00:38:12.906]  These are their political godfathers.
[00:38:14.033 --> 00:38:14.794]  All right, stay there Wayne.
[00:38:14.794 --> 00:38:16.835]  I want to just keep you for the full transmission.
[00:38:16.835 --> 00:38:17.715]  Five more minutes.
[00:38:17.715 --> 00:38:19.036]  Go to Ray and Michael.
[00:38:19.036 --> 00:38:21.998]  That's all we'll have time to take is those two final calls.
[00:38:21.998 --> 00:38:25.019]  On the other side for Wayne Madsen, WayneMadsenReport.com.
[00:38:25.019 --> 00:38:27.981]  You'll find me at InfoWars.com and InfoWars.net.
[00:38:27.981 --> 00:38:29.882]  Check them out today in the InfoWars.
[00:38:29.882 --> 00:38:37.147]  We don't need no education.
[00:38:43.443 --> 00:38:51.146]  Monday through Friday, from 11 to 2 central.
[00:38:51.146 --> 00:38:52.127]  Back from 9 to midnight.
[00:38:52.127 --> 00:38:53.688]  We're here, tell them like it is.
[00:38:53.688 --> 00:38:55.268]  What did we say 5 years ago?
[00:38:55.268 --> 00:38:56.509]  What did we say 10 years ago?
[00:38:56.509 --> 00:39:01.131]  A lot of you have been listening for 5, 6, 7, 8, 9, 10, 11 years.
[00:39:01.131 --> 00:39:02.732]  We're not that smart either.
[00:39:02.732 --> 00:39:06.634]  We're just going off history and the facts and what's happening.
[00:39:06.634 --> 00:39:09.015]  Wayne Manson, I tell ya,
[00:39:10.522 --> 00:39:11.683]  I hope it's not biological.
[00:39:11.683 --> 00:39:12.784]  I think that's a real threat.
[00:39:12.784 --> 00:39:14.146]  All of this is a real threat.
[00:39:14.146 --> 00:39:19.992]  We know that certain strategic elites let Bush get into power, is letting him do a lot of this.
[00:39:19.992 --> 00:39:21.954]  Do you think they're going to let him go all the way?
[00:39:21.954 --> 00:39:26.378]  Or do you think Bush and his cronies have gone rogue?
[00:39:26.378 --> 00:39:32.465]  Because I know some of the European elite, because we've had moles inside some of their meetings, are saying that the agenda is moving too fast.
[00:39:34.027 --> 00:39:36.830]  I mean, where do you see all this going?
[00:39:36.830 --> 00:39:44.418]  You see what happened with Brent Scowcroft, who was put on by Bush's daddy there to keep an eye on him on the farm.
[00:39:46.223 --> 00:39:51.124]  President's Foreign Intelligence Advisory Board, and then Bush fired him after he got re-elected.
[00:39:51.124 --> 00:39:57.165]  So the old man lost his eyes and ears inside the intelligence structure.
[00:39:57.165 --> 00:40:01.646]  And Scowcroft came out and said, look, this isn't the same Dick Cheney that I remember.
[00:40:01.646 --> 00:40:03.427]  It's like he's a new person.
[00:40:03.427 --> 00:40:08.868]  You wonder whether Cheney's been blackmailed by some foreign power or foreign group.
[00:40:08.868 --> 00:40:15.369]  My suspicion is it's the Russian-Israeli mafia, what they call the Red Mafia.
[00:40:16.209 --> 00:40:19.590]  Through Mark Rich and Scooter Libby was Mark Rich's attorney.
[00:40:19.590 --> 00:40:20.691]  I think that's where it goes.
[00:40:20.691 --> 00:40:25.212]  I think that's why we're seeing everything happen in this administration.
[00:40:25.212 --> 00:40:26.813]  Well, the same thing went on with Clinton.
[00:40:26.813 --> 00:40:29.393]  I mean, they know what girls are, you know.
[00:40:29.393 --> 00:40:37.016]  Oh, you know, the Lewinsky thing and all the other... Denise Rich, who was Mark Rich's ex, was having an affair with Clinton.
[00:40:37.016 --> 00:40:39.356]  I think they know where all the buttons are to push.
[00:40:39.356 --> 00:40:40.897]  With Clinton, obviously, it's sex.
[00:40:40.897 --> 00:40:43.818]  With this push, it's... I don't know what his interests are.
[00:40:44.358 --> 00:40:51.721]  Sometimes I wonder if it's money, then he's got enough of that, and then you see Jeff Gannon parading around the White House press room.
[00:40:51.721 --> 00:40:55.022]  Well, we know what they like at Bohemian Grove.
[00:40:55.022 --> 00:41:01.104]  You wonder whether Bush's interests don't go totally opposite from what Bill Clinton's were.
[00:41:01.104 --> 00:41:02.945]  Yeah, well, we know what they are.
[00:41:02.945 --> 00:41:06.666]  He likes both snails and oysters, as they say in Spartacus.
[00:41:06.666 --> 00:41:08.487]  Let's talk to Ray in Delaware.
[00:41:08.487 --> 00:41:09.387]  Ray, you're on the air.
[00:41:09.387 --> 00:41:10.047]  Go ahead.
[00:41:10.047 --> 00:41:10.747]  Yeah, hi, Alex.
[00:41:10.747 --> 00:41:12.408]  You know, my specialty is the media.
[00:41:12.935 --> 00:41:22.059]  People should be outraged about this story this weekend that the New York Times held this story for a year at the request of the administration.
[00:41:22.059 --> 00:41:26.302]  That's shameful censorship of the press.
[00:41:26.302 --> 00:41:28.423]  That's real, real dangerous stuff.
[00:41:28.423 --> 00:41:30.984]  Yeah, we have them running around telling the press what they can and can't say.
[00:41:30.984 --> 00:41:32.364]  It has nothing to do with leaks.
[00:41:32.364 --> 00:41:34.646]  They're persecuting people that didn't play ball.
[00:41:34.646 --> 00:41:39.428]  Yeah, and they're absolutely using a propaganda campaign saying that the press
[00:41:40.051 --> 00:41:43.695]  By releasing these stories is aiding the enemy.
[00:41:43.695 --> 00:41:48.581]  Why isn't that little CNN twit, Novak in jail, Wayne?
[00:41:48.581 --> 00:41:50.704]  Well, yeah, good question.
[00:41:50.704 --> 00:41:54.108]  Now Novak came out and said, look, Bush knows who the leaker was.
[00:41:54.108 --> 00:41:57.392]  Yeah, well, that's good.
[00:41:57.392 --> 00:41:59.695]  Why doesn't Bush tell us who it is?
[00:42:00.103 --> 00:42:03.686]  And if Novak knows who it is, why is he sitting on the information?
[00:42:03.686 --> 00:42:04.607]  He says he's a journalist.
[00:42:04.607 --> 00:42:12.413]  You know, the other day Jack Anderson passed away, and we really lost a guy who took over the old Drew Pearson column.
[00:42:12.413 --> 00:42:15.375]  These were the guys that would have not sat on stuff.
[00:42:15.375 --> 00:42:18.998]  The minute they got it confirmed, it would have been out on their syndicated column.
[00:42:18.998 --> 00:42:19.858]  Out of time, Ray.
[00:42:19.858 --> 00:42:20.419]  Great point.
[00:42:20.419 --> 00:42:21.740]  Michael in Michigan, quickly.
[00:42:21.740 --> 00:42:23.381]  Final comments from Wayne Manson.
[00:42:23.381 --> 00:42:24.362]  Yes, hi Alex.
[00:42:24.842 --> 00:42:29.347]  I was wondering, your guest had mentioned a list of 10,000 the government has.
[00:42:29.347 --> 00:42:30.729]  I'm just wondering if I'm on the list.
[00:42:30.729 --> 00:42:34.493]  Have you heard anything about gang stalking?
[00:42:34.493 --> 00:42:37.456]  Yeah, you know, I really don't get into all that.
[00:42:37.456 --> 00:42:42.221]  I've heard about that, but it just kind of goes into a whole category that I can't confirm, so I don't cover it.
[00:42:42.221 --> 00:42:43.362]  Wayne, have you heard of that?
[00:42:43.362 --> 00:42:45.304]  No, I haven't.
[00:42:45.304 --> 00:42:46.666]  Alright, anything else there, Mike?
[00:42:48.362 --> 00:42:49.642]  All right, we're out of time.
[00:42:49.642 --> 00:42:50.523]  I'm sorry to the callers.
[00:42:50.523 --> 00:42:51.383]  We tried to get to a lot of you.
[00:42:51.383 --> 00:42:52.503]  We had two great guests on today.
[00:42:52.503 --> 00:42:54.363]  Wayne, I want to get you up on a monthly basis.
[00:42:54.363 --> 00:42:56.904]  We really always appreciate you spending time with us.
[00:42:56.904 --> 00:42:59.785]  As soon as that new book comes out, I want to carry it, okay?
[00:42:59.785 --> 00:43:01.125]  Okay, that's good April.
[00:43:01.125 --> 00:43:02.365]  Good to be with you.
[00:43:02.365 --> 00:43:02.925]  God bless you.
[00:43:02.925 --> 00:43:03.706]  Take care.
[00:43:03.706 --> 00:43:04.766]  I hope we're here in April.
[00:43:04.766 --> 00:43:06.786]  All right, we'll see you.
[00:43:06.786 --> 00:43:08.267]  All right, folks.
[00:43:08.267 --> 00:43:09.087]  God bless you all.
[00:43:09.087 --> 00:43:10.467]  Get out there and take on the New World Order.
[00:43:10.467 --> 00:43:12.908]  We can beat these people.
[00:43:12.908 --> 00:43:13.688]  This broadcast is
