[00:00.000 --> 00:20.000]  You can run on for a long time, run on for a long time, run on for a long time.
[34:43.840 --> 34:50.840]  This should honestly, Trump should have gone. Trump should honestly just go live. It's kind of a joke.
[34:50.840 --> 34:55.840]  They just found out, folks, they're running a pilot test and it's just in Texas.
[34:55.840 --> 35:04.840]  30%, so almost a third, DNA test reveal 30% of suspected fraudulent migrant families were unrelated.
[35:04.840 --> 35:10.840]  So, yeah, just as we suspected, people are using children to get into this country.
[35:10.840 --> 35:14.840]  So maybe we'll have more on that later, but I've got to air these reports because they're just so bombshell.
[35:14.840 --> 35:22.840]  And again, it's just so important to get to.
[35:22.840 --> 35:31.840]  And again, to the Democrats that love using the kids, they don't use the kids as a political barrier when it comes to abortion.
[35:31.840 --> 35:40.840]  They don't use the kids as a political barrier when it comes to the open borders.
[35:40.840 --> 35:53.840]  And it's like, I hate doing that whole Democrat-Republican because I'm not a Republican, but it's just like the Democrats are just dirtbag from the top to the bottom now.
[35:53.840 --> 36:01.840]  Wow, but I think some of them are going to jail, at least if there's any justice left in this world.
[36:01.840 --> 36:10.840]  So here is the latest report from John Bown for reportedinfowars.com, treasonous investigators investigated.
[36:10.840 --> 36:19.840]  Mr. Brennan has become a bit of a nutcase. You can watch him on television. He is insistent. He's belligerent.
[36:19.840 --> 36:28.840]  He really acts like a very guilty man, insisting, protesting a bit too much.
[36:28.840 --> 36:33.840]  Hey, Alex Jones is still on the air six days a week at infowars.com.
[36:33.840 --> 36:38.840]  Free video streams are available at infowars.com backslash show.
[36:38.840 --> 36:45.840]  Spread those links and be a part of the Second American Revolution against global tyranny. You are all Paul Revere.
[36:45.840 --> 37:01.840]  The finger pointing amongst the deep state coup minions is taking on feverish proportions. Former FBI Director Jim Comey, former CIA Director John Brennan and former Director of National Intelligence James Clapper are fumbling with a hot potato of treason,
[37:01.840 --> 37:06.840]  not seen in the United States history since the likes of Benedict Arnold.
[37:06.840 --> 37:16.840]  According to sources familiar with the records pertaining to the internal deep state collusion to create an insurance policy to take down newly elected President Trump,
[37:16.840 --> 37:35.840]  indicate that then FBI Director James Comey, according to a late 2016 email chain, told Bureau subordinates that then CIA Director John Brennan insisted the steel Hillary Clinton dossier be included in the intelligence community assessment on Russian interference.
[37:35.840 --> 37:42.840]  I do believe it's important that there be an understanding about just how strongly predicated that investigation was.
[37:42.840 --> 37:54.840]  I was there in the summer of 16 and it was very well predicated to launch this counterintelligence investigation about what the Russians were doing to interfere in our election and who among American citizens might have been working with them.
[37:54.840 --> 38:10.840]  There was no proper predicate. There were no facts to sustain a counterintelligence investigation and the facts that did exist were made up by the U.S. intelligence community, fed to the FBI through foreign sources and then used to obtain FISA warrants.
[38:10.840 --> 38:27.840]  Another massive eye-opener just around the bend is the mounting evidence on former CIA Director and self-proclaimed communist John Brennan's involvement with moving the steel Clinton dossier through corrupt channels in Washington D.C. to attain illegal FISA warrants.
[38:27.840 --> 38:43.840]  First of all, Mr. Brennan is the primogenitor of this entire plot. All of this started with him insisting that there be an investigation by the FBI into Mr. Trump and his campaign with no evidence whatsoever.
[38:43.840 --> 39:00.840]  He enlisted the services of foreign intelligence services to assist in planting evidence that would find its way to the FBI and eventually into applications for foreign intelligence surveillance act electronic warrants.
[39:00.840 --> 39:09.840]  Mr. Brennan has become a bit of a nutcase. You can watch him on television. He is insistent. He's belligerent.
[39:09.840 --> 39:16.840]  He really acts like a very guilty man, insisting, protesting a bit too much.
[39:16.840 --> 39:19.840]  Is this president letting our country down?
[39:19.840 --> 39:33.840]  Well, I think the president has shown a lack of understanding of international affairs as well as a real ignorance of what it takes to be president of the United States as mean spirited.
[39:33.840 --> 39:41.840]  He is dishonest. He has shown a lack of integrity and he has continued to, I think, demean the office of the presidency.
[39:41.840 --> 39:52.840]  In this type of behavior and actions on the part of foreign tyrants and despots, I never ever thought that I would see it here in the United States.
[39:52.840 --> 39:59.840]  Does CIA spy? Yes. Do we spy against the foreign adversaries? Yes. Do we spy against domestic individuals? No, we do not.
[39:59.840 --> 40:05.840]  They spy on the Trump campaign. They spy on Carter Page. They spy on Papadopoulos. They spy on Sam Clovis.
[40:05.840 --> 40:11.840]  They were spying all over the place, weaponizing the powerful tools of intelligence.
[40:11.840 --> 40:16.840]  By the way, didn't Brennan seem awfully defensive for someone who has done nothing wrong?
[40:16.840 --> 40:31.840]  He was discovered in the last week, some very fine reporting by John Solomon of the Hill, that made a major memorandum concerning Christopher Steele had been hidden by the FBI from the inspector general.
[40:31.840 --> 40:41.840]  That memorandum was written by a deputy assistant secretary of state who said after meeting with her staff with Christopher Steele who came in to see them,
[40:41.840 --> 40:51.840]  that he was basically a liar, unreliable, that he had a bias against the president and his campaign, that he wanted to hurt the president,
[40:51.840 --> 40:56.840]  that he helped Hillary Clinton, and that he wanted to get this information out before the election.
[40:56.840 --> 41:07.840]  This woman, the deputy assistant secretary, her name was Cavalic, wrote a memo to the FBI and sent it to them immediately within 24 hours.
[41:07.840 --> 41:11.840]  The FBI, we now know, received it and did nothing about it.
[41:11.840 --> 41:17.840]  So even with all of the silencing of truth-seeking journalists and an ongoing violation of the premier law of the land,
[41:17.840 --> 41:27.840]  the Democrats still can't avoid the very serious investigation now in the very capable hands of John H. Durham, the United States attorney in Connecticut,
[41:27.840 --> 41:36.840]  who as a special prosecutor has investigated a legend wrongdoing among national security officials, which included the FBI's ties to the Boston Mafia.
[41:36.840 --> 41:41.840]  And with this mounting nightmare for the Democrats, the pushback will be monumental.
[41:41.840 --> 41:45.840]  John Ballin reporting.
[41:45.840 --> 41:57.840]  Now, this is what's really going to be exposed, but they'll never really be justice done, how they used Russia as the biggest excuse ever.
[41:57.840 --> 42:07.840]  And that was the big justification. They're illegally spying, well, on everybody, but they targeted Donald Trump and his campaign totally illegally.
[42:07.840 --> 42:10.840]  They're caught red-handed and Russia was the biggest.
[42:10.840 --> 42:19.840]  Oh, we're just protecting the country from Russia. We're just protecting from Russia.
[42:19.840 --> 42:31.840]  Yes, yes. But you know, it's funny because Brennan said something pretty revealing in that MSNBC clip about Trump not knowing how international affairs work.
[42:31.840 --> 42:40.840]  Well, what he's saying is that we've been corrupting international affairs for like 100 years and Trump is trying to do it clean, and that's unacceptable.
[42:40.840 --> 42:47.840]  John Brennan, you bastard, you belong in jail and you know it.
[42:47.840 --> 42:54.840]  They've not shut down our speech. We're at infowars.com and newswars.com, and we're defeating the leftist tyrants.
[42:54.840 --> 43:02.840]  I got mobbed on the streets by fans, but almost all of them said, we used to love you on air. It was so good to see you on, you know, the iTunes or on YouTube.
[43:02.840 --> 43:11.840]  Are you coming back? We're at infowars.com. We're at newswars.com. Paul Watts has launched his own summit.News. We have our own videos. We have our own articles.
[43:11.840 --> 43:18.840]  They're trying to destroy us, but thanks to you and others having us on, infowars is still chatting along, so we're there, folks, tomorrow's news, today.
[43:18.840 --> 43:22.840]  infowars.com, man! Woo!
[43:22.840 --> 43:24.840]  Where are you coming from?
[43:24.840 --> 43:29.840]  infowars.com, because there's a bunch of people out here talking about infowars.com.
[43:29.840 --> 43:37.840]  I'm at infowars.com and newswars.com. We knew this censorship was coming forever. We have our own video streams, our own audio streams, and it's all free to air.
[43:37.840 --> 43:40.840]  Anybody can use it, reupload it, do whatever you want.
[43:40.840 --> 43:47.840]  People go to infowars.com and newswars.com. That's where they find it. You know, there's what things go websites. Please go there.
[44:11.840 --> 44:19.840]  But then you add not just the fact that this is the strongest, most concentrated, highest quality bone broth out there, literally.
[44:19.840 --> 44:30.840]  Then you have the chaga mushroom, then you have the turmeric, then you have the bee pollen, then you have the other key ingredients that are all known to just make people incredibly strong and healthy.
[44:30.840 --> 44:37.840]  Our ultimate bone broth formula is amazing. It's 50% off right now at infowars.com because I want you to try it and see how great it is.
[44:37.840 --> 44:40.840]  And of course, getting the bone broth isn't just great for you and your family.
[44:40.840 --> 45:09.840]  It's also amazing when it comes to funding our operation that's taken on the globalists and fighting for all of our freedoms.
[45:11.840 --> 45:17.840]  Ancient Mayan knowledge is paired with the natural fertility of the land to generate the world's finest coffee bean.
[45:17.840 --> 45:22.840]  Carefully harvested and free of toxic chemicals used in big agricultural productions,
[45:22.840 --> 45:29.840]  Patriot blend coffees have a smooth, bold flavor with great depth to give you just what you need in the morning.
[45:29.840 --> 45:37.840]  You can even choose to start your morning healthier with the immune support blend infused with a powerful blend to support your immune response and stamina.
[45:37.840 --> 45:48.840]  It's time to take care of your morning routine. Get a bag of Patriot blend coffee to support the show while enhancing your morning routine at infowars.com.
[46:07.840 --> 46:20.840]  5 different types of caffeine, pills that have to crash.
[46:20.840 --> 46:31.840]  5 different types of caffeine, pills that have to crash.
[46:31.840 --> 46:57.840]  6 different types of caffeine, pills that have to crash.
[46:57.840 --> 47:19.840]  You've found it, the tip of the spear. It is the Alex Jones Show with Owen Troyer.
[47:19.840 --> 47:32.840]  1776 is happening worldwide for nationalism and non-regressive progressivism.
[47:32.840 --> 47:50.840]  And Tommy Robinson and the Tommy Robinson story is one microcosm, though it is a rather large one.
[47:50.840 --> 48:10.840]  There was a rally for his supporters, hashtag vote Tommy campaign rally in Oldham and let's just go to some of this audio real quick and then I'll break down some of the b-roll.
[48:10.840 --> 48:20.840]  People ready to attack me. On Saturday I visited a working class estate in Oldham. Just like for the last three weeks I've travelled the north west visiting different working class estates.
[48:20.840 --> 48:28.840]  Each one of my events have been peaceful family events where people have bought their children so there's an opportunity for me to speak to my future constituents.
[48:28.840 --> 48:42.840]  The difference for Oldham's for the past week, a Muslim organisation on Facebook has literally been inciting attacks against me and organising on planet attacks against me in Oldham, telling people to come and throw milkshakes at me, but not just milkshakes, anything they want.
[48:42.840 --> 48:49.840]  So before getting to my political rally, I decided to take a walk through Oldham Town Centre. I had some interesting debates with members of the public.
[48:49.840 --> 48:59.840]  I'm from Afghanistan and I appreciate what you do for your people and I like what you do for your people. Thank you bro. I know some people are doing b***h in this country, they shouldn't do that.
[48:59.840 --> 49:09.840]  We come to this country, we should respect their law, we should respect their traditions and we should respect their culture. Thank you bro.
[49:09.840 --> 49:19.840]  Little did I know loads of masked folks were on their way to attack my family friendly event.
[49:19.840 --> 49:32.840]  The biggest shock from what happened on Saturday, what you're going to witness is that hundreds of Muslims wearing balaclavas intent on violence were marched and escorted for miles by Greater Manchester Police.
[49:32.840 --> 49:53.840]  They were marched to our campaign event, our campaign event miles away from any Muslim community. They were marched there intent on violence and they come armed with bricks and they attacked a family event with women and children present.
[49:53.840 --> 50:02.840]  Now you can see the men coming there with their faces covered. Clearly, you know.
[50:02.840 --> 50:05.840]  Time to show, tell me what time it is guys.
[50:05.840 --> 50:09.840]  And the police are escorting them.
[50:09.840 --> 50:22.840]  You guys make sure you go and show some support to the locals here. Go and join the Muslim Defence League page if you're on your way.
[50:22.840 --> 50:33.840]  So now they've began chanting, again face is covered, with a police escort to Tommy Robinson's family friendly peaceful rally.
[50:33.840 --> 50:55.840]  And they've come from Halifax, Halifax Pakistanis. Halifax isn't even in the Northwest. This is premeditated. Gangs of young men, young Muslim men armed with balaclavas intent on attacking a political campaign. Not just intent on attacking it, but aided and abetted and supported and diverted there by the local police.
[50:55.840 --> 51:03.840]  We're here man, we're here, we're here. It's been only 10 minutes, room back into the area.
[51:03.840 --> 51:06.840]  Yo, where is the, where are they all man?
[51:06.840 --> 51:15.840]  So again you're just seeing the Muslim group here chanting as they're marching to Tommy's rally with a police escort.
[51:15.840 --> 51:24.840]  No one, this is our religion. Tommy, you piece of shit. We're here. Come on. You crying on Twitter and everything you little bitch.
[51:24.840 --> 51:43.840]  I mean really these are all just young military aged men that are just all hopped up in some gang culture warfare.
[51:43.840 --> 51:57.840]  So now you can see the police are standing there as they're throwing bricks into this event. This is, this is shocking stuff.
[51:57.840 --> 52:01.840]  There's children in there.
[52:01.840 --> 52:15.840]  All right, just leave the bureau running here because just leave the bureau running now. Again, now the police are trying to separate the two.
[52:15.840 --> 52:24.840]  This is, this is incredible. Now, I'm a pretty calm demeanor today, so I think I could actually pull this off.
[52:24.840 --> 52:43.840]  But again, let me give you the commentary about what's going on here. A group of Muslims, all military aged men, clearly hopped up on a gang tribalistic culture warfare here.
[52:43.840 --> 52:54.840]  Flashing symbols and all this stuff like a bunch of thugs, all military aged men, they get a, I'm just, I can't believe this, a police escort.
[52:54.840 --> 53:10.840]  They're not from this area of town and they get a police escort to show up at a political event and get violent and they start lobbing bricks and other projectiles into the crowd of families
[53:10.840 --> 53:27.840]  that aren't just at a peaceful political rally in their hometown and the police are standing idly by as bricks and other deadly weapons are heaved into a crowd of families.
[53:27.840 --> 53:33.840]  Now let's go back to the audio from this video from votetommy.co.uk
[53:33.840 --> 53:42.840]  They're waiting for you there, come, come, do your window up, do your window up and then cover their faces, okay, it's bricks and bricks. Cover their faces.
[53:42.840 --> 53:45.840]  This is unbelievable.
[53:45.840 --> 53:46.840]  Bricks and bottles.
[53:46.840 --> 53:50.840]  Yes, so they're asking for crumbly passing just to come out of the way for the time being, like, if we can't, we don't.
[53:50.840 --> 53:52.840]  No, no, no, no, no.
[53:52.840 --> 53:56.840]  Hold on, so you've got officers under attack by who?
[53:56.840 --> 54:02.840]  I can't hear you. You know who? Just pull the audio back down, keep the B row running.
[54:02.840 --> 54:21.840]  Now, one of our roles here at InfoWars is to say and do the things that nobody else has the courage to do and say and then be that leading edge and be that dark night and take all the arrows.
[54:21.840 --> 54:26.840]  And so I'm not happy with what I'm about to say.
[54:26.840 --> 54:34.840]  In fact, I'm, I'm disappointed in what I have to say, but we have to say it.
[54:34.840 --> 54:36.840]  Britain is lost.
[54:36.840 --> 54:53.840]  Britain has been conquered by Islam and then also by the radical leftist clown world, which also will not be able to coexist with one another.
[54:53.840 --> 55:00.840]  But so basically you have three options right now if you're in the UK.
[55:00.840 --> 55:11.840]  And that's either let Islam take over your culture, continue the political trend of the radical left to clown world, your culture.
[55:11.840 --> 55:31.840]  Prior to cannot coexist or people that actually want European culture and British culture to exist in the UK are literally going to have to start fighting a hot war.
[55:31.840 --> 55:34.840]  Now, I don't take pride in saying that.
[55:34.840 --> 55:36.840]  I'm not happy that I had to say that.
[55:36.840 --> 55:45.840]  I'm disappointed in myself that I had to say that and I know that the enemies of this broadcast are going to take that quote and probably publish it and say I'm calling for violence.
[55:45.840 --> 55:46.840]  No, no, I'm not.
[55:46.840 --> 55:47.840]  I don't want any violence.
[55:47.840 --> 55:48.840]  I want all peace.
[55:48.840 --> 55:49.840]  I'm a very peaceful person.
[55:49.840 --> 55:56.840]  In fact, I'm just telling it like it is.
[55:56.840 --> 56:04.840]  And England is dead unless they want to fight for it.
[56:04.840 --> 56:07.840]  And I, you know, I've seen the videos.
[56:07.840 --> 56:17.840]  I know the Tommy Robinson story, but after seeing all that and then seeing this still go on and you can tell.
[56:17.840 --> 56:18.840]  I mean, don't get me wrong.
[56:18.840 --> 56:21.840]  I respect and admire Tommy Robinson.
[56:21.840 --> 56:30.840]  The man is a bulldog, but you can tell they've, I mean, they've castrated him.
[56:30.840 --> 56:39.840]  And so a part of me is seeing that and actually seeing how he's more powerful now that he has that approach to things.
[56:39.840 --> 56:52.840]  But I mean, it just shows how it's been, how they've just been totally defeated and they get to be overrun by a bunch of Islamic thugs.
[56:52.840 --> 57:03.840]  That are just trained in some tribalistic gang culture war to go in and take over the West.
[57:03.840 --> 57:11.840]  And that's what this is.
[57:11.840 --> 57:20.840]  So I see that and I say, boy, I don't want to see that in the United States of America.
[57:20.840 --> 57:23.840]  I don't because, hey, guess what?
[57:23.840 --> 57:31.840]  They'll march up with a group of Muslims to Pete Butt judges political rally and start throwing bricks next.
[57:31.840 --> 57:38.840]  So the Democrats you might want to wake up to.
[57:38.840 --> 57:41.840]  Since the beginning, Secret 12 has been one of our most popular formulas.
[57:41.840 --> 57:44.840]  Now we're bringing you an all new version to help you reach your energy peak.
[57:44.840 --> 57:51.840]  Ultra 12 from Info Wars Life takes advantage of the most effective and expensive form of B12 available, methylcobalamin, to provide you with twice the B12.
[57:51.840 --> 57:58.840]  Ultra 12 can help make DNA, support the body's energy production and help produce healthy blood cells while assisting proper nervous system function.
[57:58.840 --> 58:02.840]  Take advantage of the superior form of B12 and head to InfoWarsStore.com today.
[58:02.840 --> 58:05.840]  Get Ultra 12 now at 50% off.
[58:05.840 --> 58:14.840]  You like Secret 12? This is Secret 12, but twice as strong. So I called it Ultra 12 and we decided I liked Secret 12 plus.
[58:14.840 --> 58:17.840]  But they said, look, when you do plus, people don't get that it means better and more. Just call it Ultra 12.
[58:17.840 --> 58:21.840]  Well, you know what? I don't like how the label's printed and it just so happens it already been labeled with the other.
[58:21.840 --> 58:31.840]  We decided to change the name. So when you peel off the label underneath it, it's Secret 12 plus twice as strong, 50% off right now.
[58:31.840 --> 58:36.840]  Better than Secret 12 ever was. InfoWarsStore.com now back in stock at four months sold out.
[58:39.840 --> 58:42.840]  Mike in New Jersey. You're on the air. Thanks for calling Mike.
[58:42.840 --> 58:47.840]  You are the man, Alex. I'm so glad to be talking to you. I'm so excited. I'm such a big fan.
[58:47.840 --> 58:52.840]  Ever since I've been listening, I've been buying your products. I got to do a shout out for the bone broth.
[58:52.840 --> 58:57.840]  The bone broth. The bone broth. The bone broth. The bone broth.
[58:57.840 --> 59:02.840]  It tastes like, tastes like, um, great milkshake. You know, if you just add it to milk.
[59:02.840 --> 59:08.840]  It tastes like oval theme. It tastes like oval theme. It tastes like oval theme. Like, good.
[59:08.840 --> 59:14.840]  I feel great since I've been taking it. My daughter uses the bubblegum fluoride free toothpaste.
[59:14.840 --> 59:20.840]  I've used the, uh, super male vitality, a host of other products. So thank you so much for that as well.
[59:20.840 --> 59:23.840]  Brother, you're thanking me for buying the products. Give me some air. I'm thanking you.
[59:23.840 --> 59:29.840]  But yes, this is the ultimate bone broth formula with the turmeric, the chocolate mushroom, the true bone broth.
[59:29.840 --> 59:31.840]  It is next level. It really is good. So thank you.
[59:31.840 --> 59:54.840]  I feel great since I've been taking it. Thank you.
[01:00:01.840 --> 01:00:15.840]  Joan's show and now your host, Owen Troyer.
[01:00:15.840 --> 01:00:20.840]  You know, I wonder what is going to happen next.
[01:00:20.840 --> 01:00:25.840]  When, wait, you already see the response from the left.
[01:00:25.840 --> 01:00:33.840]  When Trump won the presidency, you see when he tweets, you see when he makes, uh, political action and decision.
[01:00:33.840 --> 01:00:44.840]  But can you imagine if he actually goes through, I mean, because he said treason, I think four or five times now, um, on Twitter
[01:00:44.840 --> 01:00:50.840]  and then a couple times also in a press conference. So I mean, where's the treason going to land?
[01:00:50.840 --> 01:00:59.840]  I mean, we know the group of names. We know the viral meme that the president tweeted out with Holder and Brennan Lynch and Comey
[01:00:59.840 --> 01:01:05.840]  and Obama and Clinton and Clinton all behind bars.
[01:01:05.840 --> 01:01:11.840]  So can you imagine what the left will do if that day comes?
[01:01:11.840 --> 01:01:26.840]  So this was the meme, the image tweeted by the president with Brennan and Lynch and Clapper and Obama and Holder and all of them behind bars.
[01:01:26.840 --> 01:01:33.840]  So we've already seen how the left has responded to Donald Trump winning the presidency with the violence and everything.
[01:01:33.840 --> 01:01:42.840]  How will they respond to that? And so Darren McBreen has put together a clip, uh, just another compilation.
[01:01:42.840 --> 01:01:48.840]  I mean, how many have we made? Here is the latest Ultimate Win Liberals Attack compilation.
[01:01:48.840 --> 01:01:56.840]  I'm going to grow a magnificent pair of breasts. I'm going to transition into a woman. It'll be great.
[01:01:56.840 --> 01:02:09.840]  You should crawl back into your mother's rancid womb, just think for a few more hours, slide back out, and then learn something about not being entitled white piece of shit.
[01:02:09.840 --> 01:02:14.840]  This is Trump people. When the government is wrong, pussies.
[01:02:14.840 --> 01:02:20.840]  Yeah, you're an idiot. You have as a fucking president, he's a racist, stupid piece of shit.
[01:02:20.840 --> 01:02:23.840]  If you guys are working for Alex Jones, you're working for a murderer.
[01:02:23.840 --> 01:02:26.840]  Alex Jones is an asshole.
[01:02:26.840 --> 01:02:28.840]  Ampho Wars is fake news.
[01:02:28.840 --> 01:02:32.840]  Ampho Wars runs. Ampho Wars runs.
[01:02:32.840 --> 01:02:33.840]  I got a chance going.
[01:02:33.840 --> 01:02:39.840]  If you had to choose one prominent person to be banned next, who would you choose? You.
[01:02:39.840 --> 01:02:42.840]  Excuse me, sir.
[01:02:42.840 --> 01:02:44.840]  Excuse me, it's ma'am.
[01:02:44.840 --> 01:02:51.840]  This is what's happening to the men in our country. Where are the men? Stop touching my stuff. I'm backing away. Stop.
[01:02:51.840 --> 01:02:52.840]  What are you doing?
[01:02:52.840 --> 01:02:53.840]  Get the f***ing stuff in and don't film me!
[01:02:53.840 --> 01:02:54.840]  You're not allowed!
[01:02:54.840 --> 01:02:55.840]  You can't use me!
[01:02:55.840 --> 01:02:56.840]  I'll trump that f***er up!
[01:02:56.840 --> 01:02:57.840]  Please do not touch me.
[01:02:57.840 --> 01:02:58.840]  Please do not touch me.
[01:02:58.840 --> 01:02:59.840]  What's a givest man?
[01:02:59.840 --> 01:03:00.840]  I actually said both of you guys.
[01:03:00.840 --> 01:03:01.840]  Right beforehand you f***ing said sir!
[01:03:01.840 --> 01:03:02.840]  Can't say a boobstrap on my shirt because I'm a liberated woman!
[01:03:02.840 --> 01:03:03.840]  I am!
[01:03:03.840 --> 01:03:04.840]  Trump supporters!
[01:03:04.840 --> 01:03:05.840]  Trump supporters!
[01:03:05.840 --> 01:03:06.840]  Trump supporters!
[01:03:06.840 --> 01:03:07.840]  Trump supporters!
[01:03:07.840 --> 01:03:08.840]  Trump supporters!
[01:03:08.840 --> 01:03:09.840]  Trump supporters!
[01:03:09.840 --> 01:03:10.840]  Trump supporters!
[01:03:10.840 --> 01:03:11.840]  Trump supporters!
[01:03:11.840 --> 01:03:12.840]  Trump supporters!
[01:03:12.840 --> 01:03:13.840]  Trump supporters!
[01:03:13.840 --> 01:03:20.840]  Trump supporters are pussies, pussies, motherf***in' pussies!
[01:03:20.840 --> 01:03:29.840]  Get the f*** out of my face!
[01:03:29.840 --> 01:03:30.840]  Go home!
[01:03:30.840 --> 01:03:31.840]  Go home!
[01:03:31.840 --> 01:03:32.840]  Go home!
[01:03:32.840 --> 01:03:33.840]  What is your f***ing problem?
[01:03:33.840 --> 01:03:34.840]  Filming bro!
[01:03:34.840 --> 01:03:35.840]  Filming bro!
[01:03:35.840 --> 01:03:36.840]  Filming bro!
[01:03:36.840 --> 01:03:37.840]  Filming bro!
[01:03:37.840 --> 01:03:38.840]  Filming bro!
[01:03:38.840 --> 01:03:39.840]  Filming bro!
[01:03:39.840 --> 01:03:44.840]  Get the f*** out of my face!
[01:03:44.840 --> 01:03:46.600]  Are you farting at me?
[01:03:46.600 --> 01:03:51.200]  You fucking farted at me!
[01:03:51.200 --> 01:03:53.640]  Get the hell out of here!
[01:03:53.640 --> 01:04:00.080]  Get the people to hell outta here right now.
[01:04:00.080 --> 01:04:04.860]  Fuck off!
[01:04:04.860 --> 01:04:08.360]  Get out!
[01:04:08.360 --> 01:04:28.000]  There's something deeply disturbed with humanity right now, folks.
[01:04:28.000 --> 01:04:35.160]  And you know why they want everybody focused on a bunch of superficial bullcrap is so that
[01:04:35.160 --> 01:04:47.360]  you miss the demons right in front of your eyes, like in that video.
[01:04:47.360 --> 01:04:51.320]  Infowarsstore.com is how you support us and it's not like we're selling stuff you don't
[01:04:51.320 --> 01:04:52.440]  need, you don't want.
[01:04:52.440 --> 01:04:59.360]  The air in the average American home is filled with toxins that put it on par with a major
[01:04:59.360 --> 01:05:00.360]  city.
[01:05:00.360 --> 01:05:04.000]  There's some of the most polluted areas on earth, our major cities.
[01:05:04.000 --> 01:05:05.760]  How can I solve that problem?
[01:05:05.760 --> 01:05:10.720]  So we have air filters at Infowarsstore.com, the Alexa Pure Breeze, which is right now
[01:05:10.720 --> 01:05:19.480]  $50 off the Alexa Pure Breeze groundbreaking iron cluster air filter technology.
[01:05:19.480 --> 01:05:22.400]  And we've got a limited quantity of these left right now.
[01:05:22.400 --> 01:05:25.800]  We're basically selling these at cost because there was a big overhaul.
[01:05:25.800 --> 01:05:30.160]  Go ahead and read the hundreds of five-star reviews for yourself.
[01:05:30.160 --> 01:05:35.800]  I've got two in my home, you will notice the difference, ladies and gentlemen, with the
[01:05:35.800 --> 01:05:38.440]  Alexa Pure Breeze in your house.
[01:05:38.440 --> 01:05:42.960]  Don't live in a polluted major city in your home.
[01:05:42.960 --> 01:05:43.960]  Have clean air.
[01:05:43.960 --> 01:06:06.240]  Go to Infowarsstore.com.
[01:06:13.960 --> 01:06:26.600]  Will, our next guest, became another example of censorship and the attack on the First
[01:06:26.600 --> 01:06:30.600]  Amendment in this country.
[01:06:30.600 --> 01:06:38.120]  Sof on YouTube, who had a bunch of viral videos famous for her satire videos on her YouTube
[01:06:38.120 --> 01:06:45.400]  channel, then did a satire video on Islam and of course got struck down for that.
[01:06:45.400 --> 01:06:49.960]  So that's the untouchable comedy, I suppose.
[01:06:49.960 --> 01:06:55.240]  And so that satire had her shut down, but she's very popular on social media, was very
[01:06:55.240 --> 01:07:01.080]  popular on YouTube and quite frankly, now even more popular since they decided to try
[01:07:01.080 --> 01:07:03.160]  to censor her.
[01:07:03.160 --> 01:07:07.920]  But there has been a new development in this story.
[01:07:07.920 --> 01:07:13.360]  Police investigating after North Bay Teen makes hate-based videos.
[01:07:13.360 --> 01:07:16.320]  And so Sof joins me now.
[01:07:16.320 --> 01:07:21.080]  Sof, what is the latest development with this police investigation after people are now
[01:07:21.080 --> 01:07:23.560]  labeling your videos hate?
[01:07:23.560 --> 01:07:31.320]  Well, I was contacted by the police that, well, at first they came to me asking if I
[01:07:31.320 --> 01:07:36.680]  had any threats made towards me, if I was in any danger, because of my views, if any
[01:07:36.680 --> 01:07:39.520]  students were threatening me.
[01:07:39.520 --> 01:07:44.960]  And I appreciated that, but they also had to launch, I guess, a formal investigation
[01:07:44.960 --> 01:07:54.200]  of the satirical threats I made against the CEO of YouTube, Susan, because I guess YouTube
[01:07:54.200 --> 01:07:58.520]  and law enforcement work closely together and they have to take those sorts of things
[01:07:58.520 --> 01:08:03.560]  seriously and a lot of people were calling in, pretending to think those threats were
[01:08:03.560 --> 01:08:09.000]  serious so they could bring me harm and cause more trouble for me.
[01:08:09.000 --> 01:08:13.640]  Now is this something that you've dealt with before people threatening you because of your
[01:08:13.640 --> 01:08:16.920]  videos or was it only after the Be Not Afraid video?
[01:08:16.920 --> 01:08:19.600]  It was only after that video.
[01:08:19.600 --> 01:08:26.440]  I had a large audience, but nobody in the mainstream or anybody out to get me had their
[01:08:26.440 --> 01:08:28.600]  eyes on me before.
[01:08:28.600 --> 01:08:33.960]  And nobody had ever labeled you as hate-based videos or targeted you for censorship or anything
[01:08:33.960 --> 01:08:35.960]  like that?
[01:08:35.960 --> 01:08:36.960]  Not really.
[01:08:36.960 --> 01:08:41.720]  I mean, a little bit before there was another YouTuber who sort of came after me trying to
[01:08:41.720 --> 01:08:45.040]  call me all right, trying to call me a racist.
[01:08:45.040 --> 01:08:49.640]  I ended up debating him and he pretty much agreed that I wasn't by the end of it.
[01:08:49.640 --> 01:08:55.880]  So that was the only real instance of that before.
[01:08:55.880 --> 01:09:02.000]  Now what exactly are the police saying to you that they're worried that people are going
[01:09:02.000 --> 01:09:07.320]  to be coming after you or they're just concerned that people are threatening you or are they
[01:09:07.320 --> 01:09:10.840]  worried just about you in general?
[01:09:10.840 --> 01:09:15.640]  I think they're sort of, I think they're just doing their job, I guess.
[01:09:15.640 --> 01:09:20.120]  They have to look into these things and look into the things I'm saying and make sure that
[01:09:20.120 --> 01:09:25.480]  I'm not going to commit any acts of violence, but I think they're also concerned now that
[01:09:25.480 --> 01:09:32.640]  I'm in such a public light that people are going to be doxing me, showing up to my house,
[01:09:32.640 --> 01:09:37.680]  releasing personal information about me and putting me into serious danger.
