[00:00:09.372 --> 00:00:13.456]  The system isn't broken.
[01:09:16.599 --> 01:09:18.900]  Right now, this is where all the migrants come to.
[01:09:18.900 --> 01:09:19.340]  Right here.
[01:09:19.340 --> 01:09:20.941]  All the aliens come right on this road.
[01:09:20.941 --> 01:09:21.822]  Highway 1.
[01:09:21.822 --> 01:09:24.423]  They come up in about probably 60 buses today.
[01:09:24.423 --> 01:09:25.644]  About 6-0.
[01:09:25.644 --> 01:09:26.924]  Roughly 5 dozen.
[01:09:26.924 --> 01:09:28.645]  They'll go to the Costa Rica border.
[01:09:28.645 --> 01:09:32.267]  They're allowed to go into Costa Rica now without showing their, uh, passports.
[01:09:32.267 --> 01:09:33.688]  In fact, there's one now.
[01:09:33.688 --> 01:09:36.709]  And so, that might be a... That's a local bus.
[01:09:36.709 --> 01:09:37.289]  Okay.
[01:09:37.289 --> 01:09:40.391]  Anyway, it's the same sort of bus, but that's a local bus.
[01:09:40.391 --> 01:09:43.673]  But the, um... So, yeah.
[01:09:43.673 --> 01:09:46.114]  At this rate, they're building more infrastructure.
[01:09:46.946 --> 01:09:49.748]  The United States government is paying for a lot of this.
[01:09:49.748 --> 01:09:50.708]  Openly paying for it.
[01:09:50.708 --> 01:09:52.509]  It's not hidden whatsoever.
[01:09:52.509 --> 01:09:54.010]  And paying for the camps.
[01:09:54.010 --> 01:09:55.611]  The United States is paying.
[01:09:55.611 --> 01:09:57.032]  Our flag is in those camps.
[01:09:57.032 --> 01:09:58.712]  I'm in those camps often.
[01:09:58.712 --> 01:10:03.815]  And now, this year, the flows, last month was $82,000 according to the Panamanian government.
[01:10:03.815 --> 01:10:05.056]  Aliens came through Highway 1.
[01:10:06.286 --> 01:10:07.347]  82,000, right?
[01:10:07.347 --> 01:10:13.068]  And I would strongly bet that next year will be over a million, in 2024.
[01:10:13.068 --> 01:10:14.889]  Because I'm watching the camps being built.
[01:10:14.889 --> 01:10:20.671]  For instance, just about five days ago, we were out in the Darien Gap near a village called Lajas Blancas.
[01:10:20.671 --> 01:10:23.051]  There's a new camp being built by Lajas Blancas.
[01:10:23.051 --> 01:10:28.213]  Lajas Blancas is a village of Imbara Indians I go out to pretty frequently.
[01:10:28.213 --> 01:10:29.773]  And that's way out in the Darien Gap.
[01:10:29.773 --> 01:10:31.994]  It takes three hours or four hours by foot.
[01:10:31.994 --> 01:10:32.954]  I'm using Chinese.
[01:10:32.954 --> 01:10:34.415]  I made that video last week.
[01:10:35.116 --> 01:10:38.480]  Uh, they, uh, they're building a new camp out there.
[01:10:38.480 --> 01:10:46.772]  So, a few days, about four days ago or five days ago, we were out there and, uh, about more than a hundred inbred, that's the camp I, uh, droned last night, actually.
[01:10:46.772 --> 01:10:49.076]  That's the inbred camp right down this road.
[01:10:49.076 --> 01:10:49.717]  So, uh,
[01:10:50.720 --> 01:10:53.803]  They're building a new camp out there that's multiples bigger than that one.
[01:10:53.803 --> 01:10:56.906]  I'd say seven times bigger, roughly.
[01:10:56.906 --> 01:10:59.449]  And, uh, yeah, easily seven times bigger.
[01:10:59.449 --> 01:11:08.999]  This new camp is going to be big enough for, it's about 14 acres so far, but we saw over 100 Imbra Indians out there with their machete cutting the jungle down to make a new camp.
[01:11:08.999 --> 01:11:13.744]  That's why I'm not just randomly saying that I think at least a million people will come down this
[01:11:15.086 --> 01:11:19.993]  I mean, last month alone was $82,000, and this is raining season, right?
[01:11:19.993 --> 01:11:25.542]  And so I think, whenever I give an estimate like this, it's usually pretty conservative.
[01:11:25.542 --> 01:11:29.147]  If you go back and you audit this at the end of 2024, you'll probably see it.
[01:11:29.708 --> 01:11:31.989]  Some number far higher than a million.
[01:11:31.989 --> 01:11:33.450]  And so that's it.
[01:11:33.450 --> 01:11:34.510]  This is the invasion.
[01:11:34.510 --> 01:11:37.151]  This is not the only place where invasion takes place.
[01:11:37.151 --> 01:11:38.652]  You're down on the border a lot.
[01:11:38.652 --> 01:11:39.432]  You know what you've seen.
[01:11:39.432 --> 01:11:40.833]  I've been down there with you.
[01:11:40.833 --> 01:11:45.595]  I mean, and so there's many other flows that join besides the Darien Gap.
[01:11:45.595 --> 01:11:49.257]  There's flows through, of course, many of the Chinese will fly to Cancun first.
[01:11:49.257 --> 01:11:50.798]  They'll fly to Mexico City first.
[01:11:52.310 --> 01:11:57.655]  Many will fly to, actually, Bahamas, and they're coming up on Florida shores in boats that they buy in the Bahamas.
[01:11:57.655 --> 01:12:03.139]  Of course, we've got a lot of people coming over the northern border from Canada, a place formerly known as Canada.
[01:12:03.139 --> 01:12:14.429]  And then we have also, again, going back to Central America, many people fly into Nicaragua, many Cubans fly into Nicaragua, and many fly into
[01:12:15.309 --> 01:12:18.871]  Also, El Salvador, and other places, and then they can still make it work.
[01:12:18.871 --> 01:12:23.833]  And not only that, I mean, there's places in Guatemala where the villages are essentially empty.
[01:12:23.833 --> 01:12:27.074]  I mean, the villages are emptied out, and they're in the United States.
[01:12:27.074 --> 01:12:29.835]  I mean, so basically, we're getting a bunch of favelas.
[01:12:29.835 --> 01:12:31.476]  And you see on that train right there?
[01:12:31.476 --> 01:12:34.297]  I think that one goes probably through Piedra dos Negros.
[01:12:34.297 --> 01:12:35.978]  I spent a lot of time down there.
[01:12:35.978 --> 01:12:37.819]  I'm guessing that's where that one goes through.
[01:12:37.819 --> 01:12:38.759]  I didn't make that footage.
[01:12:42.859 --> 01:12:44.219]  It's unbelievable.
[01:12:44.219 --> 01:12:45.880]  We're going to go into a war.
[01:12:45.880 --> 01:12:46.620]  A kinetic war.
[01:12:46.620 --> 01:12:49.841]  That's very obvious.
[01:12:49.841 --> 01:12:50.661]  That's very clear.
[01:12:50.661 --> 01:12:53.662]  Can you even wake up these days without seeing a food fire?
[01:12:53.662 --> 01:12:55.382]  Or some sort of food disruption?
[01:12:55.382 --> 01:12:56.422]  Or the FDA?
[01:12:56.422 --> 01:12:58.443]  Or the Department of Agriculture?
[01:12:58.443 --> 01:13:00.503]  Or somebody closing some chickens down?
[01:13:00.503 --> 01:13:02.604]  Or slaughtering dogs?
[01:13:02.604 --> 01:13:04.064]  It just goes on and on and on.
[01:13:04.064 --> 01:13:05.405]  It's not just in the United States.
[01:13:05.405 --> 01:13:06.445]  It's in Europe.
[01:13:06.445 --> 01:13:09.026]  Often when I leave Panama, I'll fly straight to Europe.
[01:13:09.026 --> 01:13:10.266]  To places like Netherlands.
[01:13:10.786 --> 01:13:14.047]  To watch the situation there, which is also crucial.
[01:13:14.047 --> 01:13:18.349]  And not just that, but the Chinese Communist Party is clearly collapsing in and of itself.
[01:13:18.349 --> 01:13:20.430]  I don't know if it's... Let me qualify that.
[01:13:20.430 --> 01:13:25.292]  I don't know that the Chinese Communist Party is collapsing, but the Chinese economy is collapsing.
[01:13:25.292 --> 01:13:27.072]  Right?
[01:13:27.072 --> 01:13:32.875]  The China is... You see these jungles are filled with Chinese coming through.
[01:13:32.875 --> 01:13:35.636]  Now, you don't see many Chinese come off these bugs right here.
[01:13:35.636 --> 01:13:38.597]  I would say maybe less than 5%.
[01:13:39.943 --> 01:13:47.587]  Three or four percent of the people coming through here are Chinese, but they go through a different route, not far away, down a different river called Rio Canaan.
[01:13:47.587 --> 01:13:51.008]  So they come down to a village called Canaan Mambirio.
[01:13:51.008 --> 01:13:53.730]  And, I'm sorry, Rio Mambirio.
[01:13:53.730 --> 01:13:55.771]  And they go to a village called Canaan.
[01:13:55.771 --> 01:13:57.972]  And I've been out there many times as well.
[01:13:57.972 --> 01:14:02.694]  That's the way that most of the Chinese come through, because the Chinese have more money.
[01:14:02.694 --> 01:14:06.916]  They'll take, from Colombia, they'll take a boat around and they go to these Kuna Indian villages
[01:14:08.036 --> 01:14:10.338]  They rent horses out there, actually.
[01:14:10.338 --> 01:14:14.280]  So a lot of the Chinese coming in, they're in much better shape.
[01:14:14.280 --> 01:14:16.301]  Every day, dozens of people are dying in the jungle.
[01:14:16.301 --> 01:14:16.721]  Dozens.
[01:14:16.721 --> 01:14:21.644]  We don't know how many, but let's just say, for argument's sake, to be directionally accurate, three or four dozen.
[01:14:21.644 --> 01:14:23.104]  At least three dozen, I would say.
[01:14:23.104 --> 01:14:24.865]  But we don't actually know.
[01:14:24.865 --> 01:14:27.587]  I'll tell you, the death toll about three years ago, when I started coming over here,
[01:14:28.067 --> 01:14:29.609]  We're probably 10%.
[01:14:29.609 --> 01:14:31.991]  That's just over-the-top insane.
[01:14:31.991 --> 01:14:34.913]  Now, I would say probably 1% or less.
[01:14:34.913 --> 01:14:37.035]  Well, let me just pause you right there.
[01:14:37.035 --> 01:14:45.983]  Let me just pause you right there and retreat for a second because you bring up the issue of these camps becoming permanent installments and the expansion of them.
[01:14:45.983 --> 01:14:48.206]  This is a very important aspect that I think
[01:14:49.344 --> 01:15:03.093]  Solidifies the... I mean, this is a government-sanctioned, paid-for, illegal immigration pipeline that they're now building the camps and making permanent installments.
[01:15:03.093 --> 01:15:03.694]  I mean, I'm...
[01:15:04.534 --> 01:15:09.237]  And by the way, this is a city north of Houston that they're going to turn into an illegal immigrant city.
[01:15:09.237 --> 01:15:17.263]  It's a massive infrastructure they're building just outside of Houston, one of the most heavily human-trafficked areas known in the United States of America.
[01:15:17.263 --> 01:15:19.585]  They're turning it into an illegal immigrant city.
[01:15:19.585 --> 01:15:23.227]  The entire thing is going to be an illegal immigrant city.
[01:15:23.227 --> 01:15:24.628]  But talk about this permanent installment.
[01:15:25.905 --> 01:15:28.826]  This is stuff that you see for businesses.
[01:15:28.826 --> 01:15:42.792]  This would be like if I decide I'm going to start like a basketball camp and maybe I've got 20 kids that want to attend my basketball camp and I'm on some outdoor court in the city and then maybe there's a hundred kids and then maybe there's a thousand kids and so now I'm building a giant gymnasium.
[01:15:42.792 --> 01:15:51.136]  Now I've got a multi-court basketball facility and now I'm running a huge basketball camp because it's a success and it's a money-making thing.
[01:15:51.136 --> 01:15:52.577]  This is a business!
[01:15:53.357 --> 01:16:01.065]  The government is running the illegal immigrant business by building these massive permanent infrastructures.
[01:16:01.065 --> 01:16:08.053]  I want you to really hone in on that and I mean how do we communicate this to the people so that they properly understand what's going on?
[01:16:09.918 --> 01:16:11.699]  Yeah, that colonia north of Houston.
[01:16:11.699 --> 01:16:13.260]  I've been there quite a few times now.
[01:16:13.260 --> 01:16:17.763]  Just did another helicopter ride up there a few weeks ago with a couple of congressmen.
[01:16:17.763 --> 01:16:20.185]  In fact, I first went out there with Todd Bensman.
[01:16:20.185 --> 01:16:23.447]  That colonia near Plum Grove, they call it Colony Ridge.
[01:16:23.447 --> 01:16:25.749]  We call it Abbott City.
[01:16:25.749 --> 01:16:30.672]  Todd Bensman describes it in his last book called Overrun.
[01:16:30.672 --> 01:16:34.274]  In the last chapter of Overrun, he describes this colonia.
[01:16:34.274 --> 01:16:39.498]  So Todd and I were actually briefing some influential people in Texas.
[01:16:39.998 --> 01:16:40.759]  We're good to go.
[01:17:00.576 --> 01:17:04.339]  With Dave Cannon, a great local patriot, who's got a helicopter.
[01:17:04.339 --> 01:17:07.021]  We flew with him several times.
[01:17:07.021 --> 01:17:09.803]  He's taken me up over there quite a few times.
[01:17:09.803 --> 01:17:12.565]  And so we took some congressmen on the last trip.
[01:17:12.565 --> 01:17:13.506]  We took Daily Wire.
[01:17:13.506 --> 01:17:17.389]  We took Ann VanderSteel, who's been blasting it out everywhere.
[01:17:17.389 --> 01:17:22.152]  So yeah, that's Colony Ridge right there, where again, we call it Abbott City.
[01:17:22.152 --> 01:17:22.953]  Now this is good.
[01:17:22.953 --> 01:17:29.498]  This is large enough, according to the Daily Wire article, which Spencer wrote, Spencer Jordan, it's big enough for
[01:17:30.399 --> 01:17:33.023]  Well, it's about 60 square miles.
[01:17:33.023 --> 01:17:34.144]  How many people can you put in that?
[01:17:46.656 --> 01:17:51.919]  Neighborhoods and complexes for residents and homes and everything.
[01:17:51.919 --> 01:17:54.680]  I mean, this is a massive development.
[01:17:54.680 --> 01:18:08.587]  And so, and another angle to this too, Michael, and I don't know how much of this you've dug into, but if you want to know why politicians, if you want to know why certain groups of Americans in the private sector support the illegal immigration, I'm sure this is a billion dollar project.
[01:18:08.587 --> 01:18:13.190]  Somebody's going to make a billion dollars developing this illegal immigrant city, Michael.
[01:18:15.034 --> 01:18:18.097]  It's hard to imagine that's coming in at less than a billion.
[01:18:18.097 --> 01:18:19.998]  Look at 60 square miles.
[01:18:19.998 --> 01:18:24.722]  In fact, Dave flies over there once a week and sends me the photos.
[01:18:24.722 --> 01:18:26.323]  I'm watching it grow every week.
[01:18:26.323 --> 01:18:29.386]  I don't publish all the photos, but I'm watching them and saving them.
[01:18:29.386 --> 01:18:30.907]  Same with these camps down here.
[01:18:30.907 --> 01:18:33.209]  I was just droning one again last night.
[01:18:33.789 --> 01:18:35.110]  Been droning them for a while now.
[01:18:35.110 --> 01:18:36.590]  You can see these camps are exploding.
[01:18:36.590 --> 01:18:38.071]  The camps of the Darien Gap.
[01:18:38.071 --> 01:18:39.572]  Again, this is Highway 1.
[01:18:39.572 --> 01:18:43.793]  This is the highway where many of the people are coming up that are going to live in that colonia.
[01:18:43.793 --> 01:18:46.134]  They're coming right here to that colonia.
[01:18:46.134 --> 01:18:47.435]  And places all over the world.
[01:18:47.435 --> 01:18:48.996]  All over the United States.
[01:18:48.996 --> 01:18:50.236]  New York and Florida.
[01:18:50.236 --> 01:18:50.996]  Everywhere.
[01:18:50.996 --> 01:18:55.318]  Yeah, they call it Colony Ridge there, but we call it Abbott City.
[01:18:55.318 --> 01:18:59.100]  Now, Abbott could shut this down by shutting the border, for starters.
[01:18:59.480 --> 01:19:06.804]  I mean, all this stuff, all this nonsense about sending people to New York and Washington, that's just injecting poison deeper into our hearts.
[01:19:06.804 --> 01:19:10.487]  These are guys coming to the dairy guy, how's this guy even survive, right?
[01:19:10.487 --> 01:19:12.508]  And, uh, but he made it somehow.
[01:19:12.508 --> 01:19:17.891]  And, uh, and, uh, numerous people with dogs every day, I'll see three, four, five dogs come through.
[01:19:18.131 --> 01:19:24.577]  Yeah, I'm seeing like ten infants just in this one little arrival, this one little delivery.
[01:19:24.577 --> 01:19:25.217]  And that's what this is.
[01:19:25.217 --> 01:19:26.558]  This is human capital.
[01:19:26.558 --> 01:19:30.542]  And so they're delivering their human capital, and they turn it into billion-dollar enterprises.
[01:19:32.113 --> 01:19:33.153]  Oh, they're going to replace us.
[01:19:33.153 --> 01:19:33.893]  You know what they're going to do.
[01:19:33.893 --> 01:19:36.014]  This is straight up war.
[01:19:36.014 --> 01:19:38.034]  They are coming to take our homes.
[01:19:38.034 --> 01:19:39.975]  I mean, literally kill us, right?
[01:19:39.975 --> 01:19:40.855]  This is no joke.
[01:19:40.855 --> 01:19:42.115]  This is an old war strategy.
[01:19:42.115 --> 01:19:46.476]  It's been done year after year and generation after generation all over the world.
[01:19:46.476 --> 01:19:49.177]  Keep in mind, I developed context on these things.
[01:19:49.177 --> 01:19:52.958]  I was over recently in Morocco and Greece and Lithuania.
[01:19:53.878 --> 01:19:56.620]  And the good Lord, so many different places I'm watching this.
[01:19:56.620 --> 01:19:59.842]  It's the same rat trap with the same rat chief.
[01:19:59.842 --> 01:20:05.985]  Now, you can say these poor Imbara Indians and Kuna Indians out here in the jungle, they're just getting taken advantage of.
[01:20:05.985 --> 01:20:11.649]  But at the same time, when I go over to the Netherlands, the so-called very sophisticated people of Netherlands, or New York,
[01:20:12.009 --> 01:20:13.730]  They're falling for the same traps.
[01:20:13.730 --> 01:20:17.032]  You know, the Dutch people are falling for the same traps.
[01:20:17.032 --> 01:20:22.094]  They're overwhelmed with migrants now in Netherlands and all over Europe.
[01:20:22.094 --> 01:20:25.656]  In Germany, where I was just at recently as well, same thing.
[01:20:25.656 --> 01:20:33.180]  Same story almost everywhere, but not Poland, not Hungary, not Czech Republic or Slovakia, because they didn't fall for it.
[01:20:33.180 --> 01:20:35.501]  But Sweden sure did, and Sweden's going to die.
[01:20:35.501 --> 01:20:37.642]  They're going to pay a very heavy price.
[01:20:37.642 --> 01:20:38.563]  They will die from this.
[01:20:39.003 --> 01:20:42.824]  I don't know how Sweden... I don't see enough testosterone in Sweden.
[01:20:42.824 --> 01:20:45.966]  Well, did you see the Italian island?
[01:20:45.966 --> 01:20:51.708]  There's an Italian island of... I want to make sure that I get the name of this right.
[01:20:51.708 --> 01:20:53.388]  Lampedusa.
[01:20:53.388 --> 01:20:58.910]  Italian island with about roughly 6,000 Italians that live there.
[01:20:58.910 --> 01:21:03.852]  They have now been overwhelmed with almost 10,000 illegal immigrants from Africa.
[01:21:03.852 --> 01:21:07.033]  They've overwhelmed the population on one Italian island.
[01:21:09.184 --> 01:21:11.607]  Some fish don't mix well in the same aquarium.
[01:21:11.607 --> 01:21:14.551]  And a lot of people are getting these cultural enrichment right now.
[01:21:14.551 --> 01:21:15.392]  For instance, I was just...
[01:21:16.545 --> 01:21:22.410]  ...enrichment in Las Blancas Camp the other day, where the Venezuelans and the Afghans almost went at it.
[01:21:22.410 --> 01:21:26.794]  This was down this road, back down about four hours, out in the jungle.
[01:21:26.794 --> 01:21:31.398]  You know, the day before that it was Haitians versus others.
[01:21:31.398 --> 01:21:32.479]  You know, it's every day.
[01:21:32.479 --> 01:21:40.326]  There's a lot of violence in these camps because of the... The Senate Front, who is the Panamanian Border Patrol, they're extremely professional.
[01:21:40.326 --> 01:21:41.467]  And they call things down.
[01:21:41.467 --> 01:21:42.688]  They're very good at it.
[01:21:42.688 --> 01:21:43.869]  But they're also outnumbered.
[01:21:44.580 --> 01:21:45.500]  We're good to go.
[01:22:03.545 --> 01:22:04.486]  It's coming.
[01:22:04.486 --> 01:22:10.868]  You'll see, one of the things that you'll see, for instance, in Japan right now, Kurds, who, my love, I spend a lot of time with Kurds.
[01:22:10.868 --> 01:22:12.448]  I get along with them very great.
[01:22:12.448 --> 01:22:16.349]  But the Kurds, once you get a bunch of Kurds together, they start fighting each other.
[01:22:16.349 --> 01:22:18.970]  It's not just Kurds fighting Turks or Kurds fighting Arabs.
[01:22:18.970 --> 01:22:20.050]  It's Kurds fighting Kurds.
[01:22:20.050 --> 01:22:22.391]  Well, and let's be clear about this, too.
[01:22:22.391 --> 01:22:24.852]  This is a Trojan horse.
[01:22:24.852 --> 01:22:31.594]  And I'm not saying it's like the Trojan horse where a bunch of people are going to jump out, military people, to engage in a kinetic war.
[01:22:32.114 --> 01:22:34.215]  This is an economic Trojan horse.
[01:22:34.215 --> 01:22:35.436]  Oh, these are just migrants.
[01:22:35.436 --> 01:22:39.719]  They're classified as migrants, so they get to roam about and get free stuff wherever they go.
[01:22:39.719 --> 01:22:48.244]  But see, then you have, and this is the mayor unironically telling the truth about the situation, but missing the bigger picture because he's a Democrat and he's not very smart.
[01:22:48.764 --> 01:22:54.908]  New York Mayor Eric Adams sounds alarm on migrant crisis, warns a financial tsunami is ahead.
[01:22:54.908 --> 01:23:02.353]  The mayor warned that the city department will likely see budget cuts to address the anticipated $12 billion price tag of the migrant crisis.
[01:23:02.353 --> 01:23:05.495]  And he says it will destroy New York City.
[01:23:05.495 --> 01:23:05.715]  Eric!
[01:23:06.656 --> 01:23:08.157]  It's not just New York City.
[01:23:08.157 --> 01:23:11.619]  It will destroy the entire United States.
[01:23:11.619 --> 01:23:13.120]  Why don't they see this?
[01:23:13.120 --> 01:23:16.423]  This is the economic Trojan horse of the New World Order.
[01:23:16.423 --> 01:23:19.405]  This is the economic Trojan horse of the UN.
[01:23:19.405 --> 01:23:25.909]  They are sending them in as quote-unquote migrants, like in a Trojan horse, and then they get unloaded and they crash our economy.
[01:23:29.157 --> 01:23:31.979]  Oh, and you know exactly what's happening, because I watch your show.
[01:23:31.979 --> 01:23:34.301]  I mean, you know, this is actual war.
[01:23:34.301 --> 01:23:35.422]  This is actual war.
[01:23:35.422 --> 01:23:39.024]  This isn't, maybe there'll be a war, or there'll be some pushing matches.
[01:23:39.024 --> 01:23:39.565]  No.
[01:23:39.565 --> 01:23:41.526]  They're coming to kill you.
[01:23:41.526 --> 01:23:43.748]  They're coming to kill you and take your home.
[01:23:43.748 --> 01:23:45.689]  Just like Stalin did with a lot of war.
[01:23:45.689 --> 01:23:47.430]  Just like Mao did.
[01:23:47.430 --> 01:23:48.091]  All pot.
[01:23:48.091 --> 01:23:49.672]  It's an old strategy.
[01:23:49.672 --> 01:23:51.333]  It's what they did to the Nazis.
[01:23:51.333 --> 01:23:53.354]  The Nazis did to the Jews.
[01:23:53.354 --> 01:23:54.715]  Demonized the Jews.
[01:23:54.715 --> 01:23:55.636]  Made them murder starting.
[01:23:56.156 --> 01:23:59.918]  Say that the Jews are the ones causing all the problems and then go take their stuff, right?
[01:23:59.918 --> 01:24:02.740]  That's what happens over and over and over.
[01:24:02.740 --> 01:24:09.804]  That's why you have this big hate campaign against Caucasians in the United States and it's coming.
[01:24:09.804 --> 01:24:11.525]  They're going to unleash hell.
[01:24:11.525 --> 01:24:14.527]  You're going to have to fight or run or die.
[01:24:14.527 --> 01:24:17.769]  I mean, you got that choice as well because that's what's coming.
[01:24:17.769 --> 01:24:19.630]  These people are coming over.
[01:24:19.630 --> 01:24:22.212]  Again, I'm being cautiously
[01:24:23.257 --> 01:24:32.039]  When I estimate a million will come up here in 2024, just on this feeder route, just this road right here, this two lane road, a million will come up that lane right there.
[01:24:32.039 --> 01:24:33.660]  So let me ask you this, let me ask you this.
[01:24:33.660 --> 01:24:43.002]  They say, they say, Michael, they say they anticipate it's been somewhere between four to six million illegal immigrants since Joe Biden has taken office.
[01:24:43.002 --> 01:24:46.283]  That's just the numbers and the rough data that we can get.
[01:24:46.283 --> 01:24:47.623]  It's about four to six million.
[01:24:47.623 --> 01:24:49.384]  What do you think the real number is?
[01:24:51.297 --> 01:24:54.759]  I don't know, but it's got to be some number far higher than that.
[01:24:54.759 --> 01:24:57.480]  I just don't know, because there's too many ways to get in.
[01:24:57.480 --> 01:25:03.163]  There's the entire northern border, which obviously is massive, and there are a lot of people just landing at the airports.
[01:25:03.163 --> 01:25:04.784]  I mean, that are just being allowed in.
[01:25:04.784 --> 01:25:06.164]  I mean, what are those numbers?
[01:25:06.164 --> 01:25:07.545]  We just don't know.
[01:25:07.545 --> 01:25:10.466]  Oh, and the time is going to come.
[01:25:10.466 --> 01:25:15.989]  I would not, you know, when the crazy people used to say that the super centers would be used as camps.
[01:25:16.349 --> 01:25:20.934]  Well, in Brownsville, now children are being kept in a super center, a Walmart super center.
[01:25:20.934 --> 01:25:24.397]  And Vandersteel, who's right beside me here, we were just over there.
[01:25:24.397 --> 01:25:25.418]  I mean, it's there.
[01:25:25.418 --> 01:25:26.980]  It's not conspiracy theory.
[01:25:26.980 --> 01:25:28.661]  Anybody can go there and look.
[01:25:28.661 --> 01:25:32.885]  Anybody can go to that camp and look themselves, right?
[01:25:34.927 --> 01:25:36.788]  That wasn't conspiracy theory, it turns out.
[01:25:36.788 --> 01:25:37.889]  It wasn't crazy.
[01:25:37.889 --> 01:25:39.150]  It was true.
[01:25:39.150 --> 01:25:43.013]  And it's very clear that this route is being developed.
[01:25:43.013 --> 01:25:45.675]  The Darien Gap route is being expanded.
[01:25:45.675 --> 01:25:59.865]  So the routes from Columbia into Panama are now shorter, they're safer, they're still very dangerous, but they're shorter, they're safer, they're faster to get through, and the infrastructure here, the cabs are now larger, and the cabs are more efficient,
[01:26:00.425 --> 01:26:01.666]  And they're faster.
[01:26:01.666 --> 01:26:08.032]  So in other words, you can come out, you can start in Colombia, and you can be down this road in one week.
[01:26:08.032 --> 01:26:12.255]  You can be literally from Colombia to Costa Rica in one week at this point.
[01:26:12.255 --> 01:26:17.880]  Depending on the brakes and the gap if it's raining hard or whatever and you get stuck in mud or not.
[01:26:17.880 --> 01:26:19.061]  I mean this is nuts.
[01:26:19.061 --> 01:26:19.922]  This is nuts.
[01:26:19.922 --> 01:26:22.584]  It's like, I'm just so floored by this.
[01:26:22.584 --> 01:26:26.828]  And I'm trying to find ways to get the sense of urgency here because that's what this is all about.
[01:26:27.088 --> 01:26:28.971]  We're trying to raise a sense of urgency.
[01:26:28.971 --> 01:26:41.889]  Folks, I'm not telling you to give up, I'm not telling you America's dead, but I mean, obviously our constitutional republic is at like 1% battery, and obviously this is a consolidated and conscious attack on our country.
[01:26:43.210 --> 01:26:46.092]  My dad used to work in Texas when he was younger.
[01:26:46.092 --> 01:26:47.373]  He was a traveling salesman.
[01:26:47.373 --> 01:26:53.496]  And he used to tell me he would drive Dallas to Austin, Austin to San Antonio, Austin to Houston, whatever.
[01:26:53.496 --> 01:26:54.217]  Those were the routes.
[01:26:54.217 --> 01:26:58.319]  And he'd mostly be going off one-lane highways, maybe some two-lane highways.
[01:26:58.319 --> 01:26:59.740]  Well, now it's developed!
[01:26:59.740 --> 01:27:02.141]  Because it's a major economic area.
[01:27:02.141 --> 01:27:03.322]  And people travel it.
[01:27:03.322 --> 01:27:04.343]  And so you develop it.
[01:27:04.343 --> 01:27:06.884]  Now you've got two-lane highways and four-lane highways.
[01:27:06.884 --> 01:27:09.506]  And you've got businesses and restaurants and towns popping up.
[01:27:10.066 --> 01:27:13.150]  That's now the illegal immigration pipeline!
[01:27:13.150 --> 01:27:17.034]  They're developing it like it's an economic bomb!
[01:27:17.034 --> 01:27:21.399]  But it's not even us, it's not even legal, it's not even America!
[01:27:21.399 --> 01:27:23.482]  I mean, how do we get the sense of urgency here, Michael?
[01:27:25.374 --> 01:27:30.538]  Highway 1 is a syringe of poison to the United States, and they're opening up to Colombia.
[01:27:30.538 --> 01:27:32.679]  They're hard at work to open up to Colombia.
[01:27:32.679 --> 01:27:34.980]  The Panamanians don't know that.
[01:27:34.980 --> 01:27:42.745]  Even though they're building a bridge down near Yavitza, we just droned it a couple days ago, they're building a bridge across the river for road traffic at this point.
[01:27:42.745 --> 01:27:44.506]  So how do we get a sense of urgency?
[01:27:45.985 --> 01:27:48.848]  If we had lost already, you would not be seeing that face.
[01:27:48.848 --> 01:27:53.072]  I would be, you know, I've traveled this world a lot, I know places where I can go.
[01:27:53.072 --> 01:27:53.773]  That sort of thing.
[01:27:53.773 --> 01:27:54.294]  Yeah, alright.
[01:27:54.294 --> 01:27:55.715]  Michael, look, I gotta take a break.
[01:27:55.715 --> 01:27:56.536]  Hold right there.
[01:27:56.536 --> 01:27:57.377]  Hold right there, Michael.
[01:27:57.377 --> 01:27:58.078]  I gotta take a break.
[01:27:58.078 --> 01:28:00.060]  I'd love to hear from Ann VanderSteel, too.
[01:28:00.060 --> 01:28:02.042]  She's sitting there silently behind you.
[01:28:02.042 --> 01:28:04.124]  I'd love to get her take from all this when we come back from break.
[01:28:04.124 --> 01:28:05.325]  She's welcome to join us.
[01:28:05.325 --> 01:28:07.207]  But I wanna talk about that as well.
[01:28:07.207 --> 01:28:07.747]  Folks, look.
[01:28:08.636 --> 01:28:16.819]  Again, this isn't about, I'm giving up, America's dead, we're under attack, we're dead, it's time to take action and leave the country.
[01:28:16.819 --> 01:28:18.959]  I mean, we might be there in a couple years.
[01:28:18.959 --> 01:28:20.340]  That's not what this is about.
[01:28:20.340 --> 01:28:22.160]  This is about the sense of urgency.
[01:28:22.160 --> 01:28:25.421]  This is about members of Congress realizing how serious this is.
[01:28:25.421 --> 01:28:26.862]  This is about the average American...
[01:28:27.822 --> 01:28:30.224]  And their awareness level of what's really going on here.
[01:28:30.224 --> 01:28:33.266]  This is groundbreaking stuff from Michael Yan and Vandersteel is with us.
[01:28:33.266 --> 01:28:35.928]  They're both going to be rejoining us here on the other side.
[01:28:35.928 --> 01:28:38.149]  Folks, I haven't even plugged today.
[01:28:38.149 --> 01:28:42.512]  The information is more important, but if we don't have the money to stay on air, we can't even get the information out.
[01:28:42.512 --> 01:28:44.313]  So, Infowarsstore.com.
