[00:00:01.583 --> 00:00:12.193]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:27:47.743 --> 00:27:55.045]  Absolutely, and that's the model for how Walmart wants this, or well, many of these retailers ultimately would like to see this work, to where there wouldn't be any cashiers.
[00:27:55.045 --> 00:27:58.966]  I mean, imagine the jobs that would be eliminated because of this, and the people would be out of work.
[00:27:58.966 --> 00:28:00.166]  That's a separate issue.
[00:28:00.166 --> 00:28:02.626]  Where essentially the machines would be in charge of everything.
[00:28:02.626 --> 00:28:10.348]  These little tags would interact with the machines, and you know, the vision of Kevin Ashton, who is the founder of the Auto ID Center, I've heard him speak many times,
[00:28:10.828 --> 00:28:17.853]  Every time I hear him speak, a chill goes down my spine because he envisions the world where the machines are in charge, where really we don't need people to do very much anymore.
[00:28:17.853 --> 00:28:20.535]  The machines have everything under control.
[00:28:20.535 --> 00:28:23.157]  This in a world where they told us we were going to be a service economy.
[00:28:23.157 --> 00:28:24.958]  Don't worry about your industry.
[00:28:24.958 --> 00:28:28.541]  And this in a world where there's less and less service.
[00:28:28.541 --> 00:28:33.805]  I mean, look, McDonald's learned how to put a trash can up and say, thank you.
[00:28:35.129 --> 00:28:38.611]  And then there's, here, pressure to throw your food away.
[00:28:38.611 --> 00:28:39.972]  Well, all that does is get rid of a job.
[00:28:39.972 --> 00:28:41.853]  And they say, oh well, it's competitive.
[00:28:41.853 --> 00:28:51.560]  No, if we demand more service, they will simply build more service into the economy, there'll be more jobs, more circulation of money, and we'll actually have a better economy.
[00:28:51.560 --> 00:28:53.161]  But this is about control.
[00:28:53.161 --> 00:28:54.501]  They've said it's their vision.
[00:28:54.501 --> 00:28:58.144]  These compact, control grid, cashless society cities.
[00:28:59.105 --> 00:29:05.668]  I mean, look, they're already thumb scanning people in Texas grocery stores, and they admit it's hooked into the DPS database off your thumbprint.
[00:29:05.668 --> 00:29:09.590]  I have HCB employees on tape admitting it.
[00:29:09.590 --> 00:29:11.611]  So, there it is right there, Catherine.
[00:29:11.611 --> 00:29:16.273]  Well, let's talk about how to fight back, because I hate to leave people with this dark vision.
[00:29:17.120 --> 00:29:22.145]  Right now, we as consumer citizens are in a catbird state when it comes to this RFID technology.
[00:29:22.145 --> 00:29:26.088]  Let me give you an optimistic, or a story with a good ending.
[00:29:26.088 --> 00:29:36.978]  Back in March, Benetton, the Italian clothing manufacturer, made an announcement that they were going to be putting 350 million of these chips into their clothing items and selling them to people, letting people... It was primarily underwear.
[00:29:37.478 --> 00:29:40.059]  So people would be walking around with chipped underwear.
[00:29:40.059 --> 00:29:48.864]  Now, even though they said this could be turned off at the point of sale, that they just disabled the chip at the check register, we did a little research and we found out that the chip they were going to be using could not be turned off.
[00:29:48.864 --> 00:29:53.986]  It could only be put into hibernation mode, and anybody with access to the right code could turn it right on again.
[00:29:53.986 --> 00:29:56.328]  So we thought that wasn't very good assurance.
[00:29:56.328 --> 00:30:00.129]  Well, let me tell you that consumers around the world went ballistic.
[00:30:00.129 --> 00:30:03.671]  We put up a website, BoycottBenetton.com.
[00:30:03.671 --> 00:30:04.532]  It's still up there.
[00:30:04.532 --> 00:30:05.872]  Actually, BoycottBenetton.org.
[00:30:05.872 --> 00:30:06.873]  You can still find it on the net.
[00:30:07.453 --> 00:30:13.118]  We called for a worldwide boycott, and I was doing interviews as far away as Tasmania.
[00:30:13.118 --> 00:30:15.300]  I was on Sweden National Public Radio.
[00:30:15.300 --> 00:30:20.024]  I mean, you would not believe the amount of international attention and outcry that generated.
[00:30:20.024 --> 00:30:25.669]  Well, I'm telling you, we had Benetton running for cover with their tail between their legs, saying that they are not going to do it.
[00:30:25.669 --> 00:30:26.390]  They'd take it back.
[00:30:26.390 --> 00:30:27.391]  Please don't boycott us.
[00:30:27.951 --> 00:30:37.304]  Now right now you've got 90 global corporations and now probably a whole bunch more now with Walmart's announcement waiting to see what's going to happen with the trials that are happening right now.
[00:30:37.304 --> 00:30:39.427]  Let me tell you what those are and what we need to do about them.
[00:30:40.427 --> 00:30:42.548]  Gillette is probably the number one.
[00:30:42.548 --> 00:30:52.432]  Gillette put in an order for a half a billion of these chips in November, and they're testing them on real people in real time in real Walmart stores right now, where they have surveillance cameras trained on the shelf.
[00:30:52.432 --> 00:30:58.214]  When you pick it up off the shelf, it sends a little alert back to the surveillance camera that knows something's been picked up off the shelf.
[00:30:58.214 --> 00:31:00.435]  Well, that's the reason right there not to do it.
[00:31:00.435 --> 00:31:01.676]  I mean, think about this.
[00:31:02.216 --> 00:31:05.277]  Oh, they're watching people in the stores interacting with these Gillette lasers.
[00:31:05.277 --> 00:31:13.539]  There was a Washington Post article about the pressure plates on the floor, hidden cameras that know how to read your eye, what area you're reading on the shelf.
[00:31:13.539 --> 00:31:14.059]  You got it.
[00:31:14.059 --> 00:31:15.800]  Well, all this stuff is going to converge.
[00:31:15.800 --> 00:31:27.823]  Now, let me tell you, Gillette is openly acknowledging that they're messing around with this technology with real consumers, and I believe that the, well, I know for a fact that the whole rest of the industry, all these other companies like Kraft and
[00:31:28.203 --> 00:31:28.403]  I think so.
[00:31:47.310 --> 00:31:49.472]  Right now, our target is very focused.
[00:31:49.472 --> 00:31:53.214]  It's Gillette, it's Michelin who put these things in their tires, believe it or not.
[00:31:53.214 --> 00:31:58.278]  Now you can track a car going 90 miles an hour from 5 feet away if it's got this Michelin tag in it.
[00:31:58.278 --> 00:32:01.000]  And the other one is Max Factor Lipfinity Lipstick.
[00:32:01.000 --> 00:32:06.524]  Alright, so this is a very small handful of companies that would be very easy to boycott.
[00:32:06.524 --> 00:32:09.687]  And what we would like to do at Caspian, you can find us at NoCards.org,
[00:32:10.648 --> 00:32:15.394]  We also have a preview website up at StopRFID.org.
[00:32:15.394 --> 00:32:20.602]  You can see some images of what these tags look like and some other information, but that website doesn't go public until next week.
[00:32:20.602 --> 00:32:26.410]  Folks, we're fighting for the life of this country against the cashless society control grid.
[00:32:27.131 --> 00:32:32.797]  And we are talking to the director of Caspian and we've had her on before.
[00:32:44.813 --> 00:32:44.993]  Yes.
[00:32:59.838 --> 00:33:03.739]  I have an undergraduate degree in international marketing, so I know how these guys think.
[00:33:03.739 --> 00:33:05.599]  I know where they're coming from.
[00:33:05.599 --> 00:33:10.980]  Back when I got my degree, it was not quite the surveillance environment it is today, though, and I guess I'm a recovering marketer.
[00:33:10.980 --> 00:33:26.943]  All right, so we've got to stop them now, just like with the biometrics, when HCB and Kroger puts it in the thumb scanners, or even tears out the service lanes and puts in self-service, then the biometrics goes into that, then they phase out all the service lanes.
[00:33:26.943 --> 00:33:28.164]  This is the control grid.
[00:33:28.164 --> 00:33:29.324]  You've got to boycott them.
[00:33:29.944 --> 00:33:37.286]  You've got to stay out of Walmart, and you've got to tell them you're doing this because of the RFIDs, and you've got to never buy another Gillette product.
[00:33:37.286 --> 00:33:38.266]  I used them.
[00:33:38.266 --> 00:33:40.326]  I haven't been buying Gillette.
[00:33:40.326 --> 00:33:41.807]  You've got to boycott Michelin.
[00:33:41.807 --> 00:33:43.507]  You've got to boycott Max Factor.
[00:33:43.507 --> 00:33:45.068]  Let's take a call.
[00:33:45.068 --> 00:33:51.309]  Let's talk to, oh, I guess, who's up next here, Mark?
[00:33:51.309 --> 00:33:52.969]  Carmine?
[00:33:52.969 --> 00:33:53.710]  Who's up next?
[00:33:53.710 --> 00:33:55.610]  I'm not sure.
[00:33:55.610 --> 00:33:58.191]  Carmen in Pennsylvania.
[00:33:58.191 --> 00:33:58.931]  You're on the air.
[00:33:58.931 --> 00:33:59.291]  Go ahead.
[00:34:00.089 --> 00:34:00.669]  Good afternoon.
[00:34:00.669 --> 00:34:03.851]  I just want to give you three quick things.
[00:34:03.851 --> 00:34:05.912]  All those devices are transponders.
[00:34:05.912 --> 00:34:09.233]  The ones that have batteries in them just have greater range.
[00:34:09.233 --> 00:34:13.875]  The three frequency ranges that they have right now are up to like four gigahertz.
[00:34:13.875 --> 00:34:23.460]  Also, the NTIS, the National Technology Information System, has a good work across all highways and service roads in the United States.
[00:34:23.460 --> 00:34:26.141]  And every car in America has the chip in it.
[00:34:26.141 --> 00:34:26.521]  New cars.
[00:34:27.446 --> 00:34:29.249]  Thank you for that clarification.
[00:34:29.249 --> 00:34:33.776]  Yeah, when you drive around, they've got the antenna arrays now all over the highways, it's admitted.
[00:34:33.776 --> 00:34:38.885]  Well, you look on the ground, you'll see two circles cut in the ground, one right after another.
[00:34:38.885 --> 00:34:39.786]  One excites the chip.
[00:34:41.184 --> 00:34:42.125]  Thank you very much.
[00:34:59.628 --> 00:35:03.534]  And they are going to be monitoring everything, and they will tax us on every inch of the road.
[00:35:03.534 --> 00:35:09.564]  By the way, when I was on I-35 driving up to Kansas City, and we asked questions about it, they confirmed it.
[00:35:09.564 --> 00:35:11.407]  They were cutting these into the roads, by the way.
[00:35:12.279 --> 00:35:20.485]  Well, caller, if you could do me a favor and my email address for anyone who'd like to write me is KMA at no cards dot org.
[00:35:20.485 --> 00:35:23.547]  That's KMA at no cards dot org.
[00:35:23.547 --> 00:35:30.252]  And by the way, anyone else who wrote down that email address, if you ask me for it, I'll send you a 50 page research report that I wrote for the Denver Law Review.
[00:35:30.252 --> 00:35:31.152]  Well, that's nice of you.
[00:35:32.919 --> 00:35:34.400]  Anything else you'd like to add?
[00:35:34.400 --> 00:35:37.541]  Is this not chilling, Carmen, to see this happening?
[00:35:37.541 --> 00:35:40.523]  Yes, and you'll see the little silver boxes on the side of the road.
[00:35:40.523 --> 00:35:41.823]  It's only on one side of the road.
[00:35:41.823 --> 00:35:42.784]  It could be on either side.
[00:35:42.784 --> 00:35:46.665]  They usually have the network of wires running across both lanes of traffic.
[00:35:46.665 --> 00:35:52.148]  And I've seen them where they've had as many as eight lanes of traffic, four lanes on each side, all hooked up.
[00:35:52.148 --> 00:35:53.068]  Unbelievable.
[00:35:53.068 --> 00:35:57.090]  Could you please do me a favor and send me some documentation on that, because I will get the word out.
[00:35:57.090 --> 00:35:57.370]  Okay.
[00:35:57.370 --> 00:35:58.211]  Thank you.
[00:35:58.211 --> 00:35:58.651]  Thank you, Alex.
[00:35:59.201 --> 00:36:00.182]  Yeah, thank you for the call.
[00:36:00.182 --> 00:36:01.803]  We're going to break with our final segment with our guests.
[00:36:01.803 --> 00:36:04.745]  We'll come back and talk to Jason in Texas and a few others.
[00:36:04.745 --> 00:36:09.489]  Folks, they said they're going to take over farming, industry, businesses.
[00:36:09.489 --> 00:36:13.532]  The Army is going to be on the streets carrying all of this out.
[00:36:13.532 --> 00:36:14.973]  Ridge officially on C-SPAN.
[00:36:14.973 --> 00:36:17.135]  The problem is, I can't know it all.
[00:36:17.135 --> 00:36:19.036]  Catherine can't be aware of it all.
[00:36:19.036 --> 00:36:20.898]  The onslaught, the attack,
[00:36:21.957 --> 00:36:26.819]  The prison they're building is so huge, you've got to warn people now.
[00:36:26.819 --> 00:36:30.961]  They built the infrastructure, then they announce it to you.
[00:36:30.961 --> 00:36:36.963]  Right here in Austin, thumb scanners going in the grocery store, and soon no cash allowed.
[00:36:36.963 --> 00:36:38.544]  Alex Jones Show!
[00:36:50.083 --> 00:36:55.108]  I'm talking to Catherine Albrecht, and she's the founder of Caspian.
[00:36:55.108 --> 00:36:56.389]  A total grid of control.
[00:36:56.389 --> 00:37:03.816]  They're now using the transponders publicly in San Francisco to track, trace, and tax you even off the toll roads.
[00:37:03.816 --> 00:37:04.637]  This is the system.
[00:37:04.637 --> 00:37:08.721]  They've announced satellite tracking to begin very soon to start taxing you.
[00:37:08.721 --> 00:37:15.087]  They're building the infrastructure all around you, and the average American has no idea, but they know all about the football scores, don't they?
[00:37:16.736 --> 00:37:19.097]  Catherine, let's take a final call.
[00:37:19.097 --> 00:37:20.878]  Jason in Texas, thanks for holding.
[00:37:20.878 --> 00:37:24.680]  You're on the air, sir.
[00:37:24.680 --> 00:37:27.181]  Okay, he's not there.
[00:37:27.181 --> 00:37:28.382]  Jason, are you there?
[00:37:28.382 --> 00:37:28.962]  Yeah.
[00:37:28.962 --> 00:37:30.102]  Okay, go ahead.
[00:37:30.102 --> 00:37:31.283]  How are things?
[00:37:31.283 --> 00:37:32.043]  Well, they're pretty good.
[00:37:32.043 --> 00:37:32.744]  Go ahead.
[00:37:32.744 --> 00:37:33.624]  Excellent.
[00:37:33.624 --> 00:37:39.187]  Listen, I just wanted to let you know, kind of a catch-22 situation.
[00:37:39.187 --> 00:37:41.928]  I have a small software business here in Austin.
[00:37:43.087 --> 00:38:00.673]  And recently, with a lot of the federal appropriations because of this Homeland Security stuff, state agencies, not unlike the Department of Corrections, have been receiving federal dollars to digitalize just about everything.
[00:38:00.673 --> 00:38:02.094]  It's not really congruent with
[00:38:03.226 --> 00:38:06.407]  You know, the stuff you've been talking about in the last hour.
[00:38:06.407 --> 00:38:24.573]  But say, for example, an RFP goes out, a number of different resellers, a number of different businesses send in proposals, and then the state, of course, selects a business.
[00:38:24.573 --> 00:38:27.234]  But what they're trying to do is,
[00:38:28.664 --> 00:38:30.365]  Really unprecedented.
[00:38:30.365 --> 00:38:34.806]  And they're doing it by way of retention numbers.
[00:38:34.806 --> 00:38:40.828]  You know, like if you've ever been involved with a legal case, you know about Bates numbering.
[00:38:40.828 --> 00:38:57.573]  But basically what happens is, with these retention numbers, or in this case we'll call a Bates number, any name or any concept or any business that's on any document is basically affiliated with a number.
[00:38:58.542 --> 00:39:00.523]  And it's all tracked.
[00:39:00.523 --> 00:39:11.348]  Now, the catch-22 of the situation is that, you know, I'm pretty much responsible for developing this type of technology.
[00:39:11.348 --> 00:39:18.351]  And the thing is, is the only money that's coming in is, you know, is money from the Fed.
[00:39:18.351 --> 00:39:20.491]  This is the growth industry they are.
[00:39:20.491 --> 00:39:25.053]  They constrict the economy and then offer money in growth industries for the surveillance grid.
[00:39:25.053 --> 00:39:26.154]  Catherine, any comments to that?
[00:39:27.336 --> 00:39:29.057]  Oh boy.
[00:39:29.057 --> 00:39:32.739]  All I can say is it seems like it's coming from every angle.
[00:39:32.739 --> 00:39:34.240]  Yeah.
[00:39:34.240 --> 00:39:35.521]  I gotta let you go.
[00:39:35.521 --> 00:39:40.144]  You can call me back tonight or tomorrow or on Monday and we can talk more about it.
[00:39:40.144 --> 00:39:40.664]  Thanks for the call.
[00:39:42.085 --> 00:39:43.507]  Catherine, I've got to get you back on.
[00:39:43.507 --> 00:39:44.448]  I've been ranting and raving.
[00:39:44.448 --> 00:39:45.389]  This is horrible.
[00:39:45.389 --> 00:39:47.271]  I want to commend you for fighting this.
[00:39:47.271 --> 00:39:49.613]  All Americans better get involved and educate themselves.
[00:39:49.613 --> 00:39:53.337]  This is for the Cashless Society tracking taxation grid.
[00:39:53.337 --> 00:39:55.700]  It totally violates the 4th and 5th Amendment.
[00:39:55.700 --> 00:39:56.941]  And I appreciate you coming on.
[00:39:56.941 --> 00:39:58.503]  NoCards.org.
[00:39:58.503 --> 00:40:00.265]  We are in a perfect position to stop it.
[00:40:00.265 --> 00:40:01.166]  I can't emphasize that enough.
[00:40:01.266 --> 00:40:02.306]  Good enough.
[00:40:02.306 --> 00:40:10.029]  I feel like this is a leverage point in history right now because these companies really don't want to lose all of our business and they don't want a public relations problem.
[00:40:10.029 --> 00:40:15.552]  If we get on board and put up a couple of billboards saying, you know, is there a censor in your Gillette Censor Razor?
[00:40:15.552 --> 00:40:18.353]  Is there a tracker in your Gillette Track II Razor?
[00:40:18.353 --> 00:40:19.753]  The media would pick it up.
[00:40:19.753 --> 00:40:22.234]  And I'm telling you, I know, because I've talked to members of the media.
[00:40:22.234 --> 00:40:23.635]  This is the mainstream media.
[00:40:23.635 --> 00:40:24.555]  We can stop them.
[00:40:24.555 --> 00:40:25.696]  I've got to let you go.
[00:40:25.696 --> 00:40:26.596]  Thank you for joining us.
[00:40:26.596 --> 00:40:27.556]  We'll have you back on, okay?
[00:40:27.556 --> 00:40:28.317]  Thank you, Alex.
[00:40:28.317 --> 00:40:29.237]  Appreciate it.
