[00:00.000 --> 00:02.000]  ["Pomp and Circumstance"]
[54:54.120 --> 55:04.120]  or go have a job or leave your house. And then, of course, if you can't leave your house, you're going to lose your house and you're going to be homeless.
[55:04.120 --> 55:12.120]  But if you're not in the right club and you're homeless, a group of vigilantes are going to come back as the police have been defunded and they're going to kill you.
[55:12.120 --> 55:19.120]  Because how they enforce the policing now is you do what the globalists want, you get credits. You don't do what they want, you get nothing.
[55:19.120 --> 55:24.120]  It doesn't matter what you own, what you had, what you did, it's going to be taken away from you.
[55:24.120 --> 55:28.120]  You're going to live in a modern globalist prison, the likes of which the planet's never seen.
[55:28.120 --> 55:36.120]  The dystopia that we are entering is nothing like anyone has ever dreamed of.
[55:36.120 --> 55:45.120]  And the police all over the world in most areas are serving the New World Order and are proving themselves good Satanists.
[55:45.120 --> 55:52.120]  So we're caught between the globalists and the communists and the police and the constabulary. It's groveling and saying, be nice to me.
[55:52.120 --> 56:17.120]  I'll get on my knees, I'll get on my belly, I'll arrest people for no mask.
[56:17.120 --> 56:24.120]  Gentlemen, they are putting this in every newspaper in the country and legitimizing the fact that if he can test the election in any way,
[56:24.120 --> 56:31.120]  when they say by default they are, that they're going to pull this. This is maximum, maximum alert. This is emergency alert.
[56:31.120 --> 56:36.120]  Yes, they've censored the Patriots off most of the Internet, but Band-Aught video is still there, the radio show is still there,
[56:36.120 --> 56:40.120]  and yes, we're getting about five times the traffic we were getting before the ban to the actual sites.
[56:40.120 --> 56:48.120]  But we need to get this message to other people outside of our audience. So tell everyone now about the martial law plan and the plan to get rid of Trump.
[56:48.120 --> 56:57.120]  It's all posted at Band-Aught video. Please, we can defeat these people if you take action. You are the answer. Please, please, please.
[56:57.120 --> 57:08.120]  Americans have had freedom for so long and most Americans were born into such docile times compared to the rest of history that we really have a blind spot for tyranny.
[57:08.120 --> 57:15.120]  We don't appreciate the American way truth, justice, due process, the right to self-defense, private property, because we've had it so long.
[57:15.120 --> 57:25.120]  We just think that's how the rest of the world is. Ladies and gentlemen, the Renaissance, the social contract that's 500 years old to try to build up humanity and try to believe in humanity
[57:25.120 --> 57:32.120]  and to try to empower the weak as well as the strong is something the West invented, and that's what made our modern world.
[57:32.120 --> 57:46.120]  We've now been hijacked by the technocrats, by the globalists, who say humans are ugly and bad for the earth and we need to be cold and dumbed down and put into subgroups that the elites dominate, manipulate and command even if we're even lucky enough to stay alive.
[57:46.120 --> 57:55.120]  And that's what COVID-19 is, a global UN revolution against free humanity, against your family, against prosperity and against your future.
[57:55.120 --> 57:57.120]  If you don't stand up and fight, you deserve what you get.
[57:57.120 --> 58:02.120]  You're listening to the Alex Jones show.
[58:02.120 --> 58:31.120]  All right, Jesse Lee Peterson, we've had an interview in years. He's super popular now. He was on Access TV when I was under 25 years ago. We'd air his stuff in Austin. He'd play some of our stuff out in California.
[58:31.120 --> 58:46.120]  He's going to be on air with us coming up in the third hour. I want to open the phones up, though, for a segment three, four and five of this hour for a specific issue.
[58:46.120 --> 58:54.120]  Bill Gates is coming at you with vaccines. They admit don't help you and that hurt almost everybody that take them and that he's going to have liability protection from.
[58:54.120 --> 59:01.120]  He's having bureaucracies and governments put in systems to make you take it to get on an airplane or rent a car or have a job.
[59:01.120 --> 59:09.120]  So he's going to assault you with tyranny and with a deadly vaccine that changes your very DNA. That's assault.
[59:09.120 --> 59:20.120]  If I tried to come to your house with a needle that admittedly a big percentage of the time would really hurt you, you'd have a right if I tried to jab it in me to physically defend yourself.
[59:20.120 --> 59:30.120]  But they're trying to blur the lines of all of that. We have to start discussing the rules of engagement here because this is assault. This is criminal. This is wrong.
[59:30.120 --> 59:40.120]  So here's the number to join us. 877-789-2539. 877-789-2539. And seriously, folks, we'll take like 10 calls. It's on that subject.
[59:40.120 --> 59:49.120]  What do we do about Bill Gates? What's the line of the sand? Or do we just tell him, you're my God, literally bend over and say, give me any shots you want and have convulsions while he smiles at you and you die?
[59:49.120 --> 59:59.120]  I mean, do we just submit to him and is he a God? And so he's our doctor that we can't say no to. He's our master. 877-789-2539.
[59:59.120 --> 1:00:04.120]  But here's while they abandon Alex Jones. This video is three years old. Here it is.
[1:00:04.120 --> 1:00:20.120]  This is an emergency transmission from deep in the heart of Texas and U.S. resistance against a global corporate combine empowered and funded by Communist China ally with the big mega banks that set up Communist China in 1949.
[1:00:20.120 --> 1:00:28.120]  The Communist Chinese have taken control of U.S. telecommunications infrastructure. The Communist Chinese have taken control of Hollywood. The Communist Chinese have taken control of the main universities. This is all confirmed. This is not a drill.
[1:00:28.120 --> 1:00:40.120]  Check in Silicon Valley is almost completely run by the Communist Chinese government. They've officially become state run. Apple 100%. Google is now making the transition and announcing a merger in total worldwide censorship.
[1:00:40.120 --> 1:00:51.120]  They are now beta testing using me as the straw man. A demonized version of Alex Jones to do that. This is happening. This is not like the other probes before that were meant to get you used to probes and censorship.
[1:00:51.120 --> 1:01:00.120]  Thinking you would adapt to censorship by just putting up with it. Now this attack is thousands and thousands and thousands of times the magnitude of all previous attacks.
[1:01:00.120 --> 1:01:13.120]  This is a tight traded dose reverse psychological warfare operation using adapt and overcome subversion paradigm manipulation. In layman's terms they are manipulating the fact that we adapt to being oppressed.
[1:01:13.120 --> 1:01:27.120]  We adapt to being crushed with the low dosages of oppression. Now when the megaton hits us of the total takeover we try to adapt to the poison infusion instead of not knowing it's a lethal dose if we accept the dose.
[1:01:27.120 --> 1:01:44.120]  Total Internet of Things integration, global social score, complete command and control system. It is the virtual reality AI weapon system now attacking the United States with traders inside the major security agencies blocking Trump's resistance of the program and attempting to stop us from removing the tentacles
[1:01:44.120 --> 1:01:54.120]  of the chai con slash big tech making combine emergency situation. I have been chosen for destruction because I brought you this information and have been battering ramming it out as much as I can.
[1:01:54.120 --> 1:02:08.120]  They want to double use me as they always do in any complex system of mathematical deception where every angle of my good is turned against us. So they take what I've said being sincere, build me into an insincere person in the straw man.
[1:02:08.120 --> 1:02:21.120]  I'm a person that cares about life and children and is against these wars and so they make me a murder of children and then they build me into this lie to then set the distraction while they're actually censoring all of you to make a debate about Alex Jones.
[1:02:21.120 --> 1:02:34.120]  So even if I didn't sell out to them they've now used me as an archetype to serve them by being the main distraction. I have now been captured by the enemy in the information warfare fulcrum and it's being used against you.
[1:02:34.120 --> 1:02:46.120]  Only your full understanding of this key will break you free from this paradigm. I have given you the transmission now break free.
[1:02:46.120 --> 1:02:56.120]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[1:02:56.120 --> 1:03:05.120]  Thomas Jefferson. If you are receiving this transmission, you are the resistance.
[1:03:05.120 --> 1:03:27.120]  The historical food is again available for shipping within three to four weeks. We have it. It's high quality, but it's got to be packaged and shipped out to you. Some items are shipping in a week, some in four weeks. So they're staying three to four weeks. It's my patriot.
[1:03:27.120 --> 1:03:40.120]  Believe me, every angle I've looked at tells me that really, really serious times are ahead, whether Trump wins or loses. The globalists have already created a worldwide depression lock down to the planetary scale and it's only intensifying.
[1:03:40.120 --> 1:03:52.120]  This is one of the big boxes. You've got to get checked off. It's high quality, affordable food. My patriot has really good high quality food at a very affordable price and the packaging is the best you're going to find out there.
[1:03:52.120 --> 1:04:02.120]  Check it out for yourself at infowarstore.com and then the money that comes in that's extra helps us fund the information warfare operation that fights the globalist toe-to-toe.
[1:04:02.120 --> 1:04:24.120]  There are, of course, those who do not want us to speak. We think just let me think.
[1:04:24.120 --> 1:04:34.120]  Words will always retain their power. Words offer the means to meaning and for those who will listen, the enunciation of the truth.
[1:04:34.120 --> 1:04:39.120]  There is something terribly wrong with this country, isn't there?
[1:04:39.120 --> 1:04:42.120]  You designed it, sir. You wanted it foolproof. You told me every television end longer.
[1:04:42.120 --> 1:04:50.120]  Cruelty and injustice, intolerance and depression. And where once you had the freedom to object, everything can speak as you saw fit.
[1:04:50.120 --> 1:04:57.120]  You now have sensors and systems of surveillance, coercing your conformity and submitting your submachine.
[1:04:57.120 --> 1:05:05.120]  How did this happen? Who's to blame? Well, certainly there are those who are more responsible than others. They will be held accountable.
[1:05:05.120 --> 1:05:11.120]  But again, truth be told, if you're looking for the guilty, you need only look into a mirror.
[1:05:11.120 --> 1:05:25.120]  I know why you did it. I know you were afraid. Who wouldn't be? War, terror and disease? There were a myriad of problems which inspired to corrupt your reason and rob you of your common sense.
[1:05:25.120 --> 1:05:34.120]  Fear got the best of you. And in your panic, you turned to the now high chancellor, Adam Suttler. He promised you order. He promised you peace.
[1:05:34.120 --> 1:05:45.120]  And all he demanded in return was your silent, obedient consent.
[1:05:45.120 --> 1:06:14.120]  There is a war. It's happening now. It will decide the fate of humanity. The time to choose sides has come. We are the resistance. We are the Info War.
[1:06:14.120 --> 1:06:29.120]  Ladies and gentlemen, thank you so much for joining us. We're here into the second hour right now and we're looking at some of the graphs that came out in March with CDC numbers out of New York.
[1:06:29.120 --> 1:06:44.120]  Heart disease, cancer, accident strokes, Alzheimer's, flu, homicide, etc. were all put in the COVID-19 column and they all reported zero.
[1:06:44.120 --> 1:07:00.120]  No heart attacks, cancer, car accidents, Alzheimer's, flu, murders. Because from mid-March through mid-April, they just took those numbers and put them there.
[1:07:00.120 --> 1:07:14.120]  They were mirroring the year before's numbers and that's how these numbers worked very close year in, year out. But we didn't just want to go off of that.
[1:07:14.120 --> 1:07:29.120]  I hired a well-respected statistician here in Texas. There's an article dealing with it. Scandemic CDC stats show flu deaths dropped as COVID deaths increased.
[1:07:29.120 --> 1:07:40.120]  You see the numbers and you can click on those and go to the CDC and their own numbers that remember are also cooked inflating deaths.
[1:07:40.120 --> 1:07:47.120]  There's a lot of scams but these are their own numbers proving they're fraud. It's just even deeper than we can show you.
[1:07:47.120 --> 1:07:58.120]  Let's go ahead and go through some of these. Let's go to the new numbers from May and June and July and now going into August.
[1:07:58.120 --> 1:08:12.120]  Here's numbers for Arizona and you can see how they just say there's no longer any influenza deaths there.
[1:08:12.120 --> 1:08:18.120]  Nobody's dying of flu suddenly. They tell you, oh, we don't know why. Worldwide nobody's dying of flu. Must be wearing a mask.
[1:08:18.120 --> 1:08:23.120]  No, they just take the numbers. They don't count deaths as flu now. By the way, you read, they admit that's what they're doing.
[1:08:23.120 --> 1:08:34.120]  But there's the numbers. There's the graphs and they add it to the COVID-19. And notice how in graph after graph, as we go through U.S. states and other countries, it's the same thing.
[1:08:34.120 --> 1:08:39.120]  They almost mirror each other because it's fraudulent, ladies and gentlemen.
[1:08:39.120 --> 1:08:45.120]  Now again, all of this is admitted that people that dive gunshot wounds are counted in skydiving accidents and cancer and the flu.
[1:08:45.120 --> 1:09:01.120]  But here it is state by state to see it. Here's a side by side with influenza deaths in Arizona, pneumonia deaths in Arizona, COVID-19 multiple causes of death, Arizona.
[1:09:01.120 --> 1:09:14.120]  And you see how suddenly it all spikes when they flip that switch. And this really happened in May because they decided to start counting 15 people for every person that had COVID.
[1:09:14.120 --> 1:09:21.120]  They were going to count 15 people. They surmised have it. And that's why you see the skyrocketing numbers.
[1:09:21.120 --> 1:09:37.120]  Here's California. Just like the last graph you saw out of Arizona, influenza deaths suddenly completely end as the year starts.
[1:09:37.120 --> 1:09:48.120]  And then what happens? COVID deaths. And look at that. It almost matches because they simply moved the numbers over.
[1:09:48.120 --> 1:09:56.120]  Skipping ahead a few graphs. Let's look at Florida. Flu and COVID in Florida.
[1:09:56.120 --> 1:10:08.120]  And look how the flu during this peak time, during the year, suddenly completely drops and COVID shoots straight up.
[1:10:08.120 --> 1:10:17.120]  And it's the same thing over and over. Let's look at Texas. Let's skip a few graphs ahead.
[1:10:17.120 --> 1:10:24.120]  By the way, I was just sent more by the statistician around the world and around the U.S. and it's even more detailed than we thought.
[1:10:24.120 --> 1:10:29.120]  So we're drilling into it. It's a lot to absorb. I'm trying to get the statistician to come on air.
[1:10:29.120 --> 1:10:35.120]  We've used him before. He's well known. And he's gotten a lot of heat when he said who he was.
[1:10:35.120 --> 1:10:40.120]  You see how they fire all these doctors or take their YouTubes away when they speak out?
[1:10:40.120 --> 1:10:51.120]  Because science is under attack. They say, trust the science. Well, here's CDC's own numbers. And here's Texas.
[1:10:51.120 --> 1:11:04.120]  Underlying cause of death. No influenza deaths now because you've got to take that mountain range of flu death and you've now got to attribute it to that.
[1:11:04.120 --> 1:11:10.120]  The truth is they always exaggerate flu as well. Most of us just really old people who die old age. Their heart gives out whatever.
[1:11:10.120 --> 1:11:14.120]  They don't want to do an autopsy. They die a nursing home. They die under the knife at a hospital.
[1:11:14.120 --> 1:11:21.120]  They just say, oh, they didn't die from the surgery. They didn't die from the anesthesia. They died from flu.
[1:11:21.120 --> 1:11:27.120]  So now we don't hear about the fake 30,000 deaths of flu in the U.S. It's probably really like 5,000 every year.
[1:11:27.120 --> 1:11:34.120]  Now it's attributed those fake deaths, those deaths for other things, to COVID. So they've been running this trick for a long time.
[1:11:34.120 --> 1:11:40.120]  Now, let me tell you from my own personal experience looking at statistics. What's really going on here?
[1:11:40.120 --> 1:11:46.120]  I know most people in my family who've died have died of pneumonia.
[1:11:46.120 --> 1:11:51.120]  My grandmother died of a lung infection at 92 a few years ago.
[1:11:51.120 --> 1:11:55.120]  My other grandmother from complications with her lungs.
[1:11:55.120 --> 1:12:00.120]  My great uncle, my uncle, my cousin, all of the last 10 years all died.
[1:12:00.120 --> 1:12:03.120]  I can keep talking about friends and family that died of pneumonia.
[1:12:03.120 --> 1:12:12.120]  The truth is, every fall and winter, the hospitals are filled with people dying of lung problems.
[1:12:12.120 --> 1:12:20.120]  And because of particular in the major studies and because of all these new viruses and things, pneumonia is getting worse and the drugs aren't working.
[1:12:20.120 --> 1:12:24.120]  So let me explain something. COVID-19 is real.
[1:12:24.120 --> 1:12:35.120]  And that there has been an underlying surge in new lung diseases and lung viruses across the world.
[1:12:35.120 --> 1:12:39.120]  The atmosphere has been manipulated. There is particularly in it.
[1:12:39.120 --> 1:12:47.120]  There are all these new viruses and almost all of them, swine flu, bird flu, SARS, COVID-19 come out of China.
[1:12:47.120 --> 1:12:55.120]  That's because it's so dirty, so cramped, so debilitated, such bad nutrition that just like a preschool, it's an incubator for disease.
[1:12:55.120 --> 1:13:01.120]  So there is major death from lung-borne diseases. My God.
[1:13:01.120 --> 1:13:04.120]  2019 is the latest numbers we have. Look it up.
[1:13:04.120 --> 1:13:15.120]  1.4 million people, 1.4 million people died in the United States from tuberculosis.
[1:13:15.120 --> 1:13:21.120]  And the number is set to be even higher because it's drug-resistant, people can't get treatment.
[1:13:21.120 --> 1:13:24.120]  They're dying and people are coming in across the border and aren't even being tested.
[1:13:24.120 --> 1:13:30.120]  And they're putting little kids in school with your kids and not even treating the little kids that are sick or your kids.
[1:13:30.120 --> 1:13:36.120]  They care if whether they were behind pain-linked fences when they came in at a facility being checked.
[1:13:36.120 --> 1:13:40.120]  That's why they said, okay, we won't even check them for medical problems anymore. We don't want to be racist.
[1:13:40.120 --> 1:13:45.120]  See, the globalists love disease. They love depopulation.
[1:13:45.120 --> 1:13:51.120]  And the numbers all show that. Influenza death's 12-week number goes down to almost zero COVID skyrockets.
[1:13:51.120 --> 1:13:56.120]  It's the same in every state, ladies and gentlemen, because they follow the United Nations edict.
[1:13:56.120 --> 1:14:03.120]  Then the CDC and NIH follow that because the doctors don't want to get in trouble. It's false policy. It's fraud.
[1:14:03.120 --> 1:14:10.120]  This is a Corona crisis self-reliance alert. If you're worried about the power grid and the current crisis
[1:14:10.120 --> 1:14:16.120]  and want to generate your own supply of off-the-grid electrical power, just in case, pay close attention.
[1:14:16.120 --> 1:14:22.120]  Here's why. A limited supply of solar backup generators will be available again in the next two weeks.
[1:14:22.120 --> 1:14:28.120]  These emergency backup systems provide life-saving electrical backup power when you get off the grid.
[1:14:28.120 --> 1:14:37.120]  Unlike gas generators, these solar generators run quietly, emit no fumes, and produce an endless supply of free electricity from the sun.
[1:14:37.120 --> 1:14:47.120]  Dangerous weather, social unrest, or overloaded grids this summer will not be a problem if you go to mysolarbackup.com and get your solar backup generator.
[1:14:47.120 --> 1:14:52.120]  We regret that supplies are limited and only available on a first-come, first-served basis.
[1:14:52.120 --> 1:15:03.120]  Check availability at mysolarbackup.com. Never suffer painful power outages again. Go to mysolarbackup.com. That's mysolarbackup.com.
[1:15:22.120 --> 1:15:33.120]  Vegetables actually taste better. The name of the product is protogrow, a proprietary blend of bioactive superfoods for plants designed to produce rapid plant growth in record time,
[1:15:33.120 --> 1:15:39.120]  so much so that it almost forces plants to grow even under the worst light and soil conditions.
[1:15:39.120 --> 1:15:49.120]  It does this by combining powerful trace elements and micronutrients from seaweed extracts with a balanced blend of macronutrients from cold water fish.
[1:15:49.120 --> 1:15:56.120]  The result? Vegetables grow faster than ever because they now have the essential bioavailable nutrients they need.
[1:15:56.120 --> 1:16:05.120]  Go to growlikecrazy.com to learn more. Huge summer discounts now available at growlikecrazy.com.
[1:16:05.120 --> 1:16:23.120]  Imagine telling someone just a year ago that in the middle of 2020, the Democrats, as well as many Republican leaders will be calling for the United Nations WHO edict that all Americans wear masks be a, quote, federal order and mandate.
[1:16:23.120 --> 1:16:31.120]  Totally unconstitutional, annihilating states' rights. Think about that. A woman can kill her baby.
[1:16:31.120 --> 1:16:42.120]  You pay for illegal aliens' health care, but you've got to wear a mask for a virus that killed 20-plus times less than what they said, even if you believe the official story.
[1:16:42.120 --> 1:16:51.120]  This is about the WHO. The globe was testing their power through the media, over the federal government, to set policy in the United States.
[1:16:51.120 --> 1:16:56.120]  This is our punishment for not going with the carbon taxes and the Paris Accord and all of it.
[1:16:56.120 --> 1:17:04.120]  And by the way, they admit that. They say, now your carbon's down, one way or another, you stupid Americans.
[1:17:04.120 --> 1:17:09.120]  There are a few reasons that the globalist launched this planetary lockdown.
[1:17:09.120 --> 1:17:17.120]  The number one reason is it serves every one of their purposes. We've gone over those purposes many times here on air.
[1:17:17.120 --> 1:17:30.120]  The casual society, the surveillance system, global government, medical tyranny, forced inoculation. But the most important facet is it teaches us that we are obsolete, that we are non-essential.
[1:17:30.120 --> 1:17:39.120]  As we begin to witness automation computers and robots take over the jobs that people once had by design.
[1:17:39.120 --> 1:17:49.120]  This isn't like it's some advancement that we just fell into. It's been pre-planned, organized globally, and it's extremely predatory.
[1:17:49.120 --> 1:18:01.120]  And through governmental actuaries and tax programs and regulations, the central banks that control it all are able to pick the winners and the losers and consolidate power.
[1:18:01.120 --> 1:18:05.120]  This is the truest form of technocracy fascism.
[1:18:05.120 --> 1:18:10.120]  You're listening to the Alex Jones show.
[1:18:35.120 --> 1:18:42.120]  How did it happen? Was it suicide? Was he killed? And I do wish you well. I'm not looking for anything bad for her. I'm not looking bad for anybody.
[1:18:42.120 --> 1:18:55.120]  And they took that and they said, such a big deal. But all it is, is her boyfriend died. He died in jail. Was he killed? Was it suicide? I do. I wish you well.
[1:18:55.120 --> 1:18:58.120]  Jeffrey Epstein in your remarks about the Q&A.
[1:18:58.120 --> 1:19:07.120]  He's got a problem. I don't know. But that island was really a cesspool. There's no question about it. Just ask Prince Andrew. He'll tell you about it.
[1:19:07.120 --> 1:19:14.120]  The island was an absolute cesspool. And he's been there for many times. Well, I can't say friends, but I know...
[1:19:14.120 --> 1:19:15.120]  You're friendly. You know them.
[1:19:15.120 --> 1:19:18.120]  They play at my clubs a lot. I have clubs and everybody likes to play at my clubs.
[1:19:18.120 --> 1:19:21.120]  Are you saying there's a political problem for her if she runs for president?
[1:19:21.120 --> 1:19:30.120]  It could be a political problem. Look, he could be a political problem. Right now, he's Teflon and right now, maybe not. But he could end up being a political problem.
[1:19:30.120 --> 1:19:41.120]  Bill Clinton. Nice guy. Got a lot of problems coming up, in my opinion, with the famous island with Jeffrey Epstein. A lot of problems.
[1:19:41.120 --> 1:19:49.120]  So, there you go. They've made a big deal about him saying, oh, he wishes her well. Just like he wishes he's easy to ping well. He doesn't want her to die in jail.
[1:19:49.120 --> 1:20:01.120]  He's been very clear about that. There's no implication that Trump's connected to Epstein, but the media has pushed that continually while ignoring Bill Clinton on the flight manifest and all the witnesses.
[1:20:01.120 --> 1:20:14.120]  But shifting gears, and then we'll go to your phone calls back into COVID-19 and that whole fraud, pharmacies are refusing to fill HCQ prescriptions now.
[1:20:14.120 --> 1:20:18.120]  Because Dr. Gates says you're not allowed to have it here at this.
[1:20:18.120 --> 1:20:25.120]  Hey, everyone. I'm here at Morris Medical Center with my dad, Dr. Darryl R. Morris, the second DO.
[1:20:25.120 --> 1:20:31.120]  He has some things he would like to share and bring attention to in regards to how politics is affecting the medical world right now.
[1:20:31.120 --> 1:20:39.120]  Yesterday and the day before, there were many doctors who had press conference in Washington, DC about their successful treatment of the virus.
[1:20:39.120 --> 1:20:53.120]  One particularly is treated over 300 patients in the Houston area with diabetes, hypertension and COVID positive, and with massive success, treating with hydroxychloroquine, zinc, and the protocol with Zithromax,
[1:20:53.120 --> 1:21:06.120]  which is having good success in many practices across the country. But physicians are being shouted down and the media is not carrying it because it's not the mantra of what turns out to be the left media.
[1:21:06.120 --> 1:21:20.120]  It is clearly a hit on trying to hit on the president here. And those videos showing those physicians who were having successful treatment with that protocol has now been deleted from Twitter and Facebook,
[1:21:20.120 --> 1:21:30.120]  which you all probably know are left-leaning organizations. And that's just censorship and restricting the information flow in the United States.
[1:21:30.120 --> 1:21:40.120]  In our practice, I've written that same protocol for many of my patients that are at risk and the local pharmacies have refused to fill my prescription.
[1:21:40.120 --> 1:21:50.120]  I've had many patients on hydroxychloroquine for many years because I also treat lupus and for 20-plus years even on that medication with no side effects, no trouble whatsoever.
[1:21:50.120 --> 1:21:53.120]  You guys saved my life and you know you did.
[1:21:53.120 --> 1:21:58.120]  Dr. Anthony Fauci has said studies show the drug is ineffective at treating COVID.
[1:21:58.120 --> 1:22:11.120]  There's no reason to not utilize that protocol if it's indicated and not letting that information freely flow and refusing to utilize those protocols which are having success in other practices is just criminal.
[1:22:14.120 --> 1:22:17.120]  That clip enraged them.
[1:22:17.120 --> 1:22:37.120]  We learned that Mueller and the Clintons and all of them were involved suppressing information about themselves and how they were running these child molesting blackmail rings that was being managed by the Clinton Obama-era FBI at the top.
[1:22:37.120 --> 1:22:57.120]  And we also in the documents learned that they tried to have the FBI implicate Donald John Trump because, as we've told you years ago, he was a confidential informant to the FBI in Palm Beach saying that the word is Epstein is engaged in criminal activity with underage girls.
[1:22:57.120 --> 1:23:04.120]  He was a fixture in Palm Beach. I had a falling out with him a long time ago. I don't think I've spoken to him for 15 years.
[1:23:04.120 --> 1:23:15.120]  Epstein was actually banned from Mar-a-Lago according to court documents obtained by Inside Edition after Epstein was accused of sexually assaulting an underage girl at the club.
[1:23:15.120 --> 1:23:21.120]  Everybody knows Donald Trump doesn't like little girls. Donald Trump likes intimidating bombshell females.
[1:23:21.120 --> 1:23:37.120]  But these pedophiles, they want to suck the energy off these little girls, little boys. They want to be creepy. Weinstein's really gross. He likes to have underage girls clean reportedly like skin growths under his belly and he has a vagina as well, reportedly.
[1:23:37.120 --> 1:23:51.120]  He's an aphrodite. I mean, can you imagine all of this? He makes 15-year-old girls start throwing up when he's all stinking and gross and they have to go pet on him and everything.
[1:23:51.120 --> 1:23:56.120]  And it's the same thing with Jeffrey Epstein. He has sexually deformed genitals.
[1:23:56.120 --> 1:24:04.120]  Is it true, sir, that you have what's been described as an egg-shaped penis?
[1:24:04.120 --> 1:24:17.120]  Epstein took my sexual innocence in front of a wall of framed photographs of him shaking hands and smiling at celebrities and political leaders. I was only 15 years old.
[1:24:17.120 --> 1:24:27.120]  You don't get in the globalist club unless you're really screwed up. They're fallen. They're diseased. They're inbred globalists. And that's why they don't like those of us that aren't.
[1:24:27.120 --> 1:24:41.120]  And why they want to make us twisted and fallen and ugly like them. Yet the British royalty all inbred as well. So it's all a bunch of inbred, hunchbacked demons who get all the power because they want the power, because they don't have the power.
[1:24:41.120 --> 1:24:53.120]  Within hours of Jeffrey Epstein's apparent suicide, President Trump was retweeting a conspiracy theory linking Bill Clinton to his death. It was immediately picked up by Russian state media going viral.
[1:24:53.120 --> 1:24:57.120]  A Clinton spokesperson calling the tweet ridiculous and, of course, not true.
[1:24:57.120 --> 1:25:03.120]  I've got a lot of problems coming up, in my opinion, with the famous island with Jeffrey Epstein. A lot of problems.
[1:25:03.120 --> 1:25:04.120]  You think it was over the line?
[1:25:04.120 --> 1:25:06.120]  I don't know because I don't know her, but it was nasty.
[1:25:06.120 --> 1:25:10.120]  You raised the question of Jeffrey Epstein in your remarks about the Q&A.
[1:25:10.120 --> 1:25:12.120]  I think he's got a problem. I don't think the problem will be.
[1:25:12.120 --> 1:25:19.120]  I don't know, but that island was really a cesspool. There's no question about it. Just ask Prince Andrew. He'll tell you about it.
[1:25:19.120 --> 1:25:26.120]  I really like how Trump's attacking now. Don't wait until October. Attack, launch everything now.
[1:25:26.120 --> 1:25:36.120]  Maxwell is imprisoned, and so a lot of people want to know if she's going to turn in powerful people. Do you feel that she's going to turn in powerful men? How do you see that working out?
[1:25:36.120 --> 1:25:40.120]  I don't know. I haven't really been following it too much. I just wish her well.
[1:25:40.120 --> 1:25:44.120]  He said he wishes Gisling Maxwell well. You really don't want Trump wishing you well.
[1:25:44.120 --> 1:25:50.120]  When Trump starts wishing you well, you should be a little angel of death flapping above you.
[1:25:50.120 --> 1:26:19.120]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight, you better believe.
[1:26:19.120 --> 1:26:21.120]  You better believe you got one.
[1:26:21.120 --> 1:26:50.120]  From the front lines of the information war, it's Alex Jones.
[1:26:51.120 --> 1:27:17.120]  The BBC is state-run media in the UK, and they've come out with a detailed article that's linked to an InfoWars.com saying you will have to have forced simulations multiple times a year to be able to travel.
[1:27:17.120 --> 1:27:27.120]  Robots will scan you when you land. You will have a digital tattoo under your skin to be able to enter the country, but it's going to be so easy and so cool and so fun.
[1:27:27.120 --> 1:27:37.120]  The Microsoft website now officially has announced the digital tattoo. We exposed this six months ago, and Bill Gates was funding it, and they had hundreds of news articles attacking it saying it wasn't true.
[1:27:37.120 --> 1:27:48.120]  This is a tactic they used. First they announced it. We say it's a bad idea. They say, that's crazy. We didn't do it. They introduced the idea to you. Then they come back and announce it again, thinking you have no memory.
[1:27:48.120 --> 1:28:02.120]  This is a criminal takeover. This is the line in the sand. We must say no. We must expose the fraud of COVID-19. This entire house of evil is built on. I'm Alex Jones. Never surrender to tyranny. InfoWars.com.
[1:28:02.120 --> 1:28:14.120]  It's been on air in 26 years. Starting about 24 years ago, I began to get calls from major Hollywood directors, producers, actors. They wanted to meet with me, and they said, what is your formal education?
[1:28:14.120 --> 1:28:23.120]  And I said, well, really, nothing but a few years of college. They said, well, how are you one of the best science fiction or cultural writers we've ever heard?
[1:28:23.120 --> 1:28:33.120]  The stuff you come up with is just unbelievable. We'd like you to be in movies. We'd like you to write with us. We'd like you to do voiceovers. You're just a renaissance man.
[1:28:33.120 --> 1:28:42.120]  Folks know I was in some movies, and Harry Shearer made statements like that in a lot of others. I'm not practical. I kept explaining to them. I said, do you understand I had to come up with any of this?
[1:28:42.120 --> 1:28:56.120]  I'm reading globalist MIT white papers and futurist documents, and they would just laugh at me and say, oh, no way. Then I would give them the documents. They would get very, very scared the next time I saw them in a few months and say, man, you're right.
[1:28:56.120 --> 1:29:01.120]  This is dystopic. Folks, I didn't make any of this up. OK, it's real. It's real.
[1:29:01.120 --> 1:29:16.120]  Where the hell did this water come from? Where did it come from? Where did it come from?
[1:29:16.120 --> 1:29:27.460]  we can't survive without pure clean drinking water so make sure that it's
[1:29:27.460 --> 1:29:32.460]  always available to you with the Alexa Pure water filtration system this
[1:29:32.460 --> 1:29:37.220]  gravity-fed system filters through all the toxins and get straight to clean
[1:29:37.220 --> 1:29:45.740]  healthy great tasting water mmm mmm yummy in my tummy bring the purest
