[00:00:00.249 --> 00:00:01.490]  Stay in anonymity.
[00:20:22.507 --> 00:20:24.508]  And none of this is illegal!
[00:20:24.508 --> 00:20:28.930]  And statistics show midwives have a better success rate than the hospitals.
[00:20:28.930 --> 00:20:30.251]  Yeah, that's true.
[00:20:30.251 --> 00:20:32.312]  It was basically a whole
[00:20:32.836 --> 00:20:34.457]  You just had a child.
[00:20:34.457 --> 00:20:36.579]  You've got a cesarean section cut.
[00:20:36.579 --> 00:20:37.260]  Right.
[00:20:37.260 --> 00:20:40.242]  Who had you sight of this greebling creature?
[00:20:58.743 --> 00:21:07.428]  Well, um, we, you know, there were several different things we tried to say and, um, she was just somewhat just nasty and...
[00:21:08.189 --> 00:21:13.974]  And said we basically had no idea what we were doing and we're incompetent parents.
[00:21:13.974 --> 00:21:20.860]  Did you say, hey, social workers and their foster homes are five times more likely to abuse or kill children.
[00:21:20.860 --> 00:21:27.045]  How about we have you arrested just to say that because statistically you're worse, let's just go ahead and say you're guilty and arrest you.
[00:21:27.045 --> 00:21:27.285]  Yeah.
[00:21:27.285 --> 00:21:29.667]  We did that.
[00:21:29.667 --> 00:21:30.788]  Didn't you think of that?
[00:21:34.332 --> 00:21:36.374]  We're talking to the father, did you say that?
[00:21:36.374 --> 00:21:52.806]  Yeah, we basically told them that our first and foremost concern was our child and that as the parents we had to make the decisions we thought were best for the child and that they could threaten us with custody issues if they wanted to, but we were not going to give our permission for them to vaccinate.
[00:21:52.806 --> 00:21:55.427]  Now you didn't cave, sir, and I want to commend you.
[00:21:55.427 --> 00:22:00.931]  Usually in that stack of forms is a system where you relinquish your child.
[00:22:02.631 --> 00:22:05.313]  Did she ever put one of those in front of you?
[00:22:05.313 --> 00:22:14.820]  Um, not that I know of, but they were trying to get the, um, waiver so that they could give the shot without, um, getting into any liability.
[00:22:14.820 --> 00:22:24.046]  Also this morning I heard that the social worker did bring forward in the, in the, in the, uh, little kangaroo cord to terminate, um, and to take the child.
[00:22:24.046 --> 00:22:25.287]  Correct?
[00:22:25.287 --> 00:22:31.471]  Um, they took, they took and actually supposedly granted protective custody of the child to the Department of Human Services.
[00:22:31.471 --> 00:22:32.312]  Stay there, we'll be right back.
[00:22:36.936 --> 00:22:42.920]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:22:42.920 --> 00:22:51.385]  Alright folks, we've got about 51 minutes left in this live broadcast for stations that carry the news in the last segment.
[00:22:51.385 --> 00:22:54.807]  Talking to Dr. Sarah Chase.
[00:22:54.807 --> 00:23:02.711]  Her sister is the mother of the young lady, 19 year old, who is married and who did not want her child vaccinated.
[00:23:02.711 --> 00:23:05.113]  Very intelligent, articulate people.
[00:23:06.133 --> 00:23:06.614]  I think.
[00:23:20.530 --> 00:23:21.952]  Except for two-month spaces.
[00:23:21.952 --> 00:23:26.976]  They said they wanted to be given the shot in seven days, which again, the insert says don't do that.
[00:23:26.976 --> 00:23:28.238]  And it's very dangerous.
[00:23:28.238 --> 00:23:30.380]  The CDC says don't do that.
[00:23:30.380 --> 00:23:34.204]  So that right there is a big place to have that on the record.
[00:23:34.204 --> 00:23:37.547]  With witnesses, a large point to sue these people personally.
[00:23:37.547 --> 00:23:38.348]  They'll claim immunity.
[00:23:38.348 --> 00:23:39.569]  They don't have immunity.
[00:23:39.569 --> 00:23:42.331]  That's a con job.
[00:23:42.331 --> 00:23:43.713]  And the threats are continuing.
[00:23:45.257 --> 00:23:47.499]  So we're talking to the father as well.
[00:23:47.499 --> 00:23:50.621]  Michael, you were trying to say something about what happened to your child.
[00:23:50.621 --> 00:23:51.601]  Please continue.
[00:23:51.601 --> 00:23:58.946]  Oh, it was just about the custody issue that, yes, the judge did order the county to file.
[00:23:58.946 --> 00:24:04.089]  Basically, they took protective custody of the child for a period of about three weeks.
[00:24:04.089 --> 00:24:09.593]  Thankfully, we were able to avoid getting the second shot, which could have probably killed our child.
[00:24:10.607 --> 00:24:21.030]  And, um, but we did go through three weeks of basically terror, where we had physical custody of our child, but they had the right to do whatever they wanted.
[00:24:21.030 --> 00:24:25.071]  And they were saying, take the shot in seven days, or we're gonna take your child.
[00:24:25.071 --> 00:24:29.332]  They claimed your wife had Hepatitis B. Turned out, of course, she didn't.
[00:24:29.332 --> 00:24:30.793]  We've caught them in other areas doing this.
[00:24:30.793 --> 00:24:37.734]  I don't know if this was on purpose in their case, but the comment to your wife, we don't want your money, we just want your firstborn.
[00:24:37.734 --> 00:24:38.755]  Uh, what was that like?
[00:24:38.755 --> 00:24:39.575]  Did you witness that?
[00:24:40.943 --> 00:24:42.944]  I didn't personally witness that.
[00:24:42.944 --> 00:24:44.505]  I want to talk to your wife.
[00:24:44.505 --> 00:24:46.526]  What did the nurse say?
[00:24:46.526 --> 00:24:49.027]  Or did the grandmother see this?
[00:24:49.027 --> 00:24:50.628]  What setting did this take place in?
[00:24:50.628 --> 00:24:51.649]  What happened?
[00:24:51.649 --> 00:24:55.751]  It was right when I was rushed into the hospital.
[00:24:55.751 --> 00:25:02.154]  We were trying to figure out what emergency procedure, whatever they were going to do.
[00:25:02.154 --> 00:25:08.257]  For me, I was not really the one who caught it.
[00:25:08.257 --> 00:25:09.598]  It was more my mother.
[00:25:09.598 --> 00:25:10.298]  I was kind of
[00:25:11.025 --> 00:25:16.909]  I'm focused on all my breathing and labor pains and all this other stuff.
[00:25:16.909 --> 00:25:17.830]  I understand.
[00:25:17.830 --> 00:25:19.011]  I want to recap that.
[00:25:19.011 --> 00:25:22.073]  Let's bring your mother or your grandmother back up.
[00:25:22.073 --> 00:25:25.255]  What exactly did this nurse say?
[00:25:25.255 --> 00:25:28.298]  She smiled and said, we don't want your money.
[00:25:28.298 --> 00:25:29.658]  We just want your firstborn.
[00:25:32.583 --> 00:25:47.727]  Now, when the CPS person is saying, take all the shots, we're going to take your kids, sign these papers, did anybody point out that even Time Magazine had this headline a few years ago, five times more likely to be abused or to die in their custody?
[00:25:47.727 --> 00:25:49.348]  Did anybody point that out?
[00:25:49.348 --> 00:25:52.789]  That, hey, you guys have the bad track record?
[00:25:52.789 --> 00:25:53.569]  We didn't.
[00:25:53.569 --> 00:26:00.011]  We weren't aware of that exact statistic, but we definitely did not want our child falling into their hands because we've heard the horror stories.
[00:26:02.711 --> 00:26:04.812]  It's unbelievable.
[00:26:04.812 --> 00:26:06.673]  They knew too much.
[00:26:06.673 --> 00:26:14.977]  They knew they could not let that happen, yet they also knew that they could not consent to their daughter being vaccinated.
[00:26:14.977 --> 00:26:16.698]  Is this Dr. Chase?
[00:26:16.698 --> 00:26:18.059]  This is the mother.
[00:26:18.059 --> 00:26:18.799]  Oh, this is the mother.
[00:26:18.799 --> 00:26:20.040]  We've got a lot of folks on here.
[00:26:20.040 --> 00:26:24.382]  Dr. Chase, do you have any comments to all this?
[00:26:24.382 --> 00:26:30.265]  Yes, when the nurse said, you know, we just want your child, I thought, over our dead bodies, you'll take that child.
[00:26:32.709 --> 00:26:44.174]  The courts wanted to maintain protective supervision of the child, maintaining that, obviously, that they think they have more of a right to our children than the parents do.
[00:26:44.174 --> 00:26:58.139]  Now, and of course it's for their best interest as usual, Hitler said that, so they are running around now, afterwards you brought them the blood test, their own blood test, saying she didn't have Hepatitis B, what did they say to that?
[00:26:59.053 --> 00:27:05.256]  Well, we got social services to at least petition to the courts to drop the dependency and neglect charge.
[00:27:05.256 --> 00:27:09.438]  And we told them we were not going to get that second vaccination, especially in a week.
[00:27:12.243 --> 00:27:19.327]  The court documents... Man, I wish you would have recorded them telling you that, no, you've got to take it in a week, you've got to take it in a week.
[00:27:19.327 --> 00:27:21.908]  You would have them so red-handed.
[00:27:21.908 --> 00:27:23.429]  Oh, it's in the court documents, Alex.
[00:27:23.429 --> 00:27:25.930]  Not practicing medicine without a license?
[00:27:25.930 --> 00:27:27.691]  Oh, this is incredible.
[00:27:27.691 --> 00:27:30.172]  It's in the court documents.
[00:27:30.172 --> 00:27:32.713]  You're telling me they said that in the court?
[00:27:32.713 --> 00:27:36.775]  Yep, it says in the court... Oh my, oh my, oh!
[00:27:36.775 --> 00:27:38.156]  It's actually in the court order.
[00:27:38.516 --> 00:27:43.324]  It says in the court order that the second vaccination has to be done in one week.
[00:27:43.324 --> 00:27:46.970]  And it also said... So now the judge is practicing medicine.
[00:27:46.970 --> 00:27:47.691]  Yep.
[00:27:47.691 --> 00:27:49.695]  Oh, and they also said, quote,
[00:27:50.433 --> 00:28:07.177]  We hereby find by clear and convincing evidence that the mother has been diagnosed with Hepatitis B. She was never examined by any doctor for Hepatitis B. And the test says it's just a quick test, a little kit, 40% of all positive.
[00:28:07.177 --> 00:28:12.459]  Yes, they're making a diagnosis off of an erroneous screening test.
[00:28:12.459 --> 00:28:16.760]  We have been trying for weeks to get copies of the transcripts of that court hearing.
[00:28:17.686 --> 00:28:19.928]  And, uh, we have been blocked from that.
[00:28:19.928 --> 00:28:21.909]  We have not even been able to get the transcript.
[00:28:21.909 --> 00:28:22.870]  Now, that's criminal.
[00:28:22.870 --> 00:28:26.472]  You need to put in a judicial complaint for judicial misconduct.
[00:28:26.472 --> 00:28:30.615]  They will also try to edit those transcripts, at least a lot of people try that.
[00:28:30.615 --> 00:28:33.336]  But you do have your witnesses of what they said.
[00:28:33.336 --> 00:28:34.177]  No wonder!
[00:28:34.177 --> 00:28:35.478]  Oh, they know!
[00:28:35.478 --> 00:28:39.260]  You better sue them now and get a subpoena.
[00:28:39.260 --> 00:28:42.002]  And, uh, oh man, I tell you, this is incredible.
[00:28:44.016 --> 00:28:49.299]  And we just keep getting the run around over and over and over about why we can't get the transcript yet.
[00:28:49.299 --> 00:28:51.120]  Well, they have to give you the transcript.
[00:28:51.120 --> 00:28:53.902]  Well, we're trying, but they just keep putting it off and putting it off.
[00:28:53.902 --> 00:28:55.683]  And the transcripts have been paid for.
[00:28:55.683 --> 00:29:00.526]  Well, there's a lot of stuff that they have to do and that they're legally required to do that they're just not doing.
[00:29:00.526 --> 00:29:11.373]  I mean, it's interesting for all the listeners to note that it was pointed out by myself and by Dr. Chase and others in the hearing itself about the Bill of Rights.
[00:29:11.903 --> 00:29:18.190]  And even the Colorado statutory exemption for these vaccinations.
[00:29:18.190 --> 00:29:21.554]  And the courts these days, they think it's a joke.
[00:29:21.554 --> 00:29:27.580]  Well, the FBI was caught in Denver arguing in court that the Constitution is not a defense and that you can't use it.
[00:29:27.580 --> 00:29:28.361]  And the judge agreed.
[00:29:28.361 --> 00:29:29.202]  But let me just say this.
[00:29:30.726 --> 00:29:33.287]  Don't get a lawyer from the area, unless you really trust them.
[00:29:33.287 --> 00:29:35.108]  Get one from outside the area.
[00:29:35.108 --> 00:29:37.469]  They'll be taught this new Cracker Jack law.
[00:29:37.469 --> 00:29:45.412]  You know, if you get out of a box of popcorn, you need to get somebody who knows the Constitution Bill of Rights.
[00:29:45.412 --> 00:29:48.753]  And I would use the Civil Rights as well as the First Amendment argument.
[00:29:48.753 --> 00:29:52.755]  I don't know if you would go with UCC because it's real, but they'll totally ignore that, as you learned.
[00:29:53.948 --> 00:30:04.712]  You have got major lawsuits here, just the practicing medicine without a license, all of this stuff, and telling you to give the child the shot, having that order.
[00:30:04.712 --> 00:30:06.153]  You can get all of that.
[00:30:06.153 --> 00:30:07.913]  You ought to put the newspaper onto this.
[00:30:07.913 --> 00:30:10.174]  I know they're probably part of the establishment and don't want to.
[00:30:10.174 --> 00:30:15.096]  You need to get on local talk radio, though we're on in Colorado.
[00:30:15.096 --> 00:30:16.997]  What is Grand Junction close to?
[00:30:16.997 --> 00:30:18.037]  Denver.
[00:30:22.822 --> 00:30:26.265]  Western Colorado, it's pretty much the biggest city.
[00:30:26.265 --> 00:30:26.565]  How far away?
[00:30:26.565 --> 00:30:30.908]  About five hours from Denver, in between Denver and Salt Lake.
[00:30:30.908 --> 00:30:32.829]  Okay, everybody's talking at once.
[00:30:32.829 --> 00:30:35.131]  Michael, where is Grand Junction?
[00:30:35.131 --> 00:30:37.993]  It's located about halfway between Denver and Salt Lake.
[00:30:37.993 --> 00:30:40.635]  It's on the western border of Colorado.
[00:30:40.635 --> 00:30:43.077]  Pretty much the biggest city in that area.
[00:30:43.077 --> 00:30:45.058]  I believe you can hear my show in that area.
[00:30:45.058 --> 00:30:48.741]  I know we've got four affiliates that basically cover the state, but
[00:30:50.262 --> 00:30:54.444]  Well, this is just par for the course, what they do.
[00:30:54.444 --> 00:31:04.247]  So when they finally dropped it, have you confronted the doctors and people themselves with this fact?
[00:31:04.247 --> 00:31:05.448]  Yes, we have.
[00:31:05.448 --> 00:31:09.009]  And they said it was in the child's best interest, just in case.
[00:31:10.785 --> 00:31:13.327]  That they wanted to err on the side of caution.
[00:31:13.327 --> 00:31:14.328]  Now there's liability.
[00:31:14.328 --> 00:31:21.694]  A lot of times when they give a test, you have to sign a form saying you know that it means that you may not really have it.
[00:31:21.694 --> 00:31:24.797]  Especially with tests like the quick hepatitis B test they give.
[00:31:24.797 --> 00:31:27.198]  They had to know that.
[00:31:27.198 --> 00:31:29.761]  They did, and they... Do you have any suspicions?
[00:31:29.761 --> 00:31:34.985]  Do you have any suspicions that your wife really didn't... that the test never even said that?
[00:31:36.095 --> 00:31:44.959]  Well, we saw a copy of the lab report, and it was positive, but it also said this will be confirmed by another method, and we knew she didn't have it.
[00:31:44.959 --> 00:31:58.524]  I have trouble believing, though, that the test ever did really say that, or if it did actually say that, it was a screw-up on their part, because of the four or five tests we've done since then, not a single one has turned out remotely positive.
[00:31:58.524 --> 00:32:03.626]  Well, that's a big thing for you to have in court, but so are you planning to sue them?
[00:32:05.157 --> 00:32:08.518]  Um, at this point, we are looking for a legal counsel.
[00:32:08.518 --> 00:32:14.061]  We are not, um, one of those families that can pay someone $300 an hour to do this sort of thing.
[00:32:14.061 --> 00:32:16.782]  Okay, for our list, uh, we've got somebody that wants to talk to you.
[00:32:16.782 --> 00:32:23.525]  Then I want to give some contact out for you for folks that want to help you or put you on to good people in the Colorado area.
[00:32:23.525 --> 00:32:25.645]  Mike in Arizona, you're on the air with our guest.
[00:32:25.645 --> 00:32:26.166]  Go ahead.
[00:32:26.166 --> 00:32:29.247]  We'll have to fade some of you guys down when he talks and fade you back up.
[00:32:29.247 --> 00:32:30.227]  Go ahead, Mike.
[00:32:30.227 --> 00:32:30.948]  Yes, hi.
[00:32:30.948 --> 00:32:34.069]  Uh, I'm curious, uh, why, uh,
[00:32:34.730 --> 00:32:39.672]  Why did somebody think that the mother had Hepatitis B?
[00:32:39.672 --> 00:32:44.414]  It was an initial screening test that they did when we first went into the hospital.
[00:32:44.414 --> 00:33:00.661]  It was a planned home birth that ran into complications and we decided that for the best interest of our child we should head to the hospital and the doctor wanted to do an immediate C-section and standard procedure before they do any type of surgery is to have blood tests.
[00:33:00.661 --> 00:33:01.421]  Yeah, obviously.
[00:33:01.421 --> 00:33:03.862]  What do you think about what is being said here, Mike?
[00:33:04.798 --> 00:33:09.040]  Yeah, I think it's just an unfortunate set of circumstances.
[00:33:09.040 --> 00:33:21.665]  There is, you know, one of the ways, about the only way that an infant could get hepatitis B is from, well, an infant, a newborn, is going to get it from the mother, vertical transmission.
[00:33:21.665 --> 00:33:23.786]  So there is legitimate concern there.
[00:33:28.650 --> 00:33:30.992]  What about saying we only want your firstborn?
[00:33:30.992 --> 00:33:35.757]  Well, I think that was just some dark humor on the part of the nurse.
[00:33:35.757 --> 00:33:39.500]  Just a sick joke and totally inappropriate.
[00:33:39.500 --> 00:33:45.666]  But I think there is a problem with this elitist mentality that we know better how to take care of your child than you do.
[00:33:45.666 --> 00:33:47.348]  You sound like a doctor, Mike.
[00:33:47.348 --> 00:33:49.129]  Yeah, I am.
[00:33:49.129 --> 00:33:50.250]  And I think the way you
[00:33:51.229 --> 00:33:55.132]  Uh, hit that off, or prevent this kind of thing from happening in the first place.
[00:33:55.132 --> 00:33:56.092]  Well, Mike, I'll hold you over.
[00:33:56.092 --> 00:33:57.813]  Let's do one more segment with our guests so they can stay.
[00:33:57.813 --> 00:33:59.614]  But let me just say this, and don't hang up, Mike.
[00:33:59.614 --> 00:34:00.235]  Yeah.
[00:34:00.235 --> 00:34:01.415]  I've been to the hospitals.
[00:34:01.415 --> 00:34:02.736]  I've covered this, sir.
[00:34:02.736 --> 00:34:04.758]  It may not be like this at your hospital.
[00:34:04.758 --> 00:34:09.521]  It is hell on earth in Austin, Texas.
[00:34:09.521 --> 00:34:10.501]  Can you believe me, Mike?
[00:34:10.501 --> 00:34:15.044]  Mike, are you there?
[00:34:15.044 --> 00:34:17.365]  Well, we'll see if he's there when we get back after the break.
[00:34:17.365 --> 00:34:17.986]  Mike, you still there?
[00:34:18.957 --> 00:34:20.118]  Okay.
[00:34:20.118 --> 00:34:22.939]  We'll be right back, folks, on the other side of this quick break.
[00:34:22.939 --> 00:34:25.641]  We'll talk to Mike, who says he's a doctor, and we'll let the family talk.
[00:34:25.641 --> 00:34:30.843]  We've got, like, six people online now, so we'll try to keep this a little juggled and balanced.
[00:34:30.843 --> 00:34:34.485]  Kind of hard to do with audio-wise, but folks are doing a great job up at Genesis.
[00:34:34.485 --> 00:34:34.945]  Stay with us.
[00:34:46.294 --> 00:34:53.120]  Thanks for listening to the M2K Talk Archives, and we are listener-supported with the Honors System.
[00:34:53.120 --> 00:34:54.761]  We ask that you wait.
[00:34:54.761 --> 00:34:56.643]  Don't donate a dollar at a time.
[00:34:56.643 --> 00:35:02.227]  PayPal charges a 35-cent surcharge on anything of a dollar or less.
[00:35:02.227 --> 00:35:05.730]  Wait till you listen to five or ten, and then donate, please.
[00:35:05.730 --> 00:35:08.052]  We appreciate your voluntary support.
[00:35:12.944 --> 00:35:15.966]  We've got Dr. Sarah Case.
[00:35:15.966 --> 00:35:19.209]  We've got Richard.
[00:35:19.209 --> 00:35:20.049]  Mike, who's a doctor.
[00:35:20.049 --> 00:35:23.232]  We've got a bunch of the family, the grandmother, the mother, the father.
[00:35:26.973 --> 00:35:29.717]  We've got all these different people online.
[00:35:29.717 --> 00:35:40.630]  Again, the mother of the mother, the mother of the mother's mother, the father, and we have their cousin, Dr. Sarah Case, on the show as well.
[00:35:40.630 --> 00:35:42.412]  And it's just like cops.
[00:35:42.412 --> 00:35:43.213]  80% of cops are good.
[00:35:44.193 --> 00:35:49.415]  But, since they're good, they think the 20% that are bad must be good, and then have to protect them.
[00:35:49.415 --> 00:35:50.376]  Same thing with doctors.
[00:35:50.376 --> 00:35:54.598]  The doctors are just useful idiots carrying out whatever the establishment has to say.
[00:35:54.598 --> 00:35:59.600]  And I have seen, especially in city-run hospitals, they are child kidnapping mills.
[00:35:59.600 --> 00:36:04.082]  I don't know about this hospital, but I know what we put on TV in Austin.
[00:36:04.082 --> 00:36:08.904]  I mean, the lies in the CPS reports, it would say, the baby was abused a year and a half ago.
[00:36:08.904 --> 00:36:12.146]  We have nine witnesses, and it's a newborn baby.
[00:36:12.626 --> 00:36:15.227]  And they've got the name of the newborn baby.
[00:36:15.227 --> 00:36:17.287]  You know, it's stuff like this.
[00:36:17.287 --> 00:36:19.748]  Just insane.
[00:36:19.748 --> 00:36:21.968]  Mike, you were making a point when we hit that last break.
[00:36:21.968 --> 00:36:23.049]  Go ahead.
[00:36:23.049 --> 00:36:25.869]  Well, just a couple of quick observations.
[00:36:25.869 --> 00:36:39.993]  You know, it's ironic that that system has developed where we allow doctors and attorneys and other people to second-guess the parents and put them in the position of the parents, in effect.
[00:36:40.692 --> 00:36:46.836]  We assume that the parents are idiots and can't make good decisions, and unfortunately there are instances where that is the case.
[00:36:46.836 --> 00:36:48.897]  But that's the way the world works.
[00:36:48.897 --> 00:36:52.219]  It's better to have some idiots out there than have a big giant government.
[00:36:52.219 --> 00:36:54.720]  Yeah, I guess you have to come down on that side.
[00:36:54.720 --> 00:36:56.741]  Certainly I do.
[00:36:56.741 --> 00:37:05.726]  But it's kind of ironic that the system also says that, well, women ought to have the autonomy to be able to decide to terminate that child's life.
[00:37:05.726 --> 00:37:08.828]  What about the hospital saying, okay, you sign a form saying we have no liability?
[00:37:11.320 --> 00:37:12.681]  And then that would protect the hospital.
[00:37:12.681 --> 00:37:20.807]  Any comments, Dr. Chase or Case, any comments from the family on what Mike is saying?
[00:37:20.807 --> 00:37:40.220]  Well, I think he's right that it's amazing to me that they will kill unborn children without flinching an eye, but that they will violate parents' rights as parents and as Americans just on a whim if they think they have something to gain from it.
[00:37:40.874 --> 00:37:46.297]  I'd like to make a little bit of clarity for Mike and any of the other listeners out there.
[00:37:46.297 --> 00:37:54.882]  There was a confirmatory test that was scheduled to arrive 16 hours later at the time of the hearing, and the judge refused to wait for it.
[00:37:54.882 --> 00:38:00.545]  And he also refused to wait for the following day so that we could get a little better of a defense together.
[00:38:01.471 --> 00:38:14.555]  So those are two other pretty major issues I believe in this circumstance is that even if they thought... Let me ask Mike and Chase about this.
[00:38:14.555 --> 00:38:26.778]  What about the situation where you have them where the insert of the hepatitis B shot says don't take it for a month and a half to two months after the first shot and they're saying you will take this in seven days.
[00:38:26.778 --> 00:38:29.359]  Isn't there major liability there for the social worker?
[00:38:30.286 --> 00:38:33.088]  I think that's negligible.
[00:38:33.088 --> 00:38:43.997]  I believe it was the neonatologist in the hearing and also recommending to the judge and the judge declaring that the second shot had to be in seven days.
[00:38:43.997 --> 00:38:53.724]  That doctor had to know, he has to be a pediatrician first to be that type of doctor in the hospital from what I've read.
[00:38:53.724 --> 00:38:55.045]  Is that correct from what you know?
[00:38:56.932 --> 00:39:03.856]  Yes, yes, and he should know what those guidelines are if he's out there recommending vaccination.
[00:39:03.856 --> 00:39:05.617]  Mike, do you have any comments to that?
[00:39:05.617 --> 00:39:08.438]  Oh, sure, absolutely.
[00:39:08.438 --> 00:39:25.247]  But, you know, I think the way, the take-home lesson here is that, like, in dealing with any professional, whether you're a mechanic or an attorney or a doctor, you go in armed with questions and with knowledge and put them on the defensive.
[00:39:26.264 --> 00:39:28.205]  Otherwise, they assume that they know best.
[00:39:28.205 --> 00:39:36.469]  If you're going to have a home birth, I would have a backup with a hospital, I would shop around with doctors, and I would get to know them first.
[00:39:36.469 --> 00:39:38.690]  Isn't that a smart thing to do?
[00:39:38.690 --> 00:39:39.671]  Absolutely.
[00:39:39.671 --> 00:39:43.913]  And you ask them questions like, is there mercury in the preservative for this vaccine?
[00:39:44.708 --> 00:39:46.249]  Show them that you've done your homework.
[00:39:46.249 --> 00:39:48.670]  Ask them questions that they probably won't be able to answer.
[00:39:48.670 --> 00:39:50.031]  Act like you're a fruitcake.
[00:39:50.031 --> 00:39:57.814]  Deliver them 25 mainstream news articles where major countries like Japan are stopping giving shots to children until age 2.
[00:39:57.814 --> 00:40:04.677]  Alex, it was amazing how, in such a short notice for this hearing, how the family was able to gather information.
[00:40:04.677 --> 00:40:07.919]  And in that court hearing, they put up a really good fight.
[00:40:08.659 --> 00:40:11.401]  Um, with so little notice and no expert help.
[00:40:11.401 --> 00:40:13.562]  Okay, well I want to commend you guys for your courage.
[00:40:13.562 --> 00:40:15.583]  I hope you sue them on a hundred fronts.
[00:40:15.583 --> 00:40:18.465]  You know, have ten different things you're suing them for so they can't stop at all.
[00:40:18.465 --> 00:40:24.829]  Uh, how do people contact you guys if they want to give you help or want to tell you about a lawyer in the area?
[00:40:25.743 --> 00:40:27.364]  Okay.
[00:40:27.364 --> 00:40:37.650]  We should have a pretty bare-bones website up in the next couple hours at forcedvaccination.netfirm.com.
[00:40:37.650 --> 00:40:40.471]  I'll tell you what, let's just do three or four minutes on the other side.
[00:40:40.471 --> 00:40:52.598]  I've got news I've got to cover and some calls, but I want to talk about this more, and I want to... You need to give out a number, even if it's to Dr. Chase, because you need to have people contact you now.
[00:40:52.598 --> 00:40:53.559]  You need to get on this now.
[00:40:54.252 --> 00:40:55.253]  We'll be right back.
[00:40:55.253 --> 00:40:55.873]  Stay with us.
[00:40:55.873 --> 00:40:58.315]  I'm Alex Jones.
[00:40:58.315 --> 00:40:59.696]  We're on the march.
[00:40:59.696 --> 00:41:01.317]  The Empire's on the run.
[00:41:01.317 --> 00:41:04.920]  Alex Jones and the GCN Radio Network.
[00:41:17.249 --> 00:41:25.772]  It was 20, 30 years ago in America, your children were yours.
[00:41:25.772 --> 00:41:28.593]  We could have our doors open at night.
[00:41:28.593 --> 00:41:30.514]  We had more freedom.
[00:41:30.514 --> 00:41:32.755]  The more government we get, the more control we get.
[00:41:32.755 --> 00:41:36.016]  I got articles here out of England, what they're doing to the healthcare system.
[00:41:36.016 --> 00:41:39.398]  Once they socialize it, they take total control of your life, say what you can eat.
[00:41:40.023 --> 00:41:52.467]  What you can drink, they're gonna make you swipe your national ID card to have a record of what you eat and what you do, to quote, decide if you get healthcare, you don't take the vaccines, they take your healthcare away and it's not even a law.
[00:41:52.467 --> 00:41:59.829]  This is the control of the New World Order, the micromanagement of the control freaks on steroids.
[00:41:59.829 --> 00:42:00.909]  All the crimes they commit.
[00:42:01.841 --> 00:42:10.904]  All the falsification of evidence, all the judicial misconduct, all the institutionalized evil is acceptable and okay, because they're the boss.
[00:42:10.904 --> 00:42:11.824]  They're the government.
[00:42:11.824 --> 00:42:13.184]  We're their property.
[00:42:13.184 --> 00:42:15.205]  No, that's not the case.
[00:42:15.205 --> 00:42:17.726]  We're about to go to Clinton, Missouri, who wants to talk to this family.
[00:42:19.224 --> 00:42:30.318]  Talking to Dr. Sarah Chase, who is the sister of the mother of the lady who had the child, who's married to the husband who we have on as well.
[00:42:30.318 --> 00:42:32.141]  Michael, we have the grandmother on.
[00:42:33.587 --> 00:42:41.709]  Do you guys have a phone number we can give out for people that want to point you to a good lawyer or common law person or somebody that really knows what's happening?
[00:42:41.709 --> 00:42:43.689]  I'd get a lot of different opinions.
[00:42:43.689 --> 00:42:51.271]  Or for anybody that wants to be able to assist you in paperwork and stuff, how do people get in contact with you?
[00:42:51.271 --> 00:42:53.351]  Yes, they can call us at 970-268-5570.
[00:42:53.351 --> 00:42:53.611]  Again, 970-268-5570.
[00:43:03.527 --> 00:43:19.271]  5570 and leave a message and also an email contact where I can email you the situation, what happened, and also a list of who was involved in this court hearing and also people to call, legislators, judicial commissions, whatever.
[00:43:19.271 --> 00:43:25.253]  That email address is katcc2 at hotmail.com.
[00:43:25.253 --> 00:43:26.233]  Say it again?
[00:43:26.233 --> 00:43:32.215]  K-A-T-C-C-2, the number 2 at hotmail.com.
[00:43:32.947 --> 00:43:33.388]  All right.
[00:43:33.388 --> 00:43:36.590]  That number again is 970-268-5570?
[00:43:36.590 --> 00:43:39.994]  Yes.
[00:43:39.994 --> 00:43:41.215]  All right.
[00:43:41.215 --> 00:43:42.996]  I hope folks will contact you.
[00:43:42.996 --> 00:43:44.798]  One quick call and some final comments from you.
[00:43:44.798 --> 00:43:46.960]  I appreciate you staying on so long and your courage.
[00:43:46.960 --> 00:43:47.320]  Thank you.
[00:43:47.320 --> 00:43:51.644]  Because this is happening to everybody now, especially blue-collar folks.
[00:43:51.644 --> 00:43:53.206]  They're even in more trouble.
[00:43:53.206 --> 00:43:53.366]  Yes.
[00:43:53.366 --> 00:43:55.228]  And this is at Grand Junction, Colorado.
[00:43:55.228 --> 00:43:55.768]  Yep.
[00:43:55.768 --> 00:43:57.450]  Clint in Missouri.
[00:43:57.450 --> 00:43:58.250]  You're on the air.
[00:43:58.250 --> 00:43:58.631]  Go ahead.
[00:44:00.140 --> 00:44:03.183]  Yeah, I just want to tell the family, uh, don't feel bad.
[00:44:03.183 --> 00:44:17.254]  When my wife was in the hospital with our second child, uh, when she first got admitted, uh, her water had already broken home and, uh, they took a lab sample and everything and came back up and told us her water didn't break.
[00:44:17.254 --> 00:44:19.376]  And then we, we informed them, yes, it did.
