[00:00:17.014 --> 00:00:22.097]  May 31st, 2019.
[00:52:58.308 --> 00:53:04.894]  He's going to be in studio with us 15 after for the rest of the show, the rest of the show until the fourth hour.
[00:53:04.894 --> 00:53:09.999]  And then we have Nick Baggett, who always does an amazing job on Fridays, hosting the fourth hour.
[00:53:09.999 --> 00:53:11.800]  Dr. Nick Baggett.
[00:53:11.800 --> 00:53:14.563]  So that is coming up today.
[00:53:14.563 --> 00:53:21.890]  I have not gotten to all of these clips I said I would, but again, silent weapons require wars.
[00:53:23.160 --> 00:53:39.617]  Dissolve the family, get rid of the jobs, demoralize the population, bring in 10 million illegal aliens the last five, six years, and do not test them, and order the Border Patrol, do not test them for diseases.
[00:53:41.141 --> 00:53:46.607]  And then immediately bust them in, enroll them in school, and put them next to your kid with TB.
[00:53:46.607 --> 00:53:48.529]  What about the poor illegal alien kids?
[00:53:48.529 --> 00:53:49.670]  They should be tested.
[00:53:49.670 --> 00:53:50.411]  Your children.
[00:53:50.411 --> 00:53:52.613]  Oh, but then they blame you didn't take a vaccine.
[00:53:52.613 --> 00:53:53.034]  It's your fault.
[00:53:54.465 --> 00:53:55.686]  There is no vaccine for TB.
[00:53:55.686 --> 00:53:57.388]  It's all BS.
[00:53:57.388 --> 00:53:59.389]  This is a biological attack.
[00:53:59.389 --> 00:54:01.471]  This is an attempt to take us down.
[00:54:01.471 --> 00:54:11.139]  And again, they form them up at refugee centers, train them, give them $1,000 debit cards, give them cash, give them backpacks of food every step of the way.
[00:54:11.940 --> 00:54:13.141]  Every leg.
[00:54:13.141 --> 00:54:13.921]  Bring them in.
[00:54:13.921 --> 00:54:18.684]  And then I tune in to a podcast with the Jordan Klepper guy.
[00:54:18.684 --> 00:54:21.205]  He's like, I got arrested for my new show.
[00:54:21.205 --> 00:54:22.726]  We're not really doing comedy now.
[00:54:22.726 --> 00:54:25.968]  It's purely the mission to defeat Trump and defeat America.
[00:54:25.968 --> 00:54:26.869]  You're just listening to this.
[00:54:27.689 --> 00:54:54.526]  And, you know, and the mission is everything, and we're training these wonderful people at this, you know, secret school in Georgia, that we've brought up these illegal aliens, and we're going to, you know, win, and Hillary's directing me, and I'm so proud that I'm working directly with Hillary, you know, to take down Alex Jones, and the way to silence Alex Jones is to, he deserves to be taken off the air, I mean, it's like cartoonish how evil and un-American it is!
[00:54:56.377 --> 00:55:00.459]  But he's proud of it.
[00:55:00.459 --> 00:55:01.700]  So we'll come back.
[00:55:01.700 --> 00:55:04.082]  I'll play some of these newscasts about the diseases, all of it.
[00:55:04.082 --> 00:55:08.184]  But it's not that this Jordan Klepper guy is important.
[00:55:08.184 --> 00:55:08.624]  Seriously.
[00:55:08.624 --> 00:55:10.065]  I mean, he tried to get us to engage him.
[00:55:10.065 --> 00:55:12.847]  His show failed.
[00:55:12.847 --> 00:55:15.168]  I don't care about being attacked.
[00:55:15.168 --> 00:55:19.531]  It's the forensics of one article.
[00:55:19.531 --> 00:55:22.293]  They were trying to boost his new show's ratings by attacking me again.
[00:55:23.328 --> 00:55:28.651]  And then saying that I say I'm fake and I'm an actor, but there's no quote of me saying that, and it's made up.
[00:55:28.651 --> 00:55:40.037]  And then his pinheadedness where he just, oh my God, I couldn't believe I met with the Clintons and they're working with me and they're directing me and we're doing productions together and blah, blah, blah.
[00:55:40.037 --> 00:55:41.558]  And I actually went and looked it up.
[00:55:41.558 --> 00:55:44.880]  He's introducing the legend that this just happened magically.
[00:55:44.880 --> 00:55:46.801]  No, the Clintons have a production company.
[00:55:49.028 --> 00:55:54.833]  They admit for feminist and leftist operations this directly taking over with Viacom.
[00:55:54.833 --> 00:55:56.795]  Klepper works for that.
[00:55:56.795 --> 00:55:59.978]  And Netflix.
[00:55:59.978 --> 00:56:06.304]  It's like the late night shows have said, yeah, Chuckie Schumer calls up and helps me write my lines.
[00:56:06.304 --> 00:56:06.925]  Seriously.
[00:56:06.925 --> 00:56:07.845]  Thank you, Chuck.
[00:56:07.845 --> 00:56:14.352]  They kiss these old globalist traitors who are on the ding dong of the shy coms.
[00:56:15.393 --> 00:56:17.238]  Ridin' there, wee-wee.
[00:56:17.238 --> 00:56:19.042]  Sorry, that's just true.
[00:56:19.042 --> 00:56:20.065]  When it fits, you gotta use it.
[00:56:20.065 --> 00:56:21.588]  I'm not a profane guy, but sometimes I am.
[00:56:22.991 --> 00:56:25.932]  It's just, these are flaming traitors!
[00:56:25.932 --> 00:56:34.855]  And the Clintons are like these rotting, dead cicada carcasses attached to the wall, and here's this Klepper guy, like, rubbing up against the wing.
[00:56:34.855 --> 00:56:36.435]  Oh, oh!
[00:56:36.435 --> 00:56:39.496]  You know, trying to create the new future with skeletons.
[00:56:39.496 --> 00:56:40.376]  Klepper!
[00:56:40.376 --> 00:56:43.497]  You're not going to hatch any new little goblins with Hillary.
[00:56:43.497 --> 00:56:46.818]  Or Bill, looking like a buzzard hanging over your shoulder.
[00:56:46.818 --> 00:56:50.680]  I mean, this, this is a joke!
[00:56:50.680 --> 00:56:51.660]  This is a joke!
[00:56:52.705 --> 00:56:55.066]  This is a joke!
[00:56:55.066 --> 00:57:08.169]  And he's going, oh, I couldn't believe the Clintons helped me launch my new show in a promo, because it's gonna be announced that they own your show.
[00:57:08.169 --> 00:57:10.890]  Which anybody could go research and find out.
[00:57:10.890 --> 00:57:12.531]  Like that.
[00:57:12.531 --> 00:57:20.013]  So now their billions and their foundation are a facelift for Crypt Keeper and his husband?
[00:57:22.413 --> 00:57:25.795]  That's the best you got?
[00:57:25.795 --> 00:57:33.358]  As if anyone wants to tune into Comedy Central and see the Clintons looking like Day of the Dead.
[00:57:33.358 --> 00:57:37.040]  At least have them eat somebody's brains, you might get ratings.
[00:57:37.040 --> 00:57:44.524]  I mean, some little leftist lying nobody hanging out with two dead political operatives.
[00:57:44.524 --> 00:57:46.725]  When I say dead, I mean politically.
[00:57:50.911 --> 00:57:52.397]  Okay, it's true.
[00:57:52.397 --> 00:57:53.763]  I stayed up late last night so...
[00:58:50.943 --> 00:58:55.647]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[00:58:55.647 --> 00:59:06.075]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[00:59:06.975 --> 00:59:11.777]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[00:59:11.777 --> 00:59:20.161]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[00:59:20.161 --> 00:59:27.884]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[00:59:27.884 --> 00:59:29.845]  Wake up refreshed and take on the day.
[00:59:30.325 --> 00:59:38.271]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[00:59:38.271 --> 00:59:41.674]  Get the sleep you deserve and experience the power of knockout.
[00:59:41.674 --> 00:59:46.317]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[00:59:46.317 --> 00:59:53.322]  That's InfoWarsLife.com.
[00:59:53.322 --> 00:59:55.984]  You're listening to the Alex Jones Show.
[01:00:38.826 --> 01:00:55.401]  No, seriously, I didn't have time to listen to this whole podcast that's produced by the left and this new show and the Clintons getting into production at Viacom and Netflix with their billions of laundered drug money and child kidnapping money.
[01:00:55.401 --> 01:01:00.065]  It's come out in AP reports, the Clintons and the giant child smuggling operations out of Haiti.
[01:01:01.994 --> 01:01:30.243]  But, uh, getting back to what I was saying here, I've actually got, man, the footage of the interview he does with the Clintons, where Bill looks like a demonic buzzard that's like looking at a dead baby it's gonna eat or something, and Clinton's like hanging, and then Hillary just looks like a pumpkin-headed demon, and then here's this little trendy guy that, you know, signed on, he's an anointed one from the left, you know, to help take down Alex Jones,
[01:01:31.980 --> 01:01:38.643]  And then they're talking about, he's talking about how I need to be taken down and how I deserve what's happened to me.
[01:01:38.643 --> 01:01:55.571]  He's sitting there with mass murdering war criminals that put 10 times the sanctions on the Iraqis that George Herbert Walker did and killed over a million and a half of them, 500,000 of them being children.
[01:01:55.571 --> 01:01:59.774]  At Hillary and Bill's direction, and when they got asked about it, they said 500,000 is a good price to pay.
[01:02:02.625 --> 01:02:24.240]  So everyone should be thinking to themselves, every moment of every waking day, that you're not the tail end of the globalist, leftist, blue-blood, foundation-funded, weird, quasi-wannabe, Atlantic accent, British aristocracy.
[01:02:24.240 --> 01:02:25.561]  Nothing against Brits.
[01:02:25.561 --> 01:02:27.082]  Hell, my mom is pretty much an Anglophile.
[01:02:27.082 --> 01:02:29.384]  And I know why.
[01:02:29.384 --> 01:02:31.225]  I mean, she's proud of her family lineage and all that.
[01:02:32.560 --> 01:02:39.342]  Not just Bangalore, but Saxon as well.
[01:02:39.342 --> 01:02:45.583]  But that system, power corrupts, absolute power corrupts, absolutely.
[01:02:45.583 --> 01:02:54.765]  And the people that inherit all this power and all this wealth become insanely disconnected from reality.
[01:02:54.765 --> 01:02:58.526]  And that's why smart families
[01:03:01.256 --> 01:03:11.082]  In many cases, would just change their names, buy a ship, and set sail for the new world.
[01:03:11.082 --> 01:03:18.647]  And a lot of that went on too, but see, but the Clintons, they don't come from any powerful dynasties or any kings.
[01:03:18.647 --> 01:03:28.333]  They come from knuckle dragon psychopath stock that'll do whatever it's told at any time, any place.
[01:03:28.333 --> 01:03:29.954]  And again, you listen to this crap.
[01:03:31.431 --> 01:03:37.114]  It is mind-blowing.
[01:03:37.114 --> 01:03:46.159]  When I watched Hillary give a speech in New Hampshire or New York, those are the last two speeches.
[01:03:46.159 --> 01:03:53.003]  I watched some others too, but the last full speeches I watched, and it was sycophantic worship.
[01:03:55.387 --> 01:04:01.071]  Have you seen somebody announce at the UN and they read their whole name, and it's like 10 names, the Royal Highness of this and that?
[01:04:01.071 --> 01:04:02.232]  It sounds stupid.
[01:04:02.232 --> 01:04:12.420]  With her, it's shaking, and, oh, and she did this, and she did that, and she... Because she used to run the country, folks.
[01:04:12.420 --> 01:04:15.042]  It wasn't Obama.
[01:04:15.042 --> 01:04:21.648]  And these people all sycophantically worship because she promised them they were going to run everything.
[01:04:21.648 --> 01:04:24.470]  They weren't just going to run the government, they were going to run you.
[01:04:26.280 --> 01:04:32.302]  And Klepper and all these people were brought up that they're supposed to rule us.
[01:04:32.302 --> 01:04:33.782]  Dude, you ain't gonna rule nothing.
[01:04:33.782 --> 01:04:35.823]  You come from trash.
[01:04:35.823 --> 01:04:41.605]  I can take one look at you and tell you come from a bunch of mentally ill garbage.
[01:04:41.605 --> 01:04:44.065]  And that's where you're going back to, son.
[01:04:44.065 --> 01:04:45.486]  God's real, boy.
[01:04:45.486 --> 01:04:46.806]  You can't see it.
[01:04:46.806 --> 01:04:48.767]  So you keep making your jokes.
[01:04:48.767 --> 01:04:50.287]  But those that can see can see.
[01:04:50.287 --> 01:04:54.709]  I love seeing you sitting there with those two corpses.
[01:04:54.709 --> 01:04:55.949]  You fit right in, son.
[01:04:58.396 --> 01:05:10.185]  It would take me more than an hour just to lay out all the admitted benefits and known positive effects of just one of the ingredients in our ultimate bone broth formula.
[01:05:10.185 --> 01:05:18.552]  Everybody knows about bone broth itself and all of the amazing things that it's associated with and that it's been the big craze for at least a decade.
[01:05:18.552 --> 01:05:22.695]  Well, thousands of years ago it's what everybody told people they should drink in a soup if they were sick.
[01:05:23.536 --> 01:05:29.144]  But then you add not just the fact that this is the strongest, most concentrated, highest quality bone broth out there.
[01:05:29.144 --> 01:05:30.265]  Literally.
[01:05:30.265 --> 01:05:40.980]  Then you have the chaga mushroom, then you have the turmeric, then you have the bee pollen, then you have the other key ingredients that are all known to just make people incredibly strong and healthy.
[01:05:41.480 --> 01:05:43.721]  Our ultimate bone broth formula is amazing.
[01:05:43.721 --> 01:05:48.584]  It's 50% off right now at fullmorestore.com because I want you to try it and see how great it is.
[01:05:48.584 --> 01:05:51.445]  And of course, getting the bone broth isn't just great for you and your family.
[01:05:51.445 --> 01:05:57.589]  It's also amazing when it comes to funding our operation that's taking on the globalists and fighting for all of our freedoms.
[01:05:59.304 --> 01:06:00.885]  You've got it.
[01:06:00.885 --> 01:06:06.367]  This transmission is coming to you.
[01:06:06.367 --> 01:06:10.769]  Waging war on corruption.
[01:06:10.769 --> 01:06:17.011]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:06:17.011 --> 01:06:20.333]  Are we seeing the earth?
[01:06:20.333 --> 01:06:22.934]  You've got it.
[01:06:22.934 --> 01:06:26.675]  Are we seeing the earth now?
[01:06:26.675 --> 01:06:28.236]  You've got it.
[01:06:41.338 --> 01:06:41.659]  Yeah.
[01:07:11.727 --> 01:07:12.448]  All right.
[01:07:12.448 --> 01:07:19.495]  Robert Barnes, who is one of my great lawyers, chief legal counsel in our fight against the globalists, a lot of big stuff coming up in the next few months.
[01:07:19.495 --> 01:07:21.096]  I'm just going to leave it at that.
[01:07:21.096 --> 01:07:27.983]  He's going to be in studio starting next segment to cover all the international news, the national news, to take your calls.
[01:07:27.983 --> 01:07:30.465]  And I promise today we will open the phones up.
[01:07:31.386 --> 01:07:39.249]  And take your calls directly for Bob Barnes on any subject you want to raise, but the questions will be directed at him.
[01:07:39.249 --> 01:07:42.090]  That is coming up as well.
[01:07:42.090 --> 01:07:52.154]  But I want to give you my view on Jared Kushner.
[01:07:52.154 --> 01:07:57.797]  Now, here's how this works for me.
[01:07:57.797 --> 01:08:00.798]  I judge a tree by its fruits.
[01:08:03.891 --> 01:08:21.561]  And I've also always noticed that people that get involved in King's courts and in the subterfuge of access to a powerful person, it just goes from bad to worse.
[01:08:21.561 --> 01:08:25.283]  And so I've been sucked into those things when I'm not even wanting to be sucked into them.
[01:08:27.759 --> 01:08:39.287]  To the damage of my overall goal, just to promote freedom and awareness and decentralization and a pro-human future.
[01:08:39.287 --> 01:08:45.151]  But Jared Kushner is obviously smart.
[01:08:45.151 --> 01:08:48.374]  He's a good looking guy.
[01:08:48.374 --> 01:08:51.636]  He's Trump's son-in-law.
[01:08:51.636 --> 01:08:52.957]  I support Trump.
[01:08:52.957 --> 01:08:54.198]  I think Trump's smart.
[01:08:54.198 --> 01:08:55.619]  Trump needs people he can really trust.
[01:08:57.659 --> 01:09:02.082]  He trusts Jared?
[01:09:02.082 --> 01:09:06.765]  And so I don't have a problem with him having a national security clearance of the things he's doing.
[01:09:06.765 --> 01:09:13.729]  I mean, my God, the Communist Chinese ran the Obama administration, but oh, the left doesn't want Jared Kushner to have a security clearance.
[01:09:13.729 --> 01:09:16.431]  What does that tell you?
[01:09:16.431 --> 01:09:23.395]  But out in the whole right-wing-o-sphere, I've been hearing for three years, since he was president-elect,
[01:09:25.925 --> 01:09:33.708]  That Jared Kushner is just the worst thing since gonorrhea.
[01:09:33.708 --> 01:09:39.771]  But those are the same people that tell me Benjamin Netanyahu is the worst thing since death.
[01:09:39.771 --> 01:09:44.013]  I don't get involved in Israel's politics.
[01:09:44.013 --> 01:09:45.053]  I'm glad Israel's there.
[01:09:45.053 --> 01:09:48.615]  I mean, can you imagine if the Arabs were fighting over it?
[01:09:48.615 --> 01:09:49.355]  What would it be like?
[01:09:49.355 --> 01:09:51.976]  I mean, let's get real.
[01:09:51.976 --> 01:09:53.557]  But let's move away from that point.
[01:09:56.121 --> 01:10:02.207]  The Economist Magazine, owned by the leftist Rothschilds, wanted Netanyahu out.
[01:10:02.207 --> 01:10:05.151]  Works around the clock to remove him and Trump.
[01:10:05.151 --> 01:10:07.593]  Works around the clock to take me out.
[01:10:07.593 --> 01:10:10.436]  I don't look at the Rothschilds as Jewish.
[01:10:10.436 --> 01:10:13.539]  I look at them as evil opportunists that play people off.
[01:10:13.539 --> 01:10:16.683]  People say, well then why'd they help fund the founding of Israel?
[01:10:19.246 --> 01:10:27.249]  Because they knew it was already coming, and they wanted to try to control it, to parlay it into world government, which they now admit.
[01:10:27.249 --> 01:10:29.690]  And the Rothschilds aren't one monolithic group either.
[01:10:29.690 --> 01:10:31.311]  It's not fair to say that.
[01:10:31.311 --> 01:10:35.372]  But the ones running it are bad news.
[01:10:35.372 --> 01:10:36.933]  Bad news.
[01:10:36.933 --> 01:10:38.874]  Very bad news.
[01:10:38.874 --> 01:10:39.274]  Obviously.
[01:10:41.129 --> 01:10:45.772]  So all these leftist funded white supremacist groups, that's who funds them and runs them.
[01:10:45.772 --> 01:10:47.994]  Look at the left, it's all anti-semitic stuff.
[01:10:47.994 --> 01:10:55.259]  They like boil Jews down to just like they're robots or something.
[01:10:55.259 --> 01:10:59.342]  And that there's just one Jewish brain and Jews all think alike.
[01:10:59.342 --> 01:11:00.903]  That's not how families work.
[01:11:00.903 --> 01:11:07.028]  Whether you were German or Japanese or Nigerian, you got 10 people in the family, they don't all think alike.
[01:11:07.028 --> 01:11:07.288]  That's BS.
[01:11:09.707 --> 01:11:29.751]  So, I'm not defending Jared Kushner, I'm not attacking Jared Kushner, because I elected Trump, you elected Trump, Trump trusts him, and you've got to give the President that support because he's been trying hard and been delivering and doing things that are biblical, in my view.
[01:11:29.751 --> 01:11:30.911]  I mean, this is incredible.
[01:11:30.911 --> 01:11:34.292]  The attack on Trump's all you need to know, they are pissed.
[01:11:34.292 --> 01:11:38.813]  The establishment and their whole plan is really upset that he's going to fight all the stuff they've done.
[01:11:40.011 --> 01:11:48.855]  Now all that prefacing, I'm done talking about Kushner, and I'm going to try to explain this very, very simply, and I know that some of the detractors will take it out of context, but that doesn't matter.
[01:11:48.855 --> 01:11:56.899]  This is for people that want to hear what I really think, and this is my best analysis and what I know.
[01:11:56.899 --> 01:12:04.103]  We published, right when it came out, from their own site, the Bilderberg Group's itinerary, and who's going to be there, and who the guests are in Switzerland.
[01:12:05.828 --> 01:12:12.251]  When I was first covering this 20 years ago, they were saying in the news, I was insane it didn't exist.
[01:12:12.251 --> 01:12:15.812]  Even 10 years ago, they would say I was insane it didn't exist.
[01:12:15.812 --> 01:12:17.073]  You understand?
[01:12:17.073 --> 01:12:21.955]  So it was the fact that they were saying that world government meetings weren't happening.
[01:12:21.955 --> 01:12:24.296]  That was the issue.
[01:12:24.296 --> 01:12:30.579]  Jared Kushner announced he was going to Bilderberg.
[01:12:31.869 --> 01:12:38.012]  Then people, after getting flooded with calls and emails in the office, oh my God, Trump sold us out!
[01:12:38.012 --> 01:12:40.994]  Tushner's going to Bilderberg!
[01:12:40.994 --> 01:12:44.256]  I'm going to say this, I'm going to be very clear.
[01:12:44.256 --> 01:12:48.538]  I would go to Bilderberg if they asked me to go.
[01:12:48.538 --> 01:12:50.720]  What matters is what I stand for.
[01:12:50.720 --> 01:12:52.661]  We know Bilderberg was set up to bring in a world government.
[01:12:52.661 --> 01:12:58.004]  We know Bilderberg's one of the top globalist meetings that they denied existed at the Rockefeller Slam.
[01:12:58.933 --> 01:13:07.371]  It brought the Atlantic alliance of the Western elite in the United States with the Eastern Western elite after World War II.
[01:13:07.371 --> 01:13:08.413]  We know the history.
[01:13:08.413 --> 01:13:09.396]  I've made films about it.
[01:13:11.164 --> 01:13:15.326]  Going to a meeting is not being on the agenda.
[01:13:15.326 --> 01:13:26.392]  Just like when Trump goes to Davos, it's more powerful than Bilderberg now, it's public, and they're calling for world government, and they're all wearing their EU things, and he's wearing the American flag, and we go and push our agenda there.
[01:13:26.392 --> 01:13:35.256]  Just like Trump meeting with Kim Jong-un doesn't mean we agree with Kim Jong-un executing, you know, his ambassadors or his envoys.
[01:13:35.256 --> 01:13:40.439]  So it's a very simple thing for me
[01:13:42.520 --> 01:13:43.840]  To judge a tree by its fruits.
[01:13:43.840 --> 01:14:07.047]  Now, if Jared Kushner came back from Bilderberg, or Davos, or any of these events, and Trump suddenly signed on to open borders, or signed on to globalism, or signed on to world government, or signed on to confiscating guns, or signed on to teaching five-year-olds, you know, how to be gay or whatever, which is what's pushed by the left so you don't have kids, then I'd go after Trump.
[01:14:07.047 --> 01:14:08.588]  In a split second.
[01:14:09.838 --> 01:14:11.299]  Split second.
[01:14:11.299 --> 01:14:12.439]  I'm not loyal to Trump.
[01:14:12.439 --> 01:14:20.422]  I'm loyal to justice, to my children, to God, to a future, a pro-human future.
[01:14:20.422 --> 01:14:22.223]  But the fact that we have
[01:14:24.784 --> 01:14:38.076]  A patriot president, all these other nationals getting elected and sweeping elections around the world for populist and now they've got to have a representative of Trump inside their confab is us seizing the flag.
[01:14:38.076 --> 01:14:47.684]  At least at the level of my vision, I see this in the continuum of what Trump's doing, what we're doing, what I'm doing, as victory.
[01:14:47.684 --> 01:14:49.566]  You know, when we took over Nazi Germany in 1945,
[01:14:52.256 --> 01:14:59.619]  And marched in to the Reich Chancellery, and our troops were in the Chancellery, were our troops for Hitler?
[01:14:59.619 --> 01:15:01.240]  You're like, well of course not.
[01:15:01.240 --> 01:15:14.605]  When our football team, for the New England Patriots, and they drive down the field against the other team, and they get into their end zone, because they got in their end zone, are they for the other team?
[01:15:14.605 --> 01:15:16.846]  You're like, well of course not.
[01:15:16.846 --> 01:15:19.427]  We're taking over their end zone.
[01:15:20.404 --> 01:15:22.627]  We're taking over their right chancellery.
[01:15:22.627 --> 01:15:25.390]  We're taking over their command bases.
[01:15:25.390 --> 01:15:26.972]  We're on the march.
[01:15:26.972 --> 01:15:28.934]  The empire is on the run.
[01:15:28.934 --> 01:15:34.882]  Now, if I see anything out of Kushner or Trump,
[01:15:35.950 --> 01:15:39.351]  That's pissing on our sovereignty or our freedom, our values.
[01:15:39.351 --> 01:15:44.793]  I'll turn on them like a pit bull on PCP.
[01:15:44.793 --> 01:15:46.614]  But let me give you a little newsflash.
[01:15:46.614 --> 01:15:49.575]  It ain't gonna happen.
[01:15:49.575 --> 01:15:50.956]  It's not, folks.
[01:15:50.956 --> 01:15:51.716]  It's not.
[01:15:51.716 --> 01:15:54.377]  So, everybody should just relax.
[01:15:54.377 --> 01:15:56.278]  We're conquering Bilderberg right now.
[01:15:57.584 --> 01:15:58.825]  Maybe not today.
[01:15:58.825 --> 01:16:00.126]  Maybe not tomorrow.
[01:16:00.126 --> 01:16:03.869]  But soon, you'll need a plan and place to survive.
[01:16:03.869 --> 01:16:04.949]  Forget bunkers.
[01:16:04.949 --> 01:16:06.771]  You're not a live underground gopher.
[01:16:06.771 --> 01:16:08.492]  You need Survivalist Camps.
[01:16:08.492 --> 01:16:16.277]  The ultimate, fully functional, off-the-grid, mobile survival bug-out house that's well-equipped and custom-built to outlast any other RV or trailer.
[01:16:16.277 --> 01:16:17.298]  Bold statement?
[01:16:17.298 --> 01:16:18.278]  You bet.
[01:16:18.278 --> 01:16:20.780]  See them now at survivalistcamps.com.
[01:16:20.780 --> 01:16:22.982]  That's survivalistcamps.com.
[01:16:22.982 --> 01:16:26.124]  Trust your family's survival to survivalistcamps.com.
[01:16:27.065 --> 01:16:33.430]  The United States of Empire is a book that claims the United States is the empire of the world.
[01:16:33.430 --> 01:16:36.452]  George Washington had warned us against foreign wars.
[01:16:36.452 --> 01:16:42.396]  The United States of Empire shows that World Wars I and II left England broken.
[01:16:42.396 --> 01:16:46.179]  Its former colony, the U.S., had to save the empire.
[01:16:46.179 --> 01:16:47.439]  Was there ever a vote?
[01:16:47.439 --> 01:16:48.780]  Who do we fight for?
[01:16:48.780 --> 01:16:54.985]  The deep state began with World War I. The United States of Empire by James Dunn.
[01:16:54.985 --> 01:16:56.426]  Available at Amazon Books.
[01:16:57.367 --> 01:16:59.328]  Heart disease is on the rise.
[01:16:59.328 --> 01:17:04.650]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[01:17:04.650 --> 01:17:06.230]  But the symptoms are there.
[01:17:06.230 --> 01:17:14.593]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:17:14.593 --> 01:17:20.275]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:17:20.575 --> 01:17:20.976]  I don't know.
[01:17:39.033 --> 01:17:41.374]  Order your two-month supply today by calling 866-295-5305.
[01:17:41.374 --> 01:17:41.854]  That's 866-295-5305.
[01:17:41.854 --> 01:17:43.755]  Or order online at HBextract.com.
[01:17:43.755 --> 01:17:45.616]  Heart and Body Extract, 866-295-5305.
[01:17:45.616 --> 01:17:46.777]  Or HBextract.com.
[01:17:46.777 --> 01:17:47.257]  InfoWar.
[01:17:47.257 --> 01:17:49.878]  The most banned network in the world.
[01:18:04.235 --> 01:18:06.177]  Tom in Texas, police officer on the border.
[01:18:06.177 --> 01:18:08.659]  Talks about MS-13 and more.
[01:18:08.659 --> 01:18:09.619]  Thanks for calling, Tom.
[01:18:09.619 --> 01:18:10.080]  Yes, sir.
[01:18:10.080 --> 01:18:11.381]  Thank you for taking my call.
[01:18:11.381 --> 01:18:13.463]  Just want to thank you for your products.
[01:18:13.463 --> 01:18:19.407]  I have the InfoWard decals on the outside of my cell phone case, my truck, sport, the shirts, all the equipment.
[01:18:19.407 --> 01:18:21.349]  I find it's the best way to get your word out.
[01:18:21.349 --> 01:18:22.290]  God bless you, brother.
[01:18:22.290 --> 01:18:25.853]  And I have three or four InfoWard bumper stickers in my glove box right now.
[01:18:25.853 --> 01:18:28.695]  I hand out if I get to talking to somebody just to help spread
[01:18:29.315 --> 01:18:30.416]  You're our only hope, brother.
[01:18:30.416 --> 01:18:32.738]  I'm telling you, you're more important than I am.
[01:18:32.738 --> 01:18:35.480]  It's people like you on the ground, as you know, that's boots on the ground.
[01:18:57.958 --> 01:19:07.244]  The globalists know that if they suppress the good halogen and pump the environment full of the bad halogens, fluoride, chlorine, bromine, you name it, that it lowers IQ.
[01:19:07.244 --> 01:19:10.126]  It literally dumbs the population down.
[01:19:10.126 --> 01:19:16.170]  And on our quest to bring our listeners and viewers the best eye out in the world, we've gone through two permutations.
[01:19:16.830 --> 01:19:23.093]  First, seaweed-based iodine that was pretty good but hard to source, and the Globels tried to block us getting a supply of it.
[01:19:23.093 --> 01:19:29.375]  So we discovered deep-earth crystals of pure nascent iodine and brought you X2 that's been incredible.
[01:19:29.375 --> 01:19:36.318]  Now, due to the establishment trying to block that, we did more research and secured more of the deep-earth crystals of nascent iodine.
[01:19:37.458 --> 01:19:39.078]  You're listening to the Alex Jones Show!
[01:20:15.048 --> 01:20:31.897]  Jared Kushner is in Switzerland right now.
[01:20:31.897 --> 01:20:36.679]  The articles are up on InfoWars.com with the full Bilderberg list.
[01:20:36.679 --> 01:20:39.020]  Has he sold out to the New World Order?
[01:20:39.020 --> 01:20:40.721]  Is he a traitor?
[01:20:40.721 --> 01:20:41.782]  Has Trump sold us out?
[01:20:44.352 --> 01:20:48.433]  You see the entire globalist program trying to destroy Trump.
[01:20:48.433 --> 01:20:51.654]  Representatives of the presidency always go to Bilderberg.
[01:20:51.654 --> 01:20:52.755]  This was set up by U.S.
[01:20:52.755 --> 01:20:56.956]  intelligence, was what was left of European intelligence after World War II.
[01:20:56.956 --> 01:21:02.098]  If I see Trump's policies change, and they're not America first, then I'll turn against the president.
[01:21:02.098 --> 01:21:03.698]  But I don't think that's happening.
[01:21:03.698 --> 01:21:05.019]  Going to a globalist meeting.
[01:21:06.243 --> 01:21:09.704]  And the fact that secret globalist meetings are now admitted.
[01:21:09.704 --> 01:21:16.406]  Mainstream media now has to report on the powerful secret world government Bilderberg policy meeting.
[01:21:16.406 --> 01:21:31.089]  When just ten years ago they said in the New York Times that I was in Chantilly, Virginia having a full-on, it said, Jones imagined men in sunglasses and SUVs following him.
[01:21:31.089 --> 01:21:34.170]  When they did a review of a movie that won first place at
[01:21:36.021 --> 01:21:40.383]  The local South by Southwest called New World Order.
[01:21:40.383 --> 01:21:42.123]  And the film was at Bilderberg.
[01:21:42.123 --> 01:21:43.804]  They showed us being thrown out of the hotel.
[01:21:43.804 --> 01:21:49.546]  But when the New York Times did a review, they said, we made it up.
