[00:00.000 --> 00:30.000]  That's the law required.
[45:40.860 --> 45:45.660]  You're not going to get us out of Iraq. You're going to let us keep militarizing your police.
[45:45.660 --> 45:48.460]  You're going to let us keep building more prisons, and we're going to do it to you.
[45:51.900 --> 45:59.180]  Researchers fed rats either unmodified corn or diets containing 11 and 30 percent MoN-863 for
[45:59.180 --> 46:04.300]  90 days. The rats who ate the modified corn were found to exhibit signs of liver and kidney
[46:04.300 --> 46:08.940]  toxicity, as well as signs of hormonal changes. You read the study itself, they died much earlier.
[46:08.940 --> 46:13.580]  They lost body weight. The young ones didn't develop as fast. The mechanism that causes the
[46:13.580 --> 46:19.420]  toxicity is not yet known. Geez, it's not yet known, because these studies are so stringent,
[46:19.420 --> 46:25.900]  they won't ever make claims. Let me see. It's a pesticide that kills bugs. And, oh, gee,
[46:25.900 --> 46:32.300]  the honeybees are eating this and getting sick and dying. Wow. Honeybees just love corn pollen.
[46:32.300 --> 46:36.780]  You ever seen corn pollen, those big old stalks of yellow up there? It's like, I mean, it's a bonanza
[46:36.780 --> 46:42.380]  with the bees. I mean, it's like an all-you-can-eat buffet. Poor little critters. They go over there
[46:42.380 --> 46:46.380]  and eat this stuff, and they go off and die. Meanwhile, none of the environmentalists are talking
[46:46.380 --> 46:53.180]  about this on TV. It's all some stupid tax on carbon dioxide! Let the plants breathe!
[46:54.060 --> 47:03.820]  Ah! We're all breathing the stuff! Again, no one I knew, very few people growing up had allergies.
[47:03.820 --> 47:11.820]  Very few. I say no one. I mean, literally hardly anybody. Now everybody I know has got it. My kids
[47:11.820 --> 47:16.060]  are literally hacking and coughing. Everybody else I know is coughing four or five months out of the
[47:16.060 --> 47:22.060]  year. I got, I don't want to go into details, but I'm constantly having to stop and blow my nose
[47:22.060 --> 47:27.260]  here. You can hear me stopping. My nose is constantly stopped up. Everybody I know, people
[47:27.260 --> 47:30.860]  who've never had allergies their whole life have got it, and there's hundreds of studies showing
[47:30.860 --> 47:36.380]  it's the GMO pollen. What do you think your body does when some pesticide-laden pollen with
[47:36.380 --> 47:42.620]  bacteria genetics, insect genetics, other plant genetics, human genetics, blowing around, all
[47:42.620 --> 47:50.780]  mixing with everything else goes in to your nose and goes in to your sinus? Your body is like,
[47:50.780 --> 47:57.420]  my gosh, I better have an autoimmune response to this. I better rush in and deal with this
[47:57.420 --> 48:03.580]  and create mucus to block this and wall this, and so Alex will blow it out of his nose. That's what
[48:03.580 --> 48:10.300]  my brain says. That's what the olfactory nerve says. It says, alert, alert, alert. The alarms
[48:10.300 --> 48:16.380]  are going, and I'm right here living in a growth belt with every type of agriculture you can
[48:16.380 --> 48:22.060]  imagine all around me, and then all the normal allergies, all the normal pollens can pile on top
[48:22.060 --> 48:27.580]  of that. I'm breathing pesticides in not, of course we're breathing regular pesticides too,
[48:27.580 --> 48:33.180]  from all the exterminators everywhere and all the toxic fertilizers and all the stuff in the water.
[48:33.180 --> 48:38.220]  I mean, that's all real environmental crises, but the New World Order are masters, ladies and
[48:38.220 --> 48:43.100]  gentlemen, at misdirection. They've got you with your religion. You're going to go to the rock
[48:43.100 --> 48:46.540]  concerts and feel good. I mean, even if you don't really believe in man-made global warming,
[48:46.540 --> 48:49.100]  you know your girlfriend's going to believe in it, your boyfriend's going to believe in it,
[48:49.100 --> 48:52.860]  they're going to want to go to the big concerts coming up in the seventh month of this year
[48:52.860 --> 48:56.540]  in every major city. You're going to want to go pay 50 bucks to get in that goes for
[48:56.540 --> 49:01.260]  more brainwashing, that we need a global tax, and they'll go into the global government's coffers
[49:01.260 --> 49:07.980]  with all the big movie stars and singers like you two doing it, and you'll just be sucked along.
[49:07.980 --> 49:12.460]  And I've talked to scientists, environmentalists, they go, okay, yeah, it's not conclusive.
[49:12.460 --> 49:16.060]  Not conclusive, it is conclusive, but it's a fraud. But they're saying it's not conclusive
[49:16.060 --> 49:19.500]  that it's man-made or that it's even a problem. But they'll go, you know, it gets people thinking,
[49:19.500 --> 49:23.580]  it gets them to be conscious, it gets them environmentally active. I mean,
[49:23.580 --> 49:29.500]  so what if Pecoril isn't really real? Are you for using oil and the toxic processes of refining it?
[49:29.500 --> 49:33.100]  Hey, I'm a lot less worried about the fluoride and the cracking of the molecule change,
[49:33.100 --> 49:36.540]  which is very toxic. And I don't like them dumping it in the water and it's a big problem.
[49:36.540 --> 49:45.180]  But compared to franken dust everywhere, pesticide everywhere, I mean, no, it is not.
[49:49.740 --> 49:52.460]  I know I said I'd go to your calls, but I've been wanting to talk about this.
[49:55.980 --> 50:02.460]  I mean, the globalists are just laughing at us. So you better get informed on that,
[50:02.460 --> 50:07.500]  and you better get involved. And real environmentalists and conservationists out there,
[50:08.940 --> 50:13.100]  stop giving money to Nature Conservancy and Sierra Club. All they do is go around grabbing land.
[50:13.100 --> 50:17.900]  They are criminals. They are horrible people. They're land barons. It's a joke.
[50:17.900 --> 50:21.740]  And they make you think you're doing something about the environment. And all you slack-jawed
[50:21.740 --> 50:25.900]  hippies that get in my face and, you know, you're all holier than thou. You don't know your head
[50:25.900 --> 50:33.340]  from the hole in the ground. And I'm tired of you. I've analyzed what you do. And you spend about
[50:33.340 --> 50:39.260]  five percent of your time on GMO and serious issues. Now, deep down, you know the truth.
[50:39.260 --> 50:45.260]  You go and stuff your face and go look for organic stuff for yourself. But, you know,
[50:45.260 --> 50:50.060]  I don't see you picketing outside the schools telling them, don't eat GMO foods, don't have
[50:50.060 --> 50:55.420]  GMO BT corn, just one species that has pesticide in it. I don't see you doing anything real.
[50:56.060 --> 51:00.860]  You just run around and steal people's property and, you know, hopefully get a little patronage,
[51:00.860 --> 51:06.140]  a little peerage, jobs out of it. And you need to be slapped upside your face.
[51:08.940 --> 51:16.940]  Because I just can't believe what scum you are. I just, I just, because, again, you're really bad.
[51:16.940 --> 51:21.820]  You're not just the dumb public. You're out there thinking you're doing something and you're
[51:21.820 --> 51:26.620]  actually having your energies used to set up a world tax so these killers can really
[51:26.620 --> 51:31.180]  nail us to the wall. We'll talk to a caller in Australia, Canada, everywhere when we get back.
[51:37.180 --> 51:40.700]  It's here, after a year in production and traveling to distant lands,
[51:40.700 --> 51:45.500]  my new film Terror Storm is complete. Shocking declassified government documents prove that
[51:45.500 --> 51:49.580]  Western governments are orchestrating terror attacks against their own populations as a
[51:49.580 --> 51:55.740]  pretext to enslave them. Terror Storm proves that not only was 9-11 an inside job, but the attacks
[51:55.740 --> 52:00.380]  of 7-7 in London were carried out by British intelligence. Terror Storm chronicles the lies
[52:00.380 --> 52:06.220]  that took us to war in Iran, the White House program to disseminate fake news, NSA spying,
[52:06.220 --> 52:11.420]  secret police torture, the latest 9-11 information and much, much more. Terror Storm is the
[52:11.420 --> 52:15.500]  definitive guide to the history of government-sponsored terrorism. It's an anthology of
[52:15.500 --> 52:21.180]  government crimes. Terror Storm is a film that everyone who wants to be truly informed must see.
[52:21.180 --> 52:26.380]  Get your copy today at infowars.com or prisonplanet.com or by calling toll-free
[52:26.380 --> 52:33.020]  1-888-253-3139 or watch it right now online at prisonplanet.tv.
[52:34.060 --> 52:38.860]  Are terrorist cells or prime terror targets located near you? Where are military bases and
[52:38.860 --> 52:43.740]  hazardous waste sites located? How do you find the best area for solar, average rainfalls,
[52:43.740 --> 52:48.060]  fish contamination advisories and major transportation routes? In the new interactive
[52:48.060 --> 52:52.940]  CD book, Prudent Places USA, you will find the information you want with over 50 interactive
[52:52.940 --> 52:57.980]  parameters that you control. Find everything from housing prices and taxes to brewing environmental
[52:57.980 --> 53:03.500]  catastrophes. Locate billion dollar disaster prone areas, the safest cities, ideal solar locations
[53:03.500 --> 53:07.900]  and much, much more. Complete with over three gigabytes of detailed information on each of the
[53:07.900 --> 53:14.300]  3,000 plus counties in the US including 550 high resolution, full color maps and full color
[53:14.300 --> 53:19.020]  photographs as well as detailed information and analysis that you need. Get this hard to find
[53:19.020 --> 53:25.580]  information by ordering Prudent Places USA now for only $29 plus shipping and handling by calling
[53:25.580 --> 53:31.980]  New Millennium at 888-803-4438 or order on the web at berkeywater.com.
[53:31.980 --> 53:38.540]  Hello friends, Alex Jones here. I want you to imagine waking up one morning to find out you've
[53:38.540 --> 53:43.420]  been burglarized. An intruder has taken your personal possessions, credit card numbers,
[53:43.420 --> 53:48.780]  social security cards, banking information and more, all in the hands of a total stranger.
[53:48.780 --> 53:53.900]  What's worse is you realize he got it through your front door because you left it unlocked.
[53:53.900 --> 53:57.900]  Every time you walk away from your computer leaving your internet connection on, you are
[53:57.900 --> 54:03.260]  virtually inviting hackers, criminals and big brother to access your personal information.
[54:03.260 --> 54:09.580]  Put a stop to this right now with the Net7 network security switch from Net7 Technologies.
[54:09.580 --> 54:14.700]  Turn your internet on and off with one simple switch. There's no software to load and it's
[54:14.700 --> 54:21.100]  so easy to install. Right now you can order your Net7 security switch from Net7 Technologies for
[54:21.100 --> 54:27.740]  only $39.95. For a limited time receive free shipping with your order. Visit net7tech.com,
[54:27.740 --> 54:32.860]  that's net the number seven tech dot com and start protecting yourself today.
[54:35.180 --> 54:38.860]  The Genesis Communications Radio Network proudly presents
[54:38.860 --> 54:43.340]  the Alex Jones Show because there's a war on for your mind.
[54:46.940 --> 54:49.980]  All right, thanks for holding. I'm going to go right to your calls. I'm even going to
[54:49.980 --> 54:55.100]  dispense with plugging the documentary films on the online video and bookstore at infowars.com.
[54:55.100 --> 55:00.140]  That is kind of a plug, isn't it? Let's go to Sean in Australia, then we'll go to many others.
[55:00.140 --> 55:05.500]  Go ahead. Hi Alex. Hi. Thanks. Thanks for taking my call, mate. Listen, you've been on fire in the
[55:05.500 --> 55:09.260]  last few weeks. It's been really great. I called you up a few weeks ago and you were pretty upset
[55:09.260 --> 55:13.580]  through that whole period and I know it's been terrible, the stuff that's been going on, the
[55:14.380 --> 55:18.620]  perversion and the treatment of children and all the sorts of things that have been going on and
[55:18.620 --> 55:23.660]  it's all tied in with the way that they think they can manipulate our minds with this fear and
[55:24.220 --> 55:26.860]  they'll never get to our souls though, mate. They'll never get to our souls.
[55:27.820 --> 55:31.500]  But I wanted to tell you about something that I didn't notice on prison planet dot com.
[55:32.300 --> 55:38.380]  This was a story on Raiders News and it was titled experts warn terrorists could launch
[55:38.380 --> 55:42.620]  nuclear attack on the US. Well, I did see that about a week ago. I mean,
[55:42.620 --> 55:46.460]  the experts are always saying we're going to be nuked, we're going to be hit, give up all your
[55:46.460 --> 55:53.820]  rights. Yeah. Now this guy, the two experts were Sidney Drell, CFR and Robert Gallucci.
[55:54.460 --> 55:58.060]  Okay. That's Carlisle. That's the former head of the Carlisle group.
[55:58.060 --> 56:02.460]  Yeah. He was the one that put in, uh, uh, what is his faith? I think his name was.
[56:02.460 --> 56:07.740]  Yeah, Douglas. Yeah. And now what I don't know what you know on William Cooper,
[56:08.540 --> 56:14.460]  but he goes into all of the disclosure, you know, like the secretive, uh, high technology and stuff.
[56:15.020 --> 56:20.700]  And he had said in his, uh, what his research had found was that the new order plans were
[56:20.700 --> 56:25.820]  to disrupt any disclosure would be through a nuclear tactic. Contingency plan would be that
[56:25.820 --> 56:30.620]  if the information started to become public or should any, uh, you know, information get close
[56:30.620 --> 56:35.500]  to being, you know, widely available. It called for a public announcement that a terrorist group
[56:35.500 --> 56:38.860]  had entered the United States with an atomic weapon. It would be announced that the terrorists
[56:38.860 --> 56:42.860]  plan to detonate the weapon in a major city. Martial law would be declared and all persons
[56:42.860 --> 56:45.900]  with implants were ran up, blah, blah, blah, all these sorts of things. Now,
[56:45.900 --> 56:50.940]  when you look at this article that drill and Gallucci are facing, this is the warnings to
[56:50.940 --> 56:56.860]  Congress too. They had said things like, uh, that our party could launch a massive attack
[56:57.580 --> 57:05.020]  that, you know, um, basically, and I'll tell you what's scary. The CFR board, but at that time
[57:05.020 --> 57:12.460]  chaired by Gary Hart and Warren Redmond put out a report 11 months before nine 11 saying that
[57:12.460 --> 57:18.140]  there'd be attacks on New York, big attacks then that, and then they called for a Homeland Security
[57:18.140 --> 57:23.660]  and so they, and they love to basically openly brag about what's going to happen. Yes. The cards
[57:23.660 --> 57:31.100]  are on the table. It is in the game. They are seriously considering detonating, uh, atomic
[57:31.100 --> 57:35.260]  weapons in this country. Now what's frightening is, is how that, you know, like you mentioned,
[57:35.260 --> 57:42.540]  they love dates and here they are looking at this seven, seven of seven, you know, silly thing about
[57:42.540 --> 57:48.540]  global warming. It's a frightening prospect that they could utilize that type of, uh, you know,
[57:49.580 --> 57:54.860]  placid public at those sorts of times. I mean, if we can preempt it by pointing out their stupid
[57:54.860 --> 58:00.620]  feudal plans, then let's do it. But the truth is that this is, this is how crazy they are.
[58:00.620 --> 58:04.540]  And then he goes on to say in this article, she said that one of the, uh, the, the comments that
[58:04.540 --> 58:08.700]  Gallucci made was if we discover that a country has purposely transferred fissile material or
[58:08.700 --> 58:13.180]  nuclear weapons or terrorist group, we will be telling them in advance that we will treat them
[58:13.180 --> 58:16.860]  as though they were the one who launched the attack and they should expect devastating retaliation.
[58:16.860 --> 58:21.980]  Now what they're going to do is, and they may went way well, very well may, this is what the CFR
[58:21.980 --> 58:27.660]  saying, detonate a bomb, claim that Iran gave it to Hezbollah or something like that. And then
[58:27.660 --> 58:31.660]  they've been saying that that's what the neo-cons say every day. I tell you, Iran's going to give
[58:31.660 --> 58:36.140]  the nuke to Hezbollah. They're going to nuke us. And so they get to nuke us, get the globalists,
[58:36.140 --> 58:40.060]  get to set up a police state when they did it. And then they get to go attack their enemies.
[58:40.060 --> 58:45.740]  Yeah. And then Gallucci has written this, uh, article in, uh, in a journal of the, uh,
[58:45.740 --> 58:49.180]  Annals of American Academy of Political and Social Science. It was titled
[58:49.180 --> 58:54.300]  averting nuclear catastrophe. The, the, the, I did, uh, I did see that a few weeks ago. Why
[58:54.300 --> 58:59.660]  don't you email it to Aaron at info wars.com right now, or I'll just try to Google search it
[58:59.660 --> 59:02.620]  and pull that up and we'll get that reposted. I did have that in the stack.
[59:03.180 --> 59:06.620]  Was it 20, a week or two ago, maybe three weeks. I don't remember. It was a while back.
[59:06.620 --> 59:11.100]  All right. We'll be right back with the check an hour warrior calls and a special guest.
[59:14.140 --> 59:21.740]  This broadcast is available on MP3 CD format at GCN live.com or call toll free 877-300-7645.
[59:24.780 --> 59:28.060]  Our terrorist cells are prime terror targets located near you.
[59:28.060 --> 59:32.700]  Where are military bases and hazardous waste sites located? How do you find the best area
[59:32.700 --> 59:37.740]  for solar average rainfalls, fish contamination advisories, and major transportation routes
[59:37.740 --> 59:42.460]  in the new interactive CD book prudent places, USA, you will find the information you want with
[59:42.460 --> 59:47.580]  over 50 interactive parameters that you control find everything from housing prices and taxes
[59:47.580 --> 59:52.380]  to brewing environmental catastrophes locate billion dollar disaster prone areas, the safest
[59:52.380 --> 01:00:00.300]  cities, ideal solar locations, and much more the 3000 plus 550 high resolution, full color maps
[01:00:00.300 --> 01:00:04.940]  and full color photographs, as well as detailed information and analysis that you need get this
[01:00:04.940 --> 01:00:10.780]  hard to find information by ordering prudent places, USA now for only $29 plus shipping
[01:00:10.780 --> 01:00:18.540]  and handling by calling new millennium at 888-803-4438 or order on the web at burkewater.com
[01:00:22.940 --> 01:00:28.140]  waging war on corruption Alex Jones on the GCN radio network
[01:00:34.700 --> 01:00:41.980]  big brother mainstream media government cover-ups you want answers well so does he
[01:00:42.620 --> 01:00:50.940]  he's Alex Jones on the GCN radio network and now live from Austin Texas Alex Jones
[01:00:55.180 --> 01:01:02.220]  we've got a special guest coming up in the next segment Daniel Sunjata
[01:01:03.260 --> 01:01:08.060]  talk about 9 11 right now let's go back to your calls I just want to make a point that
[01:01:09.020 --> 01:01:14.140]  during the one minute breakup as the last hour ended I was thinking I'm on the air calmly
[01:01:14.140 --> 01:01:18.860]  talking about CFR reports that are saying we're going to have Al-Qaeda hit us with nukes
[01:01:18.860 --> 01:01:24.300]  before the 2004 election Dick Cheney told us news and world report quote we will be nuked by the
[01:01:24.300 --> 01:01:30.060]  election so it doesn't mean they're always going to do it I mean they love to scare monger but
[01:01:30.060 --> 01:01:35.020]  sometimes the threats they put out is exactly what they carry out and then blame on these
[01:01:35.340 --> 01:01:39.740]  shadowy imaginary enemies and they get to have their cake and eat it too they get to who says
[01:01:39.740 --> 01:01:45.180]  you can't in tyranny you do I guess for a while you can go on for a long time go on for a long
[01:01:45.180 --> 01:01:51.980]  time but sooner or later god's going to cut you down and they get to carry out the attacks play
[01:01:51.980 --> 01:01:56.380]  the part of the savers and the heroes set up the domestic police state launch the wars it's
[01:01:57.420 --> 01:02:03.180]  it's unbelievable wickedness ladies and gentlemen let's talk to Joe in Pittsburgh you're on the air
[01:02:03.180 --> 01:02:09.980]  thanks for holding hey Alex what's up man um I called your show last Friday and I advertised
[01:02:09.980 --> 01:02:14.220]  my craigslist posting for the truth group this forming year that I'm trying to put together
[01:02:15.020 --> 01:02:20.220]  and we had a decent response um I just wanted to take the opportunity to try to
[01:02:20.220 --> 01:02:23.980]  try to get more people involved and uh to go to craigslist,
[01:02:24.620 --> 01:02:32.060]  Pittsburgh and the groups section and you'll see my post for the 9-11 truth group forming
[01:02:32.060 --> 01:02:36.780]  good listen listen I'm gonna say about philosophy though I let people call in and do whatever they
[01:02:36.780 --> 01:02:42.300]  want but I like it when people call in and talk about a subject and then put a plug in
[01:02:42.300 --> 01:02:47.820]  and also it becomes habitualized continually it'll make stations turn off the show because
[01:02:47.820 --> 01:02:51.740]  about seven eight years ago my show just turned into hey I got a tractor for sale
[01:02:51.740 --> 01:02:57.260]  and or hey you know my daughter is 21 and she needs to find a nice man we're gonna try to set
[01:02:57.260 --> 01:03:00.860]  up a website where everybody can communicate with each other and where we can do this with
[01:03:00.860 --> 01:03:06.300]  main I'm gonna have to pretty soon I'll put the call out to hire the IT people and to hire the
[01:03:06.300 --> 01:03:10.460]  experts to help us really do this right I'm gonna be doing that in the next few weeks because I just
[01:03:10.460 --> 01:03:15.020]  don't have the personnel to do it but can you imagine though if it's just kind of every week
[01:03:15.020 --> 01:03:19.820]  hey man here's my plug for my craigslist whereas I want you to meet and set up a 9-11 truth group
[01:03:19.820 --> 01:03:24.380]  I'm so busy covering news and trying to go to your calls and trying to cover the key stuff
[01:03:24.380 --> 01:03:29.420]  I haven't even plugged the last two days but there's a big 9-11 conference tomorrow and Sunday
[01:03:29.500 --> 01:03:35.420]  here in Austin but go ahead uh well I'd like to say our first meeting is going to be coming up
[01:03:35.420 --> 01:03:40.060]  soon here uh we're trying to get everybody together for that and what we're trying to do
[01:03:40.060 --> 01:03:47.020]  is as part of the truthaction.org what they're advocating is an action on the 11th of every month
[01:03:47.660 --> 01:03:52.620]  and uh it's a perfect opportunity for us we're going to go to Latrobe Pennsylvania about 30
[01:03:52.620 --> 01:03:58.540]  miles east of Pittsburgh and uh the lord and emperor George W Bush is going to be speaking
[01:03:58.540 --> 01:04:04.380]  at St. Vincent's college that day for uh the commencement and we're going to mobilize and
[01:04:04.380 --> 01:04:10.940]  videotape and pass out DVDs and and flyers and for all the the media they want to get their
[01:04:11.500 --> 01:04:16.700]  their pictures of the lord uh we're gonna have banners present so hopefully we'll get that on
[01:04:16.700 --> 01:04:21.820]  the uh well I like that I like the way you put it our supreme defender the great defender uh
[01:04:21.820 --> 01:04:29.020]  what's the date of that again that is may 11th and that's that's going to be where in Pennsylvania
[01:04:29.900 --> 01:04:35.260]  Latrobe Pennsylvania at St. Vincent's college all right good job my friend and listen I'm not
[01:04:35.260 --> 01:04:40.380]  criticizing you it's just I've even had calls with people on there going hey I got a website
[01:04:40.380 --> 01:04:46.140]  where I'll sell your videos but I don't bomb from you and then they're you know it's five dollars
[01:04:46.140 --> 01:04:50.540]  for all of them we won't even be here that continues but I don't even have time to stop
[01:04:50.540 --> 01:04:55.820]  those people plus it's not good quality and it's all just burn on there uh you know it's a catch-22
[01:04:55.820 --> 01:05:00.780]  I'm like hey make copies of my videos uh do whatever you want with them uh and then but
[01:05:00.780 --> 01:05:06.540]  then there's the catch-22 of my gosh I can't even allow the promotion on my show of that
[01:05:07.100 --> 01:05:12.620]  you know of oh here they are for free at this place you know or or here they are for it's just
[01:05:12.620 --> 01:05:17.020]  sometimes it becomes mind-boggling I get emails like why do you got advertisers on your website
[01:05:17.020 --> 01:05:23.020]  you shouldn't even do that uh we wouldn't be here ladies and gentlemen unless somebody wants to give
[01:05:23.020 --> 01:05:27.340]  us a big endowment tell you what big enough endowment I'll stop selling everything I will
[01:05:27.340 --> 01:05:35.740]  give it out for free we'll be right back it's here after a year in production and traveling
[01:05:35.740 --> 01:05:41.100]  to distant lands my new film Terror Storm is complete shocking declassified government documents
[01:05:41.100 --> 01:05:45.660]  prove that western governments are orchestrating terror attacks against their own populations as
[01:05:45.660 --> 01:05:51.900]  a pretext to enslave them Terror Storm proves that not only was 9-11 an inside job but the attacks
[01:05:51.900 --> 01:05:56.620]  of 7-7 in London were carried out by British intelligence Terror Storm chronicles the lies
[01:05:56.620 --> 01:06:03.100]  that took us to war in Iran a white house program to disseminate fake news NSA spy secret police
[01:06:03.100 --> 01:06:08.620]  torture the latest 9-11 information and much much more Terror Storm is the definitive guide to the
[01:06:08.620 --> 01:06:13.580]  history of government sponsored terrorism it's an anthology of government crimes Terror Storm
[01:06:13.580 --> 01:06:18.860]  is a film and everyone who wants to be truly informed must see get your copy today at info
[01:06:18.860 --> 01:06:27.660]  wars.com or prisonplanet.com or by calling toll free 1-888-253-3139 or watch it right now online
[01:06:27.660 --> 01:06:35.260]  at prisonplanet.tv terrorism terrorism chemical attacks dirty bombs fallout biological attacks
[01:06:35.260 --> 01:06:40.540]  anthrax and to top it all off duct tape and plastic alarming words for our time but how do
[01:06:40.540 --> 01:06:45.260]  you protect your family during such a crisis the video sheltering in place surviving acts of
[01:06:45.260 --> 01:06:50.860]  terrorism from biological chemical and radioactive fallout was developed by Wayne LeBaron a health
[01:06:50.860 --> 01:06:55.420]  physicist who has served as a specialist in environmental health communicable diseases
[01:06:55.420 --> 01:06:59.340]  and has worked as a nuclear specialist for the US government anyone can follow the simple
[01:06:59.340 --> 01:07:04.380]  instructions it's presented by a housewife as they walk you step by step through the process
[01:07:04.380 --> 01:07:08.620]  of preparing your home as a shelter if you're not the type who waits till it's too late
[01:07:08.620 --> 01:07:13.660]  then you need the video sheltering in place get the critical information you need now for only
[01:07:13.660 --> 01:07:21.100]  29 plus shipping by calling new millennium at 888-803-4438 and tell them Alex Jones sent you
[01:07:21.100 --> 01:07:27.420]  that's 888-803-4438 or order on the web at murkywater.com
[01:07:29.740 --> 01:07:34.300]  are you fed up with all the side effects of chemicals in your shampoos and detergents
[01:07:34.300 --> 01:07:39.900]  even fragrances can signal some 4000 separate ingredients most of which are synthetic hi folks
[01:07:39.900 --> 01:07:45.500]  Alex Jones here why not go back to basics and be safe with Cal-Bend pure soaps they're all natural
[01:07:45.500 --> 01:07:49.980]  and you'll save some 85% the money you're spending for your cleaning products now
[01:07:49.980 --> 01:07:56.060]  Marty Schachter founded Cal-Bend subcompany in 1947 and provided products for health institutions
[01:07:56.060 --> 01:08:01.100]  now Cal-Bend soaps are available to you and me triple concentrated for all your cleaning needs
[01:08:01.100 --> 01:08:06.540]  from bathing and laundry to dishes hair and more no harsh chemicals no animal testing I use them
[01:08:06.540 --> 01:08:11.980]  and love them knowing they're all natural and safe and I say big time call Cal-Bend pure soap at
[01:08:11.980 --> 01:08:21.980]  1-800-340-7091 that's 1-800-340-7091 or log on to fivestarsoap.com now for a free catalog
[01:08:21.980 --> 01:08:28.620]  again that number 1-800-340-7091 or fivestarsoap.com for all your cleaning needs
[01:08:35.180 --> 01:08:42.460]  big brother mainstream media government cover-ups you want answers well so does he
[01:08:42.460 --> 01:09:00.940]  he's Alex Jones on the GCN radio network and now live from Austin Texas Alex Jones
[01:09:13.340 --> 01:09:18.780]  welcome ladies and gentlemen welcome thank you for joining us we're now about eight minutes and 45
[01:09:18.780 --> 01:09:24.060]  seconds into this second hour we will have open phones throughout this hour into the next hour
[01:09:24.060 --> 01:09:29.100]  and I have a huge stack of important news we'll be covering I guess about three weeks ago I learned
[01:09:29.100 --> 01:09:36.140]  that Mr. Francie here on the Genesis network with who does a show a couple nights a week
[01:09:36.140 --> 01:09:42.300]  on the Genesis World Report and interviewed another celebrity who'd gone public on 9-11
[01:09:42.300 --> 01:09:49.100]  being an inside job Daniel Sunjata and I don't watch on television but I had once or twice
[01:09:49.100 --> 01:09:54.060]  actually seen the television show because it's very popular one of the most popular on cable
[01:09:54.700 --> 01:10:01.580]  on fx Rescue Me the star Rescue Me and he plays the fireman Franco on the program and he's had
[01:10:01.580 --> 01:10:06.060]  a lot of other roles of course in television and movies and but the point is he has the courage to
[01:10:06.060 --> 01:10:17.820]  go public on 9-11 you know frankly um Kurt Vonnegut didn't it was never clear if Kurt
[01:10:17.820 --> 01:10:22.700]  Vonnegut wanted his views on 9-11 to be public so I didn't make his full views that have been
[01:10:22.700 --> 01:10:29.100]  relayed to me and threw him to me on 9-11 as we put a story out yesterday about was Kurt
[01:10:29.100 --> 01:10:34.380]  Vonnegut a 9-11 truther the headline probably should have been Kurt Vonnegut was a 9-11 skeptic
[01:10:35.180 --> 01:10:40.700]  and I found out that he'd seen my films by one of his business partners his associate
[01:10:40.700 --> 01:10:46.300]  then I got in contact with him I'm sending more of my films per request and Kurt Vonnegut then
[01:10:46.300 --> 01:10:51.900]  sent me a signed you know one of his lithograph paintings of the open bird cage you know the
[01:10:51.900 --> 01:10:56.780]  freedom of the mind I guess or freedom of the soul is what it symbolizes he said or just you
[01:10:56.780 --> 01:11:02.780]  know freedom and you know hand signed and I just felt like you know the guy died two days ago it
[01:11:02.780 --> 01:11:06.780]  was public yesterday and that's important historically I mean he said the only difference
[01:11:06.780 --> 01:11:11.500]  between Bush this is an exact quote the only difference between Bush and Hitler is that
[01:11:11.500 --> 01:11:17.500]  Hitler was elected and that he was elected the president then he became president and chancellor
[01:11:17.500 --> 01:11:22.220]  abolished those offices for the office of the Fuhrer when von Hindenburg died he became the
[01:11:22.220 --> 01:11:29.500]  chancellor as well so uh yes uh bottom line Kurt Vonnegut another you know just an icon
[01:11:30.060 --> 01:11:35.980]  uh was investigating 9-11 and I can tell you knew that it wasn't certainly wasn't what we were told
[01:11:36.540 --> 01:11:39.900]  but I'm gonna leave it at that because some of the stuff that was relayed to me was private
[01:11:40.940 --> 01:11:46.380]  but uh we deserve to know that I'm gonna leave it at that but there are a few skeptics on the
[01:11:46.380 --> 01:11:50.620]  message board going what are you doing what are you posting this for you know so you claim he
[01:11:50.620 --> 01:11:57.660]  sent you this letter and he sent you this this uh you know little pictures hand signed oh I bet
[01:11:58.380 --> 01:12:02.780]  well folks I mean it's really true that uh James Brolin's gone public on 9-11 and
[01:12:02.780 --> 01:12:08.140]  Rosie O'Donnell and Charlie Sheen and and frankly if I told you the people that I know personally
[01:12:08.140 --> 01:12:13.580]  that know about 9-11 it even dwarfs those huge celebrities of the top five biggest people in
[01:12:13.580 --> 01:12:19.900]  Hollywood I personally talked to three of the biggest okay who who've known for years it's
[01:12:19.900 --> 01:12:23.500]  an inside job but they're not going to go public and I'm not going to blow their cover but I'm
[01:12:23.500 --> 01:12:30.460]  going to shut up about that uh Daniel um Sanjata has incredible courage and he joins us now
[01:12:30.460 --> 01:12:36.460]  yeah via cell phone are you in Chicago or Los Angeles I'm actually in New York City right now
[01:12:36.460 --> 01:12:39.660]  you're in New York right now well thanks for listening thanks for listening for three minutes
[01:12:39.660 --> 01:12:45.180]  while I battle tell us a little bit about yourself about your tv show you know uh why you
[01:12:45.180 --> 01:12:49.580]  like playing a fireman some of the easy stuff up front and then how you woke up to 9-11 and
[01:12:49.580 --> 01:12:54.860]  what you think happened and what the repercussions have been of going public sure well uh you know
