[00:00.000 --> 00:29.280]  It's for Wars, tomorrow's news, today.
[1:15:55.280 --> 1:16:06.280]  I share with you the viewers and listeners the facts of where info wars is, and it's always a complex picture, but I do my best to explain it to you, because you are the patrons that make all this possible.
[1:16:06.280 --> 1:16:17.280]  So in short, the world's awakening to spiral censorship, info wars has never been more influential and has never had a bigger effect exposing the global agenda and fighting it.
[1:16:17.280 --> 1:16:28.280]  But that said, the COVID lockdowns, the shutdown of supply chains has almost shut us down, because most of us selling products, which you want to buy, like DNA Force Plus and others, have been sold out for up to seven months.
[1:16:28.280 --> 1:16:29.280]  Well, guess what?
[1:16:29.280 --> 1:16:36.280]  DNA Force Plus just came back in, thank God, for seven months. It's 40% off, it's amazing, at infowarstore.com.
[1:16:36.280 --> 1:16:47.280]  And for the week leading up through Memorial Day, we have store-wide free shipping and double-patriot points, and alpha powers back in stock, and supermilitalies back in stock, and pollen block, and vasovics.
[1:16:47.280 --> 1:16:53.280]  They're all back in stock, as much as 50% off, store-wide free shipping, double-patriot points, infowarstore.com.
[1:16:53.280 --> 1:16:55.280]  Thanks for keeping us on the air, info warriors.
[1:16:55.280 --> 1:17:00.280]  You're listening to the Alex Jones Show.
[1:17:25.280 --> 1:17:31.280]  So we're going on Elon Musk when I said, okay, whatever. And so we just premiered it there. I hadn't watched it until we aired it.
[1:17:31.280 --> 1:17:34.280]  So he was just finishing it up last night, so I had that time to see it today.
[1:17:34.280 --> 1:17:44.280]  And I mean, I think it's pretty brutal, and I think most of it's accurate, and I think to say he's a loser that never accomplished anything, I mean, I would overall disagree with that statement.
[1:17:44.280 --> 1:17:50.280]  I mean, he got NASA to sign on. He got heavy lifters into space, and nobody else could do it. That's the biggest heavy lifter in the world.
[1:17:50.280 --> 1:17:55.280]  So certainly if he was a con man, he's faking it till he makes it.
[1:17:55.280 --> 1:18:01.280]  But regardless, I like him leaving California and coming to Texas. I like him being against the lockdown.
[1:18:01.280 --> 1:18:04.280]  I like him being against the forced inoculation and saying he's not taking it.
[1:18:04.280 --> 1:18:07.280]  I think he plays both sides. I think he's an opportunist.
[1:18:07.280 --> 1:18:15.280]  But he says, I want world socialism. That's horrible. He says, oh, he's pushing brain shifts where it's little kiosk at the mall.
[1:18:15.280 --> 1:18:18.280]  Remember, he said two years ago, within two years, we happening didn't happen.
[1:18:18.280 --> 1:18:24.280]  And then he's got his girlfriend, properly named Grimes.
[1:18:24.280 --> 1:18:31.280]  And here she is talking in a video about how we're all going to be connected to AI and not have to work and do nothing.
[1:18:31.280 --> 1:18:35.280]  Well, that's, you'll own nothing. You'll have nothing. You'll love it.
[1:18:35.280 --> 1:18:45.280]  You'll be hooked in like a wire head that Philip K. Dick predicted 50 years ago, where your pleasure centers are controlled by the AI so you no longer have free will.
[1:18:45.280 --> 1:18:48.280]  That's called enslavement.
[1:18:48.280 --> 1:18:59.280]  But that's the holy grail that MIT and all of them are going for is an experience that totally takes you over a thousand times more addictive than your smartphone manipulating your dopamine.
[1:18:59.280 --> 1:19:05.280]  So this is just extremely creepy stuff. Transhumanism.
[1:19:05.280 --> 1:19:15.280]  You know, a few years ago, he says, beware AI gods, beware the globalist that want AI takeover. Then he says, oh, I just accept AI. Let's take brain chips.
[1:19:15.280 --> 1:19:22.280]  So he plays double messages. And I don't think that's a good thing, but you know, he's famous is interesting.
[1:19:22.280 --> 1:19:29.280]  And so that's a discussion that we're having here. And I love to have Elon Musk on the show to give his side of the perspective.
[1:19:29.280 --> 1:19:35.280]  Going on Joe Rogan and smoking a big fat joint. And I was like, oh, he's really cool. He's like one of us.
[1:19:35.280 --> 1:19:40.280]  That's more of a gimmick. And I'm not putting him down for doing it. I've gone on Joe show and done that myself.
[1:19:40.280 --> 1:19:47.280]  I'm not a marijuana smoker, but do it literally once a year is so strong. That's a ritual on Joe show to do it.
[1:19:47.280 --> 1:19:52.280]  So I think I've smoked pot three times the last four years, every time with Joe Rogan.
[1:19:52.280 --> 1:19:59.280]  And every time I got back, I'd like family courts calling your ex says you're a big pothead and I'd go get drug tested.
[1:19:59.280 --> 1:20:05.280]  And of course, there'd be no marijuana in me because there was like news articles about it. Jones ordered for drug testing.
[1:20:05.280 --> 1:20:10.280]  No drugs because I don't take drugs other than legal ones called caffeine and alcohol.
[1:20:10.280 --> 1:20:14.280]  And I don't even really ever drink anymore either. So that's kind of a boring guy.
[1:20:14.280 --> 1:20:20.280]  But enough about me, ladies and gentlemen, here is his girlfriend.
[1:20:20.280 --> 1:20:27.280]  It's kind of a creepy person. If you ask me, I mean, all these weird fake scars she has, all these weird overhead shop please,
[1:20:27.280 --> 1:20:31.280]  all these weird tattoos and everything. And that's her right. It's her body.
[1:20:31.280 --> 1:20:36.280]  It's like a bath on that to me. I have my right to say, I think it's creepy.
[1:20:36.280 --> 1:20:46.280]  I think putting X's on your belly and all this weird sigils or magic type stuff and this outfit, all smells of Satanism and Luciferian
[1:20:46.280 --> 1:20:54.280]  buffoonery to me and people trying to be different when that's how they are all acting resembles more a bunch of idiots going off the edge of a cliff.
[1:20:54.280 --> 1:21:01.280]  But here's what she has to say about the ever mind. Here it is.
[1:21:01.280 --> 1:21:08.280]  I have a proposition for the communists. So typically, most of the communists I know are not big fans of AI.
[1:21:08.280 --> 1:21:14.280]  But if you think about it, AI is actually the fastest path to communism.
[1:21:14.280 --> 1:21:20.280]  So if implemented correctly, AI could actually theoretically solve for abundance.
[1:21:20.280 --> 1:21:29.280]  Like we could totally get to a situation where nobody has to work. Everybody is provided for with a comfortable state of being comfortable living.
[1:21:29.280 --> 1:21:37.280]  AI could automate all the farming, weed out systematic corruption, thereby bringing us to as close as possible to genuine equality.
[1:21:37.280 --> 1:21:47.280]  So basically, everything that everybody loves about communism, but without the collective farm. Because let's be real, enforced farming is really not a vibe.
[1:21:47.280 --> 1:21:56.280]  Well, that is extremely vapid and the whole argument is a giant fraud at every front.
[1:21:56.280 --> 1:22:04.280]  But I guess this is more of her doing her art. It's definitely striking art. Definitely gets my attention.
[1:22:04.280 --> 1:22:09.280]  Who programs this AI to give us total equality?
[1:22:09.280 --> 1:22:16.280]  Oh, LeBron James is taller than me and stronger than me. So we've got to cut his legs off.
[1:22:16.280 --> 1:22:20.280]  Oh, you've got more money than me. So you need to give me part of it.
[1:22:20.280 --> 1:22:25.280]  Well, really, who decides who gets that money? There's no way to ever have equality.
[1:22:25.280 --> 1:22:31.280]  You can have equality of freedom in that you have a shot at success in the world.
[1:22:31.280 --> 1:22:36.280]  And that there's not some royal family that gets everything free who makes all the rules for you.
[1:22:36.280 --> 1:22:40.280]  That's what America is. It was the furthest level of freedom we ever got to.
[1:22:40.280 --> 1:22:53.280]  That's why the UN and Klaus Schwab at Bill Gates and the New World Order attack it all day because their authoritarian systems cannot even compete with the idea of America existing.
[1:22:53.280 --> 1:23:04.280]  So America produced a little bit of freedom, but it was light years ahead of all of the black holes that were authoritarian regimes.
[1:23:04.280 --> 1:23:08.280]  So picture the level of freedom like being above sea level.
[1:23:08.280 --> 1:23:16.280]  And America got to a thousand feet above sea level and human freedom could be a trillion feet above sea level potentially.
[1:23:16.280 --> 1:23:25.280]  But it comes down to the individual and how we act and the decisions we all make individually that then adds to a collective matrix type system.
[1:23:25.280 --> 1:23:30.280]  But that's in God's mind through our free will interfacing with God, not directed by some AI system.
[1:23:30.280 --> 1:23:42.280]  And then picture the Soviet Union or Hitler or Mao Zedong as a wormhole to hell that is trillions of miles below sea level.
[1:23:42.280 --> 1:23:49.280]  So everyone was shooting to get out of hell and just the idea of private property and freedom for some was new.
[1:23:49.280 --> 1:23:57.280]  And then from that extrapolated more and more freedom until the globalists invert that and say, no, anyone having freedom is taking away from those that don't.
[1:23:57.280 --> 1:24:05.280]  So let's lower the standard of freedom worldwide in globalism so that we're all equally miserable, but we're not really the globalists are then flying around their private jets.
[1:24:05.280 --> 1:24:12.280]  There are huge manners above us while we live in coffin apartments and are called obsolete, non-essential.
[1:24:12.280 --> 1:24:14.280]  The world they're building, you have nothing, you own nothing.
[1:24:14.280 --> 1:24:17.280]  You're non-essential robots tell you what to do.
[1:24:17.280 --> 1:24:29.280]  You're forcibly inoculated with poisons and they call that a utopia with some 20 year old dimwit hopping around, you know, telling you that, you know, I'm incredible.
[1:24:29.280 --> 1:24:37.280]  I ride around in cars with a sword in my hands and I have I have high heel shoes and I wear tinfoil.
[1:24:37.280 --> 1:24:40.280]  Wow, tinfoil jetpacks.
[1:24:40.280 --> 1:24:42.280]  Man, there's the future.
[1:24:42.280 --> 1:24:44.280]  It's all right there.
[1:24:44.280 --> 1:24:47.280]  And oh, she's got a snake called the forbidden knowledge.
[1:24:47.280 --> 1:24:55.280]  I've never heard of this before if it hadn't been force fed to me trillions of times.
[1:24:55.280 --> 1:24:59.280]  And you know what happens when I'm force fed something?
[1:24:59.280 --> 1:25:04.280]  You couldn't pay me to be anywhere around that or near that.
[1:25:04.280 --> 1:25:13.280]  And all she is is like the light on an angler fish trying to suck in the young people because maybe when they launch their brain shift company,
[1:25:13.280 --> 1:25:20.280]  but never actually gets off the ground, they can fool some 18 year old meth heads to put chips in their brains.
[1:25:20.280 --> 1:25:32.280]  And then they'll think the infections and the ooze coming out the back of their head is cool when they're constantly having to go in to be upgraded and everything.
[1:25:32.280 --> 1:25:35.280]  They'll all drown to their own evil.
[1:25:35.280 --> 1:25:37.280]  There's Elon.
[1:25:37.280 --> 1:25:40.280]  See, I'm Greg's being too brutal.
[1:25:40.280 --> 1:25:46.280]  I thought we could actually put Elon's spirit on TV and just show a little Elon.
[1:25:46.280 --> 1:25:48.280]  There's a girlfriend out there riding along up top.
[1:25:48.280 --> 1:25:50.280]  We'll be right back. Stay with us.
[1:25:50.280 --> 1:25:51.280]  infowars.com.
[1:25:51.280 --> 1:25:52.280]  Tomorrow's news today.
[1:25:52.280 --> 1:25:53.280]  We have Elon Musk on the show.
[1:25:53.280 --> 1:25:54.280]  Look, there he is.
[1:25:54.280 --> 1:25:58.280]  I don't like coming to you and saying this could be our last broadcast.
[1:25:58.280 --> 1:26:02.280]  Hell, I've been on there 27 years and only the last year or so have I said that.
[1:26:02.280 --> 1:26:05.280]  But let me tell you, the New World Order is breathing down our neck.
[1:26:05.280 --> 1:26:10.280]  The big, globalist publications are coming after us and they're doing everything they can to shut us down.
[1:26:10.280 --> 1:26:15.280]  So please pray to keep info wars on the air and please support the local states you're listening to as well.
[1:26:15.280 --> 1:26:23.280]  At the same time, go to infowars.com while you still can and get a book, get a film, get a t-shirt, get some supplements
[1:26:23.280 --> 1:26:27.280]  because it's that money that helps us stay on air in the face of this thing.
[1:26:27.280 --> 1:26:30.280]  I need your help more than ever now.
[1:26:30.280 --> 1:26:34.280]  I want to keep fighting the globalists, but I can't do it if you don't support us.
[1:26:34.280 --> 1:26:38.280]  So pray for us, word of mouth, tell folks about the broadcast however you can,
[1:26:38.280 --> 1:26:44.280]  and buy great products that will enrich you and your family's lives every day at infowars.com.
[1:26:44.280 --> 1:26:51.280]  Whether it's high quality coffee, for supplements or books or films, all of it nurtures the soul, all of it empowers humanity,
[1:26:51.280 --> 1:26:55.280]  all of it is pro-human and pro-God. Thank you so much.
[1:26:55.280 --> 1:26:57.280]  Info wars delivers.
[1:26:57.280 --> 1:27:02.280]  We have proven ourselves to be the tip of the spear that our research is the best out there, period.
[1:27:02.280 --> 1:27:04.280]  And I don't say that arrogantly.
[1:27:04.280 --> 1:27:10.280]  I say that from long decades of research and fighting hard in the trenches.
[1:27:10.280 --> 1:27:14.280]  And I know that without your support, none of this would have been possible.
[1:27:14.280 --> 1:27:19.280]  So I thank you for your support, and I want to encourage you to continue supporting Info Wars
[1:27:19.280 --> 1:27:23.280]  symbiotically with a 360 win by going to infowarsstore.com.
[1:27:23.280 --> 1:27:26.280]  Through Memorial Day, we have the biggest sell yet of the year.
[1:27:26.280 --> 1:27:32.280]  Strowad free shipping, double bakery points, and our best selling product, our flagship product, DNA Force Plus,
[1:27:32.280 --> 1:27:34.280]  has been sold out for almost seven months.
[1:27:34.280 --> 1:27:36.280]  It's back in stock, 40% off.
[1:27:36.280 --> 1:27:41.280]  It's the best thing you can do for your immune system, for your cells, it is the Rolls Royce, the Bentley, the Ferrari,
[1:27:41.280 --> 1:27:45.280]  the Lamborghini of supplements, at the lowest price you're going to buy these ingredients.
[1:27:45.280 --> 1:27:50.280]  40% off, free shipping, double bakery points, and a bunch of other items are back in stock as well.
[1:27:50.280 --> 1:27:53.280]  So check it all out at infowarsstore.com today.
[1:27:53.280 --> 1:27:56.280]  DNA Force Plus back in stock.
[1:27:56.280 --> 1:28:05.280]  You've got until June 6th to get free shipping, double bakery points, and up to 50% off on our best selling products.
[1:28:05.280 --> 1:28:12.280]  DNA Force Plus, that is the highest quality, ultimate product you can get for your telomeres, your cells,
[1:28:12.280 --> 1:28:17.280]  the mitochondria, the engines of your cells, PQQ, CoQ10, so much more.
[1:28:17.280 --> 1:28:19.280]  It's the flagship product, it is.
[1:28:19.280 --> 1:28:25.280]  40% off with free shipping, double bakery points, pollen block, pre-seasonal discomfort, allergies, it's a natural system.
[1:28:25.280 --> 1:28:27.280]  People love it, five-star reviews.
[1:28:27.280 --> 1:28:30.280]  Back in stock, 40% off again with free shipping.
[1:28:30.280 --> 1:28:37.280]  All these products grow wide, free shipping, double bakery points, vaso beats for your heart, your liver, your cardiovascular.
[1:28:37.280 --> 1:28:43.280]  It creates a key compound in your blood that is known as a detoxifying system.
[1:28:43.280 --> 1:28:47.280]  It's all there, but again, look into vaso beats with nitrous oxide.
[1:28:47.280 --> 1:28:49.280]  That's 50% off.
[1:28:49.280 --> 1:28:51.280]  All for 12 back in stock, 50% off.
[1:28:51.280 --> 1:28:55.280]  This is running until Sunday and the deal's over, infowarstore.com.
[1:28:55.280 --> 1:29:05.280]  The ultimate fluoride-free charcoal mouthwash is now available at infowarstore.com and Dr. Jones Naturals.com
[1:29:05.280 --> 1:29:09.280]  for the lowest price possible to complete your daily mouth cleaning routine.
[1:29:09.280 --> 1:29:17.280]  It is the perfect companion for the new activated charcoal toothpaste all under our new line by Dr. Jones Naturals
[1:29:17.280 --> 1:29:21.280]  that will naturally give your mouth and breath a deep clean.
[1:29:21.280 --> 1:29:31.280]  This mouthwash only uses the best natural ingredients like real peppermint oil, thymol, xylitol, and of course high-quality charcoal.
[1:29:31.280 --> 1:29:43.280]  Not only fluoride-free, this mouthwash is completely free of other dangerous ingredients such as SLS, harsh detergents, BPA, and so much more.
[1:29:43.280 --> 1:29:47.280]  As soon as you use it, you can tell that this formula is the real deal.
[1:29:47.280 --> 1:30:15.280]  So get your bottle of the new activated charcoal mouthwash right now at infowarstore.com.
[1:30:17.280 --> 1:30:29.280]  Breaking news, China is issuing more nuclear war threats.
[1:30:29.280 --> 1:30:39.280]  Breaking news, China is issuing more threats to attack the United States with nuclear weapons.
[1:30:39.280 --> 1:30:50.280]  China is, if we don't bow to them and stop investigating the Wuhan lab, I mean that's the crazy world we've gotten ourselves into.
[1:30:50.280 --> 1:30:57.280]  That makes me just want to go off the air and go home and see my family and just move out of the city in case there's a nuclear war.
[1:30:57.280 --> 1:31:20.280]  That's really what it is, is trying to analyze how I feel about Joe Biden and the globalist and Fauci and Bill Gates and their horrible power grabbing and the schemes they launched to get control that then spiral out of control and destroy everything.
[1:31:20.280 --> 1:31:27.280]  Yeah, they're now saying we're in a new cold war with China and we've been in a cold war with China for a long time and we've been losing it.
[1:31:27.280 --> 1:31:36.280]  We've been in a trade war with China for 35 years and been losing it and the surrender ended with Trump.
[1:31:36.280 --> 1:31:40.280]  And now we've got this, a new world order being formed before our eyes.
[1:31:40.280 --> 1:31:56.280]  Russia's deputy defense minister tells RT out of key Moscow security conference, but I mean the New York Times said if you talk about the new world order, you're anti-Semitic.
[1:31:56.280 --> 1:31:59.280]  We talk about the Wuhan link, you're anti-Chinese.
[1:31:59.280 --> 1:32:03.280]  No, I'm just anti-bio-war, I'm anti-dying.
[1:32:03.280 --> 1:32:11.280]  And again, it's always the ADL and the media that inject, like I'm for America and sovereignty, oh, you're a Nazi.
[1:32:11.280 --> 1:32:12.280]  What?
[1:32:12.280 --> 1:32:16.280]  Oh, for freedom of speech, oh, you're a Nazi.
[1:32:16.280 --> 1:32:20.280]  Oh, I'm against world government, oh, you're a Nazi.
[1:32:20.280 --> 1:32:23.280]  Oh, that's code for Jews.
[1:32:23.280 --> 1:32:25.280]  You're the one talking about Jews.
[1:32:25.280 --> 1:32:32.280]  You're the one sticking Jews in the middle of every issue and using it as a shield.
[1:32:32.280 --> 1:32:37.280]  And people are sick of it.
[1:32:37.280 --> 1:32:44.280]  Europeans are sick of it, Jews are sick of it, Muslims are sick of it, Christians are sick of it, everybody's sick of it, sick of it.
[1:32:44.280 --> 1:32:57.280]  Just like Biden hiding behind black people and that he loves black people and the number one threats all the white supremacists that are going to kill everybody.
[1:32:57.280 --> 1:33:11.280]  Meanwhile, Joe Biden, you know, I did a search for this yesterday because I remember when I watched Joe Brown talk about how Biden would give speeches saying black people were like roaches and like animals and like a jungle.
[1:33:11.280 --> 1:33:17.280]  Did you know I actually found newspaper clippings?
[1:33:17.280 --> 1:33:27.280]  I actually found newspaper clippings in about 30 seconds in major newspapers at the time that ran what Joe Biden said.
[1:33:27.280 --> 1:33:31.280]  Because you know, back then there were cameras everywhere.
[1:33:31.280 --> 1:33:34.280]  Or there were cameras hitting an archive on the internet.
[1:33:34.280 --> 1:33:39.280]  So stuff up until about, you know, 1990 or so we don't have unless it was a really big event.
[1:33:39.280 --> 1:33:47.280]  It's hard to find major speeches presidents gave, but he went around the country in the 70s and 80s giving speeches, calling black people zoo animals.
[1:33:47.280 --> 1:33:50.280]  And I was even able to find it.
[1:33:50.280 --> 1:33:54.280]  You know what Donald Trump was doing with black people in 1980s?
[1:33:54.280 --> 1:33:59.280]  They were staying at his house and headlining his clubs.
[1:33:59.280 --> 1:34:10.280]  And they were lovin' him and put him in all their music because he opened the doors up for them in the 60s and 70s to his clubs and his businesses.
[1:34:10.280 --> 1:34:12.280]  And what does he get now?
[1:34:12.280 --> 1:34:19.280]  A parade of black people saying how racist he is and then kissing the ass of somebody that calls you an animal.
[1:34:19.280 --> 1:34:22.280]  That pisses me off.
[1:34:22.280 --> 1:34:24.280]  And I'm not even here defending Trump.
[1:34:24.280 --> 1:34:27.280]  I'm defending the truth.
[1:34:27.280 --> 1:34:29.280]  That's what I'm not complaining.
[1:34:29.280 --> 1:34:30.280]  I just know too much.
[1:34:30.280 --> 1:34:34.280]  You know, I don't even want to reach into the stack I got right here and pull out the news clippings.
[1:34:34.280 --> 1:34:39.280]  I already had to look at last night with his ugly ass head and that stupid duck tail.
[1:34:39.280 --> 1:34:47.280]  Exactly like Judge Joe Brown said, like looking at him with that stupid ass mullet.
[1:34:47.280 --> 1:34:58.280]  A frickin' lunatic that's like a real life Ricky Bobby with a huge foot long blonde mullet running around talking about how to pull up Biden with a mullet.
[1:34:58.280 --> 1:35:01.280]  That picture was in with Bill Clinton.
[1:35:01.280 --> 1:35:05.280]  Because he was even given these speeches in the early 1990s.
[1:35:05.280 --> 1:35:15.280]  A con man lawyer with a mullet saying black people are animals and then I gotta kiss his ass and I gotta watch black people kiss his ass.
[1:35:15.280 --> 1:35:17.280]  I'm sick of this.
[1:35:17.280 --> 1:35:24.280]  And I'm sick of Fauci and I'm sick of Bill Gates and I'm sick of the new Black Panther Party running around wanting a war.
[1:35:24.280 --> 1:35:25.280]  You'll get a war.
[1:35:25.280 --> 1:35:30.280]  You'll get your asses all killed.
[1:35:30.280 --> 1:35:37.280]  You already are getting killed new Black Panther dumbasses by the New World Order.
[1:35:37.280 --> 1:35:39.280]  But you don't care about that.
[1:35:39.280 --> 1:35:41.280]  Look at that greasy lawyer.
[1:35:41.280 --> 1:35:46.280]  Would you hire Joe Biden?
[1:35:46.280 --> 1:35:48.280]  No, he looks like a serial killer.
[1:35:48.280 --> 1:35:50.280]  Because he is.
[1:35:50.280 --> 1:36:03.280]  And he is a sex maniac pervert that will have sex with anything that's got a hole in it.
[1:36:03.280 --> 1:36:09.280]  They'll have sex with your mailbox if you could.
[1:36:09.280 --> 1:36:11.280]  Let's just go to break with some of the clips they got.
[1:36:11.280 --> 1:36:14.280]  The pause you hear is when they put the data for radio stations.
[1:36:14.280 --> 1:36:16.280]  I obviously can't see that.
[1:36:16.280 --> 1:36:21.280]  But here's some clips of us back in January saying it's a bio weapon, not a leak.
[1:36:21.280 --> 1:36:23.280]  Bio weapon.
[1:36:23.280 --> 1:36:26.280]  And we'll come back with all the big news and I'll give the number out.
[1:36:26.280 --> 1:36:27.280]  I'm going to settle down.
[1:36:27.280 --> 1:36:28.280]  Or I may have to go off here.
[1:36:28.280 --> 1:36:30.280]  Because I can't physically blow up.
[1:36:30.280 --> 1:36:31.280]  It makes me too exhausted later.
[1:36:31.280 --> 1:36:33.280]  I'm about to start blowing up on there.
[1:36:33.280 --> 1:36:36.280]  I know it's entertaining, but it's not fun for me, okay?
[1:36:36.280 --> 1:36:38.280]  But I can't look at Elon Musk's girlfriend.
[1:36:38.280 --> 1:36:39.280]  I can't look at Joe Biden.
[1:36:39.280 --> 1:36:41.280]  I can't look at the Black Panther Party.
[1:36:41.280 --> 1:36:43.280]  I can't look at him.
[1:36:43.280 --> 1:36:44.280]  I can't look at Fauci.
[1:36:44.280 --> 1:36:47.280]  I'm going to say things that will get me arrested.
[1:36:47.280 --> 1:36:50.280]  Go ahead and play the clips.
[1:36:50.280 --> 1:36:54.280]  Thirty minutes ago, I forget the exact title.
[1:36:54.280 --> 1:36:55.280]  Maybe we can just pull it up.
[1:36:55.280 --> 1:37:07.280]  But she admits that China is in a major crisis as fears mount that this is a man made bio weapon.
[1:37:07.280 --> 1:37:11.280]  I mean, that's really, there it is.
[1:37:11.280 --> 1:37:12.280]  Sunday Live.
[1:37:12.280 --> 1:37:14.280]  Xi admits China in grave situation.
[1:37:14.280 --> 1:37:17.280]  Fears mount viruses man made bio weapon.
[1:37:17.280 --> 1:37:19.280]  U.S. orders evacuation.
[1:37:19.280 --> 1:37:22.280]  I mean, that's all from stuff being announced.
[1:37:22.280 --> 1:37:25.280]  I didn't just pull that out of the ether.
[1:37:25.280 --> 1:37:30.280]  Lands that confirms Chinese labs release coronavirus strains four times.
[1:37:30.280 --> 1:37:40.280]  We know that the U.N. Bill and Melinda Gates and others have been developing weaponized versions of this.
[1:37:40.280 --> 1:37:45.280]  But that's how the U.S., Russia and China get around these U.N. conventions.
[1:37:45.280 --> 1:37:49.280]  Barring bio weapons as you call it research labs.
[1:37:49.280 --> 1:37:55.280]  It looks to me like this is a deliberate bio weapon that was accidentally released.
[1:37:55.280 --> 1:38:04.280]  I believe based on what I know now that China was developing a bio weapon to eventually deploy against the United States or their other enemies around the world.
[1:38:04.280 --> 1:38:08.280]  However, this bio weapon got out in their own backyard.
[1:38:08.280 --> 1:38:10.280]  They did not intend to release it on their own people.
[1:38:10.280 --> 1:38:13.280]  And now they're paying the price for playing with fire.
[1:38:13.280 --> 1:38:17.280]  I called my sources that, I mean, it's not like I work for the CIA folks.
[1:38:17.280 --> 1:38:20.280]  The CIA is a big giant government agency with all these other compartments.
[1:38:20.280 --> 1:38:28.280]  There's people in there that have information and they said, people that have given me good from before, they said, no, our word is this is a Chinese bio weapon.
[1:38:28.280 --> 1:38:30.280]  Exactly what you just said.
[1:38:30.280 --> 1:38:42.280]  In fact, before you told me that separately from my sources inside the Central Intelligence Agency saying the same thing.
[1:38:42.280 --> 1:38:52.280]  It's now been confirmed that this coronavirus was being weaponized and studied in labs in the United States, Canada, Europe, China, you name it.
[1:38:52.280 --> 1:38:55.280]  And that the Chi Coms got caught stealing it out of labs.
[1:38:55.280 --> 1:39:06.280]  And so the big takeaway is, why are all these labs around the world weaponizing viruses, quote, to study them or owing case it ever mutates.
[1:39:06.280 --> 1:39:10.280]  They've they've got the weaponized virus and they can make a vaccine out of it.
[1:39:10.280 --> 1:39:18.280]  Because the cover for bio weapons production is research into countering bio weapons.
[1:39:18.280 --> 1:39:30.280]  And that's how Russia, China, the United States, the UK, that's how all these nuclear powers and biological weapon powers have gotten around it is research, defense research.
[1:39:30.280 --> 1:39:34.280]  It's not defense research and it's madness.
[1:39:34.280 --> 1:39:40.280]  And of course, now it's coming out that most experts believe it's a engineered bio weapon.
[1:39:40.280 --> 1:39:42.280]  And that's in the medical reports.
[1:39:42.280 --> 1:39:49.280]  You know, the last four releases of SARS that killed a lot of people were out of Chinese labs.
[1:39:49.280 --> 1:39:53.280]  New research cast doubt the coronavirus started in Wuhan food market.
[1:39:53.280 --> 1:39:55.280]  Of course, it started in a bio cell.
[1:39:55.280 --> 1:40:03.280]  You on how be concentrate is really good for your heart, good for your liver, good for your lungs, good for your cardiovascular system, your brain.
[1:40:03.280 --> 1:40:04.280]  It's well known.
[1:40:04.280 --> 1:40:07.280]  And so beat supplements are amongst the best sellers out there.
[1:40:07.280 --> 1:40:11.280]  So I went out to a top lab and I said, what is the strongest be concentrate?
[1:40:11.280 --> 1:40:14.280]  You can do a copy of the popular formula you have.
[1:40:14.280 --> 1:40:17.280]  They explained that their formula had a certain percentage.
[1:40:17.280 --> 1:40:22.280]  And I said, just like with bodies, ultimate turmeric formula for the average competitors at five percent or humanoid.
[1:40:22.280 --> 1:40:24.280]  I said, no one else does 95.
[1:40:24.280 --> 1:40:25.280]  That's the highest level.
[1:40:25.280 --> 1:40:28.280]  I said, give me 95 percent humanoid didn't even cost much more.
[1:40:28.280 --> 1:40:31.280]  And we have 95 percent humanoid.
[1:40:31.280 --> 1:40:32.280]  Well, it's the same thing here.
[1:40:32.280 --> 1:40:35.280]  This is a very strong beat extract.
[1:40:35.280 --> 1:40:37.280]  And it's very good for your body, good for your heart.
[1:40:37.280 --> 1:40:38.280]  And it's back in stock.
[1:40:38.280 --> 1:40:40.280]  Bazzo beats at infowarstore.com.
[1:40:40.280 --> 1:40:42.280]  50 percent off.
[1:40:42.280 --> 1:40:48.280]  Turbo forces back in DNA forces back in ultra 12 is back in super metal vitalities back in.
[1:40:48.280 --> 1:40:55.280]  And they all found the info war and their store wide free shipping and double patriot points for the week of Memorial Day.
[1:40:55.280 --> 1:41:00.280]  What are champions made of?
[1:41:00.280 --> 1:41:02.280]  Here's a man who can show you.
[1:41:30.280 --> 1:41:59.280]  Memorial Day 2021 has come and gone.
[1:41:59.280 --> 1:42:02.280]  But the fight against the globalist continues.
[1:42:02.280 --> 1:42:08.280]  And the huge mega sale, the biggest of the year is now ongoing until this Sunday.
[1:42:08.280 --> 1:42:17.280]  So you've got as of time, I'm taking this report about four days to get your orders in store wide free shipping, double patriot points.
[1:42:17.280 --> 1:42:19.280]  You get 10 percent off for auto shift.
[1:42:19.280 --> 1:42:23.280]  Those are the biggest deals of the year all ongoing right now together.
[1:42:23.280 --> 1:42:31.280]  That's the perfect DNA force plus so incredible for your DNA, for your mitochondria, for your telomeres, for your cells.
[1:42:31.280 --> 1:42:33.280]  Back in stock sold out for almost seven months.
[1:42:33.280 --> 1:42:35.280]  40 percent off.
[1:42:35.280 --> 1:42:37.280]  Holland bought for your allergy, seasonal discomfort.
[1:42:37.280 --> 1:42:39.280]  Back in stock sold out for months.
[1:42:39.280 --> 1:42:40.280]  40 percent off.
[1:42:40.280 --> 1:42:45.280]  Super metal, fatality, frosty guard, alfalfa, well, Bazzo beats and so much more.
[1:42:45.280 --> 1:42:48.280]  Ionic, busy magnesium drink, all of it.
[1:42:48.280 --> 1:42:56.280]  40 to 50 percent off, store wide free shipping, double patriot points for a few more days at infowarstore.com.
[1:42:56.280 --> 1:43:07.280]  In 60 seconds, I don't have time to tell you how amazing pollen block is, but you should go to infowarstore.com and read the third party review sites we have links to where it's got five stars and people love it.
