[00:00:00.049 --> 00:00:00.209]  Oh my!
[01:03:37.802 --> 01:03:40.944]  But you say something about domain names and the UN.
[01:03:40.944 --> 01:03:43.925]  Well, I do talk a little bit about ICANN, which is a
[01:03:44.805 --> 01:03:56.556]  One of these sort of very, very, very narrow global governance mechanism that helps assign domain names that has worked better than some other groups like the UN.
[01:03:56.556 --> 01:04:00.961]  The point is, I believe that globalization is not a reversible trend.
[01:04:00.961 --> 01:04:05.785]  I believe that there's never going to be a referendum in which we sort of vote against it.
[01:04:05.785 --> 01:04:09.609]  It's a historical trend that's a continuation of the Industrial Revolution.
[01:04:10.429 --> 01:04:16.191]  And so, the consequence from my perspective is, what do you do about that?
[01:04:16.191 --> 01:04:17.272]  Well, you know what?
[01:04:17.272 --> 01:04:21.353]  I want to just keep you for one more minute past the break for our internet audience.
[01:04:21.353 --> 01:04:24.034]  John, keep him on with me.
[01:04:24.034 --> 01:04:31.196]  For folks listening on the web, we're just going to skip one minute of this break because I wanted to ask you about, what are these steps that are anti-globalist?
[01:04:31.196 --> 01:04:35.438]  I mean, you talk in the book about trying to control and deal with the anti-globalist.
[01:04:35.438 --> 01:04:35.938]  What's that mean?
[01:04:39.815 --> 01:04:40.717]  Sir?
[01:04:40.717 --> 01:04:41.438]  Yeah.
[01:04:41.438 --> 01:04:44.703]  I mean, in your book you talk about dealing with anti-globalists.
[01:04:44.703 --> 01:04:46.827]  How are you going to do that?
[01:04:46.827 --> 01:04:48.309]  With anti-globalists?
[01:04:48.309 --> 01:04:51.815]  I'm talking about Hugo Chavez and Mahmoud Ahmadinejad.
[01:04:53.573 --> 01:04:56.975]  Imagine walking down the street and hearing footsteps behind you.
[01:04:56.975 --> 01:05:01.798]  They get closer and closer, and suddenly you have a sense something bad is going to happen.
[01:05:01.798 --> 01:05:04.300]  What are you going to do to defend yourself?
[01:05:04.300 --> 01:05:09.003]  Tebowtech specializes in non-lethal self-defense products for you and your family.
[01:05:09.003 --> 01:05:17.108]  With everything from stun guns and tasers to personal alarms and pepper spray, Tebowtech will arm you with the most advanced non-lethal products anywhere on the net.
[01:05:17.808 --> 01:05:19.189]  Not sure where to start?
[01:05:19.189 --> 01:05:23.092]  The Tebowtech Essentials Package is great for you or to share with your family.
[01:05:23.092 --> 01:05:34.462]  It comes with a 950,000 volt cell phone stun gun, a multi-pack of pepper sprays, an extremely loud personal alarm, and a how-to book for defending yourself with pepper spray all at a low price.
[01:05:34.462 --> 01:05:40.527]  With these or any of Tebowtech's products, you have the tools to defend yourself against an attack and get yourself to safety.
[01:05:41.207 --> 01:05:42.410]  Don't be a victim.
[01:05:42.410 --> 01:05:43.672]  Be a victor.
[01:05:43.672 --> 01:05:44.735]  Stock up now.
[01:05:44.735 --> 01:05:46.378]  tbotech.com.
[01:05:46.378 --> 01:05:48.462]  That's t-b-o-t-e-c-h dot com.
[01:05:50.748 --> 01:05:52.730]  Our beloved Republic is on her knees.
[01:05:52.730 --> 01:05:56.334]  The forces of globalism are destroying national sovereignty worldwide.
[01:05:56.334 --> 01:05:58.796]  But in Liberty's darkest hour, there is hope.
[01:05:58.796 --> 01:06:01.839]  The first time in modern history, the people are beginning to wake up.
[01:06:01.839 --> 01:06:07.565]  It is essential that Patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[01:06:07.565 --> 01:06:11.489]  We have a short time frame to fully awaken and energize the people to meet this threat.
[01:06:11.809 --> 01:06:17.011]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[01:06:17.011 --> 01:06:20.052]  PrisonPlanet.tv is a vault of forbidden information.
[01:06:20.052 --> 01:06:27.274]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[01:06:27.274 --> 01:06:33.256]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[01:06:33.256 --> 01:06:37.778]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[01:06:38.058 --> 01:06:40.939]  The Info War is waiting for you to set it free.
[01:06:40.939 --> 01:06:42.980]  Join PrisonPlanet.tv.
[01:06:42.980 --> 01:06:44.961]  Burn the info bombs to disk.
[01:06:44.961 --> 01:06:47.102]  Put them on the file sharing networks.
[01:06:47.102 --> 01:06:48.882]  Bring down the New World Order.
[01:06:48.882 --> 01:06:49.623]  PrisonPlanet.tv
[01:06:52.409 --> 01:06:53.770]  I'm Harold Williams.
[01:06:53.770 --> 01:06:55.873]  I know about martial law.
[01:06:55.873 --> 01:06:57.754]  I want to teach you how to survive it.
[01:06:57.754 --> 01:07:06.703]  America has 10 telling signs of martial law, so use the short time left to learn to protect your family with the vital information in this book.
[01:07:06.703 --> 01:07:09.486]  Find the book at survivemartiallaw.com.
[01:07:09.486 --> 01:07:12.930]  I will tell you what you need to know to prepare for martial law.
[01:07:12.930 --> 01:07:14.231]  Things are changing fast.
[01:07:14.511 --> 01:07:17.314]  We even email you a free weekly update.
[01:07:17.314 --> 01:07:24.720]  I teach you how to act around troops, where to put supplies, how to be safe during the worst part of martial law, which is in the beginning.
[01:07:24.720 --> 01:07:28.764]  Surviving this major life transition can be difficult, but possible.
[01:07:28.764 --> 01:07:33.728]  Arm yourself with the knowledge, as this is the only weapon you will have to protect your family.
[01:07:33.868 --> 01:07:40.231]  Go to SurviveMartialLaw.com or call 866-644-1933.
[01:07:40.231 --> 01:07:42.112]  Act today as there will be no warning.
[01:07:42.112 --> 01:07:43.872]  866-644-1933.
[01:07:43.872 --> 01:07:48.234]  Find the book at SurviveMartialLaw.com.
[01:07:48.234 --> 01:07:51.916]  Protect your family.
[01:07:51.916 --> 01:07:58.539]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:07:58.539 --> 01:08:01.520]  It's Alex Jones and the GCN Radio Network.
[01:08:21.929 --> 01:08:26.533]  All right, ladies and gentlemen, I am here and I am back live.
[01:08:26.533 --> 01:08:28.054]  I was just, uh, you like that?
[01:08:28.054 --> 01:08:32.797]  I'll open up the studio door and start screaming so that I'll be on air.
[01:08:32.797 --> 01:08:40.243]  Forgot that that was a short segment, um, short break coming back because I was talking to, uh, the globalist guest that we had.
[01:08:41.284 --> 01:08:47.826]  David Rothkopf on, and then I ran out for a one-minute break and came back a bit late there.
[01:08:47.826 --> 01:08:57.688]  Let me just finish my comments on him, and then we will go to Mike Rivera, our next esteemed guest.
[01:08:57.688 --> 01:09:06.730]  I talked to him during the break and just made the point that, okay, well in your book you talk about these anti-globalist groups and how they have to be dealt with.
[01:09:06.730 --> 01:09:09.871]  And he said, yeah, they're Ahmed Dinegide and they're people like
[01:09:10.698 --> 01:09:13.359]  The Venezuelan president, they have to be dealt with.
[01:09:13.359 --> 01:09:14.819]  These super nationalists.
[01:09:14.819 --> 01:09:23.140]  See, everything they do is meant to sound so reasonable, so nice, so friendly, so good.
[01:09:23.140 --> 01:09:27.041]  You know, it's just reasonable.
[01:09:27.041 --> 01:09:28.221]  Don't you want to say?
[01:09:28.221 --> 01:09:29.622]  And I've seen U.N.
[01:09:29.622 --> 01:09:36.063]  white papers and others that have been published where they said a decade ago, 15 years ago, 20 years ago, different organizations said the same thing.
[01:09:36.730 --> 01:09:38.611]  We have to give people a false choice.
[01:09:38.611 --> 01:09:40.433]  They know there's a global government now.
[01:09:40.433 --> 01:09:43.295]  They know the global corporations are controlling them.
[01:09:43.295 --> 01:09:48.038]  We have to give them a choice, a false choice, of a democratized world government.
[01:09:48.038 --> 01:09:54.003]  That's us getting energized behind it and supporting it and having kangaroo meetings and votes that don't matter.
[01:09:54.003 --> 01:10:02.809]  Or you can just let the global corporations do whatever they want and act however they want because they've already achieved global governance.
[01:10:02.809 --> 01:10:04.891]  They're just rogue pirates doing what they want.
[01:10:06.071 --> 01:10:14.795]  No, we use nation-states to prosecute them, to go after them, and pretty soon they would quit doing what they were doing if the people took their nations over.
[01:10:14.795 --> 01:10:20.618]  It's kind of like in your state, you know, one jurisdiction's got bad cops, another jurisdiction has good cops.
[01:10:20.618 --> 01:10:22.979]  Do you want to get rid of all the jurisdictions?
[01:10:22.979 --> 01:10:24.920]  I mean, like, I stay out of Williamson County.
[01:10:26.480 --> 01:10:33.651]  Uh, because I've just seen too many horror stories, too many bad things happen, too many... I'm not saying all their police are bad, but I mean, it's legendary.
[01:10:33.651 --> 01:10:38.118]  They arrest you, like, two days after your videotapes are late to Blockbuster.
[01:10:38.118 --> 01:10:39.420]  I mean, it's any way to get you.
[01:10:40.228 --> 01:10:42.649]  I mean, I've been to court there.
[01:10:42.649 --> 01:10:43.490]  I've covered it.
[01:10:43.490 --> 01:10:44.490]  I've watched it.
[01:10:44.490 --> 01:10:48.112]  I mean, it's boss hog on steroids.
[01:10:48.112 --> 01:10:50.373]  Do I want them to be able to come down here?
[01:10:50.373 --> 01:10:57.357]  I hardly go fishing on Lake Travis because LCRA are just complete, total, psychopathic maniacs.
[01:10:57.357 --> 01:10:59.077]  And they're a private organization.
[01:10:59.077 --> 01:11:00.698]  They surveil all of Austin.
[01:11:00.698 --> 01:11:02.579]  They have cameras up all over Austin.
[01:11:02.579 --> 01:11:04.180]  I know some of their former security people.
[01:11:05.325 --> 01:11:08.988]  They're involved in all sorts of corruption that's in the news all the time.
[01:11:08.988 --> 01:11:11.150]  They do whatever they want, when they want, how they want.
[01:11:11.150 --> 01:11:13.652]  It's literally a private mafia organization.
[01:11:13.652 --> 01:11:16.635]  And I'm strongly considering never going on Lake Travis again.
[01:11:16.635 --> 01:11:19.518]  The problem is there's less and less places I can go.
[01:11:19.518 --> 01:11:20.979]  Not that I'm doing anything wrong.
[01:11:20.979 --> 01:11:26.684]  I don't go to dangerous parts of East Austin where there are well-known MS-13 and Crips and Bloods.
[01:11:29.696 --> 01:11:33.424]  And they have their own local Austin names, but it's the same deal.
[01:11:33.424 --> 01:11:36.972]  You know, just like I don't go around dangerous street gangs.
[01:11:36.972 --> 01:11:38.415]  And it's getting worse and worse.
[01:11:39.404 --> 01:11:41.766]  I want to be able to go to another country if the U.S.
[01:11:41.766 --> 01:11:42.707]  completely falls.
[01:11:42.707 --> 01:11:44.348]  The problem is it's global.
[01:11:44.348 --> 01:11:49.331]  Standardized police brainwashing, standardized brainwashed public, standardized control.
[01:11:49.331 --> 01:11:52.053]  I mean, that's what the globalists push for.
[01:11:52.053 --> 01:11:53.554]  Standardized taxation.
[01:11:53.554 --> 01:11:55.175]  Standardized regulation.
[01:11:55.175 --> 01:11:59.098]  They take your blood for 30 plus years in every major western country.
[01:11:59.098 --> 01:12:00.659]  That was an international agreement.
[01:12:00.659 --> 01:12:02.461]  International DNA database.
[01:12:02.461 --> 01:12:04.262]  They use it for bioweapons.
[01:12:04.262 --> 01:12:05.403]  They use it to frame people.
[01:12:06.023 --> 01:12:14.127]  Uh, they use it in claiming whatever they isolate, the compounds or DNA or proteins, the government and the private corporations they give it to claim ownership.
[01:12:14.127 --> 01:12:16.828]  People start suing, as they learn, mainly through this show.
[01:12:16.828 --> 01:12:25.912]  The last decade that it's going on, Bush gets a bill passed and signs it this week, last week, saying, we take your DNA and blood for criminal databases.
[01:12:25.912 --> 01:12:26.893]  All babies are criminals.
[01:12:27.533 --> 01:12:29.474]  I mean, that isn't freedom!
[01:12:29.474 --> 01:12:32.795]  Sucking blood out of babies, keeping it in government databases.
[01:12:32.795 --> 01:12:34.515]  The government's rogue.
[01:12:34.515 --> 01:12:36.076]  The government's corrupt.
[01:12:36.076 --> 01:12:37.576]  The government's out of control.
[01:12:37.576 --> 01:12:41.058]  You're illegitimate.
[01:12:41.058 --> 01:12:48.040]  We certainly don't want a global government set up to, quote, keep us safe from the globalists.
[01:12:50.276 --> 01:13:00.043]  We have this outdated global order system set up by the bankers, and so now we need a total world government that'll be run by the people, with the same bankers pushing for all of it.
[01:13:00.043 --> 01:13:17.076]  Just like the Federal Reserve engineers the latest collapse and consolidation, writes off all of its debt that it bought real assets with, and then positioned into safe, controlled areas, then their answer is, give us total government power, abolish three federal agencies that regulate us, and make us complete rulers of the United States.
[01:13:17.076 --> 01:13:18.017]  Have you read their proposal?
[01:13:18.726 --> 01:13:21.887]  They engineer it, and then, oh, they get even more power.
[01:13:21.887 --> 01:13:36.634]  I had a cop, um, like I said, I've got it here on the stack, I'm gonna read it later, comment, you know, Alex, you're trash, and we're just trying to do our job, and you make everything up, and you're just a piece of garbage.
[01:13:39.600 --> 01:13:50.142]  Well, last time I checked, there have been hundreds of thousands of convictions just in the last 20 years of police for dealing drugs, running whores, raping children, everything else.
[01:13:50.142 --> 01:13:51.443]  Does that mean all cops do it?
[01:13:51.443 --> 01:13:52.303]  No.
[01:13:52.303 --> 01:13:54.123]  But it's not a few bad apples.
[01:13:54.123 --> 01:14:03.145]  The government reaches in and throws out the good apples, and then kisses and loves the worm-eaten apples, and dumps worms in the bucket.
[01:14:05.797 --> 01:14:08.102]  I mean, have you seen the kind of stuff that goes on?
[01:14:08.102 --> 01:14:10.528]  Have you seen how you've been brainwashed?
[01:14:10.528 --> 01:14:15.518]  Do you understand that I shouldn't see nine cops in three miles writing tickets?
[01:14:17.205 --> 01:14:21.110]  You understand that they plan to double and triple again the number of cops?
[01:14:21.110 --> 01:14:23.092]  And they now snatch your kid?
[01:14:23.092 --> 01:14:26.997]  If you're three-year-olds in a fenced backyard playing and you're watching them out the window?
[01:14:26.997 --> 01:14:29.500]  The scumbag neighbors call the police on you?
[01:14:29.500 --> 01:14:34.106]  Because we are a Nazi, Stasi, degenerate society trained as tattle?
[01:14:34.106 --> 01:14:35.508]  And the cops come and take your kid?
[01:14:36.730 --> 01:14:42.072]  Did you know I know well-to-do middle-class people whose kid falls off of monkey bars and breaks their finger?
[01:14:42.072 --> 01:14:43.452]  Doesn't matter if they have witnesses.
[01:14:43.452 --> 01:14:45.313]  The CPS comes and takes their kid.
[01:14:45.313 --> 01:14:47.113]  The government's unreasonable.
[01:14:47.113 --> 01:14:48.514]  It's out of control.
[01:14:48.514 --> 01:14:52.075]  It violates the law all the time.
[01:14:52.075 --> 01:14:57.017]  I have been to court and seen police lie.
[01:14:57.017 --> 01:15:00.798]  I saw them beat up Osa Motley, the jazz slash
[01:15:01.545 --> 01:15:07.170]  Alternative band, for no reason, on video, and then lie in court and say they attacked police.
[01:15:07.170 --> 01:15:10.332]  I mean, the cops lie now when there's video of it!
[01:15:10.332 --> 01:15:14.235]  Take the guy in Houston, the CIA guy they gunned down.
[01:15:14.235 --> 01:15:19.779]  The family's now suing for civil rights violation.
[01:15:19.779 --> 01:15:30.588]  They pull him over, he gets spooked for some reason, drives off, not on a high-speed chase, waits till other cops get there, gets out with his hands at his side, the cop shoots him one time in the back,
[01:15:31.334 --> 01:15:38.536]  He falls down, the cops manhandling, put him in handcuffs, his blood runs out, and they stand around acting all pumped up.
[01:15:38.536 --> 01:15:40.997]  You can see one of them doing a pumped up deal, making his fist.
[01:15:40.997 --> 01:15:43.277]  I mean, getting off on killing somebody.
[01:15:43.277 --> 01:15:44.758]  I'm not here, meatball!
[01:15:44.758 --> 01:15:47.879]  So you can go out and hunt man!
[01:15:47.879 --> 01:15:49.959]  Last night, I couldn't sleep, and I was exhausted.
[01:15:49.959 --> 01:15:50.820]  I'm about to go to you, Mike.
[01:15:50.820 --> 01:15:51.480]  I want to make this point.
[01:15:51.480 --> 01:15:53.901]  We're going to hold you over if you can.
[01:15:53.901 --> 01:15:55.381]  Last night, I laid in bed.
[01:15:55.381 --> 01:15:56.541]  I got in bed about 10.
[01:15:56.541 --> 01:15:58.402]  I was exhausted, but I couldn't go to sleep until about 1.
[01:16:00.285 --> 01:16:02.286]  And I thought about my son, my daughters.
[01:16:02.286 --> 01:16:05.328]  I thought about how they gotta grow up and be pulled over by people like you.
[01:16:05.328 --> 01:16:08.490]  I thought about how... about how their future's gone.
[01:16:08.490 --> 01:16:14.133]  I thought about how there's gonna be 10 million cops and bureaucrats and tattletales and spies.
[01:16:14.133 --> 01:16:15.394]  And I was just sick!
[01:16:15.394 --> 01:16:16.394]  I was sick!
[01:16:16.394 --> 01:16:17.675]  I was sick!
[01:16:17.675 --> 01:16:22.117]  And then I got up and watched the latest info on Cedric Benson, the UT football player.
[01:16:22.117 --> 01:16:26.700]  Turns out the police report, according to all the witnesses and his lawyer and everybody else, as usual, is a lie.
[01:16:28.078 --> 01:16:32.499]  There were more than 50 boats in Devil's Cove.
[01:16:32.499 --> 01:16:37.061]  They pull up to his, he's been on the lake twice since he bought this boat a year ago, and he's been pulled over both times.
[01:16:37.061 --> 01:16:38.662]  See, that's the freedom.
[01:16:38.662 --> 01:16:39.762]  Quote, randomly.
[01:16:39.762 --> 01:16:41.743]  It's like the airport on the lake.
[01:16:41.743 --> 01:16:43.143]  Just, we're gonna search you.
[01:16:43.143 --> 01:16:48.685]  And they got on board, and the cop said that he smart-mouthed him a little.
[01:16:48.685 --> 01:16:52.806]  And the lawyer said, yeah, he just said, why are you pulling me over every time I'm out here?
[01:16:52.806 --> 01:16:55.187]  They were at anchor, in the cove, drinking beer.
[01:16:56.252 --> 01:17:02.876]  And they said, come over to the boat with us, and then in front of witnesses, and the police admit this, they kicked his legs out from under him when he argued.
[01:17:02.876 --> 01:17:04.677]  By the way, you know what he said?
[01:17:04.677 --> 01:17:06.378]  He said, hey, we're at anchor.
[01:17:06.378 --> 01:17:08.799]  I can have somebody else drive if you think I'm drunk.
[01:17:08.799 --> 01:17:13.042]  They kicked his legs out from under him, and then pepper sprayed him in the face.
[01:17:13.042 --> 01:17:14.602]  He was smart enough, but you know what?
[01:17:14.602 --> 01:17:15.303]  He cried.
[01:17:16.024 --> 01:17:17.325]  He didn't cry because he was a wimp.
[01:17:17.325 --> 01:17:18.025]  I know it's real funny.
[01:17:18.025 --> 01:17:22.588]  He's not doing good on the Bears, so he deserves to... He cried because he knew he's a slave.
[01:17:22.588 --> 01:17:25.430]  And he knew that his life is always going to be like this.
[01:17:25.430 --> 01:17:31.694]  And he's always got to let lesser men... And by the way, the cop, as usual, said, I was intimidated by his size.
[01:17:31.694 --> 01:17:33.476]  I had to take control of the situation.
[01:17:33.476 --> 01:17:36.218]  It's like when that other retired football player got out of his car.
[01:17:36.218 --> 01:17:37.458]  Not one of the gangbanger types.
[01:17:37.458 --> 01:17:39.079]  No criminal record.
[01:17:39.079 --> 01:17:39.740]  He was in Georgia.
[01:17:41.665 --> 01:17:44.328]  And the cop said in the report that he was intimidated.
[01:17:44.328 --> 01:17:44.768]  You can see it.
[01:17:44.768 --> 01:17:47.391]  The guy gets out and he's like, yes sir, officer.
[01:17:47.391 --> 01:17:49.933]  He's being real nice because he knows people are intimidated by him.
[01:17:49.933 --> 01:17:51.254]  Big black, and these are big white guys.
[01:17:51.254 --> 01:17:52.255]  They're nothing compared to this guy.
[01:17:52.255 --> 01:17:54.857]  I mean, these are big white guys, probably six foot one.
[01:17:54.857 --> 01:17:58.441]  This guy's like six foot six, 350 pounds, and they're only 250.
[01:17:58.441 --> 01:18:00.363]  They're intimidated.
[01:18:00.363 --> 01:18:05.187]  And so he gets out, and they step back, and they put their hands, and he puts his hands together.
[01:18:05.187 --> 01:18:06.228]  He says, please, come on.
[01:18:06.897 --> 01:18:09.477]  And the guy says, don't you make a fist at me, and he goes, I'm not!
[01:18:09.477 --> 01:18:11.298]  He has his hands together, begging him.
[01:18:11.298 --> 01:18:22.580]  So the cop shoves him, and the black guy steps back and tries to run, because he's got the taser out, and they taser him in the back, and then the news says he's bad.
[01:18:22.580 --> 01:18:25.800]  Mike Rivera, I appreciate you holding for five minutes while I was ranting about that.
[01:18:25.800 --> 01:18:34.242]  It's just that, then this morning, I was driving to work, and on three miles, I started, when I saw the first one, I count them is what I do, nine
[01:18:35.783 --> 01:18:39.547]  I saw three police cars and six motorcycle cops.
[01:18:39.547 --> 01:18:43.450]  Then I saw three more on the rest of the way to work.
[01:18:43.450 --> 01:18:45.031]  Another four miles or so.
[01:18:45.031 --> 01:18:49.636]  But, I mean, I literally started getting nauseated, freaked out.
[01:18:49.636 --> 01:18:50.757]  They were pulling up beside me.
[01:18:50.757 --> 01:18:51.497]  They were everywhere.
[01:18:51.497 --> 01:18:53.079]  I just can't handle it anymore.
[01:18:53.079 --> 01:18:55.301]  Do you have any comments?
[01:18:55.301 --> 01:18:55.701]  Well, yeah.
[01:18:55.701 --> 01:18:58.243]  We have pretty much the same thing happening here in Hawaii.
[01:18:58.243 --> 01:19:02.067]  Recently, the state legislature put our speeding fines
[01:19:02.810 --> 01:19:04.712]  Uh, you know, way, way up there.
[01:19:04.712 --> 01:19:07.156]  It used to be, you know, like 20, 30, 40 bucks.
[01:19:07.156 --> 01:19:09.639]  Now it's $150, $200 for speeding.
[01:19:09.639 --> 01:19:15.748]  And inevitably, of course, you know, the cops are lined up on the roads with their radar guns and everything.
[01:19:15.748 --> 01:19:18.853]  And it's basically, it's a form of pillaging the people.
[01:19:19.324 --> 01:19:24.006]  Because, you know, the traffic is the traffic, you know, here in Hawaii.
[01:19:24.006 --> 01:19:27.767]  And they're pulling people over for being just a mile or two above the limit.
[01:19:27.767 --> 01:19:30.729]  There's no more little five-mile-an-hour gracing.
[01:19:30.729 --> 01:19:37.211]  It's just a money-making opportunity, because tax revenues are in decline, because the economy's in decline, property taxes are in decline.
[01:19:37.211 --> 01:19:38.492]  And they're hiring more cops!
[01:19:38.492 --> 01:19:39.452]  Stay there, Mike Rivera.
[01:19:39.452 --> 01:19:41.113]  He'll be with us into the next hour.
[01:19:41.113 --> 01:19:42.814]  Mike, we really appreciate you.
[01:19:42.814 --> 01:19:43.554]  WhatReallyHappened.com.
[01:19:51.536 --> 01:19:52.977]  It is a big idea.
[01:19:52.977 --> 01:19:55.779]  A New World Order.
[01:19:55.779 --> 01:20:00.662]  In the near future, Earth is dominated by a powerful world government.
[01:20:00.662 --> 01:20:03.504]  It's known as the Bilderberg Group.
[01:20:03.504 --> 01:20:06.286]  Could their objective be world domination?
[01:20:06.286 --> 01:20:09.468]  For thousands of years, their dark order grew.
[01:20:09.468 --> 01:20:16.792]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:20:19.813 --> 01:20:25.277]  For the first time in history, the elite's plan for world government is blown wide open.
[01:20:25.277 --> 01:20:29.139]  You will learn the secret that drives the entire New World Order agenda.
[01:20:29.139 --> 01:20:31.701]  Build America is making great progress toward a world government.
[01:20:31.701 --> 01:20:32.862]  Most people have no idea.
[01:20:32.862 --> 01:20:33.642]  They're not after money.
[01:20:33.642 --> 01:20:34.943]  They have all the money they need.
[01:20:34.943 --> 01:20:35.924]  They're after power.
[01:20:35.924 --> 01:20:37.065]  That's what happens here.
[01:20:37.065 --> 01:20:41.808]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[01:20:41.808 --> 01:20:45.770]  Or watch it online right now at PrisonPlanet.tv.
[01:20:45.770 --> 01:20:48.592]  Endgame, blueprint for global enslavement.
[01:20:48.592 --> 01:20:49.633]  You have been warned.
[01:20:49.753 --> 01:20:50.733]  We're good.
[01:21:06.821 --> 01:21:10.784]  The package contains six DVDs that contain ten different programs.
[01:21:10.784 --> 01:21:14.708]  Two books that combined are over a thousand pages and other information.
[01:21:14.708 --> 01:21:18.070]  Order now at our website, mostholyfamilymonastery.com.
[01:21:18.070 --> 01:21:22.294]  That's mostholyfamilymonastery.com.
[01:21:22.294 --> 01:21:26.077]  The last word monastery spelled M-O-N-A-S-T-E-R-Y.
[01:21:26.497 --> 01:21:26.977]  Or call us at 1-800-275-1126.
[01:21:26.977 --> 01:21:27.197]  That's 1-800-275-1126.
[01:21:27.197 --> 01:21:30.379]  Or mail in your order to us at 4425 Schneider Road, Fillmore, NY 14735.
[01:21:30.379 --> 01:21:34.400]  The total cost for this massive package of information is only $10.
[01:21:34.400 --> 01:21:35.601]  $15 for UPS ground or $30 outside the U.S.
[01:21:50.205 --> 01:21:53.047]  Terror Storm, a history of government-sponsored terror.
[01:21:53.047 --> 01:21:54.609]  Loose Change, Final Cut.
[01:21:54.609 --> 01:21:56.771]  Endgame, Blueprint for Global Enslavement.
[01:21:56.771 --> 01:21:58.672]  The True Story of the Bilderberg Group.
[01:21:58.672 --> 01:22:00.153]  The Late Great USA.
[01:22:00.153 --> 01:22:01.935]  America, Freedom to Fascism.
[01:22:01.935 --> 01:22:08.961]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[01:22:08.961 --> 01:22:13.024]  When you visit prisonplanet.com, you can connect to our amazing online store.
[01:22:13.024 --> 01:22:16.427]  Whether you're looking for survival and wellness products like Berkey water filters,
[01:22:16.807 --> 01:22:19.568]  Or you would like a book on the history of the Federal Reserve.
[01:22:19.568 --> 01:22:22.650]  We've got the most well-researched and documented titles.
[01:22:22.650 --> 01:22:25.011]  All available at PrisonPlanet.com.
[01:22:25.011 --> 01:22:30.713]  Or if you'd like, you can give the InfoWars store a call at 888-253-3139.
[01:22:30.713 --> 01:22:35.656]  Or you can view more than a thousand titles in super high quality right now at PrisonPlanet.tv.
[01:22:36.716 --> 01:22:47.335]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[01:22:47.335 --> 01:22:48.797]  Join the info war today!
[01:22:49.721 --> 01:22:53.502]  Hi, this is Alex Jones, and I want to talk to you about the high price of gasoline.
[01:22:53.502 --> 01:22:58.223]  It's no secret that gasoline quality is poor, even though we're paying record prices at the pump.
[01:22:58.223 --> 01:23:03.505]  I have run across a company called SFR, who has developed two products that improve gas mileage.
[01:23:03.505 --> 01:23:14.728]  Instead of paying a mechanic as much as $300 to clean your injection system, Protecta Complete Fuel System Treatment cleans to 95% of new engine condition, improving mileage in only one tank full.
[01:23:14.728 --> 01:23:17.089]  Protecta Engine Treatment not only reduces friction,
[01:23:17.509 --> 01:23:19.529]  But it extends the life of your engine.
[01:23:19.529 --> 01:23:20.450]  Let's face it.
[01:23:20.450 --> 01:23:23.290]  With the high price of gasoline, it's time to take action.
[01:23:23.290 --> 01:23:31.311]  Purchase a protective fuel system treatment for only $9.95 and receive a free engine treatment, which is a $12.95 value free.
[01:23:31.311 --> 01:23:33.592]  Call 888-USE-SFR1.
[01:23:33.592 --> 01:23:37.213]  That number again is 888-USE-SFR1.
[01:23:37.213 --> 01:23:40.793]  Or check them out online at oilcompanysecret.com.
[01:23:40.793 --> 01:23:42.954]  That's oilcompanysecret.com.
[01:23:42.954 --> 01:23:45.314]  Satisfaction is guaranteed or your money back.
[01:23:45.814 --> 01:23:47.435]  And it's safe for all cars.
[01:23:47.435 --> 01:23:53.937]  Act now.
[01:23:53.937 --> 01:23:57.459]  Yeah, I just finished up the point I was making about Cedric Benson.
[01:23:57.459 --> 01:24:00.640]  You know, they started decades ago.
[01:24:00.640 --> 01:24:04.601]  We do a safety check to make sure you've got your life vest.
[01:24:04.601 --> 01:24:05.902]  That sounds reasonable.
[01:24:05.902 --> 01:24:07.502]  Not a violation of the Fourth Amendment.
[01:24:07.502 --> 01:24:11.264]  Because in a free society, you're not supposed to have people in your business.
[01:24:12.165 --> 01:24:14.126]  In your life, always stopping you.
[01:24:14.126 --> 01:24:14.867]  You're the citizen.
[01:24:14.867 --> 01:24:16.008]  You're the boss.
[01:24:16.008 --> 01:24:17.348]  Not you, the government.
[01:24:17.348 --> 01:24:18.309]  But see, that's how it starts.
[01:24:18.309 --> 01:24:19.370]  They just go boat to boat.
[01:24:19.370 --> 01:24:20.951]  Oh, it's Cedric Benson!
[01:24:20.951 --> 01:24:22.792]  We're gonna have our way with you now.
[01:24:23.749 --> 01:24:25.591]  Oh, you refuse to put a breathalyzer in your mouth.
[01:24:25.591 --> 01:24:27.233]  We're going to torture you.
[01:24:27.233 --> 01:24:28.454]  I know I'm off on the police.
