[00:00:20.197 --> 00:00:22.038]  It's November 20th.
[00:58:20.233 --> 00:58:21.513]  You know the White House well.
[00:58:21.513 --> 00:58:22.934]  You lived there for eight years.
[00:58:22.934 --> 00:58:26.695]  Are there places someone could hide, like if, say,
[00:58:28.876 --> 00:58:30.177]  They were going to be removed?
[00:58:30.177 --> 00:58:34.000]  Are there little cubby holes or anything that you know about?
[00:58:34.000 --> 00:58:39.825]  Well, I think we can always send the Navy SEALs in there to dig them out.
[00:58:39.825 --> 00:58:44.769]  Yeah, do you see how he clutches his throat there a couple times, has to take a deep swallow?
[00:58:44.769 --> 00:58:45.089]  No!
[00:58:45.089 --> 00:58:45.770]  Yeah, he knows.
[00:58:45.770 --> 00:58:46.670]  Get him off the screen.
[00:58:46.670 --> 00:58:49.713]  This is all a giant act, folks.
[00:58:49.713 --> 00:58:52.155]  It's all one big act.
[00:58:53.669 --> 00:58:56.090]  As if Jimmy Kimmel's show is popular.
[00:58:56.090 --> 00:58:59.012]  As if Obama on Jimmy Kimmel is like the hottest thing.
[00:58:59.012 --> 00:59:00.573]  Nobody cares.
[00:59:00.573 --> 00:59:02.474]  Nobody's watching that crap.
[00:59:02.474 --> 00:59:05.696]  Obama is the most despised president in US history.
[00:59:05.696 --> 00:59:07.838]  He'll go down as the most corrupt.
[00:59:07.838 --> 00:59:09.519]  All they have is their charades.
[00:59:09.519 --> 00:59:12.180]  All they have is their facades.
[00:59:12.180 --> 00:59:16.223]  But they go on TV and smile and laugh to hold the facade up.
[00:59:16.223 --> 00:59:16.423]  No!
[00:59:17.938 --> 00:59:25.986]  No, Barrio, I think the odds are more likely that the Navy SEALs send you to prison for life.
[00:59:25.986 --> 00:59:35.315]  Or send you to testify against the charges coming against you for treason.
[00:59:35.315 --> 00:59:42.222]  No, Barack, I think it's you.
[00:59:43.407 --> 00:59:45.989]  Who may be getting a visit from the Navy SEALs.
[00:59:45.989 --> 00:59:51.853]  I think it's you who may have an extended stay at Guantanamo Bay.
[00:59:51.853 --> 00:59:54.495]  At least if we're weighing the odds.
[00:59:54.495 --> 00:59:57.378]  Trump being visited by the Navy SEALs and removed or arrested?
[00:59:57.378 --> 01:00:00.400]  No, not very high odds on that.
[01:00:00.400 --> 01:00:00.720]  You?
[01:00:00.720 --> 01:00:07.125]  I guarantee you.
[01:00:07.125 --> 01:00:10.868]  I could have Navy SEALs call into this show right now.
[01:00:10.868 --> 01:00:11.809]  And they'd say, yeah.
[01:00:13.780 --> 01:00:23.186]  There ain't a chance we're gonna go in and remove Trump from some phony command of Barack Obama.
[01:00:23.186 --> 01:00:26.289]  We do have, is that a live feed from the Capitol, guys?
[01:00:26.289 --> 01:00:28.510]  In Atlanta?
[01:00:28.510 --> 01:00:29.591]  We do have a live feed.
[01:00:29.591 --> 01:00:34.054]  The rally is on right now in Atlanta, the capital of Georgia.
[01:00:34.054 --> 01:00:36.596]  As you can see, there are speakers there, and once again,
[01:00:37.847 --> 01:00:40.548]  Trump supporters and patriots lined up by the hundreds.
[01:00:40.548 --> 01:00:42.509]  It's gathering momentum.
[01:00:42.509 --> 01:00:48.231]  I imagine it's going to be thousands tomorrow.
[01:00:48.231 --> 01:00:49.891]  So we will continue to monitor that.
[01:00:49.891 --> 01:00:57.934]  Again, these are happening nationwide at state capitals at noon on Saturday until Trump is inaugurated.
[01:00:57.934 --> 01:01:02.156]  So if you want to get involved in this, noon at your state capital.
[01:01:03.237 --> 01:01:04.777]  Every Saturday.
[01:01:04.777 --> 01:01:12.299]  So that means, yes, I will be at the state capitol in Austin, Texas tomorrow at noon.
[01:01:12.299 --> 01:01:20.161]  And yes, there will be thousands gathered in Georgia attempting to stop the steal of our election there.
[01:01:20.161 --> 01:01:28.043]  And this is important for all of us to get behind, not just people in Georgia or Michigan or Pennsylvania where the steal is really happening.
[01:01:28.043 --> 01:01:30.844]  Because the steal is against all of us.
[01:01:33.223 --> 01:01:35.565]  Alright.
[01:01:35.565 --> 01:01:38.907]  When we come back, I do have some other news I want to get to.
[01:01:38.907 --> 01:01:40.788]  Alex Jones could pop in at any time.
[01:01:40.788 --> 01:01:43.750]  And I may open up the phone lines.
[01:01:44.693 --> 01:01:48.514]  It is Friday, so we may open up the phone lines and take your calls.
[01:01:48.514 --> 01:01:49.734]  We haven't heard much from you this week.
[01:01:49.734 --> 01:01:53.095]  It's the InfoWars.com Alex Jones Show.
[01:01:53.095 --> 01:01:55.576]  America is in crisis.
[01:01:55.576 --> 01:02:00.417]  Emergency lockdown 2 is coming under Biden.
[01:02:00.417 --> 01:02:05.959]  Support InfoWars for fighting its total economic collapse and Biden's martial law disguised as lockdown 2.
[01:02:06.679 --> 01:02:24.029]  Up to 60% off, plus free shipping and triple Patriot points and more at InfoWorksStore.com, DNA Force, plus Alpha Power back in stock, Body's Ultimate Turmeric Formula, Ultra 12, VitaMineral Fusion, KavaChill, SuperMetal Vitality, Super Female, and so many other amazing products.
[01:02:24.489 --> 01:02:28.771]  These are game-changing things that the globalists don't need to have.
[01:02:28.771 --> 01:02:33.793]  These are things that are absolutely elemental to what you and your body have to have to live.
[01:02:33.793 --> 01:02:37.935]  But regardless, buying these products from us funds the InfoWars, so it's a 360 win.
[01:02:37.935 --> 01:02:39.655]  I want to thank you all for your support.
[01:02:39.655 --> 01:02:41.576]  I want to ask you to redouble your efforts to spread the word.
[01:02:41.576 --> 01:02:46.258]  I want to ask you to buy the products at InfoWarsStore.com today, because without you, we won't be on the air.
[01:02:46.258 --> 01:02:47.439]  Again, I salute you and thank you all.
[01:02:47.439 --> 01:02:48.399]  The toll-free number is 888-253-3139.
[01:02:48.399 --> 01:02:51.120]  Please take action today at our emergency center.
[01:03:15.657 --> 01:03:16.358]  Welcome back.
[01:03:16.358 --> 01:03:21.706]  We are in the second hour of the Alex Jones Show and Troy are sitting in for Alex.
[01:03:21.706 --> 01:03:26.913]  We'll be hearing from Alex before we sign off.
[01:03:26.913 --> 01:03:29.016]  I want to open up the phone lines right now.
[01:03:31.223 --> 01:03:31.463]  877-789-2539.
[01:03:31.463 --> 01:03:33.445]  877-789-2539.
[01:03:33.445 --> 01:03:49.120]  And if there are any Navy SEALs tuned in, or former Navy SEALs, or family members of Navy SEALs, who want to weigh in on Obama saying the Navy SEALs would remove Trump from the White House, we'll put you to the front of the line.
[01:03:49.120 --> 01:03:51.182]  Just, you know, just because.
[01:03:51.182 --> 01:03:52.183]  We'll just see how that goes.
[01:03:55.140 --> 01:03:56.981]  I don't think.
[01:03:56.981 --> 01:03:58.422]  See, but it's all the fake news, folks.
[01:03:58.422 --> 01:03:59.123]  That's all they do.
[01:03:59.123 --> 01:04:00.064]  It's all charades.
[01:04:00.064 --> 01:04:01.284]  It's all Baghdad Bob.
[01:04:01.284 --> 01:04:02.966]  It's all Tokyo Rose.
[01:04:02.966 --> 01:04:04.907]  It's all WWE promos.
[01:04:04.907 --> 01:04:08.850]  It's all fake.
[01:04:08.850 --> 01:04:10.291]  Obama is despised.
[01:04:10.291 --> 01:04:11.351]  Nobody likes him.
[01:04:11.351 --> 01:04:12.912]  His own voters can't stand him.
[01:04:12.912 --> 01:04:13.733]  He's a total fraud.
[01:04:13.733 --> 01:04:14.493]  He's a total phony.
[01:04:14.493 --> 01:04:16.475]  He's guilty of treason up one side and down the other.
[01:04:19.363 --> 01:04:23.824]  But he goes on late-night comedy shows with Jimmy Kimmel and smiles and laughs!
[01:04:23.824 --> 01:04:25.204]  Ha ha ha ha ha!
[01:04:25.204 --> 01:04:25.864]  Ooh ayee!
[01:04:25.864 --> 01:04:27.085]  Ah, Navy SEALS will get Trump!
[01:04:27.085 --> 01:04:28.005]  Woo hoo hoo!
[01:04:28.005 --> 01:04:29.065]  It's all fake, folks.
[01:04:29.065 --> 01:04:30.225]  It's all fake.
[01:04:30.225 --> 01:04:31.786]  It's all a giant act.
[01:04:31.786 --> 01:04:34.806]  It's all a PSYOP.
[01:04:34.806 --> 01:04:37.087]  It's all it is.
[01:04:37.087 --> 01:04:41.048]  No, Barack, you know what's coming, don't ya?
[01:04:41.048 --> 01:04:42.828]  You know, here's my biggest fear right now.
[01:04:44.474 --> 01:04:52.759]  Aside from how hard it's going to be to stop this steal when it's all done electronically.
[01:04:52.759 --> 01:05:10.209]  You know, the hubris and the arrogance of an Andrew Cuomo in New York, the hubris and the arrogance of a Governor Whitmer, of a Gavin Newsom, a Tom Wolfe,
[01:05:11.857 --> 01:05:20.621]  Saying you have to mask in your home, saying you can't open your business, saying you have to be shut down forever, you can't leave your home.
[01:05:20.621 --> 01:05:27.103]  There's something, there is something to that that's not palpable right now.
[01:05:27.103 --> 01:05:40.329]  And the reason why it's so scary is because they wouldn't be this arrogant and this flippant in their disgust for the American people
[01:05:41.960 --> 01:05:52.409]  And then their blatant tyranny, unless they knew they were safe and there was something else coming.
[01:05:52.409 --> 01:06:08.763]  I just have a weird feeling that their arrogance and their hubris in their totalitarian dictate measures of shutting everything down for a fake pandemic
[01:06:09.673 --> 01:06:18.755]  And then bragging about it, and then going out to dinner without a mask, and having parties without a mask, and Cuomo scolding the media, scolding parents, scolding teachers.
[01:06:18.755 --> 01:06:21.275]  Whitmer, against all laws, locking people down.
[01:06:21.275 --> 01:06:23.255]  Multiple lawsuits against her, she doesn't care.
[01:06:23.255 --> 01:06:25.356]  Multiple petitions for her to be removed, she doesn't care.
[01:06:25.356 --> 01:06:31.357]  The Democrat governor of Pennsylvania, Tom Wolf, says you have to wear a mask in your home.
[01:06:31.357 --> 01:06:32.537]  Democrat mayors in St.
[01:06:32.537 --> 01:06:37.718]  Louis and Chicago and New York are saying you can't even leave your home.
[01:06:37.718 --> 01:06:38.538]  That arrogance!
[01:06:39.605 --> 01:06:50.972]  That hubris in your face, disgust, and criminal activity, criminal behavior from them is a big indicator, folks, that they know something else is coming.
[01:06:50.972 --> 01:06:56.355]  For them to have that much confidence means that they think they're really safeguarded.
[01:06:56.355 --> 01:06:58.456]  Now, it could be a mismeasurement.
[01:06:58.456 --> 01:07:01.218]  They could be just falling for their own PR campaigns.
[01:07:01.218 --> 01:07:03.039]  They could be falling for their own BS.
[01:07:06.072 --> 01:07:07.653]  But they really think they've won.
[01:07:07.653 --> 01:07:09.535]  They really think they're enslaving all Americans.
[01:07:09.535 --> 01:07:11.016]  They really think you're a piece of dirt.
[01:07:11.016 --> 01:07:12.497]  They think you are scum.
[01:07:12.497 --> 01:07:14.719]  You are not even an ant.
[01:07:14.719 --> 01:07:16.360]  You're an ant dropping to these people.
[01:07:16.360 --> 01:07:27.088]  To Cuomo, and Whitmer, and Wolf, and Lightfoot, and Newsom, and yes, Biden.
[01:07:27.088 --> 01:07:30.751]  And they wouldn't be behaving that way unless they thought they have you totally shackled.
[01:07:30.751 --> 01:07:32.852]  They have you totally owned.
[01:07:32.852 --> 01:07:33.793]  They own you.
[01:07:37.128 --> 01:07:45.270]  That arrogance does not come lightly.
[01:07:45.270 --> 01:07:49.872]  And you have Joe Biden, in fact, we'll go to a short clip here.
[01:07:49.872 --> 01:07:53.993]  He had a press conference today in Delaware.
[01:07:53.993 --> 01:08:02.095]  This goon squad, this clown act, this hack, this schmuck, this criminal,
[01:08:03.390 --> 01:08:15.715]  This dementia-ridden hag, this plastic-faced corpse, this rotting husk of a soul, this pathetic excuse for a man.
[01:08:15.715 --> 01:08:18.616]  This is our fake president-elect.
[01:08:18.616 --> 01:08:20.537]  Listen to him fumble and bumble.
[01:08:20.537 --> 01:08:21.997]  He doesn't even know where the hell he is.
[01:08:21.997 --> 01:08:24.778]  He can't think, he can't read, he can't talk.
[01:08:24.778 --> 01:08:31.341]  A fake president-elect scumbag, dirtbag, low-life loser.
[01:08:32.708 --> 01:08:33.949]  Who wants to dominate us?
[01:08:33.949 --> 01:08:37.070]  Here he is today, the fake president-elect.
[01:08:37.070 --> 01:08:41.652]  We talked a lot with the governors about what the immediate needs are.
[01:08:41.652 --> 01:08:55.018]  We're going to enforce the, excuse me, employ the Defense Reconstructive Act to be able to go out there and dictate companies build and do following things.
[01:08:55.018 --> 01:08:56.239]  We need much more testing.
[01:08:56.239 --> 01:08:57.599]  We need much more masking.
[01:08:57.599 --> 01:08:57.979]  We need gloves.
[01:08:59.560 --> 01:09:07.447]  I asked the National Government Association through the Governor Cuomo and the ones on the line to let us know what their shortages are.
[01:09:07.447 --> 01:09:11.511]  It's pathetic, man.
[01:09:11.511 --> 01:09:14.333]  Just pathetic.
[01:09:14.333 --> 01:09:17.896]  And there were other gaffes in his little press conference today.
[01:09:17.896 --> 01:09:21.339]  I mean, this guy's just a joke, man.
[01:09:21.339 --> 01:09:23.441]  And I'll tell you what, our country's a joke.
[01:09:23.441 --> 01:09:24.402]  He is not in jail.
[01:09:29.548 --> 01:09:31.730]  Really embarrassing, isn't it?
[01:09:31.730 --> 01:09:35.832]  Look at some of Joe Biden's tweets today.
[01:09:35.832 --> 01:09:43.638]  At least 37 transgender and gender non-conforming people have been killed this year.
[01:09:43.638 --> 01:09:46.920]  By the way, hundreds of them commit suicide, but they never talk about that.
[01:09:46.920 --> 01:09:49.502]  Most of them black and brown transgender women.
[01:09:49.502 --> 01:09:52.504]  Yeah, because they're the ones that are targeted for this by the propaganda.
[01:09:52.504 --> 01:09:54.706]  It's intolerable.
[01:09:54.706 --> 01:09:57.328]  This Transgender Day of Remembrance.
[01:09:58.766 --> 01:10:04.029]  We honor their lives and recommit to the work that remains to end this epidemic of violence.
[01:10:04.029 --> 01:10:05.210]  Total fake news!
[01:10:05.210 --> 01:10:06.831]  Total fake story!
[01:10:06.831 --> 01:10:07.712]  Nobody cares!
[01:10:07.712 --> 01:10:08.472]  Nobody knows!
[01:10:08.472 --> 01:10:09.052]  It's nothing!
[01:10:09.052 --> 01:10:09.953]  It's a nothing burger!
[01:10:09.953 --> 01:10:14.736]  But see... It's... And of course there's no even... There's no political pull here!
[01:10:14.736 --> 01:10:16.417]  It's all pandering!
[01:10:16.417 --> 01:10:17.678]  It's all insulting humanity!
[01:10:17.678 --> 01:10:19.259]  It's all part of the social engineering!
[01:10:20.771 --> 01:10:25.020]  Normalizing sexually mutilating your child.
[01:10:25.020 --> 01:10:29.430]  Normalizing the sexual, psychological rape of your child.
[01:10:31.974 --> 01:10:37.497]  And of course it's Joe Biden, the guy whose first act in celebrating he was a president was molesting a child.
[01:10:37.497 --> 01:10:38.438]  He's showing you!
[01:10:38.438 --> 01:10:40.900]  Joe Biden is a child molester!
[01:10:40.900 --> 01:10:48.284]  He announces he wins president, they bring out a baby, clear the whole stage, he molests the baby on stage, on camera, and then they all celebrate and come in and join him.
[01:10:48.284 --> 01:10:52.307]  It's all a satanic cult act, folks!
[01:10:52.307 --> 01:10:59.031]  Joe Biden goes on TV, yeah, I bribed the Ukrainian government to get my son millions of dollars, screw you, I'm frickin' Joe Biden, I run this show!
[01:11:01.380 --> 01:11:10.522]  Yeah, I like kids so much they crawl on my legs and I like molesting them and jumping them up and down and I grab their wives' butts and boobs and all their children's faces and necks and sniff them and lick them.
[01:11:10.522 --> 01:11:11.202]  That's what I do!
[01:11:11.202 --> 01:11:16.004]  I'm Joe Biden, bitch!
[01:11:16.004 --> 01:11:18.104]  Sick.
[01:11:18.104 --> 01:11:19.404]  Sick.
[01:11:19.404 --> 01:11:25.386]  A child molesting, psychological torturing demon.
[01:11:28.530 --> 01:11:32.293]  Then he says, by the way, they stole this one from President Trump.
[01:11:32.293 --> 01:11:36.597]  Wearing a mask isn't a political statement, it's a patriotic duty.
[01:11:36.597 --> 01:11:37.998]  That's what Trump said three months ago.
[01:11:37.998 --> 01:11:43.182]  I disagreed with him then, but it's funny now, they steal it and they say, oh, it's patriotic to wear a mask.
[01:11:43.182 --> 01:11:44.584]  I'm so sick of this crap, man.
[01:11:44.584 --> 01:11:50.729]  You know what, here's the good news.
[01:11:50.729 --> 01:11:52.931]  America's not just gonna go into tyranny.
[01:11:52.931 --> 01:11:56.153]  We may win this battle, we may save America, we may not.
[01:11:56.153 --> 01:11:56.694]  But, um...
[01:11:58.268 --> 01:12:09.941]  You know, I'm not the one that has about 100 million people ready to, uh, you know, find me and end me.
[01:12:12.236 --> 01:12:14.058]  No, I'm not the tyrant in government.
[01:12:14.058 --> 01:12:15.659]  No, I'm not the one that shut down your business.
[01:12:15.659 --> 01:12:17.541]  No, I'm not the one that censored your free speech.
[01:12:17.541 --> 01:12:20.363]  No, I'm not the one that spent trillions of dollars on wars.
[01:12:20.363 --> 01:12:22.925]  No, I'm not the one that lied about weapons of mass destruction.
[01:12:22.925 --> 01:12:25.227]  No, I'm not the one that lied about Russian collusion.
[01:12:25.227 --> 01:12:26.809]  No, I'm not the one that lied about Kavanaugh.
[01:12:26.809 --> 01:12:28.170]  I'm not the one that lied about hate crimes.
[01:12:28.450 --> 01:12:29.430]  I'm not the liar.
[01:12:29.430 --> 01:12:30.371]  I'm not the fraud.
[01:12:30.371 --> 01:12:31.471]  That's Joe Biden.
[01:12:31.471 --> 01:12:32.471]  That's CNN.
[01:12:32.471 --> 01:12:33.591]  That's MSNBC.
[01:12:33.591 --> 01:12:36.192]  So, you guys can go ahead and try to roll out this tyranny.
[01:12:36.192 --> 01:12:38.033]  You can continue on with this fake pandemic.
[01:12:38.033 --> 01:12:39.613]  You can try to steal this election.
[01:12:39.613 --> 01:12:47.495]  But every day you continue this, another million Americans gets red in their eyes and smoke out of their ears, and they're looking at you!
[01:12:47.495 --> 01:12:48.696]  They're looking at you, Joe!
[01:12:48.696 --> 01:12:49.636]  They're looking at you!
[01:12:52.037 --> 01:12:53.198]  It really is simple.
[01:12:53.198 --> 01:12:54.899]  The left are into being deviant.
[01:12:54.899 --> 01:12:56.681]  And I don't mean sexually deviant.
[01:12:56.681 --> 01:12:58.842]  That goes to territory.
[01:12:58.842 --> 01:13:05.827]  I'm talking about deviant against their ancestors, deviant against their own species, deviant against the order of nature.
[01:13:05.827 --> 01:13:10.591]  Even though that deviance is destructive and poisonous, they still do it because they want to play God.
[01:13:10.591 --> 01:13:13.113]  Everything they touch, they destroy.
[01:13:13.113 --> 01:13:17.516]  Their sacrament is aborting babies and then using their body parts.
[01:13:17.516 --> 01:13:21.019]  Their religion is not taking care of the old, but euthanizing them.
[01:13:21.559 --> 01:13:35.470]  Their whole system is designed for the UN to keep third world countries in serious poverty and poor, ballooning populations, then watching all that new fruit die on the vine, to continually reproduce the same nightmares over and over and over again.
[01:13:35.470 --> 01:13:37.271]  They truly are the children of Satan.
[01:13:37.271 --> 01:13:38.592]  They are the children of the devil.
[01:13:38.592 --> 01:13:45.498]  And if you look at the slaves that served Biden and Kamala Harris, it really is manifest that being a slave of Satan is not profitable.
[01:13:45.498 --> 01:13:47.139]  Sin is not profitable.
[01:13:47.139 --> 01:13:49.361]  I'm Alex Jones, and this is the InfoWar.
[01:13:51.082 --> 01:13:58.689]  Most of the world submitted to the unconstitutional criminal lockdowns directed by the Communist Chinese and the United Nations.
[01:13:58.689 --> 01:14:09.217]  And now because the slaves have proven themselves to be subservient, the worst Australian models of complete lockdowns where you can't even leave your house for months and months are being announced.
[01:14:09.217 --> 01:14:18.986]  And in Germany, the police are using giant armored tanks with water cannons to blast men, women, and children that protest the fact that Merkel, the dictator, has put them under her control.
[01:14:19.546 --> 01:14:22.547]  That's right, she's been rigging elections for years and years.
[01:14:22.547 --> 01:14:25.709]  And the same thing is coming here to the United States.
[01:14:25.709 --> 01:14:27.269]  This is world government.
[01:14:27.269 --> 01:14:31.951]  In Philadelphia, they've announced four people or more seen together will be arrested.
[01:14:31.951 --> 01:14:33.972]  They're announcing that Christmas is canceled.
[01:14:33.972 --> 01:14:36.413]  This is what the communist takeover looks like.
[01:14:36.413 --> 01:14:40.295]  To bankrupt you, to take rid of all your due process, and absolutely
[01:14:40.675 --> 01:14:43.778]  Transform the world into a prison planet.
[01:14:43.778 --> 01:14:45.899]  How long have we warned you about this?
[01:14:45.899 --> 01:14:47.361]  But you can fight back.
[01:14:47.361 --> 01:14:49.262]  America is the last bastion.
[01:14:49.262 --> 01:14:54.447]  Stop submitting!
[01:14:54.447 --> 01:14:57.049]  You're listening to the Alex Jones Show.
[01:15:09.790 --> 01:15:11.271]  I'm going to try to calm down here.
[01:15:11.271 --> 01:15:22.637]  I just have zero tolerance for tyrants and just no holds barred here on air.
[01:15:22.637 --> 01:15:27.239]  Joe Biden and the people that own him are enemies of you.
[01:15:27.239 --> 01:15:29.080]  They want to take everything from you.
[01:15:31.084 --> 01:15:32.605]  They want to destroy your family.
[01:15:32.605 --> 01:15:34.185]  They want to destroy your livelihood.
[01:15:34.185 --> 01:15:35.686]  They want to destroy your country, folks.
[01:15:35.686 --> 01:15:37.006]  So, it's a little hard.
[01:15:37.006 --> 01:15:37.706]  Okay, I'm going to be honest.
[01:15:37.706 --> 01:15:47.570]  It's a little hard covering these tyrants and having to deal with the reality that they want to dominate us and they are feet away from total tyranny.
[01:15:47.570 --> 01:15:57.613]  They are feet away from being in charge of a global government infrastructure that will, without a doubt, make you poor and hungry and broke with nothing.
[01:16:00.939 --> 01:16:22.089]  So, it's a tough thing to sit here and deal with this and cover this and not call it like it is and cross that boundary of what needs to happen and not get flagrantly angry because it is infuriating.
[01:16:22.089 --> 01:16:27.172]  We spend trillions of dollars to fight wars in countries halfway around the planet
[01:16:28.387 --> 01:16:36.571]  When the biggest enemies of our country are sitting in the halls of Congress and governor mansions and mayor mansions.
[01:16:36.571 --> 01:16:37.932]  They are the real enemies.
[01:16:37.932 --> 01:16:40.953]  Yeah, we should be sending the Navy Seals after Barack Obama.
[01:16:40.953 --> 01:16:48.057]  Yeah, we should be sending the military in to arrest Gavin Newsom and Gretchen Whitmer and Tom Wolfe and Lori Lightfoot.
[01:16:48.057 --> 01:16:51.799]  And yes, Joe Biden.
[01:16:51.799 --> 01:16:58.022]  And yet these criminals, these enemies of humanity, these enemies of freedom, these enemies of truth,
[01:16:59.957 --> 01:17:07.668]  These enemies of righteousness are inches away from owning you!
[01:17:07.668 --> 01:17:12.436]  So, I get a little upset, but I'm going to take a deep breath and I'm going to go to the callers.
[01:17:13.803 --> 01:17:17.945]  Real quick though, ladies and gentlemen, we are monitoring the Stop the Steal rally in Atlanta, Georgia.
[01:17:17.945 --> 01:17:20.787]  We are going to be nationwide.
[01:17:20.787 --> 01:17:22.688]  State capitals tomorrow at noon.
[01:17:22.688 --> 01:17:25.009]  I'll be at the one here in Austin, Texas.
[01:17:25.009 --> 01:17:27.810]  Ladies and gentlemen, get in to the battle now.
[01:17:27.810 --> 01:17:28.711]  Get in to the arena.
[01:17:28.711 --> 01:17:34.314]  Fight for your country now before Joe Biden kills it.
[01:17:34.314 --> 01:17:38.036]  And everything we do is made possible with your support at InfoWarsTore.com.
[01:17:39.653 --> 01:17:44.297]  Big specials right now, the Stop the Steal sale is going on.
[01:17:44.297 --> 01:17:48.159]  50% off DNA Force Plus, 50% off Bod Ease.
[01:17:48.159 --> 01:17:50.861]  Big discounts on the Alexa Pure Breeze air filter.
[01:17:50.861 --> 01:17:53.564]  It's one of the lowest prices you're ever going to get it.
[01:17:53.564 --> 01:17:57.887]  It's all at InfoWarsStore.com and that's what funds everything we do here.
[01:17:57.887 --> 01:18:00.869]  You are our sponsors, you are our lifeblood.
[01:18:00.869 --> 01:18:08.435]  So we cannot thank you enough and we cannot urge you enough to get to InfoWarsStore.com and take advantage of the Stop the Steal specials.
[01:18:09.636 --> 01:18:10.957]  We go to the phone lines.
[01:18:10.957 --> 01:18:12.658]  Let's start in Georgia.
[01:18:12.658 --> 01:18:14.118]  Ian in Georgia.
[01:18:14.118 --> 01:18:17.060]  You're on the InfoWars Alex Jones Show.
[01:18:17.060 --> 01:18:18.681]  Go ahead.
[01:18:18.681 --> 01:18:19.901]  Hey Owen.
[01:18:19.901 --> 01:18:23.843]  I'm 23 years old and I listen to you guys every day and I love what you do.
[01:18:23.843 --> 01:18:25.124]  So thank you.
[01:18:25.124 --> 01:18:33.668]  And I voted for Kemp in 2018 and I was pretty proud of him for not implementing mask mandates and having a relatively short lockdown.
[01:18:33.668 --> 01:18:37.971]  But if he certifies this election without calling a special session, he'll lose in 2022.
[01:18:39.471 --> 01:18:43.693]  He's not going to stab Trump and his supporters in the back and get away with it.
[01:18:43.693 --> 01:18:48.936]  And you know, that's another one of my fears here, Ian, is that why would Kemp do that?
[01:18:48.936 --> 01:18:50.457]  Why would he betray his own people?
[01:18:50.457 --> 01:18:53.398]  Why would he cost himself his own election?
[01:18:53.398 --> 01:19:04.184]  Unless they're so confident in what's ever coming, they just figure, it doesn't matter what I do, it doesn't matter what I say, it doesn't matter if the entire population hates me, this thing is coming anyway, so damn it all to hell.
[01:19:04.184 --> 01:19:07.846]  Yeah, the only thing I can think of is he's bought and paid for, which is pretty sad.
[01:19:09.127 --> 01:19:11.788]  Yeah, our governor here, Governor Abbott, betrayed us too.
[01:19:11.788 --> 01:19:17.851]  You know, I heard a rumor he doesn't stand for the National Anthem.
[01:19:17.851 --> 01:19:18.531]  You got that one?
[01:19:18.531 --> 01:19:19.612]  That's pretty brutal.
[01:19:19.612 --> 01:19:20.652]  Yeah, that's pretty brutal.
[01:19:20.652 --> 01:19:24.974]  Sorry, hey, that guy locked down my state, you know, makes me wear a face mask, so screw him.
[01:19:24.974 --> 01:19:27.735]  I don't blame you.
[01:19:27.735 --> 01:19:33.958]  But yeah, it is very worrisome that these Republicans are so willing to just throw their entire constituency under the bus.
[01:19:33.958 --> 01:19:35.779]  What do they know that we don't know?
[01:19:35.779 --> 01:19:37.560]  Why are they so confident to do that?
[01:19:37.560 --> 01:19:37.980]  Scares me.
[01:19:40.404 --> 01:19:43.506]  They'll pay the price.
[01:19:43.506 --> 01:19:46.969]  Well, that's for damn sure.
[01:19:46.969 --> 01:19:47.970]  Anything else, Ian?
[01:19:47.970 --> 01:19:50.012]  To the Georgia State Capitol on Saturday.
[01:19:50.012 --> 01:19:52.033]  I'll be there tomorrow.
[01:19:52.033 --> 01:19:53.074]  Right on, man.
[01:19:53.074 --> 01:19:53.634]  Right on.
[01:19:53.634 --> 01:19:54.375]  Alex will be there.
[01:19:54.375 --> 01:19:55.996]  Nick Fuentes will be there.
[01:19:55.996 --> 01:19:57.958]  Ollie Alexander will be there.
[01:19:57.958 --> 01:19:59.099]  Jay Dyer is there.
[01:19:59.099 --> 01:19:59.719]  A ton of people.
[01:19:59.719 --> 01:20:00.360]  It's going to be huge.
[01:20:00.360 --> 01:20:01.501]  It's going to be huge, Ian.
[01:20:01.501 --> 01:20:03.122]  Thank you so much for calling in.
[01:20:03.122 --> 01:20:05.644]  Let's go to Cedric in Alabama.
[01:20:05.644 --> 01:20:07.606]  Cedric, you're on the Alex Jones Show.
[01:20:07.606 --> 01:20:07.906]  Go ahead.
[01:20:09.212 --> 01:20:10.593]  What's going on, Owens?
[01:20:10.593 --> 01:20:12.514]  God bless you, man.
[01:20:12.514 --> 01:20:12.874]  Thank you.
[01:20:12.874 --> 01:20:15.336]  God bless you.
[01:20:15.336 --> 01:20:23.040]  Listen, I'm calling upon all Republicans, all conservatives, all patriots in Alabama.
[01:20:23.040 --> 01:20:24.761]  We're right next door.
[01:20:24.761 --> 01:20:32.245]  Come tomorrow with me to that political battlefield that is Atlanta, Georgia.
[01:20:32.245 --> 01:20:38.469]  We cannot continue to allow these political chameleons, like the governor of Alabama,
[01:20:38.854 --> 01:20:49.602]  We have said nothing in support of President Trump or any Republican for that matter in these state legislatures and these governor's mansions.
[01:20:49.602 --> 01:20:52.284]  Now's the hour of action.
[01:20:52.284 --> 01:20:55.526]  Either you support America or you don't.
[01:20:55.526 --> 01:20:59.789]  We don't have time for these games anymore.
[01:20:59.789 --> 01:21:03.012]  We have to rally tomorrow.
[01:21:03.012 --> 01:21:05.153]  Regulators mount up.
