[00:00.000 --> 00:11.000]  There's a lot of controversy around this network about Alex Jones, for example.
[1:03:57.000 --> 1:04:01.000]  Fake polls, fake town halls with actors.
[1:04:01.000 --> 1:04:02.000]  That's all admitted.
[1:04:02.000 --> 1:04:03.000]  And you want to change the subject.
[1:04:03.000 --> 1:04:05.000]  And she has behind her.
[1:04:05.000 --> 1:04:06.000]  Put the video up again, please.
[1:04:06.000 --> 1:04:08.000]  If you're a TV viewer, I want to show people this.
[1:04:08.000 --> 1:04:12.000]  The Penn State says the freedom to write.
[1:04:12.000 --> 1:04:13.000]  It's the EU.
[1:04:13.000 --> 1:04:14.000]  It's the globalist.
[1:04:14.000 --> 1:04:19.000]  There's no end that's trying to take the individual's right to write and to speak and to assemble.
[1:04:19.000 --> 1:04:27.000]  But she sits up there, this authoritarian witch, arrogantly in front of all these people.
[1:04:27.000 --> 1:04:36.000]  Ms. Clinton gave the Arthur Miller Freedom to Write lecture at Penn America's World Voice Festival in New York City.
[1:04:36.000 --> 1:04:39.000]  What a joke, ladies and gentlemen.
[1:04:39.000 --> 1:04:41.000]  Truly sickening.
[1:04:41.000 --> 1:04:43.000]  We'll be right back, ladies and gentlemen.
[1:04:43.000 --> 1:04:48.000]  M4Wars.com, NewsWars.com, PrisonPlanet.tv.
[1:04:48.000 --> 1:04:50.000]  Those are the sites they hate.
[1:04:50.000 --> 1:04:52.000]  Those are the sites they dread.
[1:04:52.000 --> 1:04:56.000]  The live feeds, the podcasts, the videos, all of it is kryptonite to these demons.
[1:04:56.000 --> 1:05:22.000]  All of it is sunlight to vampires.
[1:05:22.000 --> 1:05:29.000]  That's why the Last Surgeon General's report on oral health warns that your oral health can have a serious impact on your entire body.
[1:05:29.000 --> 1:05:32.000]  Super blue fluoride-free toothpaste is a groundbreaking new formula.
[1:05:32.000 --> 1:05:35.000]  It's loaded with good halogen iodine, said the bad halogen fluoride.
[1:05:35.000 --> 1:05:42.000]  Super blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[1:05:42.000 --> 1:05:52.000]  Just some of the ingredients in super blue chosen by our dental experts include xylitol, peppermint oil, iodine, nano silver and more.
[1:05:52.000 --> 1:05:59.000]  Learn more about M4Wars Life Super Blue toothpaste at M4WarsLife.com and support the M4Wars while you support healthy gums and teeth.
[1:05:59.000 --> 1:06:26.000]  M4Wars Life Super Blue toothpaste is a groundbreaking new formula.
[1:06:26.000 --> 1:06:31.000]  If you are receiving this transmission, you are the Resistance.
[1:06:31.000 --> 1:06:42.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[1:06:42.000 --> 1:06:51.000]  So Kanye West has come under fire, blasting thought police after he's attacked for endorsing conservative commentator.
[1:06:51.000 --> 1:06:56.000]  We have freedom of speech, but not freedom of thought.
[1:06:56.000 --> 1:07:01.000]  Alan West, Facebook, Google and Twitter are at war with conservatives online.
[1:07:01.000 --> 1:07:04.000]  It's time to fight back. I'm going to get into that article.
[1:07:04.000 --> 1:07:08.000]  Kanye West's embrace of black Trump supporter not well received.
[1:07:08.000 --> 1:07:11.000]  San Francisco Chronicle. Oh, by the leftist.
[1:07:11.000 --> 1:07:14.000]  All about, oh, you're not popular. You're not cool.
[1:07:14.000 --> 1:07:19.000]  Kanye West tweets admired controversial YouTuber Candace Owens.
[1:07:19.000 --> 1:07:24.000]  Sparks angry backlash and accusations that he is a black Donald Trump.
[1:07:24.000 --> 1:07:33.000]  How dare him talk about this woman that feminist groups contacted and tried to bully and then had groups harass her posing as conservatives.
[1:07:33.000 --> 1:07:36.000]  So they could try to take control of her media organization.
[1:07:36.000 --> 1:07:40.000]  How dare him stand up for her.
[1:07:40.000 --> 1:07:43.000]  Meanwhile, I was getting into Hillary Clinton.
[1:07:43.000 --> 1:07:56.000]  We're going to get back into that, but Tom Arnold has come out in a monstrous attack on Candace Owens and said, you need to suck racist, you know what?
[1:07:56.000 --> 1:08:06.000]  So you can make a sexually violent, you know, aggressive thing towards a woman, but only if you're a leftist, they can do whatever comment they want.
[1:08:06.000 --> 1:08:09.000]  They can say whatever they want. They can do whatever they want.
[1:08:09.000 --> 1:08:15.000]  It's okay. One correction here I need to make that I just noticed.
[1:08:15.000 --> 1:08:21.000]  I was watching this Hillary video this morning on info wars.com. Steve Watts, an article about it.
[1:08:21.000 --> 1:08:26.000]  And it had like what looked like Independence Hall when they showed the side shot.
[1:08:26.000 --> 1:08:28.000]  You can find that on the video for TV viewers.
[1:08:28.000 --> 1:08:30.000]  There's a shot where it's a side shot on the video.
[1:08:30.000 --> 1:08:34.000]  I know I watched this morning, you know, not the frontal shot in the video. It's a side shot.
[1:08:34.000 --> 1:08:40.000]  It's like Independence Hall. It's like Independence Hall and it says pin and all that. And I knew that she was a big buddy with Penn State and speaks there a lot.
[1:08:40.000 --> 1:08:49.000]  So I said, look at her speaking at Penn State, you know, where they had all the big problems and the compromise and the president arrested for covering up the pedophilia and Sandusky and all of it.
[1:08:49.000 --> 1:08:52.000]  And then I realized, I said, let me look into that where she was speaking.
[1:08:52.000 --> 1:08:55.000]  It's pin America, not associated with that.
[1:08:55.000 --> 1:09:05.000]  Pin America, a journal for writers and readers is an annual literary journal that features fiction, poetry, conversation, criticism, memoir, so no affiliation with Penn State.
[1:09:05.000 --> 1:09:12.000]  But I noticed, I'm just saying this, they've got a lady there in a group that's about the freedom to write and free speech was laudable by Penn America.
[1:09:12.000 --> 1:09:17.000]  So you're good for them. And their slogan, which was really blowing me away.
[1:09:17.000 --> 1:09:22.000]  I thought, does Penn State have that logo? I thought it's something else. I thought it was like a part of Penn State.
[1:09:22.000 --> 1:09:33.000]  So, you know, the point is here she is anti free speech saying get rid of free speech in the name of protecting free speech in her speech.
[1:09:33.000 --> 1:09:40.000]  It's just unbelievable. So back her speech up to the beginning because I want to play this in context.
[1:09:40.000 --> 1:09:48.000]  This is really, really out of control, ladies and gentlemen, that everything she says is exactly what they're actually doing.
[1:09:48.000 --> 1:09:55.000]  And then these big monopolies that get taxpayer money like Amazon, Google, Twitter, Facebook, that are caught doing all these horrible things, working with the Democrats.
[1:09:55.000 --> 1:09:59.000]  She wants a total ban on conservatives, libertarians, you name it, Europe's already doing it.
[1:09:59.000 --> 1:10:05.000]  And then she spins that and speaks at a pro free speech group.
[1:10:05.000 --> 1:10:07.000]  It's just incredible.
[1:10:07.000 --> 1:10:13.000]  So my conflating those two things, I apologize to Penn America for getting that wrong.
[1:10:13.000 --> 1:10:17.000]  But I do want to ask Penn America, are you going to say something about her being so anti free speech saying this?
[1:10:17.000 --> 1:10:24.000]  Let's go ahead and roll that video of her speaking.
[1:10:24.000 --> 1:10:35.000]  For anyone who thinks our country isn't vulnerable to propaganda or attempts to suppress free expression, you only have to look at the 2016 election.
[1:10:35.000 --> 1:10:37.000]  Stop it. Stop it. Stop it.
[1:10:37.000 --> 1:10:41.000]  I get we missed this in the fog of battle.
[1:10:41.000 --> 1:10:44.000]  Back the tape up to the beginning.
[1:10:44.000 --> 1:10:46.000]  So we got it backed up.
[1:10:46.000 --> 1:10:48.000]  Okay, here it is.
[1:10:48.000 --> 1:10:55.000]  Well, today we have a president who seems to reject the role of a free press in our democracy.
[1:10:55.000 --> 1:11:10.000]  Although obsessed with his own press coverage, he evaluates it based not on whether it provides knowledge or understanding, but solely on whether the daily coverage helps him and hurts his opponents.
[1:11:10.000 --> 1:11:15.000]  He has referred to the media as an enemy of the people.
[1:11:15.000 --> 1:11:21.000]  He has suggested that broadcast licenses of some news networks should be challenged.
[1:11:21.000 --> 1:11:26.000]  He wants to block the sale of CNN to AT&T for the same reason.
[1:11:26.000 --> 1:11:42.000]  And he has repeatedly threatened Amazon because Jeff Bezos also owns the Washington Post, a newspaper defying the odds and showing what many thought was a dying business model can be a success.
[1:11:42.000 --> 1:11:46.000]  For anyone who thinks our country isn't vulnerable to propaganda.
[1:11:46.000 --> 1:11:49.000]  You know, let's stop again right there. Hold on.
[1:11:49.000 --> 1:11:57.000]  Bezos is showing us that newspapers can be profitable again when the New York Times and all of these groups are running at a loss.
[1:11:57.000 --> 1:12:03.000]  They made a little bit of money during the election. They were totally imploding going bankrupt. They made a little bit of money during the election. They're all in free fall again.
[1:12:03.000 --> 1:12:08.000]  That's another lie. Everything she does is to prop up the establishment.
[1:12:08.000 --> 1:12:18.000]  Bezos is putting hundreds of millions a year into that organization and making staff cuts and taking their benefits because she's a good liberal and they love abuse.
[1:12:18.000 --> 1:12:20.000]  And then she says there are lies about that. Continue.
[1:12:20.000 --> 1:12:39.000]  Hillary isn't vulnerable to propaganda or attempts to suppress free expression. You only have to look at the 2016 election, which was a case study in the weaponization of false information and outright lies against our democracy.
[1:12:39.000 --> 1:12:51.000]  Hillary, what you always do is take things out of context or we do devil's advocate or we correct something, then you spin it. You're a known liar who had weaponized media against the American people.
[1:12:51.000 --> 1:13:03.000]  The same Google, Twitter, Facebook that the Arab Spring was influenced with in your own words.
[1:13:03.000 --> 1:13:09.000]  So again, let's continue. This is Hillary's speech from yesterday. Here it is.
[1:13:09.000 --> 1:13:31.000]  I know that Russian agents used Facebook, Twitter, Google, YouTube, even Pinterest. I still am trying to figure that one out. But they use these very well trafficked sites to place targeted attack ads and negative stories.
[1:13:31.000 --> 1:13:41.000]  Intended not only to hurt me, but more importantly and lastingly to fan the flames of division within our society.
[1:13:41.000 --> 1:13:49.000]  I'll stop again. I want to take this speech and then take the WikiLeaks and emails to her and email she's sending about how do we create division?
[1:13:49.000 --> 1:13:56.000]  I hate my supporters. They're dumb people in baristas. How do we fan the flames of cultural war? That's what the left does.
[1:13:56.000 --> 1:14:08.000]  It's come out in document after document. Soros documents came out a few months ago where they wanted to cause martial law in Maryland in 2015 to keep Obama in office and try to cause race war.
[1:14:08.000 --> 1:14:12.000]  Again, I can't listen anymore, but that's enough of her.
[1:14:12.000 --> 1:14:21.000]  When we come back, Zach is a great military intelligence source who's now in another area of the government slash private industry.
[1:14:21.000 --> 1:14:31.000]  He's been on TV. He's been on the radio before he's been in print. His name is Zach. The government knows who he has been picked up by the FBI twice, threatening him that he better not tell any secrets on air.
[1:14:31.000 --> 1:14:42.000]  When all he's doing is giving you views as a citizen who understands this stuff, he got picked up again and he is a brave person today in the San Francisco airport.
[1:14:42.000 --> 1:14:53.000]  We've not had contact with him in over 30 minutes and I've got all of his text messages here relayed via the producer to my phone and I'm going to go over what happened to him on the other side.
[1:14:53.000 --> 1:15:10.000]  He was going to be joining us. I had some other guests I canceled. He was going to be joining us in the third hour today. He was on yesterday and laid out plans by the globalist to launch false flags in this country to blame Trump and to try to destabilize everything.
[1:15:10.000 --> 1:15:19.000]  False flags aimed at the left. And obviously that's the next move. And then I have other sources basically saying the same things including high level CIA.
[1:15:19.000 --> 1:15:28.000]  And so continually it's the FBI in certain leftist offices like San Francisco, you notice, that just made their move.
[1:15:28.000 --> 1:15:41.000]  And of course now Al Qaeda and ISIS that have been supported by CNN and others in the Arab Spring, they now have videos and propaganda out that they're going to attack the fellow reserve, the CNN, the UN, to make it look like when those attacks come that those are good organizations.
[1:15:41.000 --> 1:15:53.000]  So look, ISIS attacked them. So that's what's going on. It's all coming up straight ahead. We were in a fight, a civil war for the future of this country. Please stay with us.
[1:15:53.000 --> 1:15:58.000]  News Wars.com. News Wars.com.
[1:16:23.000 --> 1:16:27.000]  Ready to eat bacon.com.
[1:16:53.000 --> 1:16:57.000]  886-3653. GoBerkey.com.
[1:17:23.000 --> 1:17:27.000]  That's BlackRifleRealEstate.com.
[1:17:54.000 --> 1:17:58.000]  Don't risk it when you can take charge of it.
[1:17:58.000 --> 1:18:05.000]  They use their media to assassinate real news. They use their schools to teach children that their president is another Hitler.
[1:18:05.000 --> 1:18:12.000]  They use their movie stars and singers and comedy shows and award shows to repeat their narrative over and over again.
[1:18:12.000 --> 1:18:36.000]  And then they use their ex-president to endorse the resistance, all to make them march, make them protest, make them scream racism and sexism and xenophobia and homophobia to smash windows, burn cars, shut down interstates and airports, bully and terrorize the law-abiding until the only option left is for the police to do their jobs and stop the madness.
[1:18:36.000 --> 1:18:52.000]  And when that happens, they'll use it as an excuse for their outrage. The only way we stop this, the only way we save our country and our freedom is to fight this violence of lies with a clenched fist of truth.
[1:18:52.000 --> 1:19:07.000]  I'm the National Rifle Association of America and I'm Freedom's Safest Place.
[1:19:23.000 --> 1:19:33.000]  Top scientists agree that aging is most likely caused by cellular damage, resulting from these reactive oxygen species.
[1:19:33.000 --> 1:19:46.000]  The antioxidants found in cell force are some of the most powerful available on the market. The stronger the antioxidant, the better its ability to scavenge for these reactive oxygen species and other free radicals.
[1:19:46.000 --> 1:19:58.000]  Boost, protect and adapt with cell force from InfoWarsLife. Head to InfoWarsLife.com or call 1-888-253-3139.
[1:20:16.000 --> 1:20:33.000]  We now take you live to the Central Texas Command Center in the heart of the Resistance. It's Alex Jones.
[1:20:47.000 --> 1:21:03.000]  Alright, we were going to have Zach on, who is a great intelligence source and worked in many different areas of the government, not to give us anything secret, but to give his research intelligent view on what's happening politically in the country.
[1:21:03.000 --> 1:21:21.000]  Now, yesterday he got into false flags being planned against the leftist organizations here in the country to make them even more victims in everybody's eyes so they can run around and call for conservative and libertarian and pro-Trump media to be banned because they're poor, dear, sweet little victims.
[1:21:21.000 --> 1:21:36.000]  Well, this came in at 10.45 and then I just go through the text messages until he went silent about 45 minutes ago at the San Francisco International Airport where he was preparing to fly out to Dubai on one of his missions.
[1:21:36.000 --> 1:21:45.000]  And he's declared national security, the FBI, the police are there, they're trying to get his hard drives. As of the times, they apparently took his cell phone, he went dark.
[1:21:45.000 --> 1:21:54.000]  He's been picked up twice before and taken into the military base. Well, once he was picked up, taken to the FBI, another time in Descentcom.
[1:21:54.000 --> 1:22:08.000]  And then they just go over his hard drives, everything to make sure he, quote, doesn't have anything classified. They're trying to threaten him to quit, quit speaking, even though his job is something that he's allowed to have those things, but has nothing to do with what he's saying on air.
[1:22:08.000 --> 1:22:19.000]  He got visited last week in Palo Alto to look at what he was doing by the FBI, even though it's within his job and he's supported by the group he's with.
[1:22:19.000 --> 1:22:26.000]  I am currently being detained at San Francisco International Airport by the Department of Homeland Security and two FBI agents.
[1:22:26.000 --> 1:22:42.000]  They are claiming an issue with external hard drives in one of my security team carry-on bags. Legal team en route from San Jose, war of words between everyone here, we won't unlock the hard drives.
[1:22:42.000 --> 1:22:47.000]  Demanding a warrant intimidation at its finest, this was planned.
[1:22:47.000 --> 1:22:56.000]  I am en route to Dubai and have had flight scheduled for over a week. Not the first time they've used TSA like this with me.
[1:22:56.000 --> 1:23:03.000]  All is on the up and up and I'll be good. I intend to eat breakfast and do an interview as scheduled once the terminal.
[1:23:03.000 --> 1:23:12.000]  I will keep you updated as this unfolds. We obviously razzled them on yesterday's show.
[1:23:12.000 --> 1:23:22.000]  We will keep you updated. Attorneys arriving very shortly. Doing all we can to make the flight. We'll get booked. Big meetings.
[1:23:22.000 --> 1:23:27.000]  Can't say the rest. And then it goes on. I know what it says on there. Thanks.
[1:23:27.000 --> 1:23:37.000]  Attorneys and local law enforcement going at it right now. This is complete BS. FBI has no integrity. They know exactly who I am.
[1:23:37.000 --> 1:23:44.000]  Plaming national security is ridiculous. Still fairly intense. I am silent to all questions asked. Hopefully it works out.
[1:23:44.000 --> 1:23:50.000]  Plaming my security guy was aggressive towards an agent because he would not allow them to take our hard drives.
[1:23:50.000 --> 1:23:56.000]  Law enforcement officer just told me to stay cool. We will get you out of here and thanks for your service.
[1:23:56.000 --> 1:24:00.000]  Knows me possibly. We'll keep you updated.
[1:24:00.000 --> 1:24:03.000]  Thanks. I know what it says. I'm not going to read that on there.
[1:24:03.000 --> 1:24:12.000]  Anyways, so that's what's going on in this country to intimidate free speech.
[1:24:12.000 --> 1:24:19.000]  Meanwhile, Hillary's at a free speech group talking about how we need to shut down free speech in the country.
[1:24:19.000 --> 1:24:29.000]  Simply mind blowing that this type of stuff goes on. And it gives me a headache to sit there and see it all unfold this way.
[1:24:29.000 --> 1:24:35.000]  But it's a fight. It's a war. It's on.
[1:24:35.000 --> 1:24:39.000]  Now, we have not heard back from Zach, so we don't really know what happened to him.
[1:24:39.000 --> 1:24:46.000]  But I think it's time for Zach to come on air and he's one of many, many sources I have. He's been a really good source.
[1:24:46.000 --> 1:24:53.000]  I noticed that all these so-called mainstream media outlets the day after the Vegas attack said,
[1:24:53.000 --> 1:25:05.000]  Jones just claimed on his phone that some random tip told him that the Vegas shooter was connected to gun running and the Middle East and all the rest of this.
[1:25:05.000 --> 1:25:09.000]  I was told face to face in the morning.
[1:25:09.000 --> 1:25:21.000]  What was going on, but was told to hold off till our source, face to face, who's worked for the CIA, you name it,
[1:25:21.000 --> 1:25:31.000]  got to go ahead. I then got texted the green light with what had been relayed to him to read it on air.
[1:25:31.000 --> 1:25:35.000]  I didn't read all of it on air because I thought some of it was not good to read on air.
[1:25:35.000 --> 1:25:42.000]  The media just goes, oh, Jones claims the source just randomly texting. No, it wasn't a source just randomly texting me.
[1:25:42.000 --> 1:25:52.000]  It was somebody who at 6.30 in the morning had been in my kitchen eating breakfast with me on the phone with the FBI hostage rescue team.
[1:25:52.000 --> 1:25:56.000]  You think they're a little pissed off that we have those sources? Yeah.
[1:25:56.000 --> 1:26:03.000]  They said, hold off at 8 in the morning after I was brief on what was going on.
[1:26:03.000 --> 1:26:10.000]  You'll be given what you can say if you choose to go with it when we text you.
[1:26:10.000 --> 1:26:19.000]  Boom. Get the text. I read it and the media spends it like I'm just sitting there making all of this up.
[1:26:19.000 --> 1:26:24.000]  That's what they do because they make stuff up all day. They have fake sources. They have all this fake garbage.
[1:26:24.000 --> 1:26:29.000]  What came out later? Saudi Arabian big event was happening there with the military.
[1:26:29.000 --> 1:26:33.000]  A conference. He was connected to gunrunning. They came in. He thought it was a gunrunning operation.
[1:26:33.000 --> 1:26:41.000]  He killed him, set him up, shot everything up. Civil war as a message to Trump, as a message to where he makes money, hotels, entertainment, casinos.
[1:26:41.000 --> 1:26:49.000]  He was a leftist hotel. The very floor was owned by the crown prince who now is turned against the globalist reportedly on the surface.
[1:26:49.000 --> 1:26:58.000]  And I already had all that intel. And Zach had the same intel and more. And Zach is somebody that's willing to go on air.
[1:26:58.000 --> 1:27:05.000]  Because one faction has told him, you do it, we'll back you. The other faction is really going after him. This is big boy stuff.
[1:27:05.000 --> 1:27:16.000]  This is the real world. And he's bucking and sort of other sources that sessions is good. Sessions is compromise, ladies and gentlemen.
[1:27:16.000 --> 1:27:26.000]  And QAnon keeps saying, oh no, you know, it's going to be good. Well, QAnon is not the end all be all. That's just another group of people that are, we think, patriots.
[1:27:26.000 --> 1:27:31.000]  You know, Carl Rove was on Fox this morning going, Trump doesn't have any Russian collusion.
[1:27:31.000 --> 1:27:36.000]  He needs to leave Mueller and Rosacy and everybody there. Stop acting guilty. You know, blah, blah, blah.
[1:27:36.000 --> 1:27:39.000]  We need to find out how the Russians control the election, though. That's another hoax he pushes.
[1:27:39.000 --> 1:27:45.000]  And no discussion from Carl Rove in two segments on Fox while I was on the elliptical this morning.
[1:27:45.000 --> 1:27:59.000]  No discussion from Carl Rove about Hillary and the WikiLeaks and the crimes and the Russians and Uranium One and the globalists and the Chinese communists and the infiltration and the secret servers.
[1:27:59.000 --> 1:28:10.000]  Never any of that. Just Trump better leave Mueller alone. He's a Boy Scout. No, Mueller and Comey aren't Boy Scouts. They're globalists. They're scumbags.
[1:28:10.000 --> 1:28:18.000]  They're out of control. They're covering up for the Clintons. And so I'm not scared of their ever widening fake investigation.
[1:28:18.000 --> 1:28:31.000]  Now in a stormy Daniels and ratings lawyer, I'm scared of them being out of control and a fifth branch of government that thinks it's God with this evil globalist anti-free speech media trying to stop an American recovery.
[1:28:31.000 --> 1:28:38.000]  The globalists are American haters. They've been recruited because they are. They're our enemies.
[1:28:38.000 --> 1:28:42.000]  And after two years of a witch hunt, nothing's been found, so they're expanding it.
[1:28:42.000 --> 1:28:50.000]  Carl Rove needs to go back to his normal business and getting into the Republican money and making sure it doesn't go to any good use, so he can buy more big houses.
[1:28:50.000 --> 1:28:57.000]  Stick a fork in turd blossom. He was done the day George W. crapped him into a Tolek Bowl.
[1:28:57.000 --> 1:29:08.000]  Healthcare reform is confusing, but whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the health care system has become a challenge.
[1:29:08.000 --> 1:29:20.000]  Control your own health care costs and choices with Liberty Health Share. Liberty Health Share is not insurance. It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs.
[1:29:20.000 --> 1:29:27.000]  We're helping neighbors. Learn more now by going to libertyoncall.org. That's libertyoncall.org.
[1:29:50.000 --> 1:29:55.000]  ThinkTV should be part of your security solution. Be vigilant, but not fearful.
[1:29:55.000 --> 1:30:20.000]  ThinkTV.com.
[1:30:25.000 --> 1:30:33.000]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue, and organ in the body.
[1:30:33.000 --> 1:30:40.000]  With inadequate thyroid hormones, you may experience slow metabolism, lethargy, weight gain, and overall brain fog.
[1:30:40.000 --> 1:30:58.000]  Survival Shield X2 and BioTrue Selenium work together to support the systems in your body. Take control of your chemistry today with this super combo. Discover the power of Survival Shield X2 and BioTrue Selenium at infowarslife.com.
[1:31:11.000 --> 1:31:20.000]  At infowarslife.com is loaded with a full month supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[1:31:20.000 --> 1:31:34.000]  In the history of infowarslife, we've brought out a lot of amazing products like Survival Shield X2, SuperMail Vitality, and so many others with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[1:31:34.000 --> 1:31:47.000]  This formula is the platinum standard of multivitamin mineral products, and this part is most important. The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[1:31:47.000 --> 1:31:58.000]  That means it's clean, that means it's pure, and rest-secured, you're fighting the tip of the spear in the info war. That's infowarslife.com and vitamin mineral fusion. Take action now before we sell out.
[1:31:58.000 --> 1:32:07.000]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself and a gift to the info war to fight the globalist and live in a free society.
[1:32:07.000 --> 1:32:20.000]  Several years ago, I set out with top formulators in the U.S. to create the strongest, most concentrated, over-the-top stamina, libido, workout, brain formula that is safe.
[1:32:20.000 --> 1:32:31.000]  I know from using this myself the last few months, and from seeing my friends and family use it, that this new product is going to end up being the number one best-selling product at infowarslife.com because it works so well.
[1:32:31.000 --> 1:32:44.000]  This is a gift you want to give yourself, and then rest assured you're fighting the info war so it's a total absolute sure win, no lose equation. Try Alpha Power, exclusively available at infowarslife.com for yourself.
[1:32:44.000 --> 1:32:50.000]  Ladies and gentlemen, it's non-GMO. It's for your brain, it's for sports, it's for activities, and it's made in the U.S.A.
[1:32:50.000 --> 1:33:18.000]  Get your Alpha Power today at infowarslife.com. Everybody needs to try Alpha Power today.
[1:33:18.000 --> 1:33:36.000]  Relentlessly attacking the power structure, you're listening to Alex Jones.
[1:33:36.000 --> 1:33:51.000]  Alright, Zach, with his security detail, going to Dubai, very busy fellow, and when his identity comes out, people are going to go, wow, because this guy was in the news ten years ago, and five years ago.
[1:33:51.000 --> 1:33:58.000]  I mean, he's run operations, and he's been a patriot that stands up and speaks out. It's like Tosh Plumling.
[1:33:58.000 --> 1:34:06.000]  Now, when 80 something years old, he's now right at 80, he's retired to South America for his safety. They were trying to kill him.
[1:34:06.000 --> 1:34:15.000]  Tosh Plumling was the main church committee witness, and then he was the main witness on Iran Contra, and then he was friends with El Chapo.
[1:34:15.000 --> 1:34:20.000]  I mean, he's a living legend. Had him on air, listeners, most of them didn't get what was happening.
[1:34:20.000 --> 1:34:29.000]  He exposed the whole Benghazi deal. He blew the whole thing wide open first here, and I can't tell you the things they did to him.
[1:34:29.000 --> 1:34:37.000]  He is now left to South America.
[1:34:37.000 --> 1:34:47.000]  And it's the same thing. Tosh Plumling was friends with Fidel Castro and flew him his first guns in the late 50s.
[1:34:47.000 --> 1:34:58.000]  He was still flying missions in his late 70s, and then three years ago, retired.
[1:34:58.000 --> 1:35:03.000]  All right, we just got ahold of Zach. They just gave him his cell phone back. He will be out of the detention area.
[1:35:03.000 --> 1:35:12.000]  He says in 10 minutes, and will exclusively be on for only a few, but they may already miss their flight to Dubai, so we'll see what happens.
[1:35:12.000 --> 1:35:22.000]  So I've got that information coming in.
[1:35:22.000 --> 1:35:37.000]  You know, if America knew how real this was, we would fix this so quickly, but they put out all this background BS, all this background garbage, and then people don't know what's really real.
[1:35:37.000 --> 1:35:49.000]  And then they'll take real issues we're covering, but then a mistake about how we covered it and make it all about that instead of the whole larger enchilada and play games.
[1:35:49.000 --> 1:35:56.000]  But they fear us because they fear you. They fear free speech, and they believe they can shut in full wars down. They went.
[1:35:56.000 --> 1:36:03.000]  Now here's the deal. I had other guests coming on. I've cleaned the boards off. Zach was going to be on next hour. He can only be on for a few minutes next segment if he gets through.
[1:36:03.000 --> 1:36:15.000]  So we're going to have open phones in the third hour. Then in the fourth hour, Lionel always does a great job. He's going to be on.
[1:36:15.000 --> 1:36:21.000]  Paul Watson is going to come on Friday. Those people are so interested in it. He's so private.
[1:36:21.000 --> 1:36:27.000]  And since they have all these fake news articles out about Paul, he's not going to respond to their lies specifically.
[1:36:27.000 --> 1:36:33.000]  But we're going to talk about the 10 biggest stories he's ever broken and been part of for the first half of an hour.
[1:36:33.000 --> 1:36:37.000]  And in the second half, we're going to talk about Paul Watson and his awakening.
[1:36:37.000 --> 1:36:44.000]  And now he has, let's not exaggerate, 50 million fans.
[1:36:44.000 --> 1:36:50.000]  And now the globalists are obsessed with him if he would really take it to the next level.
[1:36:50.000 --> 1:36:55.000]  And what it's really been like behind the scenes.
[1:36:55.000 --> 1:37:03.000]  Alex Jones protégé Paul Watson is about to steal his crackpot crown.
[1:37:03.000 --> 1:37:11.000]  I mean, the articles of manipulation try to cause trouble in my office and the dream of getting Paul to not work with us.
[1:37:11.000 --> 1:37:24.000]  And the idea that Paul wasn't supporting Trump early on, but Jones was, but then Jones threatened him, sources say.
[1:37:24.000 --> 1:37:28.000]  I don't tell people that I hire and I trust what to say.
[1:37:28.000 --> 1:37:36.000]  Jacarie Jackson didn't like Trump. He talked about it all the time. He'd been here four years. He's a classy guy.
[1:37:36.000 --> 1:37:39.000]  He said, I'm going to go do comic books. It's been great.
[1:37:39.000 --> 1:37:45.000]  Viacindios. That's a classy guy.
[1:37:45.000 --> 1:37:48.000]  No one here has been told what to say or what to do.
[1:37:48.000 --> 1:37:55.000]  They just been told, try to get your facts as good as you can. If you make a mistake, retract it immediately.
[1:37:55.000 --> 1:38:06.000]  But you just read this stuff and it's like, Jones paid watching what people were paid in a year, a month.
[1:38:06.000 --> 1:38:13.000]  People are paid $5,000 a year.
[1:38:13.000 --> 1:38:18.000]  Paul was paid nothing the first two years he was here.
[1:38:18.000 --> 1:38:22.000]  Then he was paid a couple thousand a month.
[1:38:22.000 --> 1:38:31.000]  And then up to like, I don't get his private stuff, but I mean, then he hired his brother and I was paying him 10 grand a month for him and his brother in London.
[1:38:31.000 --> 1:38:37.000]  That is, I mean, you know, I mean, and I pay Paul a little bit more now, but my goodness, he deserves more.
[1:38:37.000 --> 1:38:48.000]  I mean, he's a great journalist that works 16 hours a day and you just read this total fiction things and they assault everyone you know, your family, people that work for you.
[1:38:48.000 --> 1:38:51.000]  They tell lies. It's just crazy.
[1:38:51.000 --> 1:38:53.000]  But you know what they're going to do?
[1:38:53.000 --> 1:39:01.000]  I've got Paul this close to opening a London bureau and organizing other talk show host and a bunch of other stuff.
[1:39:01.000 --> 1:39:08.000]  And I think I think them harassing him has got him ready because they're so scared. He spreads his wings.
[1:39:08.000 --> 1:39:12.000]  They write the article like I'm keeping him in a basement and I tell him what to say.
[1:39:12.000 --> 1:39:14.000]  And I'm mad that he's successful.
