[00:00:00.269 --> 00:00:01.230]  BREAKING THE CONDITIONING!
[00:35:27.779 --> 00:35:31.242]  The president's telling you he quarterbacked this from January 20th.
[00:35:31.242 --> 00:35:33.704]  First thing he did was go in there and find out.
[00:35:33.704 --> 00:35:35.425]  Okay, who did the unmasking?
[00:35:35.425 --> 00:35:36.666]  The former president, sir.
[00:35:36.666 --> 00:35:38.487]  Here's the order, here's the FISA document.
[00:35:38.487 --> 00:35:39.288]  Heads up, displays.
[00:35:39.288 --> 00:35:41.550]  He was given three hour briefings, I'm told.
[00:35:41.550 --> 00:35:42.811]  I know some of the folks that were in the room.
[00:35:44.292 --> 00:35:46.573]  Outside the room, getting the further reports.
[00:35:46.573 --> 00:35:49.353]  Then he marched over to the CIA, then the NSA.
[00:35:49.353 --> 00:35:57.595]  He pulled it all up, looked at it all, saw how they tracked him, followed him, listened to everything, tried to put people on him, tried to set him up with the Russians.
[00:35:57.595 --> 00:36:05.757]  And then he sat back while they lied and let them set themselves up, perjuring themselves to Congress when he knew everything they were doing.
[00:36:06.597 --> 00:36:11.760]  He even let McCabe and Comey come in and perjure themselves to Congress, lie to him face-to-face.
[00:36:11.760 --> 00:36:13.521]  He played dumb the whole time.
[00:36:13.521 --> 00:36:16.542]  And now we can tell you what we did to you, scum.
[00:36:16.542 --> 00:36:18.624]  We set you up the whole time.
[00:36:18.624 --> 00:36:20.064]  Hope you enjoy yourselves.
[00:36:20.064 --> 00:36:28.289]  Part of the story that Mueller was secretly on the President's side, the only truth to that was, is that the President was setting them up the whole time.
[00:36:30.419 --> 00:36:33.402]  Fools, your arrogance is what will destroy you.
[00:36:33.402 --> 00:36:35.384]  Excuse me, let me just get back into this, I'm sorry.
[00:36:35.384 --> 00:36:38.086]  Just, if you know how to read this stuff, see what the letter says.
[00:36:38.086 --> 00:36:40.268]  The President released this.
[00:36:40.268 --> 00:36:41.929]  The President did this.
[00:36:41.929 --> 00:36:43.691]  The President gave it to Congress.
[00:36:43.691 --> 00:36:45.673]  The President met, of course he did.
[00:36:45.673 --> 00:36:54.301]  It's his authority to give the intelligence on criminal groups inside our country trying to overthrow our election and our Republic and shut down the free press.
[00:36:55.472 --> 00:36:57.554]  They keep asking, has Nunes met with the President?
[00:36:57.554 --> 00:36:58.654]  Has Nunes talked about this?
[00:36:58.654 --> 00:36:59.755]  Of course he has!
[00:36:59.755 --> 00:37:01.296]  It's what the President's supposed to do!
[00:37:01.296 --> 00:37:03.058]  You are an outside threat!
[00:37:03.058 --> 00:37:06.440]  You are enemy combatants!
[00:37:06.440 --> 00:37:09.182]  Let's continue, ladies and gentlemen.
[00:37:09.182 --> 00:37:20.250]  The Supreme Court has recognized it is the President's responsibility to classify and declassify and control access to information bearing on our intelligence sources and methods and national defense.
[00:37:20.250 --> 00:37:22.332]  See, they forgot who they are in the government.
[00:37:22.332 --> 00:37:23.553]  They're there to serve the people.
[00:37:24.494 --> 00:37:36.636]  In order to facilitate appropriate congressional oversight, the executive branch may entrust classified information to the appropriate committee of Congress as it is done in connection with the committee's oversight activities here.
[00:37:38.715 --> 00:37:47.267]  The executive branch does so on the assumption that the committee will responsibly protect such classified information consistent with the laws of the United States.
[00:37:47.267 --> 00:37:51.233]  The committee has now determined that the release of the memorandum would be appropriate.
[00:37:51.233 --> 00:37:55.158]  The executive branch across administrations, both parties, has worked to accommodate
[00:37:55.919 --> 00:37:59.640]  Congressional request to declassify specific materials in the public interest.
[00:37:59.640 --> 00:38:02.380]  He gave the investigation to the proper body, the House.
[00:38:02.380 --> 00:38:03.061]  They investigated.
[00:38:03.061 --> 00:38:04.521]  They said, yes, this is terrible.
[00:38:04.521 --> 00:38:06.241]  And now, boom.
[00:38:06.241 --> 00:38:14.923]  However, public release of classified information by unilateral actions of the legislative branch is extremely rare and raises significant separation of powers concerns.
[00:38:14.923 --> 00:38:21.565]  Accordingly, the committee's request to release them at random is interpreted as a request for declassification pursuant to the President's authority.
[00:38:22.318 --> 00:38:25.099]  So he did it, again, as the President.
[00:38:25.099 --> 00:38:25.959]  He initiated it.
[00:38:25.959 --> 00:38:28.800]  He gave it to the investigative body, the House.
[00:38:28.800 --> 00:38:30.381]  That's an impeachment or any other matter.
[00:38:30.381 --> 00:38:32.001]  They began the investigation.
[00:38:32.001 --> 00:38:39.544]  And now, the indictment has been handed back to the American people.
[00:38:39.544 --> 00:38:41.545]  Powerful.
[00:38:41.545 --> 00:38:42.485]  Powerful.
[00:38:42.485 --> 00:38:44.726]  You ought to be ashamed of yourself, what the President just said.
[00:38:47.096 --> 00:38:54.018]  The committee has now determined that the release of the memorandum would be appropriate.
[00:38:54.018 --> 00:38:55.219]  Under the President's authority.
[00:38:55.219 --> 00:38:59.120]  The President understands that the protection of our national security represents his highest obligations.
[00:38:59.120 --> 00:39:06.543]  Accordingly, he has directed lawyers and national security staff to assess for the declassification request consistent with the establishment standards.
[00:39:09.358 --> 00:39:16.960]  Governing the handling of classified information, including those under Section 3.1D of Executive Order 13526.
[00:39:16.960 --> 00:39:24.963]  Those standards permit the classification when the public interest is disclosure, outweighs any need to protect the information.
[00:39:25.851 --> 00:39:28.433]  That's a repeat of the National Security Act, basically, as well.
[00:39:28.433 --> 00:39:34.177]  The White House review process has included input from the Office of the Director of National Intelligence.
[00:39:34.177 --> 00:39:40.301]  Uh-huh, that's who originally released the actual heart of the matter, the main internal memo.
[00:39:40.301 --> 00:39:45.604]  The White House review process also includes input from the Office of the Director of National Intelligence, the Department of Justice.
[00:39:45.604 --> 00:39:51.068]  Consistent with the review of these standards, the President has determined declassification of the memorandum is appropriate.
[00:39:52.113 --> 00:39:56.556]  The same program went on to release this to the public, the one we released last week.
[00:39:56.556 --> 00:40:04.102]  Based on this assessment and in light of the significant public interest in the memorandum, the president has authorized the classification of the memorandum.
[00:40:04.102 --> 00:40:07.764]  To be clear, the memorandum reflects the judgments of his congressional authors.
[00:40:07.764 --> 00:40:12.208]  The president understands that oversight concerns matters related to the memorandum may be continuing.
[00:40:13.007 --> 00:40:30.126]  Though the circumstances leading to the declassification through the process are extraordinary, the Executive Branch stands ready to work with Congress to accommodate oversight requests consistent with applicable standards and process including the need to protect intelligence sources and methods.
[00:40:30.126 --> 00:40:31.328]  Let me... Let me...
[00:40:34.386 --> 00:40:35.486]  Boil that down for you.
[00:40:35.486 --> 00:40:48.149]  We got a lot more we're going to give to Congress that will dwarf this if the Democrats and the globalists and the corrupt people at the top of the FBI don't roll over.
[00:40:48.149 --> 00:40:58.732]  If you don't roll over, and if you keep having this war to try to stop the recovery and all the rest of it, we got everything on you, Jack, just like our military source, Jack, was saying.
[00:40:58.732 --> 00:41:01.132]  They got everything, all of it.
[00:41:01.132 --> 00:41:03.033]  And if you want to play hardball, let's do it.
[00:41:03.962 --> 00:41:06.865]  Soros and all of you, just keep pushing.
[00:41:06.865 --> 00:41:07.845]  No one stood up to you.
[00:41:07.845 --> 00:41:10.508]  You had a Republican leadership that you were in bed with before.
[00:41:10.508 --> 00:41:16.773]  You're facing opposition that now has the presidency, most of the states, and most of the courts.
[00:41:16.773 --> 00:41:19.235]  You will be defeated.
[00:41:19.235 --> 00:41:24.540]  Only a nuke attack, taking out the president and the Republican leadership like they could have done at that West Virginia event.
[00:41:25.120 --> 00:41:26.420]  With the whole situation.
[00:41:26.420 --> 00:41:28.201]  I mean, they shouldn't all be in one place at one time.
[00:41:28.201 --> 00:41:29.361]  I don't think that's smart.
[00:41:29.361 --> 00:41:31.142]  Unless the Democrats are there as well.
[00:41:31.142 --> 00:41:33.442]  And they still might wipe out their own people in a sacrifice.
[00:41:33.442 --> 00:41:36.903]  I mean, these are serious people we're up against, okay?
[00:41:36.903 --> 00:41:41.485]  I mean, George Soros was happy to round up thousands of fellow Jews and send them off to death camps.
[00:41:41.485 --> 00:41:43.005]  And the left loves him for that.
[00:41:43.005 --> 00:41:44.225]  They think that's powerful.
[00:41:44.225 --> 00:41:45.926]  They like that.
[00:41:45.926 --> 00:41:46.686]  Let's continue here.
[00:41:50.819 --> 00:42:01.823]  So that is released to the Speaker of the House by the President and to the Honorable Adam Schiff, Ranking Member of the House Permanent Select Committee on Intelligence.
[00:42:01.823 --> 00:42:10.266]  So that is the letter from the President's lawyer explaining that Trump learned of this secret information as the President, the criminal activity.
[00:42:10.266 --> 00:42:18.689]  He then gave it to the House Intelligence Committee and they have now handed the indictment to the public.
[00:42:19.531 --> 00:42:26.517]  And that's why you'd see headlines like, the White House is getting their intel from InfoWars because they're the ones saying that Trump was being spied on.
[00:42:26.517 --> 00:42:27.638]  That was all made up.
[00:42:27.638 --> 00:42:33.623]  We knew because the Democrats had bragged about it during the campaign, thinking that Hillary would win.
[00:42:33.623 --> 00:42:35.564]  So it's just amazing.
[00:42:35.564 --> 00:42:38.426]  So here you go, ladies and gentlemen, we come back.
[00:42:39.505 --> 00:42:43.331]  The actual four-page memo, I will read it on air.
[00:42:43.331 --> 00:42:50.362]  That was the hors d'oeuvre at explaining the attack profile, the legalness of this, and what's coming next.
[00:42:50.362 --> 00:42:53.166]  Now, we'll go to the memo itself on the other side.
[00:42:53.166 --> 00:42:54.228]  InfoWars.com.
[00:42:54.228 --> 00:42:54.589]  Stay with us.
[00:42:59.983 --> 00:43:00.783]  I'm so excited.
[00:43:00.783 --> 00:43:10.929]  The new product at Infowarslife.com, in a glass bottle, two month servings, filled to the brim, filled to the absolute top, the real red pill.
[00:43:10.929 --> 00:43:19.453]  This is a heart and brain pill, a nootropic that doesn't have any stimulants in it, but boy does it stimulate, because it's beyond that.
[00:43:19.453 --> 00:43:28.237]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200.
[00:43:30.319 --> 00:43:49.915]  For the formulae, and I came up with our own formula working with some scientists and developers, non-GMO, made right here in America, 120 capsules, and ladies and gentlemen, you add the preglanone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[00:43:49.915 --> 00:43:52.597]  It is amazing!
[00:43:52.597 --> 00:43:57.561]  Red Pilt, now available at InfoWarsStore.com, and your purchase fugs the operation.
[00:43:59.389 --> 00:44:11.501]  Top scientists and researchers agree we are being hit by toxic weapons in the food and water supply that are making us fat, sick, and stupid.
[00:44:11.501 --> 00:44:12.882]  So what do we do about it?
[00:44:12.882 --> 00:44:16.205]  Well, for starters, don't just sit there and take it.
[00:44:16.205 --> 00:44:22.311]  Fight back with the all-new supercharged Brain Force Plus and feel the rush
[00:44:22.691 --> 00:44:23.951]  Without the crash!
[00:44:23.951 --> 00:44:30.293]  RainForce Plus is the next generation of advanced neural activation and nootropics.
[00:44:30.293 --> 00:44:36.115]  And now we've added a brand new ingredient called Black Pepper Fruit Extracts.
[00:44:36.115 --> 00:44:38.096]  It gives you an added kick!
[00:44:38.937 --> 00:44:51.669]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state of mind.
[00:44:51.669 --> 00:44:52.991]  It's the real deal.
[00:44:52.991 --> 00:44:54.732]  Brain Force Plus.
[00:44:54.732 --> 00:44:58.076]  Secure your bottle right now at InfoWarsStore.com.
[00:45:00.407 --> 00:45:20.399]  I want to plow into all of this, but I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts, or water filtration systems, or books, or videos, or other materiel from InfoWarsTore.com, you are funding the revolution.
[00:45:20.399 --> 00:45:22.501]  I mean, I cannot say it any clearer.
[00:45:22.501 --> 00:45:26.503]  And so it is essential that you purchase the products at InfoWarsTore.com.
[00:45:26.503 --> 00:45:27.524]  And I want to thank everybody that has.
[00:45:27.944 --> 00:45:36.130]  We've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine, and you cannot beat that for children and adults.
[00:45:36.130 --> 00:45:38.771]  We've got the best mouthwash designed by Dr. Jones.
[00:45:38.771 --> 00:45:41.573]  That's my dad, with colloidal silver and iodine as well.
[00:45:41.573 --> 00:45:44.075]  Infowarslife.com or 888-253-3139.
[00:45:44.075 --> 00:45:53.261]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[00:45:53.261 --> 00:45:57.704]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[00:46:00.585 --> 00:46:08.050]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense Probiotic.
[00:46:08.050 --> 00:46:21.257]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[00:46:22.197 --> 00:46:34.085]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[00:46:34.085 --> 00:46:40.049]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[00:46:40.809 --> 00:46:49.835]  Secure your biome defense in ultra strength or regular strength at InfoWarsLife.com today and get started supporting your digestive system naturally.
[00:46:49.835 --> 00:47:02.903]  We've been testing this formula for years, but this is the limited first run to the public, so please take advantage of it today, support your own health, and support the InfoWar.
[00:47:02.903 --> 00:47:05.525]  You're listening to the Alex Jones Show.
[00:47:12.008 --> 00:47:12.229]  Yeah.
[00:47:36.718 --> 00:47:38.819]  Ladies and gentlemen, I'm your host Alex Jones.
[00:47:38.819 --> 00:47:41.439]  Thank you so much for joining us.
[00:47:41.439 --> 00:47:57.283]  I gotta tell you, reading the two-page cover letter that the President's lawyer wrote tells you more than the memo itself does, it's exactly what Congressman Gates earlier this week told us it would be.
[00:47:57.283 --> 00:48:00.724]  It is.
[00:48:00.724 --> 00:48:02.485]  It is exactly what we knew it would be.
[00:48:03.519 --> 00:48:13.604]  It is a codified indictment of the compendium of what we know with the Democrats organizing this fraud to stop Trump from becoming president.
[00:48:13.604 --> 00:48:18.506]  And then once he was elected to try to remove him from the presidency, a classic conspiracy.
[00:48:18.506 --> 00:48:20.027]  And we have their text messages.
[00:48:20.027 --> 00:48:20.787]  We have witnesses.
[00:48:20.787 --> 00:48:21.808]  We have all of it.
[00:48:21.808 --> 00:48:24.809]  But Trump's being very judicious.
[00:48:24.809 --> 00:48:27.170]  As president, he learned of it.
[00:48:27.170 --> 00:48:29.912]  He then sent it to the House, the intelligence.
[00:48:31.018 --> 00:48:34.181]  They investigated, said, yes, this is really horrible.
[00:48:34.181 --> 00:48:41.729]  And now the President says, well, if you need more information, we'll have to have it reviewed by the Director of National Intelligence and by the Justice Department.
[00:48:41.729 --> 00:48:43.191]  We'll send that on over to you.
[00:48:43.191 --> 00:48:45.213]  So what it really is is a giant warning.
[00:48:45.213 --> 00:48:47.015]  We caught you.
[00:48:47.015 --> 00:48:47.976]  We have you red-handed.
[00:48:49.255 --> 00:48:51.076]  Stop denying it.
[00:48:51.076 --> 00:48:53.218]  We don't want to, quote, hurt the FBI.
[00:48:53.218 --> 00:48:55.439]  We don't want to put you all in prison.
[00:48:55.439 --> 00:48:57.100]  You need to stop.
[00:48:57.100 --> 00:48:58.561]  Now you're fraud.
[00:48:58.561 --> 00:48:59.822]  You've been caught.
[00:48:59.822 --> 00:49:02.663]  You're the ones up to your eyeballs with the Russians.
[00:49:02.663 --> 00:49:06.526]  But just as I've told the president every time I've talked to him, they're never going to stop.
[00:49:06.526 --> 00:49:08.307]  And if they make deals, sir, they're going to break them.
[00:49:09.144 --> 00:49:10.265]  And they do.
[00:49:10.265 --> 00:49:12.987]  Because they're so used to being in power.
[00:49:12.987 --> 00:49:19.592]  You look at Pelosi and Schumer and, I mean, they look like crazy villains out of a Batman movie or something.
[00:49:19.592 --> 00:49:24.215]  I mean, Batman villains don't look that nutty and that ugly.
[00:49:24.215 --> 00:49:27.558]  I mean, look at Schumer, the way he was acting, and Michael Moore.
[00:49:27.558 --> 00:49:36.184]  I mean, these are really a bunch of losers who know they're losers, so they crave running everything because they're such sacks of garbage.
[00:49:36.184 --> 00:49:36.705]  But enough of that.
[00:49:38.134 --> 00:49:39.895]  The memo is everything we already knew.
[00:49:39.895 --> 00:49:51.604]  It just lines it up and lets Congress tell the public what they found and then let the establishment know, this is a big warning to you.
[00:49:51.604 --> 00:49:53.366]  Get out of the way of America's recovery.
[00:49:53.366 --> 00:49:54.327]  Stop your lies.
[00:49:54.327 --> 00:49:55.568]  Stop your fraud.
[00:49:55.568 --> 00:49:57.129]  And they can't stop.
[00:49:58.137 --> 00:50:04.339]  They're going to come out, they're going to attack this, they're going to lie, they can't help it, and then more is just going to get released.
[00:50:04.339 --> 00:50:05.820]  And Mueller's not going to stop.
[00:50:05.820 --> 00:50:10.942]  He's going to have a grand jury and indict a sitting president, never before been done, isn't even constitutional.
[00:50:10.942 --> 00:50:20.925]  And they've got Politico articles and Reuters articles every day saying, well, lawyers now say Trump could be removed by a jury.
[00:50:20.925 --> 00:50:22.626]  Well, then there's no separation of powers.
[00:50:22.626 --> 00:50:25.047]  The jury is the House of Representatives.
[00:50:27.244 --> 00:50:28.084]  They're the grand jury.
[00:50:28.084 --> 00:50:30.125]  The jury's the Senate.
[00:50:30.125 --> 00:50:31.026]  That's how it works.
[00:50:31.026 --> 00:50:41.910]  Or any town in America could get their cousins together on a jury and say the president's... I mean, Travis County would have had Trump indicted before he ever got into office.
[00:50:41.910 --> 00:50:46.692]  I live in the Democratic county that's always indicting Republicans around the state and trying to put them in prison.
[00:50:46.692 --> 00:50:54.615]  They always get overturned, whether it's Rick Perry or Tom DeLay, but that's what they do.
[00:50:57.295 --> 00:50:59.756]  They're not all corrupt.
[00:50:59.756 --> 00:51:02.096]  But when it comes to politics, Travis County is famous for it.
[00:51:02.096 --> 00:51:03.596]  So that's what they're doing.
[00:51:03.596 --> 00:51:11.058]  And the word is now Trump's being told they are planning to indict you for perjury.
[00:51:11.058 --> 00:51:14.499]  And there's not even evidence of obstruction or perjury there.
[00:51:14.499 --> 00:51:19.720]  All the evidence is the Democrats and the FBI agents lying to Congress, but lying to the FISA Court.
[00:51:19.720 --> 00:51:20.960]  And that's the key.
[00:51:20.960 --> 00:51:25.961]  That's why the Director of National Intelligence that Trump puts at the end of the letter released the
[00:51:27.128 --> 00:51:28.048]  Declassified memo.
[00:51:28.048 --> 00:51:30.529]  It was the President who declassified the body.
[00:51:30.529 --> 00:51:31.909]  Just took the names out of who did it.
[00:51:31.909 --> 00:51:32.330]  And that's it.
[00:51:32.330 --> 00:51:34.210]  It's the names of them going and lying to get it.
[00:51:34.210 --> 00:51:39.592]  I know I keep repeating that, but you're not seeing anywhere in the media as usual what this is.
[00:51:39.592 --> 00:51:43.613]  It's a threat from the President to them that we have you by the short hairs.
[00:51:43.613 --> 00:51:47.694]  You better back off right now.
[00:51:47.694 --> 00:51:51.135]  And we've caught you in perjury in Congress and to the FISA Court.
[00:51:51.135 --> 00:51:53.176]  And I keep repeating this because it's bombshell.
[00:51:54.909 --> 00:52:01.130]  That Trump says in a letter, that's attached to the FISA memo, what the next game plan is.
[00:52:01.130 --> 00:52:04.371]  He spells it out!
[00:52:04.371 --> 00:52:08.691]  Where the lawyers at the DNC, 1000% get exactly what he's saying.
[00:52:08.691 --> 00:52:10.652]  So here it is, January 18, 2018.
[00:52:10.652 --> 00:52:17.313]  This is the secret memo that was finished in January.
[00:52:17.313 --> 00:52:21.113]  Two weeks ago, roughly.
[00:52:21.113 --> 00:52:23.734]  And they lay out the purpose, the investigative update.
[00:52:24.588 --> 00:52:26.230]  A whole roadmap, and then what they found.
[00:52:26.230 --> 00:52:32.075]  And I read it, and it's exactly everything you've already heard here over and over again.
[00:52:32.075 --> 00:52:46.409]  And they've had people testify in the DOJ meetings, not just the documents, that oarstruck all of them, were desperate that Donald Trump not get elected, and was passionate about him not being president.
[00:52:46.409 --> 00:52:47.630]  And they now have this from
[00:52:52.056 --> 00:52:58.901]  The deputy head of the FBI, who's sung like a canary.
[00:52:58.901 --> 00:53:04.026]  And that's why the Democrats are crapping themselves up one side and down the other.
[00:53:04.026 --> 00:53:06.628]  They are in conniption fits.
[00:53:06.628 --> 00:53:11.331]  Oh, who's the FBI informant?
[00:53:11.331 --> 00:53:16.075]  The disgraced McCabe, who just resigned a few days ago.
[00:53:16.075 --> 00:53:19.958]  Okay, you may not go to prison, but you're out of the FBI.
[00:53:19.958 --> 00:53:20.459]  Get out of here.
[00:53:21.496 --> 00:53:22.456]  You go!
[00:53:22.456 --> 00:53:24.137]  You ought to be ashamed of yourself.
[00:53:24.137 --> 00:53:33.719]  And Trump is signaling, be ashamed of yourselves, be ashamed of yourselves, stop trying to organize killing me and all the rest of it, and I'm telling you, they can't stop.
[00:53:33.719 --> 00:53:35.080]  You think Mueller's going to stop?
[00:53:35.080 --> 00:53:36.880]  That nut thinks he's the president.
[00:53:36.880 --> 00:53:39.981]  He thinks we elected him.
[00:53:39.981 --> 00:53:44.342]  Wow, this is just incredible.
[00:53:44.342 --> 00:53:49.244]  Let me read into the most important parts of this, and then I'll come back in and get into more of it as well.
[00:53:50.708 --> 00:53:52.694]  But this is simply amazing.
[00:53:52.694 --> 00:53:58.109]  Here it is on page three.
[00:54:01.371 --> 00:54:08.293]  It gets into it, just as we covered last week, when we started all right here, it's already in the actual memo they're sourcing.
[00:54:08.293 --> 00:54:09.833]  Just now we have the names.
[00:54:09.833 --> 00:54:21.476]  Before and after Steele was terminated as a source, he maintained contact with the DOJ via the Associate Deputy Attorney General Bruce Orr, whose wife worked at Fusion GPS and was paid to create the dossier.
[00:54:21.476 --> 00:54:26.077]  A senior DOJ official who worked closely with Deputy Attorney General Yates
[00:54:26.997 --> 00:54:29.919]  And later Rosenstein, who appointed a special counsel.
[00:54:29.919 --> 00:54:30.479]  See?
[00:54:30.479 --> 00:54:32.361]  Rosenstein's their operative.
[00:54:32.361 --> 00:54:40.986]  Shortly after the election, the FBI began interviewing or documenting his communications with Steele.
[00:54:40.986 --> 00:54:53.315]  For example, in September 2016, Steele admitted to or his feelings against then-candidate Trump when Steele said, was desperate that Donald Trump not get elected and was passionate about him not being president.
[00:54:54.838 --> 00:55:08.105]  This clear evidence, that's a quote, of Steele's bias was recorded by Orr at the time and subsequently in official FBI files, but not reflected in any of the Page FISA applications.
[00:55:08.105 --> 00:55:08.405]  No.
[00:55:08.405 --> 00:55:12.347]  And then it gets into what they did say to get it, which is a perjury to the court.
[00:55:12.347 --> 00:55:15.569]  Oh, this is not political at all.
[00:55:15.569 --> 00:55:16.869]  It's foreign intelligence.
[00:55:16.869 --> 00:55:19.611]  We're looking at foreigners.
[00:55:19.611 --> 00:55:23.833]  During the same period, Orr's wife was employed by Fisher GPS to assist in the cultivation
[00:55:25.168 --> 00:55:25.688]  This is huge.
[00:55:25.688 --> 00:55:30.110]  I don't even know if he's back yet from England, speaking there to Oxford to the faculty of the Oxford Union.
[00:55:55.327 --> 00:56:11.394]  If you like winning, and you like turning the country back around, and you like 2,200,000 new jobs, and you like the highest wage increases in modern history, and the biggest small business start-ups, and Apple coming back to the U.S., and all the rest of this, you like the optimism, fund our operation, we're under total globalist attack.
[00:56:11.394 --> 00:56:16.676]  You can't put your money anywhere to resist Soros and Clinton and the globalists better than Infowars.
[00:56:16.676 --> 00:56:16.976]  Period.
[00:56:18.149 --> 00:56:19.150]  I thank you for your prayers.
[00:56:19.150 --> 00:56:20.372]  I thank you for your will.
[00:56:20.372 --> 00:56:22.194]  I thank you for spreading the word, the articles, the videos.
[00:56:22.194 --> 00:56:26.538]  You're the reason we're starting to turn the corner, but we got big specials that are going to end this weekend.
[00:56:28.650 --> 00:56:32.391]  On 40% off on Brain Force, 40% off on Vitamin Mineral Fusion.
[00:56:32.391 --> 00:56:34.912]  We're selling out a cell force that will be called DNA Force.
[00:56:34.912 --> 00:56:37.672]  It's got more of the key ingredients in it at a lower price.
[00:56:37.672 --> 00:56:38.812]  I'm able to lower the price.
[00:56:38.812 --> 00:56:42.313]  I decided to call it DNA Force Plus because that's really what it is.
[00:56:42.313 --> 00:56:43.973]  This is going to sell it very, very quickly.
[00:56:43.973 --> 00:56:45.474]  It's 50% off.
[00:56:45.474 --> 00:56:47.354]  Unprecedented, ladies and gentlemen.
[00:56:47.354 --> 00:56:49.615]  You cannot get a better product from our research.
[00:56:49.615 --> 00:56:50.675]  Infowarsstore.com.
[00:56:52.967 --> 00:56:57.009]  Infowarslife.com takes you right to the supplement page, or 888-253-3139.
[00:56:57.009 --> 00:56:59.931]  The most advanced formula yet.
[00:56:59.931 --> 00:57:05.374]  It's technically 53% off cell force, internal cell production, and energy production.
[00:57:05.374 --> 00:57:07.916]  Doesn't grow telomeres.
[00:57:07.916 --> 00:57:15.460]  Patented, just the PQQ, to not have them shrink as fast, which is the same thing.
[00:57:15.460 --> 00:57:16.121]  Chicken or the egg.
[00:57:17.182 --> 00:57:19.884]  Doesn't grow them, just doesn't make them shrink as fast.
[00:57:19.884 --> 00:57:20.745]  Same thing.
[00:57:20.745 --> 00:57:23.368]  Put fuel additive in, makes your fuel go further.
[00:57:23.368 --> 00:57:24.849]  It gives you five miles a gallon better.
[00:57:24.849 --> 00:57:27.551]  Did it put more total fuel in the tank?
[00:57:27.551 --> 00:57:30.054]  No, it put something in that made the fuel go further.
[00:57:30.054 --> 00:57:32.296]  Which is the same thing in any equation.
[00:57:32.296 --> 00:57:33.857]  Infowarsstore.com.
[00:57:33.857 --> 00:57:36.279]  Fund the second American revolution.
[00:57:36.279 --> 00:57:38.782]  Fund the savage forces of liberty.
[00:57:38.782 --> 00:57:42.024]  Ready to take it to the globalists, no matter how high the cost.
[00:57:42.685 --> 00:57:49.627]  But as you see, as soon as we found our spine again, victory was laid out before us.
[00:57:49.627 --> 00:57:54.768]  Introducing Floralife, the new probiotic line developed exclusively by InfoWars Life.
[00:57:54.768 --> 00:57:59.530]  After years of research on the human microbiome, not all probiotics are made the same.
[00:57:59.530 --> 00:58:08.232]  Floralife probiotics use a unique targeted delivery system that bypasses the stomach and releases directly into the intestines for maximum effect.
[00:58:08.232 --> 00:58:11.453]  This is critical because stomach acid kills most probiotics
[00:58:11.713 --> 00:58:16.976]  So if you don't have a targeted delivery probiotic, then you're cheating your gut health and your wallet.
[00:58:16.976 --> 00:58:24.279]  Floralife supports your body's core, where you need it most, including digestion, regularity, immunity, the gut lining, and metabolism.
[00:58:24.279 --> 00:58:28.181]  Did you know that over 80% of your immune system is located in your gut?
[00:58:28.181 --> 00:58:32.903]  That's why increasing gut probiotic levels is so important for overall health.
[00:58:32.903 --> 00:58:36.965]  Floralife is sold as a 15 billion probiotic for everyday maintenance care and a
[00:58:37.145 --> 00:58:37.966]  We're good to go.
[00:59:00.663 --> 00:59:05.750]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[00:59:05.750 --> 00:59:07.653]  O-O-O-O-Optimum levels.
[00:59:07.653 --> 00:59:09.435]  B vitamins we need every day.
[00:59:09.435 --> 00:59:14.723]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[00:59:14.723 --> 00:59:16.325]  O-O-O-O-Optimal absorption.
[00:59:17.026 --> 00:59:22.673]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[00:59:22.673 --> 00:59:24.515]  Secret 12.
[00:59:24.515 --> 00:59:25.676]  Optimal absorption.
[00:59:25.676 --> 00:59:30.802]  B vitamins help the body convert food into energy by supporting your intercellular processes.
[00:59:30.802 --> 00:59:35.907]  B vitamins are also essential for the optimal functioning of the brain and nervous system.
[00:59:35.907 --> 00:59:36.748]  Optimum levels.
[00:59:37.469 --> 00:59:39.069]  You're listening to the Alex Jones Show!
[01:00:13.090 --> 01:00:24.261]  If you are receiving this transmission, you are the resistance.
[01:00:24.261 --> 01:00:35.312]  Well, a lot of the top people in the FBI that were part of the Clinton Crime Network, Stay Behind Network, are now singing like canaries to the House Intelligence Committee and to the President.
[01:00:36.584 --> 01:00:38.987]  And the word is from very good sources.
