[00:00.000 --> 00:05.000]  You'll find, I think, that it'll work more than just on heart problems and circulation problems.
[32:05.000 --> 32:09.000]  The Bible says, would like you to receive this new offer, packet B, the Unholy Alliance.
[32:09.000 --> 32:20.000]  These materials document the global leaders, political and religious behind the scenes. You will receive information regarding America and prophecy, tyrants and wars, the new world order and much more.
[32:20.000 --> 32:32.000]  As always, these materials are shipped to you with no charge. Please call 1-888-211-1715. That's 1-888-211-1715 and ask for packet B.
[32:32.000 --> 32:40.000]  Attention, this is an urgent GCN news bulletin. Do you desperately need to get out of debt fast? Would you like to make some of your debts disappear completely?
[32:40.000 --> 32:46.000]  If so, when you're a GCN listener, there's a very real chance that you'll now be able to do it. Here's why.
[32:46.000 --> 32:52.000]  A new manual has just been published that reveals how you can get out of debt in 90 minutes without any loans or bankruptcy whatsoever.
[32:52.000 --> 32:59.000]  The insider secrets revealed allow you to get out of debt so fast and so completely that it makes some people feel like they're cheating, but they're not.
[32:59.000 --> 33:07.000]  The secrets taught in the manual are 100% legal and 100% ethical. It's just that bankers, debt collectors and credit card companies don't want you to know about these loopholes.
[33:07.000 --> 33:15.000]  Learn how to finally teach those financial vultures some humility by beating them at their own game and above all, learn how to bail out for a soft landing.
[33:15.000 --> 33:32.000]  Get control, get relief, get some sleep. Go to www.outin90.com or call 877-327-0365. That's 877-327-0365.
[33:45.000 --> 33:53.000]  Crushing through the lies and disinformation. It's Alex Jones.
[33:53.000 --> 34:00.000]  And risking my life, a lot of people have died to bring you the information you're getting. A lot of people have gone to prison.
[34:00.000 --> 34:08.000]  Carol Howell, FBI informant, who they've recruited, no criminal record. She went public just a few weeks before and said they're about to bomb the Alvar P. Murrow building.
[34:08.000 --> 34:15.000]  They pulled her off the case and threatened her to shut up. And when she wouldn't, they tried to indict her. She was found not guilty of the stuff they trumped up.
[34:15.000 --> 34:24.000]  That's the problem here. There's too much evidence for those that just joined us. Terry Nichols says Alvar P. Murrow building bombing was FBI off.
[34:24.000 --> 34:30.000]  That other desert news. Salt Lake City Tribune with his federal lawsuit was filed. McVeigh had high level help from FBI.
[34:30.000 --> 34:38.000]  We're walking through that. I now have the, at least partially unsealed, I have the part that's been unsealed, filing the federal lawsuit.
[34:38.000 --> 34:52.000]  The particular document, the exhibits with the names of the FBI agents and others have been sealed, but not before the desert news reported who Terry Nichols says was the handler of Timothy McVeigh and Larry Nichols.
[34:52.000 --> 35:02.000]  And that was Larry Potts, former head of FBI counterterrorism. Oh, yes, we'll be going over all of that this evening.
[35:02.000 --> 35:12.000]  And I know we've got lots of phone calls. If you want to talk about this subject, I'll go to other calls and other subjects, but you won't be on with us long because I need to stay focused.
[35:12.000 --> 35:28.000]  The toll free number to join us is 877-590-5525, 877-590-5525 or locally here in Central Texas, 836-0590, realistic to our home base mothership affiliate, KLBJ 590, KLBJ 590 AM.
[35:28.000 --> 35:36.000]  Okay, again, I've got to move quickly here because there's so much. The government wants to set up a police state. They want more funds.
[35:36.000 --> 35:46.000]  These agencies want more funds. The global corporations that have gotten control of this nation want to secure their control over us. They need to carry out terror attacks or provocateur them or to allow them to take place.
[35:46.000 --> 35:58.000]  They do different things. It's a grab bag to convince the public to willingly relinquish their liberty in the name of some so-called security. You give up liberty, you get tyranny, not security.
[35:58.000 --> 36:06.000]  And so the bomb goes off and it kills 168 people, including a bunch of children in the daycare center. I don't have to remind you of all of this.
[36:06.000 --> 36:15.000]  And then it starts coming out day one that there were bombs inside the building. Newscasts, police start talking about it. They start dying. Firemen start talking. They start dying.
[36:15.000 --> 36:21.000]  I mean, we're talking about medical examiner start talking. They start dying. We're talking about gunshots to the back of the head.
[36:21.000 --> 36:30.000]  Ladies and gentlemen, and then you ask, well, why did McVeigh speak up? McVeigh was totally drugged up, totally handled. And again, that's a whole other show of evidence.
[36:30.000 --> 36:44.000]  But we now have a filed federal lawsuit with the filing and sworn affidavit of Larry Nichols, who has nothing to gain from this life in prison for being associated with this.
[36:44.000 --> 36:55.000]  It's really a patsy day one. We've always known this. Now, let's go into how black ops work. The criminal elements of the government can either carry it out or they can do their favorite thing, but it's harder and provocateur it.
[36:55.000 --> 37:05.000]  Now, here's an example that's not debatable. New York Times, CBS News, that's in road to tyranny as well. The evidence I'm giving you, it was hidden in plain view. No one ever got in trouble for it.
[37:05.000 --> 37:16.000]  In the first World Trade Center attack of 1993, the FBI created the group, cooked the bomb, trained the drivers, and by the grace of God, they didn't park it up against the main column like they were supposed to.
[37:16.000 --> 37:28.000]  A few days before, Ahmad Salam, the CIA funded agent who'd been an Egyptian intelligence agent, had been brought over to build it. He said, I thought it was a sting. We got to go bust him.
[37:28.000 --> 37:38.000]  The FBI said, no, it goes forward. He rightfully thought they were setting him up. He went in and recorded the head of the FBI in New York and others saying, it's going to go forward. Leave it alone.
[37:38.000 --> 37:48.000]  You can't stop this. We'll protect you. So he went, what? You funded me. You gave me over a million dollars. I went and built this bomb, did this, and now you're going to let it happen.
[37:48.000 --> 38:03.000]  That's a case of pure provocaturing. Now, in the case of Oklahoma City, they'd learned not to trust the people that they trained to do it to carry it out. Again, Patsy's thinking they were being led by some Islamist, some Islamofascist.
[38:03.000 --> 38:12.000]  In Oklahoma City, you have the rider truck that detonates outside and leaves this one foot crater. They later claimed it was a 20 foot crater. We have the video. It wasn't.
[38:12.000 --> 38:21.000]  You have bombs inside blowing the building clearly out. So you have the diversionary blast outside, the real blast inside. Three of the bombs don't go off at least. We have video of them being removed.
[38:21.000 --> 38:29.000]  And the governor announcing they found more bombs because the most of the BATF and police that were there were not part of it. They were there finding bombs and taking them out and saying, look, we got them off the columns.
[38:29.000 --> 38:37.000]  You know, there were bombs inside. And then the FBI and Clinton and Janet Reno said, no, no, no, no, no. You don't understand.
[38:37.000 --> 38:55.000]  Then state police hours after big vase driving erratically, running off the road, he's got a big yellow car with no license plate, can't be missed. They pull him over. He's drooling and saying, I've got a chip. I've got a chip clearly out of his mind, drugged or something under some type of mind control.
[38:55.000 --> 39:02.000]  Then you've got these three Arabs, these three Iraqis. We've another names. It's in the film. It's been in the news.
[39:02.000 --> 39:12.000]  One of them was Al Hussein Hussein, who we've got Oklahoma City police surveillance video him weeks before the bombing sneaking around. They knew what he was involved in.
[39:12.000 --> 39:19.000]  They catch him trying to fly out of the country with blue jogging suits, wires. You name it.
[39:19.000 --> 39:26.000]  The Clinton Justice Department orders them be released. Then we start hearing reports that McVeigh had been staying in Elohim City with these Nazis.
[39:26.000 --> 39:33.000]  It turns out federal informants have got video of all this. They're told shut up and forget about it. Everybody's told forget about John Doe number two.
[39:33.000 --> 39:49.000]  Then we learn there's 12 surveillance cameras from the Methodist Church, from a bank, from a YMCA, from the federal building itself across the street, showing McVeigh get out of the rider truck with this dark, complex, dark haired man, who we believe is one of the Iraqis.
[39:49.000 --> 39:56.000]  Going down the street, other cars, everybody breaks up and drives off. The feds declare national security on that and seal it.
[39:56.000 --> 40:05.000]  Valiant FBI agents go public in the LA Times, the Washington Post, we have those articles in the films, and they say, listen, we've seen the surveillance before it got sealed.
[40:05.000 --> 40:12.000]  It shows Iraqis. Congressman Dana Roybacher goes on MSNBC and CNN in the last few weeks.
[40:12.000 --> 40:23.000]  He says, oh, see, there's a connection to the Philippines in Bojinka and to Ramsey Yuzuf and it's Iraq. Oh, my gosh, it's Iran. See how far back they planted all of this?
[40:23.000 --> 40:32.000]  And it's in the signed depositions that there's two of them. It's not just a nickel. It's one of the other individuals in there as well that's gone to prison over this.
[40:32.000 --> 40:42.000]  They admit that Roybacher went and interviewed him a few months ago but said, I don't want to talk about anything but your trip to the Philippines. I don't want to talk about anything but Arabs.
[40:42.000 --> 40:54.000]  There was an FBI agent there not letting Nichols tell him everything he knew. That's all sworn to in here. And Roybacher, the congressman, the neocon, who poses as the good guy, admittedly went and interviewed him.
[40:54.000 --> 41:10.000]  So we've got white supremacists involved. We've got McVeigh going to every major gun show in the country, every major militia compound in the country. And it says to create a history, to create a ledger, to create a story, to create a connection between him and the militia movement so the bombing could be blamed on him.
[41:10.000 --> 41:29.000]  Then in the affidavit, Larry Potts reportedly calls up, this FBI top agent, calls up McVeigh and says, well, the bombing isn't going to be in Omaha or Dallas now. It's going to be in Oklahoma City. McVeigh blows up and says, I was recruited out of the military into a secret assassination black ops squad, which we already knew.
[41:29.000 --> 41:41.000]  We've got video him at basis two years after he was supposedly out of the military, by the way, we broke up on prisonplanet.com. And we've been on this story. And again, that's a whole other discussion there.
[41:41.000 --> 42:00.000]  So you've got Andre Strassmeyer, who turns out to be a German intelligence agent posing as a national Nazi, who's connected to McVeigh. You've got all this going on. Perfect black ops. You've got Arabs involved. You've got white supremacists. You've got FBI with this special forces operative McVeigh going out, doing all this, clearly set up.
[42:00.000 --> 42:13.000]  And then you learn what was originally in the sealed documents inside the Denver trial of McVeigh and Nichols. You learn what we've gotten from police and others who investigated this.
[42:13.000 --> 42:27.000]  That Nichols was completely set up, that he was on the periphery, that all he did was help rob a facility of some jail explosives at a mining outfit that his family was threatened the entire time to do all of this.
[42:27.000 --> 42:43.000]  You then learn that they told him to rob this individual Roger Moore of guns, which it turns out was a federal informant. They were creating a history, again, a ledger. And then when he got there, Moore knew it was all staged and quote part of the FBI script.
[42:43.000 --> 42:49.000]  So those guns could later be found at Nichols home.
[42:49.000 --> 42:59.000]  And McVeigh gave him a small box of explosives and said keep these. So it was clear that McVeigh was planning to set up Nichols and they ended up burning their own operative just like Lee Harvey Oswald, who was special forces.
[42:59.000 --> 43:08.000]  By the way, we now have a CIA control number. Only black operators are even understanding what I'm talking about. This is so complex.
[43:08.000 --> 43:12.000]  And I bet you are listening, aren't you, you black operators?
[43:12.000 --> 43:24.000]  Well, I'm already in it, so I'm going to go all the way. When we get back, I'll continue to try to break all this down and explain what the Arabs were really doing, what the white supremacists were doing. We really carried out the bombing. Stay with us.
[43:24.000 --> 43:45.000]  For years, you've been hearing about Herbal Healer Academy and Helen's remains a leader in effective alternative and natural medicine and education. But how can they continue to hold that title for years on end?
[43:45.000 --> 43:56.000]  The answer is high quality and huge selection. Just visit herbalhealer.com and shop online or request a free catalog. You're bound to find the alternative you're looking for.
[43:56.000 --> 44:09.000]  Did you know that Herbal Healer carries the latest, safest and effective weight loss products? You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children. And don't forget your pets.
[44:09.000 --> 44:22.000]  Herbal Healer even has natural mineral supplements for older animals, including horses, cows and birds. Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[44:22.000 --> 44:32.000]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter, HerbalHealer.com, working with the power of nature.
[44:32.000 --> 44:45.000]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism. Globalists are concerned with what's good for big business and the American Empire instead of what's fair for the American people.
[44:45.000 --> 44:57.000]  The only antidote to the poison of globalism is nationalism. Start reading The Nationalist Times each month. The Nationalist Times promotes a common sense, intelligent and passionate alternative to the reigning party line.
[44:57.000 --> 45:06.000]  Published monthly since 1985, The Nationalist Times has a 20-page newspaper featuring outstanding writers and columnists who don't believe in taboos or sacred cows.
[45:06.000 --> 45:15.000]  Be one of the many thousands of loyal readers of The Nationalist Times. Subscribe now to The Nationalist Times, just $19 for one year. That's 50% off the regular price.
[45:15.000 --> 45:33.000]  Remember to subscribe to The Nationalist Times, P.O. Box 426, Allison Park, PA, 15101. That's The Nationalist Times, P.O. Box 426, Allison Park, PA, 15101. Or subscribe online at our website, www.anu.org.
[45:33.000 --> 45:36.000]  Hello?
[45:36.000 --> 45:40.000]  Hey, it's me. I got something, man. I want you to look at.
[45:40.000 --> 45:42.000]  What? What is it now?
[45:42.000 --> 45:48.000]  It's called oneyeartoretire.net. When you get home, I want you to go to oneyeartoretire.net.
[45:48.000 --> 45:55.000]  Come on, you gotta be kidding. One year to retire. When are you gonna get it through your head that there is no quick fix, no free lunch?
[45:55.000 --> 46:02.000]  I know. I agree with you. This isn't like that. It's an ingenious system that's designed to help you retire in one year.
[46:02.000 --> 46:10.000]  I was skeptical, too, but the system is free, and when I looked at it, I was sure it would work. What have you got to lose? It's free.
[46:10.000 --> 46:19.000]  All you have to do is go to oneyeartoretire.net and get a free system. It only takes a minute. You've got nothing to lose and everything to gain.
[46:19.000 --> 46:32.000]  Go to oneyeartoretire.net. That's oneyeartoretire.net. Or call 888-2000-0265. That's 888-2000-0265.
[46:32.000 --> 46:42.000]  Are you concerned about the high cost of prescription drugs? Since January of 2006, Rxdrugcard.com members have saved an average of $33 per prescription film.
[46:42.000 --> 46:48.000]  That's over 46% savings. The average savings for generic drugs was over 71%.
[46:48.000 --> 46:57.000]  Rxdrugcard.com is the only major discount prescription drug plant that offers a price lookup page, so you can get an idea of your discounted price before you enroll.
[46:57.000 --> 47:10.000]  Rxdrugcard.com is for anyone who pays for their own prescriptions. There are no age restrictions, all prescriptions are covered, and 95% of all pharmacies in the U.S. participate, including Walmart, Walgreens, CVS Pharmacy, and many more.
[47:10.000 --> 47:21.000]  With Rxdrugcard.com, you will save immediately, with no messy forms or paperwork. Membership fees start at only $4.50 per month and include a 30-day unconditional money-back guarantee.
[47:21.000 --> 47:32.000]  Visit us at www.rxdrugcard.com or call us at 888-216-2461. That's 888-216-2461. Do it today!
[47:32.000 --> 47:42.000]  Thank you for listening to GCN. Be sure to visit GCNLive.com today.
[47:42.000 --> 47:53.000]  Broadcasting the truth, coast to coast, and worldwide, this is The Alex Jones Show.
[47:53.000 --> 48:03.000]  For over 11 years, I've been investigating the Oklahoma City bombing, the great foundation of the current police state we see expanding.
[48:03.000 --> 48:15.000]  We're going to take your calls on this subject coming up in the next hour. The toll free number is 877-590-5525, locally 8360-590.
[48:15.000 --> 48:28.000]  But let me just recap. Terry Nichols, and the feds sealed this almost immediately, was interviewed by a lawyer who's been investigating the case for many years because he lost a family member as a result of it.
[48:28.000 --> 48:35.000]  That's just how he got into this. His brother knew a little too much and was tortured to death and murdered.
[48:35.000 --> 48:42.000]  He's gone in and interviewed Nichols. Nichols has been banned from any media contact, including 60 Minutes wasn't allowed into scene.
[48:42.000 --> 48:49.000]  To cover this up after he went to Ashcroft, he wrote a letter and said, I want to tell you what really happened here because he'd never confessed before.
[48:49.000 --> 48:57.000]  He said, I want to tell you how I got set up and how all this really worked. And I'm telling you, this fits in with my 11 years of research on this subject.
[48:57.000 --> 49:02.000]  I made a film in 97 about this. I want to be clear about my credentials on this subject.
[49:02.000 --> 49:08.000]  Nichols says bombing was an FBI operation and you go through the evidence it was.
[49:08.000 --> 49:12.000]  Why did they have Arabs involved?
[49:12.000 --> 49:24.000]  You have to first understand that Saddam was our ally and that tens of thousands of Iraqi Republican Guard, his entire apparatus, including Saddam, back when he was 18 years old in 1958, was U.S. government control.
[49:24.000 --> 49:35.000]  At the end of the first Gulf War, George Bush Sr., Washington Post, LA Times, Associated Press, as all of my film wrote, all the news articles, but you can type it into Google and find it for yourself.
[49:35.000 --> 49:47.000]  It's all out there. Mainstream articles. All the pieces are right there. Brought back 3,000 Iraqi Republican Guard and Clinton brought in another 1,900 plus.
[49:47.000 --> 49:50.000]  Some numbers are over 2,000. We'll go with the conservative one.
[49:50.000 --> 49:57.000]  It's not all terrorist, but large portions of them were trained previously by our government, trained at the different schools like School of America's.
[49:57.000 --> 50:00.000]  That's for Latin Americans. They have separate ones for Arabs.
[50:00.000 --> 50:04.000]  They were brought back in after the war. They were put in all major U.S. cities.
[50:04.000 --> 50:09.000]  This has been on Oklahoma TV. Reporters have written books about this.
[50:09.000 --> 50:11.000]  This is part of the record.
[50:11.000 --> 50:16.000]  So you've got these individuals brought here, trained by our government, on the payroll.
[50:16.000 --> 50:25.000]  That's what they're doing, showing up in the weeks before the bombing to a level that the state police and Oklahoma police intelligence units were videotaping them.
[50:25.000 --> 50:33.000]  And there are literally hundreds of witnesses at topless bars and hotels and shops and gun shows with these Iraqis and McVeigh.
[50:33.000 --> 50:35.000]  Okay?
[50:35.000 --> 50:38.000]  Then you've got McVeigh with German intelligence agents.
[50:38.000 --> 50:40.000]  You've got McVeigh at white supremacist compounds.
[50:40.000 --> 50:46.000]  You've got McVeigh going around creating a history, and now that's in the affidavits, to connect it to militias, showing up at every group.
[50:46.000 --> 50:49.000]  He showed up at Waco during the siege.
[50:49.000 --> 50:52.000]  There's video of that to create this history and this ledger.
[50:52.000 --> 50:57.000]  Now, more often than not, in these black ops, they didn't set up their own patsy like Lee Harvey Oswald.
[50:57.000 --> 51:01.000]  Don't have time to get into that, but again, it's mainstream history channel news.
[51:01.000 --> 51:06.000]  It's been all, Barr McClellan, LBJ's former lawyer, it just goes on and on.
[51:06.000 --> 51:10.000]  So much evidence, it'll make your head spin.
[51:10.000 --> 51:14.000]  That he was a black op operator, taken out of the Marines.
[51:14.000 --> 51:22.000]  He was at a super secret base in Japan, allowed to defect to the Russians, then allowed to come back after two years left alone.
[51:22.000 --> 51:25.000]  I've interviewed the daughter of the mother, all of it.
[51:25.000 --> 51:26.000]  Clear black ops.
[51:26.000 --> 51:27.000]  And he said, I'm a patsy.
[51:27.000 --> 51:29.000]  I've been set up clearly involved.
[51:29.000 --> 51:30.000]  You've got shooters all around.
[51:30.000 --> 51:31.000]  You've got Mafia involved.
[51:31.000 --> 51:32.000]  You've got Texas hit men.
[51:32.000 --> 51:39.000]  One of them is in federal prison right now for pulling another hit in San Antonio, Charles Harrelson.
[51:39.000 --> 51:40.000]  It's the same thing.
[51:40.000 --> 51:43.000]  You've got private contractor hit men.
[51:43.000 --> 51:44.000]  You've got Mafia.
[51:44.000 --> 51:49.000]  You've got Cubans trained in Operation Zebra.
[51:49.000 --> 51:52.000]  You've got all these people, so there's different layers.
[51:52.000 --> 52:01.000]  You study the OSS in World War II, in Greece and in Italy and in France.
[52:01.000 --> 52:02.000]  They operated.
[52:02.000 --> 52:04.000]  They nexused with the criminal gangs.
[52:04.000 --> 52:05.000]  It's the same thing today.
[52:05.000 --> 52:09.000]  That's who knows the local area that gives you plausible deniability.
[52:09.000 --> 52:13.000]  So that's why you've got all these groups as fallbacks, the white supremacists, the Arabs.
[52:13.000 --> 52:16.000]  But all of them we know the groups were being run by the feds.
[52:16.000 --> 52:17.000]  The Arabs are run by feds.
[52:17.000 --> 52:21.000]  The Nazis that came out in federal documents were run by the feds.
[52:21.000 --> 52:27.000]  And you've got McVeigh going around grooming his patsy, which is Larry Nichols.
[52:27.000 --> 52:29.000]  And that's now all come out in the half of David.
[52:29.000 --> 52:34.000]  We already said this years ago in films, this is what most of the police and FBI who weren't part of the program,
[52:34.000 --> 52:38.000]  who haven't carried out the attack, who were trying to expose this have said and written books on.
[52:38.000 --> 52:44.000]  This is what the evidence clearly shows in context.
[52:44.000 --> 52:49.000]  And so what you have is McVeigh with one of the Iraqis pulls up with the truck bomb.
[52:49.000 --> 52:51.000]  He goes and gets in his own car, goes driving off.
[52:51.000 --> 52:52.000]  Something happens.
[52:52.000 --> 52:55.000]  He gets picked up by the state police out of his mind, literally drooling.
[52:55.000 --> 52:59.000]  The state police, before he was drooling, falling down, saying, don't let him do it.
[52:59.000 --> 53:01.000]  It hurts. It hurts. I got a chip.
[53:01.000 --> 53:02.000]  Who knows what that is?
[53:02.000 --> 53:05.000]  The point is, he was doing this.
[53:05.000 --> 53:11.000]  He was totally, then they hired Jolly and Wes from the time he's arrested to the time he's executed in 2001,
[53:11.000 --> 53:16.000]  who in the 77 hearings declassified MKUltra.
[53:16.000 --> 53:24.000]  He was one of the chief people who was made to testify and who was brought out also along with Dr. Ewing Cameron involved in MKUltra.
[53:24.000 --> 53:31.000]  So one of the most famous mind control doctors is McVeigh's doctor from the time he's arrested to the time he's executed.
[53:31.000 --> 53:33.000]  Again, this is central casting like George Norris said.
[53:33.000 --> 53:36.000]  You could not make something up this weird.
[53:36.000 --> 53:39.000]  I mean, if this was a fiction book, no one would buy it.
[53:39.000 --> 53:41.000]  That's what they do in black ops.
[53:41.000 --> 53:44.000]  They do it to be a smokescreen, to be confusing.
[53:44.000 --> 53:47.000]  It's called cloaking dagger for a reason.
[53:47.000 --> 53:49.000]  You don't know where the dagger is because it's cloaked.
[53:49.000 --> 53:51.000]  It's a black op.
[53:51.000 --> 53:54.000]  But in hindsight, we have enough pieces to know what happened.
[53:54.000 --> 54:02.000]  Feds and the BATF, by the way, six months before was out in the Arizona desert blowing up rider trucks full of C4, doing tests.
[54:02.000 --> 54:07.000]  We know the Feds probably BATF because they were in their bomb gun and running around right when it happened.
[54:07.000 --> 54:13.000]  And some of them did believe it was a stink as they did call another group of BATF and tell them be ready the night before.
[54:13.000 --> 54:16.000]  We have hotel receipts, everything because again, you have innocent people too.
[54:16.000 --> 54:21.000]  And then they always keep the innocent good agents from not knowing what's happening, telling them it's a drill, it's part of an op.
[54:21.000 --> 54:25.000]  I know there's agents listening out there right now going, that's happened to me on other things.
[54:25.000 --> 54:29.000]  Stings, criminal ops when they're stealing money from drug dealers, whatever.
[54:29.000 --> 54:34.000]  They have formulas of doing this because it works.
[54:34.000 --> 54:37.000]  There's plastic explosives inside that blow out the main columns.
[54:37.000 --> 54:39.000]  The diversionary blast is time to go off at the same time.
[54:39.000 --> 54:42.000]  The evidence shows that it went off a few seconds before early.
[54:42.000 --> 54:46.000]  Everybody inside said they heard a boom, the windows blew out.
[54:46.000 --> 54:49.000]  Then the whole building started shaking, there were explosions under it.
[54:49.000 --> 54:56.000]  Jane Graham, the head of HUD up on the top floor, reported that she liked to use the maintenance entrances for exercise
[54:56.000 --> 54:59.000]  because she was overweight to go jogging up them every morning.
[54:59.000 --> 55:01.000]  That was her exercise in jogging back down.
[55:01.000 --> 55:06.000]  And then she saw white men in there later who by the way were videotaped the day of the event.
[55:06.000 --> 55:11.000]  And she said that's them planting large gray sticks of butter on columns and drilling with electrical wires.
[55:11.000 --> 55:12.000]  She said, what are you doing?
[55:12.000 --> 55:14.000]  They were wearing federal maintenance uniforms.
[55:14.000 --> 55:15.000]  He said, maintenance.
[55:15.000 --> 55:17.000]  This is the day before the bombing.
[55:17.000 --> 55:18.000]  Again, one more little piece of evidence.
[55:18.000 --> 55:20.000]  They had grandeur.
[55:20.000 --> 55:22.000]  Hoppy Heidelberg was learning all this from the police and witnesses.
[55:22.000 --> 55:27.000]  And the FBI came to his house and brandished guns and said, you shut up and don't ask questions anymore.
[55:27.000 --> 55:29.000]  I've interviewed Hoppy many times.
[55:29.000 --> 55:31.000]  Hundreds of these pieces of evidence.
[55:31.000 --> 55:34.000]  So you've got McVay with all these other groups.
[55:34.000 --> 55:35.000]  They're the patsies.
[55:35.000 --> 55:36.000]  They're the setup.
[55:36.000 --> 55:38.000]  McVay thinks he's part of the op.
[55:38.000 --> 55:40.000]  Then he gets drugged somehow.
[55:40.000 --> 55:45.000]  Then they get him basically keeping drug from that point after.
[55:45.000 --> 55:48.000]  Now the big question is, this has been in the desert news.
[55:48.000 --> 55:52.000]  This has been in the Salt Lake City Tribune, both pretty good size papers, but that's about it.
[55:52.000 --> 55:54.000]  Oklahoma TV station covered it.
[55:54.000 --> 56:00.000]  Wouldn't it be bigger news if one of the only two convicted bombers, the only one living who has life in prison,
[56:00.000 --> 56:05.000]  has no reason to do this, he will get mistreated now, who's already been told to shut up and not talk to anybody.
[56:05.000 --> 56:11.000]  And it's admittedly a blackout where the media can't talk to him since he wrote this letter to Ashcroft in 2004.
[56:11.000 --> 56:13.000]  Why would he go public now?
[56:13.000 --> 56:18.000]  Because he says he wants the truth to be known, even if it's a great danger to his life.
[56:18.000 --> 56:22.000]  And why is it this top story on CNN and ABC News and everywhere else?
[56:22.000 --> 56:23.000]  It isn't.
[56:23.000 --> 56:30.000]  That's why you tie Oklahoma bombing into Google and the top three links are prisonplanet.com.
[56:30.000 --> 56:37.000]  Our stories are number one and now we have the unsealed portion without the exhibits, A through G.
[56:37.000 --> 56:40.000]  We have it up on prisonplanet.com and infowars.com.
[56:40.000 --> 56:46.000]  After we start the next hour and I take some calls, I'm going to go back through some of the key passages in here.
[56:46.000 --> 56:50.000]  But ask yourselves, why isn't this a top story?
[56:50.000 --> 56:55.000]  This is big news that you have sworn affidavits with federal documents.
[56:55.000 --> 57:03.000]  And it turns out that, and I interviewed a friend of the lawyer involved last Thursday, that some of the things he can't talk about,
[57:03.000 --> 57:10.000]  but that he can hint at, is that they tried to present these documents, FBI documents, in the McVeigh trial.
[57:10.000 --> 57:15.000]  Stephen Jones did his lawyer and was not allowed to put these documents on.
[57:15.000 --> 57:18.000]  And that's what's in the sealed exhibits.
[57:18.000 --> 57:26.000]  We're talking social security numbers, documents, funds, addresses, all of this, of how this thing worked.
[57:26.000 --> 57:32.000]  And it turns out this was known the whole time and this was blocked in the federal case from coming out.
[57:32.000 --> 57:39.000]  How they keep McVeigh quiet, drugged up, famous brainwashing doctor with him, threatened people's family, works like a charm.
[57:39.000 --> 57:42.000]  Same thing they were doing with Nichols, threatening his family.
[57:42.000 --> 57:48.000]  Now, clearly McVeigh was a prime mover in all of this, the classic superpatsy.
[57:48.000 --> 57:53.000]  But if you look at this, even from what the FBI admits, Nichols was a total patsy on the periphery.
[57:53.000 --> 58:00.000]  Now I've got three pages of notes here I want to go over, key points in the deposition, in the federal lawsuit filing.
[58:00.000 --> 58:03.000]  But first we'll go to your calls when we start the second hour.
[58:03.000 --> 58:08.000]  877-595-525 or 836-0590.
[58:08.000 --> 58:14.000]  And I really want to talk about this subject. We'll take calls on other subjects if you wish, people holding this before the show started.
[58:14.000 --> 58:18.000]  But we'll get to all of them. We'll be right back. Stay with us.
[58:18.000 --> 58:24.000]  Hi, this is Ted Anderson.
[58:24.000 --> 58:29.000]  Over the years, Genesis Communications Network has grown by leaps and bounds reaching millions of listeners.
[58:29.000 --> 58:32.000]  The impact on political and social issues have been enormous.
[58:32.000 --> 58:36.000]  Businesses associated with the network have grown to become valuable enterprises.
[58:36.000 --> 58:42.000]  If you are accredited and have an entrepreneurial spirit, National Radio may be the opportunity you're looking for.
[58:42.000 --> 58:47.000]  Call me today at 877-996-4327, extension 101.
[58:47.000 --> 58:52.000]  For more information, that's 877-996-4327, extension 101.
[58:52.000 --> 58:57.000]  Looking for profit? Looking for safety and security?
[58:57.000 --> 59:00.000]  The $10 Olympic commemorative gold coin offers both.
[59:00.000 --> 59:07.000]  This low-mintage collector coin, with a total-series-mintage under $600,000, has sold at four times its current price.
[59:07.000 --> 59:11.000]  Falling dollar values and inflation make this likely to happen again.
[59:11.000 --> 59:18.000]  Secure your position today. Call Mitus Resources at 1-800-686-2237.
[59:18.000 --> 59:22.000]  That's 1-800-686-2237.
[59:22.000 --> 59:32.000]  Are you concerned about the high cost of prescription drugs? Since January of 2006, RxDrugCard.com members have saved an average of $33 per prescription filled.
[59:32.000 --> 59:38.000]  That's over 46% savings. The average savings for generic drugs was over 71%.
[59:38.000 --> 59:47.000]  RxDrugCard.com is the only major discount prescription drug plant that offers a price lookup page, so you can get an idea of your discounted price before you enroll.
[59:47.000 --> 59:53.000]  RxDrugCard.com is for anyone who pays for their own prescriptions. There are no age restrictions, all prescriptions are covered,
[59:53.000 --> 01:00:00.000]  and 95% of all pharmacies in the U.S. participate, including Walmart, Walgreen, CVS Pharmacy, and many more.
[01:00:00.000 --> 01:00:05.000]  With RxDrugCard.com, you will save immediately, with no messy forms or paperwork.
[01:00:05.000 --> 01:00:11.000]  Membership fees start at only $4.50 per month, and include a 30-day unconditional money-back guarantee.
[01:00:11.000 --> 01:00:18.000]  Visit us at www.RxDrugCard.com, or call us at 888-216-2461.
[01:00:18.000 --> 01:00:22.000]  That's 888-216-2461. Do it today!
[01:00:22.000 --> 01:00:26.000]  This is a possessing child pornography. Those stories end-
[01:00:26.000 --> 01:00:30.000]  This is the GCI radio network.
[01:00:30.000 --> 01:00:34.000]  LBJ in Austin. It's five o'clock.
