[00:00:41.343 --> 00:00:43.825]  I rarely get goosebumps.
[00:59:46.640 --> 00:59:51.765]  That is all internet kill switch, Obama, EAS 2.0, and Trump should be using it.
[00:59:53.257 --> 00:59:54.738]  Right, so you guys have Ivan's number.
[00:59:54.738 --> 00:59:57.579]  Somebody should call him and say, you should take advantage of this opportunity.
[00:59:57.579 --> 01:00:00.220]  They should control Congress for a hundred hours.
[01:00:00.220 --> 01:00:02.181]  That's like four or five days.
[01:00:02.181 --> 01:00:11.505]  Where if Mo Brooks and Hawley or all these senators and congressmen can agree, start with Alabama, start with Alaska, and just say, we can test these.
[01:00:11.505 --> 01:00:13.186]  That gives us two hours of debate.
[01:00:13.186 --> 01:00:17.227]  We'll put it on television and we'll make our case then right in front of Congress.
[01:00:17.227 --> 01:00:18.608]  So this way Congress can't say,
[01:00:19.215 --> 01:00:19.996]  They didn't see it.
[01:00:19.996 --> 01:00:24.360]  It's like a captive audience situation where they have to be there to listen to the debate.
[01:00:24.360 --> 01:00:27.903]  We can put it on the airways over the emergency alert system.
[01:00:27.903 --> 01:00:29.684]  Everybody gets to hear.
[01:00:29.684 --> 01:00:38.872]  It's like this report this morning on American Journal where they were talking about in Pennsylvania, they clearly stole 35,000 votes at 1108 on election night.
[01:00:38.872 --> 01:00:40.474]  It's right there, the Edson system.
[01:00:41.750 --> 01:00:49.680]  Switch the votes, 35,000 of them, and no one knows this happened, but it's only gotten like 222 views on the internet.
[01:00:49.680 --> 01:00:50.320]  It's amazing.
[01:00:50.320 --> 01:00:54.005]  That's right, we have the raw footage of that, and Joe Hoff can speak to that when we come back.
[01:00:54.005 --> 01:00:54.606]  Thank you for the call.
[01:00:55.933 --> 01:00:58.155]  By the way, I started thinking about what that first caller said.
[01:00:58.155 --> 01:01:00.637]  I thought he was being a smart mouth.
[01:01:00.637 --> 01:01:04.239]  And then I realized, Hunter, I guess, is bigger than that.
[01:01:04.239 --> 01:01:06.301]  He's a pedophile, really, the evidence shows.
[01:01:06.301 --> 01:01:06.821]  Hunter Biden.
[01:01:06.821 --> 01:01:08.002]  So, caller, you can call back.
[01:01:08.002 --> 01:01:08.983]  I apologize.
[01:01:08.983 --> 01:01:11.044]  I thought you were being a prank caller.
[01:01:11.044 --> 01:01:12.385]  I'm in such a bad mood right now.
[01:01:12.385 --> 01:01:13.606]  I don't want to say I'm in a bad mood.
[01:01:13.606 --> 01:01:16.128]  I am enraged by what's going on.
[01:01:16.128 --> 01:01:17.830]  And now I have this filter of anger.
[01:01:18.450 --> 01:01:23.293]  That I'm having to deal with and that then makes me make mistakes.
[01:01:23.293 --> 01:01:26.815]  After I hung up on that caller, I was like, he wasn't being smart-mouthed, he was being serious.
[01:01:26.815 --> 01:01:30.578]  So I apologized to the caller before the last one.
[01:01:30.578 --> 01:01:31.679]  It's just, things are insane.
[01:01:31.679 --> 01:01:32.339]  Things are insane.
[01:01:32.339 --> 01:01:36.542]  We've got to keep our love going and know we're doing this for our children and for freedom.
[01:01:36.542 --> 01:01:37.683]  We don't do it because we hate the enemy.
[01:01:37.683 --> 01:01:40.024]  But I'm having some real anger problems.
[01:01:40.024 --> 01:01:40.925]  I know you are as well.
[01:01:41.625 --> 01:01:47.410]  Stay with me back in 60 seconds with Joe Hoff of GetMePunny.com, Alex Jones with Band.Video.
[01:01:47.410 --> 01:01:49.812]  Not band like a music band, like it's been banned.
[01:01:49.812 --> 01:01:50.752]  Band.
[01:01:50.752 --> 01:01:51.873]  Like Censored.
[01:01:51.873 --> 01:01:53.995]  Video.
[01:01:53.995 --> 01:01:58.679]  Fight for Trump on January 6th in Washington, D.C.
[01:01:58.679 --> 01:02:05.504]  Our fight to drain the Washington swamp and reclaim America's destiny has just begun.
[01:02:05.504 --> 01:02:06.024]  It's 1776 time!
[01:02:10.363 --> 01:02:17.887]  On November 14th, hundreds of thousands of American patriots gathered in the nation's capital to stop the biggest election steal in American history.
[01:02:17.887 --> 01:02:23.390]  America is going under leftist martial law under the communist Chinese agent Joe Biden.
[01:02:24.062 --> 01:02:28.665]  We will never give in, we will never give up, and we will never back down.
[01:02:28.665 --> 01:02:32.108]  We will never, ever surrender.
[01:02:56.863 --> 01:02:59.528]  Waging war on corruption.
[01:02:59.528 --> 01:03:04.656]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:03:07.779 --> 01:03:12.601]  Well, Joe Hoff is a major corporate auditor and fraud investigator.
[01:03:12.601 --> 01:03:16.062]  He was drafted by his brother at gatewaypundit.com.
[01:03:16.062 --> 01:03:25.325]  It's been one of the leading organizations exposing the massive orchestrated globalist election fraud to come in and really expose what's happening and he's been one of the top guys doing it.
[01:03:25.325 --> 01:03:32.428]  He's also been a leading expert on the COVID fraud and how they count people that die of other things as COVID, how the
[01:03:33.800 --> 01:03:37.183]  The main testing they're using is 96% false.
[01:03:37.183 --> 01:03:39.645]  The inventor said it's totally false.
[01:03:39.645 --> 01:03:41.627]  The PCR testing.
[01:03:41.627 --> 01:03:45.350]  So he'll give us in the next two segments his breakdown on both those fronts.
[01:03:45.350 --> 01:03:49.474]  But a lot of huge developments have happened since he was on with us a few weeks ago.
[01:03:49.474 --> 01:03:53.477]  We're 21 days out from either the coronation of the Chinese agent Biden.
[01:03:54.278 --> 01:03:59.220]  Or the override of this or a new election, perhaps in those key five states.
[01:03:59.220 --> 01:04:01.961]  So there's so many areas to hit here.
[01:04:01.961 --> 01:04:03.861]  What are the latest developments, Joe Hoft?
[01:04:03.861 --> 01:04:06.222]  We appreciate you joining us.
[01:04:06.222 --> 01:04:08.743]  Yeah, Alex, great to be here again, as always.
[01:04:08.743 --> 01:04:09.884]  Great to see you.
[01:04:09.884 --> 01:04:16.786]  And I can really feel the frustration and the rage that you're feeling that you expressed earlier.
[01:04:17.230 --> 01:04:20.916]  This is a, you know, I'm still in the fight mode.
[01:04:20.916 --> 01:04:28.950]  Let's just do everything we can to legally through our system that's in place through our Constitution to address this stuff.
[01:04:28.950 --> 01:04:29.291]  But there's
[01:04:29.738 --> 01:04:32.759]  But there's a lot of rage behind it that's keeping us going.
[01:04:32.759 --> 01:04:42.224]  And I don't think the Republicans or the Democrats want to see what's going to happen, you know, if this doesn't get addressed properly through the through the proper channels.
[01:04:42.224 --> 01:04:44.705]  So here's the good news, Alex.
[01:04:44.705 --> 01:04:47.226]  This morning, two big things, in my opinion.
[01:04:47.226 --> 01:04:50.488]  One, Josh Hawley mentioned comes out and says, I will
[01:04:51.232 --> 01:04:55.436]  He says, I cannot vote to certify the Electoral College results on January 6th.
[01:04:55.436 --> 01:04:58.619]  So that is a big, that's a big statement.
[01:04:58.619 --> 01:05:00.101]  We've wondered about Holly.
[01:05:00.101 --> 01:05:03.764]  He says a lot of great things, but is he willing to back them up?
[01:05:03.764 --> 01:05:12.353]  And today it appears that he has done that, although I think a lot of Americans would suggest it's, you know, he should have done this second number one.
[01:05:12.353 --> 01:05:14.575]  But at least the show me state is showing us.
[01:05:16.041 --> 01:05:16.741]  That's right.
[01:05:16.741 --> 01:05:19.882]  And so, hat tip to Josh Hawley, and that's great news.
[01:05:19.882 --> 01:05:25.263]  And our understanding is there will be some other senators behind him that will be following up.
[01:05:25.263 --> 01:05:30.204]  And actually, I think every single Republican senator should stand up.
[01:05:30.204 --> 01:05:35.086]  If they don't, we will mark them for life.
[01:05:35.086 --> 01:05:37.986]  These people will not get our support ever again.
[01:05:37.986 --> 01:05:41.807]  This is the most atrocious thing that's ever happened to our republic.
[01:05:41.807 --> 01:05:44.248]  We're under a communist takeover.
[01:05:44.665 --> 01:05:48.989]  And we've got to stop it now, because it's not going to get any easier, it's just going to get harder.
[01:05:48.989 --> 01:05:50.910]  So, hat tip to Josh Hawley.
[01:05:50.910 --> 01:06:07.965]  Now, the second point that I wanted to raise this morning that's really hopeful to me, and it's something that I've been pushing and we at The Gateway Pundit have been pushing now for a few weeks, and what we'd like to see would be this individual named Jovan Pulitzer.
[01:06:07.965 --> 01:06:12.149]  Jovan Hutton Pulitzer, who's an inventor and just a real bright guy.
[01:06:12.884 --> 01:06:17.091]  Come and audit the results of these swing states.
[01:06:17.091 --> 01:06:21.978]  He has the ability to do this in a very short period of time.
[01:06:21.978 --> 01:06:26.225]  Now this morning he was in front of the Senate in Georgia and he gave a presentation.
[01:06:26.658 --> 01:06:28.239]  And it was fantastic.
[01:06:28.239 --> 01:06:30.600]  And I know Alex, reach out to him.
[01:06:30.600 --> 01:06:33.101]  I'm sure if you need a contact, let me know.
[01:06:33.101 --> 01:06:35.061]  I'm sure he'd be happy to be on your show.
[01:06:35.061 --> 01:06:49.587]  We need to put pressure on our legislatures at these states and on President Trump to set up an executive order to have him do this and for our legislatures to make this happen before January 6th, if possible.
[01:06:49.997 --> 01:06:52.880]  Mr. Pulitzer can check ballots.
[01:06:52.880 --> 01:06:56.903]  He says, I can go through 500,000 ballots in a matter of a couple hours.
[01:06:56.903 --> 01:06:59.105]  He can give us answers just like that.
[01:06:59.105 --> 01:07:06.011]  In Georgia this morning, he presented his case where he shows over and over again the fraud that was involved.
[01:07:06.011 --> 01:07:08.954]  And he says, we don't need to get into the machines.
[01:07:08.954 --> 01:07:10.975]  We don't need to get into the code.
[01:07:10.975 --> 01:07:11.636]  All of that.
[01:07:11.636 --> 01:07:16.360]  We don't really maybe even have the time to try to understand the how between the machines.
[01:07:16.360 --> 01:07:17.161]  His theory is
[01:07:17.677 --> 01:07:20.860]  Let's look at the ballots and he's an expert on this stuff.
[01:07:20.860 --> 01:07:40.915]  He's he's been he's been behind technology that you use when you go through and use your laptop or not your laptop, but your iPhone at an airport to check in or the technology at a polling station as you go drive through it and it'll automatically credit your card.
[01:07:41.618 --> 01:07:42.579]  That's the guy behind it.
[01:07:58.627 --> 01:07:59.648]  In front of the president.
[01:07:59.648 --> 01:08:01.248]  We've reached out to him.
[01:08:01.248 --> 01:08:02.149]  We've worked with him.
[01:08:02.149 --> 01:08:07.192]  We've pushed his name to some individuals that we know with related to Trump.
[01:08:07.192 --> 01:08:13.255]  This guy's the answer because he can legitimately look at the ballots and tell us if they're fraudulent or not.
[01:08:13.255 --> 01:08:15.596]  He can determine if there's creases in a ballot or not.
[01:08:15.596 --> 01:08:18.457]  If there's no creases, it's not a legitimate ballot.
[01:08:18.457 --> 01:08:21.259]  And there's other things that he's already identified this morning in Georgia.
[01:08:21.259 --> 01:08:27.462]  He pointed out that the ballots that were going to the Republican areas were different than the ballots going to the Democrat areas.
[01:08:27.902 --> 01:08:28.002]  Yes.
[01:08:50.598 --> 01:08:59.986]  Somewhere, by themselves, without the proper segregation of duties or chain of custody, is making a decision on what that ballot should be.
[01:08:59.986 --> 01:09:03.289]  And we know that Dominion has the ability to change ballots.
[01:09:03.289 --> 01:09:10.536]  So 90-some percent of the ballots in one section of Fulton County had to be adjudicated.
[01:09:10.536 --> 01:09:17.622]  This means somebody reviewed all of these, and what we believe is they switched them all to Biden from Trump.
[01:09:18.348 --> 01:09:21.349]  And so he can check this.
[01:09:21.349 --> 01:09:24.610]  He can see this stuff by just looking at the ballots.
[01:09:24.610 --> 01:09:29.392]  He said this morning, it was a brilliant presentation, he said, the U.S.
[01:09:29.392 --> 01:09:31.933]  was founded on a piece of paper.
[01:09:31.933 --> 01:09:38.656]  And we need to get those same pieces with the paper today that was used in this election.
[01:09:38.656 --> 01:09:41.537]  We need to look at these actual paper copies.
[01:09:41.537 --> 01:09:44.118]  He says the machine is all just a head fake.
[01:09:44.747 --> 01:09:53.590]  We need the ballots, the paper copies, and we can determine, he said, like I mentioned earlier, in two hours he can go through 500,000 or so ballots.
[01:09:53.590 --> 01:09:56.211]  He can look at them all, and he can tell us what's fraud.
[01:09:56.211 --> 01:09:57.792]  He knows what to look for.
[01:09:57.792 --> 01:10:04.614]  There's various things on these ballots that we don't know about, that he knows about, that should be in place, and if they're not there, then they should be thrown out.
[01:10:04.614 --> 01:10:07.475]  So, some real hope there too, Alex.
[01:10:07.475 --> 01:10:10.516]  You know, two things, Holly, and now this Mr. Pulitzer.
[01:10:12.856 --> 01:10:16.063]  Studying world elections, the UN and the State Department.
[01:10:16.983 --> 01:10:30.632]  Our own government authority and the precious all-knowing UN say that if a country doesn't have ballot transparency, doesn't allow poll watchers, that then, and if the methodology's not documented and published, then it's thrown out and they recommend a new election.
[01:10:30.632 --> 01:10:36.576]  Well, bare minimum, Trump should be calling if he doesn't get them to take the right action on January 6th.
[01:10:36.576 --> 01:10:38.377]  It looks like more of that's starting to build towards that.
[01:10:38.377 --> 01:10:39.038]  Very exciting.
[01:10:39.038 --> 01:10:43.020]  Thank God, finally some will out there against this takeover.
[01:10:44.381 --> 01:10:49.405]  But he should at least just then call and demand a new election in those states.
[01:10:49.405 --> 01:10:51.487]  And I think declare the Insurrection Act.
[01:10:51.487 --> 01:10:53.448]  I mean, I think a legitimate reason.
[01:10:53.448 --> 01:10:57.271]  I mean, we've seen that done by Eisenhower because they wouldn't let black kids in school.
[01:10:57.271 --> 01:10:58.232]  This is just as important.
[01:10:58.232 --> 01:11:00.374]  I think everybody's vote is just as important as that.
[01:11:01.291 --> 01:11:02.111]  Yeah, absolutely.
[01:11:02.111 --> 01:11:03.752]  And I agree, Alex.
[01:11:03.752 --> 01:11:08.293]  Whatever needs to be done properly through the various channels, get this thing done right.
[01:11:08.293 --> 01:11:15.275]  Because nobody has belief that these elections were done properly or that the results are valid.
[01:11:15.275 --> 01:11:18.436]  It's the same signature of fraud in all these states.
[01:11:18.436 --> 01:11:20.317]  It's all done the same way.
[01:11:20.317 --> 01:11:20.777]  That's right.
[01:11:20.777 --> 01:11:22.377]  We saw it the night of the election.
[01:11:22.377 --> 01:11:24.398]  Five or so states all shut down.
[01:11:24.398 --> 01:11:25.598]  And they stopped counting.
[01:11:25.598 --> 01:11:27.299]  When did we ever see that in our election?
[01:11:27.299 --> 01:11:27.479]  Ever.
[01:11:28.041 --> 01:11:29.783]  Well, that's the other big thing.
[01:11:48.424 --> 01:11:52.746]  We're not going to let you contest anything, but we're going to contest if we lose.
[01:11:52.746 --> 01:11:58.509]  And all the pre-programming, all the preconditioning, Biden not campaigning because he didn't need to.
[01:11:58.509 --> 01:12:03.372]  And then accelerating the states he won, freezing the states Trump won.
[01:12:03.372 --> 01:12:05.633]  This was ridiculously obvious.
[01:12:05.633 --> 01:12:06.173]  How about it?
[01:12:06.173 --> 01:12:14.738]  And the thing that's really outrageous to Alex is seeing my president, the president of the United States, send out a simple message on a simple
[01:12:15.239 --> 01:12:15.720]  Take care.
[01:12:33.118 --> 01:12:34.038]  Enrages me.
[01:12:34.038 --> 01:12:34.618]  Me too.
[01:12:34.618 --> 01:12:35.859]  Absolute gaslighting.
[01:12:35.859 --> 01:12:39.160]  And imagine how bad it's going to get if they put their CHICOM agent in.
[01:12:39.160 --> 01:12:40.500]  Katie, bar the door.
[01:12:40.500 --> 01:12:42.441]  This is an explosive situation.
[01:12:42.441 --> 01:12:45.542]  Joe Hofke, we put it on our guest on Alex Jones with InfoWars.com.
[01:12:45.542 --> 01:12:52.184]  We're going to come back and look more at the election, but also the COVID global rollout lockdown two and the fraud.
[01:12:52.184 --> 01:12:52.864]  Three, two, one.
[01:12:54.144 --> 01:12:54.805]  Here we go!
[01:12:54.805 --> 01:12:55.525]  It's back in stock.
[01:12:55.525 --> 01:12:57.006]  It's been sold out for over eight months.
[01:12:57.006 --> 01:12:58.347]  We couldn't get it because of the lockdown.
[01:12:58.347 --> 01:13:00.088]  Pollen Block is back in stock.
[01:13:00.088 --> 01:13:01.429]  Let me tell you real quick about it.
[01:13:01.429 --> 01:13:11.516]  With the power of quail egg concentrate, Pollen Block acts differently than traditional antihistamines and was clinically studied to alleviate seasonal distress symptoms by helping to clear sinus passages and aiding respiratory function.
[01:13:11.516 --> 01:13:12.637]  It's amazing.
[01:13:12.637 --> 01:13:14.138]  Folks absolutely love it.
[01:13:14.138 --> 01:13:17.060]  And again, France has been shut down so we couldn't get it.
[01:13:17.060 --> 01:13:19.942]  Now a limited supply is back in stock.
[01:13:19.942 --> 01:13:21.883]  25% off at infowarsstore.com.
[01:13:21.883 --> 01:13:22.764]  Pollen Block again.
[01:13:23.584 --> 01:13:25.625]  It's available in this one-minute ad.
[01:13:25.625 --> 01:13:36.690]  I don't have time to tell you all about it, but believe me, I have really wanted it back in because it works naturally, unlike some of the stuff that's over the counter that makes you all be speedy and irritable and gives you a headache.
[01:13:36.690 --> 01:13:38.310]  This is naturally occurring.
[01:13:38.310 --> 01:13:45.133]  It's the secret of how the quail don't have the seasonal distress, and it's passed on somehow through their eggs to us.
[01:13:45.133 --> 01:13:46.134]  You chew up the pills.
[01:13:46.134 --> 01:13:46.914]  They taste great.
[01:13:46.914 --> 01:13:48.114]  It's available again.
[01:13:48.114 --> 01:13:49.575]  M4WarStore.com.
[01:13:49.575 --> 01:13:50.395]  Paula Block.
[01:13:50.395 --> 01:13:51.236]  M4WarStore.com.
[01:13:52.250 --> 01:13:56.095]  Cognitive dissonance is a major issue amongst the left.
[01:13:56.095 --> 01:14:00.421]  It can be very stressful dealing with facts you refuse to accept.
[01:14:00.421 --> 01:14:08.912]  If you have a family member suffering from this degenerative mental condition, buy them a bottle of Ultimate Fish Oil from Infowarsstore.com.
[01:14:09.272 --> 01:14:25.877]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure, decrease triglyceride levels, decrease the growth rate of plaque, and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[01:14:25.877 --> 01:14:36.921]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function by increasing the concentration and activity of immune cells.
[01:14:37.421 --> 01:14:45.906]  It worked for my family, and now I can have a logical and calm discussion about actual facts that pertain to reality.
[01:14:45.906 --> 01:14:55.911]  Get your ultimate fish oil for a friend, family member, or yourself at InfoWarsStore.com.
[01:14:55.911 --> 01:14:58.533]  You're listening to the Alex Jones Show.
[01:15:03.914 --> 01:15:11.301]  From the front lines of the Information War, it's Alex Jones!
[01:15:35.879 --> 01:15:46.846]  I'm Alex Jones, your host, Joe Hoff, GatewayPundit.com.
[01:15:48.268 --> 01:15:52.370]  There's been the tip of the spear, and this fraud is with us.
[01:15:52.370 --> 01:15:56.112]  And all of this, the UN, the COVID lockdown, it's all about mail-in balance.
[01:15:56.112 --> 01:15:57.493]  It's all about shutting down society.
[01:15:57.493 --> 01:15:59.394]  It's all about putting the nation under siege.
[01:15:59.394 --> 01:16:01.195]  It's all about the Great Reset.
[01:16:01.195 --> 01:16:03.296]  It's all about America never reopening.
[01:16:03.296 --> 01:16:06.118]  Communist China has said America's never reopening.
[01:16:06.118 --> 01:16:07.118]  We're totally reopened.
[01:16:07.118 --> 01:16:07.699]  COVID has
[01:16:08.399 --> 01:16:13.463]  With one blow helped us defeat America and Bloomberg brags, the American century is gone.
[01:16:13.463 --> 01:16:14.283]  Trump is defeated.
[01:16:14.283 --> 01:16:17.666]  Our globalist investments in China are paramount now.
[01:16:17.666 --> 01:16:18.927]  It's all interconnected.
[01:16:18.927 --> 01:16:27.433]  And I know you've worked internationally, lived in Asia just up until earlier this year, tying COVID and the election together and the fraud.
[01:16:27.433 --> 01:16:29.014]  Spend a few minutes on that.
[01:16:29.014 --> 01:16:30.075]  You've been spearheading as well.
[01:16:32.335 --> 01:16:33.576]  Yeah, excellent point, Alex.
[01:16:33.576 --> 01:16:41.620]  Yeah, I lived in Hong Kong for a decade and worked there and I've been in and out of China, you know, maybe a hundred times.
[01:16:41.620 --> 01:16:56.188]  And the thing that I noticed after President Trump was elected, even remember the messaging that we got as Obama's years were ending and while they were preparing for the Hillary years, was that, well, the era of the United States is done.
[01:16:56.764 --> 01:16:57.425]  The U.S.
[01:16:57.425 --> 01:17:00.046]  is fading and China is growing.
[01:17:00.046 --> 01:17:04.810]  There was even some reports that China's GDP had surpassed the U.S.'
[01:17:04.750 --> 01:17:06.091]  's GDP.
[01:17:06.091 --> 01:17:12.595]  And we were all supposed to just accept the fact that China is just going to take us over and that's all we can do about it.
[01:17:12.595 --> 01:17:19.220]  I mean, they've got more people and therefore they're going to, you know, it's just this is the way it's going to be.
[01:17:19.220 --> 01:17:22.943]  And then Trump comes in and he smashed China.
[01:17:22.943 --> 01:17:26.265]  He like walked in the ring with a mic like Mike Tyson and just
[01:17:26.973 --> 01:17:27.215]  I'm good.
[01:17:30.625 --> 01:17:39.748]  And in a loving way, as you recall, he went over to China and tried to build a relationship with Xi, and then immediately started doing the things that he needed to do.
[01:17:39.748 --> 01:17:41.069]  And he said it in a loving way to them.
[01:17:41.069 --> 01:17:43.650]  He said, hey, you guys are taking care of your country.
[01:17:43.650 --> 01:17:45.470]  We need people to take care of our country.
[01:17:45.470 --> 01:17:50.792]  You're doing the right thing, trying to protect your country, trying to make yourself, you know, prosperous, etc.
[01:17:50.792 --> 01:17:52.413]  But we need people that need to do that.
[01:17:52.413 --> 01:17:54.253]  And I don't blame you, China.
[01:17:54.253 --> 01:17:56.014]  I blame our politicians.
[01:17:56.014 --> 01:17:56.894]  And Trump was right.
[01:17:56.894 --> 01:17:58.495]  And that strategy worked really well.
[01:17:59.143 --> 01:18:01.443]  And he destroyed China, Alex.
[01:18:01.443 --> 01:18:01.665]  Bye.
[01:18:02.113 --> 01:18:04.714]  By the end of 2019, the U.S.'
[01:18:04.674 --> 01:18:07.635]  's GDP was almost twice as large as China's.
[01:18:07.635 --> 01:18:10.657]  You won't hear anybody report upon that, but you could see it.
[01:18:10.657 --> 01:18:11.017]  The U.S.
[01:18:11.017 --> 01:18:17.040]  was around 23, and China around 13 or so trillion dollars in GDP.
[01:18:17.040 --> 01:18:20.801]  You could see that companies were moving out of China.
[01:18:20.801 --> 01:18:29.525]  Trump had even encouraged companies to do it, because China wouldn't come to the table and sign a trade agreement that was good for all parties.
[01:18:29.525 --> 01:18:31.746]  They continue to steal our intellectual property.
[01:18:32.236 --> 01:18:42.922]  What Trump did was he saw that they need the United States in order to survive and in order for their economy to thrive.
[01:18:42.922 --> 01:18:46.425]  And what he did is he threatened that in a big way.
[01:18:46.425 --> 01:18:48.346]  And so I'm in Hong Kong.
[01:18:48.346 --> 01:18:55.070]  I talked to some CEO who talked to two other CEOs in China who were saying the economy was horrible.
[01:18:55.070 --> 01:18:56.711]  That was like two years ago.
[01:18:56.711 --> 01:19:00.613]  A year ago, I talked to a guy who was a plant manager in China, moving a 10,000 member
[01:19:02.236 --> 01:19:17.139]  Plant down to they wanted to move to Thailand or to Vietnam, but they couldn't because all the property there was filled up from companies leaving China getting into Southeast Asia where they can easier do business with the United States.
[01:19:17.139 --> 01:19:19.499]  They ended up having to put their plants in Thailand.
[01:19:19.499 --> 01:19:23.320]  So businesses were leaving their GDP was was going.
[01:19:23.320 --> 01:19:25.120]  I believe it was going down.
[01:19:25.120 --> 01:19:31.001]  They've never admitted that but I believe their GDP went down and this was before covid.
[01:19:31.818 --> 01:19:41.028]  And then Trump got pressured them into signing this, this deal that they didn't want to sign, but they basically had to because Trump had them exactly where, where they needed to be.
[01:19:41.028 --> 01:19:43.190]  He saw that they were at a weak point.
[01:19:43.190 --> 01:19:49.656]  And so here's China in early this year, then dropping this COVID bomb on the world.
[01:19:49.656 --> 01:19:52.940]  And, and it was a, it was a sinister.
[01:19:53.564 --> 01:20:01.186]  Uh, yet very, you know, very, uh, in the eye, probably in their eyes, a very successful move on their part because they haven't been penalized any bit.
[01:20:01.186 --> 01:20:04.206]  No way Joe Biden will penalize them for what they've done.
[01:20:04.206 --> 01:20:21.970]  And, um, the world has suffered immensely there, you know, just immensely, as we all know today, uh, Jim, my twin brother, we know, we know a gentleman who's, uh, in the hospital, um, with, uh, with COVID and, uh, he's over 80 and he's overweight and, uh, you know, that's not a good place to be.
[01:20:22.640 --> 01:20:24.161]  And we can thank China for this.
[01:20:24.161 --> 01:20:26.041]  So anyways.
[01:20:26.041 --> 01:20:27.021]  Let's expand on that.
[01:20:27.021 --> 01:20:30.483]  We have this congressman-elect who they say died of COVID.
[01:20:30.483 --> 01:20:38.025]  But then when I read the fine print, it said that Luke Letlow was being intubated in some type of surgery and died of a heart attack.
[01:20:38.025 --> 01:20:39.906]  It says right here, died of a heart attack.
[01:20:39.906 --> 01:20:41.866]  The hospital says that's the New York Post.
[01:20:41.866 --> 01:20:44.007]  Local news says died of a heart attack.
[01:20:44.007 --> 01:20:47.328]  But Politico, the New York Times said died of COVID.
[01:20:48.459 --> 01:20:50.300]  That's unbelievable, Alex, isn't it?
[01:20:50.300 --> 01:20:52.601]  The way they've counted numbers has been atrocious.
[01:20:52.601 --> 01:20:54.342]  We brought this up in the summer.
[01:20:54.342 --> 01:21:01.426]  The CDC itself said that only 6% of all deaths that they're counting as COVID deaths are actually caused by COVID only.
[01:21:01.426 --> 01:21:06.028]  The rest are deaths with COVID, not deaths caused by COVID.
[01:21:06.028 --> 01:21:07.689]  And we got a lot of flack for that.
[01:21:07.689 --> 01:21:12.152]  All the fact checkers came after us, even though we were using data from the CDC.
[01:21:12.152 --> 01:21:13.292]  We did it again this week.
[01:21:13.292 --> 01:21:13.873]  Look at 6% of the 330,000
[01:21:16.926 --> 01:21:18.235]  Deaths is closer to 20,000.
[01:21:19.674 --> 01:21:22.676]  And deaths that are just from COVID.
[01:21:22.676 --> 01:21:32.542]  You know the statistic I've found that really gets people, as you know, two months ago, John Hopkins ran a story saying year to date about the same number died in 2019 and died this year.
[01:21:32.542 --> 01:21:36.204]  Well, they all went well, maybe CDC numbers aren't all in and the year isn't over.
[01:21:36.204 --> 01:21:38.445]  So now I've hired a statistician we've used before.
[01:21:38.445 --> 01:21:39.526]  He's got a degree.
[01:21:39.526 --> 01:21:44.429]  He's a well-known guy, but we don't use his name because you'll get attacked, you know, telling the truth as you were just saying.
[01:21:44.429 --> 01:21:46.670]  Journalists, doctors that come out and tell the truth get fired.
[01:21:47.811 --> 01:21:55.445]  He's looking at the numbers, he's almost done with them, and it looks like we may have less dead this year than actually died in 2019.
[01:21:55.445 --> 01:21:57.690]  That number, there's no way they can avoid that.
[01:21:58.482 --> 01:21:59.423]  Yeah, that's amazing.
[01:21:59.423 --> 01:22:00.223]  And here's another thing.
[01:22:00.223 --> 01:22:01.965]  Somebody sent me an email just recently.
[01:22:01.965 --> 01:22:14.053]  I haven't acted on it yet as far as written anything up, but said, hey, look, usually these flu seasons begin in like November or October of the prior year and end around whatever, March, let's say.
[01:22:14.053 --> 01:22:19.477]  And yet they're still adding up all these deaths now going forward into their original numbers.
[01:22:19.477 --> 01:22:27.243]  So so the whole way they've been managing this, they've been counting for this, the way they've talked about masks, no masks.
[01:22:28.768 --> 01:22:36.090]  And whether you can, and now it's coming out for a study in Florida, that if you don't have any symptoms, there's no way you're getting anybody sick.
[01:22:36.090 --> 01:22:39.711]  And so people are just, you know, have had enough, you know?
[01:22:39.711 --> 01:22:41.871]  And people are at a tipping point here.
[01:22:41.871 --> 01:22:43.571]  So that needs to be addressed.
[01:22:43.571 --> 01:22:44.512]  I totally agree with you.
[01:22:44.512 --> 01:22:46.072]  And I want to start a slogan.
[01:22:46.072 --> 01:22:49.333]  The only way the masks are coming off is if we take them off.
[01:22:49.333 --> 01:22:53.173]  And I've been doing this for a long time, but with my family or friends, I don't make a scene.
[01:22:53.173 --> 01:22:55.094]  I wear the mask in the restaurant until we sit down.
[01:22:55.094 --> 01:22:55.914]  I'm not doing it now.
[01:22:56.474 --> 01:23:01.178]  And I'm going around everywhere and I'm educating people nicely and lovingly about it.
[01:23:01.178 --> 01:23:03.100]  And they're backing down.
[01:23:03.100 --> 01:23:04.681]  Now I've noticed they will bully women.
[01:23:04.681 --> 01:23:07.884]  There's something about men and women will bully another woman if they're not wearing a mask.
[01:23:07.884 --> 01:23:10.626]  But I've noticed they're pretty much leaving men alone.
