[00:00:02.876 --> 00:00:04.837]  This is the InfoWar.
[00:44:15.336 --> 00:44:16.557]  And we need a black mayor.
[00:44:19.341 --> 00:44:23.024]  As soon as they get a black mayor, they can really, you know, tear the city down faster.
[00:44:23.024 --> 00:44:26.267]  Just like Obama could double black unemployment.
[00:44:26.267 --> 00:44:28.449]  That's why they do that stuff.
[00:44:28.449 --> 00:44:29.850]  I mean, it is just so sick.
[00:44:29.850 --> 00:44:33.012]  Why don't you put somebody in there who's black like the Milwaukee Sheriff?
[00:44:33.012 --> 00:44:34.434]  Oh, he'd fix things.
[00:44:34.434 --> 00:44:43.761]  I guarantee you, if they put somebody in there like the Milwaukee Sheriff, not because he's black because he knows what he's doing as a constitutionalist, I guarantee in four or five years they'd have that crime rate cut in half in Chicago.
[00:44:43.761 --> 00:44:44.102]  Guarantee.
[00:44:45.080 --> 00:44:47.282]  But see, it's a criminal run system.
[00:44:47.282 --> 00:44:49.284]  They don't want it to be cut.
[00:44:49.284 --> 00:44:50.185]  They don't want it to stop.
[00:44:50.185 --> 00:44:55.730]  They want the gravy train to keep moving.
[00:44:55.730 --> 00:44:58.652]  So that's what's happening, ladies and gentlemen.
[00:44:58.652 --> 00:45:04.197]  And it's more important than ever for people to understand, when you see Rachel Maddow in two days,
[00:45:05.251 --> 00:45:18.695]  In 400-something newspapers and then 300-something newspapers the next day, attaching Alex Jones and lying about me, what does that tell you?
[00:45:18.695 --> 00:45:21.896]  That we are over the zeitgeist.
[00:45:21.896 --> 00:45:24.157]  We got payloads of truth.
[00:45:24.157 --> 00:45:25.317]  We're dropping bombs.
[00:45:25.317 --> 00:45:27.518]  We're blowing up enemy installations in the Infowar.
[00:45:28.533 --> 00:45:37.540]  Now, you can take what we've done, adapt it, learn from it, make it better, engage the globalists, start a YouTube channel, start a podcast, take action.
[00:45:37.540 --> 00:45:41.443]  And don't let COINTELPRO come in and stir you up to end fight with other people.
[00:45:41.443 --> 00:45:48.989]  That's their only hope to stop the Liberty Movement is to sit there and mess with you and vent you off into one of their little mental illness clubs.
[00:45:48.989 --> 00:45:54.594]  Take action against the New World Order today, and it will fall.
[00:45:54.594 --> 00:45:54.734]  Now,
[00:45:58.467 --> 00:46:11.590]  Another reason it's going to fall, is destined to fall, is because its entire system is full of people that were compartmentalized and now know the truth.
[00:46:11.590 --> 00:46:13.191]  So a lot of positive things are happening.
[00:46:13.191 --> 00:46:17.992]  Also, do I have a special sheet in here today?
[00:46:17.992 --> 00:46:21.673]  I don't know what the heck, people might have forgotten to bring that in.
[00:46:21.673 --> 00:46:26.014]  We're running free shipping for everybody for the next week.
[00:46:27.415 --> 00:46:30.942]  It started off as, hey, people that have, you know, were given holiday cards.
[00:46:30.942 --> 00:46:32.185]  A lot of them can be used anywhere.
[00:46:32.185 --> 00:46:34.290]  A lot of people that were given, uh...
[00:46:36.428 --> 00:46:40.009]  A little shopping cards, what do you call them?
[00:46:40.009 --> 00:46:43.870]  My mind's so full of data, you know, gift cards.
[00:46:43.870 --> 00:46:46.991]  But a lot of people have gift cards that are specific to a certain source.
[00:46:46.991 --> 00:46:50.352]  So it's frustrating for them to not be able to get the 15% off already all the other big discounts.
[00:46:50.352 --> 00:46:58.035]  It's just 15% off for everybody that uses the promo code at checkout, and it says at checkout what the promo code is.
[00:46:58.035 --> 00:46:58.255]  Okay?
[00:46:58.255 --> 00:47:00.636]  Yeah, it's GIFTS15.
[00:47:02.242 --> 00:47:07.383]  So that's all you gotta do is go to InfoWarsStore.com.
[00:47:07.383 --> 00:47:17.006]  And look, these are all, Brain Force has the known ingredients, some of them prescription from Europe, not yet prescription here, that are known naturally to just boost cognitive ability, memory, all of it.
[00:47:17.006 --> 00:47:18.127]  It's just amazing.
[00:47:18.127 --> 00:47:21.027]  BrainForceInfoWarsLife.com.
[00:47:21.027 --> 00:47:28.409]  Winter Sun, the great high quality vitamin D, the type that can be absorbed under the tongue.
[00:47:28.409 --> 00:47:29.670]  InfoWarsLife.com.
[00:47:31.598 --> 00:47:34.221]  We've got the Secret 12, Methylcobalamin, and Vitamin B12.
[00:47:34.221 --> 00:47:35.782]  The best you're going to find out there.
[00:47:35.782 --> 00:47:36.983]  We've got the Oxy Powder.
[00:47:36.983 --> 00:47:38.345]  We've got the X2.
[00:47:38.345 --> 00:47:40.307]  We've got a bunch of discounts running as well.
[00:47:40.307 --> 00:47:49.336]  But regardless, we need the funding to deal with legal and cyber security and everything we do.
[00:47:49.336 --> 00:47:53.781]  We don't get $2 billion like NBC and MSNBC to say, turn your guns in.
[00:47:54.690 --> 00:48:02.152]  We don't get $450 million a year, as I've said a thousand times or more, like NPR does, and beg for money every week, basically.
[00:48:02.152 --> 00:48:05.572]  We just get up here and we sell high-quality products and we have sponsors.
[00:48:05.572 --> 00:48:09.033]  Infowarslive.com, Infowarsstore.com.
[00:48:09.033 --> 00:48:11.933]  The Hillary for Prison shirts are limited edition.
[00:48:11.933 --> 00:48:13.054]  We're not going to make any more.
[00:48:13.054 --> 00:48:19.215]  And so while different sizes and supplies last, you can find that very popular shirt that I forgot.
[00:48:19.215 --> 00:48:22.236]  I mentioned, you know, that women and people were wearing it up at Trump rallies.
[00:48:22.236 --> 00:48:24.036]  I didn't know that Trump had actually tweeted it.
[00:48:24.921 --> 00:48:26.682]  Can we show the article today?
[00:48:26.682 --> 00:48:30.125]  Trump Tweets InfoWars T-Shirt.
[00:48:30.125 --> 00:48:33.087]  That story is up on InfoWars.com.
[00:48:33.087 --> 00:48:35.009]  It says on the back, Legalize Freedom.
[00:48:35.009 --> 00:48:37.211]  InfoWars.com.
[00:48:37.211 --> 00:48:40.914]  And Weldon, again, said the last shipment came in.
[00:48:40.914 --> 00:48:42.095]  And that is what is available.
[00:48:42.095 --> 00:48:44.496]  It's so popular, I might make another variant of it or something.
[00:48:44.496 --> 00:48:46.058]  People are begging me not to get rid of it.
[00:48:46.058 --> 00:48:49.841]  But Hillary for President 2016.
[00:48:49.841 --> 00:48:51.962]  Well, it's now Hillary for Prison.
[00:48:51.962 --> 00:48:53.864]  And you can see the shirt at InfoWars.com.
[00:48:55.162 --> 00:49:03.991]  You have to understand, folks, that this is the animating contest for liberty.
[00:49:03.991 --> 00:49:10.758]  And I know the reason we're having a big effect is you are taking action, supporting our local affiliates, spreading the word.
[00:49:12.355 --> 00:49:22.102]  And we are a committed organization that will never back down, that will never falter or waver in our steadfastness to never quit.
[00:49:22.102 --> 00:49:26.765]  We may falter or waver in the fight, but our hearts will not falter and waver until they cease to be.
[00:49:28.888 --> 00:49:34.573]  And I just feel so sorry for people that are scared or on the fence who haven't gotten past their fear and committed.
[00:49:34.573 --> 00:49:45.003]  It's like coming out of a storm when you're on a sailboat and it's windy and it's scary and a squall blows through and you're out there for 30 minutes and you never think it's going to end and the boat might turn over and all of a sudden the squall blows out.
[00:49:45.003 --> 00:49:48.626]  I was on a sailboat with my dad one time as a kid when that happened.
[00:49:48.626 --> 00:49:55.312]  It's called a black squall or a blue squall and it was just blue sky and beautiful on that lake after we came through that.
[00:49:58.700 --> 00:50:03.623]  And when we come through that, it's such a great thing.
[00:50:03.623 --> 00:50:11.387]  We give in to this, we shut up, we go along, we keep our heads down, we lose our heads.
[00:50:11.387 --> 00:50:18.171]  And to be a man, to be a human, is to truly defend your country and your ideals and your family.
[00:50:18.171 --> 00:50:20.633]  And I know I'm doing that, and I am so fulfilled
[00:50:22.924 --> 00:50:24.507]  It is humbling.
[00:50:24.507 --> 00:50:34.121]  When you really get fulfilled, when you really become a man, and that just means following the directive of what a man does, it is amazing.
[00:50:34.121 --> 00:50:37.487]  And I look around me and I see all these scared men trying to act like tough guys.
[00:50:38.789 --> 00:50:41.971]  And I realize that they have the potential to be real men.
[00:50:41.971 --> 00:50:47.893]  But they've got to first humble themselves and realize that they have a duty to stand up for others around them.
[00:50:47.893 --> 00:50:51.055]  And that means learning what's happening and then taking action.
[00:50:51.055 --> 00:50:55.177]  And standing up to ridicule, attacks, and persecution.
[00:50:55.177 --> 00:50:56.698]  Then you will be a man.
[00:50:56.698 --> 00:50:57.118]  Stay with us.
[00:50:58.680 --> 00:51:00.060]  Are you prepared to bug out?
[00:51:00.060 --> 00:51:07.942]  Infidel Body Armor and an Army Ranger have produced a high-speed DVD and book to show you how to drive in combat, patrol, and how to survive in combat.
[00:51:07.942 --> 00:51:09.982]  Skills you'll need when it hits the fan.
[00:51:09.982 --> 00:51:11.682]  Go to DrivenDVD.com.
[00:51:11.682 --> 00:51:13.763]  DrivenDVD.com.
[00:51:13.763 --> 00:51:19.143]  Advertising your business with GCN is simple, effective, and more affordable than you might think.
[00:51:19.143 --> 00:51:22.784]  Visit Advertise.GCNLive.com for more info.
[00:51:22.784 --> 00:51:24.724]  Take your business to the next level.
[00:51:24.724 --> 00:51:27.785]  That's Advertise.GCNLive.com.
[00:51:28.934 --> 00:51:36.058]  As the cold and flu season approaches, Silver Lungs is ready to help you and your family through the toughest of the year by supporting your immune system and overall health.
[00:51:36.058 --> 00:51:42.903]  From our best-selling colloidal silver generating system to our entire line of silver-based skin gels, nasal sprays, soaps, and silver solutions.
[00:51:42.903 --> 00:51:47.706]  Silver solutions remain one of nature's most powerful and least expensive antibacterial agents.
[00:51:47.706 --> 00:51:54.170]  Now you can produce your own for pennies a day in the comfort of your home using the breakthrough technology of the Silver Lungs Generator.
[00:51:54.170 --> 00:51:57.292]  Learn more today at www.SilverLungs.com.
[00:51:58.072 --> 00:51:59.032]  Hey, Berkey Guy here.
[00:51:59.032 --> 00:52:00.853]  Are you still drinking unfiltered tap water?
[00:52:00.853 --> 00:52:02.634]  Does your water contain chlorine or fluoride?
[00:52:02.634 --> 00:52:04.575]  Will you have drinkable water in an emergency?
[00:52:04.575 --> 00:52:10.578]  The Berkey Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:52:10.578 --> 00:52:14.219]  We offer Berkey water purification systems at the lowest available prices online.
[00:52:14.219 --> 00:52:16.180]  Don't go another moment without a Berkey system.
[00:52:16.180 --> 00:52:19.301]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:52:19.301 --> 00:52:22.563]  Join them by visiting GoBerkey.com or call me, the Berkey Guy, at 877-886-3653.
[00:52:22.563 --> 00:52:22.763]  That's 877-886-3653.
[00:52:27.725 --> 00:52:30.786]  My dad was 59 when he collapsed from a heart attack late last year.
[00:52:30.786 --> 00:52:33.427]  Just this past August was when we spread his ashes on the St.
[00:52:33.427 --> 00:52:34.148]  Croix River.
[00:52:34.148 --> 00:52:36.389]  I loved my dad, but boy was he stubborn.
[00:52:36.389 --> 00:52:39.350]  He hadn't been to the doctor in over 25 years.
[00:52:39.350 --> 00:52:40.230]  His excuse?
[00:52:40.230 --> 00:52:41.551]  He simply couldn't afford it.
[00:52:41.551 --> 00:52:43.171]  He wasn't a rich man by any means.
[00:52:43.171 --> 00:52:48.934]  At less than $107 per month, LibertyOnCall.org would have been the perfect alternative for my father.
[00:52:48.934 --> 00:52:49.974]  Don't wait.
[00:52:49.974 --> 00:52:52.635]  Go to LibertyOnCall.org right now.
[00:52:52.635 --> 00:52:55.116]  For not just your sake, but for the sake of your loved ones.
[00:52:55.116 --> 00:52:56.717]  Again, that's LibertyOnCall.org.
[00:52:57.717 --> 00:53:06.100]  If you or someone you care about loves outdoor adventure, then check out SlingBow.com for some unique holiday gift ideas.
[00:53:06.100 --> 00:53:14.764]  That's SlingBow.com, where we have some innovative new products for the archer, hunter, or bow fishing enthusiast in your family.
[00:53:14.764 --> 00:53:19.466]  Now through January, use the promo code HOLIDAY to get free shipping in the U.S.
[00:53:19.466 --> 00:53:20.606]  or Canada.
[00:53:20.606 --> 00:53:26.509]  And from all of us at SlingBow Industries, have a safe, joyous, and peaceful holiday season.
[00:53:27.529 --> 00:53:31.470]  A lot of people's lives and bodies are out of balance.
[00:53:31.470 --> 00:53:36.932]  AlkaVision Plasma pH Drops optimize pH level and get rid of harmful waste and acid.
[00:53:36.932 --> 00:53:41.514]  Just a few drops in water restores vibrance and energy and gets you back in balance.
[00:53:41.514 --> 00:53:44.155]  Now order two bottles and get $10 off your order.
[00:53:44.155 --> 00:53:45.995]  Sign up for monthly auto shipping and save 25%.
[00:53:45.995 --> 00:53:47.136]  Call 800-518-7615 or visit alkavision.com.
[00:53:47.136 --> 00:53:47.816]  Alkalize your body.
[00:53:47.816 --> 00:53:48.936]  Supercharge your health at alkavision.com.
[00:54:23.991 --> 00:54:36.600]  Well, whether it's the Turkish government...
[00:54:46.542 --> 00:54:48.504]  Or whether it's some of these U.S.
[00:54:48.504 --> 00:54:52.747]  government, CIA-funded domestic schools that are teaching caliphate.
[00:54:52.747 --> 00:55:04.117]  If they think hacking and continuing to hack InfoWars, as they're doing currently right now, is going to make us leave them alone, boy, I am coming after you now.
[00:55:04.117 --> 00:55:13.745]  So, doesn't mean I'm going to defeat you, but my listeners and all the people that we're going to chain reaction are going to come after you now.
[00:55:15.834 --> 00:55:22.637]  And I'm already after the Turkish corrupt government trying to murder every Christian and get their hands on, like they're Armenians or something.
[00:55:22.637 --> 00:55:24.837]  I'm already going after all of it.
[00:55:24.837 --> 00:55:27.278]  Period.
[00:55:27.278 --> 00:55:31.900]  And I'm gonna go after anybody else that defends it, like those Young Turks.
[00:55:31.900 --> 00:55:35.361]  The Young Turk Party, folks, do you realize what the Young Turks did?
[00:55:35.361 --> 00:55:36.702]  The real Young Turk Party?
[00:55:36.702 --> 00:55:38.683]  This is all just sick jokes in our face.
[00:55:39.497 --> 00:55:41.398]  The more I sit back and look at it.
[00:55:41.398 --> 00:55:45.680]  And the left where they're all fake laughing like they're friendly and they're good.
[00:55:45.680 --> 00:55:50.342]  They're sick taking this country down.
[00:55:50.342 --> 00:55:55.484]  And then they use the radical Islamic attacks on this country to take our freedoms.
[00:55:55.484 --> 00:55:59.526]  By the way, you know Jerry Brown signed the law, AB 1014.
[00:55:59.526 --> 00:56:03.508]  This is the KPCC headline.
[00:56:03.508 --> 00:56:07.530]  Police in California can seize guns without prior notice starting January 1st.
[00:56:08.897 --> 00:56:10.078]  It's not a real warrant.
[00:56:10.078 --> 00:56:11.679]  It's not a real restraining order.
[00:56:11.679 --> 00:56:19.005]  They just announced that they think you need to have a quote, wellness check, and they come and grab you and grab your guns.
[00:56:19.005 --> 00:56:24.130]  And then the way it works is you got to spend 20, 30 grand to get them back.
[00:56:24.130 --> 00:56:29.614]  I remember that headline two years ago, gun confiscation begins in California, Bloomberg business.
[00:56:29.614 --> 00:56:37.260]  See, in New York, Massachusetts, District of Columbia, areas like Chicago, California, they're just beta testing
[00:56:38.200 --> 00:56:40.681]  Stuff outside of law or passing laws.
[00:56:40.681 --> 00:56:43.783]  I mean, they're coming for our guns.
[00:56:43.783 --> 00:56:46.785]  They're coming for our basic freedoms.
[00:56:46.785 --> 00:56:52.608]  Police of California can seize guns without prior notice starting January 1st.
[00:56:52.608 --> 00:56:53.828]  Isn't that just special?
[00:56:53.828 --> 00:56:56.490]  Family members who believe a loved one poses a danger.
[00:56:56.490 --> 00:56:59.491]  Well, if they have proof or any statements, the police already have probable cause.
[00:56:59.491 --> 00:57:00.031]  But no, no, no.
[00:57:00.031 --> 00:57:00.872]  It's just they just feel.
[00:57:02.441 --> 00:57:11.010]  Family members who believe a loved one poses a danger to themselves or others will be able to ask police to seek a temporary gun violence restraining order from a judge.
[00:57:11.010 --> 00:57:14.374]  But if you actually read, it's these rubber stamps, like the blood draws they do.
[00:57:14.374 --> 00:57:19.079]  Beginning January 1st, the order would allow police to seize the person's guns for 21 days.
[00:57:19.079 --> 00:57:20.640]  Uh, yeah, right.
[00:57:20.640 --> 00:57:22.422]  State lawmakers approved the legislation.
[00:57:22.422 --> 00:57:23.623]  Gary Brown signed it into law.
[00:57:24.480 --> 00:57:26.082]  And then it just goes on through it.
[00:57:26.082 --> 00:57:39.619]  Oh, how about the FBI was trying to stop the two reported shooters in San Bernardino, but was ordered two years ago to stand down, and they had a Justice Department racism investigation done on them.
[00:57:41.198 --> 00:57:43.339]  Roger Stone sent me this article today.
[00:57:43.339 --> 00:57:46.441]  Donald Trump takes on Bill Clinton's behavior towards women.
[00:57:46.441 --> 00:57:53.945]  He of course, Trump Insider, told you a month ago when he was here and then again a few weeks ago that he's going to bring up Bill Clinton and all the rape settlements.
[00:57:53.945 --> 00:58:00.088]  So is Bill Clinton approaching his Cosby moment?
[00:58:00.088 --> 00:58:04.030]  Very bold by Mr. Trump.
[00:58:06.052 --> 00:58:07.393]  And we think it should be brought out.
[00:58:07.393 --> 00:58:09.634]  It's a fair game, as he says.
[00:58:09.634 --> 00:58:11.575]  Hey, how about this one to end the hour?
[00:58:11.575 --> 00:58:12.256]  Delusional!
[00:58:12.256 --> 00:58:14.897]  They're not delusional.
[00:58:14.897 --> 00:58:15.398]  The U.S.
[00:58:15.398 --> 00:58:18.620]  State Department credits Washington with bringing peace to Syria.
[00:58:18.620 --> 00:58:23.603]  The State Department actually ran the destabilization of Syria because the Pentagon wasn't wholeheartedly for it.
[00:58:23.603 --> 00:58:28.446]  Hillary was cheap cook and bottle washer over the whole thing.
[00:58:28.446 --> 00:58:29.967]  Gave birth to ISIS.
[00:58:29.967 --> 00:58:33.229]  And now the same State Department comes out and takes credit for bringing peace.
[00:58:35.131 --> 00:58:38.856]  I mean, these people got a lot of nerve.
[00:58:38.856 --> 00:58:40.438]  You didn't build that business either, huh?
[00:58:40.438 --> 00:58:41.520]  Stay with us.
[00:58:41.520 --> 00:58:43.443]  Tell your friends and family to tune in.
[00:58:43.443 --> 00:58:44.965]  Visit GCNlive.com today.
[00:58:48.519 --> 00:58:52.041]  When cells become toxic, they die early and aging sets in.
[00:58:52.041 --> 00:59:00.285]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:59:00.285 --> 00:59:05.707]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:59:05.707 --> 00:59:08.229]  You want the best that's out there at the lowest price anywhere?
[00:59:08.229 --> 00:59:10.330]  We now have the synergistic solution.
[00:59:10.330 --> 00:59:14.532]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:59:18.351 --> 00:59:19.451]  BrainForce is here.
[00:59:19.451 --> 00:59:21.672]  Ladies and gentlemen, I've been on this the last few months.
[00:59:21.672 --> 00:59:26.654]  You've probably noticed I've been more focused, less brain fog, more energy, and it's because of BrainForce.
[00:59:26.654 --> 00:59:29.935]  There's always hidden additives in your food, even organic food has hidden additives.
[00:59:29.935 --> 00:59:33.436]  Staring at the computer all day, working, doing good, you're still damaging your brain.
[00:59:33.436 --> 00:59:35.417]  Ultimately, we've all been dumbed down to some degree.
[00:59:35.417 --> 00:59:37.517]  It doesn't have stimulants, it doesn't have garbage in it.
[00:59:37.517 --> 00:59:39.518]  It has natural things that do it clean.
[00:59:39.518 --> 00:59:45.100]  You will find BrainForce and other game-changing products at Infowarslife.com or call 888-253-3139.
[00:59:51.048 --> 00:59:53.667]  You're listening to The Alex Jones Show!
[01:00:08.360 --> 01:00:15.003]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:00:15.003 --> 01:00:22.806]  Kevin Booth, fresh back from Turkey, is going to be in studio with us with major investigative info.
[01:00:22.806 --> 01:00:32.070]  One reason we may be getting a massive hack attack ongoing right now, it's still ongoing, but that which doesn't kill us only makes us stronger and helps us learn, so thank you.
[01:00:32.070 --> 01:00:35.572]  But right now, let's go ahead and go to the special report and I'll be back after the break with Kevin Booth in studio.
[01:00:36.451 --> 01:00:38.171]  Kid Daniels, InfoWars.com.
[01:00:38.171 --> 01:00:49.734]  Let's talk about so-called white privilege, this notion that white people have advantages in society simply because of their skin color or the fact that their ancestors may have taken land or goods from other ethnic groups in centuries past.
[01:00:49.734 --> 01:00:59.797]  I'm sure you've heard the phrase before on the internet, particularly mainstream media, especially after the recent University of Missouri protests, where protesters demanded that the university president
[01:01:00.217 --> 01:01:03.939]  Recognize his white privilege, but are white people the only ones with racial privilege?
[01:01:03.939 --> 01:01:05.640]  I mean, do they have a monopoly on it?
[01:01:05.640 --> 01:01:07.481]  And by the way, what exactly is a white person?
[01:01:07.481 --> 01:01:11.904]  I mean, in college, I had a roommate who was one 16th African American.
[01:01:11.904 --> 01:01:15.086]  So does that mean he only has 15th, 16th white privilege?
[01:01:15.086 --> 01:01:16.287]  I mean, how do we define that?
[01:01:16.287 --> 01:01:22.511]  I mean, are we going to have to use Nazi family tree charts, for example, to determine how white a person is?
[01:01:22.511 --> 01:01:28.034]  If their mother or grandmother was white, that means he has this much white privilege or how do we define that?
[01:01:28.294 --> 01:01:36.858]  This very notion that you can group people into racial groups that have certain privileges is racist in itself, because at that point you're not even looking at people by their individual qualities.
[01:01:36.858 --> 01:01:37.899]  You're grouping them by race.
[01:01:37.899 --> 01:01:42.201]  You're inviting them into races, and that is inherently racist when you judge people by their skin color.
[01:01:42.201 --> 01:01:47.144]  But for the sake of discussion, let's take the leftist argument that all white people are into one group.
[01:01:47.144 --> 01:01:53.227]  Does that one group really have all the privileges in the world, or do other groups also have advantages present in the past?
[01:01:53.407 --> 01:02:06.883]  For one thing, a couple years ago I saw this video that went viral online of these anti-illegal immigration protesters who were confronted by this Native American who was claiming that, hey, you are all illegals, you are all invaders, go back to Europe, go back to your own countries.
[01:02:06.883 --> 01:02:08.785]  You're all illegal!
[01:02:08.785 --> 01:02:10.667]  You're all illegal!
[01:02:10.667 --> 01:02:12.269]  We didn't invite none of you here!
[01:02:12.469 --> 01:02:15.431]  And of course the leftists took the video to claim that, hey, he's right.
[01:02:15.431 --> 01:02:19.934]  You know, white people really did come in here and use their privilege to take the land away from the Native Americans.
[01:02:19.934 --> 01:02:21.475]  But here's what they're not telling you.
[01:02:21.475 --> 01:02:25.979]  Most of these Native American tribes back in the day were fighting each other for the same land.
[01:02:25.979 --> 01:02:30.722]  You know, you had, so, for example, the Comanches fighting the Wichita and so forth.
[01:02:30.862 --> 01:02:34.024]  Basically speaking, the Native American tribes did have an advantage.
[01:02:34.024 --> 01:02:35.365]  They were on this land first.
[01:02:35.365 --> 01:02:40.448]  They were on this land thousands of years before the first Europeans even set sight on this land.
[01:02:40.448 --> 01:02:41.429]  So they had an advantage.
[01:02:41.429 --> 01:02:43.030]  They had a privilege.
[01:02:43.030 --> 01:02:46.712]  They had this land before anyone else, and that was a huge advantage.
[01:02:46.712 --> 01:02:48.773]  Simply put, they fought each other over it.
[01:02:48.773 --> 01:02:54.217]  So you had this whole conquest mentality that predated the first Europeans setting foot on North America.
[01:02:54.417 --> 01:03:05.984]  You know, on the other side of the world, and I'm not talking about white European side of the world, you had the Ottomans, and the Persians, and the Arabs, and so on and so forth, all these non-whites that were fighting each other over the same pieces of land.
[01:03:05.984 --> 01:03:09.887]  So, you know, you see this conquest ethics, this conquest mentality.
[01:03:09.887 --> 01:03:12.148]  It's not just, white people don't have a novelty on it.
[01:03:12.148 --> 01:03:19.753]  It wasn't just the British Empire, and the Spanish Empire, and the Portuguese Empire, Roman Empire, all these empires that were predominantly Caucasian,
[01:03:20.373 --> 01:03:21.373]  So to speak.
[01:03:21.373 --> 01:03:23.334]  They didn't have a monopoly on conquest.
[01:03:23.334 --> 01:03:28.937]  Just about every single ethnic group in the world has had a conquest at a time or two.
[01:03:28.937 --> 01:03:34.179]  But going back to the Native American example, the current core tenet of social justice is to correct for history.
[01:03:34.179 --> 01:03:38.641]  For example, let's say that the United States decides to give all its land back to the Native Americans.
[01:03:38.641 --> 01:03:41.882]  You know, the country is going to shut down and give the land back to who was here first.
[01:03:41.882 --> 01:03:42.623]  But who do you give it to?
[01:03:42.623 --> 01:03:45.664]  Do you give it to the Apache or to the Comanche or the Navajo?
[01:03:46.304 --> 01:03:54.127]  I mean, the point being all these tribes occupy the same land at one point or the other and they all fought each other over it.
[01:03:54.127 --> 01:03:55.228]  So who do you give the land to?
[01:03:55.228 --> 01:04:02.151]  I mean, you get this complex history, this world history of conquest and divide and conquer and what have you.
[01:04:02.151 --> 01:04:11.495]  So there is no rectifying history concerning that every single ethnic group in world history is guilty of conquest and oppression.
[01:04:11.775 --> 01:04:15.998]  And all these leftists and social justice warriors are out protesting against white privilege.
[01:04:15.998 --> 01:04:23.724]  They're complete hypocrites because you never see one of them say that, hey, I'm going to quit my job at this company so a misplaced minority can take my place.
[01:04:23.724 --> 01:04:31.229]  Or the college kids, for example, you never hear them say, hey, I'm going to withdraw from the university so that a misplaced minority can take my seat in this classroom.
[01:04:31.229 --> 01:04:32.630]  No, you never hear that at all, do you?
[01:04:32.870 --> 01:04:35.832]  That's the sheer hypocrisy of the social justice warrior movement.
[01:04:35.832 --> 01:04:42.076]  They want to take things from you and give it to minorities they say are being oppressed without doing it themselves.
[01:04:42.076 --> 01:04:46.319]  And how are they going to decide which minorities are the most oppressed anyway?
[01:04:46.319 --> 01:04:51.642]  I mean, simply put, every single ethnic group in world history has been oppressed at one time or another.
[01:04:51.642 --> 01:04:53.723]  So what are you going to do then about all this inequality?
[01:04:53.723 --> 01:04:54.464]  Well, it's pretty simple.
[01:04:54.804 --> 01:05:00.168]  Quit dividing people by racial groups, quit judging them by their skin color, and instead see people as individuals.
[01:05:11.215 --> 01:05:15.099]  Will be returned to the United States after being caught in Mexico.
[01:05:15.099 --> 01:05:22.186]  Ethan Couch, age 18, and his mother, Tanya, were taken into custody Monday evening in a resort in Mexico.
[01:05:22.186 --> 01:05:28.433]  Couch became known in the United States as the Affluenzatine during his trial in juvenile court over the 2013 deaths.
[01:05:29.614 --> 01:05:36.000]  When a psychologist said he was so wealthy and spoiled that he could not tell the difference between right and wrong.
[01:05:36.000 --> 01:05:40.064]  He has been serving 10 years probation for intoxication manslaughter.
[01:05:40.064 --> 01:05:42.707]  A sentence critics saw as far too light.
[01:05:42.707 --> 01:05:50.454]  Cowt and his mother disappeared earlier this month, prompting officials in Tarrant County, Texas to issue a warrant for his apprehension.
[01:05:50.454 --> 01:05:53.577]  You can find more reports on InfoWars.com.
[01:05:58.396 --> 01:06:05.303]  In the 15-year history of PrisonPlanet.TV, we have never offered 6 months free at Christmas.
[01:06:05.303 --> 01:06:08.205]  We've always offered 5 months free.
[01:06:08.205 --> 01:06:14.131]  But since I announced 6 free months a few days ago, we have seen record numbers of sign-ups.
[01:06:14.131 --> 01:06:17.494]  PrisonPlanet.TV began 15 years ago.
[01:06:17.494 --> 01:06:20.497]  It's grown into InfoWars, Nightly News, and so much more.
[01:06:20.797 --> 01:06:29.785]  All of my documentary films, scores of e-books, and other exclusive documentaries are available for streaming or download in HD at PrisonPlanet.tv.
[01:06:29.785 --> 01:06:40.514]  You don't just get six months free when you sign up from Christmas through New Year's, you also get to share that membership with up to 20 people simultaneously using your username.
[01:06:40.774 --> 01:06:48.339]  You can also sign up for a trial month and only pay $5.95, and then 20 of you and your friends and family can watch PrisonPlanet.TV.
[01:06:48.339 --> 01:06:50.421]  Get 20 memberships at half price.
[01:06:50.421 --> 01:06:52.522]  Be the Paul Revere in your community.
[01:06:52.522 --> 01:06:56.064]  That's 6 months free when you sign up for a year at PrisonPlanet.TV.
[01:06:58.217 --> 01:06:58.617]  I don't
[01:07:18.049 --> 01:07:18.329]  I think so.
[01:07:38.374 --> 01:07:39.235]  It's so simple.
[01:07:39.235 --> 01:07:41.657]  Don't throw those gift cards away.
[01:07:41.657 --> 01:07:50.064]  Use that money to get high quality products and save 15% in the process, all the while funding the tip of the spear in the fight for human liberty worldwide.
[01:07:50.064 --> 01:07:51.465]  That's a 360 win.
[01:07:51.465 --> 01:07:53.306]  Don't donate your money to the banksters.
[01:07:53.306 --> 01:07:57.610]  Visit InfowarsStore.com and help fund the tip of the spear in the fight for human liberty.
[01:08:13.769 --> 01:08:15.571]  We are on the march.
