[00:00.000 --> 00:04.000]  Forgive me, I have scammed.
[1:05:15.000 --> 1:05:18.000]  He just says, well, I'm going to negotiate a better deal.
[1:05:18.000 --> 1:05:23.000]  Well, how exactly are you going to negotiate that? What magic wand do you have?
[1:05:23.000 --> 1:05:27.000]  And usually the answer is you don't have an answer.
[1:05:27.000 --> 1:05:34.000]  Well, Obama, President-elect Trump has yet to begin his presidency and he is already saving jobs in America.
[1:05:34.000 --> 1:05:42.000]  And he has successfully negotiated a deal with air conditioner company Carrier to keep 1,000 jobs in the U.S.
[1:05:42.000 --> 1:05:51.000]  No magic wand, just good negotiating skills and a passion to put America first and save the working class hero.
[1:05:51.000 --> 1:05:56.000]  I'm Darren McBreen and you can learn more right now at infowars.com.
[1:06:22.000 --> 1:06:26.000]  Basically creating your own private power grid anywhere in the world.
[1:06:26.000 --> 1:06:29.000]  A true innovation. I have never seen anything like this.
[1:06:29.000 --> 1:06:33.000]  You're going to want to load up on these. One for your truck, your wife's car, your house, cabin.
[1:06:33.000 --> 1:06:37.000]  It's even a great Christmas idea if you've got a friend who wants to get off the grid.
[1:06:37.000 --> 1:06:42.000]  Go to privatepowergrid.com. That's privatepowergrid.com and check this out.
[1:06:42.000 --> 1:06:50.000]  Buy one right now. Use coupon code private at checkout and get a second one free on with $300 in free off-the-grid bonuses.
[1:06:50.000 --> 1:06:56.000]  Check it out. Privatepowergrid.com. Limited one per household. Privatepowergrid.com.
[1:06:56.000 --> 1:07:03.000]  More than two years ago, info wars first told you about our research into what has been called the iodine conspiracy.
[1:07:03.000 --> 1:07:08.000]  I've told you about how scientists have known for decades that iodine deficiencies can devastate IQ
[1:07:08.000 --> 1:07:16.000]  and how the government knowingly started taking iodine out of the food and adding fluoride, the bad member of the halogen family, into the water.
[1:07:16.000 --> 1:07:23.000]  They took the good halogen and put the deadly halogen in. And when the Fukushima crisis worsened, as it still is worsening today,
[1:07:23.000 --> 1:07:26.000]  I was there telling you how to prepare yourself and your family.
[1:07:26.000 --> 1:07:33.000]  Now in 2016, even more information has been revealed concerning the connection between iodine and the gut,
[1:07:33.000 --> 1:07:39.000]  which many experts are now saying could be the biggest revelation ever concerning iodine.
[1:07:39.000 --> 1:07:41.000]  You can pull these studies up for yourself.
[1:07:41.000 --> 1:07:47.000]  This is the real deal, folks, and the truth is that iodine is essential, in my view, to any optimum health regimen.
[1:07:47.000 --> 1:08:16.000]  Stock up on Survival Shield X2 Today at infowarslife.com or by calling 888-253-3139.
[1:08:16.000 --> 1:08:26.000]  Welcome back to The Alex Jones Show. I'm David Knight and we're joined right now by Gerald Salenty.
[1:08:26.000 --> 1:08:30.000]  And of course Gerald Salenty is no stranger to the infowars audience.
[1:08:30.000 --> 1:08:37.000]  He's a trend forecaster, publisher of Trends Journal. You can find that at TrendsResearch.com.
[1:08:37.000 --> 1:08:45.000]  He describes himself as a political atheist, so I'm curious to see what Gerald Salenty thinks about this post-election.
[1:08:45.000 --> 1:08:51.000]  If he's optimistic about the future, we've talked to him, especially we're very interested to have you, Gerald,
[1:08:51.000 --> 1:08:56.000]  at the end of each year, giving us a forecast of what you think is coming up for the next year.
[1:08:56.000 --> 1:09:00.000]  So I know you're going to talk about what you think is going to be coming up in 2017.
[1:09:00.000 --> 1:09:05.000]  I know war was a big part of the forecast the last several years, and you were right about that.
[1:09:05.000 --> 1:09:08.000]  We had a president who began even before he took office.
[1:09:08.000 --> 1:09:15.000]  He was given a Nobel Peace Prize, and then we saw him start more wars than any president in my memory recently.
[1:09:15.000 --> 1:09:19.000]  Hopefully, maybe things are going to cool down with this.
[1:09:19.000 --> 1:09:25.000]  But let's talk about the economy first. How do you feel in terms of the stock market looks very optimistic?
[1:09:25.000 --> 1:09:32.000]  Consumers look very optimistic at this point. We've seen President Trump elect working with Carrier.
[1:09:32.000 --> 1:09:39.000]  And of course, as I mentioned in the last segment, that could be a bad thing if they are bribing this company to stay in the United States.
[1:09:39.000 --> 1:09:44.000]  But maybe it's a good thing. Maybe he just applied pressure to them and said, hey, you're a defense contractor,
[1:09:44.000 --> 1:09:46.000]  you're owned by a defense contractor, United Technologies.
[1:09:46.000 --> 1:09:52.000]  Maybe you should think about buying American labor so that we buy your American products.
[1:09:52.000 --> 1:09:57.000]  He might have also explained to them, we're going to create a very favorable environment here with a tax restructure.
[1:09:57.000 --> 1:09:59.000]  What's your take on this, Gerald?
[1:09:59.000 --> 1:10:07.000]  Well, before I go into that, and I was listening to your segment, and I'd just like to comment on a few of the things that you were talking about, if I may.
[1:10:07.000 --> 1:10:08.000]  Sure.
[1:10:08.000 --> 1:10:17.000]  And one of them is, for example, how the media immediately, after Trump's victory, how they came after him.
[1:10:17.000 --> 1:10:28.000]  I remember USA Today, the next day, as soon as he showed that he won, or two days later, it was Trump goes into office with 76 or 74 lawsuits following him.
[1:10:28.000 --> 1:10:32.000]  That was the headline in USA Today when you went online.
[1:10:32.000 --> 1:10:37.000]  I want to show you the hypocrisy of the prostitute media.
[1:10:37.000 --> 1:10:46.000]  And when I was on with Alex on election day, and Alex kept saying, this is the end of Hillary Clinton, the end of the mainstream media,
[1:10:46.000 --> 1:10:51.000]  and I kept repeating over and over again, I said, Alex, you got it right.
[1:10:51.000 --> 1:10:54.000]  That's exactly what we're seeing.
[1:10:54.000 --> 1:11:08.000]  The mainstream media is dead. They came out with all this crap about fake news because they're trying to get even with everybody else for all the wrong calls that they've made.
[1:11:08.000 --> 1:11:11.000]  They're declining revenues.
[1:11:11.000 --> 1:11:20.000]  When you're looking at newspapers, the Wall Street Journal is down 40% from what it used to be, just within the last three weeks.
[1:11:20.000 --> 1:11:25.000]  You're looking at the ratings going down, plummeting after this election.
[1:11:25.000 --> 1:11:32.000]  They're doing this, trying to gain lost audiences by attacking other people.
[1:11:32.000 --> 1:11:41.000]  So I want to show you the hypocrisy of these little low lives, rather than whether or not you like Trump.
[1:11:41.000 --> 1:11:48.000]  And again, as a political atheist, I look at things to the way they are and not the way I want them to be.
[1:11:48.000 --> 1:11:52.000]  But also, I'm an American and I'm American first.
[1:11:52.000 --> 1:12:05.000]  So we have a new president. We all, again, as we have over the decades, you may not have liked who you got into office, but hey, let's try to make this work the best we can.
[1:12:05.000 --> 1:12:19.000]  I want to show you factually, rather than just speaking words about the blatant hypocrisy of these little prostitute medias with Cajones the size of mothballs.
[1:12:19.000 --> 1:12:29.000]  Oh, and by the way, I believe we should be able to say the real words because one of the victories of Trump is political correctness is dead.
[1:12:29.000 --> 1:12:38.000]  He killed it. He murdered it. And also politics is dead. People are disgusted with it.
[1:12:38.000 --> 1:12:43.000]  And it's not only in the United States, and we'll talk about it more, it's global.
[1:12:43.000 --> 1:12:50.000]  It's the Freedom Party in Austria. It's the alternative for Deutschland in Germany.
[1:12:50.000 --> 1:13:01.000]  It's Le Pen's party and the new guy that just won the primary Milan. They want to bring back the respect and dignity of what their cultures represented.
[1:13:01.000 --> 1:13:14.000]  It's not about politics. It's not about the other thing that keeps saying about Trump bringing in all of these people that are unqualified, don't have government experience.
[1:13:14.000 --> 1:13:28.000]  Oh, government experience. Oh, you mean a politician, the guys that sell you out and get paid off for it, and they call it campaign contributions from what we used to call the Bronx bribes and payoffs.
[1:13:28.000 --> 1:13:40.000]  That kind of experience. No, he's bringing in a whole clean slate for the most part. Not all of it. He still did some political stuff, bringing in McConnell's wife and others.
[1:13:40.000 --> 1:13:51.000]  Separating that and bringing it to the higher level with Mnuchin and Wilbur Ross. This is a whole clean slate and looking at things differently.
[1:13:51.000 --> 1:14:01.000]  But I want to go back to the hypocrisy. Here's Obama, the media promoting the liar in chief. Oh, no experience.
[1:14:01.000 --> 1:14:16.000]  How about I'm a community organizer from Chicago organize nothing. And I wrote about in the trends journal before he got elected, admitting that he did nothing of any substance as a community organizer.
[1:14:16.000 --> 1:14:31.000]  Oh, that little boy, that liar in chief, you mentioned about the Nobel Peace, a crap prize winner who gets into office and then it escalates the Afghan war by 33,000 troops.
[1:14:31.000 --> 1:14:47.000]  Thousands of that over 1000 of our men killed, thousands wounded, slaughtered tens of thousands of Afghans, the Libyan war. Here's the here is the coverage immediately after Obama won.
[1:14:47.000 --> 1:14:55.000]  Now compare it to the little prostitutes that are attacking Trump on every little issue. Check out that cover.
[1:14:55.000 --> 1:15:10.000]  Oh, yeah. New. New York, all new. You ready for this? The truly radical politics of Barack Obama. Radical politics. Hey, you little lying SOB.
[1:15:10.000 --> 1:15:19.000]  You promised to bring in a whole new crew when you went into Washington. You were gonna sweep it clean. And who did you bring in?
[1:15:19.000 --> 1:15:31.000]  You brought in Bush's murderers. You brought in the Clinton team. Radical. Yeah, you guys got it wrong. New Yorker, you're full of crap. I got more.
[1:15:31.000 --> 1:15:50.000]  Now, Newsweek, look at that picture. Wow. Does he look brilliant? What do we have here? Obama's America, who we are now. Oh, hope and change you can believe in. Yes, small change. Hey, got change of a penny?
[1:15:50.000 --> 1:16:09.000]  Here we go. Look at this. Look at this. Huh? The perfect first family. Introducing President Obama as Barack and Michelle settled into the White House. How will this new era change America and TV?
[1:16:09.000 --> 1:16:28.000]  How will it change it? Again, no change. More the same political crap, a guy that lied his way into office. Again, I'm doing this to show the juxtaposition of how the media came out and is attacking Trump immediately after he got elected while they're kissing
[1:16:28.000 --> 1:16:50.000]  Obama's, you know what, and every year was a total love fest. It's absolutely amazing. Yeah, look at that. Yeah, the new president and the burdens that await him. Great expectations. This little clown of a trader of a man talking about
[1:16:50.000 --> 1:17:15.000]  Trump, not having the experience to do anything. Great expectations again from a community organizer that organized nothing. A little nothing of a man with a bad attitude who learned how to act really well when Oprah Winfrey took her under his arm and made him the great teleprompted president.
[1:17:15.000 --> 1:17:37.000]  I got more. You ready? Yeah, let's go for it. Obama, the celebrity of the century. Wow. That was actually correct. He is just a celebrity to them, isn't he? That's all it is. Hey, politics is show business for ugly people.
[1:17:37.000 --> 1:17:55.000]  That's right. We have the proof. You ready for this one? This one may knock you off your chair. So hold on. Hamilton. He's in the role of Alexander Hamilton on Broadway now. That's what he's going to do after he leaves office.
[1:17:55.000 --> 1:18:05.000]  You got it. Look at this hypocrisy. Oh, that's funny. So I just wanted to pick up on what you were saying.
[1:18:05.000 --> 1:18:17.000]  You know, we offered us hope, Gerald. What we got was the envy of socialism. He said we're going to have change. But what he tried to do was to and successfully nearly pretty much shut down and did bankrupt the coal industry pretty close to it.
[1:18:17.000 --> 1:18:30.000]  But also changing America by bringing in people who are workers bringing in people from these countries that they destroyed that they set on fire. He wants to change America. He wants to change America demographically.
[1:18:30.000 --> 1:18:40.000]  And so we've seen a lot of that stuff. But I think what we're really seeing now is a real hope from Americans that we're going to see something done about the economy. And it's truly amazing.
[1:18:40.000 --> 1:18:50.000]  Have you ever, Gerald, seen a president, certainly not a president elect, get out and already stop two factories that we're going to be moving out of the United States?
[1:18:50.000 --> 1:19:06.000]  No, again, this is this is one of our top trends. Yeah, it's new. It's the end of politics. These guys look, I began began my career just briefly at a graduate school.
[1:19:06.000 --> 1:19:14.000]  I used to run political campaigns. The first one I was the number two guy running the campaign in Yonkers, New York, and we're talking a city of 300,000 people.
[1:19:14.000 --> 1:19:24.000]  And I worked in Westchester County, the richest county in America at the time running political campaigns. I was the assistant to the secretary of the New York State Senate,
[1:19:24.000 --> 1:19:35.000]  designed and instructed American politics and campaign technology at St. John's University. And I was a chief government affairs specialist in D.C. for many years for the chemical industry.
[1:19:35.000 --> 1:19:44.000]  I had pictures of me and Reagan, this one, that one. I know what it looks like. There's nothing there. They're low life politicians. Yeah, I agree. Absolutely.
[1:19:44.000 --> 1:19:52.000]  We got to take a quick break. We're going to be right back with Gerald Slenty, trendsresearch.com. Thank you so much, Gerald. Looking forward to hearing what you have to say about 2017.
[1:19:52.000 --> 1:19:57.000]  What do you see as the trends for 2017?
[1:19:57.000 --> 1:20:08.000]  I want to tell you about a brand new off the grid product. It's a pocket sized solar generator. Even though it's so small, you can put it in your pocket. It can actually run some 110 appliances at your house.
[1:20:08.000 --> 1:20:19.000]  Like small refrigerators to keep your food from spoiling. The best part, though, you can take it with you. It's mobile to jumpstart cars, trucks, buses, 18 wheelers, huge tractors, even airplanes.
[1:20:19.000 --> 1:20:29.000]  The new PPX system provides an endless supply of off the grid electricity, basically creating your own private power grid anywhere in the world. A true innovation. I have never seen anything like this.
[1:20:29.000 --> 1:20:37.000]  You're going to want to load up on these. One for your truck, your wife's car, your house, cabin. It's even a great Christmas idea if you've got a friend who wants to get off the grid.
[1:20:37.000 --> 1:20:50.000]  Go to privatepowergrid.com. That's privatepowergrid.com and check this out. Buy one right now. Use coupon code GCN at checkout and get a second one free on the $300 in free off the grid bonuses.
[1:20:50.000 --> 1:21:07.000]  Check it out. Privatepowergrid.com. Limited one for household. Privatepowergrid.com.
[1:21:20.000 --> 1:21:26.000]  Use promo code Conceal for 10% off, guard your privacy, secure your data and protect your health with Conceal Shield.
[1:21:26.000 --> 1:21:33.000]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[1:21:33.000 --> 1:21:42.000]  Since 2005, thousands have depended on Berkey purified water. The Berkey guy provides the lowest price filtration systems in every size.
[1:21:42.000 --> 1:21:57.000]  For incredibly delicious water now and in an emergency, get to goberkey.com or call 877-886-3653. 877-886-3653. Go Berkey.com.
[1:21:57.000 --> 1:22:06.000]  My name is Leon. I'm 41. I've been using One World Wave for two and a half years now. I suffered a bulged L4 and L5 disc from a car accident three years ago.
[1:22:06.000 --> 1:22:13.000]  Since that time, I've been unable to walk long distances, do any minor lifting or just normal activities with my children without having severe back pain.
[1:22:13.000 --> 1:22:20.000]  Since I've started using One World Wave, I've been able to walk more, engage in activities with my children and have less lower back pain.
[1:22:20.000 --> 1:22:27.000]  One World Wave has helped me regain back my strength, confidence and have a healthier life. I've noticed a weight loss of about 20 pounds.
[1:22:27.000 --> 1:22:33.000]  My A1C dropped two points and I have more energy now. One World Wave has helped me regain back my life.
[1:22:33.000 --> 1:22:40.000]  The results for clients on One World Wave have surpassed the results for most any other supplements as well as all other weight protein powders.
[1:22:40.000 --> 1:22:47.000]  One World Wave is non-denatured and frequency-encoded. We believe the frequency encoding increases your body's production of glutathione and energy production.
[1:22:47.000 --> 1:22:56.000]  Call 888-988-3325 or visit OneWorldWave.com. That's One World W-H-E-Y.com.
[1:22:56.000 --> 1:23:05.000]  We use cell phones against our heads every day, but now a landmark U.S. government study confirms increased health risks from exposure to EMF radiation emitted from these devices.
[1:23:05.000 --> 1:23:09.000]  The time to protect yourself is now. The solution is Defender Shield.
[1:23:09.000 --> 1:23:16.000]  Proudly made in the USA, Defender Shield blocks virtually 100% of EMF radiation emitted from cell phones, tablets and laptops.
[1:23:16.000 --> 1:23:26.000]  Buy now at DefenderShield.com. Use discount code Defender for 10% off. DefenderShield.com, the worldwide leader in EMF radiation protection.
[1:23:26.000 --> 1:23:35.000]  How confident are you in your food storage? If it was all you had to rely on, would it sustain your family? Hard times, good times, or any time?
[1:23:35.000 --> 1:23:46.000]  New Man Astorable Food is the proven superior choice. Learn for yourself what happened when one man ate only New Man Astorable Food for an entire month.
[1:23:46.000 --> 1:24:09.000]  Our Prepper.com. Experience the New Man of Difference. America made food storage allowed to eat. Yum!
[1:24:09.000 --> 1:24:14.000]  Welcome back to the Alex Jones Show. I'm David Knight and our guest is Gerald Salenty.
[1:24:14.000 --> 1:24:20.000]  He is a publisher of Trends Journal. You can find him at TrendsResearch.com.
[1:24:20.000 --> 1:24:26.000]  And of course, if you're a regular listener to Infowars, you hear Gerald Salenty on frequently.
[1:24:26.000 --> 1:24:31.000]  A very wise person. I want to hear what he has to say about trends coming up.
[1:24:31.000 --> 1:24:38.000]  And you know, as you were talking about the aftermath of the election, Gerald, you said that immediately they began attacking Trump.
[1:24:38.000 --> 1:24:45.000]  We have seen that type of thing come after each one of his picks. But the issue is, is he going to keep his campaign promises?
[1:24:45.000 --> 1:24:50.000]  We just had an election. People said he made some commitments, some policies that he wanted to do.
[1:24:50.000 --> 1:24:54.000]  And people want to give him a chance to see if that's going to happen.
[1:24:54.000 --> 1:24:57.000]  One of the ways that they've attacked him is immediately after the election, they say,
[1:24:57.000 --> 1:25:01.000]  well, you're not really serious about this policy or that policy or the other one, are you?
[1:25:01.000 --> 1:25:06.000]  Or they look at it and they say, well, because of these people that he's got here, they're going to subvert him and co-opt this.
[1:25:06.000 --> 1:25:10.000]  That's something we need to be concerned about. We need to keep an eye on that, hold his feet to the fire.
[1:25:10.000 --> 1:25:15.000]  But right now, he's running full speed in the same direction that he was in the campaign.
[1:25:15.000 --> 1:25:22.000]  As a matter of fact, I think he's doubled down. He cleared his desk of this $25 million lawsuit at a large cost to himself.
[1:25:22.000 --> 1:25:28.000]  I think he believed that he was right. I think he could have certainly gotten a better deal if he had taken it to trial.
[1:25:28.000 --> 1:25:32.000]  Even if they'd split the baby there, he wouldn't have paid $25 million.
[1:25:32.000 --> 1:25:37.000]  He wants to clear his desk of these entanglements of his business in a couple of weeks.
[1:25:37.000 --> 1:25:39.000]  He's talking about how he's going to do that.
[1:25:39.000 --> 1:25:40.000]  How do you read this?
[1:25:40.000 --> 1:25:48.000]  Bannon has said, if they deliver on their promises, and it looks like when we see Mnuchin come out and after he's picked his Treasury Secretary,
[1:25:48.000 --> 1:25:53.000]  he goes right down the list of the economic policies that Trump wanted to accomplish and said, these are our priorities.
[1:25:53.000 --> 1:25:55.000]  It looks like they're on the same page.
[1:25:55.000 --> 1:26:00.000]  If they deliver, as Bannon said, we will probably see a restructure of politics for 50 years.
[1:26:00.000 --> 1:26:08.000]  But here's the other thing, Gerald, if they don't deliver on these promises, I think we're going to see a big lurch, a blowback,
[1:26:08.000 --> 1:26:12.000]  and see the country lurch to the left towards socialism again.
[1:26:12.000 --> 1:26:18.000]  But let's hope that they're going to move forward and fulfill these promises that they've said to people.
[1:26:18.000 --> 1:26:20.000]  How do you feel about that?
[1:26:20.000 --> 1:26:26.000]  Well, in our trend forecast, we're saying that Trump has two years to do whatever he wants to do.
[1:26:26.000 --> 1:26:28.000]  There's nothing there to stop him.
[1:26:28.000 --> 1:26:31.000]  Again, it's the death of politics.
[1:26:31.000 --> 1:26:36.000]  Ryan McConnell, Lindsey Graham, McCain, he took over the Republican Party.
[1:26:36.000 --> 1:26:43.000]  He went for the top, he knocked out Jeb Bush in the first round of the first presidential debate of the Republican Party.
[1:26:43.000 --> 1:26:45.000]  There's nothing there.
[1:26:45.000 --> 1:26:52.000]  Again, I was mentioning before my history in being there, I know how easy it is to change it.
[1:26:52.000 --> 1:26:54.000]  And that's very important.
[1:26:54.000 --> 1:27:00.000]  So he's going to do what he wants to do and what they won't push through who go directly to the people for,
[1:27:00.000 --> 1:27:06.000]  just as he's doing it now and bypassing the media by using whether it's Twitter or YouTube.
[1:27:06.000 --> 1:27:11.000]  On the economic front, let's go back again prior to the election.
[1:27:11.000 --> 1:27:16.000]  The markets went up and down on Hillary Clinton's poll ratings.
[1:27:16.000 --> 1:27:20.000]  When Hillary Clinton was up in the polls, the market would go up.
[1:27:20.000 --> 1:27:24.000]  When she went down in the polls, the markets would go down.
[1:27:24.000 --> 1:27:34.000]  Just before election day, when the FBI director, Comey, decided not to pursue any more action against Clinton on a Friday,
[1:27:34.000 --> 1:27:45.000]  Monday, the day before election day, the market closed up 371 points on the anticipation that Clinton would win
[1:27:45.000 --> 1:27:53.000]  and that it would be positive for the stock market and it would be negative if Trump got in.
[1:27:53.000 --> 1:27:57.000]  And if Trump got in, also it would be negative for gold.
[1:27:57.000 --> 1:27:59.000]  The reverses happened.
[1:27:59.000 --> 1:28:03.000]  We're seeing a rally in the stock market like nothing we've seen,
[1:28:03.000 --> 1:28:08.000]  with three of the indexes reaching all-time highs and gold going much lower.
[1:28:08.000 --> 1:28:12.000]  So our forecast is this and we revised it.
[1:28:12.000 --> 1:28:17.000]  That is that we're going to see continued growth in the economy.
[1:28:17.000 --> 1:28:20.000]  And that Trump's policies, a lot of them make sense.
[1:28:20.000 --> 1:28:26.000]  However, to put it all out there, on the thing about rebuilding the infrastructure,
[1:28:26.000 --> 1:28:29.000]  it's only a trillion dollars over several years.
[1:28:29.000 --> 1:28:31.000]  They say up to 10.
[1:28:31.000 --> 1:28:34.000]  That's only $100 billion a year.
[1:28:34.000 --> 1:28:38.000]  And in the size of an economy this big, that doesn't account for much.
[1:28:38.000 --> 1:28:43.000]  And to put it back into perspective, when the liar-in-chief got elected,
[1:28:43.000 --> 1:28:51.000]  the commander Obama in 2009, he came up with a stimulus program of $830 billion.
[1:28:51.000 --> 1:28:53.000]  And it didn't do anything.
[1:28:53.000 --> 1:28:56.000]  So it has to be much bigger than that and the plans aren't clear.
[1:28:56.000 --> 1:29:04.000]  However, the reality is that what they're saying about cutting taxes across the board
[1:29:04.000 --> 1:29:10.000]  and about renegotiating trade deals overseas is very positive.
[1:29:10.000 --> 1:29:12.000]  The deals do stink.
[1:29:12.000 --> 1:29:15.000]  Again, if you look at the facts, David, what do we have?
[1:29:15.000 --> 1:29:21.000]  22 years of negative trade policy with Mexico?
[1:29:21.000 --> 1:29:23.000]  Oh, absolutely.
[1:29:23.000 --> 1:29:24.000]  22 years?
[1:29:24.000 --> 1:29:29.000]  We had a rough parity with them and immediately as NAFTA was published past,
[1:29:29.000 --> 1:29:34.000]  we had a $15 billion deficit with them and it's gone as high as $75 billion,
[1:29:34.000 --> 1:29:37.000]  but it's never gone below $15 billion in all these years.
[1:29:37.000 --> 1:29:38.000]  Stay with us.
[1:29:38.000 --> 1:30:00.000]  We're going to be right back with Gerald Slenty looking at trends for 2017.
[1:30:09.000 --> 1:30:11.000]  He's going to bring all these jobs back.
[1:30:11.000 --> 1:30:13.000]  Well, how exactly are you going to do that?
[1:30:13.000 --> 1:30:14.000]  What are you going to do?
[1:30:14.000 --> 1:30:15.000]  There's no answer to it.
[1:30:15.000 --> 1:30:18.000]  He just says, well, I'm going to negotiate a better deal.
[1:30:18.000 --> 1:30:21.000]  Well, how exactly are you going to negotiate that?
[1:30:21.000 --> 1:30:23.000]  What magic wand do you have?
[1:30:23.000 --> 1:30:27.000]  And usually the answer is you don't have an answer.
[1:30:27.000 --> 1:30:31.000]  Well, Obama, President-elect Trump has yet to begin his presidency
[1:30:31.000 --> 1:30:34.000]  and he is already saving jobs in America.
[1:30:34.000 --> 1:30:39.000]  And he has successfully negotiated a deal with air conditioner company Carrier
[1:30:39.000 --> 1:30:42.000]  to keep 1,000 jobs in the U.S.
[1:30:42.000 --> 1:30:48.000]  No magic wand, just good negotiating skills and a passion to put America first
[1:30:48.000 --> 1:30:51.000]  and save the working class hero.
[1:30:51.000 --> 1:30:56.000]  I'm Darren McBreen and you can learn more right now at infowars.com.
[1:30:56.000 --> 1:30:59.000]  Over the years, there have been a lot of powerful advancements
[1:30:59.000 --> 1:31:01.000]  in the field of science and nutraceuticals.
[1:31:01.000 --> 1:31:04.000]  Young Jevity integrates years of scientific research
[1:31:04.000 --> 1:31:08.000]  into creating fantastic products like Beyond Tangy Tangerine,
[1:31:08.000 --> 1:31:10.000]  plant-derived minerals and much more.
[1:31:10.000 --> 1:31:14.000]  Young Jevity also offers you an ingenious way to augment your income
[1:31:14.000 --> 1:31:15.000]  and the best part?
[1:31:15.000 --> 1:31:18.000]  You'll be helping your friends and family along the way.
[1:31:18.000 --> 1:31:20.000]  Visit infowarsteam.com today.
[1:31:20.000 --> 1:31:21.000]  Become a member.
[1:31:21.000 --> 1:31:23.000]  Get discounts on the amazing products
[1:31:23.000 --> 1:31:25.000]  and free shipping when you sign up for auto-ship
[1:31:25.000 --> 1:31:28.000]  and you're able to promote the products to friends and family
[1:31:28.000 --> 1:31:29.000]  and neighbors in your community
[1:31:29.000 --> 1:31:32.000]  and make money while helping people at the same time.
[1:31:32.000 --> 1:31:33.000]  Another win-win.
[1:31:33.000 --> 1:31:37.000]  That's why I'm a member of the Young Jevity team at infowarsteam.com
[1:31:37.000 --> 1:31:38.000]  and you can be too.
[1:31:38.000 --> 1:31:39.000]  It's simple.
[1:31:39.000 --> 1:31:42.000]  Just go to infowarsteam.com today.
[1:31:42.000 --> 1:31:44.000]  Complete a short sign up and you're part of the team.
[1:31:44.000 --> 1:31:47.000]  That's infowarsteam.com or infowarshealth.com.
[1:31:47.000 --> 1:31:49.000]  So many people call into my radio show
[1:31:49.000 --> 1:31:52.000]  and tell me how Young Jevity and the products at infowarsteam.com
[1:31:52.000 --> 1:31:53.000]  have changed their lives.
[1:31:53.000 --> 1:32:00.000]  Check it out for yourself today.
[1:32:00.000 --> 1:32:01.000]  Why is this so good?
[1:32:01.000 --> 1:32:04.000]  Because people are actually waking up to the problem
[1:32:04.000 --> 1:32:06.000]  that pretty much scares me the most.
[1:32:06.000 --> 1:32:10.000]  I mean, I try to make sure that I don't put toxins from food
[1:32:10.000 --> 1:32:12.000]  and water and beverages in my system,
[1:32:12.000 --> 1:32:15.000]  but right now we're dealing with massive parasites,
[1:32:15.000 --> 1:32:18.000]  which is anything that's harmful to your body
[1:32:18.000 --> 1:32:20.000]  that lives off a host mechanism.
[1:32:20.000 --> 1:32:24.000]  Right now with all the refugees spreading disease around,
[1:32:24.000 --> 1:32:26.000]  we have biological warfare going on everywhere.
[1:32:26.000 --> 1:32:28.000]  These are all parasites.
[1:32:28.000 --> 1:32:29.000]  Tell us about all the stuff that's said.
[1:32:29.000 --> 1:32:30.000]  There's so many things that are in it.
[1:32:30.000 --> 1:32:31.000]  You have the neem in there.
[1:32:31.000 --> 1:32:34.000]  You have the organic clove bud, the organic wormwood.
[1:32:34.000 --> 1:32:38.000]  I recommend doing a parasite cleanse at least twice a year.
[1:32:38.000 --> 1:32:39.000]  All right.
[1:32:39.000 --> 1:32:40.000]  Well, I'm glad we've got some back in
[1:32:40.000 --> 1:32:41.000]  because I'm going back on it today.
[1:32:41.000 --> 1:32:42.000]  It just came back in yesterday.
[1:32:42.000 --> 1:32:44.000]  Living Defense, infowarslife.com.
[1:32:44.000 --> 1:32:45.000]  And folks, you can't lose
[1:32:45.000 --> 1:32:47.000]  full of stuff that's great for your body, period.
[1:32:47.000 --> 1:32:50.000]  And you support the broadcast, infowarslife.com.
[1:32:50.000 --> 1:32:53.000]  Thank you, Dr. Group, from the Global Healing Center.
[1:32:53.000 --> 1:32:54.000]  Thank you so much for all your work, sir,
[1:32:54.000 --> 1:33:20.000]  and this great product.
[1:33:20.000 --> 1:33:21.000]  Welcome back to the Alex Jones Show.
[1:33:21.000 --> 1:33:24.000]  I'm David Knight, and my guest is Gerald Salenty.
[1:33:24.000 --> 1:33:27.000]  We're talking about trends coming up in the next year
[1:33:27.000 --> 1:33:31.000]  and also what Gerald sees in the wake of the election.
[1:33:31.000 --> 1:33:33.000]  One of the things that we've been seeing, of course,
[1:33:33.000 --> 1:33:38.000]  is the push saying that everything is fake news,
[1:33:38.000 --> 1:33:40.000]  that is not real fake news.
[1:33:40.000 --> 1:33:42.000]  In other words, the people who have been giving us fake news
[1:33:42.000 --> 1:33:45.000]  for decades, CNN, Washington Post, all these people,
[1:33:45.000 --> 1:33:47.000]  their new narrative is, of course, fake news,
[1:33:47.000 --> 1:33:49.000]  but we're also seeing some teeth put into that.
[1:33:49.000 --> 1:33:54.000]  We see Kellogg's pulling their sponsorship from Breitbart,
[1:33:54.000 --> 1:33:56.000]  Breitbart coming back and saying,
[1:33:56.000 --> 1:33:58.000]  oh, okay, well, let's boycott Kellogg then.
[1:33:58.000 --> 1:34:00.000]  And take a look at what Amnesty International says
[1:34:00.000 --> 1:34:02.000]  about their products.
[1:34:02.000 --> 1:34:05.000]  They're not only do they have garbage like palm oil in them,
[1:34:05.000 --> 1:34:08.000]  but they also do it with child labor.
[1:34:08.000 --> 1:34:12.000]  And so that became the number one hashtag trend on Twitter.
