[00:00.000 --> 00:10.000]  Live from Austin, Texas. Broadcasting Worldwide. It's Alex Jones.
[34:26.000 --> 34:31.000]  But that's only in the Japanese news. We're going to be breaking that down.
[34:31.000 --> 34:35.000]  So when there's a real crisis, the establishment is not going to tell you about it.
[34:35.000 --> 34:40.000]  And that said, I want to say something about my uncle who's fighting for his life right now
[34:40.000 --> 34:46.000]  in a Tyler, East Texas, nice hospital. Good people there.
[34:46.000 --> 34:53.000]  William Hammond was a highly decorated and is a highly decorated Vietnam helicopter pilot
[34:53.000 --> 34:58.000]  in special forces operations. He never told me about that. Me and my cousin, we were about 12.
[34:58.000 --> 35:00.000]  He's the same age as I, Buckley Hammond.
[35:00.000 --> 35:08.000]  Doug, when he was going to work one day when I was down in San Antonio, one day went Doug through his army trunk.
[35:08.000 --> 35:12.000]  And it was all the citations and shot down six times, delivering special forces.
[35:12.000 --> 35:18.000]  And all this incredible stuff. We sat there all day just reading all the just amazing stuff.
[35:18.000 --> 35:20.000]  And probably a lot of it classified.
[35:20.000 --> 35:29.000]  But the point was that it had the citations and the letters and the medals and the missions into countries around Vietnam.
[35:29.000 --> 35:33.000]  Then he went and did work in Central America and so many other things.
[35:33.000 --> 35:41.000]  And he was the guy that when I was about 14, 15, I already read all these history books that had family that were John Berger's,
[35:41.000 --> 35:46.000]  but it was like background. He was the guy when Rush Limbaugh was first on the air.
[35:46.000 --> 35:52.000]  And I was about 14, 15 years old. I'm only 40. I think Limbaugh has been on that long. He was on the air when I was 15.
[35:52.000 --> 35:57.000]  I was like, I love Rush Limbaugh. He's the best. And I'm a conservative and libertarian.
[35:57.000 --> 36:01.000]  And he looked at me and he said, listen, it's a lot more than that. There's a global empire.
[36:01.000 --> 36:05.000]  It's a world government. CIA works for foreign banks.
[36:05.000 --> 36:08.000]  I'm not going to tell you about it all, but just believe me, son.
[36:08.000 --> 36:13.000]  And he said, you know, read these books and gave me materials and he's the guy more than anybody,
[36:13.000 --> 36:18.000]  more than even my dad, who was really smart guy and knows about how the world really works,
[36:18.000 --> 36:24.000]  who I probably wouldn't be on the air today if it wasn't for William Hammond.
[36:24.000 --> 36:29.000]  And I just dread going because I hear it's bad, him on that respirator,
[36:29.000 --> 36:33.000]  going and seeing him in East Texas tonight or tomorrow.
[36:33.000 --> 36:37.000]  I just, I probably should go tonight. I just do not want to go.
[36:37.000 --> 36:41.000]  And I just hope he lives.
[36:41.000 --> 36:50.000]  The point is, is that for so many other people, Rob Doos, one of his best friends, 34 years old, our news director, he's only 39.
[36:50.000 --> 36:56.000]  One of his best friends in New Jersey died and they did test.
[36:56.000 --> 37:00.000]  They don't know what it is. It's not H1N1. It's not swine flu.
[37:00.000 --> 37:04.000]  They can't find bacteria. They think it's a microplasm, which is a tiny bacteria.
[37:04.000 --> 37:07.000]  It's like compared to regular bacteria, like a regular bacteria is an elephant.
[37:07.000 --> 37:10.000]  This is like a flea compared to regular bacteria.
[37:10.000 --> 37:16.000]  Like an amoeba is a star destroyer compared to a regular bacteria that's an elephant and this is like a flea.
[37:16.000 --> 37:22.000]  That's basically or an amoeba is the Empire State's building.
[37:22.000 --> 37:26.000]  A regular sized bacteria is an elephant and this is like a flea.
[37:26.000 --> 37:29.000]  I mean, that's how small they are. There's KHOU.
[37:29.000 --> 37:35.000]  Three weeks after I started reporting this, I started reporting it in Dallas, Houston and mainly East Texas.
[37:35.000 --> 37:39.000]  Mystery illness claims four lives in one hospital.
[37:39.000 --> 37:42.000]  And by the way, since then, it's six lives out of eight at one hospital.
[37:42.000 --> 37:47.000]  This is killing a lot of people. Of course, the big pharma that advertises everywhere jumped on it and said,
[37:47.000 --> 37:50.000]  oh, it's H1N1. Go get your flu shot, folks.
[37:50.000 --> 37:54.000]  I have the articles right here. I'm not a troglodyte.
[37:54.000 --> 38:01.000]  I believe in technology. I believe in the science of immunization that's been around with smallpox for 500 years.
[38:01.000 --> 38:05.000]  I know immunization works.
[38:05.000 --> 38:09.000]  The government's been caught doing secret testing on basically everybody.
[38:09.000 --> 38:12.000]  They've been caught adding horrible stuff on purpose to vaccines.
[38:12.000 --> 38:17.000]  Bayer got caught adding HIV and hepatitis knowingly to their factor rate for 11 years.
[38:17.000 --> 38:19.000]  It didn't get in trouble.
[38:19.000 --> 38:23.000]  They go to prisons with people that are HIV positive and take their blood on purpose.
[38:23.000 --> 38:25.000]  Bill Clinton was part of that.
[38:25.000 --> 38:30.000]  I don't trust it because of how dangerous these companies are.
[38:30.000 --> 38:33.000]  And there's side effects to vaccines.
[38:33.000 --> 38:37.000]  That it lowers your immunity. Yeah, it'll help you when you do it sometimes.
[38:37.000 --> 38:39.000]  But then it lowers your immunity to everything else.
[38:39.000 --> 38:41.000]  And I've got studies right here. I'll show TV viewers.
[38:41.000 --> 38:44.000]  I'll give you the name of the studies for radio listeners in a moment.
[38:44.000 --> 38:50.000]  The issue is, it's like penicillin discovered in 1944.
[38:50.000 --> 38:57.000]  Secretly discovered by the Allies and they're not widely used to laugh at that.
[38:57.000 --> 39:01.000]  The problem is it's given rise to the superbugs that will kill you,
[39:01.000 --> 39:04.000]  that there's no treatment for it, tuberculosis. The list goes on and on.
[39:04.000 --> 39:08.000]  And they've got antiviral drugs that are making the viruses stronger.
[39:08.000 --> 39:11.000]  I'm not saying antibiotics are bad.
[39:11.000 --> 39:17.000]  I'm saying that over prescribing them and all this now is that they got to give you antibiotics so strong
[39:17.000 --> 39:21.000]  they make your kidneys shut off, which has happened to my uncle.
[39:21.000 --> 39:24.000]  And the doctors believe it's a bacteria, a microplasm.
[39:24.000 --> 39:28.000]  Then I got to hear in the news, oh, Tyler, people are dying in Tyler.
[39:28.000 --> 39:31.000]  It's H1N1. I talked to the doctors. No, it's some kind of bacteria.
[39:31.000 --> 39:36.000]  So I got to, I mean, I'm talking to them and I'm making calls to Houston and they think it's a bacteria.
[39:36.000 --> 39:39.000]  And in the news they're saying it flew down the last three weeks, folks.
[39:39.000 --> 39:42.000]  If flu is going to kill you, it kills you in four or five days.
[39:42.000 --> 39:46.000]  This has taken a month to kill some people. Some people it's killing overnight.
[39:46.000 --> 39:50.000]  And they're saying they believe superbugs may kill billions, ladies and gentlemen.
[39:50.000 --> 39:54.000]  That's why I'm saying this is such a humongous issue.
[39:54.000 --> 39:58.000]  Now let me show you a few headlines that deal with this.
[39:58.000 --> 40:04.000]  Again, my cousin, three and a half weeks ago, gets a fever one night is dead in the morning.
[40:04.000 --> 40:08.000]  My uncle's taking care of him, goes over to take, because he lives in the same area.
[40:08.000 --> 40:16.000]  My cousin, Peter Hammond, dead in the morning, dead.
[40:16.000 --> 40:27.000]  My uncle gets sick from it three days later, fighting it for three plus weeks.
[40:27.000 --> 40:31.000]  We can have a go, couldn't breathe, already been in the hospital, they discharged him.
[40:31.000 --> 40:37.000]  No, you know, you don't need to be at the hospital, goes back, can't breathe, on a ventilator,
[40:37.000 --> 40:43.000]  fighting for his life, losing circulation in his legs, brainwaves, you know, are there, but going down.
[40:43.000 --> 40:49.000]  This is serious. And how can you tell it's a real plague, folks? Historically, I've researched this.
[40:49.000 --> 40:55.000]  You can look it up. When it's real, when it's really killing people, 200 plus thousand, they estimate the CDC,
[40:55.000 --> 40:58.000]  die from, quote, infectious complications.
[40:58.000 --> 41:01.000]  They only list 20 something thousand super bugs, but it's well over that.
[41:01.000 --> 41:05.000]  Some of the numbers we've got are more than a million actually dying.
[41:05.000 --> 41:09.000]  It's something like three million, all total bad drug interactions, cutting off the wrong leg.
[41:09.000 --> 41:16.000]  You know the horror stories, the sick buildings in there with the super resistant bacteria.
[41:16.000 --> 41:20.000]  Number one thing is, if you're going to go to a hospital, go to a brand new one, folks.
[41:20.000 --> 41:27.000]  Because the old ones, no matter how good the doctors are, they've got stuff in there that's basically immortal cell lines.
[41:27.000 --> 41:35.000]  And we don't know what that is. There are cells and bacteria, but also animal cells, that cannot be killed except by fire.
[41:35.000 --> 41:43.000]  Just search immortal cell line. They first discovered it back in the 40s with cancers that kill the people that take them,
[41:43.000 --> 41:49.000]  but you can put the cancer in a petri dish. It's alive 10 years later. It's like zombie cells.
[41:49.000 --> 41:52.000]  And that's basically what antibiotics are helping accelerate.
[41:52.000 --> 42:00.000]  And I've got a story right here. Super bug bacteria widespread in U.S. chicken, Reuters.
[42:00.000 --> 42:11.000]  And it says half the chicken, 49.7%, carried a bacterium that is basically impossible to kill with any known antibiotic.
[42:11.000 --> 42:19.000]  And I've been talking to scientists, epidemiologists, you name it, in the last month. You heard us first here.
[42:19.000 --> 42:24.000]  Almost a month ago say there's a mystery on this, because it's killing my family, my kin, and other people.
[42:24.000 --> 42:30.000]  And I'm looking at the reports. My dad's been to the hospitals, and he's a physician.
[42:30.000 --> 42:34.000]  And they don't know what it is. They think it's a microplasm.
[42:34.000 --> 42:42.000]  And they believe it's connected to the over-antibiotics use in these infested, mainly chickens,
[42:42.000 --> 42:46.000]  in these giant mass production concentration camps where they cut their beaks off
[42:46.000 --> 42:50.000]  and have them covered in mites and these hellholes force-feeding them.
[42:50.000 --> 42:54.000]  I mean, this stuff's all going to blow back on us, folks. That's all I can tell you.
[42:54.000 --> 42:59.000]  And I'm going to finish this up and come back with the flu news that it was.
[42:59.000 --> 43:04.000]  In the last 50 years, iodine has been phased out of our staple foods
[43:04.000 --> 43:10.000]  and replaced with the halogen bromine, a practice now banned in nations around the world.
[43:10.000 --> 43:13.000]  Guess what else is in the halogen family? Fluoride.
[43:13.000 --> 43:15.000]  Ladies and gentlemen, Alex Jones here.
[43:15.000 --> 43:21.000]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[43:21.000 --> 43:30.000]  It's the good halogen on the periodic table, and the results are on record, reports documented, a 15-point IQ increase
[43:30.000 --> 43:33.000]  in areas that had previously been deficient in iodine.
[43:33.000 --> 43:35.000]  Bottom line, iodine is important.
[43:35.000 --> 43:42.000]  Unbound, clean, in a glycerin base, nascent iodine was the answer for myself and my family.
[43:42.000 --> 43:47.000]  You will find Survival Shield nascent iodine exclusively at InfowarsLife.com.
[43:47.000 --> 43:52.000]  InfowarsLife Survival Shield nascent iodine isn't just for emergencies.
[43:52.000 --> 43:59.000]  I take it every day. That's InfowarsLife.com or call toll-free 888-253-3139.
[43:59.000 --> 44:01.000]  Introducing Pro 1.
[44:01.000 --> 44:05.000]  All of your filtration in one system, portable on the go.
[44:05.000 --> 44:09.000]  No more do you have two or three filters to just reduce sodium fluoride.
[44:09.000 --> 44:17.000]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilic acid advanced manufacturing technology
[44:17.000 --> 44:25.000]  combines silver impregnated white ceramic with new aqua medics advanced media or removal of fluoride and other heavy metals,
[44:25.000 --> 44:27.000]  all in one filter element.
[44:27.000 --> 44:33.000]  It is the only one that does it and out of the gates, we have it discounted at 10% off with promo code water.
[44:33.000 --> 44:42.000]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine,
[44:42.000 --> 44:48.000]  hydrofluorosilic acid, the most common form of fluoride not covered by other fluoride filter brands,
[44:48.000 --> 44:50.000]  and sodium hexafluorosilicate.
[44:50.000 --> 44:59.000]  Get your Pro Pure with the new Pro 1 filters today at infowarsstore.com or by calling 888-253-3139.
[44:59.000 --> 45:08.000]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[45:08.000 --> 45:17.000]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico where the Chiapas farmers grow their unique shade grown Arabica beans.
[45:17.000 --> 45:22.000]  We have now managed to secure these sought after beans in a highly customized blend.
[45:22.000 --> 45:29.000]  Take cover and try a bag of the Patriot Blend 100% Organic Coffee at infowarslife.com.
[45:29.000 --> 45:36.000]  This coffee gives you a long, smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[45:36.000 --> 45:43.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[45:43.000 --> 45:47.000]  Drop by the site today, order a bag or two and I don't think you're going to be disappointed.
[45:47.000 --> 45:57.000]  Available in original or with our immune support infusion blend, you will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[45:57.000 --> 45:59.000]  Available at infowarslife.com
[45:59.000 --> 46:02.000]  Alex Jones here with a message to fellow freedom lovers.
[46:02.000 --> 46:07.000]  The prognosis for the entire planetary economic system runs from bad to worse.
[46:07.000 --> 46:15.000]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[46:15.000 --> 46:20.000]  This is why we've assembled the most vital and important preparedness items at infowarslife.com.
[46:20.000 --> 46:24.000]  These are items that I did research on that I personally use.
[46:24.000 --> 46:29.000]  You've got the life straw so you can turn fetid water into safe water anywhere you go.
[46:29.000 --> 46:34.000]  The K-Tor hand crank generator to charge up key equipment during power outages or out in the field.
[46:34.000 --> 46:38.000]  Strategic relocation third edition by Joel Scousum.
[46:38.000 --> 46:45.000]  Disaster strikes by Matthew Stein. They're a safe use by Homeland Security to protect yourself during any radiological event.
[46:45.000 --> 46:48.000]  Hand crank shortwave AMFM radios.
[46:48.000 --> 46:55.000]  Everything that we've researched and found to be the best is available at infowarshop.com and your purchase makes our infowar possible.
[46:55.000 --> 47:09.000]  We're getting prepared. Are you infowarshop.com?
[47:25.000 --> 47:43.000]  When the bell begins to chime. Reflecting on my past life. And it doesn't have much time.
[47:43.000 --> 47:48.000]  Because at five o'clock.
[47:48.000 --> 47:57.000]  They take me to the gallows pole. The sands of time.
[47:57.000 --> 48:06.000]  The sands of time for me are running low.
[48:06.000 --> 48:10.000]  The sands of time for all of us are running low.
[48:10.000 --> 48:23.000]  This is William Shakespeare wrote Out Out Brief Candle. This consciousness. This being alive. Being able to see all the wonderment around us.
[48:23.000 --> 48:29.000]  Meanwhile the globalists dominate our reality and make us look at all these Hollywood people. All these music people.
[48:29.000 --> 48:36.000]  And Britney Spears and Kanye West and all of it. It's a fraud. It's a joke. The NFL. All of it.
[48:36.000 --> 48:42.000]  And the final equation is nothing compared to God's creation around us.
[48:42.000 --> 48:52.000]  Finishing up the point is that in major studies. I'm going to show these two if you're watching on TV. I'll mention the headlines for radio listeners.
[48:52.000 --> 48:59.000]  They've never in 50 years of flu vaccines guessed what the mutation is the next year.
[48:59.000 --> 49:09.000]  And then there's cancer viruses and mercury and mutated dead bacteria and DNA and RNA.
[49:09.000 --> 49:14.000]  It's just it's a nightmare. And then they get on the news and go no side effects from flu shots.
[49:14.000 --> 49:21.000]  And then you actually read the studies. A lot of times the flu shots somehow mutate other flu in your body.
[49:21.000 --> 49:30.000]  And then cause super plagues and lower your immunity and just do so many bad things and three flu shots and it doubles your chances of Alzheimer's.
[49:30.000 --> 49:39.000]  That's CBS News on a study a decade ago. Here's some of the headlines right here. Confirmed flu vaccine increases risk of serious pandemic illness.
[49:39.000 --> 49:51.000]  That's from Dr. Mercola. He's posting an ABC News article. If you scroll down ABC News. New study confirms flu vaccine really does increase your risk of serious pandemic.
[49:51.000 --> 50:03.000]  Flu illnesses doesn't seriously increases it. It doubles it. And that's from Australia, Canada, the United States government studies.
[50:03.000 --> 50:11.000]  I mean, everybody I know that takes the flu shot gets deathly ill from it. My mother used to be a triathlete. They told them all take it.
[50:11.000 --> 50:19.000]  She was on the UT master swim team. They said take it. She got almost died like a decade ago. You don't take vaccines now.
[50:19.000 --> 50:26.000]  My uncle got cut. They told him to take a tetanus shot. He swallowed almost killed him. Not the same uncle and my dad's brother.
[50:26.000 --> 50:33.000]  He says I'll never take another vaccine. Your doctor is not bad, but they are working for a system that's fraudulent. Here it is.
[50:33.000 --> 50:40.000]  Dangerous drug defying superbug. Mercer jumps from hospitals to strike communities.
[50:40.000 --> 50:49.000]  What is this Associated Press? This is the type of stuff that we're talking about here. Okay. I mean, there's just literally thousands of articles or more on this.
[50:49.000 --> 50:56.000]  Thousands is an understatement. Probably millions of stories and hundreds of thousands of studies. But then I've read this many years.
[50:56.000 --> 51:04.000]  They always do it in major newspapers and on radio and TV a month before school starts because that's a big time for the schools that pay for all the vaccines.
[51:04.000 --> 51:10.000]  The big vaccine makers are lobbying. They say there are zero side effects from the flu shot or any of their vaccines.
[51:10.000 --> 51:18.000]  Don't listen to conspiracy theorists. And then I'll take those articles here on air and I'll put them right next to the Centers for Disease Control and Prevention
[51:18.000 --> 51:25.000]  and show each vaccine they're talking about and every one of them says can kill you, can give you guion berets, permanent narcolepsy,
[51:25.000 --> 51:32.000]  permanent epilepsy, autoimmune disorders, foaming at the mouth, psychotic breaks.
[51:32.000 --> 51:40.000]  I mean, kill you from the flu can give you the flu. I mean, they just admit it all.
[51:40.000 --> 51:44.000]  And then I go, hey, you might want to read the actual answer. Shut up conspiracy theorist.
[51:44.000 --> 51:51.000]  Hey, I got three children. I got a wife. My children have never had one vaccine they're healthier and all the other children I know.
[51:51.000 --> 51:56.000]  If I, this is like a killer illness. They had this lung thing. We're sick for three weeks. My kids are never sick.
[51:56.000 --> 52:02.000]  They had this mystery illness. Went to the doctor, did swabs. Doctor said, here's antibiotics. Here's antiviral.
[52:02.000 --> 52:09.000]  And I said, no. And my wife said, no, do a swab. Sit it off. We'll pay the $500 for a wide spectrum test.
[52:09.000 --> 52:15.000]  Doctor goes, well, actually we've been doing tests. We don't know what it is. So you're just going to tell us, take this antibiotic.
[52:15.000 --> 52:21.000]  No, we're not going to do it. And they got better because it turns out they've had my uncle and everybody else on everything.
[52:21.000 --> 52:26.000]  And then it gets so toxic that basically kills them if the virus or bacteria or whatever it is doesn't.
[52:26.000 --> 52:34.000]  They can't find out what it is. They don't know. And just giving you more drugs and more antibiotics makes it worse.
[52:34.000 --> 52:40.000]  They raise turkeys and chickens, ladies and gentlemen. I know Christmas is coming up. I don't want to freak you out.
[52:40.000 --> 52:46.000]  But better buy a free range, ladies and gentlemen. And it costs a few bucks more, but it's worth it. Let me tell you why.
[52:46.000 --> 52:52.000]  I've worked in agriculture. I've got a family's got a big ranch, cows, you name it.
[52:52.000 --> 52:58.000]  I've worked for a large animal vet for multiple years and I've been to these facilities where the vet has to sign off on them.
[52:58.000 --> 53:05.000]  You're talking a million chickens in one building with mites crawling all over them, ladies and gentlemen.
[53:05.000 --> 53:11.000]  And given them so many drugs, the chickens have had their beaks cut off so they don't kill themselves.
[53:11.000 --> 53:14.000]  Because a bird will kill itself living in a hell. You'd kill yourself, too.
[53:14.000 --> 53:17.000]  They will peck at their bodies till they die. They cut their beaks off.
[53:17.000 --> 53:22.000]  These are giant blobs held in cages outside of their body, literally being force-fed food.
[53:22.000 --> 53:32.000]  And given, and there's drugs in the food and the bacteria in them are becoming, and the viruses are becoming so strong in these living, tortured petri dishes.
[53:32.000 --> 53:37.000]  And then we're eating the literal tortured animal with all its tortured hormones and things.
[53:37.000 --> 53:42.000]  His body fights back and all of its endorphins and all of its pain and everything it's been through.
[53:42.000 --> 53:46.000]  We then eat this and we wonder why our girl's going to puberty.
[53:46.000 --> 53:51.000]  First it was 15, then 12, then 10. There are girls having babies at age seven.
[53:51.000 --> 53:54.000]  There are girls going into puberty at age three.
[53:54.000 --> 53:59.000]  Does the doctor say don't eat GMO, don't eat hormones-fed chicken or whatever? Chickens are the worst.
[53:59.000 --> 54:02.000]  That's where they really, really hit them hard.
[54:02.000 --> 54:08.000]  No, no, they go, oh, we're going to put your three-year-old on hormones so your three-year-old doesn't have a menstrual period.
[54:08.000 --> 54:12.000]  You don't believe me, just search engine. Three-year-olds are now having menstrual periods.
[54:12.000 --> 54:17.000]  Seven-year-olds are having babies.
[54:17.000 --> 54:24.000]  We are cursed by the evil of these corporations. And some of the people on the real left criticize all this and they should.
[54:24.000 --> 54:32.000]  Meanwhile, we're talking about Duck Dynasty and a preacher, a lay preacher, rich guy that came up with duck calls,
[54:32.000 --> 54:35.000]  who they gave a show to make fun of conservatives.
[54:35.000 --> 54:38.000]  It became so popular with conservatives and Christians.
[54:38.000 --> 54:43.000]  It's the number one show in the history of cable.
[54:43.000 --> 54:49.000]  And they kick him off, and there's the Daily Mail headline, girls starting their puberty at three.
[54:49.000 --> 54:50.000]  See, I'm not making this up.
[54:50.000 --> 54:54.000]  The point is, I think they had a girl in Mexico, got pregnant at five.
[54:54.000 --> 54:57.000]  The point is, seven, they're having babies.
[54:57.000 --> 55:03.000]  And then Esquire, or was it GQ, goes and interviews them. What do you think he's going to say?
[55:03.000 --> 55:06.000]  It's his culture. He's not going to endorse homosexuality.
[55:06.000 --> 55:13.000]  And so, then they go, oh, he's off the air, and then Cracker Barrel removes their items until there was a backlash.
[55:13.000 --> 55:16.000]  And Walmart sold out of their items. They know what's going on.
[55:16.000 --> 55:22.000]  The point is, is that it's about domination. It's about being conquered by this system.
[55:22.000 --> 55:28.000]  Because if they can sell you on the false civil right, we've got to teach five-year-olds how to have anal sex,
[55:28.000 --> 55:33.000]  as they do in public schools, and seven-year-olds how to masturbate, or we're not liberal.
[55:33.000 --> 55:38.000]  It's really pedophilia. If they can get away with that, and take in crosses down,
[55:38.000 --> 55:42.000]  and nativity scenes, and Christmas trees down, folks, they can get away with anything.
[55:42.000 --> 55:49.000]  It's an agenda of total social control.
[55:49.000 --> 55:52.000]  And they're using gay people, ladies and gentlemen, who have nothing against.
[55:52.000 --> 55:54.000]  I don't judge anybody.
[55:54.000 --> 56:00.000]  Let me tell you, that is one of the least of the things we got going on in this society.
[56:00.000 --> 56:05.000]  The point is, they're pushing that agenda, because they've got the NSA spying on us,
[56:05.000 --> 56:10.000]  and the foreign banks debasing the dollar, and all the corruption, and the deindustrialization.
[56:10.000 --> 56:13.000]  The government wants to be able to have something to have us fight over,
[56:13.000 --> 56:17.000]  because the Republican and Democratic leadership is totally destroying this country at the top,
[56:17.000 --> 56:21.000]  and trying to destroy the libertarian Tea Party is trying to stop it.
[56:21.000 --> 56:24.000]  You'll know who the good guys are, look at who's being attacked.
[56:24.000 --> 56:27.000]  So they want to have some football issues, some phony right of,
[56:27.000 --> 56:33.000]  oh, the right-wingers don't want to pay for sex changes of serial killers.
[56:33.000 --> 56:37.000]  Literally, this serial killer killed 15 people, and he wants to be a woman,
[56:37.000 --> 56:42.000]  and the surgery's $50,000, and racist homophobes don't want to pay for it.
[56:42.000 --> 56:44.000]  We got superbugs breeding.
[56:44.000 --> 56:46.000]  We've got Russia threatening to nuclear up in the U.S.,
[56:46.000 --> 56:48.000]  because we're moving missiles in against them.
[56:48.000 --> 56:51.000]  We've got our government funding Al Qaeda to attack sovereign nations,
[56:51.000 --> 56:53.000]  and turning Egypt over to radicals.
[56:53.000 --> 56:58.000]  We've got all these serious things going on, and we're talking, let me tell you,
[56:58.000 --> 57:03.000]  there's almost nowhere in this country that gay people are being suppressed or attacked,
[57:03.000 --> 57:05.000]  and we all know that.
[57:05.000 --> 57:11.000]  This is all about a phony thing to get us all debating whether some hillbilly,
[57:11.000 --> 57:17.000]  some country bumpkin, can say, I like women all the way you like guys.
[57:17.000 --> 57:19.000]  We're all talking about that.
[57:19.000 --> 57:23.000]  Our whole civilization is coming down around us,
[57:23.000 --> 57:25.000]  and I've got news coming up in the next hour.
[57:25.000 --> 57:28.000]  Fukushima radiation is off the chart.
[57:28.000 --> 57:31.000]  A giant wave is just now starting to hit the U.S. next month.
[57:31.000 --> 57:35.000]  That is now 10 times the radiation that previously hit us.
[57:35.000 --> 57:37.000]  We're all being hit by this.
[57:37.000 --> 57:40.000]  I don't care what color you are or what sexual persuasion,
[57:40.000 --> 57:44.000]  and we're going to cover it all in your phone calls in the second hour,
[57:44.000 --> 57:47.000]  coming up, and gay false flags as well.
[57:47.000 --> 57:49.000]  We'll tell you what that is.
[57:49.000 --> 57:54.000]  In the last 50 years, iodine has been phased out of our staple foods
[57:54.000 --> 57:56.000]  and replaced with the halogen bromine,
[57:56.000 --> 58:00.000]  a practice now banned in nations around the world.
[58:00.000 --> 58:02.000]  Guess what else is in the halogen family?
[58:02.000 --> 58:03.000]  Fluoride.
[58:03.000 --> 58:05.000]  Ladies and gentlemen, Alex Jones here.
[58:05.000 --> 58:08.000]  In 1924, the federal government did the right thing
[58:08.000 --> 58:11.000]  and encouraged salt producers to add iodine.
[58:11.000 --> 58:14.000]  It's the good halogen on the periodic table,
[58:14.000 --> 58:17.000]  and the results are on record, reports documented,
[58:17.000 --> 58:20.000]  a 15-point IQ increase in areas
[58:20.000 --> 58:23.000]  that had previously been deficient in iodine.
[58:23.000 --> 58:25.000]  Bottom line, iodine is important.
[58:25.000 --> 58:28.000]  Unbound, clean, in a glycerin base,
[58:28.000 --> 58:32.000]  nascent iodine was the answer for myself and my family.
[58:32.000 --> 58:34.000]  You will find Survival Shield nascent iodine
[58:34.000 --> 58:37.000]  exclusively at InfoWarsLife.com.
[58:37.000 --> 58:40.000]  InfoWarsLife Survival Shield nascent iodine
[58:40.000 --> 58:42.000]  isn't just for emergencies.
[58:42.000 --> 58:45.000]  I take it every day. That's InfoWarsLife.com,
[58:45.000 --> 58:49.000]  or call toll-free, 888-253-3139.
[58:49.000 --> 58:52.000]  Why does the United States spend the largest percentage
[58:52.000 --> 58:54.000]  of GDP in the world on healthcare?
[58:54.000 --> 58:57.000]  Why do we have the highest cancer rates on the planet,
[58:57.000 --> 59:00.000]  the highest rates of diabetes, autism,
[59:00.000 --> 59:03.000]  and every other major disease?
[59:03.000 --> 59:05.000]  It all comes down to one thing.
[59:05.000 --> 59:06.000]  We are what we eat.
[59:06.000 --> 59:08.000]  Our food is devoid of nutrition
[59:08.000 --> 59:11.000]  and processed with poisons and additives.
[59:11.000 --> 59:15.000]  Our water is filled with toxic poisons and big pharma runoff.
[59:15.000 --> 59:18.000]  All of this has been engineered by design.
[59:18.000 --> 59:21.000]  We can turn the tide against the eugenicist.
[59:21.000 --> 59:24.000]  By giving ourselves the nutrients our body desperately needs.
[59:24.000 --> 59:27.000]  To learn more, visit InfoWarsLife.com.
[59:27.000 --> 59:30.000]  The site is literally packed with audio and video
[59:30.000 --> 59:32.000]  featuring top health professionals
[59:32.000 --> 59:34.000]  who don't bow down to big pharma.
[59:34.000 --> 59:37.000]  The fight against the New World Order starts with you
[59:37.000 --> 59:40.000]  and you can't stand against the machine of your sick, tired, and obese
[59:40.000 --> 59:42.000]  when you visit InfoWarsHealth.com.
[59:42.000 --> 59:46.000]  Be sure and check out the catalog with nearly 400 life-changing products
[59:46.000 --> 01:00:11.000]  and get free shipping when you sign up for auto-ship.
[01:00:16.000 --> 01:00:25.000]  We're going to open the phones up and start the next segment
[01:00:25.000 --> 01:00:28.000]  to talk about the Obamacare deadline.
[01:00:28.000 --> 01:00:31.000]  I guess it's here tomorrow that if you don't buy the Obamacare
[01:00:31.000 --> 01:00:33.000]  you get a big fine.
[01:00:33.000 --> 01:00:35.000]  And if you don't accept that fine, you're racist,
[01:00:35.000 --> 01:00:38.000]  basically is what they said, literally.
[01:00:38.000 --> 01:00:44.000]  So we're going to be breaking that down.
[01:00:44.000 --> 01:00:48.000]  And we've got Charlie Daniels to Piers Morgan.
[01:00:48.000 --> 01:00:53.000]  He wouldn't last five minutes in the Duck Dynasty swamps.
[01:00:53.000 --> 01:00:57.000]  We're going to cover some of that coming up.
[01:00:57.000 --> 01:01:02.000]  Man, I tell you, just the basic human culture is being overwritten
[01:01:02.000 --> 01:01:08.000]  by a plastic, toxic, anti-human, globalist control freak agenda.
[01:01:08.000 --> 01:01:13.000]  And I can put up with almost any sin if it's not a sin against innocence.
[01:01:13.000 --> 01:01:17.000]  And if it's not a sin against the natural order of things.
[01:01:17.000 --> 01:01:20.000]  It's one thing for people to do stuff that's their own deal.
[01:01:20.000 --> 01:01:26.000]  But when they try to, like, make you adopt it, that really makes me angry.
[01:01:26.000 --> 01:01:31.000]  It really, really, really, really makes me angry.
[01:01:31.000 --> 01:01:33.000]  And so this is a short little segment.
