[00:00:00.109 --> 00:00:04.291]  Pat Robertson, you've got to be... Folks, come on!
[00:27:24.569 --> 00:27:42.450]  Well yeah, we've got Kelly saying that his phone's tapped, we've got Diana weeks before her death saying that her apartment is completely booked, and so again another parallel between the two cases, but to ask which actual group carried out both the Diana and Kelly assassinations,
[00:27:43.110 --> 00:28:05.607]  Obviously we're talking about the British intelligence apparatus, MI5 and MI6, but digging deeper, and this is especially interesting since I mentioned before the Mercedes crashing into Pillar 13 in the Pont Dalmar Tunnel, there's actually a paramilitary assassination group in the UK which goes by the name of Group 13.
[00:28:05.607 --> 00:28:10.070]  People who have actually researched this group later found themselves being threatened at gunpoint
[00:28:11.291 --> 00:28:24.720]  This group 13 so-called evolved out of former SAS members that were in Northern Ireland in the late 70s and we know the history of British... Those are the guys carrying out the terror bombings to keep the occupation going.
[00:28:24.720 --> 00:28:33.466]  Yeah, those are the guys in the MI5 bomb squads actually carrying out the supported MI, you know, IRA bombings later turned out to be MI5.
[00:28:34.546 --> 00:28:41.912]  And this group 13 was later contracted to carry out hits to the British government on behalf of the Foreign Office.
[00:28:41.912 --> 00:28:53.862]  And from the evidence of previous researches, it was affiliated internationally with an American-based assassination team called Pegasus, which takes its orders from the NSA.
[00:28:53.862 --> 00:29:00.007]  And all this has been put out there by people on the fringes of these organizations who are desperately trying to blow the whistle.
[00:29:00.587 --> 00:29:13.137]  But the bottom line with Diana is that she had the ability to take any issue whatsoever and put it at the forefront of public scrutiny, as she did with the landmines issue.
[00:29:13.137 --> 00:29:17.180]  And so, in my estimation, this ability coupled with her
[00:29:18.107 --> 00:29:22.654]  Insane knowledge of the royal family in an affair with an Arab.
[00:29:22.654 --> 00:29:31.769]  Wouldn't you say that's the coup de grace that she's with this rich Arab who owns the shopping malls in Europe, admittedly pregnant by him, about to get married?
[00:29:32.580 --> 00:29:45.208]  Yeah, the Royals didn't want her to taint their sacred bloodline and basically Diana was too much of a loose cannon with too big a chip on her shoulder that she couldn't be tolerated any longer.
[00:29:45.208 --> 00:29:51.292]  But the ramifications of the story on Monday are basically twofold.
[00:29:51.292 --> 00:29:51.933]  Firstly, that
[00:29:52.907 --> 00:29:59.654]  We've seen renewed calls for a British-based inquiry, independent inquest, into Diana's death.
[00:29:59.654 --> 00:30:06.282]  And we had the story yesterday, Tony Blythe's spokesman basically completely dismissed the possibility of this.
[00:30:07.310 --> 00:30:18.714]  But obviously when the amount of disinformation is out there as it is today, it becomes almost impossible to conclusively prove anything, but of course the flip side of that is that no one believes what the government is saying.
[00:30:18.714 --> 00:30:19.914]  Exactly, they can't prove.
[00:30:19.914 --> 00:30:24.075]  Their stories are always the most ridiculous and the most easy to disprove.
[00:30:24.075 --> 00:30:31.077]  We can always just prove their story and then it's obvious what really happened, but there's so much smoke thrown up the average person is confused.
[00:30:31.077 --> 00:30:32.678]  Now Paul, we're about to go to calls, but
[00:30:34.620 --> 00:30:38.342]  Uh, you put a poll up on the website from one of the major newspapers.
[00:30:38.342 --> 00:30:39.163]  What did it close at?
[00:30:39.163 --> 00:30:43.445]  Last time I saw it, it was 76% of the British people believe Diana was murdered.
[00:30:43.445 --> 00:30:44.906]  In our polls, it was about 62% in CNN.
[00:30:44.906 --> 00:30:46.126]  Uh, 84% believe Kennedy was killed by the government.
[00:30:46.126 --> 00:30:48.748]  Uh, 89% to 87% think the borders should be controlled, illegals deported.
[00:30:54.981 --> 00:30:58.985]  I guess we're all just raving kooks and conspiracy theorists.
[00:30:58.985 --> 00:31:00.045]  Well, that must be the case.
[00:31:00.045 --> 00:31:06.010]  I mean, we had the London Mirror Poll, and the Mirror is actually the biggest-selling newspaper in Britain.
[00:31:06.010 --> 00:31:13.076]  The Mirror Poll ended at 76% of British people think that Diana's death was not an accident.
[00:31:14.278 --> 00:31:28.756]  After that we had TV polls on BBC and Sky News which stated that the figure that believed that it wasn't an accident was as high as 90% and even in America we had a CNN poll which was showing 65% believed it wasn't an accident.
[00:31:31.718 --> 00:31:33.500]  So it closed at 65 when I saw it.
[00:31:33.500 --> 00:31:35.162]  It was like 62.
[00:31:35.162 --> 00:31:35.762]  Excellent.
[00:31:35.762 --> 00:31:37.404]  So we're definitely deprogramming people.
[00:31:37.404 --> 00:31:38.545]  Let's take calls.
[00:31:38.545 --> 00:31:41.128]  We'll get in the national ID cards before you leave us.
[00:31:41.128 --> 00:31:42.850]  Let's talk to Charles in South Carolina.
[00:31:42.850 --> 00:31:45.333]  You're on the air with Paul Watson and Alex Jones.
[00:31:45.333 --> 00:31:52.941]  Alex, I've read all that stuff in the American Free Press what you've seen, but that isn't what I called for.
[00:31:54.905 --> 00:31:57.888]  Let me ask you a question so I know what I'm talking about.
[00:31:57.888 --> 00:32:03.252]  Did you say to that woman that Pat Robinson wouldn't say something like that?
[00:32:03.252 --> 00:32:06.875]  I said it's hard to believe.
[00:32:06.875 --> 00:32:08.856]  Okay, but it's true.
[00:32:08.856 --> 00:32:10.578]  You see, I haven't got cable.
[00:32:10.578 --> 00:32:13.160]  I just watch this regular ABC.
[00:32:13.160 --> 00:32:15.481]  He's on ABC 9 o'clock in the morning.
[00:32:15.481 --> 00:32:17.343]  That ain't the only thing this guy says.
[00:32:17.343 --> 00:32:19.605]  He's a New World Order all the way.
[00:32:19.605 --> 00:32:20.225]  Okay?
[00:32:20.225 --> 00:32:21.086]  Take my word for it.
[00:32:21.086 --> 00:32:21.826]  I'm not a liar.
[00:32:21.826 --> 00:32:22.587]  You know who I am.
[00:32:23.490 --> 00:32:24.290]  Okay?
[00:32:24.290 --> 00:32:26.711]  And I'm a reader of the spotlight and I know it all.
[00:32:26.711 --> 00:32:31.193]  This guy is a New World Order all the way.
[00:32:31.193 --> 00:32:33.694]  I was just saying it's hard to believe he can get away with that.
[00:32:33.694 --> 00:32:34.695]  Well, he's doing it.
[00:32:34.695 --> 00:32:38.416]  Have somebody tune in on him and see what I'm talking about.
[00:32:38.416 --> 00:32:39.036]  Tune in on him.
[00:32:39.036 --> 00:32:40.697]  Have somebody listen to him, okay?
[00:32:40.697 --> 00:32:41.697]  Okay, Charles.
[00:32:41.697 --> 00:32:42.057]  Thank you.
[00:32:42.057 --> 00:32:44.038]  Thanks for the call.
[00:32:44.038 --> 00:32:45.439]  Let's talk to John in Tennessee.
[00:32:45.439 --> 00:32:46.359]  You're on the air, John.
[00:32:46.359 --> 00:32:49.280]  I used to live in England with the U.S.
[00:32:49.280 --> 00:32:50.781]  Air Force and it was reported
[00:32:51.368 --> 00:32:57.611]  That the Queen make half a billion dollars a year income tax-free and is the largest landowner in New York City.
[00:32:57.611 --> 00:33:09.778]  Trevor Reese Jones was an MI6 agent who reported that British intelligence plotted the assassination of the Bosnian President using a car with a remote-controlled anti-lock brake system.
[00:33:09.778 --> 00:33:19.303]  Diane and Dodie's car was broken into and the ABS computer stolen and then the computer was recovered and reinstalled in the car that crashed.
[00:33:19.303 --> 00:33:20.864]  It was not replaced with a new one.
[00:33:21.545 --> 00:33:27.348]  If the left side brakes are triggered, the car will steer hard left, which is what it did.
[00:33:27.348 --> 00:33:32.711]  And Reece Jones was arrested in USA to prevent his scheduled TV interview.
[00:33:32.711 --> 00:33:38.835]  He missed his return flight on Swiss Air Flight 111 that crashed and killed everybody on board.
[00:33:38.835 --> 00:33:47.059]  After Diana and the so-called DUI crash, DUI laws were changed to lower the blood alcohol limit for the entire planet.
[00:33:47.059 --> 00:33:48.620]  This is a scam of the police state.
[00:33:49.383 --> 00:33:57.728]  Tennessee Driver's License Handbook admits, quote, you can still be convicted of DUI with blood alcohol at 0.0% end quote.
[00:33:57.728 --> 00:34:05.193]  Breath testers don't even test alcohol and they get hundreds of false positives for diabetes, dieting, exercise.
[00:34:05.193 --> 00:34:08.695]  You're already under arrest before you get a blood alcohol test.
[00:34:08.695 --> 00:34:09.415]  It's all fraud.
[00:34:09.415 --> 00:34:11.437]  There's no passing score.
[00:34:11.437 --> 00:34:12.457]  Now the U.S.
[00:34:12.457 --> 00:34:15.159]  Air Force and NSA bug Diana's cell phone
[00:34:15.697 --> 00:34:18.659]  And the BBC published the X-rated transcript.
[00:34:18.659 --> 00:34:23.881]  On the day of Diana's murder, 90% of the British people said that the Royals killed her.
[00:34:23.881 --> 00:34:26.203]  It was just a gut reaction.
[00:34:26.203 --> 00:34:33.667]  I remember, I was in San Francisco filming America Destroyed by Design, and everybody was walking down the street going, they killed her, they killed her.
[00:34:33.667 --> 00:34:36.108]  Paul, what was it like in England the day they murdered her?
[00:34:36.949 --> 00:34:51.779]  Well, it was obviously used as a mass psychosis device, which is what these incidents usually are used for, World Trade Center specifically, but the caller mentioned Trevor Rees-Jones, and we touched on this earlier, but we didn't go in any depth.
[00:34:51.779 --> 00:34:57.823]  Trevor Rees-Jones, as the bodyguard, was supposed to not be wearing a seatbelt, because that is the mandate of bodyguards.
[00:34:58.323 --> 00:35:04.006]  But he was pictured at the traffic lights right before they entered the tunnel not wearing a seatbelt.
[00:35:04.006 --> 00:35:09.048]  And then the official explanation later on is that he survived because he wore a seatbelt.
[00:35:09.048 --> 00:35:16.231]  Until later we get the whole tale about how the Mercedes was taken in three weeks before and stolen and the brakes were tampered with.
[00:35:16.231 --> 00:35:19.172]  So that does dovetail with what the call was saying.
[00:35:19.172 --> 00:35:19.653]  All right.
[00:35:19.653 --> 00:35:20.313]  Thank you, John.
[00:35:20.313 --> 00:35:20.833]  Great points.
[00:35:20.833 --> 00:35:22.834]  We'll be right back with more calls, more news.
[00:35:29.853 --> 00:35:31.694]  Alright folks, I'm Alex Jones.
[00:35:31.694 --> 00:35:36.838]  Paul Watson is going to stay with us for about another 15 minutes or so.
[00:35:36.838 --> 00:35:42.382]  In the next segment we have time to take more of your calls on the subject of the murder of Dr. David Kelly.
[00:35:42.382 --> 00:35:45.644]  The special forces types around the body when the first police walk up.
[00:35:45.644 --> 00:35:50.987]  And then no one thinks to question the three guys in black outfits.
[00:35:50.987 --> 00:35:53.189]  Kelly says he'll be found dead in the woods.
[00:35:53.189 --> 00:35:53.769]  All this stuff.
[00:35:53.769 --> 00:35:54.570]  He's being threatened.
[00:35:54.570 --> 00:35:56.231]  Dark actors.
[00:35:56.231 --> 00:35:58.853]  And literally they found dark actors when they got there.
[00:35:59.617 --> 00:36:00.518]  Princess Diana.
[00:36:00.518 --> 00:36:08.343]  We're going to get into national ID cards, how they're being implemented everywhere, and the big push in England and Europe and here by stealth.
[00:36:08.343 --> 00:36:09.343]  And of course, your calls.
[00:36:09.343 --> 00:36:11.745]  We're about to go to Brian, Cliff, Alan, and others.
[00:36:11.745 --> 00:36:15.948]  First, let's go to Patrick in England, calling in via cell phone.
[00:36:15.948 --> 00:36:19.990]  And you're on the air with your fellow Englishman.
[00:36:19.990 --> 00:36:20.791]  Patrick, welcome.
[00:36:20.791 --> 00:36:21.131]  Go ahead.
[00:36:21.753 --> 00:36:24.015]  Alright, and thank you very much indeed.
[00:36:24.015 --> 00:36:27.197]  I was at a seminar at the weekend in Chepstow where this was dealt with.
[00:36:27.197 --> 00:36:31.021]  People like you and me who research this kind of information.
[00:36:31.021 --> 00:36:33.022]  Sorry, there's cars passing by here.
[00:36:33.022 --> 00:36:35.704]  But two pieces of news have emerged about David Kelly.
[00:36:35.704 --> 00:36:36.905]  A search that was mobilized.
[00:36:36.905 --> 00:36:37.766]  Hello?
[00:36:37.766 --> 00:36:39.928]  Yes, you're on the air.
[00:36:39.928 --> 00:36:42.750]  The search was mobilized at 2.30pm before he had left the house.
[00:36:43.733 --> 00:36:49.762]  And indeed that motorcruiser was on the river and Navy field, two guys in Navy-type uniforms were seen there.
[00:36:49.762 --> 00:36:54.769]  But one of the key pieces of evidence is, Dr. Kelly had hardly any blood at the scene, just minor blood.
[00:36:54.769 --> 00:36:55.810]  He did not bleed out.
[00:36:55.810 --> 00:36:57.412]  If he cut his wrist, he would have bled out.
[00:36:57.412 --> 00:37:00.036]  He had undigested pills in his stomach.
[00:37:01.364 --> 00:37:02.264]  Correct.
[00:37:02.264 --> 00:37:05.905]  Well, that's what they say, but... Let me get Paul's take on what you're saying.
[00:37:05.905 --> 00:37:07.145]  Go ahead, Paul.
[00:37:07.145 --> 00:37:29.851]  Yeah, there was little blood at the scene, according to the original eyewitnesses, and we had three, basically, walkers in the countryside that had hired a boat to sail along the river, that saw in the distance three men, three large, heavily built men in black jumpsuits, just hovering around the body, checking the body, who then walked off.
[00:37:30.671 --> 00:37:34.593]  10 minutes later, the police arrive and identify the body.
[00:37:34.593 --> 00:37:49.178]  So again, we have these people that come almost before the authorities to mop up the crime scene and obviously their activities before these three ramblers saw them is what we're actually trying to highlight.
[00:37:49.178 --> 00:37:52.800]  All right, your take Patrick on Princess Diana?
[00:37:53.480 --> 00:38:03.322]  Well, just before that, the other piece of conflicting evidence, that's correct, that Paul says, at the Hutton Inquiry was, that Dr. Kelly was found by the civilian searchers, sitting up against a tree, dead.
[00:38:03.322 --> 00:38:05.523]  The police said he was lying down on the ground.
[00:38:05.523 --> 00:38:07.883]  That's the total conflict of evidence there.
[00:38:07.883 --> 00:38:16.105]  But the Princess Diana thing, yes, colleagues of mine have researched it, the Mercedes 600, that's some piece of kiff, it was, they had a fleet of six of those at the Ritz,
[00:38:16.565 --> 00:38:23.050]  The specific one she killed him with was stolen weeks before and returned and ballasted and cleaned and ready to go.
[00:38:23.050 --> 00:38:26.293]  So that alone, and can I give you a third piece of evidence?
[00:38:26.293 --> 00:38:27.273]  You know who I'm talking about.
[00:38:27.273 --> 00:38:31.597]  Mike Dicken on TalkSport, the very hour she was killed.
[00:38:32.097 --> 00:38:38.599]  One of his listeners phoned in from Paris and said they saw Princess Diana standing outside the car, holding her head after the crash.
[00:38:38.599 --> 00:38:41.659]  Well, that's what eyewitnesses said, saw her talking, moving around.
[00:38:41.659 --> 00:38:43.240]  Thank you, sir, for the call, Patrick.
[00:38:43.240 --> 00:38:43.760]  Thank you.
[00:38:43.760 --> 00:38:45.260]  Let's talk to Brian in Kansas.
[00:38:45.260 --> 00:38:47.161]  Brian, you're on the air.
[00:38:47.161 --> 00:38:47.661]  Alex?
[00:38:47.661 --> 00:38:48.321]  Yes, sir.
[00:38:48.321 --> 00:38:49.481]  Actually, it's Brandon.
[00:38:49.481 --> 00:38:50.542]  Okay, Brandon, go ahead.
[00:38:50.542 --> 00:38:51.682]  Don't worry about the name mix-up.
[00:38:51.682 --> 00:38:53.542]  It happens all the time.
[00:38:53.542 --> 00:39:00.184]  What I have to mention is off today's subject, but relates back to what you were talking about a few weeks ago.
[00:39:02.453 --> 00:39:07.157]  You mentioned that yuppies are the hardest group of people to get aware of what's happening.
[00:39:07.157 --> 00:39:09.118]  Because they think they're part of the establishment.
[00:39:09.118 --> 00:39:09.658]  Exactly.
[00:39:09.658 --> 00:39:11.840]  I work with a bunch of yuppies.
[00:39:11.840 --> 00:39:13.201]  And I work in the IT section.
[00:39:13.201 --> 00:39:21.367]  And to give you a little bit of my background... Well, I hope they enjoy the seven times layoffs of what's already happened to India.
[00:39:21.367 --> 00:39:21.948]  Yeah, really.
[00:39:21.948 --> 00:39:24.650]  That's a different subject altogether.
[00:39:24.650 --> 00:39:28.733]  But I have an RF background with military and civilian both.
[00:39:30.293 --> 00:39:37.357]  The thing that I found that works for getting their attention and actually making them aware is to talk about the OnStar system.
[00:39:37.357 --> 00:39:45.962]  And, you know, talk about it in a level they can understand it as far as how it operates and how your vehicle can be controlled by it.
[00:39:45.962 --> 00:39:47.363]  Your vehicle can be controlled?
[00:39:47.363 --> 00:39:52.386]  They admit Homeland Security is using it as a bug to listen to people?
[00:39:52.386 --> 00:39:59.971]  And that has been, I verified that a week and a half ago, actually almost two weeks ago, I was at a sit-through demonstration on the OnStar system.
[00:40:00.598 --> 00:40:14.466]  with two different sales reps and the look on their face when I started asking for technology demos was, you know, very surprised that they came across somebody that knew how the system worked and knew what I was capable of.
[00:40:14.466 --> 00:40:19.089]  Well, I mean, it's admitted in industry papers that Homeland Security is using it to listen to people.
[00:40:19.089 --> 00:40:19.550]  Oh, yeah.
[00:40:19.550 --> 00:40:21.271]  It's hooked in directly.
[00:40:21.271 --> 00:40:28.315]  The GPS system is owned by the government and serves at the pleasure of the auto manufacturers.
[00:40:28.315 --> 00:40:29.976]  Comments to what the gentleman's saying, Paul.
[00:40:30.754 --> 00:40:57.245]  Well, yeah, and the satellite control system in all cars goes back almost ten years, which is why the eyewitness reports of the Diana crash that the Mercedes, without any distraction from any of the vehicles, mysteriously veered into the 13th pillar, goes back to the fact that this Group 13 had been using that mechanism of remote control to crash cars years previously to the Diana crash.
[00:40:57.245 --> 00:40:59.006]  And that was something that they would not even
[00:40:59.654 --> 00:41:04.457]  Touch on the demo when I started asking to demonstrate how the engine can be shut off.
[00:41:04.457 --> 00:41:06.338]  Tell you what, stay there.
[00:41:06.338 --> 00:41:07.059]  Stay there, Brian.
[00:41:07.059 --> 00:41:10.120]  We'll talk to Cliff and Alan as well when we get back.
[00:41:10.120 --> 00:41:15.564]  And to get into national ID cards with Paul Joseph Watson.
[00:41:15.564 --> 00:41:16.945]  We're on the march.
[00:41:16.945 --> 00:41:19.466]  The Empire's on the run.
[00:41:19.466 --> 00:41:22.168]  Alex Jones and the GCN Radio Network.
[00:41:25.243 --> 00:41:34.333]  Station between a neocon star operator and a subscriber in distress was locked in her car and doesn't have the proper authorization to get out with neocon star
[00:41:38.595 --> 00:41:41.897]  Neoconstar, how can I offer you a great service today?
[00:41:41.897 --> 00:41:44.258]  Please help me, I'm trapped in my car!
[00:41:44.258 --> 00:41:46.339]  My retina scanner won't work!
[00:41:46.339 --> 00:41:47.600]  Just relax, sir.
[00:41:47.600 --> 00:41:49.401]  It's not sir, it's ma'am!
[00:41:49.401 --> 00:41:51.362]  Please hurry, it's hot in here!
[00:41:51.362 --> 00:41:56.265]  According to Admiral Poindexter's database, I have you at the Monsanto Mart on 2nd Street.
[00:41:56.265 --> 00:41:56.845]  Right.
[00:41:56.845 --> 00:42:01.367]  I have a live shot of you from the Neoconstar Observation Plant in your area.
[00:42:01.367 --> 00:42:02.908]  I'm an old lady!
[00:42:02.908 --> 00:42:05.910]  Alright sir, looks like you have no outstanding warrants, so you're not a newbie.
[00:42:09.082 --> 00:42:17.506]  We'll need you to slide your National ID Card for deduction before we can release you from the car.
[00:42:17.506 --> 00:42:20.827]  Slide it through the Neocon Star Console now.
[00:42:20.827 --> 00:42:22.048]  But I can't find it.
[00:42:22.048 --> 00:42:23.168]  I'm looking everywhere.
[00:42:23.168 --> 00:42:25.509]  I can't find my National ID Card.
[00:42:25.509 --> 00:42:29.911]  Sir, I'm going to send a Homeland Security Helicopter there right now to check you out.
[00:42:38.840 --> 00:42:39.941]  Okay.
[00:42:39.941 --> 00:42:42.242]  I'll take the lethal injection, please.
[00:42:42.242 --> 00:42:44.864]  Thanks for using the Eocon Star.
[00:42:44.864 --> 00:42:48.325]  Have a nice day.
[00:42:48.325 --> 00:42:52.368]  Yes, thanks for using the Eocon Star.
[00:42:52.368 --> 00:42:56.910]  Uh, Paul, we need to get that posted on PrisonPlanet.com so that it can get spread around the internet.
[00:42:56.910 --> 00:42:59.172]  I keep meaning to call and tell you that for weeks.
[00:42:59.172 --> 00:42:59.652]  But, um...
[00:43:00.342 --> 00:43:03.764]  I mean, that's more in the realm of reality for what we're facing.
[00:43:03.764 --> 00:43:08.347]  The big automakers have said they want retina scanners to, quote, tell if you're tired.
[00:43:08.347 --> 00:43:11.489]  Now we're hearing about, oh, tired driving's worse than drunk driving.
[00:43:11.489 --> 00:43:12.170]  What's the answer?
[00:43:12.170 --> 00:43:13.731]  A retina scanner on all cars.
[00:43:13.731 --> 00:43:17.473]  Why, it'll save lives, and it'll make sure your car isn't too hot with your children in it.
[00:43:17.473 --> 00:43:20.015]  A wireless hookup to an infrared scanner.
[00:43:20.015 --> 00:43:20.875]  Very inexpensive.
[00:43:20.875 --> 00:43:22.096]  They want to make that standard by 2005.
[00:43:22.096 --> 00:43:23.397]  That's MSNBC, by the way.
[00:43:25.484 --> 00:43:29.225]  Going back to Brian in Kansas.
[00:43:29.225 --> 00:43:32.447]  Continuing to discuss this, you say you went to an OnStar demo discussion.
[00:43:32.447 --> 00:43:34.387]  They were freaking out that you knew about this.
[00:43:34.387 --> 00:43:38.589]  Tell us some more.
[00:43:38.589 --> 00:43:39.669]  Brian, are you still there?
[00:43:39.669 --> 00:43:40.529]  Yes, I'm still here.
[00:43:40.529 --> 00:43:41.530]  Or Brandon, excuse me.
[00:43:41.530 --> 00:43:42.970]  Yes, I'm here.
[00:43:42.970 --> 00:43:47.952]  What else did they say?
[00:43:47.952 --> 00:43:52.994]  The main demo they wanted to give was to show how you can make cellular calls from inside your car.
[00:43:53.863 --> 00:43:57.205]  Using the OnStar system, which is all VIA-connected through cellular usage.
[00:43:57.205 --> 00:44:01.186]  And, you know, satellite-linked through cellular.
[00:44:01.186 --> 00:44:07.729]  I did get them to admit to the fact that they can monitor conversations going on inside the car without anybody knowing it.
[00:44:07.729 --> 00:44:10.270]  And that they have used that already.
[00:44:10.270 --> 00:44:17.033]  And, of course, they were really surprised and denied it until I finally kept at it and kept at them.
[00:44:17.033 --> 00:44:20.435]  And finally got them to admit to that they do do that, but only with a court order.
[00:44:21.272 --> 00:44:24.374]  I said, okay, so you're saying you have the technology that is capable of doing it?
[00:44:24.374 --> 00:44:25.655]  He said, yes.
[00:44:25.655 --> 00:44:27.896]  I said, how many times has it been done?
[00:44:27.896 --> 00:44:29.638]  Well, it's only been done once.
[00:44:29.638 --> 00:44:30.558]  Yeah, right.
[00:44:30.558 --> 00:44:33.200]  Look, folks, the satellites are owned by the government.
[00:44:33.200 --> 00:44:33.640]  Yeah.
[00:44:33.640 --> 00:44:39.264]  By the way, the Bin Laden's own part of the company with the Bushes, then it, quote, went into bankruptcy and the government took it over.
[00:44:39.264 --> 00:44:41.105]  Now it's all hooked into the control grid.
[00:44:41.105 --> 00:44:44.968]  The GPS, 66 satellites and six spares.
[00:44:44.968 --> 00:44:48.330]  I'm not kidding, folks, that's how they announced it, orbiting the planet.
[00:44:50.990 --> 00:44:54.112]  Just absolutely amazing that this is going on.
[00:44:54.112 --> 00:44:56.254]  Paul Watson, your take on this?
[00:44:56.254 --> 00:44:58.435]  Because the same system is being put into your country.
[00:44:58.435 --> 00:45:04.020]  They're announcing they're going to start taxing you to drive with the satellite boxes that just accidentally were put in all your cars.
[00:45:05.029 --> 00:45:16.434]  Yeah, and we've got the EU calling for a national ID card, and on the side also, at a lower level, calling for a national or a European health ID card.
[00:45:16.434 --> 00:45:19.735]  And a European driver's license, same thing in England, same thing here.
[00:45:19.735 --> 00:45:22.496]  This is the national ID card, and people don't even know it.
[00:45:23.216 --> 00:45:46.726]  Yeah, just today we got the article calling for an EU driving license and the satire in the clip you just played about the National ID Card grading people on levels of security and whether they've committed criminal offences in the past is no joke because we have from Australia, which is also on the website today, the airliners are creating this database which produces...
[00:45:48.208 --> 00:45:50.512]  And you become a threat if you have bad credit.
[00:46:00.777 --> 00:46:01.918]  Yeah, we've got CAHPS, too.
[00:46:01.918 --> 00:46:08.882]  We've got the Pacific Database, which includes all people in Australia, New Zealand, and basically Australasia.
[00:46:08.882 --> 00:46:18.348]  Then we have the Matrix System, integrating the echelon group of countries into the state level, from the counties in your country to the states in my land.
[00:46:18.348 --> 00:46:19.708]  It's just amazing.
[00:46:19.708 --> 00:46:22.210]  Thanks for the call, Brandon.
[00:46:22.210 --> 00:46:24.371]  Let's now talk to Cliff in Colorado.
[00:46:24.371 --> 00:46:25.252]  Cliff, you're on the air.
[00:46:25.252 --> 00:46:26.573]  Go ahead.
[00:46:26.573 --> 00:46:27.333]  Hi.
[00:46:27.333 --> 00:46:29.134]  Hi, Alex and Paul.
[00:46:29.134 --> 00:46:30.435]  Appreciate what you're doing.
[00:46:31.841 --> 00:46:39.105]  I've gotten all your tapes, Alex, and I've been making copies, and I've been targeting the wrong audience.
[00:46:39.105 --> 00:46:51.752]  I've been distributing them to principals, college professors, CEOs, and I'm having a yuppie, and I'm having a dismal success rate doing that.
[00:46:51.752 --> 00:46:54.433]  Certainly you hear callers that have a 90 to 100 percent.
[00:46:54.433 --> 00:46:58.375]  Sometimes we get calls from a minority where no one's waking up.
[00:46:58.375 --> 00:47:00.196]  What type of response are you getting?
[00:47:00.908 --> 00:47:18.038]  Well, I'm getting negative response, but I'm slowly figuring that I'm giving... I give them to college professors who go off and... In fact, I've been ostracized by some of my family members who are college professors, and they think that I'm the crazy one.
[00:47:18.038 --> 00:47:27.043]  But when you give them to a track co-operator, or a post mailman, or the guy that works at the convenience store, that percentage is...
[00:47:30.103 --> 00:47:33.726]  They're turning around, they're asking for more copies of tapes.
[00:47:33.726 --> 00:47:37.629]  So you're having problems with educated idiots.
[00:47:37.629 --> 00:47:41.693]  Paul, do you want to talk about this phenomenon?
[00:47:41.693 --> 00:47:51.521]  Well, if you offer tapes to people that are basically locked into the system, then obviously they're going to give you a reaction which isn't beneficial because
[00:47:52.364 --> 00:48:09.231]  Do you tell people that have been locked into this system for basically all their life that they've been basically the minions for this giant corrupt bureaucracy which feeds the wider agenda then obviously their life up to that point is basically and has been of minimal importance and so obviously
[00:48:09.971 --> 00:48:10.632]  Uh, yes.
[00:48:40.017 --> 00:48:43.986]  They also made a comment, they said that Jesus and God is going to take care of them.
[00:48:43.986 --> 00:48:46.892]  And I'm sitting on the fence as far as religion goes.
[00:48:46.892 --> 00:48:50.981]  I haven't made my own choice about that, but I told them that
[00:48:52.413 --> 00:48:56.575]  We, citizens everywhere, need to stand up to tyranny and evil.
[00:48:56.575 --> 00:48:58.176]  That's your responsibility.
[00:48:58.176 --> 00:49:01.037]  Well, let me just say this, and thanks for the call, it's an important question.
[00:49:01.037 --> 00:49:04.838]  Christ stood up to the tyranny of his day.
[00:49:04.838 --> 00:49:06.719]  Daniel did.
[00:49:06.719 --> 00:49:09.300]  The prophets did.
[00:49:09.300 --> 00:49:11.621]  The disciples did.
[00:49:11.621 --> 00:49:15.823]  The founding fathers did.
[00:49:15.823 --> 00:49:16.743]  What happened with Hitler?
[00:49:16.743 --> 00:49:18.004]  What happened with Stalin and Mao?
[00:49:18.944 --> 00:49:22.788]  This is a modern view that, lay down, God's going to handle it all.
[00:49:22.788 --> 00:49:23.548]  And that's not true.
[00:49:23.548 --> 00:49:27.432]  God said, stand up, reprove the works of darkness, stand up to evil.
[00:49:27.432 --> 00:49:34.798]  And so you've got this modern, neutered church by the government, just like they have in China, the patriotic church.
[00:49:34.798 --> 00:49:40.644]  And so these people are afraid, they're copping out, and they're destroying themselves.
[00:49:40.644 --> 00:49:40.864]  Paul?
[00:49:41.943 --> 00:49:53.976]  Well, yeah, and the people that react to videos like yours badly, I mean, they know that the government has lied so much that they're starting to apply that ethic to the general population.
[00:49:53.976 --> 00:49:59.601]  So when you tell them something, they think that you're lying because the government has been caught lying so many times.
[00:49:59.601 --> 00:49:59.982]  It's just this...
[00:50:00.542 --> 00:50:04.824]  Paul, I've ordered your book and I eagerly await its arrival order out of chaos.
[00:50:30.330 --> 00:50:38.332]  I used to be in London Fire Brigade and I was actually a backup for the Moorgate collision in London Underground.
[00:50:38.332 --> 00:50:48.454]  And I know that if we had arrived at the Lady Diana accident, she would have been out of that vehicle at least within 15-20 minutes.
[00:50:48.454 --> 00:50:50.295]  No doubt.
[00:50:50.295 --> 00:50:53.536]  I have a question for you.
[00:50:53.536 --> 00:50:58.557]  If every thinking person knows that the media is controlled by the elite,
[00:50:59.557 --> 00:51:03.010]  What is the function of the London Daily Mirror now?
[00:51:05.240 --> 00:51:09.043]  Well, let me take that first and see if Paul agrees.
[00:51:09.043 --> 00:51:11.725]  And Paul, you say whatever you think here.
