[00:00:15.608 --> 00:00:17.210]  8-8-7-6-6-6-0-6-6 today.
[00:24:58.741 --> 00:25:01.741]  Look into Eugenics Margaret Sanger Hitler.
[00:25:01.741 --> 00:25:02.682]  Google that.
[00:25:02.682 --> 00:25:05.022]  Or IBM Eugenics Hitler.
[00:25:05.022 --> 00:25:09.384]  Or Microsoft Eugenics... And prepare yourself.
[00:25:09.384 --> 00:25:10.904]  It's all them saying it.
[00:25:10.904 --> 00:25:13.685]  It's not me.
[00:25:13.685 --> 00:25:14.305]  You understand?
[00:25:15.928 --> 00:25:19.589]  Now, let's go ahead and play this clip.
[00:25:19.589 --> 00:25:20.450]  Here it is.
[00:25:20.450 --> 00:25:27.472]  I highly doubt that they're targeting the Eastside or the Mexican community, but I kind of think it's a good thing if they did.
[00:25:27.472 --> 00:25:30.033]  The Todd and Don Show, weekday mornings at 10.
[00:25:30.033 --> 00:25:44.018]  It takes care of those damn thugs that are running around with guns, pointing them at the cops, and then our chicken city council gives them money, let them abort those kids, that's one less gang member we have to worry about, one less illegal that's dropping a baby.
[00:25:44.879 --> 00:25:52.145]  Now, I've covered that.
[00:25:52.145 --> 00:25:58.751]  Now, this is only the news that I printed in five minutes.
[00:25:58.751 --> 00:26:03.436]  Right before showtime, I decided to go ahead and go in this direction because of driving and I heard that promo.
[00:26:03.436 --> 00:26:05.918]  And I just printed these in five minutes.
[00:26:05.918 --> 00:26:07.980]  That means I searched the articles and printed them.
[00:26:07.980 --> 00:26:08.981]  I have like eight of them here.
[00:26:10.919 --> 00:26:12.261]  How do these tie together?
[00:26:12.261 --> 00:26:16.845]  Bad CPS bill deserves a good veto.
[00:26:16.845 --> 00:26:24.172]  This article reports, and I've got the bill here, SB 1064.
[00:26:24.172 --> 00:26:26.275]  This is in Texas again, but it's happening all over the country.
[00:26:26.275 --> 00:26:30.699]  Because the globalists internationally write these bills and have their lobbies pass them locally.
[00:26:31.107 --> 00:26:33.749]  The CPS no longer needs a warrant, probable cause, anything.
[00:26:33.749 --> 00:26:37.931]  They can just come steal your kids without even telling you or a judge or anybody.
[00:26:37.931 --> 00:26:55.922]  Before they would get these fake little family court things swore out by these judges that on CNN they report get campaign donations from the child kidnapping foundations that sell these kids out for $200,000, $300,000, $400,000, $500,000 sometimes for a blonde-haired, blue-eyed kid.
[00:26:55.922 --> 00:27:00.325]  And I had a senator on a few weeks ago reporting about how they have public bounties in Georgia.
[00:27:00.894 --> 00:27:02.775]  For blonde-haired, blue-eyed kids.
[00:27:02.775 --> 00:27:04.076]  This is on record!
[00:27:04.076 --> 00:27:12.342]  They literally go out, find an excuse, find a bruise on a first-grade, blonde-haired, blue-eyed girl's leg because some rich family in Connecticut wants them.
[00:27:12.342 --> 00:27:14.423]  And in a couple weeks, she's there.
[00:27:14.423 --> 00:27:17.285]  Mommy and Daddy don't get her.
[00:27:17.285 --> 00:27:18.586]  Now, how does that tie into this?
[00:27:18.586 --> 00:27:19.267]  Listen to this.
[00:27:19.267 --> 00:27:20.928]  Obama's elite agenda.
[00:27:20.928 --> 00:27:24.270]  Black abortion for profit.
[00:27:24.270 --> 00:27:25.831]  That's out of a whole bunch of mainstream news.
[00:27:25.831 --> 00:27:27.413]  We'll go over that.
[00:27:27.413 --> 00:27:28.213]  Another site.
[00:27:28.213 --> 00:27:29.394]  Klan Parenthood.
[00:27:30.393 --> 00:27:36.416]  Remember last year it came out that people would call up Planned Parenthood and say, yeah, I want to donate money to abort just black babies.
[00:27:36.416 --> 00:27:39.737]  And they start getting excited going, oh yeah, that's what we're here for.
[00:27:39.737 --> 00:27:41.518]  And this week, I'm going to go get all those clips again.
[00:27:41.518 --> 00:27:44.180]  I'm going to do a whole hour on this.
[00:27:44.180 --> 00:27:46.020]  Maybe two hours on this.
[00:27:46.020 --> 00:27:50.202]  And Margaret Sanger quotes and the rest of it.
[00:27:50.202 --> 00:27:55.665]  And then how does that tie into the Financial Times of London headline of a week ago of
[00:27:56.303 --> 00:28:03.805]  Billionaires meet in secret to promote world population reduction.
[00:28:03.805 --> 00:28:10.347]  See, how does all this tie together?
[00:28:10.347 --> 00:28:15.708]  I'm gonna go over this in the next segment and then take your calls, but here is the issue.
[00:28:15.708 --> 00:28:22.610]  To the racist whites who have this attitude of, look, just abort the black and hispanic babies.
[00:28:22.610 --> 00:28:25.051]  Kill all the children on the east side of Austin.
[00:28:26.909 --> 00:28:28.870]  And then I heard other callers this week saying the same thing.
[00:28:28.870 --> 00:28:33.873]  I mean, these are psychos.
[00:28:33.873 --> 00:28:39.777]  And this is an attitude I've heard from CPS and quote liberals over and over again is, well, we got to abort all these brown babies.
[00:28:39.777 --> 00:28:40.597]  Nobody wants them.
[00:28:40.597 --> 00:28:42.378]  What, are you going to adopt them?
[00:28:42.378 --> 00:28:43.179]  It's funny.
[00:28:43.179 --> 00:28:47.221]  There are more requests every year for adoption than there are children.
[00:28:49.758 --> 00:28:52.600]  And they don't tell all these mothers, hey, go ahead and have the baby and then adopt it.
[00:28:52.600 --> 00:28:54.602]  No, they tell them, go ahead and kill that baby.
[00:28:54.602 --> 00:29:01.028]  But then if the woman goes ahead and has the baby, they then come in and try to CPS and kidnap the kid to keep it in the market.
[00:29:01.028 --> 00:29:04.291]  That's kind of like the big cartels in the 20s and 30s.
[00:29:04.291 --> 00:29:05.191]  This is on record.
[00:29:05.191 --> 00:29:06.873]  Congressional testimony.
[00:29:06.873 --> 00:29:10.416]  The big companies that were shipping in heroin, opium, cocaine.
[00:29:10.416 --> 00:29:10.876]  Coca-Cola.
[00:29:10.876 --> 00:29:11.697]  That's why it's called Coke.
[00:29:12.572 --> 00:29:21.779]  They were losing their monopoly shipping coke and heroin in, so they made it illegal so they could use the police to knock out their competition and jack up the price.
[00:29:21.779 --> 00:29:30.966]  Kind of like they don't want you knowing about how you can give your baby up for adoption instead of abort it, because they want to make sure the level of adopted kids stays down so they can kidnap them and get more money.
[00:29:32.503 --> 00:29:34.483]  Heart disease is on the rise.
[00:29:34.483 --> 00:29:41.445]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[00:29:41.445 --> 00:29:49.827]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[00:29:49.827 --> 00:29:55.548]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[00:29:55.748 --> 00:29:57.590]  My blood pressure has normalized.
[00:29:57.590 --> 00:29:59.751]  My diabetes has totally improved.
[00:29:59.751 --> 00:30:04.295]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[00:30:04.295 --> 00:30:06.517]  I recommend Heart and Body Extract to everyone.
[00:30:06.517 --> 00:30:14.263]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[00:30:14.443 --> 00:30:16.806]  Order your two-month supply today by calling 866-295-5305.
[00:30:16.806 --> 00:30:17.366]  That's 866-295-5305.
[00:30:17.366 --> 00:30:19.188]  Or order online at HBextract.com.
[00:30:19.188 --> 00:30:21.070]  Heart and Body Extract, 866-295-5305.
[00:30:21.070 --> 00:30:21.871]  Or HBextract.com.
[00:30:32.521 --> 00:30:41.228]  Of the three million plus edible food plants that grow on earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[00:30:41.228 --> 00:30:47.233]  At hempusa.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[00:30:47.233 --> 00:30:53.759]  At hempusa.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[00:30:54.324 --> 00:30:57.705]  Our powder is 50% protein and does not contain gluten.
[00:30:57.705 --> 00:31:00.146]  Gluten impairs the cells from absorbing nutrients.
[00:31:00.146 --> 00:31:06.747]  This nutrient-dense food can be stored up to five years when vacuum-packed and is priced affordably to be used as a storable food.
[00:31:06.747 --> 00:31:10.268]  HempUSA.org is a bulk shipper starting with five pounds and up.
[00:31:10.268 --> 00:31:14.129]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[00:31:17.330 --> 00:31:20.492]  The body will react and heal itself given the proper nutrition.
[00:31:20.492 --> 00:31:22.693]  This superfood will be your greatest asset.
[00:31:22.693 --> 00:31:26.356]  So try it today, store it today, and change your life.
[00:31:26.356 --> 00:31:32.119]  Call 908-691-2608 or order from hempusa.org.
[00:31:32.119 --> 00:31:37.102]  You've probably heard about the incredible, powerful, and natural antioxidants found in red wine.
[00:31:43.237 --> 00:31:43.638]  I think so.
[00:32:07.363 --> 00:32:07.583]  I think so.
[00:32:31.571 --> 00:32:32.892]  Ah, springtime.
[00:32:32.892 --> 00:32:38.415]  Now that you've planted your organic garden, how will you keep the bugs away without using toxic chemicals and poisons?
[00:32:38.415 --> 00:32:43.037]  Well, the answer is all-natural insecticides from FreshwaterOrganics.com.
[00:32:43.037 --> 00:32:49.021]  These revolutionary insecticides start with the same organic product that we use in FPP to kill parasites.
[00:32:49.021 --> 00:32:57.645]  We then add a small amount of Hyrethrin from Chrysanthemum Flowers and a mild attractant to offer you the most effective insecticide available anywhere.
[00:32:57.645 --> 00:33:00.287]  It can even be applied up to the day of harvest.
[00:33:00.587 --> 00:33:11.458]  Our natural insecticides work in the home, on plants, and in your garden, killing pests mechanically, not with poisons, so pests can't develop an immunity and they won't harm your children or pets.
[00:33:11.458 --> 00:33:20.967]  It's effective against white flies, moths, bedbugs, fleas, roaches, crickets, and more, and safe enough to use on your pets, ridding them of fleas and other pests.
[00:33:21.287 --> 00:33:23.629]  Order now from Freshwaterorganics.com or call 888-949-3570.
[00:33:23.629 --> 00:33:24.010]  888-949-3570 today.
[00:33:24.010 --> 00:33:26.632]  Are you tired of searching for great talk radio?
[00:33:26.632 --> 00:33:27.133]  Search no more.
[00:33:50.217 --> 00:33:51.878]  No, things aren't what they used to be.
[00:33:51.878 --> 00:33:58.640]  Foreign offshore banks are using the government to grab General Motors, cut it up in pieces.
[00:33:58.640 --> 00:34:12.306]  They're selling almost the entire company to the Russians, the Italians, the Chinese, the folks down in Brazil, and you're paying for it as taxpayers to have the companies
[00:34:12.834 --> 00:34:15.555]  Spun off Saturn, Hummer.
[00:34:15.555 --> 00:34:17.096]  It's all being hacked up in pieces.
[00:34:17.096 --> 00:34:18.696]  Chrysler's going to Fiat.
[00:34:18.696 --> 00:34:21.277]  And you're paying to have it shipped overseas.
[00:34:21.277 --> 00:34:25.238]  It's like you pay with tax rebates to companies to leave the United States.
[00:34:25.238 --> 00:34:34.321]  So that's why Blackwater and Halliburton and all these big patriotic companies that had to have no-bid contracts during the Iraq War.
[00:34:34.321 --> 00:34:36.342]  They're defending America.
[00:34:36.342 --> 00:34:39.543]  Red, white, and blue!
[00:34:39.543 --> 00:34:41.364]  So we'll go over all of that coming up as well.
[00:34:44.557 --> 00:34:47.099]  But it is June 7th, Sunday, June 7th, 2009.
[00:34:47.099 --> 00:35:10.656]  You know, let's talk facts here about how modern science that we know, developed in the 17th, 18th, 19th, and 20th century, starting with Lord Malthus, Sir Malthus,
[00:35:11.568 --> 00:35:24.657]  Saying that they need to exterminate the majority of the British population and figure out how to spread plagues on them, how to put them in compact cities and kill them because the population was overpopulated.
[00:35:24.657 --> 00:35:27.859]  That was in 1750.
[00:35:27.859 --> 00:35:31.261]  Thereabouts that he first published.
[00:35:31.261 --> 00:35:41.288]  And then Darwin comes along and says the same thing and the social Darwinists pick up with that and his cousin Sir Francis Galton comes out and
[00:35:42.051 --> 00:35:46.472]  Creates the theory of eugenics, which the royals just loved.
[00:35:46.472 --> 00:35:58.595]  Saying the elites are better bred and the masters of the planet and the mere fact that they're in control gives them divine right of kings that they got in control and most of the Wedgwood, Galton, Darwin family would die.
[00:35:58.595 --> 00:36:03.116]  Like they'd have five sons and four of them would die because they were all intermarried.
[00:36:03.116 --> 00:36:06.557]  They were all marrying each other's first cousins because they thought they were the master race.
[00:36:07.383 --> 00:36:13.805]  So the scientific elite were all intermarrying for hundreds of years, just like the royalty was intermarrying.
[00:36:13.805 --> 00:36:16.926]  It's all delusions of grandeur.
[00:36:16.926 --> 00:36:22.148]  Totally mentally ill, like some, you know, breed of German pointer dog, or chow.
[00:36:22.148 --> 00:36:24.329]  You know, it's been overbred.
[00:36:24.329 --> 00:36:31.812]  Just endlessly breeding the dog till it just sits there in the corner shaking and urinating on itself and yipping and yapping with delusions of grandeur.
[00:36:31.812 --> 00:36:33.672]  That's who runs things.
[00:36:33.672 --> 00:36:35.073]  Just inbred filth.
[00:36:37.418 --> 00:36:47.261]  And so by the 1890s, eugenics is adopted as law in England, law in the United States, law in France and Germany and even Mexico.
[00:36:47.261 --> 00:36:56.663]  And by 1920, 34 states in the U.S., it's law, the police drop by with social workers and people would say, I have a right to a trial.
[00:36:56.663 --> 00:36:57.484]  I have a right to a jury.
[00:36:57.484 --> 00:37:01.985]  You can't take me because I'm poor and sterilize me.
[00:37:02.694 --> 00:37:08.919]  You can't, and so they set up family courts and health departments.
[00:37:08.919 --> 00:37:11.981]  It was a doctor in a lab coat that came.
[00:37:11.981 --> 00:37:17.105]  And so they said, oh yes, you have a Bill of Rights, but not when it's for medical reasons.
[00:37:17.105 --> 00:37:26.813]  And then the local uppities in the towns would say, yes, sterilize that white trash and sterilize those blacks and Mexicans and Chinese.
[00:37:26.813 --> 00:37:29.675]  And on the books, they took a half a million white women
[00:37:30.826 --> 00:37:43.877]  They took millions of blacks, but good records of that weren't kept, and they took the majority of the Native American population, still going on today, and they say, you want health care, we gotta do a procedure, and they sterilize you.
[00:37:43.877 --> 00:37:49.381]  And then see, a lot of people are listening right now all over the country, going, yeah, yeah, there's too many people, yeah, yeah, yeah.
[00:37:49.381 --> 00:37:50.222]  See?
[00:37:50.222 --> 00:37:51.703]  You've been taught that.
[00:37:51.703 --> 00:37:54.386]  And the issue is, what I'm gonna tell you, here's the big kicker.
[00:37:54.386 --> 00:37:55.987]  You're being sterilized too, dummy.
[00:37:57.543 --> 00:38:03.884]  You're drinking sodium fluoride that attacks every gland in the body and attacks reproduction and massively increases cancer.
[00:38:03.884 --> 00:38:05.404]  Just Google.
[00:38:05.404 --> 00:38:07.145]  Cancer Research Sodium Fluoride.
[00:38:07.145 --> 00:38:07.885]  You'll be reading U.S.
[00:38:07.885 --> 00:38:10.065]  government documents in the 20s.
[00:38:10.065 --> 00:38:12.826]  That's where Hitler and Stalin got the idea to put it in the water.
[00:38:12.826 --> 00:38:18.487]  That's in Pulitzer Prize winning books on World War II.
[00:38:18.487 --> 00:38:20.227]  That they would put it in the water supply.
[00:38:20.227 --> 00:38:22.047]  I know you were taught to laugh about it.
[00:38:22.047 --> 00:38:23.087]  I know it's funny.
[00:38:23.087 --> 00:38:24.228]  Yes.
[00:38:24.228 --> 00:38:26.328]  You've been drinking a deadly toxin.
[00:38:26.966 --> 00:38:28.868]  A deadly sedative.
[00:38:28.868 --> 00:38:29.969]  That's why.
[00:38:29.969 --> 00:38:32.812]  But you've got enough of your humanity left to listen to me.
[00:38:32.812 --> 00:38:33.873]  Listen to me carefully.
[00:38:33.873 --> 00:38:36.515]  You can shake off the drugs you're on.
[00:38:36.515 --> 00:38:38.357]  They forcibly medicate you through the water.
[00:38:38.357 --> 00:38:40.019]  They shoot you up with the mercury.
[00:38:40.019 --> 00:38:40.619]  Don't believe me?
[00:38:40.619 --> 00:38:42.701]  Just Google.
[00:38:42.701 --> 00:38:47.205]  Three times increase in Alzheimer's after three flu shots.
[00:38:47.205 --> 00:38:49.347]  You'll see government studies.
[00:38:49.347 --> 00:38:51.029]  They've increased the mercury in the flu shot.
[00:38:52.688 --> 00:38:57.489]  So see, you're saying kill everybody in the black side of the Mexican side of town.
[00:38:57.489 --> 00:39:01.450]  You're saying kill, kill, kill, because they're all gang member scum.
[00:39:01.450 --> 00:39:07.072]  Just like you heard the woman earlier.
[00:39:07.072 --> 00:39:19.015]  But then you don't understand that when you really read the eugenics documents, they say we're going to sell the well-to-do and middle-class whites on doing this to blacks and others, but our real target is them, the eugenicists of you.
[00:39:20.060 --> 00:39:25.123]  Because they are of superior bloodline and may challenge our hegemonic world dictatorship.
[00:39:25.123 --> 00:39:32.206]  So we have to actually target most, just like a farmer would do, you know, trimming the trees, is the way they describe it.
[00:39:32.206 --> 00:39:37.369]  Bad sons, the little baby trees coming up underneath the tree, underneath the crepe myrtle or the oak.
[00:39:37.369 --> 00:39:45.153]  We have to kill most of them and then select the only best ones we want for interbreeding with ourselves.
[00:39:45.153 --> 00:39:48.495]  So see, you're driving around going, yeah, kill the Mexicans and blacks.
[00:39:49.349 --> 00:39:50.690]  But see, you don't know.
[00:39:50.690 --> 00:39:57.997]  You've already been hit by, write this down, write this down as you drive down the road, soft kill weapon.
[00:39:57.997 --> 00:40:11.570]  And when you get home today, if you still know how to type that in, and you're not too busy watching sports and acting tough, soft kill weapon, and you'll read Pentagon documents, silent weapons for quiet wars.
[00:40:11.570 --> 00:40:15.113]  It's a very quiet war, what they're doing to you right now, what they're doing to me.
[00:40:19.727 --> 00:40:23.612]  And the technocrats and most of the minions who are even in on this think they're immune.
[00:40:23.612 --> 00:40:33.726]  But you'll always notice a research scientist, somebody involved at higher levels who's got a big piece of the puzzle and knows what they're a part of but still believes in it, you'll notice nothing but distilled water.
[00:40:33.726 --> 00:40:34.927]  Nothing but organic food.
[00:40:36.409 --> 00:40:38.170]  They've engineered these foods by design.
[00:40:38.170 --> 00:40:50.116]  Every major GMO crop has been studied, and they are specifically selecting it to create different interactions in the body that sterilize all rodent populations.
[00:40:50.116 --> 00:40:52.217]  Guinea pigs, rats, rabbits, doesn't matter.
[00:40:52.217 --> 00:40:54.938]  And that's why women are going sterile, men are going sterile.
[00:40:54.938 --> 00:40:55.919]  That's a fact.
[00:40:55.919 --> 00:40:57.780]  You're being hit, and hit hard.
[00:40:57.780 --> 00:41:00.241]  And I'm sorry, laughing and giggling about it,
[00:41:01.610 --> 00:41:02.831]  Doesn't change it.
[00:41:02.831 --> 00:41:04.532]  Men, that's why you're effeminate.
[00:41:04.532 --> 00:41:06.474]  That's why you look like women.
[00:41:06.474 --> 00:41:09.076]  Even if you try to run and exercise and lift weights.
[00:41:09.076 --> 00:41:11.638]  Your testosterone's been massively reduced.
[00:41:11.638 --> 00:41:16.042]  You're under chemical and biological attack.
[00:41:16.042 --> 00:41:19.285]  That's why we're all turning into ninnies.
[00:41:19.285 --> 00:41:25.350]  And the women are hyper-feminine, and that's why they're getting breast cancer, which is generally hormonally triggered.
[00:41:25.350 --> 00:41:27.411]  You can look at those studies.
[00:41:27.411 --> 00:41:30.574]  Now, having your breast rot off painfully and dying isn't fun.
[00:41:31.624 --> 00:41:35.125]  You might want to end all your fake liberal and conservative baloney ideology.
[00:41:35.125 --> 00:41:38.266]  Let me tell you the big secret.
[00:41:38.266 --> 00:41:41.787]  The real racists are smart, folks.
[00:41:41.787 --> 00:41:45.087]  They don't run around wearing white hoods and burning crosses.
[00:41:45.087 --> 00:41:48.568]  They act like loving liberals.
[00:41:48.568 --> 00:41:54.250]  That's why black high schools all over the country and elementary schools are called Margaret Sanger Elementary.
[00:41:54.250 --> 00:41:58.831]  I went to a predominantly black school in kindergarten by White Rock Lake.
[00:42:01.041 --> 00:42:06.104]  And it was Margaret Sanger Elementary.
[00:42:06.104 --> 00:42:07.484]  Big joke!
[00:42:07.484 --> 00:42:10.266]  That her statues out front many of the black schools.
[00:42:10.266 --> 00:42:11.126]  It's a big joke!
[00:42:11.126 --> 00:42:13.548]  She called blacks subhuman that had to be exterminated.
[00:42:13.548 --> 00:42:19.351]  She called them weeds, animals, and you can read her famous letters to the big...
[00:42:21.027 --> 00:42:39.447]  Procter and Gamble Family Foundation, and Nicole Gates and others, where she's saying, yes, we've got to pose as if we're liberals that love the blacks, and we're going to break up their families and pay their women not to have men in the houses, and we're going to drug them, and we're hiring all these black leaders and black doctors so they'll trust us and take the injections.
[00:42:42.046 --> 00:42:44.967]  Oh yeah, you can Google that and read it online, but don't just believe that.
[00:42:44.967 --> 00:42:53.708]  Send off to the different universities, the main ones in Missouri, and get actual photocopies of it from the library.
[00:42:53.708 --> 00:43:00.070]  Have that come in the mail to you and open it up from the university archives and read it like we did for Endgame.
[00:43:00.070 --> 00:43:02.490]  When I made that film.
[00:43:02.490 --> 00:43:03.771]  And then know it for yourself.
[00:43:03.771 --> 00:43:10.432]  And then, then you get upset if you're a talk show host telling about this and you're riding down the road getting made fun of by other talk show hosts.
[00:43:11.241 --> 00:43:13.842]  See, because then it's not funny anymore.
[00:43:13.842 --> 00:43:15.422]  Then you're not in Kansas anymore.
[00:43:15.422 --> 00:43:17.743]  Then it's not all a big joke anymore, see?
[00:43:17.743 --> 00:43:25.546]  Now, when we come back, I'm going to keep rolling with this information, then your calls, and a bunch of news on the economy, and a lot more coming up.
[00:43:25.546 --> 00:43:28.827]  Infowars.com and PrisonPlanet.com are the websites.
[00:43:28.827 --> 00:43:29.367]  Stay with us.
[00:43:32.495 --> 00:43:38.719]  If you've always wanted to experience the amazing benefits from using oil of oregano, the time to act is now!
[00:43:38.719 --> 00:43:45.343]  With so many places to choose from, where can you be 100% certain you're getting the highest quality oil for your dollar?
[00:43:45.343 --> 00:43:46.803]  The answer is simple.
[00:43:46.803 --> 00:43:48.344]  Purebulk.com!
[00:43:48.344 --> 00:43:52.747]  Purebulk.com brings you ultra-pure, non-diluted oil of oregano with
[00:43:52.927 --> 00:43:53.187]  I think so.
[00:44:16.906 --> 00:44:18.107]  Absolutely free!
[00:44:18.107 --> 00:44:21.548]  Just enter promotional code IODINE at website checkout.
[00:44:21.548 --> 00:44:23.189]  Visit purebulk.com.
[00:44:23.189 --> 00:44:25.110]  That's purebulk.com.
[00:44:25.110 --> 00:44:25.630]  Or call 406-251-3270.
[00:44:25.630 --> 00:44:25.910]  406-251-3270 today!
[00:44:34.073 --> 00:44:38.574]  If you owe the IRS, you can't make the problem go away without professional help.
[00:44:38.574 --> 00:44:41.955]  But with the help of Dan Pilla, you can get your problem solved.
[00:44:41.955 --> 00:44:46.797]  Hi, I'm Dan Pilla, and I've been solving tax debt problems for 30 years, and I can help you too.
[00:44:46.797 --> 00:44:51.418]  We can stabilize IRS collection action and get your tax debt reduced, sometimes completely eliminated.
[00:44:51.958 --> 00:45:03.808]  And if you received a 1099 from a bank because of mortgage or other debt forgiveness, the vast majority of the time, I can show you how to completely erase it so you pay no taxes on what the IRS will consider to be taxable income.
[00:45:03.808 --> 00:45:07.110]  Call us for a free consultation to discuss the many possibilities.
[00:45:07.110 --> 00:45:07.531]  Call 1-800-34-NO-TAX.
[00:45:07.531 --> 00:45:07.911]  That's 800-34-N-O-T-A-X.
[00:45:07.911 --> 00:45:10.573]  Or go to my website at TaxHelpOnline.com.
[00:45:16.778 --> 00:45:22.082]  Dan Pilla has been protecting taxpayers from the IRS for three decades and he can help you.
[00:45:22.082 --> 00:45:23.062]  Call us today 800-346-6829.
[00:45:23.062 --> 00:45:23.523]  That's 800-34-NO-TAX.
[00:45:23.523 --> 00:45:24.944]  Hi, this is Steve Shank.
[00:45:38.803 --> 00:45:39.043]  I think so.
[00:45:52.981 --> 00:45:58.408]  You will understand why families trust eFoods Direct to provide healthy, delicious food for every need.
[00:45:58.408 --> 00:46:05.537]  Whether you're hunting, playing, or responding to an emergency, the food in the 3-Day Responder is easy to fix and ready to go.
[00:46:05.537 --> 00:46:07.379]  Food is an everyday need.
[00:46:07.379 --> 00:46:12.125]  The 3-Day Responder is for the time when food should be the last thing you have to worry about.
[00:46:12.706 --> 00:46:13.827]  The 3 Day Responder, $27.95.
[00:46:13.827 --> 00:46:15.729]  Sometimes the best things do come in the smallest packages.
[00:46:15.729 --> 00:46:17.330]  Call 800-409-5633 on the web efoodsdirect.com.
[00:46:17.330 --> 00:46:18.692]  That's 800-409-5633 on the web efoodsdirect.com
[00:46:31.986 --> 00:46:33.687]  Alex Jones here with a question.
[00:46:33.687 --> 00:46:35.429]  What does humidity mean to you?
[00:46:35.429 --> 00:46:38.111]  Most people think of hot and sticky summer days.
[00:46:38.111 --> 00:46:43.255]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:46:43.255 --> 00:46:46.437]  That's why I'd like you to visit acolablue.com.
[00:46:46.437 --> 00:46:49.980]  Acolablue is a state-of-the-art atmospheric water generator.
[00:46:50.336 --> 00:47:02.887]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:47:02.887 --> 00:47:04.908]  Finally, drinking water that you control.
[00:47:04.908 --> 00:47:06.630]  I use one every day.
[00:47:06.630 --> 00:47:09.072]  Say goodbye to expensive water delivery services.
[00:47:09.432 --> 00:47:10.333]  You're listening to GCN.
[00:47:38.315 --> 00:48:00.110]  So when you read Margaret Sanger and hundreds of other top eugenicists, federal government chiefs, state governors,
[00:48:01.218 --> 00:48:05.661]  It's all their letters back and forth to each other and even handbooks they published for social working.
[00:48:05.661 --> 00:48:12.726]  Social working was founded to carry out racial hygiene, to spy on the community, to go around and kidnap people's children.
[00:48:12.726 --> 00:48:14.708]  That's why we always hear the stories about Hitler.
[00:48:14.708 --> 00:48:16.949]  Hitler would take Germans' children.
[00:48:16.949 --> 00:48:20.432]  The state would steal their kids and Russia would steal people's kids.
[00:48:20.432 --> 00:48:28.337]  Russia picked up, the communists picked up the same eugenics plan, which was again funded by the Rockefellers and the Rothschilds on record.
[00:48:28.337 --> 00:48:29.058]  I mean, if you just
[00:48:29.719 --> 00:48:30.960]  Go to the encyclopedia.
[00:48:30.960 --> 00:48:39.387]  I don't just mean Wikipedia, because it's inaccurate a lot, but actually what Wikipedia has on the Rockefeller Foundation is accurate, because I've bought their books.
[00:48:39.387 --> 00:48:43.171]  I've actually read their minutes, the congressional testimony.
[00:48:43.171 --> 00:48:55.762]  But you can go to other online encyclopedias and read and then link through to the Rockefeller Foundation's own federal filings, where it's all eugenics.
[00:48:55.762 --> 00:48:57.363]  The whole foundation's for eugenics.
[00:48:57.742 --> 00:49:06.750]  And how they funded the Soviets and the Nazis, the Kaiser-Wilhelm Institute, how they funded the Human Genome Project at Cold Springs Harbor, the birthplace of U.S.
[00:49:06.750 --> 00:49:07.591]  eugenics.
[00:49:07.591 --> 00:49:10.493]  The head of it had to step down last year, remember?
[00:49:10.493 --> 00:49:13.055]  Dr. Watson.
[00:49:13.055 --> 00:49:14.717]  For saying blacks weren't human on the news.
[00:49:16.499 --> 00:49:20.121]  They're not trying to find out all your genetic codes because they want to be sweet to you, folks.
[00:49:20.121 --> 00:49:34.408]  They're finding out for race-specific bioweapons, as even the Austin American-Statesman reported two years ago about Dick Cheney in a policy report saying, we need to deploy race-specific bioweapons to kill certain races.
[00:49:34.408 --> 00:49:42.612]  And the Austin American-Statesman finally wrote a good story and said, why is Dick Cheney talking about wiping out certain races?
[00:49:44.406 --> 00:49:50.788]  And they even got weird African black leaders that go to these conferences and talk about wiping out most of the blacks.
[00:49:50.788 --> 00:49:55.850]  But I guess they get all this money and all this power from the globalists, so I guess they get off on it.
[00:49:55.850 --> 00:49:59.051]  I mean, this is serious business.
[00:49:59.051 --> 00:50:02.812]  And you know, I read this a week ago on air, but I'm going to cover it again right now.
[00:50:02.812 --> 00:50:03.893]  ABC News covered it.
[00:50:03.893 --> 00:50:10.975]  Tomorrow I'm going to play a clip of it where they describe them as superheroes and put David Rockefeller's head on Superman.
[00:50:10.975 --> 00:50:13.436]  I'm going to play that tomorrow on PrisonPlanet.tv.
[00:50:15.472 --> 00:50:18.054]  So you can actually see it, not just the audio of it.
[00:50:18.054 --> 00:50:29.162]  Dealing with this about, oh, all these world leaders met secretly at the Rockefeller Foundation at their university because they care so much and want to help African children.
