[00:00:00.489 --> 00:00:05.791]  This will free up the relief organs due to those unable or not smart enough to prepare.
[00:27:17.185 --> 00:27:17.966]  You're in the business of
[00:27:18.206 --> 00:27:18.566]  I think so.
[00:27:46.141 --> 00:27:48.544]  That's how I won office the very first time.
[00:27:48.544 --> 00:27:50.786]  If I hadn't won that thing, I'd have never been in politics.
[00:28:04.372 --> 00:28:21.267]  Congressman, do you think that we are in danger of not just them using the staged economic crisis that they created to get total control, but Gulf of Tonkins, because they're also talking about terror attacks, inaugural bombings, Al-Qaeda, Al-Ciaida, wants to test the resolve of the United States.
[00:28:21.267 --> 00:28:22.328]  Do you think that's on the cards?
[00:28:22.988 --> 00:28:24.709]  Oh, it sure is.
[00:28:24.709 --> 00:28:31.512]  But back to the philosophy of the Bush Doctrine, which was that we have the right to preemptively strike anybody.
[00:28:31.512 --> 00:28:41.456]  And then he even expanded that recently by saying, well, we don't have to invade and conquer, but we have the right to go in and bomb anybody without their permission.
[00:28:41.456 --> 00:28:46.978]  That's why we go into Pakistan and Syria, which are acts of war.
[00:28:47.638 --> 00:28:57.461]  So, they have the tools to do it, and they have the sentiment, and most Americans are oblivious to what's happening.
[00:28:57.461 --> 00:29:06.223]  So you're saying you think members of the establishment might stage something so that people will then support more warmongering, but this time by Obama?
[00:29:08.968 --> 00:29:12.910]  It would have occurred sooner because Bush was so anxious to go into Iran.
[00:29:12.910 --> 00:29:17.473]  It hasn't happened so far, so maybe our talking about it made him back off a little bit.
[00:29:17.473 --> 00:29:19.715]  That doesn't mean we should be complacent.
[00:29:19.715 --> 00:29:21.876]  Hold on one second.
[00:29:21.876 --> 00:29:29.581]  You're listening to Alex Jones with Congressman Ron Paul and trend forecaster Gerald Cilente in this encore presentation.
[00:29:29.961 --> 00:29:30.342]  We're good to go.
[00:29:52.483 --> 00:29:55.967]  You get over 14,000 seeds for only $49.
[00:29:55.967 --> 00:30:07.642]  We offer a complete range of seeds, including heirloom tomatoes, old-fashioned beans, carrots, sweet corn, peppers, cucumbers, celery, broccoli, onions, cauliflower, asparagus, spinach, melons, and a whole lot more!
[00:30:07.782 --> 00:30:12.027]  This is one of the finest, most affordable seed offers that is on the market today.
[00:30:12.027 --> 00:30:16.772]  Variety in your garden means a diverse and healthy diet for your family year-round.
[00:30:16.772 --> 00:30:18.994]  So go to GetSeeds.net or call 1-877-394-6657.
[00:30:18.994 --> 00:30:20.155]  Supplies are limited, so order today!
[00:30:20.155 --> 00:30:20.996]  That's GetSeeds.net or 1-877-394-6657.
[00:30:30.236 --> 00:30:30.436]  We're good.
[00:30:52.401 --> 00:30:53.282]  We're good to go!
[00:31:15.543 --> 00:31:15.803]  No.
[00:31:15.803 --> 00:31:18.246]  We offer a 100% money back guarantee.
[00:31:18.246 --> 00:31:22.070]  Order Nature's Gem Premium Golden Flax today at GoldenFlax.com.
[00:31:22.070 --> 00:31:23.992]  GoldenFlax.com.
[00:31:23.992 --> 00:31:24.933]  Or call 800-387-5516.
[00:31:24.933 --> 00:31:27.376]  That's 800-387-5516.
[00:31:27.376 --> 00:31:30.339]  Free shipping included.
[00:31:30.339 --> 00:31:35.685]  Ionic Zone has the lowest prices in the USA on shock treatment ozone generators starting at $299.
[00:31:37.427 --> 00:31:50.530]  Ionic Zone Shock Treatment Ozone Generators are used by remediation contractors and homeowners alike to sterilize homes and cars, making them free from bacteria, molds, viruses, and complete removal of second-hand smoke, pet odors, you name it.
[00:31:50.530 --> 00:31:54.051]  What else can three oxygen atoms, in other words, ozone, do?
[00:31:54.051 --> 00:31:58.532]  Many hospitals sterilize their operating rooms with ozone before and after operations.
[00:31:58.812 --> 00:31:59.132]  I think so.
[00:32:13.729 --> 00:32:14.190]  Ionic Zone.
[00:32:30.800 --> 00:32:34.944]  You don't have to be in the military to enjoy military surplus savings.
[00:32:34.944 --> 00:32:41.129]  Right now at MainMilitary.com, you'll find savings on the top must-have military supplies.
[00:32:41.129 --> 00:32:42.750]  M10 gas masks for $12 or 3 for $30.
[00:32:42.750 --> 00:32:43.851]  Gas mask hoods $4 or 3 for $10.
[00:32:47.034 --> 00:32:49.658]  Mask filters, $6 or 3 for $15.
[00:32:49.658 --> 00:32:51.760]  Save big on British chemical suits, only $12.
[00:32:51.760 --> 00:32:52.661]  Israeli gas masks, $20.
[00:32:52.661 --> 00:32:54.564]  Trigger finger gloves, $5 a pair or $36 a dozen.
[00:32:54.564 --> 00:32:56.166]  Snowshoe binding for $8 or $48 a dozen.
[00:32:56.166 --> 00:32:56.767]  And so much more!
[00:33:03.115 --> 00:33:06.817]  Even hard to find surplus items, all at surplus prices.
[00:33:06.817 --> 00:33:11.881]  Preparing the whole family has never been so affordable at MainMilitary.com.
[00:33:11.881 --> 00:33:16.704]  MainMilitary.com, one of the last surviving true surplus stores in the country.
[00:33:16.704 --> 00:33:21.307]  Shop now at M-A-I-N-E Military.com or call 877-608-0179.
[00:33:21.307 --> 00:33:21.747]  That's 877-608-0179 today.
[00:33:32.640 --> 00:33:37.401]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:33:55.038 --> 00:34:01.000]  Last week's title, Salente predicts revolution, food riots, tax rebellions by 2012.
[00:34:01.000 --> 00:34:05.902]  He goes on international television, national television, Fox, CNN, you name it.
[00:34:05.902 --> 00:34:13.244]  He is one of the, if not the most accurate, because I've been following him for more than a decade, people predicting trends.
[00:34:13.244 --> 00:34:15.065]  They call him a trend forecaster.
[00:34:15.065 --> 00:34:18.466]  I would call him a futurist, but just seeing where things are going.
[00:34:19.006 --> 00:34:27.014]  And he makes a lot of the similar predictions we make, but I tend to just read UN think tank documents, Rand Corporation, where they say what they're going to do.
[00:34:27.014 --> 00:34:38.124]  He said, there will be a revolution in this country, and it's not going to come yet, but it's going to come down the line, and we're going to see a third party, and that's the catalyst for it, the takeover of Washington, D.C.
[00:34:38.124 --> 00:34:40.927]  and broad daylight by Wall Street in a bloodless coup.
[00:34:41.670 --> 00:34:46.954]  And then he goes into talking about basically riots and homelessness and complete breakdown of society.
[00:34:46.954 --> 00:34:55.400]  And so joining us for the next hour is Gerald Salente to talk about a host of issues and get where he thinks we're going in the future.
[00:34:55.400 --> 00:35:02.406]  And of course you can also link through and go to his website TrendsResearch.com.
[00:35:02.406 --> 00:35:03.787]  Gerald Salente, thanks for coming on.
[00:35:04.167 --> 00:35:05.908]  Hey Alex, thank you for having me.
[00:35:05.908 --> 00:35:06.168]  You bet.
[00:35:06.168 --> 00:35:14.491]  We've got three minutes before we break, but just lay out in the first three minutes a little bit about yourself and what trend research is.
[00:35:14.491 --> 00:35:17.292]  Well, current events form future trends.
[00:35:17.292 --> 00:35:23.354]  So we look at the major social, economic, political, geopolitical, environmental, consumer.
[00:35:23.354 --> 00:35:31.358]  We look at over 300 different categories on a daily basis, worldwide, looking for those major trends that are shaping the future.
[00:35:31.358 --> 00:35:32.018]  For example,
[00:35:32.498 --> 00:35:37.221]  The current event today that everyone should know about is what Citigroup announced.
[00:35:37.221 --> 00:35:39.882]  They're firing 50,000 people.
[00:35:39.882 --> 00:35:45.286]  And they're not going to make those jobs up in the circuit city of Starbucks.
[00:35:45.286 --> 00:35:50.909]  So we look at this data and we analyze it, but we do so as political atheists.
[00:35:51.549 --> 00:35:52.029]  We're good to go.
[00:36:07.895 --> 00:36:08.155]  Yes.
[00:36:08.155 --> 00:36:08.295]  Yes.
[00:36:29.827 --> 00:36:37.897]  You can see what's happening and then take the measures necessary to protect yourself or to profit from what the future may bring.
[00:36:40.140 --> 00:36:40.721]  Absolutely.
[00:36:40.721 --> 00:36:54.972]  When we come back, I want to get into the fact that the NSA uses its snooping system not so much to even, quote, spy on the individual, but to see major trends and try to get ahead of it, to control it, and to give that info to select inner group corporations.
[00:36:54.972 --> 00:36:59.376]  The government, the big corporations, they know what you and I know, Gerald, and what you're so good at.
[00:36:59.376 --> 00:37:03.159]  They just don't like advertising real systems to the public.
[00:37:03.955 --> 00:37:10.521]  Well, yes and no, because we've worked with a number of the major corporations, and that's our business.
[00:37:10.521 --> 00:37:19.930]  And I have to tell you, there are corporations like Ford, for example, they came to visit us in the 90s, and we thought we were talking to dead people.
[00:37:19.930 --> 00:37:27.397]  And we said, why waste our time working with these people when we know that what we give them is not going to be implemented?
[00:37:28.018 --> 00:37:36.603]  So, you know, we assume that they know, but from our experience, Alex, most of them are well behind the curve examples.
[00:37:36.603 --> 00:37:42.046]  You know, look at the major corporations today and how they're suffering at so many different levels.
[00:37:42.046 --> 00:37:51.091]  Gerald, I want to get into how you integrate all these different sectors of the economy, the society, how you come up with your trends that have turned out to be so accurate.
[00:37:51.091 --> 00:37:54.372]  But before we do that, perhaps we should get the listeners
[00:37:56.124 --> 00:37:56.684]  We're good to go.
[00:38:20.919 --> 00:38:31.178]  Well, the way I began my career, after graduate school, I managed the mayoral campaign for the fellow running for office in Yonkers, New York, and it was 1971.
[00:38:33.428 --> 00:38:37.230]  And, um, from there, they sent me up to Albany.
[00:38:37.230 --> 00:38:39.331]  I did such a great job.
[00:38:39.331 --> 00:38:43.213]  I was the assistant to the Secretary of the New York State Senate.
[00:38:43.213 --> 00:38:46.155]  Which, by the way, was the worst job I ever had.
[00:38:46.155 --> 00:38:50.737]  You know, it's a disgusting spectacle to see grown men grovel.
[00:38:50.737 --> 00:38:53.459]  Particularly from a kid that was grown up in the Bronx.
[00:38:54.419 --> 00:38:56.400]  You know, you'd watch all these people.
[00:38:56.400 --> 00:39:02.523]  I'd be talking to a buddy, you know, and we'd be in the chambers, in the Senate chambers, and a senator would walk in.
[00:39:02.523 --> 00:39:07.645]  My buddy would leave me to go help the senator sit down, you know, pull his chair out, you know.
[00:39:07.645 --> 00:39:09.966]  So my friend would come back, I'd say, what's the matter?
[00:39:09.966 --> 00:39:13.807]  You know, the guy can't sit down on his own, he needs some help.
[00:39:13.807 --> 00:39:17.769]  So that was my, I got to see the insides of government from there.
[00:39:18.473 --> 00:39:19.153]  I went to St.
[00:39:19.153 --> 00:39:28.715]  John's University, and I taught probably one of the nation's first courses in American politics and campaign technology in 1972.
[00:39:28.715 --> 00:39:39.537]  From there, I went to Chicago, and I was a government affairs specialist working for segments of the chemical industry and other parts of the industry, and between Washington and Chicago.
[00:39:39.537 --> 00:39:42.138]  As a matter of fact, I was in D.C.
[00:39:42.138 --> 00:39:45.519]  when the first energy crisis hit in 1973.
[00:39:48.503 --> 00:39:52.680]  Jimmy Carter later becomes president and the Iranian conflict breaks out.
[00:39:53.496 --> 00:40:10.068]  And I had been following this thing for years, Alex, and I knew how the CIA overthrew the democratically elected government of Iran, and Mosaddegh, and on and on, and how the SAVAK, the secret police of the Shah, was only second to the SS, you know, it was a brutal regime.
[00:40:10.068 --> 00:40:18.875]  When the revolution started to happen in Iran, I knew it was real, because I knew of the pent-up hatred that they had against this guy.
[00:40:19.695 --> 00:40:24.919]  Jimmy Carter goes to spend New Year's Eve with the Shah and his wife, he and Rosalind.
[00:40:24.919 --> 00:40:28.881]  And in those days when the President came back from overseas, it was a big deal.
[00:40:28.881 --> 00:40:34.505]  He walks up to the microphones after saluting at him, walking out of the helicopter on the White House lawn.
[00:40:34.505 --> 00:40:41.710]  And Jimmy Carter announced to the American people that the Shah was the island of stability in the Middle East.
[00:40:41.710 --> 00:40:44.451]  At that moment, I became a political atheist.
[00:40:44.451 --> 00:40:46.873]  I'd been around long enough, I knew the game.
[00:40:47.688 --> 00:40:54.112]  And then the second thing that hit me was, what will be the implications of what's going on?
[00:40:54.112 --> 00:40:58.234]  And I realized that gold and oil prices would increase.
[00:40:58.234 --> 00:41:01.256]  So I started to speculate in both those fields.
[00:41:01.256 --> 00:41:02.137]  And I was only a kid.
[00:41:02.137 --> 00:41:04.518]  I was in my early thirties, you know.
[00:41:04.518 --> 00:41:06.339]  And I didn't know what the hell I was doing.
[00:41:06.339 --> 00:41:14.464]  But I did know enough that I knew that the American public was getting one story, and there was a whole other story on the international scene.
[00:41:15.662 --> 00:41:22.987]  I made enough money from that where I quit my job, and that's when I began the Trends Research Institute in 1980.
[00:41:22.987 --> 00:41:38.718]  Always under the understanding that current events form future trends, but if I look at them, as you said going into the break, without looking at them the way I want them to be, the way I wish them or hope them to be, and just the way they are,
[00:41:39.853 --> 00:41:46.068]  And let the data speak for itself, then you can see a clear direction of where the future is heading.
[00:41:48.403 --> 00:41:50.144]  You know, it's like going to a doctor.
[00:41:50.144 --> 00:41:52.205]  You get a diagnosis.
[00:41:52.205 --> 00:41:54.166]  You don't call the doctor an S.O.B.
[00:41:54.166 --> 00:41:57.448]  if you don't like his economic or political diagnosis.
[00:41:57.448 --> 00:42:00.630]  You accept it for what it is and work from that parameter.
[00:42:00.630 --> 00:42:01.951]  And that's what we do.
[00:42:01.951 --> 00:42:16.399]  We see the trends, the way they're laying out in front of us, where they're going to go, and then we work around that direction, not trying to redirect it in our minds so that we hope for something different.
[00:42:17.737 --> 00:42:22.183]  Now specifically, because we have limited time with you, I could talk to you for 10 hours, you've got so much information.
[00:42:22.183 --> 00:42:33.177]  Briefly, I know you don't like to brag, but no brag, just fact, as John Wayne would say, break down some of the predictions and trends, the projections that you've made that have unfortunately come true.
[00:42:33.177 --> 00:42:35.701]  And I say unfortunately, because
[00:42:36.687 --> 00:42:45.932]  Your analysis is pretty much identical to mine and many other experts I'm interviewing about, on the good side, total depression, breakdown of society, police state.
[00:42:45.932 --> 00:42:55.478]  On the bad side, road warrior, Mad Max, you know, 10,000 BC, just lawless third world bands of
[00:42:57.879 --> 00:43:03.964]  I mean, that's what you're talking about now, and that's where all the trends are headed, and government is doing everything it can to accentuate that.
[00:43:03.964 --> 00:43:09.227]  So, let's break down some of your track record, and then get into what's happening currently, and then into the future, sir.
[00:43:09.227 --> 00:43:19.315]  You're listening to Alex Jones with Congressman Ron Paul and trend forecaster Gerald Cilente in this encore presentation of the Alex Jones Radio Show.
[00:43:23.021 --> 00:43:25.221]  May I have everybody's attention, please?
[00:43:25.221 --> 00:43:28.542]  I've come with a message of information.
[00:43:28.542 --> 00:43:30.922]  9-11 was an inside job!
[00:43:30.922 --> 00:43:33.743]  Toxic heavy metals negatively impact our health.
[00:43:33.743 --> 00:43:39.264]  They're in the air we breathe, the water we drink, the food we eat, the products we use, and the objects we touch.
[00:43:39.264 --> 00:43:41.304]  Exposure is impossible to avoid.
[00:43:41.304 --> 00:43:45.405]  Heavy metals build up within the body over a period of time, causing poor health.
[00:43:45.405 --> 00:43:49.826]  However, with Keylorex, they can be mobilized and excreted in a safe and effective manner.
[00:43:50.046 --> 00:43:50.587]  We're good to go.
[00:44:12.228 --> 00:44:12.368]  I think.
[00:44:31.505 --> 00:44:32.266]  Santa!
[00:44:32.266 --> 00:44:35.188]  Christmas Eve and you haven't left yet?
[00:44:35.188 --> 00:44:37.791]  Ho ho ho ho ho!
[00:44:37.791 --> 00:44:38.952]  No!
[00:44:38.952 --> 00:44:40.693]  I can't find my keys.
[00:44:40.693 --> 00:44:41.994]  Here's the perfect gift.
[00:44:41.994 --> 00:44:46.078]  Our patented Find One Find All Key Finder or FOFA XT for short.
[00:44:46.078 --> 00:44:51.483]  Once a FOFA Key Finder is attached to each of those easy to lose things, it can find and be found by all the rest.
[00:44:51.483 --> 00:44:57.468]  Use your wallet to find your keys, your keys to find the remote control, or any of them to find an uncharged or muted cell phone.
[00:44:57.608 --> 00:44:59.070]  Where did I put my glasses, Mrs. Claus?
[00:44:59.070 --> 00:44:59.710]  Oh, here they are!
[00:44:59.710 --> 00:45:02.133]  Luckily, Rudolph's nose isn't the only thing that lashes!
[00:45:15.427 --> 00:45:19.314]  Order your FOFA today with batteries included along with a 30-day money-back guarantee.
[00:45:19.314 --> 00:45:19.695]  Call 866-245-8670.
[00:45:19.695 --> 00:45:20.296]  That's 866-245-8670.
[00:45:20.296 --> 00:45:21.598]  Or buy online at findonefindall.com.
[00:45:21.598 --> 00:45:22.720]  Again, that's findonefindall.com.
[00:45:30.760 --> 00:45:32.442]  Alex Jones here with a question.
[00:45:32.442 --> 00:45:34.184]  What does humidity mean to you?
[00:45:34.184 --> 00:45:36.868]  Most people think of hot and sticky summer days.
[00:45:36.868 --> 00:45:42.014]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:45:42.014 --> 00:45:45.198]  That's why I'd like you to visit acolablue.com.
[00:45:45.198 --> 00:45:48.742]  Acolablue is a state-of-the-art atmospheric water generator.
[00:45:49.082 --> 00:46:01.651]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:46:01.651 --> 00:46:03.652]  Finally, drinking water that you control.
[00:46:03.652 --> 00:46:05.373]  I use one every day.
[00:46:05.373 --> 00:46:07.835]  Say goodbye to expensive water delivery services.
[00:46:08.195 --> 00:46:11.038]  And storing 5-gallon bottles of water in your home.
[00:46:11.038 --> 00:46:13.640]  The Ecola Blue 28 is shipped right to your home.
[00:46:13.640 --> 00:46:17.443]  Ready to make close to 7 gallons a day, right out of the box.
[00:46:17.443 --> 00:46:19.565]  They have a 30-day money-back guarantee.
[00:46:19.565 --> 00:46:21.086]  Call Ecola Blue right now at 866-585-4044.
[00:46:21.086 --> 00:46:21.306]  That's 866-585-4044.
[00:46:21.306 --> 00:46:22.708]  Or visit Ecola Blue at ecoloble.com today.
[00:46:30.576 --> 00:46:32.818]  How much food do you have in your fridge?
[00:46:32.818 --> 00:46:35.859]  How long would it last in the event of a nationwide crisis?
[00:46:35.859 --> 00:46:40.542]  SurvivalGearSource.com is America's number one source for survival kits and supplies.
[00:46:40.542 --> 00:46:42.043]  SurvivalGearSource.com.
[00:46:42.043 --> 00:46:44.985]  SurvivalGearSource.com is everything you need to be prepared.
[00:46:44.985 --> 00:46:47.747]  Get your storable food at SurvivalGearSource.com.
[00:46:47.747 --> 00:46:50.869]  We've supplied thousands of Americans with our ready-to-eat meals.
[00:46:50.869 --> 00:46:52.790]  Sealed, portable, and will last for years.
[00:46:53.090 --> 00:46:55.072]  Get your portable flameless ovens for cooking.
[00:46:55.072 --> 00:46:57.495]  Get your ultra-portable survival kits now.
[00:46:57.495 --> 00:47:01.158]  Tailored for 1, 4, 10, or even the 100-person deluxe kit.
[00:47:01.158 --> 00:47:12.029]  Prepare for nuclear and bioterrorism with a complete terror protection kit, including gas masks, bio-suits, potassium iodate, a solar hand-crank flashlight, radio, cell phone charger, and much more.
[00:47:13.052 --> 00:47:16.173]  Order by phone at 877-231-1925.
[00:47:16.173 --> 00:47:18.693]  That's 877-231-1925.
[00:47:18.693 --> 00:47:22.554]  Or go to survivalgearsource.com.
[00:47:22.554 --> 00:47:26.855]  Use coupon code GCN and receive a free patriot bar with every order.
[00:47:26.855 --> 00:47:28.015]  survivalgearsource.com.
[00:47:28.015 --> 00:47:32.856]  You are listening to GCN.
[00:47:32.856 --> 00:47:35.937]  Visit GCNlive.com today.
[00:47:40.305 --> 00:47:42.067]  Specifically because we have limited time with you.
[00:47:42.067 --> 00:47:43.148]  I could talk to you for 10 hours.
[00:47:43.148 --> 00:47:44.410]  You've got so much information.
[00:47:44.410 --> 00:47:47.293]  Briefly, I know you don't like to brag, but no brag, just fact.
[00:47:47.293 --> 00:47:55.402]  As John Wayne would say, break down some of the predictions and trends, the projections that you've made that have unfortunately come true.
[00:47:55.402 --> 00:47:57.925]  And I say unfortunately, because...
[00:47:58.909 --> 00:48:08.174]  Your analysis is pretty much identical to mine and many other experts I'm interviewing about, on the good side, total depression, breakdown of society, police state.
[00:48:08.174 --> 00:48:17.700]  On the bad side, road warrior, Mad Max, you know, 10,000 BC, just lawless third world bands of...
[00:48:20.101 --> 00:48:26.202]  I mean, that's what you're talking about now, and that's where all the trends are headed, and government is doing everything it can to accentuate that.
[00:48:26.202 --> 00:48:31.864]  So, let's break down some of your track record, and then get into what's happening currently, and then into the future, sir.
[00:48:31.864 --> 00:48:46.847]  Yeah, well, I guess my first big forecast came in 1980, actually it was January of 1987, and I had predicted that there'd be a stock market crash that year, and the Wall Street Journal gave me credit for that one as well.
[00:48:47.977 --> 00:48:55.825]  From there, the next big one was with, in my book, Trend Tracking, as a matter of fact.
[00:48:55.825 --> 00:48:58.568]  I came out and said there would be a new third party.
[00:48:58.568 --> 00:49:00.470]  This was in 1988.
[00:49:00.470 --> 00:49:06.816]  And for some reason, I said that Ross Perot would be the type of candidate that would head this kind of party.
[00:49:06.816 --> 00:49:09.078]  In those days, nobody knew who Ross Perot was.
[00:49:09.999 --> 00:49:26.898]  From there, my other big forecast in the consumer end had to do with gourmet coffees, the organic foods, water in the early 80s, a big water trend, bottled water, a whole variety of natural healing trends.
[00:49:26.898 --> 00:49:30.002]  Matter of fact, one of the early books I worked on in 1986
[00:49:31.383 --> 00:49:31.704]  I think so.
[00:49:49.155 --> 00:49:50.857]  So, those are some of the things.
[00:49:50.857 --> 00:50:03.906]  Then, going back into the economic crisis, we then forecast the 1990 recession, how long it would last, and the 1997 foreign currency crisis.
[00:50:03.906 --> 00:50:14.774]  The dot-com crash in our Trends Journal, we said in October 1999 that by the second quarter of 2000, we would have the dot-com bubble would burst.
[00:50:15.354 --> 00:50:25.536]  Then the ensuing recession, and then this past November 7th, we took out the domain name panicof08.com.
[00:50:25.536 --> 00:50:40.479]  And we knew that there would be the panic of 08, and we also said that in our top trends for 2008, which came out on December 17, 2007, we said that there would be an economic 9-11.
[00:50:40.479 --> 00:50:42.740]  And now we see that unfolding.
[00:50:42.740 --> 00:50:43.360]  What do you see
[00:50:44.398 --> 00:50:47.700]  What is the best case scenario versus the worst case scenario?
[00:50:47.700 --> 00:50:50.101]  I mean, take that question any way you want.
[00:50:50.101 --> 00:50:52.101]  Those are just general thoughts I have.
[00:50:52.101 --> 00:51:00.045]  Well, and let me back up, too, because, you know, I'm only, we're only human here, and we don't see everything, and we don't make all the calls properly.
[00:51:00.745 --> 00:51:12.989]  In the 1990s, for example, we underestimated, around 1993-1994, the impact of the computer revolution and the technology boom.
[00:51:12.989 --> 00:51:17.310]  Any of us that remember back then, you know, it was still in its infancy.
[00:51:17.310 --> 00:51:28.793]  And they had that law, I forget the name of the law, where things increased at an exponential rate in technology, far beyond what we had ever anticipated.
[00:51:29.574 --> 00:51:42.169]  So that's what's got us out of the 1990s recession, because we should have been in the shape we are in now, back then, had it not been for that technological boom.
[00:51:43.611 --> 00:51:53.796]  But isn't it also, I mean, I understand for time where we're simplifying, but also they changed the banking rules in 93, 95, 99, but that also helped the bubble along.
[00:51:53.796 --> 00:51:59.838]  That helped the bubble along, and that created the big bubble that burst that we're in now, as you well know.
[00:51:59.838 --> 00:52:09.163]  So, just to give you the scenarios, yeah, we're saying we're going to go into a depression worse than the Great Depression, and here's why.
[00:52:09.163 --> 00:52:12.144]  And then I'm going to tell you why it cannot happen, or it may not happen.
[00:52:12.524 --> 00:52:14.406]  Yeah, I mean, there is a way to get out of this.
[00:52:14.406 --> 00:52:18.791]  There is a way to get out of it, but not through fiscal or monetary stimulus.
[00:52:18.791 --> 00:52:36.008]  If we have an alternative energy breakthrough, beyond solar, wind, geothermal, biofuel, that they like to talk about, whether it's something in coal fusion, zero-point energy, charged clusters, permanent magnets, hydrino power, something like that that's a productive enhancement.
[00:52:36.933 --> 00:52:43.056]  That's as big as the discovery of fire, the invention of the wheel, then we get out of this economic mess.
[00:52:43.056 --> 00:52:46.657]  A whole new market, a paradigm-shifting development.
[00:52:46.657 --> 00:52:49.338]  You're saying minus that we're in deep trouble?
[00:52:49.338 --> 00:52:54.640]  Minus that, we're going to go into the greatest depression, and here's why.
[00:52:54.640 --> 00:52:56.321]  Back when we had the last depression,
[00:52:57.121 --> 00:52:58.262]  Most people didn't own homes.
[00:52:58.262 --> 00:53:03.024]  They didn't have all this burden that they're carrying now with taxes and everything else, insurance.
[00:53:03.024 --> 00:53:05.906]  Back then, people didn't have home equity loans.
[00:53:05.906 --> 00:53:12.369]  Matter of fact, you know, we're probably both old enough to know when people had something called second mortgages, they were called losers.
[00:53:12.369 --> 00:53:14.910]  Back then, people didn't have credit cards.
[00:53:14.910 --> 00:53:17.832]  They were in for over $14 trillion in debt.
[00:53:17.832 --> 00:53:21.374]  Back then, the government had a trade surplus.
[00:53:21.374 --> 00:53:24.155]  We were not $700 billion in the whole year.
[00:53:24.155 --> 00:53:25.616]  And the people were self-sufficient.
[00:53:26.196 --> 00:53:28.619]  And the people were self-sufficient.
[00:53:28.619 --> 00:53:39.410]  Back then, the government was not spending $11.5 trillion and growing in the hole with a budget deficit.
[00:53:39.410 --> 00:53:42.033]  Back then, we had budget surpluses.
[00:53:42.593 --> 00:53:47.697]  Back then, we weren't costing us over $2 trillion to fight wars.
[00:53:47.697 --> 00:54:02.609]  Back then, we had a manufacturing base that when the Depression finally did end with the onset of World War II, we were able to manufacture ourselves out of it, and then later on, the rest of the world.
[00:54:02.609 --> 00:54:10.516]  Gerald, you were going over why we're in such a much more precarious and weak and debilitated position
[00:54:11.431 --> 00:54:18.500]  Then the people that went through the 10 years of the Great Depression, and then forecasting where we're going in the future.
[00:54:18.500 --> 00:54:19.841]  Please continue.
[00:54:19.841 --> 00:54:25.448]  Yeah, the other thing too, and by the way, the one that you pointed out as well is very, very important.
[00:54:25.448 --> 00:54:30.434]  The people are more self-sufficient then than they are now, you know, this is a...
[00:54:31.502 --> 00:54:31.702]  I think?
[00:54:49.614 --> 00:54:54.656]  You know, you can do some of these work project things that they talk about.
[00:54:54.656 --> 00:54:58.078]  You know, we didn't have these deficits that we have now.
[00:54:58.078 --> 00:55:06.742]  So to keep talking about stimulus packages, to keep talking about work project packages, where is this money going to come from?
[00:55:06.742 --> 00:55:15.586]  And again, as every historian or economist knows, the only thing that got us out of that depression was World War II.
[00:55:16.807 --> 00:55:23.889]  So having said that, we are looking now in the short term, here's the scenario that we see unfolding.
[00:55:23.889 --> 00:55:31.332]  What we're going to see is after, we think the real breakdown is going to begin in February.
[00:55:31.332 --> 00:55:32.672]  That's our forecast.
[00:55:33.405 --> 00:55:43.475]  Because in February we're going to now realize the shock of what has happened from a disappointing Christmas holiday retail season.
[00:55:43.475 --> 00:55:48.680]  And you think the Obama hope will fade by then as well?
[00:55:49.521 --> 00:55:51.663]  Yes, for a lot of people.
[00:55:51.663 --> 00:55:54.646]  It's going to pay for the people that have lost everything.
[00:55:54.646 --> 00:56:06.236]  You go to all of these places around the country, like the Carolinas, we had Wachovia, and all these banking centers, financial centers, people living in their McMansions.
[00:56:06.876 --> 00:56:09.599]  And having these huge, huge mortgages.
[00:56:09.599 --> 00:56:18.387]  I mean, they're going to become like boarding houses as they try to get people in there so they can pay the rent and pay the taxes and pay the utilities.
[00:56:18.387 --> 00:56:25.373]  So we think it's going to be February because the real data is going to come in to show how really bad this is.
[00:56:25.373 --> 00:56:26.434]  Having said that,
[00:56:27.034 --> 00:56:41.704]  There's still going to be the element of hope that Obama is going to be able to do something, and being that they're painting him as an FDR and cloaking him in that mantle, get ready for a bank holiday.
[00:56:41.704 --> 00:56:51.251]  And I love the terminology, Alex, that they use, you know, holiday, holiday, you know, they make it sound so beautiful.
[00:56:51.251 --> 00:56:53.433]  That means you're not going to get your money out of the bank.
[00:56:54.201 --> 00:56:57.282]  And they're going to say, don't worry, it's FDIC insured.
[00:56:57.282 --> 00:56:59.984]  We just can't get it out all at once.
[00:56:59.984 --> 00:57:21.594]  So we are also in that camp, by the way, that we are going to see, even though it doesn't look like it now because of a variety of manipulations going on, we believe that gold is going to go into the 2000 range, and we're going to see periods of deflation whereby all those homes out there
[00:57:22.074 --> 00:57:22.594]  We're good to go.
[00:57:43.851 --> 00:57:49.835]  It's going to be a glut of commercial real estate, and that's the next shoe to fall.
[00:57:49.835 --> 00:57:51.356]  Alright, long segment coming up.
