[00:00:00.069 --> 00:00:01.410]  Coconut oils.
[00:28:24.217 --> 00:28:27.638]  If they don't want World War III, why are they trying to start it?
[00:28:27.638 --> 00:28:33.881]  Or are they so arrogant, like Don Corzine making 40 to 1 bets in the stock market, that they just think they're invincible?
[00:28:34.795 --> 00:28:43.941]  Well, they probably are full of hubris, and they're full of the ideology that they're indispensable and exceptional, but they're also counting on winning.
[00:28:43.941 --> 00:28:47.963]  They're counting on their strategy of destabilizing Russia and China working.
[00:28:47.963 --> 00:28:51.586]  I mean, Washington does have fifth columns in both countries.
[00:28:52.246 --> 00:29:00.410]  And so if radicalizing the Muslim populations causes more instability, then Washington says we can win.
[00:29:00.410 --> 00:29:03.311]  So they're banking on winning without the nuclear war.
[00:29:03.311 --> 00:29:08.394]  But what they're overlooking is that that's the only weapons that China and Russia would have to stop this.
[00:29:08.394 --> 00:29:11.855]  So I think it would come out, we'll all be simply destroyed.
[00:29:11.855 --> 00:29:13.176]  It'd be the end of life on Earth.
[00:29:14.680 --> 00:29:18.042]  And they also like to use the radical Muslims they're flooding the U.S.
[00:29:18.042 --> 00:29:23.505]  and Europe with as another way to destabilize and then take all our liberties from the threat they literally created.
[00:29:23.505 --> 00:29:31.929]  Dr. Paul Craig Roberts, folks can read your columns on your site and syndicated around the web on places like InfoWars.com, PaulCraigRoberts.org.
[00:29:31.929 --> 00:29:33.650]  Thank you so much for your analysis.
[00:29:33.650 --> 00:29:34.931]  Pleased to talk to you.
[00:29:34.931 --> 00:29:35.591]  Well, there you go.
[00:29:35.591 --> 00:29:40.294]  There's the father of Reaganomics, listed as one of the top ten economists in the world by Forbes magazine.
[00:29:40.984 --> 00:29:45.508]  You're telling us that we're probably going to end up in the next few years and not sooner have nuclear war and we're all dead.
[00:29:45.508 --> 00:29:54.475]  And Don Corzine and Blank Fine are by just doesn't care because they've just got trillions they've stolen and they're just they're all just got jet copters and 20 mattresses and they're invincible.
[00:30:00.711 --> 00:30:03.713]  Protecting your home with a security system is a must.
[00:30:03.713 --> 00:30:10.099]  But when it comes to protecting your family, your home, and belongings, there's no need to sign a long-term contract.
[00:30:10.099 --> 00:30:16.484]  Listen, there is some real scum in the alarm business cashing in by locking you into long, punishing contracts.
[00:30:16.884 --> 00:30:19.166]  Not with SimpliSafe Home Security.
[00:30:19.166 --> 00:30:20.507]  They're the good guys.
[00:30:20.507 --> 00:30:23.589]  You can trust SimpliSafe to protect your family.
[00:30:23.589 --> 00:30:28.092]  SimpliSafe was created by a Harvard Business School engineer and it's revolutionary.
[00:30:28.092 --> 00:30:31.634]  You'll get 24-hour protection for just $14.99 a month.
[00:30:31.634 --> 00:30:34.576]  There are no hidden fees and no contracts.
[00:30:34.576 --> 00:30:35.797]  You'll save thousands.
[00:30:35.797 --> 00:30:39.179]  Plus, you're protected by their 100% money-back guarantee.
[00:30:39.179 --> 00:30:42.621]  Protect yourself against home invasions and break-ins.
[00:30:42.621 --> 00:30:46.544]  Order your SimpliSafe system now and receive a wireless keychain remote.
[00:30:46.804 --> 00:30:49.165]  A $25 gift, free.
[00:30:49.165 --> 00:30:52.147]  So don't waste your time dealing with scum.
[00:30:52.147 --> 00:30:58.470]  Visit GetSimplySafe.com GetSimplySafe.com GetSimplySafe.com
[00:31:00.160 --> 00:31:02.041]  Introducing Pro-1.
[00:31:02.041 --> 00:31:05.702]  All of your filtration in one system, portable, on-the-go.
[00:31:05.702 --> 00:31:10.244]  No more do you have two or three filters to just reduce sodium fluoride.
[00:31:10.244 --> 00:31:16.346]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:31:16.346 --> 00:31:27.130]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals, all in one filter element.
[00:31:27.350 --> 00:31:30.211]  It is the only one that does it and out of the gates!
[00:31:30.211 --> 00:31:33.832]  We have it discounted at 10% off with promo code WATER.
[00:31:33.832 --> 00:31:48.555]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands,
[00:31:48.735 --> 00:31:49.375]  We're good to go.
[00:32:11.682 --> 00:32:23.127]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American-made products.
[00:32:23.127 --> 00:32:29.790]  Order the sampler, a 1-2 month supply or get a 1-2 year supply of soaps for all your cleaning needs.
[00:32:29.790 --> 00:32:32.731]  You're getting soap products twice as good as what you're using now.
[00:32:33.331 --> 00:32:37.995]  This is an amazing deal and you will love the way real soap makes your skin feel.
[00:32:37.995 --> 00:32:45.360]  Call 1-800-340-7091 or visit www.5starsoap.com.
[00:32:45.360 --> 00:32:50.004]  Alex and his staff have used these earth friendly pure soaps for years.
[00:32:50.004 --> 00:32:54.847]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[00:33:00.091 --> 00:33:03.652]  Every three seconds, someone becomes a victim of identity theft.
[00:33:03.652 --> 00:33:07.794]  We also hear news stories every day about the NSA spying on U.S.
[00:33:07.794 --> 00:33:08.574]  citizens.
[00:33:08.574 --> 00:33:12.976]  It is now more important than ever to protect yourself and your information on the web.
[00:33:12.976 --> 00:33:19.939]  PrivateInternetAccess.com is a virtual private network service that can encrypt your internet connection while hiding your IP address.
[00:33:20.259 --> 00:33:25.725]  Their service also provides firewall protection in order to prevent data mining and unwanted exposure.
[00:33:25.725 --> 00:33:28.308]  They keep no records of your web browsing history.
[00:33:28.308 --> 00:33:34.676]  PrivateInternetAccess.com is an American company that understands you need to protect your inalienable rights.
[00:33:34.676 --> 00:33:37.679]  Private Internet Access does not even log any of your traffic.
[00:33:38.019 --> 00:33:38.699]  Period.
[00:33:38.699 --> 00:33:41.180]  Privacy is their number one policy.
[00:33:41.180 --> 00:33:48.081]  You can use their service anywhere with an internet connection and with one account you can protect up to five devices at the same time.
[00:33:48.081 --> 00:33:53.983]  Go to privateinternetaccess.com right now in order to secure the privacy of you and your loved ones.
[00:33:53.983 --> 00:33:56.863]  Don't wait and allow you and your family to become victims.
[00:33:56.863 --> 00:33:59.364]  Visit privateinternetaccess.com today.
[00:34:01.212 --> 00:34:04.797]  Coast to coast, direct from Austin.
[00:34:04.797 --> 00:34:08.002]  You're listening to the Alex Jones Broadcasting Network.
[00:34:27.552 --> 00:34:31.646]  Resistance to tyrants is obedience to God.
[00:34:31.646 --> 00:34:32.710]  It's Alex Jones.
[00:34:40.179 --> 00:34:49.808]  Ladies and gentlemen, we are back here on this Sunday Transmission playing some of the most important clips of the weekday broadcast.
[00:34:49.808 --> 00:34:52.551]  Coming up, Russell Brand premiere interview I did Friday night.
[00:34:52.551 --> 00:34:56.875]  That's coming up to be exclusively premiered here on the Sunday Transmission.
[00:34:56.875 --> 00:34:59.077]  But first off, I want to go back to the day before.
[00:35:00.158 --> 00:35:17.033]  The last clip you heard with Dr. Corsi when he was getting into the Muslim Brotherhood connection to Obama, and I've researched this myself, this is just bombshell info about how treacherous this federal government has gotten, led by this globalist, Barack Hussein Obama.
[00:35:17.033 --> 00:35:19.375]  So, here's a key clip with Dr. Corsi.
[00:35:20.106 --> 00:35:33.056]  All right, I wanted to get, for the balance of the hour, Dr. Jerome Corcyon, because I saw an article he did for WND.com, WorldNetDaily, last Friday, about Obama's connections to his cousins in the Muslim Brotherhood.
[00:35:33.056 --> 00:35:42.043]  Well, Odinga was made to be the Prime Minister after they rioted and killed people all over the country, and Obama's senatorial emails are public, where he advised him how to do it.
[00:35:42.043 --> 00:35:44.045]  So, yes, Obama is Muslim Brotherhood.
[00:35:44.545 --> 00:35:46.906]  But from my research, but that's another cover.
[00:35:46.906 --> 00:35:48.246]  They're just manipulating that group.
[00:35:48.246 --> 00:35:59.389]  So I want to segue into that briefly, then get Dr. Corsi, because he's worked in security in the Middle East as a contractor to the State Department and other things, get his take on where all this is going.
[00:35:59.389 --> 00:36:03.550]  And the chemical attack that I think all the evidence shows was a false flag.
[00:36:03.550 --> 00:36:05.350]  Dr. Corsi has a Ph.D.
[00:36:05.350 --> 00:36:06.931]  from Harvard University in political science.
[00:36:07.871 --> 00:36:17.180]  And he's currently a senior writer for WorldNetDaily, and he's got a whole bunch of number one New York Times bestsellers, and we'll tell you about those as well.
[00:36:17.180 --> 00:36:19.863]  But Dr. Corsi, we're going to break in about two minutes.
[00:36:19.863 --> 00:36:27.510]  Briefly, what is your take on the situation with all this Muslim Brotherhood news coming out and Obama's family?
[00:36:28.390 --> 00:36:38.116]  Well, I think the bottom line is that the Egyptian government, the current government, the military, have decided to out the Muslim Brotherhood.
[00:36:38.116 --> 00:36:39.658]  They're prosecuting the Muslim Brotherhood.
[00:36:39.658 --> 00:36:52.466]  In the process, they want the world to know that the Obama administration is very tightly tied to the Muslim Brotherhood, including in financial ties to the Obama family.
[00:36:52.466 --> 00:36:57.650]  So, the news we're going to talk about is news that WND got
[00:36:58.510 --> 00:37:05.218]  When it was released by the Egyptian government asking for the United States press to pick up the story.
[00:37:07.116 --> 00:37:07.696]  Wow.
[00:37:07.696 --> 00:37:09.878]  And you've written quite a few articles on this.
[00:37:09.878 --> 00:37:11.679]  The latest I saw was on Friday.
[00:37:11.679 --> 00:37:12.719]  We should check WorldNetDaily.
[00:37:12.719 --> 00:37:13.840]  Is there a new article out?
[00:37:13.840 --> 00:37:14.920]  And give us the headline.
[00:37:14.920 --> 00:37:16.241]  We'll put that on screen.
[00:37:16.241 --> 00:37:34.831]  Well, I have a new article out right now today that argues from some sources in the Middle East that the intention of the Egyptian government when these trials begin for the Muslim Brotherhood is to implicate President Obama directly.
[00:37:34.831 --> 00:37:35.632]  That's bombshell.
[00:37:36.391 --> 00:37:41.044]  In a series of financial transactions with the Muslim Brotherhood in Egypt.
[00:37:42.449 --> 00:38:09.076]  The Egyptian government sent out the head of the, it was the Vice President for the Supreme Constitutional Court of Egypt, her name was Tahani al-Jibali, and she gave a speech and then several interviews in Egyptian television in which she said she wanted the American people to know that President Obama's brother was managing the money of the Muslim Brotherhood in Egypt.
[00:38:09.946 --> 00:38:15.487]  And that brother we've identified as Malik Obama, who is in Kenya.
[00:38:15.487 --> 00:38:20.008]  But what Jabali said was very important.
[00:38:20.008 --> 00:38:31.090]  She said, we want to inform the American people that their president's brother Obama is one of the architects of the major investments of the Muslim Brotherhood in Egypt.
[00:38:31.090 --> 00:38:32.470]  We will carry out the law.
[00:38:32.470 --> 00:38:34.730]  The Americans will not stop us.
[00:38:34.730 --> 00:38:38.391]  We need to open the files and begin court sessions.
[00:38:39.175 --> 00:38:43.378]  She said further that the Obama administration knows they've supported terrorism.
[00:38:43.378 --> 00:38:52.964]  We're going to open these files so the nations know the truth and the Obama administration is exposed that they have collaborated with terrorists.
[00:38:52.964 --> 00:38:56.286]  And it's this reason that the administration fights us.
[00:38:56.286 --> 00:39:05.692]  So this is a clear attempt by the Egyptian government to out and embarrass the Obama administration for supporting the Egyptian Brotherhood in Egypt.
[00:39:06.291 --> 00:39:09.693]  You know, I don't just believe what they say.
[00:39:09.693 --> 00:39:11.914]  I've done so much research like you have.
[00:39:11.914 --> 00:39:15.615]  I know his cousin Odinga was the treasurer for the Brotherhood.
[00:39:15.615 --> 00:39:17.456]  They burned half the country down.
[00:39:17.456 --> 00:39:19.497]  Obama advised him in emails, as you know.
[00:39:19.497 --> 00:39:21.218]  I want you to give people some history.
[00:39:21.218 --> 00:39:23.059]  So this all fits.
[00:39:23.059 --> 00:39:30.162]  He and his family would become like the offshore dictators of the Middle East with the Muslim Brotherhood funneling them all the money.
[00:39:30.882 --> 00:39:31.983]  My gosh!
[00:39:31.983 --> 00:39:33.404]  Now it makes sense.
[00:39:33.404 --> 00:39:35.546]  Because these aren't just allegations from Egypt.
[00:39:35.546 --> 00:39:40.149]  When I was reading your article, I'm like, wait, this has come out before in this country.
[00:39:40.149 --> 00:39:42.271]  This has come out before in Sudan.
[00:39:42.271 --> 00:39:44.052]  It's come out before in Kenya.
[00:39:44.052 --> 00:39:45.673]  And then it all clicked.
[00:39:45.673 --> 00:39:50.157]  They're going to burn down the Middle East and hand it all over to themselves as a mafia.
[00:39:50.157 --> 00:39:51.438]  This is unbelievable.
[00:39:51.438 --> 00:39:52.759]  And then the magnitude
[00:39:54.099 --> 00:40:03.546]  Of the Egyptian military turning against it, defending the Christians, CNN calling them when they killed 25 cops, calling them activists, that CNN's involved in this.
[00:40:03.546 --> 00:40:09.990]  Am I right in saying that if this all comes out, Dr. Corsi, this could bring down this criminal faction of the New World Order?
[00:40:09.990 --> 00:40:14.594]  You've got the floor, give us the history, all of it, how big this is, do you agree with what I just said?
[00:40:15.094 --> 00:40:16.635]  Well, I think you're right, Alex.
[00:40:16.635 --> 00:40:18.316]  Let's detail some of it.
[00:40:18.316 --> 00:40:29.563]  I mean, the article I published over the weekend, which shows a document in it, an Egyptian government document that we got out of the Middle East, WND.
[00:40:29.563 --> 00:40:40.130]  And what this is, is it's a government document listing from the Minister of Foreign Affairs the names of Muslim Brotherhood leaders in Egypt.
[00:40:41.130 --> 00:40:45.013]  And the amount in bribes that they were paid in U.S.
[00:40:45.013 --> 00:40:49.937]  dollars by the Obama administration with the money sent through the U.S.
[00:40:49.937 --> 00:40:58.824]  Embassy in Cairo, the money paid over to the Morsi government, to the Minister of Foreign Affairs, and then handed out
[00:40:59.485 --> 00:41:03.288]  to this list of Muslim Brotherhood leaders.
[00:41:03.288 --> 00:41:06.450]  And they came in, the Muslim Brotherhood leaders, and signed for the money.
[00:41:06.450 --> 00:41:07.871]  It's a receipt.
[00:41:07.871 --> 00:41:14.016]  The amounts of money paid are up to $850,000 a year.
[00:41:14.016 --> 00:41:15.977]  And this is an authenticated document.
[00:41:15.977 --> 00:41:26.645]  It's going to be presented at the trials of the Muslim Brotherhood in Cairo, alleging that these Muslim Brotherhood leaders are spies
[00:41:27.426 --> 00:41:37.032]  Working for Obama, being paid by the Obama administration, and here's the documentary evidence of it, which we have in advance of the trial through our sources in Cairo.
[00:41:37.032 --> 00:41:37.872]  It's incredible.
[00:41:37.872 --> 00:41:50.580]  I mean, it's a list of the Muslim Brotherhood bad guys being paid hundreds of thousands of dollars off the books by the United States government, the Obama administration, through our embassy in Cairo.
[00:41:51.320 --> 00:41:54.502]  Paid via the Morsi government.
[00:41:54.502 --> 00:42:00.567]  This document was obtained when the Morsi government was deposed and the military went in and occupied the offices.
[00:42:00.567 --> 00:42:03.669]  This is unbelievable.
[00:42:03.669 --> 00:42:07.232]  Is this why they're trying to ratchet up the Syria thing right now as a distraction?
[00:42:07.232 --> 00:42:09.994]  And what do you expect them to do to try to cover this up?
[00:42:09.994 --> 00:42:17.740]  And how are things going for the Democratic, Socialist, Communist wing of the New World Order in their takeover of the Middle East?
[00:42:18.223 --> 00:42:37.047]  Well, this is going to be explosive because the Egyptian government has announced in the newspapers, and we even cite the newspapers in the Middle East, this newspaper Al-e Sarun, which published in Egypt over the weekend, that this document existed and was going to be introduced at the trials of the Muslim Brotherhood.
[00:42:37.247 --> 00:42:45.912]  And the Egyptian government has come out and said they want to expose the Obama administration's ties to terrorists, namely the Muslim Brotherhood in Egypt.
[00:42:45.912 --> 00:42:52.775]  Remember, the Muslim Brotherhood, before the Morsi government came in, was outlawed under Mubarak in Egypt.
[00:42:52.775 --> 00:42:54.536]  It was an outlaw organization.
[00:42:54.536 --> 00:43:01.320]  When Morsi came in, won the election, brought in the Muslim Brotherhood, Obama celebrated it.
[00:43:01.320 --> 00:43:03.621]  He said this was a positive development.
[00:43:03.621 --> 00:43:04.562]  Now it turns out,
[00:43:05.222 --> 00:43:12.016]  That Obama had been paying, the administration had been paying Muslim Brotherhood under the table.
[00:43:12.952 --> 00:43:24.736]  Through our embassy in Cairo with the cooperation, we even have the receipt with the signed signatures on it of the Muslim Brotherhood members that got paid these hundreds of thousands of dollars in bribes.
[00:43:24.736 --> 00:43:34.819]  Now this document is going to be an explosive document all through the Middle East because it puts the Obama administration on the side of the Muslim Brotherhood terrorists under the table.
[00:43:34.819 --> 00:43:38.760]  I mean, this makes things like Iran-Contra pale.
[00:43:39.700 --> 00:43:49.932]  Insignificance compared to the magnitude of this behavior, which when fully documented, I think is going to lead to treason charges.
[00:43:49.932 --> 00:43:53.395]  I mean, I think it's of that magnitude.
[00:43:53.395 --> 00:43:56.979]  All right, folks, we'll be back with more with Dr. Jerome Corsi on Alex Jones.
[00:44:01.081 --> 00:44:08.843]  Dozens of diseases ranging from the common cold and flu to MRSA and pneumonia are all caused by infectious pathogens.
[00:44:08.843 --> 00:44:13.084]  Fortunately, a simple, safe and effective alternative exists.
[00:44:13.084 --> 00:44:26.608]  Supernatural Silver is a new and vastly improved type of silver solution that is safe and extremely effective against 143 types of bacteria, both forms of viruses, mold and yeast, and a limited number of parasites.
[00:44:27.188 --> 00:44:29.669]  It can even purify water!
[00:44:29.669 --> 00:44:34.791]  Supernatural Silver comes in both liquid and gel for internal or external use.
[00:44:34.791 --> 00:44:46.236]  With over 180 scientific studies by independent universities, hospitals, research institutions, and nursing homes, Supernatural Silver is a powerful weapon in the fight against disease.
[00:44:46.576 --> 00:44:54.843]  To see how Supernatural Silver can give you and your loved ones protection and peace of mind, go to SupernaturalSilver.com.
[00:44:54.843 --> 00:44:58.847]  Use the promo code PROTECTED for 20% off and like us on Facebook.
[00:45:00.439 --> 00:45:04.301]  Are we choosing our own destiny or has it been pre-selected for us?
[00:45:04.301 --> 00:45:09.824]  As we've moved through history, every great leader has had to understand the potential of information.
[00:45:09.824 --> 00:45:17.547]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[00:45:17.547 --> 00:45:26.672]  From compulsory state education to the Hollywood media brainwashing machine, we are kept in perpetual bondage to the ideas that shape our actions.
[00:45:26.872 --> 00:45:34.020]  When somebody obscures that feedback loop between you observing and testing it out and verifying it, they can take total control of your awareness.
[00:45:34.020 --> 00:45:36.924]  All of this is happening so fast, you need to be ahead of the game.
[00:45:36.924 --> 00:45:43.851]  How to engineer the opinion of the American people so that they would not only endorse but demand a war.
[00:45:44.412 --> 00:45:45.452]  Oh, there's another one!
[00:45:45.452 --> 00:45:46.573]  Another plane just hit!
[00:46:00.237 --> 00:46:02.118]  Introducing Pro-1.
[00:46:02.118 --> 00:46:05.781]  All of your filtration in one system, portable, on-the-go.
[00:46:05.781 --> 00:46:10.324]  No more do you have two or three filters to just reduce sodium fluoride.
[00:46:10.324 --> 00:46:16.448]  You have a system that cuts out the sodium fluoride and up to 95% of hydrofluorosilicic acid.
[00:46:16.448 --> 00:46:27.215]  Advanced manufacturing technology combines silver impregnated white ceramic with new Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[00:46:27.415 --> 00:46:30.277]  It is the only one that does it and out of the gates!
[00:46:30.277 --> 00:46:33.918]  We have it discounted at 10% off with promo code WATER.
[00:46:33.918 --> 00:46:50.867]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine, hydrofluorosilicic acid, the most common form of fluoride not covered by other fluoride filter brands, and sodium hexafluorosilicate.
[00:46:51.207 --> 00:46:56.529]  Get your Pro-Pure with the new Pro-1 filters today at Infowarsstore.com or by calling 888-253-3139.
[00:47:11.676 --> 00:47:23.122]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a free catalog and buy American-made products.
[00:47:23.122 --> 00:47:29.325]  Order the sampler, a 1-2 month supply or get a 1-2 year supply of soaps for all your cleaning needs.
[00:47:29.765 --> 00:47:33.327]  You're getting soap products twice as good as what you're using now.
[00:47:33.327 --> 00:47:37.990]  This is an amazing deal and you will love the way real soap makes your skin feel.
[00:47:37.990 --> 00:47:45.354]  Call 1-800-340-7091 or visit www.5starsoap.com.
[00:47:45.354 --> 00:47:49.997]  Alex and his staff have used these earth-friendly pure soaps for years.
[00:47:49.997 --> 00:47:54.839]  See them on the web www.5starsoap.com or call 1-800-340-7091 for a catalog.
[00:48:01.368 --> 00:48:02.889]  Coast to Coast.
[00:48:02.889 --> 00:48:04.950]  Direct from Austin.
[00:48:04.950 --> 00:48:08.532]  You're listening to the Alex Jones Broadcasting Network.
[00:48:08.532 --> 00:48:14.335]  Hey, I'll show you politics in America.
[00:48:14.335 --> 00:48:16.796]  Here it is, right here.
[00:48:16.796 --> 00:48:19.478]  I think the puppet on the right shares my beliefs.
[00:48:19.478 --> 00:48:23.600]  I think the puppet on the left is more to my liking.
[00:48:23.600 --> 00:48:24.801]  Hey, wait a minute!
[00:48:24.801 --> 00:48:26.682]  There's one guy holding up both puppets!
[00:48:26.682 --> 00:48:27.942]  Shut up!
[00:48:27.942 --> 00:48:29.343]  Go back to bed, America.
[00:48:29.343 --> 00:48:30.684]  Your government is in control.
[00:48:32.867 --> 00:48:37.760]  Defending the Republic from enemies foreign and domestic.
[00:48:37.760 --> 00:48:39.184]  It's Alex Jones!
[00:48:41.246 --> 00:48:42.326]  And we are back live.
[00:48:42.326 --> 00:48:54.791]  I want to play a little bit more of this just astonishingly important information that is now coming out in federal court in Egypt with the government, formerly allies with this country, stabbed in the back by Obama.
[00:48:54.791 --> 00:49:00.392]  Al-Qaeda allowed to murder police, military, blow up churches by the hundreds, get away with everything.
[00:49:00.392 --> 00:49:02.773]  And now their own government bringing out the documents.
[00:49:02.773 --> 00:49:05.534]  And they posted them on the news site WorldNetDaily.
[00:49:05.534 --> 00:49:07.375]  We have them on Infowars.com as well.
[00:49:07.375 --> 00:49:10.356]  This is just so insane.
[00:49:11.901 --> 00:49:15.205]  That our government's trying to put Al-Qaeda in all over the Middle East.
[00:49:15.205 --> 00:49:18.048]  Let's go back to the conclusion of this information.
[00:49:18.048 --> 00:49:19.049]  Then we'll go to break.
[00:49:19.049 --> 00:49:20.430]  Stations will have the news.
[00:49:20.430 --> 00:49:22.072]  We'll come back with a second hour.
[00:49:22.072 --> 00:49:23.733]  Russell Brandt and more.
[00:49:23.733 --> 00:49:24.835]  Greg Palast as well.
[00:49:24.835 --> 00:49:30.661]  But here's the conclusion of Dr. Jerome Corsney and Obama selling us out to the Muslim Jihadis.
[00:49:31.653 --> 00:49:33.735]  All right, Doc, we got you.
[00:49:33.735 --> 00:49:35.076]  How does this tie into Benghazi?
[00:49:35.076 --> 00:49:38.159]  Because we know there was a cover up there of the missiles being transferred.
[00:49:38.159 --> 00:49:42.363]  We know elements of the government did not want to back Al-Qaeda.
[00:49:42.363 --> 00:49:49.410]  It looks like that Obama and his controllers may be running a rogue operation, and if so, who is behind it?
[00:49:49.410 --> 00:49:50.491]  I mean, it's not just Obama.
[00:49:50.911 --> 00:50:01.155]  Well, let's first deal with Benghazi, because we reported, WND reported, and we've been working with Waleed Chobat, who is also published alongside WND.
[00:50:01.155 --> 00:50:02.896]  Waleed is one of our sources.
[00:50:02.896 --> 00:50:05.077]  He's former PLO, Arabic-speaking.
[00:50:05.077 --> 00:50:09.519]  And you remember in Benghazi, when we ran WND, those clips.
[00:50:10.399 --> 00:50:18.330]  of the latecomers, the second wave of the attack of the terrorists on the Benghazi compound.
[00:50:18.330 --> 00:50:21.775]  And when they entered, they said, don't shoot at us.
[00:50:21.775 --> 00:50:23.497]  We are on your side.
[00:50:23.497 --> 00:50:25.079]  We're from Egypt.
[00:50:25.079 --> 00:50:26.321]  Morsi sent us.
[00:50:27.142 --> 00:50:32.644]  And in fact, even if you can't speak Arabic, you can hear them say Morsi, because Morsi was the guy.
[00:50:32.644 --> 00:50:41.308]  Now this is Egyptian terrorists in Libya attacking our embassy in Benghazi.
[00:50:41.308 --> 00:50:54.554]  Now, we at that time had put it together with the idea that the Muslim Brotherhood, which was behind the attacks from Egypt on Benghazi, were angling to try to, with the Morsi government,
[00:50:55.305 --> 00:50:58.827]  Get Obama to release the blind sheik.
[00:50:58.827 --> 00:51:09.792]  And we have not ruled out yet that one of the theories behind the Benghazi attack was to kidnap Ambassador Stevens and exchange him for the blind sheik.
[00:51:09.792 --> 00:51:18.035]  And it seems like this was kind of a behind-the-scenes, back-room deal between the Obama administration, perhaps the CIA, and
[00:51:20.097 --> 00:51:26.764]  The Muslim Brotherhood in Egypt operating with full sanction of the Egyptian government under Morsi.
[00:51:26.764 --> 00:51:36.754]  But it would mean that, in a sense, we ourselves through the CIA may have been responsible for the attack and that we were supporting the Muslim Brotherhood in Egypt.
[00:51:37.495 --> 00:51:42.839]  That I sent terrorists to Benghazi in Libya to attack the embassy.
[00:51:42.839 --> 00:51:44.201]  That's pretty incredible stuff.
[00:51:44.201 --> 00:51:45.001]  Well, exactly.
[00:51:45.001 --> 00:51:58.312]  I mean, I had one of those moments, that's why I brought up Benghazi, where it all crystallized and I saw that triangle from Kenya and what's already been on record and what your book exposed with the documents, with Odinga and Obama and emails.
[00:51:58.312 --> 00:52:00.774]  We'll just have riots and they'll make you part of the government.
[00:52:00.774 --> 00:52:03.376]  And then you see worldwide what's going on.
[00:52:03.376 --> 00:52:04.337]  This is what I want to ask you.
[00:52:04.417 --> 00:52:10.339]  We know the big banks are behind Obama, the globalist, but geopolitically, I look at what's going on, there's something else there.
[00:52:10.339 --> 00:52:12.260]  Who do you think Obama really works for?
[00:52:12.260 --> 00:52:22.123]  Well, I mean, I think it's hard to say, but I mean, first, your idea about money motives, that there's money motives here, I think is quite right.
[00:52:22.123 --> 00:52:27.564]  Because, you know, you've got Obama's brother now managing the money of the Muslim Brotherhood.
[00:52:27.564 --> 00:52:31.966]  Don't forget that terrorism is big business, that there's a lot of money involved here.
[00:52:32.586 --> 00:52:33.887]  A lot of money being stolen.
[00:52:33.887 --> 00:52:35.808]  Look at that list of bribes.
[00:52:35.808 --> 00:52:38.830]  The bribes are being paid $850,000 a year, $750,000 a year.
[00:52:38.830 --> 00:52:41.692]  Individually, yeah.
[00:52:41.692 --> 00:52:42.433]  Individually.
[00:52:42.433 --> 00:52:44.894]  That's a lot of money in the Middle East to get $850,000.
[00:52:44.894 --> 00:52:48.677]  It's a lot of money anywhere to get $850,000.
[00:52:48.677 --> 00:52:53.500]  Income tax-free, unrecorded, just here's the cash in your pocket.
[00:52:53.500 --> 00:53:01.206]  Which is the way the Muslim Brotherhood was being paid the cash through the Morsi government after it received the cash from the State Department.
[00:53:02.006 --> 00:53:14.690]  But I want to go to one of your other points also here, Alex, because what it looks like is that the Obama administration is trying to pin these nerve gas attacks on Assad.
[00:53:14.690 --> 00:53:22.352]  Now, Russia has said increasingly that, you know, there's no evidence that the Assad government is behind these nerve gas attacks.
[00:53:23.072 --> 00:53:30.257]  I think the truth is that the evidence is very, very thin that the Assad government can be blamed for these attacks.
[00:53:30.257 --> 00:53:31.678]  I know there's a drum roll.
[00:53:31.678 --> 00:53:33.639]  Obama's now got the U.N.
[00:53:33.639 --> 00:53:36.541]  in inspecting, but it's equal probability.
[00:53:36.541 --> 00:53:42.085]  And I think it's pretty good evidence that maybe it's the rebels that we're backing
[00:53:42.765 --> 00:53:45.948]  Who may have launched the nerve attacks.
[00:53:45.948 --> 00:53:49.251]  And again, that question's not yet, but you asked what's the false flag.
[00:53:49.251 --> 00:53:53.475]  I mean, clearly, if we can have an invasion of Syria with the U.S.
[00:53:53.475 --> 00:54:04.345]  military forces involved or cruise missile attacks, it takes the headlines away from the Obama administration paying the Muslim Brotherhood under the carpet through the embassy in Cairo.
[00:54:04.505 --> 00:54:07.167]  But I mean, look, I know there's corrupt forces in the government.
[00:54:07.167 --> 00:54:10.190]  It's an empire and it wants to take over and all the rest of this.
[00:54:10.190 --> 00:54:13.313]  But there's a lot of evidence Israel's working with these rebels as well.
[00:54:13.313 --> 00:54:16.235]  You've got France really cheerleading when they're usually on the sidelines.
[00:54:16.235 --> 00:54:18.377]  I want to get your take on why that is.
[00:54:18.377 --> 00:54:21.740]  And I've had a bunch of special forces and military call in last hour.
