[00:00:04.924 --> 00:00:08.126]  It's Wednesday, July 21st.
[00:49:38.759 --> 00:49:46.065]  So right now, let's go to Fauci in 2012 at a dinner, at a conference promoting gain of function that he was funding.
[00:49:46.065 --> 00:49:47.446]  Here it is.
[00:49:47.446 --> 00:49:49.508]  Of a catastrophic pandemic.
[00:49:49.508 --> 00:49:51.790]  This is not a theoretical danger.
[00:49:51.790 --> 00:49:52.851]  It is a real danger.
[00:49:53.962 --> 00:50:03.152]  For decades, NIH has supported basic influenza research included on transmissibility, host adaptation, and virulence.
[00:50:03.152 --> 00:50:11.802]  The goal is to anticipate what the virus is continually trying to do on its own in the wild and to prepare for it.
[00:50:12.743 --> 00:50:27.334]  Such goals were pursued by the NIH-funded scientists Kawaioka and Fouchier, and could have important positive implications for pandemic influenza prediction, prevention, diagnosis, and treatment.
[00:50:27.334 --> 00:50:37.702]  Kawaioka and Fouchier constructed variants of H5N1 avian influenza in order to identify which genetic mutations might alter the transmissibility of the virus.
[00:50:38.607 --> 00:50:45.033]  In their studies, they employed a standard influenza animal model, namely the ferret.
[00:50:45.033 --> 00:50:54.422]  This slide shows the basic design of the experiments in which the virus was modified to allow for aerosol transmission from one ferret to another.
[00:50:55.243 --> 00:51:11.664]  I might point out that one of the causes of the public misunderstanding was the widespread belief that the virus that was transmitted by aerosol from one ferret to another actually killed the ferrets, when in fact that was not the case.
[00:51:12.782 --> 00:51:27.865]  We feel that these studies provide critical information, and it was important to determine if H5N1 virus that has this enhanced transmissibility would remain sensitive to existing anti-influenza drugs and vaccines.
[00:51:27.865 --> 00:51:39.267]  In addition, and importantly, knowledge of the genetic mutations that facilitate transmission may be critical for global surveillance of emerging influenza viruses.
[00:51:39.267 --> 00:51:39.547]  Yet,
[00:51:41.155 --> 00:51:44.996]  So they bring in the global problem, they release it, now they're the global solution.
[00:51:44.996 --> 00:51:47.856]  And by the way, I sent somebody close to the crew, that's one in Congress.
[00:51:47.856 --> 00:51:52.577]  I sent another one of him at a dinner saying, yeah, it's gain of function, so we'll play that next hour.
[00:51:52.577 --> 00:51:55.018]  The point is, is that he's all over the place saying it.
[00:51:55.018 --> 00:51:56.778]  That's classic gain of function right there.
[00:51:56.778 --> 00:52:01.479]  He just told Congress he's never been involved in any of it, though he just funded and supported and ran that.
[00:52:01.479 --> 00:52:03.299]  Put him in prison right there.
[00:52:03.299 --> 00:52:07.140]  Here is the exchange with him perjuring himself yesterday in front of Senator Rand Paul.
[00:52:08.385 --> 00:52:12.549]  Dr. Fauci, as you are aware, it is a crime to lie to Congress.
[00:52:12.549 --> 00:52:16.273]  It's a felony and a five-year penalty for lying to Congress.
[00:52:16.273 --> 00:52:24.281]  You stated that the NIH has not ever and does not now fund gain-of-function research in the Wuhan Institute of Virology.
[00:52:24.281 --> 00:52:24.682]  And yet,
[00:52:25.717 --> 00:52:33.488]  Gain-of-function research was done entirely in the Wuhan Institute by Dr. Xi and was funded by the NIH.
[00:52:33.488 --> 00:52:41.259]  In this paper, Dr. Xi credits the NIH and lists the actual number of the grant that she was given by the NIH.
[00:52:42.367 --> 00:52:55.903]  In this paper, she took two bat coronavirus genes, spike genes, and combined them with a SARS-related backbone to create new viruses that are not found in nature.
[00:52:55.903 --> 00:52:59.568]  These lab-created viruses were then shown to replicate in humans.
[00:53:00.589 --> 00:53:13.254]  These experiments combine genetic information from different coronaviruses that infect animals, but not humans, to create novel artificial viruses able to infect human cells.
[00:53:13.254 --> 00:53:21.758]  Viruses that in nature only infect animals were manipulated in the Wuhan lab to gain the function of infecting humans.
[00:53:22.458 --> 00:53:39.832]  Dr. Richard Ebright, a molecular biologist from Rutgers, described this research in Wuhan as, the Wuhan lab used NIH funding to construct novel chimeric SARS-related coronaviruses able to infect human cells and laboratory animals.
[00:53:39.832 --> 00:53:48.358]  This is high-risk research that creates new potential pandemic pathogens that exist only in the lab, not in nature.
[00:53:49.099 --> 00:54:04.824]  This research matches, these are Dr. Ebright's words, this research matches, indeed epitomizes, the definition of gain-of-function research, done entirely in Wuhan, for which there was supposed to be a federal pause.
[00:54:04.824 --> 00:54:15.167]  Dr. Fauci, knowing that it is a crime to lie to Congress, do you wish to retract your statement of May 11th, where you claimed that the NIH never funded gain-of-function research in Wuhan?
[00:54:15.723 --> 00:54:22.986]  Senator Paul, I have never lied before the Congress, and I do not retract that statement.
[00:54:22.986 --> 00:54:33.391]  This paper that you're referring to was judged by qualified staff up and down the chain as not being gain of function.
[00:54:33.391 --> 00:54:34.051]  Let me finish.
[00:54:34.051 --> 00:54:35.332]  You're saying that's not gain of function?
[00:54:40.854 --> 00:54:41.895]  That is correct.
[00:54:41.895 --> 00:54:46.177]  And Senator Paul, you do not know what you are talking about, quite frankly.
[00:54:46.177 --> 00:54:46.617]  Oh yeah, we do.
[00:54:46.617 --> 00:54:47.897]  We're onto you, scum.
[00:54:47.897 --> 00:54:51.699]  Officially, you do not know what you are talking about.
[00:54:51.699 --> 00:54:59.083]  You're dancing around this because you're trying to obscure responsibility for 4 million people dying around the world from a pandemic.
[00:54:59.083 --> 00:55:01.784]  It is molecularly impossible.
[00:55:01.784 --> 00:55:03.965]  No one's saying those viruses caused it.
[00:55:03.965 --> 00:55:05.766]  It is molecularly impossible.
[00:55:07.987 --> 00:55:17.271]  He then talks about how they grabbed all these wild viruses and trying to say that Senator Paul, Dr. Paul, is saying those that did this.
[00:55:17.271 --> 00:55:18.551]  No.
[00:55:18.551 --> 00:55:25.474]  You got them and combined them and your own program head, Peter Daszak, said that to develop an all-in-one vaccine.
[00:55:27.216 --> 00:55:30.059]  She can be the heroes once you release this on us.
[00:55:30.059 --> 00:55:32.281]  You'll never get away with it, Fauci.
[00:55:32.281 --> 00:55:34.123]  You've launched your mad scientist attack.
[00:55:34.123 --> 00:55:36.466]  You've turned us all into guinea pigs.
[00:55:36.466 --> 00:55:37.667]  Hey, great!
[00:55:37.667 --> 00:55:42.392]  But like tyrants always learn, you get that big slug in, and you wake up the tiger.
[00:55:42.392 --> 00:55:43.333]  You wake up the dragon.
[00:55:43.333 --> 00:55:45.435]  You're gonna get your ass politically stomped in.
[00:55:45.435 --> 00:55:46.296]  Be right back.
[00:55:51.681 --> 00:55:52.941]  Jacob in Ohio.
[00:55:52.941 --> 00:55:53.322]  Welcome.
[00:55:53.322 --> 00:55:53.782]  Go ahead.
[00:55:53.782 --> 00:55:55.642]  Hey, how's it going, Alex?
[00:55:55.642 --> 00:55:56.723]  Great last caller.
[00:55:56.723 --> 00:55:59.804]  I just wanted to start with plugging your sleep supplement.
[00:55:59.804 --> 00:56:05.485]  It's basically the only way I get sleep anymore with all the gaslighting, demoralization, and absurdity.
[00:56:05.485 --> 00:56:07.266]  It's like we're living in a twilight zone, man.
[00:56:07.586 --> 00:56:09.288]  Alright, Eric in New Hampshire.
[00:56:09.288 --> 00:56:10.229]  Eric, thanks for calling.
[00:56:10.229 --> 00:56:10.590]  Go ahead.
[00:56:10.590 --> 00:56:12.131]  Hey Alex, thanks for taking my call.
[00:56:12.131 --> 00:56:15.175]  If I could, I just want to throw a quick plug out for one of the products.
[00:56:15.175 --> 00:56:16.837]  The X2 does wonders.
[00:56:16.837 --> 00:56:18.078]  I recommend it to everybody.
[00:56:18.078 --> 00:56:19.160]  You're on the fence about it.
[00:56:19.160 --> 00:56:19.960]  Get off the fence.
[00:56:19.960 --> 00:56:20.841]  Get the product.
[00:56:20.841 --> 00:56:22.063]  Support the InfoWars.
[00:56:22.063 --> 00:56:23.344]  Tyler in Maine.
[00:56:23.344 --> 00:56:24.005]  You're on the air.
[00:56:24.005 --> 00:56:24.566]  Thanks for holding.
[00:56:24.566 --> 00:56:25.126]  Go ahead.
[00:56:25.126 --> 00:56:26.688]  Hey Alex, it's great to be on with you.
[00:56:26.688 --> 00:56:27.209]  It's an honor.
[00:56:27.369 --> 00:56:28.190]  Honored to talk to you.
[00:56:28.190 --> 00:56:29.331]  Awesome.
[00:56:29.331 --> 00:56:32.934]  So, first thing I wanted to do is to say I love the products.
[00:56:32.934 --> 00:56:34.756]  Alpha Power, even at 29.
[00:56:34.756 --> 00:56:37.499]  If you ask my better half, she loves it.
[00:56:37.499 --> 00:56:38.860]  And it helps in the bedroom.
[00:56:38.860 --> 00:56:40.441]  So, just number one for a few reasons.
[00:56:40.441 --> 00:56:41.502]  Well, it definitely works.
[00:56:41.502 --> 00:56:42.663]  It's not a joke.
[00:56:42.663 --> 00:56:43.564]  Absolutely.
[00:56:50.319 --> 00:56:53.202]  The biosecurity state is here.
[00:56:53.202 --> 00:56:59.107]  It's an anti-human eugenics operation, training us that humans are dirty, bad, and evil.
[00:56:59.107 --> 00:57:12.900]  The corrupt puppet prime minister of Canada, who says he admires the communist dictatorship of Xi Jinping and wishes to make Canada the same, has announced that they're buying vaccines for every person in the country, all the way out to 2024.
[00:57:14.341 --> 00:57:17.542]  And in 2024, you will again take two shots.
[00:57:17.542 --> 00:57:21.543]  And he says it'll be whatever Pfizer cooks up and wants to put in your body.
[00:57:21.543 --> 00:57:23.083]  This is the Rockefeller Foundation.
[00:57:23.083 --> 00:57:26.004]  They developed this whole plan with Bill Gates.
[00:57:26.004 --> 00:57:28.244]  They're now implementing it, and now they've announced that U.S.
[00:57:28.244 --> 00:57:30.785]  policy is set by the private Rockefeller Foundation.
[00:57:30.785 --> 00:57:40.407]  Of course, the Rockefeller Foundation, by the 30s, was the main funder of Adolf A. Louis Hitler and the eugenics at Cold Springs Harbor that trained the Kaiser Wilhelm Institute in Germany.
[00:57:40.987 --> 00:57:42.508]  And bull wars will continue to set fast.
[00:57:42.508 --> 00:57:44.530]  We fight this, I don't know how long we can.
[00:57:44.530 --> 00:57:45.891]  The enemy's coming for us all now.
[00:57:45.891 --> 00:57:47.512]  God bless and good luck.
[00:57:47.512 --> 00:57:51.875]  I would, again, get right with God right now.
[00:57:51.875 --> 00:57:56.259]  You're listening to the Alex Jones Show.
[00:57:56.259 --> 00:58:02.924]  Be my Frankenstein!
[00:58:10.194 --> 00:58:21.046]  Alright, they played another clip earlier of Fauci in Congress submitting a gain-of-function, but we found the clip of him at a quote, gain-of-function conference saying, I like gain-of-function.
[00:58:21.046 --> 00:58:23.228]  This guy is in a lot of trouble.
[00:58:23.228 --> 00:58:26.311]  But here first is a couple great clips from Tucker Carlson.
[00:58:27.319 --> 00:58:29.440]  That's your birthright.
[00:58:29.440 --> 00:58:34.201]  For example, schools across the country are now forcing children to take the vaccine as a condition of their education.
[00:58:54.028 --> 00:58:55.149]  So is that a good idea?
[00:58:55.149 --> 00:58:56.410]  Is it rooted in science?
[00:58:56.410 --> 00:58:57.371]  We should know the answer to that.
[00:58:57.371 --> 00:58:58.832]  Why wouldn't we know the answer to that?
[00:58:58.832 --> 00:59:03.557]  But before we can answer that question, we need to know how many young people are dying from COVID.
[00:59:03.557 --> 00:59:05.438]  Okay, let's go to the CDC website.
[00:59:05.438 --> 00:59:14.346]  According to the Centers for Disease Control and Prevention, a total of 335 Americans under the age of 18 have died from coronavirus in this country.
[00:59:14.346 --> 00:59:14.987]  That's the number.
[00:59:16.906 --> 00:59:18.607]  But what does that number mean exactly?
[00:59:18.607 --> 00:59:24.831]  The CDC did not provide any specific information on the circumstances of those deaths.
[00:59:24.831 --> 00:59:26.632]  And the circumstances can be all important.
[00:59:26.632 --> 00:59:32.556]  So researchers at Johns Hopkins, led by Dr. Marty McCary, looked closely at those numbers and what they actually meant.
[00:59:32.556 --> 00:59:33.576]  And here's what they found.
[00:59:33.576 --> 00:59:41.061]  Quote, a mortality rate of zero among children without a pre-existing medical condition such as leukemia.
[00:59:41.061 --> 00:59:45.604]  Oh, leukemia is a very serious underlying medical condition.
[00:59:47.014 --> 00:59:55.479]  So does that mean that no one under 18 without a serious underlying medical condition died from COVID?
[00:59:55.479 --> 00:59:57.101]  Seems that way.
[00:59:57.101 --> 01:00:06.587]  So then is it, as a matter of science and public policy, necessary to force every child, including the millions without pre-existing conditions, to get vaccines and wear masks all day?
[01:00:07.327 --> 01:00:09.809]  What about adults who already have had COVID?
[01:00:09.809 --> 01:00:11.871]  There are millions of those.
[01:00:11.871 --> 01:00:17.675]  The Johns Hopkins researchers found the CDC is barely doing anything to answer that question.
[01:00:17.675 --> 01:00:30.064]  The CDC's reports on rates of natural immunity and what that immunity means and whether people who have it should get the vaccine or benefit from it in any way or need it, McCary's team noted that that guidance is, quote, outdated.
[01:00:30.064 --> 01:00:31.265]  Outdated, really?
[01:00:31.265 --> 01:00:33.107]  A year and a half into this pandemic.
[01:00:34.656 --> 01:00:36.917]  These are relevant and vital questions.
[01:00:36.917 --> 01:00:38.858]  They are hardly denial of anything.
[01:00:38.858 --> 01:00:39.978]  They're the opposite.
[01:00:39.978 --> 01:00:42.920]  They are a search for truth.
[01:00:42.920 --> 01:00:44.180]  An open-minded one.
[01:00:44.180 --> 01:00:48.402]  A relentless one that will not be shamed into silence.
[01:00:48.402 --> 01:00:49.463]  That is what science is.
[01:00:50.146 --> 01:00:50.886]  Asking questions are worth it.
[01:00:50.886 --> 01:00:56.348]  We should not allow ourselves to be bullied by political forces into ignoring obvious questions.
[01:00:56.348 --> 01:00:58.989]  So the left's moral measurement's pretty clear.
[01:00:58.989 --> 01:01:01.690]  Good people follow corona law obediently.
[01:01:01.690 --> 01:01:03.130]  Evil people don't.
[01:01:03.130 --> 01:01:08.732]  Former Secretary of Health and Human Services Kathleen Sebelius just made this announcement.
[01:01:08.732 --> 01:01:16.675]  I think that it's time to say to those folks, it's fine if you don't choose to get vaccinated.
[01:01:16.675 --> 01:01:17.675]  You may not
[01:01:18.291 --> 01:01:19.194]  Come to work.
[01:01:19.194 --> 01:01:25.891]  You may not have access to a situation where you are going to put my grandchildren
[01:01:26.932 --> 01:01:35.895]  In jeopardy, where you might kill them, where you might put them in a situation where they're going to carry the virus to move someone in a high-risk position.
[01:01:35.895 --> 01:01:39.516]  That's, I think, the point where we are.
[01:01:39.516 --> 01:01:49.759]  Freedom is one thing, but freedom when you harm others, like secondhand smoke and issues that we've dealt with very clearly in the past.
[01:01:49.759 --> 01:01:51.720]  You can't drive drunk, you can drink.
[01:01:52.406 --> 01:01:58.308]  But you can't drive drunk because you can injure other people.
[01:01:58.308 --> 01:02:00.228]  Freedom is one thing.
[01:02:00.228 --> 01:02:04.450]  Weird how many vaccinated people seem to be spreading the virus at this point.
[01:02:04.450 --> 01:02:09.091]  So maybe it's not as simple as unvaccinated bad, vaccinated virtuous.
[01:02:09.091 --> 01:02:11.752]  Maybe it's a disease, not a moral category.
[01:02:11.752 --> 01:02:14.733]  Maybe you should be quiet, Kathleen Sebelius.
[01:02:14.733 --> 01:02:15.293]  You're an idiot.
[01:02:16.213 --> 01:02:16.973]  There are a lot of idiots.
[01:02:16.973 --> 01:02:22.915]  The main anchor at the most watched local television station in the country, WABC New York, Bill Ritter, just wrote this in a Facebook post.
[01:02:22.915 --> 01:02:27.416]  Anyone who hasn't gotten vaccinated and is medically able to get it, stay away from me!
[01:02:27.416 --> 01:02:31.998]  And have the decency to let people know you're not inoculated by putting a sign on your neck!
[01:02:33.396 --> 01:02:35.498]  Whoa, wear a little badge!
[01:02:35.498 --> 01:02:48.968]  Oh, by the way, Nancy Pelosi's been lecturing us for months now about how we're immoral if we don't wear masks and get the vaccines, and now it looks like members of her staff who wore masks and got the vaccine got corona anyway from those fling Texas legislature.
[01:02:49.946 --> 01:02:55.488]  Makes you wonder if what Pelosi has been saying about Max and vaccines is actually science, doesn't it?
[01:02:55.488 --> 01:02:57.268]  You just got to be careful not to what you're talking for.
[01:02:57.268 --> 01:03:05.731]  Ladies and gentlemen, Owen Troyer here, the host of the InfoWars War Room, and I am very excited about our latest supplement addition to InfoWarsStore.com.
[01:03:05.731 --> 01:03:16.314]  Now, I've been supplementing with greens fibers and vegetable capsules for a long time, and so I was excited to hear that we were adding our own greens fiber caps to InfoWarsStore.com.
[01:03:16.314 --> 01:03:18.975]  But then I read the ingredients, and I was blown away.
[01:03:19.235 --> 01:03:20.396]  Listen to this.
[01:03:20.396 --> 01:03:21.657]  Organic pea fiber.
[01:03:21.657 --> 01:03:23.098]  Organic alfalfa leaf.
[01:03:23.098 --> 01:03:24.559]  Organic wheatgrass leaf.
[01:03:24.559 --> 01:03:26.000]  Organic cilantro leaf.
[01:03:26.000 --> 01:03:27.421]  Organic kale leaf.
[01:03:27.421 --> 01:03:28.962]  Organic flax sprout.
[01:03:28.962 --> 01:03:30.583]  Organic quinoa sprout.
[01:03:30.583 --> 01:03:34.025]  Ladies and gentlemen, all of these things are so incredible for your health.
[01:03:34.025 --> 01:03:35.286]  Just one of these ingredients
[01:03:35.486 --> 01:03:37.868]  It can be a life-changing supplement for your health.
[01:03:37.868 --> 01:03:42.613]  And we've packed it all in to fiber green caps at Infowarsstore.com.
[01:03:42.613 --> 01:03:46.517]  So I'm excited to add this to my supplement routine every day.
[01:03:46.517 --> 01:03:48.699]  I suggest that you do the same thing.
[01:03:48.699 --> 01:03:51.462]  And right now, it's at an introductory price of $19.95.
[01:03:51.462 --> 01:03:53.064]  That's 33% off at Infowarsstore.com.
[01:04:04.895 --> 01:04:15.745]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:04:15.745 --> 01:04:16.446]  Welcome back.
[01:04:16.446 --> 01:04:23.492]  We're now into our number two constitutional lawyer, good friend of mine, Robert Barnes, will cover the waterfront with us.
[01:04:23.492 --> 01:04:29.218]  This so-called indictment of Barrick, one of Trump's confidants for lobbying, we're going to get into.
[01:04:30.555 --> 01:04:32.076]  The election fraud information coming up.
[01:04:32.076 --> 01:04:34.457]  Trump's big tech lawsuit.
[01:04:34.457 --> 01:04:35.837]  Is it targeting the right things?
[01:04:35.837 --> 01:04:39.919]  A lot of lawyers I've talked to, including Barnes and others, think no.
[01:04:39.919 --> 01:04:41.200]  I mean, they can always amend it.
[01:04:41.200 --> 01:04:42.340]  We're going to be talking about that.
[01:04:42.340 --> 01:04:50.143]  We're talking about the forced inoculations and the second lockdowns and all the things that are happening with Robert Barnes here in just a few minutes.
[01:04:50.143 --> 01:04:51.144]  But I wanted to
[01:04:52.520 --> 01:05:05.348]  Play you a clip, because I've seen a lot of attacks in the media against myself and against, quote, anti-vaxxers, who are saying that, oh, it's because you won't take the shots that it's, quote, still spreading.
[01:05:05.348 --> 01:05:07.629]  No, they just set the PCR test however they want.
[01:05:07.629 --> 01:05:12.232]  They say people that die of automobile accidents and gunshot wounds have died of COVID.
[01:05:12.232 --> 01:05:21.818]  When Biden got sworn in on January 20th, they had the NIH and the CDC turn the COVID testing
[01:05:23.087 --> 01:05:24.428]  This is a fraud.
[01:05:24.428 --> 01:05:24.989]  This is a fraud.
[01:05:24.989 --> 01:05:31.434]  So I thought that I would show those of you out there, because I see the left saying, oh, the right winger's not taking their shots, even though a lot of left wingers aren't either.
[01:05:44.599 --> 01:05:44.799]  There's
[01:06:10.288 --> 01:06:16.089]  UK researcher over their main science facility says, oh, this actually lowers your immunity, but that's okay.
[01:06:16.089 --> 01:06:18.269]  We'll just give you monthly shots.
[01:06:18.269 --> 01:06:19.290]  That's all coming up.
[01:06:19.290 --> 01:06:20.610]  I mean, this is huge.
[01:06:20.610 --> 01:06:22.210]  The admission, it doesn't work.
[01:06:22.210 --> 01:06:23.210]  It's not a vaccine.
[01:06:23.210 --> 01:06:27.291]  It's a gene therapy that gets rid of your immune system.
[01:06:27.291 --> 01:06:29.111]  Holy hell.
[01:06:29.111 --> 01:06:32.372]  And by the way, that's not even denied.
[01:06:32.372 --> 01:06:38.733]  I found this video last night of the head scientist over all these programs at Pfizer for the UK government that's doing the testing on what happens to those that take the shots.
[01:06:40.066 --> 01:06:47.912]  He's like, yeah, it reduces your immune system the first time you take it to one-sixth of what it was and you'll need vaccines the rest of your life of whatever Pfizer comes up with.
[01:06:47.912 --> 01:06:49.453]  People are like, oh, that's out of context.
[01:06:49.453 --> 01:06:58.160]  I went and read the studies that he heads up at the most prestigious facility in the UK, probably the world.
[01:06:58.160 --> 01:06:59.861]  Let me just give you the name of it since we're on that.
[01:06:59.861 --> 01:07:01.463]  The Francis Crick Institute.
[01:07:02.759 --> 01:07:07.362]  Formerly the UK's Bioweapons Facility, it's their Fort Detrick, Maryland.
[01:07:07.362 --> 01:07:12.966]  But now it has a Francis Crick name, the discoverer of DNA, along with the Watson guy that says blacks aren't humans.
[01:07:12.966 --> 01:07:14.827]  So, this is a really nice group of people here.
[01:07:14.827 --> 01:07:19.711]  Of course, they really say none of us are humans but them, unless you're a sociopath or a psychopath.
[01:07:19.711 --> 01:07:28.317]  So, here's a clip, compilation, of old Alex Jones, back in early 2020, right through into early 2021, telling you what was coming.
[01:07:29.409 --> 01:07:33.492]  See, I didn't just say more lockdowns are coming, the vaccines won't work, it's a fraud.
[01:07:33.492 --> 01:07:34.613]  It's a program.
[01:07:34.613 --> 01:07:35.334]  I already know.
[01:07:35.334 --> 01:07:36.615]  I'm not guessing.
[01:07:36.615 --> 01:07:38.136]  I'm not that smart.
[01:07:38.136 --> 01:07:40.638]  Here it is.
[01:07:40.638 --> 01:07:45.923]  They have never guessed the right flu virus for the mutation of what the main flu is the next year.
[01:07:45.923 --> 01:07:47.244]  And it's always a whole bunch of flus.
[01:07:47.244 --> 01:07:48.765]  Dozens and dozens of them.
[01:07:48.765 --> 01:07:53.409]  And that it does nothing to protect you from the next flu if it's not the exact flu!
[01:07:55.543 --> 01:07:58.604]  That's why they never ask why they don't have a vaccine for the common cold.
[01:07:58.604 --> 01:08:00.045]  Because it's too varied.
[01:08:00.045 --> 01:08:01.505]  Because there's thousands of them.
[01:08:01.505 --> 01:08:03.766]  And because you have to get it exactly right.
[01:08:03.766 --> 01:08:05.367]  And viruses are always mutating.
[01:08:05.367 --> 01:08:07.548]  But you notice they're telling you they've got a vaccine.
[01:08:07.548 --> 01:08:11.349]  They want you willingly to go take whatever it is that's going to be in there.
[01:08:11.349 --> 01:08:13.470]  Now Fauci has come out.
[01:08:13.470 --> 01:08:14.950]  If you just joined us, we're going to play the clip again.
[01:08:14.950 --> 01:08:16.371]  First here in a moment.
[01:08:16.371 --> 01:08:18.792]  And said, hey, we're going to surveil people.
[01:08:18.792 --> 01:08:20.432]  We're going to cycle into other seasons.
[01:08:20.432 --> 01:08:21.733]  Next year you won't be able to go out either.
[01:08:23.024 --> 01:08:31.387]  So they'll run into the middle of summer, and then let you have a month or two, and then clamp it back down, but there'll be special apps they're announcing, you'll be tracked, China was the model.
[01:08:31.387 --> 01:08:35.008]  They're gonna roll it out like they just got these ideas, but it's all pre-planned.
[01:08:35.008 --> 01:08:43.571]  By the Rockefeller Foundation, Bill and Melinda Gates, the tabletop exercises, predicting COVID-19 in November when it was already launched in China.
[01:08:43.571 --> 01:08:51.153]  I think all of you already instinctively know this is the big one, and if we fail this test, we're gonna be ruled by the threat
[01:08:52.330 --> 01:08:55.532]  ...of unending invisible bioweapons.
[01:09:23.407 --> 01:09:30.493]  By the way, if you think that's hardcore prediction all coming true, I war game this so much I see it backwards and forwards.
[01:09:30.493 --> 01:09:31.834]  That's why I'm not bragging.
[01:09:31.834 --> 01:09:38.260]  You know, like, not just General Flynn, former head of Defense Intelligence, listens and says I'm about one of the smartest people he knows.
[01:09:38.260 --> 01:09:43.544]  The agencies all listen around the world because I'm able to integrate all this together and then put out a
[01:09:44.745 --> 01:09:52.693]  Boiled down analysis of it and, uh, man, last night I was in on a brainstorm that was insane.
[01:09:52.693 --> 01:09:55.596]  Hadn't had a cup of coffee since about two o'clock during the day.
[01:09:57.398 --> 01:10:05.782]  It had dinner, hadn't been drinking, was just clear as the clearest blue sky, and I saw the whole operation.
[01:10:05.782 --> 01:10:11.385]  And now I'm just trying to process the next leg of it to try to tell you what's coming next.
[01:10:11.385 --> 01:10:13.586]  But anybody that's immersed themselves in this would know it.
[01:10:13.586 --> 01:10:14.426]  We're going to go to break.
[01:10:14.426 --> 01:10:19.629]  I'm going to come back with Robert Barnes for the rest of the hour, constitutional lawyer, get his take on the COVID rollout, how we fight it, how we stop it.
[01:10:21.016 --> 01:10:24.259]  Australia Today, The World Tomorrow, The Globalist admits they're model.
[01:10:24.259 --> 01:10:30.325]  Australian PM says unvaccinated people need to be controlled and restricted.
[01:10:30.325 --> 01:10:32.126]  That's what they're all saying.
[01:10:32.126 --> 01:10:37.751]  Anger in Australia is almost half a population locked down yet again amid slow vaccine rollout.
[01:10:37.751 --> 01:10:39.733]  So you won't take your shot, you're locked down again.
[01:10:39.733 --> 01:10:39.793]  But
[01:10:43.226 --> 01:10:44.767]  They admit that almost no one's died.
[01:10:44.767 --> 01:10:47.249]  10 people in the last six months.
[01:10:47.249 --> 01:10:49.930]  Lockdowns, mask mandates, and new vaccine rules.
[01:10:49.930 --> 01:10:52.852]  Here's the latest COVID-19 news across Australia.
[01:10:52.852 --> 01:10:53.673]  See, it never ends.
[01:10:53.673 --> 01:10:58.216]  Once you submit, once you get into it, this cult of scientists are into power.
[01:10:58.216 --> 01:11:01.898]  They will never let you out of the trap.
[01:11:01.898 --> 01:11:04.720]  Australia under lockdown sees worrying jump in COVID cases.
[01:11:04.720 --> 01:11:07.682]  Not deaths, just their fake PCR machine.
[01:11:07.682 --> 01:11:11.264]  I mean, you think a Las Vegas slot machine's rigged?
[01:11:11.264 --> 01:11:12.365]  You ain't seen nothing yet.
[01:11:13.911 --> 01:11:25.441]  Australian leaders are also saying, and here she is, COVID deaths in the entire continent of Australia in the last 30 days are three!
[01:11:25.441 --> 01:11:27.502]  And most of them had heart attacks, cancer, you name it.
[01:11:27.502 --> 01:11:28.363]  It's not even real.
[01:11:28.363 --> 01:11:30.605]  But here she is, let's play a clip of her again.
[01:11:30.605 --> 01:11:35.189]  Top health officer orders Australians don't have a conversation with each other.
[01:11:35.189 --> 01:11:38.812]  What did the head health minister in Canada say two weeks ago?
[01:11:40.373 --> 01:11:46.716]  He said, we don't want people to have rallies, we want the lockdown to continue so they don't demonstrate and organize against us.
[01:11:46.716 --> 01:11:48.237]  They're externalizing the method.
[01:11:48.237 --> 01:11:53.339]  They're so normal in this that they're establishing a dictatorship that they're just saying it.
[01:11:53.339 --> 01:11:54.600]  Don't talk to your neighbor!
[01:11:55.896 --> 01:11:57.957]  Burn in hell!
[01:11:57.957 --> 01:12:00.118]  The suicides are in the millions now.
[01:12:00.118 --> 01:12:01.959]  Millions have died from non-medical treatment.
[01:12:01.959 --> 01:12:03.320]  Insurance companies love that.
[01:12:03.320 --> 01:12:04.320]  Not giving treatment.
[01:12:04.320 --> 01:12:05.941]  I mean, this is mass murder.
[01:12:05.941 --> 01:12:12.685]  But here they are, oh, using a woman as always the front rib, because we genetically don't see a woman as an assaulter, as a soldier.
[01:12:12.685 --> 01:12:13.885]  She is a soldier.
[01:12:13.885 --> 01:12:14.646]  So, in...
[01:12:15.766 --> 01:12:16.747]  Canada.
[01:12:16.747 --> 01:12:18.308]  In Alberta.
[01:12:18.308 --> 01:12:19.108]  In Australia.
[01:12:19.108 --> 01:12:20.189]  It's all happening.
[01:12:20.189 --> 01:12:26.793]  Here she is, the cult leader, saying, don't talk to your neighbor until you've taken your secret shot and then that's not even good enough.
[01:12:26.793 --> 01:12:27.873]  Still wear your mask.
[01:12:27.873 --> 01:12:28.274]  Here it is.
[01:12:29.409 --> 01:12:39.897]  Whilst it is in human nature to engage in conversation with others, to be friendly, unfortunately this is not the time to do that.
[01:12:39.897 --> 01:12:52.908]  So even if you run into your next-door neighbour in the shopping centre, in the Coles, whilst you're at Coles Warriors or Aldi or any other grocery shop, don't start up a conversation.
[01:12:52.908 --> 01:12:56.951]  Now is the time for minimising your interactions with others.
[01:12:56.951 --> 01:12:58.032]  Even if you've got a mask,
