[00:00.000 --> 00:14.000]  Waging War on Corruption, it's Alex Jones
[35:04.000 --> 35:09.000]  Stock surged as trading floors watched breaking info wars video
[35:09.000 --> 35:16.000]  It was two weeks old and wrong, yes what was breaking is the memo and so it contradicted it and no one had pointed it out
[35:16.000 --> 35:21.000]  Yes breaking, breaking, continuing
[35:21.000 --> 35:31.000]  As a video circulated that appeared to partially absolve President Donald Trump and the administration's Russian meddling scandal on trading floors Thursday
[35:31.000 --> 35:36.000]  Stock surged for the first time in days on the apparent breaking news
[35:36.000 --> 35:41.000]  See how horrible info wars is just trying to have the country be successful by telling the truth
[35:41.000 --> 35:47.000]  The video it turns out was actually two weeks old, misleadingly edited
[35:47.000 --> 35:53.000]  With the intention of falsely accusing former FBI Director James Comey of perjury
[35:53.000 --> 36:00.000]  No, we said he's committing perjury or the memo doesn't exist or is a lie, that's clear
[36:00.000 --> 36:07.000]  It's called deductive reasoning and was initially aired by conspiracy website info wars on Thursday around noon
[36:07.000 --> 36:16.000]  Ooh, oh they caught us out in public pointing out hey look this video from a few weeks ago has him contradicting him from two months ago
[36:16.000 --> 36:22.000]  That's totally pertinent, they go what do we do about logic, just change the subject, just call Alex a liar when they're the liars
[36:22.000 --> 36:29.000]  This is incredible, it's not about us folks, it's about them trying to plunge the stock market and thinking you're so stupid that if someone says two months ago
[36:29.000 --> 36:34.000]  Trump tried to influence them secretly and then two months later they're in front of Congress saying it never happened
[36:34.000 --> 36:38.000]  He's lying, we have him red-handed
[36:38.000 --> 36:42.000]  But see they can't let us have the victory so they have to play a mind game and go that's all fake
[36:42.000 --> 36:47.000]  Yes the video says that but just don't worry about it
[36:47.000 --> 36:52.000]  It goes on, Trump wasn't cleared, in fact, oh they used the word in fact
[36:52.000 --> 36:56.000]  In fact the moons made of cheese, since the video had been around since May 3rd
[36:56.000 --> 37:02.000]  Oh, nothing had changed at all except there was a brand new memo out
[37:02.000 --> 37:08.000]  An old memo we can't see, but see in the space time continuum it's supposedly from February
[37:08.000 --> 37:14.000]  Oh but we, oh I'm able to have a memory, I know that February's before May so I'm a conspiracy theorist
[37:14.000 --> 37:19.000]  By the time the traders found out the dollar index had spiked anyways
[37:19.000 --> 37:23.000]  Oh by the time they found out that it was from May 3rd it spiked
[37:23.000 --> 37:28.000]  Oh that evil Alex Jones, oh that evil Kit Daniels, that evil info wars
[37:28.000 --> 37:36.000]  He believed how dirty we are folks, promoting freedom, national sovereignty, free market, second amendment, religious freedom
[37:36.000 --> 37:45.000]  Thank God Stephen Colbert spent 10 minutes lying about me on Friday night saying I lie to people and I'm a horrible person
[37:45.000 --> 37:53.000]  And I lie to people for a living, no you read off a teleprompter and you're a liar and you lie for a living
[37:53.000 --> 37:58.000]  And so does the Daily Beast, you're a joke, it's why you're falling apart
[37:58.000 --> 38:02.000]  The fallout of the story is leaving analysts wondering how to absorb information
[38:02.000 --> 38:10.000]  Oh my gosh, in a market that is suddenly waiting on bated breath for the latest rumors to come true out of the White House
[38:10.000 --> 38:15.000]  Or even where those rumors are intentionally misleading or untrue
[38:15.000 --> 38:21.000]  We played a clip of the FBI director two months after he wrote a memo saying Trump influenced him
[38:21.000 --> 38:25.000]  Or tried to influence him, obstruction of justice, saying it never happened
[38:25.000 --> 38:31.000]  That's important, it impedes him now bringing the memo out two months later that they won't show us
[38:31.000 --> 38:35.000]  They won't show us a memo, we've got public statements of him contradicting the memo
[38:35.000 --> 38:43.000]  Two months after it's supposedly written, that's fake news, that's like Muhammad Ali winning his first Heavyweight championship
[38:43.000 --> 38:49.000]  And then they go, look at him he's pathetic, he loses it, you're like he's the worst boxer in the world
[38:49.000 --> 38:53.000]  You fake news, you're like he just won, no he didn't, he won but it's fake
[38:53.000 --> 38:47.000]  It's like...
[38:47.000 --> 38:51.040]  He's the worst boxer in the world. You fake news. You're like he just won. No, he didn't
[38:51.560 --> 38:54.200]  He won, but it's fake. It's it's like
[38:58.400 --> 39:03.840]  So saying Meryl Monroe has blonde hair. No, she does it. It's green. You're fake news
[39:07.520 --> 39:12.080]  You can keep your doctor obamacare is free. Thank God. You're so dumb. That's a real quote from Gruber
[39:12.080 --> 39:17.400]  Just thank God you're so dumb. Well, I don't think you're dumb. Maybe I'm wrong. Maybe maybe the Daily Beast is right
[39:17.400 --> 39:19.400]  You are idiots
[39:20.680 --> 39:27.200]  Even though those rumors were intentionally misleading or untrue. Yeah, the rumors, uh-huh the market is used to
[39:27.760 --> 39:34.720]  Trading on rumors. There's always rumors of takeovers or bankruptcies in those situations when you bet on a rumor you lose big time
[39:34.720 --> 39:40.520]  Adam Button the chief currency analyst of 4x live told the Daily Beast
[39:40.520 --> 39:46.080]  But don't worry they were able to tap down the clip of him contradicting himself from two months before and
[39:46.640 --> 39:49.080]  And they were able to get that market down. So don't worry
[39:49.480 --> 39:56.600]  Your pension funds may go down the country may go belly up. Don't worry. The globalists are trying to make sure you don't have a future right now
[39:56.600 --> 39:58.600]  Okay, they're working hard
[39:58.600 --> 40:00.600]  Those they may stop us. Don't worry
[40:00.600 --> 40:06.400]  But in the chief currency and analyst of 4x live told the Daily Beast with political rumors
[40:06.640 --> 40:08.640]  They don't have to be true
[40:08.640 --> 40:11.760]  And they keep saying I'm a liar. I'm a liar. I'm a liar never showing it
[40:12.440 --> 40:14.440]  In other words, the news can be fake
[40:14.440 --> 40:18.120]  But the rally it creates in the stock market is very real
[40:18.600 --> 40:23.200]  Button who was one of the first to trace the bump in American dollar back to info wars on Thursday
[40:23.800 --> 40:26.360]  Let's see. We have no power. We're nobody though. That's right
[40:26.360 --> 40:31.320]  We need to be shut down immediately though because God forbid we break stuff because you know, we'll see the guy
[40:31.640 --> 40:35.160]  Contradicting himself two months later. We think that's important. You think that's important
[40:35.160 --> 40:41.120]  But see they don't want you to see that. That's why we need to be sued into oblivion and shut down because you know
[40:41.880 --> 40:43.880]  We're loyal to the truth
[40:44.440 --> 40:46.440]  I'm really loyal the truth
[40:46.880 --> 40:54.480]  In an unprecedented time the markets getting a taste of what post truth world looks like where we can finally challenge the liars and MSM
[40:54.480 --> 40:57.200]  Yeah, that's the post truth world button said
[40:57.720 --> 41:05.000]  An info or segment an article posted around noon title breaking comey caught committing perjury to Congress shows comey saying he has not
[41:05.000 --> 41:08.920]  Been pressured to close an investigation. He wanted to say by anybody
[41:10.120 --> 41:15.760]  They then spin it to go but the deception was him. Jones didn't point out in the video. They were talking about the attorney general
[41:15.760 --> 41:20.000]  We played that part. We played at you lying sacks of manure
[41:20.000 --> 41:24.240]  God these people are pathetic. Excuse me. I don't mean these lords
[41:25.520 --> 41:30.480]  Yes, I'm getting angry because they're just such trash. I mean what the hell excuse me
[41:32.360 --> 41:36.000]  The clip on info wars amidst the question asked by Hawaii senator
[41:36.560 --> 41:43.680]  Maisie Hirono especially asked comey the Attorney General Department of Justice has asked him to close investigation and doesn't mention President Trump
[41:43.680 --> 41:51.600]  What we that's the clip the clip they say has the Attorney General or anybody try to do this and he's he says he says no one
[41:51.720 --> 41:55.920]  No one has we take it really serious. No one chew it up again
[41:56.920 --> 41:58.920]  And then they say that we lied
[41:59.640 --> 42:01.640]  And did not show it
[42:02.320 --> 42:04.320]  Even though they linked to the article that shows that
[42:04.920 --> 42:06.920]  Here is the clip
[42:07.160 --> 42:10.440]  So if the Attorney General or senior officials at the Department of Justice
[42:10.440 --> 42:16.320]  Opposes a specific investigation. Can they halt that FBI investigation?
[42:17.240 --> 42:19.240]  In theory. Yes
[42:19.800 --> 42:21.640]  Has it happened?
[42:21.640 --> 42:27.280]  Not in my experience because it would be a big deal to tell the FBI to stop doing something that
[42:27.560 --> 42:33.360]  Without a appropriate purpose. I mean we're oftentimes they give us opinions that we don't see a case there
[42:33.360 --> 42:35.360]  And so you ought to stop investing resources in it
[42:35.360 --> 42:41.000]  But I'm talking about a situation where we were told to stop something for a political reason. That would be a very big deal
[42:41.280 --> 42:47.360]  It's not happened in my experience. It says info wars omitted that no you are frauds you are liars
[42:47.480 --> 42:53.160]  You are the definition of anti-american trash. You make the old soviet problem look truthful all of you
[42:53.160 --> 42:56.560]  I can't cover all the lies because everything's like this these people
[42:57.440 --> 43:01.880]  Men give your body the support it needs with info wars life prostiguard
[43:01.880 --> 43:06.360]  It's time to start assisting the body in regulating proper prostate balance
[43:06.720 --> 43:08.720]  Info wars life has set out to bring you
[43:08.960 --> 43:11.280]  Formulations that are not only the highest quality out there
[43:11.280 --> 43:17.560]  But formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend
[43:17.760 --> 43:22.680]  The prostiguard formula does just that with this mixture of plant-based nutrients and
[43:23.240 --> 43:28.600]  Antioxidants that help give your body total support. It's a hand-selected blend of saw palmetto
[43:28.600 --> 43:33.120]  Lycopene plant sterols zinc vitamin D3
[43:33.560 --> 43:35.480]  Selenium and copper
[43:35.480 --> 43:39.920]  Prostiguard is something that the men on the info wars crew take every day and from our research
[43:39.920 --> 43:45.760]  It's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels
[43:45.880 --> 43:51.160]  Now's the time to start naturally supporting your body get prostiguard on your side today
[43:51.160 --> 43:59.120]  Exclusively at info wars life calm. That's info wars life calm the
[43:59.120 --> 44:03.840]  Life has five star ratings on major third-party sites because I want products. I'm gonna use for my family
[44:03.840 --> 44:09.360]  I take this my family takes this and then it funds the operation with the most hardcore truthful information
[44:09.360 --> 44:10.160]  You're gonna find anywhere
[44:10.160 --> 44:16.080]  So what you find in our news is the same thing you find in our products at info wars life calm if I ever forget to take
[44:16.080 --> 44:24.080]  Um, like I'll I'm having noticeable difference. I don't feel good the nascent iodine is one of the ones that was life-changing for me
[44:24.080 --> 44:26.920]  Yeah, I've actually have just run out of my super female
[44:26.920 --> 44:32.120]  I had a few bottles at my house and I've been taking it again hitting the gym once again
[44:32.520 --> 44:36.600]  Very exciting feeling great looking good. Oh, and I know my hair is
[44:38.120 --> 44:43.400]  Luxurious once again, so obviously the super female is amazing. I love it nascent iodine is
[44:43.400 --> 44:50.040]  Essential survival shield x2 if there's one product that I would say is life-changing that I would suggest it's nascent iodine
[44:50.600 --> 44:55.960]  Survival shield x2. It's got a five star rating. It's a win-win info wars life calm
[44:58.800 --> 45:05.720]  Today we call it bone broth and for thousands of years our ancestors enjoyed its benefits before it became lost to our modern
[45:05.720 --> 45:13.760]  Diets of processed junk. We are now introducing caveman by info wars life calm the ultimate in true paleo nutrition with bone broth to
[45:13.760 --> 45:20.880]  Merrick root chaga mushroom and seven total primal superfoods in a single great tasting formula caveman
[45:20.880 --> 45:26.200]  It's those people living in the wilds having to actually build civilization that are our superior ancestors
[45:26.200 --> 45:28.400]  And we need to do everything we can to recapture that
[45:28.720 --> 45:34.040]  Everyone knew that you used all the parts of the animal you use the meat for sustenance the fat for cooking
[45:34.040 --> 45:41.960]  But you use the bones for strength from the outside structure full of minerals and Kiko factors to the marrow that produces the blood for the
[45:41.960 --> 45:44.740]  Body, this is the engine of the life essence
[45:44.740 --> 45:49.780]  I'm a long way from the caveman my ancestors were but I'm sure as hell trying to get back to that
[45:49.920 --> 45:56.360]  Essence that made us what we were and this is a big part of it. I know you're gonna want to check out caveman ultimate paleo formula for yourself
[45:56.360 --> 46:03.640]  And for worse life.com today. I want to encourage all of you to remember how high the stakes really are right now in the battle for
[46:03.640 --> 46:06.320]  Freedom and the information war is paramount
[46:06.320 --> 46:12.220]  That's why it's more important than ever that you spread the word about info wars.com and send out the links so people can watch the free
[46:12.220 --> 46:17.720]  Feeds and get the free podcast and download the free iPhone Android apps at info wars.com forward slash show
[46:17.720 --> 46:24.840]  It is critical that we've able to email you when we're being cyber-attacked or shut down sign up to get our email alerts at info wars.com
[46:24.840 --> 46:31.240]  Forward slash newsletter and finally we have launched our new free app at info wars.com forward slash app
[46:31.240 --> 46:36.680]  You can download it on iPhone Android once you've downloaded the free app at info wars.com forward slash app
[46:36.680 --> 46:40.600]  You can then have you choose pay 495 a month to get info wars prime
[46:40.600 --> 46:48.040]  We produce documentaries special reports live events and so much more on a daily and weekly basis just for prime members
[46:48.040 --> 46:54.480]  We also have daily specials sometimes as much as 50% off for members of info wars prime info wars has come a long way
[46:54.480 --> 47:01.720]  And info wars prime is just one more weapon in the fight for liberty
[47:01.720 --> 47:04.600]  You're listening to the Alex Jones show
[47:04.600 --> 47:20.360]  You're listening to the antidote for fake news it's Alex Jones
[47:34.600 --> 47:45.520]  All right folks we are back live I'm gonna open the phones up in the second hour I'm gonna play excerpts
[47:46.600 --> 47:51.760]  President Trump's speech in Riyadh Saudi Arabia very historic if you my different angles on that did he battle the king or did he not
[47:52.200 --> 47:57.920]  We're gonna go over that he didn't do it like Obama did from the waist down, but he did curtsy. We're gonna discuss that
[47:59.040 --> 48:01.240]  But I've got to just put bookends on this
[48:01.240 --> 48:05.040]  Before we go any further and I'm gonna give you the numbers he can join us on air
[48:05.920 --> 48:12.400]  It isn't making me mad that Stephen Colbert who poses as an as a comedian who really is an
[48:13.120 --> 48:19.480]  Actor who is playing the part of a newscaster so he can get away with deceiving people gets up there and lies about me
[48:19.480 --> 48:23.200]  And what I've said what I've done. I mean it's whole cloth just none of it's even true
[48:23.200 --> 48:33.120]  And then he says things that I've reportedly done that aren't even true as well. It's just it's just crazy
[48:34.320 --> 48:36.320]  It's absolutely crazy
[48:36.480 --> 48:41.280]  How they operate the whole shabani yogurt thing they want a confidentiality in the settlement
[48:41.800 --> 48:46.160]  And then Colbert's up there saying I paid all this money also the stuff and I'm sitting there
[48:46.720 --> 48:51.400]  Watching coordination in the media within five minutes of the settlement coming out last week
[48:51.400 --> 48:56.240]  With what was in the settlement at least parts of it already out in the news and I'm supposed to sit here
[48:56.240 --> 48:58.240]  While people are saying things that aren't true
[48:58.320 --> 49:00.320]  It's just crazy
[49:00.320 --> 49:02.320]  And so they're just sitting there waiting
[49:03.400 --> 49:06.480]  Into my Twitter feed for us to send out a link to somebody's article
[49:07.920 --> 49:12.800]  Saying that a particular company brought in migrants that ended up doing bad things when excuse me
[49:12.800 --> 49:18.640]  It's the UN and the globalists that bring them in it's not the company officially so I clarify that
[49:18.640 --> 49:20.640]  and
[49:20.920 --> 49:23.320]  Then oh I admit I'm fake news and
[49:24.520 --> 49:29.840]  Then he goes on air and says a bunch of things I never said I'm tough but for I hate gay people
[49:30.600 --> 49:34.440]  And I admit that's wrong now never said that and he did the same stuff
[49:34.440 --> 49:38.960]  He does over and over again, so it's interesting. Can he hide behind saying he's a comedian?
[49:39.760 --> 49:45.200]  To then play a part who's Alex Jones and say things that aren't true
[49:45.200 --> 49:50.640]  I'm gonna go to Paul watch this report here in a moment, but getting back to the Daily Beast
[49:51.960 --> 49:55.920]  Alex Jones didn't show the part where they said that they asked if the Justice Department had done it
[49:56.920 --> 50:01.520]  Well the clip we had in the article. It was just played has that the article they linked to has that
[50:02.480 --> 50:06.040]  They go and it's an old clip because it was a clip that came months after the memo
[50:06.400 --> 50:07.920]  Showing that months after the memo
[50:07.920 --> 50:12.960]  He said no one tried to influence him and then he says no one no one no one not just the Justice Department
[50:12.960 --> 50:19.440]  No, one's tried that he clearly says the president everybody no one no one no one means no one I
[50:20.800 --> 50:26.600]  Know you call that being conspiracy terrorists that I have common sense, but no one means no one I'll stand on that
[50:28.560 --> 50:34.080]  So it just shows how they're praying on their viewers and breaking the public trust and think you're so stupid
[50:34.240 --> 50:40.520]  Everything they say is a massive lie and I can't counter it all there's hundreds of them. They're all like this
[50:40.520 --> 50:42.520]  It's all just incredible
[50:43.000 --> 50:47.640]  Jones loves David Duke David Duke hates me go to his website
[50:47.640 --> 50:51.800]  It's it call it they have no proof of me ever saying that they just say he loves David Duke
[50:51.800 --> 50:55.420]  He hates black people. He doesn't like Obamacare. I'm Rachel Maddow
[50:56.360 --> 50:59.240]  Those are quotes and my lawyers go. Yeah, you can sue them and win, but I
[51:01.200 --> 51:07.080]  Guess I just I just I just have to start suing everybody. I guess like they do I just because it's just it's crazy
[51:07.080 --> 51:09.080]  How they lie it just gets worse and worse
[51:09.080 --> 51:10.160]  I
[51:10.160 --> 51:13.120]  Want to air Paul Watson's report. It's very powerful. We had great products
[51:13.120 --> 51:16.120]  We do support more than ever just spread the articles the videos the links they hate us
[51:16.120 --> 51:20.640]  You know because we're trying to prop the stock market up with the truth. We're so horrible and we have new EmRick's essentials
[51:21.240 --> 51:28.080]  Six new great products a big national brand. They allow us to private label it. It's incredible quality. It's organic mouthwash 10 to 1
[51:29.000 --> 51:31.000]  shampoo body wash deodorant
[51:31.360 --> 51:35.600]  Incredibly high-quality natural anti bug spray. It's actually cream
[51:35.600 --> 51:41.440]  I'm totally natural and also we've got the SPF 30 from the natural high quality zinc
[51:42.280 --> 51:46.680]  Oxide that is not nano. So it's not toxic. This is what I personally use for my family
[51:46.680 --> 51:53.520]  It's a big national leading brand 20% off when you order it from info or store.com now private labeled under EmRick's essentials
[51:53.760 --> 51:56.560]  That's my middle name is EmRick and then of course
[51:56.560 --> 52:06.360]  You can also get 25% off additional when you sign up for auto ship at info wars life.com or triple a 253 3 1 3 9
[52:06.360 --> 52:09.280]  Now in closing so I'm gonna go to this important report by Paul Watson
[52:10.320 --> 52:17.160]  The globalist aren't just trying to stop plugs the stock market. They're trying to cause economic turmoil to bring in
[52:18.600 --> 52:23.760]  Racial and religious unrest to then bring in a global police state and a new international order
[52:23.760 --> 52:29.360]  That's their admitted plan by Soros and others and so to bring down trumpet to bring on other nationalists in the UK
[52:29.360 --> 52:36.400]  The globalists are admitting a plan to foment more cop killing more race war more garbage going into this summer
[52:36.400 --> 52:40.120]  Here's Paul Joseph Watson info wars.com editors report
[52:40.120 --> 52:54.800]  All signs are pointing to a summer of rage that could see nationwide anti-trump protests boil over into full-blown
[52:55.480 --> 53:03.480]  Violent riots the deep state the Democratic Party establishment Republican insiders and the mainstream media are all hysterically pushing the notion that
[53:03.480 --> 53:10.960]  Trump is illegitimate the impeachment proceedings are inevitable that Trump committed a crime by blocking Comey's FBI investigation
[53:10.960 --> 53:14.200]  Despite the fact that Comey admitted under oath that no FBI
[53:14.680 --> 53:20.680]  Investigations have ever been blocked situation where we were told to stop something for a political reason. That would be a very big deal
[53:20.960 --> 53:22.640]  It's not happened in my experience
[53:22.640 --> 53:29.440]  But facts don't matter narrative matters and the narrative is clearly to manufacture a constitutional crisis
[53:29.440 --> 53:36.040]  Followed by a coup d'etat. This will radicalize the violent alt left to engage in massive domestic disorder
[53:36.520 --> 53:43.520]  Emboldened by the belief that they are bravely resisting an actual tyrant left badly wants to remove Donald Trump from office
[53:43.520 --> 53:47.400]  Not with votes in the next presidential election as you typically see in working democracies
[53:47.440 --> 53:51.840]  But they want to remove him right now today indeed the left has grown so impatient
[53:52.320 --> 53:58.120]  Much more than ever that it is now unable to acknowledge the basic legitimacy of any government act. They disagree with
[53:58.120 --> 54:03.160]  Every executive order is a new opportunity to demand massive resistance to the law itself
[54:03.160 --> 54:10.000]  When could the flashpoint take place the New York Times reports quote liberals are planning a series of nationwide protests on July
[54:10.000 --> 54:15.480]  The second known as impeachment marches to increase the pressure in preparation for this left
[54:15.480 --> 54:20.920]  This are attending summer resistance camps generously bankrolled by the DNC
[54:20.920 --> 54:27.360]  Is this the day when the saw Ross controlled agitators will be activated to cause mayhem now beneath all of this?
[54:27.360 --> 54:33.200]  Which is it's the monster under the bed. It's the threat of violence at this stage only the fringes are calling for that
[54:33.200 --> 54:37.080]  But the rest of us know it's there we can feel it sometimes especially recently
[54:37.080 --> 54:42.400]  We can see it and that is the end or the beginning of it violence is what separates politics from war
[54:42.400 --> 54:48.880]  It's the point where hurt feelings become dead bodies the point at which countries become ungovernable rally organizers have made it clear
[54:48.880 --> 54:55.600]  They literally think Trump is a dictator and are staging this nationwide event to quote get him out now
[54:55.600 --> 55:03.680]  Another militant leftist group bam claim they're fighting a fascist movement and that quote Trump must go by any means
[55:04.040 --> 55:07.880]  Necessary this is what they're going into schools and telling young people
[55:16.520 --> 55:23.760]  They literally claim quote the future existence of humankind is at risk if Trump stays in power
[55:23.760 --> 55:32.480]  This is how unhinged these lunatics are they want to quote shut down entire cities to quote drive Trump out of power
[55:32.600 --> 55:38.840]  To overthrow him they openly denounce quote liberal tactics of electoral engagement
[55:38.840 --> 55:44.480]  This group has previously been discussed by the FBI in the context of alleged links to terrorist
[55:44.960 --> 55:51.800]  Organizations at a rally in Sacramento last year 10 people were hospitalized with stab wounds as a result of violence
[55:51.800 --> 56:00.400]  Initiated by members of BAM. These are the same people who were involved in the Berkeley riots and the riots in airports over the travel ban
[56:00.680 --> 56:07.600]  Imagine Berkeley, but nationwide in dozens of major cities all on the same day
[56:08.080 --> 56:09.800]  Imagine the chaos
[56:09.800 --> 56:15.880]  Demonstrations are also set to take place in over 90 cities on June the 3rd to protest against Russian
[56:15.880 --> 56:23.720]  Interference in the US election for which there's no evidence whatsoever other than a relentless stream of hysteria as Tucker Carlson exposed
[56:23.920 --> 56:30.760]  Prominent leftists are also refusing to condemn violence when asked endorsing violence is that's the line and she crossed it
[56:30.840 --> 56:33.800]  Right. Well, I don't know if we'd have our current president if that was the line
[56:33.800 --> 56:38.680]  She has a right to say what she thinks is that a legitimate tactic to smash windows
[56:38.680 --> 56:42.920]  It's not an effective tactic. It's a legitimate more. That's up to the people who organize it. So it's okay
[56:42.920 --> 56:46.600]  There are times when using violence. I never use violence. We've never had the gay
[56:46.600 --> 56:51.920]  I'm asking a philosophical question and I'm saying I can't answer every question when violence is a personal or not
[56:52.080 --> 56:59.400]  Every time leftists rioted and violently attacked Trump supporters both before and after the election the media labeled it a
[57:00.400 --> 57:08.460]  Demonstration by legitimizing destructive chaos as a valid form of protest the anti-trump establishment media is legitimizing total
[57:08.460 --> 57:14.940]  Anarchy they're encouraging it Maxine waters the leading voice for the impeachment of Donald Trump
[57:14.940 --> 57:19.340]  impeachment impeachment impeachment impeachment impeachment impeachment impeachment impeachment is also legitimizing
[57:19.940 --> 57:21.940]  violent riots she called the
[57:22.500 --> 57:24.500]  1992 la riots an
[57:25.140 --> 57:34.940]  Insurrection a rightful demand for justice more than 50 people killed over a full video on info wars comms called summer rage mass riots in
[57:34.940 --> 57:40.100]  July hour number two straight ahead with your phone calls and breaking analysis stay with us and please spread the word
[57:40.100 --> 57:45.980]  They're trying to shut us down. They're failing, but it's up to you to defeat them. You are the engine of info wars. I salute you
[57:47.220 --> 57:52.820]  After being sold out for months our best-selling super blue fluoride toothpaste is now back in stock info or store.com
[57:52.940 --> 57:56.660]  Research across the board is clear when bacteria infects your gums
[57:56.660 --> 58:00.140]  It can enter your bloodstream and even contribute to blood clots and heart attacks
[58:00.140 --> 58:07.380]  That's why the last surgeon general's report on oral health warns that your oral health can have a serious impact on your entire body
[58:07.540 --> 58:12.940]  Super blue fluoride free toothpaste is a groundbreaking new formula. It's loaded with good halogen iodine
[58:12.940 --> 58:20.060]  So the bad halogen fluoride super blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria
[58:20.260 --> 58:26.140]  And eliminate bad breath just some of the ingredients in super blue chosen by our dental experts include xylophone
[58:26.140 --> 58:31.660]  peppermint oil iodine nano silver and more due to requests from listeners who found that
[58:31.780 --> 58:34.180]  Spearmint was a little bit too strong for some of their children
[58:34.180 --> 58:39.820]  We have created the new bubblegum flavored super blue that is spearmint free learn more about the new bubblegum flavor
[58:39.820 --> 58:46.220]  Super blue toothpaste and more and info wars life.com and support the info war while you support healthy gums and teeth
[58:48.260 --> 58:54.700]  I am very proud to announce the introduction of the highest quality info wars biome defense
[58:54.700 --> 59:00.780]  Probiotic we wanted to come out with the largest spectrum of high quality known
[59:01.900 --> 59:03.900]  probiotics that have been proven to
[59:04.740 --> 59:09.340]  improve overall digestion and health and detoxification in the body
[59:10.180 --> 59:16.340]  Biome defense is an exclusive blend of 50 billion live and active cultures from over 23
[59:16.460 --> 59:21.660]  Different probiotic strains that are known to support digestion and intestinal function
[59:21.660 --> 59:28.260]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market
[59:28.860 --> 59:36.740]  Secure your biome defense in ultra strength or regular strength at info wars life.com today and get started supporting your digestive system
[59:36.860 --> 59:41.980]  Naturally, we've been testing this formula for years, but this is the limited first run to the public
[59:41.980 --> 59:46.180]  So please take advantage of it today support your own health and support the info war
[59:46.180 --> 59:54.140]  You're listening to the Alex Jones show
[1:00:00.100 --> 1:00:05.220]  From the front lines of the information war it's Alex Jones
[1:00:05.220 --> 1:00:16.660]  Well, I saw Trump declare war on radical Islam from the heart
[1:00:18.300 --> 1:00:23.340]  From the nerve center of radical Islam where Saudi Arabia oppresses it controls it
[1:00:23.900 --> 1:00:27.940]  Radicalizes it and then focuses it like a bullet out of a barrel
[1:00:27.940 --> 1:00:34.660]  You say, well, how can they be behind it? But then it's one of their biggest enemies because it's the monster. They keep down in the basement
[1:00:35.220 --> 1:00:37.220]  So I'm gonna open the phones up
[1:00:37.700 --> 1:00:39.700]  for first-time callers
[1:00:40.580 --> 1:00:42.420]  Specifically on Saudi Arabia
[1:00:42.420 --> 1:00:46.940]  Well, you think it's a master stroke Trump going over there and making the United States 350 billion dollars and
[1:00:47.380 --> 1:00:52.260]  Getting all the other Arab countries and African countries that are Islamic to vote to create a new digital system
[1:00:52.260 --> 1:01:00.180]  To watch the currency trading of the terrorist organizations and to have a partnership with Trump the United States and Saudi Arabia
[1:01:00.180 --> 1:01:04.340]  And to have Israel give concessions for a new peace deal where Trump's about to go to Israel
[1:01:04.340 --> 1:01:10.340]  Let's try to actually in the Arab Spring and actually try to bring order to the region by defeating al Qaeda and ISIS
[1:01:11.420 --> 1:01:13.420]  Because that's how you go and you broker
[1:01:14.180 --> 1:01:18.900]  That's how you come with a big stick, but you walk softly steady Roosevelt said walk softly
[1:01:18.900 --> 1:01:21.460]  Let's carry a big stick. I
[1:01:24.100 --> 1:01:27.380]  Know that Trump has the globalist against him the current special interest
[1:01:27.380 --> 1:01:31.940]  I know he's gotten three trillion the stock market. They're trying to reverse that right now and three trillion
[1:01:32.500 --> 1:01:39.020]  300 billion in new jobs and all the rest the numbers we all know about the good Supreme Court nominee and a lot of other positive things killing TPP
[1:01:39.020 --> 1:01:41.020]  The list goes on and on
[1:01:41.580 --> 1:01:43.580]  But I'm not religiously behind Trump
[1:01:43.580 --> 1:01:48.860]  I mean, let me tell you him criticizing Obama for bowing from the waist. He did it many times though and
[1:01:51.940 --> 1:01:53.460]  Then
[1:01:53.460 --> 1:01:55.260]  curtsy a little bit
[1:01:55.260 --> 1:01:59.300]  That made me a little bit nauseous, but but I get it. He's taller than the king
[1:02:00.260 --> 1:02:04.020]  Kings an old man. He's got to get down to put it on. He didn't bow from the waist
[1:02:04.740 --> 1:02:09.020]  He just curtsy who would come up with who would think to be like that? That's only Trump
[1:02:09.020 --> 1:02:14.020]  He's being you know, I mean, what are you supposed to do? He doesn't he just curtsy the guy could put it down over to say
[1:02:14.020 --> 1:02:16.020]  He just bent from the knees
[1:02:16.460 --> 1:02:19.100]  And he went out let the guys wave the swords around and did it all
[1:02:19.900 --> 1:02:26.260]  Which I find to be very very ridiculous, but cute. I mean, you know, oh Trump bowed down
[1:02:26.620 --> 1:02:28.300]  leaned over second put a
[1:02:28.300 --> 1:02:30.820]  Award around his neck at the black church. Nobody's thought of that
[1:02:30.820 --> 1:02:36.180]  Let's go to the black church in in Michigan where he gets the award and I thought that was one of the most heartfelt times for Trump
[1:02:36.180 --> 1:02:40.100]  We when they received the blessing and their prayers or everything else
[1:02:40.100 --> 1:02:45.300]  I thought that was powerful and I thought those black folks had a lot of courage to back Trump the middle of the campaign like that
[1:02:45.540 --> 1:02:47.540]  Their second being poor. They want prosperity, too
[1:02:47.780 --> 1:02:53.300]  Trump's been delivering by the way massive new factors getting announced in mainly black areas in Michigan and other areas of Illinois
