[00:00.000 --> 00:15.600]  It's Mother's Day, and here comes the Valkyries.
[34:22.000 --> 34:30.000]  It's the entitlement mentality and this foreign policy has to change.
[34:30.000 --> 34:32.000]  That's what everybody needs.
[34:32.000 --> 34:38.000]  There's no reason in the world why we shouldn't be able to bring people together on foreign expenditures.
[34:38.000 --> 34:42.000]  Left, right, center, independence, progress is whatever.
[34:42.000 --> 34:46.000]  We ought to be able to come together because we're running out of money,
[34:46.000 --> 34:52.000]  the people are suffering, and we don't need to bleed ourselves anymore by spending more money overseas.
[34:52.000 --> 34:55.000]  But people will say, well, who's going to be the policeman of the world?
[34:55.000 --> 34:57.000]  Who's going to do this and then?
[34:57.000 --> 34:59.000]  Who's going to do the nation building?
[34:59.000 --> 35:02.000]  I would say not the USA.
[35:02.000 --> 35:07.000]  This is not the first policy that has been around for many, many years.
[35:07.000 --> 35:12.000]  It has actually gotten, must words, has been endorsed by Republicans and Democrats.
[35:12.000 --> 35:17.000]  It's the foreign policy of interventionism or trying to tell other people what to do.
[35:17.000 --> 35:20.000]  But just go back all the way back to the year 2000.
[35:20.000 --> 35:25.000]  How do you think the Republicans did a good job on electing a president
[35:25.000 --> 35:32.000]  on a foreign policy that said no nation building, no policing of the world,
[35:32.000 --> 35:34.000]  and have a humble foreign policy?
[35:34.000 --> 35:37.000]  That has been a very wise foreign policy.
[35:37.000 --> 35:38.000]  It hasn't been a fair trade-off.
[35:38.000 --> 35:41.000]  We lost 3,000 people on 9-11.
[35:41.000 --> 35:42.000]  We went the wrong way.
[35:42.000 --> 35:47.000]  The American people got immediately punished by having the Fourth Amendment repealed
[35:47.000 --> 35:50.000]  and having passed the Patriot Act.
[35:50.000 --> 35:54.000]  But how much more sacrifice did we participate in?
[35:54.000 --> 35:57.000]  Over 8,000 Americans have died.
[35:57.000 --> 36:02.000]  42,000 Americans have come back with serious problems and injuries and amputations.
[36:02.000 --> 36:06.000]  Hundreds of thousands looking for help for psychological reasons,
[36:06.000 --> 36:10.000]  post-traumatic stress syndrome and head injuries, and they're not even getting their help.
[36:10.000 --> 36:13.000]  How much more of this payback can we afford?
[36:13.000 --> 36:18.000]  I would say that we have to wake up and understand the foreign policy
[36:18.000 --> 36:23.000]  and understand the warning of the CIA and the Defense Department and other intellectuals
[36:23.000 --> 36:26.000]  saying, you know, if you get in their face and you occupy their country,
[36:26.000 --> 36:28.000]  why don't you think about it?
[36:28.000 --> 36:31.000]  What would it be like in Texas if China put their ships offshore
[36:31.000 --> 36:33.000]  and put their troops on our land?
[36:33.000 --> 36:35.000]  We would not be very happy.
[36:35.000 --> 36:42.000]  So this is a place where we ought to come together and join and stop spending.
[36:42.000 --> 36:46.000]  I don't happen to advocate cutting spending for our children or adults.
[36:46.000 --> 36:48.000]  We've conditioned so many to be so dependent.
[36:48.000 --> 36:51.000]  It's a poor system. There's a much better way.
[36:51.000 --> 36:53.000]  But there's a way to wean ourselves off.
[36:53.000 --> 36:56.000]  But if we don't clean up this mess, if we don't cut real spending,
[36:56.000 --> 36:59.000]  if we don't restore sound money and free up the marketplace
[36:59.000 --> 37:03.000]  and come to a sensible agreement on foreign policy,
[37:03.000 --> 37:05.000]  this thing is going to end badly.
[37:05.000 --> 37:07.000]  The money is going to be destroyed.
[37:07.000 --> 37:11.000]  That means high interest rates, higher cost of living,
[37:11.000 --> 37:13.000]  and everybody's going to suffer.
[37:13.000 --> 37:17.000]  The more money you print to send it out to help people with medical care,
[37:17.000 --> 37:18.000]  the worse it will be.
[37:18.000 --> 37:20.000]  The old days, they had gold and silver.
[37:20.000 --> 37:23.000]  Now, the more you spend, the more debt you have, the more assets,
[37:23.000 --> 37:24.000]  the more money they print.
[37:24.000 --> 37:26.000]  It's a suicide accord.
[37:26.000 --> 37:29.000]  It won't work, and we're approaching that end.
[37:29.000 --> 37:33.000]  And the government lies to us about the amount of unemployment,
[37:33.000 --> 37:36.000]  and they lie to us about the amount of destruction of the currency.
[37:36.000 --> 37:39.000]  People in the middle class are getting poorer.
[37:39.000 --> 37:43.000]  The country is shrinking in size as far as middle class goes.
[37:43.000 --> 37:48.000]  There's not been really significant economic growth since the year 2000.
[37:48.000 --> 37:51.000]  And people know it, they know there's something wrong,
[37:51.000 --> 37:55.000]  but you cannot produce wealth by the Federal Reserve creating money.
[37:55.000 --> 37:59.000]  And when they do it in secret, guess what, the special interests
[37:59.000 --> 38:02.000]  get the benefits, the one that have already been benefiting.
[38:02.000 --> 38:06.000]  So when the crisis hits, the Congress and the Federal Reserve rushes
[38:06.000 --> 38:10.000]  to bail out Wall Street and the banks and the Goldman Sachs of the world.
[38:10.000 --> 38:13.000]  The Fed like us has a facilitator.
[38:13.000 --> 38:16.000]  The Fed will end when we restore liberty to this country,
[38:16.000 --> 38:18.000]  and when we restore the rule of law and believe in our Constitution.
[38:18.000 --> 38:23.000]  There is no authority for a central bank or pay for money in our Constitution.
[38:23.000 --> 38:27.000]  But the basic thing that we have to understand is what is personal liberty all about.
[38:27.000 --> 38:29.000]  We know what Jefferson thought about it.
[38:29.000 --> 38:32.000]  It was a God-given right to our life and our liberty,
[38:32.000 --> 38:36.000]  and it should be a God-given right to keep everything we earn.
[38:41.000 --> 38:46.000]  But a hundred years ago, approximately, freedom was chopped up into two pieces.
[38:46.000 --> 38:51.000]  And because it's divided, it gets whittled away, and that's why we're in this mess.
[38:51.000 --> 38:54.000]  But freedom for the individual means that you have personal liberty.
[38:54.000 --> 38:57.000]  You have your religious liberties, you have your intellectual liberties.
[38:57.000 --> 39:01.000]  But you also should have your liberty to run your personal lives
[39:01.000 --> 39:03.000]  as you want to run your personal lives.
[39:07.000 --> 39:12.000]  That is why, that is why, you have been doing this very, very extreme view,
[39:12.000 --> 39:16.000]  and I saw a sign here today, this extreme view that you ought to have the right
[39:16.000 --> 39:21.000]  to drink raw milk if you want.
[39:24.000 --> 39:28.000]  But the problem with this is one side protected social liberties,
[39:28.000 --> 39:30.000]  another side tried to protect economic liberties,
[39:30.000 --> 39:32.000]  and the other side has done a very good job.
[39:32.000 --> 39:34.000]  But the freedom moment is now saying,
[39:34.000 --> 39:36.000]  we really want to protect economic liberty,
[39:36.000 --> 39:39.000]  we really want to protect personal liberty,
[39:39.000 --> 39:40.000]  we need to put it back together,
[39:40.000 --> 39:41.000]  and guess what happened?
[39:41.000 --> 39:43.000]  All of a sudden you bring people together.
[39:43.000 --> 39:46.000]  Not because we have the same religious views,
[39:46.000 --> 39:48.000]  not because we want to read the same books,
[39:48.000 --> 39:52.000]  and not because we want to practice our social lifestyles the same.
[39:52.000 --> 39:54.000]  Matter of fact, it's exactly the opposite.
[39:54.000 --> 39:58.000]  We come together because we want to protect our freedom of choice,
[39:58.000 --> 40:01.000]  so we should come together for those views.
[40:09.000 --> 40:11.000]  We don't know what will happen in November,
[40:11.000 --> 40:14.000]  but we do know what is happening in the country,
[40:14.000 --> 40:16.000]  and how people are waking up,
[40:16.000 --> 40:21.000]  and how many people now endorse the principles of liberty.
[40:21.000 --> 40:23.000]  And like I have said so many times,
[40:23.000 --> 40:26.000]  an idea whose time has come cannot be stopped
[40:26.000 --> 40:28.000]  by armies or by the politicians.
[40:28.000 --> 40:41.000]  So there is every reason to be optimistic about
[40:41.000 --> 40:43.000]  where things are going, but not to be complacent.
[40:43.000 --> 40:45.000]  To be complacent means that we wouldn't be here,
[40:45.000 --> 40:46.000]  we wouldn't be concerned,
[40:46.000 --> 40:49.000]  we wouldn't be trying to get Ted in there to help Rand,
[40:49.000 --> 40:50.000]  and all these things.
[40:50.000 --> 40:53.000]  So there's reason to be optimistic,
[40:53.000 --> 40:56.000]  but it's ideology that is important.
[40:56.000 --> 40:58.000]  The one individual can't do it.
[40:58.000 --> 41:00.000]  You have to have support,
[41:00.000 --> 41:02.000]  and I think this is what's coming.
[41:02.000 --> 41:05.000]  We are changing the hearts and minds of so many people.
[41:05.000 --> 41:08.000]  This reminds me of a story that I frequently use
[41:08.000 --> 41:12.000]  to demonstrate the point about two colonels that got together
[41:12.000 --> 41:15.000]  after the Vietnam War finally ended.
[41:15.000 --> 41:18.000]  I've been in for five years during the 60s,
[41:18.000 --> 41:23.000]  and in the early 70s when the war ended,
[41:23.000 --> 41:27.000]  Colonel Harry Summers and Colonel Tu from Vietnam
[41:27.000 --> 41:30.000]  got together to talk about how to pick up some pieces.
[41:30.000 --> 41:33.000]  But our colonel wanted to get the last word in,
[41:33.000 --> 41:35.000]  so when he met Tu, he says,
[41:35.000 --> 41:37.000]  you have to remember, Colonel,
[41:37.000 --> 41:41.000]  you never defeated us one time on the battlefield.
[41:41.000 --> 41:43.000]  And Colonel Tu paused for a minute.
[41:43.000 --> 41:47.000]  He says, that is true, but it's also irrelevant.
[41:47.000 --> 41:51.000]  Because people who are defending their homelands,
[41:51.000 --> 41:54.000]  whether it's Vietnam or whether it's Afghanistan,
[41:54.000 --> 41:56.000]  which they've been doing for a thousand years,
[41:56.000 --> 41:58.000]  the people defending their homeland
[41:58.000 --> 42:00.000]  have the hearts and the minds of the people.
[42:00.000 --> 42:02.000]  Even when they fight among themselves,
[42:02.000 --> 42:05.000]  they will still fight to keep out the invaders.
[42:05.000 --> 42:07.000]  So that's why it's a fruitless fight.
[42:07.000 --> 42:09.000]  But it is this way in this country, too.
[42:09.000 --> 42:12.000]  We may lose a battle here and there,
[42:12.000 --> 42:15.000]  but ultimately we're going to win the war
[42:15.000 --> 42:17.000]  because we're winning the hearts and minds
[42:17.000 --> 42:19.000]  of the American people.
[42:19.000 --> 42:23.000]  So often the opposition will accuse us,
[42:23.000 --> 42:25.000]  going back, like Paul Krugman said the other day,
[42:25.000 --> 42:27.000]  you want to go back a hundred years.
[42:27.000 --> 42:30.000]  No, the authoritarian's want to go back a thousand years
[42:30.000 --> 42:32.000]  or two thousand years.
[42:32.000 --> 42:34.000]  The dictators and the pharaohs and the kings
[42:34.000 --> 42:36.000]  have been around for a long, long time.
[42:36.000 --> 42:38.000]  Freedom is a new idea.
[42:38.000 --> 42:40.000]  It was really developed in this country.
[42:40.000 --> 42:43.000]  We have lost our way, but we can find our way again.
[42:43.000 --> 42:45.000]  And that is what is happening.
[42:45.000 --> 42:50.000]  Thank you very much, Paul Krugman.
[43:15.000 --> 43:18.000]  All natural soaps are made from the highest quality
[43:18.000 --> 43:22.000]  vegetable and coconut oils that are earth-friendly and safe.
[43:22.000 --> 43:25.000]  See them on the web at 5starsoap.com
[43:25.000 --> 43:30.000]  or call 800-340-7091 for a free catalog.
[43:30.000 --> 43:32.000]  Buy the one to two month sample package
[43:32.000 --> 43:36.000]  and enjoy soaps that are twice as good as what you're using now.
[43:36.000 --> 43:39.000]  Or save big with a one to two year supply of soaps
[43:39.000 --> 43:41.000]  for all your cleaning needs.
[43:41.000 --> 43:43.000]  This is an amazing deal.
[43:43.000 --> 43:45.000]  You can save thousands of dollars
[43:45.000 --> 43:48.000]  and you will love the way real soap makes you feel.
[43:48.000 --> 43:51.000]  See them on the web at 5starsoap.com
[43:51.000 --> 44:14.000]  or call 800-340-7091 for a free catalog.
[44:21.000 --> 44:25.000]  The fuel saver works on all gas, diesel, even propane engines.
[44:25.000 --> 44:28.000]  Easy do-it-yourself installation in about 15 minutes.
[44:28.000 --> 44:29.000]  And the best part?
[44:29.000 --> 44:31.000]  No engine modifications, no computer chipping,
[44:31.000 --> 44:33.000]  no running wires, no chemicals,
[44:33.000 --> 44:36.000]  no water, no running costs, and no maintenance.
[44:36.000 --> 44:39.000]  And these fuel savers come complete with all parts and accessories.
[44:39.000 --> 44:42.000]  See how it works at airfusionsystems.com
[44:42.000 --> 44:46.000]  spelled A-I-R-F-U-S-I-O-N systems.com
[44:46.000 --> 44:53.000]  or call 888-887-9981 888-887-9981
[44:53.000 --> 44:56.000]  Fuel savers from airfusionsystems.com
[44:56.000 --> 45:17.000]  Save fuel, save money, save Earth.
[45:26.000 --> 45:28.000]  Use fluoride up to 95%.
[45:28.000 --> 45:29.000]  Easy to set up and use.
[45:29.000 --> 45:31.000]  Doesn't require electricity.
[45:31.000 --> 45:34.000]  Purify water from lake streams, ponds, and wells.
[45:34.000 --> 45:37.000]  This filter system leaves in beneficial minerals, which is key.
[45:37.000 --> 45:39.000]  Save money by not buying bottled water
[45:39.000 --> 45:41.000]  and avoid BPA that leaches from the plastic.
[45:41.000 --> 45:44.000]  Propure is the best gravity-fed filter out there.
[45:44.000 --> 45:46.000]  It's what my family uses.
[45:46.000 --> 45:49.000]  Infowars.com already has the lowest price on Propure.
[45:49.000 --> 45:52.000]  But if you add the promo code WATER at checkout,
[45:52.000 --> 45:55.000]  you get an additional 10% off at infowars.com.
[45:55.000 --> 45:59.000]  You can also call to order 888-253-3139.
[46:25.000 --> 46:28.000]  It can produce an endless supply of nutrient-dense food
[46:28.000 --> 46:30.000]  for you and your family.
[46:30.000 --> 46:31.000]  And here's the best part.
[46:31.000 --> 46:34.000]  These seeds have not been genetically modified in any way,
[46:34.000 --> 46:37.000]  and you actually get enough seeds to plant a full-acre crisis garden.
[46:37.000 --> 46:40.000]  So visit them today at survivalseedbank.com.
[46:40.000 --> 46:43.000]  That's survivalseedbank.com
[46:43.000 --> 46:47.000]  or give them a call at 877-327-0365.
[46:47.000 --> 46:51.000]  That's 877-327-0365.
[46:51.000 --> 46:56.000]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[46:56.000 --> 47:21.000]  This is Alex Jones for survivalseedbank.com.
[47:21.000 --> 47:26.000]  I'm proud of Texas. I love the whole United States, this whole world.
[47:26.000 --> 47:28.000]  But so much resistance does come out of here,
[47:28.000 --> 47:30.000]  like Ron Paul you're just listening to.
[47:30.000 --> 47:32.000]  Here's his son that was at the same speech,
[47:32.000 --> 47:57.000]  Senator Rand Paul, and then our number two is coming up.
[47:57.000 --> 48:10.000]  Thank you. Thank you.
[48:10.000 --> 48:14.000]  Harry Reid told me just last week that Tea Party's dead.
[48:14.000 --> 48:18.000]  You're done for.
[48:18.000 --> 48:20.000]  He says it's over.
[48:20.000 --> 48:23.000]  He says you have no influence, and that we will be beaten,
[48:23.000 --> 48:26.000]  and that there's no future for the Tea Party.
[48:26.000 --> 48:31.000]  Harry, tell us which one is it?
[48:31.000 --> 48:34.000]  Speaking in this Texas heat, I'm reminded of Castro.
[48:34.000 --> 48:38.000]  He used to give these eight-hour speeches in the Cuban Sun.
[48:38.000 --> 48:41.000]  He was given one of these interminable speeches,
[48:41.000 --> 48:44.000]  and from the crowd came a boy saying,
[48:44.000 --> 48:48.000]  Peanuts, popcorn, crackerjacks.
[48:48.000 --> 48:51.000]  Castro got mad, but he went on.
[48:51.000 --> 48:54.000]  Five minutes later, or maybe five hours later,
[48:54.000 --> 48:57.000]  he heard it again, Peanuts, popcorn, crackerjacks.
[48:57.000 --> 48:59.000]  And he says, I hear that again.
[48:59.000 --> 49:01.000]  I'm going to kick your butt all the way to Miami.
[49:01.000 --> 49:04.000]  All of a sudden, the entire crowd said,
[49:04.000 --> 49:14.000]  Peanuts, popcorn, crackerjacks.
[49:14.000 --> 49:16.000]  I did have a problem with its light bulbs.
[49:16.000 --> 49:18.000]  I've got a problem with my toilet.
[49:18.000 --> 49:21.000]  I mean, I want the government out of my bedroom,
[49:21.000 --> 49:26.000]  but I also want them out of my bathroom.
[49:26.000 --> 49:30.000]  Tell me what kind of light bulb I can use.
[49:30.000 --> 49:32.000]  Well, I've got a toilet paper,
[49:32.000 --> 49:34.000]  and for goodness sakes, these Hollywood celebrities
[49:34.000 --> 49:37.000]  want to tell you how much toilet paper you can use.
[49:37.000 --> 49:40.000]  Is that the nanny state or what?
[49:40.000 --> 49:42.000]  They'll tell you what kind of shower heads you can have.
[49:42.000 --> 49:45.000]  You know, the light bulbs cost four dollars.
[49:45.000 --> 49:48.000]  I asked the Department of Energy woman, are you against choice?
[49:48.000 --> 49:50.000]  She said, oh, no, I'm for choice in light bulbs.
[49:50.000 --> 49:54.000]  I said that you're precisely not for choice in light bulbs.
[49:54.000 --> 49:56.000]  You won't let us make a decision.
[49:56.000 --> 49:58.000]  By the way, do you hate poor people?
[49:58.000 --> 50:01.000]  How are regular people going to afford four dollar light bulbs?
[50:01.000 --> 50:04.000]  So President Obama gave a prize recently.
[50:04.000 --> 50:07.000]  $10 million prize to Phillips Electric
[50:07.000 --> 50:12.000]  to develop an energy efficient, cost effective light bulb.
[50:12.000 --> 50:14.000]  You know how much the light bulb costs?
[50:14.000 --> 50:16.000]  $50.
[50:16.000 --> 50:19.000]  How much did we give Phillips Electric?
[50:19.000 --> 50:23.000]  $10 million to develop a $50 light bulb.
[50:23.000 --> 50:25.000]  It's insane.
[50:25.000 --> 50:27.000]  We live in an nanny state.
[50:27.000 --> 50:31.000]  There are 38 federal agencies that are armed.
[50:31.000 --> 50:33.000]  Now, you may say we need to have a police,
[50:33.000 --> 50:35.000]  we need to have an army,
[50:35.000 --> 50:38.000]  but does the Department of Agriculture need a SWAT team?
[50:38.000 --> 50:40.000]  No!
[50:40.000 --> 50:43.000]  Recently, the Department of Agriculture
[50:43.000 --> 50:46.000]  showed up with automatic weapons
[50:46.000 --> 50:49.000]  and with the Gestapo's SWAT team
[50:49.000 --> 50:52.000]  to close down a company that was doing the horrendous crime
[50:52.000 --> 50:55.000]  of selling milk directly for the kids.
[50:55.000 --> 50:57.000]  No!
[50:57.000 --> 50:59.000]  No!
[50:59.000 --> 51:01.000]  No!
[51:01.000 --> 51:04.000]  Recently, Fish and Wildlife showed up at Gibson Guitar
[51:04.000 --> 51:07.000]  once again with armed agents.
[51:07.000 --> 51:09.000]  You know what their crime was?
[51:09.000 --> 51:12.000]  They're accused of breaking an Indian, not a U.S.,
[51:12.000 --> 51:14.000]  an Indian labor law
[51:14.000 --> 51:17.000]  that says their product needs to be finished in India.
[51:17.000 --> 51:19.000]  It's a labor protection law
[51:19.000 --> 51:22.000]  but they're being persecuted and prosecuted
[51:22.000 --> 51:25.000]  for breaking a law that's not even a U.S. law.
[51:25.000 --> 51:29.000]  No!
[51:29.000 --> 51:33.000]  We put a U.S. citizen, a Florida citizen in jail
[51:33.000 --> 51:37.000]  for the crime of breaking a Honduran fishing regulation.
[51:37.000 --> 51:40.000]  He got eight years in prison.
[51:40.000 --> 51:42.000]  No!
[51:42.000 --> 51:45.000]  One of the regulations was that the fish needed to be imported
[51:45.000 --> 51:48.000]  in cardboard boxes, not plastic.
[51:48.000 --> 51:52.000]  That's a criminal offense under the Lacey Act.
[51:52.000 --> 51:55.000]  We've let our government get away from us
[51:55.000 --> 51:58.000]  but we're at a point where we need a new generation of leaders.
[51:58.000 --> 52:01.000]  We need leaders who believe in the Constitution.
[52:01.000 --> 52:03.000]  No!
[52:03.000 --> 52:06.000]  No!
[52:06.000 --> 52:09.000]  No!
[52:09.000 --> 52:12.000]  No!
[52:12.000 --> 52:15.000]  No!
[52:15.000 --> 52:18.000]  We need to know who will be the next generation,
[52:18.000 --> 52:20.000]  who will be our leaders.
[52:20.000 --> 52:22.000]  Roger Waters asked.
[52:22.000 --> 52:25.000]  He said, did you trade your heroes for ghosts?
[52:25.000 --> 52:28.000]  Did you exchange a walk-on part in a war
[52:28.000 --> 52:31.000]  for a lead role in a cage?
[52:31.000 --> 52:33.000]  Recently I met an Egyptian woman
[52:33.000 --> 52:35.000]  when they're put on trial in Egypt,
[52:35.000 --> 52:37.000]  they're put in a cage.
[52:37.000 --> 52:41.000]  She's accused of promoting secular democracy in Egypt.
[52:41.000 --> 52:45.000]  And yet, what do the people in Congress do to support her?
[52:45.000 --> 52:49.000]  They say, let's send two billion of your dollars to Egypt
[52:49.000 --> 52:53.000]  and maybe they'll behave better if we give them more money.
[52:53.000 --> 52:55.000]  But Barry Goldwater, in that book,
[52:55.000 --> 52:57.000]  The Conscious of the Conservant,
[52:57.000 --> 53:00.000]  I think succinctly wrapped up what a lot of us are about.
[53:00.000 --> 53:04.000]  When he said, I have little interest in streamlining government
[53:04.000 --> 53:08.000]  for making it more efficient, for I'm mean to reduce its size.
[53:08.000 --> 53:16.000]  He said, I do not undertake to promote welfare.
[53:16.000 --> 53:20.000]  Rather, I propose to extend freedom.
[53:20.000 --> 53:25.000]  My aim is not to inaugurate a new program.
[53:25.000 --> 53:29.000]  My aim is not to pass quite bills, but to repeal bills.
[53:29.000 --> 53:32.000]  My aim is not to inaugurate new programs,
[53:32.000 --> 53:39.000]  but to cancel old ones that do violence to the Constitution.
[53:39.000 --> 53:43.000]  Goldwater said that I will not attempt to discover
[53:43.000 --> 53:46.000]  whether legislation is needed
[53:46.000 --> 53:50.000]  before I have discovered whether it is constitutional.
[53:50.000 --> 53:53.000]  And if I am neglected, if I'm accused of neglecting
[53:53.000 --> 53:56.000]  my constituents' interests, I will reply
[53:56.000 --> 54:01.000]  that I was told that my constituents' chief interest was liberty.
[54:01.000 --> 54:05.000]  And in that cause, I am doing the best that I can.
[54:05.000 --> 54:07.000]  I can't think of a more succinct way
[54:07.000 --> 54:10.000]  of talking about liberty and freedom than what we're about.
[54:10.000 --> 54:12.000]  We have to fight it.
[54:12.000 --> 54:14.000]  I do believe we are an oppressivist.
[54:14.000 --> 54:16.000]  We have a constitutional republic,
[54:16.000 --> 54:20.000]  but we've been losing it for decades and decades and decades.
[54:20.000 --> 54:22.000]  Jefferson recognized this.
[54:22.000 --> 54:24.000]  Jefferson said that a pure democracy
[54:24.000 --> 54:26.000]  would be nothing more than mob rule.
[54:26.000 --> 54:28.000]  We had to have rules.
[54:28.000 --> 54:30.000]  There are certain things the majority can't take away from us.
[54:30.000 --> 54:32.000]  They can't take away the First Amendment,
[54:32.000 --> 54:34.000]  the Second Amendment, the Fourth Amendment,
[54:34.000 --> 54:36.000]  any of the Bill of Rights.
[54:36.000 --> 54:38.000]  The majority has no right.
[54:38.000 --> 54:40.000]  Those rights were given to us by our creator,
[54:40.000 --> 54:42.000]  and they pre-exist government.
[54:50.000 --> 54:52.000]  When we have a government, we now have a president
[54:52.000 --> 54:54.000]  who fundamentally misunderstands it.
[54:54.000 --> 54:56.000]  It amazes me that people say
[54:56.000 --> 54:59.000]  that he actually taught constitutional law.
[54:59.000 --> 55:03.000]  He said recently that because Obamacare had passed
[55:03.000 --> 55:06.000]  by a majority, to him a significant majority,
[55:06.000 --> 55:08.000]  that the Supreme Court had no right
[55:08.000 --> 55:10.000]  to rule on its constitutionality.
[55:13.000 --> 55:15.000]  We stand as a precipice in our country
[55:15.000 --> 55:17.000]  where we must make decisions,
[55:17.000 --> 55:19.000]  and I don't think we have a lot of time left.
[55:19.000 --> 55:20.000]  Phil Graham used to talk about
[55:20.000 --> 55:22.000]  there's getting too many people in the wagon
[55:22.000 --> 55:24.000]  and not enough people pulling the wagon.
[55:24.000 --> 55:26.000]  The wagon's getting heavy.
[55:26.000 --> 55:28.000]  Less and less people are working.
[55:28.000 --> 55:30.000]  Less and less people are paying the taxes.
[55:30.000 --> 55:32.000]  We have to do something
[55:32.000 --> 55:34.000]  before there's so many people in the receiving end
[55:34.000 --> 55:36.000]  and so few people on the working end
[55:36.000 --> 55:38.000]  that it becomes, you know,
[55:38.000 --> 55:40.000]  we slide into western socialism,
[55:40.000 --> 55:42.000]  and I'm afraid we're going in that direction.
[55:42.000 --> 55:45.000]  We are at a point where we're borrowing
[55:45.000 --> 55:47.000]  $50,000 a second.
[55:47.000 --> 55:50.000]  We have to do something about it.
[55:50.000 --> 55:52.000]  But in doing so, we need to recognize
[55:52.000 --> 55:54.000]  that we do have choices.
[55:54.000 --> 55:57.000]  It's not all bad news. We have a great country.
[55:57.000 --> 56:00.000]  I tell people it's not that we are inherently exceptional,
[56:00.000 --> 56:02.000]  but our ideas were exceptional.
[56:02.000 --> 56:04.000]  The ideas and heritage of our Constitution
[56:04.000 --> 56:07.000]  and the Declaration of Independence are exceptional.
[56:15.000 --> 56:17.000]  If we will believe in ourselves once again,
[56:17.000 --> 56:19.000]  if we will believe in the system of capitalism
[56:19.000 --> 56:21.000]  that made us great,
[56:21.000 --> 56:23.000]  if we will know and understand
[56:23.000 --> 56:25.000]  that if you want to help your fellow man,
[56:25.000 --> 56:27.000]  if you want to society and a civilization
[56:27.000 --> 56:29.000]  that can create wealth
[56:29.000 --> 56:31.000]  to help your fellow man and to be humanitarian,
[56:31.000 --> 56:33.000]  it's capitalism.
[56:33.000 --> 56:35.000]  It creates wealth like no other country ever has.
[56:35.000 --> 56:37.000]  But we have to believe in ourselves again.
[56:37.000 --> 56:39.000]  We cannot believe
[56:39.000 --> 56:41.000]  that because your neighbor has three cars
[56:41.000 --> 56:43.000]  and you have a moped
[56:43.000 --> 56:45.000]  that we're going to send the president
[56:45.000 --> 56:47.000]  to take one of their cars and get you a car.
[56:47.000 --> 56:49.000]  We have to believe
[56:49.000 --> 56:51.000]  that we want to increase that pie,
[56:51.000 --> 56:53.000]  that pie of jobs and wealth
[56:53.000 --> 56:55.000]  and increase if we believe in freedom.
[56:55.000 --> 56:57.000]  If we do, we will thrive again.
[56:57.000 --> 56:59.000]  I hope to be at the forefront of that
[56:59.000 --> 57:01.000]  and to continue to fight for you
[57:01.000 --> 57:03.000]  and I thank you very much for having me.
[57:15.000 --> 57:17.000]  Our number two is only minutes away
[57:17.000 --> 57:19.000]  with Doug Hagman,
[57:19.000 --> 57:21.000]  the director of the Northeast Intelligence Network
[57:21.000 --> 57:23.000]  with key information
[57:23.000 --> 57:25.000]  concerning the government preparing for civil war
[57:25.000 --> 57:27.000]  against the American people
[57:27.000 --> 57:29.000]  in a staged race war.
[57:29.000 --> 57:52.000]  It's coming up in the second hour.
[57:52.000 --> 57:54.000]  You've heard Alex explaining how the Silver Lungs Generator
[57:54.000 --> 57:56.000]  infuses the respiratory system
[57:56.000 --> 57:58.000]  with your self-produced colloidal silver solutions,
[57:58.000 --> 58:00.000]  yet many are unaware of the entire function
[58:00.000 --> 58:02.000]  of the Silver Lungs System
[58:02.000 --> 58:04.000]  and how it has been designed to deliver your silver solutions
[58:04.000 --> 58:06.000]  anywhere in or on the body.
[58:06.000 --> 58:08.000]  My name is Mario Safaldi
[58:08.000 --> 58:11.000]  and I'm the developer of the Silver Lungs Generator.
[58:11.000 --> 58:13.000]  Not only does the Silver Lungs System produce
[58:13.000 --> 58:16.000]  endless colloidal and ionic silver solutions,
[58:16.000 --> 58:18.000]  it also comes equipped with the proper
[58:18.000 --> 58:20.000]  applicators and devices needed
[58:20.000 --> 58:22.000]  to deliver your silver solutions
[58:22.000 --> 58:24.000]  directly to key target areas.
[58:24.000 --> 58:26.000]  This includes the eyes,
[58:26.000 --> 58:28.000]  ears, nose, lungs,
[58:28.000 --> 58:30.000]  topically to the skin,
[58:30.000 --> 58:32.000]  and orally for the digestive system.
[58:32.000 --> 58:34.000]  Be sure to watch our new 7-minute video tour
[58:34.000 --> 58:36.000]  of the Silver Lungs System
[58:36.000 --> 58:39.000]  at www.silverlungs.com
[58:39.000 --> 58:42.000]  to learn more about how the Silver Lungs System works.
[58:42.000 --> 58:44.000]  As well, we are always ready
[58:44.000 --> 58:46.000]  to answer any questions you may have.
[58:46.000 --> 58:50.000]  That's www.silverlungs.com.
[58:50.000 --> 58:52.000]  For a long time, you've heard me talk about
[58:52.000 --> 58:54.000]  building your own food supply with e-foods direct.
[58:54.000 --> 58:56.000]  As a listener, you know why you need to have
[58:56.000 --> 58:58.000]  a supply of the best horrible food on the planet.
[58:58.000 --> 59:00.000]  Every day, we document the attempts
[59:00.000 --> 59:02.000]  to take control of our lives.
[59:02.000 --> 59:04.000]  But there's one thing we can all control.
[59:04.000 --> 59:06.000]  Your greatest dependency, food.
[59:06.000 --> 59:08.000]  e-foods direct products are made
[59:08.000 --> 59:10.000]  with only the best ingredients,
[59:10.000 --> 59:12.000]  and none of the trash and contaminants
