[00:00:00.209 --> 00:00:03.151]  What I do is I wait and I watch.
[00:39:52.896 --> 00:40:10.565]  In which they can essentially control our minds and therefore control the land, the waters, the seas, the air and the airspace, the subterranean, deep underground military bases, extraterrestrial or like space and satellites, chemical and biological agents and technology.
[00:40:11.125 --> 00:40:25.275]  So through the creation of this death matrix, through the creation of full spectrum dominance within this system that they control, they've monopolized all of our resources, they have monopolized our currency systems, they have monopolized all of our labor.
[00:40:25.275 --> 00:40:30.438]  And in this way they've acted like our global enslavers in one way or another.
[00:40:30.438 --> 00:40:35.642]  But you can't enslave a mind that's already free.
[00:40:35.642 --> 00:40:39.144]  You know, you can't take the trousers off of a bare ass.
[00:40:39.144 --> 00:40:39.844]  You know what I'm saying?
[00:40:41.698 --> 00:40:44.860]  They can't take from us what is given to us by God.
[00:40:44.860 --> 00:40:46.381]  We can only surrender it.
[00:40:46.381 --> 00:40:50.723]  That's why these propaganda campaigns are so intense.
[00:40:50.723 --> 00:40:59.108]  That's why the symbolism in Saturn worship and all that stuff is so intense, because we have to willingly give over our sovereignty.
[00:40:59.108 --> 00:41:01.049]  We have to willingly give over our God.
[00:41:01.169 --> 00:41:07.813]  That's why we see headlines out of the New York Times, Washington Post, CNN saying, don't ask questions, asking questions is bad.
[00:41:07.813 --> 00:41:11.996]  Well, that's antithetical to common sense, or science is not asking questions.
[00:41:11.996 --> 00:41:13.457]  No, that's the opposite of science.
[00:41:13.457 --> 00:41:20.362]  Everything they're saying is a straight-up lie, but they need us through laziness, not facing the truth, to accept the delusion.
[00:41:20.362 --> 00:41:26.526]  And then once you shift your mind into buying the delusion, you shift it into their paradigm to then receive even greater delusions.
[00:41:28.380 --> 00:41:35.326]  Right, now let's go back to this notion of what you were saying about the double-slit experiment and the power of manifestation and the observer effect.
[00:41:35.326 --> 00:41:48.496]  So, people like Klaus Schwab want everybody to believe that in the future we're all going to wear uniforms, we're all going to live in 15-minute cities, that we're all going to own nothing and like it, and everybody's going to eat bugs.
[00:41:48.496 --> 00:41:49.157]  Right?
[00:41:49.157 --> 00:41:56.683]  What he and all these globalists are doing, especially through the... They're creating a false Overton window of you'll own nothing, have nothing, eat bugs, drink sewage,
[00:41:56.943 --> 00:41:59.464]  We can't just attack their system we have to build the alternative.
[00:42:27.965 --> 00:42:30.106]  100% correct.
[00:42:30.106 --> 00:42:32.448]  And the only way we can do that is through non-violence.
[00:42:32.448 --> 00:42:38.151]  The only way we can do that is through basically making our old system of full spectrum dominance completely obsolete.
[00:42:38.151 --> 00:42:40.152]  So, let's talk about this.
[00:42:40.152 --> 00:42:41.273]  Well, let's go back to Klaus Schwab.
[00:42:41.273 --> 00:42:41.933]  I interrupted.
[00:42:41.933 --> 00:42:43.474]  Finish your point in your own words.
[00:42:43.474 --> 00:42:47.196]  I know I wanted to not show off that I knew the answer, but to show that we're on the same page.
[00:42:47.196 --> 00:42:50.658]  That's because it's inherent, you know, prima facie truth.
[00:42:50.658 --> 00:42:52.619]  But go back to what Schwab wants us to believe.
[00:42:54.170 --> 00:43:05.607]  Well you, but you made the point for me and that is that he is trying to inform or form in our minds his view of reality so that they can hijack our creative ability, so they can hijack our observer effect.
[00:43:05.607 --> 00:43:09.814]  He's trying to put in our minds his view of the future that he wants.
[00:43:10.214 --> 00:43:16.515]  And in the process, you got a lot of people that are reacting based on emotion and really upset about this idea.
[00:43:16.515 --> 00:43:22.577]  But in a sense, by reacting through anger and being upset, you're already reinforcing his view of reality.
[00:43:22.577 --> 00:43:27.237]  What we should be doing is laughing our asses off at this guy.
[00:43:27.237 --> 00:43:29.018]  We should be laughing at him.
[00:43:29.018 --> 00:43:34.939]  Oh, you really think that everybody's going to wear uniforms, eat bugs, live in 15-minute cities, and own nothing and like it?
[00:43:34.939 --> 00:43:37.299]  Yeah, good luck with that, buddy.
[00:43:37.299 --> 00:43:38.760]  Good luck with that.
[00:43:38.760 --> 00:43:38.940]  And so,
[00:43:40.663 --> 00:43:49.588]  Now let's talk really quick, because this does kind of play into the World Economic Forum, the Bilderberg Group, and things like the Council on Foreign Relations, the IMF, and stuff like that.
[00:43:49.588 --> 00:44:02.494]  So, all of our capital buildings here in the United States, and probably all over the world, but especially in Washington, D.C., but all of the capital buildings in the United States are all built on electromagnetic ley lines.
[00:44:03.078 --> 00:44:06.280]  Okay, these are electromagnetic lines that are on the earth.
[00:44:06.280 --> 00:44:08.362]  They run over the surface of the earth.
[00:44:08.362 --> 00:44:16.187]  They're a manifestation of the electromagnetic field that surrounds the planet as well as going all the way down to the core of the planet.
[00:44:16.187 --> 00:44:32.938]  So where these things crisscross on the planet itself, where it is that they intersect, this is where we see things like pyramids, obelisks, ancient temples, and our modern cities like the Vatican or the London Palace or Washington DC or state capitals.
[00:44:33.778 --> 00:44:38.520]  Now, what is it that these people are doing in these buildings?
[00:44:38.520 --> 00:44:45.003]  What they are doing is they are using words or code to create law.
[00:44:45.003 --> 00:44:52.865]  Now, the law is telling us what we can buy, what we can sell, what is legal, what is illegal.
[00:44:54.628 --> 00:44:56.009]  Think about that for a second.
[00:44:56.009 --> 00:44:57.489]  That's going to end up affecting what?
[00:44:57.489 --> 00:45:00.391]  Our thoughts, our emotions, and our behavior.
[00:45:00.391 --> 00:45:21.660]  So in this way, because these less-than-one-percenters have used not only lawfare, but also these buildings that are built on the electromagnetic ley lines of the planet, they are essentially using these buildings almost like they're circuits in a machine to control and affect our collective consciousness, to control and affect our thoughts and our emotions.
[00:45:22.240 --> 00:45:28.424]  Our hearts, our minds, and therefore in one way or another kind of attempting to enslave our very soul.
[00:45:28.424 --> 00:45:40.691]  Now, let's talk really quick about how a computer works and then we're going to bring it back to this idea of how it is that these capitals being built on ley lines is like a Trojan horse or a virus in a computer.
[00:45:41.707 --> 00:45:49.932]  So a computer works based on the idea of plugging a computer in and you're moving electricity through the conductors in the circuit board.
[00:45:49.932 --> 00:45:58.977]  So you plug it into the wall, the electricity goes into the computer, it goes into these conductors in the circuit board, and it goes in them over and over and over and over again.
[00:45:58.977 --> 00:46:00.978]  And as it creates that feedback loop,
[00:46:01.796 --> 00:46:29.036]  Going through all these conductors going through all these chips as it goes through it over and over and over again It ends up creating a pattern now that pattern and what that looks like can be affected or or changed through algorithms or mathematics and then through the algorithm you can end up changing the pattern in that computer and that that electrical pattern now that electrical pattern manifests as ones and zeros and
[00:46:29.565 --> 00:46:30.907]  We're good to go.
[00:46:49.759 --> 00:46:52.502]  Let's think about how this relates to human civilization.
[00:46:52.502 --> 00:47:04.416]  Because these capital buildings are built on electromagnetic ley lines that are channeling the electromagnetic field of the earth, channeling the energy of the universe, kind of like the computer is getting electricity from the wall.
[00:47:05.414 --> 00:47:23.605]  And in the process, as they're in these buildings creating this code, creating this lawfare, what they're doing is they're essentially acting like a computer virus because what their laws are doing, what their code is doing, is it is reinforcing this death matrix.
[00:47:24.045 --> 00:47:39.717]  Similar to how a virus can get into a computer and change the algorithm and divert all of the energy that's being moved through the computer to like 1% of the computer's hardware and thus slowing the computer down dramatically.
[00:47:40.370 --> 00:47:43.352]  You can do the same thing with human civilizations.
[00:47:43.352 --> 00:47:48.495]  So what has happened is that these people in these buildings, they have created really bad code.
[00:47:48.495 --> 00:47:50.737]  They've acted like a Trojan horse or a virus.
[00:47:50.737 --> 00:48:02.545]  And now they're using all of our work, all of our time, all of our energy, all of our labor, all of our money, and then they are diverting it to less than 1% of the population.
[00:48:02.545 --> 00:48:07.528]  And they're diverting it to the reinforcement of this illusion of separation.
[00:48:08.326 --> 00:48:11.847]  And in the process, we are destroying the planet.
[00:48:11.847 --> 00:48:17.128]  We are exponentially polluting our ecosystems, our water, our air, our food, our soil.
[00:48:17.128 --> 00:48:27.010]  We are exponentially increasing the amount of negative low-frequency electromagnetic waves that are just bathing the planet every day.
[00:48:27.010 --> 00:48:29.430]  We are going to war with each other.
[00:48:29.430 --> 00:48:31.971]  There are still children all over the world that are starving.
[00:48:31.971 --> 00:48:37.692]  There are still children all over the world and adults that are in the human and child sex trafficking slave trade.
[00:48:38.445 --> 00:48:46.729]  We are basically playing the fiddle while Rome burns as we watch, you know, the football game and drink a beer.
[00:48:46.729 --> 00:48:47.269]  Oh, sorry.
[00:48:47.269 --> 00:48:48.509]  I'm sorry about the language.
[00:48:48.509 --> 00:48:53.171]  And drink a beer and forget about our problems.
[00:48:53.171 --> 00:48:59.334]  And we're in debt, in some cases, tens of thousands or hundreds of thousands of dollars.
[00:48:59.334 --> 00:49:01.375]  So in this way,
[00:49:02.230 --> 00:49:07.413]  These individuals in these buildings, they have acted like a Trojan horse of sorts.
[00:49:07.413 --> 00:49:11.055]  They are serving less than 1% of the population.
[00:49:11.055 --> 00:49:16.638]  Now, if we go back to this notion of free energy, Tesla Tower technology, what is that doing?
[00:49:16.638 --> 00:49:21.421]  What that's doing is that is literally redistributing the power or the energy
[00:49:21.921 --> 00:49:23.081]  To the people.
[00:49:23.081 --> 00:49:28.823]  It is creating a whole new decentralized system that will render the old system obsolete.
[00:49:28.823 --> 00:49:40.125]  That will basically get rid of the computer virus and allow the energy that was originally intended for the whole computer to reach all of the parts, all of the hardware in the computer.
[00:49:40.125 --> 00:49:49.427]  So if our brains and our DNA and our bodies are like hardware, are like an antenna sending and receiving the signal with non-local consciousness, then in one way or another
[00:49:50.207 --> 00:49:54.509]  We are actually, kind of coming back to this, like, idea of manifestation.
[00:49:54.509 --> 00:50:10.878]  We are actually, like, able to stroke the keyboard and affect the matrix, the divine matrix of reality, and through the observer effect, through the power of manifestation, we are able to manifest realities in the third dimension.
[00:50:11.457 --> 00:50:16.500]  You see, we are hyper-dimensional beings that are able to perceive future timelines.
[00:50:16.500 --> 00:50:21.082]  That's the only way we can get up and walk across the room and get a glass of water.
[00:50:21.082 --> 00:50:25.645]  Because we have the ability to see in our minds, the, oh, I'm thirsty, I'm gonna go get water.
[00:50:25.645 --> 00:50:35.891]  So you move your three-dimensional body through the fourth dimension of time to this fifth dimensional reality that you imagined ten seconds ago, where you're thirsty and you went up and you got some water.
[00:50:35.891 --> 00:50:36.071]  So,
[00:50:37.438 --> 00:50:40.080]  This is why I bring up this whole thing about Klaus Schwab.
[00:50:40.080 --> 00:50:52.827]  It's the reason why I bring up this whole idea of how they're trying to hijack our minds, how they are trying to control our thoughts and our emotions, what we may buy, what we may sell, what's illegal, what's legal, etc.
[00:50:52.827 --> 00:51:05.215]  Because they're intentionally attempting to divert all of our energy, all of our thoughts, all of our emotions, all of our labor, all of our money, all of our hard work toward
[00:51:06.161 --> 00:51:15.229]  Serving them the less than 1% and they are less than 1% and they are trying to use their propaganda machine as a means of controlling our consciousness.
[00:51:15.229 --> 00:51:29.923]  They're trying to use the death matrix as a means of subverting human consciousness because when individuals like yourself Alex or myself or other people whether it be Joe Rogan or whoever start to blow the lid off of the illusions that have been created
[00:51:30.689 --> 00:51:34.552]  Well, then you become a threat to the full-spectrum dominant system.
[00:51:34.552 --> 00:51:37.814]  You become a threat to... Absolutely, and I want you to continue.
[00:51:37.814 --> 00:51:42.317]  This is riveting and totally on target, and I totally agree with you.
[00:51:42.317 --> 00:51:45.579]  But let's talk about just the temporal level of the awakening we're seeing.
[00:51:45.579 --> 00:51:49.682]  And I'm not trying to name drop, doesn't matter, but I talked to Bill on the phone with Joe yesterday.
[00:51:49.682 --> 00:51:53.905]  We were talking about the Great Awakening and how red-pilled he is, and now he totally sees it.
[00:51:53.905 --> 00:51:55.006]  And he's like, you're right about everything.
[00:51:55.006 --> 00:51:55.626]  I can't believe it.
[00:51:55.626 --> 00:51:56.327]  It's incredible.
[00:51:56.992 --> 00:51:58.212]  And you see that on air.
[00:51:58.212 --> 00:52:04.574]  So he's accelerating his awakening, and he's somebody that's not been spiritual, because he's all about what he can prove, what he can see.
[00:52:04.574 --> 00:52:10.096]  Now he's having guests on about God, and how God exists, and consciousness, and good and evil.
[00:52:10.096 --> 00:52:14.717]  And so, a lot of Christians will sit there and be what Christ spoke out against.
[00:52:14.717 --> 00:52:26.080]  Like Pharisees, very likely, you're not perfect, you're not that, but there was Christ with the prostitutes, the money changers, and the tax collectors, because they were the ones that weren't holier than thou, that he could actually get the full truth to.
[00:52:27.213 --> 00:52:38.742]  And so, that's why my show's been able to wake so many people up that actually find God and find Christ, is because I'm not beating them over the head, I'm not putting on an act like I'm perfect, but I know this is real.
[00:52:38.742 --> 00:52:56.637]  I've experienced spiritual attack, and I know the name of Christ is the most powerful name, but regardless, this awakening, call it spiritual, whatever you want, is an awakening to the larger universe, and the fact that we only see a very narrow spectrum, and hear a very narrow spectrum, and feel a very narrow spectrum,
[00:52:56.937 --> 00:52:57.377]  We're good to go!
[00:53:26.937 --> 00:53:29.199]  Like Jake, of where we are.
[00:53:29.199 --> 00:53:39.509]  Okay, so you're right when you're saying about like we're perceiving less than 1% of the electromagnetic spectrum.
[00:53:39.509 --> 00:53:47.977]  And what these global New World Order, One World Government types are trying to do, these less than 1%ers, is keep us confined in that less than 1%.
[00:53:47.977 --> 00:53:52.261]  This is part of why I practice shamanism, and I believe that Christ was the ultimate shaman.
[00:53:52.741 --> 00:53:58.247]  Okay, so it's about understanding all of this sacred knowledge and using it for good.
[00:53:58.247 --> 00:54:02.291]  Using it as a means to create positive timelines, not negative ones.
[00:54:02.291 --> 00:54:11.200]  So if you have these people on these ley lines, in these buildings, creating lawfare, creating bad code that is creating negative timelines,
[00:54:11.480 --> 00:54:26.656]  Then they're essentially hijacking not just these ley lines, not just the electromagnetic field of the planet, not just the matrix, the divine matrix, by using this bad code, but they're also affecting our minds and keeping us within this narrow bandwidth.
[00:54:26.656 --> 00:54:33.463]  Now, as our consciousness expands, our third eye, our pineal gland, is like a pine cone, and it opens.
[00:54:33.843 --> 00:54:39.785]  And as it opens, so too does our electromagnetic field, our consciousness field, expand beyond our bodies.
[00:54:39.785 --> 00:54:45.547]  That's why David Icke, when he was in Peru and had that psychic experience and got the downloads, it was like the top of his head blew off.
[00:54:45.547 --> 00:54:51.469]  The same thing happened to me several times in my life, but the biggest one was when I was on air about two years.
[00:54:51.469 --> 00:54:57.971]  I've been on there about 27 years, and it was like the top of my head blew off, or it's like that Gnarls Barkley song about once he goes crazy,
[00:54:59.646 --> 00:55:02.068]  There's such a big echo and so much space.
[00:55:02.068 --> 00:55:06.050]  It's like you've been here and it goes... Right.
[00:55:06.050 --> 00:55:08.552]  You realize your infinite eternal self.
[00:55:08.552 --> 00:55:10.873]  You become one with all things.
[00:55:10.873 --> 00:55:16.797]  And when you're in that state of consciousness, you... An enlightened person is not a profitable person.
[00:55:16.797 --> 00:55:17.657]  Because guess what?
[00:55:17.657 --> 00:55:19.839]  They don't care about material possessions.
[00:55:19.839 --> 00:55:21.660]  They care about spiritual wealth.
[00:55:22.641 --> 00:55:31.188]  And so, if you don't care about making a dollar, but you do care about making a difference, then it's really hard for these less than one percenters to control you.
[00:55:31.188 --> 00:55:38.895]  And that's why I have taken the position that I have on this notion of monetary gain regarding a lot of things in my life.
[00:55:38.895 --> 00:55:45.420]  Because if you put money first, as opposed to God first, then you end up worshipping the wrong master.
[00:55:45.420 --> 00:55:48.623]  Well, I totally agree with you, but I want to talk about balance to this.
[00:55:48.623 --> 00:55:50.585]  This is really an important point that I never get into.
[00:55:51.577 --> 00:55:57.261]  I never even cared about money until I realized it was a symbol of energy to be able to do what I want.
[00:55:57.261 --> 00:56:05.266]  But if I can be controlled as if it is the highest thing on my hierarchy of needs, and then I'll just simply sell out for that, then it's a bad thing.
[00:56:05.266 --> 00:56:13.671]  But if I don't sell out, do the right thing, and then accumulate wealth to help others, and build up systems outside the enemy, because they want to keep us poor and control us,
[00:56:14.411 --> 00:56:20.213]  Then, that puts the physical third dimension together with the higher dimensions, and now we can basically do anything.
[00:56:20.213 --> 00:56:28.996]  You can't just like Oprah Winfrey, imagine something and then manifest a nuclear reactor, or manifest a jet airplane, or manifest a Beethoven symphony.
[00:56:28.996 --> 00:56:36.378]  There's got to be a lot that his ancestors, his training, the building, his connection, becoming deaf, going to the next level of actually hearing.
[00:56:37.085 --> 00:56:37.365]  Thank you.
[00:56:58.553 --> 00:57:03.457]  Absolutely, and that's why I advocate so heavily for Tesla Tower technology and Dr. Reif and his machine.
[00:57:03.457 --> 00:57:10.662]  Because if we look into what will happen when we create these Tesla Towers, number one, we'll create a decentralized energy grid.
[00:57:10.662 --> 00:57:13.504]  Number two, we'll create a decentralized communication grid.
[00:57:13.504 --> 00:57:16.707]  Number three, we'll end up being able to influence agriculture.
[00:57:16.707 --> 00:57:19.729]  We'll be able to clean up the pollution and the geoengineering.
[00:57:20.149 --> 00:57:28.334]  We will be able to use these electromagnetic ley lines in these towers to create a new supply chain and a new transportation grid.
[00:57:28.334 --> 00:57:32.596]  We will also revolutionize medicine if we use Dr. Reich's machine.
[00:57:32.596 --> 00:57:33.537]  Well, let me raise that point.
[00:57:33.537 --> 00:57:35.638]  So we have to create a new system.
[00:57:35.638 --> 00:57:38.840]  Plato, who everything, most of what he said has been found to be true.
[00:57:38.840 --> 00:57:40.821]  He was a philosopher and historian, the father of it.
[00:57:41.542 --> 00:57:47.309]  He said Atlantis was real and they had towers and a power that let flying machines go everywhere, but it blew up.
[00:57:47.309 --> 00:57:49.252]  From your deep research, what do you think?
[00:57:49.252 --> 00:57:55.400]  Did Atlantis exist or was it a psychic peeing into the future that we're building in Atlantis that's dangerous?
[00:57:57.427 --> 00:58:17.282]  No, what I think happened with Atlantis, and if you look into the work of Graham Hancock and his book, Magicians of the Gods, and all of his other research, then you will find that out in the middle of the Atlantic Ocean and out in the middle of the Pacific Ocean, during the Ice Age, because there was so much ice and water up near the North Pole, there was so much
[00:58:17.842 --> 00:58:42.380]  More land exposed and when a comet broke up in outer space and smashed into the ice sheet it created literally oceans worth of water not just dumping all over the surface of the planet but also shooting millions upon millions of gallons of not just water but soot and mud up into the upper atmosphere and this is where we get into things like black rain and stuff like that.
[00:58:42.380 --> 00:58:44.182]  Now the reason why I think this happened is because
[00:58:44.915 --> 00:58:51.060]  Atlantis was almost like at the end of a golden age of sorts.
[00:58:51.060 --> 00:58:55.423]  It was when all this sacred knowledge began to become perverted.
[00:58:55.423 --> 00:59:09.933]  So they understood the ley lines, they understood the power of thought and emotion, they understood the power and the role of energy frequency and vibration in human civilization, and they created a society that was based on embodying this divine truth.
[00:59:09.933 --> 00:59:12.495]  But eventually what ended up happening is that it became
[00:59:13.736 --> 00:59:15.456]  It fell to priest crap.
[00:59:15.456 --> 00:59:18.937]  And then they started doing things like child and human sacrifice.
[00:59:18.937 --> 00:59:23.578]  And this isn't, I don't think this is in Graham Hancock's book, but this is my contention.
[00:59:23.578 --> 00:59:26.059]  This is what I've come to believe.
[00:59:26.059 --> 00:59:32.481]  That they ended up doing things like child and human sacrifice at these sacred sites, at these pyramids, on the ley lines.
[00:59:32.481 --> 00:59:34.081]  And they were doing it so heavily.
[00:59:34.736 --> 00:59:45.119]  That it ended up creating such a low frequency state of fear and pain and suffering on the planet that their karma came back to bite them in the ass.
[00:59:45.119 --> 00:59:49.521]  And this comet slammed into the ice sheet and just wiped everything clean.
[00:59:50.101 --> 00:59:54.086]  And we are like the inheritors of this lost civilization.
[00:59:54.086 --> 01:00:01.173]  That's why we look around us and we see all these massive buildings like the pyramids, like not just in Egypt, but like in China or in Boston.
[01:00:01.173 --> 01:00:03.095]  I mean, they're everywhere.
[01:00:03.095 --> 01:00:04.917]  Also, we have an epigenetic memory.
[01:00:04.917 --> 01:00:08.722]  When we see all the technology or see science fiction, it seems like we're home.
[01:00:08.722 --> 01:00:09.683]  It's like, well, I know this.
[01:00:11.696 --> 01:00:12.576]  Yes.
[01:00:12.576 --> 01:00:18.619]  So what happened is that they got to a point where they started to worship themselves and not God.
[01:00:18.619 --> 01:00:27.283]  They got to a point to where they were attempting to use this knowledge for power for themselves, for selfish reasons and purposes.
[01:00:27.283 --> 01:00:35.007]  And in the process their karma ended up coming back at them and it just wiped everything clean and we had to start over.
[01:00:35.007 --> 01:00:39.889]  I mean if you look in the Mahabharata... So you don't think it was some type of free energy machine exploding or a war?
[01:00:39.889 --> 01:00:41.310]  From your research you think it was a comet?
[01:00:43.021 --> 01:00:45.202]  Oh yeah, I'm quite certain it was a comet.
[01:00:45.202 --> 01:00:46.142]  And it happened twice.
[01:00:46.142 --> 01:00:48.083]  It happened in the span of 2,000 years.
[01:00:48.083 --> 01:00:54.305]  It happened once, I think, 12,000 years ago, right around the time that Gobekli Tepe was made and buried.
[01:00:54.305 --> 01:00:57.947]  And then it happened again another 1,000 years later.
[01:00:57.947 --> 01:01:01.028]  And so, it just reset everything.
[01:01:01.028 --> 01:01:07.150]  And if you, like I said, just look into the work of Graham Hancock, and you will be amazed at the things that he's uncovered.
[01:01:07.150 --> 01:01:12.332]  Sure, what agency, call it whatever you think, has the most accurate history analysis of what happened?
[01:01:15.660 --> 01:01:17.403]  What do you mean, during the flood?
[01:01:17.403 --> 01:01:26.097]  Well, just of the cultures we know of, of the Egyptians, the Babylonians, the, you know, the folks that were in Babylon, of all those groups, which one from the history do you think is the most accurate?
[01:01:28.024 --> 01:01:33.668]  Well, they all kind of are saying the same thing, and what I've found is that it's kind of like the telephone game.
[01:01:33.668 --> 01:01:41.173]  As they go throughout history, the story changes just a little bit and then ends up getting more and more distorted as time goes on.
[01:01:41.173 --> 01:01:57.043]  I would say that if you look into all shamanic cultures all over the planet, whether it be the aborigines in Australia, the Native Americans here in the United States, whether it be the ancient Mongolians or the Africans, the Europeans, they all have stories of the flood.
[01:01:57.683 --> 01:02:02.129]  They all have stories of the flood and they all have their own.
[01:02:02.129 --> 01:02:11.401]  It all kind of actually comes down to this idea that God decided to save one man or one family and allow them to repopulate the earth.
[01:02:11.401 --> 01:02:15.707]  So I think that, I think that
[01:02:16.619 --> 01:02:32.966]  The truth about reality and the spiritual nature to our existence has been known for millennia, but it has been kept to a very tightly knit group of quote-unquote elite families or royal families and bloodlines.
[01:02:33.406 --> 01:02:37.448]  And this is the knowledge that they are trying to keep from dispensing to the public.
[01:02:37.448 --> 01:02:52.174]  These are the floodgates they're trying to hold back because coming back to this idea of collective consciousness and energy frequency and vibration, once this knowledge makes its way into the collective consciousness stream, then the death matrix dissolves.
[01:02:52.174 --> 01:02:54.455]  That there's nothing that they can do.
[01:02:54.455 --> 01:02:57.596]  There's nothing that they can, nothing can stop what's coming.
[01:02:57.596 --> 01:03:01.278]  It's like a global flood of sorts, except it's like what Jesus said about
[01:03:02.099 --> 01:03:06.125]  The wisdom of God will fill the land as water fills the sea.
[01:03:06.125 --> 01:03:11.152]  The lion will lie down with the lamb and there will be no more killing or destroying.
[01:03:11.152 --> 01:03:13.215]  And that is, I think, what he saw.
[01:03:13.215 --> 01:03:14.417]  He saw the future, man.
[01:03:14.986 --> 01:03:17.446]  You know, and I believe that is coming.
[01:03:17.446 --> 01:03:20.527]  I believe we are creating a new heaven on earth as we speak.
[01:03:20.527 --> 01:03:24.208]  This is the most exciting time we possibly could have picked to be alive.
[01:03:24.208 --> 01:03:27.328]  The ancients pointed to this time as like, I want to be alive right there.
[01:03:27.328 --> 01:03:29.128]  I want to see what's going to happen there.
[01:03:29.128 --> 01:03:35.730]  Because we're coming out of this very dark night of the collective soul and into a collective awakening.
[01:03:35.730 --> 01:03:43.731]  Into an awakening to all this stuff that has been suppressed for millennia and has been kept for a very specific group of families.
[01:03:44.231 --> 01:03:49.655]  And that's why they go after people that are exposing these truths.
[01:03:49.655 --> 01:03:52.317]  Keep going.
[01:03:52.317 --> 01:03:53.258]  Okay, sure.
[01:03:53.258 --> 01:03:55.200]  So, look at it like this.
[01:03:55.200 --> 01:04:07.169]  If human beings are the grains of rice on the speaker, and the electromagnetic field around the Earth is the speaker, I mean, is the frequency of the speaker,
[01:04:07.822 --> 01:04:16.244]  Then, that electromagnetic field around the Earth is actually connected to all the planets in the solar system and the electromagnetic field of the Sun.
[01:04:16.244 --> 01:04:19.625]  Now, this comes into this idea of Saturn, okay?
[01:04:19.625 --> 01:04:26.886]  And Saturn is a very strong presence, though it is not the strongest presence in the solar system, but is a very strong presence.
[01:04:26.886 --> 01:04:30.047]  Now, through symbolism, right?
[01:04:30.845 --> 01:04:35.808]  We have been inundated with symbols for Saturn.
[01:04:35.808 --> 01:04:50.435]  And based on this idea of like what I was saying before about the multidimensional nature to our consciousness, what they are attempting to do is they are attempting to use the cymatic frequency of Saturn, almost like a metaphysical prison wall.
[01:04:51.064 --> 01:04:58.509]  To confine our minds, to confine our souls, and in one way or another affect the frequency of planet Earth.
[01:04:58.509 --> 01:05:06.814]  Because as we are all tuned into the Saturnian frequency, we are actually feeding the Saturnian frequency with our hearts and with our minds.
[01:05:06.814 --> 01:05:16.780]  And if these people that worship Saturn are the ones in control of the legal system, they're the ones that are creating all this parasitism, dominance, war, predation, chaos, famine, disease, etc.
[01:05:17.760 --> 01:05:31.213]  Then they believe, these Satanists or Saturnists, these Saturnists, they believe that all of that pain, chaos, death, suffering, disease, famine, all of that is going to Saturn.
[01:05:31.213 --> 01:05:33.956]  It's all going to feed Satan.
[01:05:33.956 --> 01:05:34.637]  Okay?
[01:05:34.637 --> 01:05:36.879]  That it is a sacrifice to Satan.
[01:05:37.815 --> 01:05:41.138]  And same thing with the testimony of Zachary King.
[01:05:41.138 --> 01:05:42.619]  And let's go forward with this.
[01:05:42.619 --> 01:05:48.584]  The Romans worshipped Saturn and a bunch of other gods, but that was their basic Satan cult.
[01:05:48.584 --> 01:05:57.191]  And if you study what the globalists think today, they believe the planets, especially the gas giants, are interdimensional portals to which they send the energy.
[01:05:57.191 --> 01:06:01.274]  So they see Saturn not just as a god, but as a jump point.
[01:06:03.231 --> 01:06:04.112]  Yes.
[01:06:04.112 --> 01:06:17.961]  So all of these planets are in one way or another cymatic vortexes of energy that are creating a field around them that is creating a very specific pattern, a cymatic pattern, in space and time.
[01:06:17.961 --> 01:06:24.506]  So basically the planets are like different keys on a piano and they're just hitting the Satan panel constantly.
[01:06:24.506 --> 01:06:25.326]  Boop, boop, boop.
[01:06:25.326 --> 01:06:26.327]  They're just hitting that tone.
[01:06:26.327 --> 01:06:28.128]  Yes.
[01:06:28.128 --> 01:06:28.569]  Correct.
[01:06:28.569 --> 01:06:29.870]  And it's a very low frequency.
[01:06:31.557 --> 01:06:32.197]  Tone.
[01:06:32.197 --> 01:06:34.179]  It's a very low frequency tone.
[01:06:34.179 --> 01:06:38.002]  Now, Jupiter is a very high frequency.
[01:06:38.002 --> 01:06:41.584]  And it's actually completely the opposite of Saturn.
[01:06:41.584 --> 01:06:43.926]  Saturn is Kronos.
[01:06:43.926 --> 01:06:45.908]  Kronos eats his children.
[01:06:45.908 --> 01:06:47.769]  And Jupiter is Zeus.
[01:06:47.769 --> 01:06:53.033]  And Zeus helped to basically rally the gods to defeat Saturn.
[01:06:53.033 --> 01:06:54.094]  To defeat Kronos.
[01:06:54.858 --> 01:07:15.399]  Okay, so when we look at ancient mythology we can actually find that they understood this interdimensional stuff quite well and when we get into this notion of like cymatic frequencies and the downloading of information into the planet and this information encoding the electromagnetic field of the planet itself with
[01:07:16.620 --> 01:07:22.002]  With data that we can then branch to in space and time, otherwise we wouldn't be able to create reality.
[01:07:22.002 --> 01:07:37.846]  So, it's almost like the Earth is like a massive supercomputer, a massive supercomputer of sorts, that is downloading massive amounts of information that we can then use and channel through our bodies to create specific realities within that space-time paradigm.
[01:07:38.323 --> 01:07:39.444]  What is the sun in this?
[01:07:39.444 --> 01:07:43.366]  Because again, Earth is the third planet out, symbolizing third dimension.
[01:07:43.366 --> 01:07:47.089]  You've got Venus, you know, second dimension, the most base of life.
[01:07:47.089 --> 01:07:50.371]  Then you've got Mercury that's actually just the matter.
[01:07:50.371 --> 01:07:54.314]  What does the sun symbolize?
