[00:00:05.635 --> 00:00:06.136]  Stand by.
[00:40:48.490 --> 00:41:03.340]  We're all basically paddling for shore, a hurricane's coming in, we're in a rowboat, and you're bitching about me being a racist when waves are starting to lap into it, and if we don't get to shore, that hurricane's gonna kill us, you idiots!
[00:41:03.340 --> 00:41:05.422]  You like being murdered in your house slow?
[00:41:05.422 --> 00:41:06.543]  You like being killed?
[00:41:06.543 --> 00:41:09.685]  You like the state taking your kids over and brainwashing them?
[00:41:09.685 --> 00:41:14.048]  Then keep watching Melissa Harris Perry, who hates your stinking guts!
[00:41:16.784 --> 00:41:19.485]  She hates my stinking guts as well.
[00:41:19.485 --> 00:41:20.945]  That's what all makes us the same.
[00:41:20.945 --> 00:41:23.546]  We got red blood, stinking guts.
[00:41:23.546 --> 00:41:26.186]  And where's your heart?
[00:41:26.186 --> 00:41:30.468]  See that big fat parasite Rick Ross drinking your blood?
[00:41:30.468 --> 00:41:31.908]  Sucking you.
[00:41:31.908 --> 00:41:34.449]  Sucking you and your family dry and you can't even see it.
[00:41:34.449 --> 00:41:38.730]  Makes you want to throw up.
[00:41:38.730 --> 00:41:39.530]  Now continuing.
[00:41:47.537 --> 00:41:56.660]  Briefly, you're absolutely guaranteed to get your packages if you order in the next 48 hours.
[00:41:56.660 --> 00:42:01.202]  We have to cut off saying you can get it by noon Friday, basically.
[00:42:01.202 --> 00:42:05.504]  And that's 48 hours.
[00:42:05.504 --> 00:42:07.104]  A little more than 48 hours.
[00:42:07.104 --> 00:42:14.067]  Anywhere in the United States, if you get your orders in an InfoWarsStore.com or InfoWarsLife.com, whether it's the off-the-grid,
[00:42:15.387 --> 00:42:40.127]  Super awesome, cutting edge, super inexpensive, comparatively, solar generator systems for your house, exclusively available on m4store.com, or whether it is 20% off X2 Nation Iodine, only until Friday, the Essentials Pack, ending Friday, Survival Shield X2, Super Metal Vitality, Silver Bullet, 33% off, and the discounts go on and on.
[00:42:42.861 --> 00:42:45.802]  Deep Cleanse, first sell ever of this product.
[00:42:45.802 --> 00:42:46.282]  17% off.
[00:42:46.282 --> 00:42:47.983]  It will sell out by next week.
[00:42:47.983 --> 00:42:52.605]  Winter Sun, the best organic vitamin D for under the tongue.
[00:42:52.605 --> 00:42:53.025]  15% off.
[00:42:53.025 --> 00:42:54.105]  Key during the winter.
[00:42:54.105 --> 00:42:56.786]  Your body doesn't produce it during the winter.
[00:42:56.786 --> 00:42:58.087]  Wake up a friend coffee special.
[00:42:58.087 --> 00:43:00.988]  Two bags of what I think is the best coffee out there.
[00:43:00.988 --> 00:43:02.188]  It's organic.
[00:43:02.188 --> 00:43:05.830]  And get a free Infowars coffee mug.
[00:43:05.830 --> 00:43:07.690]  A $9 value with it.
[00:43:07.690 --> 00:43:09.251]  Made in America, I should add.
[00:43:10.939 --> 00:43:28.167]  Those are the specials we're running, and you can also go in, make your purchase, and then put in the address of friends or family with a little note you can type on there that comes with the order, saying Merry Christmas or Happy Holidays, or hey, you know, get healthy, or hey, try this, it helped me.
[00:43:28.167 --> 00:43:38.912]  Whatever your experience is, if you used X2, and it gave you amazing results like you've heard with the five-star reviews and the callers, and myself, if you used OxyPowder, if you used Deep Cleanse, if you used Silver Bullet,
[00:43:40.143 --> 00:43:49.911]  If you use Lung Cleanse, if you used any of these amazing products, Super Male, Super Female Vitality, and it really helped you, and you really liked it,
[00:43:51.732 --> 00:43:53.513]  Well then, pay it forward.
[00:43:53.513 --> 00:43:55.734]  Send a bottle of X2 to your friends and family.
[00:43:55.734 --> 00:43:57.114]  Call them up, tell them how to use it.
[00:43:57.114 --> 00:44:02.317]  Or order it, if it's, you know, the family that lives in your town, and give them the presents Christmas Eve.
[00:44:02.317 --> 00:44:06.559]  Infowarslife.com or 888-253-3139.
[00:44:06.559 --> 00:44:15.323]  And you're not buying the products from some big globalist corporation that then gives the money to anti-gun groups or open border groups or the rest of it.
[00:44:16.800 --> 00:44:43.428]  If you are voting with your dollars, voting with your currency to support an organization that's dedicated to viciously expose the New World Order, to raise the alarm, to blow the big trumpet on the castle wall, to light the sentinel fires, to raise the people, the modern Paul Revere operation, we are the foremost horseman in the night riding
[00:44:44.670 --> 00:44:55.277]  Warning the people, letting them know what's happening, and trying to get other people to ride with us, to continue to ride into the land and across the world, warning people.
[00:44:55.277 --> 00:45:14.371]  It's equivalent of Paul Revere riding five, six hours of the night, his horse is exhausted, sweating all over, and riding into a barn with waiting patriots who take that horse, put a blanket over it, give it water, give it grain, and put Paul Revere on another big horse, so he can ride right back into the night and continue.
[00:45:17.921 --> 00:45:20.023]  On a mission, committed.
[00:45:20.023 --> 00:45:25.326]  You are those Paul Reveres of your race, color, and creed.
[00:45:25.326 --> 00:45:28.068]  And it's time for you to take action.
[00:45:28.068 --> 00:45:32.151]  It's time for you to get involved in the InfoWar.
[00:45:32.151 --> 00:45:34.793]  If you haven't, many of you have, and I salute you and thank you.
[00:45:34.793 --> 00:45:41.097]  InfoWarsStore.com, InfoWarsLife.com for the nutraceuticals, or we'll answer all your questions and take your order, whatever you'd like, at 888-253-3139.
[00:45:45.632 --> 00:45:46.352]  Brain Force.
[00:45:46.352 --> 00:45:48.593]  I mean, Tribe, what I believe is the ultimate brain pill.
[00:45:48.593 --> 00:45:50.073]  I mean, folks, Tribe, they're just blown away.
[00:45:50.073 --> 00:45:51.393]  Hillary for Prison Shirts.
[00:45:51.393 --> 00:45:52.954]  We're not ordering any more of those.
[00:45:52.954 --> 00:45:55.615]  Some sizes have already sold out.
[00:45:55.615 --> 00:45:57.195]  Hillary for Prison Shirts and more.
[00:45:57.195 --> 00:45:59.716]  Infowarsstore.com.
[00:45:59.716 --> 00:46:02.736]  But really, the best deals are the Essentials Pack, 33% off.
[00:46:02.736 --> 00:46:05.317]  Deep Cleanse Pack, 28% off.
[00:46:05.317 --> 00:46:05.497]  20% off.
[00:46:05.497 --> 00:46:06.937]  Nacin Iodine and more.
[00:46:06.937 --> 00:46:09.918]  Infowarslife.com.
[00:46:09.918 --> 00:46:11.759]  Okay.
[00:46:11.759 --> 00:46:13.199]  Let's now get back into the news here.
[00:46:15.828 --> 00:46:24.890]  We've already mentioned that all of the LA United School District, arguably the biggest in the country, has been shut down today.
[00:46:24.890 --> 00:46:34.292]  No school, not for ice, not for floods, not for wildfires, but for the terrorism that is not terrorism.
[00:46:34.292 --> 00:46:36.912]  It's an unspecified threat was received.
[00:46:36.912 --> 00:46:40.073]  They're now saying via email, mentioning the show Homeland.
[00:46:43.621 --> 00:46:47.463]  And so whether this is real or not, I mean, they have police all over the place.
[00:46:47.463 --> 00:46:50.904]  You just had the police on call to go in the school.
[00:46:50.904 --> 00:46:54.966]  You just stationed a cruiser outside every school.
[00:46:54.966 --> 00:46:58.287]  One cop's good enough for a couple of jihadis.
[00:46:58.287 --> 00:47:01.968]  I mean, I'm not sitting there saying I'm the toughest guy around, but I've had folks pull guns on me growing up in Dallas.
[00:47:01.968 --> 00:47:07.411]  I took them away from them and pistol-whipped them twice.
[00:47:07.411 --> 00:47:08.831]  I'm not even going to tell one of the stories.
[00:47:08.831 --> 00:47:10.492]  I haven't told some of the stuff.
[00:47:10.492 --> 00:47:12.012]  It's just over the top.
[00:47:12.012 --> 00:47:13.233]  But I had a buddy that
[00:47:16.303 --> 00:47:17.203]  I'm not going to get into it.
[00:47:17.203 --> 00:47:26.366]  The point is, believe me, I don't know where America is that they sit around for 30 minutes, an hour, two hours before they go into these schools and take action.
[00:47:26.366 --> 00:47:27.746]  And they've gotten quicker about it.
[00:47:27.746 --> 00:47:32.948]  But I mean, in the old days, the UT shooter was up there shooting for, you know, 30 minutes or so.
[00:47:32.948 --> 00:47:38.570]  Folks went up the tower, a citizen and an Austin cop and killed a guy.
[00:47:38.570 --> 00:47:42.991]  And nowadays, who knows how long somebody be up in a tower like that, a crazy Marine with a giant brain tumor.
[00:47:45.879 --> 00:47:49.541]  And so you shouldn't cancel school, you shouldn't live in panicked fear.
[00:47:49.541 --> 00:47:53.664]  That's exactly what the jihadists want.
[00:47:53.664 --> 00:47:54.365]  But look at this.
[00:47:54.365 --> 00:47:59.528]  Hackers trace ISIS Twitter accounts back to the UK government.
[00:47:59.528 --> 00:47:59.828]  U.S.
[00:47:59.828 --> 00:48:02.950]  visas continue to be handled by foreign contractors.
[00:48:02.950 --> 00:48:07.193]  Wayne Matson has the story on InfoWars.com.
[00:48:07.193 --> 00:48:09.895]  NATO nations training recruiting jihadists.
[00:48:09.895 --> 00:48:12.897]  Albania and Turkey are supplying fresh troops for Islamic State.
[00:48:14.704 --> 00:48:18.225]  That's another exclusive to InfoWars.com, but it links through to all the mainstream media.
[00:48:18.225 --> 00:48:19.886]  I mean, it's admitted.
[00:48:19.886 --> 00:48:30.110]  Turkish Eman in the USA got $500 million in Texas last year alone of taxpayer money to set up radical training schools.
[00:48:30.110 --> 00:48:35.832]  He's got billions of dollars worldwide
[00:48:37.768 --> 00:48:42.993]  It's just $20 billion, and just in Texas he gets $500 million a year.
[00:48:42.993 --> 00:48:46.216]  He has $25 billion in assets.
[00:48:46.216 --> 00:48:48.938]  That's a David Knight report on InfoWars.com.
[00:48:48.938 --> 00:48:54.043]  And David Knight and others came to me about two weeks ago and said, hey, we want to go cover this.
[00:48:54.043 --> 00:48:58.868]  By all means, Joe Biggs, David Knight, you know, let's do it.
[00:48:58.868 --> 00:49:00.289]  The media won't cover it, let's cover it.
[00:49:02.654 --> 00:49:08.559]  There's finally lawsuits going on about it, so maybe this will get some media attention to it, but this is big.
[00:49:08.559 --> 00:49:18.187]  And we started on the East Coast at the different radical training centers, but now Texas is obviously in the news with $500 million a year in taxpayer money.
[00:49:19.676 --> 00:49:21.976]  You know how much taxpayer money InfoWars gets?
[00:49:21.976 --> 00:49:22.877]  Zero.
[00:49:22.877 --> 00:49:23.777]  Zero.
[00:49:23.777 --> 00:49:24.617]  Zero.
[00:49:24.617 --> 00:49:25.457]  Zero.
[00:49:25.457 --> 00:49:26.257]  Zero.
[00:49:26.257 --> 00:49:27.037]  Zero.
[00:49:27.037 --> 00:49:27.817]  Zero.
[00:49:27.817 --> 00:49:28.858]  Zero.
[00:49:28.858 --> 00:49:30.538]  And you know how much the jihadis get?
[00:49:30.538 --> 00:49:32.838]  Billions and billions and billions and billions.
[00:49:32.838 --> 00:49:38.059]  You know how many mosques Saudi Arabia opens a year in Europe?
[00:49:38.059 --> 00:49:38.999]  Over a hundred.
[00:49:38.999 --> 00:49:47.501]  And now they've announced an acceleration to 200 mosques a year, exporting their poorest and most radical to Europe.
[00:49:48.390 --> 00:49:53.894]  With a deal with Merkel and the rest of these people.
[00:49:53.894 --> 00:49:55.875]  And now they're building mosques here.
[00:49:55.875 --> 00:50:02.300]  And again, they're not exporting nice friendly Muslims that I've known, that are moderates, that their daughters have freedom.
[00:50:02.300 --> 00:50:14.288]  They're exporting basically the equivalent of, I don't want to be mean to rednecks, but these are like hillbilly radical Muslims that are the worst of the worst.
[00:50:17.165 --> 00:50:23.788]  I mean, I love how the liberals shoot their mouth all day about country people being racist or bad or backwards when we're some of the most hard-working, smart people out there.
[00:50:23.788 --> 00:50:25.769]  Meanwhile, you talk about backward.
[00:50:25.769 --> 00:50:36.715]  Don't let their women come out of the house, basically chain them up, and feminists just think it is the sexiest thing since... since armpire... I mean, armpit hair.
[00:50:36.715 --> 00:50:38.096]  Braiding their beautiful armpit hair.
[00:50:40.319 --> 00:50:47.143]  They just can't wait to have a burka put on their head and I guess be back-slapped to have their teeth knocked out a little bit.
[00:50:47.143 --> 00:50:47.723]  Black eye.
[00:50:47.723 --> 00:50:49.844]  They're like, oh, it's so liberal.
[00:50:49.844 --> 00:50:51.525]  Oh, but you see that other guy?
[00:50:51.525 --> 00:50:52.605]  He was wearing pants.
[00:50:52.605 --> 00:50:53.646]  Yeah.
[00:50:53.646 --> 00:50:54.726]  Yeah, man.
[00:50:54.726 --> 00:50:57.148]  Western men.
[00:50:57.148 --> 00:50:59.249]  I deserve everything for free.
[00:50:59.249 --> 00:51:00.289]  I like the radicals though.
[00:51:00.289 --> 00:51:01.450]  Are you prepared to bug out?
[00:51:01.450 --> 00:51:09.194]  Infidel Body Armor and an Army Ranger have produced a high-speed DVD and book to show you how to drive in combat, patrol, and how to survive in combat.
[00:51:09.474 --> 00:51:09.734]  I think so.
[00:51:30.302 --> 00:51:37.405]  As the cold and flu season approaches, Silver Lungs is ready to help you and your family through the toughest of the year by supporting your immune system and overall health.
[00:51:37.405 --> 00:51:44.268]  From our best-selling colloidal silver generating system to our entire line of silver-based skin gels, nasal sprays, soaps, and silver solutions.
[00:51:44.268 --> 00:51:49.070]  Silver solutions remain one of nature's most powerful and least expensive antibacterial agents.
[00:51:49.070 --> 00:51:55.513]  Now you can produce your own for pennies a day in the comfort of your home using the breakthrough technology of the Silver Lungs Generator.
[00:51:55.513 --> 00:51:58.655]  Learn more today at www.silverlungs.com.
[00:51:59.622 --> 00:52:02.463]  If survivalist housing has been in your plans, get ready!
[00:52:02.463 --> 00:52:06.525]  We're bringing our Timberline Range Camps to you February 6th through 14th.
[00:52:06.525 --> 00:52:09.427]  The Great American Outdoor Show in Harrisburg, Pennsylvania.
[00:52:09.427 --> 00:52:16.270]  Get an up-close look at some of our most popular Timberline models, or visit survivalistcamps.com to pre-order a camp.
[00:52:16.270 --> 00:52:18.871]  We'll bring it to the show and save you the cost of shipping.
[00:52:18.871 --> 00:52:21.293]  It's the perfect time to get that camp you've wanted.
[00:52:21.293 --> 00:52:28.196]  Go to survivalistcamps.com, then plan on joining us at the Great American Outdoor Show in February in Harrisburg, Pennsylvania.
[00:52:29.301 --> 00:52:32.363]  My dad was 59 when he collapsed from a heart attack late last year.
[00:52:32.363 --> 00:52:34.964]  Just this past August was when we spread his ashes on the St.
[00:52:34.964 --> 00:52:35.744]  Croix River.
[00:52:35.744 --> 00:52:37.965]  I loved my dad, but boy was he stubborn.
[00:52:37.965 --> 00:52:40.927]  He hadn't been to the doctor in over 25 years.
[00:52:40.927 --> 00:52:41.807]  His excuse?
[00:52:41.807 --> 00:52:43.148]  He simply couldn't afford it.
[00:52:43.148 --> 00:52:44.749]  He wasn't a rich man by any means.
[00:52:44.749 --> 00:52:50.512]  At less than $107 per month, LibertyOnCall.org would have been the perfect alternative for my father.
[00:52:50.512 --> 00:52:51.552]  Don't wait.
[00:52:51.552 --> 00:52:54.214]  Go to LibertyOnCall.org right now.
[00:52:54.214 --> 00:52:56.715]  For not just your sake, but for the sake of your loved ones.
[00:52:56.715 --> 00:52:58.296]  Again, that's LibertyOnCall.org.
[00:52:59.196 --> 00:53:07.581]  If you or someone you care about loves outdoor adventure, then check out SlingBow.com for some unique holiday gift ideas.
[00:53:07.581 --> 00:53:16.226]  That's SlingBow.com, where we have some innovative new products for the archer, hunter, or bow fishing enthusiast in your family.
[00:53:16.226 --> 00:53:20.949]  Now through January, use the promo code HOLIDAY to get free shipping in the U.S.
[00:53:20.949 --> 00:53:22.089]  or Canada.
[00:53:22.089 --> 00:53:27.993]  And from all of us at SlingBow Industries, have a safe, joyous, and peaceful holiday season.
[00:53:29.127 --> 00:53:38.570]  We use mobile devices right against our bodies every day, but growing scientific evidence has emerged showing serious health risks associated with exposure to EMF radiation emitted from these devices.
[00:53:38.570 --> 00:53:42.992]  The solution is DefenderShield, the most effective mobile radiation shielding ever developed.
[00:53:42.992 --> 00:53:49.994]  DefenderShield blocks virtually 100% of EMF radiation from cell phones, tablets, and laptops, and starts at just $64.99.
[00:53:49.994 --> 00:53:52.215]  Buy now at DefenderShield.com.
[00:53:52.215 --> 00:53:54.256]  For 10% off, use promo code GCN.
[00:53:54.256 --> 00:53:57.777]  DefenderShield.com, the worldwide leader in mobile radiation shielding.
[00:54:15.603 --> 00:54:26.449]  When I start ranting, it's because I can't believe that our government's been hijacked by criminals, the UK government, the EU governments, NATO.
[00:54:26.449 --> 00:54:39.957]  Our own top generals, like four of them now, have come out and said, we run Al-Qaeda, we were ordered to run Al-Qaeda, ISIS is Al-Qaeda, 95% of the rebels are Al-Qaeda, they're basically all bad, this is evil, we don't want to be part of it.
[00:54:39.957 --> 00:54:42.259]  And then nothing happens.
[00:54:42.259 --> 00:54:43.740]  There is an Inspector General
[00:54:44.946 --> 00:54:50.070]  of the Pentagon investigation now, so I guess something is happening.
[00:54:50.070 --> 00:54:51.952]  But it's cut and dry.
[00:54:51.952 --> 00:54:56.176]  Congress should be impeaching Hillary and Obama right now.
[00:54:56.176 --> 00:54:58.418]  Here's the problem.
[00:54:58.418 --> 00:55:03.042]  Lindsey Graham and people like John McCain
[00:55:04.813 --> 00:55:14.037]  Are both involved heavily with other Republicans in cheerleading, just as bad as Obama and Hillary, for arming and controlling ISIS.
[00:55:14.037 --> 00:55:16.058]  The difference is they didn't actually direct it.
[00:55:16.058 --> 00:55:18.379]  They're still guilty though.
[00:55:18.379 --> 00:55:23.941]  Ted Cruz, you know, two years ago said we shouldn't be al-Qaeda's air force in Syria, but he still backs toppling Assad.
[00:55:23.941 --> 00:55:26.062]  He's hedging his bet.
[00:55:26.062 --> 00:55:29.683]  And that's the one big problem I have with him, because he's really smart.
[00:55:29.683 --> 00:55:31.684]  Smarter than I am, probably.
[00:55:31.684 --> 00:55:34.145]  Probably one of the smartest guys when it comes to politics.
[00:55:35.342 --> 00:55:39.544]  One of the most informed, and he knows well what he's doing.
[00:55:39.544 --> 00:55:42.526]  Big strike against Ted Cruz.
[00:55:42.526 --> 00:55:44.787]  And I admire Ted Cruz.
[00:55:44.787 --> 00:55:47.989]  Big strike against Donald Trump that he says, I'll shut down parts of the internet.
[00:55:47.989 --> 00:55:49.330]  That's dangerous talk, Donald.
[00:55:49.330 --> 00:55:52.772]  I still like him.
[00:55:52.772 --> 00:56:02.137]  But as much as I have problems with those two guys, or Rand Paul, acting all, you know, limp-wristed, basically.
[00:56:02.137 --> 00:56:04.018]  I say that trying to get him going.
[00:56:04.018 --> 00:56:04.559]  Tough love.
[00:56:05.509 --> 00:56:09.391]  They're light years better than Bernie, Hillary, Jeb.
[00:56:09.391 --> 00:56:10.912]  I mean, give me a break.
[00:56:10.912 --> 00:56:12.293]  The debate's tonight.
[00:56:12.293 --> 00:56:12.693]  7 o'clock.
[00:56:12.693 --> 00:56:13.274]  Live coverage.
[00:56:13.274 --> 00:56:14.655]  InfoWars.com.
[00:56:14.655 --> 00:56:16.356]  InfoWars.com forward slash show.
[00:56:16.356 --> 00:56:19.257]  Have the live feed.
[00:56:19.257 --> 00:56:21.679]  InfoWars.com forward slash 2016.
[00:56:21.679 --> 00:56:22.700]  Let's make that a link.
[00:56:22.700 --> 00:56:24.521]  InfoWars.com forward slash 2016.
[00:56:24.521 --> 00:56:26.602]  That isn't a URL yet.
[00:56:26.602 --> 00:56:27.823]  It will be in five minutes.
[00:56:27.823 --> 00:56:28.783]  That's the link to share.
[00:56:28.783 --> 00:56:29.524]  We'll tweet that out.
[00:56:30.950 --> 00:56:39.795]  And please help us retweet it, and I'm going to do a bunch of Facebook mentions tonight, galvanizing folks to come in and watch our live coverage.
[00:56:39.795 --> 00:56:46.438]  Now, I don't know about time to get to these during this break, but I have Trey Gowdy, Grills DHS official on due process.
[00:56:46.438 --> 00:56:50.320]  Obama's Undersecretary of the Army nominee says ISIS is not contained.
[00:56:50.320 --> 00:56:51.201]  Obama says it is.
[00:56:52.401 --> 00:56:58.106]  North Carolina Governor, the feds don't tell us where, when, or who we're bringing in the refugees.
[00:56:58.106 --> 00:57:00.087]  Let's play that one first.
[00:57:00.087 --> 00:57:07.493]  This is North Carolina Governor Pat McCrory appearing on Fox News to discuss some other topics, sanctuary cities, and Syrian refugees.
[00:57:07.493 --> 00:57:15.619]  Now remember, they're going to track everything you do, spy on you, put you on no-fly list as a citizen with no evidence, no proof.
[00:57:15.619 --> 00:57:19.162]  Just to jack with you and set the precedent for extrajudicial control.
[00:57:19.162 --> 00:57:21.084]  The IRS now has gotten the law passed.
[00:57:21.972 --> 00:57:26.233]  Uh, where they're gonna not let you fly if you haven't paid your income taxes.
[00:57:26.233 --> 00:57:29.314]  But no judge, no jury, they just claim there's a problem.
[00:57:29.314 --> 00:57:33.236]  This is internal checkpoints, the essence of a tyranny.
[00:57:33.236 --> 00:57:37.757]  I mean, that is the most signified, bonafide, one symbol.
[00:57:37.757 --> 00:57:45.660]  You gotta say one thing, not being able to travel when you haven't been indicted or on parole, I mean, baby, that's the big daddy.
[00:57:45.660 --> 00:57:48.701]  That's the Godzilla of, uh, Japanese monsters.
[00:57:49.401 --> 00:57:51.242]  I mean, it's the big kahuna.
[00:57:51.242 --> 00:57:52.943]  It's the big red flag.
[00:57:52.943 --> 00:57:54.983]  It's the... it's bad.
[00:57:54.983 --> 00:57:57.865]  Papers and an internal passport.
[00:57:57.865 --> 00:57:59.965]  Yeah, and restrictions.
[00:57:59.965 --> 00:58:01.766]  You want it, you got it.
[00:58:01.766 --> 00:58:04.667]  Any form of slavery you want, it all starts there.
[00:58:04.667 --> 00:58:10.810]  And here they are saying they won't tell us who these people are and they just disappear because security's all a fraud.
[00:58:10.810 --> 00:58:13.051]  Our government is run by the terrorists.
[00:58:13.051 --> 00:58:13.591]  Let's play the clip.
[00:58:15.808 --> 00:58:18.732]  You have Syrian refugees headed to North Carolina.
[00:58:18.732 --> 00:58:20.674]  You oppose that, but you can't stop it, correct?
[00:58:21.724 --> 00:58:22.244]  That's correct.
[00:58:22.244 --> 00:58:23.845]  We're not even told by the president.
[00:58:23.845 --> 00:58:30.628]  I think the most misinformation is that the federal government and Homeland Security and the president tell each governor.
[00:58:30.628 --> 00:58:35.150]  When these Syrian refugees come to our state, we have no communication whatsoever.
[00:58:35.150 --> 00:58:35.670]  Yeah, you don't know.
[00:58:35.670 --> 00:58:37.791]  When they come, where they go, who they are.
[00:58:37.791 --> 00:58:38.312]  We'll be back.
[00:58:38.312 --> 00:58:38.632]  We'll be back.
[00:58:38.632 --> 00:58:39.352]  It's all a fraud.
[00:58:39.352 --> 00:58:40.573]  It's all a scam.
[00:58:40.573 --> 00:58:42.233]  You are listening to GCN.
[00:58:42.233 --> 00:58:44.114]  The terrorists are getting ready to hit us.
[00:58:44.114 --> 00:58:45.895]  And they're going to take all our rights.
[00:58:45.895 --> 00:58:47.416]  The terrorists run the White House.
[00:58:49.847 --> 00:58:53.369]  When cells become toxic, they die early and aging sets in.
[00:58:53.369 --> 00:59:01.614]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:59:01.614 --> 00:59:07.017]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:59:07.017 --> 00:59:09.559]  You want the best that's out there at the lowest price anywhere?
[00:59:09.559 --> 00:59:11.660]  We now have the synergistic solution.
[00:59:11.660 --> 00:59:15.862]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:59:19.784 --> 00:59:20.885]  BrainForce is here.
[00:59:20.885 --> 00:59:23.085]  Ladies and gentlemen, I've been on this the last few months.
[00:59:23.085 --> 00:59:28.088]  You've probably noticed I've been more focused, less brain fog, more energy, and it's because of BrainForce.
[00:59:28.088 --> 00:59:31.369]  There's always hidden additives in your food, even organic food has hidden additives.
[00:59:31.369 --> 00:59:34.851]  Staring at the computer all day, working, doing good, you're still damaging your brain.
[00:59:34.851 --> 00:59:36.832]  Ultimately, we've all been dumbed down to some degree.
[00:59:36.832 --> 00:59:38.932]  It doesn't have stimulants, it doesn't have garbage in it.
[00:59:38.932 --> 00:59:40.953]  It has natural things that do it clean.
[00:59:40.953 --> 00:59:46.536]  You will find BrainForce and other game-changing products at InfoWarsLife.com or call 888-253-3139.
[00:59:52.421 --> 00:59:55.623]  You're listening to The Alex Jones Show.
[00:59:55.623 --> 01:00:13.092]  The answer to 1984 is 1776.
[01:00:13.092 --> 01:00:21.697]  You're listening to The Alex Jones Show.
[01:00:32.620 --> 01:00:35.603]  You walk into this room at your own risk.
[01:00:35.603 --> 01:00:37.764]  Because it leads to the future.
[01:00:37.764 --> 01:00:41.207]  Not a future that will be, but one that might be.
[01:00:41.207 --> 01:00:43.429]  This is not a new world.
[01:00:43.429 --> 01:00:47.852]  It is simply an extension of what began in the old one.
[01:00:47.852 --> 01:00:55.318]  It has patterned itself after every dictator who has ever planted the ripping imprint of a boot on the pages of history since the beginning of time.
[01:00:56.264 --> 01:01:04.328]  It has refinements, technological advances and a more sophisticated approach to the destruction of human freedom.
[01:01:04.328 --> 01:01:10.051]  But like every one of the super states that preceded it, it has one iron rule.
[01:01:10.051 --> 01:01:17.655]  Logic is an enemy and truth is a menace.
[01:01:17.655 --> 01:01:20.377]  This is Mr. Romney Wordsworth.
[01:01:20.377 --> 01:01:21.397]  In his last 48 hours on Earth,
[01:01:23.061 --> 01:01:27.043]  He's a citizen of the state, but will soon have to be eliminated.
[01:01:27.043 --> 01:01:29.505]  Because he's built out of flesh.
[01:01:29.505 --> 01:01:31.806]  And because he has a mind.
[01:01:31.806 --> 01:01:38.290]  Mr. Romney Wordsworth, who will draw his last breaths in the Twilight Zone.
[01:01:38.290 --> 01:01:42.552]  More like the Globalist Obama Zone.
[01:01:42.552 --> 01:01:46.574]  InfoWars.com And you're watching the Alex Jones Show!
[01:01:46.574 --> 01:01:48.355]  Merry Christmas!
[01:01:48.355 --> 01:01:49.356]  And a Happy New Year!
[01:01:50.666 --> 01:02:19.159]  I'll be honest with you, all the Christmas worship, the obsession with it, I never disliked it, but I didn't like the crowds, the traffic, I liked the lights, I liked some of the presents when I was a kid, but overall I like Thanksgiving better, because I just like family, I like Christmas food, I like holiday food, I like pumpkin pie and cherry pie, getting hungry, and ham and turkey and you know, grandma and the rest of it, but piles of toys and everything, even when I was a kid it was kind of like, this is kind of obscene.
[01:02:21.604 --> 01:02:37.195]  I'd rather go hiking or something when I was a kid, but as I get older, I like it more and more because at least it's family, at least it's wholesome compared to this new culture, and I just get more nostalgic by the day now.
[01:02:37.195 --> 01:02:40.958]  And it brings me back to being a kid and I just love Christmas.
[01:02:40.958 --> 01:02:42.399]  And the filthy scum
[01:02:43.729 --> 01:02:47.832]  That have taken this country over, and Europe over, are banning Christmas carols in Italy.
[01:02:47.832 --> 01:02:49.633]  They're banning it in Germany.
[01:02:49.633 --> 01:02:50.834]  They're telling women how to dress.
[01:02:50.834 --> 01:02:58.418]  They're telling people you can't have Oktoberfest outside because, you know, there's 10,000 migrants in the town of 5,000 now, and they come up and say you're not going to drink that beer.
[01:02:58.418 --> 01:03:08.165]  I mean, it's crazy to have these arrogant, stuck-up, crazy people who come from these henpecked countries where they just suppress each other all day and make each other conform.
[01:03:08.165 --> 01:03:10.927]  Then they come to our truly liberal cultures
[01:03:11.787 --> 01:03:17.329]  And a bunch of fake liberals team up with him to tell us what words to use and how to talk and how to behave.
[01:03:17.329 --> 01:03:18.610]  I'm sick of it!
[01:03:18.610 --> 01:03:19.810]  I'm tired of it!
[01:03:19.810 --> 01:03:21.971]  I'm getting angry.
[01:03:21.971 --> 01:03:25.493]  Let some jackass tell me to not have a Christmas tree in my yard or whatever.
[01:03:25.493 --> 01:03:27.794]  I'm gonna break your frickin' nose.
[01:03:27.794 --> 01:03:30.115]  I'm tired of getting pushed around and I've had enough.
[01:03:31.377 --> 01:03:37.965]  I'm not trying to act tough, I just have to vent sometimes because I sit here and I look at all this and our government funding Al-Qaeda and murdering everybody.
[01:03:37.965 --> 01:03:43.091]  I mean, just think of the trash that we have running our country.
[01:03:43.091 --> 01:03:49.319]  That they would go into stable countries and put crazies in to murder all the Christians, much less Muslims, who I care about as well.
[01:03:50.987 --> 01:03:55.669]  They're targeting countries that have got Christians and that are somewhat secular and stable.
