[00:00.000 --> 00:11.000]  We are on the March. The Empire is on the run. Alex Jones and the GCN Radio Network.
[32:41.000 --> 32:45.000]  I look forward to waking up and taking my super male vitality and get the day started.
[32:45.000 --> 32:51.000]  It's not just the super male vitality. All the products in InfoWarsLife.com are simply amazing.
[32:51.000 --> 32:56.000]  Visit InfoWarsLife.com today to secure your super male vitality
[32:56.000 --> 33:19.000]  and other powerful products from InfoWarsLife.
[33:19.000 --> 33:23.000]  It's always a tough vote because the average person thinks raising the debt ceiling
[33:23.000 --> 33:27.000]  means that we're running up our debt. Raising the debt ceiling, which has been done
[33:27.000 --> 33:34.000]  over a hundred times, does not increase our debt. It does not somehow promote profligacy.
[33:34.000 --> 33:38.000]  All it does is it says, you've got to pay the bills that you've already racked up Congress.
[33:38.000 --> 33:53.000]  You're listening to the Alex Jones show.
[33:53.000 --> 33:57.000]  So if you just joined us, I want to break this down.
[33:57.000 --> 34:00.000]  And if you disagree with me or agree or want to augment this point
[34:00.000 --> 34:05.000]  or you're currently in the U.S. military, especially I would like to hear from you,
[34:05.000 --> 34:11.000]  some callers on this live Sunday edition, I'm going to give out the toll-free number to call us
[34:11.000 --> 34:14.000]  here in just a few minutes and we'll start taking your calls.
[34:14.000 --> 34:17.000]  In the next segment, we'll also get into the latest on the collapsing border,
[34:17.000 --> 34:21.000]  the latest on the devalued dollar and more.
[34:21.000 --> 34:25.000]  Now, I'm a libertarian, a constitutionalist. I don't like government.
[34:25.000 --> 34:28.000]  I really don't like big government.
[34:28.000 --> 34:33.000]  So I don't lionize Vladimir Putin.
[34:33.000 --> 34:36.000]  But he wants a strong nationalistic Russia.
[34:36.000 --> 34:38.000]  They're moving away from communism.
[34:38.000 --> 34:41.000]  Alexander Shelton eats an endorsed Putin before he died.
[34:41.000 --> 34:44.000]  Let's look that up.
[34:44.000 --> 34:47.000]  London Guardian.
[34:47.000 --> 34:50.000]  U.S. Ambassador to Russia met with him and says, is this really true?
[34:50.000 --> 34:53.000]  And he said, yes, we want nationalism.
[34:53.000 --> 34:57.000]  And Shelton Silesian wrote a book, How the West Funded Communism
[34:57.000 --> 34:59.000]  and actually put the Bolshevik Sand.
[34:59.000 --> 35:01.000]  It's all through.
[35:01.000 --> 35:03.000]  He wrote a Nobel Prize winner that was such a hero to Ronald Reagan.
[35:03.000 --> 35:06.000]  Ronald Reagan said his greatest hero.
[35:06.000 --> 35:08.000]  John Wayne's hero.
[35:08.000 --> 35:15.000]  He endorsed Vladimir Putin.
[35:15.000 --> 35:21.000]  And, you know, wrote on chalk his book, Gula Gerkepellego,
[35:21.000 --> 35:24.000]  when he was in decades in a forced labor camp,
[35:24.000 --> 35:27.000]  under the Stalinist and memorized it,
[35:27.000 --> 35:29.000]  and then wrote it when he got out.
[35:29.000 --> 35:31.000]  He had dozens of other books.
[35:31.000 --> 35:34.000]  And some of his last books basically could have been written by me.
[35:34.000 --> 35:37.000]  I was reading his quotes just last night.
[35:37.000 --> 35:39.000]  They have huge websites of them.
[35:39.000 --> 35:42.000]  And it was exactly everything I say.
[35:42.000 --> 35:44.000]  Even though I've only read a few of his books,
[35:44.000 --> 35:46.000]  I've got to read the rest of them.
[35:46.000 --> 35:49.000]  It was that he understood tyranny so well that it was quotes
[35:49.000 --> 35:51.000]  that I've basically given,
[35:51.000 --> 35:54.000]  but just a little bit more elegantly put,
[35:54.000 --> 35:58.000]  because he had seen evil up front.
[35:58.000 --> 36:00.000]  It wasn't that...
[36:00.000 --> 36:02.000]  I'm not comparing myself to Alexander Shultz and Eson.
[36:02.000 --> 36:04.000]  My point is truth is truth.
[36:04.000 --> 36:08.000]  It's self-evident.
[36:08.000 --> 36:11.000]  And there's the U.S. Embassy Cables, the Guardian.
[36:11.000 --> 36:13.000]  Shultz and Eson praises Putin.
[36:13.000 --> 36:15.000]  2010.
[36:15.000 --> 36:17.000]  2008 as well.
[36:17.000 --> 36:19.000]  All right, anyways, continuing.
[36:19.000 --> 36:21.000]  Oh, yeah, they were very concerned.
[36:21.000 --> 36:23.000]  And I'm not bragging when I tell you this,
[36:23.000 --> 36:26.000]  because I knew about this years ago
[36:26.000 --> 36:28.000]  when I was at RT headquarters in New York,
[36:28.000 --> 36:30.000]  and then in LA,
[36:30.000 --> 36:32.000]  the head of RT at the time who was replaced,
[36:32.000 --> 36:34.000]  because the State Department freaked out
[36:34.000 --> 36:36.000]  and threatened to shut him off if I was ever allowed back on there.
[36:36.000 --> 36:38.000]  So I'd go on national Russian TV
[36:38.000 --> 36:41.000]  and criticize communism, criticize Stalin,
[36:41.000 --> 36:43.000]  criticize the New World Order,
[36:43.000 --> 36:45.000]  to say whatever I wanted.
[36:45.000 --> 36:47.000]  The head of RT was a huge listener,
[36:47.000 --> 36:49.000]  and they were...
[36:49.000 --> 36:51.000]  I was told they literally started it,
[36:51.000 --> 36:53.000]  modeled a little bit off Info Wars.
[36:53.000 --> 36:55.000]  That was part of it.
[36:55.000 --> 36:57.000]  That was the basic Russian government
[36:57.000 --> 36:59.000]  listening to my show.
[36:59.000 --> 37:01.000]  And I never really said that on air,
[37:01.000 --> 37:03.000]  because it sounds so wild, but it's confirmed.
[37:03.000 --> 37:05.000]  And it's come out in communiques and cables
[37:05.000 --> 37:07.000]  and stuff like that.
[37:07.000 --> 37:09.000]  And it's been the one in telegraph that
[37:09.000 --> 37:11.000]  Assad also, they hacked his emails,
[37:11.000 --> 37:13.000]  and the government was reading our analysis
[37:13.000 --> 37:15.000]  and InfoWars.com,
[37:15.000 --> 37:17.000]  my analysis.
[37:17.000 --> 37:19.000]  And I'm not saying that arrogantly,
[37:19.000 --> 37:21.000]  but when the Russian government's listening to you,
[37:21.000 --> 37:23.000]  you might as well just say that that's going on.
[37:23.000 --> 37:25.000]  I mean, it's no mistake that...
[37:25.000 --> 37:27.000]  I mean, now I've been invited
[37:27.000 --> 37:29.000]  on national Russian TV
[37:29.000 --> 37:31.000]  repeatedly
[37:31.000 --> 37:33.000]  to be on with Vladimir Putin's
[37:33.000 --> 37:35.000]  best buddy, I forget his name,
[37:35.000 --> 37:37.000]  that runs the state-run media over there,
[37:37.000 --> 37:39.000]  and I've said no.
[37:39.000 --> 37:41.000]  The crews had the request come in, I've said no.
[37:41.000 --> 37:43.000]  Because this is getting too close to war,
[37:43.000 --> 37:45.000]  and I'm not going on Russian media.
[37:45.000 --> 37:47.000]  And again,
[37:47.000 --> 37:49.000]  Vladimir Putin was in the KGB,
[37:49.000 --> 37:51.000]  did head up the FSB,
[37:51.000 --> 37:53.000]  and after that he was the deputy mayor
[37:53.000 --> 37:55.000]  of Moscow.
[37:55.000 --> 37:57.000]  And I'm not lionizing him,
[37:57.000 --> 37:59.000]  but do you know that Liberty's sexy
[37:59.000 --> 38:01.000]  and we could sell people on freedom?
[38:01.000 --> 38:03.000]  Putin pays them to have kids.
[38:03.000 --> 38:05.000]  On national TV,
[38:05.000 --> 38:07.000]  talk about cancer viruses and the vaccines,
[38:07.000 --> 38:09.000]  the globalist creating AIDS,
[38:09.000 --> 38:11.000]  the New World Order,
[38:11.000 --> 38:13.000]  the whole plan.
[38:13.000 --> 38:15.000]  And you have to understand,
[38:15.000 --> 38:17.000]  this broadcast,
[38:17.000 --> 38:19.000]  I've had the number three guy in the British...
[38:19.000 --> 38:21.000]  well, the British government as well,
[38:21.000 --> 38:23.000]  but I've had high-level folks from the Japanese government on.
[38:23.000 --> 38:25.000]  I mean, I'm not bragging, folks,
[38:25.000 --> 38:27.000]  I've had to come to the fact of the realization
[38:27.000 --> 38:29.000]  that this is the good news
[38:29.000 --> 38:31.000]  to all of you out there.
[38:31.000 --> 38:33.000]  The world listens to this broadcast
[38:33.000 --> 38:35.000]  and governments listen.
[38:35.000 --> 38:37.000]  And you know why the governments listen?
[38:37.000 --> 38:39.000]  You know why the military listens?
[38:39.000 --> 38:41.000]  And why they have news articles?
[38:41.000 --> 38:43.000]  Mainstream news where they're ordering the military
[38:43.000 --> 38:45.000]  not to listen to my show?
[38:45.000 --> 38:47.000]  Why do you think that is?
[38:47.000 --> 38:49.000]  The globalist that have hijacked the CIA
[38:49.000 --> 38:51.000]  and the Pentagon and our whole system,
[38:51.000 --> 38:53.000]  it scares them that we understand
[38:53.000 --> 38:55.000]  the game plan.
[38:55.000 --> 38:57.000]  They're scared of Ron Paul.
[38:57.000 --> 38:59.000]  They're scared of Rand Paul too, folks.
[38:59.000 --> 39:01.000]  They know Rand Paul's for real.
[39:01.000 --> 39:03.000]  I don't know about Ted Cruz, I like him.
[39:03.000 --> 39:05.000]  I like what he says.
[39:05.000 --> 39:07.000]  But I tell you, I know Rand Paul, he's for real.
[39:07.000 --> 39:09.000]  See, we're just
[39:09.000 --> 39:11.000]  normal people who don't want nuclear war
[39:11.000 --> 39:13.000]  and want dads to be dads,
[39:13.000 --> 39:15.000]  moms to be moms, private property,
[39:15.000 --> 39:17.000]  kids to defend yourself, right to have a future.
[39:17.000 --> 39:19.000]  We like America.
[39:19.000 --> 39:21.000]  We like Russia.
[39:21.000 --> 39:23.000]  We like Japan. We like Brazil.
[39:23.000 --> 39:25.000]  I want to see Brazil do good.
[39:25.000 --> 39:27.000]  I want to see the world do good.
[39:27.000 --> 39:29.000]  We have good will.
[39:29.000 --> 39:31.000]  And that's infectious in a time
[39:31.000 --> 39:33.000]  of great evil.
[39:33.000 --> 39:35.000]  People want to be good.
[39:35.000 --> 39:37.000]  They just have been taught
[39:37.000 --> 39:39.000]  that only evil gets them ahead.
[39:39.000 --> 39:41.000]  Well, it doesn't get you ahead in the end.
[39:41.000 --> 39:43.000]  And we're coming down to the end game
[39:43.000 --> 39:45.000]  of these, gentlemen.
[39:45.000 --> 39:47.000]  We're coming down
[39:49.000 --> 39:51.000]  to
[39:51.000 --> 39:53.000]  21st century high-tech war.
[39:53.000 --> 39:55.000]  And Vladimir Putin
[39:55.000 --> 39:57.000]  and Brazil and China
[39:57.000 --> 39:59.000]  and boy, you know how much I hate
[39:59.000 --> 40:01.000]  communist China and they're totally
[40:01.000 --> 40:03.000]  evil leaders. The point is, they are
[40:03.000 --> 40:05.000]  seeing their currency devalued
[40:05.000 --> 40:07.000]  because of the dollar devaluing that
[40:07.000 --> 40:09.000]  our elite and the private Federal Reserve cartel
[40:09.000 --> 40:11.000]  is engaged in. And it's these
[40:11.000 --> 40:13.000]  same bankers that are invested in China.
[40:13.000 --> 40:15.000]  They're invested in Russia. They're playing
[40:15.000 --> 40:17.000]  us all off against each other.
[40:17.000 --> 40:19.000]  We should come together as a human
[40:19.000 --> 40:21.000]  family
[40:21.000 --> 40:23.000]  and say no to war.
[40:23.000 --> 40:25.000]  And no to destabilization.
[40:25.000 --> 40:27.000]  And no, no to
[40:27.000 --> 40:29.000]  the western backed
[40:29.000 --> 40:31.000]  Palestinian groups launching rockets
[40:31.000 --> 40:33.000]  to give Israel a pretext
[40:33.000 --> 40:35.000]  to attack to cause destabilization.
[40:35.000 --> 40:37.000]  The same globalists are pulling the puppet strings
[40:37.000 --> 40:39.000]  on Israel and the Palestinians.
[40:39.000 --> 40:41.000]  But we should say, okay, I'll talk about the Palestinians
[40:41.000 --> 40:43.000]  because I care about them.
[40:43.000 --> 40:45.000]  Nobody likes images of dead kids.
[40:47.000 --> 40:49.000]  If you'll talk about hundreds
[40:49.000 --> 40:51.000]  of thousands of Christians killed
[40:51.000 --> 40:53.000]  in Iraq and Syria and Libya
[40:53.000 --> 40:55.000]  by western backed
[40:55.000 --> 40:57.000]  worst of the worst, bottom of the barrel
[40:57.000 --> 40:59.000]  jihadi al-qaeda
[40:59.000 --> 41:01.000]  ISIS scum. If you
[41:01.000 --> 41:03.000]  do that
[41:03.000 --> 41:05.000]  then all morally know you really
[41:05.000 --> 41:07.000]  care. See, I'm just as upset
[41:07.000 --> 41:09.000]  about dead Jewish kids
[41:09.000 --> 41:11.000]  and Palestinians
[41:11.000 --> 41:13.000]  and Christians, ladies
[41:13.000 --> 41:15.000]  and gentlemen, because I know
[41:15.000 --> 41:17.000]  the globalist hand
[41:17.000 --> 41:19.000]  is not on scene, folks.
[41:19.000 --> 41:21.000]  When you know about it, it's right there.
[41:21.000 --> 41:23.000]  It's organizing chaos, just like the
[41:23.000 --> 41:25.000]  first James Bond movie, written by a high level
[41:25.000 --> 41:27.000]  former
[41:27.000 --> 41:29.000]  member
[41:29.000 --> 41:31.000]  British intelligence
[41:31.000 --> 41:33.000]  Ian Fleming
[41:33.000 --> 41:35.000]  where the organization
[41:35.000 --> 41:37.000]  chaos
[41:37.000 --> 41:39.000]  or is it specter
[41:39.000 --> 41:41.000]  is manipulating
[41:41.000 --> 41:43.000]  the Russians and the U.S. off against each other
[41:43.000 --> 41:45.000]  to consolidate power
[41:45.000 --> 41:47.000]  because who gains when we have
[41:47.000 --> 41:49.000]  sanctions and things are shut down
[41:49.000 --> 41:51.000]  and economies fold and Obamacare
[41:51.000 --> 41:53.000]  banks erupts things and the border is collapsing
[41:53.000 --> 41:55.000]  and our jobs being shipped. Who wants this bank
[41:55.000 --> 41:57.000]  erupt? Banks.
[41:57.000 --> 41:59.000]  And not your corner bank.
[41:59.000 --> 42:01.000]  When I talk about banks, I don't mean your bank
[42:01.000 --> 42:03.000]  down the street that gives you a loan for farming
[42:03.000 --> 42:05.000]  or if I talk about the military,
[42:05.000 --> 42:07.000]  I don't mean our military men and women. I mean the people running it
[42:07.000 --> 42:09.000]  at the top.
[42:09.000 --> 42:11.000]  They don't
[42:11.000 --> 42:13.000]  have our goodwill
[42:13.000 --> 42:15.000]  at heart.
[42:15.000 --> 42:17.000]  They don't have our interest at heart.
[42:17.000 --> 42:19.000]  When I come back, I'm going to give the phone number out
[42:19.000 --> 42:21.000]  and then we're going to get into
[42:21.000 --> 42:23.000]  why this is all happening
[42:23.000 --> 42:25.000]  and get into the big picture of what's going to happen next.
[42:25.000 --> 42:27.000]  The toll free number
[42:27.000 --> 42:29.000]  to join us, first time callers today.
[42:29.000 --> 42:31.000]  I haven't done that about a week or two.
[42:31.000 --> 42:33.000]  It's 877-789-2539
[42:33.000 --> 42:35.000]  877-789
[42:35.000 --> 42:37.000]  Alex.
[42:37.000 --> 42:39.000]  For Alex Jones, I'm your host.
[42:39.000 --> 42:41.000]  That's 877-789-ALEX.
[42:41.000 --> 42:43.000]  Different number than the weekday show.
[42:43.000 --> 42:45.000]  Weekday show is produced
[42:45.000 --> 42:47.000]  in the same studio, but the phone lines are in Minnesota.
[42:47.000 --> 42:49.000]  This is all produced in
[42:49.000 --> 42:51.000]  house right here on Sundays.
[42:51.000 --> 42:53.000]  4-6pm from South Austin.
[42:53.000 --> 42:55.000]  Infowars.com. Follow us on Twitter
[42:55.000 --> 42:57.000]  at realalexjones and check out the amazing
[42:57.000 --> 42:59.000]  pro-liberty products we have
[42:59.000 --> 43:01.000]  at 4-store.com.
[43:29.000 --> 43:31.000]  With rare earth, deep earth
[43:31.000 --> 43:33.000]  crystals, and the results
[43:33.000 --> 43:35.000]  that I personally have had have been
[43:35.000 --> 43:37.000]  life changing. Nobody else
[43:37.000 --> 43:39.000]  has got iodine based
[43:39.000 --> 43:41.000]  on these pure crystals, ladies and gentlemen.
[43:41.000 --> 43:43.000]  This is innovating, and the best part
[43:43.000 --> 43:45.000]  is it helps fund Infowars.com,
[43:45.000 --> 43:47.000]  the radio show, the TV show,
[43:47.000 --> 43:49.000]  the whole media operation promoting
[43:49.000 --> 43:51.000]  true libertarian ideas. For a limited time
[43:51.000 --> 43:53.000]  experience the ancient power of
[43:53.000 --> 43:55.000]  Survival Shield X2. Take advantage
[43:55.000 --> 43:57.000]  of this unprecedented 30% off
[43:57.000 --> 43:59.000]  super detox special at
[43:59.000 --> 44:01.000]  infowarslife.com.
[44:01.000 --> 44:03.000]  I can taste dirt in it. God knows what's in this.
[44:03.000 --> 44:05.000]  These people just sampled city of
[44:05.000 --> 44:07.000]  Austin tap water straight from the
[44:07.000 --> 44:09.000]  faucet. Next, we had them try a sample
[44:09.000 --> 44:11.000]  of tap water filtered through the
[44:11.000 --> 44:13.000]  Pro Pure G2.0 filtration system.
[44:13.000 --> 44:15.000]  Now when it is better. Tastes like
[44:15.000 --> 44:17.000]  nothing. Yep, I know a good water tastes
[44:17.000 --> 44:19.000]  like it's good water. Most tap water contains
[44:19.000 --> 44:21.000]  added substances like fluoride,
[44:21.000 --> 44:23.000]  chlorine, glyphosate, and
[44:23.000 --> 44:25.000]  many others. Studies prove that these
[44:25.000 --> 44:27.000]  substances are linked to an assortment
[44:27.000 --> 44:29.000]  of major health issues, including tooth decay,
[44:29.000 --> 44:31.000]  lower IQ, and even cancer.
[44:31.000 --> 44:33.000]  It tastes like you're drinking out of the lake
[44:33.000 --> 44:35.000]  when you're drinking tap water. The Pro Pure
[44:35.000 --> 44:37.000]  G2.0 filtration system
[44:37.000 --> 44:39.000]  removes these deadly substances
[44:39.000 --> 44:41.000]  leaving only fresh tasting, deliciously
[44:41.000 --> 44:43.000]  clean water. Okay, this is very tasty.
[44:43.000 --> 44:45.000]  It's good water. Refreshing. It's good.
[44:45.000 --> 44:47.000]  Go to infowarsstore.com
[44:47.000 --> 44:49.000]  today and get your free wire
[44:49.000 --> 44:51.000]  stand with the purchase of a
[44:51.000 --> 44:53.000]  Pro Pure Big Water Filtration
[44:53.000 --> 44:55.000]  System or call 1-888-253-3139.
[45:01.000 --> 45:03.000]  Hi, I'm Dr. Edward Grupp.
[45:03.000 --> 45:05.000]  It took me 20 years
[45:05.000 --> 45:07.000]  of searching the globe to find
[45:07.000 --> 45:09.000]  the deposit of the highest purity
[45:09.000 --> 45:11.000]  iodine available. The new
[45:11.000 --> 45:13.000]  Survival Shield X2
[45:13.000 --> 45:15.000]  is mined from 7
[45:15.000 --> 45:17.000]  to 10,000 feet below the
[45:17.000 --> 45:19.000]  earth in pristine,
[45:19.000 --> 45:21.000]  environmentally clean conditions.
[45:21.000 --> 45:23.000]  The iodine crystals we use
[45:23.000 --> 45:25.000]  are extracted from an ancient
[45:25.000 --> 45:27.000]  300 million
[45:27.000 --> 45:29.000]  plus year old deposit
[45:29.000 --> 45:31.000]  deep in the earth.
[45:31.000 --> 45:33.000]  It's the strongest nascent iodine
[45:33.000 --> 45:35.000]  on the market today.
[45:35.000 --> 45:37.000]  It delivers 650
[45:37.000 --> 45:39.000]  micrograms per drop.
[45:39.000 --> 45:41.000]  Experience the new formula.
[45:41.000 --> 45:43.000]  Experience the ancient purity.
[45:43.000 --> 45:45.000]  Shield your family.
[45:45.000 --> 45:47.000]  Survival Shield X2.
[45:47.000 --> 45:49.000]  Available now at InfowarsLife.com
[45:49.000 --> 45:51.000]  X2 from
[45:51.000 --> 45:53.000]  InfowarsLife.com
[45:53.000 --> 46:21.000]  X2 from InfowarsLife.com
[46:21.000 --> 46:49.000]  X2 from InfowarsLife.com
[46:49.000 --> 46:59.000]  X2 from InfowarsLife.com
[47:19.000 --> 47:35.000]  X2 from InfowarsLife.com
[47:35.000 --> 47:37.000]  I'm going to go to Steve,
[47:37.000 --> 47:39.000]  Margaret, David,
[47:39.000 --> 47:41.000]  Brian and many others
[47:41.000 --> 47:43.000]  in this segment
[47:43.000 --> 47:45.000]  and I'll get more into the border
[47:45.000 --> 47:47.000]  and pull back from Ukraine
[47:47.000 --> 47:49.000]  coming up.
[47:49.000 --> 47:51.000]  But first off,
[47:51.000 --> 47:53.000]  I want to explain something.
[47:53.000 --> 47:55.000]  About 100,000 Americans,
[47:55.000 --> 47:57.000]  this is in congressional hearings
[47:57.000 --> 47:59.000]  with Frank Church,
[47:59.000 --> 48:01.000]  Senator Church, Anthony Sutton,
[48:01.000 --> 48:03.000]  the late great,
[48:03.000 --> 48:05.000]  how Wall Street financed the Soviets,
[48:05.000 --> 48:07.000]  the USSR and Hitler.
[48:07.000 --> 48:09.000]  He wrote that book off government documents.
[48:09.000 --> 48:11.000]  He was the head archivist for Congress
[48:11.000 --> 48:13.000]  at that time
[48:13.000 --> 48:15.000]  and ran some of the hearings.
[48:15.000 --> 48:17.000]  And this freaked Congress out
[48:17.000 --> 48:19.000]  so bad in the 70s
[48:19.000 --> 48:21.000]  that they almost abolished the CIA
[48:21.000 --> 48:23.000]  and found out about the 36,000,
[48:23.000 --> 48:25.000]  35,000 Nazis that have been brought in
[48:25.000 --> 48:27.000]  under paperclip.
[48:27.000 --> 48:29.000]  I mean, it's just a disaster, folks.
[48:29.000 --> 48:31.000]  It's a disaster how bad this is.
[48:31.000 --> 48:33.000]  But in 1917,
[48:33.000 --> 48:35.000]  the British intelligence
[48:35.000 --> 48:37.000]  working with the U.S. government
[48:37.000 --> 48:39.000]  shipped in
[48:39.000 --> 48:41.000]  100,000 Russian Americans
[48:41.000 --> 48:43.000]  that spoke Russian.
[48:43.000 --> 48:45.000]  You know them as neocons today,
[48:45.000 --> 48:47.000]  because they came back to the U.S.
[48:47.000 --> 48:49.000]  when Stalin
[48:49.000 --> 48:51.000]  decades later kicked them back out,
[48:51.000 --> 48:53.000]  kicked Trotsky back out.
[48:53.000 --> 48:55.000]  They came here and took over the Republican Party,
[48:55.000 --> 48:57.000]  you know them as neocons.
[48:57.000 --> 48:59.000]  By the way, that's the Wall Street Journal.
[48:59.000 --> 49:01.000]  You didn't know the neocons were actually Russian communists,
[49:01.000 --> 49:03.000]  but it's too much,
[49:03.000 --> 49:05.000]  the average person.
[49:05.000 --> 49:07.000]  Reality's just too insane.
[49:07.000 --> 49:09.000]  Our government, shadow government,
[49:09.000 --> 49:11.000]  was so evil even then
[49:11.000 --> 49:13.000]  that it ended the takedown
[49:13.000 --> 49:15.000]  of the Czars
[49:15.000 --> 49:17.000]  who were pro-West
[49:17.000 --> 49:19.000]  and pro-U.S.
[49:19.000 --> 49:21.000]  And it put
[49:21.000 --> 49:23.000]  the communists in.
[49:23.000 --> 49:25.000]  And Alexander Sholzenitsyn exposed this.
[49:25.000 --> 49:27.000]  I mean, everybody knew this in a liberty movement.
[49:27.000 --> 49:29.000]  That the big tax-free foundations
[49:29.000 --> 49:31.000]  were funding communism
[49:31.000 --> 49:33.000]  that trucks by the hundreds of thousands
[49:33.000 --> 49:35.000]  over the decade of the Vietnam War
[49:35.000 --> 49:37.000]  were shipped from
[49:37.000 --> 49:39.000]  Ford and GM factories
[49:39.000 --> 49:41.000]  to Russia,
[49:41.000 --> 49:43.000]  to Vietnam, missile launchers,
[49:43.000 --> 49:45.000]  you name it.
[49:45.000 --> 49:47.000]  I mean, the U.S. the whole time was in Russia
[49:47.000 --> 49:49.000]  helping them build all this.
[49:49.000 --> 49:51.000]  That's on record.
[49:51.000 --> 49:53.000]  Because again, they couldn't set up
[49:53.000 --> 49:55.000]  as evil base here in the U.S.
[49:55.000 --> 49:57.000]  in front of Americans and fund evil
[49:57.000 --> 49:59.000]  and a thing called communism
[49:59.000 --> 50:01.000]  and human enslavement.
[50:01.000 --> 50:03.000]  So our own criminal elite
[50:03.000 --> 50:05.000]  that had hijacked our government
[50:05.000 --> 50:07.000]  overthrew Russia that was a monarch
[50:07.000 --> 50:09.000]  kicked out the white Russians
[50:09.000 --> 50:11.000]  as they were known, pro-imperials
[50:11.000 --> 50:13.000]  and then used
[50:13.000 --> 50:15.000]  Russia to export
[50:15.000 --> 50:17.000]  evil worldwide under the name of communism.
[50:17.000 --> 50:19.000]  That again, as Sholzenitsyn said
[50:19.000 --> 50:21.000]  shouldn't be called communism.
[50:21.000 --> 50:23.000]  It doesn't even exist. It's just evil.
[50:23.000 --> 50:25.000]  You shouldn't be anti-communist.
[50:25.000 --> 50:27.000]  That implies communism is
[50:27.000 --> 50:29.000]  elemental and part of something.
[50:29.000 --> 50:31.000]  No, it should be called anti-anti-human.
[50:33.000 --> 50:35.000]  It should be called
[50:35.000 --> 50:37.000]  anti-human exterminism, anti-criminal,
[50:37.000 --> 50:39.000]  anti-terrorist, anti-scum, anti-gang,
[50:39.000 --> 50:41.000]  anti-filth,
[50:41.000 --> 50:43.000]  the elite,
[50:43.000 --> 50:45.000]  the globalist elite,
[50:45.000 --> 50:47.000]  the British Empire.
[50:47.000 --> 50:49.000]  Not the British people.
[50:49.000 --> 50:51.000]  The British Empire model of control
[50:51.000 --> 50:53.000]  behind the scenes control.
[50:53.000 --> 50:55.000]  Harold Quigley wrote an 1100 page book
[50:55.000 --> 50:57.000]  headed Georgetown Political Science on this
[50:57.000 --> 50:59.000]  called Tragedy and Hope. We sell the book
[50:59.000 --> 51:01.000]  back in print
[51:01.000 --> 51:03.000]  at infowarstore.com. Read it!
[51:03.000 --> 51:05.000]  How they funded Hitler.
[51:05.000 --> 51:07.000]  How they funded Lenin and...
[51:07.000 --> 51:09.000]  Oh man, folks, it's so evil.
[51:11.000 --> 51:13.000]  So the Russians
[51:13.000 --> 51:15.000]  actually got obsessed in the last
[51:15.000 --> 51:17.000]  25 years with Alexander Sholzenitsyn.
[51:17.000 --> 51:19.000]  They got sold on his book.
[51:19.000 --> 51:21.000]  So then they said the CIA and others
[51:21.000 --> 51:23.000]  that tried to prop him up. That's why there was the rumor
[51:23.000 --> 51:25.000]  that the fall of the Soviet Union was staged.
[51:25.000 --> 51:27.000]  Because it was staged.
[51:27.000 --> 51:29.000]  Their people wouldn't go along with it anymore.
[51:29.000 --> 51:31.000]  They wanted freedom.
[51:31.000 --> 51:33.000]  And so they made a deal with Gorbachev
[51:33.000 --> 51:35.000]  to end it
[51:35.000 --> 51:37.000]  and to put Yeltsin in. But that
[51:37.000 --> 51:39.000]  failed.
[51:39.000 --> 51:41.000]  And Vladimir Putin, a secret acolyte
[51:41.000 --> 51:43.000]  of Alexander Sholzenitsyn
[51:43.000 --> 51:45.000]  got control.
[51:45.000 --> 51:47.000]  Does he have his own big bank accounts?
[51:47.000 --> 51:49.000]  Does he run around
[51:49.000 --> 51:51.000]  and do all this stuff? Sure.
[51:51.000 --> 51:53.000]  Do I trust him? No.
[51:53.000 --> 51:55.000]  The point is he's paying people to have kids.
[51:55.000 --> 51:57.000]  On national TV
[51:57.000 --> 51:59.000]  they exposed that 9-11 was
[51:59.000 --> 52:01.000]  an inside job that cancer viruses
[52:01.000 --> 52:03.000]  are being put in vaccines. Russian
[52:03.000 --> 52:05.000]  television now, folks, is like this show.
[52:05.000 --> 52:07.000]  You understand that?
[52:09.000 --> 52:11.000]  Not because it's their plan.
[52:11.000 --> 52:13.000]  Alexander Sholzenitsyn
[52:13.000 --> 52:15.000]  influenced them with Thomas Jefferson
[52:15.000 --> 52:17.000]  power. I influenced them
[52:17.000 --> 52:19.000]  and others do. And they've influenced
[52:19.000 --> 52:21.000]  themselves wanting
[52:21.000 --> 52:23.000]  to be free.
[52:23.000 --> 52:25.000]  Does that mean they're perfect? No.
[52:25.000 --> 52:27.000]  But when you've gone through 80 years of hellish
[52:27.000 --> 52:29.000]  evil, when you've been through communism,
[52:29.000 --> 52:31.000]  when you know what evil is,
[52:31.000 --> 52:33.000]  when you know what bureaucracy is,
[52:33.000 --> 52:35.000]  when you know what standing in line to get your food
[52:35.000 --> 52:37.000]  is, clowered in piven,
[52:37.000 --> 52:39.000]  then freedom becomes
[52:39.000 --> 52:41.000]  so sexy and you rebel against
[52:41.000 --> 52:43.000]  the evil.
[52:43.000 --> 52:45.000]  Just like the East Germans rebelled
[52:45.000 --> 52:47.000]  and stood down and didn't want to be evil
[52:47.000 --> 52:49.000]  anymore under communism.
[52:49.000 --> 52:51.000]  Freedom is popular.
[52:51.000 --> 52:53.000]  Freedom is sexy.
[52:53.000 --> 52:55.000]  We have snow cones in hell.
[52:55.000 --> 52:57.000]  We're selling
[52:57.000 --> 52:59.000]  a coat to a man in Siberia, folks.
[52:59.000 --> 53:01.000]  He wants the coat.
[53:01.000 --> 53:03.000]  Freedom is good. We have to be ready to win
