[00:00.000 --> 00:18.480]  Today, that's 1-800-426-6186.
[28:15.120 --> 28:16.120]  who I think is the coolest person in Hollywood.
[28:16.120 --> 28:17.120]  You've got to know him in person.
[28:17.120 --> 28:18.120]  I know him really well.
[28:18.120 --> 28:22.120]  You've got to know...
[28:22.120 --> 28:23.120]  Well, I'm not going to start dropping names.
[28:23.120 --> 28:27.120]  There's a lot of folks that are fans of the show that tune in and I talk to,
[28:27.120 --> 28:28.120]  that want to be private.
[28:28.120 --> 28:30.120]  I'm just going to leave it at that.
[28:30.120 --> 28:31.120]  You know what?
[28:31.120 --> 28:32.120]  Let's go back to your calls.
[28:32.120 --> 28:33.120]  Walt in California.
[28:33.120 --> 28:34.120]  Walt, you're on the air.
[28:34.120 --> 28:35.120]  Go ahead.
[28:35.120 --> 28:36.120]  All right.
[28:36.120 --> 28:37.120]  Can you hear me okay, Alex?
[28:37.120 --> 28:38.120]  Yes, sir.
[28:38.120 --> 28:39.120]  I can.
[28:39.120 --> 28:40.120]  Welcome.
[28:40.120 --> 28:41.120]  You probably remember me.
[28:41.120 --> 28:49.120]  I marched with you in the cold, freezing rain in New York City with my brother, 9-1-1,
[28:49.120 --> 28:53.120]  bullhorning, and we bullhorned the Federal Reserve.
[28:53.120 --> 28:54.120]  That was 2007.
[28:54.120 --> 28:59.120]  We bullhorned the Federal Reserve, Larry Silverstein's building, the new building,
[28:59.120 --> 29:01.120]  and it was good to be there with you.
[29:01.120 --> 29:04.120]  It was so cold and you and I talked several times.
[29:04.120 --> 29:07.120]  We sat down and talked.
[29:07.120 --> 29:11.120]  We huddled up in the alleyway and kept each other warm.
[29:11.120 --> 29:12.120]  I'm just joking.
[29:12.120 --> 29:13.120]  Hey, hold on.
[29:13.120 --> 29:14.120]  Stay there.
[29:14.120 --> 29:15.120]  I'll come back to you, man.
[29:15.120 --> 29:16.120]  Hold on just a second.
[29:16.120 --> 29:17.120]  We've got to do the news here.
[29:17.120 --> 29:18.120]  It's very important.
[29:18.120 --> 29:19.120]  Important messages.
[29:19.120 --> 29:20.120]  Crafts, commercial messages.
[29:20.120 --> 29:21.120]  Straight ahead.
[29:21.120 --> 29:22.120]  Oldton Farrell.
[29:22.120 --> 29:23.120]  It's the G-Garden Letty Show.
[29:23.120 --> 29:24.120]  Say with us.
[29:24.120 --> 29:40.120]  Today, we cannot afford to ignore the current state of our country, the economy, job layoffs,
[29:40.120 --> 29:45.120]  mass foreclosures, and now we are all at risk of being exposed to this new flu pandemic.
[29:45.120 --> 29:50.120]  The Center for Disease Control has declared a public health emergency across the United
[29:50.120 --> 29:51.120]  States.
[29:51.120 --> 29:52.120]  What can you do to prepare yourself?
[29:52.120 --> 29:54.120]  The answer is zeroflu.com.
[29:54.120 --> 29:58.120]  Zeroflu.com offers you the very best at air purifiers.
[29:58.120 --> 30:03.120]  These revolutionary air purifiers protect up to 3,000 square feet of your home and stop
[30:03.120 --> 30:10.120]  99.9% of airborne allergens, influenza, bacteria, viruses, pollen, dust, pet dander, black mold,
[30:10.120 --> 30:11.120]  MRSA, and more.
[30:11.120 --> 30:14.120]  Not only from the air, but from all surfaces.
[30:14.120 --> 30:17.120]  With no filters to replace ever, you save money.
[30:17.120 --> 30:18.120]  Prepare yourself today.
[30:18.120 --> 30:28.120]  To learn more, visit zeroflu.com, that's zeroflu.com, or call 888-766-6066, 888-766-6066
[30:28.120 --> 30:34.120]  today, zeroflu.com, protecting you and your family, one day at a time.
[30:34.120 --> 30:36.120]  Hi, this is Peter Cronch now with Midas Resources.
[30:36.120 --> 30:40.120]  As you know, government spending is at an all-time high and inflation is on the rise.
[30:40.120 --> 30:43.120]  What are you doing right now to protect yourself financially?
[30:43.120 --> 30:47.120]  As the economy continues to deteriorate due to corporate greed and government intervention,
[30:47.120 --> 30:50.120]  more people will lose their jobs and worse their life savings.
[30:50.120 --> 30:54.120]  Having your hard earned money in banks, the stock market, or any other paper asset is
[30:54.120 --> 30:55.120]  a lose-lose deal.
[30:55.120 --> 30:59.120]  You'll lose on your capital investment and you'll lose purchasing power as the dollar
[30:59.120 --> 31:00.120]  continues to devalue.
[31:00.120 --> 31:04.120]  One thing is certain, having physical possession of gold and silver will guarantee that no
[31:04.120 --> 31:07.120]  matter what happens, your investment will never be worthless.
[31:07.120 --> 31:10.120]  If you've been thinking about investing in the physical possession of precious metals,
[31:10.120 --> 31:11.120]  I can help.
[31:11.120 --> 31:18.120]  Call me today, Peter Cronch novel at 800-686-2237, extension 108, and I will take the time personally
[31:18.120 --> 31:22.120]  to put together a portfolio designed to protect what you've worked so hard for.
[31:22.120 --> 31:26.120]  Call Peter 800-686-2237, extension 108.
[31:26.120 --> 31:29.120]  You've worked hard your whole life and I want to work hard for you.
[31:29.120 --> 31:33.120]  Call 800-686-2237, extension 108.
[31:33.120 --> 31:35.120]  Ah, springtime.
[31:35.120 --> 31:39.120]  Now that you've planted your organic garden, how will you keep the bugs away without using toxic
[31:39.120 --> 31:40.120]  chemicals and poisons?
[31:40.120 --> 31:45.120]  Well, the answer is all natural insecticides from FreshwaterOrganics.com.
[31:45.120 --> 31:50.120]  These revolutionary insecticides start with the same organic product that we use in FPP
[31:50.120 --> 31:51.120]  to kill parasites.
[31:51.120 --> 31:56.120]  We then add a small amount of pyrethrin from chrysanthemum flowers and a mild attractant
[31:56.120 --> 31:59.120]  to offer you the most effective insecticide available anywhere.
[31:59.120 --> 32:02.120]  It can even be applied up to the day of harvest.
[32:02.120 --> 32:07.120]  Our natural insecticides work in the home, on plants and in your garden, killing pests
[32:07.120 --> 32:09.120]  mechanically not with poisons.
[32:09.120 --> 32:13.120]  So pests can't develop an immunity and they won't harm your children or pets.
[32:13.120 --> 32:19.120]  It's effective against white flies, moths, bedbugs, fleas, roaches, crickets and more.
[32:19.120 --> 32:23.120]  And save enough to use on your pets, ridding them of fleas and other pests.
[32:23.120 --> 32:33.120]  Order now from FreshwaterOrganics.com or call 888-949-3570, 888-949-3570 today.
[32:33.120 --> 32:36.120]  Companies continue to lay off thousands of people.
[32:36.120 --> 32:40.120]  Unemployment is the highest it's been in over 30 years.
[32:40.120 --> 32:44.120]  Statistics prove that in a recession, crime rates go up.
[32:44.120 --> 32:49.120]  Everyone needs something for that extra edge to prevent becoming a victim in these difficult
[32:49.120 --> 32:50.120]  and trying times.
[32:50.120 --> 32:56.120]  You need to prepare yourself with DPS Pepper Spray, available at MrDefense.com.
[32:56.120 --> 33:00.120]  DPS is the strongest pepper spray in the market and is the same spray used by hundreds of
[33:00.120 --> 33:03.120]  law enforcement agencies from around the world.
[33:03.120 --> 33:08.120]  Need something more? The Scorpion Stun Gun is a great way to take down a potential attacker.
[33:08.120 --> 33:13.120]  MrDefense also carries the largest selection of air tasers, knives, self-defense keychains,
[33:13.120 --> 33:16.120]  swords, batons, survival, spy and tactical gear.
[33:16.120 --> 33:21.120]  Mention this ad and receive 10% off of your order and a free self-defense keychain.
[33:21.120 --> 33:28.120]  Visit MrDefense.com. That's MRDefense.com or call 1-800-313-6400.
[33:28.120 --> 33:34.120]  For all of your self-defense needs today.
[33:34.120 --> 33:46.120]  The GCN Radio Network, providing the world with hard-hitting talk radio. GCN Great Talk Radio starts here.
[33:46.120 --> 33:52.120]  I can't get enough of that Jimi Hendrix and I think this song says it all.
[33:52.120 --> 34:03.120]  There must be some kind of way out of here. Say that jump up to the deep. There's too much confusion.
[34:03.120 --> 34:08.120]  Alright, I'm in a fun blitz and I'm getting into the most hardcore news I've covered in a while.
[34:08.120 --> 34:12.120]  I mean, I already knew they were training little kids in public school, the Boy Scouts and others,
[34:12.120 --> 34:16.120]  to take on American gun owners. I had that in government documents.
[34:16.120 --> 34:21.120]  But to have it right in the New York Times is just amazing with all these sickening photographs of it.
[34:21.120 --> 34:25.120]  I've had a breakdown of the 2009, 2010 Bilderberg Group agenda.
[34:25.120 --> 34:28.120]  And this is like looking into a crystal ball in the past.
[34:28.120 --> 34:33.120]  So you'll want to stay tuned for that to know what's coming up on the agenda of Spectre.
[34:33.120 --> 34:39.120]  That's the best way to describe it. The bad international private crime syndicate above governments.
[34:39.120 --> 34:42.120]  The only problem is the intelligence agencies work for Spectre.
[34:42.120 --> 34:48.120]  And they play the intelligence agencies off against the host nations and their own populations.
[34:48.120 --> 34:56.120]  That's the big mind trick. It is an MI6 and the KGB, the FSB today, that are fighting with each other.
[34:56.120 --> 35:00.120]  They work for Spectre, ladies and gentlemen. Truth is stranger than fiction.
[35:00.120 --> 35:03.120]  Call it the Bilderberg Group. Call it Spectre. Call it whatever you want.
[35:03.120 --> 35:06.120]  It's the global crime syndicate. It's the New World Order.
[35:06.120 --> 35:10.120]  Okay, Walt, I'll get serious here. Go ahead and make your point, sir.
[35:10.120 --> 35:21.120]  Okay. Alright, CPS came to our house on Mother's Day and stole our six-day-old baby away from us.
[35:21.120 --> 35:26.120]  Well, they've got quotas. I covered that last Thursday on the show. I'm sorry to hear that.
[35:26.120 --> 35:30.120]  They've got quotas. They do it outside the law. Tell us what happened.
[35:30.120 --> 35:41.120]  Well, what happened was there were absolute false allegations made against me concerning child custody
[35:41.120 --> 35:47.120]  for my wife's other two children from another husband, okay?
[35:47.120 --> 35:55.120]  And we were in Florida and her sister and her mother are completely insane.
[35:55.120 --> 36:00.120]  They tried to commit suicide multiple times. It's documented. It's proven.
[36:00.120 --> 36:06.120]  See, that's the problem. The state uses people tattling on each other and the TV shows and the sitcoms
[36:06.120 --> 36:10.120]  train people to tattle on each other and do this.
[36:10.120 --> 36:15.120]  The biggest culprits, the hospitals, they catch marijuana in your blood so they seize all your kids
[36:15.120 --> 36:19.120]  and they don't tell you that you were basically in a jail cell when you came in to have a baby
[36:19.120 --> 36:25.120]  and that it would all be used against you or your child falls off the jungle gym in front of witnesses
[36:25.120 --> 36:30.120]  and breaks a finger so they take them. But in the case of families ratting each other out,
[36:30.120 --> 36:34.120]  what the families don't know is when they make something up to get the children,
[36:34.120 --> 36:37.120]  most of the time the state doesn't give them the children to begin with.
[36:37.120 --> 36:42.120]  A lot of grandparents do this to get the kids and then they get freaked out when it doesn't happen.
[36:42.120 --> 36:45.120]  That's what it is. It's grandparents and the sister.
[36:45.120 --> 36:50.120]  But let me guess. Let me guess the sister and the grandkids haven't gotten the baby.
[36:50.120 --> 36:53.120]  Yeah, they got the baby now too.
[36:53.120 --> 36:57.120]  Well, listen, that's better than nothing. Usually they don't get the baby.
[36:57.120 --> 37:03.120]  No, they got them all. You don't get it. I mean, but they're horrible people, okay?
[37:03.120 --> 37:09.120]  And for them to be, for those children to be in their possession is worse than anything we could ever have.
[37:09.120 --> 37:13.120]  Well, listen, you just have to, you have to get a lawyer that's a specialist in this.
[37:13.120 --> 37:19.120]  I'm here and I'm sequestering help. I want to hire Harry Shapiro and Patrick Clancy.
[37:19.120 --> 37:22.120]  They're two experts, okay? I'm flat broke.
[37:22.120 --> 37:28.120]  I'm toss the kitty at yahoo.com and I'm my space toss the kitty.
[37:28.120 --> 37:33.120]  I'm the one that wrote the song 9-11 was an inside job, okay?
[37:33.120 --> 37:36.120]  I have been a longtime patriot.
[37:36.120 --> 37:41.120]  I'm, you know, the only thing that I'm guilty of was leaving my wife for another woman.
[37:41.120 --> 37:46.120]  I'm guilty of that, but I shouldn't lose my baby over this and we're destroyed.
[37:46.120 --> 37:47.120]  It's destroying us.
[37:47.120 --> 37:51.120]  Well, sir, sir, you don't want, listen, let me stop, okay? I appreciate your call, okay?
[37:51.120 --> 37:58.120]  I can sit here and I can take 150 phone calls straight every hour of people that just had their kids taken, okay?
[37:58.120 --> 38:02.120]  They take over a million children a year. Most of them don't even go to somebody else in the family.
[38:02.120 --> 38:09.120]  I understand that. I understand they wanted the other two kids and so now they've gotten your baby.
[38:09.120 --> 38:14.120]  And I understand it's criminal and it's sick. You're going to have to fight it out in the courts.
[38:14.120 --> 38:19.120]  And what's got to be defeated is these fake criminal family courts. Everybody's heard about them.
[38:19.120 --> 38:24.120]  Where the private adoption agencies and stuff get caught paying the judges under the table millions
[38:24.120 --> 38:27.120]  and where they have actual orders for blonde-haired and blue-eyed kids.
[38:27.120 --> 38:32.120]  I had a state senator on earlier this week covering it. We gave your thing out. I'd like to help you, sir.
[38:32.120 --> 38:38.120]  It's just that I know how this operates. It's why I cover it every week on the show.
[38:38.120 --> 38:44.120]  But it is an innumerable amount of people that we would have to help. We have to change the system.
[38:44.120 --> 38:48.120]  And I know you're wanting to hire some type of specialist lawyers or something.
[38:48.120 --> 38:58.120]  You need to get with the big think tanks and websites. They're experts on how to go after the criminal CPS system, okay?
[38:58.120 --> 39:03.120]  And so the way this criminal system works is it sides with whoever makes the false allegation.
[39:03.120 --> 39:09.120]  And the family courts aren't real courts, so you have trouble facing your own accuser and there's no judge or jury.
[39:09.120 --> 39:16.120]  All there is is a big fat pedophile judge nine times out of ten that's sitting there getting kickbacks on money for how many kids they grab.
[39:16.120 --> 39:20.120]  And I understand you're paying. It's hard for me to sit there and listen to it because it's very upsetting.
[39:20.120 --> 39:24.120]  That's why I cover it on the show every week. But all I can do is give out info.
[39:24.120 --> 39:27.120]  We're almost powerless when it comes to helping individuals.
[39:27.120 --> 39:35.120]  We've got to change the system. And if people wake up universally and realize what a criminal racket the family court system is,
[39:35.120 --> 39:41.120]  then we can start changing it. Let's talk to Steven in Texas. Steven, you're on the air. Go ahead.
[39:41.120 --> 39:46.120]  Yeah. Hey, good afternoon, Alex. First of all, two things I want to cover real quick.
[39:46.120 --> 39:51.120]  First of all, about the Boy Scouts. I was in the Boy Scouts for years.
[39:51.120 --> 40:00.120]  And I consider it no coincidence that now what you're bringing out about the Boy Scouts and what you brought out about Hitler's youth brigades,
[40:00.120 --> 40:08.120]  that our beloved governor, Rick Perry, not long ago, came out with a book promoting the Boy Scouts.
[40:08.120 --> 40:14.120]  So I don't consider that he was defending them against the homosexuals who were trained infiltrating them.
[40:14.120 --> 40:20.120]  But I see this as a deeper agenda where it's no coincidence that just not too long ago he came out of this book.
[40:20.120 --> 40:27.120]  In other words, to give a positive spin on the Boy Scouts in the direction they're going now. You see what I'm getting at?
[40:27.120 --> 40:36.120]  No. And again, the Boy Scouts admittedly were set up to train youth for military induction and for camping and preparation.
[40:36.120 --> 40:43.120]  They admit that. And that's fine and dandy. But what Hitler did in 1933 is they had the German Boy Scouts.
[40:43.120 --> 40:50.120]  That was the kinder folk. And this is mainline history for those that don't know. And I appreciate your call. It's a fine point.
[40:50.120 --> 40:53.120]  I'm going to start getting into that in the next segment.
[40:53.120 --> 40:58.120]  And they took over the Boy Scouts and at first had it just normal Boy Scouts and then turned it into paramilitary training.
[40:58.120 --> 41:06.120]  And then they set up the Hitler Eugen out of that. And just a few years later, those 12, 13, 14, 15 year olds in 1913,
[41:06.120 --> 41:18.120]  I mean, in 1933, by 1940, 1941, 42, with the war raging, you know, they were now 20, 21, 22 years old and were fully indoctrinated.
[41:18.120 --> 41:24.120]  And that's what this is all about. And that is what is happening here. You know, torture, secret arrest, youth brigades.
[41:24.120 --> 41:31.120]  But ladies and gentlemen, it's not just that. We now know what the global uniform is for these youth.
[41:31.120 --> 41:37.120]  And Barack Obama has released a secure core video with them doing military drills.
[41:37.120 --> 41:43.120]  Ladies and gentlemen, this is off the charts. It's up on infowars.com. You can see it right now.
[41:43.120 --> 41:46.120]  We're going to play the audio coming up in the next segment when I detail all of this.
[41:46.120 --> 41:57.120]  George in Texas. Oh, by the way, a Walt who called earlier, Walt send a e-mail to robd.infowars.com with all the facts of the case written out.
[41:57.120 --> 42:05.120]  Because just to come on here and kind of talk about what happened to you or to start naming people in an extended family.
[42:05.120 --> 42:11.120]  You know, I need to see the documentation first. I need to consider you as being a guest on the show.
[42:11.120 --> 42:19.120]  That's how we do that when we do shows on the CPS because it's a very, very, very serious situation.
[42:19.120 --> 42:25.120]  Okay, so I appreciate your call. Let's go ahead and talk to George in Texas. George, go ahead.
[42:25.120 --> 42:27.120]  Thank you, Alex. Thank you for making my call.
[42:27.120 --> 42:28.120]  Thank you.
[42:28.120 --> 42:36.120]  You know, the thing is, I talked to a few military and you know the thing is I started to find out that a lot of the children being taken are from
[42:36.120 --> 42:40.120]  fathers that are deployed overseas and they're not there to protect their homes.
[42:40.120 --> 42:47.120]  Yes, the CPS does take a lot of the military's children and the government recruiting arms are doing a lot of that.
[42:47.120 --> 42:54.120]  No, this is all folks, they make the troops pay for plane tickets in their back home and their meals when they're in hospitals.
[42:54.120 --> 42:59.120]  This government is degenerate but they wrap themselves in the flag and say, we're patriotic.
[42:59.120 --> 43:02.120]  Go along with the police state or you don't like the police and military.
[43:02.120 --> 43:06.120]  Police and military, you are dog meat to the New World Order.
[43:06.120 --> 43:11.120]  Henry Kissinger wrote a book calling you dumb animals.
[43:11.120 --> 43:16.120]  Yes, Mark. Alex, can I ask you one more thing? When are you going to get Mark Kornke on again?
[43:16.120 --> 43:21.120]  You know, I might get Mark on sometime. You know, we've had Mark on before. He hasn't invited me on his show, though.
[43:21.120 --> 43:27.120]  Listen, we're going to go ahead and go to break and come back with more phone calls.
[43:27.120 --> 43:32.120]  And I've always defended Mark and one day I heard him on the air with some call or horrible guy saying things about me.
[43:32.120 --> 43:34.120]  He didn't really defend me, so I've kind of gotten...
[43:34.120 --> 43:40.120]  How would you like to finally be debt free without paying another cent to creditors and not have to file bankruptcy?
[43:40.120 --> 43:44.120]  DebtCrisisSolutions.com can help free you from the debt trap.
[43:44.120 --> 43:49.120]  This is not a debt settlement program which has tax consequences or debt consolidation.
[43:49.120 --> 43:52.120]  In this program, there are no more payments to creditors or collectors.
[43:52.120 --> 43:59.120]  We will help restore your credit history, protect your property, prevent paycheck garnishments and preserve your bank account.
[43:59.120 --> 44:04.120]  We also provide mortgage modification services which can lower your mortgage payments without refinancing.
[44:04.120 --> 44:08.120]  If you're facing foreclosure or are in the foreclosure process, we can help.
[44:08.120 --> 44:11.120]  Finally, proven debt solutions that work for the people.
[44:11.120 --> 44:14.120]  Become debt free in 90 days.
[44:14.120 --> 44:16.120]  Doing nothing doesn't make the debt go away.
[44:16.120 --> 44:20.120]  Call DebtCrisisSolutions today and speak to an advisor absolutely free.
[44:20.120 --> 44:23.120]  Call 718-615-0123.
[44:23.120 --> 44:27.120]  That's 718-615-0123.
[44:27.120 --> 44:30.120]  Or visit them online at DebtCrisisSolutions.com.
[44:30.120 --> 44:33.120]  That's DebtCrisisSolutions.com today.
[44:33.120 --> 44:40.120]  If you've always wanted to experience the amazing benefits from using Oil of Oregano, the time to act is now.
[44:40.120 --> 44:46.120]  With so many places to choose from, where can you be 100% certain you're getting the highest quality oil for your dollar?
[44:46.120 --> 44:48.120]  The answer is simple.
[44:48.120 --> 44:49.120]  PureBulk.com.
[44:49.120 --> 44:56.120]  PureBulk.com brings you ultra-pure, non-deluded oil of oregano with 80% or better Carvacrol.
[44:56.120 --> 45:05.120]  PureBulk.com also carries over 120 nutritional products including atomic iodine, amino acids, herbal extracts and heart health,
[45:05.120 --> 45:12.120]  all made with no fillers, additives or fancy packaging, saving you 50-90% over store-bought supplements.
[45:12.120 --> 45:19.120]  With each order, PureBulk.com will send you one Dram of Atomic Iodine, a 150-day supply, absolutely free!
[45:19.120 --> 45:23.120]  Just enter promotional code Iodine at website checkout.
[45:23.120 --> 45:24.120]  Visit PureBulk.com.
[45:24.120 --> 45:26.120]  That's PureBulk.com.
[45:26.120 --> 45:29.120]  Or call 406-251-3270.
[45:29.120 --> 45:36.120]  406-251-3270 today!
[45:36.120 --> 45:40.120]  If you owe the IRS, you can't make the problem go away without professional help.
[45:40.120 --> 45:44.120]  But with the help of Dan Pilla, you can get your problem solved.
[45:44.120 --> 45:49.120]  Hi, I'm Dan Pilla and I've been solving tax debt problems for 30 years and I can help you too.
[45:49.120 --> 45:54.120]  We can stabilize IRS collection action and get your tax debt reduced sometimes completely eliminated.
[45:54.120 --> 46:00.120]  And if you received a 1099 from a bank because of mortgage or other debt forgiveness, the vast majority of the time,
[46:00.120 --> 46:06.120]  I can show you how to completely erase it so you pay no taxes on what the IRS will consider to be taxable income.
[46:06.120 --> 46:09.120]  Call us for a free consultation to discuss the many possibilities.
[46:09.120 --> 46:12.120]  Call 1-800-34-NO-TAX.
[46:12.120 --> 46:16.120]  That's 800-34-N-O-T-A-X.
[46:16.120 --> 46:19.120]  Or go to my website at taxhelponline.com.
[46:19.120 --> 46:24.120]  Dan Pilla has been protecting taxpayers from the IRS for three decades and he can help you.
[46:24.120 --> 46:28.120]  Call us today 800-346-6829.
[46:28.120 --> 46:33.120]  That's 800-34-NO-TAX.
[46:33.120 --> 46:36.120]  Americans, do you know where your food comes from?
[46:36.120 --> 46:38.120]  Is it safe, secure and healthy?
[46:38.120 --> 46:42.120]  Did you know most of our food is now contaminated with genetically modified ingredients?
[46:42.120 --> 46:47.120]  We at Baker Creek heirloom seed company have been helping people get pure garden seed for 12 years
[46:47.120 --> 46:51.120]  and carry over 1200 varieties of GMO free heirloom seed.
[46:51.120 --> 46:55.120]  Go to www.rareseeds.com for more information.
[46:55.120 --> 46:57.120]  That's rareseeds.com.
[46:57.120 --> 47:02.120]  Baker Creek heirloom seed company was started in 1998 by a 17-year-old as a hobby.
[47:02.120 --> 47:06.120]  It was developed out of a passion for preserving our vegetable heritage.
[47:06.120 --> 47:09.120]  The company now offers the largest selection of pure heirloom seeds
[47:09.120 --> 47:12.120]  strive every year to bring back varieties like our forefathers grew.
[47:12.120 --> 47:16.120]  In times like these, we can't trust the government to keep our seeds safe.
[47:16.120 --> 47:21.120]  Every year at Baker Creek, we work to preserve the best of the oldest for future gardeners.
[47:21.120 --> 47:25.120]  We also offer affordable seed collections for long-term storage.
[47:25.120 --> 47:30.120]  Go to www.rareseeds.com and get your seeds from America's pure seed source.
[47:30.120 --> 47:57.120]  That's rareseeds.com.
[48:00.120 --> 48:05.120]  There's all these idiots that say, they're all caught or they can't have rights.
[48:05.120 --> 48:10.120]  You know, they're now saying in all the big court cases that U.S. citizens don't have rights
[48:10.120 --> 48:14.120]  and they're going to use and are using all the anti-terror laws, the American people.
[48:14.120 --> 48:19.120]  And all the major training manuals are about gun owners, conservatives and veterans, dummies.
[48:19.120 --> 48:24.120]  They get you sold on it for foreign cave dwellers and saying,
[48:24.120 --> 48:30.120]  yeah, take them, you know, A-Rab's rights, they're not A-Rabs, they live in Central Asia.
[48:30.120 --> 48:33.120]  Take their rights when it's really for you.
[48:33.120 --> 48:40.120]  Those Central Asians work for the CIA against the Serbs, against the Russians.
[48:40.120 --> 48:44.120]  You were set up. You were the target's dumb-dumbs.
[48:44.120 --> 48:51.120]  The free market, our free society, our private property was the target.
[48:51.120 --> 48:55.120]  Look at these headlines. AmeriCorps, paramilitary propaganda ad.
[48:55.120 --> 49:00.120]  Wait till you hear the audio from this in the videos, even more incredible.
[49:00.120 --> 49:04.120]  Obama continues torture and torture-related murder in the bogus war on terror.
[49:04.120 --> 49:09.120]  Another story about Kurt Nemo up on infowars.com and Prisciplina.com.
[49:09.120 --> 49:13.120]  And Bilderberg wants global Department of Health and global Treasury Department.
[49:13.120 --> 49:17.120]  We're going to go over all of this coming up in the next hour.
[49:17.120 --> 49:21.120]  But right now, back to the phone calls.
[49:21.120 --> 49:24.120]  Let's go ahead and talk to Matt.
[49:24.120 --> 49:28.120]  And Matt, where are you calling us from?
[49:28.120 --> 49:29.120]  Hey, Alex, can you hear me okay?
[49:29.120 --> 49:31.120]  Yeah, where are you calling us from?
[49:31.120 --> 49:32.120]  I'm Missouri, sir.
[49:32.120 --> 49:34.120]  Okay, welcome to the airwaves.
[49:34.120 --> 49:35.120]  Yeah, thank you.
[49:35.120 --> 49:40.120]  I'd like to read you two passages that describe everything that you do
[49:40.120 --> 49:44.120]  and what we all need to do in our fight against evil in the New World Order.
[49:44.120 --> 49:49.120]  And the first one here is Ephesians 6, verse 10, Armor of God.
[49:49.120 --> 49:53.120]  Finally, be strong in the Lord and his mighty power.
[49:53.120 --> 49:59.120]  Put on the full armor of God so that you can take your stand against the devil's schemes.
[49:59.120 --> 50:05.120]  For our struggle is not against flesh and blood, but against the rulers, against authorities,
[50:05.120 --> 50:11.120]  against the powers of darkness world, and against the spiritual forces of evil and the heavenly realms.
[50:11.120 --> 50:14.120]  Now, how does that combine with Romans 13?
[50:14.120 --> 50:17.120]  They take out of context and say all governments of God do whatever it says.
[50:17.120 --> 50:21.120]  Then the founding fathers were wrong to rebel against King George III.
[50:21.120 --> 50:23.120]  We were wrong in the 40s to rebel against Hitler.
[50:23.120 --> 50:26.120]  We were wrong to rebel against Napoleon.
[50:26.120 --> 50:31.120]  But no, the entire Bible is about standing up against wicked government.
[50:31.120 --> 50:34.120]  Again, give folks that famous verse again.
[50:34.120 --> 50:42.120]  Ephesians 6, verse 10, and another one that describes why we need to fight these people
[50:42.120 --> 50:46.120]  and why they're in the positions that they are and why they worship Lucifer,
[50:46.120 --> 50:49.120]  would be Luke 4, verses 5, which I'm sure you've heard before.
[50:49.120 --> 50:52.120]  And this is when Christ is being tempted in the wilderness.
[50:52.120 --> 50:54.120]  The devil leads them up.
[50:54.120 --> 50:55.120]  So get behind me, Satan.
[50:55.120 --> 50:59.120]  He offers him the whole world, all the kingdoms that work for him.
[50:59.120 --> 51:03.120]  But according to Romans 13, out of context, Jesus should have hit his knees and said,
[51:03.120 --> 51:06.120]  Hail Satan, because I've got to follow the will of God.
[51:06.120 --> 51:08.120]  All government is of the Lord.
[51:08.120 --> 51:10.120]  Hence Satan is God of this world.
[51:10.120 --> 51:13.120]  Hail Satan! Hail Satan! Hail Satan!
[51:13.120 --> 51:17.120]  All the Baptists and all the Catholics all hit their knees under Romans 13.
[51:17.120 --> 51:23.120]  The favorite verse taught everywhere as the federal government takes over all the major denominations.
[51:23.120 --> 51:25.120]  Hail Satan! Hail Satan!
[51:25.120 --> 51:27.120]  No, don't shout at the devil.
[51:27.120 --> 51:29.120]  Worship the devil because it's of the Lord.
[51:29.120 --> 51:35.120]  He's the God of this world and nothing bites like I do.
[51:35.120 --> 51:39.120]  Nothing screams out loud in the dark of night.
[51:39.120 --> 51:41.120]  I'm sorry, sir, go ahead.
[51:41.120 --> 51:43.120]  Absolutely.
[51:43.120 --> 51:48.120]  It says over and over in the Bible how that Satan is the prince of this world
[51:48.120 --> 51:51.120]  and he can give these people a bow down.
[51:51.120 --> 51:54.120]  And it's of the Lord to bow down to the government.
[51:54.120 --> 51:59.120]  No, it's the good Lord. They don't listen.
[51:59.120 --> 52:01.120]  Don't listen to the caller, people.
[52:01.120 --> 52:03.120]  No, no, no, it's the government.
[52:03.120 --> 52:05.120]  You'll go to hell if you do.
[52:05.120 --> 52:11.120]  The Christians were evil that didn't bow to Caesar, that he burned at the stake in the Coliseum.
[52:11.120 --> 52:13.120]  They were bad.
[52:13.120 --> 52:15.120]  Don't listen.
[52:15.120 --> 52:17.120]  I'll quit being sarcastic. Go ahead, sir.
[52:17.120 --> 52:21.120]  If I could, I'll just finish Ephesians 6.
[52:21.120 --> 52:23.120]  No, no, don't read it.
[52:23.120 --> 52:25.120]  Bible verses are evil.
[52:25.120 --> 52:27.120]  The government says don't read it.
[52:27.120 --> 52:29.120]  You've got to follow what the government says.
[52:29.120 --> 52:31.120]  Romans 13, don't, don't.
[52:31.120 --> 52:33.120]  Go ahead and read both verses.
[52:33.120 --> 52:36.120]  The earlier Ephesians and the next one because I've been interrupting.
[52:36.120 --> 52:38.120]  You want me to start over?
[52:38.120 --> 52:43.120]  Start over, yes. Start over with blasphemy according to the government-run churches that say bow down to government.
[52:43.120 --> 52:46.120]  This is blasphemy and heresy.
[52:46.120 --> 52:51.120]  You're all about to hear right now because the church has turned into a government-paid operation
[52:51.120 --> 52:53.120]  and that is of the Lord.
[52:53.120 --> 52:56.120]  This caller is evil that's calling in.
