[00:00.000 --> 00:12.000]  It's Friday, December 30th, twilight hours, twenty, one, two, three, get ready, this is
[45:22.000 --> 45:32.000]  And man, in two weeks, I went from brain fog to like literally like my brain was enlightened. You know, I could think again. I could connect with people again.
[45:32.000 --> 45:40.000]  Over the course of the next couple of years, I got my health back and I religiously take basically all of your supplements. They're all absolutely amazing supplements.
[45:40.000 --> 45:48.000]  The one I like recently is knockout literally like if you want to sleep, just take it. It's amazing. It works. But anyway, so the point is we have to get ourselves clean.
[45:48.000 --> 45:54.000]  We have to break free of the globalist system. And the only way to do that is to take our own health into our own hands.
[45:54.000 --> 46:03.000]  Beautifully said, brother. I thank you so much for your call and Godspeed.
[46:25.000 --> 46:38.000]  And in some cases, even better introducing info wars, MD at info wars, score.com info wars, MD exclusively at info wars store.com has 10 new products.
[46:38.000 --> 46:49.000]  Tumeric 95 libido RX better mood, nitric boost, much room max at a tropic, angels, fatality collagen, superfood greens and more.
[46:49.000 --> 46:58.000]  We're taking superfood greens. This is the highest quality greens out there. And it's at a price way, way lower than the same product on store shelves for twice the cost.
[46:58.000 --> 47:01.000]  Find info wars, MD at info wars store.
[47:01.000 --> 47:11.000]  Leading a frontal assault on the lies of the new world order. It's Alex Jones.
[47:11.000 --> 47:28.000]  I remember about two and a half years ago, I was sitting in Trump Hotel and I was sitting there with the Fox News.
[47:28.000 --> 47:38.000]  I was drinking at the counter, the bar. And these two good looking women came over and I instantly, the place was empty.
[47:38.000 --> 47:49.000]  It was like midnight. I instantly went, okay, those are sex operatives. I could tell just that probably had like PhDs that they're probably psychologists CIA that volunteer for the mission.
[47:49.000 --> 47:54.000]  They start talking. They say, we want to go to your hotel room about three months in the conversation. We want to have sex with you right now.
[47:54.000 --> 48:00.000]  And I said, oh, yeah, I want to go to prison today. I said, you guys are ridiculous how obvious you are.
[48:00.000 --> 48:08.000]  I said, so what you, you both got psychology degrees, right? You went to Lainley and you think you're real cool and everything.
[48:08.000 --> 48:12.000]  You're going to be, and they started getting so mad during the rain going, no, no, what's that? We just like you.
[48:12.000 --> 48:24.000]  We just want to go to your room with you. And I was sitting there with the Fox News host who'd already brought this hot blonde along himself.
[48:24.000 --> 48:30.000]  I don't think he was part of it, but I said, well, I'm going to bed. No, those girls had left.
[48:30.000 --> 48:37.000]  He said, well, hey, I brought this girl for you. And I said, wow, that's you guys are all spies, man.
[48:37.000 --> 48:48.000]  I said, good night. I go get in bed about 1230 at night. The fire alarm gets pulled. Then it gets pulled again.
[48:48.000 --> 48:58.000]  And I'm sitting there down there at the bar. I go back down there and those damn women are there again.
[48:58.000 --> 49:06.000]  I just laughed at them, but they were on a mission. They were so angry. They were supposed to get me in that room and say I raped them.
[49:06.000 --> 49:18.000]  They got a witness. Same thing they did to Julian Assange. Like, I'm an idiot. I'm a married man. But the point is that's how crooked this thing is.
[49:18.000 --> 49:26.000]  I'll get to Andrew Tate, start the next hour. I've talked to his lawyer. I'll give you the inside baseball. He's just bigger than Andrew Tate.
[49:26.000 --> 49:29.000]  But that's how serious this world is. That's how real this is.
[49:29.000 --> 49:37.000]  Now, I told you over two years ago, or it's coming up on two years, I guess, next month, in just a few days, I guess in eight days,
[49:37.000 --> 49:47.000]  the January 6th anniversary. It's also my wedding anniversary to my second wife, my darling.
[49:47.000 --> 49:54.000]  And I told you that they provocative. I told you they had operatives that broke in.
[49:54.000 --> 50:01.000]  I told you they were going to suppress the video inside the Capitol. They suppressed 14,000 hours of it.
[50:01.000 --> 50:07.000]  And we looked at Ray Epps with his classic cutout of an intelligence operative, running around for two days before and that day,
[50:07.000 --> 50:13.000]  saying attack the Capitol, go into the Capitol, him with big signs, helping it ram it into the police.
[50:13.000 --> 50:16.000]  And I wondered how he'd get away with it, what he'd say under oath.
[50:16.000 --> 50:24.000]  So under oath, the January 6th committee now has released thousands of transcripts of these depositions.
[50:24.000 --> 50:30.000]  And it turns out, and I didn't just believe this when I saw it on Twitter, overhead shot, please,
[50:30.000 --> 50:35.000]  I went to the January 6th committee site and I pulled up the page and I've got it right here.
[50:35.000 --> 50:40.000]  We're writing an article right now for mfourwars.com. This is not broken yet, except on Twitter.
[50:40.000 --> 50:46.000]  On the afternoon of January 6th, Ray Epps texted his nephew about the events at the Capitol.
[50:46.000 --> 50:52.000]  I was in the front with a few others. I also orchestrated it.
[50:52.000 --> 51:01.000]  And we wonder why he was never charged and why he's the only person whom Kensinger and Cheney defend in the New York Times defense.
[51:01.000 --> 51:09.000]  So here's the actual section of it in his deposition, page 60 and 61.
[51:09.000 --> 51:15.000]  Question. So it looks like around 9 a.m. your nephew texted you.
[51:15.000 --> 51:23.000]  You and Jim be safe. And then at 212 on January 6th, except they broke in the Capitol, you text back.
[51:23.000 --> 51:29.000]  I was in the front with a few others. I also orchestrated it.
[51:29.000 --> 51:35.000]  You know, the orchestra has a conductor who orchestrates the symphony.
[51:35.000 --> 51:40.000]  So let me read the actual quote sort of adding when I said this is a pure quote.
[51:40.000 --> 51:44.000]  Question. So it looks like around 9 a.m. your nephew texted you.
[51:44.000 --> 51:49.000]  You and Jim be safe. And then at 212 p.m. on January 6th, you text back.
[51:49.000 --> 51:56.000]  I was in the front with a few others. I also orchestrated it.
[51:56.000 --> 52:02.000]  And then they go on. But what does orchestrate mean? Well, I let it.
[52:02.000 --> 52:09.000]  This is the exact same time on the video that I just played. Help us understand this text.
[52:09.000 --> 52:15.000]  What did you mean by orchestrate? Why did you orchestrate? What did you orchestrate? Answer.
[52:15.000 --> 52:20.000]  I just meant that I got you have to understand our relationship. Uncle and nephew.
[52:20.000 --> 52:31.000]  We hunt together. We fun with each other. We do that kind of stuff. What I meant by orchestrate was I helped get people there.
[52:31.000 --> 52:39.000]  He goes on to say at that point, I didn't know they were breaking the Capitol.
[52:39.000 --> 52:42.000]  He says on the video, going to the Capitol. I didn't.
[52:42.000 --> 52:46.000]  Windows had been broken. I didn't know anybody was in the Capitol.
[52:46.000 --> 52:53.000]  If I answer him, that means it was 212. I was on my way back to the hotel. Yeah, mission complete.
[52:53.000 --> 53:02.000]  So there you go. Running around, telling everybody to go in for days. They're doing it, helping ram.
[53:02.000 --> 53:07.000]  It's him on the video, the big sign. I noticed you guys were playing it from the ground level.
[53:07.000 --> 53:13.000]  There's a shot above of RAFs. They're directing people to grab the sign and then ramming it into the police.
[53:13.000 --> 53:16.000]  Yeah, yeah. That's the shot from the ground. We have one from above.
[53:16.000 --> 53:21.000]  So if you don't find it for some reason, I want to add it in post when we archive this demand.video.
[53:21.000 --> 53:26.000]  But yeah, that's him up close. There's a shot from above with him on the corner, helping.
[53:26.000 --> 53:33.000]  So everybody else that they caught doing that went to jail, but not RAFs, ladies and gentlemen.
[53:33.000 --> 53:47.000]  Not RAFs. So that is a big deal, ladies and gentlemen.
[53:47.000 --> 53:55.000]  Yeah, there's the actual footage of him with the sign, directing it and getting others to push the sign over the police.
[53:55.000 --> 54:02.000]  So there he is, ramming over police in barricades, laughing and smiling. Good job, crew, finding that.
[54:02.000 --> 54:10.000]  And there's RAFs on the video, helping do it, but he's okay because he just orchestrated it.
[54:10.000 --> 54:17.000]  Isn't he a good person? Isn't he a wonderful person?
[54:17.000 --> 54:26.000]  He orchestrated it. I've said probably 300 times, RAFs helped orchestrate the breach at the Capitol.
[54:26.000 --> 54:39.000]  And there he is, ramming the sign over the police and directing others to help him ram police and run over them with a crowd and stomp on them.
[54:39.000 --> 54:44.000]  But he's their little darling because you know if it actually came out, you know who he works for.
[54:44.000 --> 54:50.000]  I would bet my last dollar that he's an FBI or CIA operative or informant.
[54:50.000 --> 54:57.000]  Just like it turned out, half the people in the Michigan group that went and supposedly tried to kidnap the governor but never actually did it,
[54:57.000 --> 55:13.000]  it turned out the entire leadership were FBI agents and informants. Incredible information, totally disgusting.
[55:13.000 --> 55:21.000]  And now they've sealed the rest of their report and all their data for 20 years.
[55:21.000 --> 55:28.000]  Why would you seal the investigation for 20 years? And now the article's gone live by Kelly McBreen.
[55:28.000 --> 55:33.000]  He's to go super viral. It's on infowars.com. You have trouble sharing infowars.com?
[55:33.000 --> 55:40.000]  Copy it to your website or get somebody else to share it. I don't care. Just get the article out.
[55:40.000 --> 55:47.000]  Epps confesses January 6th to many that he orchestrated an attack on the Capitol.
[55:47.000 --> 55:55.000]  That he got the people there. That he grabbed a sign, a huge metal sign that he led people to ram it over the police and break the barriers.
[55:55.000 --> 56:03.000]  And then as soon as they got out of the Capitol, he turned and left because it was mission complete.
[56:03.000 --> 56:11.000]  The article is on infowars.com. You want to fight the deep state? You want to expose what they've done?
[56:11.000 --> 56:17.000]  This is bigger than the Hunter Biden laptop. Yeah, we know he's a Chinese spy. We know his dad's a spy.
[56:17.000 --> 56:26.000]  It's all in there. The pedophilia is the tip of the iceberg. But this, ladies and gentlemen, shows the committee knows that he said he orchestrated the attack
[56:26.000 --> 56:33.000]  and he's there ramming signs into police and saying go into the Capitol and we'll come back and play some clips of that.
[56:33.000 --> 56:46.000]  And he has not been arrested, but Owen Schreuer has and Sam Montoya has. And Stuart Rhodes has been convicted fraudulently, totally innocent.
[56:46.000 --> 56:54.000]  And now the Oathkeepers are on trial. Get a kangaroo court in Washington, D.C.
[56:54.000 --> 57:04.000]  Coming up next hour, we've got some Sam Bankman freed news. I'd like to hear what he's doing and who his judge is and who his lawyers are.
[57:04.000 --> 57:15.000]  Jeffrey Epstein people, but it gets worse. It gets worse. He's not supposed to withdraw or transfer more than $1,000, period, without court approval.
[57:15.000 --> 57:27.000]  Part of his bail turns out he just withdrew, probably stolen funds, $600 plus thousand dollars bigger than Dallas. He's very proud of himself.
[57:27.000 --> 57:33.000]  Wow. Big news on that front. Huge news on the Russia-Ukraine situation. Massive WEF news.
[57:33.000 --> 57:39.000]  Robert Barnes joins us in a third hour with huge breaking news and victories. It's so many things to cover.
[57:39.000 --> 57:50.000]  And then tomorrow, I'm coming in to do a special year end. New Year's Eve broadcasts at infowars.com.
[58:10.000 --> 58:15.000]  Because we understand the enemy's operations and we know how to beat them. But we can't do it without funding.
[58:15.000 --> 58:20.000]  And we make it easy to fund with great products that empower you and your immune system and your family as well.
[58:20.000 --> 58:26.000]  You can also make straight donations at infowars.com, clicking on the big red banner, a one-time recurring.
[58:26.000 --> 58:32.000]  But I'm asking you to take action. We're nonviolent. But every time you donate money, every time you buy products, every time you keep us on air,
[58:32.000 --> 58:39.000]  you are literally, nonviolently, politically punching the New World Order in the nose, punching their lies in the nose.
[58:39.000 --> 58:43.000]  We are going to defeat the New World Order. We're going over the top. And right now is the critical juncture.
[58:43.000 --> 58:49.000]  So please go to infowars.com and donate now.
[58:49.000 --> 58:59.000]  There's a war against our masculinity. There's a war in the environment, the food, the water, the air, the electromagnetics, the injections.
[58:59.000 --> 59:03.000]  To really cut us off from what God designed us to be.
[59:03.000 --> 59:11.000]  But through Mother Nature, the Creator gave us compounds that can counteract what the globalists have done.
[59:11.000 --> 59:16.000]  And I got to tell you, all our supplements are great, but we've got a real game changer now.
[59:16.000 --> 59:24.000]  We've never put anything out this powerful. It's InfoWars Platinum, now exclusively available at 40% off at infowars.com.
[59:24.000 --> 59:29.000]  This is private labeled, three of the top best sellers in the country right now.
[59:29.000 --> 59:36.000]  But it's exclusively available under the brand name and private label of InfoWars Platinum at infowarstore.com.
[59:36.000 --> 59:43.000]  It's HGH Boost Max. It's Pain MD. And it's 1776 testosterone boost.
[59:43.000 --> 59:58.000]  You owe it to yourself and your way of life and your well-being to try these out and fund the InfoWars.
[01:00:13.000 --> 01:00:24.000]  To travel with his mind to the future, the angels guiding his soul to bring him back to 2,000 years ago with the data we'd need to win at this critical juncture.
[01:00:24.000 --> 01:00:34.000]  Imagine, space time, spirit jump. What must it be like to be able to do that?
[01:00:34.000 --> 01:00:44.000]  I sure wonder. It's a smooth operator. The New World Order doesn't like the fact that we've got powers way more advanced than theirs.
[01:00:44.000 --> 01:00:52.000]  But not just everybody's given those powers by God. Imagine what the enemy would do with that information.
[01:00:52.000 --> 01:01:00.000]  Alright, ladies and gentlemen. Let's finish up with Ray Apps. And there's just so much huge breaking news right now.
[01:01:00.000 --> 01:01:11.000]  Idaho Murder Suspect, Brian Christopher, Kobager, arrested and killings of four university students, totally brutal, non-student, reportedly alleged.
[01:01:11.000 --> 01:01:15.000]  We're going to be covering that. I've got the Inside Baseball and the Andrew Tate situation.
[01:01:15.000 --> 01:01:22.000]  And we've got huge new government documents that just came out on COVID-19 that are stunning.
[01:01:22.000 --> 01:01:29.000]  We don't overuse the words epic stunning over the top, incredible bombshell. It's just all bombshell.
[01:01:29.000 --> 01:01:35.000]  And of course, you're not going to see hardly any of this on mainstream news because it'd be over for the New World Order if this stuff came out.
[01:01:35.000 --> 01:01:39.000]  But here's Ray Apps. You've seen the clubs a hundred times, but I don't want to say something and not show it to you.
[01:01:39.000 --> 01:01:43.000]  I don't want to say, hey, here he is directing folks with a big sign to overrun the police.
[01:01:43.000 --> 01:01:50.000]  I don't want to say it's in a transcript that he told in a deposition to the J6 committee that he orchestrated the attack on the Capitol and not show it to you.
[01:01:50.000 --> 01:01:55.000]  I don't want to say here he is running around saying go to the Capitol tomorrow, go into the Capitol and then that day.
[01:01:55.000 --> 01:02:00.000]  We're going to always show it to you. It's what we do. Here it is.
[01:02:00.000 --> 01:02:05.000]  Tomorrow, we need to go into the Capitol, into the Capitol.
[01:02:05.000 --> 01:02:09.000]  Tomorrow, I don't even like to say it because I'll be arrested.
[01:02:09.000 --> 01:02:10.000]  Well, let's not say it.
[01:02:10.000 --> 01:02:12.000]  We need, we need to go, I'll say it.
[01:02:12.000 --> 01:02:14.000]  All right, we need to go in.
[01:02:14.000 --> 01:02:15.000]  Shut the fuck up, Boomer.
[01:02:15.000 --> 01:02:17.000]  To the Capitol.
[01:02:17.000 --> 01:02:26.000]  We are going to the Capitol where our problems are. It's that direction.
[01:02:26.000 --> 01:02:29.000]  Please spread the word.
[01:02:29.000 --> 01:02:31.000]  All right, no, David, one more thing.
[01:02:31.000 --> 01:02:32.000]  Yeah, so can we go up there?
[01:02:32.000 --> 01:02:33.000]  No.
[01:02:33.000 --> 01:02:34.000]  When we go in?
[01:02:34.000 --> 01:02:35.000]  Are we going to get arrested?
[01:02:35.000 --> 01:02:36.000]  We go up there?
[01:02:36.000 --> 01:02:37.000]  Yeah, we don't need to get shot.
[01:02:37.000 --> 01:02:39.000]  We don't need to get arrested at all.
[01:02:39.000 --> 01:03:04.000]  We don't need to get arrested at all.
[01:03:04.000 --> 01:03:07.000]  And who cut the Capitol police to half their normal number?
[01:03:07.000 --> 01:03:10.000]  You'd think with a big event like this happening, they double or triple the number.
[01:03:10.000 --> 01:03:14.000]  No, no, they cut the normal number that you'd have on a Monday or Tuesday afternoon
[01:03:14.000 --> 01:03:16.000]  when there's school kids there getting tears.
[01:03:16.000 --> 01:03:20.000]  They cut the normal number to half instead of tripling the number.
[01:03:20.000 --> 01:03:23.000]  Block Trump's call for 10,000 National Guard.
[01:03:23.000 --> 01:03:26.000]  Block General Flynn's brother's call for that.
[01:03:26.000 --> 01:03:32.000]  And that big old disgusting New World Order maggot, General Milley,
[01:03:32.000 --> 01:03:38.000]  threatened to resign if Trump put trips on the streets.
[01:03:38.000 --> 01:03:42.000]  And they were going to try to deliver Trump to the Capitol to set him up that day.
[01:03:42.000 --> 01:03:44.000]  Right as the breach happened.
[01:03:44.000 --> 01:03:46.000]  But the Secret Service said it's too dangerous.
[01:03:46.000 --> 01:03:49.000]  And then they said, Trump, grab the wheel and attack the Secret Service.
[01:03:49.000 --> 01:03:51.000]  None of that happened.
[01:03:51.000 --> 01:03:56.000]  All lies, all the time, out of these people.
[01:03:56.000 --> 01:04:00.000]  And then Andrew Tate gets in a big fight with Greta Thunberg.
[01:04:00.000 --> 01:04:02.000]  He was uncancelable.
[01:04:02.000 --> 01:04:06.000]  And so they set him up with fake charges he's already beaten once
[01:04:06.000 --> 01:04:09.000]  that the police found were not true.
[01:04:09.000 --> 01:04:11.000]  Let me tell you, when you're a public figure, ladies and gentlemen,
[01:04:11.000 --> 01:04:12.000]  that's what goes on.
[01:04:12.000 --> 01:04:16.000]  That's what happens, especially if you're a populist or a conservative.
[01:04:16.000 --> 01:04:18.000]  Is Andrew Tate racy?
[01:04:18.000 --> 01:04:19.000]  Yes.
[01:04:19.000 --> 01:04:20.000]  Do you have a criminal record?
[01:04:20.000 --> 01:04:24.000]  No, but they're trying to give him one now as a message to anybody
[01:04:24.000 --> 01:04:30.000]  that is able to reach 200, 300, 400 million young men in the West
[01:04:30.000 --> 01:04:31.000]  and other parts of the world.
[01:04:31.000 --> 01:04:35.000]  That's who he influences to be men and to be strong and to not be victims
[01:04:35.000 --> 01:04:37.000]  and to be masculine.
[01:04:37.000 --> 01:04:39.000]  They don't want masculine role models.
[01:04:39.000 --> 01:04:43.000]  And so it's for that sin that they're coming after him.
[01:04:43.000 --> 01:04:46.000]  Do I think his brand of masculinity is mine?
[01:04:46.000 --> 01:04:50.000]  No, but I'm also not three-time world champion kickboxer.
[01:04:50.000 --> 01:04:54.000]  I'm just an all-time champion, new world water fighter thanks to your support.
[01:04:54.000 --> 01:04:56.000]  Remember, I always give you the credit.
[01:04:56.000 --> 01:05:25.000]  We'll be right back.
[01:05:26.000 --> 01:05:52.000]  We'll be right back.
[01:05:56.000 --> 01:06:22.000]  We'll be right back.
[01:06:22.000 --> 01:06:26.000]  Well, I thought today I met you, you won't.
[01:06:26.000 --> 01:06:29.000]  Oh, think of those, the Communist Chinese graduate here
[01:06:29.000 --> 01:06:32.000]  to give you stupid Americans your orders.
[01:06:32.000 --> 01:06:34.000]  Do not save InfoWars.
[01:06:34.000 --> 01:06:40.000]  Do not be part of the Year in Fundraiser at infowarsstore.com with huge sales.
[01:06:40.000 --> 01:06:42.000]  Do not click on the donation button.
[01:06:42.000 --> 01:06:45.000]  Give up, roll over and die.
[01:06:45.000 --> 01:06:48.000]  InfoWars is more influential than ever.
[01:06:48.000 --> 01:06:50.000]  It's important to shut them down.
[01:06:50.000 --> 01:06:52.000]  Ordering you now in the name of CCP.
[01:06:52.000 --> 01:06:55.000]  Do not go to infowarsstore.com.
[01:06:55.000 --> 01:07:01.000]  Yes, Fentanyl, the lovable, chai-com, mass-murdering dragon is back.
[01:07:01.000 --> 01:07:03.000]  And what prompted me to bring back Fentanyl
[01:07:03.000 --> 01:07:07.000]  is that we know there are massive denial-of-service attacks aimed at InfoWars
[01:07:07.000 --> 01:07:11.000]  and InfoWarsstore.com right now coming out of Communist China,
[01:07:11.000 --> 01:07:13.000]  who's allied with the WEF.
[01:07:13.000 --> 01:07:18.000]  So the worst people on earth are actually trying to shut down InfoWarsstore.com
[01:07:18.000 --> 01:07:21.000]  So sometimes the sites are slow. They're totally secure.
[01:07:21.000 --> 01:07:24.000]  But when you're able to get through to the site, InfoWarsstore.com,
[01:07:24.000 --> 01:07:27.000]  you're able to make orders on super high-quality products.
[01:07:27.000 --> 01:07:31.000]  But sometimes our little friend's bosses, the CCP and GG Ping,
[01:07:31.000 --> 01:07:34.000]  are going to be able to successfully slow the site down.
[01:07:34.000 --> 01:07:38.000]  Don't let them keep you from ordering products at InfoWarsstore.com.
[01:07:38.000 --> 01:07:39.000]  Take action now.
[01:07:39.000 --> 01:07:44.000]  Let Fentanyl's masters know the American people and others will not battle their tyranny
[01:07:44.000 --> 01:07:48.000]  and humanity is awakening and we're going to defeat the new order together.
[01:08:14.000 --> 01:08:16.000]  Here comes from China.
[01:08:26.000 --> 01:08:28.000]  Alright, we're into hour number two.
[01:08:28.000 --> 01:08:31.000]  Robert Barnes to cover the waterfront and big victories for the Amish.
[01:08:31.000 --> 01:08:34.000]  That court case saying they could sell beef and milk.
[01:08:34.000 --> 01:08:38.000]  That's coming up in a year in review and what he sees coming up the next year.
[01:08:38.000 --> 01:08:40.000]  And then I'm coming back tomorrow.
[01:08:40.000 --> 01:08:44.000]  Take a two or three hour special show tomorrow that'll be posted by the afternoon
[01:08:44.000 --> 01:08:47.000]  and re-streamed so we can ring in the new year together.
[01:08:47.000 --> 01:08:50.000]  2023. Wow.
[01:08:50.000 --> 01:08:53.000]  And then of course there's a Sunday show four to six p.m.
[01:08:53.000 --> 01:08:56.000]  and then Owen does six to eight p.m. with Sunday Live.
[01:08:56.000 --> 01:09:01.000]  The great Owen returns tomorrow from a well-deserved vacation with his family in Missouri.
[01:09:01.000 --> 01:09:04.000]  So he'll be here with us as well.
[01:09:04.000 --> 01:09:09.000]  Okay, the COVID stack and this happens every day now just gets more insane by the day.
[01:09:09.000 --> 01:09:12.000]  Criminal investigations, documents coming out.
[01:09:12.000 --> 01:09:14.000]  It's totally over the top.
[01:09:14.000 --> 01:09:16.000]  This is a God's sin. Praise God for this.
[01:09:16.000 --> 01:09:19.000]  Praise God for all of you taking action to spread the word.
[01:09:19.000 --> 01:09:27.000]  Confidential Pfizer and government documents confirm A-D-E-V-A-E-D and AIDS due to COVID-19 vaccine
[01:09:27.000 --> 01:09:31.000]  leading to millions dying suddenly and still counting.
[01:09:31.000 --> 01:09:34.000]  Wow.
[01:09:34.000 --> 01:09:38.000]  And you know, I'm happy to read that headline because we're going to bring these criminals to justice.
[01:09:38.000 --> 01:09:42.000]  I'm horrified on the other side, but they actually hit us.
[01:09:42.000 --> 01:09:47.000]  That's just some of the news coming up here in just a moment.
[01:09:47.000 --> 01:09:49.000]  But first, let's talk about Andrew Tate.
[01:09:49.000 --> 01:09:54.000]  I've known who Andrew Tate's been for about six years, seven years.
[01:09:54.000 --> 01:10:04.000]  He's been friends with Paul Watson, very close friends since he was one of the contestants in 2016 on Big Brother.
[01:10:04.000 --> 01:10:09.000]  And so I got to talking to Andrew then, sort of getting him on as a guest, but I was really smart,
[01:10:09.000 --> 01:10:13.000]  knew he was the, you know, already a world champion kickboxer at the time.
[01:10:13.000 --> 01:10:15.000]  He went on to get several more titles.
[01:10:15.000 --> 01:10:17.000]  And so he started coming to Texas.
[01:10:17.000 --> 01:10:18.000]  Sometimes he'd come on the show.
[01:10:18.000 --> 01:10:22.000]  We'd go out to dinner very gentlemanly, very, very nice.
[01:10:22.000 --> 01:10:30.000]  And I didn't learn until a couple of years ago that he made over $100 million with Cam Girls.
[01:10:30.000 --> 01:10:34.000]  And I, that's not my business and I don't really, you know, support that type of thing.
[01:10:34.000 --> 01:10:36.000]  But what he was doing was legal.
[01:10:36.000 --> 01:10:45.000]  And then as he got more and more right wing and more and more populist and sort of shifting into that and moving away from that business,
[01:10:45.000 --> 01:10:48.000]  they began to come after him because he became the number one Google person in the world
[01:10:48.000 --> 01:10:56.000]  and had conservatively 300 to 500 million, the numbers vary of men 25 and younger down into adolescence.
[01:10:56.000 --> 01:10:59.000]  We're talking eight, nine, 10, 11, 12 year olds watching him.
[01:10:59.000 --> 01:11:01.000]  He knocked it out of the park.
[01:11:01.000 --> 01:11:08.000]  We're the key demographic of young men about being tough, about being strong, about being successful, about being an alpha male.
[01:11:08.000 --> 01:11:18.000]  And yeah, I mean, you know, sitting there smoking cigars like you have during driving around in Ferraris is not really my cup of tea.
[01:11:18.000 --> 01:11:21.000]  And I like fast cars, they're great.
[01:11:21.000 --> 01:11:24.000]  But I'm not a conspicuous consumer, as they say.
[01:11:24.000 --> 01:11:27.000]  And I'd rather spend my money towards Total War against the New World Order.
[01:11:27.000 --> 01:11:31.000]  But that said, a flamboyant type that didn't like.
[01:11:31.000 --> 01:11:35.000]  And so last year, there was a criminal investigation.
[01:11:35.000 --> 01:11:36.000]  He came in for questioning.
[01:11:36.000 --> 01:11:37.000]  They did the investigation.
[01:11:37.000 --> 01:11:39.000]  They found that he had not done this to these women.
[01:11:39.000 --> 01:11:46.000]  They had had some big parties at his house with the people's boyfriends that were there and that some of these women were political operatives
[01:11:46.000 --> 01:11:51.000]  and that they had just made up stuff, made up things.
[01:11:51.000 --> 01:11:57.000]  And so if you look on the record, he got brought in in April of this year.
[01:11:57.000 --> 01:12:03.000]  So he got brought in 10 months ago, nine months ago, and they found, okay, there's no evidence here.
[01:12:03.000 --> 01:12:05.000]  They also raided his houses then.
[01:12:05.000 --> 01:12:07.000]  Got his computers, everything, found nothing.
[01:12:07.000 --> 01:12:16.000]  And then as soon as he's number one in the world, as soon as Greta Thunberg comes after him, destroys her, boom, he gets SWAT team raided.
[01:12:16.000 --> 01:12:23.000]  And I've talked to his lawyer, I've talked to folks close to him, and they said there's nothing there.
[01:12:23.000 --> 01:12:24.000]  We're not even worried.
[01:12:24.000 --> 01:12:26.000]  The Romanians have already investigated him.
[01:12:26.000 --> 01:12:27.000]  None of this is true.
[01:12:27.000 --> 01:12:29.000]  And I said, I wouldn't be so sure.
[01:12:29.000 --> 01:12:31.000]  He's about to get the Julian Assange treatment.
[01:12:31.000 --> 01:12:35.000]  And they told me, they said, we'll know in about two hours.
[01:12:35.000 --> 01:12:37.000]  And that was about an hour and a half ago.
[01:12:37.000 --> 01:12:41.000]  Well, the way Romania works is they're either going to release him after 24 hours.
[01:12:41.000 --> 01:12:45.000]  That's in about an hour or 30 minutes from now or so.
[01:12:45.000 --> 01:12:48.000]  Or they're going to hold him for 30 days.
[01:12:48.000 --> 01:12:53.000]  And if they hold him, it means they're charging him with this whole laundry list of things.
[01:12:53.000 --> 01:12:55.000]  And look, I don't have a crystal ball.
[01:12:55.000 --> 01:12:58.000]  I don't know if he's guilty of any of this.
[01:12:58.000 --> 01:13:00.000]  Maybe I'm a little jaded.
[01:13:00.000 --> 01:13:06.000]  Maybe I'm a little discriminatory in that I have had people that I've never met.
[01:13:06.000 --> 01:13:09.000]  And I've not made a big deal about this on air because it's a distraction.
[01:13:09.000 --> 01:13:17.000]  I've had women that I've never met file criminal charges on me and say that I raped them and that I had babies with them.
[01:13:17.000 --> 01:13:21.000]  I've had women in California, New York, and Louisiana do it over the years.
[01:13:21.000 --> 01:13:23.000]  Women, I don't even know who they are.
[01:13:23.000 --> 01:13:27.000]  We also had somebody six months ago.
[01:13:27.000 --> 01:13:31.000]  And the Travis County folks talked to my lawyer.
[01:13:31.000 --> 01:13:33.000]  It was off record, but they said, no, Alice, to talk about this.
[01:13:33.000 --> 01:13:34.000]  I never really talked about it.
[01:13:34.000 --> 01:13:36.000]  I mentioned it briefly.
[01:13:36.000 --> 01:13:41.000]  But obviously he wouldn't say what investigator they talked to, but it was a senior person in Travis County.
[01:13:41.000 --> 01:13:42.000]  That's where it got filed.
[01:13:42.000 --> 01:13:44.000]  Not Austin, but to the courts, Travis County.
[01:13:44.000 --> 01:13:49.000]  Somebody got in to the Travis County computers.
[01:13:49.000 --> 01:13:53.000]  And by the way, they did this in more than 10 other counties.
[01:13:53.000 --> 01:13:56.000]  So this is CIA or groups like that.
[01:13:56.000 --> 01:13:58.000]  And because they've never seen this before.
[01:13:58.000 --> 01:14:00.000]  In fact, I'm told there's an FBI investigation about it.
[01:14:00.000 --> 01:14:02.000]  I mean, this is a big deal, folks.
[01:14:02.000 --> 01:14:08.000]  And filed criminal arrest warrants for Alex Imrit Jones.
[01:14:08.000 --> 01:14:18.000]  Yours truly for torture and rape of children in multiple states, including Washington state.
[01:14:18.000 --> 01:14:21.000]  Now that's next level swatting where you call up on a computer line.
[01:14:21.000 --> 01:14:22.000]  They can't tell you are.
[01:14:22.000 --> 01:14:26.000]  And you say, I'm at Steve Bannon's house and there's a man with a gun shooting people.
[01:14:26.000 --> 01:14:28.000]  Let's happen to Steve a bunch.
[01:14:28.000 --> 01:14:29.000]  It's happened to me a bunch.
[01:14:29.000 --> 01:14:31.000]  I never really talked about it, but we've been swatting repeatedly.
[01:14:31.000 --> 01:14:37.000]  To the point where the police just know, oh, yeah, there's a shooting in Alex Jones's house.
[01:14:37.000 --> 01:14:39.000]  There's dead bodies at Alex Jones's house.
