[00:00.000 --> 00:26.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[54:48.000 --> 54:53.000]  And I told you they're going to sue over investigative journalism, trying to get laws passed.
[54:53.000 --> 55:05.000]  And this new lawsuit against me from Georgetown that is unprecedented against Allen West and others says we look to change law and set precedent to ban this type of speech.
[55:05.000 --> 55:13.000]  My lawyers say this is a direct attempt to overturn the First Amendment, the most draconian ever seen in US history.
[55:13.000 --> 55:15.000]  Lincoln banned a bunch of speech and arrested people.
[55:15.000 --> 55:17.000]  He just said they were traitors.
[55:17.000 --> 55:24.000]  This openly ends free speech for conservatives, Christians, libertarians as directed by liberal think tanks.
[55:24.000 --> 55:32.000]  The ADL, the Southern Poverty Law Center, media matters who admittedly are in Google and Facebook and Twitter advising on what to leave out and what to take down.
[55:32.000 --> 55:36.000]  It's here.
[55:36.000 --> 55:40.000]  It's here, ladies and gentlemen.
[55:40.000 --> 55:43.000]  So this is the main assault.
[55:43.000 --> 55:45.000]  I'm very honored to be at the center of it.
[55:45.000 --> 55:47.000]  All I ever want to do is take these people along.
[55:47.000 --> 55:52.000]  If I can make it through this and enjoy a long life of my family, then that's the way it is.
[55:52.000 --> 56:01.000]  But the thing I want to explain to the globalist is, but I want the listeners to know this because if I get killed or destroyed or imprisoned or whatever happens down the road,
[56:01.000 --> 56:03.000]  I believe we're going to push them back over and over again.
[56:03.000 --> 56:08.000]  But this is going to get so bad that down the road, I mean, this system, the Bible says will take over.
[56:08.000 --> 56:10.000]  But we're getting everybody awake while it takes over.
[56:10.000 --> 56:14.000]  So when it finally takes over for a day, basically.
[56:14.000 --> 56:17.000]  That's metaphysical, but just a short time.
[56:17.000 --> 56:20.000]  That will be the great rejection finally.
[56:20.000 --> 56:22.000]  And the victory comes after that.
[56:22.000 --> 56:24.000]  And then we go to the next level.
[56:24.000 --> 56:27.000]  And you don't believe the Bible and revelations.
[56:27.000 --> 56:28.000]  That's what's being built.
[56:28.000 --> 56:29.000]  This is happening.
[56:29.000 --> 56:33.000]  And I just want to be with God.
[56:33.000 --> 56:35.000]  And I want my children to be with God.
[56:35.000 --> 56:42.000]  I want your children to be with God and to go on into the future and not this weird, interdimensional, fake, silicon false reality.
[56:42.000 --> 56:46.000]  They're building and trying to get us to go with them into cold hell.
[56:46.000 --> 56:51.000]  The devil created his own reality and he got one third of these heavenly hosts.
[56:51.000 --> 56:54.000]  It's very clear what's going on to go with him.
[56:54.000 --> 56:57.000]  But they're not very good builders.
[56:57.000 --> 57:04.000]  And so they've got us, it's all in your face, building their breakaway civilization.
[57:04.000 --> 57:06.000]  We're made the image of God.
[57:06.000 --> 57:22.000]  And we're building the breakaway interdimensional civilization that this fallen creature constructed.
[57:22.000 --> 57:23.000]  That's the Bible.
[57:23.000 --> 57:25.000]  And then look around you.
[57:25.000 --> 57:26.000]  That's what they're doing.
[57:26.000 --> 57:28.000]  They now admit we worship AI gods.
[57:28.000 --> 57:29.000]  We're going to merge with them.
[57:29.000 --> 57:30.000]  We're going to kill everybody.
[57:30.000 --> 57:31.000]  The world government's here.
[57:31.000 --> 57:32.000]  Just roll over or you're dead.
[57:32.000 --> 57:33.000]  Your body's going to die.
[57:33.000 --> 57:35.000]  You're going to live forever in the cloud.
[57:35.000 --> 57:36.000]  They got you to put your photos up with the cloud.
[57:36.000 --> 57:37.000]  How'd that work?
[57:37.000 --> 57:38.000]  See?
[57:38.000 --> 57:40.000]  Now they're saying put your brain on the cloud.
[57:40.000 --> 57:41.000]  Transcend your body.
[57:41.000 --> 57:43.000]  Don't, don't, don't talk about transcendence.
[57:43.000 --> 57:44.000]  That's the one thing that's illegal.
[57:44.000 --> 57:45.000]  Don't criticize it.
[57:45.000 --> 57:46.000]  Don't tell them it's really death.
[57:46.000 --> 57:49.000]  No, you're going to live forever with us, with us, with us, with us.
[57:49.000 --> 57:54.000]  You know, someone very profoundly once said many years ago that if fascism ever comes to America,
[57:54.000 --> 57:56.000]  it'll come in the name of liberalism.
[57:56.000 --> 57:58.000]  You're a white male.
[57:58.000 --> 58:02.000]  You're a white man.
[58:02.000 --> 58:08.000]  Welcome to The War Room, the latest expansion in InfoWars live broadcasting.
[58:08.000 --> 58:17.000]  We are live weekdays from 3 to 6 p.m. central at infowars.com slash show and this YouTube channel right here that you've landed on.
[58:17.000 --> 58:20.000]  Please subscribe to the channel for updates and notifications.
[58:20.000 --> 58:23.000]  You can follow us on Twitter at War Room Show.
[58:23.000 --> 58:26.000]  We are going to have the most powerful guests, the most powerful hosts.
[58:26.000 --> 58:32.000]  We'll be hearing from Alex Jones regularly as well as taking your phone calls.
[58:32.000 --> 58:35.000]  The liberal establishment media has controlled the narrative for too long.
[58:35.000 --> 58:38.000]  The silent majority is no longer silent.
[58:38.000 --> 58:57.000]  This is The War Room.
[59:08.000 --> 59:18.000]  In the history of InfoWars Live, we've brought out a lot of amazing products like Survival Shield X2,
[59:18.000 --> 59:26.000]  SuperMail Vitality and so many others with its unique delivery system and proprietary manufacturing process designed for maximized effects.
[59:26.000 --> 59:33.000]  This formula is the platinum standard of multivitamin mineral products and this part is most important.
[59:33.000 --> 59:40.000]  The ingredients in Vitamin Mineral Fusion are either plant derived or of the highest quality lab standard.
[59:40.000 --> 59:45.000]  That means it's clean, that means it's pure and rest secured you're finding the tip of the spear in the InfoWars.
[59:45.000 --> 59:48.000]  That's infowarslife.com and Vitamin Mineral Fusion.
[59:48.000 --> 1:00:04.000]  We'll take action now before we sell out.
[1:00:04.000 --> 1:00:22.000]  He aligns himself with the truth. You're listening to Alex Jones.
[1:00:22.000 --> 1:00:37.000]  So in spite of the globalist again, I'm not trying to get out of this alive. Nobody does. I'm not trying to win in your system.
[1:00:37.000 --> 1:00:52.000]  Now, that said, we were told by sources at the bombing site involved with it directly that it was a pressure bomb, all three bombs in Austin,
[1:00:52.000 --> 1:01:04.000]  going back Monday through last week that killed one woman and injured three others, unfortunately, were very, very simple pressure bombs that when you move them, they go off.
[1:01:04.000 --> 1:01:10.000]  Oh, look, it's breaking Fox News. Austin packaged bombs, probably pretty simple.
[1:01:10.000 --> 1:01:19.000]  Components can lead cops to the suspect, our experts say. So you get tomorrow's news today and they go into that.
[1:01:19.000 --> 1:01:24.000]  So I don't know why I don't just tell people the type of bomb it is.
[1:01:24.000 --> 1:01:30.000]  I know the people involved on the ground think the public should be knowing this because the bombs are constructed on the site.
[1:01:30.000 --> 1:01:36.000]  You can't move them. So there you go.
[1:01:36.000 --> 1:01:41.000]  So I tell you all that. So I got told they're going to say you got to upload your brain to computer, but you can't do it unless you kill yourself.
[1:01:41.000 --> 1:01:43.000]  That's now close that about five years ago.
[1:01:43.000 --> 1:01:47.000]  And it's right there in the news today.
[1:01:47.000 --> 1:01:51.000]  The whole Russian thing is going to hell in a handbasket.
[1:01:51.000 --> 1:02:01.000]  Trump has sent US troops into back Western Ukrainians fighting the Russian Eastern Ukrainians. Historically, that's the birthplace of Russia.
[1:02:01.000 --> 1:02:06.000]  Is there in that whole area of Eastern Ukraine?
[1:02:06.000 --> 1:02:11.000]  And Trump says, looks like Russians were behind spy poisoning.
[1:02:11.000 --> 1:02:20.000]  Why would you do that to some spy that been there over a decade and then just nerve gas him and his daughter while they're on a park bench?
[1:02:20.000 --> 1:02:23.000]  And then the Russians are saying it's absurd.
[1:02:23.000 --> 1:02:31.000]  And so is George Galloway that Russia would leave its signature on the crime.
[1:02:31.000 --> 1:02:33.000]  It's just it's ridiculous.
[1:02:33.000 --> 1:02:40.000]  But a whole new giant Cold War to be launched off this because they just kept bullying Trump saying you're a Russian agent.
[1:02:40.000 --> 1:02:42.000]  We don't have war with Russia basically.
[1:02:42.000 --> 1:02:44.000]  So now we can't have the resources.
[1:02:44.000 --> 1:02:47.000]  We can't work with Russia trying to stop it radical Islam.
[1:02:47.000 --> 1:02:51.000]  Russia becoming westernized, modernized, Christianized.
[1:02:51.000 --> 1:02:59.000]  There's always was Christian before coming out of the long gang rape of the left hat over them.
[1:02:59.000 --> 1:03:03.000]  Now Trump administration sanctions Putin chief, other Russians over 2016 election hacking.
[1:03:03.000 --> 1:03:04.000]  I mentioned this video.
[1:03:04.000 --> 1:03:05.000]  So let me play this now.
[1:03:05.000 --> 1:03:12.000]  We've got some guests coming up. Historian, leading historian, Silicon Valley will decide future election winners unless conservatives do something.
[1:03:12.000 --> 1:03:22.000]  And again, the Republicans have found thousands of flip votes from the Republican in Pennsylvania and the congressional special election to the Democrat.
[1:03:22.000 --> 1:03:24.000]  It's always that way, isn't it?
[1:03:24.000 --> 1:03:28.000]  The Democrats openly say they have illegal aliens voting and people voting in the name of dead people.
[1:03:28.000 --> 1:03:30.000]  But that's okay.
[1:03:30.000 --> 1:03:32.000]  That's okay.
[1:03:32.000 --> 1:03:36.000]  Because Hillary knows best.
[1:03:36.000 --> 1:03:39.000]  After all, she said she hates flower country and hates the middle of America.
[1:03:39.000 --> 1:03:40.000]  But that's okay.
[1:03:40.000 --> 1:03:41.000]  We'll put that clip coming up as well.
[1:03:41.000 --> 1:03:44.000]  Here is what the historian had to say.
[1:04:12.000 --> 1:04:17.000]  I don't think he would have become president without Facebook.
[1:04:17.000 --> 1:04:25.000]  As people think more and more about this, they will, I think, begin to grasp the power of the platforms.
[1:04:25.000 --> 1:04:35.000]  I think the Russia issue is a distraction from the real question, which is the power in our politics of Facebook, YouTube and the rest.
[1:04:35.000 --> 1:04:43.000]  So we've got to come up with a better answer than self-regulation, because self-regulation, I think, means disaster for conservatives.
[1:04:43.000 --> 1:04:46.000]  Conservatives are simply going to be at a disadvantage.
[1:04:46.000 --> 1:04:53.000]  The algorithm is already, in some ways, skewed against far-right elements, for sure.
[1:04:53.000 --> 1:04:58.000]  They're banning mainline Republican Congresswomen from putting their campaign ads on their own Twitter.
[1:04:58.000 --> 1:05:04.000]  After years of research working with top developers here in the United States with the latest cutting-edge science,
[1:05:04.000 --> 1:05:09.000]  we are rolling out three new digestive gut aids.
[1:05:09.000 --> 1:05:17.000]  One of them is a powerful pro-digestive enzyme, carnivore, for being able to break down meat and other proteins better.
[1:05:17.000 --> 1:05:27.000]  And then the other two is a powerful 50 billion live probiotic culture of the very best strains in fluorolife-advanced restoration.
[1:05:27.000 --> 1:05:36.000]  And we also have an everyday, extremely affordable fluorolife everyday maintenance, but all of these are the very cutting-edge,
[1:05:36.000 --> 1:05:42.000]  top-of-the-line probiotics and digestive enzymes at an extremely affordable price.
[1:05:42.000 --> 1:05:48.000]  That is my goal here, is to bring you the very best at the lowest price.
[1:05:48.000 --> 1:05:58.000]  When you purchase it at mforestore.com, you know you are also financing the attack on the globalist and the defense of our republic and freedom worldwide.
[1:06:18.000 --> 1:06:30.000]  Ladies and gentlemen, we are now well into the second hour of this worldwide broadcast.
[1:06:30.000 --> 1:06:39.000]  Bill Mitchell, syndicated radio, TV host, one of the dominant conservative forces, still able to get millions of views a day on Twitter.
[1:06:39.000 --> 1:06:42.000]  I want to ask him how he's able to do that because they have just absolutely shadow banned us.
[1:06:42.000 --> 1:06:44.000]  I know they've been doing it to him.
[1:06:44.000 --> 1:06:49.000]  He always has amazing interviews every day. He is joining us for much of this hour.
[1:06:49.000 --> 1:06:52.000]  I tend to open the phones up at the bottom of the hour as well.
[1:06:52.000 --> 1:06:54.000]  Your voice, America TV.
[1:06:54.000 --> 1:06:57.000]  I wanted to get him on about the massive censorship that's intensifying.
[1:06:57.000 --> 1:07:00.000]  If you just joined us, I'm going to play the clip again because it's so important.
[1:07:00.000 --> 1:07:06.000]  Leading a story in Silicon Valley will decide future election winners unless conservatives do something.
[1:07:06.000 --> 1:07:17.000]  We've also got Trump just going with what the British say that they think Putin killed this defector that defected over a decade ago.
[1:07:17.000 --> 1:07:19.000]  And it's launching a whole new Cold War.
[1:07:19.000 --> 1:07:25.000]  And again, I know Trump comes out and says, you know, he's going to go for DACA and then they bring something unreasonable and then they get nothing.
[1:07:25.000 --> 1:07:30.000]  And I get, you know, we get armed teachers and they ban bump stocks that nobody even uses.
[1:07:30.000 --> 1:07:32.000]  I know Trump's a good guy.
[1:07:32.000 --> 1:07:37.000]  And Bill Mitchell is known as the guy that just says, I trust Trump. He's been for him from the beginning.
[1:07:37.000 --> 1:07:39.000]  So have I. My gut tells me Trump's good.
[1:07:39.000 --> 1:07:44.000]  But this Russia thing, we know it's a canard. We know it's a red herring. I want to get into that with him.
[1:07:44.000 --> 1:07:47.000]  Meanwhile, Mueller, this is a Sacramento B, OK?
[1:07:47.000 --> 1:07:51.000]  Mueller witnesses convicted pedophile with shadowy pass. We're going to talk about that.
[1:07:51.000 --> 1:07:55.000]  It just goes on and on and on and on.
[1:07:55.000 --> 1:08:03.000]  And so I'm trying to understand how we make a big enough noise because from folks I know that know the president and I know him as well.
[1:08:03.000 --> 1:08:06.000]  You've got to sometimes be critical to get his attention.
[1:08:06.000 --> 1:08:12.000]  I mean, I've talked to the president before when I go emergency measures of the president, you're too nice during the first debate, you got to attack or you're going to lose.
[1:08:12.000 --> 1:08:14.000]  And then I talked to him and he said, I saw your message.
[1:08:14.000 --> 1:08:16.000]  Same thing on election fraud.
[1:08:16.000 --> 1:08:22.000]  So now more and more, he's getting back to also looking at alternative media, libertarian media.
[1:08:22.000 --> 1:08:27.000]  We had him blocked from that for a while. He's he's culling the herd up there of more establishment Republicans.
[1:08:27.000 --> 1:08:30.000]  They're saying, General Kelly's up next.
[1:08:30.000 --> 1:08:34.000]  We got Kellerson gone. We've got his adjunct gone.
[1:08:34.000 --> 1:08:37.000]  So we're going to cover all those little nodes of information.
[1:08:37.000 --> 1:08:38.000]  The latest on Stormy Daniels.
[1:08:38.000 --> 1:08:43.000]  Stormy Daniels lawyers says women are considering legal case against Trump.
[1:08:43.000 --> 1:08:52.000]  It's all consensual. So you have, you know, Jerry Epstein flying around on Alita Express with Bill Clinton and Harvey Weinstein with little girls.
[1:08:52.000 --> 1:08:54.000]  That's okay.
[1:08:54.000 --> 1:09:05.000]  But if decades ago, you know, you went out with good looking women or whatever, you know, this is the end of the world because in this whole leftist world, regular heterosexual families and sex is the no, no.
[1:09:05.000 --> 1:09:06.000]  Look at it.
[1:09:06.000 --> 1:09:12.000]  I mean, it's attacked like it's pedophilia or something like, oh my gosh, you know, my gosh, 20 years ago.
[1:09:12.000 --> 1:09:17.000]  Trump's wife was, you know, in a scantily clad photo shoot. Oh my God.
[1:09:17.000 --> 1:09:18.000]  She's a devil.
[1:09:18.000 --> 1:09:24.000]  It's like the left or weird neurotic Puritans about men and women and Trump's never been a hypocrite about this.
[1:09:24.000 --> 1:09:26.000]  So never any abuse, never any of that.
[1:09:26.000 --> 1:09:29.000]  None of that's even alleged by any of these people.
[1:09:29.000 --> 1:09:31.000]  So we're talking to Bill Mitchell about that as well.
[1:09:31.000 --> 1:09:35.000]  So I just threw out a cornucopia of things there.
[1:09:35.000 --> 1:09:41.000]  What do you want to dive into first or throw me a curveball or something else you want to hit?
[1:09:41.000 --> 1:09:43.000]  What do you want to hit first?
[1:09:43.000 --> 1:09:44.000]  Oh, sorry.
[1:09:44.000 --> 1:09:45.000]  Okay.
[1:09:45.000 --> 1:09:48.000]  I was unaware that I was on camera that I appreciate that.
[1:09:48.000 --> 1:09:49.000]  Well, it is your show.
[1:09:49.000 --> 1:09:51.000]  Alex, we'll talk about whatever you want to talk about.
[1:09:51.000 --> 1:09:56.000]  No, but I kind of like throwing out a bunch of topics and then asking you if you think there's one more important to go with first.
[1:09:56.000 --> 1:09:57.000]  Okay.
[1:09:57.000 --> 1:10:00.000]  Yeah, let's talk about censorship because you and I are both facing this.
[1:10:00.000 --> 1:10:10.000]  You know, it's kind of, it's on the one hand, you know, if you live in the Bears Cave, don't be surprised you wake up one day in your bear food, you know.
[1:10:10.000 --> 1:10:16.000]  And right now we are conservative voices and we're living in the liberal bear cave.
[1:10:16.000 --> 1:10:20.000]  Liberals hold the keys of the castle door as far as social media.
[1:10:20.000 --> 1:10:21.000]  They have Twitter.
[1:10:21.000 --> 1:10:23.000]  They have Facebook.
[1:10:23.000 --> 1:10:24.000]  They have YouTube.
[1:10:24.000 --> 1:10:31.000]  They have all these different things out of Silicon Valley and we are playing on their playground and we've been remarkably effective.
[1:10:31.000 --> 1:10:39.000]  I do not believe that Donald Trump could have been elected president prior to the days of a high speed cable where you could have streaming video.
[1:10:39.000 --> 1:10:42.000]  Twitter, Facebook, all these different things.
[1:10:42.000 --> 1:10:45.000]  So on the one hand, I'm very glad they've given us opportunity.
[1:10:45.000 --> 1:10:52.000]  I spoke and personally on over Twitter to the CEO of Twitter and thanked him for giving me this opportunity.
[1:10:52.000 --> 1:10:56.000]  I said, I know you don't agree with my political viewpoint, but thank you for the give me this opportunity.
[1:10:56.000 --> 1:11:05.000]  However, lately they have, and have you seen this as well, they've dramatically increased their efforts to shadow ban us, to censor us.
[1:11:05.000 --> 1:11:15.000]  And I think this is going to have an unintended consequence for us because really by shadow banning us and censoring us, I don't think they're really dramatically decreasing our message.
[1:11:15.000 --> 1:11:25.000]  But the way that they are doing by denying us our First Amendment rights is driving independence, which are the middle voters of the country into Trump's arms, back into our arms.
[1:11:25.000 --> 1:11:34.000]  They're turning off more people with what they're doing for their cause than they are keeping people from being motivated by our speech on our side.
[1:11:34.000 --> 1:11:39.000]  So, but I've had the same shadow banning thing that you have on Twitter.
[1:11:39.000 --> 1:11:42.000]  I get about my Twitter feed gets about 5 million hits a day.
[1:11:42.000 --> 1:11:44.000]  I've got about 340,000 followers.
[1:11:44.000 --> 1:11:54.000]  But what I found in just the past month, Alex, is that I've had to, in order to maintain my impression count about 5 million a day, I've had to double my tweet count.
[1:11:54.000 --> 1:12:07.000]  It's like treading water. We have ended up reaching more people this year than even last year and on because we work even harder. And it is forcing us to put up more TV satellites, get on more radio stations, more traditional media.
[1:12:07.000 --> 1:12:12.000]  It's forcing us to branch out. So it's almost like they're trying to take our message and seal it.
[1:12:12.000 --> 1:12:16.000]  But instead, it just squishes out and then goes into other areas.
[1:12:16.000 --> 1:12:27.000]  We do think it's forcing us to evolve in a good way and making listeners and viewers come to our sites, start their own sites and really value this more because they know they're trying to censor ahead of the midterms.
[1:12:27.000 --> 1:12:33.000]  And then also then also illustrates just how authoritarian and tyrannical the globalists and leftists really are.
[1:12:33.000 --> 1:12:37.000]  Right. This is one thing that I've noticed that Donald Trump has done that's very brilliant.
[1:12:37.000 --> 1:12:45.000]  He's done this on gun control on DACA on all these different things is that typically what will happen when you have a Republican president is they'll run far right on everything.
[1:12:45.000 --> 1:12:50.000]  And you don't need to secure the far right base. We've already got that pretty much locked up. They have nowhere else to go.
[1:12:50.000 --> 1:12:57.000]  But they run to the far right. And what the Democrats do is what they did in Pennsylvania 18, they run to the middle.
[1:12:57.000 --> 1:12:59.000]  They run to the middle and they govern to the left.
[1:12:59.000 --> 1:13:08.000]  If anybody thinks that Mr. Lamb is going to go to Congress and stand up against Nancy Pelosi, they need to find a new hobby because they don't understand politics.
[1:13:08.000 --> 1:13:11.000]  That's not going to happen. But here's what Donald Trump has done quite brilliantly.
[1:13:11.000 --> 1:13:17.000]  On these major issues, he's run to the middle. He's staked out the middle before the Democrats get a chance to get there.
[1:13:17.000 --> 1:13:25.000]  And because they have to, by their nature, disagree with him and oppose him and resist him, they have moved further and further and further.
[1:13:25.000 --> 1:13:33.000]  He makes them show their real colors. And that's what I was told by Ted Nugent, who's recently talked to the president and others that that is the plan.
[1:13:33.000 --> 1:13:41.000]  Yeah, and you can tell us, yeah. And so this is what's going to happen going forward. And this is why Lamb in Pennsylvania, you know,
[1:13:41.000 --> 1:13:48.000]  Lamb in Pennsylvania get away with what he got away with because it was just a, you know, a district race in a special election.
[1:13:48.000 --> 1:13:53.000]  Okay. It basically came down to a miscongeniality contest and the prettier guy won. Okay.
[1:13:53.000 --> 1:13:59.000]  So he was able to do that in a special election. But in the general election on November 6th, they're not going to be able to do that.
[1:13:59.000 --> 1:14:05.000]  Where you're going to have congressional races all over the country where the Democrats are running against the Pelosi-Schumer agenda.
[1:14:05.000 --> 1:14:10.000]  They can't do that. You know, it's going to, that would just destroy their entire base.
[1:14:10.000 --> 1:14:17.000]  And so I think that what we're going to do is have a situation where they have to run to the left in November and they're going to lose.
[1:14:17.000 --> 1:14:22.000]  They're not going to be able to fool people that they're in the middle because they're not. They never have been. They never will be.
[1:14:22.000 --> 1:14:35.000]  You know, I think you're right overall. And I, I just think it's critical that Trump then through surrogates and through patriots get that message out to the base understands.
[1:14:35.000 --> 1:14:41.000]  Listen, the global is hating for a reason. He's not compromising. Look at he's doing basically everything he said he'd do.
[1:14:41.000 --> 1:14:49.000]  It just takes time and people shouldn't want instant gratification. We know how good Trump is because of how the bad guys hating.
[1:14:49.000 --> 1:14:55.000]  Yeah, I tell you what, Trump to me in his first year decided to go with Lincoln.
[1:14:55.000 --> 1:15:02.000]  He chose a cabinet of rivals. Why would he do that? Why would he have guys like Cohn? Why would he have known globalist as his chief economic advisor?
[1:15:02.000 --> 1:15:04.000]  Well, keep your enemies close.
[1:15:04.000 --> 1:15:11.000]  Right. Well, here's the thing. He's new to the job. He knows that who's his biggest enemy, the globalist, because he is a nationalist.
[1:15:11.000 --> 1:15:21.000]  The global is yours. Biggest enemy. So who better to have his economic advisor who is a guy literally who was a spy inside the globalist camp telling Trump what the globalists are really thinking.
[1:15:21.000 --> 1:15:25.000]  And then, and then when he was done with him in a year, he says, yeah, he's a globalist. I'm throwing him out.
[1:15:25.000 --> 1:15:33.000]  And now what do you make of this big reorganization when we come back with Bill Mitchell of your voice, America dot TV?
[1:15:33.000 --> 1:15:39.000]  By the way, he's got the best Skype connection I've ever seen. I mean, you can't really see this on TV. I don't think.
[1:15:39.000 --> 1:15:44.000]  But in the room with me right now, it's like there's a giant three foot tall head of him.
[1:15:44.000 --> 1:15:49.000]  It's actually kind of frightening in a way because it looks like I can touch his nose right there. This is crazy.
[1:15:49.000 --> 1:15:57.000]  We'll be right back with Bill Mitchell. I'm Alex Jones, news wars dot com info wars dot com. We're in info war.
[1:15:57.000 --> 1:16:03.000]  Attention business owners and independent contractors. This is a money saving message from tax mediation services.
[1:16:03.000 --> 1:16:12.000]  If your business owes $20,000 or more in taxes, we can help you today right now. Listen, dealing with the IRS is no picnic.
[1:16:12.000 --> 1:16:17.000]  It's an intimidating and extremely stressful process and you don't want to go it alone.
[1:16:17.000 --> 1:16:25.000]  Our attorneys know every law, every tax break and every possible opportunity to help you resolve and reduce your tax debt.
[1:16:25.000 --> 1:16:29.000]  And if you owe more than $20,000, you may be at the top of their hit list.
[1:16:29.000 --> 1:16:33.000]  So don't take your tax debt lightly because it will not go away on its own.
[1:16:33.000 --> 1:16:39.000]  The IRS can seize your bank accounts, your home and even shut down your business.
[1:16:39.000 --> 1:16:48.000]  Call our tax experts today at 1-800-261-9818 and let us deal with the IRS while you focus on your business.
[1:16:48.000 --> 1:16:56.000]  That's 1-800-261-9818. Again, 800-261-9818.
[1:16:56.000 --> 1:17:03.000]  Fully cooked, ready to eat bacon. I'm talking thick meaty, center cut, presidential bacon. Savory and delicious.
[1:17:03.000 --> 1:17:07.000]  I buy some, I use some, I store some. Awesome.
[1:17:07.000 --> 1:17:16.000]  No refrigeration needed with a 10 year shelf life. NASA Pack technology. Bacon. Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[1:17:16.000 --> 1:17:21.000]  Or warm and served. Life saving, ready to eat bacon. 10 year shelf life bacon.
[1:17:21.000 --> 1:17:26.000]  Ships free at fullycookedbacon.com. Fullycookedbacon.com.
[1:17:51.000 --> 1:18:04.000]  You deserve a deep restful sleep with knockout by InfoWarsLife.
[1:18:04.000 --> 1:18:15.000]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract and melatonin.
[1:18:15.000 --> 1:18:24.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness,
[1:18:24.000 --> 1:18:28.000]  but with the rapid speed of life, we need to be able to keep up the pace.
[1:18:28.000 --> 1:18:36.000]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[1:18:36.000 --> 1:18:38.000]  Wake up refreshed and take on the day.
[1:18:38.000 --> 1:18:46.000]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[1:18:46.000 --> 1:18:50.000]  Get the sleep you deserve and experience the power of knockout.
[1:18:50.000 --> 1:18:58.000]  Head on over to InfoWarsLife.com and say goodbye to fatigue. That's InfoWarsLife.com.
[1:18:58.000 --> 1:19:05.000]  Nourish a probiotic friendly environment in your gut with prebiotic fiber by InfoWarsLife.
[1:19:05.000 --> 1:19:13.000]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber,
[1:19:13.000 --> 1:19:18.000]  a mixture of clinically studied and organic acacia, fruit and flax fiber.
[1:19:18.000 --> 1:19:24.000]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria,
[1:19:24.000 --> 1:19:29.000]  which helps you digest food, absorb nutrients and even support your immune system.
[1:19:29.000 --> 1:19:36.000]  InfoWarsLife's cutting edge formula only brings you the highest quality organic and clinically studied ingredients.
[1:19:36.000 --> 1:19:41.000]  Cheap prebiotic fibers are used up only at the beginning of the colon,
[1:19:41.000 --> 1:19:51.000]  but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[1:19:51.000 --> 1:20:00.000]  Head to InfoWarsLife.com or call 1-888-253-3139.
[1:20:22.000 --> 1:20:30.000]  You are either with the Republic or against it.
[1:20:30.000 --> 1:20:37.000]  From the front lines of the Information War, it's Alex Jones.
[1:20:37.000 --> 1:20:42.000]  Okay, Bill Mitchell is riding shotgun with us, a great political analyst.
[1:20:42.000 --> 1:20:47.000]  Millions and millions of folks follow his great work and we're covering the waterfront here today.
[1:20:47.000 --> 1:20:54.000]  We just broke FBI disciplinary office recommends firing former Deputy Director Andrew McCabe.
[1:20:54.000 --> 1:21:02.000]  And then it goes into the fact that he basically misled investigations and covered up what was going on.
[1:21:02.000 --> 1:21:09.000]  This is just huge. And again, this just broke Andrew McCabe in July when he was still acting FBI Director.
[1:21:09.000 --> 1:21:15.000]  The FBI office that handles employees disciplined and recommended firing the Bureau's former Deputy Director
[1:21:15.000 --> 1:21:22.000]  on allegations that he authorized the disclosure of sensitive information to a reporter and misled investigators
[1:21:22.000 --> 1:21:27.000]  when he was asked about it, leaving Attorney General Jeff Sessions to decide whether he should fire veteran official
[1:21:27.000 --> 1:21:30.000]  just four days before his expected retirement date.
[1:21:30.000 --> 1:21:33.000]  People familiar with the matter said, this is huge.
[1:21:33.000 --> 1:21:37.000]  We already knew this from the congressional hearings, but they didn't want to give us classified info.
[1:21:37.000 --> 1:21:41.000]  They would say, I wonder if we're going to find out, Jim Jordan and others would say, that this happened.
[1:21:41.000 --> 1:21:46.000]  Well, of course, he ran the whole fake PP gate operation. He ran the people under him.
[1:21:46.000 --> 1:21:50.000]  He sent the money over. His wife got money from Hillary.
[1:21:50.000 --> 1:21:54.000]  He sent the money to pay for the fake dossier. Then he covered it up.
[1:21:54.000 --> 1:21:58.000]  Then he told the president he was fighting it and lied to him and then leaked to the press.
[1:21:58.000 --> 1:22:03.000]  And all this is coming out. This is incredible, Bill Mitchell.
[1:22:03.000 --> 1:22:12.000]  Yeah, I tell you what, I've been a little bit different in my opinion on my show on this whole Mueller thing, the whole thing with Sessions and so on and so forth.
[1:22:12.000 --> 1:22:20.000]  We've held, and this is really outside the mainstream, but we still hold this position, that this entire thing has actually been a very elaborate,
[1:22:20.000 --> 1:22:27.000]  very secretive sting operation to out deep state and in died Hillary and maybe even Barack Obama.
