[00:00:00.000 --> 00:00:02.000]  Protect your family.
[00:30:46.280 --> 00:30:52.520]  They were there training in the 70s and the 80s, training Saddam's torture forces
[00:30:52.520 --> 00:30:55.880]  at Fort Benning. Thanks for the call. Yeah, Mike. Go ahead.
[00:30:56.600 --> 00:30:57.639]  Frequency in the shortwave?
[00:30:59.000 --> 00:30:59.719]  Which frequency?
[00:31:00.360 --> 00:31:03.159]  Whenever you're broadcasting, I'm trying to get more people to listen to the show who can't get
[00:31:03.159 --> 00:31:06.840]  it on a radio station. So if you're on a shortwave radio, are you at all?
[00:31:06.840 --> 00:31:12.600]  Yes, I'm on global shortwave during the day from 11 to 2 at 12.172.
[00:31:12.600 --> 00:31:14.360]  12.172.
[00:31:14.360 --> 00:31:15.960]  And 93.20?
[00:31:15.960 --> 00:31:17.000]  93.20.
[00:31:17.000 --> 00:31:19.800]  And at night from 9 to midnight at 5.085?
[00:31:20.520 --> 00:31:21.159]  Okay.
[00:31:21.159 --> 00:31:22.520]  And 68.90. Thanks for the call.
[00:31:22.520 --> 00:31:23.320]  Okay. Sure.
[00:31:23.880 --> 00:31:26.040]  Good to hear from you. Very interesting points.
[00:31:26.040 --> 00:31:28.920]  Leslie in Virginia, thanks for holding her on the air.
[00:31:29.480 --> 00:31:35.560]  Thanks for taking the call. I just wanted to make two points. One on Madeleine Albright.
[00:31:35.560 --> 00:31:40.600]  I think that's just part of the Clinton-Bush combo team when she made that announcement.
[00:31:41.719 --> 00:31:44.199]  For folks that don't know, tell them what the announcement was.
[00:31:45.000 --> 00:31:50.040]  You go ahead and articulate that. It's just outrageous.
[00:31:50.040 --> 00:31:54.199]  Well, it came out on Fox yesterday that she said that
[00:31:55.000 --> 00:31:58.199]  they've already got bin Laden and they're going to roll him out before the election.
[00:31:58.199 --> 00:32:01.480]  And I've already been hearing that for almost two years from people.
[00:32:01.480 --> 00:32:03.639]  I agree. I agree. Absolutely.
[00:32:03.639 --> 00:32:08.760]  Yes. This, in my opinion, is to make for Hillary's grand announcement
[00:32:08.760 --> 00:32:12.199]  that she wants to run for president. Because if you've been following this,
[00:32:12.760 --> 00:32:15.880]  you'll be noticing how Hillary's been getting so much attention.
[00:32:16.760 --> 00:32:22.199]  It was just amazing how Nikki Tinsley, who's the inspector general for the EPA,
[00:32:22.199 --> 00:32:26.120]  who is still there, Clinton appointing. You know what day today is.
[00:32:26.679 --> 00:32:31.800]  And there she is being interviewed with Hillary. And like their adversaries,
[00:32:31.800 --> 00:32:37.639]  they were such a farce. And then also she gets all this coverage in Afghanistan.
[00:32:37.639 --> 00:32:40.920]  And that'll be a great way to balkanize us.
[00:32:40.920 --> 00:32:44.040]  Hillary will continue the agenda. Bush will continue the agenda.
[00:32:44.040 --> 00:32:46.760]  But it'll all get us in our liberal conservative camps,
[00:32:46.760 --> 00:32:49.800]  having Hillary and Wesley Clark running against Bush chaining.
[00:32:49.800 --> 00:32:51.159]  Comments to that, Doug?
[00:32:51.159 --> 00:32:55.800]  It doesn't matter whether Hillary Clinton is the president or George Bush is the president.
[00:32:55.800 --> 00:32:57.880]  They're both just puppets on strings.
[00:32:57.880 --> 00:33:00.920]  Absolutely. And I just wanted to leave this with you.
[00:33:00.920 --> 00:33:05.000]  By President Truman, on his take of the CIA, he said,
[00:33:05.000 --> 00:33:08.280]  I never had any thought when I set up the CIA
[00:33:08.280 --> 00:33:12.120]  that it would be injected into peacetime cloak and dagger operations.
[00:33:12.760 --> 00:33:16.760]  Some of the complications and embarrassment that I think we have experienced
[00:33:16.760 --> 00:33:21.639]  are in part attributable to the fact that this quiet intelligence arm of the president
[00:33:21.639 --> 00:33:24.280]  has been so removed from its intended role.
[00:33:25.159 --> 00:33:27.240]  I have a bad call today, Alex, and I apologize.
[00:33:27.240 --> 00:33:29.240]  Thank you for the call, Leslie. You did a great job.
[00:33:29.800 --> 00:33:33.960]  Next up is John. And John, I believe, is calling from Texas or Tennessee?
[00:33:33.960 --> 00:33:34.679]  Texas.
[00:33:34.679 --> 00:33:35.400]  Go ahead, sir.
[00:33:35.400 --> 00:33:37.719]  Hi, Doug and Alex. How are you guys doing?
[00:33:37.719 --> 00:33:38.219]  Good.
[00:33:39.240 --> 00:33:43.880]  Alex, I just sent you a press release that I came across.
[00:33:44.600 --> 00:33:50.199]  I'm real happy that Congressman Ron Paul has come out against H.R. 2417.
[00:33:50.840 --> 00:33:53.400]  But this press release kind of shocked me
[00:33:53.400 --> 00:33:58.120]  because it mentioned it's from the Bush Chaining 04 campaign.
[00:33:58.120 --> 00:34:01.880]  And it announces Ron Paul as a honorary co-chairman
[00:34:01.880 --> 00:34:05.080]  of the Bush Chaining 2004 Texas leadership team.
[00:34:06.760 --> 00:34:11.640]  I mean, Ron Paul, all he does is speak out against Bush.
[00:34:13.240 --> 00:34:17.240]  If you're a Republican congressman, you're on the Republican reelection team.
[00:34:17.800 --> 00:34:21.720]  Right. I would hope that he could counter that with something, though, publicly.
[00:34:21.720 --> 00:34:25.560]  Well, look, Bush has already targeted Paul last election and tried to get him out of there.
[00:34:25.560 --> 00:34:27.800]  They targeted Senator Bob Smith successfully.
[00:34:27.800 --> 00:34:29.640]  They're targeting Jan Credo.
[00:34:29.640 --> 00:34:33.319]  And, you know, this is keep your friends close, your enemies closer.
[00:34:33.880 --> 00:34:35.160]  But I wasn't aware of that.
[00:34:36.040 --> 00:34:38.680]  I sent you the press release.
[00:34:38.680 --> 00:34:40.200]  OK. Doug, comments?
[00:34:40.200 --> 00:34:42.680]  Yeah, maybe he'll do something like Jesse Ventura did.
[00:34:42.680 --> 00:34:44.200]  Just go off on his own.
[00:34:44.200 --> 00:34:50.840]  You know, this two-party system is part of the show game.
[00:34:50.840 --> 00:34:56.040]  And really, it would be nice if we dispensed with this two-party system in the United States
[00:34:56.520 --> 00:35:02.520]  or at least a third party of people, the majority of the people in this country.
[00:35:02.520 --> 00:35:05.560]  Yeah, we don't have a second party.
[00:35:05.560 --> 00:35:07.480]  We don't have a second party.
[00:35:07.480 --> 00:35:09.319]  No, they're both the same party.
[00:35:09.319 --> 00:35:11.640]  Yeah, I mean, it's a bunch of corporate criminals.
[00:35:11.640 --> 00:35:12.840]  They're not free market.
[00:35:12.840 --> 00:35:14.040]  They'll work with fascists.
[00:35:14.040 --> 00:35:15.240]  They'll work with communists.
[00:35:15.240 --> 00:35:18.520]  Just like Carol Quigley said at Georgetown, Bill Clinton's mentor,
[00:35:18.520 --> 00:35:20.600]  they are an organized crime syndicate.
[00:35:20.600 --> 00:35:21.880]  Anything else, John?
[00:35:21.880 --> 00:35:23.319]  No, I just wanted to mention that.
[00:35:23.319 --> 00:35:30.279]  I hope that Ron Paul comes out and makes a statement about that because it is misleading
[00:35:30.279 --> 00:35:34.920]  to a lot of people when they see his name attached to the Bush-Cheney campaign.
[00:35:35.560 --> 00:35:35.880]  All right.
[00:35:35.880 --> 00:35:39.560]  Well, usually when you hear honorary, that means he's not doing anything in the campaign.
[00:35:39.560 --> 00:35:41.560]  They probably just stuck his name on there.
[00:35:41.560 --> 00:35:42.440]  I hope so.
[00:35:42.440 --> 00:35:44.040]  That would get him a lot of votes in Texas.
[00:35:44.040 --> 00:35:44.920]  He's very popular.
[00:35:45.560 --> 00:35:47.800]  The book is The Phoenix Program.
[00:35:47.800 --> 00:35:50.760]  The website is douglasvalentine.com.
[00:35:51.240 --> 00:35:54.040]  We're going to hit a few final calls, get a few final comments from our guests for the
[00:35:54.040 --> 00:35:54.520]  next segment.
[00:35:54.520 --> 00:35:56.120]  Like I said, I'm going to have to have Doug back on.
[00:35:57.240 --> 00:36:02.200]  We're not so squeezed for time to really get into details of how this infrastructure works.
[00:36:02.200 --> 00:36:06.279]  But I think you've got an idea with the tips program and having to have an ID card to have
[00:36:06.279 --> 00:36:09.640]  a job and they've said they're going to have troops in the factories.
[00:36:09.640 --> 00:36:14.440]  I mean, this is a hellish system they're building and the biggest growth of the federal government.
[00:36:14.730 --> 00:36:19.730]  I mean, this is a hellish system they're building and the biggest growth of the federal government.
[00:36:45.730 --> 00:36:50.730]  Matrix of Evil, those are great films. The book Order Out of Chaos I published that Paul Watson wrote.
[00:36:50.730 --> 00:36:55.730]  My book, 9-11, Descent into Tyranny, get them. Give them to friends and family. Make copies of the films.
[00:36:55.730 --> 00:36:59.730]  Air them on Axis Television. Give them to public officials and opinion makers.
[00:36:59.730 --> 00:37:06.730]  Infowars.com or PrisonPlanet.com to order. Don't wait, be part of history folks. Take control of your destiny.
[00:37:06.730 --> 00:37:27.730]  1-888-253-3139 or just write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, Texas, 78704 or again, 888-253-3139.
[00:37:27.730 --> 00:37:32.730]  We're going to try to take two final calls from Walter and Rich. Sorry, that's all we have time for.
[00:37:32.730 --> 00:37:38.730]  Our guest is Douglas Valentine, DouglasValentine.com. Written a lot of great books. You need to get them.
[00:37:38.730 --> 00:37:45.730]  One of them, of course, is the Phoenix Program. Any other ways for folks to get the books other than the website?
[00:37:45.730 --> 00:37:47.730]  I know they've been in bookstores as well.
[00:37:47.730 --> 00:37:54.730]  Sure, you can just go to Barnes & Noble or your local bookstore and they'll order a copy for you if they don't have one on the shelf.
[00:37:54.730 --> 00:37:59.730]  It's so easy nowadays for a bookstore to order a book.
[00:37:59.730 --> 00:38:01.730]  I know a full library.
[00:38:01.730 --> 00:38:08.730]  Absolutely. And also, it's got to be frustrating here to have so much info and not have time to get it all out. We'll have you back on.
[00:38:08.730 --> 00:38:12.730]  Let's talk to Walter in Pennsylvania. Go ahead, sir.
[00:38:12.730 --> 00:38:13.730]  Hi, Alex.
[00:38:13.730 --> 00:38:14.730]  Hello.
[00:38:14.730 --> 00:38:21.730]  We've got a new one happening up here. You cannot move from your house, sell your house and move without filing for a moving permit.
[00:38:21.730 --> 00:38:26.730]  If you don't file for a moving permit, you're taken to court and fined and there's jail time.
[00:38:26.730 --> 00:38:31.730]  Through federal zoning, the zoning is federally funded and pushed, implemented locally.
[00:38:31.730 --> 00:38:34.730]  It's a wonderful form of tyranny for the globalists.
[00:38:34.730 --> 00:38:42.730]  Comments to kind of living in this Soviet-desized, fascist system through petty laws, Doug?
[00:38:42.730 --> 00:38:54.730]  Well, I didn't know about that. I keep learning about new things every day and that's just incredible that you have to actually file or else you get in prison.
[00:38:54.730 --> 00:39:02.730]  But that's what's foreboding. That's what's looming on the horizon with just about everything.
[00:39:02.730 --> 00:39:10.730]  Soon there will be national ID cards. There will just be intrusions into every area of our lives.
[00:39:10.730 --> 00:39:16.730]  Well, Doug, our driver's licenses are already by fiat a national ID card. Anything else there, Walter?
[00:39:16.730 --> 00:39:19.730]  Yeah, people are scared. They won't talk now. People won't talk up here.
[00:39:19.730 --> 00:39:24.730]  I'm up in Carbon County, coal-cracker country, and they won't talk now. They're afraid.
[00:39:24.730 --> 00:39:31.730]  Are we men or mice? Thanks for the call. Let's talk to Rich in Texas. Last caller, go ahead.
[00:39:31.730 --> 00:39:33.730]  Okay. Hey, Alice, what's going on, man?
[00:39:33.730 --> 00:39:34.730]  Nothing much. You're on the air.
[00:39:35.730 --> 00:39:43.730]  Hey, listen, talking about that control deal on businesses, I drive this dump truck and I tell you, I can't understand it.
[00:39:43.730 --> 00:39:49.730]  We're in the DOT then, but what does DPS got to do with pulling you over at any time and start checking your truck out?
[00:39:49.730 --> 00:39:54.730]  I've paid a lot of money on this because they'll always find something wrong with your truck. And there's nothing wrong with it.
[00:39:54.730 --> 00:39:57.730]  They're feeding on the commerce.
[00:39:57.730 --> 00:40:00.730]  Yeah, you've done that before. You already did that about years ago.
[00:40:00.730 --> 00:40:02.730]  Yeah, I did a TV show about it.
[00:40:03.730 --> 00:40:08.730]  And another issue is people calling those communists or anti-government.
[00:40:08.730 --> 00:40:13.730]  What about Lord Bush entertaining the Chinese prime minister and putting them in?
[00:40:13.730 --> 00:40:15.730]  People can't get the message by now.
[00:40:15.730 --> 00:40:19.730]  I hear you. Great points. We're out of time.
[00:40:19.730 --> 00:40:23.730]  Folks, call me back tonight, 9 to midnight, back tomorrow, 11 to 2 central.
[00:40:23.730 --> 00:40:26.730]  Doug Valentine, thanks for coming on, sir.
[00:40:26.730 --> 00:40:27.730]  Please take care, Alex.
[00:40:27.730 --> 00:40:28.730]  You too.
[00:40:28.730 --> 00:40:33.730]  Hey, I'm going to get you up for a couple hours and for the first hour of the interview we'll do in a few weeks.
[00:40:33.730 --> 00:40:34.730]  I won't take any calls, okay?
[00:40:34.730 --> 00:40:35.730]  Okay, sir.
[00:40:35.730 --> 00:40:37.730]  And then we'll take calls the second hour.
[00:40:37.730 --> 00:40:39.730]  Okay, thanks a lot. God bless.
[00:40:39.730 --> 00:40:40.730]  Thanks for the affiliates.
