[00:00.000 --> 00:05.160]  Look at that.
[45:11.260 --> 45:16.460]  I don't I don't remember sleeping but as far as the products go turbo force is my favorite and all the info wars products are down
[45:16.460 --> 45:18.820]  To take control your life take control your health
[45:19.780 --> 45:21.780]  Not relying on other people to do it for you
[45:22.820 --> 45:24.820]  Nobody wakes up in the morning
[45:25.300 --> 45:28.980]  And things I'm gonna give that person over there a better life. I'm gonna wake up today
[45:28.980 --> 45:33.780]  You know, I'm gonna spend my entire day trying to make that guy over there healthier happier and richer
[45:33.780 --> 45:38.340]  I'm gonna make sure he gets a Ferrari and a girlfriend. I don't think that happens very often. It's never happened to me
[45:38.340 --> 45:41.020]  I've never had anyone knock on my door and said tape. You're such a good guy
[45:41.020 --> 45:45.700]  How can I improve your life in every single way? There's only one person who woke up and thought that and that was me
[45:45.700 --> 45:48.780]  I woke up and thought you know what? Okay. I want to take control of my life
[45:48.780 --> 45:52.540]  I want to take control of my health and that's why you need to go to info wars comm take control of your health right now
[45:52.540 --> 45:57.740]  And support the resistance don't buy into the group think don't drink the Kool-Aid drink the turbo force Kool-Aid's bad
[45:57.740 --> 46:03.020]  The turbo force is good. Just here in the break. I went and got a delicious cup my second cup of the day
[46:03.020 --> 46:08.940]  It's really strong. I shouldn't do this because all work and no playmates jack a really aggressive boy and the coffee has to
[46:08.940 --> 46:12.940]  But wake up America coffee there by loves highest rated in the Chiapas Mountains
[46:12.940 --> 46:16.220]  It's beyond Mexican coffee beyond Guatemala coffee. It's the best coffee in the world
[46:16.220 --> 46:22.980]  It's right on the border between the two countries in those rainforests hand selected beyond organic while crafted wake up America coffee
[46:22.980 --> 46:28.740]  People are blown away by how good it is same stuff sold in Whole Foods on another name for $30 for the same size container
[46:28.740 --> 46:31.380]  Yes, folks, we've been selling it 10 years never raised the price
[46:32.180 --> 46:36.140]  1995 that big old bag 99% reviews 598 reviews
[46:36.540 --> 46:41.540]  4.9 stars on third-party sites sign up for auto ship additional 10% off get it auto-delibertees
[46:41.540 --> 46:43.420]  Don't forget to get it each month or every two months
[46:43.420 --> 46:51.420]  You can click out to nine months whenever you want the new order coming in 15 days of nine months Patriot blend medium roast only has a
[46:51.420 --> 46:55.620]  98% out of 814 reviews. It's not as popular
[46:56.580 --> 46:58.580]  Anyways, it's all at info more store.com
[47:01.620 --> 47:04.500]  You're listening to the Alex Jones show
[47:04.500 --> 47:19.980]  From the front lines of the information war it's Alex Jones
[47:19.980 --> 47:35.140]  We now take to the central Texas comments in the heart of the resistance
[47:36.540 --> 47:42.620]  You know, I said at the start of the show the millisecond I go live at the last segment of this hour
[47:42.940 --> 47:44.940]  I'm gonna get into how huge
[47:44.940 --> 47:51.180]  This Iran takeover of the embassy attempted takeover is the media calling it protesters. It's so critical and it is
[47:51.180 --> 47:53.180]  Now I'm gonna give all the angles of it and take her call
[47:54.700 --> 47:59.180]  Well, I'm gonna have to give to that in a couple minutes because I know
[48:00.700 --> 48:07.340]  That when I go to a caller like Jeff and he said what he said I knew the second he said it it was definitely
[48:08.060 --> 48:10.060]  I knew the second he said it
[48:10.060 --> 48:14.940]  I've been given my orders because you see here's the secret
[48:16.940 --> 48:23.260]  This is the central Texas command center and as Texas goes the nation goes and the globalist
[48:23.660 --> 48:30.060]  It's in the Financial Times of London. It's in Durst Spiegel. They're like, don't worry the Communist Chinese are like, don't worry
[48:31.340 --> 48:38.980]  We've cut the resources off to the Midwest and the only state still standing that could prop up the US is Texas and
[48:38.980 --> 48:45.060]  And soon we'll be in political control of that. I have articles where the Chinese government is bragging about getting our guns
[48:45.700 --> 48:47.700]  and taking down the mythical Texans
[48:48.740 --> 48:53.860]  And it is kind of funny that Texas is the main resistance right now to the globalist and there's resistance everywhere, but
[48:54.820 --> 48:57.940]  They are literally bragging how they've hurt the Midwest
[48:58.260 --> 49:05.220]  How they've hurt the southwest and how the coastal cities are a bunch of brainwashed zombies. It's very very scary very very sad
[49:05.220 --> 49:11.460]  And they're bragging that when they get Texas and Beto and that whole hype
[49:13.620 --> 49:16.420]  He was like a gas giant he got real bigger than imploded but
[49:17.780 --> 49:21.220]  That star power of the hype of a roar
[49:23.300 --> 49:29.300]  Turn most of the judgeships in the tech in Texas blue. I mean he almost beat Ted Cruz
[49:29.300 --> 49:33.620]  California used to be redder than Texas
[49:37.140 --> 49:41.300]  And so we have to go with the messages that we think are most important
[49:42.020 --> 49:44.980]  Because when you go to a Trump rally the president's there the media is there
[49:45.860 --> 49:48.340]  And you need to wear the sticker on your mouth
[49:49.540 --> 49:53.540]  We'll come out with 10 of them. I'll I mean I'll have them done in a couple weeks. I'll have them rush delivered
[49:53.540 --> 50:00.580]  And we'll have it where it's a censorship stop censorship
[50:04.740 --> 50:06.740]  You know every order
[50:07.140 --> 50:09.140]  at infowarstore.com
[50:09.620 --> 50:11.620]  has a whole bunch
[50:11.700 --> 50:13.700]  A bumper stickers on it
[50:13.700 --> 50:17.780]  That's say Alex Jones lives in full wars.com defend your country in four wars.com
[50:18.260 --> 50:22.100]  I am 1776 honk of epsi didn't kill himself in four wars.com
[50:22.100 --> 50:25.220]  These little mini stickers people love you can stick up all over
[50:27.220 --> 50:33.620]  You've got sticker packs at cost at infowarstore.com to get them out, but you know what that's all important, but
[50:36.820 --> 50:38.820]  We're gonna print stickers
[50:40.260 --> 50:44.820]  That you can just stick on your mouth when you see the media or stick on the mouth when you go into the Trump rally
[50:46.100 --> 50:48.580]  Take them off when you want to yell and cheer have a couple of them
[50:48.580 --> 50:50.580]  And then
[50:53.940 --> 50:57.780]  People will understand why suddenly you hear stop the censorship
[50:59.700 --> 51:01.700]  info wars.com
[51:01.860 --> 51:07.620]  We're not going and yelling bill clinton's a rapist that totally derailed them with their fake claim that trump was a rapist
[51:08.740 --> 51:12.900]  Hundreds of you did that it changed the whole narrative. It's one of the reasons trump got in you game changed
[51:13.860 --> 51:16.260]  Well, this time we'll have our people there
[51:16.260 --> 51:19.140]  I'll hire extra folks to go up and down the lines
[51:20.020 --> 51:25.540]  And you'll see the armored vehicle at these events go to it. Um, we're gonna put a number out today
[51:26.260 --> 51:29.460]  Let's put a hotline on me like a thousand calls have to go through all the other calls, but
[51:31.060 --> 51:35.620]  Send us an email at show tips at info wars.com say I pledge to hand out a hundred stickers
[51:35.860 --> 51:37.860]  I pledge to hand out a thousand stickers
[51:38.820 --> 51:41.300]  And we'll just pay whatever it takes
[51:41.300 --> 51:47.460]  You know what? I just believe you whoever goes to show tips at info wars.com and ask for stickers. Give us your address
[51:47.700 --> 51:50.420]  We'll call through those. We'll send you those. I'm not gonna wait
[51:51.780 --> 51:57.220]  Now I'll man the damn thing myself. I'll I'll box it up. I'll do it because I'm not gonna let destiny
[51:57.860 --> 52:00.900]  Go past us and we need to go take over those trump events
[52:02.900 --> 52:05.700]  And demand that conservative ink be removed
[52:05.700 --> 52:11.300]  And that the neocon never trumpers be removed and that the people that got trump elected be
[52:11.860 --> 52:16.580]  Defended by their president that the bill of rights be defended. That is a serious solution
[52:19.060 --> 52:23.060]  And then when trump pauses info wars.com
[52:24.100 --> 52:28.820]  You'll save info wars.com because that's a rallying cry and assemble the media hates
[52:28.820 --> 52:36.740]  They've tried to silence it. You'll inject that in and we'll cause a whole nother debate about all of that
[52:37.540 --> 52:41.380]  And there's other things we can do but I've you know, we talked about this last week on air and this week
[52:42.260 --> 52:44.100]  on sunday
[52:44.100 --> 52:48.420]  I said, I don't really want to go take over trump events and have the media spin it
[52:49.300 --> 52:52.660]  And have people not understand what we're doing because I'm not against trump, but I'm saying
[52:52.660 --> 53:00.740]  Pardon the signs pardon roger stone. Those are going to be stickers and he could get a signs out a song is dying. That's in the news today
[53:02.900 --> 53:04.900]  Years and years and years of solitary confinement
[53:06.900 --> 53:11.700]  Trump told him I don't care who released should have a fat naked guy in his mother's basement or the russians
[53:11.700 --> 53:15.700]  It doesn't matter. It's her emails. It's her crimes release them. I totally agree with that
[53:15.700 --> 53:22.340]  Well, now you're not helping a sign. So
[53:22.580 --> 53:24.580]  We're gonna have a whole bunch of these
[53:25.540 --> 53:32.500]  Hell we're gonna have 20 messages. In fact, send your ideas to show tips at info wars.com of what you think ought to be on the stickers
[53:34.020 --> 53:37.460]  And then you can just come and choose what you want or we'll give you a big little
[53:38.260 --> 53:40.740]  Bags full of 50 of them a hundred of them a thousand of them
[53:40.740 --> 53:45.940]  Whatever you want and then go to your church go to events go to your schools go to trump events
[53:45.940 --> 53:50.980]  Go to democrat events and hand these out to cause a debate and a discussion about what's happening
[53:51.060 --> 53:55.940]  It's it's one of the best ideas. I've heard a long long time jeff in canada other points you'd like to add
[53:58.340 --> 54:00.340]  Hey, thanks alex
[54:00.500 --> 54:02.500]  You know, I think there's uh
[54:02.740 --> 54:06.740]  A truth that you guys are the tip of the spear you guys are the best. I mean that's that's just the way it is
[54:06.740 --> 54:12.180]  You're sir. Hold on a second. You just gave the order to the central texas command center
[54:12.260 --> 54:19.300]  You are this information hub. You had the idea most of the time it's you I was driving around in 2015
[54:20.340 --> 54:22.900]  And saw a homemade sign in a yard
[54:23.860 --> 54:25.860]  That said hillary for prison
[54:26.340 --> 54:30.740]  2016 and I went with that idea and it was a third of the shirts at the r&c
[54:30.740 --> 54:36.900]  So that was again, you understand that the orders come from you. That's why trump always wanting to hear what his
[54:37.460 --> 54:41.140]  Supporters and always getting notes and demanding the secret service get all the stuff
[54:41.140 --> 54:43.620]  They give them and he puts it in a box on the plane and reads it
[54:43.700 --> 54:51.700]  He knows where the power comes from the ethos is you you with a soil it comes from you it comes from us
[54:52.740 --> 54:55.780]  Does it come from hollywood and all the trash and all the you know
[54:55.780 --> 55:01.380]  Globalist richie rich women and their fur coats and their plastic surgery it comes from the people
[55:02.740 --> 55:05.860]  So again, you're giving the orders here. Jeff go ahead
[55:07.220 --> 55:09.060]  Well praise god for us
[55:09.060 --> 55:11.460]  Say it. Jeff say I am the tip of the spear
[55:11.620 --> 55:15.220]  Jeff in canada is the tip of the spear and you're going to see your idea
[55:15.780 --> 55:20.260]  Manifest on the street and how big it is is up to the rest of these people
[55:20.260 --> 55:27.940]  That are the tip of the spear. I don't sit her and tell you all day that it's you to kiss your ass and make you feel important
[55:28.020 --> 55:32.180]  You are everything. I'm getting on my knees right now. I'm trying to give me a microphone
[55:32.980 --> 55:39.220]  I'm serious. I love my kids and I love god and I hate the death and I don't do anything to stop these people
[55:39.460 --> 55:45.300]  So I'm on my knees the lectures. I'm on my knees the viewers. I am on my knees
[55:45.940 --> 55:47.940]  Asking you to take action
[55:47.940 --> 55:55.140]  I am on my knees to you. You have the answers. You have the will. You have the strength. You have everything
[55:57.860 --> 56:02.580]  I don't want to sit here and watch us overrun by these zombies and their controllers
[56:04.020 --> 56:06.020]  So you heard Jeff say, oh, you are the tip of the spear
[56:07.060 --> 56:08.740]  Oh Jeff
[56:08.740 --> 56:10.420]  You're the tip of the spear
[56:10.420 --> 56:13.780]  It's like in beaver vendetta. You gotta find that scene when he's talking to the inspector
[56:15.060 --> 56:17.060]  V meets with the inspector. I'm sure it's the name of it
[56:17.060 --> 56:19.060]  He says to him
[56:19.380 --> 56:21.380]  Well, if you knew all this for 20 years
[56:21.780 --> 56:23.780]  Why didn't you do something?
[56:24.580 --> 56:28.420]  And he says I was waiting for you inspector. I was waiting for you
[56:30.020 --> 56:33.300]  Sorry Jeff go ahead. I love you to death Jeff. What else should we do Jeff?
[56:35.300 --> 56:38.420]  Well, Alex, I think uh by saying that that
[56:39.140 --> 56:44.180]  Info wars is the tip of the spear and it's all the people. It's all the patriots all the people like minds and hearts
[56:44.180 --> 56:51.780]  You know, I think it's gonna be uh the first domino like yellow vest is spread around the world. Yes
[56:52.820 --> 56:54.820]  And if this is done properly
[56:54.820 --> 56:59.620]  With the info wars being the booster rocket to take it into the stratosphere
[57:00.100 --> 57:05.540]  I think you're gonna see the censored people around the world picking this up with homemade duct tape
[57:05.620 --> 57:10.980]  And and it's gonna be a message that it's gonna speak a thousand words every time somebody sees it retweets it
[57:10.980 --> 57:14.420]  It sends it out and it's gonna push the narrative into
[57:15.140 --> 57:17.140]  Uh into the public sphere
[57:17.460 --> 57:23.780]  Perfectly said perfectly executed. We are the booster rocket. I've always felt that and known that that that my work
[57:24.260 --> 57:29.380]  Is to trigger and is to trigger the waves that'll defeat the globalists and we've already done it
[57:29.860 --> 57:31.220]  We've done it together
[57:31.220 --> 57:35.540]  We've already hit the zeitgeist over and over again because we are literally given the mandate
[57:35.540 --> 57:42.260]  Not of the tricoms, but of god almighty. We have the providence the whole world knows it and they can't stand it
[57:42.980 --> 57:46.740]  And all of our ancestors are applying all the power and force we need
[57:47.700 --> 57:56.980]  Well, there goes christmas 2019 and we're plunging into 2020 as we speak and as 2019
[57:58.020 --> 58:01.460]  Collapses into dust and the baby of 2020 is born
[58:01.460 --> 58:08.900]  Now is the time to realize how critical this year is for all of our futures and listen keep taking action
[58:08.980 --> 58:14.020]  Keep spreading the word. That's vital. But making yourself healthy making yourself
[58:14.740 --> 58:20.740]  More focused and centered is critical to all of this and that's why the products and infor's life are so special
[58:20.820 --> 58:23.380]  So christmas is gone christmas is over basically
[58:23.780 --> 58:29.940]  But you can give yourself the gift of christmas year round at info or store.com and infor's life.com
[58:29.940 --> 58:35.380]  Ladies and gentlemen, if you take our krill oil if you take our tobo force and brain force super melo vitality
[58:35.860 --> 58:39.460]  x2 x3 you name it when you take these products like bio tricillinium
[58:39.940 --> 58:47.380]  They're life changing and they fund the info war. So take action today for yourself and your family and get the great products at infowarslife.com
[58:55.620 --> 58:58.260]  Well, here we are in the year 2020
[58:58.260 --> 59:04.820]  And old friends are not forgotten you the patriots that have kept info wars on the air. Thank you so much
[59:05.220 --> 59:08.580]  I don't want the globalist to win for my children's future for your children's future
[59:08.580 --> 59:14.100]  But also I just personally don't want them to be able to shut us down and thanks to you spread the word and buy the products
[59:14.100 --> 59:15.540]  We are able to stay on air
[59:15.540 --> 59:16.900]  We have huge
[59:16.900 --> 59:19.780]  End of christmas into the year sales the biggest ever
[59:20.020 --> 59:24.900]  Clearance sales up to 75 percent off free shipping double patriot points. The new year is here
[59:24.900 --> 59:31.460]  It's a great way to get healthy and fund the info war. So go to infowarslife.com and stock up on all the great products
[59:31.700 --> 59:36.420]  Like brain force plus super mel vitality and x2 and x3 all of it is amazing
[59:36.580 --> 59:42.580]  The real red pill plus the real red pill find out about these great products at infowarslife.com and fund the info war
[59:42.580 --> 59:47.780]  But whatever you do remember 2020 is a critical year. So everybody get the word out and fight for freedom
[59:47.780 --> 59:54.020]  You're listening to the alex jones show
[1:00:18.180 --> 1:00:21.220]  Our revolution christa bird
[1:00:22.980 --> 1:00:26.740]  Some would make him play that song from christa bird coming up next segment this is
[1:00:27.700 --> 1:00:29.700]  What's his fellow's name the cross
[1:00:30.500 --> 1:00:33.700]  Was a solution. I can't remember time all blurs. I've had him on the show
[1:00:35.540 --> 1:00:38.420]  Just crazy so many great patriots steve boss
[1:00:40.260 --> 1:00:42.260]  That on the air a long time
[1:00:42.260 --> 1:00:47.540]  We're going right back to your phone calls, but let's just listen to part of this. Thank god for the renegades
[1:00:48.500 --> 1:00:50.500]  for you
[1:00:51.620 --> 1:00:54.740]  Far ahead of their time
[1:00:56.660 --> 1:00:58.660]  Without the renegades
[1:01:01.380 --> 1:01:06.500]  Lord knows where we be when it comes to heroes
[1:01:07.060 --> 1:01:09.060]  The gates of mine
[1:01:09.060 --> 1:01:11.060]  You
[1:01:14.900 --> 1:01:19.300]  Railed against the crown another rag tag man declaring independence
[1:01:30.420 --> 1:01:33.620]  They laid their bodies down on a bloody war
[1:01:33.620 --> 1:01:35.620]  They laid their bodies down
[1:01:36.980 --> 1:01:39.620]  On a bloody war the strength of all their blood
[1:01:40.420 --> 1:01:42.420]  It's physically
[1:01:42.580 --> 1:01:44.580]  And spiritually in you now
[1:01:45.620 --> 1:01:47.620]  The commitment the sacrifice
[1:01:48.420 --> 1:01:49.620]  The focus
[1:01:49.620 --> 1:01:51.380]  The spirit
[1:01:51.380 --> 1:01:53.860]  And the enemy fears that spirit above all
[1:01:54.820 --> 1:01:56.820]  Because that spirit is life
[1:01:58.340 --> 1:01:59.700]  Part of life
[1:01:59.700 --> 1:02:01.700]  You'd be willing to die for it
[1:02:01.700 --> 1:02:05.460]  Because from the sacrifice comes the strongest soil
[1:02:06.980 --> 1:02:11.860]  Make and try to make us forget that birthright and try to make us forget what's in that soil
[1:02:12.980 --> 1:02:16.740]  We must take from the soil what god has given us through our ancestors
[1:02:17.860 --> 1:02:21.940]  We must take it in our hands and feel the light in our soul
[1:02:23.780 --> 1:02:26.820]  And it comes to heroes renegades of mine
[1:02:28.820 --> 1:02:30.820]  And without the renegades
[1:02:30.820 --> 1:02:32.820]  Where will we be today?
[1:02:33.220 --> 1:02:37.060]  Ask yourself that question and then ask yourself who are the renegades
[1:02:37.940 --> 1:02:39.940]  In the world today
[1:02:40.740 --> 1:02:42.740]  You are those renegades
[1:02:43.780 --> 1:02:45.780]  Where are the renegades
[1:02:49.620 --> 1:02:52.260]  Who are the renegades in the world today?
[1:02:53.540 --> 1:02:55.540]  Thank god
[1:02:56.580 --> 1:02:58.580]  And the lives they lead
[1:02:58.580 --> 1:03:00.580]  The lives they lead
[1:03:00.580 --> 1:03:02.580]  All ahead of
[1:03:03.300 --> 1:03:05.300]  Their time
[1:03:08.260 --> 1:03:11.140]  Those that came before us could envision the future
[1:03:12.660 --> 1:03:14.340]  They envisioned it
[1:03:14.340 --> 1:03:16.340]  They built it
[1:03:16.340 --> 1:03:20.100]  We won't even live to see the things our sacrifices bring
[1:03:21.060 --> 1:03:23.060]  But know this
[1:03:23.380 --> 1:03:26.020]  The enemy has not even but run
[1:03:26.020 --> 1:03:33.460]  To force us to tap the resources of our ancestors that god gave us and the strength that they paid forward
[1:03:34.100 --> 1:03:41.940]  The spiritual dimensional well like a giant underground aquifer of pure energy waiting for us to access it
[1:03:42.660 --> 1:03:49.700]  And the enemies of god do not have that birthright. They cannot access their ancestors. They can access nothing but destruction
[1:03:50.580 --> 1:03:53.700]  And they believe their god will finally make them pure
[1:03:53.700 --> 1:03:57.940]  When all they do is produce death and sickness and ugliness
[1:03:57.940 --> 1:04:03.380]  They are cursed from the foundations of the earth to serving their master
[1:04:04.260 --> 1:04:06.660]  They are of their father the devil
[1:04:08.260 --> 1:04:15.460]  And nothing can save them because they have chosen to follow their father
[1:04:17.940 --> 1:04:20.340]  All right, no more preaching when I go to break
[1:04:20.340 --> 1:04:22.900]  I'm going to take 30 minutes of calls non-stop
[1:04:23.540 --> 1:04:26.980]  Then I'm going to cover the Iran and then I'm going to cover the chai-kong takeover
[1:04:27.540 --> 1:04:32.180]  It's all important, but you can feel the energy going into 2020
[1:04:34.580 --> 1:04:37.140]  You can feel god's wrath
[1:04:38.980 --> 1:04:40.980]  Being poured out
[1:04:40.980 --> 1:04:43.940]  Under the planet and the fear that anyone fears
[1:04:44.740 --> 1:04:46.740]  Should not be the devil
[1:04:46.740 --> 1:04:48.740]  The fear should not
[1:04:48.740 --> 1:04:53.700]  Be aligning yourself with god. We'll be back on the other side. Stay with us
[1:04:56.740 --> 1:05:07.540]  In the year 2020 crazed leftists are literally crawling out of their political graves and attacking americans that dare not submit to their bullying
[1:05:08.020 --> 1:05:15.140]  2020 2020 is here and despite all the globalist efforts. Thanks to you the listeners and viewers
[1:05:15.140 --> 1:05:18.660]  In full wars. He's still on the air in 2020
[1:05:18.980 --> 1:05:25.540]  So remember it's a great way to get healthy and get in shape and focus your mind with the products of info wars life.com
[1:05:25.700 --> 1:05:30.820]  And fund the info war. It's a total 360 win. All you've got to do is take action
[1:05:30.980 --> 1:05:33.780]  The only way we fail is if you don't take action
[1:05:33.940 --> 1:05:42.500]  These are amazing products info wars life.com is more essential than ever to get high quality products to boost your mental and physical
[1:05:42.500 --> 1:05:49.060]  Life style clarity and so much more and it funds the info war info wars life.com
[1:05:49.380 --> 1:05:56.260]  Info wars life.com into the year 2020 2020 and info wars life.com take action now
[1:06:06.100 --> 1:06:08.900]  This is christinburg and the song revolution
[1:06:08.900 --> 1:06:19.060]  And then your calls get ready. Derek, Mike, Wendell, Dave, Luke, Jason, Patriot, Gary, liberal, Eric and others
[1:06:21.460 --> 1:06:25.220]  Wake up boys. There's a light at the window
[1:06:26.980 --> 1:06:30.260]  I can hear someone knocking on the door
[1:06:32.260 --> 1:06:36.900]  There are voices in the street and the sound of running feet
[1:06:36.900 --> 1:06:40.740]  And they whisper the word revolution
[1:06:42.820 --> 1:06:46.900]  There are men coming down from the valleys
[1:06:48.580 --> 1:06:52.180]  There are tall ships flying off the coast
[1:06:54.260 --> 1:07:02.100]  And they carry the light in the dark of the night like a whisper in the wind
[1:07:02.100 --> 1:07:04.100]  Revolution
[1:07:05.700 --> 1:07:09.700]  Bring my gun and a hand for the silver
[1:07:11.540 --> 1:07:15.060]  By the sea we will gather for the fight
[1:07:17.380 --> 1:07:28.100]  It's been so many years so many tears we have lost once before now we'll sell the store
[1:07:28.100 --> 1:07:36.100]  When our cannons will roar, revolution
[1:07:36.100 --> 1:07:46.100]  Yeah
[1:07:52.660 --> 1:07:56.100]  Watch and wait, get ready for the sign
[1:07:56.100 --> 1:08:00.020]  There are many here among us now who have not seen the light
[1:08:00.020 --> 1:08:10.020]  We must send the word to all the people in the land go to every hill and mountain for the time is not hand to light a fire
[1:08:12.820 --> 1:08:16.420]  Lighting fires in the minds of men and women everywhere
[1:08:17.860 --> 1:08:23.460]  Lighting the fires that have already engulfed the globalist on every continent
[1:08:23.460 --> 1:08:31.460]  The life force is now being initiated, the resistance to the enemy has now begun
[1:08:33.460 --> 1:08:37.460]  There's nothing they can do except for a longer destruction
[1:08:43.460 --> 1:08:51.460]  Light of fire, we have lit the fire and people came from all over the world to find what lit that fire
[1:08:51.460 --> 1:08:55.460]  Some have come to steal the fire and to hide the fire
[1:08:55.460 --> 1:09:03.460]  We have come to release the fire, the Promethean fire, the fire give them to us by our creator
[1:09:03.460 --> 1:09:11.460]  The fire we must use against the enemy or be destroyed and our children enslaved, never
[1:09:11.460 --> 1:09:19.460]  They planted their synchronic flag on our children and called us, hoping they're going to have their way with them
[1:09:19.460 --> 1:09:23.460]  They have only summoned their destruction and they know it
[1:09:23.460 --> 1:09:27.460]  They are prepared for hell and the abyss
[1:09:29.460 --> 1:09:31.460]  They will take it
[1:09:31.460 --> 1:09:33.460]  But God will direct it
[1:09:33.460 --> 1:09:41.460]  And all these great men that serve evil will be torn down and will beg for redemption in the end
[1:09:41.460 --> 1:09:45.460]  But it will fall on deaf ears
[1:09:45.460 --> 1:09:49.460]  Pretty good your phone calls and I'm going to cut back now on the ranting I said
[1:09:49.460 --> 1:09:55.460]  But I haven't done that quite yet here on this final transmission of 2019
[1:09:55.460 --> 1:10:03.460]  Let's go right now to a liberal in New York that disagrees, liberal
[1:10:03.460 --> 1:10:05.460]  You're on the air, welcome
[1:10:05.460 --> 1:10:09.460]  Hey afternoon Alex, this is liberal from New York
[1:10:09.460 --> 1:10:15.460]  It was once upon a time Alex when you were totally anti-war, I listened to you for years and years and years
[1:10:15.460 --> 1:10:21.460]  But in the past two occurrences, the one where the US port was attacked in the streets of Hormuz
[1:10:21.460 --> 1:10:29.460]  And now this embassy attack, you have taken a default position which is one of striking Iran
[1:10:29.460 --> 1:10:35.460]  Now I think this makes absolutely no sense, this is an alignment with what the globalists want
[1:10:35.460 --> 1:10:43.460]  Two, in addition to all of this, you keep pushing or positing the fact that Trump is an anti-war president
[1:10:43.460 --> 1:10:47.460]  He just re-signed the National Defense Authorization Act
[1:10:47.460 --> 1:10:53.460]  In addition to the patriot act, this guy is nothing but a war president
[1:10:53.460 --> 1:11:03.460]  When will you come to grips, tell your audience this and have them really push him to really accelerate the removal of troops from these foreign countries
[1:11:03.460 --> 1:11:05.460]  When Alex?
[1:11:05.460 --> 1:11:11.460]  Well, rarely does somebody call in the disagrees that actually raise a serious point and this is a serious point
[1:11:11.460 --> 1:11:15.460]  People say, why do you have an armored vehicle? That's a police state
[1:11:15.460 --> 1:11:22.460]  No, police state is not having due process and a surveillance state that's been used against Trump and all the rest of it
[1:11:22.460 --> 1:11:30.460]  An armored vehicle is a tool of defense and it also grabs all the attention and it's something different so that we can get our message out
[1:11:30.460 --> 1:11:36.460]  When they've been trying to shut us down and silence us and the left has mobs that attack people, it's defensive
[1:11:36.460 --> 1:11:41.460]  So a shield is not a weapon of war, it is a weapon of defense
[1:11:41.460 --> 1:11:46.460]  Now, let's go to your point about Trump. He's legitimately cutting the troops back in Afghanistan
[1:11:46.460 --> 1:11:52.460]  He's legitimately pulling almost all the troops out and bucking the Pentagon and others in what's happening in Syria
[1:11:52.460 --> 1:11:57.460]  He's trying to end the Arab Spring, launch by the deep state to destabilize the Middle East, North Africa
[1:11:57.460 --> 1:12:04.460]  And that whole project launched by Kerry, Obama, and Hilary to kill Qaddafi and all those serious war crimes and Benghazi and the rest of it
[1:12:04.460 --> 1:12:11.460]  Iran, on its own, is expansionist with its form of Islam, Shia, as you know
[1:12:11.460 --> 1:12:18.460]  And you've got Saudi Arabia that's been expansionist and Trump has gone in and said, any more funny stuff from Saudi Arabia, we're going to remove you
[1:12:18.460 --> 1:12:27.460]  And the House of Saud has saluted and from what I've seen backed off their al-Qaeda and ISIS operations
[1:12:27.460 --> 1:12:30.460]  And the al-Qaeda ISIS arm has been arrested
[1:12:30.460 --> 1:12:39.460]  Now, we'll see how long that stays. Trump has a stabilization program, not the globalist program of destabilization program
[1:12:39.460 --> 1:12:42.460]  Or the strategy of tension and all the rest of it
[1:12:42.460 --> 1:12:50.460]  Now, we'll see how that goes, but the strategy of patience with North Korea, the strategy of patience with radical Islam expanding, that's over
[1:12:50.460 --> 1:12:56.460]  Because the globalists are allied with it to put the worst forms of Islam in, to destroy borders with Europe, to flood Europe
[1:12:56.460 --> 1:13:02.460]  Trump's going to make deals with Turkey to stop the flooding. I mean, he's really doing a stabilization program that's very pragmatic
[1:13:02.460 --> 1:13:09.460]  And what I would be doing from my own research of geopolitical systems, which obviously aren't perfect, nothing is
[1:13:09.460 --> 1:13:12.460]  The world is fluid for all people
[1:13:12.460 --> 1:13:17.460]  And so, when an embassy gets attacked, that's not for war
[1:13:17.460 --> 1:13:21.460]  When you have an agreement, you pay for it, it's your base
[1:13:21.460 --> 1:13:26.460]  And then it gets attacked by a bunch of militia, trying to kill people and burning things down
[1:13:26.460 --> 1:13:33.460]  To put up with that will allow US hostages to be taken, and then Trump will look weak, and it'll be used by him and the deep state
[1:13:33.460 --> 1:13:40.460]  That's why Tehran made a move, the deep state is telling Iran not to work with Trump that he'll be gone soon, they've been giving him inside intel
[1:13:40.460 --> 1:13:43.460]  On how to block Trump, how to get Trump into an escalation or a trap
[1:13:43.460 --> 1:13:47.460]  Trump's done a great job not taking the bait, and I don't want war with Iran
[1:13:47.460 --> 1:13:54.460]  I said, when Iran is in Iraq trying to take over, trying to cause another civil war, we need to try to stop it
[1:13:54.460 --> 1:14:00.460]  Or Trump needs to have a televised rest of the nation say we're totally pulling out and let everybody kill each other over there
[1:14:00.460 --> 1:14:08.460]  But he's going for the middle road of just stabilizing with limited casualties, and then trying to pull us out as much as we can to face the real issue of the Chai comms
[1:14:08.460 --> 1:14:17.460]  And so to say that if, listen, you come to my house, you're trying to batter the door down and burn my house down, I'm going to shoot you dead in the hammer, I don't mean you but whoever's doing it
[1:14:17.460 --> 1:14:25.460]  You're going to see a shotgun, I'm going to say back off, you keep trying to burn my house down or break into it, I'm going to pull the trigger into your chest, or anybody else that doesn't
[1:14:25.460 --> 1:14:31.460]  I think you do the same to me, so that's not war, that's called defense, and so that's what I said
