[00:00:13.206 --> 00:00:15.328]  He is a very, very busy man.
[00:41:16.037 --> 00:41:21.878]  Who would, among other things, have shared with him that understanding of the world which devalues the individual?
[00:41:22.856 --> 00:41:41.744]  And which lifts up the notion that individuals are no different than stones or rocks or any other material things and should be arranged and ordered by the will of the ruler so that their ideas and understanding of what is right for the society can be carried out.
[00:41:41.744 --> 00:41:49.647]  The whole moral understanding that puts an intrinsic value on individuals that started with our Declaration of Independence, he also rejects.
[00:41:50.468 --> 00:42:08.862]  And once you realize that you're dealing with somebody whose moral universe has rejected the fundamental premises of liberty that most Americans kind of take for granted, even when they can't fully articulate them, then you are a long way toward understanding what he's about.
[00:42:08.862 --> 00:42:10.383]  And what does he want to do?
[00:42:10.383 --> 00:42:11.344]  He wants to impose.
[00:42:11.844 --> 00:42:16.265]  That kind of controlling socialist government on the United States.
[00:42:16.265 --> 00:42:18.186]  Does he think it's going to do us good?
[00:42:18.186 --> 00:42:30.249]  I imagine so, but I've got to tell you, when you see somebody so unwilling to look at the factual truth, and a lot of these leftists are and have been for the whole of my lifetime,
[00:42:30.969 --> 00:42:31.530]  Amazing points.
[00:42:50.200 --> 00:42:59.958]  Dealing with lying, though, you worked in the White House with Ronald Reagan, and even if you disagreed with him or loved him or hated him, Reagan didn't do a lot of lying.
[00:42:59.958 --> 00:43:01.861]  I mean, he really was honest.
[00:43:04.727 --> 00:43:07.830]  I mean, his policies were very transparent.
[00:43:07.830 --> 00:43:13.516]  In fact, there wasn't any lying, as much I can tell, which is universes away from Clinton.
[00:43:13.516 --> 00:43:21.264]  Bush certainly did some deceptive things, but Obama, I mean, you've been around presidents, you've been an ambassador, you've been in these campaigns.
[00:43:21.264 --> 00:43:25.328]  Is it safe to say, or would you disagree with my perspective, that he is the
[00:43:26.534 --> 00:43:28.275]  Greatest liar I've ever seen.
[00:43:28.275 --> 00:43:29.576]  A new level of lying.
[00:43:29.576 --> 00:43:31.257]  I mean, I've read books about Hitler.
[00:43:31.257 --> 00:43:32.598]  I've read books about other people.
[00:43:32.598 --> 00:43:39.003]  It seems that Obama is really the slickest liar I've ever seen.
[00:43:39.003 --> 00:43:39.603]  I'm not sure.
[00:43:39.603 --> 00:43:53.393]  You know, I think part of the reason he appears so right now is because the mass of the American people kind of aren't used to having to assume that the person they're dealing with is... How can I put it?
[00:43:53.393 --> 00:43:54.334]  Not just lying.
[00:43:54.334 --> 00:43:55.995]  They are constructing a fiction.
[00:43:57.003 --> 00:44:00.664]  And intending that fiction to manipulate you.
[00:44:00.664 --> 00:44:04.346]  So, in a sense, when we sit down and watch a TV show, right?
[00:44:04.346 --> 00:44:06.126]  We are drawn into the world.
[00:44:06.126 --> 00:44:07.867]  We accept the characterization.
[00:44:07.867 --> 00:44:10.248]  We accept the assumptions and so forth and so on.
[00:44:10.248 --> 00:44:12.689]  What they call the suspension of disbelief.
[00:44:12.689 --> 00:44:16.730]  Now, at one level, everything we're watching is false, isn't it?
[00:44:16.730 --> 00:44:19.231]  Those people aren't really who they're pretending to be.
[00:44:19.231 --> 00:44:24.233]  Their inflections and tones do not reflect feelings they really have, and so forth and so on.
[00:44:24.853 --> 00:44:30.237]  And yet, because they're good at what they do, we accept it and are drawn into that world.
[00:44:30.237 --> 00:44:38.503]  Well, imagine that you're dealing with people for whom every aspect of public life is that kind of acted-out fiction.
[00:44:39.638 --> 00:44:52.792]  They're pursuing their objective and they just want to get you to come in and believe the world is what it needs to be so that they can achieve their power, achieve their objective, achieve what they want to achieve.
[00:44:52.792 --> 00:44:54.413]  That's Barack Obama.
[00:44:54.413 --> 00:44:56.215]  And to say he's great is a lie.
[00:44:56.215 --> 00:45:00.079]  It's just that we're not used to having such thoroughgoing actors.
[00:45:00.942 --> 00:45:04.163]  With no respect for truth in American politics.
[00:45:04.163 --> 00:45:05.423]  Yeah, we're used to liars.
[00:45:05.423 --> 00:45:06.703]  People lie.
[00:45:06.703 --> 00:45:12.845]  But underlying it all, there's been this assumption that the aim somehow is built to respect the truth.
[00:45:12.845 --> 00:45:15.905]  That's not the case with these folks, because they don't believe it anymore.
[00:45:15.905 --> 00:45:27.508]  You know, the notion of the self-evident truths that establish our rights, that show clearly that justice somehow has a basis that isn't just based on the power of those who rule over you.
[00:45:27.508 --> 00:45:28.528]  They reject all of that.
[00:45:31.209 --> 00:45:44.116]  I think right now very striking to us because Americans kind of have had the luxury of taking it for granted that overall this is not what American life and politics was about.
[00:45:44.116 --> 00:45:47.738]  But now we're having to deal with a very real threat.
[00:45:48.387 --> 00:46:01.991]  That this way of doing politics, which overtook Europe, which overtook countries in the third world, and which radically transformed those countries into gulags and hellish places of oppression, it has now come to America.
[00:46:01.991 --> 00:46:02.611]  Wow.
[00:46:02.611 --> 00:46:03.131]  You know what?
[00:46:03.131 --> 00:46:06.472]  I rarely have epiphanies these days from guests.
[00:46:06.472 --> 00:46:10.993]  I mean, I get a lot of good points, a lot of good ideas, but you just actually shifted my perspective.
[00:46:11.977 --> 00:46:18.738]  I mean, I know it's a matrix, I know it's a facade, a Wizard of Oz lie, but the way you just explained it, you're right.
[00:46:18.738 --> 00:46:32.741]  It's that the mainstream media and the system is playing to his tune with such choreographed precision that it creates a whole Disneyland of lies.
[00:46:32.741 --> 00:46:39.163]  So it's not just Bill Clinton saying, I didn't have sex with that woman or lying about, you know, corruption.
[00:46:39.163 --> 00:46:41.143]  It's that the whole thing is a lie.
[00:46:42.327 --> 00:46:42.947]  Well, exactly.
[00:46:42.947 --> 00:46:50.032]  They are creating, as it were, a perceived reality that serves their purposes.
[00:46:50.032 --> 00:46:58.657]  And, of course, the ground started to be laid for this years ago when these people started that phony mantra, perception is reality, perception is reality.
[00:46:58.657 --> 00:46:59.898]  This is not true!
[00:46:59.898 --> 00:47:05.422]  Not if God exists, at least, because there is a principle of reality that transcends human
[00:47:06.382 --> 00:47:15.905]  And it's the basis for making real judgments in a rational way about what is right, what is wrong, what should or should not be done.
[00:47:15.905 --> 00:47:31.550]  They reject that notion of having such a basis for morality, and the only standard they claim is a scientific one, but of course, remember, science cannot tell us anything about what is right and what is wrong, what is just, what is unjust.
[00:47:31.550 --> 00:47:32.810]  Science can't address that.
[00:47:33.921 --> 00:47:35.323]  Sir, we've got limited time.
[00:47:35.323 --> 00:47:43.315]  We've got about 12 minutes left and I'm even going to skip this network break so we have this time with you because I've got several other questions I want to get to and certainly have you back up in the near future.
[00:47:43.315 --> 00:47:46.520]  Very honored to have Ambassador Alan Keyes on with us today.
[00:47:46.520 --> 00:47:47.642]  Very thought-provoking.
[00:47:50.296 --> 00:47:57.340]  Especially, perception isn't reality if the person giving you the perception is putting false data in, or lying, or distorting.
[00:47:57.340 --> 00:48:09.006]  I mean, if you're wearing a headset of virtual reality goggles, and you see a flat, green field you're walking in, but really you're about to walk off a hundred-story building, you're gonna fall and die.
[00:48:09.006 --> 00:48:10.847]  The goggles are lying to you.
[00:48:10.847 --> 00:48:13.809]  Perception isn't reality, but that was just me backing you up there.
[00:48:13.809 --> 00:48:15.029]  Well, think of it, think of it.
[00:48:15.029 --> 00:48:18.091]  This is exactly what they were trying to do with this health care bill.
[00:48:19.002 --> 00:48:24.524]  Tell it on the basis that we're going to give everybody access, it's going to be better, and it's going to be less costly, and all of this.
[00:48:24.524 --> 00:48:43.032]  And then when you started to get into the detail, it wasn't actually less costly, they were just going to shift the distribution of the cost, so that the elderly citizens and so forth were going to be targeted in particular for rationing, so that those costs could be distributed differently.
[00:48:43.032 --> 00:48:47.194]  Well, everybody's going to have access and so forth, but the burden of paying for that
[00:48:47.734 --> 00:48:51.135]  And the government's got a whole new tax to pull out of your paycheck.
[00:49:12.503 --> 00:49:12.843]  Exactly.
[00:49:12.843 --> 00:49:13.884]  We've got 10 minutes left here.
[00:49:13.884 --> 00:49:16.127]  I want to ask you quick questions now.
[00:49:16.127 --> 00:49:21.492]  Eugenics, from my research ambassador, is the foundation of these control freaks.
[00:49:21.492 --> 00:49:26.637]  They believe we're all just blobs of protoplasm, so why not get rid of 80% of us?
[00:49:26.637 --> 00:49:30.862]  United Nations Biological Diversity Assessment 96, State Department Memorandum 200, Eric Holder,
[00:49:35.655 --> 00:49:54.725]  All these other people, John P. Holdren, John P. Holdren, Ecoscience, Population, Resources, Environment, calls for forced drugging the water to sterilize us, forced abortion, CPS taking basically all children, raising them in government hives, and I have all these other government textbooks, and you're a learned person, you're aware of this,
[00:49:55.385 --> 00:50:23.147]  uh... exposing the whole abortion agenda which is only one level and then he he unfreezes the money for forced abortion and uh... you know where they say oh you'll get the welfare in africa but we've got to sterilize you can you speak to john p holdren and the whole eugenics situation and and what margaret sanger and the whole abortion industry really is well this is one of those things that uh... is one of the reasons i had been so
[00:50:24.222 --> 00:50:29.586]  Uh, clear about his absolute, adamant commitment to this whole abortion thing.
[00:50:29.586 --> 00:50:36.750]  So that he carried it as far as saying that babies born alive should be allowed to die because their mothers wanted them aborted.
[00:50:36.750 --> 00:50:39.852]  That is a reflection of what you're talking about.
[00:50:39.852 --> 00:50:46.917]  Sometimes people think this is just about a specific, particular murder of that baby that abortion itself involves.
[00:50:46.917 --> 00:50:47.677]  No!
[00:50:47.677 --> 00:50:48.738]  You look at Margaret Stanger.
[00:50:48.738 --> 00:50:51.680]  That woman was about a strategy based on eugenics.
[00:50:52.120 --> 00:50:55.802]  We're basically cleansing the world of the inferior people.
[00:50:55.802 --> 00:51:08.767]  It is an inherently elitist understanding that sees no value or intrinsic worth except in those lives that stand up to the measuring rod of these elitists as somehow valuable to humankind.
[00:51:08.767 --> 00:51:16.510]  In one respect, it turns out that as the left-wingers move down this road, they are implementing a dehumanizing understanding.
[00:51:16.830 --> 00:51:32.400]  But instead of dehumanizing people based on the racist notions of somebody like Hitler and the things that were being portrayed in Germany, they dehumanize people based on the scientific understanding that there's nothing essentially human about us.
[00:51:32.400 --> 00:51:39.764]  That we are, in that sense, just blobs of flesh and chemicals and junk that can be manipulated like any other physical thing.
[00:51:39.764 --> 00:51:43.947]  And that, of course, means that there's no boundaries whatsoever that you have to respect
[00:51:44.227 --> 00:51:51.691]  Except the whimsical boundaries of personal attachment, so that if you're part of the favored clique, you might be treated differently.
[00:51:51.691 --> 00:52:02.576]  That's the world they're pushing us toward, and abortion was essentially the cutting edge to get people implicated in a moral understanding that's destroyed our sense.
[00:52:02.816 --> 00:52:18.098]  That humanity and every single human being have a moral worth that must be respected by the power of government that can't be disregarded on the basis of some elitist measuring rods of who's worth having around and who can be killed with impunity.
[00:52:20.521 --> 00:52:35.528]  Ambassador, isn't this really the religion of control freaks on power trips, where Peter Singer says, let parents kill their babies for a year after they're born, get rid of the old people, they've got the same value as mackerel.
[00:52:35.528 --> 00:52:46.954]  I mean, these are quotes saying an old person has the same value as a fish, that a retarded child needs to be killed, and I found they really are the ultimate racist, as
[00:52:47.894 --> 00:52:51.517]  As Margaret Sanger wrote in her own letters to D.B.
[00:52:51.517 --> 00:52:58.561]  Du Bois, she said, I've got to hire black men to be my fronts to get rid of these black weeds.
[00:52:58.561 --> 00:53:07.327]  In my research, I found that the real racists, the real Nazis, always cloak themselves as liberals, and that it's even more than that.
[00:53:07.327 --> 00:53:16.433]  It's not just some pseudoscience and their excuse to play God, that they ravenously enjoy going after Asians, Africans, Latin Americans,
[00:53:16.773 --> 00:53:26.056]  Poor people, it doesn't matter, and that they even have people of color in their ranks who enjoy this.
[00:53:26.056 --> 00:53:44.202]  Well, you know, the sad thing is, underlying it all, there is an element of what I call self-worship involved in this, that is involved in the fascination these elites have for themselves and their own power, and the confirmation they see when they enjoy a little success that's come out better than everybody else.
[00:53:44.882 --> 00:54:00.179]  That even, by the way, accounts for their so-called compassion, because it affirms their superiority to see themselves from a height helping the downtrodden who, because of their inferiority, couldn't do as well, and so forth and so on.
[00:54:00.179 --> 00:54:04.183]  But remember, that kind of self-worship has an implication.
[00:54:05.050 --> 00:54:19.059]  That goes to the very heart of religion and faith and spirituality, because it denies that there is anything other than themselves that is worthy of that kind of real reverence.
[00:54:19.059 --> 00:54:25.543]  And so, it is premised at the end of the day on the vanishing of God from the consciousness of human beings.
[00:54:25.543 --> 00:54:30.346]  And that's why people like myself who put a great stress on the American Declaration, on the fact
[00:54:30.686 --> 00:54:31.888]  Well, they're ambassadors!
[00:54:46.121 --> 00:55:02.905]  Well, Ambassador, when you read, as I know you have, all these futurists and transhumanists and neo-eugenicists that just fill the government ranks, the Dr. Piancas and the Holdrens and Ehrlichs, they actually believe they're God.
[00:55:02.905 --> 00:55:12.228]  In the BBC, there was a report last year where they said, we're going to split off and be an elite species of the government planner, and then all the rest of you are these sub-humans.
[00:55:12.228 --> 00:55:12.868]  I mean, you're right.
[00:55:13.368 --> 00:55:17.606]  But it's not just that they don't want to say God doesn't exist, they're saying, I am God!
[00:55:18.353 --> 00:55:24.735]  Well, you see, but I think that's a return to something quite old in terms of human injustice.
[00:55:24.735 --> 00:55:40.239]  Remember that when the people of the world were subjected to these old oligarchic aristocratic regimes, you know, the nobles and the peasantry and all of this, the myths of the time were centered on apotheosis.
[00:55:40.239 --> 00:55:45.161]  That is, where the elite, because of their success and achievements and greatness,
[00:55:45.757 --> 00:55:48.018]  They are elevated to the status of God.
[00:55:48.018 --> 00:55:49.719]  That happened to the Caesars.
[00:55:49.719 --> 00:55:50.980]  That happened to others.
[00:55:50.980 --> 00:55:58.184]  The aim, therefore, in that pagan understanding was for these people to transform themselves to God-like status.
[00:55:58.184 --> 00:56:13.213]  And all we're seeing is a return of that age-old shibboleth now being used once again to impose the idea of some kind of inherent superiority of these elites upon people whom they intend en masse to oppress.
[00:56:13.693 --> 00:56:14.234]  Amazing.
[00:56:14.234 --> 00:56:16.676]  Ambassador, we've got to have you back up on this subject.
[00:56:16.676 --> 00:56:18.438]  Last question.
[00:56:18.438 --> 00:56:21.260]  Governors oppose DOD emergency powers.
[00:56:21.260 --> 00:56:23.262]  That's from The Hill, newspaper in D.C.
[00:56:23.262 --> 00:56:24.644]  as you know.
[00:56:24.644 --> 00:56:27.646]  Congressman could use pandemic to declare martial law.
[00:56:27.646 --> 00:56:29.708]  Congressman told the Louisville Journal.
[00:56:29.708 --> 00:56:36.215]  Congressman Paul Brown said they may use it to declare martial law as a cover for Obama because his agenda
[00:56:37.235 --> 00:56:41.737]  Pentagon wants authority to post 400,000 military personnel in the U.S.
[00:56:41.737 --> 00:56:44.739]  I mean, this is unbelievable.
[00:56:44.739 --> 00:56:59.345]  And we now hear Obama saying terrorists, right-wing terrorists, and the Southern Poverty Law Center, you know, and the DOD documents, and the Justice Department, Homeland Security, veterans, and gun owners, and Ron Paul supporters are terrorists.
[00:56:59.965 --> 00:57:06.691]  In the last two minutes, can you comment on that and are you concerned that Obama may stage crises as Michael Savage and others have said?
[00:57:07.551 --> 00:57:16.194]  Well, I think we're seeing, again, a reliable pattern that was there in the 20th century version of this imposition of communism.
[00:57:16.194 --> 00:57:20.115]  The blurring of the distinction between the military and law enforcement.
[00:57:20.115 --> 00:57:25.097]  The destruction of the idea that human beings have individual rights.
[00:57:25.097 --> 00:57:32.900]  Instead, there's some national security threat that overrides those rights and justifies the making use of any kind of
[00:57:33.380 --> 00:57:33.980]  I don't think so.
[00:57:56.830 --> 00:58:06.218]  Which they blamed on the communists and leftists and those who were opposing what Hitler was trying to do and what we now know from the historical record, they did it themselves.
[00:58:06.218 --> 00:58:17.387]  They burned down the Reichstag in order to provoke the excuse that allowed them to impose that totalitarian control and consolidate it completely over Germany.
[00:58:17.387 --> 00:58:21.230]  I think that we're watching a repetition of this pattern and we need to wake up!
[00:58:21.846 --> 00:58:28.468]  And we need to use those tools we still have available as Americans to stop this from happening.
[00:58:28.468 --> 00:58:29.048]  Amazing.
[00:58:29.048 --> 00:58:32.029]  Ambassador Alan Keyes, I look forward to having you back up.
[00:58:32.029 --> 00:58:36.170]  The website is LoyaltoLiberty.blogspot.com.
[00:58:36.170 --> 00:58:39.530]  Thank you so much, sir.
[00:58:39.530 --> 00:58:42.111]  Thank you for listening to GCN.
[00:58:42.111 --> 00:58:45.092]  Be sure to visit GCNlive.com today.
[00:58:47.250 --> 00:58:48.631]  This is Alex Jones.
[00:58:48.631 --> 00:58:50.613]  Have you heard of the Millionaire Patriot?
[00:58:50.613 --> 00:58:51.594]  Well, you should.
[00:58:51.594 --> 00:58:56.099]  He has a free handgun and five days of firearms training waiting for you.
[00:58:56.099 --> 00:58:56.900]  That's right.
[00:58:56.900 --> 00:59:05.568]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:59:05.568 --> 00:59:06.930]  All for pennies on the dollar.
[00:59:06.930 --> 00:59:08.071]  Plus, if you act fast.
[00:59:08.271 --> 00:59:14.256]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:59:14.256 --> 00:59:21.141]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:59:21.141 --> 00:59:26.665]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:59:26.665 --> 00:59:28.126]  This is real.
[00:59:28.126 --> 00:59:29.187]  Don't miss out.
[00:59:29.187 --> 00:59:36.052]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[00:59:36.272 --> 00:59:37.733]  And get your free handgun.
[00:59:37.733 --> 00:59:40.095]  Go to FrontSight.com today.
[00:59:40.095 --> 00:59:43.798]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:59:43.798 --> 00:59:50.383]  Go to FrontSight.com for your training and free gun.
[00:59:50.383 --> 00:59:52.765]  Waging war on corruption.
[00:59:52.765 --> 01:00:01.551]  Alex Jones on the GCN Radio Network.
[01:00:01.551 --> 01:00:02.152]  Big Brother.
[01:00:02.857 --> 01:00:04.618]  Mainstream media.
[01:00:04.618 --> 01:00:06.359]  Government cover-ups.
[01:00:06.359 --> 01:00:07.960]  You want answers?
[01:00:07.960 --> 01:00:09.501]  Well, so does he.
[01:00:09.501 --> 01:00:13.703]  He's Alex Jones on the GCN Radio Network.
[01:00:13.703 --> 01:00:17.765]  And now, live from Austin, Texas, Alex Jones.
[01:00:22.725 --> 01:00:25.808]  It is the fifth day of August on this Wednesday edition.
[01:00:25.808 --> 01:00:27.549]  Fifth day of August, 2009.
[01:00:27.549 --> 01:00:31.372]  We have three hours left in this transmission.
[01:00:31.372 --> 01:00:35.676]  We're here live Monday through Friday from 11 a.m.
[01:00:35.676 --> 01:00:36.457]  to 3 p.m.
[01:00:36.457 --> 01:00:37.338]  Central Standard Time.
[01:00:37.338 --> 01:00:39.399]  Back Sundays, 4 to 6 p.m.
[01:00:39.399 --> 01:00:44.364]  Central Standard Time, 5 to 7 Eastern.
[01:00:44.364 --> 01:00:46.946]  Again, I want to thank you all for joining us today.
[01:00:46.946 --> 01:00:48.087]  Now is the time
[01:00:50.376 --> 01:01:09.961]  For me to go full bore, and for all of us to go full bore, operational against the globalists, exposing the fact that they're clearly planning to use a staged flu pandemic, whether it kills a bunch of people or not, as a pretext for their martial law control grip.
[01:01:09.961 --> 01:01:16.503]  Hundreds of mainstream news articles in the last six months have acclimated the public to have regular Marines, regular Army,
[01:01:18.283 --> 01:01:28.506]  Marine Corps Reserves, Army Reserves, National Guard, on the streets of America, at checkpoints for DWIs, at mass shootings.
[01:01:28.506 --> 01:01:40.549]  I read the headline last hour, out of Birmingham, Alabama, where they're going to use the National Guard there now as the police force, because the town and the county is collapsing.
[01:01:40.549 --> 01:01:44.370]  The Associated Press is reporting this.
[01:01:46.027 --> 01:01:47.768]  This is all part of acclamation.
[01:01:47.768 --> 01:01:55.372]  Now, I went to urban warfare drills 12 years ago, 11 years ago, 10 years ago, 9 years ago.
[01:01:55.372 --> 01:01:58.233]  I've been to scores of these.
[01:01:58.233 --> 01:02:03.076]  Where the troops practice locking down the city, taking over City Hall.
[01:02:03.076 --> 01:02:07.498]  I would cover this, people would deny it.
[01:02:07.498 --> 01:02:14.262]  Now, they admit NORTHCOM is there to not fight, quote, Al-Qaeda, their own creation.
[01:02:15.623 --> 01:02:21.765]  That was their excuse to set it up, making the United States a military jurisdiction.
[01:02:21.765 --> 01:02:29.188]  But they're now saying in the DHS report and the MIAC reports that we broke, that were sent to us by good police and good military.
[01:02:29.188 --> 01:02:37.651]  We've been sent secret documents that later get confirmed in the Baltimore Sun, that the Army is spying on anti-Fed activists who want to abolish the Fed or audit it.
[01:02:37.651 --> 01:02:40.092]  They're spying on myself, Ron Paul at events.
[01:02:40.092 --> 01:02:40.872]  This is all confirmed.
[01:02:42.281 --> 01:02:47.666]  The good news is the military is sending us this information from inside channels.
[01:02:47.666 --> 01:02:48.727]  Because they're upset about it.
[01:02:48.727 --> 01:02:54.632]  They know those that can still think who aren't felons or illegal aliens that the military is hiring.
[01:02:54.632 --> 01:02:58.175]  They're getting rid of the good people bringing in these criminals and foreigners.
[01:02:58.175 --> 01:03:03.540]  They just had NLE09 using troops from 14 nations to admittedly take on the American people
[01:03:04.386 --> 01:03:12.817]  The DHS report says the number one threat is gun owners, veterans, and constitutionalists who, quote, want to end the Fed or audit the Fed.
[01:03:12.817 --> 01:03:17.724]  They tell the police, they have a Ron Paul sticker, anti-UN sticker, go ahead and arrest you.
[01:03:17.724 --> 01:03:18.505]  All over the nation.
[01:03:19.525 --> 01:03:27.630]  If you have people out handing out anti-Obama healthcare documents, we have video coming up, armored vehicles pull up, SWAT teams jump out and run up, scared.
[01:03:27.630 --> 01:03:28.410]  They're scared.
[01:03:28.410 --> 01:03:29.451]  They're breathing heavy.
[01:03:29.451 --> 01:03:30.592]  They've been told they're terrorists.
[01:03:30.592 --> 01:03:32.993]  And they say there's no First Amendment.
[01:03:32.993 --> 01:03:34.754]  On video, get off the streets.
[01:03:34.754 --> 01:03:37.175]  We have the video of this.
[01:03:37.175 --> 01:03:38.656]  We're already under martial law.
[01:03:38.656 --> 01:03:41.178]  Now how are they going to make everybody feel like they're guilty?
[01:03:41.178 --> 01:03:43.219]  How are they going to make everybody feel like they're suspect?
[01:03:45.563 --> 01:03:50.984]  First they say it's for Al Qaeda, then they say, oh guess what, this whole NORTHCOM system is for you, we're going to use the Army for everything.
[01:03:50.984 --> 01:03:59.566]  Car wrecks, drunk driving, you know, just the Army's going to help with local police, local schools, they're going to help give the forced inoculations.
[01:03:59.566 --> 01:04:01.866]  The flu makes everybody suspect.
[01:04:01.866 --> 01:04:08.928]  And they have the feds covertly, everywhere, including Dripping Springs High School.
[01:04:08.928 --> 01:04:13.089]  One of my employees' husbands works at the school.
[01:04:13.089 --> 01:04:13.949]  I'm just going to leave it at that.
[01:04:16.699 --> 01:04:19.841]  One person might have had the flu.
[01:04:19.841 --> 01:04:22.763]  And nine times out of ten, it turns out it's not even the swine flu.
[01:04:22.763 --> 01:04:26.086]  Which isn't even the swine flu, it's part human, part pig, part bird.
[01:04:26.086 --> 01:04:28.827]  And clearly manufactured, but not deadly.
[01:04:28.827 --> 01:04:30.869]  Only, you know, killed very few people compared to the regular flu.
[01:04:31.906 --> 01:04:39.328]  Any excuse they have, they locked the school down, scared everybody, locked the teachers down for four hours after school, then let them go.
[01:04:39.328 --> 01:04:41.009]  The feds were telling them to do this.
[01:04:41.009 --> 01:04:53.313]  For anybody gets sick, they lock the school, they lock the bank, they lock the business down to create a grassroots perception that there's fear while the media builds towards the forced inoculations.
[01:04:53.313 --> 01:04:56.574]  An expert on this, Steve Quill joins us for two hours coming up.
[01:04:57.588 --> 01:05:02.792]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:05:02.792 --> 01:05:06.815]  Number one, new climate legislation could easily double or triple your electric bill.
[01:05:06.815 --> 01:05:12.720]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:05:12.720 --> 01:05:17.783]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:05:17.783 --> 01:05:18.244]  Number three,
[01:05:18.704 --> 01:05:25.006]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:05:25.006 --> 01:05:27.887]  The hurricane and dangerous summer storm season is here again.
[01:05:27.887 --> 01:05:32.408]  Every year, thousands of families lose their power from weather-related outages.
[01:05:32.408 --> 01:05:36.029]  A solar power generator provides powerful backup insurance and peace of mind.
[01:05:36.269 --> 01:05:41.992]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[01:05:41.992 --> 01:05:46.695]  You can get more information at www.mysolarbackup.com.
[01:05:46.695 --> 01:05:48.476]  That's mysolarbackup.com.
[01:05:48.476 --> 01:05:51.038]  Remember, the government doesn't own the sun yet.
[01:05:51.038 --> 01:05:53.679]  So go to mysolarbackup.com or call toll free 877-327-0365.
[01:05:57.978 --> 01:06:01.000]  Hello, this is Alex Jones with some important questions.
[01:06:01.000 --> 01:06:06.325]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[01:06:06.325 --> 01:06:08.386]  My answer would be all I can get.
[01:06:08.386 --> 01:06:13.370]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[01:06:13.370 --> 01:06:14.291]  How much do you want?
[01:06:14.551 --> 01:06:15.672]  When do you want it?
[01:06:15.672 --> 01:06:17.554]  Now or after the battle starts?
[01:06:17.554 --> 01:06:18.635]  When will you need it?
[01:06:18.635 --> 01:06:20.837]  Can you buy it without proper identification?
[01:06:20.837 --> 01:06:22.178]  Will there be any food?
[01:06:22.178 --> 01:06:23.699]  Will it make your children sick?
[01:06:23.699 --> 01:06:28.984]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[01:06:28.984 --> 01:06:32.568]  You wipe out all these problems if you have a good food supply.
[01:06:32.568 --> 01:06:36.031]  Food is your ammunition to fight for your freedom and your life.
[01:06:36.371 --> 01:06:37.592]  How much will you need?
[01:06:37.592 --> 01:06:38.492]  We don't know.
[01:06:38.492 --> 01:06:39.613]  How much do you want?
[01:06:39.613 --> 01:06:40.534]  All you can get.
[01:06:40.534 --> 01:06:41.634]  I'm Alex Jones.
[01:06:41.634 --> 01:06:44.676]  I want all of you good guys to live to fight another day.
[01:06:44.676 --> 01:06:47.798]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[01:06:47.798 --> 01:06:48.578]  Again, that number 1-800-409-5633.
[01:06:57.711 --> 01:07:01.974]  Being a part of Life Change Tea has been an exhilarating experience.
[01:07:01.974 --> 01:07:03.515]  I love the testimonies.
[01:07:03.515 --> 01:07:06.116]  Julian New York writes, I love this product.
[01:07:06.116 --> 01:07:07.017]  I feel great.
[01:07:07.017 --> 01:07:08.298]  It worked immediately.
[01:07:08.298 --> 01:07:10.279]  You can feel the cleansing right away.
[01:07:10.279 --> 01:07:13.321]  Other products don't work right away like this one does.
[01:07:13.321 --> 01:07:15.082]  Mrs. Luella from Missouri writes,
[01:07:15.462 --> 01:07:17.765]  My daughter has lost 27 pounds.
[01:07:17.765 --> 01:07:19.107]  She loves the tea.
[01:07:19.107 --> 01:07:25.116]  And David from Tennessee writes, My wife has a lot of digestive problems and the tea really helps her a lot.
[01:07:25.116 --> 01:07:26.137]  I like it too.
[01:07:26.137 --> 01:07:28.901]  And here's my favorite from CJ in Minnesota.
[01:07:28.901 --> 01:07:30.824]  He writes, This stuff really works.
[01:07:31.224 --> 01:07:33.185]  No, I mean it really works.
[01:07:33.185 --> 01:07:35.587]  No, I mean it really works.
[01:07:35.587 --> 01:07:38.829]  Be one of the many testimonies that we receive every month.
[01:07:38.829 --> 01:07:41.911]  Order today online at GetTheTea.com.
[01:07:41.911 --> 01:07:44.373]  That's GetTheTea.com.
[01:07:44.373 --> 01:07:45.673]  Or you can call us at 928-308-0408.
[01:07:45.673 --> 01:07:46.714]  You know the number, 928-308-0408.
[01:07:46.714 --> 01:07:47.935]  Be our next testimony.
