[00:00.000 --> 00:09.000]  This is an emergency transmission from FEMA Region 6 in occupied North America.
[01:07:18.000 --> 01:07:21.000]  Help me! Help me!
[01:07:22.000 --> 01:07:25.000]  Thank you.
[01:07:25.000 --> 01:07:29.000]  Donald Trump, I hope you can help uncripple America. Thank you so much, sir.
[01:07:29.000 --> 01:07:32.000]  You will be attacked for coming on and we know you know that. Thank you.
[01:07:32.000 --> 01:07:34.000]  Thank you very much.
[01:07:34.000 --> 01:07:41.000]  Rallying Patriots Worldwide in Defense of Human Liberty. It's Alex Jones.
[01:07:41.000 --> 01:07:46.000]  Joining us now is Alex Jones from Washington, D.C. Alex.
[01:07:46.000 --> 01:07:51.000]  Well, thank you, David. Yes, it's an amazing print. I'm shocked that the guy's a listener, a big fan, and very famous.
[01:07:51.000 --> 01:07:54.000]  He's the official, you know, guy that does it for the Republican Party.
[01:07:54.000 --> 01:07:57.000]  And of course, the famous drawing of Ronald Reagan with the cowboy hat. That's him.
[01:07:57.000 --> 01:08:02.000]  But that's a side issue. I'm just going to take over here for about 10 minutes at the hand of Tom back to you guys.
[01:08:02.000 --> 01:08:05.000]  I'm going to come in later in the 14 hour marathon broadcast with you guys.
[01:08:05.000 --> 01:08:11.000]  First off, let me just take a deep breath here and break down what just happened here today.
[01:08:11.000 --> 01:08:17.000]  Undoubtedly, this was Providence. This was American destiny being invoked.
[01:08:17.000 --> 01:08:23.000]  This was Trump declaring the birthright of this Republic that George Washington talked about.
[01:08:23.000 --> 01:08:27.000]  And that Providence started back in 1776.
[01:08:27.000 --> 01:08:32.000]  He invoked it. It was so historical. And I knew they were going to invoke it.
[01:08:32.000 --> 01:08:38.000]  It just came into my mind. And I knew, even though he hasn't given the speech, and I haven't talked to Trump about this,
[01:08:38.000 --> 01:08:46.000]  I knew what was about to happen. And I said, I've got a tweet that they're going to re invoke the birthright.
[01:08:46.000 --> 01:08:49.000]  I just feel it. That's really what this is.
[01:08:49.000 --> 01:08:53.000]  And then the media was asking me, even the New York Times had seen the tweet. They said, did you talk to Trump?
[01:08:53.000 --> 01:08:57.000]  And how'd you go? Wasn't the speech somebody else did? And I said, no, this is American.
[01:08:57.000 --> 01:09:01.000]  You see, we're reading the same book. It's the same spirit. So I will tell them what I've talked about with Trump.
[01:09:01.000 --> 01:09:04.000]  The spirit of America. Can you feel it rising?
[01:09:04.000 --> 01:09:07.000]  Trump feels it. He knows it. He loves it.
[01:09:07.000 --> 01:09:14.000]  He wants to serve the people and empower the people to have America be incredibly wealthy again and empower the globe.
[01:09:14.000 --> 01:09:20.000]  Back when we had 50% of the world's wealth just 30 years ago, we were sending more money to companies than we are now in more industry.
[01:09:20.000 --> 01:09:26.000]  Now all we send is corporate, the bullish, or monopoly men that do not want us to be prosperous.
[01:09:26.000 --> 01:09:33.000]  And so the message we heard in the speech has been my message for over a decade.
[01:09:33.000 --> 01:09:37.000]  I mean, longer than that, but this is Americanism versus globalism.
[01:09:37.000 --> 01:09:42.000]  So Trump isn't reading from my sheet of music. It's the sheet of music that's reality.
[01:09:42.000 --> 01:09:46.000]  And that's why it's so similar when I say on the show, no, you hear Trump say later, okay?
[01:09:46.000 --> 01:09:48.000]  And yes, Trump obviously does listen to the show. It's filming.
[01:09:48.000 --> 01:09:54.000]  Unless you just move past all that, what really matters here is that the people are so awake.
[01:09:54.000 --> 01:09:58.000]  I mean, I'm not kidding. Every second person I walk by is a listener.
[01:09:58.000 --> 01:10:01.000]  I mean, it is blowing my mind. You've seen a lot of feeds.
[01:10:01.000 --> 01:10:04.000]  The amount of young people, the amount of teenagers are listeners.
[01:10:04.000 --> 01:10:10.000]  This is indicative of the huge, incredible awakening that is happening on a planetary scale, not just here.
[01:10:10.000 --> 01:10:19.000]  So make no mistake, this revolution against globalism, this revolution against globalism is something that belongs to the people.
[01:10:19.000 --> 01:10:24.000]  And Trump said that this revolution is about you. You are what empowers it. You are the future.
[01:10:24.000 --> 01:10:30.000]  And we're going to get out of your way and let you have your destiny, have your dreams.
[01:10:30.000 --> 01:10:35.000]  And we understand America's special in that destiny and that as America goes, the rest of the world goes.
[01:10:35.000 --> 01:10:39.000]  Washington envisioned all of this in his farewell address.
[01:10:39.000 --> 01:10:43.000]  He saw this in Providence.
[01:10:43.000 --> 01:10:47.000]  And now it's all come true. The enemy knew that. That's why they always evoke the occult.
[01:10:47.000 --> 01:10:50.000]  Evoke. Don't talk about God or Christ. Don't talk about Providence.
[01:10:50.000 --> 01:10:56.000]  Don't say America's great and all this stuff to demoralize us, not to have this birthright.
[01:10:56.000 --> 01:11:03.000]  It's why they teach you in school how horrible the idea of American Providence and manifest destiny and all of this is.
[01:11:03.000 --> 01:11:05.000]  And talk about the problems and crimes associated.
[01:11:05.000 --> 01:11:09.000]  There's problems and crimes associated with any humans or any movement.
[01:11:09.000 --> 01:11:14.000]  But overall, the greater destiny to defeat tyranny worldwide and to stop a great evil in the future.
[01:11:14.000 --> 01:11:23.000]  I believe it's going to be this republic in the future that defeats the entire world, government, anti-human, eugenics-based, technocracy system.
[01:11:23.000 --> 01:11:27.000]  So we're here. This is a giant victory for humanity.
[01:11:27.000 --> 01:11:35.000]  It is massive and looking at Michelle and looking at Obama up on the jumbotron.
[01:11:35.000 --> 01:11:42.000]  When they were singing the Tarspanel banner, Obama with that arrogant smug feeling that he's better than everybody looked like he was dying.
[01:11:42.000 --> 01:11:52.000]  A fake smile. Michelle was frowning the entire time because these are cult members who were put in power by the globalists so that they could help destroy the country and divide the nation.
[01:11:52.000 --> 01:11:59.000]  They're absolutely evil and want poor people not to have a future. That's why he goes to Africa and says, you can't have cars or air conditioning.
[01:11:59.000 --> 01:12:07.000]  Because he is literally there to hurt poor people across the board and they needed that face, though, as their cover to carry it out.
[01:12:07.000 --> 01:12:18.000]  Donald Trump right now is making hundreds of phone calls a day trying to get jobs into Detroit, trying to get jobs into Atlanta, trying to get jobs into all these places in the Midwest as well.
[01:12:18.000 --> 01:12:32.000]  Very, very, very exciting stuff is happening. This is just an incredible time to be alive and I cannot stress to everybody how historical this is because everything the New World Order has done has been designed to bring this country down
[01:12:32.000 --> 01:12:43.000]  because they can't have a big free, open, wealthy nation state with a big fat mill class, upwardly mobile people inside this impoverished, anti-human world government system they're establishing.
[01:12:43.000 --> 01:12:52.000]  The American system gives too much competition for them. They admit that in the white papers. The British government 200 years ago wrote they couldn't compete with the American system.
[01:12:52.000 --> 01:12:57.000]  And again, the British now are throwing off globalism. They're throwing off these monopoly systems.
[01:12:57.000 --> 01:13:04.000]  So this is an incredible time to be alive. It is an amazing time to be alive and it is quite frankly so humbling and stunning.
[01:13:04.000 --> 01:13:20.000]  The fact that we go through these crowds of people, people of every race, color, creed are all just humans with red blood. This is breaking the will of the media that's trying to create racial division and trying to say that if you're not a white person, you can't have guns or private property or a future.
[01:13:20.000 --> 01:13:26.000]  You don't have the American birthright. You don't have a future of wealth. That's your enemy. That's racist.
[01:13:26.000 --> 01:13:37.000]  This is a cult programing to make people poor and make them the slaves of the globalists who all over the world will play different groups up against each other, which Ukraine will play Catholic off against Orthodox.
[01:13:37.000 --> 01:13:48.000]  Or it's a country in Africa. They'll play the Christians off against the, you know, the animus of the Muslims or vice versa. It's all divide and conquer because the elite are destroying nations.
[01:13:48.000 --> 01:13:59.000]  They're trying to make us poor. So America died basically in the last few years. It was a globalist program, bushes and clippings behind it with criminal elements of the intelligence agencies.
[01:13:59.000 --> 01:14:08.000]  But America isn't just a person. I'm sure a person doesn't get resurrected unless it's Jesus or Lazarus, but a country can come back from the dead.
[01:14:08.000 --> 01:14:18.000]  And America began to come back from the dead in the last few months and now has come back to life. The Phoenix is coming up right now.
[01:14:18.000 --> 01:14:28.000]  And how powerful that Phoenix is, how incredible that destiny is, is up to us. We are what breathes life into the spirit, it into us.
[01:14:28.000 --> 01:14:36.000]  And the enemy knows everything's energy. You see, forget all the religious books and all the stuff you can hear from the preachers who are there to control the paradigm.
[01:14:36.000 --> 01:14:41.000]  They, the enemy wants to destroy our spirit, make us feel weak so we don't take our birthright destiny.
[01:14:41.000 --> 01:14:53.000]  We're taking the destiny in our hands. We're breathing life into it. And those devil worshipers out there, the enemy, Chuck E. Schumer, devil worshiper, Obama, devil worshippers, well known.
[01:14:53.000 --> 01:15:00.000]  These are devil worshippers. What's a devil worshipper? They want to hurt other people. They want to be number one. They don't like seeing somebody succeed.
[01:15:00.000 --> 01:15:08.000]  Okay? What's somebody that wants prosperity and renaissance? They want wealth, cornucopia. They're not jealous of somebody who's got a big house or a good looking wife or vice versa.
[01:15:08.000 --> 01:15:19.000]  As long as you don't take something from me, I think your success is great. These people are devil worshippers. And what happened today was the chief executive invited God back in and said,
[01:15:19.000 --> 01:15:33.000]  the door's open and the set of the people, the door's open now to you. If you want this birthright, if you want goodness, we've all got to be good. We've got to come together and we've got to, your black heart, white people, your white heart, whatever.
[01:15:33.000 --> 01:15:41.000]  We've got to come together about issues that we stand for and what we believe in and transcend all the control. The media pushed way too hard with all the race garbage.
[01:15:41.000 --> 01:15:50.000]  Now they're saying he's a Russian spy. Now they're saying they've got communiques with him and the Russians. And literally now, he tells. It's not just Maxi Waters.
[01:15:50.000 --> 01:15:54.000]  It's the New York Times that says that Putin actually told him Hillary was crooked.
[01:15:54.000 --> 01:16:11.000]  Fully cooked, ready to eat bacon. I'm talking thick meaty, center cut, presidential bacon. Savory and delicious. I buy some, I use some, I store some. Awesome. No refrigeration needed with a 10 year shelf life.
[01:16:11.000 --> 01:16:27.000]  That's a pack technology. Bacon, fully cooked, fully hydrated, ready to eat right from the pack bacon or warm and serve, life saving, ready to eat bacon, 10 year shelf life bacon, ships free at fullycookedbacon.com, fullycookedbacon.com.
[01:16:42.000 --> 01:17:10.000]  We believe in freedom. America needs strong, independent families to endure what's ahead. And we take this charge seriously. We got options, organic, no gluten, without the chemicals.
[01:17:10.000 --> 01:17:16.000]  Great taste and value. NUMANA is a no lose investment for your family's food independence.
[01:17:16.000 --> 01:17:20.000]  Get your NUMANA today. Call 888-597-0775.
[01:17:20.000 --> 01:17:26.000]  888-597-0775. Online discounts available at www.powerprepper.com.
[01:17:26.000 --> 01:17:35.000]  Most people think life insurance pays after you're dead. That's true. But did you know you can have tax free access to your life insurance while you're still alive?
[01:17:35.000 --> 01:17:44.000]  You can use the life benefits of your life insurance to grow your money with certainty and guarantees. No stock market risk, no tax risk, and no penalties.
[01:17:44.000 --> 01:17:56.000]  Call life benefits if you'd like a free book about how this can be done. Call 702-660-7000. That's 702-660-7000.
[01:17:56.000 --> 01:18:09.000]  Maximize your potential and take your body back with super male vitality. We're breaking the conditioning and fighting back against the globalist's war on male vitality.
[01:18:09.000 --> 01:18:19.000]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered from around the world and then concentrated for maximum potency.
[01:18:19.000 --> 01:18:26.000]  Super male vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[01:18:26.000 --> 01:18:30.000]  InfoWarsLife wants to bring you the highest quality products.
[01:18:30.000 --> 01:18:39.000]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[01:18:39.000 --> 01:18:43.000]  Support your body and mind and take yourself to the next level.
[01:18:43.000 --> 01:18:47.000]  Boost your vitality and energize your life.
[01:18:47.000 --> 01:18:54.000]  Take control of your body. Grab a bottle of super male vitality today at infowarslife.com.
[01:18:54.000 --> 01:19:18.000]  That's infowarslife.com.
[01:19:25.000 --> 01:19:32.000]  You can eat protein heavy foods now while minimizing the later indigestion and discomfort commonly associated with high meat diets.
[01:19:32.000 --> 01:19:40.000]  Just one pill with every high protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[01:19:40.000 --> 01:19:48.000]  Cardivore also contains digestive enzymes to help digest fats and carbohydrates so you can fully digest all types of meals.
[01:19:48.000 --> 01:19:52.000]  Don't let a meal go to waste. Use carnivore by InfoWarsLife.
[01:19:52.000 --> 01:20:01.000]  Head to infowarslife.com and secure your bottle now. That's infowarslife.com.
[01:20:01.000 --> 01:20:08.000]  You're listening to the Alex Jones Show.
[01:20:08.000 --> 01:20:23.000]  The Alex Jones Show. Because there is a war on for your mind.
[01:20:23.000 --> 01:20:26.000]  It's not just Max C. Waters, it's the New York Times now says that Putin actually told him Hillary was crooked.
[01:20:26.000 --> 01:20:29.000]  That's right America, you can't have your own idea. You can't have a strong leader.
[01:20:29.000 --> 01:20:34.000]  The Russians are the reason Trump got elected and everything comes from the Russians.
[01:20:34.000 --> 01:20:38.000]  That's BS. Nothing against the Russians, but we, American events, a lot of stuff too.
[01:20:38.000 --> 01:20:41.000]  We come up with a lot of stuff. Yeah, I mean, give me a break.
[01:20:41.000 --> 01:20:46.000]  You don't think we can't come up with crooked Hillary? Hell, somebody with a lobotomy can come up with that.
[01:20:46.000 --> 01:20:49.000]  That'd be that smart to come up with a crooked Hillary.
[01:20:49.000 --> 01:20:54.000]  So this is history happening right now. I want to skip this network break and David and I and the crew can pop it whenever they want here.
[01:20:54.000 --> 01:20:59.000]  But I'm going to go get settled down in an office and just take a shower or something and just get on my knees and pray to God.
[01:20:59.000 --> 01:21:05.000]  I'll be honest with you. I want to get in a room by myself and hit my knees and start crying because this is so good.
[01:21:05.000 --> 01:21:10.000]  If I'm telling you, man, the evil's going to strike back. We got to be watching them. We got to be ready.
[01:21:10.000 --> 01:21:15.000]  But we know who they are. We know their plan and I got to say it. It's been info wars.
[01:21:15.000 --> 01:21:23.000]  It's been info wars and you the people and our analysis has led the way as the blueprint battle plan to blow the hell out of them.
[01:21:23.000 --> 01:21:28.000]  I'll tell you, people always want me to take credit. I'm a humble person, but we need to take credit to know what we're doing is working.
[01:21:28.000 --> 01:21:36.000]  Info wars and our guests and myself and you the listeners, the eyes and ears on the ground and Matt Drudge and all of us together are the info war.
[01:21:36.000 --> 01:21:42.000]  We are the blueprint of the operating system that just kicked the new orders ass.
[01:21:42.000 --> 01:21:53.000]  We got it. It's America 2.0 supercharged, ready, common, committed and our spirit, Trump sure is a thousand to one and our presidents even got the name Trump.
[01:21:53.000 --> 01:22:07.000]  So get ready. Yeah. The answer to 1984 is 1776. Hey, what's to get in here? Hey, you guys feel the energy?
[01:22:07.000 --> 01:22:11.000]  Americanism, my globalism will be our credo.
[01:22:11.000 --> 01:22:19.000]  Bless you, sir. God bless you. God bless you. It's okay to love freedom. It's okay to believe. It's okay to be strong.
[01:22:19.000 --> 01:22:27.000]  Here's the deal. We're not just getting hyped up by Trump and then feeling good. We have the tools. We have the means. We have the history.
[01:22:27.000 --> 01:22:34.000]  We got the pedigree. We got it all. Everybody here is America and we and as long as the globalists bring people in, turn them against America.
[01:22:34.000 --> 01:22:41.000]  We're going to be able to bring a lot of people in once they're not getting brainwashed as soon as they get here. It's incredible time to be alive. Go ahead, sir.
[01:22:41.000 --> 01:22:44.000]  I'm with the break part. What did you think of the speech? They really laid the wood to him.
[01:22:44.000 --> 01:22:50.000]  He laid the wood to him, but he empowered the people and let them know you are this revolution. You are the victory.
[01:22:50.000 --> 01:22:59.000]  And he just brought what everything George Washington envisioned back, America 2.0, and just basically rebooted and launched the system.
[01:22:59.000 --> 01:23:05.000]  And it came out of there like a fiery phoenix, fiery, the dragon, the globalists are crapping their drawers right now.
[01:23:05.000 --> 01:23:14.000]  This was pure Americana and trailblazing and science and vision and just absolutely empowering this country.
[01:23:14.000 --> 01:23:22.000]  Because under globalism, the decision was made to just shut us down and ship it overseas and parlay that into global power so some corporations could play God.
[01:23:22.000 --> 01:23:29.000]  But these corporations don't even have a vision or a spirit. It's just a bunch of empty guys up there claiming they're free market, but they're not free market.
[01:23:29.000 --> 01:23:38.000]  They're about to see real free market. They're about to see the Republic get up off of its knees and it's happening now. America was reborn today.
[01:23:38.000 --> 01:23:44.000]  The spirituality of the speech was a very spiritual speech, unlike a lot of the rally speeches.
[01:23:44.000 --> 01:23:52.000]  And I tweeted right before I said he's going to invoke the providence. He's going to invoke the covenant and he did it because that's the key.
[01:23:52.000 --> 01:24:02.000]  Listen, I didn't even be that much of a religious person till I got deeper in and study these people. They all understand that they have to get God out, not let us feel empowered, not let us know about America's destiny,
[01:24:02.000 --> 01:24:11.000]  not teach what George Washington said they need to kill that narrative because from their atheist or globalist view from psychological view, it gives us a culture that unifies us.
[01:24:11.000 --> 01:24:19.000]  So they've been killing our culture and then they've been bringing in this alien culture of everybody hating each other and fighting with each other and trying to bring us down.
[01:24:19.000 --> 01:24:25.000]  But then while they suck and sap our energy. So the second phase of slavery just fell today.
[01:24:25.000 --> 01:24:30.000]  If humans are trying to progress through the future, it's what they call themselves the progressives. They're the opposite. They're not the progressives.
[01:24:30.000 --> 01:24:39.000]  They're regressives. That's what the Jacobin Party was about. And that's what the Democrats were called was the Jacobin or French Revolution Party.
[01:24:39.000 --> 01:24:48.000]  They wanted to regress everything and basically set up their own new tyranny. What you're seeing here is the real renaissance and what you're seeing here is the real 1776.
[01:24:48.000 --> 01:24:58.000]  That's the last thing. So the subtext of Senator Schumer's speech about going into battle, was that a call to arms to the left to keep fighting?
[01:24:58.000 --> 01:25:03.000]  Yes, he was trying to get everybody to boo him so he could say, oh, I came and I was nice and they were mean to me.
[01:25:03.000 --> 01:25:04.000]  But everybody slept through it.
[01:25:04.000 --> 01:25:09.000]  Everybody slept through it. He was clearly putting the knife in. Sorry. I'm like, you know, trying to twist it. People didn't really take the bait.
[01:25:09.000 --> 01:25:19.000]  I caught myself trying to take the bait and I went, no, no, he's trying to set us up. And then it just failed. He was just trying to bring back all this open old wounds.
[01:25:19.000 --> 01:25:20.000]  Like in a mess?
[01:25:20.000 --> 01:25:29.000]  Big mess. Yeah, Donald Trump had a grand slam today and Chuckie Schumer or Chuckie Scammer. I mean, it just, it was a total foul ball. He failed.
[01:25:29.000 --> 01:25:30.000]  Thank you very much, sir.
[01:25:30.000 --> 01:25:32.000]  All right, thank you so much.
[01:25:32.000 --> 01:25:33.000]  Still on here.
[01:25:33.000 --> 01:25:38.000]  All right. Yes, sir. God bless you. Anybody else want to get on team radio?
[01:25:38.000 --> 01:25:41.000]  Here, sir. Come on in here. Start breastfella. What's your name, sir?
[01:25:41.000 --> 01:25:42.000]  Marshall McGill.
[01:25:42.000 --> 01:25:44.000]  Marshall McGill, we'll talk about your takeover.
[01:25:44.000 --> 01:25:56.000]  Hey, hey, you know what? Today was the beginning of something new. We've been waiting for this for a long time. And you know, the most important thing I saw the day was that our president is putting back America first.
[01:25:56.000 --> 01:26:02.000]  We've been compromising. We've been putting everybody else second. We didn't want to hurt anybody's feelings. We were politically correct.
[01:26:02.000 --> 01:26:09.000]  And today our president says America has nothing wrong with any other country putting themselves first. But we're going to put ourselves first.
[01:26:09.000 --> 01:26:14.000]  And we're going to focus on building our inner cities. We're going to focus on building our rural areas out west.
[01:26:14.000 --> 01:26:20.000]  We're going to be focusing on education. And most of all, what I got today was that our president says we're going to put God first.
[01:26:20.000 --> 01:26:21.000]  Right.
[01:26:21.000 --> 01:26:27.000]  And the Bible says in Proverbs 14 and 30 that righteous is exaltation and sin brings it down.
[01:26:27.000 --> 01:26:29.000]  That's right. He brought the power back here.
[01:26:29.000 --> 01:26:35.000]  There you go. We can't do anything without God. And when we put God first, nothing will be impossible for us.
[01:26:35.000 --> 01:26:41.000]  So the most important thing it is today out of all the different agendas and so forth was putting God first.
[01:26:41.000 --> 01:26:44.000]  And if we seek God first, everything else will be added to it.
[01:26:44.000 --> 01:26:50.000]  So I'm encouraged today that we're starting over and I'm encouraged today that we're putting God first.
[01:26:50.000 --> 01:26:53.000]  And I believe this nation is going to see a quick turnaround.
[01:26:53.000 --> 01:26:59.000]  I'm not talking about years and years, but we're going to see the first year seem like he's been in office 10 years because God is going to be on it.
[01:26:59.000 --> 01:27:00.000]  You watch what God says.
[01:27:00.000 --> 01:27:03.000]  I want to continue. Listen, it's not mumbo jumbo.
[01:27:03.000 --> 01:27:07.000]  They were very sick about this piece, but I could feel it when I was going in there.
[01:27:07.000 --> 01:27:13.000]  I said, I feel like Providence, he's going to invoke God and bring God back in and ask us to accept God in.
[01:27:13.000 --> 01:27:16.000]  And that will just like fill the vacuum and push all this evil out.
[01:27:16.000 --> 01:27:19.000]  I mean, you take God out, evil pours in, you can feel it.
[01:27:19.000 --> 01:27:21.000]  Yeah, absolutely. Absolutely.
[01:27:21.000 --> 01:27:23.000]  It's about who you pursue.
[01:27:23.000 --> 01:27:28.000]  And wherever you pursue and wherever your aims are, that's where the energy and the power is going to come from.
[01:27:28.000 --> 01:27:29.000]  And we put God first.
[01:27:29.000 --> 01:27:31.000]  Like we're doing today, it's just the beginning.
[01:27:31.000 --> 01:27:34.000]  It's not night is going to happen.
[01:27:34.000 --> 01:27:41.000]  But when we begin to pursue God, this might say at one time, if you can't run a walk, if you can't walk, then crawl.
[01:27:41.000 --> 01:27:43.000]  And if you can't crawl, just look that way.
[01:27:43.000 --> 01:27:47.000]  And when you turn your eyes that way, and God, he looks at us.
[01:27:47.000 --> 01:27:48.000]  Pretty soon you can crawl.
[01:27:48.000 --> 01:27:53.000]  Then you start walking, then you start running, and then you begin to see changes.
[01:27:53.000 --> 01:27:56.000]  And I really believe that the day America has woken up.
[01:27:56.000 --> 01:28:02.000]  And you know what, regardless of what your political party is, what you believe, personally, morally or whatever.
[01:28:02.000 --> 01:28:05.000]  But the fact is that we have to embrace democracy.
[01:28:05.000 --> 01:28:09.000]  America spoke, America won, and America has its country back.
[01:28:09.000 --> 01:28:16.000]  Absolutely. And I want to warn the elite, even if they kill Trump, the spirit is us, as we kept saying.
[01:28:16.000 --> 01:28:20.000]  It's already been opened up, it's already rising, and they're not going to stop it.
[01:28:20.000 --> 01:28:23.000]  All of the world countries are trying to get off under the globalists.
[01:28:23.000 --> 01:28:27.000]  The globalists are very, very evil, and they're trying to set up their world government that the Bible tells us about.
[01:28:27.000 --> 01:28:29.000]  These are evil people.
[01:28:29.000 --> 01:28:30.000]  Yeah, we're living in the last days.
[01:28:30.000 --> 01:28:33.000]  We're living in perilous times.
[01:28:33.000 --> 01:28:38.000]  And the Bible says that the kingdom of heaven suffers violence, and the violence is taken by force.
[01:28:38.000 --> 01:28:40.000]  We can no longer be passive.
[01:28:40.000 --> 01:28:45.000]  We can no longer just sit back and watch our country go to hell.
[01:28:45.000 --> 01:28:46.000]  We can't do that.
[01:28:46.000 --> 01:28:52.000]  We've got to stand up for what is right, and we've got to take our positions as men and women of God.
[01:28:52.000 --> 01:28:57.000]  Not just for us, but we're going to be judged by what happens to the generation behind us.
[01:28:57.000 --> 01:28:58.000]  It's a no-brainer.
[01:28:58.000 --> 01:29:00.000]  A Big Berkey water filter is the one you need, period.
[01:29:00.000 --> 01:29:06.000]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA, and other endocrine disruptors,
[01:29:06.000 --> 01:29:09.000]  pesticides, bacteria, viruses, and much more, right?
[01:29:09.000 --> 01:29:11.000]  And does it all in only two cents per gallon.
[01:29:11.000 --> 01:29:14.000]  Get the original, most trusted name in gravity water filtration, Big Berkey.
[01:29:14.000 --> 01:29:19.000]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[01:29:19.000 --> 01:29:23.000]  Call or click 1-877-99 Berkey, or bigberkeywaterfilters.com.
[01:29:23.000 --> 01:29:27.000]  That's 1-877-99-B-E-R-K-E-Y.
[01:29:27.000 --> 01:29:29.000]  Fully cooked, ready to eat bacon.
[01:29:29.000 --> 01:29:32.000]  I'm talking thick meaty, center cut, presidential bacon.
[01:29:32.000 --> 01:29:34.000]  Savory and delicious.
[01:29:34.000 --> 01:29:37.000]  I buy some. I use some. I store some. Awesome.
[01:29:37.000 --> 01:29:40.000]  No refrigeration needed with a 10-year shelf life.
[01:29:40.000 --> 01:29:42.000]  NASA-packed technology.
[01:29:42.000 --> 01:29:48.000]  Bacon. Fully cooked, fully hydrated, ready to eat right from the pack bacon, or warm and served.
[01:29:48.000 --> 01:29:50.000]  Life-saving, ready to eat bacon.
[01:29:50.000 --> 01:29:52.000]  10-year shelf life bacon.
[01:29:52.000 --> 01:29:55.000]  Ships free at fullycookedbacon.com.
[01:29:55.000 --> 01:30:13.000]  Climb to the top of the food chain with Alpha Power by Infowars Life.
[01:30:13.000 --> 01:30:29.000]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[01:30:29.000 --> 01:30:38.000]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including
[01:30:38.000 --> 01:30:48.000]  uricoma longifolia, originally from Malaysia, makaroo from Peru, horny goatweed from China, and tribulus from India.
[01:30:48.000 --> 01:30:58.000]  Reach your alpha male potential with Alpha Power. Get Alpha Power now at 50% off and secure your bottle today.
[01:30:58.000 --> 01:31:10.000]  Top scientists and researchers agree we are being hit by toxic weapons in the food and water supply that are making us fat, sick, and stupid.
[01:31:10.000 --> 01:31:18.000]  So what do we do about it? Well, for starters, don't just sit there and take it. Fight back with the all-new, supercharged
[01:31:18.000 --> 01:31:28.000]  Brain Force Plus and feel the rush without the crash. Brain Force Plus is the next generation of advanced neural activation and
[01:31:28.000 --> 01:31:37.000]  and now we've added a brand new ingredient called black pepper fruit extract that gives you an added kick.
[01:31:37.000 --> 01:31:50.000]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state of mind.
[01:31:50.000 --> 01:31:58.000]  It's the real deal. Brain Force Plus. Secure your bottle right now at infowarstore.com.
[01:31:58.000 --> 01:32:10.000]  You deserve a deep restful sleep with Knockout by InfoWarsLife. Our organic formula is made from high quality natural ingredients such as valerian root extract,
[01:32:10.000 --> 01:32:19.000]  L-tryptophan, lemon balm leaf extract, and melatonin. Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[01:32:19.000 --> 01:32:28.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[01:32:28.000 --> 01:32:35.000]  Our natural mixture harnesses the power of ten known ingredients to let your body relax and get the sleep you need.
[01:32:35.000 --> 01:32:46.000]  Wake up refreshed and take on the day. InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[01:32:46.000 --> 01:32:57.000]  Get the sleep you deserve and experience the power of Knockout. Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[01:33:16.000 --> 01:33:20.000]  Everything they had, everything they threw against us, failed.
[01:33:20.000 --> 01:33:30.000]  Now, just because we defeated these tyrants for now, doesn't mean we've won the war. The war has happened within our hearts, within our souls and our minds.
[01:33:30.000 --> 01:33:40.000]  We have to be good. We have to be pure. We have to be strong. We have to build prosperity. We have to bring everyone of every race, color, and creed together
[01:33:40.000 --> 01:33:46.000]  if we're going to truly defeat these tyrants who believed we were going to fail, who believed their divide and conquer would work.
[01:33:46.000 --> 01:33:55.000]  Yes, we've won the first phase, but the battle for the soul of humanity has just begun.
[01:33:55.000 --> 01:34:15.000]  But Obama and Hillary and Soros, he were losers from the day you were born.
[01:34:15.000 --> 01:34:25.000]  This is the heart of 1776. Get a white male. It's also what happens when you listen to the radio host, Alex Jones.
[01:34:25.000 --> 01:34:29.000]  Move, bitch! Get out of the way!
[01:34:29.000 --> 01:34:35.000]  We pledge allegiance to one flag and that flag is the American flag.
[01:34:35.000 --> 01:34:39.000]  Infowars helped fuel the rumor that President Obama is an ISIS supporter.
[01:34:39.000 --> 01:34:49.000]  It's been a cozy relationship from the beginning. I will not let you down. You'll be very, very impressed, I hope, and I think we'll be speaking alive.
[01:34:49.000 --> 01:34:57.000]  Donald Trump and Alex Jones. This means that Donald Trump will be the 45th President of the United States.
[01:34:57.000 --> 01:35:03.000]  Waging war on corruption. It's Alex Jones.
