[00:00:07.412 --> 00:00:11.794]  Ladies and gentlemen.
[00:48:32.264 --> 00:48:35.285]  Before it's time for me to complete my mission.
[00:48:35.285 --> 00:48:37.666]  My mission is far from done.
[00:48:37.666 --> 00:48:41.548]  Our most important work is now at hand.
[00:48:41.548 --> 00:48:45.730]  But I would tell you that you really should go to mfulwrestore.com.
[00:48:45.730 --> 00:48:56.194]  We saw massive increases in sales of vitamin D3 and zinc at mfulwrestore.com when Fauci came out and said, you've got to have it to live.
[00:48:56.194 --> 00:48:57.715]  Why do we need Fauci to tell us that?
[00:48:59.113 --> 00:49:02.718]  I don't take zinc and vitamin D3 because I'm worried about COVID.
[00:49:02.718 --> 00:49:09.187]  I take it because you have to have it to live, and any virus or bacteria will kill you if you don't have it.
[00:49:09.187 --> 00:49:11.750]  Almost no one dies of starvation.
[00:49:11.750 --> 00:49:14.174]  They always shrivel up, get unhealthy, and die of a virus.
[00:49:15.384 --> 00:49:21.607]  They never call it starvation in Africa, or Latin America, or areas of Asia, or areas of, poor areas of Europe or the US.
[00:49:21.607 --> 00:49:33.012]  They always, oh, there was a sickly child, or it was a sickly old woman, and they die from a cold or a flu because they don't have their nutrients.
[00:49:33.012 --> 00:49:39.895]  And I've literally had people on the street ask me, and guests ask, when they're getting on to be a guest, they go, hey, does Alex really believe in those things they sell?
[00:49:39.895 --> 00:49:42.056]  You don't need to believe me!
[00:49:42.056 --> 00:49:43.256]  Go research it!
[00:49:43.256 --> 00:49:43.957]  Essential!
[00:49:46.089 --> 00:49:49.031]  And it's essential that you drink purified water.
[00:49:49.031 --> 00:49:52.814]  It's essential that you take care of yourself and your family.
[00:49:52.814 --> 00:50:00.159]  We have all those needs, and we have the best, highest quality, affordable food, the lowest price you're going to find, ready to ship from one to two weeks.
[00:50:00.159 --> 00:50:01.960]  MyPatriot runs our back end.
[00:50:01.960 --> 00:50:02.761]  It's ordering from us.
[00:50:02.761 --> 00:50:03.641]  It's ordering from them.
[00:50:03.641 --> 00:50:05.102]  Same price, same selection.
[00:50:05.102 --> 00:50:05.963]  You get right in the cube.
[00:50:07.295 --> 00:50:12.819]  You don't hear my Patriot running ads on Glenn Beck or Rush Limbaugh like I normally do because they had so much business they don't need to.
[00:50:12.819 --> 00:50:14.260]  But I'm a partner.
[00:50:14.260 --> 00:50:17.963]  So we have the food and you get it the quickest with us.
[00:50:17.963 --> 00:50:19.865]  Now here's, I met with Matt Redhawk.
[00:50:19.865 --> 00:50:21.166]  He flew here to tell me this.
[00:50:21.166 --> 00:50:22.667]  He said I could talk about it on air.
[00:50:22.667 --> 00:50:24.628]  I'm trying to get their CEO on tomorrow.
[00:50:24.628 --> 00:50:28.031]  They're the biggest food company now in the world for storable food because they're respected and good.
[00:50:28.031 --> 00:50:30.232]  Only 13 years old, 14 years old.
[00:50:30.232 --> 00:50:30.633]  He said,
[00:50:32.779 --> 00:50:35.161]  Listen, we haven't raised food prices yet.
[00:50:35.161 --> 00:50:38.223]  He showed me this, you know, the numbers.
[00:50:38.223 --> 00:50:42.766]  He goes, we're barely making any money right now with the deals you've got, which is okay.
[00:50:42.766 --> 00:50:43.687]  We're getting great customers.
[00:50:43.687 --> 00:50:45.168]  It's a submission that we have.
[00:50:45.168 --> 00:50:46.769]  We believe in it.
[00:50:46.769 --> 00:50:47.970]  We've had to expand all these factories.
[00:50:47.970 --> 00:50:50.432]  We had to buy up, you know, food contracts a couple of years out.
[00:50:50.432 --> 00:50:52.894]  We had meetings about that eight months ago and I advised him.
[00:50:52.894 --> 00:50:54.535]  I said, I think your instincts are right.
[00:50:54.535 --> 00:50:57.337]  When everybody else wasn't sure what to do, I said, buy everything into your hands on this quality.
[00:50:59.042 --> 00:51:01.484]  They're in a position now to ship within one to two weeks.
[00:51:01.484 --> 00:51:08.410]  They've got four, actually five factories and a bunch of distribution centers.
[00:51:08.410 --> 00:51:12.014]  They've now set one up in Austin as well, so it's at six.
[00:51:12.014 --> 00:51:21.742]  And they said definitely by Christmas they're going to have to raise prices because food prices have gone up 20 to 50 percent.
[00:51:24.005 --> 00:51:32.191]  And they're in fights with Costco and Walmart and everybody else and the big manufacturers of food, the big makers of it.
[00:51:32.191 --> 00:51:34.713]  Only manufacturer, you know, they prepare it.
[00:51:34.713 --> 00:51:36.554]  They process it to work.
[00:51:36.554 --> 00:51:45.741]  And the supply chains are breaking down and the prices have gone way up and he's basically not even making money right now with the deals he's got with me because I got a good deal with him.
[00:51:48.291 --> 00:51:51.693]  And so, this is the time to get your storable food before the prices go up.
[00:51:51.693 --> 00:51:57.476]  Go to InfoWarsStore.com, the full selection of MyPayTreat supplies there.
[00:51:57.476 --> 00:51:59.217]  And they've got specialty diets, they've got it all.
[00:51:59.217 --> 00:52:01.058]  Three-month, six-month year supplies.
[00:52:01.058 --> 00:52:03.579]  They have the best internal packaging, external packaging.
[00:52:03.579 --> 00:52:13.064]  I mean, you go buy plastic tote containers, you put ammunition in or whatever, they basically cost at Walmart as much as this costs with food in it.
[00:52:13.064 --> 00:52:14.125]  And it's containers like that.
[00:52:14.125 --> 00:52:16.406]  I mean, these are first-class sealed containers.
[00:52:17.685 --> 00:52:20.187]  Open it up and then the top goes back on and seals.
[00:52:20.187 --> 00:52:21.968]  It's amazing.
[00:52:21.968 --> 00:52:28.814]  And I know I harp on the containers all the time because so much horrible food is not high quality or the containers suck and then they fall apart and stuff can get into it.
[00:52:28.814 --> 00:52:29.675]  Not these.
[00:52:29.675 --> 00:52:30.535]  It's the best.
[00:52:30.535 --> 00:52:31.576]  That's why I went out and chose them.
[00:52:31.576 --> 00:52:32.797]  I want long-term relationships.
[00:52:32.797 --> 00:52:34.518]  I want you to get a great deal.
[00:52:34.518 --> 00:52:35.659]  I want you to want to come back.
[00:52:35.659 --> 00:52:36.840]  I want to treat you like I want to be treated.
[00:52:36.840 --> 00:52:38.341]  That's just common sense business.
[00:52:38.341 --> 00:52:39.462]  Infoworkstore.com.
[00:52:39.462 --> 00:52:41.924]  Also, all apparel is $17.76 right now.
[00:52:44.918 --> 00:52:45.679]  And free shipping.
[00:52:45.679 --> 00:52:47.100]  InfowarStore.com.
[00:52:47.100 --> 00:52:48.361]  And we have this new big special.
[00:52:48.361 --> 00:52:52.645]  50% off DNA Force Plus with free shipping.
[00:52:52.645 --> 00:53:00.171]  And that's got the PQQ, the CoQ10, the Organic Reishi, the Stragalus, and Broccoli Root, and even more incredible ingredients.
[00:53:00.171 --> 00:53:02.594]  EL, EV, ATP, so much more.
[00:53:02.594 --> 00:53:05.276]  You want to clean your cells out.
[00:53:05.276 --> 00:53:06.757]  InfowarStore.com.
[00:53:06.757 --> 00:53:10.260]  Get your X2, get your X3, get your DNA Force Plus today.
[00:53:10.260 --> 00:53:10.721]  We've got the
[00:53:12.213 --> 00:53:12.513]  Thank you.
[00:53:35.652 --> 00:53:41.536]  Under major attack, under daily hack attacks and everything else that's going on in their attempts to shut down our business operations.
[00:53:41.536 --> 00:53:42.496]  We really need your support.
[00:53:42.496 --> 00:53:43.657]  These are great products you already need.
[00:53:43.657 --> 00:53:47.879]  So, if you've been on the fence, haven't gotten the products you should, if you haven't reordered in a while but like the products, do it again.
[00:53:47.879 --> 00:53:48.780]  You should stock up.
[00:53:48.780 --> 00:53:50.121]  You should buy from friends and family.
[00:53:50.121 --> 00:53:52.142]  Do your Christmas shopping now with us.
[00:53:52.142 --> 00:53:53.323]  Christmas is only a few months away.
[00:53:53.323 --> 00:53:55.004]  Why go out and deal with lines?
[00:53:55.004 --> 00:53:56.004]  Why deal with all the stuff?
[00:53:56.004 --> 00:53:57.946]  Why not just get your Christmas presents now?
[00:53:57.946 --> 00:53:59.306]  Give it to friends and family.
[00:53:59.306 --> 00:54:00.167]  Take action now.
[00:54:00.167 --> 00:54:01.448]  Now's the time.
[00:54:01.448 --> 00:54:03.389]  The fight is intensifying so incredibly right now.
[00:54:03.869 --> 00:54:08.474]  I need extra funds in our operational system to know that we can operate into the future.
[00:54:08.474 --> 00:54:13.619]  And I'm not, I can't get into the reasons why, strategic reasons, but just believe me.
[00:54:13.619 --> 00:54:14.981]  You want to keep us on air?
[00:54:14.981 --> 00:54:15.882]  Act now.
[00:54:15.882 --> 00:54:16.823]  Don't wait.
[00:54:16.823 --> 00:54:18.845]  And these are products that you're really missing out on.
[00:54:18.845 --> 00:54:20.466]  Just the X2 and the DNA Force Plus alone.
[00:54:20.466 --> 00:54:20.606]  Okay.
[00:54:20.606 --> 00:54:21.067]  All right.
[00:54:21.067 --> 00:54:22.068]  I'm done plugging.
[00:54:22.068 --> 00:54:22.569]  We come back.
[00:54:23.666 --> 00:54:27.608]  I'll get into the latest attacks on free speech that are frauds within frauds.
[00:54:27.608 --> 00:54:29.848]  The latest on the race wars are trying to start.
[00:54:29.848 --> 00:54:35.010]  BLM admitting that their roots are Satanism and human sacrifice, murder, and so much more.
[00:54:35.010 --> 00:54:35.331]  Stay with us.
[00:54:35.331 --> 00:54:36.011]  We'll be right back.
[00:54:36.011 --> 00:54:38.352]  Infowars.com, Newswars.com.
[00:54:38.352 --> 00:54:39.732]  Tomorrow's news today.
[00:54:39.732 --> 00:54:44.314]  Thank you.
[00:54:44.314 --> 00:54:47.275]  A little more than a decade ago, it happened in Salt Lake City, Utah.
[00:54:49.292 --> 00:54:55.757]  The public came out on a very clear day and looked up more than 60,000 feet and saw what they thought was a giant UFO.
[00:54:55.757 --> 00:55:01.342]  It was actually a large DARPA government surveillance blimp.
[00:55:01.342 --> 00:55:07.146]  There were thousands of phone calls made to the police departments, newspapers, TV stations, thinking it was an alien craft.
[00:55:07.146 --> 00:55:10.009]  When the public was told that it was a blimp, they didn't want to believe it.
[00:55:10.009 --> 00:55:13.511]  You see, they'd already told themselves it was a UFO, so they
[00:55:14.656 --> 00:55:17.258]  That's called a highly suggestible group of slaves
[00:55:44.813 --> 00:55:47.460]  The clock is ticking on the once free world.
[00:55:48.564 --> 00:55:51.787]  And the free press is under attack more than ever.
[00:55:51.787 --> 00:56:02.295]  I now see videos 10 or 15 times a day, without even trying to find them, of press being arrested in the United States, press being arrested in Canada, the UK, Europe, Australia, New Zealand.
[00:56:02.295 --> 00:56:07.059]  And it's always the so-called liberal left, the defenders of speech, doing it.
[00:56:07.059 --> 00:56:14.105]  They are the authoritarians, they work for the Chi-Com globalist combine, and they are working around the clock
[00:56:15.046 --> 00:56:16.848]  to silence InfoWars.
[00:56:16.848 --> 00:56:21.992]  Just as we were the group they started with three years ago, they test out everything new on us.
[00:56:21.992 --> 00:56:24.594]  And a lot of it I can't get into on air at this point.
[00:56:24.594 --> 00:56:34.202]  I'll be able to reveal this later, but I just want to make you all realize that your support, your word of mouth, your prayer is absolutely essential, and I thank you all for it.
[00:56:34.202 --> 00:56:41.548]  But whatever you do, take advantage of the great products that support the InfoWar and make your life healthier and better at InfoWarsTore.com.
[00:56:41.548 --> 00:56:43.090]  Please go to InfoWarsTore.com today.
[00:56:47.498 --> 00:56:54.102]  You're listening to the Alex Jones Show.
[00:56:54.102 --> 00:57:03.567]  You know, if anything that's happening at CNN and anybody who buys your book, it's really just one of those things that is dividing our nation.
[00:57:03.567 --> 00:57:05.648]  And I don't believe in dividing our nation.
[00:57:05.648 --> 00:57:07.609]  It hurts our great nation.
[00:57:07.609 --> 00:57:11.111]  And so CNN is really the enemy of the truth.
[00:57:11.111 --> 00:57:12.292]  And that's my opinion.
[00:57:12.292 --> 00:57:12.612]  Thank you.
[00:57:13.723 --> 00:57:16.504]  No American is an enemy of another American.
[00:57:16.504 --> 00:57:18.805]  No News Outlet is an enemy of America.
[00:57:18.805 --> 00:57:29.048]  No News Outlet is an enemy of America.
[00:57:29.048 --> 00:57:32.889]  No News Outlet is an enemy of America.
[00:57:32.889 --> 00:57:35.150]  No News Outlet is an enemy of America.
[00:58:10.500 --> 00:58:13.082]  No news outlet is an enemy of America!
[00:58:13.082 --> 00:58:14.583]  Bill Gates wants you!
[00:58:14.583 --> 00:58:19.586]  Take the vaccine!
[00:58:19.586 --> 00:58:20.107]  Don't run!
[00:58:20.107 --> 00:58:22.729]  CNN's your friend!
[00:58:22.729 --> 00:58:23.849]  This is CNN.
[00:58:26.977 --> 00:58:33.500]  Right in front of our very eyes, we are seeing the globalist deep state at work.
[00:58:33.500 --> 00:58:36.221]  Black Lives Matter and Antifa.
[00:58:36.221 --> 00:58:41.403]  What a terrible, terrible blight upon all people.
[00:58:41.403 --> 00:58:51.287]  Antifa, which they claim means anti-fascist, is absurd, ludicrous, and totally opposite of what they claim to be.
[00:58:51.287 --> 00:58:53.508]  They are not anti-fascist.
[00:58:53.508 --> 00:58:55.249]  They are the fascists.
[00:58:55.809 --> 00:58:57.330]  Black Lives Matter.
[00:58:57.330 --> 00:58:58.311]  It's a ruse.
[00:58:58.311 --> 00:58:59.792]  R-U-S-E.
[00:58:59.792 --> 00:59:06.256]  If Black Lives Matter, then why don't we do something about what is happening?
[00:59:06.256 --> 00:59:07.737]  Blacks on Blacks.
[00:59:07.737 --> 00:59:08.917]  Killing Blacks.
[00:59:08.917 --> 00:59:13.760]  In places like Chicago, Detroit, Baltimore, Washington, D.C.
[00:59:13.760 --> 00:59:16.402]  It's an endless list that won't be missed.
[00:59:16.402 --> 00:59:22.926]  So, the bottom line here is that it's about divide, confusion, chaos, and conquer.
[00:59:23.644 --> 00:59:37.155]  What we're watching here is insanity, and particularly the deep state Democrats and their seditious, despicable, lying media are fanning the flames.
[00:59:37.155 --> 00:59:40.898]  I urge all of my brothers and sisters, don't go for the ghost.
[00:59:41.878 --> 00:59:44.920]  Okay, don't be Duke, Hoodwink, Bamboozle.
[00:59:44.920 --> 00:59:45.601]  Okay?
[00:59:45.601 --> 00:59:49.844]  Understand that we are in this struggle as patriots, as U.S.
[00:59:49.844 --> 00:59:51.746]  citizens, together.
[00:59:51.746 --> 00:59:55.949]  What we have on our side is we have each other.
[00:59:55.949 --> 00:59:57.150]  Each other.
[00:59:57.150 --> 00:59:59.452]  And that's extremely powerful.
[00:59:59.452 --> 01:00:05.296]  And that's something that the media, the deep state Democrats, and the rhino Republicans
[01:00:05.376 --> 01:00:05.656]  We're good.
[01:00:21.963 --> 01:00:24.265]  This is our republic.
[01:00:24.265 --> 01:00:34.572]  This is all about fun and games and hurting people and destroying, not building, not serving the people, body and soul, but the exact opposite.
[01:00:34.572 --> 01:00:43.497]  So I plead with, implore with, to all my brothers and sisters of all colors, get a grip on reality.
[01:00:43.497 --> 01:00:45.018]  Stop this madness.
[01:00:45.018 --> 01:00:46.540]  Stop this insanity.
[01:00:46.540 --> 01:00:50.982]  And those who won't stop it need to be stopped.
[01:00:52.243 --> 01:00:57.405]  Larry Pinkney, an original Black Panther, the real deal.
[01:00:57.405 --> 01:00:57.905]  The answer to 1984, 1776.
[01:00:57.905 --> 01:00:58.545]  Infowars has been banned.
[01:01:13.869 --> 01:01:17.791]  Arrested.
[01:01:17.791 --> 01:01:20.553]  Attacked and threatened.
[01:01:20.553 --> 01:01:23.874]  Because we are effective.
[01:01:23.874 --> 01:01:25.695]  The Great Awakening is here.
[01:01:25.695 --> 01:01:27.976]  Go to band.video.
[01:01:27.976 --> 01:01:32.099]  Download the videos and share.
[01:01:32.099 --> 01:01:35.781]  Support the Information War at infowarestore.com.
[01:01:39.409 --> 01:01:41.291]  And never give up the fight.
[01:01:41.291 --> 01:01:44.235]  Believe me, this is the fight.
[01:01:44.235 --> 01:01:49.140]  Alright, we're 60 seconds away from news, information, and so much more.
[01:01:49.140 --> 01:01:53.425]  Stay with us.
[01:01:53.425 --> 01:01:56.088]  I don't want to be right about this prediction.
[01:01:56.829 --> 01:01:59.510]  In fact, it's not a prediction.
[01:01:59.510 --> 01:02:01.751]  It is a forecast.
[01:02:01.751 --> 01:02:18.980]  If we continue down the economic road we're on globally with the ongoing COVID-19 lockdowns and the structure of productivity, it will continue to accelerate these ripple effects that are breaking down supply chains that will starve tens of millions of additional people in the third world and destroy decades of human infrastructure.
[01:02:19.760 --> 01:02:20.421]  That's been built.
[01:02:20.421 --> 01:02:27.367]  It will annihilate the funding of that and put the entire first world in even deeper debt, which we're being maneuvered into.
[01:02:27.367 --> 01:02:38.817]  So I really think the smart move is to end all these lockdowns immediately and prosecute the people that launched the giant COVID scam, the giant COVID con game.
[01:02:38.817 --> 01:02:39.958]  That's really just a big power grab.
[01:02:40.598 --> 01:02:46.262]  But, in case we can't reverse all this, we better start digging in and getting storable food, and getting prepared to be self-sufficient.
[01:02:46.262 --> 01:02:49.024]  Because that's the name of their game, is to make us dependent on them.
[01:02:49.024 --> 01:03:05.277]  So get self-sufficient now, in fullwars.com.
[01:03:05.277 --> 01:03:06.098]  If you just joined us,
[01:03:07.222 --> 01:03:10.866]  Some stations don't carry that first five minutes, but some stations do, so we do it.
[01:03:10.866 --> 01:03:25.760]  I've forgotten about a minute and a half of what Larry Pinckney, one of the founders of the Real Black Panther Party, had to say about BLM and Antifa, and it's just pure oratory truth.
[01:03:25.760 --> 01:03:28.383]  You know, there was the father of rhetoric was a Greek.
[01:03:30.015 --> 01:03:33.878]  And I forget his name, but they said he has a perfect orator.
[01:03:33.878 --> 01:03:38.761]  Well, truth is the perfect rhetoric.
[01:03:38.761 --> 01:03:43.564]  And so at the bottom of the hour, I'm going... No, I'll air it at the end of this segment.
[01:03:43.564 --> 01:03:45.346]  I'll show you the bad stuff, and then we'll get to the good stuff.
[01:03:45.346 --> 01:03:47.747]  I'm going to play it again.
[01:03:47.747 --> 01:03:51.230]  And we should have... Larry Pinkney should have his own show.
[01:03:53.170 --> 01:03:54.431]  He should really be on more.
[01:03:54.431 --> 01:03:58.473]  I know he takes care of his family and a bunch of people where he lives.
[01:03:58.473 --> 01:04:01.294]  But I mean, imagine the system wanted that.
[01:04:01.294 --> 01:04:02.735]  That was the real Black Panther.
[01:04:02.735 --> 01:04:09.278]  Super smart, well-spoken, but then they got set up and infiltrated like American militias do and put in jail.
[01:04:09.278 --> 01:04:13.520]  The new Black Panther Party is run by the Southern Poverty Law Center and ADL.
[01:04:13.520 --> 01:04:16.882]  It's a terrorist organization, basically a black supremacist group.
[01:04:19.238 --> 01:04:24.363]  Spouting the most horrible things, but that's just where all this goes.
[01:04:24.363 --> 01:04:26.365]  And I don't show these things to inflame folks.
[01:04:26.365 --> 01:04:28.307]  I show this to expose who's behind it.
[01:04:28.307 --> 01:04:35.515]  The FBI leaked, that's a good start, to CBS News that Antifa is run by a Democratic Party, basically.
[01:04:35.515 --> 01:04:38.258]  But they said, oh, we just know it's organized.
[01:04:38.258 --> 01:04:41.301]  Well, last hour I showed their founding documents, their funding.
[01:04:42.793 --> 01:04:44.794]  Full-page ads the group buys in the New York Times.
[01:04:44.794 --> 01:04:47.054]  I mean, you don't know who's organizing it?
[01:04:47.054 --> 01:04:49.035]  Antifa begins the overthrow of Trump.
[01:04:49.035 --> 01:04:50.315]  Pence, full-page ads.
[01:04:50.315 --> 01:04:52.395]  Got the name of the group funding it right there.
[01:04:52.395 --> 01:04:56.036]  They get money from the Communist Chinese Party.
[01:04:56.036 --> 01:05:02.998]  I thought this was important enough four or five years ago to infiltrate it with an undercover person.
[01:05:02.998 --> 01:05:06.679]  And we did typecast somebody and find somebody that looked like they were a meth head, but they were a good guy.
[01:05:06.679 --> 01:05:08.219]  They had health problems.
[01:05:08.219 --> 01:05:10.000]  Because they looked like a ghoul, they were allowed in.
[01:05:11.327 --> 01:05:13.349]  You think I'm joking?
[01:05:13.349 --> 01:05:15.371]  I told you that Confucius Institute was running them.
[01:05:15.371 --> 01:05:17.753]  Notice that got shut down two years later.
[01:05:17.753 --> 01:05:19.154]  Can't make this stuff up, so...
[01:05:33.740 --> 01:05:34.501]  Alex Jones here.
[01:05:34.501 --> 01:05:35.903]  He just joined us.
[01:05:35.903 --> 01:05:37.164]  I'd like to say my name over and over again.
[01:05:37.164 --> 01:05:40.749]  We're on hundreds of radio stations, so I have to announce each segment who I am.
[01:05:40.749 --> 01:05:46.296]  Everybody's now basically online, so when they hear an actual radio show online or TV show online, they're like, why is he saying his name?
[01:05:46.296 --> 01:05:50.501]  Because on radio you have to, or the stations turn you off.
[01:05:50.501 --> 01:05:51.202]  But continuing...
[01:05:52.947 --> 01:05:58.669]  And our other host Owen's amazing, and David Knight's amazing, but we've always got to remember, radio stations are picking us up.
[01:05:58.669 --> 01:05:59.929]  So we have to narrate things.
[01:05:59.929 --> 01:06:02.430]  That's our main audience, it's still radio.
[01:06:02.430 --> 01:06:05.171]  So the deplatforming didn't work, thank God.
[01:06:05.171 --> 01:06:09.372]  It's all our great affiliates, so they are beyond critical, they are paramount to support.
[01:06:09.372 --> 01:06:10.232]  You're a listener.
[01:06:10.232 --> 01:06:12.132]  Does your local church really fight the Satanists?
[01:06:12.132 --> 01:06:14.793]  Does it really fight abortion like we do?
[01:06:14.793 --> 01:06:16.994]  And I'm not up here like a Pharisee saying I'm great.
[01:06:16.994 --> 01:06:20.635]  Those local stations are doing God's work more than that little whorehouse church.
[01:06:21.943 --> 01:06:24.685]  So give them $100 a month.
[01:06:24.685 --> 01:06:27.547]  Tithe to those local radio stations if you want to win.
[01:06:27.547 --> 01:06:29.968]  I'm not here telling you what to do, I'm telling you what I'd do.
[01:06:29.968 --> 01:06:32.730]  And you know it's the right thing to do.
[01:06:32.730 --> 01:06:33.571]  Alright, continuing here.
[01:06:35.373 --> 01:06:40.537]  And it's so changed the face of the country, folks, that our listeners support our local stations.
[01:06:40.537 --> 01:06:51.004]  I can't tell you how many stations pick us up at night for a year or so that move us to earlier in the evening and then end up taking us live because they get ratings, the people support them, and it's the truth!
[01:06:51.004 --> 01:07:01.212]  And now more stations pick us up because it used to sound crazy, I know, but now, see, we're normalized because we've now gotten to the chapter of the book that I was telling you was coming.
[01:07:02.199 --> 01:07:04.620]  And now you hear me telling you the next chapter I knew about.
[01:07:04.620 --> 01:07:08.481]  You weren't ready to hear it.
[01:07:08.481 --> 01:07:12.722]  That this isn't humans running this.
[01:07:12.722 --> 01:07:14.703]  Those who don't believe in God call it aliens.
[01:07:14.703 --> 01:07:15.783]  We read the Bible.
[01:07:15.783 --> 01:07:19.644]  Tells us it's a fallen entity in another dimension.
[01:07:19.644 --> 01:07:21.445]  But right next to us.
[01:07:21.445 --> 01:07:22.825]  And his soldiers.
[01:07:22.825 --> 01:07:24.566]  Right next to us.
[01:07:24.566 --> 01:07:27.227]  And the mission is exterminate all life on Earth.
[01:07:27.227 --> 01:07:27.747]  Not just human.
[01:07:30.367 --> 01:07:34.568]  You look at what the globalists are doing, that's what they're doing.
[01:07:34.568 --> 01:07:37.009]  And that leads me to this before I get into all the Antifa stuff.
[01:07:37.009 --> 01:07:38.849]  I'm glad that they just put that on screen.
[01:07:38.849 --> 01:07:44.311]  They reminded me, I almost started the show with this today, to talk about the delusions.
[01:07:44.311 --> 01:07:53.533]  When Orson Welles did a radio broadcast, I forget, when was it, the 30s?
[01:07:53.533 --> 01:07:57.454]  Look up when Orson Welles did that, guys, War of the Worlds.
[01:07:57.454 --> 01:07:58.975]  And he said, Martians are attacking.
[01:08:00.913 --> 01:08:02.434]  And they've got tripod legs.
[01:08:02.434 --> 01:08:07.699]  People went outside with their 30-odd sixes and shot water towers.
[01:08:07.699 --> 01:08:09.700]  Because it was so well done how he did the hoax.
[01:08:10.796 --> 01:08:18.361]  Well, I remember over 10 years ago, there was a big blimp over Salt Lake City, super high, it was a DARPA blimp, and people thought it was a UFO.
[01:08:18.361 --> 01:08:20.342]  They zoomed in on it, it had propellers on it.
[01:08:20.342 --> 01:08:26.485]  Well, over New Jersey was the Goodyear blimp with big flashing ads on it and flashing security lights.
[01:08:26.485 --> 01:08:28.267]  We'll play that audio in a moment.
[01:08:28.267 --> 01:08:31.529]  And thousands of cars, not, not, the headline says, Dozens Stop.
[01:08:31.529 --> 01:08:32.749]  We see dozens on that tape.
[01:08:32.749 --> 01:08:33.570]  I saw the other footage.
[01:08:33.570 --> 01:08:37.092]  The highways stopped because people were so ignorant
[01:08:38.709 --> 01:08:38.729]  1938.
[01:08:38.729 --> 01:08:39.930]  He did that.
[01:08:39.930 --> 01:08:40.291]  October 30th.
[01:08:40.291 --> 01:08:45.757]  War of the Worlds.
[01:08:45.757 --> 01:08:53.946]  They were so ignorant and so disconnected from reality that when they saw a blimp, they saw aliens because the media talked about aliens.
[01:08:53.946 --> 01:08:57.930]  Aliens aren't going to come in a big flying saucer, folks.
[01:08:57.930 --> 01:08:58.611]  They're already here.
[01:09:01.064 --> 01:09:09.189]  And in laboratories, they've already created thousands of species, they admit, that have no human or animal or plant DNA or RNA.
[01:09:09.189 --> 01:09:13.031]  They've just manufactured, they call it nanotech, but it's living.
[01:09:13.031 --> 01:09:14.692]  That's alien.
[01:09:14.692 --> 01:09:22.517]  Aliens could send us, over the radio telescope, a code to resequence DNA or RNA and we could build an alien here.
[01:09:22.517 --> 01:09:24.599]  They made the movie Species about that.
[01:09:24.599 --> 01:09:29.802]  Well, I can tell you, they've taken some of the radio stuff they know is obviously not just random
[01:09:31.018 --> 01:09:33.100]  Pulsar stars and things like that.
[01:09:33.100 --> 01:09:34.541]  And they've been doing that.
[01:09:34.541 --> 01:09:39.004]  So they've been getting some messages as well in this dimension.
[01:09:39.004 --> 01:09:42.267]  So let's talk about the reality of this.
[01:09:42.267 --> 01:09:51.694]  Go ahead and roll the audio in New Jersey for radio listeners of the public thinking it's a flying saucer even though there's a Jumbotron TV on the side of it with Miller Lite commercials.
[01:09:51.694 --> 01:09:52.035]  Here it is.
[01:09:54.306 --> 01:09:55.907]  Look, the whole street is f***ed up.
[01:09:55.907 --> 01:09:57.728]  This is a f***ing flying spaceship.
[01:09:57.728 --> 01:09:59.388]  Yo, look at that.
[01:09:59.388 --> 01:10:02.970]  Look at everybody in the highway right now.
[01:10:19.944 --> 01:10:20.605]  I don't know bro.
[01:10:20.605 --> 01:10:21.025]  Donald Trump
[01:10:47.625 --> 01:11:01.373]  Now, speaking of aliens... So again, 14 black men are killed wrongfully each year by police where they didn't have a gun, turns out it's a mistake.
[01:11:01.373 --> 01:11:03.214]  It's about 14.
[01:11:03.214 --> 01:11:05.335]  2,000 die a year at the hands of black men.
[01:11:05.335 --> 01:11:06.356]  Black men do.
[01:11:06.356 --> 01:11:12.999]  In Chicago, no one cares.
[01:11:12.999 --> 01:11:15.501]  Again, that's perception over reality.
[01:11:16.462 --> 01:11:20.424]  And they'll tell you in advertising, I never believe this, I think it's a fraud, that perception is reality.
[01:11:20.424 --> 01:11:21.044]  No, it's not.
[01:11:21.044 --> 01:11:27.288]  You can take ten hits of acid, get up on a fifty-story building, and think you are a duck that's going to fly down to the bottom.
[01:11:27.288 --> 01:11:30.629]  And you jump off and you die.
[01:11:30.629 --> 01:11:33.151]  You can imagine that you're a pterodactyl and you're going to fly off.
[01:11:33.151 --> 01:11:36.352]  No, you die unless you've got a parachute.
[01:11:36.352 --> 01:11:38.113]  So perception is not reality.
[01:11:38.113 --> 01:11:39.754]  Perception is delusion.
[01:11:43.760 --> 01:11:50.663]  But you've got black people all over the United States killing white people every day.
[01:11:50.663 --> 01:11:59.466]  Because they believe there's an epidemic of black people being killed by police officers, and then you go talk to the Black Lives Matter events, we've done it.
[01:11:59.466 --> 01:12:04.528]  You've seen the videos that we've shot, Owen's shot, Savannah Hernandez, myself, many others.
[01:12:04.528 --> 01:12:12.171]  And we go, hey, you know, statistically, they've killed 23 million black people, and police total kill about 200 black people a year.
[01:12:13.638 --> 01:12:14.858]  Shut up!
[01:12:14.858 --> 01:12:17.299]  Nazi, I'm going to knock you in your head!
[01:12:17.299 --> 01:12:19.479]  You racist KKK!
[01:12:19.479 --> 01:12:20.920]  And I'm like, actually, that's Hillary.
[01:12:20.920 --> 01:12:21.720]  That's them.
