[00:00.000 --> 00:01.020]  In the conditioning!
[01:10:32.420 --> 01:10:37.820]  covering up for it and if you criticize murder, death, sexual mutilation in Europe, you get
[01:10:37.820 --> 01:10:42.900]  arrested so it's protected and so that makes me go after it more.
[01:10:42.900 --> 01:10:49.340]  So Islam needs a reformation and by the way, we don't respond to people criticizing us
[01:10:49.340 --> 01:10:52.180]  when we criticize Islam by kissing Islam's ass.
[01:10:52.180 --> 01:10:56.220]  We are just trying to be really fair and balanced here to look at what's happening, but I'm
[01:10:56.220 --> 01:11:01.140]  not going to sit here and when Christians get blown up and call it Easter worshipers,
[01:11:01.140 --> 01:11:04.820]  we're going to call it Christianity under attack, it is and for every Muslim that gets
[01:11:04.820 --> 01:11:11.580]  killed by a Christian, there's probably 500 Christians that get killed and so we're going
[01:11:11.580 --> 01:11:14.300]  to do what the establishment says we're not supposed to.
[01:11:14.300 --> 01:11:17.820]  They say we're not supposed to say that men can't compete in women's sports and then
[01:11:17.820 --> 01:11:20.820]  win every contest.
[01:11:20.820 --> 01:11:24.140]  Transgender athlete smashes four women's powerlifting records.
[01:11:24.140 --> 01:11:25.140]  This is a joke.
[01:11:25.140 --> 01:11:27.860]  You tell us not to, we're going to cover it.
[01:11:27.860 --> 01:11:33.980]  So here's Greg Rees' report that did you just go live on infowars.com, please share it,
[01:11:33.980 --> 01:11:40.540]  the true origins of Islamophobia.
[01:11:40.540 --> 01:11:47.780]  Early Christianity was centered on the relationship between God and the individual and after centuries
[01:11:47.780 --> 01:11:54.340]  of persecuting Christians, Rome created the Catholic Church, declared it the state religion
[01:11:54.340 --> 01:11:57.180]  and changed the Christian doctrine.
[01:11:57.180 --> 01:12:02.420]  Practicing Christianity was now legal so long as it was Catholic.
[01:12:02.420 --> 01:12:06.900]  There is clear evidence that every people have had their religions subverted from the
[01:12:06.900 --> 01:12:11.700]  truth, but none more egregiously than the Muslim.
[01:12:11.700 --> 01:12:16.900]  Before there was any such thing as Islam, there were Sufi Muslims and they lived in
[01:12:16.900 --> 01:12:20.900]  relative harmony amongst Christians and Jews.
[01:12:20.900 --> 01:12:25.740]  The Sufi way was similar to that of early Christianity.
[01:12:25.740 --> 01:12:32.220]  It taught that a personal relationship with God was not only achievable by the individual,
[01:12:32.220 --> 01:12:33.740]  but it was essential.
[01:12:33.740 --> 01:12:40.300]  The Sufi poets were philosophers sharing knowledge and ideas with the community and they always
[01:12:40.300 --> 01:12:46.420]  described the Prophet Muhammad as a wise man of admirable temperament.
[01:12:46.420 --> 01:12:51.140]  Similar to how the Christians described Christ.
[01:12:51.140 --> 01:12:56.860]  Hundreds of years later, a much different version of Muhammad was put forth by a priest
[01:12:56.860 --> 01:13:02.500]  class engaged in the bloodiest conquest of their time.
[01:13:02.500 --> 01:13:08.180]  They published and distributed the Quran and the Hadith and claimed they were the absolute
[01:13:08.180 --> 01:13:10.180]  word of God.
[01:13:10.180 --> 01:13:17.620]  A written ideology forced upon all Muslims that allows an unelected priest class to dictate
[01:13:17.620 --> 01:13:22.660]  the word of God and outlaw all opposing views.
[01:13:22.660 --> 01:13:29.300]  The Quran was accused of plagiarizing Sufi poems and Sufi Muslims were naturally reluctant
[01:13:29.300 --> 01:13:34.060]  to accept the clerics as middlemen between themselves and God.
[01:13:34.060 --> 01:13:39.420]  But Islam had zero tolerance for any opposition.
[01:13:39.420 --> 01:13:46.660]  Sufis were burned, Sufis were killed and Muslims were subjugated under the new law.
[01:13:46.660 --> 01:13:49.460]  Islam was brutal from the start.
[01:13:49.460 --> 01:13:54.780]  The Quran itself describes how people would pretend to be with Islam because they feared
[01:13:54.780 --> 01:13:57.140]  being killed.
[01:13:57.140 --> 01:14:03.940]  According to Islam, Muhammad himself had dozens killed for criticizing him.
[01:14:03.940 --> 01:14:11.580]  Many used the words extreme Islam or radical Islam to describe Islamic terrorism.
[01:14:11.580 --> 01:14:16.460]  But a better choice of words would be fundamentalist Islam.
[01:14:16.460 --> 01:14:22.180]  Because if you accept the Quran to be the literal word of God as Islam commands, then
[01:14:22.180 --> 01:14:29.180]  waging terror and jihad upon non-Muslims is absolutely the highest path.
[01:14:29.180 --> 01:14:35.140]  Even the most respected Muslim scholars agree that the final chapter of the Quran abrogates
[01:14:35.140 --> 01:14:41.940]  all else and the final chapter tells Muslims to fight Jews and Christians until they submit
[01:14:41.940 --> 01:14:44.460]  as willing slaves.
[01:14:44.460 --> 01:14:49.780]  According to the Hadith, Muhammad loved jihad so much that he prayed to be reincarnated
[01:14:49.780 --> 01:14:54.180]  so that he could fight and die over and over again.
[01:14:54.180 --> 01:14:59.860]  According to the Quran and Hadith, suicidal terrorists who kill non-Muslims are the heroes
[01:14:59.860 --> 01:15:01.580]  of Islam.
[01:15:01.580 --> 01:15:07.420]  The Quran teaches that Muslims are superior to all others and that Jews and Christians
[01:15:07.420 --> 01:15:09.860]  are the worst of creatures.
[01:15:09.860 --> 01:15:13.260]  It teaches that women are mentally deficient.
[01:15:13.260 --> 01:15:19.220]  It teaches Muslims to punish non-Muslims, make enemies with them and wage war against
[01:15:19.220 --> 01:15:20.220]  them.
[01:15:20.220 --> 01:15:27.580]  The Quran tells us that Allah granted Muslims the right to rape women and own sex slaves,
[01:15:27.580 --> 01:15:30.420]  including children who have not yet reached puberty.
[01:15:30.420 --> 01:15:33.620]  Alright folks, we're going to go to break.
[01:15:33.620 --> 01:15:34.740]  That's only half the report.
[01:15:34.740 --> 01:15:36.500]  It's up on infowars.com.
[01:15:36.500 --> 01:15:38.060]  You're welcome to debate it in the comments.
[01:15:38.060 --> 01:15:40.380]  It's also on newswars.com.
[01:15:40.380 --> 01:15:43.940]  The true origins of Islamophobia is up on the side.
[01:15:43.940 --> 01:15:46.700]  But we're going to shift gears and get into what I said I'd covered.
[01:15:46.700 --> 01:15:49.380]  And that's a Biden openly run by China.
[01:15:49.380 --> 01:15:50.580]  Will he be arrested?
[01:15:50.580 --> 01:15:52.100]  I think so.
[01:15:52.100 --> 01:15:54.140]  We either arrest all these people or they win.
[01:15:54.140 --> 01:15:57.820]  These are foreign traders.
[01:15:57.820 --> 01:16:02.940]  Fellow Patriots, my name is Todd Savage, founder of Black Rifle Real Estate dot com.
[01:16:02.940 --> 01:16:06.860]  Like you, I was a prisoner of the out left sanctuary state until one day I chose to lead
[01:16:06.860 --> 01:16:08.340]  my family to freedom.
[01:16:08.340 --> 01:16:12.740]  Today we live on a sustainable 20 acre homestead where we shoot, hunt, garden and homeschool
[01:16:12.740 --> 01:16:15.900]  our children without the tyranny of the nanny state looking over us.
[01:16:15.900 --> 01:16:20.140]  If you're ready to flee the city to the freedom of Idaho or Montana, our Black Rifle Real
[01:16:20.140 --> 01:16:21.740]  Estate team is here to help.
[01:16:21.740 --> 01:16:23.780]  Go to BlackRifleRealEstate.com.
[01:16:23.780 --> 01:16:27.340]  That's BlackRifleRealEstate.com.
[01:16:27.340 --> 01:16:31.100]  Most of you know that heart disease is the number one silent killer in the U.S.
[01:16:31.100 --> 01:16:35.860]  What if I told you for just 54.95 a month you could fight against heart disease naturally
[01:16:35.860 --> 01:16:37.780]  at Heart and Body Extract.
[01:16:37.780 --> 01:16:40.940]  We've been helping thousands of people get back to a healthier heart.
[01:16:40.940 --> 01:16:42.300]  Don't just take my word for it.
[01:16:42.300 --> 01:16:49.940]  Check out all of the success stories at HBXTrack.com or to order call 866-295-5305.
[01:16:49.940 --> 01:16:54.780]  That's 866-295-5305, HBXTrack.com.
[01:16:54.780 --> 01:16:56.860]  Don't risk it when you can take charge of it.
[01:16:56.860 --> 01:16:58.220]  Hi, I'm Dan Pilla.
[01:16:58.220 --> 01:17:02.140]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[01:17:02.140 --> 01:17:03.660]  I sued the IRS in one.
[01:17:03.660 --> 01:17:06.620]  I beat the IRS then and I've been beating them ever since.
[01:17:06.620 --> 01:17:09.940]  I wrote the book on tax debt settlement and I've helped thousands of people deal with
[01:17:09.940 --> 01:17:12.140]  tax problems they thought might never be solved.
[01:17:12.140 --> 01:17:13.460]  I can help you too.
[01:17:13.460 --> 01:17:16.460]  If you owe taxes you can't pay, don't wait another day.
[01:17:16.460 --> 01:17:18.700]  There's no such thing as a hopeless tax case.
[01:17:18.700 --> 01:17:26.780]  Call 800-34-no-tax or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[01:17:26.780 --> 01:17:31.740]  Hunters, anglers, campers and survivalists, get back to nature, expand your horizons with
[01:17:31.740 --> 01:17:36.260]  the highest quality, most versatile, unique sling shots and sling bows on the market at
[01:17:36.260 --> 01:17:37.980]  slingbow.com.
[01:17:37.980 --> 01:17:41.740]  Sling bow products are compact and models start from just 1798.
[01:17:41.740 --> 01:17:44.820]  They're perfect for your bug out bag or storing in your vehicle.
[01:17:44.820 --> 01:17:48.740]  Give yourself and your loved ones the excitement and tradition of sling bow.
[01:17:48.740 --> 01:17:53.380]  A new frontier in archery and truly modern twist on this primitive survival tool.
[01:17:53.380 --> 01:17:58.780]  Feel the thrill only at slingbow.com.
[01:17:58.780 --> 01:18:04.820]  Stacy in the great state of Texas, in FEMA region 6, you're on the air worldwide, Stacy.
[01:18:04.820 --> 01:18:05.820]  Good to talk to you.
[01:18:05.820 --> 01:18:09.780]  Before I get into what I want to say, I just want to let you know that I don't normally
[01:18:09.780 --> 01:18:10.780]  take vitamins at all.
[01:18:10.780 --> 01:18:12.860]  I was turned on to the ultimate female force.
[01:18:12.860 --> 01:18:16.900]  I looked at all the ingredients and they're all organic, root, things like that, that
[01:18:16.900 --> 01:18:17.900]  I trust.
[01:18:17.900 --> 01:18:19.900]  You know, because I've seen a lot of other vitamins.
[01:18:19.900 --> 01:18:22.980]  They don't have things that they say that they have in them and they're often not things
[01:18:22.980 --> 01:18:23.980]  that are natural.
[01:18:23.980 --> 01:18:24.980]  I appreciate that.
[01:18:24.980 --> 01:18:25.980]  Well, what happened with ultimate female force?
[01:18:25.980 --> 01:18:26.980]  Tell us about it.
[01:18:26.980 --> 01:18:27.980]  Well, it's really great.
[01:18:27.980 --> 01:18:28.980]  You know, it's like a multivitamin.
[01:18:28.980 --> 01:18:29.980]  I take it.
[01:18:29.980 --> 01:18:30.980]  It tastes good.
[01:18:30.980 --> 01:18:31.980]  It doesn't have that nasty aftertaste.
[01:18:31.980 --> 01:18:35.500]  It actually has kind of a pleasant aftertaste and, you know, it just gives me energy and
[01:18:35.500 --> 01:18:36.500]  fuels me throughout the day.
[01:18:36.500 --> 01:18:37.500]  So I really like it.
[01:18:37.500 --> 01:18:40.300]  Well, just so you know, we look at whatever the best herbs are.
[01:18:40.300 --> 01:18:44.100]  They're known to turbo charge women and then we get the organic ones and put it in it.
[01:18:44.100 --> 01:18:47.500]  So yeah, stamina, libido, energy.
[01:18:47.500 --> 01:18:50.340]  These are amazing things and ultimate female force.
[01:18:50.340 --> 01:18:51.500]  So I'm glad you plugged it.
[01:18:51.500 --> 01:18:57.940]  Infowarsstore.com or triple eight, two, five, three, three, one, three, nine.
[01:18:57.940 --> 01:19:02.020]  You know, the worst part about getting old and I'm still strong at 45 is that I won't
[01:19:02.020 --> 01:19:03.260]  be there for my children someday.
[01:19:03.260 --> 01:19:05.180]  That's why I need to make them strong now.
[01:19:05.180 --> 01:19:06.900]  Now I can be there for my children.
[01:19:06.900 --> 01:19:08.740]  Now I can make them strong.
[01:19:08.740 --> 01:19:10.380]  Now I can instruct them.
[01:19:10.380 --> 01:19:13.180]  Now I can teach them what I've learned, but not once I'm gone.
[01:19:13.180 --> 01:19:16.180]  You think of this digital age, your words gone forever, but now they're even better
[01:19:16.180 --> 01:19:18.340]  getting rid of what you said they were before.
[01:19:18.340 --> 01:19:23.020]  It's so much easier to burn video or text or languages now that we have high tech book
[01:19:23.020 --> 01:19:24.020]  burning, isn't it?
[01:19:24.020 --> 01:19:27.420]  But I have joined my will to the resistance.
[01:19:27.420 --> 01:19:31.740]  I can't be destroyed now as long as I realize I've done right and the longer the people
[01:19:31.740 --> 01:19:36.540]  know the truth and you can't be destroyed either as long as you bind yourself to something
[01:19:36.540 --> 01:19:39.460]  and commit to it and go through the fire for it.
[01:19:39.460 --> 01:19:43.260]  There is a magic that then takes place, the transcend space and time.
[01:19:43.260 --> 01:19:47.780]  When you commit the word of mouth or to pray for us or to spread our articles and videos,
[01:19:47.780 --> 01:19:50.820]  that overrides everything the enemy's doing.
[01:19:50.820 --> 01:19:55.420]  So please now commit to support Info Wars however you can and realize your provision
[01:19:55.420 --> 01:20:01.940]  to Info Wars is your own provision.
[01:20:01.940 --> 01:20:28.900]  We're listening to the Alex Jones show Monday through Friday from 11 a.m. until 3 p.m.
[01:20:28.900 --> 01:20:33.940]  I'm here live and you got to ensure in the war room 3 p.m. central we're about to add
[01:20:33.940 --> 01:20:37.420]  some more shows as well will be announced the next few weeks.
[01:20:37.420 --> 01:20:43.380]  We also have David I do a great job weekday mornings 8 a.m. to 11 a.m. when I come on
[01:20:43.380 --> 01:20:48.300]  joining us in the next segment is Larry C. Johnson of CIA counterterrorism formerly
[01:20:48.300 --> 01:20:54.060]  who's come out and exposed the coup plot against Trump years ago it's now all been confirmed
[01:20:54.060 --> 01:20:57.820]  and then we'll get his take on what other folks are saying counterterrorism specialist
[01:20:57.820 --> 01:21:03.660]  about the left's open calls for civil war the FBI terror alert to the antifa is basically
[01:21:03.660 --> 01:21:08.980]  the deep states decoy for violence to trigger violence we'll talk about that all with him
[01:21:08.980 --> 01:21:12.860]  but here's really the big news I know as an audience and as researchers you already know
[01:21:12.860 --> 01:21:18.420]  all about Joe Biden but the general public doesn't and you know it's a great bait and
[01:21:18.420 --> 01:21:23.940]  switch it's a great diversionary tactic you see in old movies or cartoons where the villain
[01:21:23.940 --> 01:21:28.260]  gets caught and then whoever the hero is that just caught the villain goes no actually he's
[01:21:28.260 --> 01:21:38.220]  the spy he's the one well the real world that actually goes on and so now there's a big Breitbart
[01:21:38.220 --> 01:21:43.380]  article up on him force dot com and Breitbart dot com that has a long 20 minute interview
[01:21:43.380 --> 01:21:48.620]  that was done on Fox News that goes through all the evidence and these investigative journalists
[01:21:48.620 --> 01:21:52.500]  that have looked into this but Biden didn't hide this because he thought that the you
[01:21:52.500 --> 01:21:59.100]  know the Clintons and people being power forever Biden under Obama particularly his sons got
[01:21:59.100 --> 01:22:04.260]  billions and billions of natural gas and oil they made hundreds of millions themselves
[01:22:04.260 --> 01:22:09.860]  they got over three billion from Chinese companies to their companies again the Bidens have made
[01:22:09.860 --> 01:22:13.260]  hundreds and hundreds of millions that we know of and they've got a bunch of offshore
[01:22:13.260 --> 01:22:21.180]  accounts so if you think Manafort was doing some stuff that he was nothing so Steve Hilton
[01:22:21.180 --> 01:22:29.220]  China is funding Biden family businesses with billions Hunter Biden Biden the second son
[01:22:29.220 --> 01:22:34.340]  secured a one billion in financing from the Bank of China an arm of the Chinese government
[01:22:34.340 --> 01:22:39.940]  for a private equity firm founded by himself and Christopher Heinz the stepson of former
[01:22:39.940 --> 01:22:43.900]  secretary of state John Kerry and again I've read all the stuff on this even before it
[01:22:43.900 --> 01:22:50.140]  came out in Breitbart it's three billion from China two billion at least from Ukraine Joe
[01:22:50.140 --> 01:22:55.520]  Biden is the very definition of a corporate insider said Hilton rejecting left-wing and
[01:22:55.520 --> 01:23:00.420]  partisan Democrat marketing in fact can we queue up his slurred speech the other night
[01:23:00.420 --> 01:23:08.460]  Biden as a man of the working people he profiled Biden a segment entitled swamp watch Hilton
[01:23:08.460 --> 01:23:14.340]  added with Joe Biden there's a much more worrying relationship with the foreign power one that
[01:23:14.340 --> 01:23:22.620]  represents a vastly bigger threat to America than Russia and China so going over all this
[01:23:22.620 --> 01:23:29.260]  it's a big report and it links to other detailed reports that break all this down this is only
[01:23:29.260 --> 01:23:35.540]  one area of the China sellout directly with the state owned Bank of China and the other
[01:23:35.540 --> 01:23:40.660]  companies are direct state owned facilities and state owned energy companies technology
[01:23:40.660 --> 01:23:48.460]  companies you name it and it's clear payoff absolutely clear payoff the Chinese have
[01:23:48.460 --> 01:23:52.900]  no rules but screw over America the Chinese Communist they do whatever they want whenever
[01:23:52.900 --> 01:23:57.260]  they want they make US companies that move there give them all their technology I was
[01:23:57.260 --> 01:24:03.740]  there bowling last week for his blaze TV it's the Claire TV show in DC and I told him I
[01:24:03.740 --> 01:24:08.660]  said no Apple officially moved their last April last April they officially moved there
[01:24:08.660 --> 01:24:13.300]  a year ago Reuters reported they had to give all the code keys to everybody's devices to
[01:24:13.300 --> 01:24:19.060]  the Chinese government and Eric stopped the cameras had him looking up on a phone read
[01:24:19.060 --> 01:24:26.180]  the article needs to be a big stockbroker he couldn't believe it ladies and gentlemen
[01:24:26.180 --> 01:24:34.540]  the level of the treason is absolutely mind blowing and it's done right out in the open
[01:24:34.540 --> 01:24:37.540]  so what do you do if you're Biden and the Clintons and you've sold out because they're
[01:24:37.540 --> 01:24:41.780]  not Chinese agents they just sell it to everybody they're just the worst traders you could ever
[01:24:41.780 --> 01:24:49.740]  imagine as long as it's anti-American what do you do you then blame Trump and the nationalists
[01:24:49.740 --> 01:24:58.260]  and the patriots with what you yourself have done it's truly dangerous it's it's insane
[01:24:58.260 --> 01:25:02.180]  and it's coming to a head right now ladies and gentlemen and we're going to look though
[01:25:02.180 --> 01:25:07.500]  at how the deep state plans to fight back and all these resignations of Rosenstein and
[01:25:07.500 --> 01:25:12.660]  of the head of the Air Force Academy and of the head of Gitmo I'm told by some folks in
[01:25:12.660 --> 01:25:19.180]  Florida in the military that are pretty smart that this is a big big deal we'll get this
[01:25:19.180 --> 01:25:26.180]  former covert operations anti-terrorism expert from the CIA on next segment Larry C. Johnson
[01:25:26.180 --> 01:25:31.460]  to give us a take on that before I go to break because I never do this properly and I need
[01:25:31.460 --> 01:25:36.980]  to do this properly and people need to listen up to me okay I think everybody's noticed
[01:25:36.980 --> 01:25:41.580]  that we really try to give you accurate info and have some of the most accurate information
[01:25:41.580 --> 01:25:48.100]  out there I told you last year eight months ago I got man from Twitter for it that Antifa
[01:25:48.100 --> 01:25:53.180]  is working with MS-13 the Democrats as their muscle on the ground to carry out assassinations
[01:25:53.180 --> 01:25:58.180]  you name it it's an FBI alert they've been inside the meetings specific groups they're
[01:25:58.180 --> 01:26:01.740]  getting ready to arrest this is serious folks you see them over the news saying kill the
[01:26:01.740 --> 01:26:08.300]  president this is how the chai comms and others are manipulating through the sellouts in our
[01:26:08.300 --> 01:26:13.980]  government that wanted to sell the country out that's what globalism is so it's very
[01:26:13.980 --> 01:26:19.220]  very very important that folks understand this is very serious and that without you
[01:26:19.220 --> 01:26:22.060]  spreading the word and without you buying the products we won't be here I don't get
[01:26:22.060 --> 01:26:26.500]  money from the chai comms or George Soros I fund this operation and all these shows and
[01:26:26.500 --> 01:26:30.380]  all these investigative reporters that are in the field confronting Biden yesterday and
[01:26:30.380 --> 01:26:34.780]  you know Caitlyn Bennett getting 30 million views a month and and maybe we were getting
[01:26:34.780 --> 01:26:39.700]  20 million a month I mean we we're toe to toe with these people okay and I'm not bragging
[01:26:39.700 --> 01:26:45.180]  I'm saying I'm gonna fight and I need money to do it I have a bunch of it and I make it
[01:26:45.180 --> 01:26:52.980]  real easy to do the the soils and the food is depleted of iodine it's what you build
[01:26:52.980 --> 01:26:56.140]  your hormones and everything off of you have to have it instead we can hit with all about
[01:26:56.140 --> 01:27:01.740]  halogens which lower fertility lower libido and everything else and cause bone cancer
[01:27:01.740 --> 01:27:07.780]  fluoride fluorides real good for your teeth nothing else the good halogen is iodine we
[01:27:07.780 --> 01:27:12.340]  have the cleanest x2 we're able to get it nobody else has this 27 and 12,000 feet they
[01:27:12.340 --> 01:27:20.740]  get it drilling for natural gas the stuff so pure that we had to get a DEA approval
[01:27:20.740 --> 01:27:25.620]  just to keep it in a facility before it's then put into the organic oil and delivered
[01:27:25.620 --> 01:27:29.700]  to you then it's totally legal you can get a free bottle of x3 that's all three types
[01:27:29.700 --> 01:27:33.340]  of iodine including the deep breath crystal with the pure deep breath crystal version
[01:27:33.340 --> 01:27:39.300]  x2 so 25% off x2 I want you to have it and get it you can read the thousands of five
[01:27:39.300 --> 01:27:44.660]  star reviews 98% review there's no reviews yet on the combo we can show TV viewers thousands
[01:27:44.660 --> 01:27:52.260]  of five star reviews 4.9 stars 98% I'm going from memory at 98% that's power reviews third
[01:27:52.260 --> 01:27:59.180]  party side 4.9 stars our most popular product because let me tell you something ladies and
[01:27:59.180 --> 01:28:07.060]  gentlemen you start taking iodine the good type and what it does in your body is insane
[01:28:07.060 --> 01:28:10.900]  you should consult a physician before it's all seen in generally safe but if you've really
[01:28:10.900 --> 01:28:14.460]  been deficient there's other stuff going on who knows what's going to happen I'm already
[01:28:14.460 --> 01:28:17.620]  out of time again sometime today I've got to read these reviews to you the five star reviews
[01:28:17.620 --> 01:28:20.580]  we just printed these off in the order they printed up let me just read one of these to
[01:28:20.580 --> 01:28:26.940]  you about time I started taking this last year daily when combined with water filtration
[01:28:26.940 --> 01:28:31.260]  good enough to filter out fluoride your life will change forever clarity of mind overall
[01:28:31.260 --> 01:28:36.300]  becoming woke I don't like that word but I don't have enough characters in this comment
[01:28:36.300 --> 01:28:44.140]  and a way to say with x2 x3 is the next level I take both anyways get your thyroid and freak
[01:28:44.140 --> 01:28:50.900]  out start taking it ASAP brand in Texas not joking around here folks I'm joking around
[01:28:50.900 --> 01:28:58.500]  get it today your free model x3 info or store dot com stocks and options trading involves
[01:28:58.500 --> 01:29:03.060]  financial risk and is not suitable for all investors hey guys it's Scott Bauer here CEO
[01:29:03.060 --> 01:29:07.340]  of prosper trading academy are you looking for a super hot stock tip here at prosper we
[01:29:07.340 --> 01:29:11.620]  are always looking for exciting opportunities in the markets and right now all my students
[01:29:11.620 --> 01:29:16.820]  are salivating over the stock we are watching in fact I've got this hot stock written down
[01:29:16.820 --> 01:29:21.540]  right here and I'm about to text it to you for free I just need to know where to send
[01:29:21.540 --> 01:29:29.100]  it simply text HOT to 48542 and I'll text it to you instantly how do I know this stock
[01:29:29.100 --> 01:29:34.540]  is so hot well I'm a former CBOE market maker for Amazon options former vice president of
[01:29:34.540 --> 01:29:40.020]  Goldman Sachs and I have over 25 years of professional trading experience I'm telling
[01:29:40.020 --> 01:29:44.620]  you this stock is hot but be warned the stock may move soon so you need to claim it before
[01:29:44.620 --> 01:29:53.460]  it does text HOT to 48542 and I'll text you this hot stock instantly text HOT to 48542
[01:29:53.460 --> 01:29:59.660]  and I'll text you this hot stock instantly message and data rates may apply getting your
[01:29:59.660 --> 01:30:04.580]  protein has never been easier with info wars life protein bars available and delicious
[01:30:04.580 --> 01:30:08.900]  chocolate peanut butter and vanilla coconut flavors these protein bars are the perfect
[01:30:08.900 --> 01:30:13.780]  answer for a snack on the go info wars life protein bars are nutrient packed portable
[01:30:13.780 --> 01:30:20.020]  protein bars for an easy to eat and great tasting meal pre or post workout fuel alternative
[01:30:20.020 --> 01:30:26.180]  at just 240 calories per bar and 15 grams of protein each these bars will be your favorite
[01:30:26.180 --> 01:30:32.060]  at hand snack for at home in the car at work we're on the go for getting nutrients easily
[01:30:32.060 --> 01:30:36.340]  high in fiber and nutrients with wholesome ingredients for high level performance with
[01:30:36.340 --> 01:30:42.140]  great taste such as whey protein and chocolate compounds these protein bars can help you
[01:30:42.140 --> 01:30:46.460]  with the boost you need to reach your goals protein packed and full of fiber and healthy
[01:30:46.460 --> 01:30:52.020]  ingredients info wars life protein bars are a can't miss snack for any info warriors serious
[01:30:52.020 --> 01:31:00.220]  about their energy try both flavors today at info wars store dot com I want to say brain
[01:31:00.220 --> 01:31:06.460]  forces great I want to say turbo forces amazing it is but if you took it with fish oil it's
[01:31:06.460 --> 01:31:10.740]  like the fish oil is it the fish oil is better than that and that's an example of what I'm
[01:31:10.740 --> 01:31:17.060]  talking about fish oil is liquid energy brain body heart the cleanest the best out there
[01:31:17.060 --> 01:31:20.740]  you've got the children's you've got the adults you've got the krill oil if you're
[01:31:20.740 --> 01:31:24.020]  going to get the full effect the fish oil and the children's are really strong they
[01:31:24.020 --> 01:31:27.820]  don't give you the burpees but krill oil is the best and it'll give you the damn burps
[01:31:27.820 --> 01:31:31.660]  and I'm sorry you want something like this you don't get stuff for free the krill is
[01:31:31.660 --> 01:31:35.460]  hallucinogenic it's so good in my view I'm not a medical statement here but let me tell
[01:31:35.460 --> 01:31:39.980]  you something I eat five capital of krill oil before I go to bed I'm seeing Santa Claus
[01:31:39.980 --> 01:31:50.700]  that night so your brain is made basically out of what fish oil is so we don't make a
[01:31:50.700 --> 01:31:54.020]  big profit off of it but you notice I just obsess because whatever the best is we've
[01:31:54.020 --> 01:31:58.980]  got I just can't lie to you I just can't do it.
[01:31:58.980 --> 01:32:06.580]  Brain Force Plus is a top tier new tropic focused clarity energy but instead of having
[01:32:06.580 --> 01:32:12.740]  a seven times markup we have a hundred and fifty percent markup right now it's massively
[01:32:12.740 --> 01:32:17.780]  discounted and when you get a bottle of it at twenty five percent off you get a free
[01:32:17.780 --> 01:32:22.460]  bottle of what is our total best seller it's not very profitable because we give it at
[01:32:22.460 --> 01:32:26.780]  such a low price but it's amazing and that of course is knock out the ultimate sleep
[01:32:26.780 --> 01:32:31.300]  aid so we've got a way to energize you ramp you up in a healthy way during the day and
[01:32:31.300 --> 01:32:36.420]  put you deep into that restful healthy sleep at night it's the brain force and knock out
[01:32:36.420 --> 01:32:41.820]  combo deal twenty five percent off brain force and a free bottle of knock out together right
[01:32:41.820 --> 01:32:46.700]  now get the combo and experience both these products today take advantage of it and fund
[01:32:46.700 --> 01:32:53.740]  the M4 M4sLife.com or M4store.com the Brain Force Plus knock out combo right now get
[01:32:53.740 --> 01:33:05.980]  your free bottle today at M4store.com you're listening to the Alex Jones show
[01:33:05.980 --> 01:33:28.020]  big brother mainstream media government cover us you want answers well so does he live from
[01:33:28.020 --> 01:33:36.460]  Austin Texas broadcasting worldwide it's Alex Jones well we're getting them on the
[01:33:36.460 --> 01:33:40.820]  line right now the Skype Larry C. Johnson distinguished member of the CIA and counter
[01:33:40.820 --> 01:33:45.100]  terrorism he's been pointing out that there's been a real attempt to kill this country for
[01:33:45.100 --> 01:33:49.460]  several years it's all been confirmed with the latest from him in a moment but here he
[01:33:49.460 --> 01:33:56.500]  was last week when I was on one American news as a guest I noticed that he was live during
[01:33:56.500 --> 01:34:00.260]  one of their programs and thought what he said was very informative so here it is one
[01:34:00.260 --> 01:34:07.340]  of the strengths of strengths and weaknesses or dangers of this five eyes cooperative is
[01:34:07.340 --> 01:34:14.620]  that it provides a channel for sharing intelligence information Johnson said there is a cooperation
[01:34:14.620 --> 01:34:21.140]  agreement between the intelligence services of the U.S. U.K. Canada New Zealand and Australia
[01:34:21.140 --> 01:34:26.500]  the so-called five eyes club that allowed the Obama administration to access surveillance
[01:34:26.500 --> 01:34:32.500]  of U.S. citizens as foreign gathered intelligence on this side of the ocean who are the highest
[01:34:32.500 --> 01:34:38.580]  levels of U.S. intelligence community is sort of an agreement to collect and share information
[01:34:38.580 --> 01:34:44.220]  and do it in a way that would not necessarily attract and do attention but would provide
[01:34:44.220 --> 01:34:49.580]  a documentary record that could be being used to justify targeting Donald Trump just as
[01:34:49.580 --> 01:34:54.660]  the Trump administration took office a senior official in the Obama Pentagon had an unguarded
[01:34:54.660 --> 01:35:00.660]  moment on MSNBC I had a fear that somehow that information would disappear with the senior
[01:35:00.660 --> 01:35:06.780]  people who left so it would be hidden away in the bureaucracy that the Trump folks if
[01:35:06.780 --> 01:35:13.580]  they found out how we knew what we knew about their the staff the Trump staffs dealing with
[01:35:13.580 --> 01:35:18.420]  Russians that they would try to compromise those sources and methods we know that specifically
[01:35:18.420 --> 01:35:23.740]  from a former Department of Defense official under Obama named Evelyn Farkas she admitted
