[00:00.000 --> 00:05.120]  From the front lines of the information war, it's Alex Jones
[36:48.600 --> 36:54.560]  I understand it's federalized, it's globalized, it is designed to convert us to a tyranny.
[36:54.560 --> 36:57.920]  But to do that, they've got to get a war going with us and the police that they've gotten
[36:57.920 --> 37:04.360]  the police ready for.
[37:04.360 --> 37:10.400]  Instead we need to take back our counties, our cities, our states and take back our police.
[37:10.400 --> 37:15.560]  And as I've said many times, and the statistics show it, they are one of the most awake groups
[37:15.560 --> 37:19.040]  compared to the general public, they are not our enemies.
[37:19.040 --> 37:24.240]  If we simply don't let the mind game work on us, we can checkmate the globalist right
[37:24.240 --> 37:28.240]  now.
[37:28.240 --> 37:32.160]  The way to demonstrate is the way that more than 500 people showed up and spoke in.
[37:32.160 --> 37:39.120]  Many of them are listeners with our crew, they're covering it to cover the event.
[37:39.120 --> 37:43.040]  And the police union, the sheriff's unions come out and criticize the police chief following
[37:43.040 --> 37:47.880]  Obama doctrine, Justice Department doctrine saying constitutionalist veterans, gun owners
[37:47.880 --> 37:52.440]  are the main threat and we've got sheriff deputies on tape saying it is veterans and
[37:52.440 --> 37:54.160]  we got a lot of guns in this county.
[37:54.160 --> 37:58.480]  Well, quote, there's a lot of guns here, a lot of constitutionalists and we may take
[37:58.480 --> 38:03.320]  enemy fire.
[38:03.320 --> 38:08.560]  Well our demonstrators didn't go out and attack police or shoot anybody or burn down anything.
[38:08.560 --> 38:13.200]  They went out and talked about the Constitution Bill of Rights exposed the Southern Barbary
[38:13.200 --> 38:16.640]  Law Center and ADL that are running this in the White House.
[38:16.640 --> 38:19.800]  And I saw the live feeds, I was here, you know, we were here for four hours doing a
[38:19.800 --> 38:24.640]  special report yesterday covering the whole protest.
[38:24.640 --> 38:29.520]  The police were super nice, brought us back, showed us the MRAB, set on record.
[38:29.520 --> 38:34.560]  We don't like what was said and, you know, the sheriff's back down from that and our
[38:34.560 --> 38:39.040]  guys talked to the cops off record, they're listeners.
[38:39.040 --> 38:42.560]  The sheriff's department, a bunch of MRAB listeners, we already knew that.
[38:42.560 --> 38:47.480]  So see, we're not going to go up and walk through police car and shoot two people on
[38:47.480 --> 38:48.480]  the head.
[38:48.480 --> 38:50.360]  That's not how we take America back.
[38:50.360 --> 38:53.400]  That's how you destroy the country and start a civil war.
[38:53.400 --> 38:59.480]  But the Democratic parties push with Al Sharpton and the mayor, the socialist mayor of New
[38:59.480 --> 39:05.520]  York, with this I can't breathe business, and I think that is excessive force and looks
[39:05.520 --> 39:11.560]  really bad and I discussed me, but does that mean you go execute police and cold blood?
[39:11.560 --> 39:13.120]  Absolutely not.
[39:13.120 --> 39:19.560]  The justice department is all over this trying to stir this up right now, and it could start
[39:19.560 --> 39:20.560]  a race for civil war.
[39:20.560 --> 39:22.760]  In fact, it's already starting to get to that point.
[39:22.760 --> 39:28.800]  There are racial attacks I see in local news as I scan it four or five times a day that
[39:28.800 --> 39:29.800]  they're getting reported.
[39:29.800 --> 39:35.680]  You know a fraction get reported where whites are being attacked everywhere by black racists
[39:35.680 --> 39:40.000]  that think it's a legitimate form to beat a white person in the head with a hammer or
[39:40.000 --> 39:41.000]  shoot them.
[39:41.000 --> 39:46.720]  So what they've done is the justice department has put white people in cops over here and
[39:46.720 --> 39:51.320]  then put black folks or anybody who's in the inner city over here, a lot of white folks
[39:51.320 --> 39:56.160]  in the inner city, a lot of Hispanics, to just all start hating each other and fighting
[39:56.160 --> 40:00.720]  each other while foreign banks swindle and loot all of us, and while Ebola is clearly
[40:00.720 --> 40:05.640]  being covered up inside the United States, I just played Fox News saying that they admit
[40:05.640 --> 40:10.920]  they have a bunch of suspected cases, thousands of them, and they're covering it up.
[40:10.920 --> 40:15.400]  Forbes said they were at the meeting where it was agreed upon two months ago.
[40:15.400 --> 40:17.280]  Do you understand?
[40:17.280 --> 40:19.640]  We just report the facts here.
[40:19.640 --> 40:21.160]  I don't care if it's sensational.
[40:21.160 --> 40:26.800]  We will tell you.
[40:26.800 --> 40:31.960]  Speaking of political correctness when we come back, Obama, Sony did the wrong thing
[40:31.960 --> 40:32.960]  when it pulled the movie.
[40:32.960 --> 40:34.720]  Boy, I hate agreeing with Obama.
[40:34.720 --> 40:36.040]  That's one of the cases I do.
[40:36.040 --> 40:39.960]  He says you don't give in to terrorist threats, whoever's behind it.
[40:39.960 --> 40:43.040]  North Korea says that it was probably launched by the CIA.
[40:43.040 --> 40:49.520]  I don't know who it was launched by, but the globalists are not above doing it.
[40:49.520 --> 40:50.800]  But it is true now.
[40:50.800 --> 40:56.920]  Now the so-called terrorist group is threatening that if Team America airs, they'll blow it
[40:56.920 --> 40:57.920]  up.
[40:57.920 --> 41:02.760]  And so Alamo Draft House, and I'm not kidding, I love Team America, even though it's very
[41:02.760 --> 41:03.760]  risque.
[41:03.760 --> 41:04.760]  I think it's so funny.
[41:04.760 --> 41:06.960]  It's one of my favorite satire movies.
[41:06.960 --> 41:12.000]  I was planning to go see it in Austin at the limited showing because I hadn't seen it since
[41:12.000 --> 41:16.720]  it came out in 2004 in the theater, and they pulled the stinking thing.
[41:16.720 --> 41:22.040]  I think, I don't think I'm going to rent a theater next week.
[41:22.040 --> 41:26.680]  I want to get on the horn and find some theaters that aren't total chickens, and I'm going
[41:26.680 --> 41:28.280]  to rent a theater free to the public.
[41:28.280 --> 41:34.760]  I could sell tickets, but I'm not going to maybe a 300 seater or something.
[41:34.760 --> 41:35.760]  You know what?
[41:35.760 --> 41:36.760]  I bet this country so cowardly.
[41:36.760 --> 41:40.280]  I bet I can't, and so politically correct, because political correctness means when they
[41:40.280 --> 41:44.400]  tell you not to speak or not to say something, you do it.
[41:44.400 --> 41:46.680]  It means you value having no free speech.
[41:46.680 --> 41:53.320]  We absolutely must show Team America and the interview now, or this country's done, stick
[41:53.320 --> 41:54.320]  a fork in it.
[41:54.320 --> 41:57.320]  Soon every country will be in complete chaos.
[41:57.320 --> 42:05.040]  To save the world from falling apart, and so you see, the new world is inevitable.
[42:05.040 --> 42:06.040]  It's what?
[42:06.040 --> 42:07.040]  Inevitable.
[42:07.040 --> 42:08.040]  Inevitable.
[42:08.040 --> 42:09.040]  One more time?
[42:09.040 --> 42:10.040]  Inevitable.
[42:10.040 --> 42:14.360]  Things are inevitable, but are you going to change?
[42:14.360 --> 42:19.800]  When we learn he's really an alien cockroach that climbs out of his body at the end.
[42:19.800 --> 42:24.680]  It's not about sex, Gary.
[42:24.680 --> 42:28.440]  This country's, this is a global government, where the UN says we can't have guns, we can't
[42:28.440 --> 42:32.480]  have coal power plants, so they come after our coal plants and guns.
[42:32.480 --> 42:38.440]  Or North Korea that can't even build an automobile, that's why I doubt they did the hacking, can
[42:38.440 --> 42:42.880]  hardly watch, that thinks Dennis Rodman's cool, and that shows you how delusional Kim
[42:42.880 --> 42:47.560]  Jung-un is, they're going to blow stuff up if we show a movie.
[42:47.560 --> 42:48.560]  We'll go to hell.
[42:48.560 --> 42:52.080]  I mean, what is wrong with this country?
[42:52.080 --> 42:59.880]  Show the movies, get rid of the censorship.
[42:59.880 --> 43:04.440]  Sold out for weeks through the difficult and extensive proprietary process behind its creation,
[43:04.440 --> 43:10.040]  the exclusive InfoWars Life Secret 12 formulation is now back in stock in the last limited shipment
[43:10.040 --> 43:11.040]  of 2014.
[43:11.040 --> 43:15.840]  The most bioactive form that has been created with our proprietary process, this ultra-clean
[43:15.840 --> 43:20.400]  vitamin B12 nutraceutical has been carefully crafted and developed over the last two years
[43:20.400 --> 43:25.560]  and is based on cellular science of how your body actively absorbs essential nutrients.
[43:25.560 --> 43:28.480]  Secret 12 is taken by mouth, right on the tongue, and then swallowed.
[43:28.480 --> 43:30.200]  No needles, no injections.
[43:30.200 --> 43:36.080]  Vitamin B12 deficiency is linked to scores of serious problems, and Secret 12 is a fusion
[43:36.080 --> 43:40.120]  of two organic, proprietary forms of vitamin B12.
[43:40.120 --> 43:46.120]  Between you, a true nutraceutical quality, Vitamin B12, Secret 12, Secret 12 is an excellent
[43:46.120 --> 43:50.880]  Christmas gift and is tailor-made to boost your New Year's resolutions.
[43:50.880 --> 43:53.200]  Supplies of Secret 12 are very limited.
[43:53.200 --> 43:59.920]  Secure yours today at infowarslife.com or by calling toll-free 888-253-3139.
[43:59.920 --> 44:04.160]  Another major health threat, this one in Toledo, Ohio where everybody in the entire city has
[44:04.160 --> 44:06.000]  been told not to drink the water.
[44:06.000 --> 44:08.640]  Ohio's governor declaring a state of emergency.
[44:08.640 --> 44:14.360]  Did you know that the average person uses about 80 to 100 gallons of water at home every
[44:14.360 --> 44:15.680]  single day?
[44:15.680 --> 44:18.680]  If there's a water emergency, will you be prepared?
[44:18.680 --> 44:21.640]  Panicked residents forming long lines throughout the day.
[44:21.640 --> 44:23.640]  We're here at a supermarket in Toledo.
[44:23.640 --> 44:26.560]  You can see the shelves empty where water once was.
[44:26.560 --> 44:32.480]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[44:32.480 --> 44:35.640]  Water which will not be available at your local grocery store.
[44:35.640 --> 44:38.920]  There's a mad dash on right now to stock up on supplies.
[44:38.920 --> 44:44.920]  The Pro Pure Pro 1 G2.0 Water Filtration System is a must-have for every modern, independently
[44:44.920 --> 44:46.640]  minded household.
[44:46.640 --> 44:49.440]  Protect your family's safety during an emergency.
[44:49.440 --> 44:55.240]  Go to infowarsstore.com today to purchase your Pro Pure Pro 1 G2.0 Water Filtration
[44:55.240 --> 44:59.640]  System or call 1-88-253-3139.
[44:59.640 --> 45:04.160]  The average person's life is filled with unexpected challenges.
[45:04.160 --> 45:09.480]  Unlock the energy it takes to defeat these daily beasts with super male or super female
[45:09.480 --> 45:15.640]  vitality, specifically designed to assist the body in regulating proper hormone balance
[45:15.640 --> 45:20.200]  to create superior vitality in males and females.
[45:20.200 --> 45:29.520]  Supercharge and conquer your world at infowarslife.com or call 1-88-253-3139.
[45:29.520 --> 45:33.200]  The government's Department of Homeland Security is buying up loads of ammo.
[45:33.200 --> 45:37.560]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[45:37.560 --> 45:39.600]  Can you put two and two together?
[45:39.600 --> 45:45.160]  Infidel Body Armor can stop every round, including hollow points and.308 sniper rounds, is reasonably
[45:45.160 --> 45:47.200]  priced and fully legal.
[45:47.200 --> 45:48.280]  But for how long?
[45:48.280 --> 45:55.280]  Go to infidelbodyarmor.com, spelled I-N-F-I-D-E-L body armor dot com.
[45:55.280 --> 45:59.440]  Infidel Body Armor just won't quit.
[45:59.440 --> 46:05.560]  For all of recorded history, civilizations around the world praised the health benefits
[46:05.560 --> 46:06.560]  of silver.
[46:06.560 --> 46:11.960]  At InfoWarslife, our mission is to bring you the highest quality, purest, cleanest, effective
[46:11.960 --> 46:16.160]  colloidal silver on the market today for the lowest price available.
[46:16.160 --> 46:17.720]  You don't have to be a doctor to know.
[46:17.720 --> 46:22.680]  The fall and winter months are the most dangerous time of year in North America when it comes
[46:22.680 --> 46:24.920]  to you and your family's health.
[46:24.920 --> 46:30.280]  InfoWarslife dot com is very excited to announce our biggest run yet of silver bullet colloidal
[46:30.280 --> 46:34.040]  silver exclusively available at InfoWarslife dot com.
[46:34.040 --> 46:38.360]  Now InfoWarslife dot com has taken colloidal silver to the next level using a cutting edge
[46:38.360 --> 46:41.160]  technique that is free of toxic artificial additives.
[46:41.160 --> 46:45.440]  Now more than ever, it's important to stock up on high quality silver bullet from InfoWarslife
[46:45.440 --> 46:50.360]  dot com and to help others during Christmas by teaching them about the powerful benefits
[46:50.360 --> 46:51.360]  of silver.
[46:51.360 --> 47:02.400]  Now, secure your silver bullet today at InfoWarslife dot com or by calling toll free 888-253-3139.
[47:02.400 --> 47:09.680]  You're listening to the Alex Jones Show.
[47:09.680 --> 47:16.120]  In this present crisis, government is not the solution to our problem.
[47:16.120 --> 47:20.280]  Government is the problem.
[47:20.280 --> 47:25.440]  From time to time, we've been tempted to believe that society has become too complex to be
[47:25.440 --> 47:27.960]  managed by self-rule.
[47:27.960 --> 47:35.320]  That government by an elite group is superior to government for, by, and of the people.
[47:35.320 --> 47:36.320]  Sounds pretty terrorist.
[47:36.320 --> 47:40.920]  The Alex Jones Show because there is a war on for your mind.
[47:40.920 --> 47:42.960]  Who is that extremist I heard talking?
[47:42.960 --> 47:43.960]  Me.
[47:43.960 --> 47:44.960]  Me the real man.
[47:44.960 --> 47:45.960]  Ronald Reagan.
[47:45.960 --> 47:46.960]  And my misfits.
[47:46.960 --> 47:47.960]  Wave lights.
[47:47.960 --> 47:48.960]  That's Dave Mustaine.
[47:48.960 --> 47:52.960]  Back past is my most valued possession.
[47:52.960 --> 47:53.960]  Possession.
[47:53.960 --> 47:55.960]  Main site is always 2020.
[47:55.960 --> 47:56.960]  Looking back.
[47:56.960 --> 47:57.960]  Still a bit fuzzy.
[47:57.960 --> 47:58.960]  Speak of mutually assured destruction.
[47:58.960 --> 47:59.960]  Nice to worry.
[47:59.960 --> 48:00.960]  That's what the second amendment's about.
[48:00.960 --> 48:11.560]  If you get a tyrannical government that comes after the people, it's mutually assured destruction.
[48:11.560 --> 48:15.720]  But in North Korea, communist China, or Nazi Germany, or Soviet Russia, the people don't
[48:15.720 --> 48:18.360]  have guns, or Fidel's Cuba.
[48:18.360 --> 48:23.960]  By the way, I'm all for normalizing relations with Cuba, not because I like communism.
[48:23.960 --> 48:27.680]  It has only been the fact that there's been an embargo so long that's allowed communism
[48:27.680 --> 48:29.200]  to continue there.
[48:29.200 --> 48:34.800]  The minute you let US money in there, the minute you let the terrorists really in there, that
[48:34.800 --> 48:37.240]  stuff will fall so fast.
[48:37.240 --> 48:41.200]  The average person in Cuba can't even have a bicycle.
[48:41.200 --> 48:43.360]  They squid three or four times a day.
[48:43.360 --> 48:45.360]  That's not just a quote from Scarface.
[48:45.360 --> 48:52.640]  Oh, yeah, they got more doctors than any country in the world, but can't do any medical procedures.
[48:52.640 --> 48:56.360]  It's a joke, like North Korea.
[48:56.360 --> 48:59.040]  Now Obama's trying to, at least on the surface, normalize relations.
[48:59.040 --> 49:00.040]  I'd love to get into Cuba.
[49:00.040 --> 49:02.840]  I know I could go there illegally, but I'm not going to.
[49:02.840 --> 49:03.840]  It's just a beautiful country.
[49:03.840 --> 49:07.560]  I've talked to people who go scuba diving there, they say nothing like it.
[49:07.560 --> 49:08.560]  I love.
[49:08.560 --> 49:14.720]  I wish Cuba was rich and successful and great.
[49:14.720 --> 49:17.760]  I wish there was some countries close to here because this place falls.
[49:17.760 --> 49:22.000]  I could go to, but you know what, they're not many.
[49:22.000 --> 49:25.040]  That's the problem.
[49:25.040 --> 49:29.320]  Getting back to free speech, Obama says Sony did the wrong thing when it pulled the movie.
[49:29.320 --> 49:32.760]  I wish they had spoken to me first, he said.
[49:32.760 --> 49:37.280]  I would have told them not to not get into a pattern in which you're intimidated by these
[49:37.280 --> 49:40.880]  kinds of criminal attacks.
[49:40.880 --> 49:46.560]  The head of Sony went on to tell CNN we have not cave.
[49:46.560 --> 49:47.760]  We have not given in.
[49:47.760 --> 49:53.840]  We have persevered, he told Fareed Zarkaria, what a load of bull.
[49:53.840 --> 49:58.520]  We have persevered by announcing they're not going to release the movie and have a $200
[49:58.520 --> 50:01.240]  million loss.
[50:01.240 --> 50:04.400]  And then now to follow suit, I don't know, it was a stunt.
[50:04.400 --> 50:05.400]  I know Tim Lee.
[50:05.400 --> 50:08.480]  I can call him up knowing back when he first founded the Alamo draft house.
[50:08.480 --> 50:16.480]  In theater, not hundreds around the country, they're not showing Team America.
[50:16.480 --> 50:21.640]  How ridiculous is that theaters owned by Alamo that we're going to have a showing of it
[50:21.640 --> 50:27.600]  to dovetail with the release of the interview are pulling the showings.
[50:27.600 --> 50:30.560]  But they say it's because the distributor doesn't want it shown.
[50:30.560 --> 50:35.000]  Team America is benched, won't return to theaters, reports say.
[50:35.000 --> 50:39.200]  One day after some theaters vowed to screen America, world police in the place of the
[50:39.200 --> 50:44.800]  interview whose release was canceled Wednesday, word has emerged that Team America has also
[50:44.800 --> 50:45.800]  been pulled.
[50:45.800 --> 50:47.880]  Both films made light of North Korea.
[50:47.880 --> 50:55.520]  I mean, do you understand that it's been a cult underground deal to make fun of Kim
[50:55.520 --> 50:57.920]  Jung-un and his dad, Kim Jung-il?
[50:57.920 --> 51:02.200]  I mean, I own a teacup making fun of them.
[51:02.200 --> 51:06.480]  With an image of women in bathing suits chasing him down the beach.
[51:06.480 --> 51:10.040]  In fact, guys, I was going to tweet it and I forgot to do it.
[51:10.040 --> 51:12.200]  Somebody changed the Hollywood sign to say North Korea.
[51:12.200 --> 51:14.280]  I want to tweet that out.
[51:14.280 --> 51:17.880]  Hollywood to now adopt North Korean policies because that's what it's doing.
[51:17.880 --> 51:22.720]  And we have a big graphic on the front page of infowars.com right now that says like big
[51:22.720 --> 51:26.400]  government, move to North Korea.
[51:26.400 --> 51:27.920]  That's actually an Alex Jones quote.
[51:27.920 --> 51:32.760]  We should just add Alex Jones quote, I don't care, but we always had the quote on there.
[51:32.760 --> 51:33.760]  That's an Alex Jones quote.
[51:33.760 --> 51:34.760]  Why?
[51:34.760 --> 51:35.760]  Big government?
[51:35.760 --> 51:39.440]  Oh yeah, we should all just cry when Kim Jung-il died for three days straight or we'll
[51:39.440 --> 51:42.000]  be sent for 10 years hard labor.
[51:42.000 --> 51:51.920]  Oh, you're our leader, oh, we love you so much.
[51:51.920 --> 51:55.360]  Totally and completely disgusting.
[51:55.360 --> 51:57.200]  So there you go, that's the state of the country.
[51:57.200 --> 52:00.440]  And if we don't make a big deal out of this, the tyrants win.
[52:00.440 --> 52:06.480]  Oh, better not criticize Obamacare or they will call you a racist.
[52:06.480 --> 52:12.520]  Oh, better not be a gun owner or the government might come after you.
[52:12.520 --> 52:13.880]  Oh, better not be in the Tea Party.
[52:13.880 --> 52:15.640]  The IRS will audit you.
[52:15.640 --> 52:17.280]  The threat is giving in.
[52:17.280 --> 52:18.520]  The threat is bowing.
[52:18.520 --> 52:20.040]  They will take everything.
[52:20.040 --> 52:28.040]  We are going into bonafide, 200 proof, classical, hardcore, 100 percent tyranny on every front
[52:28.040 --> 52:31.160]  because good people won't organize and say no.
[52:31.160 --> 52:33.840]  We're a world of yes men now in the West.
[52:33.840 --> 52:41.840]  The president of the United States can change the enforcement thereof under his executive
[52:41.840 --> 52:44.520]  branch powers.
[52:44.520 --> 52:54.800]  We propose to the United States government to take mutual measures for the improvement
[52:54.800 --> 52:56.920]  of our bilateral climate.
[52:56.920 --> 53:03.040]  That's Raul Castro, the president now that Fidel's dilapidated and in convalescence permanently.
[53:03.040 --> 53:08.360]  I got to admit, Phil Castro is a tough bird, formerly CIA trained in the United States
[53:08.360 --> 53:09.360]  on record.
[53:09.360 --> 53:12.880]  You tell the ignorant public they don't even know he worked for Eisenhower and then double
[53:12.880 --> 53:14.920]  crossed him.
[53:14.920 --> 53:21.160]  People don't even know all this stuff, but now he's saying unilaterally you as an executive
[53:21.160 --> 53:22.160]  can do this.
[53:22.160 --> 53:23.360]  No Obama can't do that.
[53:23.360 --> 53:28.560]  He can't violate congressional law because he feels like it, like he's on the border
[53:28.560 --> 53:31.560]  and guns and power plants and everything else.
[53:31.560 --> 53:44.000]  You see now dictators like Raul Castro took power what in like 60, 1960, how many years
[53:44.000 --> 53:46.760]  is that 40, 50, 54 years?
[53:46.760 --> 53:48.120]  That's enough.
[53:48.120 --> 53:50.920]  Just like it's enough, we're told that it's a done deal.
[53:50.920 --> 53:56.160]  It's going to be Jeb Bush, head to head, red state against blue state Hillary.
[53:56.160 --> 54:00.320]  Give me a break.
[54:00.320 --> 54:03.240]  New Clintons isn't enough, it's too many.
[54:03.240 --> 54:05.280]  Two Bushes isn't enough, it's too many.
[54:05.280 --> 54:10.840]  No more country club, blue blood, Rockefeller, turn your guns in, Republicans.
[54:10.840 --> 54:13.040]  Have you gotten the message from the Tea Party?
[54:13.040 --> 54:15.280]  Get out of here with your looted money.
[54:15.280 --> 54:17.080]  We're sick of you.
[54:17.080 --> 54:18.080]  We don't.
[54:18.080 --> 54:20.080]  I don't feel no ways tired.
[54:20.080 --> 54:23.120]  Yeah, that's Hillary doing a fake Kentucky accent.
[54:23.120 --> 54:28.600]  How dumb do they really think we are?
[54:28.600 --> 54:34.480]  Coming up, I'm going to give the number up and take calls specifically on just political
[54:34.480 --> 54:35.480]  correctness in general.
[54:35.480 --> 54:40.040]  What do you think the most outrageous examples of political correctness are?
[54:40.040 --> 54:43.160]  What is your take on the attempt to continue to ban Christmas?
[54:43.160 --> 54:48.520]  I mean, talk about Grinch like, what do you make of all of this?
[54:48.520 --> 54:50.680]  And then I've got a bunch of other news.
[54:50.680 --> 54:56.080]  Mayor Emanuel's son robbed outside family's Lakeview home in the wonderful gun-free zone
[54:56.080 --> 55:00.640]  that has the highest murder rate in the world, California puzzles over safety of driverless
[55:00.640 --> 55:01.640]  cars.
[55:01.640 --> 55:04.760]  I'm going to tie in some key intel on that front.
[55:04.760 --> 55:08.120]  Majority of Brits want to quit the EU, but the government won't let them.
[55:08.120 --> 55:10.160]  They never got to vote to be brought into it.
[55:10.160 --> 55:11.160]  That's globalism, folks.
[55:11.160 --> 55:16.160]  You just wake up and you're under a new government, just like we are under the Trans-Pacific Partnership.
[55:16.160 --> 55:20.600]  Did you know the United States is in the Pacific Ocean and is waiving every law and right we've
[55:20.600 --> 55:27.200]  got right now to secret treaties on record?
[55:27.200 --> 55:33.760]  NYPD shooting suspects referenced Garner and Brown cases, Wall Street Journal, no kidding.
[55:33.760 --> 55:36.480]  And it looks like he was an Islamist.
[55:36.480 --> 55:42.000]  Local police departments take precautions following deadly shooting of cops in Brooklyn.
[55:42.000 --> 55:45.440]  Doesn't this show the police that no amount of armored vehicles or checkpoints is going
[55:45.440 --> 55:47.400]  to protect you?
[55:47.400 --> 55:50.960]  Only a free society will protect you where you're virtuous and then people want to support
[55:50.960 --> 55:51.960]  you.
[55:51.960 --> 55:55.660]  If you let the Justice Department stir up racial hatred and imply that all police are
[55:55.660 --> 55:59.840]  racist killers, it's going to happen.
[55:59.840 --> 56:03.560]  Local police departments are now basically on alert.
[56:03.560 --> 56:09.080]  Police unions, others blast a blouse-y-o after shooting deaths of two NYPD cops because the
[56:09.080 --> 56:12.640]  mayor joined in with the Justice Department hate fest.
[56:12.640 --> 56:19.160]  NYPD cops furious turned their back on the mayor as he enters hospital where dead officers
[56:19.160 --> 56:20.160]  are held.
[56:20.160 --> 56:24.960]  Two NYPD officers assassinated while sitting in a patrol car in Brooklyn by government
[56:24.960 --> 56:30.240]  who boasted on Instagram about revenge killing cops saying, I'm going to put wings on cops
[56:30.240 --> 56:33.480]  today.
[56:33.480 --> 56:37.280]  So who needs suicide by cop when you just suicide by killing cop?
[56:37.280 --> 56:41.480]  This is what the media is pushing, it's the new trendy thing to do.
[56:41.480 --> 56:46.160]  Then the cops will get more violent, more aggressive, and then the cycle continues.
[56:46.160 --> 56:49.440]  Man-aimed empty gun and cops face pulled trigger.
[56:49.440 --> 56:50.440]  Police say.
[56:50.440 --> 56:51.440]  New York Post.
[56:51.440 --> 56:52.440]  Gun wasn't loaded anymore.
[56:52.440 --> 56:53.440]  Yeah, it wasn't loaded anymore.
[56:53.440 --> 56:57.800]  FBI issues warning, a black prison gang targeting white cops.
[56:57.800 --> 56:59.280]  That's just some of the news.
[56:59.280 --> 57:01.480]  Sharpton tries to back away from it.
[57:01.480 --> 57:06.440]  Before we end the shower, please don't take this radio transmission, the fact that you're
[57:06.440 --> 57:11.600]  hearing on local M&FM stations for granted, stations come, stations go, they change formats.
[57:11.600 --> 57:14.400]  They've never been on more stations, it doesn't matter.
[57:14.400 --> 57:19.960]  Download the free iPhone and droid apps at infowars.com forward slash show.
[57:19.960 --> 57:23.360]  This Christmas, give the gift of reality, grab your friends and families, iPhones or
[57:23.360 --> 57:28.680]  droids, get them to download the free apps at infowars.com forward slash show.
[57:28.680 --> 57:34.800]  Org for $29.95, close to half off, get a year membership to prisonplanet.tv and 20 people
[57:34.800 --> 57:39.000]  can use your membership, and it is you members out there that make it all possible, so thank
[57:39.000 --> 57:44.480]  you for being members of prisonplanet.tv to see the nightly news, my films and more.
[57:44.480 --> 57:50.520]  Prisonplanet.tv second hour coming up, stay with us.
[57:50.520 --> 57:55.560]  As the year is coming to a close, we all pause to reflect on what's happened in the past
[57:55.560 --> 57:56.560]  year.
[57:56.560 --> 57:59.120]  We take a step back and thank God for what we have.
[57:59.120 --> 58:02.400]  I'm David Hall, founder of Diamond Gusset Jeans.
[58:02.400 --> 58:06.320]  At Diamond Gusset, we are celebrating the brush fires of liberty that are spreading
[58:06.320 --> 58:08.760]  across this great nation.
[58:08.760 --> 58:11.280]  Another thing we are celebrating is you.
[58:11.280 --> 58:15.920]  Without the valued listeners of Alex Jones and our loyal customers, we wouldn't be here
[58:15.920 --> 58:16.920]  today.
[58:16.920 --> 58:19.960]  We offer a wonderful online shopping experience.
[58:19.960 --> 58:24.720]  If you receive a pair that doesn't fit, send them back and we'll exchange them at no cost
[58:24.720 --> 58:25.720]  to you.
[58:25.720 --> 58:32.200]  You can meet the shopping rush by visiting us at gusset.com and join our email newsletter
[58:32.200 --> 58:35.200]  to receive some great holiday discounts.
[58:35.200 --> 58:40.240]  And paying no attention to political correctness, Diamond Gusset wants to wish you all a merry
[58:40.240 --> 58:41.240]  Christmas.
[58:41.240 --> 58:49.560]  Thanks for believing in our dream, the original 100% American made Diamond Gusset Jeans.
[58:49.560 --> 58:54.240]  Sold out for weeks due to the difficult and extensive proprietary process behind its creation,
[58:54.240 --> 58:59.880]  the exclusive InfoWarsLife secret 12 formulation is now back in stock in the last limited shipment
[58:59.880 --> 59:00.880]  of 2014.
[59:00.880 --> 59:05.680]  The most bioactive form that has been created with our proprietary process, this ultra clean
[59:05.680 --> 59:10.240]  vitamin B12 nutraceutical has been carefully crafted and developed over the last two years
[59:10.240 --> 59:15.400]  and is based on cellular science of how your body actively absorbs essential nutrients.
[59:15.400 --> 59:18.280]  Secret 12 is taken by mouth right on the tongue and then swallowed.
[59:18.280 --> 59:20.000]  No needles, no injections.
[59:20.000 --> 59:25.880]  Vitamin B12 deficiency is linked to scores of serious problems and secret 12 is a fusion
[59:25.880 --> 59:32.240]  of two organic proprietary forms of vitamin B12 bringing you a true nutraceutical quality
[59:32.240 --> 59:34.960]  vitamin B12 secret 12.
[59:34.960 --> 59:40.720]  Secret 12 is an excellent Christmas gift and is tailor made to boost your New Year's resolutions.
[59:40.720 --> 59:42.720]  Supplies of secret 12 are very limited.
[59:42.720 --> 01:00:10.800]  Secure yours today at infowarslife.com or by calling toll-free 888-253-3139.
[01:00:12.720 --> 01:00:25.240]  Ladies and gentlemen, the toll-free number to join us is 877-789-ALEX.
[01:00:25.240 --> 01:00:32.240]  That's 877-789-2539, the Sunday numbers, our own in-house phone system, different than
[01:00:32.240 --> 01:00:34.600]  the weekday number.
[01:00:34.600 --> 01:00:46.360]  So that, again, ladies and gentlemen, is a easy number to remember, 877-789-ALEX, 877-789-2539.
[01:00:46.360 --> 01:00:49.640]  What are your most outrageous examples of political correctness?
[01:00:49.640 --> 01:00:53.120]  Probably trying to ban Christmas trees in Rockefeller Center, I would think that's probably
[01:00:53.120 --> 01:00:59.240]  it, or brown bags, but I want to hear your example and try to cite it if you can.
[01:00:59.240 --> 01:01:04.800]  That would be more interesting, I think, to wage war on political correctness, and also,
[01:01:04.800 --> 01:01:10.240]  how do you think Obama and the globalist attempt to start a race war is going?
[01:01:10.240 --> 01:01:16.760]  Not too good, black against white, but very nicely against the police, and you disagree
[01:01:16.760 --> 01:01:20.880]  with my analysis or analyses on that front.
[01:01:20.880 --> 01:01:29.560]  I want to hear from you on that issue here today.
