[00:00.000 --> 00:10.000]  It's Sunday, January 22nd, 2023.
[36:02.000 --> 36:08.000]  Joining us is one of the top lawyers at the tip of the spear fighting this. We'll cover several other issues before he's got to go.
[36:08.000 --> 36:10.000]  He's got to host his own show coming up in about 30 minutes.
[36:10.000 --> 36:17.000]  Robert Barnes, thank you for coming on. I mean, I said a year ago in late January that they would be defeated and it was over.
[36:17.000 --> 36:23.000]  It would just be a matter of time. I think we can say a year later everybody's turning against him across the board.
[36:23.000 --> 36:28.000]  The question is what do they do next? BBC every day is saying we were wrong. The shots are poison.
[36:28.000 --> 36:34.000]  It's a huge scandal of the ages. And I use the BBC. That's the government of Britain. That's government run.
[36:34.000 --> 36:39.000]  It's all over the news here. What the hell is going on? And what do you expect him to do?
[36:39.000 --> 36:43.000]  Because the deep state is not going to back down in my research and history.
[36:43.000 --> 36:51.000]  Barnes, you're a savvy man and you're deeply in the middle of exposing Pfizer with lawsuits, with whistleblowers, from them covering this up.
[36:51.000 --> 36:58.000]  And we have Bordela obviously a few days ago in Davos saying, oh, we talked to the CDC. No side effects. Well, the CDC says very dangerous signals.
[36:58.000 --> 37:02.000]  Where are we currently? What would you describe this moment right now?
[37:02.000 --> 37:08.000]  Well, there's a lot of pressure to crack the dam, but the institutional influence is still holding on.
[37:08.000 --> 37:17.000]  So like, I mean, to, you know, I mean, the, the, for example, that even though the military was forced to pull back on their vaccine mandate due to the passage of legislation,
[37:17.000 --> 37:29.000]  they were requiring it for people who are members of the reserves. Another example is, you know, the federal courts are still pushing back on allowing any kind of meaningful suit to go forward against either the CDC and the FDA,
[37:29.000 --> 37:35.000]  or the whistleblower claim brought by Brooke Jackson against the, against Pfizer directly.
[37:35.000 --> 37:41.000]  The biggest claim that would go into the heart of these issues is still pending with no discovery allowed, waiting for a motion to dismiss.
[37:41.000 --> 37:45.000]  So we're not out of the woods, but at least we know we're in the woods.
[37:45.000 --> 37:50.000]  Oh, absolutely. It's getting harder and harder for them to contain the truth.
[37:50.000 --> 38:03.000]  When your Elon Musk's of the world are coming out and saying the vaccine injured me, the vaccine caused a severe injury of my cousin, then that's, and it may have been part of the inspiration for him to take over Twitter and release.
[38:03.000 --> 38:10.000]  I mean, right now there's a big media dive going on of independent journalists into the Twitter files concerning Fauci.
[38:10.000 --> 38:16.000]  These will probably be the most damning Twitter files to be released entirely. So the system made institutional failures.
[38:16.000 --> 38:21.000]  You have, you see breaches in the dam repeatedly, breaks in the matrix repeatedly.
[38:21.000 --> 38:28.000]  You see it in the people being on BBC saying that these shots are dangerous, major medical professionals and doctors increased.
[38:28.000 --> 38:36.000]  I mean, every day, the way Robert Kennedy put it was every single day, they don't gain any converts. Every single day, we do.
[38:36.000 --> 38:48.000]  We're moving the football. They're not absolutely even Scott Adams who tried to be a cheerleader for the vaccines all the way through came out this week and said he was wrong and the vaccine critics were right.
[38:48.000 --> 38:56.000]  And he admitted the reason why he would got it wrong is he trusted government sources and media sources that that he probably shouldn't have trusted.
[38:56.000 --> 39:08.000]  So, you know, you have more and more people raising questions, challenging it, contesting it, doubting the institutional narrative. Even Benji Shapiro had to come out and say the vaccines weren't such a good idea.
[39:08.000 --> 39:18.000]  He misunderstood. He got the data wrong. So even these institutional narratives are breaking down amongst its own patrons and propagandizers.
[39:18.000 --> 39:24.000]  And so that's where they're getting into real risk. And the question is, when does it break through to the government?
[39:24.000 --> 39:29.000]  When does it break through to a federal judge? When do they get the message? It's time to hold these people accountable.
[39:29.000 --> 39:39.000]  But if you study history, even if the establishment is recalcitrant, something this big is not going to go away. And the more they try to suppress it, the more explosive it gets.
[39:39.000 --> 39:42.000]  Absolutely. They're going to do everything possible and conceivable.
[39:42.000 --> 39:57.000]  And we saw that in Davos this past week. The WEF was saying, let's do more vaccines. Tony Blair was a big conspiracy theory when we were talking about vaccine passports being a predicate for a digital chip and a digital ID and a digital biometric system
[39:57.000 --> 40:01.000]  and a social credit system superimposed on that digital credit system.
[40:01.000 --> 40:11.000]  Well, what did Tony Blair say at Davos? He said, we need a digital passport system. We need to use the vaccines to create a permanent digital passport system.
[40:11.000 --> 40:14.000]  So they're going to continue down their path.
[40:14.000 --> 40:18.000]  And of course, Robert, when you and I said that two and a half, three years ago, it wasn't because we just dreamed it up.
[40:18.000 --> 40:32.000]  The WEF and the UN with GG Ping had a four-year multinational research initiative to come up with a global ID based on a vaccine passport to create a global social credit score, carbon tax, universal basic income.
[40:32.000 --> 40:37.000]  So we knew their damn plan. We weren't making a prediction. We were telling them what was happening.
[40:37.000 --> 40:42.000]  It's like going to a play for the nutcracker like I did this year with my five-year-old and they give you a program.
[40:42.000 --> 40:47.000]  And if you've forgotten what comes next, you've got a five-page program tells you now this scene's coming up.
[40:47.000 --> 40:50.000]  I mean, we got the frickin' program.
[40:50.000 --> 40:57.000]  Absolutely. I mean, it's what you've been doing for several decades. It's just listening to what they themselves say, what they themselves write, what they themselves publish.
[40:57.000 --> 41:03.000]  Our mutual friend James Corbett put this out at the very beginning in his four-part Bill Gates documentary.
[41:03.000 --> 41:04.000]  Powerful.
[41:04.000 --> 41:08.000]  All you got to do is follow what Bill Gates is up to and you can figure out what the plan is.
[41:08.000 --> 41:17.000]  Bill Gates has been obsessed with digital IDs, digital chips, digital banking, digital vaccines, population control, food control, all of this now.
[41:17.000 --> 41:28.000]  And how criminal is it that from day one, big pharma with intelligence agencies worked with dinosaur media and big tech to suppress not just the truth about the shots or the virus, but therapeutics.
[41:28.000 --> 41:34.000]  And that, to me, is a whole other crime just as big as the shot. I mean, this is Joseph Mingle stuff.
[41:34.000 --> 41:39.000]  Oh, absolutely. I mean, God bless President Trump, but if he paid attention, they ran a number on him.
[41:39.000 --> 41:50.000]  One of the key lies to get emergency use authorization for any of this, to get Operation Warp Speed ever there, was to convince President Trump and America that there were no therapeutics available.
[41:50.000 --> 41:57.000]  I mean, they came after anybody who was talking about silver, talking about vitamin D, talking about zinc, talking about ivermectin.
[41:57.000 --> 42:04.000]  Now, talking about exercise, talking about the sun. You know, I mean, I got the winter sun, Info Wars product right behind me.
[42:04.000 --> 42:10.000]  They were saying all these things. No, these things couldn't help stop COVID. These things couldn't be a therapeutic. These things couldn't help you.
[42:10.000 --> 42:25.000]  Now they admit all those things can help you. But they hid that. Why? Because of this forced vaccine treatment, never would have got off the ground if the world would have known there were successful therapeutics already available that were more likely to be successful than the vaccine has ever proven.
[42:25.000 --> 42:28.000]  Here's the cherry on top. We'll come back with other issues.
[42:28.000 --> 42:40.000]  Fauci from 2009 to 2015, this is mainstream news. Looking up, we've covered it, ran a Pentagon initiative trying to find a cure treatment for SARS and coronavirus COVID-like stuff out of China.
[42:40.000 --> 42:48.000]  And they found hydroxychloroquine and also the so-called horse pace, ivermectin, were almost 100% effective.
[42:48.000 --> 42:56.000]  That was all out of Pentagon study reports, and they knew it in a Fauci study out many years ago. Incredible evil.
[43:19.000 --> 43:28.000]  When you buy the coin, you know that you are supporting the transmission and you get a historical memento so you can remember the great contribution you made to freedom.
[43:28.000 --> 43:41.000]  Now, despite the fact that the coins are selling out, the last of the four coin series, Teddy Roosevelt Man the Arena, we're offering it for $30 off right now while supplies last at 1776coin.com.
[43:41.000 --> 43:50.000]  And just like an NPR pledge drive where they mark up a coffee cup or a t-shirt or a DVD, 300%, that's what we've done with this because it's a fundraiser.
[43:50.000 --> 43:59.000]  But despite that, we're offering $30 off exclusively at 1776 on what coins remain. Please go to 1776coin.com right now.
[43:59.000 --> 44:04.000]  Introducing our new incredible supplement line in Four Wars MD.
[44:04.000 --> 44:16.000]  Now, in 60 seconds, it's hard to tell you how incredible these products are, but all of these products are already sold on store shelves under other brand names for up to twice the cost we're selling it to you.
[44:16.000 --> 44:27.000]  These are high-end. These are the very best. You know, our body's ultimate tumor formula is amazing? Well, guess what? We now have Turmeric 95 that's basically the same formula for a lower price.
[44:27.000 --> 44:37.000]  CBD oil of the highest quality, up to 50% less than major competitors selling the exact high-quality full-spectrum CBD.
[44:37.000 --> 44:52.000]  And it goes on for all the new M4Wars MD products at m4warstore.com. The highest quality directly from the manufacturer to your door at prices up to 50% in some cases 100% lower than what they're sold for in stores.
[44:52.000 --> 44:58.000]  M4Wars MD at m4warstore.com.
[44:58.000 --> 45:08.000]  M4Wars MD is finally here. It's the very same high-quality products you've been getting through M4Wars Life, but an expanded catalog.
[45:08.000 --> 45:19.000]  And in some cases, the prices are lower because we're going directly to the source that was supplying the supplement companies that we were buying our high-quality products from.
[45:19.000 --> 45:28.000]  So we're able to lower prices and bring you more products via the M4Wars MD line. The highest quality, triple-tested.
[45:28.000 --> 45:36.000]  Many of these products are sold on store shelves for more than twice the cost. You'll get them at m4warstore.com under our exclusive label.
[45:36.000 --> 45:42.000]  We are bringing you the highest quality supplements directly from the factory right here in the USA to your door.
[45:42.000 --> 45:48.000]  It'll make your life healthy, better, boost your immune system, and it keeps M4Wars store on the air.
[45:48.000 --> 45:59.000]  So again, introducing M4Wars MD now exclusively available at m4warstore.com with massive, massive sales.
[45:59.000 --> 46:12.000]  There's a war against our masculinity. There's a war in the environment, the food, the water, the air, the electromagnetics, the injections to really cut us off from what God designed us to be.
[46:12.000 --> 46:20.000]  But through Mother Nature, the Creator gave us compounds that can counteract what the globalists have done.
[46:20.000 --> 46:27.000]  And I got to tell you, all our supplements are great, but we've got a real game changer now. We've never put anything out that's powerful.
[46:27.000 --> 46:34.000]  It's M4Wars Platinum, now exclusively available at 40% off at m4warstore.com.
[46:34.000 --> 46:45.000]  This is private labeled, three of the top best sellers in the country right now, but it's exclusively available under the brand name and private label of M4Wars Platinum at m4warstore.com.
[46:45.000 --> 46:52.000]  It's HGH Boost Max, it's Pain MD, and it's 1776 Testosterone Boost.
[46:52.000 --> 47:08.000]  Yield it to yourself and your way of life and your well-being to try these out and fund the M4Wars.
[47:22.000 --> 47:26.000]  Have the guts, got the glory.
[47:26.000 --> 47:34.000]  With the distance, now I'm not gonna stop just a man, having his will to survive.
[47:34.000 --> 47:37.000]  It's the eye of the tiger.
[47:37.000 --> 47:46.000]  Really ought to be our theme song, all of ours. All the patriots, black, white, old, young, gay, straight, all of you that knew the truth about the new world order and the deadly shots of the tyranny.
[47:46.000 --> 47:54.000]  And you didn't care what the propaganda say, you didn't care if you got censored, you didn't care if you got debanked, you didn't care if you got attacked, you did the right thing.
[47:54.000 --> 47:56.000]  You're the tiger.
[47:56.000 --> 47:58.000]  Woo!
[47:58.000 --> 48:01.000]  I got a four or five issues I want to hit because you gotta leave, you're gonna be back.
[48:01.000 --> 48:07.000]  Mary Simpson was for a full hour, but Robert Barnes, great constitutional lawyer, one of the smartest guys I know as a historian.
[48:07.000 --> 48:10.000]  How would you quantify this moment in the awakening we're at?
[48:10.000 --> 48:16.000]  And then I want to hit them raiding Biden's house now, I'm finding a third tranche of documents, what that signifies.
[48:16.000 --> 48:23.000]  Again, it seems like the Stephen Crowder daily wire fight is beneath the radar, not saying Crowder isn't important or they're not important, I'm saying.
[48:23.000 --> 48:34.000]  Little squabbles aren't important, but this is a little squabble, this shows how, by frankly Fox News and the Mockingbird operation controls the conservative nationalist movement will hit that before you leave.
[48:34.000 --> 48:46.000]  But just what do you want to say to the troops out there? Because they need a real, real salute. I'm not a guy that just rah rah rah, but when it's time to have, when we've had big victory, we should have a little bit of a spiritual celebration.
[48:46.000 --> 48:54.000]  Oh, no doubt about it. I mean, the bottom line is because we were on the front lines and because the infor's audience was on the front lines and stayed in the fight, didn't go away.
[48:54.000 --> 49:04.000]  All the law fair, all the political, all the deep platforming, all of it was intended to suppress and censor and shame the audience into going away.
[49:04.000 --> 49:12.000]  I mean, the lawyer made it explicit in Connecticut, said the whole goal and objective isn't to recover money for anybody, it's to shut down infowars.
[49:12.000 --> 49:20.000]  And the best way to get that is to get the audience to run away, to high and think about how much pressure has been brought on this audience over the last several years.
[49:20.000 --> 49:30.000]  Their jobs were threatened, their ability to travel was threatened, their ability to send their kids to school was threatened, their ability to do basic, their ability to basic access to medical care was threatened.
[49:30.000 --> 49:41.000]  They were told they were criminals, they were told they were murderers, but they did the research and the medical experts went public and the heroes went public and we have won a major victory. We're winning right now, aren't we, Barnes?
[49:41.000 --> 49:55.000]  No doubt about that. When you have billionaires like Elon Musk buying Twitter to out and expose the deep state because in part he was injured by this vaccine, that's what's going to happen because guys like Musk are paying attention to the whole audience too.
[49:55.000 --> 50:04.000]  And so when they see, hey, these people out here are saying that this is a dangerous product, but all the big people tell me it's not. So I go with the big people and it turns out it was a dangerous product.
[50:04.000 --> 50:10.000]  Maybe I need to reexamine what's happening in the world and use my wealth and power to open the door on the truth.
[50:10.000 --> 50:26.000]  And even if Musk isn't perfect, he can see which way the wind's blowing and that Liberty's going to win. This is a real, and Scott Adams and all of them, the BBC and ABC and CNN coming out and saying the mass didn't work and locking kids down didn't work and sorry, the shots really didn't work.
[50:26.000 --> 50:36.000]  They are capitulating. So any way you slice it, it is victory. Let's talk about Joe Biden and this rain on his house by the FBI yesterday.
[50:36.000 --> 50:44.000]  Yeah, I mean, I mean, apparently you can walk out of your footstep, you know, walk out your door and run into some classified documents that Joe Biden had stored.
[50:44.000 --> 50:54.000]  So I mean, there's been so much confession through projection. One of my favorite principles out there. Somebody accused you of something weird. Listen to it. They're probably confessing their own crimes.
[50:54.000 --> 51:09.000]  People at the Democratic Party has talked about Trump for five years, six years, and basically they were confessing Biden's own crimes. And what it is is like, why did they claim they claim Trump had classified documents because he was trying to sell them to for or monetize them for his personal game to
[51:09.000 --> 51:16.000]  foreign governments. Trump never did that. Trump had documents that embarrassed the deep state who did have documents in order to prop it.
[51:16.000 --> 51:20.000]  And he was the president. He was allowed to have a Biden got this news vice president.
[51:20.000 --> 51:31.000]  Not only that, he had some of these back from his Senate days. So he's been storing the using his access to classified materials to monetize it, use his family to be the ones to go out and be the front guys.
[51:31.000 --> 51:37.000]  That's why it's not a coincidence that Hunter Biden was living at the house where these documents were stored.
[51:37.000 --> 51:51.000]  He was a known Chinese communist spy in his own audio recordings, working with the head of Chinese intelligence, 50,000 a month to pay for the house as a safe house for the chai comms. But clearly they're wanting to get rid of Biden now.
[51:51.000 --> 52:01.000]  Oh, they do. But the problem is they have an idiot in Kamala Harris. Kamala Harris's staff hates her. Kamala, the country hates her. Every poll shows she does worse than Biden.
[52:01.000 --> 52:08.000]  And that she's so unlikable, they would like to Spiro Agnew her. You know, like what they did to Nixon when they they took Spiro Agnew.
[52:08.000 --> 52:10.000]  They used taxes on him. Yeah.
[52:10.000 --> 52:18.000]  Exactly. And that allowed them to take Nixon out as Tucker Carlson just talks about. We've been talking about that conspiracy going on for four years.
[52:18.000 --> 52:22.000]  Well, credit to Tucker Carlson for publicly talking about it on Fox News.
[52:22.000 --> 52:25.000]  And we're going to play that report in the first little segment coming up. Guys, get it ready after you leave.
[52:25.000 --> 52:35.000]  Because of time, let's shift gears. I can talk to you for five hours, Barnes. Let's get into the media calls a circular firing squad between Stephen Crowder and Ben Shapiro.
[52:35.000 --> 52:41.000]  But that's not. He said, I don't want the 50 million, which was over five years with bandwidth and crew. That's not that much money, folks.
[52:41.000 --> 52:46.000]  That ain't worked that much. I can tell you what it takes to run this. He's running a similar operation.
[52:46.000 --> 52:54.000]  So he leaves the blaze. He goes to them. They send him a contract saying a big tech censors you. You're locked in the contract for five years, but you're not going to be paid any money.
[52:54.000 --> 52:59.000]  He said, this is insane. I'm not taking the deal. But what about your people? He goes, well, they're wage slaves.
[52:59.000 --> 53:05.000]  Then they spun it that he was mad and wanted more money. So he releases a recording showing that wasn't it. He had to.
[53:05.000 --> 53:10.000]  People said, oh, he's a bitch releasing that. He's only recorded people three times. I don't record people very often.
[53:10.000 --> 53:15.000]  But I deal with Megan Kelly because when it's that evil, you should record it. Give us your take on it.
[53:15.000 --> 53:22.000]  Absolutely. I mean, the contract wasn't a 50 million dollar contract. The contract was an indentured servitude contract to be loyal to big tech.
[53:22.000 --> 53:29.000]  You lose your money for the next six years. You do the math. I mean, we've done these kind of contracts. We've seen these kind of contracts.
[53:29.000 --> 53:36.000]  It's common in the entertainment industry, sadly. It's a classic old record executive where, oh, you might get this if you do everything we say.
[53:36.000 --> 53:43.000]  Exactly. It's a contract that puts a big dollar amount up front that makes you tempted to take it. Then you dig into the details and you find out what this deal did.
[53:43.000 --> 53:52.000]  Stephen Crowder was going to have to pay the daily wire money to produce his own content and they daily wire would keep all of the profits.
[53:52.000 --> 54:02.000]  It was literal indentured servitude. If Big Tech censored him, he owed them money under the contract. They didn't owe him anything and they owned him for up to six years.
[54:02.000 --> 54:13.000]  It was a unilateral provisions in place. So the contract wasn't a 50 million dollar contract. It was, hey, Stephen Crowder, be an indentured servant, be loyal to Big Tech, or be, that's your choice.
[54:13.000 --> 54:16.000]  Either be loyal to Big Tech or you're going to be an indentured servant.
[54:16.000 --> 54:19.000]  And I even said be our slave on the audio.
[54:19.000 --> 54:34.000]  No, that's exactly what it was all about. It was about the daily wire was founded by a billionaire family out of Texas connected to natural gas and fracking that's involved in a real religious, weird religious movement,
[54:34.000 --> 54:42.000]  that backed Ted Cruz, that founded the daily wire to take out Breitbart and Bannon to try to take out the populist wing of the Republican Party.
[54:42.000 --> 54:50.000]  Jeremy Boring has admitted that it being an anti Trump platform was their foundation. They were backed by spook related money and spook related sources.
[54:50.000 --> 54:57.000]  Their goal. It's not a coincidence. They were big backers of Ted Cruz. It's not a coincidence. They were big Trump haters. It's not a coincidence.
[54:57.000 --> 54:59.000]  They've horded for every war in existence.
[54:59.000 --> 55:07.000]  Now, there's no doubt that if you're going to control the opposition, you should lead it. And it's 100% that Ben Shapiro is a figurehead.
[55:07.000 --> 55:14.000]  And there's some good people the daily wire. I don't want to attack them all, but I'm going to tell you folks, they are worse than the Democrats.
[55:14.000 --> 55:20.000]  They are the Judas Goats. They are Judas Iscariot. Ben Shapiro is Judas Iscariot.
[55:20.000 --> 55:27.000]  Absolutely. I mean, and then he comes out and he lies about the contract. He lies about Stephen Crowder. He lies about the negotiations.
[55:27.000 --> 55:29.000]  That's what these be. It's not a coincidence.
[55:29.000 --> 55:33.000]  And then we saw the Twitter bots turn on against Crowder. That's what you know. Sorry, go ahead.
[55:33.000 --> 55:40.000]  Look at the institutional media. All the media was anti-Crowder. That was their spin on this. The Reuters, AP, Young Turks, Media Matters,
[55:40.000 --> 55:47.000]  all those organizations all took the spin for the daily wire against Stephen Crowder.
[55:47.000 --> 55:53.000]  I think Crowder stumbled into this. Crowder didn't realize he was stumbling into an operation mockingbird operation.
[55:53.000 --> 56:03.000]  But I mean, to give people an idea, the daily wire is backed by billionaires. Probably a billion-dollar company makes hundreds of millions of dollars a year.
[56:03.000 --> 56:08.000]  This deal was done in order to lock up and co-op and control and cabin and contain conservative voices.
[56:08.000 --> 56:15.000]  Which is what Fox News has been doing forever. Which is what Fox News did forever.
[56:15.000 --> 56:21.000]  Absolutely. You couldn't have a bigger contrast than the daily wire and info wars.
[56:21.000 --> 56:27.000]  See, what is, is a lot of people who follow the daily wire, they follow, you know, Candice Owens can say some really good stuff.
[56:27.000 --> 56:31.000]  Andrew Clavin can say some really good stuff. They sometimes say really good stuff.
[56:31.000 --> 56:36.000]  But when you need them, the leaders of the daily wire are on the wrong side.
[56:36.000 --> 56:43.000]  They're pro-shot. They're pro-New World Order. Absolutely. They're anti-gun.
[56:43.000 --> 56:47.000]  Absolutely. That's who they are. And that's the definition of controlled opposition.
[56:47.000 --> 56:53.000]  There's no opposition on some things where we share alignment, but they'll be controlled on the big issues that threaten deep state power.
[56:53.000 --> 56:58.000]  That's the difference between, I mean, I always say how they respond to Alex Jones describes it.
[56:58.000 --> 57:03.000]  Do they embrace defending free speech? No, no, no. Ben Shapiro supported my banning.
[57:03.000 --> 57:07.000]  All right, Barnes, great job. We should support Stephen Crowder all the way.
[57:07.000 --> 57:10.000]  Anybody that does it is a complete idiot. People go, well, he's not hardcore enough.
[57:10.000 --> 57:13.000]  Well, he ain't run by the deep state. And I wish Crowder would have listened to me.
[57:13.000 --> 57:18.000]  You got to leave the blaze. You got to do your own product sales direct. You'll be totally free.
[57:18.000 --> 57:21.000]  And then I can work for Crowder. And I love Crowder.
[57:21.000 --> 57:25.000]  The point is, is that he's got to break with him. He gets it now.
[57:25.000 --> 57:30.000]  He thought he was leaving something bad with the blaze. He jumped right out of the fire into Hades itself.
[57:30.000 --> 57:36.000]  Speaking of that clip of Tucker Carlson talking about Nixon, it's powerful. It's coming up next.
[57:36.000 --> 57:39.000]  Second hour is right ahead. Robert Barnes, thank you so much.
[57:39.000 --> 57:41.000]  Absolutely. Glad to be here.
[57:41.000 --> 57:44.000]  He's got his own podcast coming up in about two minutes.
[57:44.000 --> 58:12.000]  We'll be right back with our number two info wars.com forward slash show.
[58:12.000 --> 58:17.000]  Right now, telling the truth at Band-Aut Video. Millions of people today visiting Band-Aut Video.
[58:17.000 --> 58:22.000]  But you can take that information and cause a bigger ripple effect, an amplifying effect,
[58:22.000 --> 58:26.000]  and make sure it gets out to your friends, your family, your neighbors, and perfect strangers.
[58:26.000 --> 58:32.000]  You are the modern Paul Revere's. You are what takes our information and amplifies it.
[58:32.000 --> 58:37.000]  When you decide to take action, we as a species and as a race are invincible.
[58:37.000 --> 58:42.000]  So I thank you all for your past action and I challenge you to redouble your efforts now
[58:42.000 --> 58:50.000]  because humanity and the children are counting on you.
[58:50.000 --> 58:56.000]  In the year 2000, Alex Jones' film Dark Secrets Inside Bohemian Grove
[58:56.000 --> 59:05.000]  showed the world how our so-called elite leaders practice mock ritual sacrifices in private.
[59:05.000 --> 59:10.000]  In 2007, Alex Jones releases Endgame, exposing the world elite's plans
[59:10.000 --> 59:15.000]  for covertly using biological weapons against all of mankind.
[59:15.000 --> 59:22.000]  And by the time they launched their attack in 2020, Alex Jones' info wars and our audience
[59:22.000 --> 59:27.000]  were there to warn the people of the deadly vaccines that we knew were coming.
[59:27.000 --> 59:32.000]  This is why they attack us. This is why we need your support.
[59:32.000 --> 59:36.000]  Because we tell the truth, Alex Jones was right.
[59:36.000 --> 59:42.000]  Join the resistance, buy products, donate to the cause, share the leaks,
[59:42.000 --> 59:51.000]  join us in the fight for freedom and help us defeat the New World Order.
[59:51.000 --> 01:00:01.000]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:00:01.000 --> 01:00:04.000]  And we are back live at hour number two of this Sunday broadcast.
[01:00:04.000 --> 01:00:10.000]  I'll be hosting end to the third and fourth hour with a very important film we made.
[01:00:10.000 --> 01:00:14.000]  Please stay with us so much coming up, but since Robert Barnes mentioned it,
[01:00:14.000 --> 01:00:17.000]  here, I was on the fence while I was going to play or not, but here's an out of the park report
[01:00:17.000 --> 01:00:22.000]  done Friday by the amazing Tucker Carlson on the real Richard Nixon.
[01:00:22.000 --> 01:00:25.000]  Here is this report. We'll be right back.
[01:00:25.000 --> 01:00:31.000]  So if you want to understand, if you really want to understand how the American government actually works
[01:00:31.000 --> 01:00:34.000]  at the highest levels, and if you want to know why they don't teach history anymore,
[01:00:34.000 --> 01:00:40.000]  one thing you should know is that the most popular president in American history was Richard Nixon.
[01:00:40.000 --> 01:00:46.000]  Richard Nixon. Yet somehow, without a single vote being cast by a single American voter,
[01:00:46.000 --> 01:00:52.000]  Richard Nixon was kicked out of office and replaced by the only unelected president in American history.
[01:00:52.000 --> 01:00:57.000]  So he went from the most popular president to a president nobody voted for.
[01:00:57.000 --> 01:01:02.000]  Wait a minute, you may ask. Why didn't I know that? Wasn't Richard Nixon a criminal?
[01:01:02.000 --> 01:01:07.000]  Wasn't he despised by all decent people? No, he wasn't.
[01:01:07.000 --> 01:01:11.000]  In fact, if any president could claim to be the people's choice, it was Richard Nixon.
[01:01:11.000 --> 01:01:19.000]  Richard Nixon was reelected in 1972 by the largest margin the popular vote ever recorded before or since.
[01:01:19.000 --> 01:01:23.000]  Nixon got 17 million more votes than his opponent.
[01:01:23.000 --> 01:01:26.000]  Less than two years later, he was gone. He was forced to resign.
[01:01:26.000 --> 01:01:31.000]  And in his place, an obedient servant of the federal agencies called Gerald Ford took over the White House.
[01:01:31.000 --> 01:01:33.000]  How did that happen?
[01:01:33.000 --> 01:01:36.000]  What's a long story, but here are the highlights, and they tell you a lot.
[01:01:36.000 --> 01:01:42.000]  Richard Nixon believed that elements in the federal bureaucracy were working to undermine the American system of government
[01:01:42.000 --> 01:01:48.000]  and had been doing that for a long time. He often said that. He was absolutely right.
[01:01:48.000 --> 01:01:54.000]  On June 23, 1972, Nixon met with the then CIA director Richard Helms at the White House.
[01:01:54.000 --> 01:01:59.000]  During the conversation, which thankfully was tape recorded, Nixon suggested he knew, quote,
[01:01:59.000 --> 01:02:03.000]  who shot John, meaning President John F. Kennedy.
[01:02:03.000 --> 01:02:10.000]  Nixon further implied that the CIA was directly involved in Kennedy's assassination, which we now know it was.
[01:02:10.000 --> 01:02:14.000]  Helms' telling response? Total silence.
[01:02:14.000 --> 01:02:17.000]  But for Nixon, it didn't matter because it was already over.
[01:02:17.000 --> 01:02:24.000]  Four days before, on June 19, the Washington Post had published the first of many stories about a break-in at the Watergate office building.
[01:02:24.000 --> 01:02:32.000]  Unbeknownst to Nixon and unreported by the Washington Post, four of the five burglars worked for the CIA.
[01:02:32.000 --> 01:02:38.000]  The first of many dishonest Watergate stories was written by a 29-year-old metro reporter called Bob Woodward.
[01:02:38.000 --> 01:02:41.000]  Who exactly was Bob Woodward?
[01:02:41.000 --> 01:02:47.000]  Well, he wasn't a journalist. Bob Woodward had no background whatsoever in the news business.
[01:02:47.000 --> 01:02:52.000]  Instead, Bob Woodward came directly from the classified areas of the federal government.
[01:02:52.000 --> 01:02:57.000]  Shortly before Watergate, Woodward was a naval officer at the Pentagon. He had a top-secret clearance.
[01:02:57.000 --> 01:03:00.000]  He worked regularly with the intel agencies.
[01:03:00.000 --> 01:03:06.000]  At times, Woodward was even detailed to the Nixon White House where he interacted with Richard Nixon's top aides.
[01:03:06.000 --> 01:03:13.000]  Soon after leaving the Navy for reasons that have never been clear, Woodward was hired by the most powerful news outlet in Washington
[01:03:13.000 --> 01:03:16.000]  and assigned the biggest story in the country.
[01:03:16.000 --> 01:03:22.000]  And just to make it crystal clear what was actually happening, Woodward's main source for his Watergate series was
[01:03:22.000 --> 01:03:25.000]  the deputy director of the FBI, Mark Felt.
[01:03:25.000 --> 01:03:30.000]  And Mark Felt ran, and we're not making this up, the FBI's COINTELPRO program,
[01:03:30.000 --> 01:03:35.000]  which was designed to secretly discredit political actors the federal agencies wanted to destroy.
[01:03:35.000 --> 01:03:38.000]  People like Richard Nixon.
[01:03:38.000 --> 01:03:44.000]  And at the same time, those same agencies were also working to take down Nixon's elected vice president, Spiro Agnew.
[01:03:44.000 --> 01:03:49.000]  In the fall of 1973, Agnew was indicted for tax evasion and forced to resign.
[01:03:49.000 --> 01:03:54.000]  His replacement was a colorless congressman from Grand Rapids called Gerald Ford.
[01:03:54.000 --> 01:03:57.000]  What was Ford's qualification for the job?
[01:03:57.000 --> 01:04:04.000]  Well, he had served on the Warren Commission, which absolved the CIA of responsibility for President Kennedy's murder.
[01:04:04.000 --> 01:04:08.000]  Nixon was strong armed into accepting Gerald Ford by Democrats in Congress.
[01:04:08.000 --> 01:04:13.000]  Quote, we gave Nixon no choice but Ford, Speaker of the House Carl Albert later boasted.
[01:04:13.000 --> 01:04:19.000]  Eight months later, Gerald Ford of the Warren Commission was the president of the United States.
[01:04:19.000 --> 01:04:21.000]  See how that works?
[01:04:21.000 --> 01:04:25.000]  So those are the facts, not speculation, all of that actually happened.
[01:04:25.000 --> 01:04:28.000]  None of it's secret, most of it actually is on Wikipedia.
[01:04:28.000 --> 01:04:32.000]  But no mainstream news organization has ever told that story.
[01:04:32.000 --> 01:04:36.000]  It's so obvious, yet it's intentionally ignored.
