[00:00.000 --> 00:25.000]  Yeah! Praise God America is Awakening! Humanity is Awakening! And Jesus Christ is King!
[34:16.000 --> 34:20.000]  That's in Ramsey's writings.
[34:20.000 --> 34:22.000]  It's carved in stone.
[34:22.000 --> 34:31.000]  The Ten Commandments, as far as Ramsey's existing and the Israelites leaving, that all happened.
[34:31.000 --> 34:35.000]  And he said, his father said, I want every firstborn of the Israelites killed.
[34:35.000 --> 34:37.000]  There's too many men.
[34:37.000 --> 34:41.000]  Everybody knew it's firstborns that get the genetic compliment more than others.
[34:41.000 --> 34:44.000]  Whatever reason, it's not just that they're around adults only.
[34:44.000 --> 34:47.000]  There are always kids in the village and they're always around other kids.
[34:47.000 --> 34:56.000]  It's something proven with firstborn males, especially that there's a transference of genetic memory and activation at the cellular level.
[34:56.000 --> 34:59.000]  It happens to some firstborn girls, but it's been mainly men.
[34:59.000 --> 35:03.000]  And it's also another mammal species as well.
[35:03.000 --> 35:04.000]  They don't know why.
[35:04.000 --> 35:07.000]  Like in breeding, a lot of times the first, like two champion horses, you breed them.
[35:07.000 --> 35:11.000]  And the first, they'll try to select for male race horses.
[35:11.000 --> 35:12.000]  And they'll select.
[35:12.000 --> 35:15.000]  And it's that first one they have that's the one.
[35:15.000 --> 35:17.000]  That horse can have 20.
[35:17.000 --> 35:19.000]  But it's that first one.
[35:19.000 --> 35:21.000]  There's just something happens.
[35:21.000 --> 35:27.000]  And so why did every ancient culture, the Aztecs demanded firstborn males of whatever group they conquered.
[35:27.000 --> 35:28.000]  They'd say, we got to do a sacrifice.
[35:28.000 --> 35:30.000]  Give us your firstborn men.
[35:30.000 --> 35:31.000]  I'd be five years old.
[35:31.000 --> 35:32.000]  I'd be 10 years old.
[35:32.000 --> 35:39.000]  You had to pony up sterilizing a child for a better life.
[35:39.000 --> 35:40.000]  The Atlantic.
[35:40.000 --> 35:48.000]  Imagine a massive sick headline about chemically sterilizing, stunting their growth, all of it.
[35:48.000 --> 35:50.000]  That's what all this is about.
[35:50.000 --> 35:52.000]  Of course they're stealing the election.
[35:52.000 --> 35:53.000]  They have to.
[35:53.000 --> 35:57.000]  They can't have the repudiation of everything the new order stands for.
[35:57.000 --> 36:02.000]  They can't have their whole globalist system fall apart.
[36:02.000 --> 36:05.000]  They have to say, no, we reject that.
[36:05.000 --> 36:15.000]  Give us the image, not of a strong man, not of a good man, not of someone of honor, but give us the image of a crypt keeper, a reanimated corpse.
[36:15.000 --> 36:17.000]  Now, obviously a 10 year old would know what that means.
[36:17.000 --> 36:20.000]  A five year old would know what that means.
[36:20.000 --> 36:24.000]  Calling saying someone looks like a dead body isn't threatening to kill them.
[36:24.000 --> 36:33.000]  It's because if they look like a dead body, if they hobble around like a skeleton with a thin piece of skin over its face.
[36:33.000 --> 36:35.000]  Everyone gets that Joe Biden is a crypt keeper.
[36:35.000 --> 36:40.000]  Everybody gets Joe Biden is way past his expiration date.
[36:40.000 --> 36:43.000]  Everybody gets what that means.
[36:43.000 --> 36:58.000]  But because it's true by the alchemy of fraud, 1000 plus publications, CNN, you name it, Alex Jones is threatened to kill Joe Biden.
[36:58.000 --> 37:01.000]  And most articles don't even show you the video.
[37:01.000 --> 37:06.000]  They'll show you the video, but in the context, if they are that stupid, which they're not, let me decipher for him.
[37:06.000 --> 37:08.000]  I said, I don't know what's going to happen in 38 days.
[37:08.000 --> 37:12.000]  I don't know who'll be in there, but one way or another, he'll be removed.
[37:12.000 --> 37:21.000]  And then I went into how he's a Chinese agent and how he's got all the dirt on him and how he's a globalist and how he will get removed, meaning by impeachment or he'll step down.
[37:21.000 --> 37:29.000]  Why the hell would I a want to go to prison saying kill some of the president elect as they call him.
[37:29.000 --> 37:33.000]  And turning into a damn martyr.
[37:33.000 --> 37:35.000]  That's the last thing I'd ever wanted.
[37:35.000 --> 37:36.000]  They know that.
[37:36.000 --> 37:42.000]  They know that full well.
[37:42.000 --> 37:43.000]  But that's why they lie.
[37:43.000 --> 37:45.000]  Here's what I actually said.
[37:45.000 --> 37:46.000]  And again, it's bigger than Alex Jones.
[37:46.000 --> 37:51.000]  Their move now is, oh, everyone against them is anti-democracy.
[37:51.000 --> 37:53.000]  No, we're for our republic.
[37:53.000 --> 37:54.000]  All of us are violent.
[37:54.000 --> 37:56.000]  All of us want to hurt Joe Biden.
[37:56.000 --> 37:58.000]  What is that telegraph?
[37:58.000 --> 38:02.000]  Well, it telegraphs their next move, which is if I was them, I wouldn't do this.
[38:02.000 --> 38:03.000]  I'm saying I understand their mindset.
[38:03.000 --> 38:11.000]  If I was evil like them, if I was a reprobate, if I was a Satanist like them, the next move will be a giant false flags to be blamed on Liberty Movement.
[38:11.000 --> 38:13.000]  That way you can't criticize Obama or you're for the terrorism.
[38:13.000 --> 38:15.000]  They're going to quit free speech with terrorism.
[38:15.000 --> 38:16.000]  They're already doing it.
[38:16.000 --> 38:17.000]  That's their next move.
[38:17.000 --> 38:18.000]  And that's where this is coming.
[38:18.000 --> 38:22.000]  And that's why Trump can't let Biden get in and we can't let him either.
[38:22.000 --> 38:25.000]  Because once they get him in, all hell's coming.
[38:25.000 --> 38:26.000]  It's not going to go away.
[38:26.000 --> 38:27.000]  They don't want to just loot stuff.
[38:27.000 --> 38:28.000]  They've been doing that for 40 years.
[38:28.000 --> 38:30.000]  They're going to end the country as we know it.
[38:30.000 --> 38:32.000]  That's their game plan.
[38:32.000 --> 38:34.000]  So it's not just it.
[38:34.000 --> 38:37.000]  Biden might have a shot at getting in.
[38:37.000 --> 38:41.000]  They're stealing it all, but it's so outrageous and so big and so evil.
[38:41.000 --> 38:44.000]  It should backfire and should be repudiated.
[38:44.000 --> 38:47.000]  But if it's not, they're going to take that as a green light to go all the way.
[38:47.000 --> 38:49.000]  Here's what I actually said.
[38:49.000 --> 38:58.000]  With the Biden's hits open and shut, so I don't know who's going to the White House in 38 days, but I sure know this.
[38:58.000 --> 39:09.000]  Joe Biden is a globalist and Joe Biden will be removed one way or another.
[39:09.000 --> 39:15.000]  Our great first president, we literally are here on his farm.
[39:15.000 --> 39:20.000]  Now again, you got to watch the whole eight-minute speech to get what really happened because the way the news did it is,
[39:20.000 --> 39:24.000]  they took something from the first of speech, something from the middle, something from the end.
[39:24.000 --> 39:26.000]  Like, he's a crepe keeper.
[39:26.000 --> 39:29.000]  He's walking dead saying the guy's a puppet.
[39:29.000 --> 39:35.000]  Then they cut that into, he'll be removed one way or another to again try to deceive in text.
[39:35.000 --> 39:36.000]  That's all they are.
[39:36.000 --> 39:37.000]  It's frauds and you know that.
[39:37.000 --> 39:39.000]  So the good news is you repudiated them.
[39:39.000 --> 39:40.000]  Trump won.
[39:40.000 --> 39:41.000]  You rejected them.
[39:41.000 --> 39:45.000]  But now they're going to try to convince you that this creature is your president.
[39:45.000 --> 40:14.000]  It's not going to work any way you slice it as long as we keep resisting.
[40:14.000 --> 40:21.000]  It's quite so important to those of you out there that have supported the broadcasts and the websites and the films and all the rest of the information we put out
[40:21.000 --> 40:25.000]  to realize how important your work has been and to redouble your efforts.
[40:25.000 --> 40:26.000]  So I salute you and I thank you.
[40:26.000 --> 40:28.000]  Also, as Christmas, he's almost here.
[40:28.000 --> 40:29.000]  Don't wait.
[40:29.000 --> 40:32.000]  Do your shopping at infowarstore.com.
[40:32.000 --> 40:39.000]  Get amazing good pseudicles that boost your immune system and make your life so much better overall for adults and children.
[40:39.000 --> 40:42.000]  Get great water filtration, air filtration that enriches your life.
[40:42.000 --> 40:50.000]  Books, films, t-shirts, survival gear, storable food, locket pockets, privacy pouches and so much more at infowarstore.com.
[40:50.000 --> 41:13.000]  And again, thank you all for your support and Merry Christmas.
[41:13.000 --> 41:38.000]  Thank you.
[41:38.000 --> 41:44.000]  I'll start saying that we are not expendable, that we are not disposable, that we are essential.
[41:44.000 --> 41:47.000]  Until we do that, we are all slaves.
[41:47.000 --> 41:54.000]  We must stand up and declare our basic God-given human rights now.
[41:54.000 --> 41:58.000]  We are witnessing a perfect dichotomy of psychological warfare.
[41:58.000 --> 42:08.000]  The United Nations, the big corporations, the globalist, big tech and big farmer are all pushing the COVID's most deadly thing in history, even though statistically it's a very weak flu or cold.
[42:08.000 --> 42:11.000]  But if you are deficient, then you can actually die from it.
[42:11.000 --> 42:14.000]  That's why you see somebody dying into other nursing homes.
[42:14.000 --> 42:22.000]  Meanwhile, all these top scientists and researchers and former Pfizer head medical officers have come out and said that the COVID-19 vaccine,
[42:22.000 --> 42:29.000]  especially the mRNA ones, are basically bioweapons that are super deadly and now they're having to resuscitate people that die basically.
[42:29.000 --> 42:32.000]  When they take it, just like newborn babies, they give vaccines.
[42:32.000 --> 42:35.000]  They have to resuscitate them all the time or a lot of times they just let them die.
[42:35.000 --> 42:37.000]  And that's on the record, it does that.
[42:37.000 --> 42:41.000]  Guillain-Barre's, narcolepsy, cancer, all these other diseases, but they tell you,
[42:41.000 --> 42:47.000]  save and effective, no one's getting hurt, it's a conspiracy theory, and then all the fine princess can kill you absolutely deadly.
[42:47.000 --> 42:53.000]  So they run from something that isn't dangerous towards something that is incredibly dangerous because the media says it's safe, they do it.
[42:53.000 --> 42:57.000]  The globalists are taking control of the entire human genome.
[42:57.000 --> 43:00.000]  They are forcing mutations.
[43:00.000 --> 43:03.000]  This is forced evolution or de-evolution.
[43:03.000 --> 43:07.000]  When you look at all the major research, all the major programs they're carrying out,
[43:07.000 --> 43:12.000]  they are not to produce people that are smarter or folks that live longer or are more oral.
[43:12.000 --> 43:15.000]  No, it's turning humanity into a commodity.
[43:15.000 --> 43:18.000]  Now, we see some propaganda like communist China bragging,
[43:18.000 --> 43:23.000]  hey, we've done mRNA vaccines to make our soldiers Superman.
[43:23.000 --> 43:27.000]  That's a way to make it sexy that, hey, we're experimenting on our troops.
[43:27.000 --> 43:33.000]  We'll send things with that into our troops and thousands and thousands of died each time they tried a new experimental vaccine.
[43:33.000 --> 43:38.000]  I've talked to high-level folks inside the federal government and the state of Texas's health department.
[43:38.000 --> 43:40.000]  They say, Alex, we know it hurts a lot of people.
[43:40.000 --> 43:41.000]  That's for a greater good.
[43:41.000 --> 43:47.000]  But that's not even true, and it violates the Geneva Convention, the Nuremberg Code, federal state law.
[43:47.000 --> 43:50.000]  This is violence being carried out against us by that of the charity,
[43:50.000 --> 44:12.000]  and we have a right to resist it with any means necessary.
[44:21.000 --> 44:25.000]  Nobody stood up for those 60-plus million babies we tortured to death,
[44:25.000 --> 44:29.000]  or the tens of millions they've kept alive and harvest their organs now.
[44:29.000 --> 44:33.000]  So God's going to let evil hurt us.
[44:33.000 --> 44:37.000]  So as much as I hate the globalists and their satanic activities,
[44:37.000 --> 44:42.000]  God's not going to let innocence be targeted anymore without us all getting burned really bad.
[44:42.000 --> 44:48.000]  I was talking to a police officer, a couple of off-duty black cops that were driving us around,
[44:48.000 --> 44:51.000]  taking care of us doing a great job in D.C.
[44:51.000 --> 44:57.000]  We usually hire about six or seven of those great fellows,
[44:57.000 --> 45:00.000]  because that's the group of cops we're able to hire, they're great people.
[45:00.000 --> 45:01.000]  They are all black people.
[45:01.000 --> 45:02.000]  So why are you hiring only black people?
[45:02.000 --> 45:04.000]  That's who they are, they're great guys.
[45:04.000 --> 45:11.000]  And man, the stories they were telling me yesterday over dinner before we left D.C. or late lunch
[45:11.000 --> 45:18.000]  about finding a baby in a microwave.
[45:18.000 --> 45:19.000]  That's a real story.
[45:19.000 --> 45:26.000]  The guy's first day on work eight years ago was a young woman, 18 years old on PCP.
[45:30.000 --> 45:32.000]  People say, well, why don't you just ban PCP?
[45:32.000 --> 45:33.000]  You can't, folks.
[45:33.000 --> 45:37.000]  I don't want to say what PCP is, because it'll get out there.
[45:37.000 --> 45:43.000]  But if people want to know, it's, I mean, it's embalming fluid,
[45:43.000 --> 45:45.000]  and there's a bunch of other things that are similar,
[45:45.000 --> 45:48.000]  and people soak a cigarette in it or a joint in it, and they smoke it,
[45:48.000 --> 45:50.000]  and they don't know who they are.
[45:50.000 --> 45:55.000]  And they get to the house, the woman's mother's in a wheelchair,
[45:55.000 --> 45:59.000]  she couldn't stop her, and the microwave's still going,
[45:59.000 --> 46:04.000]  and he gets the baby out while it's all frying and still alive, and it dies in his hands.
[46:04.000 --> 46:09.000]  Now, see, that's the real evil, folks.
[46:09.000 --> 46:12.000]  And we all know that little three-month-old baby put that microwave.
[46:12.000 --> 46:13.000]  That was a human.
[46:13.000 --> 46:14.000]  That was horrible.
[46:14.000 --> 46:17.000]  We have empathy, but we don't have the empathy for the baby that's nine months old,
[46:17.000 --> 46:21.000]  the baby that just got born, that they passed laws in New York in places where,
[46:21.000 --> 46:25.000]  if they say we keep it comfortable, we say it's not resuscitated.
[46:25.000 --> 46:26.000]  It's still alive.
[46:26.000 --> 46:27.000]  That's the legal term.
[46:27.000 --> 46:28.000]  The heart's beating.
[46:28.000 --> 46:31.000]  It's healthy, but we're going to say it's not a human.
[46:31.000 --> 46:34.000]  So we can keep it alive a few weeks to get all the orders in for the organs,
[46:34.000 --> 46:39.000]  then have a procedure where they kill the baby.
[46:39.000 --> 46:44.000]  That's going on in 2019 in New York and four other states.
[46:44.000 --> 46:49.000]  Last time I checked in Virginia, even passed that law, they were trying to.
[46:49.000 --> 46:52.000]  They got a soft-spoken southern gentleman up there,
[46:52.000 --> 46:55.000]  and, well, we keep the baby comfortable,
[46:55.000 --> 46:59.000]  and we don't want the police involved, not the courts, just the mother and the doctor,
[46:59.000 --> 47:03.000]  and maybe some other people from the board come.
[47:03.000 --> 47:05.000]  We decide what to do.
[47:05.000 --> 47:10.000]  We don't want to waste that seven pounds of meat.
[47:10.000 --> 47:14.000]  Oh, but when Governor Northam does it, it's liberal.
[47:14.000 --> 47:24.000]  But when a woman on PCP puts the baby in the microwave, she's a monster.
[47:24.000 --> 47:29.000]  But what she was was a human soul removed by that drug out of the way
[47:29.000 --> 47:32.000]  so something else could come in.
[47:32.000 --> 47:35.000]  Oh, she felt terrible after she learned she killed her baby.
[47:35.000 --> 47:36.000]  What made her do it?
[47:36.000 --> 47:37.000]  What was what did the drug do?
[47:37.000 --> 47:39.000]  What door did it open?
[47:39.000 --> 47:42.000]  And you realize that the same thing that wanted to microwave her baby
[47:42.000 --> 47:46.000]  that thought it was just standing there in front of the microwave,
[47:46.000 --> 47:51.000]  just watching it pop and its eyeballs come out and sizzling and these convulsing.
[47:51.000 --> 47:55.000]  It was like watching the most beautiful TV program it had ever seen.
[47:55.000 --> 47:58.000]  He walks into that dirty kitchen and there's that baby popping and sputtering.
[47:58.000 --> 47:59.000]  He's like, what is it?
[47:59.000 --> 48:02.000]  And he opens the door and the smell of the baby rolls out in his face,
[48:02.000 --> 48:06.000]  and he starts throwing up everywhere.
[48:06.000 --> 48:08.000]  Oh, now the cops are bad guys, though.
[48:08.000 --> 48:10.000]  Well, who are we going to have go deal with that?
[48:10.000 --> 48:11.000]  Well, I hear you.
[48:11.000 --> 48:15.000]  This is the breakup of society, ladies and gentlemen.
[48:15.000 --> 48:18.000]  And it's a spirit.
[48:18.000 --> 48:22.000]  And it's evil.
[48:22.000 --> 48:29.000]  And we all know it and we have to stop going along with it.
[48:29.000 --> 48:35.000]  Now, we're showing you an actual order form online for how old the baby is.
[48:35.000 --> 48:41.000]  And now the order form is for alive babies that they quote have not resuscitated.
[48:41.000 --> 48:42.000]  Again, that's a legal term.
[48:42.000 --> 48:44.000]  Hearts beating, bloods going, babies happy.
[48:44.000 --> 48:48.000]  They're even giving baby a bottle so that baby doesn't, you know,
[48:48.000 --> 48:57.000]  die before they get them goodies out of them.
[48:57.000 --> 49:00.000]  So, oh, oh, would they steal an election?
[49:00.000 --> 49:01.000]  I don't know, though.
[49:01.000 --> 49:05.000]  Keep babies alive and take their organs.
[49:05.000 --> 49:06.000]  Get a poor mama in there.
[49:06.000 --> 49:08.000]  Man, your baby was not too good.
[49:08.000 --> 49:11.000]  You don't want to resuscitate babies right over here alive.
[49:11.000 --> 49:14.000]  Just sign that form.
[49:14.000 --> 49:16.000]  You're on about five different types of drugs right now.
[49:16.000 --> 49:17.000]  Thank you very much.
[49:17.000 --> 49:19.000]  Appreciate that.
[49:19.000 --> 49:24.000]  And the FBI is not going to do anything because that's how corruption works.
[49:24.000 --> 49:34.000]  Once they get something set in culture and get enough people to do it and enough crime committed.
[49:34.000 --> 49:37.000]  And enough people have gone along with wearing the mask,
[49:37.000 --> 49:43.000]  taking the inoculations, getting sick, kids getting sick, neighbors dying.
[49:43.000 --> 49:46.000]  Humans will then tough it out and say, well, we did it for the greater good.
[49:46.000 --> 49:48.000]  And don't you bitch about it.
[49:48.000 --> 49:53.000]  You know, your young men need to roll up their sleeves and the military and take those experimental shots.
[49:53.000 --> 49:57.000]  Well, some died, but it's for a greater good.
[49:57.000 --> 50:00.000]  And, well, we've got too many aggressive boys out there.
[50:00.000 --> 50:02.000]  Riddlin' hadn't worked too good frying their brains.
[50:02.000 --> 50:06.000]  We got 90% of the college graduates going to be women and, you know, men of the new slaves.
[50:06.000 --> 50:07.000]  But that's not good enough.
[50:07.000 --> 50:13.000]  Let's target every little boy and let's, let's put them all on hormone blockers.
[50:13.000 --> 50:19.000]  So they are stunted and don't grow and, and have, and have all sorts of weird tumors that grow.
[50:19.000 --> 50:23.000]  And because it's beautiful and there's nothing more beautiful as black lives matter.
[50:23.000 --> 50:33.000]  What about Soros says that a black trans man, trans woman, because it's a black man that we've drugged and castrated.
[50:33.000 --> 50:36.000]  And that's the most beautiful thing in the world, isn't it?
[50:36.000 --> 50:42.000]  I would be walking around and shake 50 hands, just anywhere in DC, listeners everywhere.
[50:42.000 --> 50:52.000]  There's a lot of Trump folks were in town, but a weird old crazy looking old man, look like a child molester came by and he goes, black lives matter.
[50:52.000 --> 50:53.000]  And he's a white guy.
[50:53.000 --> 51:01.000]  He just says some Soros group thing that believes in ending the black family, ending the family period, castrating black men.
[51:01.000 --> 51:04.000]  And then he says to me like it's a magic incantation.
[51:04.000 --> 51:09.000]  Black lives matter when their whole system is to kill black people first.
[51:09.000 --> 51:11.000]  They want to get everybody.
[51:11.000 --> 51:20.000]  I mean, typed in Alex Jones HIV this morning, Alex Jones HIV COVID-19.
[51:20.000 --> 51:26.000]  And there were hundreds of debunking articles from March and April and saying Alex Jones is insane.
[51:26.000 --> 51:32.000]  There's no HIV insertions in COVID-19, even though it was in all the prestigious medical reports.
[51:32.000 --> 51:36.000]  And now it's not just in Australia.
[51:36.000 --> 51:40.000]  I got contacted last night by sources in Europe in the trials.
[51:40.000 --> 51:44.000]  People heard about the positives for HIV from the vaccine.
[51:44.000 --> 51:50.000]  They went and they got tested because they've been in the trials and they have HIV.
[51:50.000 --> 51:54.000]  And that's going to be breaking the next 48 hours.
[51:54.000 --> 51:56.000]  And then it's just kind of like, well, it's a false positive.
[51:56.000 --> 51:58.000]  You got HIV.
[51:58.000 --> 52:05.000]  And then later when you get an autoimmune disease in five years, it takes that long to take you over cell by cell.
[52:05.000 --> 52:09.000]  And your body shuts off just like the top EU scientist says it will do.
[52:09.000 --> 52:17.000]  He followed an injunction December 1st on it with the former chief science officer of Pfizer.
[52:17.000 --> 52:19.000]  Wow.
[52:19.000 --> 52:20.000]  Wow.
[52:20.000 --> 52:24.000]  So I'll just tell you, I'll just level with you.
[52:24.000 --> 52:30.000]  I disagree with David Knight on some things where I think he's going on a one dimensional view of things,
[52:30.000 --> 52:36.000]  but that's okay because that's how the public understands things sometimes.
[52:36.000 --> 52:43.000]  But he's absolutely right that Trump is wrong to a push warp speed and Trump is wrong.
[52:43.000 --> 52:44.000]  I know why Trump did it.
[52:44.000 --> 52:45.000]  I know why he got manipulated to do it.
[52:45.000 --> 52:50.000]  I think Trump's a good person, but he needs to repudiate it and he's to come out against it.
[52:50.000 --> 52:55.000]  People ask me on the street like, well, David, I'm bashing Trump for warp speed and you're saying Trump's still good.
[52:55.000 --> 52:58.000]  You know, why is your operation not saying the same thing?
[52:58.000 --> 52:59.000]  I'm like, because we're not a cult.
[52:59.000 --> 53:04.000]  Like in court hearings, they go, well, Paul Watson thought Sandy Hook happened just the way they said it.
[53:04.000 --> 53:06.000]  And then you, you questioned it.
[53:06.000 --> 53:07.000]  Well, who's talking points?
[53:07.000 --> 53:08.000]  Who's making the time?
[53:08.000 --> 53:09.000]  He has his opinion.
[53:09.000 --> 53:10.000]  I had mine.
[53:10.000 --> 53:12.000]  I'm allowed to question things.
[53:12.000 --> 53:18.000]  But see, everybody always thinks like I'm telling Owen Troyer what to do or David Knight's telling me what to do.
[53:18.000 --> 53:20.000]  Or I'm telling the likes of how this works.
[53:20.000 --> 53:23.000]  I think somebody's smart and upstanding and has a big grasp of things.
[53:23.000 --> 53:28.000]  Then we put them on air because we're fighting the new world order, but we're not a cult.
[53:28.000 --> 53:30.000]  But it's CNN or MSNBC.
[53:30.000 --> 53:40.000]  There is a talking point memo given out and that is what you say and that is what you follow and that is what you do.
[53:40.000 --> 53:42.000]  So yes, if they remove Trump, it'll be bad.
[53:42.000 --> 53:43.000]  They're going to come after us.
[53:43.000 --> 53:44.000]  It's going to be absolutely a nightmare.
[53:44.000 --> 53:46.000]  But that's what statins do.
[53:46.000 --> 53:47.000]  They can't help themselves.
[53:47.000 --> 53:50.000]  They don't think really six, seven, eight moves ahead.
[53:50.000 --> 53:54.000]  And I can tell you, without a shadow of a doubt, they are able to remove Trump.
[53:54.000 --> 53:56.000]  They're going to drop the hammer on everybody, including me.
[53:56.000 --> 53:58.000]  I'm not looking forward to it.
[53:58.000 --> 54:09.000]  But in the end, it's going to accelerate the unborn getting the relief they need and us and the born getting the relief and the old people and the medical patients and all the secret experimenting.
[54:09.000 --> 54:17.000]  Because we've stopped valuing each other and we've stopped being territorial and we stopped standing up for each other.
[54:17.000 --> 54:20.000]  And so when we act like that, we become slaves.
[54:20.000 --> 54:21.000]  I didn't plug this hour.
[54:21.000 --> 54:23.000]  You don't do your Christmas shopping at infowarstore.com.
[54:23.000 --> 54:25.000]  It's not in your interest to do it somewhere else.
[54:25.000 --> 54:26.000]  We're patriots.
[54:26.000 --> 54:27.000]  They're great products.
[54:27.000 --> 54:29.000]  We can still get it out to you if you order by the 18th.
[54:29.000 --> 54:30.000]  Great supplements.
[54:30.000 --> 54:31.000]  Great books.
[54:31.000 --> 54:32.000]  Great films.
[54:32.000 --> 54:33.000]  Great survival gear.
[54:33.000 --> 54:34.000]  Just so much.
[54:34.000 --> 54:38.000]  Check out all the different sections at infowarstore.com, free shipping and huge sales right now.
[54:38.000 --> 54:39.000]  All right.
[54:39.000 --> 54:41.000]  I'm going to be judicious when we come back and hit all the big news.
[54:41.000 --> 54:44.000]  Stay with us.
[54:44.000 --> 54:55.000]  The U.S. Postal Service tells info wars that as long as you get your order in by December 18th and we're able to ship it out by that date, you will get it anywhere in the United States before Christmas.
[54:55.000 --> 54:56.000]  But listen, don't wait.
[54:56.000 --> 54:58.000]  Do your shopping at infowarstore.com.
[54:58.000 --> 55:01.000]  Get great products and fund the info war.
[55:01.000 --> 55:05.000]  Now at the most critical time, not just at info wars history, but this country's history.
[55:05.000 --> 55:07.000]  You have invested in info wars.
[55:07.000 --> 55:08.000]  You've prayed for us.
[55:08.000 --> 55:09.000]  You've spread the word.
[55:09.000 --> 55:10.000]  You've bought the products.
[55:10.000 --> 55:16.000]  And you've gotten the benefits of the information warfare of the truth in the fight against the globalist.
[55:16.000 --> 55:26.000]  But now is the time to redouble all our efforts in praying for a great awakening, which is starting to happen, and spreading the word about infowars.com, newswars.com, and band.video.
[55:26.000 --> 55:31.000]  And at the very same time, buying amazing products at infowarstore.com.
[55:31.000 --> 55:40.000]  They have some of the biggest sales, if not the biggest, of the year, certainly on some items, the biggest sales of the year on nutraceuticals, you name it, at infowarstore.com.
[55:40.000 --> 55:41.000]  So thanks for your support.
[55:41.000 --> 56:10.000]  Get those orders in and God bless.
[56:11.000 --> 56:39.000]  Get those orders in at infowarstore.com and know that you're investing in freedom and liberty and justice.
[56:39.000 --> 56:41.000]  We're getting great products.
[56:41.000 --> 56:42.000]  Thanks for your support.
[56:42.000 --> 57:10.000]  You're listening to the Alex Jones show.
[57:10.000 --> 57:18.000]  In a major leak of official records from the Chinese Communist Party, it is believed to be the first leak of its kind in the world.
[57:18.000 --> 57:24.000]  A register with the details of nearly two million Communist Party members.
[57:24.000 --> 57:32.000]  It includes their name, party position, birthdate, national ID number, ethnicity, and in some cases, even their phone number.
[57:32.000 --> 57:41.000]  But this leak shows that party branches are embedded in some of the world's biggest companies and even inside government agencies.
[57:41.000 --> 58:06.000]  New emails obtained by the New York Post reveal that Hunter Biden pursued lucrative deals involving China's largest private energy company, including one that he said would be interesting for me and my family.
[58:06.000 --> 58:20.000]  In particular, an email obtained by the New York Post shows that on May 13, 2017, with the subject line, expectations included details for six people involved in an unspecified business venture.
[58:20.000 --> 58:33.000]  Biden was identified as chair slash vice chair, depending on agreement with the CEFC, an apparent reference to the former Shanghai based conglomerate CEFC China Energy Company.
[58:33.000 --> 58:52.000]  100 details is pay as 850. This email also introduced a provisional agreement where 80% of the equity would be doled out equally among four people whose initials reflect the sender and three recipients with H apparently referring to Biden.
[58:52.000 --> 59:06.000]  Jim Biden's referenced as 10%, doesn't say Biden, it says Jim, and then it has 10% for the big guy held by H. I 1,000% sit here and know that the big guy is referencing Joe Biden.
[59:06.000 --> 59:20.000]  That's crystal clear to me because I lived it. I met with the former vice president in person multiple times, and I had been meeting and talking with Hunter Biden and Jim Biden and Rob Walker and James Killier.
[59:20.000 --> 59:34.000]  Another incriminating email sent by Hunter details his deal that he created with the chairman of CEFC Yi Jingming for 50% of a holding company that was expected to provide Biden with $10 million a year.
[59:34.000 --> 59:40.000]  Yi apparently also threw in the gift of a 2.8 carat diamond after a Miami business meeting.
[59:40.000 --> 59:55.000]  Yi, who had ties to the Chinese military and intelligence service, hasn't been seen since being taken into custody by Chinese authorities in early 2018, and CEFC went bankrupt earlier this year according to reports.
[59:55.000 --> 1:00:02.000]  Hunter was caught on tape crying in his cupcake about the ordeal solidifying its legitimacy.
[1:00:02.000 --> 1:00:21.000]  I have another New York Times reporter calling about my representation of the, literally, Dr. Patrick Coe, the spy chief of China, who started the company that my partner, who was worth $323 billion, found it.
[1:00:21.000 --> 1:00:27.000]  It is now missing. The richest man in the world is missing. Who was my partner?
[1:00:27.000 --> 1:00:45.000]  We now know that Hunter earned at least $6 million using his family name to leverage influence with the Chinese Communist Party in under nine months, and that attorney general Barr sat on the Hunter Biden tax investigation since last spring, now facing the music after the election is over.
[1:00:45.000 --> 1:01:11.000]  As attorneys for Hunter and James Biden are refusing to cooperate with a Senate committee, why should they? As Joe Biden clutches for the ring of Sauron, Breitbart also reported that a 2017 email published by NBC News revealed Hunter Biden reportedly did not disclose $400,000 in income from the Ukrainian energy firm Burisma in 2014 and had been advised to do so.
[1:01:11.000 --> 1:01:24.000]  Biden wrote that Yee had sweetened the terms of an earlier three-year consulting contract with CEFC. That was to pay him $10 million annually for introductions alone.
[1:01:24.000 --> 1:01:37.000]  America, Joe Biden, as frail and inept as he is, may go down in history as the greatest traitor this country has ever seen, or the last president and first dictator this country has ever seen.
[1:01:37.000 --> 1:01:52.000]  John Ballant reporting.
[1:02:08.000 --> 1:02:19.000]  Another great product that's been selling out because people realize it's got so many great vitamins and minerals and saupon meadow is prostigar.
[1:02:19.000 --> 1:02:27.000]  It's good for not just men, but it's good for women's clans as well. Check it out. They're all massively discounted at infowarstore.com.
[1:02:27.000 --> 1:02:37.000]  Some of the big ones are X2 and X3, the pure clean iodines that are so essential. So many people are deficient in iodine. It's essential to your immune system.
[1:02:37.000 --> 1:02:44.000]  And so much more, infowarstore.com. All of these products are discounted from 30 to 60% off in free shipping.
