[00:00.000 --> 00:11.000]  There is a lot of controversy around this network about Alex Jones, for example.
[1:00:14.000 --> 1:00:29.000]  Welcome back. I'm Alex Jones, your host. I'm going to play this important report that John Bowen put together on Taiwan facing a Chinese offensive, a Chai Con offensive.
[1:00:29.000 --> 1:00:37.000]  Then we come back. Start your engines. I've mentioned a lot of this news, but I'm going to go into Ruth Bader Ginsburg, not showing up after her cancer surgery.
[1:00:37.000 --> 1:00:45.000]  I'm going to get into the young Turks caught in more incredible race baiting. I'm going to get into Alexander Cortez and the craziness she's involved in.
[1:00:45.000 --> 1:00:57.000]  This poor little black girl killed by two black men. They've pled guilty and the media is trying to cover it up now. It turns out the sheriff knew three days before and basically it looks like, well, he knew and nothing was done.
[1:00:57.000 --> 1:01:04.000]  It's crazy. He kept saying it was a white guy. So we're going to break all that down the other side, but here is the report.
[1:01:04.000 --> 1:01:09.000]  They've had everything from the New York Times, the Washington Post, the Texas Monthly.
[1:01:09.000 --> 1:01:17.000]  Try to piss down the backs of the American people and tell them that Info Wars had a horrible year.
[1:01:17.000 --> 1:01:28.000]  Info Wars had an amazing year of being directly over the target and predicting the launch of nationalism worldwide, the rebirth of populism,
[1:01:28.000 --> 1:01:36.000]  and that the globalists would try to kill the economy and that they would try to collapse our borders. We're proud to be here telling the truth.
[1:01:36.000 --> 1:01:42.000]  We're proud to be here standing firm for this nation. Now, because you'd think this would be top story on the New York Times, the Washington Post.
[1:01:42.000 --> 1:01:49.000]  I saw this this morning and I went, wow, let me type that into Google and Bing and there was nothing being said.
[1:01:49.000 --> 1:01:55.000]  And I said, well, I don't just believe zero hedge. I said, not that they're bad, but Ronald Reagan said trust me verify.
[1:01:55.000 --> 1:02:04.000]  So I searched what they said and guess what? It was in the People's Daily. It was in the official statements of the Communist Party of China.
[1:02:04.000 --> 1:02:12.000]  And in fact, I'd seen a lot of this the last week, the dictator for life, Xi, saying he'll, hey, we already took over Hong Kong, we'll invade Taiwan,
[1:02:12.000 --> 1:02:18.000]  which we have a defense agreement with, and weapons, including high tech, any aircraft, any ship.
[1:02:18.000 --> 1:02:28.000]  And that was a whole story in of itself that he's threatening, oh, I'm sorry, not just to invade Taiwan and meeting at the big Communist Bureau with live video feeds,
[1:02:28.000 --> 1:02:40.000]  with them chanting, we're ready for war. There's almost no US media coverage. And if there is, it's pro-Beijing.
[1:02:40.000 --> 1:02:48.000]  I mean, it's like this one story, I could do 10 hours emergency broadcast on air. Oh my God, look at their weapons. Look at what they're doing.
[1:02:48.000 --> 1:02:58.000]  In landmark speech, Xi threatens violence against Taiwan. I didn't just believe this. I went and read it, the damn commie newspaper, demands peaceful reunification.
[1:02:58.000 --> 1:03:05.000]  So he says we're ready to invade Taiwan. We're ready to blast US forces. We're ready to invade wherever we want.
[1:03:05.000 --> 1:03:13.000]  He said we're going to take islands and physically hold them that in 2000 year old maps, the Chinese never even laid claim to in the Philippines.
[1:03:13.000 --> 1:03:21.000]  Oh, I'm sure the Filipinos will roll over to that. I'm joking. Didn't go too well for the Japanese. So this guy is on his power trip.
[1:03:21.000 --> 1:03:27.000]  And let's go through this article, him at the meetings, the videos, the shows, TV viewers, because he's up there with all of them lined up.
[1:03:27.000 --> 1:03:33.000]  They're weird black suits and everything. And you read these quotes by him and he says, we've already taken Hong Kong.
[1:03:33.000 --> 1:03:37.000]  We're going to take Taiwan. We'll use forces if we need to. Our militaries are based there.
[1:03:37.000 --> 1:03:48.000]  If the US tries to block us and enlist these islands that are down in Vietnam and off the coast, we're talking like hundreds of yards off the coast of the Philippines,
[1:03:48.000 --> 1:03:52.000]  that we're going to start attacking US ships. So here's the announcement.
[1:03:52.000 --> 1:04:06.000]  The dictator who heads up a communist dictatorship that's killed five times what Hitler did is threatening to preemptively invade Taiwan and attack the United States.
[1:04:06.000 --> 1:04:13.000]  And that's not the top story in the United States. It's a billion, 400 million people.
[1:04:13.000 --> 1:04:18.000]  They've got thousands of nuclear weapons. They've got missiles that can hit us because Clinton gave it to them.
[1:04:18.000 --> 1:04:24.000]  The average American better start getting what's going on. They've been shooting at our ships. They've been attacking our submarines.
[1:04:24.000 --> 1:04:35.000]  And man, in some cases, they're 800 miles away from China. And then he goes over it as a video newscast threatening to preemptively attack the US.
[1:04:35.000 --> 1:04:51.000]  I mean, this is like way past the Cuban Missile Crisis. This is insane.
[1:05:06.000 --> 1:05:09.000]  Don't let life weigh you down.
[1:05:09.000 --> 1:05:19.000]  Happys is a powerful mood and stress support formula that has your back against life's daily inconveniences made with ancient ingredients used for thousands of years.
[1:05:19.000 --> 1:05:24.000]  Happys can help you take back the day with our powerhouse formula.
[1:05:24.000 --> 1:05:31.000]  Happys can be an important part of your daily supplement routine with poor diet and the constant on and off of your work life.
[1:05:31.000 --> 1:05:36.000]  It's more important than ever to support your body in the fight against stress.
[1:05:36.000 --> 1:05:41.000]  With powerful ingredients combined to help support the mind and body,
[1:05:41.000 --> 1:05:47.000]  Happys helps support during stress, promotes overall well-being and helps support your mood.
[1:05:47.000 --> 1:05:49.000]  Don't let your life bogged down.
[1:05:49.000 --> 1:06:09.000]  Help your body overcome the effects of daily stress and pressure today with Happys from infowarststore.com.
[1:06:09.000 --> 1:06:20.000]  Resistance to tyrants is obedience to God. It's Alex Jones.
[1:06:20.000 --> 1:06:30.000]  Well, all last week, the top news story in Texas, and one of the biggest stories in the United States,
[1:06:30.000 --> 1:06:43.000]  was that a vicious knuckle-dragging white supremacist at 6.30 in the morning in Houston, Texas last Sunday pumped a bunch of rounds into a family car with a mother and her two daughters
[1:06:43.000 --> 1:06:47.000]  shooting one of the poor little girls in the head who died basically on the spot.
[1:06:47.000 --> 1:06:52.000]  A tragedy any way you slice it. I don't care what color they are.
[1:06:52.000 --> 1:07:01.000]  I'll never forget four or five years ago, there was a black lady scared by checkpoints in DC that happened to have military at him for some drill,
[1:07:01.000 --> 1:07:08.000]  and she drove away from it and an overzealous cop shot her.
[1:07:08.000 --> 1:07:12.000]  I think it was terrible when I said that and she was black.
[1:07:12.000 --> 1:07:18.000]  There was this overwhelming outpouring of appreciation from black folks on the email and phone calls.
[1:07:18.000 --> 1:07:23.000]  I mean, thousands of emails, hundreds of calls, the comments centered, letters coming in saying,
[1:07:23.000 --> 1:07:27.000]  oh, we know you're good now. Thanks for standing up for her when she was black.
[1:07:27.000 --> 1:07:35.000]  And I said, because that was in the middle of the Trayvon Martin stuff and the Justice Department trying to foam in a race war, we have the documents.
[1:07:35.000 --> 1:07:43.000]  And M. Fulworth criticized it. Congress gave standing ovation to the cop that executed the unarmed mother.
[1:07:43.000 --> 1:07:47.000]  She had a panic attack. It was wrong. The cop was badly trained. You should get in trouble.
[1:07:47.000 --> 1:07:55.000]  And people were like, well, she's black. Why do you care? Oh, I care if she's black or white or whoever the hell she is.
[1:07:55.000 --> 1:08:00.000]  I don't think like that. Like, oh, let's abort all the black kids, but not the white kids.
[1:08:00.000 --> 1:08:06.000]  That's the Southern Prairie Law Center. That's the Democratic Party. That's Planned Parenthood.
[1:08:06.000 --> 1:08:10.000]  That's their mission, their real mission. Look up the history book.
[1:08:10.000 --> 1:08:23.000]  So it's Sunday morning. And I get up again at about five in the morning.
[1:08:23.000 --> 1:08:29.000]  I go to the computer and I go to CNN. I checked them a lot too. See what the enemy's doing.
[1:08:29.000 --> 1:08:34.000]  And it's just all this race baiting, all the Trump supporters are racist. They're all evil. They're all bad.
[1:08:34.000 --> 1:08:50.000]  They're going to get you every other story. And it says new twist in murder of Texas girl, Jasmine Barnes.
[1:08:50.000 --> 1:09:00.000]  Now, you talk about trying to under the radar or something. It should have been shooters captured, confess, because the local news said that.
[1:09:00.000 --> 1:09:08.000]  They had to read and read. They wouldn't say the name and wouldn't say when the arrest happened as it had happened over a day before.
[1:09:08.000 --> 1:09:12.000]  And so I typed in her name and it was all national news, New York Times, Washington Post.
[1:09:12.000 --> 1:09:17.000]  Oh, new twist. Mine was the mistake identity. Nothing about what color the guys are.
[1:09:17.000 --> 1:09:22.000]  You know, there's local news of the video and the tweets and the mug shots.
[1:09:22.000 --> 1:09:31.000]  And I went, oh my goodness, Google's obviously blocking local news. I'm going to go to local TV stations. I typed in ABC Houston.
[1:09:31.000 --> 1:09:37.000]  Not even remembering it's ABC 13. Boom, front page, black guy. Boom.
[1:09:37.000 --> 1:09:40.000]  Him being led into the jail, him being arraigned at the court.
[1:09:40.000 --> 1:09:44.000]  They didn't waste any time confessing, saying he had an accomplice.
[1:09:44.000 --> 1:09:50.000]  They thought it was another drug car that had screwed him over.
[1:09:50.000 --> 1:09:53.000]  Boom.
[1:09:53.000 --> 1:10:02.000]  Now, you know, the sick feeling that is to know that I spent 20 or 30 minutes looking at the New York Times, the Washington Post, CNN, MSNBC.
[1:10:02.000 --> 1:10:08.000]  And it was all just kind of buried at the bottom. Oh, new twist. It all had the same headline, different names on the articles, but it's all the talking points.
[1:10:08.000 --> 1:10:13.000]  What are we going to do? It's not a white guy. We'll just say new twist and hope it goes away.
[1:10:13.000 --> 1:10:20.000]  We're going to have demonstrations with thousands and thousands and thousands of people out saying white supremacists are killing us.
[1:10:20.000 --> 1:10:25.000]  We're all being murdered. There's whites killing us everywhere. And the new Black Panther Party leading it.
[1:10:25.000 --> 1:10:33.000]  And Sean King out there, who, again, looks like Red Butler from Gone with the Wind.
[1:10:33.000 --> 1:10:42.000]  Doesn't look like a black guy to me. Sean King's out there stoking it all.
[1:10:42.000 --> 1:10:47.000]  Crazy. This guy's whiter than that other white lady that poses like she's black.
[1:10:47.000 --> 1:10:54.000]  What's her name again? Rachel Dolezal.
[1:10:54.000 --> 1:11:08.000]  So we've got Red Butler over here, also known as Clark Gable, the actor, who's been risen from the dead and is now down in Houston.
[1:11:08.000 --> 1:11:13.000]  He's probably whiter than Red Butler. And he's there.
[1:11:13.000 --> 1:11:18.000]  I'm not making a joke out of this. These people are sick.
[1:11:18.000 --> 1:11:24.000]  It turns out on Wednesday he got the tip because he's the main leader down there orchestrating all this.
[1:11:24.000 --> 1:11:30.000]  And he doesn't go out and say, oh, I'm getting tips from people that were there that it was two black men in a car.
[1:11:30.000 --> 1:11:34.000]  He said, that's just sounded too implausible.
[1:11:34.000 --> 1:11:41.000]  So he tells the sheriff and he and the sheriff don't say, oh, we've got new leads from witnesses that were there.
[1:11:41.000 --> 1:11:46.000]  No, they go out and keep putting out until Saturday.
[1:11:46.000 --> 1:11:51.000]  The day the guys are already busted.
[1:11:51.000 --> 1:11:59.000]  On Saturday, they are still saying, and the sheriff is still saying, we're looking for the white supremacist
[1:11:59.000 --> 1:12:05.000]  and they're finding white guys that have been arrested for different things that look a little bit like the sketch saying, is this him?
[1:12:05.000 --> 1:12:08.000]  Is this him? And it's in Sean King's Twitter.
[1:12:08.000 --> 1:12:11.000]  I was reading this morning. Here's this racist piece of garbage.
[1:12:11.000 --> 1:12:15.000]  We hear this guy who was just arrested for a DWI.
[1:12:15.000 --> 1:12:17.000]  We hear he's a racist piece of crap.
[1:12:17.000 --> 1:12:19.000]  Let us know what you know about him.
[1:12:19.000 --> 1:12:24.000]  So he's putting random white guys up on Twitter.
[1:12:24.000 --> 1:12:37.000]  When they've got a lead, not even acted upon and it turns out it was police separately for a non turn signal and driving erratically to pull the other guy over and then he all freaked out and admitted it.
[1:12:37.000 --> 1:12:46.000]  As best we can tell, the sheriff's department was the sheriff himself, not the police, was not even going to follow up, I guess.
[1:12:46.000 --> 1:12:50.000]  Because why not? Man, we got a media bonanza here.
[1:12:50.000 --> 1:13:00.000]  We got sheriff Ed Gonzalez up there, man, talking about white supremacists and everything and getting those votes, boy, down in blue cesspool Houston.
[1:13:00.000 --> 1:13:02.000]  We got it going on, man.
[1:13:02.000 --> 1:13:06.000]  You got a mayor down there that wants to teach five-year-old boys to wear dresses and all.
[1:13:06.000 --> 1:13:10.000]  And you got a cesspool down there.
[1:13:10.000 --> 1:13:15.000]  And then in comes this guy.
[1:13:15.000 --> 1:13:19.000]  And then they get the other guy and they say, no, we did it.
[1:13:19.000 --> 1:13:20.000]  We thought it was another drug car.
[1:13:20.000 --> 1:13:22.000]  We filled it full of holes.
[1:13:22.000 --> 1:13:25.000]  And the story just disappears.
[1:13:25.000 --> 1:13:30.000]  But see, the story is, they do damn well what was going on, in my view.
[1:13:30.000 --> 1:13:34.000]  The sheriff did at least, but they didn't follow up on that because it didn't fit the narrative.
[1:13:34.000 --> 1:13:37.000]  Why, they could have kept that media bonanza nationally going much.
[1:13:37.000 --> 1:13:39.000]  It could be the new Trayvon Martin.
[1:13:39.000 --> 1:13:41.000]  Who killed Jasmine Barnes?
[1:13:41.000 --> 1:13:42.000]  He could be stars.
[1:13:42.000 --> 1:13:44.000]  Why, he could be the head of the Justice Department someday.
[1:13:44.000 --> 1:13:51.000]  Why, they could turn the whole state blue on this, saying murdering redneck Texans out there killing little black girls.
[1:13:51.000 --> 1:13:55.000]  Oh, for absolutely nothing.
[1:13:55.000 --> 1:13:59.000]  Even though statistically, blacks are 10 times more likely to kill whites.
[1:13:59.000 --> 1:14:00.000]  That's just an FBI statistic.
[1:14:00.000 --> 1:14:01.000]  You can pull it up.
[1:14:01.000 --> 1:14:06.000]  And I don't dislike black folks, but the fact is the media sold the idea that killing whites is a good thing to do.
[1:14:06.000 --> 1:14:08.000]  Hell, killing cops is a good thing to do.
[1:14:08.000 --> 1:14:12.000]  And if you're black, you're 10 times more likely to be killed by a black person.
[1:14:12.000 --> 1:14:21.000]  Oh, but the sheriff and Mr. Rededare, they said we just, it was too improbable.
[1:14:21.000 --> 1:14:28.000]  It was just unbelievable that it could be two black guys at 6.30 in the morning in a mainly black area shooting up a car.
[1:14:28.000 --> 1:14:30.000]  Oh, that never happened before.
[1:14:30.000 --> 1:14:39.000]  No, we found the unicorn, white devil senselessly killing a little black girl.
[1:14:39.000 --> 1:14:41.000]  We've got what we need because, you know, it does happen.
[1:14:41.000 --> 1:14:45.000]  You get some scumbag, lunatic goes into a black church, kills nine people.
[1:14:45.000 --> 1:14:46.000]  It's the end of the world.
[1:14:46.000 --> 1:14:48.000]  All whites are guilty for it.
[1:14:48.000 --> 1:14:51.000]  Some lunatic walked in a grocery store, shot some black folks.
[1:14:51.000 --> 1:14:53.000]  We don't know exactly why, but it's wrong.
[1:14:53.000 --> 1:14:59.000]  There are some bad racist white people, but it's pretty rare in 2019 to have that going on.
[1:14:59.000 --> 1:15:01.000]  But you see, what a good way to start the new year.
[1:15:01.000 --> 1:15:07.000]  Right before the new year starts, you get to roll all this out and now they just want to delete all their articles.
[1:15:07.000 --> 1:15:14.000]  And they're deleting all the old articles calling it white supremacy and America braces for white killers and vigilantes.
[1:15:14.000 --> 1:15:16.000]  When we come back, I'm going to play a clip of it.
[1:15:16.000 --> 1:15:23.000]  The young turds deleted this video, but we got it and it's posted an article by Paul Joseph Watson.
[1:15:23.000 --> 1:15:33.000]  And they're hoping, hoping, hoping you don't go to infowars.com or newswars.com and tweet this or Facebook it because they just want to keep the lie going.
[1:15:33.000 --> 1:15:40.000]  Young turds founder of the group named after the Armenian genocide group,
[1:15:40.000 --> 1:15:46.000]  young turds delete multiple videos after claiming black shooter was white supremacist motivated by Trump.
[1:15:46.000 --> 1:15:50.000]  Well, guess what you big old stinking turd?
[1:15:50.000 --> 1:15:56.000]  You thought you flushed the truth, but we put a snake down on it and we plumbed that turd back up.
[1:15:56.000 --> 1:16:06.000]  Silver has always been nature's very own antibiotic and only one system allows you to produce an endless apply of nano size silver solutions right from the convenience of your home.
[1:16:06.000 --> 1:16:14.000]  Silver Lungs, with the addition of our unique lung delivery system, respiratory infections are targeted directly where traditional oral administration simply cannot reach.
[1:16:14.000 --> 1:16:20.000]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
[1:16:20.000 --> 1:16:26.000]  See the Silver Lungs Generator and lung delivery system at silverlungs.com.
[1:16:26.000 --> 1:16:35.000]  Silver has always been nature's very own antibiotic and only one system allows you to produce an endless apply of nano size silver solutions right from the convenience of your home.
[1:16:35.000 --> 1:16:44.000]  Silver Lungs, with the addition of our unique lung delivery system, respiratory infections are targeted directly where traditional oral administration simply cannot reach.
[1:16:44.000 --> 1:16:50.000]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
[1:16:50.000 --> 1:16:56.000]  See the Silver Lungs Generator and lung delivery system at silverlungs.com.
[1:16:56.000 --> 1:17:14.000]  And wolfhillamo.com. We love shotguns. We offer the best specialty shotgun ammo on the market, including our defensive combo packs for home and retreat. Our last lethal combo is good for animal control, the four legged kind and two legged. When lethal force is necessary, reach for our stop them, drop them or our home defense combos.
[1:17:14.000 --> 1:17:24.000]  These five round packs include different heavy hitters to protect your loved ones. Visit wolfhillamo.com to see our great prices on these combo packs and other specialty shotgun ammo rounds.
[1:17:24.000 --> 1:17:26.000]  Wolfhillamo.com.
[1:17:55.000 --> 1:18:03.000]  Words cannot describe how big the stakes are for the future of humanity right now.
[1:18:03.000 --> 1:18:12.000]  InfoWords is being openly targeted by the Democratic Party, left to CIA operatives, the corrupt justice department, and the entire Soros crime syndicate.
[1:18:12.000 --> 1:18:30.000]  People say, why would you start a fight with them? Because they were already dominating and running America into the ground. And I knew we had no future and we didn't do this. So we've already had incredible success. But if you will simply realize how epic this is and understand how real this fight is and why we've been made the main target.
[1:18:30.000 --> 1:18:44.000]  And if you financially support us and if you spread the word about our articles and videos, infowords.com, we won't just continue to stand up against these brutal scompags, we'll win. We have huge sales, infowords.com right now.
[1:18:44.000 --> 1:18:58.000]  And we're still able to operate the shopping cart and get stuff shipped out to you, despite the fact that we're trying to block our commerce and you're right to the market. But if you don't stand up and support us financially, Soros and the globe will swing win. This is InfoWords Darker Sour. We do your support. I'm counting on you.
[1:18:58.000 --> 1:19:18.000]  Nourish a probiotic friendly environment in your gut with prebiotic fiber by InfoWords Life. Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber, a mixture of clinically studied and organic acacia, fruit and flax fiber.
[1:19:18.000 --> 1:19:36.000]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria, which helps you digest food, absorb nutrients and even support your immune system. InfoWords Life's cutting edge formula only brings you the highest quality organic and clinically studied ingredients.
[1:19:36.000 --> 1:19:51.000]  Cheap prebiotic fibers are used up only at the beginning of the colon, but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[1:19:51.000 --> 1:20:07.000]  Head to InfoWordsLife.com or call 1-888-253-3139.
[1:20:21.000 --> 1:20:42.000]  You want to stop tyranny? Well, so does he. Live from the InfoWords.com studios, it's Alex Jones.
[1:20:42.000 --> 1:20:55.000]  So, we got the sheriff given a tip by eyewitnesses. Oh, and of course the tip came from one of the good little national leftist, Sean King.
[1:20:55.000 --> 1:21:03.000]  He got a tip, he gave it to the sheriff's department, but they thought it was just too improbable that two black men would shoot black people in a black neighborhood.
[1:21:03.000 --> 1:21:11.000]  That's never happened before, not once, even though, again, you're 10 to 1 more likely to be shot by a black person if you're black than by anybody else.
[1:21:11.000 --> 1:21:21.000]  And the numbers in some cases are even higher, 20 to 1, 30 to 1, depending on areas like Chicago, where 95% of the people killed are black and 90% doing it are black.
[1:21:21.000 --> 1:21:27.000]  I'm sad that's happening. But if you understand this, you understand everything.
[1:21:27.000 --> 1:21:37.000]  Why does the Southern Poverty Law Center, why does the ADL, why do the universities all obsess and Google on burying crime statistics?
[1:21:37.000 --> 1:21:47.000]  One of their main missions, it comes out in the news, to hide black on white crime, because it doesn't fit the narrative of whites are all guilty and whites are all the devil,
[1:21:47.000 --> 1:21:54.000]  so vote socialist and be a Democrat and we'll wave a magic wand over you and say you're not racist.
[1:21:54.000 --> 1:22:09.000]  And it keeps blacks in the literal plantations of the neighborhoods where the Democrats ship the drugs in and run the society and pass the laws to give them longer prison sentences than whites that Trump just repealed with no credit.
[1:22:09.000 --> 1:22:15.000]  Because Trump understands we have to unify the nation and stop this setup.
[1:22:15.000 --> 1:22:27.000]  He's trying as hard as he can to expose this. Oh, the Southern Poverty Law Center says they fact checked it. There's not more black on white crime.
[1:22:27.000 --> 1:22:37.000]  That's just not true. Just like AP said, there is no migrant caravan. We fact checked it.
[1:22:37.000 --> 1:22:47.000]  It's incredible, ladies and gentlemen. Now the unified crime statistics from the FBI show it's as high as 97%.
[1:22:47.000 --> 1:22:55.000]  And in some cities it's as high as 97%. Chicago last time I saw was 94%, but they fight hard to cover that up.
[1:22:55.000 --> 1:23:11.000]  And you see, you know when the shooter of a white person is a minority because you always don't have a description or in Europe it'll be hundreds of German men raped women in Berlin and in Cologne.
[1:23:11.000 --> 1:23:18.000]  And then you see the video is it's a bunch of Muslims. Germans raped women. No, Muslim invaders did.
[1:23:18.000 --> 1:23:26.000]  They still have slave trade in the Middle East and many countries and in Africa. Not here. The West ended it. Christianity ended it.
[1:23:26.000 --> 1:23:33.000]  Fought hundreds of years of wars to try to end it. Finally with the Civil War here.
[1:23:33.000 --> 1:23:44.000]  But oh, it's only white people. It's this whole cosmology. This is the new religion of the left. This is their whole system.
[1:23:44.000 --> 1:23:51.000]  And so they need to keep this going. And so every time a white person gets killed and racially motivated, it gets covered up.
[1:23:51.000 --> 1:23:58.000]  Or if it's just a robbery, it gets covered up. You never hear the description. And then it's very quiet if they ever bust them.
[1:23:58.000 --> 1:24:06.000]  But boy, if you got a white doing something, we're going to push that because that fits the narrative to make everybody fight with each other.
[1:24:06.000 --> 1:24:11.000]  And it's not to advance black people. This is being done. This is meant to make white people scared and racist.
[1:24:11.000 --> 1:24:18.000]  It's to make black people scared and racist, just like a prison. And we're all divided and the globalists are the jailguards and the warren.
[1:24:18.000 --> 1:24:23.000]  The warden. This is divide and conquer strategy in the great game period.
[1:24:23.000 --> 1:24:32.000]  So here's Sink Ugr, Lord of the Turds, young turds, named after a genocidal anti-Christian group that killed a million and a half people.
[1:24:32.000 --> 1:24:37.000]  He denies the Armenian genocide happened. It's totally public. Well, there's not Christians in Turkey.
[1:24:37.000 --> 1:24:45.000]  Here he is just a few days ago, but now they've deleted all these videos. Here it is.
[1:24:45.000 --> 1:24:53.000]  So this is terrorism. And we don't know why he did it, but it's not related to anything else.
[1:24:53.000 --> 1:25:03.000]  It pause. I'm going to start this over. This is terrorism. He did it. There's a sketch of a white guy. It's over. He did it.
[1:25:03.000 --> 1:25:09.000]  He has this Sean King on all the time. Maybe Mr. King could have told you about the other thing people saw.
[1:25:09.000 --> 1:25:14.000]  Oh, but we don't need to talk about that. Let's go back to the Lord of the Turds.
[1:25:14.000 --> 1:25:21.000]  So this is terrorism. And we don't know why he did it, but it's not related to anything else.
[1:25:21.000 --> 1:25:29.000]  She's not involved in anything. Look, it just bothers me that I have to think about it and she has to think about it.
[1:25:29.000 --> 1:25:33.000]  And we all have to think about, did she do something wrong? She didn't, right?
[1:25:33.000 --> 1:25:38.000]  Obviously it's relevant because if there was an earlier dispute, that would explain why it happened, right?
[1:25:38.000 --> 1:25:42.000]  But there is no earlier dispute. There was no dispute on the highway. There was no dispute before that.
[1:25:42.000 --> 1:25:48.000]  They don't know each other. And look, we don't know what's in the guy's head.
[1:25:48.000 --> 1:25:52.000]  He was wearing a red sweatshirt, not a red hat, okay?
[1:25:52.000 --> 1:26:00.000]  But he fires into this random cars with kids in it, with kids in it, and he kills them.
[1:26:00.000 --> 1:26:06.000]  So was he politically motivated? Was he religiously motivated? Was he ethnically motivated?
[1:26:06.000 --> 1:26:10.000]  We have no idea. Or, hey, everybody's got a gun.
[1:26:10.000 --> 1:26:16.000]  Oh, God, it's so much fun to shoot them. Okay. And then, oh, well, like a seven-year-old died, whatever.
[1:26:16.000 --> 1:26:20.000]  I had fun shooting my gun. Was he just mentally unbalanced? I don't know.
[1:26:20.000 --> 1:26:25.000]  The country's got a gun. So this is what happens when everybody has a gun.
[1:26:25.000 --> 1:26:34.000]  You only want to have the Turkish government finishing up the conquest of Istanbul when it was Constantinople.
[1:26:34.000 --> 1:26:38.000]  You know, 1,000 years later or whatever, you've got to go ahead and mop up the last Christians, right?
[1:26:38.000 --> 1:26:43.000]  So only you have the guns and we don't have them. We get it all turdly. We get it all turdly. Here he is.
[1:26:43.000 --> 1:26:53.000]  Look, you know what we're all thinking. Why did he do it? No. And only one possible reason pops up.
[1:26:53.000 --> 1:26:58.000]  But it could be something else. But right now, the only thing that separates him and her is the race.
[1:26:58.000 --> 1:27:02.000]  And so, but maybe it's not that. Maybe it's something else, but whatever it is.
[1:27:02.000 --> 1:27:13.000]  Pause again. He just said this guy is guilty. This guy is guilty. Continue.
[1:27:13.000 --> 1:27:21.000]  It's what I referred to earlier. Of all people, Chelsea Manning taught me this phrase recently. Stochastic terrorism.
[1:27:21.000 --> 1:27:28.000]  It's when people are encouraged by leaders to do violent acts.
[1:27:28.000 --> 1:27:33.000]  The leader doesn't say kill this specific person. Doesn't say you should target Jasmine Barnes.
[1:27:33.000 --> 1:27:34.000]  Pause again.
[1:27:34.000 --> 1:27:39.000]  You have anti-breaking people's ribs, shooting people, attacking, going to their houses, saying kill them.
[1:27:39.000 --> 1:27:46.000]  And Democrats are saying do that. Then you're trying to blame Trump and conservatives for this little girl killed by two black guys.
[1:27:46.000 --> 1:27:51.000]  Just incredible. Continue. Notice he didn't retract this and apologize. They deleted this video.
[1:27:51.000 --> 1:27:57.000]  They're trying to send cease and desist orders to take it down. It's fair use, you big, ugly pig. You monster.
[1:27:57.000 --> 1:28:02.000]  We'll shove this down your dirty throat. Do you want American filth? Play more of it.
[1:28:02.000 --> 1:28:11.000]  It just encourages you to hate a certain group of people and then random, unbalanced people in a country pop up and do the violence on their behalf.
[1:28:11.000 --> 1:28:19.000]  Pause again. He knows all about this because the young Turks was the group of militia that killed a million and a half Christians that was told and hyped up to do it.
[1:28:19.000 --> 1:28:27.000]  He's an expert on the type of terrorism he just told you about. What a pig. What a dirtbag. My lord.
[1:28:27.000 --> 1:28:30.000]  And it just gets worse from here. We'll finish up when we come back.
[1:28:30.000 --> 1:28:36.000]  But this is disgusting, disgusting, disgusting, disgusting, disgusting.
[1:28:36.000 --> 1:28:44.000]  It's really unspeakable how he's just dripping with enjoyment, covering all these lies and spewing this garbage.
[1:28:44.000 --> 1:28:55.000]  I mean, what a lying sack of garbage. What a piece of filth. Why don't you go back to Turkey, okay? We don't want young Turks here.
[1:29:15.000 --> 1:29:21.000]  This pioneering method also preserves the original particle sizes and delivers your silver solution directly into the bloodstream.
[1:29:21.000 --> 1:29:48.000]  This is the Silver Lungs Generator and Long Delivery System at SilverLungs.com. That's SilverLungs.com.
[1:29:51.000 --> 1:29:58.000]  Order today at ReadyToEatBacon.com. ReadyToEatBacon.com
[1:30:22.000 --> 1:30:27.000]  I am patient zero in the massive banning, but you can override the sensors now.
[1:30:27.000 --> 1:30:32.000]  And if all of our audience gets involved with hashtag Alex Jones, we are unstoppable together.
[1:30:32.000 --> 1:30:42.000]  We've already changed the world together with our laser focus. Do it again with hashtag Alex Jones on Twitter, on Facebook, on Google, on YouTube, everywhere.
[1:30:42.000 --> 1:30:52.000]  Call and talk radio, c-span. Shout it out loud and public. Hashtag Alex Jones. That's the rallying cry to restore the First Amendment.
[1:30:52.000 --> 1:30:58.000]  Creativity and the dynamic human spirit that refuses to submit.
[1:30:58.000 --> 1:31:13.000]  As the years go by, it gets harder and harder to keep up with your body's nutritional needs. With changes in diet, unnatural ingredients and stress, you may not be able to get all the necessary nutrients, amino acids, vitamins and minerals needed daily.
[1:31:13.000 --> 1:31:29.000]  That's why Infowars Life created the powerful vitamin mineral fusion formula. The new platinum standard of advanced multivitamin formulation, vitamin mineral fusion, uses a unique delivery system to maximize the effects and give your body the tools it needs to support your body.
