[00:00:08.504 --> 00:00:12.973]  Leading a frontal assault on the lies of the New World Order.
[00:27:15.997 --> 00:27:25.423]  Uh, you know, I don't have any inside knowledge, but knowing you, uh, you understand you'll be able to inject real issues into the debate.
[00:27:25.423 --> 00:27:27.945]  Uh, you know, your health is good and of course it's great right now.
[00:27:27.945 --> 00:27:34.750]  I mean, I would imagine being a man of honor, uh, you know, you're going to run, uh, but this has some supposed inside
[00:27:35.730 --> 00:27:45.236]  Well, I don't know where they got that.
[00:27:45.236 --> 00:27:46.817]  They didn't get it from me.
[00:27:46.817 --> 00:27:53.321]  And the truth is, is what I've been saying for many, many months, I haven't decided to run.
[00:27:53.321 --> 00:27:54.842]  I haven't decided not to run.
[00:27:54.842 --> 00:27:59.085]  And it will obviously not be now or linked.
[00:27:59.085 --> 00:28:01.086]  It would not be this year.
[00:28:01.086 --> 00:28:02.547]  And it'll depend a lot on
[00:28:02.947 --> 00:28:04.609]  Uh, what I perceive as support.
[00:28:04.609 --> 00:28:11.376]  You know, a lot of people, a lot of people like what I'm doing and they encourage me, but there are some that say, well, it's time for you to take a rest.
[00:28:11.376 --> 00:28:13.578]  Somebody else about to do it, you know, that sort of thing.
[00:28:13.578 --> 00:28:22.908]  So I need to know, uh, you know, if the support is really out there, but certainly I gave no inside information just recently at Orlando as was reported.
[00:28:33.899 --> 00:28:34.040]  Yeah!
[00:29:00.285 --> 00:29:04.828]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:29:04.828 --> 00:29:05.749]  Number 1.
[00:29:05.749 --> 00:29:09.172]  New climate legislation could easily double or triple your electric bill.
[00:29:09.172 --> 00:29:10.032]  Number 2.
[00:29:10.032 --> 00:29:14.916]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:29:14.916 --> 00:29:15.676]  It's true.
[00:29:15.676 --> 00:29:20.540]  Total government control of electricity in the name of smart grid technology is coming.
[00:29:20.540 --> 00:29:21.361]  Number 3.
[00:29:21.361 --> 00:29:24.943]  In some areas of the country, the power grid is dangerously overloaded.
[00:29:24.943 --> 00:29:28.646]  And now, new socialist legislation is only compounding the problem.
[00:29:28.846 --> 00:29:29.646]  Number 4.
[00:29:29.646 --> 00:29:32.407]  Dangerous weather is always a threat to local grids.
[00:29:32.407 --> 00:29:36.088]  Every year, thousands of families lose their power from weather-related outages.
[00:29:36.088 --> 00:29:36.868]  Number 5.
[00:29:36.868 --> 00:29:41.029]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:29:41.029 --> 00:29:46.071]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:29:46.071 --> 00:29:50.252]  You can get more information at www.mysolarbackup.com.
[00:29:50.252 --> 00:29:52.033]  That's mysolarbackup.com.
[00:29:52.033 --> 00:29:56.634]  Remember, the government doesn't own the sun, so go to mysolarbackup.com, or call 1-866-422-9000.
[00:29:56.954 --> 00:29:56.994]  877-327-0365.
[00:30:00.066 --> 00:30:04.268]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:30:04.268 --> 00:30:10.671]  Not detergents, but good old-fashioned pure soap made by the Calbin Soap Company, a family-owned and operated American company.
[00:30:10.671 --> 00:30:18.054]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:30:18.054 --> 00:30:22.936]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:30:22.936 --> 00:30:26.678]  Get a free, detailed catalog by calling 800-340-7091 or see them online at 5StarSoap.com.
[00:30:29.599 --> 00:30:30.440]  We're good to go.
[00:30:59.980 --> 00:31:04.061]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[00:31:04.061 --> 00:31:10.063]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[00:31:10.063 --> 00:31:14.244]  Go to HomeGain.com and see what I'm talking about.
[00:31:14.244 --> 00:31:20.966]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[00:31:20.966 --> 00:31:24.287]  This is a great way to be able to monitor the value of your home.
[00:31:24.287 --> 00:31:25.788]  And again, it's absolutely free.
[00:31:26.368 --> 00:31:28.411]  There are tons of tools to help you.
[00:31:28.411 --> 00:31:32.216]  For instance, if you want to remodel your home, go to HomeGain.com.
[00:31:32.216 --> 00:31:39.005]  Use their Home Sale Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[00:31:39.005 --> 00:31:42.109]  For 10 years, these folks have been helping home sellers and buyers.
[00:31:42.549 --> 00:31:44.911]  Visit their link at InfoWars.com.
[00:31:44.911 --> 00:31:50.315]  Look for Max, the Orange Home Gain Gorilla, to help you with any real estate needs you might have.
[00:31:50.315 --> 00:31:51.556]  You'll love this site.
[00:31:51.556 --> 00:31:53.438]  It's HomeGain.com.
[00:31:53.438 --> 00:31:56.300]  H-O-M-E G-A-I-N.com.
[00:31:56.300 --> 00:31:57.061]  Check them out today.
[00:31:59.332 --> 00:32:02.474]  Listen up friends, this is Alex Jones with key information.
[00:32:02.474 --> 00:32:06.256]  The mainstream media is now admitting that we're going into a depression.
[00:32:06.256 --> 00:32:09.137]  Don't be dependent on the government for you and your family.
[00:32:09.137 --> 00:32:14.060]  You need to get your own supply of high quality storable foods from efoodsdirect.com.
[00:32:14.520 --> 00:32:20.464]  They're the best company out there, the longest continually operating, with a ton of great food to choose from.
[00:32:20.464 --> 00:32:26.128]  It's all fresh, made on a monthly basis, not some old cruddy food they're selling you like some of the other guys.
[00:32:26.128 --> 00:32:30.671]  Try their new evacuation pack, a two-week supply of delicious, easy-to-fix food.
[00:32:30.671 --> 00:32:38.776]  It comes with all the equipment you need to prepare it, with open talk of a strike on Iran in the next three months, the crisis in the Gulf, and possible evacuations.
[00:32:39.156 --> 00:32:41.357]  Get yourself and your family ready today.
[00:32:41.357 --> 00:32:43.738]  The place to go is efoodsdirect.com.
[00:32:43.738 --> 00:32:51.581]  Go to their website online right now, efoodsdirect.com forward slash Alex, or call 800-409-5633.
[00:32:51.581 --> 00:32:56.603]  Again, on the web, efoodsdirect.com forward slash Alex, or give them a call at 800-409-5633.
[00:33:01.195 --> 00:33:04.776]  Coast to Coast, direct from Austin.
[00:33:04.776 --> 00:33:10.418]  You're listening to the Alex Jones Broadcasting Network.
[00:33:10.418 --> 00:33:12.798]  You are obsolete, Mr. Wordsworth.
[00:33:12.798 --> 00:33:13.719]  A lie!
[00:33:13.719 --> 00:33:15.699]  No man is obsolete!
[00:33:15.699 --> 00:33:17.580]  You have no function, Mr. Wordsworth.
[00:33:17.580 --> 00:33:20.821]  You're an anachronism, like a ghost from another time!
[00:33:20.821 --> 00:33:26.282]  I am nothing more than a reminder to you that you cannot destroy truth by burning pages!
[00:33:26.282 --> 00:33:29.023]  You're a bug, Mr. Wordsworth, a crawling insect.
[00:33:29.723 --> 00:33:34.127]  An ugly, misformed little creature who has no purpose here, no meaning!
[00:33:34.127 --> 00:33:35.629]  I am a human being!
[00:33:35.629 --> 00:33:38.671]  Words, Mr. Wordsworth!
[00:33:38.671 --> 00:33:41.374]  That have no substance and no dimension!
[00:33:41.374 --> 00:33:43.375]  Like air, like the wind!
[00:33:43.375 --> 00:33:44.516]  I don't care!
[00:33:44.516 --> 00:33:45.557]  I tell you, I don't care!
[00:33:45.557 --> 00:33:47.759]  I'm a human being, I exist!
[00:33:47.759 --> 00:33:50.302]  And if I speak one thought aloud...
[00:33:51.089 --> 00:33:54.812]  That thought lives, even after I'm shoveled into my grave!
[00:33:54.812 --> 00:33:57.975]  Delusions, Mr. Wordsworth!
[00:33:57.975 --> 00:34:05.682]  Delusions that you inject into your veins to make you think you have a strength, when you have no strength at all!
[00:34:05.682 --> 00:34:12.728]  You have nothing but spindly limbs and a dream, and the strength has no use for your crime!
[00:34:12.728 --> 00:34:16.772]  Resistance to tyrants is obedience to God.
[00:34:16.772 --> 00:34:18.533]  It's Alex Jones.
[00:34:29.466 --> 00:34:35.804]  But I would imagine if Rand does win and people support him, that's going to be a big plus for you running for president.
[00:34:36.482 --> 00:34:48.087]  Yeah, I think this is all a benefit of what's happening to show that the status quo is something that needs to be changed, whether it's Rand's race or others.
[00:34:48.087 --> 00:34:49.648]  I think it's all very positive.
[00:34:49.648 --> 00:34:59.092]  When your son said, I've got a message to Washington, the Tea Party's coming, no to your carbon tax, no to your elitism, no to your globalism, it scared him.
[00:34:59.092 --> 00:35:00.393]  So they've run five hoaxes.
[00:35:01.153 --> 00:35:01.613]  I don't
[00:35:17.401 --> 00:35:25.950]  They then, even three days after that lady admitted that nobody tied her up, nobody made her take bong hits, you know, none of this happened.
[00:35:25.950 --> 00:35:30.515]  Still no retractions from GQ, no retractions from Huffington Post.
[00:35:30.515 --> 00:35:32.277]  They're still going with it, my listeners.
[00:35:32.697 --> 00:35:32.877]  I think?
[00:35:54.995 --> 00:35:58.940]  Next he'll say that, you know, he let the cows out of the gate.
[00:35:58.940 --> 00:36:02.384]  I mean, next he'll say he's causing the wildfires in Russia.
[00:36:02.384 --> 00:36:05.167]  I mean, there's no end to how desperate they are.
[00:36:05.167 --> 00:36:06.728]  I'm really worried about your son.
[00:36:06.728 --> 00:36:08.671]  Well, there's a couple ways you can handle that.
[00:36:12.853 --> 00:36:29.499]  You can't get overly defensive or it gives them too much credibility and I've been under those attacks too because you know and I'm sure you share my views about how outrageous the war on drugs is and how that violates our civil liberties so I've never supported the war on drugs yet.
[00:36:29.499 --> 00:36:38.362]  I detest the use of drugs for kids and all that but they used that against me in 96 and I put a TV ad on and I defended myself
[00:36:38.482 --> 00:36:38.962]  We're good to go.
[00:36:58.691 --> 00:37:04.734]  And they trust me, and then when they say, oh, Ron Paul wants to give kids drugs, nobody believes that stuff.
[00:37:04.734 --> 00:37:10.196]  You know, like all these things you're suggesting, nobody's going to believe that the more people know Ran.
[00:37:10.196 --> 00:37:20.380]  So when they get to know him and see him as a physician, with kids, last night I talked to him on the phone, which is rather rare, and he was out at a soccer game with his kids, you know.
[00:37:20.380 --> 00:37:23.682]  So that's, if they see that, I told them.
[00:37:24.002 --> 00:37:27.484]  What you need to do is just make sure people know who you are.
[00:37:27.484 --> 00:37:28.504]  But I agree with you.
[00:37:28.504 --> 00:37:29.765]  You also have to be alert.
[00:37:29.765 --> 00:37:31.706]  You have to be willing to defend.
[00:37:31.706 --> 00:37:33.266]  I think it actually happened.
[00:37:33.266 --> 00:37:37.148]  They didn't threaten, but they insinuated that they might have to consider legal action.
[00:37:37.148 --> 00:37:41.570]  I think that's finally when there was a slight backing down on that.
[00:37:41.570 --> 00:37:44.152]  Then they finally got the information from the girl.
[00:37:44.152 --> 00:37:45.612]  I really didn't say that.
[00:37:47.453 --> 00:37:51.094]  Well, my point is, Congressman, it shows how desperate they are.
[00:37:51.094 --> 00:38:02.699]  I mean, this is some of the dirtiest tricks I've ever seen because they know he's a real bonafide, true constitutionalist, and if he becomes the leader of the Tea Party, that is going to supercharge you
[00:38:03.399 --> 00:38:05.560]  Perhaps even winning the presidency.
[00:38:05.560 --> 00:38:09.541]  We have to think big and realize that this is possible.
[00:38:09.541 --> 00:38:13.502]  And we have to realize that they're going to run other dirty tricks against you.
[00:38:13.502 --> 00:38:25.244]  And we've got to understand that that's why it's so important to get behind Campaign for Liberty and donate, to get behind Rand right now, letters to the editor, everything.
[00:38:25.244 --> 00:38:27.145]  We've got to get him in the U.S.
[00:38:27.145 --> 00:38:27.425]  Senate.
[00:38:28.370 --> 00:38:30.532]  Yeah, and so far things are looking pretty good.
[00:38:30.532 --> 00:38:35.356]  You know, I think he's holding his lead, and that's good, and there's still a few months.
[00:38:35.356 --> 00:38:47.547]  But, I think your word of caution is legitimate, because there's still a couple months to go, and if they've done that much already, you know, at the end, when they think you don't have enough time to answer or clarify, they may throw a lot more mud around.
[00:38:47.547 --> 00:38:50.230]  They may claim he's really a vampire!
[00:38:50.230 --> 00:38:52.892]  I mean, there's... They may say he's the Loch Ness Monster!
[00:38:53.032 --> 00:38:55.214]  Well, let's hope they get over the top.
[00:38:55.214 --> 00:38:59.900]  I think they are over the top, but I think they've lost their credibility.
[00:38:59.900 --> 00:39:04.385]  People are a little more sophisticated than I think a lot of people give them credit for.
[00:39:08.069 --> 00:39:09.571]  Well, you know what Victor Hugo said, Congressman.
[00:39:23.226 --> 00:39:39.746]  No army can stop an idea whose time has come and do you agree that we've seen a massive realignment and the pendulum is now swinging back but we're in the maximum phase of danger because the ruling class is going to try to keep this this this crony socialist system in place?
[00:39:40.166 --> 00:39:43.210]  Yeah, they'll be desperate, and they have still a lot of power.
[00:39:43.210 --> 00:39:47.194]  They have a lot of guns, and they have the political power.
[00:39:47.194 --> 00:39:50.558]  But the ideas, like you say, are more powerful than the army.
[00:39:50.558 --> 00:40:00.210]  So I want to always work real hard at remaining optimistic, that present our views, and we can overcome all the bad ideas that we're suffering from today.
[00:40:00.430 --> 00:40:09.573]  Congressman, in closing, I hate to bring up what I see as distractions, but the Ground Zero Mosque is now the biggest story in the country and is a diversion.
[00:40:09.573 --> 00:40:22.237]  This is kind of a liberal sect of Muslims, but regardless, I don't like ever agreeing with Obama, and I do think they should look for another place just because the community's gotten so outraged, but I am against government coming in and saying,
[00:40:22.637 --> 00:40:25.899]  What people can do religiously and violating the First Amendment.
[00:40:25.899 --> 00:40:27.479]  What's your view on that?
[00:40:27.479 --> 00:40:36.003]  A and B Pelosi, though, saying she wants to investigate anybody who's upset about it, implying that people don't have a right to be upset.
[00:40:36.003 --> 00:40:37.484]  So we're seeing tyranny from both sides.
[00:40:38.277 --> 00:40:41.979]  Yeah, you know, and I think it's a big distraction.
[00:40:41.979 --> 00:40:43.940]  This is a grand distraction from the real issue.
[00:40:43.940 --> 00:40:52.685]  You know, the country's engulfed in this war, as well as this financial crisis, and they're spending all the time on this.
[00:40:52.685 --> 00:40:59.169]  But to me, it should have been a grand opportunity, and you really touched on the opportunity, because this is a property rights issue.
[00:41:02.418 --> 00:41:04.799]  The freedom of speech issue.
[00:41:04.799 --> 00:41:09.480]  And this, to me, is so different than what the liberals say.
[00:41:09.480 --> 00:41:14.061]  The liberals say, well, we'll allow you to speak, but not protect your private property.
[00:41:14.061 --> 00:41:20.382]  Conservatives say, well, we don't worry too much about your speech, but we want to protect your property rights.
[00:41:20.382 --> 00:41:28.344]  You know, they want to regulate all the things that we do in stores and how much salt you can use in restaurants and all that.
[00:41:28.764 --> 00:41:33.888]  So then when you get a guy like Bloomberg, he's up there saying, oh yeah, this is a property rights issue.
[00:41:33.888 --> 00:41:36.811]  But think of what Bloomberg does to property rights issues.
[00:41:36.811 --> 00:41:44.117]  I think this is a tremendously opportune time for us to point out that property rights and civil rights are one and the same.
[00:41:44.117 --> 00:41:50.062]  But I think what's behind this, it drives the neocons nuts because they can't pursue
[00:41:50.222 --> 00:41:52.183]  Congressman, we're out of time.
[00:41:52.183 --> 00:41:54.363]  Look forward to speaking to you again.
[00:41:54.363 --> 00:41:55.004]  God bless you.
[00:41:55.004 --> 00:41:55.564]  Thank you.
[00:41:55.564 --> 00:41:56.604]  Good to be with you.
[00:41:56.604 --> 00:41:57.204]  We'll be back.
[00:42:13.172 --> 00:42:22.681]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[00:42:22.681 --> 00:42:24.242]  Thomas Jefferson.
[00:42:24.242 --> 00:42:27.925]  It's Alex Jones on the GCN Radio Network.
[00:42:51.493 --> 00:42:58.737]  Sweet Lucy was a dancer But all of us were chancer Because she was a samurai
[00:43:00.430 --> 00:43:05.393]  The question is, where should the American people draw their line in the sand?
[00:43:05.393 --> 00:43:06.393]  What have we got?
[00:43:06.393 --> 00:43:08.834]  A republic or a monarchy?
[00:43:08.834 --> 00:43:09.835]  A republic.
[00:43:09.835 --> 00:43:12.496]  It's based on a constitution which protects minority rights.
[00:43:12.496 --> 00:43:14.757]  Not democracy, not mob rule.
[00:43:14.757 --> 00:43:16.778]  Two wolves and a sheep voting on what's for dinner.
[00:43:16.778 --> 00:43:18.459]  So they think they own our land?
[00:43:18.459 --> 00:43:19.780]  They think they own our water?
[00:43:19.780 --> 00:43:20.380]  Children?
[00:43:20.380 --> 00:43:21.501]  Our education?
[00:43:21.501 --> 00:43:22.341]  Our money?
[00:43:22.341 --> 00:43:25.983]  We have to define who we are and what we will tolerate.
[00:43:26.343 --> 00:43:31.328]  Somebody's gonna ask you what you did during the Patriot Uprising.
[00:43:31.328 --> 00:43:32.349]  We have the facts.
[00:43:32.349 --> 00:43:33.510]  We have the Constitution.
[00:43:33.510 --> 00:43:34.411]  We have the Bill of Rights.
[00:43:34.411 --> 00:43:35.312]  We have common law.
[00:43:35.312 --> 00:43:37.834]  Knowledge is power, ladies and gentlemen.
[00:43:37.834 --> 00:43:41.598]  And I'm so excited to be able to offer you Don't Tread on Me, Rise of the Republic.
[00:43:41.718 --> 00:43:46.664]  Tyranny is upon us, but liberty and the sleeping giant that is the American people is rising.
[00:43:46.664 --> 00:43:48.166]  A new tool in the Info War.
[00:43:48.166 --> 00:43:49.268]  Don't tread on me.
[00:43:49.268 --> 00:43:56.137]  Order it at InfoWars.com or PrisonPlanet.com or call toll free 888-253-3139 and support independent patriotic liberty films.
[00:44:00.222 --> 00:44:04.764]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:44:04.764 --> 00:44:05.685]  Number 1.
[00:44:05.685 --> 00:44:09.106]  New climate legislation could easily double or triple your electric bill.
[00:44:09.106 --> 00:44:09.966]  Number 2.
[00:44:09.966 --> 00:44:14.869]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:44:14.869 --> 00:44:15.609]  It's true.
[00:44:15.609 --> 00:44:20.471]  Total government control of electricity in the name of smart grid technology is coming.
[00:44:20.471 --> 00:44:21.312]  Number 3.
[00:44:21.312 --> 00:44:24.893]  In some areas of the country, the power grid is dangerously overloaded.
[00:44:24.893 --> 00:44:28.595]  And now, new socialist legislation is only compounding the problem.
[00:44:28.795 --> 00:44:29.596]  Number 4.
[00:44:29.596 --> 00:44:32.358]  Dangerous weather is always a threat to local grids.
[00:44:32.358 --> 00:44:36.041]  Every year, thousands of families lose their power from weather-related outages.
[00:44:36.041 --> 00:44:36.822]  Number 5.
[00:44:36.822 --> 00:44:40.966]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:44:40.966 --> 00:44:45.730]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:44:46.010 --> 00:44:50.196]  You can get more information at www.mysolarbackup.com.
[00:44:50.196 --> 00:44:51.979]  That's mysolarbackup.com.
[00:44:51.979 --> 00:44:54.222]  Remember, the government doesn't own the sun.
[00:44:54.222 --> 00:44:56.586]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:45:00.162 --> 00:45:01.803]  Hello friends, this is Alex Jones.
[00:45:01.803 --> 00:45:05.186]  You've heard me talk about Calden 5 Star Soaps for years.
[00:45:05.186 --> 00:45:10.410]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[00:45:10.410 --> 00:45:13.853]  You can buy factory direct, shipped via UPS right to your door.
[00:45:13.853 --> 00:45:16.195]  Check them out on the web at 5starsoap.com.
[00:45:16.815 --> 00:45:20.339]  Or call 800-340-7091.
[00:45:20.339 --> 00:45:21.480]  Take my word for it.
[00:45:21.480 --> 00:45:24.143]  Once you've used pure soap, you won't buy anything else.
[00:45:24.143 --> 00:45:30.649]  Since 1947, Calvin's Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:45:30.649 --> 00:45:32.171]  Buy American and stay clean.
[00:45:32.171 --> 00:45:35.454]  As well as support InfoWars, visit 5starsoap.com today.
[00:45:35.454 --> 00:45:35.854]  Or call 1-800-340-7091.
[00:45:35.854 --> 00:45:37.196]  Well, Marty, what do you have to say?
[00:45:40.481 --> 00:45:48.403]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback.
[00:45:48.403 --> 00:45:53.504]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[00:45:53.504 --> 00:45:53.945]  Thank you!
[00:45:59.724 --> 00:46:02.867]  Listen up friends, this is Alex Jones with key information.
[00:46:02.867 --> 00:46:06.650]  The mainstream media is now admitting that we're going into a depression.
[00:46:06.650 --> 00:46:09.533]  Don't be dependent on the government for you and your family.
[00:46:09.533 --> 00:46:14.478]  You need to get your own supply of high quality storable foods from efoodsdirect.com.
[00:46:14.918 --> 00:46:20.842]  They're the best company out there, the longest continually operating, with a ton of great food to choose from.
[00:46:20.842 --> 00:46:26.525]  It's all fresh and made on a monthly basis, not some old cruddy food they're selling you like some of the other guys.
[00:46:26.525 --> 00:46:31.068]  Try their new Evacuation Pack, a two-week supply of delicious, easy-to-fix food.
[00:46:31.068 --> 00:46:39.553]  It comes with all the equipment you need to prepare it, with open talk of a strike on Iran in the next three months, the crisis in the Gulf, and possible evacuations.
[00:46:39.553 --> 00:46:41.755]  Get yourself and your family ready today.
[00:46:41.755 --> 00:46:43.756]  The place to go is efoodsdirect.com.
[00:46:44.136 --> 00:46:51.963]  Go to their website online right now, efoodsdirect.com forward slash Alex, or call 800-409-5633.
[00:46:51.963 --> 00:47:01.370]  Again, on the web, efoodsdirect.com forward slash Alex, or give them a call at 800-409-5633.
[00:47:01.370 --> 00:47:02.892]  Coast to Coast.
[00:47:02.892 --> 00:47:04.933]  Direct from Austin.
[00:47:04.933 --> 00:47:08.156]  You're listening to the Alex Jones Broadcasting Network.
[00:47:11.334 --> 00:47:14.120]  He's the T-Rex of political talk.
[00:47:14.120 --> 00:47:16.905]  Alex Jones on the GCN Radio Network.
[00:47:20.054 --> 00:47:25.995]  Joel Skousen is a political scientist by training specializing in the philosophy of law and constitutional theory.
[00:47:25.995 --> 00:47:29.116]  He's also a designer of high security residences and retreats.
[00:47:29.116 --> 00:47:32.477]  He's a self-sufficient in high security homes throughout North America.
[00:47:32.477 --> 00:47:34.137]  He's consulted Central America as well.
[00:47:34.137 --> 00:47:38.858]  His latest book in the field is Strategic Relocation North American Guide to Safe Places.
[00:47:38.858 --> 00:47:41.999]  He's active in consulting with persons who need to relocate for security reasons.
[00:47:42.939 --> 00:47:47.264]  And it goes on, Joel was raised in Oregon, later served as a fighter pilot for the U.S.
[00:47:47.264 --> 00:47:53.512]  Marine Corps during Vietnam era prior to beginning his design firm specializing in high security.
[00:47:53.512 --> 00:48:00.240]  And of course, was it an uncle that wrote one of the best-selling books exposing the whole globalist takeover plan?
[00:48:01.058 --> 00:48:01.599]  That's correct.
[00:48:01.599 --> 00:48:08.727]  My uncle was W. Cleon Skousen, who first of all started out with a very, very excellent historical book called The Naked Communist.
[00:48:08.727 --> 00:48:11.891]  That was in the days the conservatives thought that communism was the real problem.
[00:48:11.891 --> 00:48:20.561]  He woke up sometime in the 60s and noted that in fact the capitalists, which turned out to actually be globalists,
[00:48:21.258 --> 00:48:24.742]  Not real, honest, true free market capitalists.
[00:48:24.742 --> 00:48:27.305]  We're running the communists and facilitating them.
[00:48:27.305 --> 00:48:37.397]  And so he wrote the book The Naked Capitalist, which was a blockbuster start of the entire understanding in the world about conspiracy theory relative to our own government.
[00:48:37.657 --> 00:48:48.681]  Well that's right, and now it's declassified what he wrote about and what other investigators in Congress brought out and Anthony Sutton exposed as well.
[00:48:48.681 --> 00:48:49.422]  That's right.
[00:48:49.422 --> 00:48:53.203]  That Hitler had been funded by mainly England, that the U.S.
[00:48:53.203 --> 00:48:59.646]  had helped put the Bolsheviks in, that they helped put Mao in, and now that's been declassified and that's on the History Channel.
[00:49:00.806 --> 00:49:09.314]  They create the crisis to offer the solution, and it's robber barons who want a global, consolidated, anti-free market system.
[00:49:09.314 --> 00:49:12.036]  And now we're coming to the end of the road on that.
[00:49:12.036 --> 00:49:22.245]  And I remember being about 10 years old and I could really start to read good that the naked communist and the naked capitalist were on the bookshelf at my dad's parents'
[00:49:23.406 --> 00:49:23.666]  I think?
[00:49:49.000 --> 00:49:56.246]  Really anger the public so they go with a fake right-wing candidate, as you were saying, lining up for World War III.
[00:49:56.246 --> 00:50:00.630]  Please continue with what you see coming in the near future for the United States and the world.
[00:50:00.630 --> 00:50:03.954]  Then we'll get into the domestic control grid they're putting into place.
[00:50:05.586 --> 00:50:06.466]  That's exactly right.
[00:50:06.466 --> 00:50:11.988]  What I was heading for is that they always create a reaction to these policies.
[00:50:11.988 --> 00:50:17.589]  The economy cannot be solved, at least not with Keynesian economics or government-controlled interference.
[00:50:17.589 --> 00:50:21.690]  It can't be solved with the Fed having to fee out monetary powers.
[00:50:21.690 --> 00:50:24.711]  And so they know that eventually they're going to have a backlash against anyone
[00:50:25.151 --> 00:50:32.114]  Who comes in and promises change and success, whether it's the war in Afghanistan, the war in Iraq, none of that stuff ends at night.
[00:50:32.114 --> 00:50:38.216]  So in the backlash, they're always preparing someone else on the opposite side, Team B as I call it.
[00:50:38.216 --> 00:50:41.378]  They have Team A and Team B, they control both sides.
[00:50:41.378 --> 00:50:46.720]  And they are setting us up right now, in the Republican side of the specter, for this backlash against Obama.
[00:50:47.561 --> 00:51:02.601]  And it's very telling, as I point out in my World Affairs brief analysis, if they pick someone like Palin, who is extremely vulnerable, who has, you know, she's got good charisma, they've been giving her a lot of play on Fox, which is the false conservative network, in my opinion.
[00:51:03.261 --> 00:51:04.903]  Are you saying Mitt Romney's good?
[00:51:26.024 --> 00:51:27.605]  No, I'm not.
[00:51:27.605 --> 00:51:33.067]  I'm saying that he is not a knowing conspirator with the people.
[00:51:33.067 --> 00:51:39.170]  They can't afford to let someone as smart as Romney, even though he's bending over backwards to try to be one of them.
[00:51:39.170 --> 00:51:39.870]  He isn't.
[00:51:39.870 --> 00:51:41.591]  And there's a reason for that.
[00:51:41.591 --> 00:51:43.932]  And that is, he's too ambitious.
[00:51:43.932 --> 00:51:45.052]  He wants to be president.
[00:51:45.052 --> 00:51:47.873]  Those people we never trust, to be honest, conservatives.
[00:51:50.313 --> 00:51:53.655]  Being as smart as he is, if he did get into President, he'd be like Reagan.
[00:51:53.655 --> 00:51:54.736]  He'd see too much.
[00:51:54.736 --> 00:51:59.480]  He wants to do what's popular because he understands that he doesn't want to be destroyed.
[00:51:59.480 --> 00:52:00.300]  Well, that's right.
[00:52:00.300 --> 00:52:03.282]  But he also, you know, he does have some principles.
[00:52:03.282 --> 00:52:05.444]  And he, they don't have a lot of dirt on him.
[00:52:05.444 --> 00:52:07.385]  So they can't twist his arms.
[00:52:07.385 --> 00:52:09.247]  Now, how does Ron Paul play in though?
[00:52:09.247 --> 00:52:14.230]  Because you gave a speech a few years ago that I agreed with, saying don't go with Mitt Romney, go with Ron Paul.
[00:52:14.230 --> 00:52:16.512]  How does the Ron Paul card play into this?
[00:52:17.386 --> 00:52:26.429]  Well, the Ron Call, Paul Card, played very strongly in a major episode that happened in 2008 or 2007, actually.
[00:52:26.429 --> 00:52:37.854]  He was responsible, in my opinion, for the entire intelligent estimate that came out and said that Iran had dismantled or not gone through with their nuclear program.
[00:52:37.854 --> 00:52:46.557]  They had to have an excuse to get out of their planned attack on Iran because it would have occurred to the benefit of the anti-war movement, and yet an anti-war candidate in the Republican
[00:52:47.278 --> 00:52:49.560]  Uh, running for president.
[00:52:49.560 --> 00:52:54.145]  And so, I believe Ron Paul's presence stopped them from going through with Iran.
[00:52:54.145 --> 00:52:57.209]  Now they've switched sides, switched the intelligence.
[00:52:57.209 --> 00:53:00.352]  Um, and, uh, but Ron Paul is even stronger now.
[00:53:00.352 --> 00:53:02.275]  He's been so vindicated.
[00:53:02.275 --> 00:53:05.138]  He is so much a household name now.
[00:53:05.138 --> 00:53:07.741]  They've got a real problem because he's running for president again.
[00:53:08.513 --> 00:53:20.439]  And so they're going to have to undermine Ron Paul with double the support that he had before, plus the fact that they're going to have to work against Mitt Romney, who's got a lot of money to put himself back in.
