[00:00.000 --> 00:05.000]  1884 is 1776.
[58:34.000 --> 58:35.000]  whenever you have enough to make
[58:36.000 --> 58:37.000]  some, even if it's a smaller run
[58:38.000 --> 58:39.000]  do it. You got a very small run
[58:40.000 --> 58:41.000]  into the product that's been sold
[58:42.000 --> 58:43.000]  out and that is Rainforce Ultra.
[58:44.000 --> 58:45.000]  It's 25% off at M4store.com.
[58:46.000 --> 58:47.000]  It's going to end up selling out
[58:48.000 --> 58:49.000]  by Monday as well at current
[58:50.000 --> 58:51.000]  sales rates. So get great products
[58:52.000 --> 58:53.000]  to support the M4 and M4store.com.
[58:54.000 --> 58:55.000]  UN run contact tracers aren't coming.
[58:56.000 --> 58:57.000]  They're here all over the world
[58:57.000 --> 58:58.000]  and the insurance are tracking
[58:59.000 --> 59:00.000]  everything you do, everywhere you
[59:01.000 --> 59:02.000]  go. And then coming to your house
[59:03.000 --> 59:04.000]  and threatening in some cases
[59:05.000 --> 59:06.000]  actually taking people away into
[59:07.000 --> 59:08.000]  the night to their facilities.
[59:09.000 --> 59:10.000]  And they're planning in the next
[59:11.000 --> 59:12.000]  year to expand their shield
[59:13.000 --> 59:14.000]  process where they come and take
[59:15.000 --> 59:16.000]  healthy people away and put them
[59:17.000 --> 59:18.000]  in facilities for their safety.
[59:19.000 --> 59:20.000]  This is nothing less than martial
[59:21.000 --> 59:22.000]  law. And one big thing you can do
[59:23.000 --> 59:24.000]  to fight back is to get high
[59:24.000 --> 59:26.000]  demand, meaning U.S. government
[59:27.000 --> 59:28.000]  military grade at M4store.com.
[59:29.000 --> 59:30.000]  We have the entire line of
[59:31.000 --> 59:32.000]  silent pocket ready to ship to
[59:33.000 --> 59:34.000]  you when you visit M4store.com.
[59:35.000 --> 59:36.000]  Again, we have big backpacks.
[59:37.000 --> 59:38.000]  We have special dry bags.
[59:39.000 --> 59:40.000]  We've got them for cell phones.
[59:41.000 --> 59:42.000]  We've got them for laptops.
[59:43.000 --> 59:44.000]  We've got them for iPads.
[59:45.000 --> 59:46.000]  It's all there at M4store.com.
[59:47.000 --> 59:48.000]  So protect your privacy today
[59:48.000 --> 59:53.000]  at M4store.com.
[1:00:18.000 --> 1:00:19.000]  Mike Lindell giving us updates
[1:00:20.000 --> 1:00:21.000]  on the election and the latest
[1:00:22.000 --> 1:00:23.000]  research he's doing.
[1:00:24.000 --> 1:00:25.000]  In 30 minutes, we've got Lea
[1:00:26.000 --> 1:00:27.000]  Mathis, who's just an amazingly
[1:00:28.000 --> 1:00:29.000]  smart lady joining us on the
[1:00:30.000 --> 1:00:31.000]  whole tyranny rollout.
[1:00:32.000 --> 1:00:33.000]  Darren J. Beatty, who runs
[1:00:34.000 --> 1:00:35.000]  Revolver, who's been bringing on
[1:00:36.000 --> 1:00:37.000]  a lot of information about
[1:00:38.000 --> 1:00:39.000]  providers and others.
[1:00:40.000 --> 1:00:41.000]  On January 6th, a lot of big
[1:00:42.000 --> 1:00:43.000]  developments on that front will
[1:00:44.000 --> 1:00:45.000]  be chronicling. And then Roger
[1:00:45.000 --> 1:00:47.000]  will be back in the fourth hour.
[1:00:48.000 --> 1:00:49.000]  Okay, Greg Rees is always
[1:00:50.000 --> 1:00:51.000]  knocking it out of the park.
[1:00:52.000 --> 1:00:53.000]  And this special report needs
[1:00:54.000 --> 1:00:55.000]  to be seen by many because it
[1:00:56.000 --> 1:00:57.000]  really is the big issue.
[1:00:58.000 --> 1:00:59.000]  I should be making a bigger issue
[1:01:00.000 --> 1:01:01.000]  out of this.
[1:01:02.000 --> 1:01:03.000]  The invasion of Taiwan is the
[1:01:04.000 --> 1:01:05.000]  crisis for the great reset.
[1:01:06.000 --> 1:01:07.000]  Here is that report.
[1:01:08.000 --> 1:01:09.000]  And then in the days and weeks
[1:01:10.000 --> 1:01:11.000]  we're going to be covering this
[1:01:12.000 --> 1:01:13.000]  more because currently big
[1:01:13.000 --> 1:01:14.000]  changes are taking place.
[1:01:15.000 --> 1:01:16.000]  We're going to be covering this
[1:01:17.000 --> 1:01:18.000]  more.
[1:01:20.000 --> 1:01:21.000]  Everyone alive today in the
[1:01:22.000 --> 1:01:23.000]  industrial world have been
[1:01:24.000 --> 1:01:25.000]  conditioned to expect World War
[1:01:26.000 --> 1:01:27.000]  3, conditioned through print
[1:01:28.000 --> 1:01:29.000]  media, pop culture, and
[1:01:30.000 --> 1:01:31.000]  ultimately a Second World War.
[1:01:32.000 --> 1:01:34.000]  Today's serial propaganda keeps
[1:01:35.000 --> 1:01:36.000]  the human mind anticipating the
[1:01:37.000 --> 1:01:38.000]  inevitability of a Third World
[1:01:39.000 --> 1:01:40.000]  War.
[1:01:40.000 --> 1:01:42.000]  The former Soviet intelligence
[1:01:43.000 --> 1:01:44.000]  agent, Yuri Besmanov, warned
[1:01:45.000 --> 1:01:46.000]  us nearly 40 years ago that
[1:01:47.000 --> 1:01:48.000]  America was under a sophisticated
[1:01:49.000 --> 1:01:50.000]  attack of communist subversion.
[1:01:51.000 --> 1:01:53.000]  Stage one, demoralization
[1:01:54.000 --> 1:01:55.000]  takes up to 20 years because
[1:01:56.000 --> 1:01:58.000]  its purpose is to demoralize
[1:01:59.000 --> 1:02:00.000]  an entire generation, creating
[1:02:01.000 --> 1:02:02.000]  an army of disenfranchised
[1:02:03.000 --> 1:02:04.000]  minions.
[1:02:05.000 --> 1:02:06.000]  An army who is then used for
[1:02:07.000 --> 1:02:08.000]  stage two destabilization.
[1:02:08.000 --> 1:02:10.000]  This only lasts three to five
[1:02:11.000 --> 1:02:12.000]  years and is the precursor to
[1:02:13.000 --> 1:02:15.000]  stage three, crisis, system
[1:02:16.000 --> 1:02:17.000]  failure.
[1:02:18.000 --> 1:02:19.000]  This is where we are now at the
[1:02:20.000 --> 1:02:21.000]  precipice, awaiting the crisis
[1:02:22.000 --> 1:02:24.000]  just as the CCP is poised
[1:02:25.000 --> 1:02:26.000]  to invade Taiwan.
[1:02:27.000 --> 1:02:28.000]  Taiwan was part of China for
[1:02:29.000 --> 1:02:30.000]  centuries.
[1:02:31.000 --> 1:02:32.000]  And when the communists came to
[1:02:33.000 --> 1:02:34.000]  power in 1949, destroying
[1:02:35.000 --> 1:02:36.000]  Chinese culture, millions fled
[1:02:36.000 --> 1:02:38.000]  to Taiwan to preserve it.
[1:02:39.000 --> 1:02:40.000]  In 1971, the UN's General
[1:02:41.000 --> 1:02:42.000]  Assembly admitted communist
[1:02:43.000 --> 1:02:45.000]  China and expelled Taiwan,
[1:02:46.000 --> 1:02:47.000]  taking a clear stance against
[1:02:48.000 --> 1:02:49.000]  the people of China.
[1:02:50.000 --> 1:02:51.000]  Xi Jinping plans on uniting
[1:02:52.000 --> 1:02:53.000]  all of China under the CCP
[1:02:54.000 --> 1:02:55.000]  by any means necessary.
[1:02:56.000 --> 1:02:57.000]  And his time is running out.
[1:02:58.000 --> 1:02:59.000]  His power is being challenged
[1:03:00.000 --> 1:03:01.000]  within the party.
[1:03:02.000 --> 1:03:03.000]  The CCP regularly rehearses
[1:03:03.000 --> 1:03:05.000]  invading Taiwan and recently
[1:03:06.000 --> 1:03:07.000]  released a video of it.
[1:03:09.000 --> 1:03:10.000]  If America were to allow the
[1:03:11.000 --> 1:03:12.000]  CCP to invade Taiwan,
[1:03:13.000 --> 1:03:14.000]  then the message is clear.
[1:03:15.000 --> 1:03:16.000]  The US cannot protect any
[1:03:17.000 --> 1:03:18.000]  nation from the CCP.
[1:03:19.000 --> 1:03:20.000]  And communist China becomes
[1:03:21.000 --> 1:03:22.000]  the world's prevailing superpower.
[1:03:24.000 --> 1:03:25.000]  And if we defend the people of
[1:03:26.000 --> 1:03:27.000]  Taiwan, it will be World War
[1:03:28.000 --> 1:03:29.000]  3.
[1:03:30.000 --> 1:03:31.000]  And who decides how America
[1:03:31.000 --> 1:03:32.000]  reacts?
[1:03:33.000 --> 1:03:34.000]  Joe Biden?
[1:03:35.000 --> 1:03:36.000]  Because they are so dependent
[1:03:37.000 --> 1:03:38.000]  upon one another, a military
[1:03:39.000 --> 1:03:40.000]  conflict between the US and
[1:03:41.000 --> 1:03:42.000]  China will be devastating to
[1:03:43.000 --> 1:03:44.000]  both economies.
[1:03:45.000 --> 1:03:46.000]  But it will give the
[1:03:47.000 --> 1:03:48.000]  international banking community
[1:03:49.000 --> 1:03:50.000]  the great reset they are all
[1:03:51.000 --> 1:03:52.000]  pushing for.
[1:03:53.000 --> 1:03:54.000]  Which cannot exist in a world
[1:03:55.000 --> 1:03:56.000]  of national sovereignty.
[1:03:57.000 --> 1:03:58.000]  World War 1 and 2 created
[1:03:58.000 --> 1:03:59.000]  by the U.S.
[1:04:00.000 --> 1:04:01.000]  are still in power.
[1:04:02.000 --> 1:04:03.000]  While millions perished.
[1:04:04.000 --> 1:04:05.000]  War with China gives the
[1:04:06.000 --> 1:04:07.000]  international banking community
[1:04:08.000 --> 1:04:09.000]  the opportunity to destroy
[1:04:10.000 --> 1:04:11.000]  America's culture of freedom
[1:04:13.000 --> 1:04:14.000]  and usher in a world of
[1:04:15.000 --> 1:04:16.000]  authoritarian dominance.
[1:04:17.000 --> 1:04:18.000]  For those of us who have
[1:04:19.000 --> 1:04:20.000]  awakened, it is obvious that
[1:04:21.000 --> 1:04:22.000]  this world war is between the
[1:04:23.000 --> 1:04:24.000]  people and their own governments
[1:04:25.000 --> 1:04:26.000]  and the unawakened masses will
[1:04:26.000 --> 1:04:27.000]  go along with whatever they are
[1:04:28.000 --> 1:04:29.000]  told.
[1:04:30.000 --> 1:04:31.000]  So the only hope that we have
[1:04:32.000 --> 1:04:33.000]  is the awakening of the people.
[1:04:34.000 --> 1:04:35.000]  There are far more of us than
[1:04:36.000 --> 1:04:37.000]  there are of them.
[1:04:38.000 --> 1:04:39.000]  And the only way to avoid World
[1:04:40.000 --> 1:04:41.000]  War 3 is for the people of the
[1:04:42.000 --> 1:04:43.000]  world to wake up.
[1:04:44.000 --> 1:04:45.000]  For Infowars.com, this is Greg
[1:04:45.000 --> 1:04:55.000]  T.
[1:04:56.000 --> 1:04:57.000]  Ladies and gentlemen, get right
[1:04:58.000 --> 1:04:59.000]  with God right now.
[1:05:00.000 --> 1:05:01.000]  I will be right back.
[1:05:02.000 --> 1:05:03.000]  I am taping this update on the
[1:05:04.000 --> 1:05:05.000]  morning of Friday, October 22,
[1:05:06.000 --> 1:05:07.000]  2021.
[1:05:08.000 --> 1:05:09.000]  Listeners who have already tried
[1:05:10.000 --> 1:05:11.000]  and really seen the powerful
[1:05:12.000 --> 1:05:13.000]  effects of Rain Force Ultra
[1:05:13.000 --> 1:05:14.000]  have got a limited supply
[1:05:15.000 --> 1:05:16.000]  of it in stock, but it will be
[1:05:17.000 --> 1:05:18.000]  sold out at current sales rates
[1:05:19.000 --> 1:05:20.000]  by Monday morning.
[1:05:21.000 --> 1:05:22.000]  Despite that fact, we are still
[1:05:23.000 --> 1:05:24.000]  offering a major discount of 25%
[1:05:25.000 --> 1:05:26.000]  off.
[1:05:27.000 --> 1:05:28.000]  It is an amazing, new tropic.
[1:05:29.000 --> 1:05:30.000]  I went to one of the top labs in
[1:05:31.000 --> 1:05:32.000]  the country and I said I want
[1:05:33.000 --> 1:05:34.000]  very powerful, quick acting,
[1:05:35.000 --> 1:05:36.000]  extremely clean, new tropic
[1:05:37.000 --> 1:05:38.000]  that wears off quick because I
[1:05:39.000 --> 1:05:40.000]  want to be able to take it if I
[1:05:40.000 --> 1:05:41.000]  want to.
[1:05:42.000 --> 1:05:43.000]  So, this is what they did with
[1:05:44.000 --> 1:05:45.000]  Rain Force Ultra.
[1:05:46.000 --> 1:05:47.000]  Now, we have other great products
[1:05:48.000 --> 1:05:49.000]  like Turbo Force that last for
[1:05:50.000 --> 1:05:51.000]  10 hours.
[1:05:52.000 --> 1:05:53.000]  It is a different formula.
[1:05:54.000 --> 1:05:55.000]  It is over the top powerful, so
[1:05:56.000 --> 1:05:57.000]  the strong can't even take it.
[1:05:58.000 --> 1:05:59.000]  By the way, it is sold out right
[1:06:00.000 --> 1:06:01.000]  now.
[1:06:02.000 --> 1:06:03.000]  The Rain Force Ultra is really
[1:06:04.000 --> 1:06:05.000]  something special.
[1:06:06.000 --> 1:06:07.000]  It is 25% off, limited supply.
[1:06:07.000 --> 1:06:09.000]  From the front lines of the Info
[1:06:09.000 --> 1:06:38.000]  War.
[1:06:39.000 --> 1:06:40.000]  Ladies and gentlemen, thank you
[1:06:41.000 --> 1:06:42.000]  so much for joining us on this
[1:06:43.000 --> 1:06:44.000]  live October 27,
[1:06:48.000 --> 1:06:49.000]  2021 broadcast.
[1:06:51.000 --> 1:06:52.000]  I am going to try to be as
[1:06:53.000 --> 1:06:55.000]  focused on this as I can be
[1:06:56.000 --> 1:06:57.000]  and just point you in the right
[1:06:58.000 --> 1:06:59.000]  direction to do your own research.
[1:07:00.000 --> 1:07:01.000]  I think everybody knows now this
[1:07:02.000 --> 1:07:03.000]  is out in the open and so the job
[1:07:04.000 --> 1:07:05.000]  of just exposing what is going on
[1:07:06.000 --> 1:07:07.000]  with the globalist is becoming
[1:07:07.000 --> 1:07:08.000]  more and more important than
[1:07:09.000 --> 1:07:10.000]  what they exist like proving the
[1:07:11.000 --> 1:07:12.000]  sun came out this morning versus
[1:07:13.000 --> 1:07:14.000]  what are we going to do to stop
[1:07:15.000 --> 1:07:16.000]  them.
[1:07:17.000 --> 1:07:18.000]  Though it is still important to
[1:07:19.000 --> 1:07:20.000]  get the general public's mind
[1:07:21.000 --> 1:07:22.000]  wrapped around what type of elite
[1:07:23.000 --> 1:07:24.000]  revolution against humanity this
[1:07:25.000 --> 1:07:26.000]  is and an establishment revolution
[1:07:27.000 --> 1:07:28.000]  against God himself and against
[1:07:29.000 --> 1:07:30.000]  God's creation or the act of
[1:07:31.000 --> 1:07:32.000]  playing God that these individuals
[1:07:33.000 --> 1:07:34.000]  are involved in.
[1:07:34.000 --> 1:07:36.000]  So I make a lot of statements here
[1:07:37.000 --> 1:07:38.000]  on air and I know a lot of them
[1:07:39.000 --> 1:07:40.000]  sound crazy and a lot of people
[1:07:41.000 --> 1:07:42.000]  say Jones is nuts because I will
[1:07:43.000 --> 1:07:44.000]  tell you what the globalists
[1:07:45.000 --> 1:07:46.000]  are saying at the UN level but
[1:07:47.000 --> 1:07:48.000]  they are putting in public books
[1:07:49.000 --> 1:07:50.000]  they have written in white papers
[1:07:51.000 --> 1:07:52.000]  and then people will hear me
[1:07:53.000 --> 1:07:54.000]  repeat it and it just sounds
[1:07:55.000 --> 1:07:56.000]  crazy like you will own nothing
[1:07:57.000 --> 1:07:58.000]  you will have nothing we are going
[1:07:59.000 --> 1:08:00.000]  to end the nuclear family we are
[1:08:01.000 --> 1:08:02.000]  going to erase people's immune
[1:08:02.000 --> 1:08:03.000]  system.
[1:08:04.000 --> 1:08:05.000]  And I also just like last week
[1:08:06.000 --> 1:08:07.000]  I was talking to some neighbors
[1:08:08.000 --> 1:08:09.000]  and I said yeah you know that
[1:08:10.000 --> 1:08:11.000]  this whole carbon thing is a way
[1:08:12.000 --> 1:08:13.000]  to tax and control all life on
[1:08:14.000 --> 1:08:15.000]  earth and the global carbon tax
[1:08:16.000 --> 1:08:17.000]  has already been set up by Black
[1:08:18.000 --> 1:08:19.000]  Rock and by the Rothschilds and
[1:08:20.000 --> 1:08:21.000]  the Rockefellers and Vanguard
[1:08:22.000 --> 1:08:23.000]  and they are going to track every
[1:08:24.000 --> 1:08:25.000]  movement we make and taxes but
[1:08:26.000 --> 1:08:27.000]  also tell us where we can go and
[1:08:28.000 --> 1:08:29.000]  what we can do and they are like
[1:08:29.000 --> 1:08:31.000]  now the majority of trees saying
[1:08:32.000 --> 1:08:34.000]  that oxygen is bad too not just
[1:08:35.000 --> 1:08:36.000]  carbon dioxide and the neighbor
[1:08:37.000 --> 1:08:38.000]  didn't believe me so I pulled out
[1:08:39.000 --> 1:08:40.000]  the phone showed them and they
[1:08:41.000 --> 1:08:43.000]  just giggled because again you
[1:08:44.000 --> 1:08:45.000]  are hit by something so nonsensical
[1:08:46.000 --> 1:08:47.000]  you don't respond to it but it
[1:08:48.000 --> 1:08:49.000]  actually starts happening.
[1:08:50.000 --> 1:08:51.000]  You understand so instead of me
[1:08:52.000 --> 1:08:53.000]  just telling you about this let me
[1:08:54.000 --> 1:08:55.000]  just show you some of the headlines
[1:08:56.000 --> 1:08:57.000]  and we will play a clip from 60
[1:08:57.000 --> 1:08:58.000]  minutes recently with Bill Gates.
[1:08:59.000 --> 1:09:00.000]  There is a couple of them which
[1:09:01.000 --> 1:09:02.000]  clips you guys have I forgot to ask
[1:09:03.000 --> 1:09:04.000]  during the break.
[1:09:06.000 --> 1:09:07.000]  Okay okay yeah I am just asking
[1:09:08.000 --> 1:09:09.000]  put it on screen for me how long
[1:09:10.000 --> 1:09:11.000]  each clip is I had forgotten to
[1:09:12.000 --> 1:09:13.000]  ask how long each clip is so how
[1:09:14.000 --> 1:09:15.000]  long is the 60 minute clip we will
[1:09:16.000 --> 1:09:17.000]  just do this live on air.
[1:09:18.000 --> 1:09:19.000]  Okay minute 12 great make sure I
[1:09:20.000 --> 1:09:21.000]  have time for that and then we
[1:09:22.000 --> 1:09:23.000]  will play the we just inject GMO
[1:09:24.000 --> 1:09:25.000]  right in the kids statement
[1:09:25.000 --> 1:09:26.000]  he likes to tell you what he is
[1:09:27.000 --> 1:09:28.000]  really doing like well what about
[1:09:29.000 --> 1:09:30.000]  your old buddy he said you didn't
[1:09:31.000 --> 1:09:32.000]  know but turned out you lived with
[1:09:33.000 --> 1:09:34.000]  him Jeffrey Epstein he goes well
[1:09:35.000 --> 1:09:36.000]  he is dead what about it well he
[1:09:37.000 --> 1:09:38.000]  is dead he is dead and we are going
[1:09:39.000 --> 1:09:40.000]  to get the human population down
[1:09:41.000 --> 1:09:42.000]  to zero and I love Planned
[1:09:43.000 --> 1:09:44.000]  Parenthood there is too many people
[1:09:45.000 --> 1:09:46.000]  and yeah we are going to ban you
[1:09:47.000 --> 1:09:48.000]  eating meat and you are going to
[1:09:49.000 --> 1:09:50.000]  drink sewage water if you are even
[1:09:51.000 --> 1:09:52.000]  allowed to live I mean these are
[1:09:52.000 --> 1:09:54.000]  the things that are going to happen
[1:09:55.000 --> 1:09:56.000]  so I want you to understand where
[1:09:57.000 --> 1:09:58.000]  they are taking you it is not a
[1:09:59.000 --> 1:10:00.000]  very happy place when you comply
[1:10:01.000 --> 1:10:02.000]  with the vaccine passport that is
[1:10:03.000 --> 1:10:04.000]  the carbon passport that is the
[1:10:05.000 --> 1:10:06.000]  global social credit score it is
[1:10:07.000 --> 1:10:08.000]  a hellish world that is not around
[1:10:09.000 --> 1:10:10.000]  the corner it is here so Bill
[1:10:11.000 --> 1:10:12.000]  Gates wants us to eat 100%
[1:10:13.000 --> 1:10:14.000]  synthetic beef he has a point
[1:10:15.000 --> 1:10:16.000]  that is yahoo news oh he has a
[1:10:17.000 --> 1:10:18.000]  point and it is just we are evil
[1:10:19.000 --> 1:10:20.000]  we are white we are racist the
[1:10:20.000 --> 1:10:22.000]  political correctness we have got
[1:10:23.000 --> 1:10:25.000]  to do all this and so they are
[1:10:26.000 --> 1:10:27.000]  moving ahead with it and promoting
[1:10:28.000 --> 1:10:29.000]  the impossible burger they were
[1:10:30.000 --> 1:10:31.000]  reporting has five times the
[1:10:32.000 --> 1:10:33.000]  estrogen of the estrogen they
[1:10:34.000 --> 1:10:35.000]  would give a sex offender order to
[1:10:36.000 --> 1:10:37.000]  be on estrogen therapy so that
[1:10:38.000 --> 1:10:39.000]  they don't assault children in a
[1:10:40.000 --> 1:10:41.000]  month this is all just your
[1:10:42.000 --> 1:10:46.000]  estrogen therapy boys continuing
[1:10:47.000 --> 1:10:48.000]  according to Bill Gates rich
[1:10:48.000 --> 1:10:49.000]  country shouldn't be eating real
[1:10:50.000 --> 1:10:53.000]  meat there is another one Bill
[1:10:54.000 --> 1:10:56.000]  Gates thinks people should only be
[1:10:57.000 --> 1:10:59.000]  eating synthetic beef Bill Gates
[1:11:00.000 --> 1:11:05.000]  let them eat fake meat and it goes
[1:11:06.000 --> 1:11:09.000]  on and on and on sky news we are
[1:11:10.000 --> 1:11:11.000]  rich we shouldn't be allowed to eat
[1:11:12.000 --> 1:11:13.000]  meat oh my god by all means I
[1:11:13.000 --> 1:11:17.000]  won't now when I mentioned all of
[1:11:18.000 --> 1:11:19.000]  this people think I am joking but
[1:11:20.000 --> 1:11:22.000]  I am not joking here is some of the
[1:11:23.000 --> 1:11:27.000]  news articles right here where even
[1:11:28.000 --> 1:11:31.000]  CNN is calling this year for cutting
[1:11:32.000 --> 1:11:36.000]  down trees plant trees sure but to
[1:11:37.000 --> 1:11:38.000]  save the climate we should also cut
[1:11:38.000 --> 1:11:42.000]  them down well that's a double
[1:11:42.000 --> 1:11:43.000]  think double think it's like a
[1:11:44.000 --> 1:11:45.000]  double double thing plant trees by
[1:11:46.000 --> 1:11:47.000]  cutting them down to save the earth
[1:11:48.000 --> 1:11:49.000]  from the evil carbon that's part of
[1:11:50.000 --> 1:11:51.000]  the life cycle four things make life
[1:11:52.000 --> 1:11:53.000]  on this beautiful planet and of
[1:11:54.000 --> 1:11:54.000]  course the fifth element is God
[1:11:55.000 --> 1:11:56.000]  making us and originally engineering
[1:11:57.000 --> 1:11:58.000]  us but and then planting us here but
[1:11:59.000 --> 1:12:03.000]  you have to have the sun you got to
[1:12:04.000 --> 1:12:06.000]  have water you got to have carbon
[1:12:06.000 --> 1:12:07.000]  oxide and oxygen both trace caches
[1:12:08.000 --> 1:12:09.000]  that are at the lowest level ever
[1:12:10.000 --> 1:12:11.000]  recorded in human history from the
[1:12:12.000 --> 1:12:15.000]  ice core and mud samples and so it's
[1:12:16.000 --> 1:12:17.000]  really God's plan I guess that we
[1:12:18.000 --> 1:12:19.000]  found all this fossil fuel and then
[1:12:20.000 --> 1:12:21.000]  brought all this tied up carbon back
[1:12:22.000 --> 1:12:23.000]  to the surface because just like
[1:12:24.000 --> 1:12:25.000]  Mars the earth has been losing its
[1:12:26.000 --> 1:12:27.000]  atmosphere right around the time
[1:12:28.000 --> 1:12:29.000]  that humans show up on the scene
[1:12:32.000 --> 1:12:33.000]  of course that's according to the
[1:12:33.000 --> 1:12:36.000]  official timelines but the point is
[1:12:37.000 --> 1:12:38.000]  is that the Sahara is expanding
[1:12:39.000 --> 1:12:40.000]  because of low carbon dioxide levels
[1:12:41.000 --> 1:12:42.000]  yeah it went up a little bit the
[1:12:43.000 --> 1:12:44.000]  20th century but compared to a
[1:12:45.000 --> 1:12:46.000]  thousand years ago or 100,000 years
[1:12:47.000 --> 1:12:48.000]  ago or 10 million years ago it was
[1:12:49.000 --> 1:12:50.000]  dozens and dozens of times higher
[1:12:51.000 --> 1:12:52.000]  why do you think plants grew so
[1:12:53.000 --> 1:12:54.000]  faster were so big during those
[1:12:55.000 --> 1:12:57.000]  periods the earth was covered with
[1:12:58.000 --> 1:12:59.000]  stuff like redwoods previously they
[1:13:00.000 --> 1:13:01.000]  find redwoods buried in Antarctica
[1:13:01.000 --> 1:13:06.000]  the fossilized redwoods so this
[1:13:07.000 --> 1:13:08.000]  earth was once way more lush we know
[1:13:09.000 --> 1:13:10.000]  that and you know had gigantic plants
[1:13:11.000 --> 1:13:13.000]  so big that it could supply brachios
[1:13:14.000 --> 1:13:16.000]  and huge herbivores enough plants to
[1:13:17.000 --> 1:13:19.000]  eat but do I need to debate with
[1:13:20.000 --> 1:13:23.000]  people that cutting down trees is a
[1:13:24.000 --> 1:13:25.000]  good thing for the earth I mean these
[1:13:26.000 --> 1:13:27.000]  people are psychotic but they want
[1:13:28.000 --> 1:13:29.000]  power over all life
[1:13:29.000 --> 1:13:32.000]  so this is seeing in Democrats have
[1:13:33.000 --> 1:13:34.000]  set their sights on passing major
[1:13:35.000 --> 1:13:36.000]  climate legislation but with a
[1:13:37.000 --> 1:13:38.000]  razor thin majority in Congress they
[1:13:39.000 --> 1:13:40.000]  need to look for common ground so
[1:13:41.000 --> 1:13:42.000]  they spin it saying Republicans
[1:13:43.000 --> 1:13:44.000]  like to cut down trees no they
[1:13:45.000 --> 1:13:46.000]  don't they like to plant them and
[1:13:47.000 --> 1:13:48.000]  then reharvest them and replant them
[1:13:49.000 --> 1:13:50.000]  and there's more plants now than
[1:13:51.000 --> 1:13:52.000]  there was 100 years ago in this
[1:13:53.000 --> 1:13:54.000]  country there's more trees one of
[1:13:55.000 --> 1:13:56.000]  the most promising ideas is to plant
[1:13:56.000 --> 1:13:58.000]  them and they say that trees are
[1:13:59.000 --> 1:14:00.000]  actually bad because they create
[1:14:02.000 --> 1:14:03.000]  oxygen and carbon dioxide well that's
[1:14:04.000 --> 1:14:05.000]  what Bill Gates says he says I don't
[1:14:06.000 --> 1:14:07.000]  want organic farming because that's
[1:14:08.000 --> 1:14:09.000]  got organics involved bacteria and
[1:14:10.000 --> 1:14:13.000]  lichen and funguses and plants and
[1:14:14.000 --> 1:14:15.000]  they put off what do they do just
[1:14:16.000 --> 1:14:17.000]  like evil humans they put off carbon
[1:14:18.000 --> 1:14:22.000]  and that's what Bill Gates and the
[1:14:23.000 --> 1:14:24.000]  founder of the impossible burger oh
[1:14:24.000 --> 1:14:26.000]  it's impossible it's so amazing it's
[1:14:27.000 --> 1:14:29.000]  basically a solid slab of estrogen
[1:14:33.000 --> 1:14:34.000]  and you can go read all the articles
[1:14:35.000 --> 1:14:36.000]  the future of farming according to
[1:14:37.000 --> 1:14:38.000]  Bill Gates he says we got to have
[1:14:39.000 --> 1:14:40.000]  herbicides and pesticides and grow
[1:14:41.000 --> 1:14:42.000]  things in laboratories he says grow
[1:14:43.000 --> 1:14:44.000]  meat in laboratories and have people
[1:14:45.000 --> 1:14:49.000]  eat bacteria soups made from sewage
[1:14:49.000 --> 1:14:55.000]  and it just goes on from there the
[1:14:56.000 --> 1:14:58.000]  biofuel debate will cutting trees cut
[1:14:59.000 --> 1:15:03.000]  carbon New York Times these people
[1:15:04.000 --> 1:15:05.000]  are unbelievable what they want is
[1:15:06.000 --> 1:15:08.000]  power and control over absolutely
[1:15:09.000 --> 1:15:11.000]  everything on this planet and we
[1:15:12.000 --> 1:15:13.000]  come back I'm going to tie it into
[1:15:14.000 --> 1:15:15.000]  the actual investors and those that
[1:15:16.000 --> 1:15:17.000]  control your investment money your
[1:15:17.000 --> 1:15:18.000]  investment money and the rest of it
[1:15:19.000 --> 1:15:20.000]  and how they're going to hold you
[1:15:21.000 --> 1:15:22.000]  hostage with those in the future
[1:15:23.000 --> 1:15:24.000]  with the global social credit score
[1:15:25.000 --> 1:15:26.000]  they're already telling all the
[1:15:27.000 --> 1:15:28.000]  billionaires to prepare for and how
[1:15:29.000 --> 1:15:30.000]  they're going to announce you still
[1:15:31.000 --> 1:15:32.000]  get your retirement but 40% of it
[1:15:33.000 --> 1:15:34.000]  has to be put in global green fund
[1:15:35.000 --> 1:15:36.000]  and you've got to behave a certain
[1:15:37.000 --> 1:15:38.000]  way on your app on your phone or
[1:15:39.000 --> 1:15:40.000]  you won't get your retirement and
[1:15:41.000 --> 1:15:42.000]  the average boomer I guess will just
[1:15:43.000 --> 1:15:44.000]  submit to that thinking being held
[1:15:44.000 --> 1:15:46.000]  and so they'll just roll over and
[1:15:47.000 --> 1:15:48.000]  submit to that too putting themselves
[1:15:49.000 --> 1:15:50.000]  and all of us in chains.
[1:15:51.000 --> 1:15:52.000]  We're going to tell you about BlackRock
[1:15:53.000 --> 1:15:54.000]  and their plans to euthanize you and
[1:15:55.000 --> 1:15:56.000]  your family straight ahead.
[1:15:58.000 --> 1:15:59.000]  Alex Jones here on the morning of
[1:16:00.000 --> 1:16:04.000]  Friday October 22nd 2021 with a very
