[00:00.000 --> 00:22.000]  If you are receiving this transmission, you are the resistance.
[32:09.000 --> 32:17.000]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico where the Chiapas farmers grow their unique shade-grown Arabica beans.
[32:17.000 --> 32:22.000]  We have now managed to secure the sought-after beans in a highly customized blend.
[32:22.000 --> 32:29.000]  Discover and try a bag of the Patriot Blend 100% organic coffee at InfoWarsLife.com.
[32:29.000 --> 32:36.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[32:36.000 --> 32:43.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[32:43.000 --> 32:47.000]  Drop by the site today, order a bag or two and I don't think you're going to be disappointed.
[32:47.000 --> 32:51.000]  Available in original or with our immune support infusion blend.
[32:51.000 --> 32:57.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[32:57.000 --> 33:00.000]  Available at InfoWarsLife.com.
[33:00.000 --> 33:11.000]  You're listening to the Alex Jones Show.
[33:30.000 --> 33:46.000]  By the way, I'm glad we're playing this little stranglehold intro from the great Voter City madman now, a fellow Texian.
[33:46.000 --> 33:51.000]  We'll be joining us tomorrow for a full hour in the noontime hour.
[33:51.000 --> 33:59.000]  Ted Nugent, boy, he has sent me some amazing texts yesterday that I thought we should see the daily listener in the broadcast.
[33:59.000 --> 34:03.000]  He'll never compromise, he'll never back down, he'll never waver.
[34:03.000 --> 34:07.000]  Let me read you this Ted Nugent quote here yesterday.
[34:07.000 --> 34:18.000]  He said, the orgy of lies must be counterpunched nonstop, Ted Nugent.
[34:18.000 --> 34:31.000]  And then he sent me a bunch of links to the Buzzfeed saying they're student actors who are anti-gun and are great activists who are going to fight the Second Amendment.
[34:31.000 --> 34:35.000]  And that was the day after the shooting and that's where we all got it from, it's all admitted.
[34:35.000 --> 34:40.000]  And then if you talk about it, they say you're bullying children and say nobody got shot.
[34:40.000 --> 34:44.000]  I mean, just think of how they're using children as a fraud.
[34:44.000 --> 34:50.000]  But here's the point I want to make for the last segment and it's this.
[34:50.000 --> 35:06.000]  YouTube admits they're in consultation about my private YouTube account with billions of views to ban us permanently from YouTube for bullying students and saying no shooting took place so that they're all crisis actors who weren't actually there, brought in.
[35:06.000 --> 35:10.000]  Not that they're actors in drama or anti-gun, that's admitted.
[35:10.000 --> 35:15.000]  And they've banned those videos.
[35:15.000 --> 35:16.000]  Here's the bottom line.
[35:16.000 --> 35:18.000]  YouTube has banned videos.
[35:18.000 --> 35:33.000]  That's the videos they banned showing student eyewitnesses on local news, but then other students we interviewed saying that the police stood down and they witnessed their cars for up to 10 minutes, a bunch of cars line up and wait while the shooting was happening.
[35:33.000 --> 35:41.000]  And that they were with Nicholas Cruz while the shooting was ongoing and he didn't have a gun.
[35:41.000 --> 35:50.000]  And then they cover that by saying it was videos about the students being actors and no shooting happening.
[35:50.000 --> 35:56.000]  Go to the article, watch these info wars videos were banned by YouTube.
[35:56.000 --> 36:04.000]  And, you know, it's crazy as of yesterday, I went to the report, she had 7 million plus views on the two videos on our own servers.
[36:04.000 --> 36:08.000]  And the bill I got told about last night was $3,400 and we got pretty cheap bandwidth.
[36:08.000 --> 36:11.000]  I mean, it shows, I put a video platform up.
[36:11.000 --> 36:22.000]  It's going to be very successful and we're, I guess we have to do it, but Google, Facebook and Twitter, they get telecom level basically free bandwidth.
[36:22.000 --> 36:26.000]  YouTube pulls Alex Jones video saying student anti-gun actives were actors.
[36:26.000 --> 36:27.000]  Notice the span.
[36:27.000 --> 36:29.000]  No, we didn't say they were crisis actors.
[36:29.000 --> 36:30.000]  We didn't say.
[36:30.000 --> 36:33.000]  And I know I keep making this point, but it shows the fraud.
[36:33.000 --> 36:35.000]  They won't show you what we said though.
[36:35.000 --> 36:37.000]  See, because you'd see it and go, that's totally reasonable.
[36:37.000 --> 36:39.000]  Hey, look, they're in the acting class.
[36:39.000 --> 36:44.000]  Hey, Buzzfeed says they're anti-gunners and they're in the acting class and the journalism class and one of them's mom's works at CNN.
[36:44.000 --> 36:46.000]  They're calling Dana Locha murderer.
[36:46.000 --> 36:48.000]  You know, they're adults, they're seniors.
[36:48.000 --> 36:50.000]  We can speak out about what they're saying.
[36:50.000 --> 36:51.000]  Looks like they're scripted.
[36:51.000 --> 36:52.000]  They don't show you that.
[36:52.000 --> 36:55.000]  Jones bullied children and said nobody died.
[36:55.000 --> 36:57.000]  That's what they do.
[36:57.000 --> 36:59.000]  That's defrauding their viewers.
[36:59.000 --> 37:06.000]  And then to see all these other YouTubers who want to be in favor with YouTube, go along with the hoax and read and try to grovel to the system.
[37:06.000 --> 37:10.000]  And then to have Anderson Cooper of the CIA come out and have all the rest of them.
[37:10.000 --> 37:17.000]  And then Brian Stelter and then Dan Rather weighed in and Lynn Beck.
[37:17.000 --> 37:21.000]  And then they had hog on saying, I forgive the conspiracy theorists.
[37:21.000 --> 37:24.000]  You know, they've given me great work traffic and, you know, blah, blah, blah.
[37:24.000 --> 37:25.000]  They say I'm an actor.
[37:25.000 --> 37:26.000]  Nobody died.
[37:26.000 --> 37:30.000]  But you know, it's all, again, they forgive us for things we didn't even do.
[37:30.000 --> 37:32.000]  Aren't they sweet?
[37:32.000 --> 37:35.000]  That's very studied levels of fraud, by the way.
[37:35.000 --> 37:40.000]  What CNN and stuff were involved in is next level where they build, they know, you know, you're lying.
[37:40.000 --> 37:41.000]  The other line.
[37:41.000 --> 37:53.000]  What they do is they construct different whole pieces of like a fake universe to then connect all of it in together.
[37:53.000 --> 37:59.000]  So then once they've got that whole artificial construct, then they think you might buy into it.
[37:59.000 --> 38:05.000]  But it's a little telltale sign when they say Tom Brokaw goes, Alex Jones is an unalloyed racist.
[38:05.000 --> 38:06.000]  That means complete racist.
[38:06.000 --> 38:08.000]  I'd look up unlawed either.
[38:08.000 --> 38:11.000]  I'm a pretty good wordsmith, but unlawed, I didn't know.
[38:11.000 --> 38:13.000]  It means complete, total, absolute, committed.
[38:13.000 --> 38:16.000]  No clip, no video, nothing.
[38:16.000 --> 38:18.000]  That's just, you know, him saying it.
[38:18.000 --> 38:22.000]  So we're going to go to these clips now.
[38:22.000 --> 38:26.000]  It's just remember, we said there was a stand down by the sheriff's department.
[38:26.000 --> 38:28.000]  Well, we didn't say that, actually.
[38:28.000 --> 38:33.000]  The media memorialized, though, that we first said witnesses said that and now it's confirmed.
[38:33.000 --> 38:38.000]  We said he was probably under state control and under on psychotropics that was confirmed a week and a half later.
[38:38.000 --> 38:40.000]  That's all now in the news.
[38:40.000 --> 38:45.000]  We said that these kids are in acting school and are in the drama club and are anti gunners.
[38:45.000 --> 38:49.000]  And the media now says, oh, they're wonderful activists and their actors.
[38:49.000 --> 38:55.000]  In the comedy central show where they attacked us, but never showed clips of us.
[38:55.000 --> 38:59.000]  The Kepler guy did the same deal.
[38:59.000 --> 39:04.000]  He'd say he played clips of the kids admitting their actors, but then go Jones is insane saying their actors.
[39:04.000 --> 39:08.000]  I'm like, they're not even that good a propagandist.
[39:08.000 --> 39:13.000]  So that's why I'm saying this is the number one story because it is they've announced the Internet attack.
[39:13.000 --> 39:15.000]  They're coming after it.
[39:15.000 --> 39:21.000]  Drudge was worn by Supreme Court justice two years ago and out of all the conservative media, all of it.
[39:21.000 --> 39:26.000]  No one came to my defense, but Matt Drudge, but that's why he's number one.
[39:26.000 --> 39:30.000]  Matt Drudge linked to the original videos that had nothing to do with what they said.
[39:30.000 --> 39:35.000]  It was eyewitnesses to multiple shooters in the sheriff's stand down.
[39:35.000 --> 39:40.000]  And these are students saying this, just like students said, we were handed out questions at the CNN deal.
[39:40.000 --> 39:41.000]  And it turns out that's true.
[39:41.000 --> 39:43.000]  Of course, it's in the WikiLeaks they do that.
[39:43.000 --> 39:45.000]  They're the kings of fake.
[39:45.000 --> 39:47.000]  It doesn't mean the shootings fake.
[39:47.000 --> 39:49.000]  Again, they can they conflate that.
[39:49.000 --> 39:54.000]  And I know you know that, but that's how the fraud works for these people.
[39:54.000 --> 39:56.000]  And then they think off that.
[39:56.000 --> 40:01.000]  I got calls again from Northeast Texas family going, it's in the paper.
[40:01.000 --> 40:03.000]  You bullied kids, but what happened?
[40:03.000 --> 40:05.000]  It didn't say how I'm like, yeah, it didn't funny.
[40:05.000 --> 40:07.000]  They didn't have a quote or anything.
[40:07.000 --> 40:09.000]  They're like, yeah, and I'm like, yeah, it's the same script.
[40:09.000 --> 40:13.000]  CNN means CIA foundation left its angles.
[40:13.000 --> 40:15.000]  I mean, literally that they admit that they put out the script.
[40:15.000 --> 40:16.000]  Everybody else.
[40:16.000 --> 40:17.000]  That's the thing.
[40:17.000 --> 40:18.000]  I looked at hundreds of articles.
[40:18.000 --> 40:21.000]  It was all the exact same cut out article.
[40:21.000 --> 40:23.000]  It was all the same words, the same angle.
[40:23.000 --> 40:25.000]  But it got worse today.
[40:25.000 --> 40:33.000]  It became other videos taken down a week ago of somebody else who we don't even know what they said because they took it down.
[40:33.000 --> 40:40.000]  Now saying I said that see and it all just emerges kind of like they said in the noon as you know memo had all these documents.
[40:40.000 --> 40:45.000]  But in the Democrat memo, it just is all this speculation that will maybe the Russians gave Trump secret documents.
[40:45.000 --> 40:47.000]  So they go probably Roger Stone.
[40:47.000 --> 40:54.000]  So today that was yesterday. Now the new shift memo Democrat memo is Roger Stone got Russian documents.
[40:54.000 --> 41:01.000]  There's a Washington Post said maybe and then it becomes that you see.
[41:01.000 --> 41:03.000]  So they're coming for you folks.
[41:03.000 --> 41:06.000]  I've spent 45 minutes and I haven't gotten to this 40 minutes.
[41:06.000 --> 41:13.000]  Let's go ahead and go to Glenn Beck washed up half his audience Democrat, operative, Judas go.
[41:13.000 --> 41:15.000]  He goes and falls on his sword on mainstream media.
[41:15.000 --> 41:16.000]  That's what he does.
[41:16.000 --> 41:22.000]  He gets pushed by Twitter, Facebook, everybody force fed, lavish with corporate sponsorship.
[41:22.000 --> 41:25.000]  He goes on, falls on his sword, his conservatism is a fraud.
[41:25.000 --> 41:31.000]  And then he misrepresents what I said about 9 11 about everything because I said there was a stand down Saudi Arabia.
[41:31.000 --> 41:35.000]  All that's come out in the 28 pages, but he misrepresents that and then he misrepresents the rest.
[41:35.000 --> 41:36.000]  Here it is.
[41:36.000 --> 41:44.000]  We're frequently accused of spreading conspiracy theories about Obama and about liberals, which is why I want to know what you make of the conspiracy theories this week.
[41:44.000 --> 41:47.000]  These attacks against the students in Florida.
[41:47.000 --> 41:52.000]  Why do people embrace this kind of conspiracy theory thinking?
[41:52.000 --> 41:57.000]  Okay, so let's talk about conspiracy theories because again, this is a left and right kind of thing.
[41:57.000 --> 41:58.000]  Look at the conversation.
[41:58.000 --> 42:13.000]  If you remember, Scripps Howard did a poll in 2006 and they asked the question, how likely is it that people in the federal government either assisted in the 9 11 attacks or took no action
[42:13.000 --> 42:16.000]  because they wanted war in the Middle East?
[42:16.000 --> 42:25.000]  22% said very likely 22% of Democrats said very likely 28% said somewhat likely.
[42:25.000 --> 42:32.000]  So that's more than half of Democrats thought that Bush was involved in the 9 11 conspiracy.
[42:32.000 --> 42:42.000]  So conspiracy, and by the way, the person who was behind that conspiracy is the same guy behind a lot of these conspiracies, Alex Jones.
[42:42.000 --> 42:43.000]  Let's stop there.
[42:43.000 --> 42:47.000]  I'm going to come back with a rather than they agree that I need to be shut down.
[42:47.000 --> 42:49.000]  So they don't play what I actually said.
[42:49.000 --> 42:50.000]  They don't show what I actually did.
[42:50.000 --> 42:53.000]  They just tell you that they agree I need to be taken down.
[42:53.000 --> 42:54.000]  We'll come back with that.
[42:54.000 --> 42:55.000]  They're anti free speech.
[42:55.000 --> 42:59.000]  These are anti American dirt bags.
[42:59.000 --> 43:01.000]  Electrify your day with secret 12.
[43:01.000 --> 43:03.000]  It's like lightning in a bottle.
[43:03.000 --> 43:07.000]  We all have days in which we just can't seem to perform at the level we'd like to.
[43:07.000 --> 43:15.000]  Info wars life secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B 12.
[43:15.000 --> 43:20.000]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[43:20.000 --> 43:26.000]  The reality is it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[43:26.000 --> 43:34.000]  Secret 12 by info wars life is an easy way to naturally upgrade your vitamin B 12 intake and support your body's natural systems.
[43:34.000 --> 43:39.000]  It compares two forms of vitamin B 12 into one explosive formula.
[43:39.000 --> 43:45.000]  Vitamin B 12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[43:45.000 --> 43:48.000]  But it also assists with many other functions of the body.
[43:48.000 --> 43:51.000]  Electrify your mind and body and take your health to the next level.
[43:51.000 --> 43:55.000]  Experience the power of secret 12 at info wars life dot com.
[43:55.000 --> 43:59.000]  That's info wars life dot com.
[43:59.000 --> 44:08.000]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the info war a 360 win.
[44:08.000 --> 44:15.000]  Number one, when you choose auto ship before checkout, we give you 10% off on your order at info warshore dot com.
[44:15.000 --> 44:23.000]  Number two, you're also able to get items that are out of stock when you sign up for auto ship because we hold back a surplus for auto ship customers.
[44:23.000 --> 44:29.000]  Number three, we're giving you free shipping on all orders above $50.
[44:29.000 --> 44:34.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[44:34.000 --> 44:42.000]  Just go to info warshore dot com, select your favorite product or products, click on auto ship and choose how often you want us to send you another order.
[44:42.000 --> 44:49.000]  As you know, I coined the term 360 win and with the new auto ship feature at info wars life dot com, this is a sure win.
[44:49.000 --> 44:59.000]  We're sending off on auto ship win, win, win at info wars life dot com free shipping on orders above $50 and all out of stock items are never out of stock when you sign up for auto ship.
[45:20.000 --> 45:29.000]  That's easy to use and let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts and entire meals.
[45:29.000 --> 45:39.000]  That's what I'm talking about and when compared to traditional methods of preservation like canning or dehydrating, you know like what you get at the grocery store, there is no comparison.
[45:39.000 --> 45:48.000]  Harvest right freeze dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years.
[45:48.000 --> 45:55.000]  Now that's what I call the miracle of food preservation. Harvest right is truly the world's best, most affordable freeze dryer.
[45:55.000 --> 45:59.000]  So what are you waiting for? Check it out right now at info warshore dot com.
[45:59.000 --> 46:02.000]  Mike in Arizona, you're on the air worldwide, go ahead.
[46:02.000 --> 46:14.000]  Oh Alex, you can rent any day of the week. Thank you sir for doing what you do and being a patriot and doing your best to save America and encouraging us as fellow patriots to do that in our local areas as well.
[46:14.000 --> 46:21.000]  And as a long time info wars listener, I want to say thanks for the awesome brain force, Anthroplex.
[46:21.000 --> 46:24.000]  My girlfriend would like to say thanks for the Anthroplex too.
[46:24.000 --> 46:25.000]  Thank you.
[46:25.000 --> 46:31.000]  I use the bio true selenium, the super blue toothpaste for you folks who are big normal toothpaste fans, the super blue is awesome.
[46:31.000 --> 46:40.000]  And thank you so much Alex for the info wars life products, they are quality. I can't wait to get some more and thank you so much for doing that for us to keep us healthy.
[46:40.000 --> 46:41.000]  Absolutely.
[46:41.000 --> 46:55.000]  Because then we could all as educated patriots help our other countrymen and women understand that there's a bigger problems going on and if we can get our houses in order and be good to each other and ourselves, we can take our country back.
[47:11.000 --> 47:29.000]  From the front lines of the information war, it's Alex Jones.
[47:29.000 --> 47:47.000]  So we don't sit here at info wars when a story breaks and then go, hey, our agenda is to blame the Second Amendment or our agenda is to blame white males or our agenda is to blame black males or our agenda is to say it's a false flag.
[47:47.000 --> 47:51.000]  There have been shootings where clearly people do it by themselves.
[47:51.000 --> 48:00.000]  There's also shootings where I can play a CNN clips where well more cops got shot, they need to do more to stop police violence. That's why they're getting killed. You know, they deserve it.
[48:00.000 --> 48:02.000]  When Congressman's police got shot.
[48:02.000 --> 48:09.000]  Well, blitzer had a guest on going, well, the guy was a hero that did it. You know, he wasn't a bad guy and blitzers like, okay, I agree.
[48:09.000 --> 48:30.000]  So these people are out of control. And the day after the event, the day of the event, we start seeing local stations and Texas stations that were there to cover major league baseball interviewing students going, there's multiple shooters and crews was with me.
[48:30.000 --> 48:33.000]  He wasn't shooting and then I get a guest on. They say it.
[48:33.000 --> 48:43.000]  He knows other people to get in contact with and say it. Imagine being Glenn Beck or somebody or CNN or anybody because a lot of these were over TV cameras, shoulders, people shoot on iPhones.
[48:43.000 --> 48:50.000]  The students were all saying this. Imagine then you don't cover it because you don't want to be called a conspiracy theorist.
[48:50.000 --> 49:01.000]  That just means going and talking to the locals and seeing what really happened instead of whatever the national news in DC or New York or LA says.
[49:01.000 --> 49:09.000]  And that's what's crazy. But see, they can't say, oh, Jones is bad. He interviewed students that said there were multiple shooters and showed local newscast saying the same thing.
[49:09.000 --> 49:13.000]  And the sheriff stood down. No, no, no, no, you can't go up against that.
[49:13.000 --> 49:19.000]  So you go, Alex Jones is to be banned on YouTube and Google. Thank God.
[49:19.000 --> 49:24.000]  Washington Times said, thank God. Glenn Beck says, thank God. Newscore says, thank God. CNN's out.
[49:24.000 --> 49:33.000]  I got four or five clubs were skelters pushing people. Don't you want to shut this down? Don't you need to do something about it? I just played one.
[49:33.000 --> 49:40.000]  And then they can't actually say we need to shut it down. They played local newscast saying multiple shooters and the police stood down.
[49:40.000 --> 49:45.000]  And they're also saying CNN had fake town halls. That's confirmed.
[49:45.000 --> 49:56.000]  Where they're trained actors who are real students, but their actors are saying you're a murderer today in a loach. And the crowd goes, burn her, burn her of handpicked people.
[49:56.000 --> 50:02.000]  They're saying, kill the NRA, burn people, murder them, shoot them. They're murderers.
[50:02.000 --> 50:08.000]  And all we're doing is going, gee, they all admit they're in an ad thing and they're all in PR and they admit that in Buzzfeed.
[50:08.000 --> 50:15.000]  And it's like, shut up. You said that no one died. See, it's like, I say, you know, I want to live like Venezuela. Shut up. You're an aunt.
[50:15.000 --> 50:21.000]  You want to live under Hitler? I'm like, no, I said I want to live under communism. So see that they always play these games.
[50:21.000 --> 50:27.000]  And only because we're not paying attention to they keep having success, but they're starting to lose. So they're panicking.
[50:27.000 --> 50:32.000]  Which is a great opportunity to show how ridiculous they are. But let me get these clips.
[50:32.000 --> 50:38.000]  Then we got Roger Stone coming on. He's got so much to break down. We've also got Doug Hagman. It's just so they can cover it all themselves.
[50:38.000 --> 50:42.000]  I'll host a little bit, but I'm going to let them take over or I'll run over them. I'm too wound up to have anybody host with me.
[50:42.000 --> 50:50.000]  So I'm just, since they were coming on as guests, I'll just let them host. They're already hosting shows sometimes anyways.
[50:50.000 --> 50:56.000]  And I got to talk to some lawyers. I had a meeting with lawyers at 6.30 tonight. Yeah, I'm not a litigious person.
[50:56.000 --> 51:02.000]  We got open and shut chases and it's the one we're only having is left just to show what frauds they are because we got them good.
[51:02.000 --> 51:09.000]  And they are just turned loose by their corporate owners right now because they know they're losing control. They're doing anything they can.
[51:09.000 --> 51:14.000]  So what do they do when they got students saying the police stood down, which is now confirmed? They wanted to cover that up.
[51:14.000 --> 51:22.000]  No wonder they banned not just my video, but thousands of others that's now coming out that showed locals saying what happened.
[51:22.000 --> 51:31.000]  Because it wasn't one deputy, it wasn't four, it wasn't five, it wasn't 10. It was just a stand down. A stand down.
[51:31.000 --> 51:40.000]  And men running around in camo shooting guns while the police stand down. There's dozens of students saying, oh, there was guys running around in camo.
[51:40.000 --> 51:47.000]  Held it Islamist attack. We now know the sheriff is an Islamist. In fact, I forgot to give you that video, guys. It's right here, Darryl.
[51:47.000 --> 51:54.000]  It's in here. I've got it right here. I've got to send this to you. The sheriff speaks full Arabic, says he's an Islamist, whole nine yards.
[51:54.000 --> 52:02.000]  This is unbelievable. Here it is. Come in here and get this for me. Broward County Sheriff. See, I'm starting to figure out this may have been like Vegas.
[52:02.000 --> 52:06.000]  Here you go. And then national security covers it up because they don't want to start a civil war.
[52:06.000 --> 52:11.000]  But whatever, you got a bunch of men reporting around in camo. Some would just say big beard shooting everybody.
[52:11.000 --> 52:17.000]  I'm not even saying that. The students are saying and then the students said the police stood down and which is confirmed.
[52:17.000 --> 52:27.000]  But you know, oh, don't bully the students. But CNN says these other students that said it was scripted or liars and the students we have aren't real, even though they are real.
[52:27.000 --> 52:36.000]  They're bullying the truth. They're bullying America. CNN goes to old ladies' houses and says you're Russian agents when they've been Republican volunteers for 40 years.
[52:36.000 --> 52:42.000]  So let's finish up with Glenn Beck saying Alex Jones made up the 9-11 conspiracy theory.
[52:42.000 --> 52:49.000]  No, our own military. 28 pages has all come out. Criminal elements of our government ally with Islam like Brennan and others.
[52:49.000 --> 52:57.000]  But can they misrepresent what I said? And then he gets in to this. But they never say what I said, notice, because I didn't say what they said.
[52:57.000 --> 53:04.000]  The students said it and all I did was show you what they said because they don't like us here because they want to have the only voice. Here it is.
[53:04.000 --> 53:15.000]  Conspiracy. And by the way, the person who was behind that conspiracy is the same guy behind a lot of these conspiracies, Alex Jones.
[53:15.000 --> 53:24.000]  Politico described that as something at the time. They said, well, that's just things that people are saying because they don't like the other guy.
[53:24.000 --> 53:28.000]  That's the problem. We're willing to accept things.
[53:28.000 --> 53:34.000]  No, over a million Iraqis died in the first phase over lies about babies having their brains bashed out in incubators.
[53:34.000 --> 53:41.000]  And you hear about the sinking of the Maine, our own battleship being blown up and blah, blah, blah. I love America, but criminal elements do this stuff.
[53:41.000 --> 53:49.000]  It's taught in textbooks back. But when you can't debate our ideas, you just misrepresent them with a straw man and then call for us to be banned.
[53:49.000 --> 53:50.000]  Here, let's continue.
[53:50.000 --> 54:00.000]  Accept things about the other guy because we don't like him. What's worse now are the social networks that they spread.
[54:00.000 --> 54:12.000]  What's worse is the social networks. The people can talk. What's worse now is the internet. Stelter is actually, and by the way, I've got like five, four or five clips of him saying this, get rid of it, shut up.
[54:12.000 --> 54:22.000]  The social networks, they're the people. They're not watching me. I'm a big manly guy. Make them watch me, Glenn.
[54:22.000 --> 54:23.000]  Continue.
[54:23.000 --> 54:30.000]  These crazy theories to millions of people. What should the technology companies do?
[54:30.000 --> 54:32.000]  I don't know.
[54:32.000 --> 54:34.000]  I don't know. It's so thoughtful.
[54:34.000 --> 54:48.000]  Facebook and Twitter. Everything back does is famously scripted, by the way. And then I have the same program seven minutes before where he says the same thing to David Hogg, who I can't talk about or it's pulling, even though he's an activist and is a young man.
[54:48.000 --> 54:55.000]  They say, what should we do? They bullied you, my little cupcake. Here, continue.
[54:55.000 --> 55:08.000]  Have added to this problem a great deal. I think if you look, we, if you look at where the average Democrat was and the average Republican, if you look at the charts, it's pretty much like this.
[55:08.000 --> 55:14.000]  Until 2000, what is it, six, the first year of Facebook, and we started moving apart.
[55:14.000 --> 55:27.000]  Yeah, now that people have free speech, libertarianism, Americanism's winning, and we're back, baby. Your whole Carol Quigley globalist thing of having the left and right be the same and controlling it's over.
[55:27.000 --> 55:34.000]  And there's no putting the genie back and your whole audience hates Stelter and they hate Beck and they hate you. They hate you.
[55:34.000 --> 55:44.000]  I want to get to this clip of Hogg thanking us while the very group he's on with CNN is lobbying to have us kicked off YouTube and has already banned us on three channels doing live streams.
[55:44.000 --> 55:51.000]  Another strike, we're off YouTube. And then the lawsuits are just, it's like, which I don't even want to have to go through it.
[55:51.000 --> 56:00.000]  But, and by the way, I'm going to privately sue Stelter and I'm going to sue all of them. I swear to God, when they do this, I have them all.
[56:00.000 --> 56:09.000]  I have them lobbying, I have them lying, I have them filing the fake complaints, total racketeering to ban my speech when I have a bigger show than they do.
[56:09.000 --> 56:18.000]  I mean, I should go to jail if I'm trying to kick them off the air too. These people are sick freaks, man.
[56:18.000 --> 56:32.000]  Anyways, so there you go. You've been warned, buddy. All of you have. I think Hogg's got some really good advisors telling him he didn't want me taking off here. A little hoggy, little, little, he figured it out.
[56:32.000 --> 56:39.000]  Well, he has some smart people behind him, like son. You want to stay out of the way of this.
[56:39.000 --> 56:49.000]  Anyways, continuing here. I've not done new specials in a week, even though I'm selling out of the fluoride-free, colloidal, silver, fortified an iodine, fortified toothpaste.
[56:49.000 --> 57:00.000]  I haven't come out with new sales. I've been so busy and even though it's about to sell out, even though Icarin, the Tidney and liver cleanse is amazing, bodies, the ultimate turmeric formula.
[57:00.000 --> 57:07.000]  I mean, just look into it. We have the strongest out there. It's unbelievable. The very low price. It's all 50% off.
[57:07.000 --> 57:12.000]  And it's all about to sell out because I've got hundreds of other items we sell. I just haven't got the new specials.
[57:12.000 --> 57:17.000]  And so those are the specials that are about to end. InfoWarsStore.com, InfoWarsLife.com.
[57:17.000 --> 57:25.000]  Because everybody can see I've been a little busy right now, launching the satellite uplinks and all the TV and radio affiliates are just pouring in.
[57:25.000 --> 57:31.000]  So, you know, TriZan Effect is in full effect. We're just getting all that lined up at your financial support. It's critical.
[57:31.000 --> 57:40.000]  Thank you all for defending the First Amendment. InfoWarsStore.com, InfoWarsLife.com, or triple-A2533139.
[57:40.000 --> 57:45.000]  Hour number two straight ahead will be right back in the defense of the First Amendment.
[57:45.000 --> 57:49.000]  If you don't stand up and take action, they will win. Stelter will have his way with you.
[57:49.000 --> 57:57.000]  Introducing FloorLife, the new probiotic line developed exclusively by InfoWarsLife after years of research on the human microbiome.
[57:57.000 --> 58:08.000]  Not all probiotics are made the same. FloorLife probiotics use a unique targeted delivery system that bypasses the stomach and releases directly into the intestines for maximum effect.
[58:08.000 --> 58:17.000]  This is critical because stomach acid kills most probiotics, so if you don't have a targeted delivery probiotic, then you're cheating your gut health and your wallet.
[58:17.000 --> 58:24.000]  FloorLife supports your body's core, where you need it most, including digestion, regularity, immunity, the gut lining, and metabolism.
[58:24.000 --> 58:33.000]  Did you know that over 80% of your immune system is located in your gut? That's why increasing gut probiotic levels is so important for overall health.
[58:33.000 --> 58:41.000]  FloorLife is sold as a 15 billion probiotic for everyday maintenance care and a 50 billion probiotic for a 30 day advanced gut restoration program.
[58:41.000 --> 58:47.000]  Head to InfoWarsLife.com to pick up your bottle of FloorLife probiotics today. That's InfoWarsLife.com.
[58:47.000 --> 58:59.000]  Over a year in the making, produced by one of the top organic firms in the country, that if you want proven studies and documentation,
[58:59.000 --> 59:05.000]  I'm going to speak for hours, just on the files I have here, of what this is proven to do, the ingredients in this.
[59:05.000 --> 59:16.000]  This is the ultimate immune system boost for this time of year, any time of the year, but immune wall is incredible, and folks, other formulas that aren't even as good are $70, $80.
[59:16.000 --> 59:18.000]  It's a great deal at $39.
[59:18.000 --> 59:26.000]  Immune wall, beta-glucans, olive leaf, and so much more. It is concentrated. You need to go read what is in here.
[59:26.000 --> 59:33.000]  The mushroom blend of the most expensive, highest quality mushrooms that just incredibly accelerate a citrus peel blend.
[59:33.000 --> 59:35.000]  I mean, this is the next level.
[59:35.000 --> 59:39.000]  It's now available, ladies and gentlemen, immune wall, I think is beyond seasonal.
[59:39.000 --> 59:47.000]  Beta-glucan, olive leaf, and more. ImmuneWall, InfoWarsStore.com, InfoWarsLife.com, or triple-eight, 2533139.
[59:53.000 --> 59:56.000]  You're listening to the Alex Jones show.
[59:56.000 --> 01:00:07.000]  I can't wait to get CNN in court. They admit they're all involved in my YouTube account trying to kick me off the air.
[01:00:07.000 --> 01:00:14.000]  Talk about racketeering, civil rights violation. Wow, $500,000 for not baking a bit of gay cake?
[01:00:14.000 --> 01:00:16.000]  It'll be $100 million, huh?
[01:00:16.000 --> 01:00:20.000]  I don't want to want to do is lose their case.
[01:00:20.000 --> 01:00:26.000]  So, CNN has come out. They want InfoWars Band. They're lying about what they want his band for.
[01:00:26.000 --> 01:00:30.000]  It's incredible fraud by criminal organizations who are going to destroy this country.
[01:00:30.000 --> 01:00:33.000]  Everybody knows that. That's half-thinking.
[01:00:33.000 --> 01:00:37.000]  But then, on the same show that he's got Tom...
