[00:00:00.896 --> 00:00:03.176]  Victimizers, beware!
[00:36:33.507 --> 00:36:37.329]  Today is we need to do that when we're in our homes also.
[00:36:37.329 --> 00:36:45.232]  As you know, I'm a lifelong San Antonio and grew up there, worked there for many years, and I know how many multi-generational families that we have.
[00:36:45.232 --> 00:36:55.477]  And while we believe the community is doing a great job of following the rules when they're outside of the home, we really need to be thinking about doing the same thing when we're inside the home.
[00:36:55.477 --> 00:36:59.398]  And all of us are capable of catching this disease.
[00:36:59.398 --> 00:37:00.559]  None of us are immune from this.
[00:37:01.099 --> 00:37:06.624]  And the fact that we need to get across this in order to protect ourselves, we need to protect our families and our loved ones.
[00:37:06.624 --> 00:37:15.612]  We really need to be thinking about the care that we're providing inside the home right now to make sure that we're not spreading this disease inside the home and then making it come outside the house.
[00:37:15.612 --> 00:37:16.572]  So let me get this straight.
[00:37:16.572 --> 00:37:20.456]  What you're effectively saying is that people should be wearing masks inside their own homes now?
[00:37:21.269 --> 00:37:35.933]  Ryan, I'm saying if you can't socially distance and can't socially isolate, or if you've been out in public and exposing yourself, and you haven't decontaminated yourself good enough when you get home, if you have someone that has underlying medical conditions at home, we really need to be thinking about it.
[00:37:35.933 --> 00:37:36.553]  I've turned this idiot off.
[00:37:36.553 --> 00:37:45.036]  Okay, if you want to know the road to hell, what it's paved with, it's paved with Chief of Texas Emergency Management System, Nim Kidd.
[00:37:46.598 --> 00:37:48.121]  You can tell he really means well.
[00:37:48.121 --> 00:37:49.644]  He's a good boy.
[00:37:49.644 --> 00:37:52.490]  Well, you can trust him to water your plants when you're on vacation.
[00:37:52.490 --> 00:37:53.833]  I bet he never stole a nickel.
[00:37:54.653 --> 00:37:57.676]  But he's a follower and dumb as a box of rocks.
[00:37:57.676 --> 00:38:16.151]  Hey, Nim, the United Nations five months ago released their global guidelines, and it said that by the fall, they would have contact tracers going into everyone's homes, separating people from old people and children, and forcibly testing people and locking down apartment blocks first.
[00:38:16.151 --> 00:38:19.834]  Started in Spain, started just this week in Australia.
[00:38:19.834 --> 00:38:20.695]  We played that yesterday.
[00:38:21.860 --> 00:38:27.662]  You are walking us into a boa constrictor, into a noose that's closing.
[00:38:27.662 --> 00:38:30.163]  And so, they lied about the numbers that would die.
[00:38:30.163 --> 00:38:32.084]  They lied about the number of people that died of other things.
[00:38:32.084 --> 00:38:33.384]  They have fake testing.
[00:38:33.384 --> 00:38:34.065]  Everybody knows it.
[00:38:34.065 --> 00:38:37.846]  The governor admits that most of the tests are fake.
[00:38:37.846 --> 00:38:41.267]  But he still says, if we could save one person.
[00:38:41.267 --> 00:38:41.827]  That's right.
[00:38:41.827 --> 00:38:43.328]  The whole economy collapses.
[00:38:43.328 --> 00:38:46.969]  Old people can be put in nursing homes and no one can come see them now.
[00:38:46.969 --> 00:38:49.790]  And so, they can die magically.
[00:38:49.790 --> 00:38:50.671]  You're setting it up.
[00:38:51.517 --> 00:38:51.884]  Tim!
[00:38:52.964 --> 00:39:01.710]  Nim, dumb, kid, or whatever your name is, to let the real killers with their actuaries, the eugenicists, the bioethics boards, come in.
[00:39:01.710 --> 00:39:04.412]  You know how to deal with a flood, Nim Kim.
[00:39:04.412 --> 00:39:07.754]  You know how to deal with fires, Nim Kid.
[00:39:07.754 --> 00:39:08.995]  You're a firefighter.
[00:39:08.995 --> 00:39:10.276]  You're not a doctor!
[00:39:10.276 --> 00:39:12.157]  Bill Gates isn't a doctor!
[00:39:12.157 --> 00:39:16.420]  Now, you're not a psychotic like Bill Gates that runs this whole thing, but let me tell you something.
[00:39:16.420 --> 00:39:18.861]  You're aiding and abetting murderers.
[00:39:18.861 --> 00:39:19.702]  Murderers!
[00:39:19.702 --> 00:39:22.264]  Stop murdering us, Nim Kid!
[00:39:23.664 --> 00:39:29.226]  When we come back, I'll get into the coup plan against Trump that's now active and live, openly announced by Democrats.
[00:39:29.226 --> 00:39:32.247]  But first, we'll play the director of the U.N.
[00:39:32.247 --> 00:39:34.127]  emergency response operation.
[00:39:34.127 --> 00:39:40.850]  His counterpart that wrote this up, he's the head of emergency in Texas, he gets his orders down to the CDC from the U.N.
[00:39:40.850 --> 00:39:51.713]  directly from Dr. Michael J. Ryan that says, we're coming to take your children, your parents, we're coming into your houses, and this piece of trash is getting us ready for it.
[00:39:52.133 --> 00:39:53.638]  He hasn't even gotten the memo yet!
[00:39:53.638 --> 00:39:54.662]  In about a month he will!
[00:39:56.522 --> 00:40:00.384]  The July 4th Mega Sale ends on July 12th.
[00:40:00.384 --> 00:40:14.792]  Store-wide free shipping, double Patriot Points, 50 to 60% off all these best-selling items, including a bunch that have been sold out for months and are back in limited supply, like Winner, some of vitamin D3 and vitamin K for your immune system, sold out back in stock.
[00:40:14.792 --> 00:40:17.914]  Ultra 12, I call it B12, 50% off, sold out for months.
[00:40:17.914 --> 00:40:22.537]  Bodies, the best-seller ultimate turmeric formula, concentrated turmeric back in stock, 50% off.
[00:40:23.477 --> 00:40:24.697]  Thank you all for your support.
[00:40:24.697 --> 00:40:24.997]  God bless.
[00:40:55.313 --> 00:40:57.894]  A lot of you have been listening for more than 20 years.
[00:40:57.894 --> 00:41:10.680]  And if you go back to those shows, we laid out the AI takeover plan, the tracking of cell phones, how programmed master computers would manipulate control society, how they'd be able to not just predict,
[00:41:11.220 --> 00:41:11.640]  I think?
[00:41:31.235 --> 00:41:35.239]  But when we cover that, the media would attack us and say we were making it up.
[00:41:35.239 --> 00:41:40.483]  It was a conspiracy theory, even though it was in the actual corporate-level blueprint documents.
[00:41:40.483 --> 00:41:48.330]  Well, the next level of the blueprint documents explained to us that they are setting up this control system to make humans obsolete and phase us out.
[00:41:48.330 --> 00:41:52.174]  And it's something about a thousand times crazier than what Hitler planned.
[00:41:52.174 --> 00:41:54.216]  So we might want to dismantle the system now.
[00:41:56.556 --> 00:42:00.199]  It's time to take a new, healthier approach to one of your most basic needs.
[00:42:00.199 --> 00:42:07.285]  The Alexa Pure Pro water filtration system is the same water filter that Alex and the Infowars crew use every day for the purest water possible.
[00:42:07.285 --> 00:42:11.248]  You can start cleaning the toxins from your water for clean, healthy, and delicious drinking water.
[00:42:11.248 --> 00:42:18.254]  Perfect for preppers or anyone concerned with a healthier source of water, the Alexa Pure Pro can remove up to 99.9% of impurities.
[00:42:18.254 --> 00:42:22.537]  This groundbreaking, gravity-fed water filtration system is like no other.
[00:42:22.537 --> 00:42:25.420]  Make sure your water is up to your standards today with the Alexa Pure Pro.
[00:42:25.760 --> 00:42:28.784]  It's no secret that our daily lives are becoming more stressful.
[00:42:28.784 --> 00:42:33.391]  No matter what side of the political spectrum you're on, we're all feeling the strain from rising pressure.
[00:42:33.391 --> 00:42:38.498]  That's why we worked hard to create a new formula to support your fight against stress in your hectic day.
[00:42:38.498 --> 00:42:42.684]  Chill Force is our solution for a true, healthy, relaxation support formula.
[00:42:42.844 --> 00:42:44.725]  I am cutting this breaking announcement on July 9th.
[00:42:44.725 --> 00:42:46.626]  By Monday, we will have to end the biggest sale yet of the year.
[00:42:46.626 --> 00:42:47.306]  Storewide, free shipping.
[00:43:06.135 --> 00:43:16.883]  Double Patriot Points is the July 4th sale, the tail end of it, and all of the high-quality products that were sold out have been back in stock and are available again, but some of these are in limited numbers.
[00:43:16.883 --> 00:43:22.808]  Ladies and gentlemen, not just store-wide free shipping, Double Patriot Points, but we have DNA Force Plus, back in stock, 50% off.
[00:43:22.808 --> 00:43:27.351]  Winter Sun with vitamin D3 and K, so good for your immune system, back in stock, 50% off.
[00:43:27.351 --> 00:43:32.115]  Ultra 12, high-quality B12, take it under the tongue, 50% off, back in stock, and again,
[00:43:32.475 --> 00:43:34.456]  You're listening to the Alex Jones Show!
[00:44:09.431 --> 00:44:16.453]  Mr. President, you tweeted earlier linking the closing of the country to your election success in November.
[00:44:16.453 --> 00:44:19.194]  Is this Easter timeline based on your political interests?
[00:44:19.194 --> 00:44:20.895]  What do you mean by my election success?
[00:44:20.895 --> 00:44:26.696]  You tweeted, you said that the media wants the country to remain closed to hurt your... No, no, I think the media, yeah.
[00:44:26.696 --> 00:44:28.197]  Just so you understand, are you ready?
[00:44:28.897 --> 00:44:32.080]  I think there are certain people that would like it not to open so quickly.
[00:44:32.080 --> 00:44:39.727]  I think there are certain people that would like it to do financially poorly because they think that would be very good as far as defeating me at the polls.
[00:44:39.727 --> 00:44:43.251]  Because I think one way you get rid of Trump is a crashing economy.
[00:44:43.251 --> 00:44:45.072]  So please, bring on the recession.
[00:44:45.072 --> 00:44:48.916]  One woman said, I want a recession because that'll help get rid of Donald Trump.
[00:44:48.916 --> 00:44:50.739]  I call this another Trump slump.
[00:44:50.739 --> 00:44:52.701]  The threat of recession is real.
[00:44:52.701 --> 00:44:56.227]  We would see the global economy entering recession in three quarters.
[00:44:56.227 --> 00:44:57.969]  Perfect timing, I say.
[00:44:57.969 --> 00:44:59.692]  I mean, I've been rooting for a recession.
[00:44:59.692 --> 00:45:05.300]  But if the global economy, including the United States, is taking a step toward recession, what does that mean for this presidency?
[00:45:06.621 --> 00:45:07.821]  It's political suicide.
[00:45:07.821 --> 00:45:09.923]  These numbers are irrefutable.
[00:45:09.923 --> 00:45:14.085]  There are people in your profession that would like that to happen.
[00:45:14.085 --> 00:45:21.570]  I think it's very clear that there are people in your profession that write fake news.
[00:45:21.570 --> 00:45:22.591]  You do.
[00:45:22.591 --> 00:45:23.611]  She does.
[00:45:23.611 --> 00:45:26.573]  There are people in your profession that write fake news.
[00:45:26.573 --> 00:45:31.056]  They would love to see me for whatever reason because we've done one hell of a job.
[00:45:31.056 --> 00:45:32.617]  Nobody's done the job that we've done.
[00:45:33.291 --> 00:45:40.818]  The president went on Fox News and lied to millions of people about the coronavirus outbreak because his administration bungles its response to the crisis.
[00:45:40.818 --> 00:45:42.800]  For more on this, it's time for A Closer Look.
[00:45:42.800 --> 00:45:48.125]  With the world on edge, people are looking to their leaders for reassurance and answers.
[00:45:48.125 --> 00:45:49.547]  Unfortunately, we have him.
[00:45:49.547 --> 00:45:52.450]  It's a serious thing that needs to be dealt with seriously.
[00:45:52.450 --> 00:45:56.434]  And right now, the federal government is failing.
[00:45:56.434 --> 00:45:57.695]  Stop lying.
[00:45:58.052 --> 00:46:03.395]  When in the middle of a severe public health emergency, the president just lies about it over and over and over again.
[00:46:03.395 --> 00:46:07.978]  Trump keeps lying to people about the potential threat posed by the spread of the coronavirus.
[00:46:07.978 --> 00:46:10.360]  This may be Donald Trump's Katrina.
[00:46:10.360 --> 00:46:12.481]  Donald Trump is not in charge here.
[00:46:12.481 --> 00:46:14.762]  The governors are in charge.
[00:46:14.762 --> 00:46:19.005]  This is an event that could take down a president.
[00:46:19.005 --> 00:46:25.109]  And it's lucky that you have this group here right now for this problem, or you wouldn't even have a country left, okay?
[00:46:25.953 --> 00:46:26.814]  How dare you!
[00:46:26.814 --> 00:46:29.116]  Batman is failing right now.
[00:46:29.116 --> 00:46:31.498]  This may be Donald Trump's Katrina.
[00:46:31.498 --> 00:46:33.059]  Yeah, you can interpret it.
[00:46:33.059 --> 00:46:33.900]  Let's just lean into that.
[00:46:33.900 --> 00:46:35.341]  How many deaths are acceptable?
[00:46:40.658 --> 00:46:41.218]  None.
[00:46:41.218 --> 00:46:47.544]  But as far as the winning economy that the president needs from now until November, do you really see that changing?
[00:46:47.544 --> 00:46:58.175]  If the stock market were to tumble this year, if we don't get near the 3% GDP growth that this administration has been talking about for years, these are all things that Dems can run on and they pose a problem.
[00:46:58.175 --> 00:47:00.937]  A recession is a survivable event.
[00:47:00.937 --> 00:47:03.440]  What Trump is doing to this country is not.
[00:47:07.873 --> 00:47:09.754]  Fear is freedom!
[00:47:09.754 --> 00:47:12.095]  Subjugation is liberation!
[00:47:12.095 --> 00:47:14.176]  Contradiction is truth!
[00:47:14.176 --> 00:47:16.577]  Those are the facts of this world!
[00:47:16.577 --> 00:47:19.119]  And you will all surrender to them!
[00:47:19.119 --> 00:47:28.023]  You pigs in human clothing!
[00:47:28.023 --> 00:47:32.325]  That translates to, hope you enjoy your depression!
[00:47:32.325 --> 00:47:33.826]  Sorry.
[00:47:33.826 --> 00:47:34.126]  Go ahead.
[00:47:35.273 --> 00:47:39.215]  No, probably best they don't.
[00:47:39.215 --> 00:47:42.938]  And that's a couple months old.
[00:47:42.938 --> 00:47:58.007]  So they planned it all, they ran it all, they own the virus that mimics all these other cold viruses so now they can just scare the hell out of everybody forever, confuse everybody, lie to you, kill old people, create false positives, bankrupt everything, come in your house, take your kids away.
[00:47:59.229 --> 00:48:22.339]  Here's the head of the UN Global Emergency Response to Disasters and Medical Crises, Dr. Ryan, and he is through the UNWHO down to the NIH CDC, the state of Texas, who this man takes his orders from, the Texas Division of Emergency Management head, Chief Nim Kidd, who says
[00:48:24.244 --> 00:48:36.415]  Don't leave your house without a mask, and you need to wear one in your house, and then already in Australia, already in Spain, they've begun coming to the houses, taking the families away, breaking them up.
[00:48:36.415 --> 00:48:36.775]  Here it is.
[00:48:39.045 --> 00:48:49.111]  In most parts of the world, due to lockdown, most of the transmission that's actually happening in many countries now is happening in the household, at family level.
[00:48:49.111 --> 00:48:55.594]  In some senses, transmission has been taken off the streets and pushed back into family units.
[00:48:55.594 --> 00:49:05.080]  Now, we need to go and look in families to find those people who may be sick and remove them and isolate them in a safe and dignified manner.
[00:49:05.757 --> 00:49:16.155]  And by the way, Dr. Michael Ryan was in the John Hopkins Event 201 two-month drill in October-November last year where coronavirus is released.
[00:49:17.501 --> 00:49:18.962]  And they bring in world government with it.
[00:49:18.962 --> 00:49:20.383]  And then they just drilled it.
[00:49:20.383 --> 00:49:21.384]  They already knew it was out there.
[00:49:21.384 --> 00:49:22.044]  They announced it.
[00:49:22.044 --> 00:49:23.265]  It's a bad pneumonia.
[00:49:23.265 --> 00:49:24.566]  They know it's treated with steroids.
[00:49:24.566 --> 00:49:29.130]  They know it's treated with COVID-19 can be treated very well with hydroxychloroquine.
[00:49:29.130 --> 00:49:32.172]  They know people can get it if they're vitamin mineral deficient.
[00:49:32.172 --> 00:49:43.781]  But that's why they had a battle plan through Facebook, Twitter, Google to suppress medical doctors and Cedars-Sinai and scientists and virologists who would come out and help.
[00:49:43.781 --> 00:49:44.782]  They're like, well, what do we do?
[00:49:44.782 --> 00:49:46.443]  The medical field is going to expose this.
[00:49:47.520 --> 00:49:58.733]  Well simple, we let the centralized systems say what's available and day one they said, starting in January, only the UN can say stuff about COVID.
[00:49:58.733 --> 00:50:04.199]  Not your doctor, not the CDC, not your state, no one but the United Nations.
[00:50:04.199 --> 00:50:06.522]  You've heard that 10,000 times haven't you?
[00:50:06.522 --> 00:50:07.984]  You've read it, it's everywhere.
[00:50:08.885 --> 00:50:10.106]  Just like that.
[00:50:10.106 --> 00:50:11.768]  You're inside world government.
[00:50:11.768 --> 00:50:16.073]  I've got a lot more on this, but $2,000 fines.
[00:50:16.073 --> 00:50:19.917]  Austin, by the way, a big tidbit in the announcement that Austin made.
[00:50:19.917 --> 00:50:25.824]  Everybody's getting freaked out by the $2,000 a day fines.
[00:50:25.824 --> 00:50:27.525]  But look right here out of the KVUE.
[00:50:28.672 --> 00:50:32.635]  News has got a link to the new ordinance.
[00:50:32.635 --> 00:50:41.722]  $2,000 fine through December 31st for any violation of any of the lockdown orders of the lockdown that is going through December 31st.
[00:50:41.722 --> 00:50:43.304]  So we're already in the lockdown.
[00:50:43.304 --> 00:50:44.805]  They already passed the law.
[00:50:44.805 --> 00:50:46.106]  The governor already agreed.
[00:50:46.106 --> 00:50:48.848]  But the mayor's up there going, gee, I don't know if I'm going to do it.
[00:50:48.848 --> 00:50:50.770]  It's going to hurt businesses.
[00:50:50.770 --> 00:50:51.470]  Oh, I'm sorry.
[00:50:51.470 --> 00:50:52.831]  I'm going to have to.
[00:50:52.831 --> 00:50:55.553]  And every mayor follows the same script that comes out of
[00:50:56.334 --> 00:51:05.296]  Bill and Melinda Gates Foundation, the big foundations that cooked it up, threw the UN down to us, and we're now under United Nations global government control.
[00:51:05.296 --> 00:51:18.558]  And our stinking governor and our stinking emergency head are just jackass dumbasses who just follow orders and don't give a hell.
[00:51:18.558 --> 00:51:20.818]  Unbelievable.
[00:51:20.818 --> 00:51:22.639]  Trump's figured this out.
[00:51:22.639 --> 00:51:23.499]  He's fighting back.
[00:51:23.499 --> 00:51:24.359]  We're going to go over it all.
[00:51:27.099 --> 00:51:34.201]  I've got Savannah Hernandez and Owen Schroer who are on fire coming in here, and I have not even gotten to my top story yet.
[00:51:34.201 --> 00:51:38.242]  So, what I'm going to do is I'm going to do this right now.
[00:51:38.242 --> 00:51:40.443]  I'm going to mention this.
[00:51:40.443 --> 00:51:42.444]  I'm going to hit this coming out of the gates at 6 after.
[00:51:42.444 --> 00:51:43.864]  They'll be in studio with me.
[00:51:43.864 --> 00:51:46.605]  We'll talk about this at first, and we'll move into the subjects they're on.
[00:51:49.787 --> 00:52:00.310]  You understand I've got a stack of news articles and video clips where they're officially saying how they're going to have a coup against the president physically with the US military and how they're positioning it all.
[00:52:00.310 --> 00:52:06.471]  The last thing I need guys is the Goldman Sachs article where Goldman Sachs came out yesterday.
[00:52:06.471 --> 00:52:09.732]  Goldman Sachs says election will be contested.
[00:52:09.732 --> 00:52:10.252]  I need that please.
[00:52:10.252 --> 00:52:12.532]  It was a Reuters article.
[00:52:20.035 --> 00:52:22.656]  Oh man, I tell you, there's just so much of this.
[00:52:22.656 --> 00:52:25.297]  I can't even keep track of it anymore.
[00:52:25.297 --> 00:52:26.458]  So that's coming up.
[00:52:26.458 --> 00:52:29.699]  Briefly, you want to fund this operation.
[00:52:29.699 --> 00:52:32.460]  You want to get great products at the same time.
[00:52:32.460 --> 00:52:34.861]  Now's the time to do it.
[00:52:34.861 --> 00:52:37.342]  A lot of products you like have not come back in.
[00:52:38.646 --> 00:52:40.687]  And people are like, where's my product?
[00:52:40.687 --> 00:52:50.014]  Well, with the exception of the toothpaste, the reason we aren't able to have it for you is because we have wildcrafted or organic quality and it's always hard to get it.
[00:52:50.014 --> 00:52:57.199]  And now because of breakdowns around the United States and a lot of these companies are partially shut down or fully shut down, everything's backed up and they're not even taking our money.
[00:52:58.038 --> 00:53:03.041]  And so the orders we are able to get in on some of our best products that were sold out are limited and aren't as big.
[00:53:03.041 --> 00:53:12.988]  And so that's why I've got to end this special by Sunday, Monday, the latest, because we're running out of these things that even came back in because we've got limited numbers and amounts of it.
[00:53:12.988 --> 00:53:20.133]  The July 4th Super Sale, store-wide free shipping, double Patriot points that goes into your account on the next order, InfoWareStore.com.
[00:53:20.133 --> 00:53:25.757]  Survival Shield X3, 50% off, sold out for months now, back in stock.
[00:53:25.757 --> 00:53:27.798]  Lung Clean sold out for months, super high quality.
[00:53:28.118 --> 00:53:30.901]  All those essential oils, it's back in stock, sold out for months.
[00:53:30.901 --> 00:53:32.783]  Vitamineral Fusion, sold out for months.
[00:53:32.783 --> 00:53:35.586]  With all the vitamins, all the minerals, amino acids for you and your children.
[00:53:35.586 --> 00:53:37.148]  Tastes great, it's back in stock.
[00:53:37.148 --> 00:53:38.789]  The Azobe, it's good for your whole body.
[00:53:38.789 --> 00:53:40.932]  Creates nitrous oxide in the blood.
[00:53:40.932 --> 00:53:44.756]  You know what that does, super high quality concentrate, 50% off.
[00:53:44.756 --> 00:53:48.400]  DNA Force Plus with the PQQ and the CoQ10 and all things to clean out your
[00:53:48.940 --> 00:53:52.564]  Your cells and the mitochondria and the rest of it, that is a must-have.
[00:53:52.564 --> 00:53:59.392]  Winter Sun Plus with the vitamin D3, super high quality, and K for better upload, take it under the tongue, so you absorb more of it.
[00:53:59.392 --> 00:54:03.497]  It's called Winter Sun, ladies and gentlemen, and it is the frontline defense for your cells.
[00:54:04.411 --> 00:54:05.071]  We're good to go.
[00:54:23.004 --> 00:54:30.349]  Again, ladies and gentlemen, you can also go to InfoWarsTore.com and get the highest quality storable food now ready to ship within three to four weeks, but they've still got to package it.
[00:54:30.349 --> 00:54:35.413]  Whatever you do, get ready, get prepared now, because we're going into very uncertain times.
[00:54:35.413 --> 00:54:41.077]  As the lockdowns continue, it's going to be a total beyond depression breakdown of society.
[00:54:41.077 --> 00:54:42.958]  So we're fighting as hard as we can.
[00:54:42.958 --> 00:54:43.619]  Thank you for your support.
[00:54:44.861 --> 00:54:55.184]  The bad news is Western governments have totally let multinational big tech bring in communist Chinese style total net surveillance censorship with AI.
[00:54:55.184 --> 00:54:59.866]  The good news is they had to do that to carry out this world government COVID takeover.
[00:55:00.566 --> 00:55:08.929]  This planetary corporate reset that COVID covers for, because the truth is powerful and will defeat them and will smash them.
[00:55:08.929 --> 00:55:28.817]  And the good news is there's still sites like band.video, newswars.com, infowars.com, paulwatsonsitesummit.news, and a lot of other great sites that are getting massive traffic thanks to you and your word of mouth that is king, that is queen, that is the master of our own
[00:55:29.457 --> 00:55:30.498]  Destinies.
[00:55:30.498 --> 00:55:37.421]  Ladies and gentlemen, there is a war on reality, a war on civilization, a war on our health, a war on our economy.
[00:55:37.421 --> 00:55:41.924]  But being aware of it, and standing up to it, and speaking out against it, will defeat it.
[00:55:41.924 --> 00:55:44.025]  So take action, or be slaves!
[00:55:46.198 --> 00:55:53.321]  So I was taking care of an errand this morning, and I wasn't even close to downtown, but I was parked on a little side street going to this business.
[00:55:53.321 --> 00:56:02.264]  When I came back out, I saw what looked like two Asian folks, probably Chinese, walking down the sidewalk about 50 yards up ahead of me.
[00:56:02.264 --> 00:56:07.026]  And here I am parked in a truck with the windows up, and the woman stops and points at me.
[00:56:07.026 --> 00:56:10.307]  So they stop, and they wait while I'm inside my truck.
[00:56:10.307 --> 00:56:12.567]  Truck started, and they sit there and stretch.
[00:56:12.567 --> 00:56:13.348]  She keeps pointing.
[00:56:14.028 --> 00:56:16.043]  And they put their hands out like they're waiting for me.
[00:56:17.352 --> 00:56:21.795]  To go, because I'm not wearing a mask inside my car.
[00:56:21.795 --> 00:56:25.738]  And so then I just sat there, so they acted angry and walked past me.
[00:56:25.738 --> 00:56:31.102]  I almost shot a video of it on my phone, but everybody sees this stuff happening everywhere.
[00:56:31.102 --> 00:56:32.062]  This is mental illness.
[00:56:32.062 --> 00:56:35.645]  People are pulling guns on folks that aren't wearing masks.
[00:56:35.645 --> 00:56:37.066]  This is all cult programming.
[00:56:37.066 --> 00:56:38.647]  This is all about submitting.
[00:56:38.647 --> 00:56:41.489]  We cannot submit to this UN brainwashing.
[00:56:41.489 --> 00:56:42.870]  It's all a giant fraud.
[00:56:42.870 --> 00:56:45.172]  We must expose the fraud or become slaves to it.
[00:56:48.784 --> 00:56:51.383]  You're listening to The Alex Jones Show!
[00:56:54.252 --> 00:57:15.547]  Frederick Douglass, Maryland-born slave, American free speech pioneer, a world-traveling order of abolition during the pre- and post-era of the Civil War, fought for both racial equality and women's suffrage, a path that led him to become America's first half-white, half-African American to run for Vice President of the United States.
[00:57:15.547 --> 00:57:19.450]  Douglass' Rochester, New York statue was recently torn down.
[00:57:19.730 --> 00:57:37.289]  Coincidentally, on the 168th anniversary of his What to the American Slave is Your 4th of July speech, as of this report, the morons that toppled the representation of everything Black Lives Matter claims to be have yet to be apprehended, and the motive still remains unclear.
[00:57:37.469 --> 00:57:50.594]  Could it be yet another Bubba Smollett race-baiting hit job, or is this another case of the millennial horde of imbeciles tearing down anything that represents some form of triggering pseudo-authority?
[00:57:50.594 --> 00:57:56.196]  And if this is a form of retaliation, judging by the drunk college students who did this back in 2018,
[00:57:57.236 --> 00:58:03.844]  The 6-foot-7-inch sculpture was ripped from its base at Tracy Street in Alexander shortly after midnight Sunday.
[00:58:03.844 --> 00:58:08.609]  A witness gave us cell phone video showing two men carrying that statue down the street.
[00:58:08.609 --> 00:58:09.130]  Two St.
[00:58:09.130 --> 00:58:11.813]  John Fisher College students were arrested.
[00:58:11.813 --> 00:58:15.417]  John Bodeker and Charles Milks charged with criminal mischief.
[00:58:15.757 --> 00:58:23.259]  Can we expect the gavel to fall harder on Americans after the Marxist Black Lives Matter set the stage?
[00:58:23.259 --> 00:58:29.921]  As is for the couple who are facing hate crime charges for daring to paint over the Black Lives mural in California.
[00:58:29.921 --> 00:58:35.362]  Will this path transform our court system into a communist-style Politburo?
[00:58:35.362 --> 00:58:39.063]  The statue pillaging is as confusing as it is stupid.
[00:58:39.063 --> 00:58:44.205]  But stupidity is law now, as the Democrats' defund movement shifts into high gear.
[00:58:44.625 --> 00:58:54.349]  They want to defund the police, but that's not stopping three city council members from having the city pay for their private security after receiving threats.
[00:58:54.349 --> 00:58:59.211]  A city spokesperson says the security details are costing the city $4,500 a day for a total of $63,000 for the last three weeks.
[00:59:04.153 --> 00:59:14.196]  In a text message, Council Member Cunningham said, I don't feel comfortable discussing the death threats against me or the level of security I currently have protecting me from those threats.
[00:59:14.196 --> 00:59:27.960]  Accelerating a lawlessness that is just showing the first signs of unyielding chaos as homicide skyrockets in New York with an increase in executions in broad daylight and more children are caught in the crossfire.
[00:59:28.160 --> 00:59:37.545]  We're fighting the enemy within, when we are shooting each other up on our streets, in this city, and you shot and killed a baby.
[00:59:37.545 --> 00:59:46.870]  Sequoia Turner was shot near here, outside the Wendy's parking lot, where 27-year-old Rayshard Brooks was killed at the hands of a white police officer last month.
[00:59:47.176 --> 00:59:50.779]  We talk about Black Lives Matter, but at the end of the day, we're killing each other off.
[00:59:50.779 --> 00:59:52.201]  We're killing our babies.
[00:59:52.201 --> 00:59:57.946]  Another violent weekend, deadly for far too many and far too young.
[00:59:57.946 --> 00:59:59.127]  Jesus!
[00:59:59.127 --> 01:00:00.828]  Help us, Father!
[01:00:00.828 --> 01:00:08.756]  The grief-stricken family of 7-year-old Natalie Wallace shot in the head while playing outside in the yard of her grandmother's home in South Austin.
[01:00:09.116 --> 01:00:12.477]  But according to Don Lemon, their lives are a separate issue.
[01:00:25.601 --> 01:00:31.845]  And you're talking about even with the Atlanta child murders, there were 28 kids who died in two years.
[01:00:31.845 --> 01:00:41.192]  The gun culture in this country is prevalent, but I don't understand what that has to do with a movement that's for equality for black people.
[01:00:41.192 --> 01:00:44.194]  It's not mutually exclusive.
[01:00:44.194 --> 01:00:48.277]  If you care about equality for black people, that somehow you're going to stop
[01:00:49.097 --> 01:00:52.979]  As long as our economy and political systems prioritize profit,
[01:01:09.915 --> 01:01:18.978]  Without considering who is profiting, who is being shut out, we will perpetuate this inequality.
[01:01:18.978 --> 01:01:22.619]  So we cannot stop at criminal justice system.
[01:01:22.619 --> 01:01:29.001]  We must begin the work of dismantling the whole system of oppression wherever we find it.
[01:01:29.361 --> 01:01:46.606]  Frederick Douglass, who incisively spoke out against oppression during an era of real despotism, could have never imagined that his message would be forgotten and destroyed by people using their own claims of injustice to destroy themselves and everyone around them.
[01:01:46.606 --> 01:01:49.726]  John Bowne reporting.
[01:01:49.726 --> 01:01:50.787]  We'll be back!
[01:01:50.787 --> 01:01:51.307]  Stay with us!
[01:01:54.864 --> 01:02:06.590]  As we enter the critical month of July, it is very important for listeners and viewers to understand that all of the major storable food companies have been sold out of food for months.
[01:02:06.590 --> 01:02:15.354]  My Patriot Supply, our supplier, was out to an eight-week wait, not because they didn't have food, but because their four plants were backed up, packaging and getting it out.
[01:02:15.754 --> 01:02:19.437]  Now, they are at three to four weeks right now.
[01:02:19.437 --> 01:02:21.058]  They've gotten over the hump.
[01:02:21.058 --> 01:02:25.481]  Their other competitors are completely sold out or selling old garbage.
[01:02:25.481 --> 01:02:26.921]  This is high quality food.
[01:02:26.921 --> 01:02:33.126]  I would advise everyone to do what I'm doing and buy more storable food now before the next big hump comes.
[01:02:33.126 --> 01:02:36.808]  Because if you think things are about to settle down, think again.
[01:02:36.808 --> 01:02:38.970]  The world is only going to get more insane.
[01:02:38.970 --> 01:02:40.691]  I've been telling you this for six months.
