[00:00:00.689 --> 00:00:02.990]  Ohhhhhhhhhh
[00:29:42.998 --> 00:29:49.484]  It's 65% off Real Red Pill, Real Red Pill Plus, and a free bottle of Biotris Selenium right now through Christmas.
[00:29:49.484 --> 00:29:50.485]  Take advantage of this.
[00:29:50.485 --> 00:29:52.266]  This is the best deal we've ever offered.
[00:29:52.266 --> 00:29:59.232]  Get the Real Red Pill, Real Red Pill Plus combo with a free bottle of Biotris Selenium in FullerStore.com.
[00:29:59.232 --> 00:30:04.036]  I'm here to give the listeners and viewers a project report in the next 60 seconds.
[00:30:04.036 --> 00:30:05.858]  And here's the bottom line.
[00:30:05.858 --> 00:30:07.299]  I'm not playing around.
[00:30:07.299 --> 00:30:08.740]  I'm not screwing around.
[00:30:08.740 --> 00:30:10.282]  I'm not joking, and neither are you.
[00:30:11.696 --> 00:30:27.008]  InfoWars and this operation we built together has delivered for America, has delivered for our children and the unborn, has delivered in the face of toxic fluoride and the GMOs and the deadly vaccine depopulation operation.
[00:30:27.008 --> 00:30:29.850]  What we're doing is beyond critical.
[00:30:29.850 --> 00:30:31.051]  And do you hear the key word?
[00:30:31.051 --> 00:30:35.474]  What we are doing is beyond critical.
[00:30:36.335 --> 00:30:50.419]  So, this is the time, with the biggest sales ever, during Christmas, at InfoWarsTour.com, to get in there and buy these products that you already need, that I need the funding for, to get this operation to the next level.
[00:30:50.419 --> 00:30:51.940]  I need the money.
[00:30:51.940 --> 00:30:54.160]  I need to be able to fight the globalists.
[00:30:54.160 --> 00:30:55.301]  I need you.
[00:30:55.301 --> 00:30:56.481]  You need these products.
[00:30:56.481 --> 00:30:58.922]  Get them at InfoWarsTour.com.
[00:30:58.922 --> 00:31:04.203]  The best product, I'm not supposed to be biased, but I'm going to tell you all now, if you haven't tried TurboForce, you need to try it.
[00:31:04.203 --> 00:31:05.544]  I've tried TurboForce with everything.
[00:31:06.928 --> 00:31:08.629]  Sometimes, you know, I went a little bit crazy.
[00:31:08.629 --> 00:31:10.290]  I put TurboForce in my coffee.
[00:31:10.290 --> 00:31:11.230]  That was a crazy week.
[00:31:11.230 --> 00:31:22.916]  I don't remember sleeping, but as far as the products go, TurboForce is my favorite, and all the InfoWars products are down to taking control of your life, taking control of your health, and not relying on other people to do it for you.
[00:31:22.916 --> 00:31:24.237]  Nobody wakes up in the morning
[00:31:25.717 --> 00:31:28.098]  And thinks, I'm gonna give that person over there a better life.
[00:31:28.098 --> 00:31:29.498]  I'm gonna wake up today, you know what?
[00:31:29.498 --> 00:31:33.740]  I'm gonna spend my entire day trying to make that guy over there healthier, happier, and richer.
[00:31:33.740 --> 00:31:35.981]  I'm gonna make sure he gets a Ferrari and a girlfriend.
[00:31:35.981 --> 00:31:37.481]  I don't think that happens very often.
[00:31:37.481 --> 00:31:38.281]  It's never happened to me.
[00:31:38.281 --> 00:31:41.202]  I've never had anyone knock on my door and said, Tate, you're such a good guy.
[00:31:41.202 --> 00:31:42.903]  How can I improve your life in every single way?
[00:31:43.063 --> 00:31:45.824]  There's only one person who woke up and thought that, and that was me.
[00:31:45.824 --> 00:31:53.789]  I woke up and thought, you know what, okay, I want to take control of my life, I want to take control of my health, and that's why you need to go to Infowars.com, take control of your health right now, and support the resistance.
[00:31:53.789 --> 00:31:57.111]  Don't buy into the groupthink, don't drink the Kool-Aid, drink the TurboForce.
[00:31:57.111 --> 00:31:59.212]  Kool-Aid's bad and the TurboForce is good.
[00:31:59.212 --> 00:32:02.393]  My fault, I fear.
[00:32:02.393 --> 00:32:08.297]  I thought that you'd want what I want.
[00:32:08.297 --> 00:32:12.139]  I'm sorry, my dear.
[00:32:28.295 --> 00:32:32.876]  The globalists have sent in the clowns.
[00:32:32.876 --> 00:32:34.677]  They've sent in Antifa.
[00:32:34.677 --> 00:32:38.699]  They've broken our borders with some of the most hardened criminals from around the world.
[00:32:38.699 --> 00:32:42.680]  They've tried to poison us with fluoride and GMO and the tainted vaccines.
[00:32:42.680 --> 00:32:43.921]  They've sent in their clowns.
[00:32:44.341 --> 00:32:50.006]  But now, the men and women of America are taking action and confronting globalists everywhere.
[00:32:50.006 --> 00:32:52.768]  And I'm so proud of InfoWars leading the charge.
[00:32:52.768 --> 00:33:01.695]  But the only way we can do that is when you keep spreading the word about our broadcast and when you keep buying the great products at InfoWarsTour.com.
[00:33:01.695 --> 00:33:04.318]  You're listening to the Alex Jones Show.
[00:33:26.815 --> 00:33:46.549]  The destiny of the human species and our true objective, if we choose the mission God has prepared for us, is beyond fantastic.
[00:33:46.549 --> 00:33:55.175]  Consciousness itself, the mysteries of the universe, and what we already know,
[00:33:57.168 --> 00:34:02.631]  It's so fantastical.
[00:34:02.631 --> 00:34:20.522]  But every metric and every study and every statistic shows us that we're more unhappy, more alone, more angry, and dying younger than we ever have before.
[00:34:20.522 --> 00:34:25.205]  Our babies are dying in record numbers.
[00:34:27.202 --> 00:34:29.764]  We are sick.
[00:34:29.764 --> 00:34:32.427]  We are poisoned.
[00:34:32.427 --> 00:34:36.310]  We are in the process of being destroyed.
[00:34:36.310 --> 00:34:40.153]  And our enemies admit they're doing it.
[00:34:40.153 --> 00:34:42.635]  Modern virtue is self-loathing.
[00:34:42.635 --> 00:34:47.680]  Modern virtue is inverting your life force.
[00:34:47.680 --> 00:34:49.201]  Your drive.
[00:34:49.201 --> 00:34:50.682]  Your will.
[00:34:50.682 --> 00:34:51.523]  Your potential.
[00:34:53.191 --> 00:35:00.357]  School children everywhere are taught to hate themselves and to hate their own species and that we are a cancer.
[00:35:00.357 --> 00:35:21.254]  While the very mad scientist class teaching this on a planetary scale are the ones actually endangering the very fabric of the biological genome, not just of our species, but every living thing on this planet and the interlocking multivariate
[00:35:24.602 --> 00:35:26.043]  Biospheres.
[00:35:26.043 --> 00:35:31.505]  That they are attempting to collapse in their own admissions.
[00:35:31.505 --> 00:35:33.906]  Because they're building something new.
[00:35:33.906 --> 00:35:38.287]  They're not geoengineering the planet.
[00:35:38.287 --> 00:35:45.210]  They're terraforming it.
[00:35:45.210 --> 00:35:50.052]  And I don't have a good idea what they're terraforming.
[00:35:50.052 --> 00:35:50.372]  I know.
[00:35:52.984 --> 00:35:59.206]  And in the near future, I'm going to reveal it on air with specifics.
[00:35:59.206 --> 00:36:02.828]  And how to beat it.
[00:36:02.828 --> 00:36:19.054]  And how, when you see specific things in the future that you've never even heard of, that's never been written about, you'll know whether I'm around or not.
[00:36:19.054 --> 00:36:20.975]  I'm going to lay it all out.
[00:36:28.373 --> 00:36:34.117]  What's happening on this planet is what you see behind me, if you're a TV viewer.
[00:36:34.117 --> 00:36:38.621]  Looks like Yosemite National Park.
[00:36:38.621 --> 00:36:47.207]  Or maybe it's somewhere, not in California, but maybe it's in Colorado.
[00:36:47.207 --> 00:36:49.168]  Maybe it's in Canada.
[00:36:49.168 --> 00:36:53.852]  But it's a man in a space suit, standing on the Earth.
[00:36:55.734 --> 00:37:01.838]  Why would he need a spacesuit living on his planet?
[00:37:01.838 --> 00:37:17.850]  Because if this group makes the planet uninhabitable, then what does that do?
[00:37:17.850 --> 00:37:25.355]  Well, it forces us to evolve into something that can survive on the planet.
[00:37:26.308 --> 00:37:50.806]  But why would they create a scenario like that to force us, to trick us into using our free will to believe a fulfilling, self-fulfilling prophecy?
[00:37:50.806 --> 00:37:53.327]  This is what's going on.
[00:37:53.327 --> 00:37:55.149]  This is undoubtedly what's happening right now.
[00:37:56.991 --> 00:38:03.415]  This is what the engineers admit they're doing.
[00:38:03.415 --> 00:38:04.996]  And they are not happy.
[00:38:04.996 --> 00:38:10.399]  They are not blessed people.
[00:38:10.399 --> 00:38:19.024]  They're not even being rewarded with anything real for what they're doing, except death.
[00:38:19.024 --> 00:38:22.186]  The wages of sin are death.
[00:38:22.186 --> 00:38:22.707]  What is sin?
[00:38:23.769 --> 00:38:27.613]  Violating the code of life.
[00:38:27.613 --> 00:38:29.995]  Common sense.
[00:38:29.995 --> 00:38:35.341]  Inventing evil.
[00:38:35.341 --> 00:38:42.488]  I said I'd get to the bar clip, it's up on InfoWars.com, and I said I'd get to all the other news, and I will next segment.
[00:38:42.488 --> 00:38:45.011]  But the subjects we're covering here in the main
[00:38:48.061 --> 00:38:51.542]  About the post-human world we're being taught is so great.
[00:38:51.542 --> 00:38:52.783]  That's real.
[00:38:52.783 --> 00:38:55.384]  That's out in the open.
[00:38:55.384 --> 00:39:13.890]  And now that it's all being bugled from the highest citadel, from the highest ivory tower, by these Skeksy-like globalists, that's when everyone's starting to be silenced, so that you can't raise the alarm and say that you don't submit to it.
[00:39:16.269 --> 00:39:31.259]  And there are organizations and groups in government and corporations and in life that are going to recognize this and are going to decide they care about their children and their grandchildren and a human future.
[00:39:31.259 --> 00:39:37.564]  And because the evil is intensifying, they can spiritually feel the cold death.
[00:39:37.564 --> 00:39:43.348]  And even those that have served the world so far are now finding courage to say no
[00:39:44.571 --> 00:39:49.592]  Because now you cannot deny where we're going.
[00:39:49.592 --> 00:40:00.554]  The modern controllers of this planet are taking us somewhere very, very bad.
[00:40:00.554 --> 00:40:02.995]  It's elementary.
[00:40:02.995 --> 00:40:04.235]  It's basic.
[00:40:04.235 --> 00:40:12.717]  And people like Ruth Bader Ginsburg and others are not powerful.
[00:40:14.645 --> 00:40:18.606]  They are jokes.
[00:40:18.606 --> 00:40:33.072]  But in the year 2019, the establishment is so hell-bent on making us give up our humanity and fully submit to them because the spirit that dominates them is demanding that of them.
[00:40:33.072 --> 00:40:34.772]  They're walking the plank politically.
[00:40:34.772 --> 00:40:41.915]  They're doing things that are destroying themselves individually because they're not their own men, they're not their own women, they're slaves.
[00:40:43.919 --> 00:40:47.220]  They are nothing but mouthpieces, repeaters.
[00:40:47.220 --> 00:40:51.342]  They don't have free will.
[00:40:51.342 --> 00:40:55.703]  They turned it over and then lost it.
[00:40:55.703 --> 00:41:07.188]  Only way you can lose free will is to say, with your free will, you give up your free will and then do things against your spirit and against your own programming to prove
[00:41:08.626 --> 00:41:11.468]  To this system that you've given up your humanity.
[00:41:11.468 --> 00:41:20.516]  And that's where the child molestation, the child torture, and the child sacrifice comes from.
[00:41:20.516 --> 00:41:22.577]  As your admission ticket.
[00:41:22.577 --> 00:41:25.099]  Now I told you, let's play the Michelle Wolf clip first.
[00:41:25.099 --> 00:41:28.122]  The comedian in the system force feeds everyone.
[00:41:28.122 --> 00:41:31.885]  She gets literally half a star ratings on Netflix, but they just still push her.
[00:41:34.625 --> 00:41:36.746]  And what did she say just in her latest special?
[00:41:36.746 --> 00:41:43.050]  She got a whole crowd of thousands to cheer when she said, I have power, I'm God, I enjoyed killing my baby.
[00:41:43.050 --> 00:41:48.993]  Imagine if I said, in America people cheer mothers killing their babies and say they enjoy it.
[00:41:48.993 --> 00:41:50.253]  You'd say that's crazy.
[00:41:50.253 --> 00:41:53.055]  I've told you that's what they say and now they're openly saying it.
[00:41:53.055 --> 00:41:56.817]  That's the essence of the selfishness.
[00:41:56.817 --> 00:42:02.300]  That's the essence of someone cutting themselves off from God and being given the order by the Spirit
[00:42:03.413 --> 00:42:05.875]  Of Satan to do it!
[00:42:05.875 --> 00:42:11.181]  The Holy Ghost will demand you take on evil, and stand up for innocence, and be fearless, and you will be!
[00:42:11.181 --> 00:42:18.828]  Satan turns you into a maggot, into a slave, and has you do horrible things to degrade yourself, to take you away from God!
[00:42:18.828 --> 00:42:20.830]  And these fools sign on to do it!
[00:42:20.830 --> 00:42:21.851]  And does she look happy?
[00:42:21.851 --> 00:42:23.012]  Does she look powerful?
[00:42:23.012 --> 00:42:24.533]  Does she look like... No!
[00:42:24.533 --> 00:42:26.375]  She's destroyed herself!
[00:42:26.375 --> 00:42:26.856]  Here she is!
[00:42:28.183 --> 00:42:30.964]  Well, you can feel any way you want after you get an abortion.
[00:42:30.964 --> 00:42:32.224]  Get one!
[00:42:32.224 --> 00:42:33.085]  See how you feel!
[00:42:33.085 --> 00:42:38.326]  You know how my abortion made me feel?
[00:42:38.326 --> 00:42:40.107]  Very powerful.
[00:42:40.107 --> 00:42:41.747]  You know how people say you can't play God?
[00:42:41.747 --> 00:42:52.390]  I walked out of there being like, move over Morgan Freeman!
[00:42:52.390 --> 00:42:56.292]  I am God!
[00:42:56.292 --> 00:42:57.272]  I am God.
[00:42:58.661 --> 00:43:06.827]  It's your last chance to get the original designer limited-edition Jeffrey Epstein Christmas sweater.
[00:43:06.827 --> 00:43:19.817]  The globalists are so scared of this story continuing to come out for people learning about the deep state and the international blackmail rings using kidnapped women and children to compromise world leaders.
[00:43:19.817 --> 00:43:24.060]  They do not want this story continuing and this is your last chance
[00:43:24.640 --> 00:43:32.664]  To get the limited edition Christmas sweater at InfowarsStore.com to help spread the word, to have a piece of history, and to fund our operation.
[00:43:32.664 --> 00:43:36.066]  So, again, it says, Christmas lights are a lot like Epstein.
[00:43:36.066 --> 00:43:38.707]  These things don't hang themselves on the front.
[00:43:38.707 --> 00:43:43.249]  On the back, it's got Infowars.com and shows the O in Infowars as a wreath.
[00:43:43.249 --> 00:43:44.310]  It's also a noose.
[00:43:44.870 --> 00:43:48.554]  The system can't stand it when you promote things at the grassroots level.
[00:43:48.554 --> 00:43:52.778]  They can't stand it when you fund independent, pro-America, pro-human media.
[00:43:52.778 --> 00:43:56.441]  That's why you've got to take advantage of this shirt and get it today.
[00:43:56.441 --> 00:43:57.603]  NymphoWorstore.com
[00:44:01.138 --> 00:44:03.079]  The globalists think America's done.
[00:44:03.079 --> 00:44:04.859]  The globalists think the West is done.
[00:44:04.859 --> 00:44:07.620]  They think that Christians are done and finished.
[00:44:07.620 --> 00:44:09.860]  They believe they've broken our backs.
[00:44:09.860 --> 00:44:14.801]  They believe that with big tech censorship, we'll just crawl into ditches and submit to them.
[00:44:14.801 --> 00:44:26.584]  And they believe that if they can demonize and shut down Infowars, that they rightfully see as a symbol, a beacon of populism and freedom, not just to America, but to the whole world, that they can demoralize everybody else and win.
[00:44:26.584 --> 00:44:29.305]  Why, if they can shut Infowars down, they can intimidate everybody else.
[00:44:29.745 --> 00:44:33.168]  That's why it's beyond critical that you keep InfoWars on the air.
[00:44:33.168 --> 00:44:36.810]  It's only by your word of mouth, your prayer, your financial support that we're on air.
[00:44:36.810 --> 00:44:40.353]  And I want to thank you all this Christmas for your past support.
[00:44:40.353 --> 00:44:48.879]  But I want to encourage you now to redouble your efforts and financially support us by getting great products you need during the 12 days of Christmas at InfoWarsStore.com.
[00:44:48.879 --> 00:44:53.343]  Massive sales, store-wide free shipping, double Patriot points.
[00:44:53.343 --> 00:44:55.184]  InfoWarsStore.com.
[00:44:55.184 --> 00:44:56.285]  Please take action now.
[00:44:56.285 --> 00:44:57.786]  George Soros hopes you don't.
[00:44:58.908 --> 00:45:04.554]  My fault, I fear.
[00:45:04.554 --> 00:45:07.937]  I thought that you'd want what I want.
[00:45:07.937 --> 00:45:14.604]  I'm sorry, my dear.
[00:45:14.604 --> 00:45:16.867]  But where are the clowns?
[00:45:21.552 --> 00:45:32.517]  The globalists have sent in the clowns.
[00:45:32.517 --> 00:45:34.318]  They've sent in Antifa.
[00:45:34.318 --> 00:45:38.340]  They've broken our borders with some of the most hardened criminals from around the world.
[00:45:38.340 --> 00:45:42.321]  They've tried to poison us with fluoride and GMO and the tainted vaccines.
[00:45:42.321 --> 00:45:43.582]  They've sent in their clowns.
[00:45:43.982 --> 00:45:49.666]  But now, the men and women of America are taking action and confronting globalists everywhere.
[00:45:49.666 --> 00:45:52.148]  And I'm so proud of InfoWars leading the charge.
[00:45:52.148 --> 00:45:59.533]  But the only way we can do that is when you keep spreading the word about our broadcast and when you keep buying the great products at InfoWarsTore.com.
[00:45:59.533 --> 00:46:01.755]  InfoWars has delivered.
[00:46:02.944 --> 00:46:08.386]  InfoWars has come through time and time and time and time again.
[00:46:08.386 --> 00:46:14.529]  At that critical, game-changing moment, we have come through.
[00:46:14.529 --> 00:46:23.873]  And that means myself, the other hosts, the journalists, the researchers, the writers, the crew, down to the janitor, down to the bookkeeper.
[00:46:25.093 --> 00:46:26.895]  There is no top, there is no bottom.
[00:46:26.895 --> 00:46:30.938]  We are a family in this fight, ladies and gentlemen.
[00:46:30.938 --> 00:46:32.840]  And the stakes have never been higher.
[00:46:32.840 --> 00:46:35.022]  That's why the Globals want to take us out of the game.
[00:46:35.022 --> 00:46:38.925]  Only you keep InfoWars in the game.
[00:46:38.925 --> 00:46:40.447]  You are the InfoWar.
[00:46:40.447 --> 00:46:41.528]  And now, this Christmas,
[00:46:42.068 --> 00:46:53.938]  And coming up to the end of the year is the time to spend your money at infowarestore.com to fund us into this next critical year of 2020 while getting great products that make your life and your family's life a lot better.
[00:46:53.938 --> 00:46:55.359]  Huge sales right now.
[00:46:55.359 --> 00:47:01.704]  Now's the time to shop at infowarestore.com.
[00:47:01.704 --> 00:47:04.346]  You're listening to the Alex Jones Show.
[00:47:15.553 --> 00:47:17.394]  December 22nd, 2019.
[00:47:17.394 --> 00:47:23.356]  The great year foretold.
[00:47:23.356 --> 00:47:24.856]  The year 2020.
[00:47:24.856 --> 00:47:27.797]  It's iconography.
[00:47:27.797 --> 00:47:28.297]  It's symbolism.
[00:47:44.837 --> 00:47:47.878]  Unmistakable.
[00:47:47.878 --> 00:47:49.959]  Vision.
[00:47:49.959 --> 00:47:55.382]  The year the vision begins.
[00:47:55.382 --> 00:48:00.704]  The year the great crisis begins to unfold.
[00:48:00.704 --> 00:48:04.705]  Lasting decades.
[00:48:04.705 --> 00:48:07.927]  Finally, the great war coming.
[00:48:07.927 --> 00:48:12.869]  The war between humanity and the dark magicians and their AI systems.
[00:48:17.962 --> 00:48:23.563]  Satan will be physically manifest upon the Earth.
[00:48:23.563 --> 00:48:30.525]  Child sacrifice will be transmitted globally.
[00:48:30.525 --> 00:48:38.146]  A full assault will be witnessed.
[00:48:38.146 --> 00:48:40.007]  But that's just a book written 2,000 years ago.
[00:48:46.715 --> 00:48:53.820]  But the same group, and organizations running things then, is in command now.
[00:48:53.820 --> 00:48:56.622]  And it's all unfolding just as it was foretold.
[00:48:56.622 --> 00:49:05.729]  But still the fools sign on.
[00:49:05.729 --> 00:49:09.792]  Buying their lottery ticket from Satan.
[00:49:09.792 --> 00:49:14.456]  And if they win, will they just get destroyed faster?
[00:49:19.489 --> 00:49:31.012]  But this is all about testing the people, and all about us having our free will, on a little planet, with baby powers, before we're given real power.
[00:49:31.012 --> 00:49:33.412]  That's how the universe works, isn't it?
[00:49:33.412 --> 00:49:36.153]  And we all know that, and everybody knows it deep down.
[00:49:38.305 --> 00:50:03.486]  And a lot of people just say, no, I think this is all there is, and so I choose to be a horrible, mean, stinking person, and then for some reason carry out these exact same rituals that humans who didn't even know each other all over the world, magically from the beginning of recorded history, engage in, and every culture says they do it because beings from the stars tell them to do it if they're to be given advanced knowledge.
[00:50:06.377 --> 00:50:16.342]  But really, we're just being taught evil and how to kill each other, and how to put really sick, bad people in power, so that we never make it as a species.
[00:50:16.342 --> 00:50:20.644]  A transmission of, here's how you load the gun, put your head and pull the trigger.
[00:50:20.644 --> 00:50:21.684]  Kill yourself.
[00:50:21.684 --> 00:50:22.845]  Kill, steal, and destroy.
[00:50:22.845 --> 00:50:23.405]  Kill.
[00:50:23.405 --> 00:50:23.985]  Kill.
[00:50:23.985 --> 00:50:24.526]  Die.
[00:50:24.526 --> 00:50:25.066]  Die.
[00:50:25.066 --> 00:50:25.626]  Die.
[00:50:25.626 --> 00:50:26.066]  Die.
[00:50:26.066 --> 00:50:27.127]  Mothers and fathers are bad.
[00:50:27.127 --> 00:50:27.867]  Abort your babies.
[00:50:27.867 --> 00:50:28.788]  Kill them after they're born.
[00:50:28.788 --> 00:50:29.328]  Hail Satan.
[00:50:32.196 --> 00:50:33.497]  All right, let's get into it.
[00:50:33.497 --> 00:50:39.281]  Then we'll get into the temporal information and Matt Bracken that wrote this article in 2003.
[00:50:39.281 --> 00:50:44.105]  That's now, I was rereading it, people said, you gotta read this.
[00:50:44.105 --> 00:50:46.167]  We reposted it on fullwars.com.
[00:50:46.167 --> 00:50:50.170]  Virginia checkpoints, what could possibly go wrong?
[00:50:50.170 --> 00:50:56.695]  He wrote this back in 2003, the plan to cause martial law in Virginia.
[00:50:56.695 --> 00:51:01.739]  And it talks about a governor coming for guns, walking down the roads, doing exactly what Governor Northam
[00:51:03.695 --> 00:51:23.112]  When he's not talking about keeping babies alive and selling their organs, when he's not dressed up in KKK outfits or blackface, yes, that governor, keep the baby comfortable, that same guy, he says, and they've publicly said they're going to try to confiscate the guns using the military, and the military said we're not going to do that.
[00:51:23.112 --> 00:51:27.436]  So that's coming up with Matt Bracken and how they intend to derail Trump, because look at these headlines.
[00:51:29.167 --> 00:51:34.030]  Even CNN poll finds massive movement towards the presidents and the booming economy.
[00:51:34.030 --> 00:51:36.172]  It's backfired.
[00:51:36.172 --> 00:51:38.113]  The year socialism became a dirty word again.
[00:51:38.113 --> 00:51:41.776]  Bloomberg, all over the world, populism is rising and people hate.
[00:51:44.246 --> 00:51:47.587]  Communism, Socialism, Globalism, and George Soros.
[00:51:47.587 --> 00:51:49.087]  It's just terrible.
[00:51:49.087 --> 00:51:52.168]  And all that censorship only made people madder.
[00:51:52.168 --> 00:51:56.229]  How Trump is filling the 9th Circuit with conservatives.
[00:51:56.229 --> 00:51:58.130]  It just goes on and on, doesn't it?
[00:51:58.130 --> 00:52:00.411]  Worse and worse for them.
[00:52:00.411 --> 00:52:01.311]  And then this.
[00:52:01.311 --> 00:52:04.592]  AG Barr, Soros-funded dim prosecutor candidates.
[00:52:06.069 --> 00:52:10.110]  Will lead to increased crime, fewer police officers, which is the plan.
[00:52:10.110 --> 00:52:18.172]  Break down the society and get extra funds from the outside red state areas to fund the criminal operation.
[00:52:18.172 --> 00:52:23.693]  Just like Soros likes to collapse other countries' currencies and then have Marshall plans backed up by the U.S.
[00:52:23.693 --> 00:52:26.634]  to go in and build them back up, like he's done in Ukraine.
[00:52:26.634 --> 00:52:32.335]  You bring them down, you go in, and you build them back up, but with you owning it and controlling it.
[00:52:33.669 --> 00:52:34.451]  Just like the U.S.
[00:52:34.451 --> 00:52:36.134]  did to Europe at the end of World War II.
[00:52:36.134 --> 00:52:37.897]  But it's the globalists doing it.
[00:52:37.897 --> 00:52:42.186]  So here is the Attorney General calling out Soros.
[00:52:42.186 --> 00:52:42.506]  Here it is.
[00:52:43.456 --> 00:52:50.303]  You talked in your piece about social justice DAs, and you put social justice in quotes.
[00:52:50.303 --> 00:52:51.284]  What do you mean by that?
[00:52:51.284 --> 00:52:53.487]  What does that mean, social justice DAs?
[00:52:53.487 --> 00:53:03.617]  Well, there's been this recent development where George Soros has been coming in largely in Democratic primaries where there's not going to be much voter
[00:53:04.318 --> 00:53:30.328]  turnout and putting in a lot of money to elect people who are not very supportive of law enforcement and don't view the office as bringing to trial and prosecuting criminals but pursuing other social agendas and they have started to win in a number of cities and they have, in my view, not given the proper support to the police
[00:53:31.608 --> 00:53:39.752]  And they're following policies that are ultimately going to lead to an increase in violent crime and more victims.
[00:53:39.752 --> 00:53:57.581]  Breakdown of civilization, but when you have the famous Weatherman's son who says he won't prosecute, you know, attacking, you know, when Andy attacks innocent people, they want the breakdown of society, that they won't prosecute car theft.
[00:53:58.274 --> 00:53:59.335]  They won't even investigate it.
[00:53:59.335 --> 00:54:00.937]  Well, I mean, that legalizes car theft.
[00:54:00.937 --> 00:54:03.920]  And then the Democrats get their cut of the chop shops with MS-13.
[00:54:03.920 --> 00:54:06.102]  That's the breakdown of civilization.
[00:54:06.102 --> 00:54:11.027]  And here's the article we put out 23 months ago.
[00:54:11.027 --> 00:54:17.194]  Documents that tell plan for civil unrest and martial law in Baltimore with George Soros' son, Democrats
[00:54:19.741 --> 00:54:29.926]  And other organizations working together through Friends of Democracy to stage riots to attempt to get urban black populations to attack white people and have a race war.
[00:54:29.926 --> 00:54:31.847]  It's all in there with the documents.
[00:54:31.847 --> 00:54:39.491]  This is all illegal, but it's their plan, and it's still all on going.
[00:54:39.491 --> 00:54:42.172]  So when you see the Attorney General come out and say things like this,
[00:54:46.758 --> 00:54:49.580]  It's just another sign of where they're going, and I've got these articles right here.
[00:54:49.580 --> 00:54:51.282]  Look at this article out of Reuters.
[00:54:51.282 --> 00:54:51.522]  U.S.
[00:54:51.522 --> 00:54:55.666]  Attorney General says big tech probes to be completed next year.
[00:54:55.666 --> 00:54:57.407]  He says it needs to be done very, very soon.
[00:54:57.407 --> 00:54:58.708]  Fisher cut bait.
[00:54:58.708 --> 00:55:08.416]  Then he goes on to say that the Justice Department review was not limited to antitrust, but to looking for anti-competitive behavior front and center.
[00:55:08.416 --> 00:55:10.158]  And they go on to say looking at crimes.
[00:55:12.432 --> 00:55:15.853]  So they're not just looking at antitrust.
[00:55:15.853 --> 00:55:17.933]  So that is a very, very good deal.
[00:55:17.933 --> 00:55:22.674]  And Tucker Carlson had an excellent piece showing how the neocon think tanks are behind all the censorship.
[00:55:22.674 --> 00:55:32.976]  As I told you two years ago, they even bragged about it in the Wall Street Journal, that once they took me off the air or off the internet, they thought you wouldn't fight for me, the general public wouldn't, and then they'd have the precedent for everybody.
[00:55:32.976 --> 00:55:34.437]  Tucker Carlson got all the documents.
[00:55:34.437 --> 00:55:35.417]  It's an incredible report.
[00:55:35.417 --> 00:55:35.997]  We're going to air it.
[00:55:36.790 --> 00:55:43.711]  At the end of the show today, but it's on Infowars.com, Tucker Carlson exposes DC conservatives for doing big text bidding.
[00:55:43.711 --> 00:55:45.672]  It's a little deeper than that.
[00:55:45.672 --> 00:55:47.672]  We're going to look at all of that coming up.
[00:55:47.672 --> 00:55:55.694]  But I already played this clip during the week, but here he is also talking about Comey being a liar, that he's not involved in all this illegal activity.
[00:55:55.694 --> 00:55:59.795]  Remember, Comey first said that, oh, the IG report absolved him and there was no spying.
[00:55:59.795 --> 00:56:01.475]  It says they illegally spied in the report.
[00:56:03.254 --> 00:56:07.920]  But he just tried to say, oh, oh, but then now he's like, oh, I didn't know that was going on.
[00:56:07.920 --> 00:56:09.502]  Just seeing how dumb you are.
[00:56:09.502 --> 00:56:11.164]  Now he's finding out you're not dumb.
[00:56:11.164 --> 00:56:12.485]  So he's backtracking.
[00:56:12.485 --> 00:56:14.247]  The rats are beginning to leave the sinking ship.
[00:56:14.247 --> 00:56:15.529]  This is exciting.
[00:56:15.529 --> 00:56:16.210]  Here's what he had to say.
[00:56:16.894 --> 00:56:20.555]  He said, I was seven steps removed from what was going on.
[00:56:20.555 --> 00:56:25.055]  The director doesn't get involved in these kinds of things, the actual investigation.
[00:56:25.055 --> 00:56:26.076]  Do you believe that?
[00:56:26.076 --> 00:56:27.836]  No.
[00:56:27.836 --> 00:56:43.019]  I think that one of the problems with what happened was precisely that they pulled the investigation up to the executive floors and it was run and bird-dogged by a very small group of very high-level officials.
[00:56:43.019 --> 00:56:44.719]  And the idea that this was seven layers
[00:56:45.319 --> 00:56:47.102]  Below him is simply not true.
[00:56:47.102 --> 00:56:54.271]  We're gonna go to break and we're gonna come back with Matt Bracken and the globalist plan to grab victory from the jaws of defeat.
[00:56:55.086 --> 00:56:55.806]  And so much more.
[00:56:55.806 --> 00:56:58.288]  Remember, they don't want this information out there.
[00:56:58.288 --> 00:56:59.049]  We've got their number.
[00:56:59.049 --> 00:57:02.471]  The only reason we're on air is you spreading the word and supporting our local affiliates.
[00:57:02.471 --> 00:57:04.372]  And also buy the products at InfoWarshaw.com.
[00:57:04.372 --> 00:57:07.414]  If you're a TV viewer, here's a map of the deliveries.
[00:57:07.414 --> 00:57:14.198]  You can get stuff still before Christmas, if you order today or tomorrow, in the continental United States.
[00:57:14.198 --> 00:57:18.200]  By the systems that we send it out, USPS and of course,
[00:57:19.241 --> 00:57:20.222]  Other systems.
