[00:00.000 --> 00:05.480]  8 to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[31:30.320 --> 31:34.320]  The Stinger Keychain is a great way to surprise a potential attacker.
[31:34.320 --> 31:42.320]  MrDefense carries the largest selection of stun guns, air tasers, knives, swords, batons, survival, spy, and tactical gear.
[31:42.320 --> 31:48.320]  Surprise your loved ones this Christmas with a gift of safety and security from MrDefense.com.
[31:48.320 --> 31:51.320]  Mention this ad and receive 10% off your order.
[31:51.320 --> 31:58.320]  Visit MrDefense.com. That's MRDefense.com or call 1-800-313-6400.
[31:58.320 --> 32:02.320]  That's 1-800-313-6400 today.
[32:02.320 --> 32:07.320]  Are you one of the people who think, I have plenty of time, nothing's ever going to happen bad to me?
[32:07.320 --> 32:12.320]  Do you believe that when your cupboards are bare, our corporate controlled government will jump right in to feed you and yours?
[32:12.320 --> 32:15.320]  Do you have at least a year's supply of food for your family?
[32:15.320 --> 32:18.320]  This is Kurt, the armchair survivalist, heard on this network.
[32:18.320 --> 32:21.320]  Survival enterprises sells real food, canned for long-term storage.
[32:21.320 --> 32:25.320]  Beef, chicken, turkey, bacon, butter, cheese, eggs, freeze-dried fruits and vegetables,
[32:25.320 --> 32:31.320]  Mountain House freeze-dried meals, MREs, a full nutritional line, the British Birkefeld water filter, and more.
[32:31.320 --> 32:36.320]  If you want to prepare now, go to BeforeIt'sTooLate.us. That's BeforeIt'sTooLate.us
[32:36.320 --> 32:42.320]  or call 1-800-753-1981. That's 1-800-753-1981.
[32:42.320 --> 32:46.320]  Or you can put your head in the sand and be just another sheeple in the corporate controlled flock.
[32:46.320 --> 32:50.320]  But remember, those who don't learn from history are bound to repeat it.
[32:50.320 --> 33:01.320]  And go on straight, you've only heard it for a few year!
[33:03.320 --> 33:04.320]  ok
[33:06.320 --> 33:15.320]  Thank you for listening to GCN. Be sure to visit GCNlive.com today.
[33:15.320 --> 33:32.760]  Don't say you weren't warned.
[33:32.760 --> 33:37.820]  Think about how cold-blooded it is that for decades they've been giving public questionnaires
[33:37.820 --> 33:38.820]  to the troops.
[33:38.820 --> 33:40.420]  Will you fire on U.S. citizens?
[33:40.420 --> 33:41.720]  Will you confiscate their guns?
[33:41.720 --> 33:45.320]  Will you have Marine Corps and Army chants about it?
[33:45.320 --> 33:48.860]  They take the guys that will do it and keep them at home and promote them, put them in
[33:48.860 --> 33:53.260]  police departments, they've got files on all of it, those that say they won't get shipped
[33:53.260 --> 33:57.260]  overseas and get kicked out of the military later.
[33:57.260 --> 33:58.260]  It's just unbelievable.
[33:58.260 --> 34:02.680]  So for decades they've been shifting through the military, picking out the people that
[34:02.680 --> 34:08.260]  are ready to fire on U.S. citizens, that are ready to confiscate our guns, that are ready
[34:08.260 --> 34:10.800]  to carry out all these operations.
[34:10.800 --> 34:15.340]  Now by the way, in my film Road to Tyranny, he gave me all the documents and photos and
[34:15.340 --> 34:20.940]  all of it and photos of him and his police uniform after he got out of the Marine Corps.
[34:20.940 --> 34:25.840]  Then he started a computer company in Austin and retired out of the police department.
[34:25.840 --> 34:33.840]  But he was a Marine officer, top of his class, and so pretty young he was already a mid-level
[34:33.840 --> 34:43.640]  officer and they openly turned him loose with other Marines to raid gun dealers and others
[34:43.640 --> 34:45.880]  in Norfolk, Virginia.
[34:45.880 --> 34:51.380]  He showed me all the evidence of that and then I did internet searches and talked to
[34:51.380 --> 34:54.700]  other experts and found more out about it and then I found out that they were coming
[34:54.700 --> 35:01.140]  to emergency managers in Texas and Maryland and California and offering them cash, big
[35:01.140 --> 35:07.580]  satchels of money, work with the Marine Corps, work with the Army, well why are you giving
[35:07.580 --> 35:08.580]  me $100,000?
[35:08.580 --> 35:13.260]  Because we know you're a good patriot and you deserve $100,000 cash, but once the cop,
[35:13.260 --> 35:18.740]  once the police chief, once the sheriff takes that, they're now, hey, I'll report you took
[35:18.740 --> 35:24.980]  a bribe if you, you know, this is national security now, you now have to do what we say.
[35:24.980 --> 35:33.860]  So that's how they've covertly taken over the U.S. using the same black ops manuals
[35:33.860 --> 35:37.480]  that the Army has to take over third world nations.
[35:37.480 --> 35:40.100]  So I wanted to play this clip before our guest comes on.
[35:40.100 --> 35:47.300]  This is from the film I made that I released in February of 2002, 9-1-1, The Road to Terranee,
[35:47.300 --> 35:51.380]  and we have all the video of Marines training to take your guns and every, oh, understand,
[35:51.380 --> 35:54.660]  they are training school children to take your guns.
[35:54.660 --> 35:56.200]  I have it on video.
[35:56.200 --> 36:01.300]  They are training to take your guns, what they do in New Orleans, what is the now, you
[36:01.300 --> 36:05.260]  know, destroyed governor of Illinois using the National Guard to confiscate guns.
[36:05.260 --> 36:10.380]  It's all, they're training to take your guns and they first have to acclimate you to accept
[36:10.380 --> 36:12.820]  troops on the streets and what are the troops trained to do?
[36:12.820 --> 36:18.020]  They train to take over counties and cities and that's the last key point I want to make.
[36:18.020 --> 36:25.740]  In the John Warner Defense Authorization Act, in PDD 51, in the new Defense Department directives
[36:25.740 --> 36:32.900]  they've put out, it's all about taking over governors, state legislatures, taking over
[36:32.900 --> 36:35.620]  cities that say no in the future.
[36:35.620 --> 36:40.620]  What is it that's so bad that the criminal government that's in foreign banker receivership,
[36:40.620 --> 36:45.260]  what is it that's so bad they're planning, they know cities and states are going to secede?
[36:45.260 --> 36:49.460]  Well, the Army report this year says they know that's a danger because they're destroying
[36:49.460 --> 36:50.460]  the United States.
[36:50.460 --> 36:52.020]  Now, the grunts on the ground don't know.
[36:52.020 --> 36:55.340]  They'll see rioting, starving, you know, all of this and think, well, we've been trained
[36:55.340 --> 36:57.620]  for this, we've got to go out and take care of it.
[36:57.620 --> 37:00.780]  You're being set up, you're helping destroy America.
[37:00.780 --> 37:03.620]  We have to politically say no to the foreign banks.
[37:03.620 --> 37:07.700]  Expose the fact they've stolen 8.5 trillion in seven weeks and counting.
[37:07.700 --> 37:12.860]  We have to expose that this is illegitimate but Fox and CNN and all of them, every time
[37:12.860 --> 37:18.300]  Kashkari or Paulson or Bernaki, the private Fed chief were on TV, they'll show their
[37:18.300 --> 37:22.460]  statement in Congress and then cut away, never showing what the Congress is saying.
[37:22.460 --> 37:26.460]  If you watch C-SPAN, Republicans and Democrats are going, you stole the money.
[37:26.460 --> 37:27.820]  It's all going offshore.
[37:27.820 --> 37:31.600]  You've bought houses in Dubai where there's no extradition.
[37:31.600 --> 37:35.820]  You stole all of this and Kashkari just laughs.
[37:35.820 --> 37:41.140]  There's nothing you can do because the media is owned by the bankers, the big TV, I mean,
[37:41.140 --> 37:43.420]  they are folks, this is the biggest heist.
[37:43.420 --> 37:47.900]  The crime is so big that, and the public has no idea what's happened.
[37:47.900 --> 37:49.620]  They have destroyed us.
[37:49.620 --> 37:52.740]  All we can hope is to pick up the pieces, but instead they're going to pose as the state
[37:52.740 --> 37:56.220]  savior as they destroy the economy and bring in the new world order.
[37:56.220 --> 37:58.620]  Do you understand what is happening?
[37:58.620 --> 38:03.060]  Please, I have all the documents, all the proof, all the photos, all the video.
[38:03.060 --> 38:08.740]  They're on infowars.com right now and this is in the story Kurt Nemo posted.
[38:08.740 --> 38:11.980]  He's actually got part 11 and 12 from Road Attorney posted in Clips.
[38:11.980 --> 38:13.940]  You want to watch part 13.
[38:13.940 --> 38:21.380]  Here is the Marine Corps officer, ROTC, an officer gets out, becomes a police officer,
[38:21.380 --> 38:23.060]  starts a computer company, leaves.
[38:23.060 --> 38:26.220]  The point is he ran into a secret checkpoint by secret.
[38:26.220 --> 38:34.620]  They didn't announce it on the news in 2000 on South IH 35 and Kyle got upset by it knowing
[38:34.620 --> 38:36.620]  it was part of a secret takeover program.
[38:36.620 --> 38:38.060]  This was Army, he saw.
[38:38.060 --> 38:42.220]  So, he called me, I went out to his house, but again, now it's all public, now it's
[38:42.220 --> 38:43.220]  all admitted.
[38:43.220 --> 38:50.780]  Now, this is the Marines confiscating guns secretly in America in the late 1980s.
[38:50.780 --> 38:51.780]  Here it is.
[38:51.780 --> 38:56.500]  He interviewed a former Marine Corps officer who in 1989 while he was in the Marine Corps
[38:56.500 --> 39:00.020]  was serving search warrants on American citizens' homes and businesses.
[39:00.020 --> 39:08.540]  Just start at the beginning force, a little bit about your past, how you first got involved
[39:08.540 --> 39:12.660]  in the military and some of the things you did and then later in life, some of the questions
[39:12.660 --> 39:16.900]  that you started raising to yourself after you've been a police officer.
[39:16.900 --> 39:17.900]  Okay.
[39:17.900 --> 39:23.180]  I started out at, during the Marines, tested were else high on the ASVAB, which is the Armed
[39:23.180 --> 39:29.660]  Forces Vocational Attitude Battery, did real well in that and was an MP5800 military police.
[39:29.660 --> 39:37.020]  From that, I was sent over to various duty stations, just thought of interest in civilian
[39:37.020 --> 39:42.660]  law enforcement, so I was able to take part in joint military police and civilian police
[39:42.660 --> 39:43.660]  exercises.
[39:43.660 --> 39:49.140]  We've seen the airport for training all across the country, the black helicopters, the special
[39:49.140 --> 39:56.620]  forces in cities, and it seems like it's been ratcheted up in the last five years from just
[39:56.620 --> 39:59.900]  basic training to actual live fire in city streets.
[39:59.900 --> 40:03.820]  What type of relationship did you have with law enforcement when you were in the Marine
[40:03.820 --> 40:04.820]  Corps?
[40:04.820 --> 40:08.300]  Very cohesive, with a lot of interaction.
[40:08.300 --> 40:15.180]  1988 and 1989, like I told you prior, I helped assist in three search warrants.
[40:15.180 --> 40:21.100]  A lot of entry team operations, giving civilian law enforcement advice and critiquing how
[40:21.100 --> 40:28.100]  they're doing that, to raid such as crack houses or supposed terrorist organizations
[40:28.100 --> 40:32.180]  as far as multiple entry points of a home, whether it be through the roof, the windows,
[40:32.180 --> 40:36.580]  in front door, or a combination of all at the same time.
[40:36.580 --> 40:44.780]  So you were actively, as a member of the United States Marine Corps active duty, out with
[40:44.780 --> 40:49.340]  civilian law enforcement serving search warrants to homes?
[40:49.340 --> 40:50.340]  That's great.
[40:50.340 --> 40:54.740]  There weren't missions that were called exercises, but it was actual, with real, what we call
[40:54.740 --> 40:56.820]  combatants, real live.
[40:56.820 --> 41:01.740]  It was the real deal, helping execute search warrants.
[41:01.740 --> 41:08.780]  Late 80s, I've actually been on point with an MP5, and I was not in a police uniform.
[41:08.780 --> 41:14.420]  I'm at a police flag vest on, a police jacket, and black BDUs.
[41:14.420 --> 41:18.340]  I think there are obviously drug dealers.
[41:18.340 --> 41:19.340]  One, maybe.
[41:19.340 --> 41:23.740]  What were the other raids concerning?
[41:23.740 --> 41:24.740]  Pawn shop owner.
[41:24.740 --> 41:31.020]  One was a pawn shop owner, and the other was for a joint working with ATF.
[41:31.020 --> 41:40.940]  As a member of the Marine Corps, David, you're telling us you raided a civilian business
[41:40.940 --> 41:44.180]  with the BATF going after guns?
[41:44.180 --> 41:45.740]  It was the business owner's home.
[41:45.740 --> 41:48.660]  Oh, the business owner's home?
[41:48.660 --> 41:57.180]  The homes were civilian homes, and some upper middle class to white collar homes.
[41:57.180 --> 41:58.180]  One was a warehouse facility.
[41:58.180 --> 42:01.940]  Later on in the life of the Island Marine Corps, you got into law enforcement.
[42:01.940 --> 42:08.180]  Is that when you started asking questions, once you learned more about the civilian role?
[42:08.180 --> 42:12.100]  Towards my end in law enforcement, I started getting discouraged with it, yes.
[42:12.100 --> 42:13.100]  That's when I started quitting.
[42:13.100 --> 42:17.420]  But when you're younger, and you're trying to achieve, and you've got all the fancy jewelry
[42:17.420 --> 42:23.780]  on and all the badge and the car with all the nice decals and lights, and you know, you're
[42:23.780 --> 42:27.980]  disillusioned by a lot of different things once reality, it's just the way law enforcement
[42:27.980 --> 42:28.980]  has changed a lot.
[42:28.980 --> 42:30.980]  It's changed a lot.
[42:30.980 --> 42:33.900]  How has it changed?
[42:33.900 --> 42:38.340]  How people perceive law enforcement has been an occupying army.
[42:38.340 --> 42:39.340]  More of an occupying army.
[42:39.340 --> 42:46.420]  You can go watch 10 minute interviews in the film, confiscating guns secretly, total felony,
[42:46.420 --> 42:51.620]  hard cord, 20 something years in prison, they're committing crimes everywhere.
[42:51.620 --> 42:58.820]  Now, remember, military, army, Marines, police doing this, you are special, you are the ones
[42:58.820 --> 42:59.820]  destroying America.
[42:59.820 --> 43:02.380]  I mean, what you're doing is very special.
[43:02.380 --> 43:06.140]  You're doing something our military's never done, so I want you to know that.
[43:06.140 --> 43:07.140]  You are special.
[43:07.140 --> 43:09.140]  You are treasonous traitor.
[43:09.140 --> 43:14.620]  The holidays are right around the corner, the crowds, the countless hours in traffic,
[43:14.620 --> 43:19.220]  finding a parking spot just to buy a gift you're worried they might not like anyway.
[43:19.220 --> 43:24.340]  How about surprising your loved ones with a gift they can use every day of the year?
[43:24.340 --> 43:29.100]  Give the gift of safety with security products from Pepperspray.com.
[43:29.100 --> 43:34.100]  Pepperspray.com carries the largest assortment of Pepperspray and other personal safety devices
[43:34.100 --> 43:38.500]  on the web for your spouse, your children, your coworkers, and more.
[43:38.500 --> 43:44.220]  When you purchase the perfect gift from Pepperspray.com, you'll receive 10% off just by using
[43:44.220 --> 43:46.580]  the coupon code GCN.
[43:46.580 --> 43:51.740]  What better way to say Merry Christmas than giving the priceless gift of safety and security
[43:51.740 --> 43:53.660]  from Pepperspray.com?
[43:53.660 --> 43:59.580]  Shop now at Pepperspray.com or call 1-800-908-9988.
[43:59.580 --> 44:03.180]  That's 1-800-908-9988.
[44:03.180 --> 44:08.700]  Pepperspray.com wishes you and yours a safe and happy holiday season.
[44:08.700 --> 44:13.260]  Heart disease is on the rise, clogged arteries, high blood pressure, and high cholesterol
[44:13.260 --> 44:17.500]  levels may not be fully detected by you, but the symptoms are there.
[44:17.500 --> 44:22.460]  Loss of energy, blood sugar, spikes, and drops, or circulation and irregular heartbeat are
[44:22.460 --> 44:26.020]  just a few of these that can alert you that something is wrong.
[44:26.020 --> 44:30.540]  Hear how heart and body extract is making a difference in thousands of people's lives
[44:30.540 --> 44:31.540]  across America.
[44:31.540 --> 44:35.500]  My blood pressure has normalized, my diabetes has totally improved.
[44:35.500 --> 44:39.180]  Everyone is telling me now how much healthier I look and I'm telling everyone how much
[44:39.180 --> 44:40.180]  healthier I feel.
[44:40.180 --> 44:42.860]  I recommend heart and body extract to everyone.
[44:42.860 --> 44:48.180]  Over 40 in the North American continent should be using this product as a preventative to
[44:48.180 --> 44:50.580]  keep their cardiovascular system healthy.
[44:50.580 --> 44:58.860]  Order your two-month supply today by calling 866-295-5305, that's 866-295-5305, or order
[44:58.860 --> 45:08.620]  online, hbextract.com, heart and body extract, 866-295-5305, or hbextract.com.
[45:08.620 --> 45:12.340]  Special Roast Hemp Coffee from hempusa.org.
[45:12.340 --> 45:17.060]  Our coffee grows in the dense volcanic rich soil, herbicide and pesticide-free, in the
[45:17.060 --> 45:22.020]  high altitudes of Guatemala, in conditions that are ideal for the natural growth of this
[45:22.020 --> 45:23.740]  high-quality coffee.
[45:23.740 --> 45:29.380]  Try our mellow cup of coffee that is ground and roasted with 25% hemp seed from Canada.
[45:29.380 --> 45:34.700]  With the wonderful nutty flavor that contains 18% protein, our roasters bring out a unique
[45:34.700 --> 45:38.660]  flavor that makes this the best cup of coffee you'll ever have.
[45:38.660 --> 45:43.660]  Try our new special roast hemp coffee from hempusa.org and wake up your brain without
[45:43.660 --> 45:44.660]  the jitters.
[45:44.660 --> 45:48.060]  Our customers look forward to their next cup of hemp coffee.
[45:48.060 --> 46:01.020]  Visit us at hempusa.org or call 908-691-2608, that's 908-691-2608 and see if you'll change
[46:01.020 --> 46:03.540]  your mind about drinking coffee again.
[46:03.540 --> 46:09.140]  Place the difference, feel the difference, at hempusa.org today.
[46:09.140 --> 46:12.060]  Toxic heavy metals negatively impact our health.
[46:12.060 --> 46:15.900]  There in the air we breathe, the water we drink, the food we eat, the products we use
[46:15.900 --> 46:19.620]  and the objects we touch, exposure is impossible to avoid.
[46:19.620 --> 46:23.620]  Heavy metals build up within the body over a period of time causing poor health.
[46:23.620 --> 46:28.660]  However, with chelorex, they can be mobilized and excreted in a safe and effective manner.
[46:28.660 --> 46:32.820]  Chelorex was developed based on Dr. Alan Greenberg's clinical experience with heavy metal poisoning
[46:32.820 --> 46:35.940]  during his 25 years of medical practice.
[46:35.940 --> 46:40.580]  Chelorex does not contain EDTA and is made from all natural ingredients, enhancing the
[46:40.580 --> 46:45.540]  body's natural mechanisms for excreting heavy metals and preventing their reabsorption.
[46:45.540 --> 46:49.300]  Chelorex contains antioxidants to protect the liver, kidneys, central nervous system
[46:49.300 --> 46:54.300]  and immune functions and effectively mobilizes mercury and 15 other heavy metals including
[46:54.300 --> 46:56.420]  aluminum, arsenic, lead and more.
[46:56.420 --> 47:02.780]  Find out what Chelorex can do for you by calling 1-800-675-4568 or visit us online at
[47:02.780 --> 47:03.780]  chelorex.com.
[47:03.780 --> 47:04.780]  That's chelorex.com today.
[47:04.780 --> 47:05.780]  Thank you for listening to GCN.
[47:05.780 --> 47:06.780]  Be sure to visit GCNLive.com today.
[47:06.780 --> 47:07.780]  Yeah, just putting bookends on what I've been covering the last 40 minutes and we're going
[47:07.780 --> 47:08.780]  to our guests with a balance of the broadcast and then of course your calls in the next
[47:08.780 --> 47:09.780]  hour.
[47:09.780 --> 47:10.780]  Thank you for listening to GCN.
[47:10.780 --> 47:11.780]  I'll see you in the next video.
[47:11.780 --> 47:12.780]  Bye.
[47:12.780 --> 47:13.780]  Bye.
[47:13.780 --> 47:14.780]  Bye.
[47:14.780 --> 47:43.780]  Thank you for listening to GCNLive.com today.
[47:45.780 --> 48:06.780]  Thank you for listening to GCNLive.com today.
[48:06.780 --> 48:32.780]  Thank you for listening to GCNLive.com today.
[48:32.780 --> 48:39.180]  This is just classical treason so don't be a traitor, don't be a treacherous, a new world
[48:39.180 --> 48:40.180]  order minion.
[48:40.180 --> 48:41.180]  Say no to this now.
[48:41.180 --> 48:47.180]  This is so over the top that there is a lot of resistance to it and we've got to say no.
[48:47.180 --> 48:50.580]  International best-selling author Jeffrey M. Smith is a leading spokesman on the health
[48:50.580 --> 48:56.540]  dangers of genetically modified organisms, his globally respected research and magnetic
[48:56.540 --> 49:01.060]  communication style, captured public attention 2003 with his first book on the serious yet
[49:01.060 --> 49:06.180]  unknown side effects of genetically engineered foods, seeds of deception, exposing industry
[49:06.180 --> 49:09.780]  and government lies about the safety of the genetically engineered foods you're eating.
[49:09.780 --> 49:13.580]  And he's been involved in a bunch of films and other books.
[49:13.580 --> 49:20.060]  We carry quite a few of them at infowars.com and prisonplanet.com and this is another group
[49:20.060 --> 49:25.820]  of stations you're on Jeffrey with us today so we can kind of recap the basics of what
[49:25.820 --> 49:30.780]  we're facing and just how serious the GMO and the rest of it is and then get into all
[49:30.780 --> 49:35.500]  the new studies coming out about how this stuff is sterilizing mammals and linked to
[49:35.500 --> 49:39.940]  cancer and so many other serious problems and why all the scientists and people you've
[49:39.940 --> 49:45.780]  interviewed, why the data shows it's causing an increase in cancer and sterility and so
[49:45.780 --> 49:46.780]  many other issues.
[49:46.780 --> 49:49.300]  So Jeffrey, it's great to have you here with us.
[49:49.300 --> 49:50.300]  It's great to be back.
[49:50.300 --> 49:51.300]  Thank you.
[49:51.300 --> 49:54.300]  You're leaving the country here in a few days.
[49:54.300 --> 49:59.660]  I meant to add you've testified to governments worldwide and to the European Union and to
[49:59.660 --> 50:01.380]  legislatures here.
[50:01.380 --> 50:02.380]  Where are you going next week?
[50:02.380 --> 50:05.260]  Well, I'm going to India in a couple of days.
[50:05.260 --> 50:07.100]  India is really under attack.
[50:07.100 --> 50:15.380]  Monsanto has really pushed genetically engineered cotton into the country and it's apparently
[50:15.380 --> 50:20.740]  causing huge allergic reactions in thousands of people touching the genetically engineered
[50:20.740 --> 50:28.180]  cotton, sickness, death, and sterility in animals that eat the cotton products and also
[50:28.180 --> 50:34.300]  the Daily Mail estimates 125,000 suicides among farmers who planted it and ended up
[50:34.300 --> 50:38.940]  going broke and in debt unable to repay their debt.
[50:38.940 --> 50:45.340]  So it's a huge disaster going on in India and I'm going to be not only investigating
[50:45.340 --> 50:49.660]  and documenting it in a new film, I'm also going to be speaking about the dangers of
[50:49.660 --> 50:52.980]  genetically engineered food and trying to drum some sense into those that have been making
[50:52.980 --> 50:57.660]  the decisions to give open door to Monsanto.
[50:57.660 --> 51:02.060]  Casesofdeception.com is the website, again we carry your books and videos as well at
[51:02.060 --> 51:03.060]  infowars.com.
[51:03.060 --> 51:04.060]  It's seedsofdeception.com.
[51:04.060 --> 51:09.940]  Particularly, let's start out with the cotton first and by the way, that's a conservative
[51:09.940 --> 51:10.940]  number.
[51:10.940 --> 51:14.020]  Some news reports over 200,000 have committed suicide because they were already at subsistence
[51:14.020 --> 51:15.020]  level.
[51:15.020 --> 51:18.980]  Then the animals eat the seeds, they die en masse, the communities are wiped out and
[51:18.980 --> 51:23.940]  the people then drink the same pesticide sprayed on the cotton to kill themselves.
[51:23.940 --> 51:25.500]  But I guess that's all part of globalism.
[51:25.500 --> 51:28.860]  We have our NAFTA and GATT, they have their death of their economy.
[51:28.860 --> 51:33.900]  But why specifically with the studies and the science we have, why is this GMO cotton
[51:33.900 --> 51:34.900]  so bad?
[51:34.900 --> 51:38.700]  Well, there's a number of reasons why it might be bad, it's a lot of stories associated
[51:38.700 --> 51:39.700]  with it.
[51:39.700 --> 51:43.100]  To give some background to the listeners, genetic engineering is you take genes from
[51:43.100 --> 51:47.100]  one species and you force it into the DNA of another species.
[51:47.100 --> 51:54.260]  Now what happens is the process of insertion causes massive collateral damage in the DNA
[51:54.260 --> 51:59.660]  which can create new proteins, new toxins, new diseases, new carcinogens.
[51:59.660 --> 52:05.900]  In fact, I was talking to one former Monsanto employee who said he discovered, a PhD told
[52:05.900 --> 52:10.140]  him that the process of creating the genetically engineered cotton that he was looking at created
[52:10.140 --> 52:16.420]  completely new proteins that were never intended and they decided to ignore those proteins
[52:16.420 --> 52:23.460]  and just feed the cotton seed cakes to dairy cows that were living near his house.
[52:23.460 --> 52:28.940]  He was absolutely concerned, he knew that feeding animals deadly or dangerous proteins
[52:28.940 --> 52:34.260]  could influence the food supply for the milk and meat and he tried to get the Monsanto
[52:34.260 --> 52:38.180]  people to not feed it into the food supply until they had tested it.
[52:38.180 --> 52:40.940]  One guy said, we've always done it this way and we're going to do it this way and continue
[52:40.940 --> 52:41.940]  to do it this way.
[52:41.940 --> 52:43.940]  All right, let me just throw this in for the people to understand.
[52:43.940 --> 52:48.260]  We hear the spin from mainstream corporate media that, oh, this is like George Washington
[52:48.260 --> 52:53.900]  Carver crossing two types of soybean or two types of corn or two types of potato.
[52:53.900 --> 52:55.460]  This is what plants naturally do.
[52:55.460 --> 53:00.820]  No, we're talking about putting spider genes in goats to create body armor out of their
[53:00.820 --> 53:01.820]  milk.
[53:01.820 --> 53:04.540]  We're talking about putting human genes in pigs so they can take their organs out and
[53:04.540 --> 53:10.660]  put them in humans and they fire with a gene gun into the DNA to randomly get mutations
[53:10.660 --> 53:16.660]  to see which mutation they like but it causes randomly thousands of other things to happen
[53:16.660 --> 53:21.620]  and that's why we now see, I believe in the evidence shows like Ebola in pigs, all of
[53:21.620 --> 53:27.220]  this stuff jumping around and they admit this is happening but don't seem to care.
[53:27.220 --> 53:29.100]  It's a brilliant summary, Alex.
[53:29.100 --> 53:33.940]  In fact, when you look at the genetically engineered plant and you compare it to the
[53:33.940 --> 53:38.940]  natural plant before it was genetically engineered, DNA is about two to four percent different
[53:38.940 --> 53:44.820]  and that's mostly hundreds or thousands of mutations, any one of which can become dangerous
[53:44.820 --> 53:46.020]  or deadly to human beings.
[53:46.020 --> 53:51.300]  To give people, I mean just to interrupt again, a quick idea, Jeffrey, of how much two to
[53:51.300 --> 53:55.660]  four percent or two to three percent is, that's about the difference between a human and a
[53:55.660 --> 53:56.660]  chimpanzee.
[53:56.660 --> 53:57.660]  That's interesting.
[53:57.660 --> 53:58.660]  Well said.
[53:58.660 --> 53:59.660]  That's what they say.
[53:59.660 --> 54:01.620]  They say it's four percent difference but go ahead.
[54:01.620 --> 54:08.340]  What happens is, so any genetically engineered crop at this point might carry poisons in
[54:08.340 --> 54:14.860]  it simply because of this primitive and random nature of transforming a cell.
[54:14.860 --> 54:20.220]  Whether it's cotton, corn, soy, canola, the four major crops and now sugar beets the fifth.
[54:20.220 --> 54:25.040]  We don't know really what possible poisons or allergens it's created because there's
[54:25.040 --> 54:28.100]  hardly any tests before they go on the market.
[54:28.100 --> 54:29.460]  So that's the first thing.
[54:29.460 --> 54:36.300]  The second thing is the actual gene that they put into the cotton is designed to produce
[54:36.300 --> 54:38.620]  a pesticide.
[54:38.620 --> 54:39.620]  It kills bugs.
[54:39.620 --> 54:40.620]  It's a poison.
[54:40.620 --> 54:43.860]  It's called bacillus thuringiensis or BT for short.
[54:43.860 --> 54:51.140]  Now the reason why they allow it into crops, it's also in corn, is because the regulators
[54:51.140 --> 54:57.740]  believed the biotech industry who said, well, BT in its natural state, it's a soil organism,
[54:57.740 --> 55:02.140]  soil bacteria, has been used as a pesticide safely for years.
[55:02.140 --> 55:05.700]  It only breaks open the stomach of insects that eat it.
[55:05.700 --> 55:07.700]  It doesn't actually have any effect on mammals.
[55:07.700 --> 55:10.460]  In fact, it's destroyed during digestion.
[55:10.460 --> 55:12.780]  Now those assumptions are actually false.
[55:12.780 --> 55:18.580]  Peer-reviewed published studies showed that hundreds of people in the US and Canada developed
[55:18.580 --> 55:24.380]  allergic type reactions when they were sprayed with BT, when it was used for gypsy moth infestation.
[55:24.380 --> 55:29.980]  And mice that were fed BT, not only did it survive digestion, it caused damage to their
[55:29.980 --> 55:34.940]  intestines and a high, a very pronounced immune response.
[55:34.940 --> 55:39.060]  So it hasn't been properly tested and it's now in the food supply.
[55:39.060 --> 55:44.020]  I say food supply because it's in corn, but also cotton is part of our food supply because
[55:44.020 --> 55:49.260]  it's in cotton seed oil and also the oil seed cakes and sometimes the whole plant is fed
[55:49.260 --> 55:50.820]  to animals.
[55:50.820 --> 55:59.300]  Now the issue here with the animals that have been feeding on the cotton plants after harvest
[55:59.300 --> 56:07.180]  but started out, we heard about it from sheep in 2006, someone was a union leader for shepherds
[56:07.180 --> 56:13.420]  and farmers was in a government veterinary office and was reviewing the post-mortems
[56:13.420 --> 56:19.900]  just to see the trends and he was surprised to see there was 11 post-mortem deaths on
[56:19.900 --> 56:25.820]  sheep and the cause of death was eating BT cotton plants.
[56:25.820 --> 56:30.300]  And this was quite alarming because 11 is a lot, I had never seen it before, so they
[56:30.300 --> 56:33.140]  quickly called a fact-finding team together.
[56:33.140 --> 56:37.820]  Some of these people I'll be interviewing on video in a few weeks in India and they
[56:37.820 --> 56:41.740]  started to visit some villages nearby and they called, in one day they went to four
[56:41.740 --> 56:46.020]  different villages and they called all the shepherds together and in the first village
[56:46.020 --> 56:54.020]  they were stunned to find that the shepherds reported that 25% of their shepherds died
[56:54.020 --> 56:56.820]  within five to seven days.
[56:56.820 --> 57:01.500]  They went to the second place, the same thing happened and the third, they couldn't have
[57:01.500 --> 57:05.260]  a big meeting but they went around and started asking people, same thing with the fourth,
[57:05.260 --> 57:11.020]  the shepherds there estimated 10,000 sheep died in this one region in India.
[57:11.020 --> 57:18.660]  Now when this was released, the person, the veterinarian in India who had written down
[57:18.660 --> 57:24.660]  probable cause of death, BT toxin, she was originally enthusiastic about that diagnosis
[57:24.660 --> 57:29.620]  but soon after she started changing her thinking and then started taking the other side saying
[57:29.620 --> 57:33.900]  it must be something else, they went back to the original documentation and someone
[57:33.900 --> 57:42.100]  had taken a different color pen and written in cause of death, pesticides and so I contacted
[57:42.100 --> 57:47.180]  the activists and said go to the shepherds who were interviewed for each of these postmortems
[57:47.180 --> 57:52.660]  and videotape the interview and ask them if they brought up pesticide, it turns out they
[57:52.660 --> 57:58.620]  never actually used the pesticide in these farms and it was totally.
