[00:00:00.049 --> 00:00:01.757]  A Russian member of parliament says U.S.
[00:25:34.789 --> 00:25:44.614]  They leapfrog from criminal activity to criminal activity and then always smoke screen it with some even larger debate and then we have to focus on the new lies for the old.
[00:25:44.614 --> 00:25:46.855]  And by the end of it, we're living in a total police state.
[00:25:46.855 --> 00:25:49.836]  They are setting up a manifest tyranny.
[00:25:50.652 --> 00:25:52.313]  They know you're waking up to it.
[00:25:52.313 --> 00:25:54.415]  That's why they're setting up the police state.
[00:25:54.415 --> 00:25:56.836]  And how many congressmen, like Ron Paul, have we had on?
[00:25:56.836 --> 00:25:58.898]  We've had multiple congressmen on saying the same thing.
[00:25:58.898 --> 00:26:02.200]  How many former Reagan and Bush senior administration officials?
[00:26:02.200 --> 00:26:05.402]  Very conservative have we had on to say, we're going into martial law.
[00:26:05.402 --> 00:26:11.086]  Now we read about Halliburton building emergency FEMA camps, quote, for the illegal aliens and citizens during emergencies.
[00:26:11.086 --> 00:26:12.107]  These are camps.
[00:26:12.107 --> 00:26:15.910]  Halliburton in major newspapers running slave camps in Europe.
[00:26:15.910 --> 00:26:18.912]  I mean, it's so out of control.
[00:26:19.955 --> 00:26:23.879]  It's so horrible that I know a lot of people want to bury their heads in the sand.
[00:26:23.879 --> 00:26:35.630]  I hear ads all the time for bars or restaurants or sporting events that life's tough, the economy's not doing too well, just forget about it all and come have a good time.
[00:26:35.630 --> 00:26:39.474]  And that's okay if you get some R&R, rest and relaxation sometimes.
[00:26:39.474 --> 00:26:40.535]  We've all got to do that.
[00:26:40.535 --> 00:26:43.938]  All work and no play makes Jack a dull boy, or at least a cranky boy.
[00:26:44.698 --> 00:26:53.905]  Believe me, I know that first and foremost, but if you're just constantly out, especially doing all these really decadent things, my idea of blowing off steam is going out fishing or something, or for a hike.
[00:26:53.905 --> 00:26:55.386]  It just all falls apart.
[00:26:55.386 --> 00:26:59.769]  We've been in denial for so long, and now the chickens are coming home to roost.
[00:26:59.769 --> 00:27:02.511]  The elite isn't happy to just have a ton of tyranny.
[00:27:02.831 --> 00:27:04.833]  They want to bring in maximum tyranny.
[00:27:04.833 --> 00:27:05.594]  They want it all.
[00:27:05.594 --> 00:27:08.376]  And we're about to go back to Michael Rivero, WhatReallyHappened.com.
[00:27:08.376 --> 00:27:09.858]  Link to him up on InfoWars.com.
[00:27:09.858 --> 00:27:11.339]  And I know we had loaded phones earlier.
[00:27:11.339 --> 00:27:13.661]  I don't even know what the call list is right now.
[00:27:13.661 --> 00:27:19.527]  So in a few minutes, tell the board office just to let me know who's first in line so we can take some calls.
[00:27:22.759 --> 00:27:23.900]  I want to go back to Michael Rivera.
[00:27:23.900 --> 00:27:28.724]  Michael, how do we, from your particular view, how do we navigate this?
[00:27:28.724 --> 00:27:30.506]  That's the first question.
[00:27:30.506 --> 00:27:48.821]  Specific solutions, you think, and then give me your prognosis for the short term and long term, because I do see an awakening happening, but the enemy has the momentum, they have the centralized spires of technological control, they control the parameters, the roads, the banks, the main systems that we kind of just react to,
[00:27:50.161 --> 00:27:51.642]  Are we going to be able to defeat this?
[00:27:51.642 --> 00:27:56.564]  And what will the world look like if the neocons really have their way?
[00:27:56.564 --> 00:27:58.244]  That's a big question.
[00:27:58.244 --> 00:28:02.226]  It's the $64 million question, but can you try to take a stab at it?
[00:28:02.896 --> 00:28:11.618]  Well, I think the answer to any time any tyranny remakes the world in their own image, it's going to be a very stratified society.
[00:28:11.618 --> 00:28:21.900]  There'll be the elite chosen ones at the top with all the wealth and power, and everybody else below will be deliberately maintained in a state of poverty so that they can't quit working for the system.
[00:28:21.900 --> 00:28:24.921]  As far as people waking up, yes, it's starting to happen.
[00:28:24.921 --> 00:28:29.402]  The most important thing they can do is share their concerns with everybody they know, and I believe
[00:28:29.782 --> 00:28:37.557]  This NSA spying was leaked deliberately to intimidate people, to keep them from speaking with their neighbors and friends about what's going on in the country.
[00:28:37.557 --> 00:28:39.481]  I agree, and I think it's backfiring on them.
[00:28:40.140 --> 00:28:43.021]  Yeah, and I think people just need to decide.
[00:28:43.021 --> 00:28:48.903]  There are 288 million Americans, which according to the polls, most of which think Bush lied us into a war in Iraq.
[00:28:48.903 --> 00:28:51.004]  They think the country's headed in the wrong direction.
[00:28:51.004 --> 00:28:55.246]  The government can't watch all of us or listen to all of us at the same time.
[00:28:55.246 --> 00:28:59.328]  So this whole thing about worrying about if your phone is being listened to, it's nonsense.
[00:28:59.328 --> 00:29:01.768]  The best thing you can do is not be afraid.
[00:29:01.768 --> 00:29:04.189]  Go out and talk to people about what's going on.
[00:29:04.189 --> 00:29:08.131]  Because right now we're hitting this moment of inertia.
[00:29:08.451 --> 00:29:16.436]  I think one of the worst things that we're raised with are fairy tales and TV shows and movies where there's always a happy ending, where the cavalry comes in and saves us.
[00:29:16.436 --> 00:29:19.858]  There's always an archetypal hero who does it all for us.
[00:29:19.858 --> 00:29:20.359]  That's right.
[00:29:20.359 --> 00:29:23.260]  There's Batman or Superman comes in or there's a savior.
[00:29:23.260 --> 00:29:24.781]  Arnold Schwarzenegger.
[00:29:24.781 --> 00:29:25.442]  Yeah, comes in.
[00:29:26.404 --> 00:29:28.605]  You know, there are no heroes coming in.
[00:29:28.605 --> 00:29:33.207]  If we're going to make this a better country, we, the people, are going to have to do it.
[00:29:33.207 --> 00:29:35.768]  And I think people are coming to that realization.
[00:29:35.768 --> 00:29:39.329]  Because I think back to the history of Romania and the revolution they had.
[00:29:39.329 --> 00:29:48.413]  Two weeks before it happened, anybody looking around would have said, well, the people are perfectly happy, they've accepted their lives as it is, they don't care about the TV cameras on the street corners.
[00:29:48.413 --> 00:29:49.774]  And then what happened to Ceausescu?
[00:29:52.258 --> 00:29:57.940]  That's how fast it all came undone, and I think... Michael, let me stop you.
[00:29:57.940 --> 00:30:00.662]  You're on, obviously, an IP phone.
[00:30:00.662 --> 00:30:02.202]  It sounds great until it breaks up.
[00:30:02.202 --> 00:30:04.583]  The last five seconds didn't come across.
[00:30:04.583 --> 00:30:06.364]  Okay, well then we'll repeat that.
[00:30:06.364 --> 00:30:13.226]  Basically, I think when it happens here in the United States, we're going to see exactly the same rapidity.
[00:30:13.226 --> 00:30:16.908]  It'll be over in about two weeks where everybody will just say, okay, we've hit that
[00:30:17.381 --> 00:30:18.582]  That line.
[00:30:18.582 --> 00:30:27.350]  And I think back to World War II, when Admiral Yamamoto learned that Pearl Harbor had been bombed before the declaration of war was delivered.
[00:30:27.350 --> 00:30:32.114]  And he said, all we've done is awakened a sleeping giant and filled him with a terrible resolve.
[00:30:32.114 --> 00:30:37.980]  And the American people, those 288 million teachers and doctors and lawyers and caregivers and builders,
[00:30:38.480 --> 00:30:43.565]  Absolutely, they're trying to get the fence built and locked before we can do anything about it, but I think they're playing catch-up at this point.
[00:30:59.220 --> 00:31:00.781]  Oh, they admit their own policy reports.
[00:31:00.781 --> 00:31:01.882]  They're five years behind.
[00:31:01.882 --> 00:31:05.023]  Then Europe threw out EU expansion.
[00:31:05.023 --> 00:31:11.326]  Chavez led the major defeat for at least another four or five years in the American Union.
[00:31:11.326 --> 00:31:17.109]  They're having defeat after defeat after defeat, and they're even saying in policy reports, we've lost control of the universities.
[00:31:17.109 --> 00:31:18.770]  They're not buying our propaganda.
[00:31:18.770 --> 00:31:21.231]  We're losing control of the alternative media.
[00:31:21.231 --> 00:31:25.453]  So they try to rush in to take control of it or to block the Internet.
[00:31:25.453 --> 00:31:25.994]  And at every
[00:31:27.678 --> 00:31:30.680]  It just makes people want the truth even more.
[00:31:45.567 --> 00:31:48.288]  And people need to realize that we're not the bad guys.
[00:31:48.288 --> 00:31:49.528]  So what if they're spying on us?
[00:31:49.528 --> 00:31:52.729]  Which, as you said, you know, the watchers can't watch us all.
[00:31:52.729 --> 00:31:55.630]  And most of the watchers are listening to us and waking up.
[00:31:55.630 --> 00:31:56.751]  We've got the truth.
[00:31:56.751 --> 00:31:57.971]  We're the good guys.
[00:31:57.971 --> 00:32:05.454]  I mean, I get up on air and I say, Dinecore and Hamilton are in the Chicago Tribune with giant child kidnapping rings and they have lobbyists in D.C.
[00:32:05.454 --> 00:32:06.754]  openly protecting them.
[00:32:06.754 --> 00:32:07.994]  And this is mainstream news.
[00:32:07.994 --> 00:32:09.855]  Are you for the child kidnappers?
[00:32:09.855 --> 00:32:11.456]  I mean, it's not that hard, Michael.
[00:32:11.456 --> 00:32:12.336]  We're the good guys.
[00:32:13.477 --> 00:32:15.779]  We definitely are, and we're now the mainstream.
[00:32:15.779 --> 00:32:22.585]  More people are getting their news from alternative radio shows and the internet than they do from the network TV news and newspapers.
[00:32:22.585 --> 00:32:27.589]  Paper newspapers are letting staff go left and right to deal with their decline in circulation.
[00:32:27.589 --> 00:32:32.033]  But in saying what you were saying before about they're playing catch-up,
[00:32:32.593 --> 00:32:35.194]  There's a military term, and it's called the initiative.
[00:32:35.194 --> 00:32:38.155]  It's who has the initiative in a conflict.
[00:32:38.155 --> 00:32:40.736]  And if they're playing catch-up, they've lost the initiative.
[00:32:40.736 --> 00:32:41.997]  And we have more than initiative.
[00:32:41.997 --> 00:32:43.137]  We have the motivation.
[00:32:43.137 --> 00:32:44.498]  It's called survival.
[00:32:44.498 --> 00:32:46.298]  And we have the moral authority.
[00:32:46.298 --> 00:32:47.399]  Yes, absolutely.
[00:32:47.399 --> 00:32:48.959]  We have the moral authority.
[00:32:48.959 --> 00:32:50.340]  And certainly going into Iran,
[00:32:50.880 --> 00:32:56.901]  And Sun Tzu said in Art of War, if you don't have the moral authority, you're not going to win the war.
[00:32:56.901 --> 00:32:59.902]  And we're going into Iran knowing we don't have the moral authority to do so.
[00:32:59.902 --> 00:33:11.565]  You know what the founder, the first Texas Ranger said, Captain Bill McDonald, no man in the wrong can stand up against a fellow that is in the right and keeps on a coming.
[00:33:11.565 --> 00:33:13.085]  Yes, absolutely that is true.
[00:33:14.807 --> 00:33:15.789]  And Michael, I've said it.
[00:33:15.789 --> 00:33:17.331]  I'm not going to be a slave to these people.
[00:33:17.331 --> 00:33:18.193]  I'm going to keep coming.
[00:33:18.193 --> 00:33:27.828]  They could have a gun to my head right now, and they could say, renounce freedom, renounce America, renounce decency, renounce, you know, don't stand up for the kids we're kidnapping and raping and killing.
[00:33:27.828 --> 00:33:29.711]  And I'd say, pull the trigger, you bastard!
[00:33:31.005 --> 00:33:34.026]  Isn't it going to be more effective to pull the trigger back in their direction?
[00:33:34.026 --> 00:33:35.006]  No, no, I agree.
[00:33:35.006 --> 00:33:38.167]  I'm just saying people have got to realize this is for all the marbles.
[00:33:38.167 --> 00:33:42.129]  We're dealing with really evil people, Michael, as you know, and we've just got to commit.
[00:33:42.129 --> 00:33:47.630]  We've got to throw in 100%, 110% commit.
[00:33:47.630 --> 00:33:49.191]  We've got to commit to this fight.
[00:33:49.191 --> 00:33:55.253]  You know, that's an old football term that you've got to go 110% or you're going to get hurt.
[00:33:55.253 --> 00:33:56.113]  And I found that in life.
[00:33:56.113 --> 00:33:56.613]  We've got to go 110%.
[00:33:56.613 --> 00:33:57.353]  Your take on that?
[00:33:59.894 --> 00:34:01.055]  Yeah, absolutely, that's true.
[00:34:01.055 --> 00:34:03.416]  This is no place for half measures.
[00:34:03.416 --> 00:34:08.019]  Thomas Paine said much the same thing with his summer soldiers and sunshine patriots.
[00:34:08.019 --> 00:34:11.601]  If you're just there when it's easy to be done, then you're not really helping the situation.
[00:34:11.601 --> 00:34:16.904]  You have to be in there fighting when things are going really, really wrong and really bad.
[00:34:16.904 --> 00:34:20.226]  That's when the effort is needed, and if you're not there making that effort, then you're going to lose.
[00:34:20.726 --> 00:34:28.150]  Well, I remember 12 years ago talking like this, and people thought I was a three-headed monster from Pluto, and now people are waking up, but you're right.
[00:34:28.150 --> 00:34:29.791]  They're waking up, but they're not moving.
[00:34:29.791 --> 00:34:33.273]  They still see you or I or somebody else as a leader.
[00:34:33.273 --> 00:34:37.735]  No, folks, this is everybody doing something, and doing something small that many hands make light work.
[00:34:38.374 --> 00:34:39.416]  Yeah, absolutely.
[00:34:39.416 --> 00:34:43.761]  We're not asking for people to go out and do anything dramatic or illegal.
[00:34:43.761 --> 00:34:48.788]  All we're saying is that the best thing you can be doing is talk to everybody you know about what you're learning.
[00:34:48.788 --> 00:34:52.433]  Talk to your friends, your neighbors, your hairstylist, your dentist, whatever.
[00:34:52.433 --> 00:34:55.537]  Just say, listen, what this country is doing is wrong.
[00:34:55.837 --> 00:35:05.780]  And what you're going to find is a lot of people who are thinking and feeling exactly the same that you are, but they're afraid to speak out because TV news has told them, oh, those people are all alone.
[00:35:05.780 --> 00:35:07.320]  Hardly anybody thinks that.
[00:35:07.320 --> 00:35:07.740]  Exactly.
[00:35:07.740 --> 00:35:15.502]  I'm a big fan of history just like you are, and there's been hundreds and hundreds of cases of where they literally draw the line in the sand and they go, like the Alamo,
[00:35:16.042 --> 00:35:17.723]  You know, we're going to go fight this enemy.
[00:35:17.723 --> 00:35:24.046]  They outnumber us 8 to 1, 10 to 1, or many other historical examples.
[00:35:24.046 --> 00:35:25.746]  And it takes a while.
[00:35:25.746 --> 00:35:27.507]  At first, nobody steps across.
[00:35:27.507 --> 00:35:29.688]  Then that first person does, and another, then another.
[00:35:29.688 --> 00:35:32.029]  Suddenly, everybody steps across.
[00:35:32.029 --> 00:35:34.730]  Somebody's got to hit the barbed wire.
[00:35:34.730 --> 00:35:35.791]  Yeah, absolutely.
[00:35:35.791 --> 00:35:38.452]  But in this case, you know, we're already the majority.
[00:35:39.057 --> 00:35:46.222]  The majority of Americans, according to even the media's polls, the majority of Americans think the government is lying to get us into these wars.
[00:35:46.222 --> 00:35:48.424]  They don't think the country is going in a good direction.
[00:35:48.424 --> 00:35:49.965]  They are opposed to the war.
[00:35:49.965 --> 00:35:56.390]  They see that the Congress and the President very clearly are not representing the will of the people in the handling of foreign policy.
[00:35:56.390 --> 00:36:02.614]  And they're beginning to get concerned because somewhere down the road, if we go into Iraq, there has to be a draft to fill those manpower needs.
[00:36:03.012 --> 00:36:07.654]  And that is when things are really going to start coming unglued, I think, for the neocon war machine.
[00:36:07.654 --> 00:36:09.655]  Well, yeah, let's talk about that and then go to some calls.
[00:36:09.655 --> 00:36:12.677]  A lot of folks are holding there.
[00:36:12.677 --> 00:36:21.641]  Going back, we have this so-called volunteer military, but really they just recruit out of the poor areas where people really don't have any other options or don't think they do.
[00:36:21.641 --> 00:36:27.044]  We know that they've done everything they can to try to exacerbate that, they even say that.
[00:36:27.044 --> 00:36:28.765]  They've set up the draft boards, they've
[00:36:29.185 --> 00:36:29.465]  I think so.
[00:36:52.222 --> 00:36:52.882]  What are they going to do?
[00:37:12.720 --> 00:37:20.105]  Well, obviously, you know, starting a draft before the November elections is definitely going to get the electorate very upset.
[00:37:20.105 --> 00:37:28.290]  But as you said, there is an economic draft in effect, and a lot of people are suggesting that some of the economic hardships that are being felt in this country
[00:37:28.750 --> 00:37:37.116]  ...are intentionally caused in order to make the military the only option for people coming out of school, people trying to get out of the ghettos they were brought up in.
[00:37:37.116 --> 00:37:37.637]  Well, look at it.
[00:37:37.637 --> 00:37:48.045]  The whole economy is shifting over where, oh, there's no scholarship there for you to be a doctor or a teacher or a librarian, but there's a scholarship there for you to go into Homeland Security.
[00:37:48.045 --> 00:37:54.669]  They're shifting the economy over, and the same private interests own that, so they're also shifting the purse into their systems.
[00:37:55.811 --> 00:37:56.972]  Yeah, absolutely.
[00:37:56.972 --> 00:38:04.583]  And then, of course, for those people who are already in the military, the government is going through all these little legal loopholes to extend their service.
[00:38:04.583 --> 00:38:07.527]  There are people starting their fifth tour.
[00:38:07.527 --> 00:38:08.588]  Yeah, absolutely.
[00:38:08.588 --> 00:38:10.531]  And that was not the contract that they signed.
[00:38:10.891 --> 00:38:11.991]  But because it's the U.S.
[00:38:11.991 --> 00:38:19.014]  government, the government can change the contract, you know, with the presidential fiat, and these people are still stuck in Iraq.
[00:38:19.014 --> 00:38:29.798]  There was one story that came through today that just absolutely floored me, of a soldier who was wounded in Iraq, and while he was being cared for, they took off his body armor and lost track of it.
[00:38:29.798 --> 00:38:34.900]  So he's getting out of the army because he's permanently wounded and can't serve anymore.
[00:38:35.280 --> 00:38:41.146]  And the Army bills him for the missing body armor, which didn't even protect him in the first place, and they're making him pay $700.
[00:38:41.146 --> 00:38:42.347]  That's right.
[00:38:42.347 --> 00:38:48.473]  There's this big scammer who admittedly sold and made hundreds of millions of dollars, sold defective body armor to him.
[00:38:48.473 --> 00:38:52.677]  Well, you know, they pay $4 a meal when they're at Rammstein in the hospital.
[00:38:52.677 --> 00:38:56.101]  They make men with their legs and arms blown off pay for their meals.
[00:38:56.101 --> 00:38:57.322]  That's never before been done.
[00:38:57.822 --> 00:39:09.037]  Yeah, it is absolutely shameful the way, you know, you figure that at the very least, these kids in uniform, you have to respect them for walking their talk, for having the courage of their commitments, for keeping their words.
[00:39:09.037 --> 00:39:15.206]  They're very wonderful people and at the very least you should treat them with the respect and the care that they deserve for having stepped out there.
[00:39:15.746 --> 00:39:21.171]  Even if you don't agree with the war, you have to support those troops, and this is not supporting the troops to make them pay for missing the war.
[00:39:21.171 --> 00:39:24.453]  Oh yeah, and they're also quite supporting the troops by keeping them in a bad position.
[00:39:24.453 --> 00:39:25.014]  It's a fraud.
[00:39:25.014 --> 00:39:26.515]  No, you support them by taking them back.
[00:39:26.515 --> 00:39:33.080]  When I was out in Crawford, when Sheehan was out there, I would talk to these neocons, and they were all defense contractors, former military, all of them.
[00:39:33.080 --> 00:39:34.101]  And they were like brain-dead.
[00:39:34.101 --> 00:39:38.044]  I'd say, well, they're doing this, and they wouldn't even deny that, and they just said, well, we're supporting them.
[00:39:38.044 --> 00:39:40.446]  But supporting them means not really caring about the troops.
[00:39:40.446 --> 00:39:41.387]  It means just forgetting them.
[00:39:42.176 --> 00:39:44.998]  Yeah, I've seen a lot of people claiming we support the troops.
[00:39:44.998 --> 00:39:48.740]  What they support is they support the war, and they're trying to map that onto the troops.
[00:39:48.740 --> 00:39:53.062]  But you don't support the troops by sending them out for trivial reasons, for personal gain.
[00:39:53.062 --> 00:39:58.585]  You don't put them in harm's way for reasons that are completely alien to the concept of defending the national security.
[00:39:58.585 --> 00:40:08.430]  Well, I mean, that would be like if somebody signed up to be a firefighter, and you told them, no, I'm gonna, you know, make you go, you know, dig ditches at my private business.
[00:40:08.430 --> 00:40:09.791]  I mean, it's a fraud.
[00:40:10.385 --> 00:40:13.768]  Yeah, it absolutely is, and it is a terrible misuse of our kids.
[00:40:13.768 --> 00:40:21.634]  And if we owe anything to these soldiers in uniform, it is that we do not risk their life and their safety for trivial, uh, you know, causes.
[00:40:21.634 --> 00:40:26.017]  Remember when the Pentagon said that we're going to have a Pentagon betting service on how many troops will die?
[00:40:27.155 --> 00:40:40.004]  Yeah, I remember seeing that one, and the other one that caught my eye this last week is the Pentagon is now setting up a service to guide soldiers in the correct selection of a future bride, or future spouse, rather.
[00:40:40.004 --> 00:40:42.426]  Yeah, one who will submit to the military's brainwashing.
[00:40:42.426 --> 00:40:43.506]  Let me ask you a question.
[00:40:43.506 --> 00:40:45.808]  Why do you think the neocons are so arrogant?
[00:40:45.808 --> 00:40:48.090]  I mean, the tires are blowing out on the military.
[00:40:48.090 --> 00:40:52.012]  They're bald, the metal's showing, the radio is showing.
[00:40:52.012 --> 00:40:55.875]  Why do the globalists just think this can go on forever?
[00:40:56.659 --> 00:41:01.960]  Well, I think, first of all, they obviously don't care what the costs and consequences of the wars are going to be.
[00:41:01.960 --> 00:41:03.841]  They feel they're serving a higher purpose.
[00:41:03.841 --> 00:41:15.423]  I think in a lot of cases, they may actually be unaware of what the realities are on the ground, because underneath these people at the top, you've got all these mid-managers whose job it is to provide isolation.
[00:41:15.423 --> 00:41:19.304]  They don't want the superiors to get angry or to give up hope.
[00:41:19.304 --> 00:41:20.284]  They're called yes-men.
[00:41:20.284 --> 00:41:21.105]  Let's take a call.
[00:41:21.105 --> 00:41:22.385]  Who's first up here in line?
[00:41:24.648 --> 00:41:26.109]  Bill and KC, thanks for holding.
[00:41:26.109 --> 00:41:27.069]  Go ahead.
[00:41:27.069 --> 00:41:28.010]  Oh, hi Alex.
[00:41:28.010 --> 00:41:30.811]  I'm a first-time caller, but I really appreciate what you're doing.
[00:41:30.811 --> 00:41:31.452]  You're so bold.
[00:41:31.452 --> 00:41:33.953]  It inspires me a lot.
[00:41:33.953 --> 00:41:36.494]  It makes me think of Revelation 3.9.
[00:41:36.494 --> 00:41:42.197]  It says that God will make the people that say that they're Jews, but they're not Jews.
[00:41:42.197 --> 00:41:44.318]  He'll make them the synagogue of Satan.
[00:41:44.318 --> 00:41:47.940]  So those people over there, if you look at Revelation 3.9, you'll see that that's what it says.
[00:41:48.220 --> 00:41:52.864]  Well, there are people in control of Israel that could care less about Israel.
[00:41:52.864 --> 00:41:56.987]  You know, you can't do news reports criticizing the government over there.
[00:41:56.987 --> 00:41:58.789]  You get arrested, folks.
[00:41:58.789 --> 00:42:02.271]  And most of the people in Israel now in the polls, what is it, 60%?
[00:42:02.271 --> 00:42:03.232]  They're like Americans.
[00:42:03.232 --> 00:42:04.533]  They don't like it either.
[00:42:04.533 --> 00:42:11.059]  And so there is a, just like every other country, a group in control over there that does not have their own people's best interest at heart.
[00:42:11.059 --> 00:42:11.279]  Michael?
[00:42:12.006 --> 00:42:13.007]  Yeah, absolutely.
[00:42:13.007 --> 00:42:23.802]  We're looking at world events that are orchestrated by corrupt, greedy individuals who just see the world as a giant playset to play a game on, and whoever gets the most goodies wins.
[00:42:24.469 --> 00:42:32.992]  And very clearly, you know, they are immune to the suffering that their little game causes, and they don't represent the will of the people.
[00:42:32.992 --> 00:42:36.973]  You cannot blame all Americans for the crimes of Bush and the CIA.
[00:42:36.973 --> 00:42:40.834]  You cannot blame all the world's Jewish people for the crimes of the Mossad.
[00:42:40.834 --> 00:42:41.594]  We'll be right back.
[00:42:41.594 --> 00:42:42.195]  We'll be right back.
[00:42:42.195 --> 00:42:42.715]  We've got a break.
[00:42:42.715 --> 00:42:43.095]  Stay with us.
[00:42:43.095 --> 00:42:43.435]  More calls.
[00:42:44.992 --> 00:42:48.115]  There is a secret that holds the world's destiny in its grasp.
[00:42:48.115 --> 00:42:50.017]  Hello my friends, Alex Jones here.
[00:42:50.017 --> 00:42:55.022]  Learn that secret with my new film, Martial Law 9-11 Rise of the Police State.
[00:42:55.022 --> 00:42:59.906]  Martial Law plumbs the depths of the New World Order's ideology, their philosophy.
[00:42:59.906 --> 00:43:04.050]  Out of the ashes of the September 11th tragedy, a dark empire of war and tyranny has risen.
[00:43:04.270 --> 00:43:07.213]  The Constitution has been shredded, and America is now a police state.
[00:43:07.213 --> 00:43:12.077]  This film exposes not just who was behind the 9-11 attacks, but the roots and history of its orchestrators.
[00:43:12.077 --> 00:43:16.721]  Martial Law is a blazing spotlight piercing the electronic Berlin Wall of controlled corporate media.
[00:43:16.721 --> 00:43:24.208]  Plumb the depths of the elite's minds, their ideology, their driving philosophy, and uncover the power-mad cult of death that has sworn to turn the Earth into a prison planet.
[00:43:24.208 --> 00:43:26.790]  Discover the documented truth for yourself before it's too late.
[00:43:26.790 --> 00:43:28.532]  Call toll-free to get a copy of Martial Law.
[00:43:28.592 --> 00:43:32.037]  1-888-253-3139 or visit InfoWars.com and the secure shopping cart.
[00:43:32.037 --> 00:43:36.643]  That's InfoWars.com or 888-253-3139 or watch the film right now online at PrisonPlanet.tv
[00:43:44.742 --> 00:43:48.103]  The Berkey Light is your premier source for purified water.
[00:43:48.103 --> 00:43:56.925]  It's portable and requires no water pressure, so you can enjoy healthy drinking water whether it's during normal times or hostile environments like a local or national emergency.
[00:43:56.925 --> 00:44:02.387]  That's because it can purify raw, untreated water from remote lakes and stagnant ponds.
[00:44:02.387 --> 00:44:09.069]  The Berkey Light is unique because it removes pathogenic bacteria, cyst parasites, and harmful chemicals to below detectable levels.
[00:44:09.489 --> 00:44:21.752]  It also removes foul taste and odors, like the rotten egg smell of sulfide, and it extracts nitrates and unhealthy minerals, like lead and mercury, while leaving in the healthful and nutritional minerals that your body needs.
[00:44:21.752 --> 00:44:26.374]  The Berkey Light's rechargeable LED lighting system is so bright, it can be used as a reading light.
[00:44:26.374 --> 00:44:30.275]  Get the Berkey Light for only $259 by calling New Millennium at
[00:44:31.295 --> 00:44:32.076]  803-4438.
[00:44:32.076 --> 00:44:34.577]  And tell them Alex Jones sent you.
[00:44:34.577 --> 00:44:36.679]  That's toll-free, triple 8.
[00:44:36.679 --> 00:44:37.179]  803-4438.
[00:44:37.179 --> 00:44:40.982]  Or order on the web at murkywater.com.
[00:44:40.982 --> 00:44:45.325]  Not yet available in Iowa.
[00:44:45.325 --> 00:44:51.489]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[00:44:51.489 --> 00:44:53.951]  We specialize in keeping you alive and healthy.
[00:44:53.951 --> 00:45:00.275]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[00:45:00.615 --> 00:45:01.276]  We're good to go!
[00:45:30.134 --> 00:45:33.395]  We have been working hard since 1988 to save the remnant.
[00:45:33.395 --> 00:45:47.719]  That's HerbalHealer.com, your website for safe, effective natural alternatives and education.
[00:45:47.719 --> 00:45:51.620]  Alright, welcome back ladies and gentlemen.
[00:45:51.620 --> 00:45:54.520]  We don't need any thought control.
[00:45:54.520 --> 00:45:56.461]  No dark sarcasm in the classroom.
[00:45:57.802 --> 00:46:01.624]  So many people think they're part of this power structure when it's actually using them.
[00:46:01.624 --> 00:46:06.826]  And it's time for them to wake up that they're being treated like a bunch of idiots.
[00:46:06.826 --> 00:46:08.347]  Michael Rivero has been joining us today.
[00:46:08.347 --> 00:46:09.507]  We're almost out of time.
[00:46:09.507 --> 00:46:12.728]  I'm going to take a few final calls from Cliff, Jim, and Dan if we have time.
[00:46:12.728 --> 00:46:15.990]  Just briefly here at the end of the broadcast, be sure to go to WhatReallyHappened.com.
[00:46:15.990 --> 00:46:16.730]  It's a great website.
[00:46:16.730 --> 00:46:18.971]  A lot of new books.
[00:46:18.971 --> 00:46:23.513]  A lot of new videos that we're carrying up on InfoWars.com.
[00:46:23.513 --> 00:46:25.574]  A lot of new specials on DVDs and videos.
[00:46:26.957 --> 00:46:32.505]  I just posted Tex Marr's interview we did in studio, the videotaped interview.
[00:46:32.505 --> 00:46:35.750]  We just put up Blue's Change 2 by Dylan Avery for members.
[00:46:35.750 --> 00:46:38.635]  My new film Martial Law is up there, The Order of Death is there.
[00:46:38.635 --> 00:46:39.476]  Prison Planet!
[00:46:40.632 --> 00:46:41.113]  Thank you.
[00:47:03.167 --> 00:47:03.807]  Yes, same here.
[00:47:03.807 --> 00:47:06.369]  Michael is a very astute researcher.
[00:47:06.369 --> 00:47:08.231]  That's what I was going to tell you before.
[00:47:08.231 --> 00:47:10.232]  I've been hanging on a long time about the oil.
[00:47:10.232 --> 00:47:14.415]  He's saying that they're going to change to the Euro.
[00:47:14.415 --> 00:47:15.917]  They're filing for it now, the same as Saddam.
[00:47:26.139 --> 00:47:31.403]  It was trying to do, and that's why they're going to take Iran out, because it will destroy America's economy.
[00:47:31.403 --> 00:47:34.726]  And the question is for Michael, why are they so bold in Iran?
[00:47:34.726 --> 00:47:36.947]  I mean, they know this is going to get them attacked.
[00:47:36.947 --> 00:47:37.768]  Oh, you bet they are.
[00:47:37.768 --> 00:47:42.251]  Yeah, I think Iran is looking at the struggle the U.S.
[00:47:42.251 --> 00:47:49.116]  is dealing with in Iraq and realizing that Iran could win a prolonged guerrilla war on their own territory.
[00:47:49.116 --> 00:47:54.280]  And, yeah, they're acting like they know that they could do another Vietnam on us.
[00:47:54.640 --> 00:47:59.087]  That's very correct, and I'd like to make one last comment about CPS, Alex.
