[00:00.000 --> 00:01.000]  Kinsley
[01:03:34.760 --> 01:03:41.760]  There seems to be a detached, it looks like a solitary confinement box that we're looking at right now.
[01:03:41.760 --> 01:03:49.760]  Of course, the double gates to let you in. There seems to be a greenhouse in the background but we'll go around the side of the building and look.
[01:03:49.760 --> 01:03:57.760]  But there are these massive, long, custom vans that I don't know how to really describe them.
[01:03:57.760 --> 01:04:01.760]  They're almost the cross between like a large shuttle bus and a small 18-wheeler.
[01:04:01.760 --> 01:04:08.760]  And we'll get some footage of that for you guys, too, but lots of brand new equipment here. No doubt about it.
[01:04:08.760 --> 01:04:12.760]  And they seem to be big employers around here right now.
[01:04:12.760 --> 01:04:19.760]  We've seen a constant stream of contractors, plumbers, electricians coming in and out of the building right now.
[01:04:19.760 --> 01:04:26.760]  And there was some question that we were filming people's faces earlier and that may not be allowed and they may want to review what we've seen.
[01:04:26.760 --> 01:04:29.760]  Excuse me. That's not going to happen.
[01:04:29.760 --> 01:04:36.760]  Kevin, let me just give you a news flash. You work for me. You're there. This is the United States and they're telling you you're not allowed to...
[01:04:36.760 --> 01:04:42.760]  They're secret agents at the FEMA camp and you're not supposed to see folks. See, I mean, this illustrates everything.
[01:04:42.760 --> 01:04:51.760]  I want you to get in the car right now, Kevin, and I want you to go around and get footage at the back and show that playground we've already got photos of for the children.
[01:04:51.760 --> 01:04:59.760]  And then I want you to get away from that location and then prepare for further orders after that off air, okay?
[01:04:59.760 --> 01:05:00.760]  You got it.
[01:05:00.760 --> 01:05:06.760]  Get in the car right now. I'm not going to let those goons get my $6,000 and $5,000 cameras.
[01:05:06.760 --> 01:05:13.760]  We've already had trips before at gunpoint one time in San Antonio. Take our camera, take our footage of Delta Force.
[01:05:13.760 --> 01:05:20.760]  It's nothing like having a big MP, black MP pointed gun at you. Mike Hansen got to enjoy that.
[01:05:20.760 --> 01:05:29.760]  All right. We'll be right back. Kevin, stay on your cell phone and I want you to get into the car right now and I want you to move out of there.
[01:05:29.760 --> 01:05:36.760]  All right. We'll be right back. Stay with us.
[01:05:36.760 --> 01:05:42.760]  It's here after a year in production and traveling to distant lands. My new film Terror Storm is complete.
[01:05:42.760 --> 01:05:50.760]  Shocking, declassified government documents prove that Western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:05:50.760 --> 01:05:58.760]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:05:58.760 --> 01:06:10.760]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spy, secret police torture, the latest 9-11 information, and much, much more.
[01:06:10.760 --> 01:06:16.760]  Terror Storm is the definitive guide to the history of government sponsored terrorists. It's an anthology of government crimes.
[01:06:16.760 --> 01:06:20.760]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:06:20.760 --> 01:06:32.760]  Get your copy today at infowars.com or prisonplanet.com or by calling toll-free 1-888-2533139 or watch it right now online at prisonplanet.tv.
[01:06:32.760 --> 01:06:41.760]  More than 700 chemicals have been found in our drinking water and did you know that you can have greater exposure to these chemicals by taking hot showers than when you drink the water?
[01:06:41.760 --> 01:06:46.760]  That's because many chemicals are inhaled when they evaporate and others are absorbed through the skin.
[01:06:46.760 --> 01:06:55.760]  The KDF Shower Filter is designed to reduce chlorine, lead, mercury, and iron and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[01:06:55.760 --> 01:06:59.760]  The media is non-toxic, environmentally sound, and is recyclable.
[01:06:59.760 --> 01:07:04.760]  The KDF Shower Filter will typically last 10,000 gallons or one year, whichever comes first.
[01:07:04.760 --> 01:07:11.760]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:07:11.760 --> 01:07:21.760]  What about you? Order your KDF Shower Filter, normally $49, for a special price of only $35 of $14 savings.
[01:07:21.760 --> 01:07:32.760]  Call now to order at 1-888-803-4438. Order today and save $14 by calling 1-888-803-4438.
[01:07:32.760 --> 01:07:39.760]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[01:07:39.760 --> 01:07:48.760]  Well, the glass has a natural resonance. If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[01:07:48.760 --> 01:07:54.760]  Using this similar principle, Royal Raymond Wright discovered that disease organisms can be destroyed using different resonant frequencies.
[01:07:54.760 --> 01:08:02.760]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions with no side effects.
[01:08:02.760 --> 01:08:11.760]  1-886-BioSolutions Plus is the easiest to operate frequency instrument ever developed. Its easy reference guide will allow you to begin using the instrument within minutes.
[01:08:11.760 --> 01:08:17.760]  Simple step-by-step instructions using pictures are easy to follow. Customer satisfaction is guaranteed or your money back.
[01:08:17.760 --> 01:08:25.760]  Don't just treat symptoms. Eliminate the cause. For more information, call BioSolutions toll-free 1-866-885-6625.
[01:08:25.760 --> 01:08:32.760]  That's 1-866-885-6625. 1-866-885-6625.
[01:08:32.760 --> 01:08:40.760]  These the T-Rex of political talk. Alex Jones on the GCN Radio Network.
[01:08:40.760 --> 01:08:50.760]  Alright, the national media admits that there is a homeland security private FEMA camp just north of Austin in Taylor, Texas.
[01:08:50.760 --> 01:08:59.760]  This is in the metro area of Austin. I've got Aaron Dykes on camera and Kevin Smith reporting from the location.
[01:08:59.760 --> 01:09:06.760]  He's told me a lot more off-air. They've been told by three separate groups to turn their cameras off.
[01:09:06.760 --> 01:09:11.760]  This is off their property, off the prison property on private property.
[01:09:11.760 --> 01:09:19.760]  Across the street, they've also heard loud discussions which we got on tape saying that they may try to get our tapes and review them.
[01:09:19.760 --> 01:09:25.760]  This is the US. You understand? We'll videotape what we want to out there at your little FEMA camp.
[01:09:25.760 --> 01:09:30.760]  I've been outside prisons before and had them say, you know, turn your camera off, get out of here.
[01:09:30.760 --> 01:09:32.760]  Because they're used to shoving prisoners around.
[01:09:32.760 --> 01:09:38.760]  Now in the new America, everybody's a prisoner and so, you know, these jail guards get to have their fun with people.
[01:09:38.760 --> 01:09:44.760]  But I want you to know, national TV's been out there, the statesman's been out there, everybody's been out there.
[01:09:44.760 --> 01:09:48.760]  And if you discriminate against us, I will sue you.
[01:09:48.760 --> 01:09:52.760]  And you may beat the rap, but you're not going to beat the ride.
[01:09:52.760 --> 01:09:56.760]  I mean, I will nuisance lawsuit people. I don't care about money.
[01:09:56.760 --> 01:10:00.760]  You say, that's what's dangerous about us. We'll just sue you.
[01:10:00.760 --> 01:10:07.760]  Kind of like we sued the city and their operatives here and one of them just was convicted and sent to prison for fraud.
[01:10:07.760 --> 01:10:10.760]  We sued them for something else, but we knew fraud was going on.
[01:10:10.760 --> 01:10:15.760]  And in the disclosures and in the fleshing amount, people went to jail.
[01:10:15.760 --> 01:10:20.760]  Others are on their way to jail. So just don't violate my rights and don't try it.
[01:10:20.760 --> 01:10:27.760]  And don't you dare do anything to my employees or I'll sue you and your company seven ways to Sunday.
[01:10:27.760 --> 01:10:35.760]  You understand? You twits up there running that FEMA camp want to try to razz my people and get their cameras taken.
[01:10:35.760 --> 01:10:42.760]  You call the Taylor PD and you have them go out there and you have the Taylor PD that probably knows more about the Constitution.
[01:10:42.760 --> 01:10:51.760]  Try to try to trump something up. And if they violate any of our constitutional rights that our forefathers fought and died for, I'll sue them into oblivion.
[01:10:51.760 --> 01:10:57.760]  You understand? I'll go drop 10, 20, 30 thousand dollars on it.
[01:10:57.760 --> 01:11:02.760]  I'll get mean lawyers. That's what we do. Don't mess with us.
[01:11:02.760 --> 01:11:08.760]  Trying to get the news for the people, you punks.
[01:11:08.760 --> 01:11:13.760]  Kevin's going to be calling in from another location around the FEMA camp.
[01:11:13.760 --> 01:11:20.760]  And again, as the Houston Chronicle reported, as Rex 84 ought to get that queued up, two of my people are gone.
[01:11:20.760 --> 01:11:23.760]  We'll be doing that here at the office. It's in my film, The Takeover.
[01:11:23.760 --> 01:11:37.760]  It's in my film, American Show by Design, the Senate hearings where they admit FEMA camps, FEMA camps that they would first sell it in the name of putting illegal aliens in them.
[01:11:37.760 --> 01:11:45.760]  But they would also put US citizens in them. And now the Houston Chronicle reported last year that's exactly what they're doing.
[01:11:45.760 --> 01:11:55.760]  And they're putting other than Mexicans in there. They've got people in there and the descriptions of it, the children separated from their parents in one area, the women in another, the men in another.
[01:11:55.760 --> 01:12:01.760]  Well, you saw the Marines trying to do it in my film, Police Day 2000.
[01:12:01.760 --> 01:12:12.760]  We've gone from 1.3 million in the prison system a decade ago to over 7 million in the system, 4 million plus behind bars.
[01:12:12.760 --> 01:12:23.760]  And you got to love it. The federal government's putting in emergency command centers everywhere, tracking our cell phones, face scanning cameras everywhere, many towns run every plate that drives through their town.
[01:12:23.760 --> 01:12:27.760]  They got cameras on us, but they don't want cameras on them.
[01:12:27.760 --> 01:12:34.760]  Hey, it's called the First Amendment. What's it going to be next? They've got free speech zones now. Will it be First Amendment zones for news gathering?
[01:12:34.760 --> 01:12:38.760]  I've had so many police over the years march up and tell me to turn cameras off.
[01:12:38.760 --> 01:12:46.760]  And if you're not up involved disrupting what they're doing, you'll be 50 yards away on a highway overpass on a sidewalk videotaping them at a checkpoint.
[01:12:46.760 --> 01:12:51.760]  They'll run over and say, turn your cameras off. Well, you've seen the footage and I say, no. First Amendment.
[01:12:51.760 --> 01:12:57.760]  Well, I'm going to arrest you. You go ahead. I want your name. I'm going to sue you.
[01:12:57.760 --> 01:13:04.760]  And they know when you're telling the truth. This is all at an animal instinct level, folks. They know I'm telling the truth. They know I mean it.
[01:13:04.760 --> 01:13:14.760]  I mean what I say. And I said what I meant. An elephant's faithful 100%.
[01:13:14.760 --> 01:13:23.760]  The little lion from Horton had an egg or whatever the story is. All right, I'm going to shut up. I'm really mad right now.
[01:13:23.760 --> 01:13:29.760]  Meanwhile, on the heels of this, half of our infantry by the end of this decade will be illegal alien foreigners.
[01:13:29.760 --> 01:13:35.760]  Michael Rivera joining us from Hawaii. He'll be starting his own talk show here soon on the GCN Radio Network.
[01:13:35.760 --> 01:13:39.760]  Michael, every time you're on the show, it's some huge news day. How are you doing?
[01:13:39.760 --> 01:13:46.760]  Well, I don't think it has anything to do with me, but man, my phone is smoking from listening to you. You've got me convinced.
[01:13:46.760 --> 01:13:50.760]  I'm not going to mess with Texas here.
[01:13:50.760 --> 01:13:55.760]  I know you've been covering the FEMA Camps and how they built them and what they're doing. You want to comment on it?
[01:13:55.760 --> 01:14:01.760]  Yeah, this has been going on for a lot of years. We've seen maps of these camps that are being sent up.
[01:14:01.760 --> 01:14:08.760]  Whether they're called detention centers or transition points or the various euphemisms that are used to sort of conceal what they are.
[01:14:08.760 --> 01:14:18.760]  Functionally, what they are, they are concentration camps. They are large areas that are designed to hold large numbers of people and keep them under control.
[01:14:18.760 --> 01:14:31.760]  They don't even come up to the standards that are supposedly for civilian prisons, but they are located strategically all across the United States at various rail transit points where various railroads come together.
[01:14:31.760 --> 01:14:33.760]  You will usually find one.
[01:14:33.760 --> 01:14:37.760]  That's what Kevin was just saying. There's a huge railroad going right into the camp.
[01:14:37.760 --> 01:14:39.760]  Absolutely.
[01:14:39.760 --> 01:14:46.760]  Railroad is still the most efficient way to transport large masses of people on land.
[01:14:46.760 --> 01:14:50.760]  Anytime anybody has built any concentration camps, Germany did exactly the same.
[01:14:50.760 --> 01:14:57.760]  They were always located near major rail centers. They always had their own railroad sightings that went right into the camps.
[01:14:57.760 --> 01:15:14.760]  Yes, it is very clearly set up for mass detention. Clearly, plans are being laid for the government if it feels it necessary to simply arrest large numbers of people, throw them in these camps without warrant, without judicial review.
[01:15:14.760 --> 01:15:25.760]  That's word for word, Michael Rivera of www.whatreallyhappened.com. That's word for word in the John Warner Defense Authorization Act of 2007 that frankly is even worse than the Military Commissions Act.
[01:15:25.760 --> 01:15:38.760]  Yes, and the wording actually goes back to a lot of what are so-called the FEMA Executive Orders. Some of these go back actually to Nixon's administration and Gerald Ford's, who has just been buried as we speak.
[01:15:38.760 --> 01:15:51.760]  But basically it is a wartime declaration of being able to simply grab people and get them out of the way during any period that the government can declare a national emergency of some kind.
[01:15:51.760 --> 01:16:03.760]  And clearly as we see the U.S. government continuing to move towards another war in Iran against the very obvious will of the American people, somewhere down the road there is going to be a crisis of some kind.
[01:16:03.760 --> 01:16:14.760]  And clearly the U.S. government is preparing to simply come down very hard on the American people at the point where the American people no longer want to follow along with what the government is doing.
[01:16:14.760 --> 01:16:31.760]  Well they have been gearing the entire society for crisis response, building FEMA centers in every major city. In 1999 we went and videotaped, before it was even on local Fox News, we put it in my film The Takeover when they reported on it, that they took a 747 hanger, put bolts and chains in the floor, barbed wire fences inside,
[01:16:31.760 --> 01:16:45.760]  put porta-potties in areas for men, women and children, and then we went out and interviewed the guards and the people and they said, yeah, it's some secret camp, and then Fox had to respond to me, again, it's in my film Takeover folks, you can watch it for free on Google Video, police state to The Takeover, The Takeover.
[01:16:45.760 --> 01:17:05.760]  We'll get it in the DVD box that we're now selling, of all three of my police state classics, and they said it's for during emergencies, overflow during riots, riots in Austin, building secret facilities, and then we looked at the RNC, run by Bechtel, George Shultz, 2004, a huge 1930s bus terminal,
[01:17:05.760 --> 01:17:17.760]  Pier 57, over 2,000 people held at one time, barbed wire fences, bolts and chains, exact same MO, they have these in every even mid-sized cities like Austin, they're not playing games.
[01:17:17.760 --> 01:17:30.760]  No, they absolutely aren't, and along with these very obvious concentration camp prison facilities, mass detention facilities, as you mentioned earlier, they're also building all these underground command posts,
[01:17:30.760 --> 01:17:44.760]  and I remember when I was still living in Los Angeles, we saw one that was built underneath Griffith Park in the middle of Los Angeles, we saw the construction going on, my wife is involved in the architectural industry or was back then before we started.
[01:17:44.760 --> 01:17:50.760]  And now they've announced these fusion centers or federal control arms with CIA and FBI agents over the local community.
[01:17:50.760 --> 01:18:02.760]  Absolutely, but the really intense thing are these underground facilities that they're building, they're impossible to get to, they're very expensive, my wife and I went through the Northridge earthquake in Los Angeles,
[01:18:02.760 --> 01:18:11.760]  and when FEMA came in there, very little money was actually handed out to any of the earthquake victims, most of it was all spent to build this new underground emergency command postman.
[01:18:11.760 --> 01:18:19.760]  Same thing with the 200 billion for Katrina, that's why they let these disasters get as bad as possible to get more funds, and then that's used on the control infrastructure.
[01:18:19.760 --> 01:18:33.760]  Yeah, absolutely, and we even have one here on the island of Oahu on the H3 Freeway, which was this multi-billion dollar road to connect the Kaneohe Marine base with the center island military bases,
[01:18:33.760 --> 01:18:39.760]  and it has this tunnel complex in the middle of it, which if you look at it, it's very obvious there's a lot more than just tunnels involved there.
[01:18:39.760 --> 01:18:50.760]  So there's all these driveways that go inside the mountains and all of these windows that peek out, and it really does look like a fortress. I should send you a picture of that.
[01:18:50.760 --> 01:19:02.760]  And of course, we have Giuliani's little command bunker and building 7 on 9-11. Well, there's no debating, and I mean, the executive order said they can put us all in forced labor camps, use us as slave labor, break up our families.
[01:19:02.760 --> 01:19:12.760]  I don't know if you've ever seen Police State 2000, Mike, but I mean, I have the Marines admitting it's for the U.S. and admitting their training to break up our families and take our guns and put us in camps.
[01:19:12.760 --> 01:19:23.760]  Then I had Thomas Sanchez, emergency management head, highly decorated Vietnam veteran, the head of Kingsville's Emergency Management, and they called him in and said we're going to do drills for gun confiscation and takeover of the government,
[01:19:23.760 --> 01:19:31.760]  and he said hell no and came on my radio show and even went on national TV and exposed it back in 99. I mean, this has been going on a while.
[01:19:31.760 --> 01:19:45.760]  Yes, it has. Back in the mid-90s, there was a test called the Combat Arms Survey administered to the Marine Corps who are exempt from Possecomitatus, and it basically came down to would you be willing to shoot Americans who refused gun confiscation?
[01:19:45.760 --> 01:20:00.760]  And it was a bit of a scandal at the time, but it underscores that this planning to transform the United States into a totally disarmed population of subservient subjects or tenants has really been going on for quite a long time now.
[01:20:00.760 --> 01:20:08.760]  But now they're hot and heavy building these things like mushrooms after a big rain because they know they're getting ready to implode the economy, launch more wars.
[01:20:08.760 --> 01:20:19.760]  Absolutely, and clearly we're seeing the build up towards an invasion of Iran and the lesson of the midterm election and the will of the people is clearly not a factor in the plan.
[01:20:19.760 --> 01:20:27.760]  Mike Rivera, I want to talk about your new show that starts this weekend. I also want to get another update from Kevin. Every time we get off the phone with him, they come up to him again.
[01:20:27.760 --> 01:20:32.760]  If you're there at the FEMA camp, we'll check in with him as well. Stay with us.
[01:20:58.760 --> 01:21:08.760]  $100,000 now has a net purchasing power of $68,000. Here is reality. The devaluation of currency equals real inflation.
[01:21:08.760 --> 01:21:16.760]  Keep in mind how the value of your paper assets are measured in dollars. Gold in the same timeframe increased 35% in value.
[01:21:16.760 --> 01:21:33.760]  Learn how to protect and profit in this truly unstable world economy. Call Midas Resources at 1-800-686-2237. That's 1-800-686-2237.
[01:21:33.760 --> 01:21:41.760]  Good morning, honey. Wow, the weather is beautiful. The cabin is terrific and it's the first day of our vacation.
[01:21:41.760 --> 01:21:49.760]  Yeah. Honey, is there something wrong? Yeah, I just realized we forgot to pack the travel-burky system. I can't drink this cabin water.
[01:21:49.760 --> 01:21:57.760]  And what am I going to do when I'm out on the lake? Now the whole vacation is ruined. Honey, cheer up. I brought our sport-burky purifiers.
[01:21:57.760 --> 01:22:09.760]  What? Yeah, I know you're picky about not having pathogenic bacteria, organic chemicals, heavy metals or foul tastes and odors in the water, so I packed our sport-burky purifiers.
[01:22:09.760 --> 01:22:14.760]  You know, this is a terrific cabin. And wow, have you noticed the beautiful weather?
[01:22:14.760 --> 01:22:24.760]  Don't ruin your vacation. Get a travel-burky today for only $209 or get a sport-burky for only $39. Call 888-803-4438.
[01:22:24.760 --> 01:22:40.760]  That's 888-803-4438 or order on the web at burkywater.com. Travel-burky.net available in Iowa.
[01:22:55.760 --> 01:23:03.760]  Is your guaranteed right to freedom of speech, assembly, religion, privacy and to own a gun important to you?
[01:23:03.760 --> 01:23:12.760]  We'd like to help you understand while these things are happening but offering you an absolutely free one-year subscription to NewsWatch Magazine.
[01:23:12.760 --> 01:23:32.760]  Just call our toll-free number 1-800-516-8736. That's 1-800-516-8736. Call now. Our operators are standing by to take your order.
[01:23:32.760 --> 01:23:43.760]  Shelly, you look exhausted. What's wrong? I am so tired. I just get so hot at night and can't sleep. I have tried everything. All kinds of fans, sheets, pillows. You name it, I've tried it.
[01:23:43.760 --> 01:23:52.760]  My husband has always been a hot sleeper. He's never had a good night's sleep. Then we discovered something that really helped. It's called the bed-fan personal cooling system.
[01:23:52.760 --> 01:24:03.760]  The what? The bed-fan personal cooling system. It will keep you cool all night long and will work for everyone that sleeps hot. No matter what the reason, you can see it at bedfan.com.
[01:24:03.760 --> 01:24:11.760]  How well are you sleeping? Are you getting the rest your body needs? Sleep disorder centers across the country recommend that you must stay cool to get a good night's sleep.
[01:24:11.760 --> 01:24:25.760]  The bed-fan will keep you cool and give you the restful sleep you deserve. With our 30-day 100% guarantee, you risk nothing. Are you a hot sleeper? Is your partner a hot sleeper? Or are you looking for the perfect gift for that person who has everything? The bed-fan is the answer.
[01:24:25.760 --> 01:24:42.760]  Visit bedfan.com. That's bedfan.com.
[01:24:55.760 --> 01:25:00.760]  Welcome back.
[01:25:00.760 --> 01:25:13.760]  Hey, is it tough enough for you? We've got our people out there covering the FEMA camp. Goons telling them to turn their cameras off repeatedly. Land's driving up to them.
[01:25:13.760 --> 01:25:30.760]  We've got folks to converge up there that are in the Taylor area, North Austin, Round Rock area. We need everybody to converge up there at the front. They're at the back right now. Kevin, give us a recap of what's happened. Some of the new developments and the call for people to come out there as observers of the press covering the FEMA camp.
[01:25:30.760 --> 01:25:32.760]  Then we'll go back to Michael Rivera.
[01:25:32.760 --> 01:25:43.760]  Alex, we came out here to cover an event, and apparently it looked like it was sort of a leftist event that was going to be scheduled, and there are nowhere to be found. From what we've heard of the people, there was no one there today.
[01:25:43.760 --> 01:26:00.760]  I'm calling people that live in North Austin. This is about 15 miles east on 79 of Round Rock. You need to get out here and make a splash. This is a brand new state-of-the-art detention center with railroad access, not 100 feet from the front door.
[01:26:00.760 --> 01:26:14.760]  It's really creepy when you hear those train cars start to move around. You think, this is just going to be a processing center. It's really not large enough to hold mass volumes of people, so they're going to do central processing here and put you on a freight train out west, is what I think.
[01:26:14.760 --> 01:26:27.760]  It's admitted that it's for domestic control, and they're just kicking it off with the illegals who deserve to process themselves. There's a big report in the statesman, how that hasn't been happening. Give people the address, Kevin.
[01:26:27.760 --> 01:26:40.760]  It's 1001 Wells, but the thing is, this is right in the middle of Taylor, Texas. I'm standing on a residential street right now, Dokes Street. You're going to go on to 95 Head South, and you are going to stay on the frontage.
[01:26:40.760 --> 01:26:49.760]  Don't get on the overpass and take a right on West Oak, and then you will come to a T-intersection, and that is Dokes Street, and you will see the facility right there.
[01:26:49.760 --> 01:27:14.760]  There are intramural or like Optimus League Baseball Fields that circled this facility. It's a residential neighborhood on the right-hand side, and then a detainment facility on the left, and high wires, trucks patrolling the perimeter constantly, and again, that really creepy, scary mixture of public-private partnership, neo-fascism.
[01:27:14.760 --> 01:27:28.760]  But I'll tell you what concerns me is that they would come off the property across the street and tell you to turn your cameras off, and that you heard discussion of them reviewing our tapes. Keep your hands off my equipment. Keep your hands off my property.
[01:27:28.760 --> 01:27:36.760]  I tell you, these ICE officers make me sick. Let's bring Michael Riverao in here. Mike, you got any comments for Kevin Smith?
[01:27:36.760 --> 01:27:49.760]  Well, first of all, keep yourself safe and be careful because, unfortunately, you're dealing with individuals who are more than likely private contractors, and they're not going to be as aware of the limits of the law as to what their actions can be.
[01:27:49.760 --> 01:28:11.760]  And I'd hate to see you provoke them to the point where they actually exceed their authority and either harm the equipment or harm you, and yes, we can sue them after the fact, but you've got to stay safe here. These are not individuals who are being taught to have any respect for the people, or they wouldn't be guards in a processing center in the first place.
[01:28:11.760 --> 01:28:14.760]  So, just you've got to be careful. This is a serious situation, obviously.
[01:28:14.760 --> 01:28:23.760]  Exactly. Kevin, where do you want folks? And there's already been a few protests out there, so it's safe as long as there's numbers. The problem is Kevin and Aaron Dykes are out there by themselves.
[01:28:23.760 --> 01:28:30.760]  Kevin, let's say I'm going up by 35 from Austin. Let's say I'm in North Austin. I'm going up by 35. How do I get to you?
[01:28:30.760 --> 01:28:44.760]  You're going to take the 79 exit in Round Rock, and you're going to head east on 79 toward Taylor, Texas. You're going to go past the Dell Diamond and all those places, and right when you get into downtown, Taylor, you will see 95 that goes south.
[01:28:44.760 --> 01:28:58.760]  Do not get on the overpass that goes across the train yard. Stay on the frontage, and that will take you to Oak Street. You take a right, then you take another right on Dope, and then you are at the facility, and the front door of the CCI facility is against the train tracks.
[01:28:58.760 --> 01:29:08.760]  We really need support out here. It keeps us safe. Right now, they seem to have backed off a little bit because we didn't cower in fear, and we were firm, and we said we had the right to be here.
[01:29:08.760 --> 01:29:15.760]  But we gave them our information, and they went back inside like they got some sneaky secret, and I guess they're trying to figure out who we are right now.
[01:29:15.760 --> 01:29:21.760]  I'm a little surprised that we haven't had the local law enforcement come out, but so far...
[01:29:21.760 --> 01:29:24.760]  That's because they know this is America.
[01:29:24.760 --> 01:29:34.760]  I hope so. I hope so. It actually made me feel a little more comfortable if we did get some Taylor PD in here, but please come out. We'll be here for another hour or two.
[01:29:34.760 --> 01:29:41.760]  If you're local, let's get over here and let's make a stink, and then we have to safety of the cameras, so they're not going to do anything while we're filming.
[01:29:41.760 --> 01:29:42.760]  Yeah, I'm here.
[01:29:42.760 --> 01:29:43.760]  Anything else?
[01:29:43.760 --> 01:29:51.760]  No, no, that's it. Kevin, just keep your cell phone on. Be ready for a call the minute, because right before I talked to you, another van was driving up, then it drove away.
[01:29:51.760 --> 01:29:58.760]  Just call me the minute they drive up to you again, and go ahead and go back to the front so you can meet up with people as they get there.
[01:29:58.760 --> 01:30:08.760]  Mike Rivera, stay there. We're going to come back, get into the Democrats wanting to continue the war, Bush's new strategy, and a lot more on the other side.
[01:30:08.760 --> 01:30:23.760]  We'll also open the phones up to listeners at 1-800-2599-231. I'm Alex Jones. This is the GCN Radio Network.
[01:30:23.760 --> 01:30:33.760]  We're on the march. The Empire's on the run. Alex Jones and the GCN Radio Network.
[01:30:33.760 --> 01:30:41.760]  People who use Cardivite know about the pollutants in our body and want them out. For over five years, Cardivite has proven itself time-tested.
[01:30:41.760 --> 01:30:45.760]  Here's Dr. Matson, a naturopathic doctor's thoughts on Cardivite.
[01:30:45.760 --> 01:30:54.760]  In our mind, there isn't such a great big mystery to disease anymore. This basic tenet of yeast in the gut and metals in the liver covers at least 7-80% of the disease that we see.
[01:30:54.760 --> 01:31:03.760]  In our program, in herbal formulas like Cardivite, and you see someone who could barely walk up a hill now going for regular jobs a few months later, we know we're doing something right.
[01:31:03.760 --> 01:31:10.760]  It's a well-thought-out formula. The idea of working on yeast and metals both at the same time and liver function is dead on.
[01:31:10.760 --> 01:31:16.760]  You'll find, I think, that it'll work more than just on heart problems and circulation problems. It'll work on other problems as well.
[01:31:16.760 --> 01:31:26.760]  For more information, call 1-877-928-8822 or visit our website at www.heartdrop.com.
[01:31:26.760 --> 01:31:47.760]  That toll free number again, 1-877-928-8822.
[01:31:47.760 --> 01:32:15.760]  1-877-928-8822.
[01:32:15.760 --> 01:32:40.760]  It's no secret. Aluminum itself adversely affects the blood-brain barrier and is capable of causing DNA damage.
[01:32:40.760 --> 01:32:45.760]  Research has even shown that aluminum salts used in antiperspirants have detrimental effects.
[01:32:45.760 --> 01:32:50.760]  So why are you still using traditional deodorant? Well, there is an alternative and it's called nobio.
[01:32:50.760 --> 01:32:59.760]  Nobio eliminates the bacterial growth which causes odor and does not interfere with perspiration, which is important for allowing your body to expel toxins.
[01:32:59.760 --> 01:33:03.760]  There are no chemicals, aluminum, preservatives, or petroleum-based ingredients in nobio.
[01:33:03.760 --> 01:33:10.760]  Just natural ingredients like grapeseed oil, arrowroot powder, silica, vitamin E, tea tree oil, and uranium.
[01:33:10.760 --> 01:33:14.760]  Nobio's job is to destroy the bacteria that causes odor while soothing your skin.
[01:33:14.760 --> 01:33:19.760]  You can use nobio under your arms, on tough foot odors, or for athlete's foot.
[01:33:19.760 --> 01:33:23.760]  Nobio is guaranteed 100% or receive a full refund.
[01:33:23.760 --> 01:33:34.760]  Visit nobio.com to order. That's nobio.com or call 850-723-8599.
[01:33:34.760 --> 01:33:44.760]  The Genesis Communications Radio Network proudly presents The Alex Jones Show because there's a war on for your mind.
[01:33:44.760 --> 01:33:53.760]  In another 12 days, we're running the Christmas special, now the New Year special, until the middle of this month.
[01:33:53.760 --> 01:33:59.760]  You can get almost half a year free at prisonplanet.tv when you sign up for the next week and a half.
[01:33:59.760 --> 01:34:07.760]  All my weekly TV reports, my in-studio video reports, other special mini-dots that we make, all 15 of my films, my book, Paul Watson's book.
[01:34:07.760 --> 01:34:11.760]  Paul Watson's book, by the way, Order Out of Chaos, is now out of print. We're not probably going to print more.
[01:34:11.760 --> 01:34:16.760]  She had to print them like 3, 4,000 at a time. You can get that there as an e-book.
[01:34:16.760 --> 01:34:26.760]  There is just so much more at prisonplanet.tv, and your membership makes this broadcast, and the web bandwidth, and my webmasters, it funds us.
[01:34:26.760 --> 01:34:33.760]  So I want to thank all the members that are members, and I want to ask you if you're not a member, go get a yearly membership and get 5.3 months free.
[01:34:33.760 --> 01:34:38.760]  Or you can get a trial monthly membership, like 15 cents a day, $5.95.
[01:34:38.760 --> 01:34:43.760]  And it's a great activist tool. We have them in super high bandwidth, down to low bandwidth, downloads.
[01:34:43.760 --> 01:34:48.760]  You can download it in high bandwidth, and it looks almost as good as TV. In fact, you really can't tell the difference.
[01:34:48.760 --> 01:34:54.760]  And Burnham the Disc, Terror Storm, Road to Tyranny, Masters of Terror, Dark Secrets Inside Bohemian Grove.
[01:34:54.760 --> 01:35:04.760]  Incredible activist tool, a factory of resistance at prisonplanet.tv.
