[00:00:06.750 --> 00:00:08.491]  Dragon Energy activates!
[00:45:16.099 --> 00:45:22.982]  The Pro-Pure Whole House Water Filtration System is an advanced four-stage compact filtration system
[00:45:23.422 --> 00:45:29.425]  That will provide water filtration for your entire home, removing 220 plus contaminants from your water.
[00:45:29.425 --> 00:45:38.569]  It's compact in size, easy to install and maintain, and keeps fluoride and other dangerous toxins out of your water supply and away from you and your family.
[00:45:39.009 --> 00:45:46.475]  With its broad-spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[00:45:46.475 --> 00:45:59.225]  Head to infowarrestore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems, it's time to go big and go home with the Pro-Pure Whole House Filtration System today.
[00:46:00.874 --> 00:46:05.459]  Patrick, in the great nation of Australia, you're on the air worldwide.
[00:46:05.459 --> 00:46:06.020]  Thanks for holding.
[00:46:06.020 --> 00:46:07.461]  Hey Alex, mate.
[00:46:07.461 --> 00:46:11.125]  I've been following you since I was 14, and I'm 32 now.
[00:46:11.125 --> 00:46:19.815]  I remember back when InfoWars and Prison Planet, it was just blue text on a white screen, and I had to load down the page on my dial-up internet, and I thought it was
[00:46:19.935 --> 00:46:36.085]  Pretty cool and read all the books and seen all the DVDs and followed all you get and I've been using your product since the first iteration of Survival Shield and since then I'm on the X2, the Super Male Vitality, the Caveman, the Real Red Pill, Micro ZX Body, it's all amazing.
[00:46:36.605 --> 00:46:45.187]  Yeah, and I wanted to say that by following you so much, it's like you're just detoxing the mind, you're detoxing the body, you're detoxing the spirit.
[00:46:45.187 --> 00:46:50.088]  And it's just, the more you know God, the more you fear God, but the more you chase God.
[00:46:50.088 --> 00:46:55.690]  And I wanted to say that it's an honour to stand side by side with you, the crew, and the listeners out there, 1776 worldwide.
[00:47:03.326 --> 00:47:10.311]  You're listening to the Alex Jones Show.
[00:47:10.311 --> 00:47:27.643]  I'm not going to list the individuals on CNN, MSNBC and Fox News that defamed and besmirched our president and that lied about him and that engaged in aiding and abetting the globalist combine that's trying to bring this country down.
[00:47:27.643 --> 00:47:30.285]  Instead, I want to recognize the individuals last two days
[00:47:31.667 --> 00:47:32.548]  We're good to go.
[00:47:47.995 --> 00:47:49.916]  Because I know this for a fact.
[00:47:49.916 --> 00:47:56.720]  And Tucker Carlson have been threatened with their jobs, even though they're top rated, if they don't get with the Russia narrative.
[00:47:56.720 --> 00:48:04.705]  The other host rolled over like a big old fat dead fish in the sun, floating around in the water.
[00:48:04.705 --> 00:48:06.647]  And it makes me sad for them.
[00:48:06.647 --> 00:48:08.108]  Trump is an American.
[00:48:08.108 --> 00:48:11.830]  Trump is taking America back from the globalists that are allied with the chi-coms.
[00:48:13.038 --> 00:48:19.142]  Trump is a patriot, and I just want to say, I'm not a sunshine patriot, I'm a winter soldier.
[00:48:19.142 --> 00:48:24.425]  And I 1,000% support the president.
[00:48:24.425 --> 00:48:31.190]  I 1,000% know a man by his enemies, and I've seen him get limited control of our government and things turn around.
[00:48:31.190 --> 00:48:37.994]  And he knew it would turn around because they were artificially suppressing this country.
[00:48:37.994 --> 00:48:39.555]  Epic history is happening right now.
[00:48:40.612 --> 00:48:43.474]  The globalists have an internet kill switch Obama put in.
[00:48:43.474 --> 00:48:46.978]  Brennan, all of them, still have control of it.
[00:48:46.978 --> 00:48:54.404]  The deep state is filled with a bunch of people like Reality Winner, who wanted to join ISIS and hated all white people when she was white.
[00:48:54.404 --> 00:49:00.149]  We are overrun by the filth the universities have produced for two generations to finally bring America down.
[00:49:00.149 --> 00:49:04.713]  And they launched their attack with Hillary, and in the last minute, failed.
[00:49:04.713 --> 00:49:05.714]  They failed in that battle.
[00:49:05.714 --> 00:49:08.376]  They are now launching counter-strikes, ladies and gentlemen.
[00:49:12.182 --> 00:49:17.547]  You can say what you want about me or Trump or Tucker Carlson or Sean Hannity, but we believe in free market.
[00:49:17.547 --> 00:49:18.988]  We believe in America.
[00:49:18.988 --> 00:49:22.791]  We believe in this republic.
[00:49:22.791 --> 00:49:23.211]  Why not?
[00:49:23.211 --> 00:49:27.435]  It's a thousand times better than communist China or the EU or Venezuela.
[00:49:27.435 --> 00:49:28.756]  And this is where we're from.
[00:49:28.756 --> 00:49:30.457]  And they teach us that it's stupid.
[00:49:30.457 --> 00:49:32.439]  It's quaint to love America or love free market.
[00:49:32.439 --> 00:49:33.340]  And these universities
[00:49:34.957 --> 00:49:37.558]  That have become engines of anti-free speech and evil.
[00:49:37.558 --> 00:49:39.899]  And now they're all over the news saying overthrow the president.
[00:49:39.899 --> 00:49:41.299]  Tucker Carlson's right.
[00:49:41.299 --> 00:49:45.021]  Trump was like a captured man when he made those statements.
[00:49:45.021 --> 00:49:49.423]  Knowing it's Brennan and all those people with all their fake intelligence caught spying on me legally.
[00:49:49.423 --> 00:49:52.784]  The people that ran America in the ground by design.
[00:49:52.784 --> 00:49:54.645]  Our military enforces world government.
[00:49:54.645 --> 00:49:56.705]  China economically takes over.
[00:49:56.705 --> 00:50:00.687]  So let's go to Tucker Carlson and the courage of telling the truth.
[00:50:07.551 --> 00:50:08.892]  Good evening and welcome to Tucker Carlson.
[00:50:08.892 --> 00:50:13.116]  Tonight we just landed from Helsinki, back in the nation's capital, where it is hot and intense.
[00:50:13.116 --> 00:50:17.400]  We're going to have our full extended interview with the President from Helsinki.
[00:50:17.400 --> 00:50:18.902]  We're going to show that to you in just a minute.
[00:50:18.902 --> 00:50:26.829]  We asked him, of course, about Russia, but there are, believe it or not, many more important and pressing issues on the world stage, not just Russia.
[00:50:26.829 --> 00:50:28.351]  And we asked the President about those as well.
[00:50:28.351 --> 00:50:30.272]  We'll bring the whole thing to you coming up in just a second.
[00:50:31.033 --> 00:50:44.328]  But first, tonight, with remarkable speed and intensity, the media, the foreign policy establishment, both political parties have come together as one to attack the President for his meeting yesterday with the Russian President Vladimir Putin.
[00:50:44.328 --> 00:50:50.534]  Anderson Cooper, John McCain, Mitt Romney, they all described the President's remarks about Russia as disgraceful.
[00:50:51.175 --> 00:50:56.002]  Former CIA Director John Brennan called those remarks treasonous and grounds for impeachment.
[00:50:56.002 --> 00:51:00.808]  Nancy Pelosi and Chuck Schumer announced that Trump was being blackmailed by a foreign power.
[00:51:00.808 --> 00:51:04.112]  Others accused him of being a sleeper agent, a spy.
[00:51:04.112 --> 00:51:08.759]  One member of Congress from Tennessee called for a military coup against the presidency.
[00:51:09.701 --> 00:51:11.422]  In a key sentence in my remarks, I said the word would instead of wouldn't.
[00:51:11.422 --> 00:51:14.963]  The sentence should have been, I don't see any reason why I wouldn't, or why it wouldn't be Russian.
[00:51:39.193 --> 00:51:43.476]  Just to repeat it, I said the word would instead of wouldn't.
[00:51:43.476 --> 00:51:53.001]  And the sentence should have been, and I thought it would be maybe a little bit unclear on the transcript or unclear on the actual video.
[00:51:53.001 --> 00:51:58.764]  The sentence should have been, I don't see any reason why it wouldn't be Russia.
[00:51:58.764 --> 00:52:01.426]  Sort of a double negative.
[00:52:01.426 --> 00:52:06.349]  So you can put that in and I think that probably clarifies things pretty good by itself.
[00:52:07.884 --> 00:52:09.505]  So that's the hostage tape.
[00:52:09.505 --> 00:52:11.447]  The President buckled to criticism.
[00:52:11.447 --> 00:52:12.087]  I know what they're saying.
[00:52:12.087 --> 00:52:12.948]  That's exactly what happened.
[00:52:12.948 --> 00:52:13.428]  He buckled.
[00:52:13.428 --> 00:52:14.189]  And that happens.
[00:52:14.189 --> 00:52:15.990]  This is politics, after all.
[00:52:15.990 --> 00:52:21.254]  What is amazing and unusual and ominous is who made him buckle.
[00:52:21.254 --> 00:52:31.221]  The people yelling the loudest about how the Russians are our greatest enemy and Trump is their puppet happen to be the very same people who have been mismanaging our foreign policy for the past two decades.
[00:52:31.221 --> 00:52:33.643]  The people who invaded Iraq and wouldn't admit it was a
[00:52:33.663 --> 00:52:36.204]  These are the people who've made America weaker and poorer and sadder.
[00:52:36.204 --> 00:52:38.625]  The group whose failures got Trump elected in the first place.
[00:52:38.625 --> 00:52:40.546]  You would think by this late date they would be discredited completely
[00:53:01.496 --> 00:53:06.300]  Unemployable, wearing uniforms and picking up trash by the side of a turnpike somewhere.
[00:53:06.300 --> 00:53:06.780]  But no, they're not.
[00:53:06.780 --> 00:53:07.701]  They think we don't have memory.
[00:53:07.701 --> 00:53:09.062]  They're hosting cable news shows.
[00:53:09.062 --> 00:53:09.783]  They're holding high positions.
[00:53:09.783 --> 00:53:10.864]  They work for the shycoms.
[00:53:10.864 --> 00:53:12.265]  Of course they're trying to wreck us.
[00:53:12.265 --> 00:53:16.288]  They run virtually every non-profit public policy institution in Washington.
[00:53:16.288 --> 00:53:19.711]  They are still, in some sense, in charge of our national conversation.
[00:53:19.711 --> 00:53:25.355]  And naturally, they hate the idea of rethinking or correcting any of the countless blunders they've made.
[00:53:25.355 --> 00:53:27.497]  What they hate is the idea of a president that's actually president.
[00:53:27.497 --> 00:53:28.197]  That's why they're pissed.
[00:53:28.197 --> 00:53:29.659]  He calls them on those blunders.
[00:53:30.279 --> 00:53:34.082]  Now, being Trump, he can't always explain precisely what he means to say.
[00:53:34.082 --> 00:53:41.086]  Sometimes he gets the details wrong, or he gets sidetracked with some personal vendetta, as if anybody cares about that ridiculous Acosta guy.
[00:53:41.086 --> 00:53:42.367]  Nobody does.
[00:53:42.367 --> 00:53:46.009]  But on the big questions, Trump is indisputably right.
[00:53:46.009 --> 00:53:47.650]  The Cold War is over.
[00:53:47.650 --> 00:53:48.731]  The world has changed.
[00:53:48.731 --> 00:53:51.973]  It is time to rethink America's alliances.
[00:53:51.973 --> 00:53:54.315]  God, thank God there's still people that aren't total traitors!
[00:53:55.430 --> 00:53:55.610]  Russia
[00:54:13.763 --> 00:54:20.749]  Compare that effort to the deep penetration of American industry and the defense sector by the Communist government of China.
[00:54:20.749 --> 00:54:25.713]  Or compare it to the remarkable sway that the Sunni Gulf states have over our political process.
[00:54:25.713 --> 00:54:34.981]  Or the fact that Latin American countries are changing election outcomes here by forcing demographic change on this country at a rate that American voters consistently say they don't want.
[00:54:35.802 --> 00:54:40.024]  Those are all major challenges from foreign powers to our American democracy.
[00:54:40.024 --> 00:54:40.524]  They're real.
[00:54:40.524 --> 00:54:41.884]  And say it, Tucker!
[00:54:41.884 --> 00:54:44.985]  The Democrats and Republicans are on the goddamn payroll!
[00:54:44.985 --> 00:54:46.146]  Why is that?
[00:54:46.146 --> 00:54:47.286]  Well, here's one reason.
[00:54:47.286 --> 00:54:48.527]  Those may not be... Tycoms, man!
[00:54:48.527 --> 00:54:49.527]  You're the traitors!
[00:54:49.527 --> 00:54:51.068]  We're gonna get your ass, Brennan!
[00:54:51.068 --> 00:54:52.548]  And you too, Mudd!
[00:54:52.548 --> 00:54:53.929]  ...and watch their kids.
[00:54:53.929 --> 00:54:56.530]  Those countries can't be our enemies, in their view.
[00:54:57.290 --> 00:54:59.351]  But nobody here is getting rich from Russia.
[00:54:59.351 --> 00:55:02.273]  So therefore, Putin must be a mortal foe.
[00:55:02.273 --> 00:55:04.315]  That's what the neocons are telling us we are required to do.
[00:55:04.315 --> 00:55:04.675]  That's right.
[00:55:04.675 --> 00:55:06.156]  They don't run Russia, that's why they hate him.
[00:55:06.156 --> 00:55:07.417]  They don't actually believe it.
[00:55:07.417 --> 00:55:07.977]  Just like they hate Trump.
[00:55:07.977 --> 00:55:13.040]  And so the person who's read a newspaper this year could recite that talking point without laughing because it's stupid.
[00:55:13.040 --> 00:55:19.164]  So the only option, if you want to force the population to accept something ridiculous, is to make sure they don't think too much about it.
[00:55:19.164 --> 00:55:20.025]  This is the next level.
[00:55:20.025 --> 00:55:20.405]  Quiet.
[00:55:20.405 --> 00:55:21.586]  Tucker Carlson is the next level.
[00:55:22.639 --> 00:55:25.940]  And if you don't believe it, watch what's happening- Everything we've been looking for right there.
[00:55:25.940 --> 00:55:32.341]  Obviously it's possible, entirely possible, maybe likely that the Russian government broke into the DNC servers before the last election.
[00:55:32.341 --> 00:55:34.681]  It certainly sounds like something they might do.
[00:55:34.681 --> 00:55:43.623]  But before we act like we know for a fact that that's what happened, and go to war with Russia over that, shouldn't we see some actual evidence that it happened?
[00:55:43.623 --> 00:55:43.963]  Why not?
[00:55:43.963 --> 00:55:45.343]  Like maybe a server.
[00:55:45.343 --> 00:55:49.364]  Or at least a clear explanation- Oh, like Congress having hearings to ban me and then not letting me be there to face my accuser.
[00:55:50.484 --> 00:55:51.705]  How dare he?
[00:55:51.705 --> 00:55:53.567]  That's a treasonous thought, we were told.
[00:55:53.567 --> 00:55:55.848]  He's a quisling, a traitor to his country.
[00:55:55.848 --> 00:55:56.789]  That's what they're saying.
[00:55:56.789 --> 00:55:58.070]  And not just a few of them.
[00:55:58.070 --> 00:55:58.971]  All of them are saying that.
[00:55:58.971 --> 00:55:59.812]  But they're globalists.
[00:55:59.812 --> 00:56:01.153]  They're the ones that sold the country out.
[00:56:01.153 --> 00:56:03.535]  Wait a second about what they're demanding.
[00:56:03.535 --> 00:56:17.066]  If you don't automatically accept the imprecise, non-specific, never fully explained findings of shadowy intelligence agencies with long, documented track records of making serious mistakes, you've somehow betrayed your country.
[00:56:17.975 --> 00:56:24.842]  The very people who assured you that Iraq had weapons of mass destruction, the ones who said the Shah would never fall on Iran, etc.
[00:56:24.842 --> 00:56:25.683]  etc.
[00:56:25.683 --> 00:56:29.807]  Those people must be believed without question or else.
[00:56:29.807 --> 00:56:33.191]  On television this group is called the Intelligence Community.
[00:56:33.191 --> 00:56:35.013]  That's an Orwellian name if there ever was one.
[00:56:35.578 --> 00:56:37.921]  Where exactly is this community we hear so much about?
[00:56:37.921 --> 00:56:39.282]  Does it have a zip code?
[00:56:39.282 --> 00:56:40.404]  A public library system?
[00:56:40.404 --> 00:56:42.366]  A youth football league?
[00:56:42.366 --> 00:56:47.172]  How long before Congress starts demanding unthinking obedience to the lawmaker community?
[00:56:47.172 --> 00:56:48.713]  It's a community, after all.
[00:56:48.713 --> 00:56:49.975]  You must obey it.
[00:56:49.975 --> 00:56:51.717]  Dissent is unpatriotic.
[00:56:51.717 --> 00:56:53.999]  And if you don't agree, you're working for Vladimir Putin.
[00:56:55.151 --> 00:56:58.013]  That's where we're heading, by the way, and fast.
[00:56:58.013 --> 00:57:01.995]  In some ways, this whole story is about Donald Trump and what he said and what he does.
[00:57:01.995 --> 00:57:05.637]  But on a deeper level, it has nothing to do with Donald Trump.
[00:57:05.637 --> 00:57:10.399]  This is about democracy, whether or not voters rule their country.
[00:57:10.399 --> 00:57:17.523]  It turns out the very people telling you they are saving our democracy are working overtime to destroy it and scolding you as they do.
[00:57:18.866 --> 00:57:21.288]  100% pure Veritas.
[00:57:21.288 --> 00:57:22.568]  It's a hole-in-one.
[00:57:22.568 --> 00:57:23.769]  I've never done anything like that.
[00:57:23.769 --> 00:57:25.130]  Tucker Carlson's the king now.
[00:57:25.130 --> 00:57:25.690]  Period.
[00:57:25.690 --> 00:57:26.871]  He's the guy.
[00:57:26.871 --> 00:57:28.192]  And he wrote that.
[00:57:28.192 --> 00:57:30.453]  And understand this.
[00:57:30.453 --> 00:57:33.815]  Just like they tell you over and over again, you know, worship Edward R. Murrow.
[00:57:33.815 --> 00:57:36.097]  That's what Edward R. Murrow wished he was.
[00:57:36.097 --> 00:57:36.897]  We're the Americans.
[00:57:36.897 --> 00:57:37.918]  We're taking the country back.
[00:57:37.918 --> 00:57:39.819]  The people trying to oppose us are the traitors.
[00:57:39.819 --> 00:57:41.000]  It's that simple.
[00:57:41.000 --> 00:57:42.181]  Infowars.com.
[00:57:42.181 --> 00:57:43.281]  Newswars.com.
[00:57:43.281 --> 00:57:44.142]  Tomorrow's news today.
[00:57:49.369 --> 00:57:55.638]  Choose to take control of your chemistry with Survival Shield X2 and BioTrue Selenium.
[00:57:55.638 --> 00:58:00.003]  This powerful combo is perfect for supporting your thyroid and health.
[00:58:00.003 --> 00:58:05.391]  BioTrue Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[00:58:07.293 --> 00:58:15.920]  Our super high quality nascent iodine is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals.
[00:58:15.920 --> 00:58:23.706]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue, and organ in the body.
[00:58:23.706 --> 00:58:30.611]  With inadequate thyroid hormones you may experience slow metabolism, lethargy, weight gain, and overall brain fog.
[00:58:30.971 --> 00:58:37.192]  Survival Shield X2 and BioTrue Selenium work together to support the systems in your body.
[00:58:37.192 --> 00:58:41.013]  Take control of your chemistry today with this super combo.
[00:58:41.013 --> 00:58:57.777]  Discover the power of Survival Shield X2 and BioTrue Selenium at InfoWarsLife.com Do you realize that when you spread the links from InfoWars.com, when you spread the videos, you are changing the world?
[00:58:57.777 --> 00:58:58.257]  It's you!
[00:58:59.352 --> 00:59:01.855]  That's why you've been on the team supporting us, praying for us, and spreading the word.
[00:59:01.855 --> 00:59:03.216]  You are the Infowar.
[00:59:03.216 --> 00:59:06.140]  And now because of their intensifying censorship, it's more important than ever
[00:59:20.496 --> 00:59:31.883]  That everyone go to InfoWars.com forward slash newsletter and sign up via email so there's no way the censors can get between us with critical videos, articles, breaking news, intel, you name it.
[00:59:31.883 --> 00:59:39.867]  And so now I ask you more than ever to share the InfoWars.com articles, to share the videos, to tell people about the local stations you're listening to.
[00:59:39.867 --> 00:59:46.911]  The bare minimum you can do is sign up for the free newsletter at InfoWars.com forward slash newsletter.
[00:59:46.911 --> 00:59:49.653]  We are the Renaissance and we are winning!
[00:59:53.268 --> 00:59:56.570]  You're listening to the Alex Jones Show.
[00:59:56.570 --> 01:00:07.315]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:00:07.315 --> 01:00:09.976]  And now, your host, Owen Troyer.
[01:00:21.573 --> 01:00:22.995]  Welcome back to the Alex Jones Show.
[01:00:22.995 --> 01:00:24.217]  Owen Troyer filling in.
[01:00:24.217 --> 01:00:34.450]  I want to show this graphic here because it really explains everything.
[01:00:36.533 --> 01:00:40.935]  When it comes to how the media treats Donald Trump.
[01:00:40.935 --> 01:00:46.877]  And you can go off and try to understand why the media treats Donald Trump like that.
[01:00:46.877 --> 01:00:48.978]  Obviously, we know why.
[01:00:48.978 --> 01:01:00.062]  But if you look at the Time Magazine covers that featured Barack Obama versus the Time Magazine covers that featured Donald Trump, you understand everything.
[01:01:02.583 --> 01:01:05.864]  And so you have the four-time magazine covers praising Obama.
[01:01:05.864 --> 01:01:06.644]  He's the best.
[01:01:06.644 --> 01:01:08.564]  He's the hero.
[01:01:08.564 --> 01:01:09.785]  He can do no wrong.
[01:01:09.785 --> 01:01:11.965]  And then you have the four-time magazine covers.
[01:01:11.965 --> 01:01:12.945]  Trump is the worst.
[01:01:12.945 --> 01:01:13.926]  He's melting down.
[01:01:13.926 --> 01:01:15.526]  He's separating kids.
[01:01:15.526 --> 01:01:18.787]  He's a failure.
[01:01:18.787 --> 01:01:22.268]  Of course, what is the truth?
[01:01:22.268 --> 01:01:25.889]  What is the truth?
[01:01:25.889 --> 01:01:32.030]  The truth is that in two years, President Donald Trump has gotten more done than any president maybe ever.
[01:01:34.110 --> 01:01:59.570]  I mean, I'm not sure if it's even fair to compare certain presidents given the landscape and the time in which they were president, but compared to Obama, Trump is an elephant and Obama is a fly on the elephant's ass that is being switched away with the tail.
[01:01:59.570 --> 01:02:01.412]  Obama is a horsefly on the ass
[01:02:03.323 --> 01:02:08.706]  Of Trump the elephant, and Trump is slapping him away with his tail right now.
[01:02:08.706 --> 01:02:20.112]  So why though, does Time Magazine hate Donald Trump so much, even though he's done incredible things for America, and why did they love Obama so much, who did what?
[01:02:20.112 --> 01:02:22.013]  Seriously, go ask Obama supporters.
[01:02:22.013 --> 01:02:23.753]  What are Obama's accomplishments?
[01:02:23.753 --> 01:02:24.694]  They can't tell you.
[01:02:24.694 --> 01:02:25.874]  He's done nothing.
[01:02:25.874 --> 01:02:27.055]  Oh, he won the Nobel Peace Prize.
[01:02:27.055 --> 01:02:28.156]  Well, what'd he get that for?
[01:02:28.156 --> 01:02:28.756]  Can't tell you that.
[01:02:33.823 --> 01:02:41.689]  And it just is the perfect illustration of the total bias against Donald Trump in the media.
[01:02:41.689 --> 01:02:47.374]  But the incredible thing is, it hasn't stopped him.
[01:02:47.374 --> 01:02:50.256]  And it hasn't hurt his approval ratings.
[01:02:50.256 --> 01:02:55.180]  You know, Mike Adams is about to come in studio.
[01:02:55.180 --> 01:02:56.260]  We're going to get some real news.
[01:02:56.260 --> 01:02:56.681]  But you know what?
[01:02:56.681 --> 01:02:58.062]  I just want to say something real quick.
[01:03:01.237 --> 01:03:12.405]  You know, we were out with the Proud Boys last night, and I always love meeting new people and hearing other opinions and stuff, and just, you know, just being a regular person with other people.
[01:03:12.405 --> 01:03:27.277]  And I'm sure that there's a lot of young people that are listening to this right now, whether it be at your university or your school or in your friend group or whatever, but you feel that you're slighted, you feel that
[01:03:28.732 --> 01:03:38.297]  You're underestimated and you probably feel like maybe you don't belong or you don't deserve or whatever the case may be.
[01:03:38.297 --> 01:03:57.048]  I'm kind of going off on a jag here but I know that there's audience members out there that feel that way and so they tune in to to InfoWars to to feel the empowerment and to empower themselves with knowledge and truth but to the young people out there that have to deal with
[01:03:59.517 --> 01:04:05.879]  People insulting them, calling them names, you know, family not wanting to talk about it anymore.
[01:04:05.879 --> 01:04:13.582]  It may not feel good at the time, it may feel like it's hurting you, but it's actually a blessing in disguise.
[01:04:13.582 --> 01:04:24.085]  Because the more people underestimate you, the more people have low expectations for you, the more success you can have.
[01:04:24.085 --> 01:04:28.147]  And so it's all the young audience out there right now that feels like
[01:04:29.281 --> 01:04:35.787]  They don't belong because they love Trump and everyone else hates Trump or they're underestimated or they have low expectations.
[01:04:35.787 --> 01:04:38.209]  Do not let that keep you down.
[01:04:38.209 --> 01:04:52.100]  Let that motivate you and understand that when you succeed, when you have low expectations, when you are underestimated and you succeed despite that, that is even a greater victory for you.
[01:04:52.100 --> 01:04:53.602]  So that's what you need to do.
[01:04:53.602 --> 01:04:56.244]  Just put your head down and win and the rest will come.
[01:04:58.171 --> 01:05:18.164]  I want to plow into all of this, but I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts, or water filtration systems, or books, or videos, or other material from InfoWarsTore.com, you are funding the revolution.
[01:05:18.164 --> 01:05:20.286]  I mean, I cannot say it any clearer.
[01:05:20.286 --> 01:05:24.268]  And so it is essential that you purchase the products at InfoWarsTore.com.
[01:05:24.268 --> 01:05:25.309]  I want to thank everybody that has.
[01:05:25.709 --> 01:05:31.513]  We've got the best fluoride-free toothpaste with colloidal silver and with high-quality atomic iodine in it.
[01:05:31.513 --> 01:05:33.895]  You cannot beat that for children and adults.
[01:05:33.895 --> 01:05:36.536]  We've got the best mouthwash designed by Dr. Jones.
[01:05:36.536 --> 01:05:37.477]  That's my dad.
[01:05:37.477 --> 01:05:39.338]  The colloidal silver and iodine as well.
[01:05:39.338 --> 01:05:41.840]  Infowarslife.com or 888-253-3139.
[01:05:41.840 --> 01:05:51.026]  And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[01:05:51.026 --> 01:05:55.469]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[01:05:59.394 --> 01:06:07.945]  President Trump gives every indication by what he says and what he does and what he doesn't do that he's mean as a wolverine.
[01:06:17.304 --> 01:06:22.549]  It's 11.59 at Radio Free America, and this is Uncle Sam with music and the truth until dawn.
[01:06:22.549 --> 01:06:26.573]  Right now, I've got a few words for some of our brothers and sisters in the occupied zone.
[01:06:26.573 --> 01:06:28.635]  The chair is against the wall.
[01:06:28.635 --> 01:06:30.837]  The chair is against the wall.
[01:06:30.837 --> 01:06:32.859]  John has a long mustache.
[01:06:32.859 --> 01:06:34.901]  John has a long mustache.
[01:06:34.901 --> 01:06:37.924]  It's 12 o'clock, Americans, another day closer to victory.
[01:06:37.924 --> 01:06:41.848]  And for all of you out there on or behind the lines, this is your song.
[01:06:47.762 --> 01:06:49.643]  But they took a lot of people away.
[01:06:49.643 --> 01:06:51.763]  People that they thought were gonna make trouble for them.
[01:06:51.763 --> 01:06:54.964]  People that had guns and things they wanted, they just took them away.
[01:06:54.964 --> 01:06:56.345]  Where?
[01:06:56.345 --> 01:06:58.425]  Re-education camps, that's what they call it.
[01:06:58.425 --> 01:07:06.648]  So part of it is we have to break through our kind of private idea that kids belong to their parents, or kids who belong to their families and recognize that kids belong to whole communities.
[01:07:06.648 --> 01:07:10.929]  I have decided we really need camps for adults.
[01:07:10.929 --> 01:07:13.009]  And we need the type of camps
[01:07:17.891 --> 01:07:21.274]  All persons of Japanese descent were required to register.
[01:07:21.274 --> 01:07:28.060]  Now they were taken to racetracks and fairgrounds where the army almost overnight had built assembly centers.
[01:07:28.060 --> 01:07:32.144]  What kind of a situation in the U.S.
[01:07:32.144 --> 01:07:33.205]  would you see that happening?
[01:07:33.205 --> 01:07:37.189]  I mean, we've got a lot of constitutionless and a lot of people that stockpile weapons.
[01:07:37.989 --> 01:07:47.757]  Plus you have a lot of people that are coming out of the military that have the ability and the knowledge to build IEDs and to defeat law enforcement techniques.
[01:07:47.757 --> 01:07:53.762]  These people are radicalized and they don't support the United States and they're disloyal to the United States.
[01:07:53.762 --> 01:07:58.326]  It's our right and our obligation to segregate them from the normal community.
[01:08:05.100 --> 01:08:07.662]  That's what we're doing here, and let's not kid about it.
[01:08:07.662 --> 01:08:12.727]  We're building a domestic army because the government is afraid of its own citizens.
[01:08:12.727 --> 01:08:15.909]  Put your gun down, really?
[01:08:15.909 --> 01:08:20.913]  Rallying patriots worldwide in defense of human liberty.
[01:08:20.913 --> 01:08:22.755]  It's Alex Jones.
[01:08:22.755 --> 01:08:24.717]  Are you some kind of a constitutionalist?
[01:08:27.421 --> 01:08:32.945]  So these people who hold themselves out to be patriots are not.
[01:08:32.945 --> 01:08:35.747]  They're nothing more than domestic terrorists.
[01:08:35.747 --> 01:08:39.610]  If you are receiving this transmission, you are the resistance.
[01:08:53.715 --> 01:09:02.756]  President Trump gives every indication by what he says and what he does and what he doesn't do that he's mean as a wolverine.
[01:09:02.756 --> 01:09:03.959]  Wolverines!
[01:09:06.684 --> 01:09:10.888]  Thank you, Dan Rather, for giving us another meme for President Trump.
[01:09:10.888 --> 01:09:11.829]  Boy, it's great.
[01:09:11.829 --> 01:09:16.052]  They give us all these memes, the deplorables, fake news, mean like a wolverine.
[01:09:16.052 --> 01:09:16.453]  I love it.
[01:09:16.453 --> 01:09:18.474]  Mike Adams is in studio with me.
[01:09:18.474 --> 01:09:18.975]  Here's the deal.
[01:09:18.975 --> 01:09:21.877]  We're going to be talking about the congressional hearings.
[01:09:21.877 --> 01:09:24.680]  We're going to be talking about the internet censorship.
[01:09:24.680 --> 01:09:26.742]  We're going to be talking about the internet kill switch.
[01:09:26.742 --> 01:09:32.947]  Then we're going to break down why the media and the Democrat Party is so upset with the Trump-Putin summit.
[01:09:32.947 --> 01:09:33.528]  But first,
[01:09:34.997 --> 01:09:36.917]  I've got all these notes here.
[01:09:36.917 --> 01:10:00.162]  So, I was watching the congressional hearings yesterday, Mike, and I've got these five pages of notes, but you had Monica Bickert from Facebook, Juniper Downs from YouTube, who was actually there to represent Google, they requested Google's presence, they sent Juniper Downs from YouTube, and then, yes, Mr. Pickles, Mr. Nick Pickles, from Twitter, to be a part of this congressional hearing.
[01:10:00.162 --> 01:10:02.102]  Now, obviously,
[01:10:03.442 --> 01:10:08.284]  As usual, it's pretty much the same stuff, Mike, right?
[01:10:08.284 --> 01:10:10.625]  What are you doing about fake news?
[01:10:10.625 --> 01:10:12.726]  What are we doing about Russian interference?
[01:10:12.726 --> 01:10:18.708]  You know, so they kind of use that as the basis for having this hearing, but then what happens?
