[00:00:03.342 --> 00:00:08.186]  Big Brother, Mainstream Media, Government Cover Ups.
[01:04:31.911 --> 01:04:34.573]  And what do you think is going to happen to the value of the currency that's out there?
[01:04:34.833 --> 01:04:39.836]  It's going to get liquidated, liquefied, and the value is going to go right straight into the toilet.
[01:04:39.836 --> 01:04:40.736]  Make no mistakes.
[01:04:40.736 --> 01:04:41.897]  Things are going to get crazy.
[01:04:41.897 --> 01:04:44.318]  Take advantage of this deal.
[01:04:44.318 --> 01:04:46.679]  Ted, in the last few months you've offered deals you've never offered.
[01:04:46.679 --> 01:04:48.900]  Is this as good or better than any deal you've ever offered?
[01:04:48.900 --> 01:04:51.381]  It most certainly is, because gold keeps going up.
[01:04:51.381 --> 01:04:53.242]  I'm able to buy it, it just shoots up.
[01:04:53.242 --> 01:04:54.183]  Alright, we'll be right back.
[01:04:54.183 --> 01:04:54.523]  Thank you, Ted.
[01:05:02.651 --> 01:05:04.572]  The time clock is ticking.
[01:05:04.572 --> 01:05:05.873]  Laws could change.
[01:05:05.873 --> 01:05:08.634]  The New World Order is advancing rapidly.
[01:05:08.634 --> 01:05:11.115]  Health consciousness is fading away.
[01:05:11.115 --> 01:05:16.618]  Junk food, fast food, fat food is the New World Order's game.
[01:05:16.618 --> 01:05:18.059]  Don't play the game!
[01:05:18.539 --> 01:05:25.088]  Slim down, detox, and cleanse yourself from the chemical foods and processed food that we intake daily.
[01:05:25.088 --> 01:05:26.670]  And now for the holiday special.
[01:05:26.670 --> 01:05:30.175]  Buy one month of Super T and we'll throw in an extra two weeks.
[01:05:30.175 --> 01:05:31.096]  That's right.
[01:05:31.096 --> 01:05:34.221]  One month of Super T and we'll throw in an extra two weeks.
[01:05:34.221 --> 01:05:35.082]  It won't last long.
[01:05:35.382 --> 01:05:36.343]  So order now!
[01:05:36.343 --> 01:05:38.084]  GetTheTee.com.
[01:05:38.084 --> 01:05:40.865]  That's GetTheTee.com.
[01:05:40.865 --> 01:05:41.946]  Or call us at 928-308-0408.
[01:05:41.946 --> 01:05:42.366]  That's 928-308-0408.
[01:05:42.366 --> 01:05:43.767]  Order now before you can't.
[01:05:56.155 --> 01:06:02.922]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:06:02.922 --> 01:06:05.564]  The enemy struck America on September 11th.
[01:06:05.564 --> 01:06:07.106]  But who is the enemy?
[01:06:07.106 --> 01:06:07.907]  Bin Laden.
[01:06:07.907 --> 01:06:08.848]  This is his ammo.
[01:06:08.848 --> 01:06:10.289]  We have to look to the Middle East.
[01:06:10.289 --> 01:06:12.271]  We have to look to Osama Bin Laden.
[01:06:12.271 --> 01:06:18.998]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:06:19.398 --> 01:06:19.879]  Some U.S.
[01:06:19.879 --> 01:06:26.244]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:06:26.244 --> 01:06:29.746]  I'm aware that some Israeli citizens have been detained.
[01:06:29.746 --> 01:06:40.235]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[01:06:40.235 --> 01:06:41.456]  Fabled Enemies.
[01:06:41.456 --> 01:06:48.081]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[01:06:49.202 --> 01:06:52.565]  Either you are with us, or you are with the terrorists.
[01:07:12.202 --> 01:07:19.425]  Between now and January 20th, 2009, all food units U1 through U7 are being offered at wholesale prices.
[01:07:19.425 --> 01:07:21.266]  That's a 33% savings.
[01:07:21.266 --> 01:07:24.987]  A year's supply of meals starts as low as 73 cents per meal.
[01:07:24.987 --> 01:07:34.711]  Ready Reserve Food offers only the highest quality dehydrated food, packed in double enameled cans in an inert nitrogen atmosphere, allowing a 15 plus year shelf life.
[01:07:34.711 --> 01:07:40.414]  Ready Reserve has been manufacturing since 1972, giving them the freedom to offer you amazing savings.
[01:07:41.034 --> 01:07:44.275]  Great tasting Ready Reserve Foods at wholesale prices.
[01:07:44.275 --> 01:07:46.656]  Order now at ReadyReserveFoods.com or call today 1-800-453-2202.
[01:07:46.656 --> 01:07:46.896]  That's 1-800-453-2202.
[01:07:46.896 --> 01:07:51.637]  The local California Highway Patrol Station held a highly questionable DUI license checkpoint Friday night.
[01:08:04.821 --> 01:08:09.703]  When they announced the checkpoint, they said they'd be doing it along with military police.
[01:08:09.703 --> 01:08:17.846]  Z1077 ran an editorial reminding the CHP about federal laws prohibiting the military from enforcing civilian laws.
[01:08:18.650 --> 01:08:26.572]  At about 11.30 Friday morning, we received a fax from the local CHP office announcing the action would not include military police.
[01:08:26.572 --> 01:08:35.894]  Also, by law, to avoid entrapment, the CHP is required to provide the location of the checkpoint to the media at least two hours prior.
[01:08:35.894 --> 01:08:45.716]  They did provide Z1077 with a phone number to call at 7pm to get the location, but, defense lawyers take note, no one ever answered the phone.
[01:08:46.474 --> 01:09:00.207]  To add insult to injury, when the CHP held the checkpoint in front of the Home Depot in Yucca Valley, they did indeed include marked military police cars, as well as uniformed military police.
[01:09:00.207 --> 01:09:06.833]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:09:06.833 --> 01:09:09.816]  It's Alex Jones and the GCN Radio Network.
[01:09:18.334 --> 01:09:20.936]  Welcome back ladies and gentlemen.
[01:09:20.936 --> 01:09:31.343]  So the local newspaper, the local news talk station, the local news blogs, all witnessed and reported on the Marines.
[01:09:31.343 --> 01:09:35.766]  And what happened, basically to recap this, is they sent out a fax
[01:09:36.847 --> 01:09:45.870]  On December 10th, this is up on InfoWars.com, Chip News, and this has the phone number and the seal of the California Highway Patrol.
[01:09:45.870 --> 01:09:48.551]  You can contact Officer Rob McLeod, 760-356-3707.
[01:09:48.551 --> 01:09:54.213]  And it says, Chip to conduct sobriety license driver checkpoint.
[01:10:04.969 --> 01:10:13.352]  And it goes on to say, the Basin Office of the California Highway Patrol, CHIP, in conjunction with the San Bernardino County Sheriff's Department and the U.S.
[01:10:13.352 --> 01:10:23.456]  Marine Corps Military Police will conduct a joint sobriety checkpoint on Friday, December 12, 2008, somewhere in the unincorporated area of San Bernardino County.
[01:10:23.456 --> 01:10:25.617]  Hundreds and hundreds of square miles.
[01:10:25.617 --> 01:10:30.479]  And then it goes on to say, Lieutenant Sturgis emphasized traffic volume permitting all vehicles
[01:10:31.480 --> 01:10:37.622]  like Nazi Germany, will be checked for drivers who are under the influence of alcohol and or drugs or driving unlicensed.
[01:10:37.622 --> 01:10:48.565]  So, everyone, no Fourth Amendment, no presumption of innocence, no due process, no reasonable... I mean, if a cop sees you swerving down the road, I hope they pull you over.
[01:10:48.565 --> 01:10:49.765]  That is probable cause.
[01:10:49.765 --> 01:10:51.626]  No, just everybody's a slave.
[01:10:51.626 --> 01:10:55.587]  Our objective is to send a clear message to those individuals that break the law.
[01:10:55.587 --> 01:10:58.928]  The CHP will be keeping a close eye out for you.
[01:11:01.201 --> 01:11:04.603]  And it says, the sobriety driver's license checkpoint will be operated from 9 p.m.
[01:11:04.603 --> 01:11:05.383]  to 2.30 a.m.
[01:11:05.383 --> 01:11:14.268]  The media may contact the Barstow Dispatch Center at 760-255-8700 on December 12, 2008 after 7 p.m.
[01:11:14.268 --> 01:11:21.891]  for the exact location of the checkpoint, because they claim with a Supreme Court ruling they have to tell you where it is, so it's not, quote, entrapment.
[01:11:21.891 --> 01:11:25.193]  The whole thing's a violation of the Bill of Rights.
[01:11:25.193 --> 01:11:26.674]  And we first learned
[01:11:28.271 --> 01:11:49.500]  about this from a story from Ben Holstrom and his story in the Cactus Thorns blog was posted in another blog and then we made phone calls to the Chips, we made phone calls to the Marines and did confirm that the reports were true.
[01:11:49.500 --> 01:11:54.202]  Then I called the radio station and confirmed it was true and Friday we put a report out with Curt Nemo
[01:11:55.189 --> 01:12:22.709]  about this at InfoWars.com and people went in the comment page and said it's not real we're making it up didn't matter if I posted three videos of myself and others videotaping Marines at similar checkpoints in North Carolina and other places and walking up with guns and telling people turn their cameras off coming over to somebody probably 200 yards away from them running checkpoints and saying turn your camera off
[01:12:26.846 --> 01:12:32.256]  But the public still engages in denial because the public knows this is third world tyranny.
[01:12:32.256 --> 01:12:33.818]  This is police state.
[01:12:33.818 --> 01:12:39.248]  Now we have the Army Times announcing 20,000 regular army trips, combat trips from Iraq to patrol America.
[01:12:40.091 --> 01:12:43.113]  We post links to the stories, people say we're lying.
[01:12:43.113 --> 01:12:45.435]  You have to stop living in denial.
[01:12:45.435 --> 01:12:46.175]  This is happening.
[01:12:46.175 --> 01:13:01.506]  Now, I want to bring up Ben Holstrom here in just a moment, but there's been a new development, and don't worry Ben, you were scheduled until 15 after, but the Marines have cancelled, so I'm going to hold you until 45 after if you can do it, and I'm going to have Aaron Dykes
[01:13:02.532 --> 01:13:02.712]  I don't
[01:13:25.988 --> 01:13:29.094]  Moving out of that office, so he's over there calling in via telephone.
[01:13:29.094 --> 01:13:33.704]  Aaron Dykes also writes for InfoWars.com and is the editor of JonesReport.com.
[01:13:33.704 --> 01:13:35.487]  Aaron Dykes, tell me exactly what happened.
[01:13:36.314 --> 01:13:37.434]  Hi, Alex.
[01:13:37.434 --> 01:13:41.855]  Well, quite simply, I called Gunnery Sergeant Chris Cox yesterday.
[01:13:41.855 --> 01:13:46.636]  He's the Press Relations Officer for the Marines in San Bernardino County.
[01:13:46.636 --> 01:13:57.518]  He agreed to come on the show today, and today I called an hour before, as you usually would with any guest, to confirm he's coming on, and he told me, no, I'm not coming on.
[01:13:57.518 --> 01:13:59.078]  I said, but you agreed to come on.
[01:13:59.078 --> 01:14:02.459]  He said, yes, I did agree, but now I'm busy.
[01:14:02.459 --> 01:14:03.699]  Don't you ever get busy?
[01:14:03.699 --> 01:14:04.439]  I'm not coming on.
[01:14:06.716 --> 01:14:17.947]  And he also gave me a backup officer named Humbertson, and he told me he was also unavailable, and that they would be in an emergency operations training and would no longer come on the show.
[01:14:17.947 --> 01:14:20.769]  And they also declined to come on at any other time.
[01:14:20.769 --> 01:14:25.374]  Now, they can't claim they didn't know who he was, so now they found out and they're refusing.
[01:14:25.374 --> 01:14:28.417]  When you called up yesterday, tell folks about that conversation.
[01:14:29.611 --> 01:14:37.095]  Uh, well I called up, originally I called actually on Sunday during your Kelby J Show, uh, so that's how I was originally identifying myself.
[01:14:37.095 --> 01:14:46.161]  Uh, although, as you know, all the websites are run together, InfoWars.com, Prison Planet, and he obviously had already found out who we were.
[01:14:46.161 --> 01:14:48.062]  He knew about Kurt Nemo's article.
[01:14:48.769 --> 01:15:00.052]  In fact, he claimed he was censored in the posting that he tried to leave a response correcting all the disinformation, supposedly, that was in Kurt Nemo's article, although I don't see that comment.
[01:15:00.052 --> 01:15:08.715]  And as you know, unless you call for violence or something radical like that, no comments are ever censored in InfoWars, and I don't see them in either of Kurt Nemo's articles.
[01:15:08.715 --> 01:15:13.736]  Well, I'm glad you bring this up, and then we're going to shift gears and go to Ben Holstrom.
[01:15:16.471 --> 01:15:22.895]  We upgraded a year ago, or I guess nine months ago, InfoWars.com so people could comment with WordPress.
[01:15:22.895 --> 01:15:27.298]  We went from HTML, Dreamweaver, to WordPress.
[01:15:27.298 --> 01:15:30.659]  We are going to hire more web people.
[01:15:30.659 --> 01:15:42.246]  Kurt Nemo is a great writer, great researcher, better at web than all of us, but we hired programmers to make the system where people can comment, and I can't comment from my house.
[01:15:42.246 --> 01:15:43.067]  No one knows why.
[01:15:45.876 --> 01:15:47.838]  I can't comment sometimes at other places.
[01:15:47.838 --> 01:15:52.823]  I can comment here at the InfoWars office with the computers here.
[01:15:52.823 --> 01:15:57.248]  Sometimes when I post a comment it doesn't go up and we don't know why.
[01:15:57.248 --> 01:16:01.712]  So if you're a WordPress genius, and we've tried to hire programmers to fix it,
[01:16:04.051 --> 01:16:07.693]  I mean, this is another side issue, but I'm really, you know, we try to provide this.
[01:16:07.693 --> 01:16:18.338]  Now, I've been told by some of the WordPress guys it is because we are censoring words, and we have to, the Secret Service has been here twice, that that's when the problem started.
[01:16:18.338 --> 01:16:21.900]  But there's only things in there like, shoot Obama.
[01:16:21.900 --> 01:16:24.141]  That is blocked.
[01:16:24.141 --> 01:16:28.183]  Because, you know, we can't have a Secret Service here.
[01:16:28.183 --> 01:16:29.944]  And the n-word is banned.
[01:16:32.447 --> 01:16:33.608]  Cussing isn't even banned.
[01:16:33.608 --> 01:16:39.472]  We try to keep it to the most limited words so that it doesn't slow the program down when it's having to check for that.
[01:16:39.472 --> 01:16:42.994]  But no, there's not a person sitting there censoring your post.
[01:16:42.994 --> 01:16:46.116]  It has problems and that is the issue.
[01:16:46.116 --> 01:16:52.740]  But Aaron, are you saying you went into WordPress and looked for blocked posts or something and didn't see this?
[01:16:53.340 --> 01:17:02.685]  Yeah, in fact, I've looked at Kurt Nemo's original story that I think was posted Sunday night or Monday morning, and I've also checked the updated story.
[01:17:02.685 --> 01:17:08.888]  I don't see anything from anyone claiming to be a Marine in San Bernardino, much less a Gunnery Sergeant.
[01:17:08.888 --> 01:17:15.091]  Well, I mean, there's Marines in there saying they want to kill us and that we're scum and they can't wait to kick our teeth in.
[01:17:15.091 --> 01:17:17.433]  They're not being censored.
[01:17:17.433 --> 01:17:19.754]  No, and I'm not sure if he's
[01:17:20.541 --> 01:17:22.823]  Making up that he posted something.
[01:17:22.823 --> 01:17:26.385]  Obviously, we'd be happy to post any response they give us.
[01:17:26.385 --> 01:17:30.128]  That's one of the reasons we invited them on air, but they've refused to come on.
[01:17:30.128 --> 01:17:30.829]  Yeah, let's do that.
[01:17:30.829 --> 01:17:31.909]  Call them back and say,
[01:17:33.041 --> 01:17:37.805]  You email to erinandinfowars.com, whatever you want on there, and we'll have our comments after it.
[01:17:37.805 --> 01:17:41.728]  But you go ahead and you send us anything you want and we will post it unedited.
[01:17:41.728 --> 01:17:44.390]  So, anything you don't want posted, don't send it.
[01:17:44.390 --> 01:17:47.833]  You send it, the Marine Corps sends me their side of the story.
[01:17:47.833 --> 01:17:49.654]  We want their side of the story.
[01:17:49.654 --> 01:17:52.416]  Believe me, we want it, because I want to catch them in more deceit.
[01:17:52.416 --> 01:17:55.339]  And the reason I say deceit is we have the California Highway Patrol.
[01:17:56.784 --> 01:17:59.645]  Here saying that the Marines were going to be out there.
[01:17:59.645 --> 01:18:01.525]  Then they told the media, no, they won't be out there.
[01:18:01.525 --> 01:18:03.185]  And then the Marines were out there.
[01:18:03.185 --> 01:18:07.186]  And these checkpoints are ongoing throughout Christmas into the new year.
[01:18:07.186 --> 01:18:09.367]  And I called one Marine Corps group over the weekend.
[01:18:09.367 --> 01:18:12.927]  They answered and said, well, I can't talk about those operations, but yes, we're doing them.
[01:18:12.927 --> 01:18:14.408]  You've got to talk to this person.
[01:18:14.408 --> 01:18:15.928]  And that person never called back.
[01:18:15.928 --> 01:18:17.508]  Then they said, well, we're not really doing it.
[01:18:17.508 --> 01:18:18.509]  Well, we're out there training.
[01:18:18.509 --> 01:18:19.849]  Well, yes, we are doing it.
[01:18:19.849 --> 01:18:24.790]  So there's been all sorts of going sideways here, basically, is the best, is the nicest way to put it, Aaron.
[01:18:25.590 --> 01:18:27.751]  I agree, and it's good you brought that up.
[01:18:27.751 --> 01:18:36.593]  One of the side issues is that Gunnery Sergeant Cox claims the Marine operation was a one-time deal only on December 12th.
[01:18:36.593 --> 01:18:42.775]  And if it's true that those are ongoing, then that's very deceptive and may be breaking that entrapment clause.
[01:18:42.775 --> 01:18:44.016]  I don't know if that's going on.
[01:18:44.016 --> 01:18:48.337]  Well, they certainly are breaking it because they wouldn't tell the media where it was located.
[01:18:49.494 --> 01:18:55.760]  They're playing games like we're in Basra and we're an enemy force of Shiites.
[01:18:55.760 --> 01:19:01.085]  It's military deception and I'm sick of it.
[01:19:01.085 --> 01:19:05.849]  Gunnery Sergeant Cox and Humberston, I don't know why you guys are scared to come on here.
[01:19:05.849 --> 01:19:07.611]  They're probably not scared.
[01:19:07.611 --> 01:19:09.493]  They've probably been told by higher-ups not to come on.
[01:19:10.803 --> 01:19:20.293]  That's possible, it's never certain, but I'm not sure what kind of public relations officer has to run off for, quote, emergency training after he's agreed to do an interview.
[01:19:20.293 --> 01:19:25.418]  Alright, Aaron, call them back, challenge them to give us their side of the story.
[01:19:25.418 --> 01:19:31.845]  It can be two paragraphs, it can be ten pages, and tell them that we will post it unedited, okay?
[01:19:32.575 --> 01:19:33.316]  Alright, I will.
[01:19:33.316 --> 01:19:33.836]  Thanks, Alex.
[01:19:33.836 --> 01:19:34.336]  Good job.
[01:19:34.336 --> 01:19:37.599]  Okay, I appreciate our next guest holding.
[01:19:37.599 --> 01:19:43.183]  And we'll go to Ben Holstrom when we get back after this quick break here on the GCN Radio Network.
[01:19:43.183 --> 01:19:44.223]  So, there you have it.
[01:19:44.223 --> 01:19:48.306]  The local newscast, the Marines, the press release from the state police.
[01:19:48.306 --> 01:19:51.088]  There are Marines outrunning checkpoints against U.S.
[01:19:51.088 --> 01:19:51.849]  citizens.
[01:19:51.849 --> 01:19:52.569]  Period.
[01:19:52.569 --> 01:19:53.050]  Period.
[01:19:53.050 --> 01:19:53.810]  It's going on.
[01:19:53.810 --> 01:19:54.571]  Stop denying it.
[01:19:56.465 --> 01:19:59.987]  Before you throw away your used batteries, you need to listen to this.
[01:19:59.987 --> 01:20:01.907]  Now, going green can save money.
[01:20:01.907 --> 01:20:07.450]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[01:20:07.450 --> 01:20:15.473]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[01:20:15.473 --> 01:20:19.095]  Invented by legendary audio genius John Bedini, this unique and
[01:20:19.195 --> 01:20:28.285]  Patented charging system rejuvenates the electrochemical plate structure in the battery without additives, increasing capacity and maintaining cell integrity.
[01:20:28.285 --> 01:20:33.151]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[01:20:34.272 --> 01:20:38.996]  Our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[01:20:38.996 --> 01:20:40.117]  Save your money.
[01:20:40.117 --> 01:20:41.458]  Save the environment.
[01:20:41.458 --> 01:20:44.440]  Visit us online at r-charge.com.
[01:20:44.440 --> 01:20:46.662]  That's r-charge.com.
[01:20:46.662 --> 01:20:49.805]  Or call us at 989-637-4179.
[01:20:49.805 --> 01:20:54.008]  That's 989-637-4179.
[01:20:54.008 --> 01:20:56.290]  Be a part of the revolution today.
[01:20:56.290 --> 01:20:58.271]  Our beloved Republic is on her knees.
[01:20:58.271 --> 01:21:01.874]  The forces of globalism are destroying national sovereignty worldwide.
[01:21:01.874 --> 01:21:03.696]  But in Liberty's darkest hour, there is hope.
[01:21:04.316 --> 01:21:07.358]  The first time in modern history, the people are beginning to wake up.
[01:21:07.358 --> 01:21:13.083]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order Master Plan.
[01:21:13.083 --> 01:21:17.346]  We have a short time frame to fully awaken and energize the people to meet this threat.
[01:21:17.346 --> 01:21:22.550]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[01:21:22.550 --> 01:21:25.592]  PrisonPlanet.tv is a vault of forbidden information.
[01:21:25.592 --> 01:21:29.615]  All 18 of my documentary films can be downloaded or streamed in super high quality.
[01:21:29.775 --> 01:21:32.797]  Directly to your computer or iPhone and share it with others.
[01:21:32.797 --> 01:21:38.781]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[01:21:38.781 --> 01:21:43.624]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[01:21:43.624 --> 01:21:46.466]  The Info War is waiting for you to set it free.
[01:21:46.466 --> 01:21:48.527]  Join PrisonPlanet.TV.
[01:21:48.527 --> 01:21:50.508]  Burn the info bombs to disk.
[01:21:50.508 --> 01:21:52.630]  Put them on the file sharing networks.
[01:21:52.630 --> 01:21:54.431]  Bring down the New World Order.
[01:21:54.431 --> 01:21:55.171]  PrisonPlanet.TV.
[01:21:57.697 --> 01:22:00.038]  Are you wondering about your retirement portfolio?
[01:22:00.038 --> 01:22:06.281]  Are you confident that the financial advisor is experienced enough to combat climbing interest rates, taxes, and inflation?
[01:22:06.281 --> 01:22:10.423]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[01:22:10.423 --> 01:22:17.246]  When you subscribe to The International Forecaster, you get Robert Chapman's 45 years of experience and concise investment recommendations.
[01:22:17.586 --> 01:22:23.491]  Who needs sugar-coated excuses when you can get the cold hard facts and proven investment leads you can't get anywhere else?
[01:22:23.491 --> 01:22:34.401]  For a free introductory copy to Robert Chapman's International Forecaster, subscribe now at TheInternationalForecaster.com or call 877-479-8178.
[01:22:34.401 --> 01:22:35.862]  Experience the difference.
[01:22:35.862 --> 01:22:41.127]  When you subscribe, you can email Robert Chapman directly to obtain investment advice tailored just for you.
[01:22:41.127 --> 01:22:42.048]  Don't wait another minute.
[01:22:42.328 --> 01:22:46.013]  Subscribe today at TheInternationalForecaster.com or call 877-479-8178.
[01:22:46.013 --> 01:22:46.193]  That's 877-479-8178.
[01:22:58.683 --> 01:23:02.766]  How would you like to save up to 90% on your phone bill?
[01:23:02.766 --> 01:23:05.769]  It can be done thanks to Empire One Telecom.
[01:23:05.769 --> 01:23:12.494]  EOT offers voice over IP technology that will allow you to make phone calls from your home or business without the high cost.
[01:23:12.494 --> 01:23:21.522]  Take advantage of EOT's most popular plan which includes unlimited long distance throughout the US and Canada and 360 minutes of international calling for only $19.95 a month.
[01:23:24.246 --> 01:23:32.112]  Plus, all calling plans include over 40 special features, including call waiting, caller ID, and three-way calling, free!
[01:23:32.112 --> 01:23:36.195]  Take your phone number on the road with you thanks to EOT's travel-friendly box.
[01:23:36.195 --> 01:23:40.739]  Simply plug your adapter into any internet connection and start making phone calls.
[01:23:40.739 --> 01:23:42.140]  It's that easy!
[01:23:42.140 --> 01:23:49.906]  So if you have a high-speed internet connection and are ready to dramatically lower your monthly phone bill, choose your plan now at EOTTech.com.
[01:23:49.906 --> 01:23:52.127]  That's EOTTech.com.
[01:23:52.127 --> 01:23:53.448]  EOTTech.com.
[01:23:56.044 --> 01:23:57.084]  Federal Agents!
[01:23:57.084 --> 01:23:58.765]  We are armed!
[01:23:58.765 --> 01:24:04.186]  What would you do if you knew all the things we knew?
[01:24:04.186 --> 01:24:06.306]  Would you stand up for true?
[01:24:06.306 --> 01:24:09.547]  Or would you turn away too?
[01:24:09.547 --> 01:24:14.328]  And then what if you saw all of the things that's wrong?
[01:24:14.328 --> 01:24:16.869]  Would you stand tall and strong?
[01:24:16.869 --> 01:24:18.349]  Or would you turn away too?
[01:24:23.201 --> 01:24:26.142]  He's over at the Cactus Thorn blog.
[01:24:26.142 --> 01:24:27.362]  He helped get this story out.
[01:24:27.362 --> 01:24:31.884]  It is confirmed by the CHIP police, by the Marines, and I wanted to get his take.
[01:24:31.884 --> 01:24:42.166]  This is a citizen out in California, there in this county, in San Bernardino County, to give us his take on how the locals are responding to this.
[01:24:42.166 --> 01:24:43.747]  The News Talk station told us that
[01:24:44.821 --> 01:24:51.987]  Around 80% of the calls and emails they were getting are against the Marines out at these checkpoints.
[01:24:51.987 --> 01:24:57.251]  What are the locals saying to you on the ground?
[01:24:57.251 --> 01:25:01.594]  Good morning from chilly blue skies in the desert in 29 Palms.
[01:25:01.594 --> 01:25:02.034]  Good morning.
[01:25:02.034 --> 01:25:12.543]  The people I talk to are very concerned and last Saturday I called the CHP trying to get a hold of Public Affairs Officer McLeod.
[01:25:13.852 --> 01:25:22.677]  And I was told by the dispatcher, well, you can call him after 1 o'clock.
[01:25:22.677 --> 01:25:26.059]  I wanted to know where the checkpoint was going to be.
[01:25:26.059 --> 01:25:27.940]  And I said, well, that's public information.
[01:25:27.940 --> 01:25:29.541]  She said, call back later.
[01:25:29.541 --> 01:25:31.102]  You can get that.
[01:25:31.102 --> 01:25:32.783]  I call back at 7 o'clock.
[01:25:32.783 --> 01:25:37.806]  I get an answering machine that says you have to call back during regular business hours.
[01:25:37.806 --> 01:25:38.566]  So this morning,
[01:25:40.481 --> 01:25:45.264]  By a half hour ago, I spoke with Public Affairs Officer McCloud.
[01:25:45.264 --> 01:26:01.493]  I asked him what he has to say about a violation of the Constitution, the Posse Comitatus, that some constitutional law experts say is a clear, blatant violation.
[01:26:01.493 --> 01:26:06.275]  He says there is no violation of that at all, so they steadfastly hold to that view.
[01:26:08.214 --> 01:26:23.021]  I asked him if this was going to be ongoing and he said, well they may review if there's enough of a public outcry, but I was told earlier that it was just during the Christmas holidays.
[01:26:23.021 --> 01:26:27.943]  I asked the officer what the rules of engagement were for the military.
[01:26:28.445 --> 01:26:31.566]  In a civilian setting, he said he did not know.
[01:26:31.566 --> 01:26:44.809]  That's right, they're going out to engage the American people, shutting down highways, literally demanding I.D., staring at people, violating their Fourth Amendment with no due process, with no presumption of innocence.
[01:26:44.809 --> 01:26:47.510]  You know, Napoleonic, guilty until proven innocent.
[01:26:48.130 --> 01:26:52.935]  Uh, there is literally no probable cause, and they won't even tell you what the rules of engagement are.
[01:26:52.935 --> 01:26:56.858]  Now, I've talked to some locals that have told me, but they're scared to come on air.
[01:26:56.858 --> 01:27:08.609]  The news talk station said that the military police were out there, they do carry firearms, but that his news reporters didn't notice, didn't pay attention to whether they were wearing sidearms or not.
[01:27:08.609 --> 01:27:09.510]  In fact, I just remembered,
[01:27:10.050 --> 01:27:18.232]  We need to go ahead and call the news station back, and the news director said he would talk to his host, his reporters, and find out.
[01:27:18.232 --> 01:27:19.752]  But that is even more important.
[01:27:19.752 --> 01:27:21.532]  Did they have firearms out there?
[01:27:21.532 --> 01:27:23.553]  Do you have any word on this, Ben?
[01:27:23.553 --> 01:27:28.834]  Well, you mentioned Public Affairs Officer Chief at Marine Corps Base, Gunny Sgt.
[01:27:28.834 --> 01:27:29.774]  Cox.
[01:27:29.774 --> 01:27:31.734]  I again spoke with Sgt.
[01:27:31.734 --> 01:27:32.974]  Cox this morning.
[01:27:32.974 --> 01:27:36.035]  I had a long conversation with him last Friday.
[01:27:36.616 --> 01:27:45.138]  And I asked him if the Marines were going to be armed, and the conversation turned towards, he said that this is training only.
[01:27:45.138 --> 01:27:48.279]  I asked if it was ongoing.
[01:27:48.279 --> 01:27:52.680]  He said it's a one-shot deal just that Saturday.
[01:27:52.680 --> 01:28:06.023]  However, he did add that if the opportunity arises, and they do have a need to learn from the experts, that is the police, the CHP, that they are going to learn as much as they can.
[01:28:06.656 --> 01:28:13.281]  I asked what he says about the constitutional violation of the posse comitatus.
[01:28:13.281 --> 01:28:18.225]  The Marine's position is it is not a constitutional violation.
[01:28:18.225 --> 01:28:22.368]  Sergeant Cox was very clear this is for training only.
[01:28:24.129 --> 01:28:27.952]  So you're getting a lot of double talk from the supposedly honorable Marines.
[01:28:27.952 --> 01:28:36.018]  They promise to come on the show and then say no we're not coming on now and don't give a reason basically and then you call up and say is this a one-shot deal?
[01:28:36.018 --> 01:28:44.804]  The press releases say they're going to be out there till the new year and now they're saying no we won't be out there but maybe we'll be out there if we think we need to go out and train.
[01:28:44.804 --> 01:28:45.805]  This is not training.
[01:28:45.805 --> 01:28:51.589]  They originally said in the press release this will be assisting the state police and the county police.
[01:28:53.669 --> 01:29:03.680]  Well, I would be interested in knowing what the official CHP position is up in Sacramento, the Sacramento headquarters, if they're aware of this.
[01:29:03.680 --> 01:29:08.486]  Well, Arnold's daddy ran checkpoints picking people up to go to the death camps all over Austria.
[01:29:08.486 --> 01:29:10.528]  He was an SS captain.
[01:29:10.528 --> 01:29:12.951]  So, I'm sure Arnold's all for it, yeah.
[01:29:16.448 --> 01:29:19.889]  Did you know that about the governor's daddy?
