[00:00.000 --> 00:02.000]  the media.
[1:05:35.040 --> 1:05:38.880]  out the huge discounts on films like Endgame, Blueprint for Global Enslavement,
[1:05:38.880 --> 1:05:43.800]  America, Freedom to Fascism, and hundreds of other titles. We're in a no-holds bar
[1:05:43.800 --> 1:05:48.680]  information war. Truth is our weapon, and prisonplanet.com has the tools you need
[1:05:48.680 --> 1:05:53.200]  to take the fight back to Big Brother. Hi, this is Brother Michael Diamond. You can
[1:05:53.200 --> 1:05:56.960]  now get the most important package ever on what has happened at the Catholic
[1:05:56.960 --> 1:06:01.400]  Church in the last 50 years. Find out how this massive crisis concerning the
[1:06:01.400 --> 1:06:05.360]  Catholic Church happened, what happened, and how the Bible predicted it would
[1:06:05.360 --> 1:06:10.040]  take place in the last days. The package contains six DVDs that contain ten
[1:06:10.040 --> 1:06:14.080]  different programs. Two books that combined are over a thousand pages and
[1:06:14.080 --> 1:06:18.280]  other information. Order now at our website, MostHolyFamilyMonastery.com.
[1:06:18.280 --> 1:06:26.640]  That's MostHolyFamilyMonastery.com. The last word monastery spelled M-O-N-A-S-T-E-R-Y.
[1:06:26.640 --> 1:06:36.160]  Or call us at 1-800-275-1126. That's 1-800-275-1126. Or mail in your order to us
[1:06:36.160 --> 1:06:43.080]  at 4425 Schneider Road. Fillmore, New York, 14735. The total cost for this massive
[1:06:43.080 --> 1:06:50.120]  package of information is only $10. $15 for UPS Ground or $30 outside the U.S.
[1:06:50.120 --> 1:06:54.040]  Have you ever thought about what's in your shampoo, soap, or detergent? How about
[1:06:54.040 --> 1:07:00.000]  chlorides, dyes, ethanol, sulfate, sodium, formaldehydes, and more? Even fragrance
[1:07:00.000 --> 1:07:04.120]  can indicate the presence of some 4,000 separate ingredients, most of which are
[1:07:04.120 --> 1:07:08.080]  synthetic. Hi, this is Alex Jones. I was shocked when I discovered I could be
[1:07:08.080 --> 1:07:11.880]  inhaling these additives that can lead to coughing, wheezing, and shortness of
[1:07:11.880 --> 1:07:16.280]  breath, headaches, nausea, irritation of the skin, and mucous membranes. Now compare
[1:07:16.280 --> 1:07:20.960]  Calben-Pyrissot, all-natural, earth-friendly, no harsh chemicals, no
[1:07:20.960 --> 1:07:25.520]  animal testing, they're safe, and you save 85% of the money you're spending on
[1:07:25.520 --> 1:07:30.320]  cleaning products now. Start saving over $1,000 a year for your family of four.
[1:07:30.320 --> 1:07:38.000]  Keep it natural. Call Calben-Pyrissot for a free catalog at 1-800-340-7091 or
[1:07:38.000 --> 1:07:42.680]  log on to 5starsoap.com. Try Calben-Pyrissot and I'll bet you'll never
[1:07:42.680 --> 1:07:48.880]  use any other cleaning products again. Call 1-800-340-7091 for all your cleaning
[1:07:48.880 --> 1:07:51.200]  needs.
[1:07:54.880 --> 1:08:02.720]  Big Brother, mainstream media, government cover-ups. You want answers? Well, so does
[1:08:02.720 --> 1:08:10.240]  he. He's Alex Jones on the GCN radio network, and now, live from Austin, Texas,
[1:08:10.240 --> 1:08:16.360]  Alex Jones. Well, the establishment is added again, folks. The eugenicists are
[1:08:16.360 --> 1:08:20.560]  meeting this weekend, and what will be on the agenda? Will it be the depopulation
[1:08:20.560 --> 1:08:23.880]  program that we all know about? Well, for sure they're going to be talking about
[1:08:23.880 --> 1:08:28.680]  reducing the standard of living of American citizens as they've done over
[1:08:28.680 --> 1:08:31.760]  the last, you know, five to ten years. They've really lowered the standard of
[1:08:31.760 --> 1:08:35.160]  living in this country. They've upped the prices. Inflation is out of control, and
[1:08:35.160 --> 1:08:39.680]  there seems to be more and more government control of our lives. Jim, you
[1:08:39.680 --> 1:08:44.720]  were just discussing how you were hoping that they would up the European standard
[1:08:44.720 --> 1:08:48.640]  of living to that of the United States, but in fact, it seems like the standard
[1:08:48.640 --> 1:08:52.280]  of living in the United States has gone down. There's literally food rationing
[1:08:52.280 --> 1:08:56.240]  going on in New York. It's something that's unheard of to me. Is this the
[1:08:56.240 --> 1:08:59.800]  program they're keeping up with? Are they going to lower our standard of living
[1:08:59.800 --> 1:09:03.800]  even more, Jim? Jason, I want you to reintroduce that great question in a
[1:09:03.800 --> 1:09:09.640]  moment as we close out this interview with Jim. I just wanted to, again, point
[1:09:09.640 --> 1:09:12.800]  out what Jim was just bringing up. How they're lowering our standard of living,
[1:09:12.800 --> 1:09:17.600]  how they're inflating, how they're destroying the currency,
[1:09:17.600 --> 1:09:22.760]  the inflation. Jim said three years ago this was on the agenda. Jim only makes
[1:09:22.760 --> 1:09:27.360]  four or five announcements a year from his sources, from his intel, from coming
[1:09:27.360 --> 1:09:30.480]  back and interviewing people after the globalists leave. You know, they'll never
[1:09:30.480 --> 1:09:33.360]  talk to us beforehand. They've all been told they'll be fired if they talk to us.
[1:09:33.360 --> 1:09:36.000]  We've talked to a bunch of people from people serving the coffee, you know,
[1:09:36.000 --> 1:09:39.040]  dumping Starbucks to people in the bar in the restaurant who work here to
[1:09:39.040 --> 1:09:44.560]  bell hops, and they're scared. But then after they see the evil and hear the
[1:09:44.560 --> 1:09:47.320]  evil and are treated like crap, they're told they're not allowed to look at
[1:09:47.320 --> 1:09:50.760]  Bilderberg group members in the eyes. After they're treated like crap by this
[1:09:50.760 --> 1:09:55.440]  125 global rulers who just want to dehumanize them and
[1:09:55.440 --> 1:09:58.400]  euthanize them and go out of the way, they always give us even more intel, but
[1:09:58.400 --> 1:10:01.880]  Jim actually has sources inside Bilderberg, not members, but some of their
[1:10:01.880 --> 1:10:05.360]  minions. But I just wanted to say we'll have reports at the end of the show
[1:10:05.360 --> 1:10:09.560]  again today. If anything big happens, I'll call in another Genesis shows and I
[1:10:09.560 --> 1:10:13.280]  will be live again on there with you tomorrow. You did a great job, Jason. I
[1:10:13.280 --> 1:10:17.600]  appreciate it. And of course Friday and then Saturday and coming back on Sunday.
[1:10:17.600 --> 1:10:21.880]  But yes, bring that question back up to Jim Tucker because it's so amazing. And
[1:10:21.880 --> 1:10:27.280]  then after you bring up that question for him, ask Jim. All the predictions
[1:10:27.280 --> 1:10:30.920]  he's made are true. I mean, he said it's going to be $140 plus a barrel in the
[1:10:30.920 --> 1:10:35.000]  next two years and it happened. And so in a few days, we're going to learn the
[1:10:35.000 --> 1:10:39.800]  course of our lives. There's no other group where you can go spy on them. We're
[1:10:39.800 --> 1:10:44.280]  spying on the globalists. We're spying on the black hand. We're spying on the
[1:10:44.280 --> 1:10:48.160]  people that own the central banks. I mean, this is it. So bring up that
[1:10:48.160 --> 1:10:55.120]  population reduction point you were pointing out about raising their
[1:10:55.120 --> 1:10:58.960]  control over the world while lowering our standard of living and then bring up
[1:10:58.960 --> 1:11:01.920]  the fact that he's been right about the oil specifically. Here's Jim Tucker.
[1:11:01.920 --> 1:11:05.800]  All right, Jim Tucker joining us again and his predictions have all come true.
[1:11:05.800 --> 1:11:08.520]  It's not like he makes these wild predictions. He says about three or
[1:11:08.520 --> 1:11:12.400]  four things a year, just like Alex said, you know, from the price of gas to the
[1:11:12.400 --> 1:11:16.200]  invasions into other countries. And we were discussing standard of living, Jim,
[1:11:16.200 --> 1:11:19.320]  and you were saying, well, why don't they just bring up the European standard of
[1:11:19.320 --> 1:11:22.640]  living to the United States? But what we're seeing is the opposite. We're
[1:11:22.640 --> 1:11:27.040]  seeing the lowering of the standard of living in this country to that of Europe.
[1:11:27.040 --> 1:11:29.720]  Do you think that's going to be on the agenda? Do you think that's going to
[1:11:29.720 --> 1:11:38.400]  continue? That's been on the agenda for decades with the Billenberg kids. They
[1:11:38.400 --> 1:11:41.960]  won't, everybody has a lower standard of living. As Alex said, they're more
[1:11:41.960 --> 1:11:52.040]  controllable when they're poor donkeys. It's the wealth to entrepreneurs. Now
[1:11:52.040 --> 1:11:57.800]  we're seeing the effect of one seventh of the world's population is at risk of
[1:11:57.800 --> 1:12:05.200]  dying of diseases and hunger because of the cost of food being at a record
[1:12:05.200 --> 1:12:12.240]  half throughout the world because of the cost of fuel. And they're behind the
[1:12:12.240 --> 1:12:18.880]  ethanol thing, which cost even more. Well, we don't have ethanol pipelines like we
[1:12:18.880 --> 1:12:22.920]  have old pipelines. But the subsidiaries from ethanol, it seems like they're
[1:12:22.920 --> 1:12:26.920]  shutting down a lot of farms or a lot of farms that used to grow food for this
[1:12:26.920 --> 1:12:30.840]  ethanol production, which is further upping the prices of food.
[1:12:30.840 --> 1:12:38.200]  Correct, Jim? Absolutely, because economists tell us that something like 40% of
[1:12:38.200 --> 1:12:42.120]  on average, everything you buy, whether it's a house or a necktie or a loaf of bread,
[1:12:42.120 --> 1:12:47.120]  to be attributed to the cost of transportation is a long journey from
[1:12:47.120 --> 1:12:51.040]  raw material to finished product to marketplace. So when you drive up the
[1:12:51.040 --> 1:12:55.800]  price of food, we now have ancient people in the Social Security who have to
[1:12:55.800 --> 1:12:59.280]  give away their dogs because they need to eat the dog food at the end of the month.
[1:12:59.280 --> 1:13:03.920]  They're not taking their medications because they have to eat. It's a horrible
[1:13:03.920 --> 1:13:13.440]  situation for not just the very poor, but the not so poor when their food budget
[1:13:13.440 --> 1:13:21.480]  costs multiply as they have. And when you take one fourth of the corn crop and
[1:13:21.480 --> 1:13:28.760]  turn it into ethanol, and corn is the basis of so much of our finished food
[1:13:28.760 --> 1:13:33.440]  products, and that has a tremendous impact on the price of food, which has a
[1:13:33.440 --> 1:13:39.880]  tremendous impact on the standard of living, directly threatening millions with
[1:13:39.880 --> 1:13:47.800]  starvation. Also, as I said, causing poor people to be unable to afford their
[1:13:47.800 --> 1:13:54.320]  medications, to be unable to afford to eat property, if at all for the last three
[1:13:54.320 --> 1:13:59.560]  days of the month before their welfare check arrived, or social security check
[1:13:59.560 --> 1:14:02.640]  arrived. And they're just getting more and more people on that program because in
[1:14:02.640 --> 1:14:07.640]  the last year, they've blown out the US economy, they've blown out the housing
[1:14:07.640 --> 1:14:11.840]  market, they've upped the price of gas, they've stopped food production, and I
[1:14:11.840 --> 1:14:16.320]  think it is their plan to get more people on social services so that they
[1:14:16.320 --> 1:14:19.720]  are in the system, that they're used to getting a government paycheck, that they're
[1:14:19.720 --> 1:14:23.680]  used to bowing down to the government. And, you know, me and Alex were predicting
[1:14:23.680 --> 1:14:28.080]  if this thing goes just terrible, and the government start taking over some of
[1:14:28.080 --> 1:14:31.400]  these supermarkets, and it becomes a ration center, you can bet your bottom
[1:14:31.400 --> 1:14:34.640]  dollar they're going to give you a card, much like they're giving those who are on
[1:14:34.640 --> 1:14:39.520]  welfare and food stamps right now, in order to go get your rations, Jim. Yes,
[1:14:39.520 --> 1:14:46.160]  Bilderberg, euphemism, all of this is the population control. By that they
[1:14:46.160 --> 1:14:53.440]  mean killing the third baby as they did in China, well, that's known as abortion,
[1:14:53.440 --> 1:14:58.200]  I suppose. In fact, they're saying that the United States should pass a law
[1:14:58.200 --> 1:15:03.080]  permitting, even that got awful partial birth abortion, that is for the babies
[1:15:03.080 --> 1:15:07.840]  already coming out. They turn it around in the birth canal, take it out feet
[1:15:07.840 --> 1:15:12.880]  first, which are also dangerous with mother more so than coming out head first
[1:15:12.880 --> 1:15:16.880]  as usual. By the way, Jim, they're also calling for a one-child policy here in the
[1:15:16.880 --> 1:15:21.880]  U.S. about one-child policy. Bilderberg, let's introduce the question. Oh, yes,
[1:15:21.880 --> 1:15:29.440]  one-child policy is obviously aimed at reducing the population on earth, and
[1:15:29.440 --> 1:15:35.520]  of course with abortion and starvation and disease, they make great progress. In
[1:15:35.520 --> 1:15:41.680]  fact, some economists tell us that one billion people, one house, seven million
[1:15:41.680 --> 1:15:47.640]  people on this planet are likely to die. It's insane. You know, ABC has this
[1:15:47.640 --> 1:15:53.240]  website that they redirect kids to called PlanetSlayer.com, and in it young
[1:15:53.240 --> 1:15:56.880]  people, and why I say young people, I'm talking five to eight-year-olds, are led
[1:15:56.880 --> 1:16:01.060]  to believe that they've used up their quote-unquote carbon footprint by the
[1:16:01.060 --> 1:16:05.480]  time they're 14 months old, and it literally shows a cartoon of two pigs
[1:16:05.480 --> 1:16:11.000]  and in the middle blood from a dead human, saying that they need to die 14
[1:16:11.000 --> 1:16:14.120]  months after they're born, because they're taking up too much carbon, Jim.
[1:16:14.120 --> 1:16:20.720]  Is this getting us ready for a new form of taxation, the carbon tax?
[1:16:20.720 --> 1:16:28.160]  Well, Bilderberg never found a tax that didn't like. Carbon tax, tax be one of
[1:16:28.160 --> 1:16:36.320]  their favorite world tax, though it was taxing oil at the wellhead. So it'd be a
[1:16:36.320 --> 1:16:41.600]  direct tax for anybody who buys gasoline for their car, lawnmower, or for
[1:16:41.600 --> 1:16:44.400]  whatever purpose, be paying directly a tax for the United Nations.
[1:16:44.400 --> 1:16:49.040]  Well, one of the big proponents of this carbon idea, other than Al Gore, seems to
[1:16:49.040 --> 1:16:53.000]  be Gordon Brown, who's the Prime Minister over in the UK, and he has openly
[1:16:53.000 --> 1:16:57.040]  discussed a new world order prior to himself being elected, and then after he
[1:16:57.040 --> 1:17:01.200]  was elected, it was literally on the front page of mainstream press over there,
[1:17:01.200 --> 1:17:04.400]  and this guy is the guy promoting this carbon tax, Jim.
[1:17:04.400 --> 1:17:07.400]  Yes, and Tony Blair was a Bilderberg kid, too.
[1:17:07.400 --> 1:17:10.920]  Do you think Gordon Brown's going to possibly be at this Bilderberg meeting?
[1:17:10.920 --> 1:17:13.520]  Has he attended before? It is very likely, interesting.
[1:17:13.520 --> 1:17:16.720]  I don't know, but it's very likely.
[1:17:16.720 --> 1:17:21.920]  So who do you think are going to be some of the staples? We see David Rockefeller
[1:17:21.920 --> 1:17:25.520]  there almost every year. Do you feel like he's going to show up?
[1:17:25.520 --> 1:17:29.080]  Yes, he's there every year. He's quite frail now, deep into his 90s.
[1:17:29.080 --> 1:17:35.080]  He was at the Trilateral Commission meeting a few weeks ago. Henry Kissinger, of course,
[1:17:35.080 --> 1:17:42.600]  is regular. In Peter Sutherland, the Executive Committee of both Bilderberg
[1:17:42.600 --> 1:17:48.320]  and Trilateral, he'll certainly be here. In fact, there's only typically about four
[1:17:48.320 --> 1:17:53.920]  or five new faces at a Bilderberg meeting each year, and if they're not invited back,
[1:17:53.920 --> 1:17:57.040]  that means they've been cast aside.
[1:17:57.040 --> 1:18:03.280]  Well, they don't always invite everybody every year. For instance, Edwards was taken
[1:18:03.280 --> 1:18:08.040]  in the year he was elected to be Vice President for the Democratic nomination.
[1:18:08.040 --> 1:18:10.960]  That's right, Jim. He's now bringing up that John Edwards was brought in.
[1:18:10.960 --> 1:18:14.600]  We've got it in this interview now. We're probably from on the street, be able to get
[1:18:14.600 --> 1:18:19.440]  Jim. He always does the ceremony, the ritual of trying to walk up and get in after they've
[1:18:19.440 --> 1:18:22.800]  already shut it down. We're going to try to be live on air around
[1:18:22.800 --> 1:18:27.360]  the noon time, central or so, whenever Jim wants to do that. We're going to be bringing
[1:18:27.360 --> 1:18:31.720]  him down here from his hotel after we have to check out of the scene of the crime of
[1:18:31.720 --> 1:18:36.040]  their crime. We'll be doing that tomorrow, but I want to thank Jim Tucker for being on
[1:18:36.040 --> 1:18:41.000]  the show. I'm going to hand it back over to you, Jason Burmes. Thank you so much for
[1:18:41.000 --> 1:18:45.000]  doing the great job while we're out of town, and I want to thank all the other people that
[1:18:45.000 --> 1:18:48.200]  are tuned into the show today. Again, thank everybody for the money bomb. The more I think
[1:18:48.200 --> 1:18:51.080]  about it, it just totally blows me away, and I just love all of you out there. Thank
[1:18:51.080 --> 1:18:53.400]  you so much. Burmes, I'm turning it back over to you.
[1:18:53.400 --> 1:18:57.520]  Alright, Godspeed, Alex, and keep up the good work. Another way that we actually keep this
[1:18:57.520 --> 1:19:03.120]  broadcast going are our great sponsors over at EnterFood. We all know that stress weakens
[1:19:03.120 --> 1:19:07.400]  your mind, inhibiting your ability to focus on things that truly matter. Fight back with
[1:19:07.400 --> 1:19:12.200]  EnterFood. Practically every one of us up here are absolutely addicted to this stuff,
[1:19:12.200 --> 1:19:16.600]  and for all the best reasons, EnterFood is nature's 100% all-natural organic superfood
[1:19:16.600 --> 1:19:22.440]  with no GMOs, filters, or sweeteners, just 20 power-packed ingredients that will sharpen
[1:19:22.440 --> 1:19:26.480]  your mind and give you the energy needed. You get everything you need for less than
[1:19:26.480 --> 1:19:33.200]  a dollar a day. Go to www.enterfood.com, that's E-N-E-R-Food.com, or go to infowars.com and
[1:19:33.200 --> 1:19:37.200]  click on the big old banner. That's right, EnterFood. I've had it in the office, and
[1:19:37.200 --> 1:19:40.720]  let me tell you what a burst of energy it gives you. This is the Alex Jones show. We
[1:19:40.720 --> 1:19:47.720]  will be back after these messages, infowars.com, prisonplanet.com.
[1:20:13.520 --> 1:20:18.680]  Prisonplanet.tv is a powerful weapon in the battle to regain our freedom. Prisonplanet.tv
[1:20:18.680 --> 1:20:23.040]  is a vault of forbidden information. All 18 of my documentary films can be downloaded
[1:20:23.040 --> 1:20:27.080]  or streamed in super-high quality, directly to your computer or iPhone, and shared with
[1:20:27.080 --> 1:20:31.680]  others. Thousands of special video reports, from tainted vaccines to martial law, can
[1:20:31.680 --> 1:20:36.520]  be found in this online video library, by weekly news television broadcast, thousands of exclusive
[1:20:36.520 --> 1:20:41.720]  audio interviews, and so much more. The info war is waiting for you to set it free. Join
[1:20:41.720 --> 1:20:47.760]  prisonplanet.tv. Burn the info bombs to disc. Put them on the file sharing networks. Bring
[1:20:47.760 --> 1:20:51.360]  down the new world order. Prisonplanet.tv.
[1:20:51.360 --> 1:20:55.560]  On the average, Americans work between 45 to 50 years, hoping to build up enough wealth
[1:20:55.560 --> 1:21:00.560]  to retire and live out their golden years. Unfortunately, with taxation, the rising cost
[1:21:00.560 --> 1:21:05.400]  of food, energy, housing, and medical, many retirees are forced to live below the poverty
[1:21:05.400 --> 1:21:09.440]  line. Is this a flaw for the enterprise, or is our monetary unit, we call the Federal
[1:21:09.440 --> 1:21:14.360]  Reserve Note, forcing us into perpetual debt, ensuring inflation, and higher taxes? These
[1:21:14.360 --> 1:21:18.320]  questions and more can be answered by reading G. Edward Griffin's book, The Creature from
[1:21:18.320 --> 1:21:22.760]  Jekyll Island. Congressman Ron Paul states, it's what every American needs to know about
[1:21:22.760 --> 1:21:27.840]  central bank power. A gripping adventure into the secret world of international banking
[1:21:27.840 --> 1:21:32.880]  cartel. Hi, this is Ted Anderson. I will give a silver dollar from the early 1900s to anyone
[1:21:32.880 --> 1:21:40.160]  who purchases this book. Call 1-800-686-2237 and order a copy today. It's critical that
[1:21:40.160 --> 1:21:47.360]  the public be made aware of the system. Call and order your copy today at 1-800-686-2237.
[1:21:47.360 --> 1:21:53.920]  That's 1-800-686-2237. It is now time to reign in evil and bring them
[1:21:53.920 --> 1:21:58.760]  to justice. Through the authority that has been delegated to us, it is time to destroy
[1:21:58.760 --> 1:22:03.720]  the destroyers. The number of the mounted troops was 200 million, the vast majority
[1:22:03.720 --> 1:22:08.200]  of the population of the U.S. Though the people of the U.S. where their numbers and influence
[1:22:08.200 --> 1:22:12.920]  are strongest have primary responsibility for reigning the man and bringing them to justice.
[1:22:12.920 --> 1:22:18.160]  All nations will participate since they reside the world over. They are called Illuminati.
[1:22:18.160 --> 1:22:23.720]  Elite, proponents of the New World Order. They oppose everything that is God and truth.
[1:22:23.720 --> 1:22:28.240]  They are of the line that was disinherited 2,000 years ago. Everything they have built
[1:22:28.240 --> 1:22:32.920]  over the centuries, the wealth they have accumulated, the power they have established, the poisoning
[1:22:32.920 --> 1:22:37.920]  of the masses, the destruction of the earth and mankind. We will undo through the authority
[1:22:37.920 --> 1:22:46.920]  that has now been delegated to us. Visit our website at UnveilingThem.com. That's U-N-V-E-I-L-I-N-G
[1:22:46.920 --> 1:22:53.600]  Them.com. The message of His Kingdom. Did you know the accumulation of acidic waste
[1:22:53.600 --> 1:22:58.240]  in the body is the single largest cause of disease such as cancer or diabetes? Acidic
[1:22:58.240 --> 1:23:02.240]  waste is created by the types of food we eat, what we drink, the environment and our high
[1:23:02.240 --> 1:23:06.840]  stress lifestyles. It's these choices that cause decreased energy, weight gain and eventually
[1:23:06.840 --> 1:23:11.840]  disease. The easiest way to reduce disease causing acidic waste is by drinking alkaline
[1:23:11.840 --> 1:23:16.800]  ionized water. At SnyderHealth.com we offer a full line of alkaline water ionizers from
[1:23:16.800 --> 1:23:22.720]  Jupiter Science, the leader in water ionization technology for over 25 years. Instantly transform
[1:23:22.720 --> 1:23:28.480]  ordinary tap water into clean, living, energized water containing alkaline minerals, disease
[1:23:28.480 --> 1:23:33.120]  fighting antioxidants and highly absorbable oxygen. Now you can easily and effectively
[1:23:33.120 --> 1:23:38.200]  rid your body of harmful acidic waste with alkaline ionized water. Let SnyderHealth.com
[1:23:38.200 --> 1:23:44.320]  provide the water ionizer that's right for you and your family. Call us today at 877-356-2508
[1:23:44.320 --> 1:24:02.760]  and visit us online at SnyderHealth.com. That's S-N-Y-D-E-R-Health.com.
[1:24:02.760 --> 1:24:07.800]  Alright ladies and gentlemen, we are back. I am Jason Bermas in for Alex Jones, Alex
[1:24:07.800 --> 1:24:14.440]  and Jim just giving us a blockbuster material from the Bilderberg conference where they honestly
[1:24:14.440 --> 1:24:19.040]  decide what's going to happen to this country and the world over the next 12 months until
[1:24:19.040 --> 1:24:23.480]  they meet again. I mean obviously they have a two week retreat over in the Bohemian Grove
[1:24:23.480 --> 1:24:28.200]  but that's around 3,000 members and although they have a lot of things going on there,
[1:24:28.200 --> 1:24:35.360]  this is a more concentrated group of people, only a couple hundred and I can't tell you
[1:24:35.360 --> 1:24:41.840]  how important it is that we talk about Bilderberg. Go check out John Ronson's special where he
[1:24:41.840 --> 1:24:45.880]  did a little series, I think it's Adventures with Extremists, Alex has an episode, David
[1:24:45.880 --> 1:24:50.120]  Eich has an episode, but Jim Tucker's episode about the Bilderberg group, they literally
[1:24:50.120 --> 1:24:54.680]  get followed by secret service agents and when they pull over the secret service agents
[1:24:54.680 --> 1:24:59.760]  just pull over right next to them. They hang out because they are being surveilled and
[1:24:59.760 --> 1:25:04.960]  I just want to remind people that you can get a boost to energy without this garbage
[1:25:04.960 --> 1:25:09.960]  rock star energy drink or monster energy drink. I've seen so many energy drinks that are just
[1:25:09.960 --> 1:25:13.960]  sugar and caffeine and now they have these little spot on energy, none of that's good
[1:25:13.960 --> 1:25:20.200]  for you folks. So why don't you go to enterfood.com that's E N E R food dot com or you can call
[1:25:20.200 --> 1:25:28.920]  them at 866-762-9238 that's 866-762-9238. Alright let's go to my guest who's been patiently
[1:25:28.920 --> 1:25:34.120]  holding for the last 15-20 minutes. We have Adam Cunnington of Kentucky, we are changed
[1:25:34.120 --> 1:25:37.560]  one of the true info warriors out there. Adam how you doing?
[1:25:37.560 --> 1:25:42.520]  Pretty good, good afternoon Jason. Now how did you get involved in We Are Change? I mean
[1:25:42.520 --> 1:25:49.080]  this is an organization that has just exploded over the past almost two years now, it's been
[1:25:49.080 --> 1:25:53.360]  a little less than two years since Luke put it together. Chapters throughout the country,
[1:25:53.360 --> 1:25:56.400]  throughout the world really and why don't you tell us a little bit about how you got
[1:25:56.400 --> 1:26:03.600]  started and your chapter over in Kentucky? Well I didn't really see any type of real
[1:26:03.600 --> 1:26:09.880]  organization with anything going on here in the Louisville area. And from my studies
[1:26:09.880 --> 1:26:15.560]  within Madeline 11 Truth online I came across some of the very first We Are Change videos
[1:26:15.560 --> 1:26:21.560]  of New York and really appreciated what they were doing. You know taking the patriotic stance
[1:26:21.560 --> 1:26:31.120]  going at it, going at the people that are actually committing these crimes atrocities
[1:26:31.120 --> 1:26:36.960]  and confronting them face-to-face and I just respected that so much that I had to do something,
[1:26:36.960 --> 1:26:49.280]  I had to take organizational status here in my own area and that's pretty much how I
[1:26:49.280 --> 1:26:53.440]  started to prepare. So really you just saw other people coming out doing what's right
[1:26:53.440 --> 1:26:57.080]  and you said you know what I want to be a part of this, this is one of the few groups
[1:26:57.080 --> 1:27:01.640]  out there that truly is organic, that is talking about the real issues that are confronting
[1:27:01.640 --> 1:27:05.400]  the big boys and what did you do? Just email Luke and he kind of gave you a little bit
[1:27:05.400 --> 1:27:11.480]  of direction, I know that's who I send people to. Yeah I just emailed Luke, asked him if
[1:27:11.480 --> 1:27:17.600]  it would be alright if I created a chapter here out of the Louisville area and he pretty
[1:27:17.600 --> 1:27:25.440]  much said that would be fine. So I went from there, started organizing with what I found
[1:27:25.440 --> 1:27:32.080]  with a couple other people and they started also an Outlet and Truth global group. So
[1:27:32.080 --> 1:27:43.240]  now we've got fairly large, done such confrontations as Tom Brokaw, Lee Hamilton, Ted Nugent, Oliver
[1:27:43.240 --> 1:27:47.800]  North as of recent. Well that was you guys and Oliver North, I mean I recently saw that
[1:27:47.800 --> 1:27:50.720]  video, I didn't know that was you guys in Kentucky, why don't you tell people about
[1:27:50.720 --> 1:27:59.720]  that, they literally took your videos right? Yeah that was me and we are changing Kentucky
[1:27:59.720 --> 1:28:08.520]  doing a combined effort with we are changing Ohio and Cody Dee to come down and do the
[1:28:08.520 --> 1:28:16.840]  NRA event. He did address your questions but he always was spinning it, were you the guy
[1:28:16.840 --> 1:28:22.840]  that was standing up actually asking the questions? No that was Cody Dee from we are changing
[1:28:22.840 --> 1:28:28.200]  Ohio. Well when Cody's asking the questions, Oliver North, he's a pretty smart guy and
[1:28:28.200 --> 1:28:32.800]  he keeps phrasing it that this is going to be a constitutional government, a constitutional
[1:28:32.800 --> 1:28:36.440]  government. Now when he brings up the fact and he says well you're getting your information
[1:28:36.440 --> 1:28:42.280]  from the internet and he's like well no I saw the hearing of Iran Contra where Brooks
[1:28:42.280 --> 1:28:47.680]  asks you about it and the suspension of the constitution and he doesn't want to talk
[1:28:47.680 --> 1:28:51.440]  about that aspect of it, he never wants to talk about the suspension of the constitution,
[1:28:51.440 --> 1:28:56.000]  he doesn't want to talk about how continuity of government doesn't necessarily have a constitutionally
[1:28:56.000 --> 1:29:01.040]  elected leader and he doesn't want to discuss how those FEMA camps have been built all throughout
[1:29:01.040 --> 1:29:05.160]  the country for us, they're not for anybody else, you know we're not putting foreigners
[1:29:05.160 --> 1:29:11.400]  in there okay and they're there, all you have to do is type in FEMA camps and what really
[1:29:11.400 --> 1:29:16.440]  disturbs me most is that Aliburton got the private contracts to build these things and
[1:29:16.440 --> 1:29:20.200]  then they took their offices and moved them out to Dubai, why would they move them to
[1:29:20.200 --> 1:29:25.160]  Dubai? Well so we don't have access to them if they want to round us up. Adam Cunnington
[1:29:25.160 --> 1:29:28.080]  of We Are Changed Kentucky, we're going to talk to them on the other side, this is the
[1:29:28.080 --> 1:29:47.400]  Alex Jones show. We're on the march, the empire's on the run. Alex Jones and the GCN
[1:29:47.400 --> 1:29:53.280]  radio network. Do you stay up late worrying about your teen
[1:29:53.280 --> 1:29:57.640]  driver? Do you need to know the exact location of a loved one or a company vehicle? What can
[1:29:57.640 --> 1:30:01.440]  you do if your vehicle becomes one of the thousands annually targeted for theft? Now
[1:30:01.440 --> 1:30:06.120]  you can log into your own personal website and view the exact location of your vehicle
[1:30:06.120 --> 1:30:11.920]  stationary or moving in real time, 24 hours a day, introducing NowTrack, a revolutionary
[1:30:11.920 --> 1:30:17.800]  new GPS vehicle tracking device that requires no activation fee, no monthly fee and no contract.
[1:30:17.800 --> 1:30:22.200]  Your NowTrack device is designed for self installation discreetly in any vehicle using
[1:30:22.200 --> 1:30:27.520]  state of the art GPS. Track your vehicle via the internet or text message in all 50 states
[1:30:27.520 --> 1:30:33.920]  plus Canada, Mexico and Puerto Rico priced at $359. Your NowTrack device is shipped active
[1:30:33.920 --> 1:30:38.280]  with unlimited tracking for the first year. We offer free same day shipping and a 30 day
[1:30:38.280 --> 1:30:43.240]  completely risk free trial. Purchase your NowTrack anytime online at NowTrack.com that's
