[00:00:03.107 --> 00:00:04.067]  Altercation in St.
[00:50:19.833 --> 00:50:21.974]  This is all about big money.
[00:50:21.974 --> 00:50:35.382]  Here is the live show feed today that has Dr. Mercola's full article where he quotes Bill and Melinda Gates funded groups, their spokespersons, calling for the military and CIA to silence him and 11 others.
[00:50:35.382 --> 00:50:40.085]  Emergency Tuesday broadcast, Bill Gates Foundation calls for CIA, U.S.
[00:50:40.085 --> 00:50:43.987]  military, to silence anti-vaxxers.
[00:50:43.987 --> 00:50:45.508]  Because we're going to cause death
[00:50:46.627 --> 00:50:49.869]  By not taking our shot, because it won't work if we don't all take it.
[00:50:49.869 --> 00:50:52.831]  Really, I thought you're protected if you take it.
[00:50:52.831 --> 00:50:54.773]  But why isn't Russia accepting our vaccine?
[00:50:54.773 --> 00:50:55.834]  Why isn't China?
[00:50:55.834 --> 00:50:56.614]  Why isn't India?
[00:50:56.614 --> 00:51:01.177]  Well, because everybody knows America and Europe's targeted for termination.
[00:51:01.177 --> 00:51:02.138]  So is Australia.
[00:51:02.138 --> 00:51:03.939]  We get the poison shots.
[00:51:03.939 --> 00:51:05.200]  So does Africa.
[00:51:05.200 --> 00:51:06.301]  So does Latin America.
[00:51:06.301 --> 00:51:08.122]  Other people are like, are you kidding us?
[00:51:08.122 --> 00:51:09.043]  Experimental stuff?
[00:51:09.043 --> 00:51:13.166]  We're not violating the Nuremberg Code on illegal experimentation?
[00:51:13.166 --> 00:51:14.087]  That's for you!
[00:51:15.271 --> 00:51:19.614]  And John Oliver's going to lecture us, us stupid Americans.
[00:51:19.614 --> 00:51:20.915]  Oh, look at this little headline.
[00:51:20.915 --> 00:51:32.044]  WHO calls for another $45 billion to vaccinate most adults across the globe and WN standardized global passport that tracks everywhere you go.
[00:51:32.044 --> 00:51:34.306]  Now the UN controls your medical records.
[00:51:34.306 --> 00:51:35.487]  That's not a problem.
[00:51:35.487 --> 00:51:38.729]  I mean, look, John Oliver's an intellectual.
[00:51:38.729 --> 00:51:40.150]  Oh, my gosh, he's so smart.
[00:51:40.150 --> 00:51:41.151]  He talks down to us.
[00:51:42.396 --> 00:51:43.556]  Oh my gosh, we're such cooks.
[00:51:43.556 --> 00:51:46.417]  I mean, India banned it, and they're idiots too.
[00:51:46.417 --> 00:51:48.418]  And you know, the Chinese won't take it.
[00:51:48.418 --> 00:51:50.439]  The government banned the mRNA, Pfizer, and Moderna.
[00:51:50.439 --> 00:51:59.841]  But again, you'll never see that unless you're tuned into InfoWars, because you make sure, you know, the big tech makes sure everybody's completely and totally censored.
[00:51:59.841 --> 00:52:06.043]  And again, here's the federal government's own website, the EDU, vaccine ingredients, fetal cells, it's all there.
[00:52:06.043 --> 00:52:08.224]  But you know, he said that nobody
[00:52:09.165 --> 00:52:10.906]  There's not fetal cells in any of it.
[00:52:10.906 --> 00:52:11.966]  That's a lie.
[00:52:11.966 --> 00:52:13.307]  Nobody ever got sick.
[00:52:13.307 --> 00:52:14.547]  Nobody ever died.
[00:52:14.547 --> 00:52:16.568]  Nothing ever happened.
[00:52:16.568 --> 00:52:19.470]  Get vaccinated, says the beetle creature.
[00:52:19.470 --> 00:52:21.330]  He literally trotted out there.
[00:52:21.330 --> 00:52:24.652]  And then he hides behind, oh, I'm just a comedian.
[00:52:24.652 --> 00:52:28.534]  Let's go ahead and play the next John Oliver clip from yesterday.
[00:52:28.534 --> 00:52:29.254]  Here it is.
[00:52:30.111 --> 00:52:30.431]  Authorized.
[00:52:30.431 --> 00:52:30.711]  Approved.
[00:52:30.711 --> 00:52:35.615]  No, they skipped the approval process and did live testing on the general population and had huge problems.
[00:52:35.615 --> 00:52:41.901]  The British, when they started doing it six months ago, paused it and said nobody above 75, nobody under 16, nobody pregnant.
[00:52:58.297 --> 00:53:01.838]  Because it killed so many damn people, you little monster!
[00:53:01.838 --> 00:53:05.898]  It's banned in a bunch of countries, you little monster!
[00:53:05.898 --> 00:53:10.659]  And just because you're reading all the teleprompter doesn't mean you're not aware of what you're doing.
[00:53:10.659 --> 00:53:11.800]  This is on you.
[00:53:11.800 --> 00:53:24.962]  You are aiding and abetting Joseph Mingle level illegal testing and now every channel says they want to bully us into submission to take it, to have a job, to get in a car, to get on a plane, to go to the grocery store!
[00:53:25.737 --> 00:53:29.658]  They go, we all made you wear a mask, now we want to make you take the shot.
[00:53:29.658 --> 00:53:37.041]  Oh, and the new shots they're announcing are micro glass on a patch that goes into your body and tracks you.
[00:53:37.041 --> 00:53:42.003]  And suddenly, oh yeah, the Army's going to get chips under their skin to track them, but it's no big deal.
[00:53:42.003 --> 00:53:45.404]  It tracks you, but it doesn't track you.
[00:53:45.404 --> 00:53:46.965]  Let's go back to John Oliver.
[00:53:48.402 --> 00:54:00.648]  The Pfizer and Moderna vaccines are the first authorized to use messenger RNA, which is true, but that has given rise to speculation about what mRNA is capable of doing.
[00:54:00.648 --> 00:54:08.531]  Basically anyone taking these vaccines, they're all designed for the same thing, is going to have neurological disorders within one year.
[00:54:08.531 --> 00:54:11.132]  Most of the people taking the vaccine will be dead within 10.
[00:54:11.132 --> 00:54:13.093]  Let me tell you something, you take
[00:54:14.085 --> 00:54:19.149]  The mRNA, it creates plaque in your brain, it gives you Alzheimer's, and I got the studies too.
[00:54:19.149 --> 00:54:21.530]  So, hey, you think they just put fluoride in the water to dumb you down?
[00:54:21.530 --> 00:54:22.631]  Woo!
[00:54:22.631 --> 00:54:26.314]  Man, Alex Jones is having a flaw.
[00:54:26.314 --> 00:54:41.125]  Now, you notice he didn't show the part of the show where I showed four different articles a few weeks ago from prestigious studies when they did mRNA similar things on pigs and on sheep and on poultry and on rats.
[00:54:41.841 --> 00:54:47.645]  And it caused brain fog and grew prions in the brain.
[00:54:47.645 --> 00:54:49.947]  And they try to poo-poo this and whitewash it.
[00:54:49.947 --> 00:54:53.949]  There's a major discussion about this, and there's major papers out.
[00:54:53.949 --> 00:54:56.031]  Oh, but he's crazy again, right?
[00:54:56.031 --> 00:54:59.773]  And Bill Gates isn't funding trackable nanochips in the vaccines either.
[00:54:59.773 --> 00:55:01.074]  We just showed you that.
[00:55:01.074 --> 00:55:02.075]  Let's continue.
[00:55:02.075 --> 00:55:03.316]  Tell you something.
[00:55:03.316 --> 00:55:08.720]  You take the mRNA, it creates plaque in your brain, it gives you Alzheimer's, and I got the studies too.
[00:55:09.830 --> 00:55:13.333]  So, hey, you think they just put fluoride in the water to dumb you down?
[00:55:13.333 --> 00:55:16.715]  Man, Alex Jones is having a blast, isn't he?
[00:55:16.715 --> 00:55:20.939]  No one else has as much fun while making the world a worse place to live in.
[00:55:20.939 --> 00:55:24.802]  It's like he invented a jetpack that sprays everyone beneath him with human sh-
[00:55:25.925 --> 00:55:33.049]  But the thing is, there is absolutely no evidence or credible studies supporting any of what he just said.
[00:55:33.049 --> 00:55:42.435]  As for the claim that mRNA vaccines modify your DNA, it is very important to know that the vaccine's mRNA does not enter our genome.
[00:55:42.435 --> 00:55:47.138]  It does its work far from the cell's nucleus, which is where your DNA is.
[00:55:47.138 --> 00:55:48.138]  Alright, stop him again.
[00:55:48.138 --> 00:55:49.959]  Let's counter that.
[00:55:49.959 --> 00:55:52.681]  We've covered hundreds of articles at medical doctors, on virologists,
[00:55:53.542 --> 00:56:00.686]  The virus vector and the mRNA can go in and damage the mitochondria because it programs the ribosomes to then program.
[00:56:00.686 --> 00:56:04.968]  So it's like saying, my 357 Magnum didn't kill you.
[00:56:04.968 --> 00:56:07.049]  No, the bullet it fired out did.
[00:56:07.049 --> 00:56:09.731]  So it fires bullets into the damn cell.
[00:56:09.731 --> 00:56:10.951]  The virus vector does.
[00:56:10.951 --> 00:56:14.393]  The other one programs the body to carry it into the cell.
[00:56:14.393 --> 00:56:21.817]  It's like saying if UPS delivered a bomb to your door of plastic explosives, five pounds of plastic explosives with a ticking time bomb.
[00:56:22.719 --> 00:56:24.920]  Did UPS blow your house up or did the explosives?
[00:56:24.920 --> 00:56:31.643]  No, technically the explosives did, but you take the package, you go in, you open it up, and it blows your house up.
[00:56:31.643 --> 00:56:35.764]  Evidence-based perspectives on mRNA SARS COVID vaccine development.
[00:56:35.764 --> 00:56:39.846]  There's a big study right there for you.
[00:56:39.846 --> 00:56:41.907]  All right, look, I gotta go to break.
[00:56:41.907 --> 00:56:43.508]  I'm gonna get into the economy stuff I mentioned.
[00:56:43.508 --> 00:56:45.028]  It's so huge, and a bunch of other stuff.
[00:56:45.028 --> 00:56:48.630]  We have a special guest joining us as well, but this is just insane.
[00:56:48.630 --> 00:56:48.890]  But the
[00:56:50.180 --> 00:56:53.723]  Turning the military and the FBI and the CIA loose on people.
[00:56:53.723 --> 00:56:55.924]  Now the Vaxxers are called extremists.
[00:56:55.924 --> 00:56:57.045]  See how that works?
[00:56:57.045 --> 00:56:57.806]  Oh, you're an extremist?
[00:56:57.806 --> 00:56:59.227]  I'm going to arrest you.
[00:56:59.227 --> 00:57:00.808]  Well, they've always called terrorists extremists.
[00:57:00.808 --> 00:57:05.672]  Well, that doesn't sound like a strong enough word until you realize it means terrorist.
[00:57:05.672 --> 00:57:06.532]  Oh yeah, I forgot.
[00:57:06.532 --> 00:57:13.377]  Bill Gates's ingredient that allows him to track you is called Lucifer or Lucifer Ease.
[00:57:13.377 --> 00:57:14.778]  You can't make this up.
[00:57:14.778 --> 00:57:15.779]  Don't read the patent.
[00:57:15.779 --> 00:57:16.760]  You just can't make it up.
[00:57:17.523 --> 00:57:20.125]  Yeah, it's called Lucifer.
[00:57:20.125 --> 00:57:20.925]  Please.
[00:57:20.925 --> 00:57:24.167]  Oh, by the way, I got so busy I didn't cut the new ads for the new specials.
[00:57:24.167 --> 00:57:27.209]  So we've extended the turmeric.
[00:57:27.209 --> 00:57:27.549]  50% off.
[00:57:27.549 --> 00:57:28.730]  Body's Ultimate Turmeric Formula.
[00:57:28.730 --> 00:57:30.131]  It's been out for so many months.
[00:57:30.131 --> 00:57:30.671]  50% off.
[00:57:30.671 --> 00:57:32.492]  One more day and then it's gone.
[00:57:32.492 --> 00:57:35.314]  So take advantage of Body's Ultimate Turmeric Formula.
[00:57:35.314 --> 00:57:39.577]  It's so good for your immune system, so good for your joints, so good for your everything.
[00:57:39.577 --> 00:57:40.257]  It's 50% off.
[00:57:40.257 --> 00:57:41.478]  Infowarstore.com.
[00:57:41.478 --> 00:57:42.759]  Body's.
[00:57:42.759 --> 00:57:44.640]  50% off for one more day and it supports the broadcast.
[00:57:48.055 --> 00:57:57.620]  It was our number two best-selling product until the ongoing COVID lockdowns destroyed the supply chain, and it's been six months since we had MAHDI's, our ultimate turmeric formula.
[00:57:57.620 --> 00:58:00.462]  And what's been holding up the last few months is the bottle cap.
[00:58:00.462 --> 00:58:01.623]  That's why this one's white.
[00:58:01.623 --> 00:58:03.684]  I said, I don't care if the cap doesn't match.
[00:58:03.684 --> 00:58:04.864]  Get it packaged.
[00:58:04.864 --> 00:58:05.545]  Get it to us.
[00:58:05.545 --> 00:58:08.306]  Get it shipped out because it's amazing for information.
[00:58:08.306 --> 00:58:10.187]  It's amazing for your immune system.
[00:58:10.187 --> 00:58:11.548]  It's amazing on so many fronts.
[00:58:11.548 --> 00:58:14.190]  Normal turmeric is at three to five percent, and it's great.
[00:58:14.190 --> 00:58:14.630]  People love it.
[00:58:14.950 --> 00:58:22.253]  This is concentrated, 95% curcuminoid, and it's 50% off at InfoWarsTore.com right now.
[00:58:22.253 --> 00:58:26.655]  So Bodies is back in stock, 50% off at InfoWarsTore.com.
[00:58:26.655 --> 00:58:31.597]  We also have other great products back in stock like Bazzo Beats, Prostagard, and so much more.
[00:58:31.597 --> 00:58:37.779]  And these are great products for old people, for young people, for black people, for white people, for women, for men, for children, for everybody.
[00:58:37.779 --> 00:58:39.240]  These are products that enrich
[00:58:39.560 --> 00:58:40.481]  Your life.
[00:58:40.481 --> 00:58:42.404]  So, Body's Ultimate Turmeric Formula.
[00:58:42.404 --> 00:58:45.588]  Back in stock for a limited time at InfoWarsTore.com.
[00:58:45.588 --> 00:58:46.669]  Get yours while you still can.
[00:58:49.355 --> 00:58:50.896]  Gerald in South Carolina.
[00:58:50.896 --> 00:58:51.656]  Go ahead, you're on the air.
[00:58:51.656 --> 00:58:52.416]  Trying to move quicker.
[00:58:52.416 --> 00:58:53.237]  Hey, Alex.
[00:58:53.237 --> 00:58:53.677]  Welcome.
[00:58:53.677 --> 00:58:58.839]  Would like to say, first off, thanks for being the voice of reason in amongst all this stupidity.
[00:58:58.839 --> 00:59:02.221]  Wanted to warn people, I've been trying to get a hold of you for a year, okay?
[00:59:02.221 --> 00:59:08.684]  I'm a double amputee, and I have bacteria infection on my lung that'll never go away.
[00:59:08.684 --> 00:59:10.344]  Living Defense saved my life.
[00:59:10.344 --> 00:59:14.486]  They had me on antibiotics for two years that almost killed me.
[00:59:14.486 --> 00:59:15.927]  Living Defense brought me back.
[00:59:16.207 --> 00:59:21.632]  I wanted to just quote from the Bible Jesus is saying as to where we are right now.
[00:59:21.632 --> 00:59:24.154]  This is Matthew 24 verse 9.
[00:59:24.154 --> 00:59:33.463]  Then they shall deliver you up to be afflicted and shall kill you and ye shall be hated of all nations for my name's sake.
[00:59:33.463 --> 00:59:38.887]  And then shall many be offended and shall betray one another and shall hate one another.
[00:59:38.887 --> 00:59:40.429]  That's right where we're at, brother.
[00:59:40.609 --> 00:59:52.040]  And that's because God's name is on the founding of this country no matter what they say, and that's why the enemy hates it, because God created this country.
[00:59:52.040 --> 00:59:54.663]  You're listening to the Alex Jones Show.
[01:00:17.304 --> 01:00:30.431]  So, I was on air a few weeks ago reading four different studies from, again, very respected institutions of the connection of mRNA and it growing plaques in the brain, particularly if you already have plaques.
[01:00:31.835 --> 01:00:36.837]  So it really hits people that already have any type of problems with their brain from plaques.
[01:00:36.837 --> 01:00:41.438]  Once you have plaque, more plaque grows in it, which is really a protein crystal.
[01:00:41.438 --> 01:00:42.639]  Here's another big one.
[01:00:42.639 --> 01:00:45.240]  Microbiology and infectious disease.
[01:00:45.240 --> 01:00:50.541]  COVID-19 RNA-based vaccines and the risk of prion disease.
[01:00:50.541 --> 01:00:59.084]  But you just saw John Oliver say that yours truly, Alex Jones, is just a complete liar that flies around in a jet pack spewing feces on people.
[01:00:59.084 --> 01:00:59.945]  Oh, how intellectual!
[01:00:59.945 --> 01:01:00.525]  How cute!
[01:01:00.525 --> 01:01:01.045]  How funny!
[01:01:01.956 --> 01:01:07.159]  China and India have banned the mRNA vaccines, but that's okay.
[01:01:07.159 --> 01:01:09.520]  Because we're all just dumb Americans if we don't want to take it.
[01:01:09.520 --> 01:01:11.140]  I mean, that's checkmate!
[01:01:11.140 --> 01:01:14.042]  This is being banned all over the world!
[01:01:14.042 --> 01:01:20.165]  AstraZeneca's banned in 21 European countries alone, and Biden just dumped it on India!
[01:01:20.165 --> 01:01:21.705]  The blood clots!
[01:01:21.705 --> 01:01:24.627]  Attacking the proteins!
[01:01:24.627 --> 01:01:25.027]  Holy...
[01:01:26.403 --> 01:01:27.043]  Toledo.
[01:01:27.043 --> 01:01:34.226]  Yeah, they've even got studies showing the graphics, showing it eating your brain cells, showing it attacking your heart cells.
[01:01:34.226 --> 01:01:35.386]  I mean, my God!
[01:01:35.386 --> 01:01:37.027]  This is super well known!
[01:01:37.027 --> 01:01:37.867]  But it's okay.
[01:01:37.867 --> 01:01:44.030]  The little cutesy movie star, with his little twit accent, looked down his nose at us.
[01:01:44.030 --> 01:01:44.510]  Here he is.
[01:01:45.908 --> 01:01:49.293]  Man, Alex Jones is having a blast, isn't he?
[01:01:49.293 --> 01:01:53.519]  No one else has as much fun while making the world a worse place to live in.
[01:01:53.519 --> 01:01:57.365]  It's like he invented a jetpack that sprays everyone beneath him with human sh...
[01:01:58.502 --> 01:02:05.605]  But the thing is, there is absolutely no evidence or credible studies supporting any of what he just said.
[01:02:05.605 --> 01:02:14.509]  As for the claim that mRNA vaccines modify your DNA, it is very important to note that the vaccine's mRNA does not enter our genome.
[01:02:14.509 --> 01:02:15.189]  It doesn't work.
[01:02:15.189 --> 01:02:15.970]  Oh look, it does!
[01:02:15.970 --> 01:02:17.210]  The Washington Post said so!
[01:02:17.210 --> 01:02:18.811]  The Washington Post said so!
[01:02:18.811 --> 01:02:26.154]  I've got all the papers, all the reports before a year ago saying yes, it's genetic engineering, yes, it changes your DNA, but get over it.
[01:02:26.997 --> 01:02:29.579]  But now it's, oh no, we're not doing that!
[01:02:29.579 --> 01:02:31.541]  Continue.
[01:02:31.541 --> 01:02:35.724]  Far from the cell's nucleus, which is where your DNA is.
[01:02:35.724 --> 01:02:40.608]  But the fear of what the vaccine contains or what it could do to you seems to be common.
[01:02:40.608 --> 01:02:46.613]  Some evangelicals are concerned that it contains cells from aborted fetuses, which it does not.
[01:02:46.613 --> 01:02:47.394]  Pause again.
[01:02:47.394 --> 01:02:52.658]  That is a gigantic super whopper.
[01:02:52.658 --> 01:02:56.181]  Almost all of them do, and I just showed you last hour the articles.
[01:02:56.181 --> 01:02:56.541]  Continue.
[01:02:57.418 --> 01:03:00.379]  Others worry that it could change the body's inner workings.
[01:03:00.379 --> 01:03:04.640]  You might have had a friend tell you that they are worried that the vaccines cause infertility.
[01:03:04.640 --> 01:03:16.944]  Those rumours were fuelled by a blog post which falsely claimed that Pfizer's vaccine contained ingredients capable of training the female body to attack a protein that plays a crucial role in the development of the placenta.
[01:03:16.944 --> 01:03:17.765]  But a few things there.
[01:03:17.765 --> 01:03:18.645]  First... Pass again!
[01:03:19.265 --> 01:03:30.954]  It was Wolfgang Wudar, one of the head of the EU Advisory Board, and the former chief executive of science at Pfizer, Dr. Yidan, that put that in a huge emergency filing in the EU court December 1st.
[01:03:30.954 --> 01:03:34.357]  You lying monster Joseph Mingala apologist.
[01:03:34.357 --> 01:03:34.817]  Let's continue.
[01:03:36.198 --> 01:03:42.162]  Experts say of that claim, it's a myth, it's inaccurate, there is no evidence to support it.
[01:03:42.162 --> 01:03:46.484]  And there is already pretty good proof that Pfizer's vaccine doesn't cause infection.
[01:03:46.484 --> 01:03:47.264]  Oh, stop again.
[01:03:47.264 --> 01:03:49.506]  That's the New York Times told us Saddam had WMDs.
[01:03:49.506 --> 01:03:54.429]  Oh, oh, oh, the one that said Giuliani was under Russian control, which now meant was totally fake.
[01:03:54.429 --> 01:03:54.969]  Oh, that one.
[01:03:54.969 --> 01:03:55.929]  Sorry, go ahead.
[01:03:55.929 --> 01:04:03.374]  During the trials last year, multiple women became pregnant and the only one who suffered a pregnancy loss was given the placebo.
[01:04:03.374 --> 01:04:05.355]  So it is just not true.
[01:04:06.109 --> 01:04:06.489]  We're good to go.
[01:04:26.324 --> 01:04:38.888]  I want to get into the economy, but first I want to hit how they're going to try to criminalize not wanting to take these deadly poison gene therapies that were never even approved, that are banned all over the world, and they act like we're total kooks and like, well of course every business is going to make you have it.
[01:04:38.888 --> 01:04:39.808]  Of course you'll be fired.
[01:04:39.808 --> 01:04:41.689]  Of course you've got to have it to come in the grocery store.
[01:04:41.689 --> 01:04:43.369]  Of course you've got to have it.
[01:04:43.369 --> 01:04:44.909]  This is just outrageous.
[01:04:44.909 --> 01:04:46.670]  If we call it bluff, it's over.
[01:04:46.670 --> 01:04:48.831]  We submit, it only gets worse from here.
[01:04:48.831 --> 01:04:51.591]  As for me, I'm fighting back and never backing down.
[01:04:51.591 --> 01:04:52.272]  We'll be right back.
[01:04:52.272 --> 01:04:53.492]  Please keep us in your prayers.
[01:04:57.270 --> 01:05:09.059]  Last week I had a caller to my radio slash TV transmission and he said to me, he said, Alex, there's all these facts and all these numbers and vaccines being recalled and people dying from it and people getting sick.
[01:05:09.059 --> 01:05:14.422]  How do I reach out to my friends and family and explain to them and to warn them about the danger?
[01:05:14.422 --> 01:05:18.065]  And I said to him something very profound because it's so true.
[01:05:18.065 --> 01:05:19.986]  Trust your gut, trust your spirit.
[01:05:19.986 --> 01:05:20.947]  That's what the Bible tells us.
[01:05:21.323 --> 01:05:27.409]  And I said, ask those friends, those family, those neighbors, do you feel good about this vaccine?
[01:05:27.409 --> 01:05:29.511]  And his answer was, no, they don't feel good about it.
[01:05:29.511 --> 01:05:31.392]  So go with your gut.
[01:05:31.392 --> 01:05:33.054]  Well, let me ask you again.
[01:05:33.054 --> 01:05:35.056]  How does your gut feel about getting storable food?
[01:05:35.914 --> 01:05:38.075]  How does your gut feel about getting out in the countryside?
[01:05:38.075 --> 01:05:41.356]  How does your gut feel about getting guns and ammo to protect yourself?
[01:05:41.356 --> 01:05:43.016]  Well, I know what your gut's telling you.
[01:05:43.016 --> 01:05:47.438]  We have the best storable food with the highest quality at the lowest prices you're going to find.
[01:05:47.438 --> 01:05:52.379]  10% off at InfoWarStore.com right now or PrepareWithAlex.com.
[01:05:52.379 --> 01:05:54.800]  Go with your gut and fund the InfoWar.
[01:05:54.800 --> 01:05:56.321]  InfoWarStore.com.
[01:06:05.083 --> 01:06:20.169]  We now take you live to the Central Texas Command Center, in the heart of the resistance, rallying patriots worldwide.
[01:06:20.169 --> 01:06:28.032]  You're listening to the Alex Jones Show.
[01:06:28.032 --> 01:06:33.815]  Ladies and gentlemen, we are now into hour number two.
[01:06:34.787 --> 01:06:38.070]  And I'm simply asking you to stand up and be counted!
[01:06:38.070 --> 01:06:39.110]  Crank it up!
[01:06:39.110 --> 01:06:41.912]  For what you're about to receive!
[01:06:41.912 --> 01:06:46.296]  We are putting out the truth, ladies and gentlemen.
[01:06:46.296 --> 01:06:50.159]  We are standing against the bullies and the tyrants.
[01:06:50.159 --> 01:07:02.027]  Hundreds of billions of dollars have been spent by the Rockefeller Foundation, the IBM Foundation, the Bill & Melinda Gates Foundation, to buy up all the major health departments of the world.
[01:07:02.027 --> 01:07:03.909]  But it's backfired in the last five years,
[01:07:04.735 --> 01:07:08.398]  It's been going on for about 30 intensely.
[01:07:08.398 --> 01:07:22.391]  It really was set in motion in earnest in 1974 with State Department Memorandum 200 that was later declassified in 1979 as U.S.
[01:07:22.391 --> 01:07:28.657]  government policy to carry out depopulation, not just here but worldwide, and it followed the British plan on population.
[01:07:29.662 --> 01:07:34.606]  There's a full report breaking that down on Band.Video if you want to see it and share it with folks.
[01:07:34.606 --> 01:07:47.055]  It's a 12-minute video in the report and we shot it last night and it's got clips and all the documents, the admissions of Bill Gates being a eugenicist for depopulation, him receiving awards for depopulation.
[01:07:47.055 --> 01:07:53.621]  It's titled, Learn the Secrets of Bill and Melinda Gates' Divorce from Alex Jones.
[01:07:53.621 --> 01:07:56.983]  And we stayed up here until 8 last night to get that out to you.
[01:07:56.983 --> 01:07:59.305]  It's a very, very important report.
[01:08:00.302 --> 01:08:03.043]  Because he's just the front man for all this.
[01:08:03.043 --> 01:08:06.843]  And I'll give you the good news, as I said last hour.
[01:08:06.843 --> 01:08:16.605]  The fact that Pfizer has been kicked out of China and kicked out of India saying it doesn't work and it's dangerous.
[01:08:16.605 --> 01:08:19.406]  That's checkmate for John Oliver.
[01:08:19.406 --> 01:08:21.526]  That's checkmate for Chuckie Schumer.
[01:08:21.526 --> 01:08:26.287]  That's checkmate for all these globalists that want to sit up there and
[01:08:27.199 --> 01:08:28.120]  So this is crazy!
[01:08:28.120 --> 01:08:33.022]  It's totally safe, totally tested, no one's ever gotten hurt at all, it's wonderful!
[01:08:33.022 --> 01:08:36.725]  When they're lying to you, they're gaslighting you.
[01:08:36.725 --> 01:08:52.274]  And then you've got other major vaccine makers, not just Merck, but a whole bunch of them pulling out and going, you can't make a vaccine for the common cold that works.
[01:08:52.274 --> 01:08:53.895]  And the way that we've been asked by
[01:08:54.665 --> 01:09:02.186]  The UN and by the federal government and by the CDC of what they want the vaccine to do, because they tell them what they want to accelerate something.
[01:09:02.186 --> 01:09:05.327]  They go, this will attack proteins in the body.
[01:09:05.327 --> 01:09:11.228]  And so when prestigious scientists come out from across the world that head up major EU advisory boards, you name it.
[01:09:11.228 --> 01:09:21.730]  I mean, the former chief scientist at Pfizer went public and said, this is going to attack people's proteins in their brain, their heart, their uteruses, you name it.
[01:09:21.730 --> 01:09:23.310]  Any fast growing cells have this protein.
[01:09:25.222 --> 01:09:30.764]  John Oliver goes, Well, look at this!
[01:09:30.764 --> 01:09:33.065]  They got it off a blog post!
[01:09:33.065 --> 01:09:35.967]  My imitation was not very good.
[01:09:35.967 --> 01:09:39.788]  It's all made up from Alex Jones and his poo-poo jetpack.
[01:09:39.788 --> 01:09:41.729]  He actually said that.
[01:09:41.729 --> 01:09:42.990]  Look, I got a green tie.
[01:09:42.990 --> 01:09:44.931]  I'm an intellectual.
[01:09:44.931 --> 01:09:50.013]  Left to stink someone with a low-class English accent who's a rocket scientist.
[01:09:52.054 --> 01:09:56.276]  I mean, he's got the accent of a guy that'll steal your watch when you're in downtown London.
[01:09:56.276 --> 01:09:59.678]  So that's who these sniveling criminals are.
[01:09:59.678 --> 01:10:00.618]  And he is a criminal.
[01:10:00.618 --> 01:10:02.259]  He takes money from Bill Gates.
[01:10:02.259 --> 01:10:03.900]  HBO takes money from Bill Gates.
[01:10:03.900 --> 01:10:05.941]  All these programs are paid for.
[01:10:05.941 --> 01:10:10.143]  So remember that.
[01:10:10.143 --> 01:10:13.445]  And go read the article, Former Pfizer VP Blows the Lid Off Vaccine Scheme.
[01:10:13.445 --> 01:10:17.767]  Entirely possible this will be used for massive scale depopulation.
[01:10:17.767 --> 01:10:18.247]  Close quote.
[01:10:21.323 --> 01:10:23.084]  So I want to play a few minutes of Tucker Carlson.
[01:10:23.084 --> 01:10:24.104]  It's a whole 16-minute report.
[01:10:24.104 --> 01:10:25.705]  He did an excellent job.
[01:10:25.705 --> 01:10:28.066]  He's getting more hardcore on the issue.
[01:10:28.066 --> 01:10:29.927]  Who are these people saying what you've got to put in your body?
[01:10:29.927 --> 01:10:32.589]  Who are these people saying your body is their choice?
[01:10:32.589 --> 01:10:33.349]  Who are these people?
[01:10:34.582 --> 01:10:40.946]  Now on everywhere, former presidents and all these talk shows, Republican, Democrats saying, you better take it.
[01:10:40.946 --> 01:10:42.227]  We're going to bully you.
[01:10:42.227 --> 01:10:43.027]  We're going to make you.
[01:10:43.027 --> 01:10:43.788]  You don't have a choice.
[01:10:43.788 --> 01:10:45.229]  Yes, vaccine passports.
[01:10:45.229 --> 01:10:46.970]  Yes, government's going to make you do it.
[01:10:46.970 --> 01:10:50.952]  States like Hawaii, governments like Canada, the UK, they're like, yeah, you know what?
[01:10:50.952 --> 01:10:51.913]  We are going to make you do it.
[01:10:51.913 --> 01:10:53.994]  You're not going to have a job or leave if you don't do it.
[01:10:53.994 --> 01:10:56.195]  Everybody else is locked up till you all do it.
[01:10:56.195 --> 01:10:59.637]  And we're going to say it's all your fault when you don't submit.
[01:10:59.637 --> 01:11:00.758]  More divide and conquer.
[01:11:00.758 --> 01:11:02.459]  This is such a criminal enterprise.
[01:11:03.203 --> 01:11:19.834]  And you've got all these same big pharma companies that gave you Oxycontin and all these other poisons that Frank Luntz made all that money off of lecturing you that you're not allowed to criticize them and there's big tech that merged with big pharma censoring everybody including members of the British
[01:11:22.253 --> 01:11:44.640]  An Australian and US government, governors, members of Parliament, members of Congress, senators are censored when they're interviewing medical doctors in testimony because big tech has committed a huge crime against humanity that violates the Geneva Convention and the Nuremberg Code and the Helsinki Code of illegal experimentation.
[01:11:44.640 --> 01:11:48.301]  These people are in a lot of trouble.
[01:11:48.301 --> 01:11:50.682]  Major vaccine makers pulled out saying it doesn't work, it's criminal.
[01:11:52.580 --> 01:11:55.262]  They got cold feet, because let me tell you, I'd have cold feet if I was them.
[01:11:55.262 --> 01:11:56.723]  This is a major assault.
[01:11:56.723 --> 01:11:59.024]  This will be known as big as World War II when it all comes out.
[01:11:59.024 --> 01:12:02.106]  These people will hang for this, or will be defeated.
