[00:00:00.369 --> 00:00:02.011]  Thanks for watching!
[00:24:45.516 --> 00:24:47.858]  It's Super Silver Skin Cream.
[00:24:47.858 --> 00:24:49.359]  It's got all of these benefits.
[00:24:49.359 --> 00:24:50.460]  Too many to mention.
[00:24:50.460 --> 00:24:51.721]  But it's revolutionary.
[00:24:51.721 --> 00:24:52.662]  It's brand new.
[00:24:52.662 --> 00:24:53.503]  People are going to love it.
[00:24:53.503 --> 00:24:55.665]  Introducing the new Super Silver Skin Cream.
[00:24:55.665 --> 00:24:57.026]  Exclusively at infomorestore.com.
[00:24:57.026 --> 00:24:58.407]  25% off introductory price.
[00:24:58.527 --> 00:25:01.208]  The new Super Silver Skin Cream is the best of both worlds.
[00:25:01.208 --> 00:25:03.448]  It helps reduce wrinkles and keep your skin healthy.
[00:25:03.448 --> 00:25:07.210]  Super Silver Skin Cream is infused with patented Silver Sol Technology.
[00:25:07.210 --> 00:25:12.251]  It's used by top hospitals and health clinics to kill off everything from MRSA to Candida fungus.
[00:25:12.251 --> 00:25:23.454]  It's also loaded with the best natural ingredients for your skin, like coconut oil, vitamin E. Unlike most skin creams, Super Silver Skin Cream is free of BPA, parabens, harsh preservatives, and sulfates.
[00:25:23.454 --> 00:25:25.455]  It's got the highly sought-after hyaluronic
[00:25:25.555 --> 00:25:28.220]  We have acid, we have little tubes of it, we have big tubes of it.
[00:25:28.220 --> 00:25:29.282]  This stuff is the real deal.
[00:25:29.282 --> 00:25:33.530]  Get super silver skin cream exclusively at Inforestore.com while supplies last.
[00:25:33.530 --> 00:25:36.435]  So please, check it out, the new products at Inforestore.com.
[00:25:36.435 --> 00:25:37.336]  25% off as an introductory.
[00:25:39.141 --> 00:25:41.901]  This is Paul Judson for What's Up with Summit.News and Action 7 News.
[00:25:41.901 --> 00:25:43.022]  We're here in Hong Kong.
[00:25:43.022 --> 00:25:45.482]  This is Savannah Hernandez for InfoWars.com.
[00:25:45.482 --> 00:25:49.483]  I'm reporting to you from Hong Kong where I'm joined by reporter Greg Rees for the next week.
[00:25:49.483 --> 00:25:52.303]  This is Greg Rees for InfoWars.com in Hong Kong.
[00:25:52.303 --> 00:25:57.164]  Our recent trip to Hong Kong was a new achievement for InfoWars.com.
[00:25:57.164 --> 00:26:05.225]  Despite being the most banned broadcast in the free world, we continue to win because of our great, strong, loyal audience.
[00:26:05.225 --> 00:26:07.966]  We have Dan Lyman covering InfoWars Europe.
[00:26:08.446 --> 00:26:10.989]  Paul Joseph Watson in the UK.
[00:26:10.989 --> 00:26:14.573]  Millie Weaver and Caitlin Bennett in the American heartland.
[00:26:14.573 --> 00:26:21.741]  And from Austin, Texas, a team of reporters and crew ready to be dispatched wherever the story is going down.
[00:26:21.741 --> 00:26:25.465]  We are not done winning, and with your support, we will keep winning.
[00:26:25.465 --> 00:26:26.907]  We have to keep winning!
[00:26:26.907 --> 00:26:28.168]  We have to win more!
[00:26:28.348 --> 00:26:30.711]  Go to Infowarsstore.com.
[00:26:30.711 --> 00:26:42.563]  You have gone to Infowarsstore.com and gotten books and films, supplements and t-shirts, and water filtration, air filtration, and things you need!
[00:26:42.563 --> 00:26:45.206]  You're listening to the Alex Jones Show.
[00:26:59.554 --> 00:27:03.636]  You're listening to an InfoWars.com Frontline Report.
[00:27:03.636 --> 00:27:11.939]  It's Alex Jones.
[00:27:11.939 --> 00:27:13.339]  Ladies and gentlemen, we're back.
[00:27:13.339 --> 00:27:15.080]  We're broadcasting worldwide.
[00:27:15.080 --> 00:27:17.441]  I'm your host, Alex Jones.
[00:27:17.441 --> 00:27:27.845]  And some stations don't carry this five minutes, so I'm going to come back, start the next segment, and get into the tragic shooting in Odessa, which is getting more coverage than the giant.
[00:27:28.655 --> 00:27:44.801]  Magnitude 5.0 earthquake that hit Alaska, or the Type 5 hurricane at the same time, Dorian, that's also bearing down on the East Coast, which could potentially kill thousands of people.
[00:27:44.801 --> 00:27:54.365]  But again, it was Stalin that said, 10,000 men die, it's a statistic, one man dies, it's a tragedy.
[00:27:56.101 --> 00:27:57.462]  Because it personalizes it.
[00:27:57.462 --> 00:28:06.829]  You see, they don't personalize the millions of babies that get aborted every year before they're born, or the tens of thousands that are kept alive now and harvested.
[00:28:06.829 --> 00:28:08.250]  They don't do that.
[00:28:08.250 --> 00:28:10.552]  They don't humanize them.
[00:28:10.552 --> 00:28:20.280]  But when they want to humanize somebody like John McCain, boy, do they make that corrupt Keating Five gangster thug look great, or George Herbert Walker Bush, the New World Order anti-gun piece of crap.
[00:28:22.096 --> 00:28:29.981]  So we've got quite an hour lined up for you, because I'm going to go through all this and finish up on that, and then I'm going to get to the geopolitical developments, the huge developments with Joe Biden.
[00:28:29.981 --> 00:28:31.982]  I told you he's not going to make it to the race.
[00:28:31.982 --> 00:28:34.164]  I told you that first three months ago.
[00:28:34.164 --> 00:28:35.705]  Now it's mainstream news.
[00:28:35.705 --> 00:28:37.206]  I'm not bragging, folks.
[00:28:37.206 --> 00:28:41.629]  You can assess somebody and tell you whether they can make it or whether they can't make it.
[00:28:41.629 --> 00:28:44.671]  But you did hear it here first, because I'm not a follower, you see.
[00:28:45.936 --> 00:28:53.500]  And that's the answer is not being a bunch of damn followers that just regurgitate what the establishment puts out, but your own research.
[00:28:53.500 --> 00:29:01.564]  Speaking of that, we were amongst the first to expose in 2004 that Google was using microphones in your computer to listen to you.
[00:29:01.564 --> 00:29:10.189]  And now it's come out this week that they put spy tech on it to watch and listen to you even when you turn it off, even when you say you don't want those cookies turned on, even when you disable that.
[00:29:10.189 --> 00:29:11.730]  And it's mainstream news.
[00:29:13.183 --> 00:29:22.526]  Well, even the Associated Press and Yahoo Finance tells you, Apple and Google are all listening to you and watching you, even when you don't want them to.
[00:29:22.526 --> 00:29:25.247]  And they're selling the data, and the Chinese government's doing it too.
[00:29:25.247 --> 00:29:29.989]  See, all this stuff's mainstream news now.
[00:29:29.989 --> 00:29:31.730]  It's all mainstream news.
[00:29:31.730 --> 00:29:42.614]  Speaking of dehumanization and not valuing humans, here's a piece where we get into the fact that this was like six-year-old piece, five-year-old piece, where they're heating hospitals with the dead bodies of children.
[00:29:42.614 --> 00:29:42.914]  Here it is.
[00:29:50.532 --> 00:29:54.788]  Aborted babies incinerated to eat in UK hospitals.
[00:29:56.019 --> 00:30:00.181]  Soylent Green, ladies and gentlemen, is made out of people.
[00:30:00.181 --> 00:30:06.443]  But now, children are literally being passed through the furnace in order to fuel hospitals in the UK.
[00:30:06.443 --> 00:30:11.464]  They're being sacrificed on the altar of efficiency and prosperity.
[00:30:11.464 --> 00:30:16.446]  What is the secret of Soylent Green?
[00:30:16.446 --> 00:30:18.947]  The powdered flesh from dead babies.
[00:30:18.947 --> 00:30:21.048]  Some people believe they can cure disease.
[00:30:21.588 --> 00:30:26.436]  Because of its enormous popularity, Soylent Green is in short supply.
[00:30:26.436 --> 00:30:29.440]  Remember, Tuesday is Soylent Green Day.
[00:30:29.440 --> 00:30:33.046]  The supply of Soylent Green has been exhausted.
[00:30:33.046 --> 00:30:34.668]  You must evacuate the area.
[00:30:37.298 --> 00:30:49.830]  The federal court ruled that the shareholders of PepsiCo, Big Bilderberg Group Company, are not allowed to know what they're using the baby parts for in the flavoring, but we already know.
[00:30:49.830 --> 00:30:51.791]  So enjoy the flavor!
[00:30:51.791 --> 00:30:56.436]  We're going to get the real solution, which is going to be a combination of death panels and sales taxes.
[00:30:56.436 --> 00:30:58.417]  I'm consistently pro-death.
[00:30:58.417 --> 00:31:00.279]  I'm for assisted suicide.
[00:31:00.279 --> 00:31:01.600]  I'm for regular suicide.
[00:31:01.600 --> 00:31:03.202]  I'm for whatever gets the freeway moving.
[00:31:03.462 --> 00:31:14.831]  ...is spending a million dollars on that last three months of life for that patient, would it be better not to lay off those 10 teachers and to make that trade up in medical costs?
[00:31:14.831 --> 00:31:19.214]  But that's called the death panel, and you're not supposed to have that discussion.
[00:31:19.214 --> 00:31:25.599]  They told me to say that they were sorry, but that you had become unreliable.
[00:31:33.692 --> 00:31:36.318]  Is this the kind of society that you want to live in?
[00:31:36.318 --> 00:31:41.229]  Any kind of society that would do this to its children will do it to its senior citizens.
[00:31:41.229 --> 00:31:42.913]  It will do it to its dissidents.
[00:31:47.569 --> 00:31:51.930]  Banned.video is the answer to censorship.
[00:31:51.930 --> 00:32:07.455]  Banned.video is the answer for libertarians, conservatives, nationalists, pro-gun, pro-life, pro-human individuals to have their own platform where videos banned by YouTube, Facebook, and Twitter are still available.
[00:32:07.455 --> 00:32:09.156]  We've launched it, ladies and gentlemen.
[00:32:09.156 --> 00:32:10.496]  It's now live.
[00:32:10.496 --> 00:32:12.457]  Banned.video.
[00:32:12.457 --> 00:32:16.698]  Banned.video isn't just going to be a home for Alex Jones or David
[00:32:16.758 --> 00:32:17.038]  I think?
[00:32:49.821 --> 00:32:55.326]  The global corporations that are setting up a planetary world government
[00:33:15.206 --> 00:33:32.949]  are basically to accompany the most psychopathic, sociopathic, cold-blooded, robotic, reptilian-type autocrats you could really imagine.
[00:33:32.949 --> 00:33:37.130]  And they are selling the post-human world.
[00:33:37.130 --> 00:33:39.671]  They're saying everybody's obsolete.
[00:33:39.671 --> 00:33:40.991]  And then they're greasing the skids
[00:33:42.691 --> 00:33:51.178]  To make us as immoral and decadent and dumb and lazy and shallow as we can be.
[00:33:51.178 --> 00:33:54.601]  To have a self-fulfilling prophecy.
[00:33:54.601 --> 00:33:58.144]  Because when you have an industrialized world, and when people
[00:33:59.306 --> 00:34:05.451]  Even the poorest people can live better than kings did a thousand years ago.
[00:34:05.451 --> 00:34:09.413]  You're going to have a lot of people who are going to become lazy, decadent slobs.
[00:34:09.413 --> 00:34:22.223]  It was the French historian, philosopher, statesman Victor Hugo that said, adversity makes men, prosperity makes monsters.
[00:34:24.505 --> 00:34:27.526]  Adversity makes men, prosperity makes monsters.
[00:34:27.526 --> 00:34:43.053]  And it really is true that anyone that's seen somebody set a company up, say a grandfather, who did it by the bootstraps, and then you see the children that take over the company, they're a little more lazy, a little more decadent.
[00:34:43.053 --> 00:34:52.437]  By the time you get to their grandchildren, on average, you're dealing with completely lazy, disconnected, stupid, hedonist.
[00:34:54.173 --> 00:34:55.493]  On average.
[00:34:55.493 --> 00:34:57.694]  On average.
[00:34:57.694 --> 00:35:17.398]  And then you take that evil, corrupt people come in to those power structures, who are first generation, but they're corrupt, and then they manipulate those corrupt elites that actually built things, and then the really evil people take over, and then you get a V.I.
[00:35:17.398 --> 00:35:21.559]  Lenin, then you get an Adolf Hitler, then you get a Mao Zedong.
[00:35:21.559 --> 00:35:23.099]  And then you've got a big problem.
[00:35:24.158 --> 00:35:27.839]  And then hundreds of millions of people die.
[00:35:27.839 --> 00:35:50.346]  And so what I'm getting at here is that the mainstream media does not give a rat's ass about the 17 people that got wounded and the 6 that died, 7 including the shooter in Odessa.
[00:35:52.580 --> 00:35:55.582]  I mean, Zbigniew Brzezinski wanted all the guns taken from the American people.
[00:35:55.582 --> 00:36:00.425]  His daughter wants them all taken on MSNBC with her psycho Joe husband.
[00:36:00.425 --> 00:36:09.971]  He's found the dead intern in his office, but it's okay because he's above the law.
[00:36:09.971 --> 00:36:20.258]  Zbigniew Brzezinski wrote in a couple of his books bragging about how he helped put Pol Pot in and how Pol Pot exterminated everybody.
[00:36:22.659 --> 00:36:27.583]  And how that was used to destabilize Vietnam via Cambodia.
[00:36:27.583 --> 00:36:33.747]  And how he's a master tactician because he got them all to kill each other.
[00:36:33.747 --> 00:36:34.428]  Pretty evil, huh?
[00:36:36.786 --> 00:36:45.972]  He's the guy that tricked the Russians into invading Afghanistan by funding the Mujahideen in 1979 to attack the Russian underbelly first.
[00:36:45.972 --> 00:36:48.273]  I'm not lionizing the Soviet Russians.
[00:36:48.273 --> 00:36:53.557]  But you don't do something more evil than they would do to then beat them and then say you're still the good guy.
[00:36:53.557 --> 00:36:54.898]  So Brzezinski wanted your guns.
[00:36:54.898 --> 00:36:57.619]  He died a couple years ago.
[00:36:57.619 --> 00:37:00.601]  But he'd fund mass murder and would set it up.
[00:37:00.601 --> 00:37:02.803]  They killed 30% of the population of Cambodia.
[00:37:04.318 --> 00:37:06.139]  These people don't care about you.
[00:37:06.139 --> 00:37:20.165]  Mainstream media would promote Oxycontin and Fentanyl until Trump got in, and we've seen a tenfold increase, according to the Centers for Disease Control, and the FDA, and the DEA, of the amount of opioid abuse.
[00:37:20.165 --> 00:37:27.289]  You can't swing a stick and not hit somebody that's died from it, or is dying from it, or has been, you know, ruined their life on it.
[00:37:27.289 --> 00:37:28.910]  It's just an epidemic.
[00:37:28.910 --> 00:37:29.730]  It's all over the place.
[00:37:29.730 --> 00:37:30.690]  It touches everybody.
[00:37:30.690 --> 00:37:32.211]  It touches me.
[00:37:32.211 --> 00:37:33.532]  I don't, I hate this stuff.
[00:37:33.532 --> 00:37:34.072]  Can't even take it.
[00:37:35.913 --> 00:37:36.974]  But it's touched me.
[00:37:36.974 --> 00:37:41.477]  I know people, very close, this has happened to.
[00:37:41.477 --> 00:37:57.266]  So when they wave the bloody shirt and say, you as gun owners are guilty, you need to understand that your right to own guns caused this guy to go kill six people and caused the other Antifa psychopath to go kill 20 people at the Walmart.
[00:37:57.266 --> 00:38:00.168]  And he was Antifa on his social media.
[00:38:00.168 --> 00:38:02.570]  They took it down and said he was a Trump supporter.
[00:38:04.107 --> 00:38:06.048]  The other guy they didn't take down in time.
[00:38:06.048 --> 00:38:12.972]  He was Antifa, and a devil worshipper, and into pedophilia, because they always are.
[00:38:12.972 --> 00:38:19.635]  There's always some weird crazy-eyed guy in a black outfit who wants to go see the devil.
[00:38:19.635 --> 00:38:22.757]  And he told everybody at the school, I'm gonna kill everybody.
[00:38:22.757 --> 00:38:24.958]  And the police were called, and nothing was done.
[00:38:24.958 --> 00:38:28.320]  Just like the shooter last year.
[00:38:30.242 --> 00:38:33.464]  On Valentine's Day, he'd been kicked out of school for six months.
[00:38:33.464 --> 00:38:40.907]  Cruz, who got to commit all these crimes because there was a liberal law passed that if you're a minority, you get to commit all these crimes and not go to jail.
[00:38:40.907 --> 00:38:44.809]  He wasn't even Hispanic.
[00:38:44.809 --> 00:38:46.910]  He was adopted by people that were Hispanic.
[00:38:48.933 --> 00:38:53.616]  Because his name was Cruz, he didn't go to jail for vandalism and robbery.
[00:38:53.616 --> 00:38:59.060]  He threatened to kill people and had the police called on him 44 times!
[00:38:59.060 --> 00:39:00.941]  He was known as School Shooter!
[00:39:00.941 --> 00:39:06.104]  He walked around going, bang, bang, you're dead, I'm gonna kill you to good-looking girls!
[00:39:06.104 --> 00:39:13.149]  Let's pull up the image of the Parkland, Florida shooter, please.
[00:39:13.149 --> 00:39:17.192]  When he was arrested, those crazy eyes, just like the eyes of all the other shooters.
[00:39:19.735 --> 00:39:21.156]  They're demon possessed, folks.
[00:39:21.156 --> 00:39:27.779]  They're told by the media that hypes up mass shootings since 1999 with Harrison Kleibold that go out and kill people and you'll be famous.
[00:39:27.779 --> 00:39:28.960]  And there's big studies out.
[00:39:28.960 --> 00:39:30.120]  Just type it in.
[00:39:30.120 --> 00:39:37.524]  Studies show media intense coverage of mass shooters makes them do it.
[00:39:37.524 --> 00:39:38.884]  People say, well, why are you doing it?
[00:39:38.884 --> 00:39:42.506]  Because we have to counter what they're doing and tell them to stop it.
[00:39:42.506 --> 00:39:45.968]  Oh, you don't see any mainstream media telling you of all the studies.
[00:39:51.749 --> 00:39:52.849]  Talk about crazy eyes.
[00:39:52.849 --> 00:39:54.830]  Just pull up him being arrested.
[00:39:54.830 --> 00:39:55.531]  That's his mugshot.
[00:39:55.531 --> 00:40:00.372]  Pull up Parkland shooters being arrested, being apprehended.
[00:40:00.372 --> 00:40:05.735]  You'll see him looking up like this desperate zombie, just like all the others.
[00:40:05.735 --> 00:40:19.060]  And so because there's all these crazy zombie people, we're then supposed to give our guns over so we can live like Chicago that has 2,000 plus deaths a year.
[00:40:20.504 --> 00:40:24.528]  Or Baltimore that's got 1,500 deaths a year.
[00:40:24.528 --> 00:40:31.174]  Or all the other places that have 5, 6, 7, 8, 9, 10, 12, 14 times the average.
[00:40:31.174 --> 00:40:40.182]  Last time I checked, Chicago has 14 times the average homicide rate of the United States.
[00:40:40.182 --> 00:40:43.265]  Because they take the guns.
[00:40:43.265 --> 00:40:44.766]  And then all the people that have them are criminals.
[00:40:44.766 --> 00:40:45.948]  And I know our audience knows this.
[00:40:47.418 --> 00:40:48.538]  They put this idea out.
[00:40:48.538 --> 00:40:49.679]  Something must be done.
[00:40:49.679 --> 00:40:54.480]  We must never have another mass shooting.
[00:40:54.480 --> 00:40:56.620]  You heard Beto earlier.
[00:40:56.620 --> 00:41:03.302]  He said there are 300 mass shootings a year.
[00:41:03.302 --> 00:41:08.223]  They count if more than one person shot as a mass shooting.
[00:41:08.223 --> 00:41:14.285]  On average, we've had Professor Lott and other top statisticians.
[00:41:14.285 --> 00:41:15.665]  I mean, he's one of the top guys in the world.
[00:41:18.055 --> 00:41:30.478]  And when I had him on like two years ago, the average was 57 people killed in real school mass shootings.
[00:41:30.478 --> 00:41:32.718]  And if you add all the other businesses and things, it was a little over 100.
[00:41:32.718 --> 00:41:35.559]  So it's gone up some now.
[00:41:35.559 --> 00:41:36.579]  I've tried to put the numbers together.
[00:41:36.579 --> 00:41:40.720]  I think it's like about 115 right now this year.
[00:41:40.720 --> 00:41:41.660]  That's still terrible.
[00:41:43.780 --> 00:41:47.923]  But again, 3,000 plus people have died already this year in Texas on the highways.
[00:41:47.923 --> 00:41:50.524]  If you believe the big highway signs that tell you, the big flashing signs.
[00:41:50.524 --> 00:41:54.427]  And I know it's probably above that.
[00:41:54.427 --> 00:41:55.247]  Again, is that okay?
[00:41:55.247 --> 00:41:55.587]  No.
[00:41:55.587 --> 00:41:57.388]  But we're still going to drive our cars.
[00:41:57.388 --> 00:42:04.953]  Just because somebody wrecks a car, is drunk in a car, runs over somebody in a car because they're ISIS, I don't lose my car.
[00:42:04.953 --> 00:42:07.515]  I don't lose my right to drive because somebody else is bad.
[00:42:09.465 --> 00:42:16.531]  There are over 10,000 people a year that get beaten to death with things like baseball bats and clubs.
[00:42:16.531 --> 00:42:17.191]  Look at the numbers.
[00:42:17.191 --> 00:42:20.114]  You don't say, don't let baseball teams have baseball bats.
[00:42:20.114 --> 00:42:21.375]  Don't let people have butcher knives.
[00:42:21.375 --> 00:42:25.398]  This woman stabbed this little kid in the face for no reason in Georgia last week with a butcher knife.
[00:42:25.398 --> 00:42:27.159]  Do we take all our butcher knives away?
[00:42:27.159 --> 00:42:28.901]  In England, they're making you get a license for one.
[00:42:30.808 --> 00:42:31.769]  So it's happening, folks.
[00:42:31.769 --> 00:42:38.953]  They're trying to blame the general public for something that's still incredibly rare, but the media hypes up and creates a perception of this epidemic.
[00:42:38.953 --> 00:42:40.814]  We have to get the truth out about that.
[00:42:40.814 --> 00:42:44.136]  The answer, though, to senseless violence that is increasing is to defend yourself.
[00:42:47.267 --> 00:42:56.855]  There are only a few days left for you to get DNA Force Plus at 50% off and get a free bottle of Carnivore 90 for free.
[00:42:56.855 --> 00:43:06.643]  That's 90 powerful enzyme capsules designed to help you digest and absorb protein and fat and to clean out your guts in a healthy way.
[00:43:06.923 --> 00:43:11.186]  DNA Force Plus is our flagship product and needs no introduction.
[00:43:11.186 --> 00:43:17.991]  But Carnivore is so amazing that I want to offer you a free bottle of it so you can experience how great it is.
[00:43:17.991 --> 00:43:22.835]  We will be out of Carnivore in just the next week or so at current sales levels.
[00:43:22.835 --> 00:43:25.797]  I'm doing this because it's such an important product for people.
[00:43:25.797 --> 00:43:30.280]  I want those of you on the fence to experience it like so many others have.
[00:43:30.280 --> 00:43:30.681]  So again,
[00:43:31.221 --> 00:43:36.871]  We are running this special as long as our stock of Carnivore 90 is still here.
[00:43:36.871 --> 00:43:44.724]  Get your DNA Force Plus 50% off right now at MFORSTORE.COM or MFORSLIFE.COM and get a free bottle of Carnivore 90.
[00:43:46.459 --> 00:43:50.445]  At Infowars Life, we always try to bring you game-changing products.
[00:43:50.445 --> 00:43:54.831]  Now, we've already been promoting and selling Super Silver Wound Gel for over a year.
[00:43:54.831 --> 00:43:55.873]  It's a bestseller.
[00:43:55.873 --> 00:43:57.575]  It is the best you can get.
[00:43:57.575 --> 00:44:00.680]  A 100% review rate on power reviews.
[00:44:00.680 --> 00:44:01.862]  Well, now we teamed up with them.
[00:44:02.222 --> 00:44:05.824]  And came out with two different types of skin cream.
[00:44:05.824 --> 00:44:08.386]  One is naturally scented with grapefruit essential oils.
[00:44:08.386 --> 00:44:10.087]  The other is unscented.
[00:44:10.087 --> 00:44:15.511]  It's got hyaluronic acid, vitamin E, essential oils from grapefruit.
[00:44:15.511 --> 00:44:18.353]  It's got coconut oil and so much more.
[00:44:18.353 --> 00:44:20.554]  And this patented nano-type
[00:44:20.774 --> 00:44:24.176]  Of silver that has been proven to be the most effective and the best.
[00:44:24.176 --> 00:44:30.199]  It's got all these other great vitamins and compounds that are known to be wonderful for your skin.
[00:44:30.199 --> 00:44:36.101]  If you're a woman, man, if you were a child, we are so excited about the new Super Silver Skin Cream.
[00:44:36.101 --> 00:44:38.903]  We have it in the smaller tube and the large tube.
[00:44:38.903 --> 00:44:42.104]  It's very, very affordable and it funds our operations.
[00:44:42.104 --> 00:44:44.966]  Check it out today and get yours at Infowarslife.com.
[00:44:46.770 --> 00:44:47.791]  Josh in Washington.
[00:44:47.791 --> 00:44:48.332]  You're on the air.
[00:44:48.332 --> 00:44:48.872]  Go ahead.
[00:44:48.872 --> 00:44:50.033]  Alex, God bless you.
[00:44:50.033 --> 00:44:52.616]  I have an idea for a new InfoWars t-shirt.
[00:44:52.616 --> 00:44:58.582]  Instead of, this is your brain, this is your brain on drugs, this is your brain, this is your brain on 5G.
[00:44:58.582 --> 00:44:59.263]  Ooh, yeah.
[00:44:59.263 --> 00:45:00.624]  Showing your brain getting frat.
[00:45:00.624 --> 00:45:02.486]  Then I have some comments on your supplements, man.
[00:45:02.486 --> 00:45:03.507]  Totally changed my life.
[00:45:03.507 --> 00:45:06.570]  I use TurboForce, BodyEase, AlphaPower, BrainForce.
[00:45:06.750 --> 00:45:07.291]  We're good.
[00:45:22.047 --> 00:45:24.389]  All of these things are known to be incredible.
[00:45:24.389 --> 00:45:31.176]  Whether it's turmeric, or whether it's the fish oil, or the krill oil, or whether it's the DNA force with the CoQ10 and BioPQQ and all the rest of it.
[00:45:31.176 --> 00:45:33.698]  All of these are things that are like rocket fuel on the body.
[00:45:33.698 --> 00:45:36.861]  You take these bases together, then you have your foundation.
[00:45:36.861 --> 00:45:38.622]  Now you can build the big strong temple.
[00:45:38.622 --> 00:45:42.606]  With these products I take, when I religiously remember to take them, it makes my life so much better.
[00:45:42.606 --> 00:45:45.428]  And then it funds the information war, which is so critical.
[00:45:45.428 --> 00:45:46.129]  Thank you so much.
[00:45:46.129 --> 00:45:46.650]  God bless you.
[00:45:47.270 --> 00:45:53.414]  Super Mel Vitality is already in the top three of our best sellers for the six years we've had it.
[00:45:53.414 --> 00:46:01.558]  It is an award-winning formula produced in Utah by one of the top herbal companies in the nation that we've been private labeling.
[00:46:01.558 --> 00:46:02.839]  It is cold-pressed.
[00:46:02.839 --> 00:46:09.282]  It takes at least three times the herbs that are wild-crafted and organic to be able to produce this.
[00:46:09.282 --> 00:46:10.463]  It's not boiled.
[00:46:10.463 --> 00:46:11.243]  It's not heated.
[00:46:11.243 --> 00:46:12.404]  It's never been dried.
[00:46:12.404 --> 00:46:13.585]  It's taken from fresh
[00:46:14.105 --> 00:46:14.905]  Herbs.
[00:46:14.905 --> 00:46:17.606]  That's why it's so strong.
[00:46:17.606 --> 00:46:21.387]  That's why it's so effective for libido, stamina, and energy.
[00:46:21.387 --> 00:46:35.350]  And I'm so excited about Supramel Vitality and Carnivore 30 that I'm offering you with every order of Supramel Vitality a 25% off a free bottle of Carnivore Digestive Enzyme.
[00:46:35.350 --> 00:46:36.810]  We're going to sell out of this very quickly.
[00:46:37.270 --> 00:46:41.613]  But it's an offer so that you experience how amazing both these products are.
[00:46:41.613 --> 00:46:49.979]  Secure yours at InfoWarsStore.com today or InfoWarsLife.com.
[00:46:49.979 --> 00:46:52.621]  You're listening to the Alex Jones Show!
[00:47:02.881 --> 00:47:05.683]  Welcome back, folks.
[00:47:05.683 --> 00:47:06.424]  I'm Alex Jones.
[00:47:06.424 --> 00:47:11.247]  We're live, broadcasting worldwide on a Sunday, the first day of September, 2019.
[00:47:11.247 --> 00:47:13.909]  Can you believe we're about to hit 2020?
[00:47:13.909 --> 00:47:16.211]  Hitler took the guns.
[00:47:16.211 --> 00:47:17.952]  Stalin took the guns.
[00:47:17.952 --> 00:47:18.973]  Mao took the guns.
[00:47:18.973 --> 00:47:21.175]  Fidel Castro took the guns.
[00:47:21.175 --> 00:47:25.858]  Hugo Chavez took the guns.
[00:47:33.945 --> 00:47:39.389]  1776 will commence again if you try to take our firearms!
[00:47:39.389 --> 00:47:42.511]  The Republic will rise again when you attempt to take our guns.
[00:47:42.511 --> 00:47:53.338]  I have sworn upon the altar of God eternal hostility against every form of tyranny over the mind of man.
[00:47:53.338 --> 00:47:53.678]  Boom!
[00:47:56.018 --> 00:47:56.959]  The answer to 1984 is 1776.
[00:47:56.959 --> 00:47:59.361]  You're listening to The Alex Jones Show.
[00:48:08.010 --> 00:48:20.512]  Well, Beto O'Rourke, when he's not giggling and laughing about the dead people in El Paso, is out saying it's effing time to register your guns and then confiscate all the semi-autos.
[00:48:20.512 --> 00:48:21.452]  That's what he's saying.
[00:48:21.452 --> 00:48:32.234]  Remember back when they used to deny that with their own internal Brady campaign and the Soros-funded groups and Bloomberg, their internal documents would come out.
[00:48:32.234 --> 00:48:35.055]  They'd say, our plan is a civilian disarmament.
[00:48:35.834 --> 00:48:40.437]  And they signed on to the UN treaty, Bill Clinton did, but it never got ratified.
[00:48:40.437 --> 00:48:44.960]  Then Bush almost passed it in 2001.
[00:48:44.960 --> 00:49:01.832]  The UNIDIR, United Nations Small Arms Convention, and it said right there in the treaty that never got passed by Congress, civilian firearms ownership threatens the legitimate power monopoly of the state.
[00:49:01.832 --> 00:49:04.074]  That's a totally true statement, except for one word, legitimate.
[00:49:04.821 --> 00:49:06.462]  Let's take the word legitimate out.
[00:49:06.462 --> 00:49:13.567]  Civilian ownership of firearms threatens the power monopoly of the state.
[00:49:13.567 --> 00:49:14.928]  Power monopoly.
[00:49:14.928 --> 00:49:16.029]  Tyranny.
[00:49:16.029 --> 00:49:17.150]  Mao Zedong.
[00:49:17.150 --> 00:49:17.870]  Hitler.
[00:49:17.870 --> 00:49:18.651]  Stalin.
[00:49:18.651 --> 00:49:19.752]  Mao.
[00:49:19.752 --> 00:49:20.472]  Pol Pot.
[00:49:20.472 --> 00:49:21.513]  Fidel Castro.
[00:49:21.513 --> 00:49:23.935]  Hugo Chavez.
[00:49:23.935 --> 00:49:27.457]  Mexico, only the government has the guts.
[00:49:27.457 --> 00:49:28.778]  And the cartels and the lawless.
[00:49:28.778 --> 00:49:33.221]  Once you do that, you have the lawless government, the lawless criminals.
[00:49:33.221 --> 00:49:34.302]  Because slaves are disarmed.
[00:49:36.809 --> 00:49:40.490]  And so you bet I'm harping on it this Sunday, because there's going to be more mass shootings in this country.
[00:49:40.490 --> 00:49:45.811]  There's going to be more stabbings, more bombings, more people running over folks.
[00:49:45.811 --> 00:49:49.832]  Because it's true that we peaked crime-wise in 1991.
[00:49:49.832 --> 00:49:52.732]  The FBI has these numbers.
[00:49:52.732 --> 00:49:53.592]  The 80s was hell.
[00:49:53.592 --> 00:49:54.352]  Early 90s were bad.
