[00:00:07.870 --> 00:00:09.311]  We did it!
[00:37:22.293 --> 00:37:22.874]  It was wrong.
[00:37:24.269 --> 00:37:25.752]  It was wrong.
[00:37:25.752 --> 00:37:28.456]  But it's better than the Democrats trying to destroy the damn country.
[00:37:28.456 --> 00:37:30.019]  And they were heavily involved in that.
[00:37:30.019 --> 00:37:31.922]  So just popping in is Roger Stone.
[00:37:33.126 --> 00:37:38.031]  I am so busy with sponsors I've got to take care of, and ads I've got to deal with, and actually running this place.
[00:37:38.031 --> 00:37:39.592]  I've been, for weeks, not even focused on that.
[00:37:39.592 --> 00:37:41.915]  Then I'm going to go off in an hour, and Paul Watson's coming up.
[00:37:41.915 --> 00:37:43.396]  We're going to air a bunch of special reports.
[00:37:43.396 --> 00:37:44.557]  It's going to be very, very powerful.
[00:37:44.557 --> 00:37:51.544]  I'm going to pop in later in the broadcast, but I've just got too much to do, and I've got to do it while I have my early day energy.
[00:37:51.544 --> 00:37:53.306]  So, I'm going to be leaving.
[00:37:53.306 --> 00:37:55.307]  But, big broadcast today.
[00:37:55.307 --> 00:37:57.209]  But I wanted to get Roger to pop in because
[00:37:58.297 --> 00:37:59.498]  I'm very, very positive.
[00:37:59.498 --> 00:38:02.179]  Obviously, Trump's going to have to have some guides into Washington.
[00:38:02.179 --> 00:38:06.080]  I'm very pleased with what Pence has done, delivering the goods on pro-life and so much more.
[00:38:06.080 --> 00:38:06.661]  I trust him.
[00:38:06.661 --> 00:38:11.082]  I don't trust neocons to carry out the president and the people's agenda.
[00:38:11.082 --> 00:38:12.943]  We see some of those folks coming in.
[00:38:12.943 --> 00:38:14.304]  If they fully get behind the agenda,
[00:38:15.416 --> 00:38:16.577]  Side issue.
[00:38:16.577 --> 00:38:20.001]  But regardless, do not go along with Paul Ryan.
[00:38:20.001 --> 00:38:20.522]  Remove him.
[00:38:20.522 --> 00:38:22.605]  He's been caught in WikiLeaks with Hillary.
[00:38:22.605 --> 00:38:24.627]  Pelosi, Reid, their own party wants them out.
[00:38:24.627 --> 00:38:32.957]  Get rid of that old guard establishment that incestuously worked together to screw the people, and get folks in that want a prosperity-driven system.
[00:38:35.168 --> 00:38:38.171]  Trump isn't out to get us, so I haven't really talked to Stone.
[00:38:38.171 --> 00:38:39.232]  I don't know what's on his plate.
[00:38:39.232 --> 00:38:41.414]  I talked to him earlier, so we just pop in for 10 minutes.
[00:38:41.414 --> 00:38:42.194]  You've been in New York.
[00:38:42.194 --> 00:38:47.159]  He's obviously met with the president-elect, but he can't get into that inside baseball.
[00:38:47.159 --> 00:38:51.042]  This is a very exciting time, Roger, and I do want to celebrate now that I've had some sleep.
[00:38:51.042 --> 00:38:52.764]  Congratulations to you, baby.
[00:38:52.764 --> 00:38:53.385]  You're an MVP.
[00:38:54.105 --> 00:38:59.310]  Folks have no idea, like you're the Merlin of this whole deal, behind the scenes helping put King Arthur on the throne.
[00:38:59.310 --> 00:39:13.362]  But I gotta tell you, the superhuman strength of Trump not letting up, feeding off of combat, my God, this is total presidential stuff compared to the scum we've had in the last 20 years.
[00:39:13.362 --> 00:39:16.305]  Well, Alex, first of all, it's great to be back with you.
[00:39:16.305 --> 00:39:19.508]  I spoke to President-elect Trump last night at some length.
[00:39:20.356 --> 00:39:30.464]  On a broad variety of topics, and I'm not really at liberty to discuss that, but let me just say that he is, first of all, very grateful to the InfoWars.com audience.
[00:39:30.464 --> 00:39:34.126]  He knows that you are the centerpiece of the resistance.
[00:39:34.126 --> 00:39:47.837]  He knows that he has gotten better treatment here than from anyone in the mainstream media, and he is very grateful and very thankful for your support and the support
[00:39:48.857 --> 00:39:57.563]  Yeah, let's be clear.
[00:39:57.563 --> 00:39:59.144]  He's got a lot of stuff going on.
[00:39:59.144 --> 00:40:02.626]  In fact, I'm quite embarrassed that he's actually reached out to Artie to say thank you.
[00:40:02.626 --> 00:40:05.088]  I mean, this is crazy what he's doing.
[00:40:05.088 --> 00:40:07.569]  And now I'm told he's working 18 hours a day still.
[00:40:07.569 --> 00:40:09.390]  I'm kind of actually worried about him at 70.
[00:40:09.390 --> 00:40:10.171]  Is this Superman?
[00:40:11.257 --> 00:40:13.578]  No, look, I told him this.
[00:40:13.578 --> 00:40:17.220]  At the end of the day, he is the one who won this.
[00:40:17.220 --> 00:40:26.064]  His enormously energetic sprint, the final two weeks of this campaign, was almost superhuman.
[00:40:26.064 --> 00:40:34.168]  This reminded me of Harry Truman who jumped on a train and went from one coast to the other doing four stops a day until he could no longer speak.
[00:40:34.668 --> 00:40:35.969]  And pulling out an upset.
[00:40:35.969 --> 00:40:40.473]  Trump put forward a Herculean personal effort here.
[00:40:40.473 --> 00:40:45.498]  And at the end of the day, Alex, I think he won despite his campaign.
[00:40:45.498 --> 00:40:52.263]  By that I mean his campaign, God bless them, they were a grassroots-oriented, guerrilla-oriented operation.
[00:40:52.263 --> 00:40:53.404]  We didn't have the slick
[00:40:54.325 --> 00:41:08.682]  Uh, you know, well-financed operation of the Clintons, but in the end it didn't matter because Trump, Trump's talent, Trump's ability as a communicator, Trump's enunciation of the anti-elitist message.
[00:41:08.682 --> 00:41:09.983]  His instinct.
[00:41:09.983 --> 00:41:11.245]  I've been watching him carefully.
[00:41:11.245 --> 00:41:13.067]  He's got an instinct that is second to none.
[00:41:14.261 --> 00:41:30.374]  Now, the other thing I can tell you is there are many, many people in the political establishment advising him not to allow the prosecution of Hillary Clinton, Bill Clinton, presumably Chelsea Clinton, for their crimes.
[00:41:30.374 --> 00:41:33.217]  I personally think that's an enormous mistake.
[00:41:33.897 --> 00:41:40.780]  Either we are a nation of laws, or we are a nation of men.
[00:41:40.780 --> 00:41:41.620]  Which is it?
[00:41:41.620 --> 00:41:43.721]  There has to be one standard.
[00:41:43.721 --> 00:41:48.703]  If David Petraeus can be prosecuted, then Hillary Clinton must be prosecuted.
[00:41:48.703 --> 00:41:50.463]  Stone, let me jump in here, and I totally agree with you.
[00:41:50.463 --> 00:41:52.324]  My advice to Trump is this.
[00:41:52.324 --> 00:41:53.444]  A, it's what you said you'd do.
[00:41:55.365 --> 00:41:56.966]  It's the right thing to do, Justice.
[00:41:56.966 --> 00:42:01.490]  But see, and most importantly, you cannot leave this den of vipers there.
[00:42:01.490 --> 00:42:03.211]  They will try to bring you down.
[00:42:03.211 --> 00:42:04.032]  They will never stop.
[00:42:04.032 --> 00:42:06.694]  You must break these people, as you've already done.
[00:42:06.694 --> 00:42:13.279]  The MSM, the Clintons, the minute you go after them, with the law in due process, their minions are all mercs.
[00:42:13.279 --> 00:42:19.084]  They will roll, and we will destroy the entire nest of corruption, and you would have won.
[00:42:19.084 --> 00:42:22.246]  If you don't do it, they're going to be sniping at you the whole time.
[00:42:23.007 --> 00:42:26.449]  He cannot take his foot off their throat.
[00:42:26.449 --> 00:42:27.650]  Not now.
[00:42:27.650 --> 00:42:30.231]  He's beaten them against enormous odds.
[00:42:30.231 --> 00:42:32.532]  When King David... I'm interrupting again.
[00:42:32.532 --> 00:42:33.473]  You're absolutely on target.
[00:42:33.473 --> 00:42:41.277]  When King David, with that stone, hit Goliath while he was praying, he prayed, God, make me aim true, nobody can beat Goliath.
[00:42:41.277 --> 00:42:42.978]  He only knocked Goliath out.
[00:42:42.978 --> 00:42:48.481]  If he would have hesitated not taking Goliath's sword and chopped his head off, Goliath would have gotten up and strangled him.
[00:42:48.481 --> 00:42:51.303]  King David must raise the sword, correct?
[00:42:52.083 --> 00:42:52.783]  Absolutely.
[00:42:52.783 --> 00:42:58.964]  I think this is why I say Lock Her Up needs to continue to be our watchword.
[00:42:58.964 --> 00:43:00.625]  By the way, you challenged me.
[00:43:00.625 --> 00:43:01.465]  I took away the 2016.
[00:43:01.465 --> 00:43:02.285]  It's over.
[00:43:02.285 --> 00:43:03.725]  I'm announcing we're designing it today.
[00:43:03.725 --> 00:43:04.385]  You're absolutely correct.
[00:43:04.385 --> 00:43:05.086]  We are launching.
[00:43:05.086 --> 00:43:06.006]  It'll be here in one week.
[00:43:06.006 --> 00:43:06.746]  I just did it.
[00:43:06.746 --> 00:43:07.506]  We talked this morning.
[00:43:07.506 --> 00:43:13.027]  We are launching, ladies and gentlemen, the Hillary for Prison 2017 limited edition shirt.
[00:43:13.027 --> 00:43:16.008]  It'll be available by this afternoon in pre-order at InfoWareStore.com.
[00:43:16.008 --> 00:43:16.308]  Sorry, sir.
[00:43:17.449 --> 00:43:25.017]  We are, I think, at a key point where former Mayor Rudy Giuliani yesterday on Fox summed this up.
[00:43:25.017 --> 00:43:27.360]  This is not a decision for the president.
[00:43:27.360 --> 00:43:29.722]  This is a decision for the grand jury.
[00:43:29.722 --> 00:43:31.665]  This is a decision for a career
[00:43:32.726 --> 00:43:49.019]  Unbiased, non-political prosecutor to look at the totality of the Clinton Foundation and the pardons and a hundred other issues that the Clintons have enriched themselves by breaking the law and determine whether there is in fact a criminal indictment there.
[00:43:49.019 --> 00:43:55.044]  The other issue here, Alex, is of course the outstanding issue of the 680,000 emails on the Wiener Abidin server.
[00:44:00.680 --> 00:44:22.036]  So when the FBI director says we've reviewed them and there's nothing there, my sources in the Congress, who have seen all of them, my sources in the NYPD, who have seen all of them, tell me that there is open and shut evidence of treason, corruption, sexual exploitation, and worse.
[00:44:22.036 --> 00:44:26.780]  And we have the earlier WikiLeaks where they're with Obama saying, we've got to cover this up, our illegal emails.
[00:44:26.780 --> 00:44:27.841]  We have them.
[00:44:27.841 --> 00:44:28.421]  We have them.
[00:44:28.421 --> 00:44:30.103]  We have them in gun sights, ready.
[00:44:31.275 --> 00:44:34.337]  So there can be no reprieve here.
[00:44:34.337 --> 00:44:47.725]  This is going to be very important, but I can already see the siren song of the political establishment calling on the president to give the Clintons a pass in order to heal the country and unite.
[00:44:47.725 --> 00:44:49.226]  This is nonsense.
[00:44:49.226 --> 00:44:51.227]  These are asks.
[00:44:51.227 --> 00:44:52.648]  They will bite you.
[00:44:52.648 --> 00:44:53.668]  Here's the good news.
[00:44:53.668 --> 00:44:57.651]  The president can't give a 360 pardon from what I've read in jurisprudence, and so he
[00:44:58.631 --> 00:45:02.054]  Even if Obama gives them one, there's so many thousands of crimes.
[00:45:02.054 --> 00:45:06.637]  Prosecutors afterwards, it doesn't matter, new investigations, new crimes.
[00:45:06.637 --> 00:45:16.063]  Well, I would argue that under the Nixon precedent, Obama could in fact pardon the Clintons for any and all crimes they may have committed.
[00:45:16.063 --> 00:45:19.186]  But, and if that happens, that's a legal process.
[00:45:19.186 --> 00:45:20.967]  But the foundation's an ongoing crime.
[00:45:20.967 --> 00:45:22.248]  The foundation's an ongoing crime.
[00:45:23.320 --> 00:45:28.743]  She still will have accepted a pardon, which is essentially the admission of a crime.
[00:45:28.743 --> 00:45:30.924]  The Clinton Foundation is going to dry up.
[00:45:30.924 --> 00:45:35.306]  Who in God's name would give them a penny to stick in their pockets now?
[00:45:35.306 --> 00:45:36.807]  Who?
[00:45:36.807 --> 00:45:37.127]  I agree.
[00:45:37.127 --> 00:45:38.728]  I mean, thank you, Roger, for coming on.
[00:45:38.728 --> 00:45:40.729]  Any other points that are key to add?
[00:45:40.729 --> 00:45:42.410]  Listen, nobody's perfect.
[00:45:42.410 --> 00:45:43.311]  This is so complex.
[00:45:43.311 --> 00:45:44.772]  I can't believe he's working 18 hours a day.
[00:45:44.772 --> 00:45:46.492]  I'm so impressed.
[00:45:46.492 --> 00:45:48.854]  People, the media is going to try to, here's the new attack.
[00:45:49.622 --> 00:45:53.065]  They're going to now attack us on our strength, liberty, and the fact that we don't falter or waver.
[00:45:53.065 --> 00:45:55.427]  They're going to claim he isn't 100% delivering.
[00:45:55.427 --> 00:45:57.609]  We have to wait and see and give him time to even get in.
[00:45:57.609 --> 00:46:00.431]  We have to worry about assassination, which the media is pushing.
[00:46:00.431 --> 00:46:04.395]  So don't let them start claiming, oh, he's bringing in neocons, or oh, he's doing that.
[00:46:04.395 --> 00:46:06.657]  Donald's shown he does what he wants.
[00:46:06.657 --> 00:46:07.418]  The point is,
[00:46:07.998 --> 00:46:14.942]  It's delivering, building the wall, cutting the taxes, standing back and letting prosecution take place.
[00:46:14.942 --> 00:46:16.984]  That's what we're waiting for once he's president.
[00:46:16.984 --> 00:46:24.568]  In the next 70 days, total defense of Trump, absolute promotion of what he pushes for, and keep fighting.
[00:46:24.568 --> 00:46:26.430]  Keep fighting and exposing MSM.
[00:46:26.430 --> 00:46:30.132]  Wasn't it genius to ignore the press corps and not tell them where he was going or what he was doing?
[00:46:31.360 --> 00:46:36.084]  Yeah, I think CNN is going to have a very hard time getting him on the phone.
[00:46:36.084 --> 00:46:40.667]  I think the New York Times is going to have a very hard time getting him on the phone.
[00:46:40.667 --> 00:46:42.749]  I think he's wise to ignore them.
[00:46:42.749 --> 00:46:54.938]  But, Alex, let me also say, any of the names you see floated out there for various positions, whether it's Chris Christie or Rudy Giuliani or Jamie Dimon for Treasury.
[00:46:54.938 --> 00:46:55.979]  It's all bull.
[00:46:55.979 --> 00:46:56.459]  It's all bull.
[00:46:56.459 --> 00:46:58.721]  There's the worst idea I've ever heard in my entire life.
[00:46:59.471 --> 00:47:01.213]  It's all self, not, that's not true.
[00:47:01.213 --> 00:47:04.876]  It is self-promotion in most cases.
[00:47:04.876 --> 00:47:06.737]  You should not read anything into that.
[00:47:06.737 --> 00:47:07.878]  No decisions are made.
[00:47:07.878 --> 00:47:09.419]  No lists are made.
[00:47:09.419 --> 00:47:11.061]  It's wildly premature.
[00:47:11.061 --> 00:47:22.710]  So when the Washington Post reports a piece by Robert Costa saying that Corey Lewandowski is under consideration for Chief of Staff, no he is not.
[00:47:22.710 --> 00:47:24.012]  That's a plant.
[00:47:24.012 --> 00:47:25.413]  That is not true.
[00:47:25.413 --> 00:47:26.654]  There is zero chance.
[00:47:26.994 --> 00:47:27.695]  That that will happen.
[00:47:27.695 --> 00:47:28.155]  That's right.
[00:47:28.155 --> 00:47:32.558]  Lewandowski is now a CNN turncoat operative.
[00:47:32.558 --> 00:47:41.184]  Well, this is the same guy who planted a fake story at the Washington Post that he was in charge of the vice presidential selection process, which he was not.
[00:47:41.184 --> 00:47:43.846]  So, you see a lot of self-promotion.
[00:47:43.846 --> 00:47:48.409]  You see the Washington rats all trying to board the ship.
[00:47:48.409 --> 00:47:51.932]  The watchword today is, I was with you the whole time.
[00:47:51.932 --> 00:47:54.554]  Anybody who says that was not with you the whole time.
[00:47:55.414 --> 00:47:58.815]  Well, my listeners were with the fact that Trump was a patriot and the elite were against him.
[00:47:58.815 --> 00:48:03.136]  And I was a little fly on the wall in the meeting where what really brought down Lewandowski came out.
[00:48:03.136 --> 00:48:05.837]  And I knew Lewandowski was going down, so I know the inside baseball.
[00:48:05.837 --> 00:48:07.957]  And it's not some pissing contest with Lewandowski.
[00:48:07.957 --> 00:48:09.778]  He's really a bad person.
[00:48:09.778 --> 00:48:12.058]  And I want to salute the individual that helped bring him down.
[00:48:12.058 --> 00:48:16.799]  And just, you know, thank God there's patriots around Trump protecting him.
[00:48:16.799 --> 00:48:22.140]  And listen, nobody's smart enough or has enough eyeballs or brain cells to keep track of something this complex.
[00:48:22.140 --> 00:48:23.581]  The fact is the enemy hates Trump.
[00:48:24.341 --> 00:48:29.484]  That's why you know he's good, and we're going to give him massive benefit of the doubt until he gets into office.
[00:48:29.484 --> 00:48:35.549]  But remember, folks, the number one threat from my gut, and you see him in the news, is them trying to kill Trump.
[00:48:35.549 --> 00:48:38.711]  Don't you agree, Roger, that's the maximum threat right now?
[00:48:38.711 --> 00:48:41.472]  Look, I pray for his security.
[00:48:41.472 --> 00:48:44.735]  I've written a book on the Kennedy assassination.
[00:48:44.735 --> 00:48:51.759]  I wrote a book on the Bushes, which has what I think is the true story of the attempted Reagan assassination.
[00:48:55.262 --> 00:49:00.825]  Inappropriate actions of the Secret Service in both of those instances give me pause.
[00:49:00.825 --> 00:49:09.849]  Now, I think the men and women of the Secret Service are brave, loyal Americans, but I worry about the political manipulators above them.
[00:49:09.849 --> 00:49:15.913]  So, yes, I pray every day for the President's security, the assassination threats,
[00:49:17.273 --> 00:49:20.915]  You know, are ubiquitous across the social media.
[00:49:20.915 --> 00:49:31.078]  I myself, and I know this is probably true of you, I've gotten more death threats in the last 48 hours than I've gotten in the last 48 years.
[00:49:31.078 --> 00:49:34.059]  And I'm about 48 years old, so... Well, let's talk about this then.
[00:49:34.059 --> 00:49:35.420]  I know you've got to go, and I've got to go.
[00:49:35.420 --> 00:49:36.640]  I'm skipping the break.
[00:49:36.640 --> 00:49:39.941]  RogerStone, StoneZone.com, StoneColdTruth.com.
[00:49:39.941 --> 00:49:40.762]  Let me ask this question.
[00:49:42.042 --> 00:49:49.065]  A little bird told me that Trump, a year ago, envisioned he was going to win, understood the people, knew the mainstream media was a joke.
[00:49:49.065 --> 00:49:51.786]  He advertises around the country, he learns it has no response anymore.
[00:49:51.786 --> 00:49:53.046]  There's nothing there.
[00:49:53.046 --> 00:49:54.967]  You advertise in independent media, there's a huge response.
[00:49:54.967 --> 00:49:56.968]  You advertise in mainstream, no response.
[00:49:56.968 --> 00:49:57.648]  I mean, Trump's a smart guy.
[00:49:57.648 --> 00:50:00.269]  He's like, well, they have no power for six, seven years.
[00:50:00.269 --> 00:50:02.890]  I advertise, nothing happens, you know?
[00:50:02.890 --> 00:50:05.471]  I mean, that's one thing for Trump, just as a businessman, to get.
[00:50:05.471 --> 00:50:05.891]  They're done.
[00:50:07.196 --> 00:50:08.157]  This is our country.
[00:50:08.157 --> 00:50:09.477]  This is foreign run.
[00:50:09.477 --> 00:50:12.099]  This whole Soros thing, the globalists, the big banks, they admit it.
[00:50:12.099 --> 00:50:13.640]  It's come out in the WikiLeaks.
[00:50:13.640 --> 00:50:23.265]  And a little bird told me if they think they're going to try to start a war or finance too many riots in the streets or try to burn Washington or something, that we're just going to encamp the U.S.
[00:50:23.265 --> 00:50:24.806]  Army and the Marines
[00:50:25.686 --> 00:50:36.355]  Around the White House, and somebody's gonna sit in a bunker and sign the executive orders, and if Congress wants to roll over to the globals, that's fine, but we finally got a president that's gonna try to defeat the enemies that have captured this nation.
[00:50:36.355 --> 00:50:38.417]  I mean, we have the beachhead now, is what I'm saying.
[00:50:38.417 --> 00:50:41.940]  He has captured the White House, now he's gotta capture D.C.
[00:50:41.940 --> 00:50:42.901]  and bring the country back.
[00:50:42.901 --> 00:50:44.122]  That's how epic this is.
[00:50:45.411 --> 00:50:46.412]  I generally agree.
[00:50:46.412 --> 00:50:50.135]  I think that their moves will be more subtle than that, Alex.
[00:50:50.135 --> 00:51:05.066]  I think there's going to be a major effort to continue to crack down on the lending ability of community banks in a purposeful effort to slow the economy so that can be blamed on Trump.
[00:51:05.066 --> 00:51:08.048]  They want to crash the economy and blame it on Trump.
[00:51:08.048 --> 00:51:08.568]  Oh, I agree.
[00:51:08.568 --> 00:51:09.789]  So what does Trump do?
[00:51:09.789 --> 00:51:14.153]  He gets up in 70 days and points out with his bully pulpit what they're doing to crash it before he gets in?
[00:51:14.813 --> 00:51:34.592]  Yes, he tells his Treasury Secretary to get with the community banks and make sure, since they are credit worthy, since they are loaded with cash, that they are lending to people who want to build... And let's be clear, under Obama, in the last eight years, almost nothing to locals, trillions to foreign banks, trillions to China, nothing for us.
[00:51:34.592 --> 00:51:39.057]  Trump needs to say, you give the damn loans to local people, including black communities,
[00:51:39.517 --> 00:51:40.358]  Right now!
[00:51:40.358 --> 00:51:43.359]  And the Hispanic communities, and the poor communities, now!
[00:51:43.359 --> 00:51:46.881]  You give them the loans, they pay them back, you do it right now!
[00:51:46.881 --> 00:51:57.908]  Warren, I happen to know that the President-elect is looking at some innovative financing options where you could rebuild our infrastructure without using tax dollars.
[00:51:59.292 --> 00:52:11.840]  I mean, this can be done where you can essentially get a guaranteed line of credit to rebuild America without squandering... Sure, all that matters is tax cuts and confidence.
[00:52:11.840 --> 00:52:13.722]  This country can't be held down.
[00:52:13.722 --> 00:52:17.044]  The Federal Reserve used to admit, we're overheating, we've got to suppress it.
[00:52:17.044 --> 00:52:18.045]  That's the big secret.
[00:52:18.045 --> 00:52:18.825]  Trump knows that.
[00:52:18.825 --> 00:52:22.668]  Just turn a few switches, block the globalists, we're going to win, right, Rogers?
[00:52:22.668 --> 00:52:23.928]  I think that's exactly right.
[00:52:23.928 --> 00:52:26.450]  Look, I think he's going to move towards a sound dollar.
[00:52:26.450 --> 00:52:29.052]  I think he's going to move to growth-oriented
[00:52:29.872 --> 00:52:32.674]  Is that why the stock market went up?
[00:52:32.674 --> 00:52:33.654]  I noticed that.
[00:52:33.654 --> 00:52:35.255]  I noticed that.
[00:52:35.255 --> 00:52:38.797]  Barry, Barry, because look, we have a businessman in charge.
[00:52:38.797 --> 00:52:41.779]  He understands the economy and he knows how to create jobs.
[00:52:41.779 --> 00:52:44.280]  I've never been more confident.
[00:52:44.280 --> 00:52:47.922]  Why don't you make a Wall Street Channing locker up, my friend?
[00:52:48.601 --> 00:52:50.863]  Yes, well, we'll get there.
[00:52:50.863 --> 00:52:55.468]  I think it's vitally important that he keep his pledge to the American people on those questions.
[00:52:55.468 --> 00:53:01.794]  All right, Alex, I'm going back over to Trump Tower, but great to be with you again, and I will keep you posted.
[00:53:01.794 --> 00:53:03.575]  There goes Roger Stone, ladies and gentlemen.
[00:53:03.575 --> 00:53:06.878]  Very exciting times to be alive, I tell you.
[00:53:06.878 --> 00:53:09.781]  StoneColdTruth.com, AlexJonesTheForce.com.
[00:53:09.781 --> 00:53:11.443]  I've done 53 minutes of this broadcast.
[00:53:13.035 --> 00:53:15.297]  And I've not once even sat here and said, support us.
[00:53:15.297 --> 00:53:20.021]  And that's why I've got to go off air here, because I've got ads for advertisers to cut that are a month behind.
[00:53:20.021 --> 00:53:25.046]  I've got bills to pay, contracts to sign, satellite deals.
[00:53:25.046 --> 00:53:27.168]  I mean, I've got a lot of crap going on, a lot of good stuff.
[00:53:27.168 --> 00:53:30.131]  But I mean, by the time I sit on air until three or four, I'm like a zombie.
[00:53:30.131 --> 00:53:31.432]  I can't make these business decisions.
[00:53:33.027 --> 00:53:37.754]  I can still do radio and TV forever, but when it comes to business, I've got to really figure out how to fund this thing.
[00:53:37.754 --> 00:53:43.082]  So I want to just encourage everybody, if you want to see the main attack ship in this fight,
[00:53:44.653 --> 00:53:49.636]  Turn into three or four ships and really run the tables on these people.
[00:53:49.636 --> 00:53:53.359]  We've got amazing products everybody needs at InfowarsStore.com.
[00:53:53.359 --> 00:53:56.141]  We've got free shipping throughout at least a day or tomorrow.
[00:53:56.141 --> 00:53:57.982]  We're selling out of so much stuff.
[00:53:57.982 --> 00:54:02.565]  I didn't order enough stuff thinking the sale wouldn't be that big, so it's going to have to end one way or the other.
[00:54:02.565 --> 00:54:03.585]  But take advantage of it.
[00:54:03.585 --> 00:54:04.626]  Free shipping store-wide.
[00:54:04.626 --> 00:54:06.647]  30% off Supernova Vitality.
[00:54:06.647 --> 00:54:09.489]  30% off X2, the good halogen.
[00:54:09.489 --> 00:54:10.450]  30% off DNA Force.
[00:54:10.450 --> 00:54:11.251]  Wow, that's a big deal.
[00:54:12.684 --> 00:54:17.809]  30% off Living Defense, 30% off Lung Cleanse, 30-40% off all the high-quality, storable foods.
[00:54:17.809 --> 00:54:18.290]  That's a big deal.
[00:54:18.290 --> 00:54:19.871]  We just extended that out.
[00:54:19.871 --> 00:54:24.916]  Our great supplier, My Patriot Supply, has decided to do that because they're so excited as well.
[00:54:24.916 --> 00:54:27.819]  InfoWarsStore.com is the main site.
[00:54:27.819 --> 00:54:35.086]  Sub-sites, you go to the nutraceuticals or supplements to get your probiotics, your vitamin, mineral fusion, fruit punch, your bio PCA for the hair and nails.
[00:54:35.766 --> 00:54:37.407]  Knockout sold out.
[00:54:37.407 --> 00:54:38.127]  They told me it was sold out.
[00:54:38.127 --> 00:54:39.208]  It's still up there.
[00:54:39.208 --> 00:54:46.132]  The BioTrue Selenium, Liver Cleanze, Oxy Powder, Prostate Guard, AnthroPlex, it's just the dry version of the Super Metal Vitality.
[00:54:46.132 --> 00:54:47.372]  It's all there.
[00:54:47.372 --> 00:54:51.054]  Infowarslife.com or call toll free 888-253-3139.
[00:54:51.054 --> 00:54:51.115]  888-253-3139.
[00:54:51.115 --> 00:54:53.056]  And that runs right through the weekend.
[00:54:53.056 --> 00:54:54.396]  So again, to all the viewers out there,
[00:55:01.593 --> 00:55:10.841]  If you want to be part of the next level of the take back of America and the world for free market, true open societies.
[00:55:10.841 --> 00:55:14.184]  Notice Soros names his group the Open Society because he's the opposite.
[00:55:14.184 --> 00:55:15.505]  This is the real renaissance.
[00:55:15.505 --> 00:55:16.666]  This is the real freedom.
[00:55:16.666 --> 00:55:18.888]  We've broken the back of the enemy.
[00:55:18.888 --> 00:55:21.530]  We have taken action to the next level.
[00:55:21.530 --> 00:55:23.952]  History is unfolding now.
[00:55:23.952 --> 00:55:26.714]  And it is not corporate sponsorship that funded this.
[00:55:26.714 --> 00:55:29.457]  It was you, the listeners and viewers, that took action.
[00:55:30.322 --> 00:55:31.643]  So I want to encourage you.
[00:55:31.643 --> 00:55:38.368]  Go to Infowarsstore.com right now and take advantage of store-wide free shipping at least for the next 24 hours.
[00:55:38.368 --> 00:55:48.996]  And while supplies last, 30-40% off products across the board like non-GMO heirloom seeds, water filtration systems, super cutting-edge supplements.
[00:55:50.202 --> 00:55:53.243]  Storeable foods and so much more on apparel.
[00:55:53.243 --> 00:55:57.304]  It's 50 to 15 percent off depending on which piece of apparel it is.
[00:55:57.304 --> 00:56:03.146]  Because I do the Made in America thing and we make almost nothing on that because it costs so much to do because of how unfair things are.
[00:56:03.146 --> 00:56:07.747]  So we can't go more than 15 percent on Made in America because we're only making like 30 percent on it.
[00:56:07.747 --> 00:56:12.648]  Made in Mexico, made in Venezuela, made in wherever, places like Honduras.
[00:56:12.648 --> 00:56:15.449]  Yeah, we can give it 50 percent off on that because it costs five bucks.
[00:56:16.277 --> 00:56:18.518]  Made in America, $12, $13.
[00:56:18.518 --> 00:56:20.618]  Some of the more designer stuff, $25.
[00:56:20.618 --> 00:56:22.138]  But it's all there.
[00:56:22.138 --> 00:56:28.380]  Infowarsstore.com or call toll free, 888-253-3139.
[00:56:28.380 --> 00:56:30.701]  I'll be doing a special broadcast tomorrow.
[00:56:30.701 --> 00:56:33.381]  I'll be obviously back to Sunday, 4 to 6 p.m.
[00:56:33.381 --> 00:56:37.482]  We've got a bunch of compilations of the best of the last week coming up in the next hour.
[00:56:37.482 --> 00:56:39.323]  Clips of my famous interview with Donald Trump.
[00:56:40.333 --> 00:56:41.994]  Because he kept all his promises.
[00:56:41.994 --> 00:56:42.894]  I will not disappoint you.
[00:56:42.894 --> 00:56:43.834]  Boy, didn't he?
[00:56:43.834 --> 00:56:46.375]  He did absolutely deliver.
[00:56:46.375 --> 00:56:53.078]  And then Paul Watson, the absolute Arthurian warrior from all beyond, will be joining us.
[00:56:53.078 --> 00:57:04.242]  And then we are also going to have a big excerpt, big analyses of the secret of why Trump won, hasn't aired yet, shot it last night, the threat against his life, what's happening there, and so much more.
[00:57:04.242 --> 00:57:05.863]  That's going to air in the fourth hour with David Knight.
[00:57:06.343 --> 00:57:14.069]  Hosting about 20-30 minutes of it will be breaking news and analysis, but a lot of it will be tapes I shot last night while I was on fire.
[00:57:14.069 --> 00:57:15.911]  It's all up on Infowars.com.
[00:57:15.911 --> 00:57:18.053]  Will they kill Trump before the inauguration?
[00:57:18.053 --> 00:57:18.833]  I said that last night.
[00:57:18.833 --> 00:57:21.555]  There was just a flotilla of articles today saying kill him!
[00:57:22.236 --> 00:57:23.417]  Kill him now!
[00:57:23.417 --> 00:57:26.981]  So this is the crazy town level to which we've reached.
[00:57:26.981 --> 00:57:29.783]  But we haven't gotten to the riots all over the country.
