[00:00.000 --> 00:01.600]  We've got it, Dada.
[46:04.000 --> 46:05.000]  Control freaks.
[46:05.000 --> 46:06.000]  Tough guys.
[46:06.000 --> 46:08.000]  They're real tough guys.
[46:08.000 --> 46:09.000]  That's what this is all about.
[46:09.000 --> 46:11.000]  You can't get away from government.
[46:11.000 --> 46:13.000]  You can't go hide in Alaska.
[46:13.000 --> 46:15.000]  You can't go hide under a bridge.
[46:15.000 --> 46:18.000]  You cannot get away from these people.
[46:18.000 --> 46:19.000]  You can't go to the woods.
[46:19.000 --> 46:21.000]  You can't go to a third-world country.
[46:21.000 --> 46:23.000]  You cannot get away from them.
[46:23.000 --> 46:25.000]  Read the Declaration of Independence.
[46:25.000 --> 46:31.000]  He has created all these agencies and sent forth swarms of agents to eat out our substance.
[46:31.000 --> 46:35.000]  And then we made phone calls and found out at the ranch down the road.
[46:35.000 --> 46:38.000]  I remember driving down there Friday evening.
[46:38.000 --> 46:40.000]  It was about to get dark.
[46:40.000 --> 46:44.000]  I remember singing RV Park there and all these little kids running around and old folks.
[46:44.000 --> 46:45.000]  You could tell.
[46:45.000 --> 46:47.000]  And by the way, my dad knows that family.
[46:47.000 --> 46:49.000]  It's a big old ranch.
[46:49.000 --> 46:51.000]  Family came to visit.
[46:51.000 --> 46:53.000]  And it doesn't matter if you've got your license.
[46:53.000 --> 46:55.000]  You've got to fill out all your logs and everything.
[46:55.000 --> 46:57.000]  Or they take everything you've got and take your guns.
[46:57.000 --> 46:59.000]  Listen, he's dead now.
[46:59.000 --> 47:01.000]  So he's beyond their grasp.
[47:01.000 --> 47:05.000]  But my great-uncle died of pancreatic cancer last year.
[47:05.000 --> 47:09.000]  And about a year before that, he wanted to go deer hunting one last time.
[47:09.000 --> 47:13.000]  And so he goes out there and we weren't allowing deer leases then at that time.
[47:13.000 --> 47:14.000]  Just family.
[47:14.000 --> 47:16.000]  And he shoots a deer.
[47:16.000 --> 47:20.000]  And then my uncle, you know, they field got it right there.
[47:20.000 --> 47:23.000]  But then my uncle says, don't worry, along with my dad,
[47:23.000 --> 47:26.000]  we'll drive this into town and get turned into sausage and steaks for you.
[47:26.000 --> 47:28.000]  We'll just have the processor do it.
[47:28.000 --> 47:29.000]  And they said, okay.
[47:29.000 --> 47:34.000]  So they drive into Fairfield and this state police jumps out, pulls him over,
[47:34.000 --> 47:35.000]  has his hand on his gun.
[47:35.000 --> 47:36.000]  Get back in your car!
[47:36.000 --> 47:37.000]  Get back!
[47:37.000 --> 47:38.000]  Get back!
[47:38.000 --> 47:39.000]  Get back right now!
[47:39.000 --> 47:40.000]  And they're like, what's going on?
[47:40.000 --> 47:41.000]  Because they see the leg sticking out.
[47:41.000 --> 47:44.000]  And he goes, because these are American scum.
[47:44.000 --> 47:45.000]  These are al-Qaeda.
[47:45.000 --> 47:46.000]  These are enemies.
[47:46.000 --> 47:50.000]  These are people to be taught their scum and trash and filth and garbage.
[47:50.000 --> 47:54.000]  So the foreign banks can fully suck everything out, including that state police officer's
[47:54.000 --> 47:56.000]  mother and grandma's pensions.
[47:56.000 --> 47:58.000]  And he'll still love them.
[47:58.000 --> 48:01.000]  And they're like, what in the world is going on here?
[48:01.000 --> 48:04.000]  He's like, well, you're transporting a deer and get up against the car.
[48:04.000 --> 48:06.000]  And then he goes, I've got you.
[48:06.000 --> 48:07.000]  I'm calling back up.
[48:07.000 --> 48:10.000]  You're going to jail.
[48:10.000 --> 48:13.000]  This name on the tag doesn't match the one.
[48:13.000 --> 48:16.000]  And of course, they said, well, that's fine.
[48:16.000 --> 48:19.000]  You go ahead and get your buddies over here and get the Game Warden over here.
[48:19.000 --> 48:21.000]  Landowners can transport the deer.
[48:21.000 --> 48:22.000]  But it didn't matter.
[48:22.000 --> 48:24.000]  They're just going to make more rules till they get you.
[48:24.000 --> 48:26.000]  And he's like, you shut up.
[48:26.000 --> 48:27.000]  You shut up.
[48:27.000 --> 48:28.000]  That's not true.
[48:28.000 --> 48:30.000]  And the Game Warden gets there and goes, oh, hi.
[48:30.000 --> 48:31.000]  Oh, I knew your daddy.
[48:31.000 --> 48:32.000]  Oh, yeah.
[48:32.000 --> 48:34.000]  It's all right, Bob.
[48:34.000 --> 48:36.000]  Yes, they're allowed to transport it.
[48:36.000 --> 48:40.000]  But then the state police guy insisted on digging through more, trying to find something.
[48:40.000 --> 48:44.000]  I mean, I won't even go hunting because of these people.
[48:44.000 --> 48:47.000]  I don't even want to be around it.
[48:47.000 --> 48:55.000]  I mean, and again, that's their goal, just like the animal ID, the premises ID, all of it.
[48:55.000 --> 48:58.000]  You know, there's a guy dying of pancreatic cancer back at the deer camp.
[48:58.000 --> 49:00.000]  He wants to go deer hunting before he dies.
[49:00.000 --> 49:02.000]  They drive in the deer to get it turned into sausage.
[49:02.000 --> 49:04.000]  And that's a crime in America.
[49:04.000 --> 49:11.000]  I saw a report last week where a guy had a deer and was gutting it in like a condo type apartment complex.
[49:11.000 --> 49:14.000]  And the police came and said, you're disrupting the peace and arresting him.
[49:14.000 --> 49:20.000]  Because again, to totally domesticated people, you know, some redneck moves into the edge of town, gets a duplex,
[49:20.000 --> 49:26.000]  is gutting a deer in their doorway because they're just a hillbilly, you know, person.
[49:26.000 --> 49:29.000]  And the general public thinks that some animal sacrificed for something.
[49:29.000 --> 49:31.000]  They're eating food all day.
[49:31.000 --> 49:37.000]  They'll eat chickens raised in a concentration camp, never seen a lot of day with their feet grown into the slats beneath them.
[49:37.000 --> 49:38.000]  That's not a crime.
[49:38.000 --> 49:43.000]  But actually killing and butchering your own deer, that's a crime.
[49:43.000 --> 49:46.000]  And again, it's because we are scum.
[49:46.000 --> 49:47.000]  We are trash.
[49:47.000 --> 49:49.000]  I first got involved when I was first on air.
[49:49.000 --> 49:51.000]  We got to find these videos and get them posted.
[49:51.000 --> 49:52.000]  Some of them are.
[49:52.000 --> 49:54.000]  I noticed a pattern.
[49:54.000 --> 49:59.000]  As soon as somebody had a heart attack or was dying of cancer and was in the hospital,
[49:59.000 --> 50:01.000]  they had maps of it.
[50:01.000 --> 50:05.000]  And it was always a local realtor that would report it as some sweetheart deal to get the property.
[50:05.000 --> 50:11.000]  And I did literally more than 20 cases where I covered this and didn't find out until about the 15th it was part of a city scam.
[50:11.000 --> 50:13.000]  They have special units of police that are part of it and stuff.
[50:13.000 --> 50:15.000]  The average cops don't know.
[50:15.000 --> 50:22.000]  And they know when somebody's dying of cancer or just had a heart attack that in a week or two, the grass grows above three inches is what they say.
[50:22.000 --> 50:25.000]  Objectionable grass length is in Austin.
[50:25.000 --> 50:28.000]  And it is $2,000 a day fines.
[50:28.000 --> 50:34.000]  In Austin, you think it's bad under Rahm Emanuel 1200 for 10-inch grass.
[50:34.000 --> 50:39.000]  Here in Austin, it's $2,000 for whatever they say is objectionable.
[50:39.000 --> 50:41.000]  And I kept wondering why it was always old people.
[50:41.000 --> 50:44.000]  They've got special units.
[50:44.000 --> 50:46.000]  Again, the average cops don't know about this.
[50:46.000 --> 50:48.000]  It's all about the criminal compartmentalization.
[50:48.000 --> 50:51.000]  At least they had this 15 years ago, back when I was battling it locally.
[50:51.000 --> 50:57.000]  And they go out and then take the house, shell it off to select insiders,
[50:57.000 --> 51:01.000]  and then throw the old person in one of their FEMA camp nursing homes.
[51:01.000 --> 51:06.000]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[51:06.000 --> 51:11.000]  As an authorized Berkey dealer, for over six years and serving thousands of satisfied customers,
[51:11.000 --> 51:16.000]  the Berkey guy offers amazing specials for Berkey water filtration systems.
[51:16.000 --> 51:22.000]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water
[51:22.000 --> 51:27.000]  by removing chlorine, pathogenic bacteria, cyst and parasites to non-detectable levels
[51:27.000 --> 51:30.000]  and remove harmful chemicals such as herbicides and pesticides.
[51:30.000 --> 51:35.000]  Order the Berkey light system today complete with two black Berkey elements for only $231,
[51:35.000 --> 51:38.000]  and the Berkey guy will ship your order free of charge.
[51:38.000 --> 51:45.000]  With the purchase of a Berkey light, the Berkey guy is also offering a set of fluoride and arsenic filters for only $39.99.
[51:45.000 --> 51:47.000]  That's over 30% off the retail price.
[51:47.000 --> 51:52.000]  Call the Berkey guy at 1-877-886-3653.
[51:52.000 --> 51:56.000]  That's 1-877-886-3653.
[51:56.000 --> 51:58.000]  Or order online at goberkey.com.
[51:58.000 --> 52:18.000]  That's goberkey.com today.
[52:29.000 --> 52:33.000]  We are in an information war, and we are losing that war.
[52:33.000 --> 52:36.000]  The globalists are scared. They've overreached.
[52:36.000 --> 52:40.000]  The future of the info war is in your hands.
[52:40.000 --> 52:46.000]  Join PrisonPlanet.tv, download the thousands of special video reports, e-books and more,
[52:46.000 --> 52:48.000]  and get them out to everyone you know.
[52:48.000 --> 52:55.000]  Continue to spread the word about the broadcast on YouTube, Facebook, Twitter and every other globalist propaganda platform.
[52:55.000 --> 53:01.000]  We are going to use their system against them. The info war now goes into high gear.
[53:01.000 --> 53:08.000]  Hi, this is Alex Jones. Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[53:08.000 --> 53:13.000]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[53:13.000 --> 53:18.000]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible that could even happen again.
[53:18.000 --> 53:23.000]  So our friends at Solutions From Science have put together the perfect mix of non-hybrid seeds.
[53:23.000 --> 53:30.000]  They call it a survival seed bank, and it can produce an endless supply of nutrient dense food for you and your family.
[53:30.000 --> 53:38.000]  And here's the best part. These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[53:38.000 --> 53:41.000]  So visit them today at survivalseedbank.com.
[53:41.000 --> 53:48.000]  That's survivalseedbank.com, or give them a call at 877-327-0365.
[53:48.000 --> 53:57.000]  That's 877-327-0365. Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[53:57.000 --> 54:00.000]  This is Alex Jones for survivalseedbank.com.
[54:06.000 --> 54:09.000]  You take a model man.
[54:10.000 --> 54:12.000]  You put him in control.
[54:13.000 --> 54:16.000]  And put him in control.
[54:16.000 --> 54:20.000]  You watch him become a power-tripping god.
[54:23.000 --> 54:26.000]  Watch people's heads roll.
[54:33.000 --> 54:36.000]  Yeah, I talked to Dave this morning.
[54:36.000 --> 54:44.000]  He gave me a little message letting me know he was jumping on an airplane for a South American term.
[54:44.000 --> 54:49.000]  He'll probably end up getting him at studio in December if he comes to town like he wants to, and he's certainly welcome to.
[54:49.000 --> 54:51.000]  So come on, Dave.
[54:53.000 --> 54:58.000]  Swing to the symphony of destruction.
[54:58.000 --> 55:01.000]  That's what you want. That's what you get.
[55:01.000 --> 55:09.000]  I want to go to George and Tim and Dee and Janice and Otter and everybody. I'll get to you.
[55:09.000 --> 55:15.000]  In fact, I'll basically take nothing but calls until our guest joins us and he's with us about 30 minutes and we'll continue there.
[55:15.000 --> 55:19.000]  Local Dallas financial host.
[55:19.000 --> 55:21.000]  He's got quite a bio. We'll go over some of that with him.
[55:21.000 --> 55:24.000]  It is taking what's happening over in Europe right now.
[55:24.000 --> 55:26.000]  A couple program notes.
[55:26.000 --> 55:36.000]  A lot of you couldn't watch the 27-hour video version of the money bomb we did from Thursday into Friday from 11am until 2pm the next day.
[55:36.000 --> 55:40.000]  We went a little bit past 2pm.
[55:40.000 --> 55:46.000]  Well, we're still restreaming it and have it posted in parts at infowarsmoneybomb.com.
[55:46.000 --> 55:55.000]  You can still go to infowars.com and the whole top of the site is a banner to infowarsmoneybomb.com if you want to be able to see that rebroadcast or any part of it.
[55:55.000 --> 56:04.000]  Because some of the most informative guests with really a lot of amazing information were in the middle of the night and early morning, including that skull and bones special.
[56:04.000 --> 56:12.000]  Never before revealed information with Charlotte Isherby, whose father and grandfather were members of skull and bones.
[56:12.000 --> 56:16.000]  Probably the most elite organization in North America.
[56:16.000 --> 56:19.000]  We'll no doubt in North America up there in the world.
[56:19.000 --> 56:21.000]  In fact, it's the U.S. branch of the Illuminati.
[56:21.000 --> 56:30.000]  A lot of breaking info never before really covered how it tied into modern education and psychology and that is up at infowarsmoneybomb.com.
[56:30.000 --> 56:34.000]  I want to thank all the listeners that supported us.
[56:34.000 --> 56:42.000]  It's going to allow us to hire more crew to get more news reports out, more news articles, more powerful reports on the nightly news.
[56:42.000 --> 56:50.000]  Because we are one string deep to use a football analogy here and it is really starting to weigh on myself and others.
[56:50.000 --> 56:58.000]  So now we're going to be able to get another line there on the bench so we have some depth as they say, at least on the TV side.
[56:58.000 --> 57:02.000]  The radio guys tell me they love it being only one deep.
[57:02.000 --> 57:05.000]  So that's great. As long as they like it, they can do it.
[57:05.000 --> 57:09.000]  But we really appreciate all your support out there.
[57:09.000 --> 57:11.000]  People are still donating.
[57:11.000 --> 57:13.000]  Normally I promote a money bomb about a month out.
[57:13.000 --> 57:15.000]  This time I did it 15 days out.
[57:15.000 --> 57:20.000]  And I think after all the mail order comes in, mail order means people order except by mail.
[57:20.000 --> 57:26.000]  After all the mail comes in after other donations that are coming in, I think we'll hit about $400,000.
[57:26.000 --> 57:28.000]  It was one of the best money bombs we've ever done.
[57:28.000 --> 57:31.000]  You can still donate there at m4smoneybomb.com.
[57:31.000 --> 57:40.000]  But we also had a lot of people buy books and videos and materials which we counted those sales towards the money bomb.
[57:40.000 --> 57:45.000]  And there's a lot of specials we're running right now that I can't really say actually do support us.
[57:45.000 --> 57:46.000]  It's just about getting the word out.
[57:46.000 --> 57:49.000]  We're selling all the different bumper sticker packages at cost.
[57:49.000 --> 57:50.000]  They're at cost.
[57:50.000 --> 57:53.000]  Now we cut that massively down to nothing.
[57:53.000 --> 57:56.000]  This is how I'm going to get the word out of them all in here in the fight.
[57:56.000 --> 58:03.000]  And we also cut the price of Ventura's book, 63 Docks.
[58:03.000 --> 58:08.000]  And the book, Great Book, Big Brother or William Nightmare Come True by Mark Dice.
[58:08.000 --> 58:10.000]  Both those books, $9.95.
[58:10.000 --> 58:13.000]  And it's so popular, the deal's probably going to end in a couple of days.
[58:13.000 --> 58:17.000]  I mean, they're racing out at that price.
[58:17.000 --> 58:20.000]  By the way, we don't make any money at that.
[58:20.000 --> 58:22.000]  I don't care anymore.
[58:22.000 --> 58:26.000]  I just feel in my gut we need to pump all the info out we can now.
[58:26.000 --> 58:27.000]  We've got all my films.
[58:27.000 --> 58:28.000]  What is that?
[58:28.000 --> 58:32.000]  They're on DVD, like 14 of them for $9.95, normally $360.
[58:32.000 --> 58:37.000]  The Alex Jones Everything Special, $99 right now, infowars.com.
[58:37.000 --> 58:39.000]  Your call's coming up. Stay with us.
[58:44.000 --> 58:48.000]  This is GCN, the Genesis Communications Radio Network.
[58:48.000 --> 58:53.000]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[58:53.000 --> 58:57.000]  Number one, new climate legislation could easily double or triple your electric bill.
[58:57.000 --> 59:03.000]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[59:03.000 --> 59:09.000]  It's true, total government control of electricity in the name of smart grid technology is coming.
[59:09.000 --> 59:13.000]  Number three, in some areas of the country, the power grid is dangerously overloaded.
[59:13.000 --> 59:18.000]  And now, new socialist legislation is only compounding the problem.
[59:18.000 --> 59:21.000]  Number four, dangerous weather is always a threat to local grids.
[59:21.000 --> 59:25.000]  Every year, thousands of families lose their power from weather-related onages.
[59:25.000 --> 59:30.000]  Number five, a solar power generator provides powerful backup insurance and peace of mind.
[59:30.000 --> 59:35.000]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my old sponsors.
[59:35.000 --> 59:39.000]  You can get more information at www.mysolarbackup.com.
[59:39.000 --> 59:44.000]  That's mysolarbackup.com. Remember, the government doesn't own the sun.
[59:44.000 --> 1:00:10.000]  So go to mysolarbackup.com or call 1-877-327-0365.
[1:00:10.000 --> 1:00:17.000]  You want answers? Well, so does he. He's Alex Jones on the GCN Radio Network.
[1:00:17.000 --> 1:00:27.000]  And now, live from Austin, Texas, Alex Jones.
[1:00:27.000 --> 1:00:30.000]  Okay, we're into hour number two.
[1:00:30.000 --> 1:00:40.000]  I've gotten into the fact that Israel is now about 98% official that they're going to hit Iran.
[1:00:40.000 --> 1:00:44.000]  I haven't even gotten into the economic news. We've got a guest coming up in 30 minutes.
[1:00:44.000 --> 1:00:47.000]  Italy too big to fail, too big to save. Why should you care?
[1:00:47.000 --> 1:00:51.000]  They're saying the U.S. is going to pay just like last time for half of this,
[1:00:51.000 --> 1:00:57.000]  because the U.S. is controlled by the same megabanks that run Europe.
[1:00:57.000 --> 1:01:01.000]  So that's all coming up. Got a bunch of political news.
[1:01:01.000 --> 1:01:07.000]  Yes, I'll give you my take on Herman Cain and another accuser and Gloria Alred and all this garbage.
[1:01:07.000 --> 1:01:10.000]  I'll get to some of that. But right now, let's go to George in Pennsylvania.
[1:01:10.000 --> 1:01:12.000]  You're on the air. Go ahead, George.
[1:01:12.000 --> 1:01:15.000]  Thank you for all your work that you do for all of us.
[1:01:15.000 --> 1:01:19.000]  I would like to bring up some news that you covered about four years ago in New Hampshire.
[1:01:19.000 --> 1:01:23.000]  There were a lot of people that said that their whole family voted for Ron Paul,
[1:01:23.000 --> 1:01:28.000]  but they recorded zero votes. I wonder if we might have some sort of registry someplace
[1:01:28.000 --> 1:01:31.000]  of people who want their vote counted and want to make sure it counts.
[1:01:31.000 --> 1:01:33.000]  There's only 10 counties in New Hampshire.
[1:01:33.000 --> 1:01:37.000]  It would seem like if we had a preemptive strike against the county election officials,
[1:01:37.000 --> 1:01:43.000]  you know, everything on deck ready to go can verify that people actually voted for him,
[1:01:43.000 --> 1:01:51.000]  that we might stave off their fixing in the ballot boxes.
[1:01:51.000 --> 1:01:55.000]  And here's the issue. It did come out that they cheated Ron Paul in New Hampshire.
[1:01:55.000 --> 1:02:00.000]  But Ron Paul, then if he comes out and attacks that it looks like he's a sore loser A,
[1:02:00.000 --> 1:02:07.000]  then B, then during the election and other primaries, why should people vote for him?
[1:02:07.000 --> 1:02:14.000]  It was going to be fixed. Well, the answer is they have trouble fixing landslides A and B.
[1:02:14.000 --> 1:02:17.000]  It reveals the corruption by going and voting.
[1:02:17.000 --> 1:02:21.000]  But yeah, no, I mean, we've got a government that takes baby's blood at birth and then got caught
[1:02:21.000 --> 1:02:23.000]  lying about it for a DNA database.
[1:02:23.000 --> 1:02:26.000]  We've got a government that says they want to drug the entire population.
[1:02:26.000 --> 1:02:34.000]  We have a criminal, uh, kleptocratic government and Ron Paul undoubtedly,
[1:02:34.000 --> 1:02:39.000]  and I don't know what was it, four counties clearly won and they cheated him.
[1:02:39.000 --> 1:02:42.000]  In fact, they didn't just cheat him. They drove his numbers way down
[1:02:42.000 --> 1:02:47.000]  where they didn't even match the poll numbers and they are scared of Ron Paul.
[1:02:47.000 --> 1:02:52.000]  But again, by him running, this is what convinced Ron Paul to run last time and this time,
[1:02:52.000 --> 1:02:56.000]  and it may convince him to run third party and he doesn't win the nomination.
[1:02:56.000 --> 1:03:04.000]  And that's because he knows he wins by injecting real issues about the Federal Reserve,
[1:03:04.000 --> 1:03:05.000]  about the New World Order.
[1:03:05.000 --> 1:03:09.000]  So even if they steal elections, we know it's not the puppet politicians they put in
[1:03:09.000 --> 1:03:12.000]  that are running things. It's the banksters.
[1:03:12.000 --> 1:03:16.000]  And once that part of the equation is understood by the general public,
[1:03:16.000 --> 1:03:18.000]  which is starting to happen, it's game over.
[1:03:18.000 --> 1:03:21.000]  The New World Order must hide itself.
[1:03:21.000 --> 1:03:25.000]  It can operate in the open. Go ahead.
[1:03:25.000 --> 1:03:30.000]  Would you consider sponsoring a registry of people that would attest that they had voted for him
[1:03:30.000 --> 1:03:36.000]  to supply documentation for somebody that might want to take this into legal matters?
[1:03:36.000 --> 1:03:39.000]  And that would not be on Ron Paul's shoulder that way?
[1:03:39.000 --> 1:03:41.000]  Yeah, here's the issue.
[1:03:41.000 --> 1:03:47.000]  Ron Paul will probably raise $40 million this election cycle or something close to it.
[1:03:47.000 --> 1:03:53.000]  And Ron Paul would tell you, legal challenges, people on the ground, how do you...
[1:03:53.000 --> 1:04:00.000]  I mean, we're a group operating on a fraction of that and I can barely, you know,
[1:04:00.000 --> 1:04:05.000]  get basic stuff, you know, completed because we've got a lot of irons in the fire.
[1:04:05.000 --> 1:04:09.000]  But yes, people, citizens need to be watching.
[1:04:09.000 --> 1:04:13.000]  The Paul campaign does need to deploy in New Hampshire.
[1:04:13.000 --> 1:04:18.000]  More poll watchers doing exit polls, especially in those counties that cheated him last time.
[1:04:18.000 --> 1:04:22.000]  That's absolutely essential, yes.
[1:04:22.000 --> 1:04:23.000]  All right, thank you.
[1:04:23.000 --> 1:04:26.000]  I mean, do you have any ideas? I mean, what should we do?
[1:04:26.000 --> 1:04:31.000]  I think if there was a registry that was promoted where people could put their vote down,
[1:04:31.000 --> 1:04:35.000]  only 10 counties and, you know, we get the...
[1:04:35.000 --> 1:04:38.000]  If you had a support page for that where people wanted to donate to that cause,
[1:04:38.000 --> 1:04:42.000]  I think you'd get a terrific amount of support to help...
[1:04:42.000 --> 1:04:45.000]  Yeah, I just don't know if computer-wise I could even get that done.
[1:04:45.000 --> 1:04:47.000]  I mean, that's really where I'm at.
[1:04:47.000 --> 1:04:52.000]  But people should send me info on it and try to create a logistical idea.
[1:04:52.000 --> 1:04:53.000]  That's a great idea.
[1:04:53.000 --> 1:04:56.000]  We've got to start catching these fraudsters at some point.
[1:04:56.000 --> 1:04:58.000]  They kill us with all the bureaucracy.
[1:04:58.000 --> 1:05:01.000]  We'll be right back.
[1:05:29.000 --> 1:05:32.000]  In fact, Barron's called his work a dire prophecy.
[1:05:32.000 --> 1:05:35.000]  Recently, he created a video which you can watch online for free,
[1:05:35.000 --> 1:05:39.000]  detailing his biggest and most important prediction yet, and it's a real eye-opener.
[1:05:39.000 --> 1:05:41.000]  I can't stress this enough.
[1:05:41.000 --> 1:05:43.000]  You should at least watch this free video online today.
[1:05:43.000 --> 1:05:47.000]  He explains everything you need to know, including simple steps you can take to protect yourself.
[1:05:47.000 --> 1:05:52.000]  You can find the video at www.EndOfAmerica3.com.
[1:05:52.000 --> 1:05:53.000]  That's End of America.
[1:05:53.000 --> 1:05:58.000]  The number 3.com. Watch the free video at www.EndOfAmerica3.com.
[1:05:58.000 --> 1:06:24.000]  That's End of America 3.com.
[1:06:28.000 --> 1:06:31.000]  The silver nanoparticles instantly into the bloodstream,
[1:06:31.000 --> 1:06:35.000]  with continued legislation threatening the sale of nano-silver products.
[1:06:35.000 --> 1:06:41.000]  You can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[1:06:41.000 --> 1:06:46.000]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[1:06:46.000 --> 1:06:54.000]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[1:06:54.000 --> 1:06:58.000]  That's www.SilverLungs.com.
[1:07:25.000 --> 1:07:29.000]  Full of the Republic identifies the enemies of our nation.
[1:07:29.000 --> 1:07:36.000]  The criminal offshore cartel held bent on destroying sovereignty and on its ashes constructing world government.
[1:07:36.000 --> 1:07:40.000]  Tim Geithner, Bernanke, the arsonists, they're asking for more matches.
[1:07:40.000 --> 1:07:42.000]  And the Congress is saying, who do we make the checkout to?
[1:07:42.000 --> 1:07:44.000]  Today seems like nobody does care.
[1:07:44.000 --> 1:07:49.000]  And right now in Washington, D.C., we have seen a fall of the Republic.
[1:07:49.000 --> 1:07:54.000]  Get your copy of Full of the Republic on DVD at infowars.com.
[1:07:54.000 --> 1:08:00.000]  We're watching online right now in super high quality at prisonplanet.tv.
[1:08:02.000 --> 1:08:09.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[1:08:09.000 --> 1:08:13.000]  It's Alex Jones and the GCN Radio Network.
[1:08:13.000 --> 1:08:27.000]  Okay, folks, we are now into hour number two, continuing with your calls. The last caller I talked to raised the point that we need in New Hampshire to have poll watchers.
[1:08:27.000 --> 1:08:37.000]  Because last time, and at least four of the 10 counties, Ron Paul overwhelmingly won according to the exit polls, but then overwhelmingly lost.
[1:08:37.000 --> 1:08:39.000]  And there was a lot of reports of fraud.
[1:08:39.000 --> 1:08:49.000]  So the caller was saying, why not create a database where people opt into it and register on record that they did this so we can show the fraud this time?
[1:08:49.000 --> 1:09:01.000]  Then some people say, well, you're showing a mixed message. If there's election fraud, why then should we be involved in elections to show there's fraud, to have our issues injected into the debate?
[1:09:01.000 --> 1:09:03.000]  I mean, that's the main reason.
[1:09:03.000 --> 1:09:06.000]  We can't just give up. We have to keep engaging.
[1:09:06.000 --> 1:09:11.000]  There's not fraud in every county, but there is and more than about 40% of the nation.
[1:09:11.000 --> 1:09:15.000]  That's why government doesn't care. That's why they're so arrogant.
[1:09:15.000 --> 1:09:20.000]  I was watching Psyop films that were classified in the 60s, but released the last decade.
[1:09:20.000 --> 1:09:35.000]  And it was all about when a US-backed nation occupies and asks martial law, they need to be respectful and get the people on their side and actually try to help them, or they'll lose.
[1:09:35.000 --> 1:09:40.000]  But see, they don't care anymore. They want you to know you're a piece of garbage. They want to demoralize you.
[1:09:40.000 --> 1:09:43.000]  They know Congress has a 9% approval rating.
[1:09:43.000 --> 1:09:54.000]  And so they're like, okay, you know, you know where crooks? You're right. We are. You're not going to beat us.
[1:09:54.000 --> 1:09:58.000]  We're taking your tax money and arming to the teeth against you and surveilling.
[1:09:58.000 --> 1:10:03.000]  And we're going to stage events and blame it on foreign enemies. You got that?
[1:10:03.000 --> 1:10:08.000]  And that's what they're doing. And if you want America to turn around, you got to wake up to that.
[1:10:08.000 --> 1:10:11.000]  I mean, earlier it tears my guts out all over the country.
[1:10:11.000 --> 1:10:17.000]  They go to mainly old folks' houses who've got, you know, three, four inch grass and give them giant fines.
[1:10:17.000 --> 1:10:30.000]  And I just think about how all these crooks in government can steal trillions of dollars, ship cocaine into the country, weapons out of the country, opium into the country, all publicly, every crime under the sun, you can imagine.
[1:10:30.000 --> 1:10:39.000]  But then it's all about lecturing the general public how we're criminals and how we can't trust anybody but Big Brother and Big Sis and telescreens everywhere.
[1:10:39.000 --> 1:10:51.000]  And coming up, I guess, on Wednesday at the start of the third hour, two o'clock Eastern, one o'clock Central, they're going to do an EAS alert takeover drill.
[1:10:51.000 --> 1:10:54.000]  So I guess on our AM and FM stations, doesn't matter.
[1:10:54.000 --> 1:10:59.000]  You're not going to just do some drill for the test of the takeover. They're going to take over and have some announcement for you.
[1:10:59.000 --> 1:11:05.000]  Again, they've always had these with the station getting the tone and going over to it themselves.
[1:11:05.000 --> 1:11:15.000]  You're not trusted. See, 50 years ago, 20 years ago, 10 years ago, five years ago, Americans could be trusted by the loving military industrial complex.
[1:11:15.000 --> 1:11:24.000]  Two, when you got the EAS system and it told you to broadcast it over air, it would give you a warning a few minutes before, sometimes an hour before, several warnings leading up to it.
[1:11:24.000 --> 1:11:29.000]  You would dial over at that time and the feds would practice the takeover of your station.
[1:11:29.000 --> 1:11:32.000]  But now they're saying we're removing you good little slave.
[1:11:32.000 --> 1:11:41.000]  We've just done all this dog training to make sure that when we tell you you do the test and our computer registers that now we don't need you little man.
[1:11:41.000 --> 1:11:48.000]  And they're announcing publicly what they told Broadcaster Associations 16 years ago.
[1:11:48.000 --> 1:11:57.000]  I talked to folks in the Texas Association of Broadcasters, I talked to station owners, I talked to engineers, I talked to an engineer who was the head of the engineer society here in the state.
[1:11:57.000 --> 1:12:03.000]  And they were told in meetings, as it's for America, you understand, that what do you think about because the government wants to do this?
[1:12:03.000 --> 1:12:07.000]  We're going to break in every day with announcements, just public service announcements.
[1:12:07.000 --> 1:12:14.000]  We'll have a lot of blocks where you don't have to play those anymore. We'll play them for you and we'll do some live programming.
