[00:00.000 --> 00:29.000]  Ladies and gentlemen, we are live on this Friday, November 27th, 2020.
[52:14.000 --> 52:15.000]  No.
[52:15.000 --> 52:24.000]  Some of the people watching you now, they don't believe you. They think you're lying. They're going to say, of course you're going to say Dominion's not guilty of anything because you represent the company.
[52:24.000 --> 52:36.000]  Right. Well, I've got the facts on my side, and the President's attorneys will go on to press conferences, will go on TV, and make these crazy allegations, and then 30 times they've gone to court, and they have not offered a scintilla of truth.
[52:36.000 --> 52:43.000]  So all I can say is, we would love to see any facts and evidence they have. Thus far, we have seen none.
[52:43.000 --> 53:09.000]  The Dominion voting systems, the smartmatic technology software, and the software that goes in other computerized voting systems here as well, not just Dominion, were created in Venezuela at the direction of Hugo Chavez to make sure he never lost an election after one constitutional referendum came out the way he did not want it to come out.
[53:09.000 --> 53:22.000]  We have one very strong witness who has explained how it all works. His affidavit is attached to the pleadings of Len Wood in the lawsuit he filed in Georgia.
[53:22.000 --> 53:39.000]  It is a stunning detailed affidavit because he was with Hugo Chavez while he was being briefed on how it worked. He was with Hugo Chavez when he saw it operate to make sure the election came out his way.
[53:39.000 --> 54:00.000]  That was the express purpose for creating this software. He has seen it operate, and as soon as he saw the multiple states shut down the voting on the night of the election, he knew the same thing was happening here, that that was what had gone on.
[54:00.000 --> 54:15.000]  So, Carson, walk me through how we're going to hack a win-vote machine. The first thing we're going to do is we connect wirelessly to this machine, and so when we press join, now we're connected to the machine.
[54:15.000 --> 54:23.000]  That's it? That's it. What we learn from this is do not use wireless access points and voting machines. Just don't do it.
[54:23.000 --> 54:40.000]  And if you doubt that this is actually the win-vote machine, we can just look and list the directory, and here you say, see, there's a director called win-vote, and so we can also go into this directory, win-vote, and just kind of press demo, and then I will help you.
[54:40.000 --> 54:53.000]  And now you're successful.
[55:10.000 --> 55:31.000]  We have high-quality storeable food last 25 years, highest quality, lowest prices, great containers, ready to ship, but when people figure this out in a few months, I think there'll be long lines again to get storeable food after the lockdown has been going for a few months.
[55:31.000 --> 55:45.000]  So get your orders in today at PrepareWithAlex.com and get an additional 10% off when they're ready to ship. The sale ends next Wednesday, or I guess, that's December 2nd, so get your orders in now, PrepareWithAlex.com.
[55:45.000 --> 56:04.000]  Warning, warning, warning, there is not long to stop the complete martial law takeover. The giant third world collapse and a new world war that is going to be triggered by the new COVID lockdown announced by globalist systems in Europe, in Asia, and now in the United States.
[56:04.000 --> 56:19.000]  Joe Biden is set to announce today that he has a new COVID task force that is calling for a national mask mandate to prove your servitude, contact tracing, forced inoculations coming, but most importantly, a new lockdown.
[56:19.000 --> 56:37.000]  That way, he can say that Trump is to blame for COVID and claim that only a new lockdown will stop COVID. Then, of course, when that new lockdown doesn't work, those of us that didn't submit to the lockdown are going to be blamed for it, and that's when all the mass arrests start sometime towards the end of next year.
[56:37.000 --> 56:47.000]  This is a permanent martial law plan. Trump must be punyated, expose Fauci and Gates, and the UN takeover, not play games with it.
[56:47.000 --> 56:52.000]  You're listening to the Alex Jones show.
[57:17.000 --> 57:33.000]  One of the biggest hoax ever perpetuated against humankind worldwide, and one of the major factors, one of the major players in this hoax, one of the biggest criminals in the world is Bill Gates.
[57:33.000 --> 57:52.000]  All coming out with Bill Gates involvement in censorship, with Bill Gates involvement in rigged elections, and, of course, with Bill Gates involvement in vaccines and the fake pandemic, where vaccine manufacturers are set to clean up, ladies and gentlemen, anything and everything involved with COVID is cleaning up financially right now,
[57:52.000 --> 58:07.000]  and it's all going to come out to be a total hoax. In fact, again, InfoWars myself reported it first. Just look at the death count in the United States of America, not up, not up one bit.
[58:07.000 --> 58:26.000]  Total hoax. Incredible to think that that anecdotal evidence just sitting out there as perhaps the number one factor, I would say, to say, was there really a deadly pandemic? Did COVID really impact us that much? Let's look at the death rate.
[58:26.000 --> 58:49.000]  No. All a scam for vaccine manufacturers, big pharma, big tech, big convenience with big tech of Amazon and these online companies making billions, which will be translated into trillions over a fake pandemic that they all went along with.
[58:49.000 --> 59:06.000]  Now, here's Bill Gates in 2017. 2017, Bill Gates at the Davos World Economic Forum, an evil genius admitting to you his plans for worldwide domination, proposing it like it's a potential. No, he knew it was all coming. He was planning it.
[59:06.000 --> 59:08.000]  Here's Bill Gates admitting it in 2017.
[59:08.000 --> 59:22.000]  An epidemic either naturally caused or intentionally caused is the most likely thing to cause, say, 10 million excess deaths. As we've seen various flu scares come along, we haven't had a super good response.
[59:22.000 --> 59:39.000]  So the paradigmatic examples are smallpox for an intentionally caused thing that there was a simulation called dark winter that didn't come out very well. IE, smallpox scored one and humanity scored zero flu epidemics where, you know, we always talk about the potential
[59:39.000 --> 59:59.000]  of Spanish recurrence of a 1917 like Spanish flu problem and then Ebola. You're excited about the technology innovation that's going on around this sort of RNA area. Do you talk us through, you know, where we're at, how optimistic you are that we can really accelerate the process of getting a vaccine developed?
[59:59.000 --> 1:00:16.000]  Well, there's no licensed product using these technologies. So there's still, in terms of immunogenicity, duration, some questions to be answered. You know, there's early animal data that shows real promise.
[1:00:16.000 --> 1:00:33.000]  And there's a lot of entities, government entities, our foundation, others who've been working with the pharma companies and new entrants like Moderna and Kirbak and saying, OK, what types of diseases would this work for?
[1:00:33.000 --> 1:00:51.000]  If the platform comes along, it will be a valuable tool for the ongoing infectious diseases where we still have a gigantic burden. It'll be valuable for epidemics and potentially as a tool to limit the effect of bioterrorism.
[1:00:51.000 --> 1:01:03.000]  It's very exciting. You know, I think it's too bad in a way that we have had to have these epidemics to get us to move, but I'm going to the Munich Security Conference part.
[1:01:03.000 --> 1:01:06.000]  Do you hear that? We have to have epidemics to get us to move?
[1:01:06.000 --> 1:01:25.000]  You know, I think bioterrorism is this scary thing, but potentially if people understand that the investments against bioterrorism, against natural epidemics and to improve our situation on the diseases that are out there, that you can get sort of a triple benefit and not just vaccine.
[1:01:25.000 --> 1:01:31.000]  Oh, so Bill Gates enriches himself. Bill Gates gets to vaccinate you.
[1:01:31.000 --> 1:01:43.000]  Bill Gates gets to create new technology with RNA vaccines that change your chemical and DNA makeup. But hey, you know, there's nothing fishy about Bill Gates. Just give your future over to him.
[1:01:43.000 --> 1:01:53.000]  He just wants to dominate your life. That's a mad scientist who's not even a scientist who's doing worldwide population control experiments with you.
[1:01:53.000 --> 1:02:08.000]  Imagine a dystopic novel or a dystopic science fiction movie where if you've had a cold, you can be locked up in your home, you can be taken away, you can be forcibly inoculated with drugs that mask greatest vaccines that actually change your very DNA.
[1:02:08.000 --> 1:02:22.000]  Well, that's where you are in the year 2020. Global government, the United Nations, all these authoritarian groups admit they're doing it. They even admit that they're doing it for power and control and that they're not even worried about COVID-19.
[1:02:22.000 --> 1:02:32.000]  That's what Klaus Schwab and others have said. Think about how insane that is. Oh, and big tech's got to track you. They've got to trace you. They've got to control you. You've got to have absolutely your house.
[1:02:32.000 --> 1:02:42.000]  Why? You've got to have secret police come disappear you because, my God, this thing has one tenth of one percent chance of killing you. Give your ability to have cancer or heart attack.
[1:02:42.000 --> 1:02:52.000]  This is their takeover. Imagine on America's death certificate killed by the fear of a common cold. Yeah, that's fair monitoring. That's my control.
[1:03:12.000 --> 1:03:31.000]  Look at this incredible headline. Moderna's groundbreaking coronavirus vaccine was designed in just two days. Business Insider, isn't that interesting?
[1:03:31.000 --> 1:03:48.000]  We were told that it wasn't until July and August that companies were able to properly break down the genome of COVID-19 and be able to come up with even the basic precursor to make a vaccine.
[1:03:48.000 --> 1:04:02.000]  Oh, but you see Moderna's groundbreaking vaccine is an mRNA vaccine and turns out they've been testing it in hundreds and hundreds of patents they and other big pharma companies going back over 10 years.
[1:04:02.000 --> 1:04:10.000]  And it turns out all the patents for use on pigs and ducks and chicken and other poultry. Well, it says that it can also be used on humans.
[1:04:10.000 --> 1:04:21.000]  And we covered all of those different patents back in February and March and April and said, watch, they're going to have the vaccine a lot sooner than they said.
[1:04:21.000 --> 1:04:32.000]  Because they already had it even under the name two years ago as COVID-19 listed by the World Bank as vaccines being developed and wait for it, wait for it.
[1:04:32.000 --> 1:04:51.000]  Wuhan, Wuhan. Oh, but Fauci says, don't worry, ladies and gentlemen. There's no evidence that COVID-19 came out of the Wuhan lab because he ran the very COVID-19 coronavirus bat virus research projects on record with Barack Hussein Obama.
[1:04:51.000 --> 1:05:00.000]  And now what else is happening? Oh, of course, you've got this so-called Oxford vaccine and you've got the other vaccines being produced in England.
[1:05:00.000 --> 1:05:08.000]  And they're coming out and they're saying that they've got all these problems and weren't as effective as they said. It's all lies, ladies and gentlemen.
[1:05:08.000 --> 1:05:15.000]  This is about them getting world immunity from vaccine damage, all these hundreds of companies. It's about them getting trillions of dollars of force will be inoculate you.
[1:05:15.000 --> 1:05:23.000]  It's about the tracking systems that come with it. It's about the world government that implements it. It's about the total control whenever Trojan horses they load into them.
[1:05:23.000 --> 1:05:31.000]  My God, it's time to force all these politicians to publicly take the vaccines that citizens get from doctors themselves to know it's not a placebo.
[1:05:31.000 --> 1:05:37.000]  And it's time for Bill Gates to take all 100 plus vaccines he's been financing for us in our families. Safe and effective.
[1:05:37.000 --> 1:05:41.000]  Just like when Monsanto got confronted that time, the lobbyists, he said, oh, you can drink Roundup.
[1:05:41.000 --> 1:05:44.000]  The guy said, here's a can of it. He goes, I wouldn't do that. It would kill me.
[1:05:44.000 --> 1:05:52.000]  Bill Gates. Bill Gates is also involved in Monsanto. He needs to drink that Roundup and take all those shots.
[1:05:52.000 --> 1:06:03.000]  So again, recapping the new vaccines were being told that are about to start testing this month in Texas and other states, four other states was already developed and ready.
[1:06:03.000 --> 1:06:11.000]  They say in January of 2020 before COVID-19 was even on the radar.
[1:06:11.000 --> 1:06:18.000]  Now, again, we've had former top lawyer who wrote the US biological weapons law and we've had all these other scientists and experts on.
[1:06:18.000 --> 1:06:25.000]  They already broke all this down months and months and months ago, but now it's out in the open. They think you're stupid.
[1:06:25.000 --> 1:06:30.000]  They're hiding this mass crime, this giant power grab in plain view.
[1:06:30.000 --> 1:06:38.000]  And they're not going to stop until we identify them as the criminals they are publicly and have our governmental institutions take them to court and put them in prison.
[1:06:38.000 --> 1:06:46.000]  Bill Gates, Fauci, the Chai comms, they're all open and shut behind this. They stand again from it.
[1:06:46.000 --> 1:06:51.000]  The power grab, they run it all. Gates has been run out of 22 countries for killing people with his damn vaccines.
[1:06:51.000 --> 1:06:59.000]  It's even the Associated Press. He's the main cause of polio. You can't make it up and see this is all coming down in December last year.
[1:06:59.000 --> 1:07:04.000]  The UN went public and said, look, our own doctors know it's hurting people. We got to stop the vaccines.
[1:07:04.000 --> 1:07:08.000]  They even said that in Switzerland, their main vaccine meeting, we've covered it big.
[1:07:08.000 --> 1:07:16.000]  And that's why all this happened is they had to have a big global event to smoke screen and make the actual villains the saviors. And that's what they've done.
[1:07:16.000 --> 1:07:19.000]  So I'm going to get worse, folks, continue lockdown, the world government.
[1:07:19.000 --> 1:07:26.000]  Klaus Schwab saying he's going to change your genetics. That's what Bill Gates says he's doing. They're coming for you. This is the blitzkrieg.
[1:07:26.000 --> 1:07:29.000]  This is the big move. You have been warned.
[1:07:29.000 --> 1:07:41.000]  And I wonder, as you intellectually play this out with foresight, the question becomes, do we have to go into this?
[1:07:41.000 --> 1:07:52.000]  Do we actually have to put a foot into this door of the one world government of the technotronic age where you merge with machine because here's how it's going to go.
[1:07:52.000 --> 1:08:01.000]  Honestly, like a part of me says it's inevitable because you either stop Bill Gates and these mad scientists, world criminals now.
[1:08:01.000 --> 1:08:14.000]  Or it's inevitable what's coming, folks, and it's all coming in the next decade, maybe even the next couple years, maybe even the next year, where they're going to force you to take a vaccine.
[1:08:14.000 --> 1:08:27.000]  It's going to alter your DNA. And they're going to say, oh, look, Bill Gates is the savior. He saved us from this deadly pandemic, this virus that 99.9% of people survive.
[1:08:27.000 --> 1:08:33.000]  They came out of a lab in Wuhan, China that Obama and Fauci and Gates were all involved in. None of that will matter.
[1:08:33.000 --> 1:08:39.000]  All that will matter is that the TV said you're going to die from COVID. Bill Gates came around with a vaccine that saved you from COVID.
[1:08:39.000 --> 1:08:55.000]  And then that's going to be translated as it's now making it normal for you to be injected at any age with a synthetic chemical, chemical rape, medical tyranny, which will then introduce the microchipping.
[1:08:55.000 --> 1:09:22.000]  And so here's how it's going to go. And that's why when they flashed that thing of the cryptocurrency patent 202666 down the line, down the line, the final phase of this is once Bill Gates has properly manipulated your DNA,
[1:09:22.000 --> 1:09:35.000]  your RNA with synthetic RNA, so that you now are a Bill Gates patent with Charles Schwab and others, and then they literally own you.
[1:09:35.000 --> 1:09:42.000]  And you're now not even human. You're now owned by the corporate world government. That's where this goes.
[1:09:42.000 --> 1:09:57.000]  But the question is, do we have to get to that point to beat it? Or are we going to have enough gumption here to be proactive and realize that's what they're going to do if we let them get away with it?
[1:09:57.000 --> 1:10:01.000]  It's tough. Is it future crime? Is it minority report?
[1:10:01.000 --> 1:10:15.000]  Yeah, Bill Gates wants to inject you, wants to chemically rape you, medically rape you, change your DNA, make you a patent of him, of his, so that he owns you in the future when he thinks he'll live forever on some machine.
[1:10:15.000 --> 1:10:23.000]  And then he's got billions of slaves worldwide that are just like batteries or cattle.
[1:10:23.000 --> 1:10:39.000]  And that's the new age. That's the end of humanity into the technotronic age where very few, very few will not be chemically moderated, not be moderated with the RNA vaccine.
[1:10:39.000 --> 1:10:45.000]  But see, people will be so dumb and confused in 10 years, they won't even get it.
[1:10:45.000 --> 1:10:52.000]  Just look at how brainwashed the average street leftist is right now.
[1:10:52.000 --> 1:10:56.000]  And it's been getting worse and worse and worse. You can't even talk to them anymore.
[1:10:56.000 --> 1:11:05.000]  So it'll become a thing in 10 years and they'll just say, oh, if you get tested for this, you're actually not human. You're a Microsoft patent.
[1:11:05.000 --> 1:11:10.000]  But they'll love it. They'll celebrate it because this means you get a free pair of Bose headphones.
[1:11:10.000 --> 1:11:14.000]  You get headphones and a new bracelet and new shoes and everything.
[1:11:14.000 --> 1:11:22.000]  Welcome to Bill Gates patent company and it'll be celebrated and they'll love it and then they'll get injected with something.
[1:11:22.000 --> 1:11:27.000]  They'll claim it's life extension technology. You're uploaded to a machine. You're dead.
[1:11:27.000 --> 1:11:35.000]  Or you're just trapped here forever, never able to move on to the next dimension, never able to move on to the next level.
[1:11:35.000 --> 1:11:40.000]  That's what they're going to do. That's what's coming. Everybody who's anybody knows it.
[1:11:40.000 --> 1:11:51.000]  So the question is, do we have to get into that spider's web to recognize it's real and shake loose of it and kill the spider that wants to suck our guts?
[1:11:51.000 --> 1:12:02.000]  Or are we proactive enough? Do we have enough foresight to understand that this is our future unless we act now?
[1:12:02.000 --> 1:12:10.000]  You know, you can talk about politics and then boil it down. Oh, Trump versus not Trump or policy or all this other stuff.
[1:12:10.000 --> 1:12:17.000]  This is beyond politics, folks. This is the future of humanity. This is the destiny of humanity.
[1:12:17.000 --> 1:12:24.000]  We're mad scientists and world criminals like Bill Gates and others with the Davos forum and others.
[1:12:24.000 --> 1:12:32.000]  We want to change the course of history and humanity, bring in the age of machines, AI run by them,
[1:12:32.000 --> 1:12:42.000]  and then all humans become a subject or a patent of the Bill Gates RNA vaccine and they won't even know what hit them
[1:12:42.000 --> 1:12:49.000]  because they've been so brainwashed and so Stockholm syndrome that they'll just go along with it.
[1:12:49.000 --> 1:12:52.000]  So can we beat this now or is that where we're going?
[1:12:52.000 --> 1:12:59.000]  It really is simple. The left are into being deviant and I don't mean sexually deviant. That goes to the territory.
[1:12:59.000 --> 1:13:06.000]  I'm talking about deviant against their ancestors, deviant against their own species, deviant against the order of nature.
[1:13:06.000 --> 1:13:11.000]  Even though that deviance is destructive and poisonous, they still do it because they want to play God.
[1:13:11.000 --> 1:13:18.000]  Everything they touch, they destroy. Their sacrament is aborting babies and then using their body parts.
[1:13:18.000 --> 1:13:22.000]  Their religion is not taking care of the old but euthanizing them.
[1:13:22.000 --> 1:13:27.000]  Their whole system is designed for the UN to keep their world countries in serious poverty and poor,
[1:13:27.000 --> 1:13:36.000]  ballooning populations than watching all that new fruit down the vine, to continually reproduce the same nightmares over and over and over again.
[1:13:36.000 --> 1:13:39.000]  They truly are the children of Satan. They are the children of the devil.
[1:13:39.000 --> 1:13:46.000]  And if you look at the slaves that serve the Biden and Kamala Harris, it really is manifested that being a slave of Satan is not profitable.
[1:13:46.000 --> 1:13:51.000]  I'm Alex Jones and this is The InfoWare.
[1:14:17.000 --> 1:14:25.000]  Decrease the growth rate of plaque and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[1:14:25.000 --> 1:14:36.000]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function by increasing the concentration and activity of immune cells.
[1:14:36.000 --> 1:14:45.000]  It worked for my family and now I can have a logical and calm discussion about actual facts that pertain to reality.
[1:14:45.000 --> 1:14:51.000]  Get your ultimate fish oil for a friend, family member or yourself at InfoWarsStore.com.
[1:15:15.000 --> 1:15:22.000]  We are listening to the Alex Jones show and now your host, Owen Troyer.
[1:15:28.000 --> 1:15:41.000]  We are learning quickly in the COVID hopes, Democrat shutdown and the theft of our election,
[1:15:41.000 --> 1:15:48.000]  where the patriots are at and who the frauds in Congress are.
[1:15:48.000 --> 1:15:58.000]  Hell, you have Democrat Vernon Jones fighting just as hard, if not harder than any other Republicans for Donald Trump right now.
[1:15:58.000 --> 1:16:06.000]  So it's really not even about party lines, but you would expect the Republicans to fight for their president and of course they're not.
[1:16:06.000 --> 1:16:08.000]  They were never on the side of Trump anyway.
[1:16:08.000 --> 1:16:14.000]  But there are some, there is a handful that we can point to and say, hey, you know what, they're fighting.
[1:16:14.000 --> 1:16:15.000]  They care about this country.
[1:16:15.000 --> 1:16:18.000]  They're trying to save this Republic.
[1:16:18.000 --> 1:16:32.000]  Lee Zeldin was on Fox talking about how ridiculous these COVID restrictions are and how there's no common sense to him.
[1:16:32.000 --> 1:16:34.000]  It's nice to see that coming from Republican leadership.
[1:16:34.000 --> 1:16:37.000]  Here is that clip.
[1:16:37.000 --> 1:16:41.000]  Governor of Oregon imposes this restriction, whether it's indoors or outdoors.
[1:16:41.000 --> 1:16:43.000]  You can't have more than six people.
[1:16:43.000 --> 1:16:50.000]  But if you want to call your group, your social gathering in Tifa and attack a federal courthouse as you point out or attack law enforcement,
[1:16:50.000 --> 1:16:57.000]  innocent civilians, you want to go loot some businesses, well then that will be celebrated and you had elected officials in Oregon and Seattle
[1:16:57.000 --> 1:17:03.000]  referring celebrating this as some type of mostly peaceful protest and defending them and giving them cover.
[1:17:03.000 --> 1:17:11.000]  In Oregon, interestingly enough, they go even further than Nevada where Nevada, whether your church has a capacity of 200 or 2000,
[1:17:11.000 --> 1:17:12.000]  you can only have 50.
[1:17:12.000 --> 1:17:18.000]  You move over to Oregon, you can only have a capacity of 25 and it doesn't matter how big your church is.
[1:17:18.000 --> 1:17:21.000]  In Nevada, you can only have four people at your table in New Jersey.
[1:17:21.000 --> 1:17:26.000]  The state wants the law enforcement to go door to door with head counts on Thanksgiving.
[1:17:26.000 --> 1:17:28.000]  Law enforcement is pushing back on it.
[1:17:28.000 --> 1:17:31.000]  And as you mentioned, you have that experience as a prosecutor.
[1:17:31.000 --> 1:17:33.000]  You have common sense.
[1:17:33.000 --> 1:17:37.000]  We are a nation of personal responsibility and individual liberty and that shall not be infringed.
[1:17:37.000 --> 1:17:45.000]  Limitations proposed by the government on businesses and persons must pass a smell test and it better not lack common sense.
[1:17:45.000 --> 1:17:54.000]  And those same law enforcement officers in Oregon that that governor wants people to call to report on your neighbor are the same law enforcement officers
[1:17:54.000 --> 1:18:01.000]  that this party and these members and their mayors and others are calling for defunding the police and stabbing them in the back.
[1:18:01.000 --> 1:18:07.000]  So it's inconsistent, but maybe the three of us are the ones who don't get it because Cuomo gets an Emmy.
[1:18:07.000 --> 1:18:14.000]  Maybe the governor of New Jersey should get an Oscar and the Oregon governor should get a Grammy and give the Tony Award to the governor of Nevada.
[1:18:14.000 --> 1:18:16.000]  Maybe we're the ones who don't get it.
[1:18:16.000 --> 1:18:32.000]  You know, the thing that really grinds my gears, the sand in my shoes is just the total, you know, I've lost the vocabulary.
[1:18:32.000 --> 1:18:43.000]  I don't even have the lexicon to accurately describe or illustrate or portray the hypocrisy, the phoniness,
[1:18:43.000 --> 1:18:48.000]  the just total fraud of the left and the Democrat Party.
[1:18:48.000 --> 1:18:50.000]  I'm out of words.
[1:18:50.000 --> 1:19:02.000]  We have to invite invent a new word here for four years talking about Trump, a Nazi, Trump and authoritarian, and then they sit idly by, in fact, promote,
[1:19:02.000 --> 1:19:11.000]  support the Democrat tyranny for COVID, can't have family or friends over, can't go to church, can't open your business,
[1:19:11.000 --> 1:19:18.000]  send cops door to door, do checkpoints, force vaccines, they love it.
[1:19:18.000 --> 1:19:26.000]  But yet they say Trump's authoritarian, Trump's a dictator, Trump's evil, Trump's acting like a Nazi, and then they literally do everything right out of the Nazi playbook,
[1:19:26.000 --> 1:19:36.000]  from the brown shirts with Antifa and Black Lives Matter to the forced inoculation of political dissidents.
[1:19:36.000 --> 1:19:40.000]  It's uncanny.
[1:19:40.000 --> 1:19:49.000]  You couldn't be a leftist liberal scumbag unless you're a total phony and hypocrite.
[1:19:49.000 --> 1:19:58.000]  You couldn't talk Democrat Party policy or politics without being a disingenuous a-hole.
[1:19:58.000 --> 1:20:02.000]  That's all these people are.
[1:20:02.000 --> 1:20:04.000]  And they see it, they know it.
[1:20:04.000 --> 1:20:07.000]  They just love it because they feel like they're getting one over on us.
[1:20:07.000 --> 1:20:16.000]  That's why they love the forced vaccines, that's why they love the censorship, that's why they love calling you a Nazi while they behave like a Nazi would.
[1:20:16.000 --> 1:20:17.000]  But it's not even about that.
[1:20:17.000 --> 1:20:20.000]  We shouldn't even be using the phrase Nazi.
[1:20:20.000 --> 1:20:21.000]  These are authoritarians.
[1:20:21.000 --> 1:20:23.000]  These are tyrants.
[1:20:23.000 --> 1:20:29.000]  That's what they are by very definition.
[1:20:29.000 --> 1:20:38.000]  They're political terrorists, they're a hate group by the dictionary definition of the terms.
[1:20:38.000 --> 1:20:47.000]  But isn't it sick how now they steal Trump's policy, if you will, it's not even that.
[1:20:47.000 --> 1:20:52.000]  They just pretend, because politicians will say whatever they think will get them ahead.
[1:20:52.000 --> 1:20:53.000]  So Biden's been lying for 50 years.
[1:20:53.000 --> 1:20:56.000]  Now Biden says America is back.
[1:20:56.000 --> 1:21:03.000]  Actually, that was info wars that was chanting America is back at rallies when Trump got elected.
[1:21:03.000 --> 1:21:12.000]  Oh, now Biden says America's back as he's planning to get into the White House and sell America down the drain.
[1:21:12.000 --> 1:21:17.000]  And Alyssa Milano, this total fraud.
[1:21:17.000 --> 1:21:32.000]  This bimbo flusy from Hollywood says she would like to extend an olive branch to Trump supporters and heal the nation.
[1:21:32.000 --> 1:21:45.000]  So it's like somebody comes to your house, poops and smears it all over your new carpet, burns down your new extension, beats the hell out of your kids,
[1:21:45.000 --> 1:21:49.000]  and then says, you know what, we should just get along, right?
[1:21:49.000 --> 1:21:54.000]  We can just get along, can't we?
[1:21:54.000 --> 1:21:56.000]  Come on, guys.
[1:21:56.000 --> 1:22:04.000]  I just lied about you, insulted you, caused terrorist attacks to happen against you, censorship to happen against you for four plus years.
[1:22:04.000 --> 1:22:11.000]  But guys, come on, now that I cheated to steal your future and prosperity from you, can't we just be friends?
[1:22:11.000 --> 1:22:15.000]  Can't we just heal the nation, guys?
[1:22:15.000 --> 1:22:24.000]  Again, it's like someone comes, burns your house down and comes your house the next day like, hey, you know what, we can rebuild together.
[1:22:24.000 --> 1:22:30.000]  Right? We can mutually still exist, right?
[1:22:30.000 --> 1:22:46.000]  I don't know if I can mutually exist with people that do this for Thanksgiving in Clip 7.
[1:22:46.000 --> 1:22:51.000]  Tell me, could you mutually exist with this?
[1:22:51.000 --> 1:23:01.000]  A shot before we begin. I think, please, bring the alcohol. Today, a presentation, pronouns and gender, firing couples.
[1:23:01.000 --> 1:23:03.000]  I'll take gender for 200.
[1:23:03.000 --> 1:23:09.000]  If your gender identity is different than the sex you were assigned at birth, you are considered trans.
[1:23:09.000 --> 1:23:13.000]  If your gender identity matches the sex you were assigned at birth, you're considered cis.
[1:23:13.000 --> 1:23:23.000]  I went ahead and made a chart for you guys of how different gender terms make me feel this is a band-aid.
[1:23:23.000 --> 1:23:30.000]  Like, we're putting a band-aid over the problem, but we could, you know, use the preferred one instead.
[1:23:30.000 --> 1:23:36.000]  There are some gender terms that are more masculine that I identify with, but then there are some that I don't identify with.
[1:23:36.000 --> 1:23:41.000]  We have a few example sentences of how to utilize gender-neutral pronouns.
[1:23:41.000 --> 1:23:46.000]  There is an economic war taking place of the ruling class to consolidate power and control.
[1:23:46.000 --> 1:23:56.000]  There's a headline out from Zero Heads that breaks down Bloomberg numbers that global airlines are set to lose $157 billion this year by the end of December.
[1:23:56.000 --> 1:23:59.000]  It's already over $130 billion they've lost.
[1:23:59.000 --> 1:24:05.000]  Why would they take part in the hoax, in the lockdown, in the hysteria if it hurts them?
[1:24:05.000 --> 1:24:11.000]  Well, see, that'll knock out all the small airlines and consolidate control, and it's the same in every single industry.
[1:24:11.000 --> 1:24:13.000]  And the big megabanks have unlimited capital.
[1:24:13.000 --> 1:24:18.000]  They want to bankrupt the world economy until they buy it up for pennies on the dollar.
[1:24:18.000 --> 1:24:22.000]  That's why the great stock market crash of 29 later turned out was engineered by some central banks.
[1:24:22.000 --> 1:24:25.000]  This is how the globalists take control.
[1:24:25.000 --> 1:24:30.000]  It stars the third world to death, makes the first world poor, it's economic warfare,
[1:24:30.000 --> 1:24:36.000]  and it gives cover to the big megabanks that created thousands of trillions of dollars in fake derivatives.
[1:24:36.000 --> 1:25:01.000]  Only the truth will set us free in FullWars.com.
[1:25:06.000 --> 1:25:12.000]  You can log in to FullWarsStore.com where you can normally get it at very good prices and those prices are still there.
[1:25:12.000 --> 1:25:20.000]  But an additional 10% off right now at preparewithoutlets.com on their one month, their three month, their six month, their year,
[1:25:20.000 --> 1:25:29.000]  and on a bunch of other great items, huge discounts that will be ending next Wednesday, that is December 2nd.
[1:25:29.000 --> 1:25:34.000]  So you've got this week and a little bit of next week to get your orders in, they're ready to ship to you right now,
[1:25:34.000 --> 1:25:37.000]  and the profit that comes in funds the InfoWars, so it's a 360 win.
[1:25:37.000 --> 1:25:40.000]  You need horrible food to fight the great reset, get prepared now.
[1:25:40.000 --> 1:25:44.000]  The great reset, where have I heard of that before?
[1:25:44.000 --> 1:25:53.000]  Oh, the great leap forward, Mao Zedong ordering all the small towns and small farms to basically shut down and have the rural people
[1:25:53.000 --> 1:25:58.000]  and the small business people move into the big cities and go under communist commune control.
[1:25:58.000 --> 1:26:04.000]  And that's all this is, the big mega banks want to break us into the same ones that put Mao Zedong into power,
[1:26:04.000 --> 1:26:09.000]  and they're creating the process of getting rid of our old economy and bringing in the new economy where everything's free,
[1:26:09.000 --> 1:26:13.000]  because when you're a president, well, everything's free, but you're also a slave.
[1:26:13.000 --> 1:26:18.000]  Scotland is going to have universal guaranteed incomes now of subsistence level,
[1:26:18.000 --> 1:26:21.000]  but of course you've got to take those vaccines, you can't have any kids,
[1:26:21.000 --> 1:26:26.000]  and oh, don't worry though, all of the tampons and stuff like that's free too as well.
[1:26:26.000 --> 1:26:28.000]  I'm not kidding.
[1:26:28.000 --> 1:26:32.000]  So they give you some free paper, they give you enough money to basically live in a tiny apartment,
[1:26:32.000 --> 1:26:34.000]  but they own you, they control you.
[1:26:34.000 --> 1:27:01.000]  This is the great reset, it's why it's got to be resisted to total takeover and we're fighting it at infowars.com.
[1:27:04.000 --> 1:27:12.000]  All right, I want to get back into the election theft news here on the Alex Jones show.
[1:27:12.000 --> 1:27:14.000]  Owen Schroder filling in for Alex.
[1:27:14.000 --> 1:27:22.000]  We also have other news breaking right now about the COVID vaccines.
