[00:00:09.031 --> 00:00:14.959]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones!
[00:53:57.942 --> 00:54:03.585]  And that's how we became the most free, the most prosperous, and the most successful nation on earth to the date?
[00:54:04.738 --> 00:54:06.160]  Do you know how that happened?
[00:54:06.160 --> 00:54:13.988]  Brave men and women, like the men and women behind me, stood up and they said, no, we will not submit to tyranny.
[00:54:13.988 --> 00:54:15.329]  And that is what you were doing.
[00:54:15.329 --> 00:54:16.831]  You were submitting to tyranny.
[00:54:16.831 --> 00:54:20.975]  You were begging to have the rights that our forefathers fought for stripped away.
[00:54:20.975 --> 00:54:23.298]  You say, yes, please take my rights.
[00:54:23.298 --> 00:54:25.861]  I say, no, you're not going to take my rights.
[00:54:26.761 --> 00:54:35.223]  Well, I'm 15 years old, Mr. Hogg, and I don't need talking points or a little teleprompter behind my CNN interview screen to get my point across.
[00:54:35.223 --> 00:54:37.084]  I'm backed up by statistics and facts.
[00:54:37.084 --> 00:54:40.245]  You are backed up by falsities and lies.
[00:54:40.245 --> 00:54:44.306]  Mr. Hogg, my dad publicly invited you to come on his show and debate him.
[00:54:44.306 --> 00:54:46.986]  You shied away and crawled back under your rock.
[00:54:46.986 --> 00:54:50.007]  I, Rex Jones, would like to publicly challenge you to debate me.
[00:54:50.007 --> 00:54:52.468]  Name a time, name a place, name the venue.
[00:54:52.468 --> 00:54:52.968]  I will do it.
[00:55:00.794 --> 00:55:01.515]  Great job, Rex.
[00:55:01.515 --> 00:55:02.516]  We're really proud of you.
[00:55:02.516 --> 00:55:05.538]  And I want to thank the listeners and viewers for supporting InfoWars.
[00:55:05.538 --> 00:55:14.566]  It's because you've supported InfoWars and helped us build this organization and this platform that we're even able to be on the air like this today.
[00:55:14.566 --> 00:55:18.269]  And so we've really built quite a organization and quite an institution.
[00:55:18.849 --> 00:55:19.129]  I don't know.
[00:55:43.098 --> 00:55:46.879]  That said, you have InfoWars in your hands.
[00:55:46.879 --> 00:55:48.040]  It's the truth.
[00:55:48.040 --> 00:55:50.580]  You are the word of mouth that gets around the censors now.
[00:55:50.580 --> 00:55:59.163]  Without you spreading the word daily, on email, in person, on talk radio, on C-SPAN, however you do it, the InfoWars army will be defeated.
[00:55:59.163 --> 00:56:00.804]  And we're a key flagship in the fight.
[00:56:00.804 --> 00:56:02.444]  The enemy's gunning for us.
[00:56:02.444 --> 00:56:04.025]  Okay?
[00:56:04.025 --> 00:56:06.826]  And at the same time, without your financial support, we won't be here.
[00:56:07.893 --> 00:56:10.655]  And the enemy, you know, I mean, I'll give you the report.
[00:56:10.655 --> 00:56:12.316]  Informationally, we're winning.
[00:56:12.316 --> 00:56:14.597]  Culturally, we're winning.
[00:56:14.597 --> 00:56:19.480]  But when it comes to our operational structure itself, they're targeting it.
[00:56:19.480 --> 00:56:24.883]  So we're winning the war, but InfoWars, you know, is on fire, basically.
[00:56:24.883 --> 00:56:28.925]  Both politically, culturally, in a good way, but also financially.
[00:56:28.925 --> 00:56:30.026]  They're able to shut us down.
[00:56:30.826 --> 00:56:31.107]  I don't know.
[00:56:46.043 --> 00:56:51.464]  I'm asking you today, that silent majority, to go look at the great products.
[00:56:51.464 --> 00:56:52.945]  Everybody can take some X2.
[00:56:52.945 --> 00:56:55.865]  Even though we're selling out of it, it's the last run, 50% off.
[00:56:55.865 --> 00:56:58.466]  Everybody can try some Rainforest, an amazing nootropic.
[00:56:58.466 --> 00:57:01.227]  Leading competitors are way more expensive than we are, aren't even as good.
[00:57:01.227 --> 00:57:04.368]  It's 50% off, free shipping store wide right now.
[00:57:04.368 --> 00:57:09.269]  50% off on all the supplements, bunch of other big discounts, free shipping, all of those big sales rolled into one.
[00:57:10.849 --> 00:57:15.073]  Christmas, Black Friday, Cyber Monday, all at once at InfoWars.com.
[00:57:15.073 --> 00:57:18.996]  We're going to run this special throughout the month, but some things will be selling out.
[00:57:18.996 --> 00:57:22.879]  But I've said we're going to run this until everything sells out, period.
[00:57:22.879 --> 00:57:29.084]  And so we'll have an emergency war chest built to go into the future, and I'll be hardened against enemy attacks.
[00:57:29.084 --> 00:57:31.606]  All right, the next hour is coming with Owen Schroer and more.
[00:57:31.606 --> 00:57:33.407]  I should be back in studio tomorrow.
[00:57:33.407 --> 00:57:35.349]  InfoWars.com, tomorrow's news today.
[00:57:53.223 --> 00:57:58.946]  Years ago, Info Wars Life created the powerful MycoZX formula to help you combat internal yeast.
[00:57:58.946 --> 00:58:06.809]  As the years went on, and more toxins were pumped into the environment, our team knew we had to create a bigger and better formula to help support your gut health.
[00:58:06.809 --> 00:58:09.971]  MycoZX Plus is the result of the search for that formula.
[00:58:10.151 --> 00:58:15.435]  A unique natural formula designed to support the body's natural cleansing of yeast and fungal organisms.
[00:58:15.435 --> 00:58:18.197]  There's no better product to help your body fight back.
[00:58:18.197 --> 00:58:27.184]  MycoZX Plus helps support a healthy microbial balance in the body, supports your digestive tract, and addresses the intestinal yeast that can cause you problems if it goes unchecked.
[00:58:27.244 --> 00:58:33.490]  It's powered by an impressive list of ingredients, including grapefruit seed extract, pau d'arco bark, and grapeseed extract.
[00:58:33.490 --> 00:58:39.215]  Our formula is fueled by ingredients that stood the test of time as powerful micro-balancing properties.
[00:58:39.215 --> 00:58:44.039]  Pick up a bottle of the new and improved Micro ZX Plus today at InfoWarsLife.com.
[00:58:44.039 --> 00:58:45.681]  That's InfoWarsLife.com.
[00:58:50.250 --> 00:58:52.613]  We all know the importance of fish oils.
[00:58:52.613 --> 00:58:59.223]  While we are sure to provide them for ourselves, it's just as important to make sure your kids get their EPA and DHA too.
[00:58:59.223 --> 00:59:06.593]  Honor Roll is a powerful DHA fish oil formula for your child, built from the ground up to support your child's development.
[00:59:07.014 --> 00:59:16.667]  This formula uses wild anchovy fish oil, ultra-purified krill oil, and wild salmon fish oil with vitamins to boost your child's mind and body.
[00:59:16.667 --> 00:59:23.856]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive, and brain health while providing DHA.
[00:59:24.817 --> 00:59:28.661]  Which has been shown to be essential for your child's brain growth spurts.
[00:59:28.661 --> 00:59:38.490]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly refined to eliminate nearly all heavy metals.
[00:59:38.490 --> 00:59:42.834]  If you're looking for a formula to help your child grow, look no further.
[00:59:42.834 --> 00:59:46.998]  Try Honor Roll from InfoWars Life at InfoWarsStore.com
[00:59:53.286 --> 00:59:59.250]  You're listening to the Alex Jones Show.
[00:59:59.250 --> 01:00:01.512]  Waging war on corruption.
[01:00:01.512 --> 01:00:06.575]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[01:00:26.320 --> 01:00:29.641]  The left is unhinged.
[01:00:29.641 --> 01:00:31.902]  As Antifa smashes windows.
[01:00:31.902 --> 01:00:32.882]  Disturbed.
[01:00:32.882 --> 01:00:34.003]  Enraged.
[01:00:34.003 --> 01:00:36.684]  Hunting down the very people who backed Trump.
[01:00:36.684 --> 01:00:38.645]  Pelting a woman with eggs.
[01:00:38.645 --> 01:00:45.448]  Oh my god!
[01:00:45.448 --> 01:00:46.008]  It's attacking.
[01:00:52.836 --> 01:00:53.656]  Light it up!
[01:00:53.656 --> 01:00:56.938]  You cannot be civil.
[01:00:56.938 --> 01:00:58.379]  November 6th, 2018, say no to the mob.
[01:01:15.464 --> 01:01:19.426]  And there's the sounds of the deranged Democrats shooting up the Republican baseball practice.
[01:01:19.426 --> 01:01:20.867]  Welcome back to the Alex Jones Show.
[01:01:20.867 --> 01:01:23.088]  Owen Troyer here with you, Alex Jones.
[01:01:23.088 --> 01:01:28.831]  We'll be back in the next segment with some more news.
[01:01:28.831 --> 01:01:33.053]  But we come in with that compilation put together by For America on Twitter.
[01:01:34.904 --> 01:01:47.235]  And it's familiar to the GOP ad that came out last month where you just put together a bunch of clips of the Democrats calling for violence and then the leftist protesters in the streets actually getting violent.
[01:01:47.235 --> 01:01:52.000]  So the Democrats have turned into a angry mob.
[01:01:52.000 --> 01:02:01.008]  And their rhetoric proves this, the actions in the street prove this, but when you call a Democrat what they are,
[01:02:02.059 --> 01:02:09.793]  They tend to get angry, so the Democrats call for angry mobs, they become an angry mob, and then people say, hey look, you've become an angry mob.
[01:02:09.793 --> 01:02:14.823]  Now look at this compilation of the Democrat media denying that they've become an angry mob.
[01:02:16.137 --> 01:02:19.060]  Oh, you're not going to use the mob word here.
[01:02:19.060 --> 01:02:20.181]  They are protesting.
[01:02:20.181 --> 01:02:21.362]  They are not an angry mob.
[01:02:21.362 --> 01:02:22.763]  You're a subhuman!
[01:02:22.763 --> 01:02:24.064]  We're done being polite!
[01:02:24.064 --> 01:02:26.967]  To answer your question that you asked her, is it mob behavior?
[01:02:26.967 --> 01:02:28.748]  No, it's not.
[01:02:28.748 --> 01:02:30.970]  Get out of my way!
[01:02:30.970 --> 01:02:32.111]  Get out of the way!
[01:02:32.111 --> 01:02:38.577]  He's created this idea of a mob.
[01:02:38.577 --> 01:02:43.321]  But calling them mobs, in the way that the leader, McConnell, has done, is just wrong.
[01:02:47.901 --> 01:02:49.442]  They are ripping up signs.
[01:02:49.442 --> 01:02:50.343]  Hitting women.
[01:02:50.343 --> 01:02:58.370]  In the Constitution, you can protest whenever and wherever you want.
[01:02:58.370 --> 01:02:59.831]  It's a mess.
[01:02:59.831 --> 01:03:00.611]  A mob.
[01:03:00.611 --> 01:03:01.312]  Stop.
[01:03:01.312 --> 01:03:01.973]  Stop.
[01:03:01.973 --> 01:03:04.014]  Excuse me ma'am, are you trying to assault me?
[01:03:04.014 --> 01:03:04.935]  This is an assault.
[01:03:04.935 --> 01:03:07.117]  She walks over and hits the guy.
[01:03:07.117 --> 01:03:12.841]  This kind of like racialized mob language, this kind of Nixonian law and order language that we're hearing.
[01:03:12.841 --> 01:03:15.724]  They are blocking traffic.
[01:03:16.874 --> 01:03:21.136]  The angry mob, the angry mob, the angry mob, even though these were just peaceful protesters.
[01:03:21.136 --> 01:03:24.958]  They were peaceful?
[01:03:24.958 --> 01:03:29.761]  Republicans are running on this idea that the left is an angry mob.
[01:03:29.761 --> 01:03:33.303]  That's not an idea, that's a fact.
[01:03:33.303 --> 01:03:37.365]  Here they are harassing congressmen.
[01:03:37.365 --> 01:03:39.526]  Here they are mobbing in D.C.
[01:03:39.526 --> 01:03:44.629]  Here they are mobbing in D.C., a guy with a sign, they got arrested.
[01:03:45.205 --> 01:03:47.045]  Killed her three-year-old child.
[01:03:47.045 --> 01:03:49.466]  Here's a male feminist kicking a woman in the face.
[01:03:49.466 --> 01:03:51.707]  Which side was more mob-like?
[01:03:51.707 --> 01:03:57.408]  Clearly it was the Republicans.
[01:03:57.408 --> 01:04:04.210]  The president is trying to go too far with some of this rhetoric, you know, his talk of mob rule and so on.
[01:04:04.210 --> 01:04:06.530]  I mean, Brooke, have you been to a Trump rally?
[01:04:06.530 --> 01:04:13.692]  Rushing to the top of the steps of the Supreme Court and now besieging the front door of the Supreme Court.
[01:04:15.419 --> 01:04:19.802]  Lunatic fringe.
[01:04:19.802 --> 01:04:24.585]  Ha ha ha!
[01:04:24.585 --> 01:04:27.467]  That was pretty wild, huh?
[01:04:27.467 --> 01:04:29.208]  So there you go!
[01:04:29.208 --> 01:04:35.752]  The Democrats have created, formed, and mobilized an angry mob.
[01:04:35.752 --> 01:04:39.395]  But if you dare call them an angry mob... What?
[01:04:39.395 --> 01:04:40.455]  We're not an angry mob!
[01:04:40.455 --> 01:04:41.776]  We're peaceful protesters!
[01:04:41.776 --> 01:04:42.877]  You're the angry mob!
[01:04:44.148 --> 01:04:51.295]  These people are totally delusional, totally unhinged, and quite frankly, dangerous.
[01:04:51.295 --> 01:04:53.137]  Ladies and gentlemen, dangerous.
[01:04:53.137 --> 01:04:54.438]  Alex Jones on the other side.
[01:04:58.143 --> 01:05:02.285]  We all know that the outside toxins in the water is a serious health issue.
[01:05:02.285 --> 01:05:09.329]  InfoWars is proud to sell incredible filters, but it's almost impossible to keep up with every faucet, shower, and sink in your home.
[01:05:09.329 --> 01:05:14.152]  That's why we're bringing you something to provide clean water for your whole house with one system.
[01:05:14.152 --> 01:05:22.136]  The ProPure Whole House Water Filtration System is an advanced, four-stage, compact filtration system that will provide
[01:05:22.236 --> 01:05:27.060]  With its broad-spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[01:05:44.534 --> 01:05:57.343]  Head to infowarestore.com and whether it's your first water filtration purchase or you're looking to replace your current rundown systems, it's time to go big and go home with the Pro-Pure Whole House Filtration System today!
[01:05:57.343 --> 01:06:04.489]  From the front lines of the information war, it's Alex Jones!
[01:06:08.547 --> 01:06:16.492]  We cannot continue to rely only on our military in order to achieve the national security objectives that we've set.
[01:06:16.492 --> 01:06:27.798]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[01:06:27.798 --> 01:06:32.361]  Michelle Wood says that, you know, when they go low, we go up.
[01:06:32.361 --> 01:06:33.262]  No.
[01:06:33.262 --> 01:06:33.662]  No.
[01:06:33.662 --> 01:06:35.383]  When they go low, we kick them.
[01:06:46.397 --> 01:06:48.699]  That's what this new Democratic Party is about.
[01:06:48.699 --> 01:06:51.701]  Remember Obama said he was building a domestic military.
[01:06:51.701 --> 01:06:54.323]  Well, that's what Antifa and all these leftist groups are.
[01:06:54.323 --> 01:07:00.007]  And now the former Attorney General, Eric Holder, is giving them the orders to become more violent.
[01:07:00.007 --> 01:07:06.612]  This country is in a national emergency, and they're launching it to attempt to overthrow the restoration of our republic.
[01:07:11.776 --> 01:07:20.160]  If you just joined us on this worldwide Thursday broadcast, this is an emergency alert to the American people and people of the world.
[01:07:20.160 --> 01:07:30.025]  As I've been saying all week, the Democrats are ratcheting up towards open insurrection against the Republic and against the 2016 election and violent terror attacks.
[01:07:30.025 --> 01:07:31.306]  If you just joined us last hour,
[01:07:32.126 --> 01:07:42.793]  It's obviously come out that a New York man has been arrested and it's confessed to planning to build a 200-pound bomb to get near an election day to basically suspend the election.
[01:07:42.793 --> 01:07:49.858]  You've got major editors of magazines saying that, you know, Congressman Scalise deserved to be shot and that the Democrats are defending themselves.
[01:07:49.858 --> 01:08:01.186]  You've got Antifa run by George Soros, the Democrats and others just engaging in massive hype for violence and full-page ads saying overthrow Trump, overthrow Pence, overthrow the First Amendment.
[01:08:02.026 --> 01:08:05.051]  You have Big Tech and all these groups working to do this.
[01:08:05.051 --> 01:08:08.757]  You have Hillary arrogantly preparing to run in 2020.
[01:08:08.757 --> 01:08:16.910]  26 days out and now the clip you just heard of the former Attorney General, Eric Holder.
[01:08:17.250 --> 01:08:21.715]  Who was Deputy Attorney General when the Oklahoma City bombing happened that was blamed on talk radio.
[01:08:21.715 --> 01:08:25.859]  And that 100% was synthetic, staged by the Deep State and the Clintons.
[01:08:25.859 --> 01:08:28.041]  Even mainline analysts know that information.
[01:08:28.041 --> 01:08:29.302]  There were eyewitnesses.
[01:08:29.302 --> 01:08:30.223]  That's a whole other subject.
[01:08:30.223 --> 01:08:32.806]  The point is, these people have a history of this.
[01:08:32.806 --> 01:08:37.711]  There he is giving a speech, saying when they go low, we kick them, kick them, kick them.
[01:08:37.711 --> 01:08:39.413]  And then they go, fight, fight, fight!
[01:08:40.734 --> 01:08:43.518]  That means violence.
[01:08:43.518 --> 01:08:48.365]  And so they are giving the orders, they are giving the programming, they are giving the activation.
[01:08:48.365 --> 01:08:54.994]  And we've got the documents that fell into our hands in January of this year, which they confirm are accurate, with the Soros group.
[01:08:56.317 --> 01:09:04.204]  Trying to start martial law in 2015 for Obama, using Antifa to try to trick the black community into rioting, it didn't work.
[01:09:04.204 --> 01:09:11.730]  All the race baiting, all the shows, all the cop killing, all of the hype, all the black lives matter, that is all to create a race war.
[01:09:11.730 --> 01:09:14.493]  All the movies, all the TV shows, race war, race war, race war.
[01:09:15.612 --> 01:09:23.097]  This is what Django Unchained and all of this is to manipulate black people into thinking there's a race war so that they can trigger this.
[01:09:23.097 --> 01:09:25.098]  But black folks have not bought it.
[01:09:25.098 --> 01:09:30.601]  Now double the number of blacks, actually it's triple, that ever supported Trump are now in polls.
[01:09:30.601 --> 01:09:32.042]  Same thing for Hispanics.
[01:09:32.042 --> 01:09:33.463]  The globalists are panicking.
[01:09:33.463 --> 01:09:35.825]  But let's play this clip one more time.
[01:09:36.425 --> 01:09:39.266]  Michelle Wood says that, you know, when they go low, we go high.
[01:09:39.266 --> 01:09:39.326]  No.
[01:10:06.247 --> 01:10:14.449]  They go low, we kick them.
[01:10:14.449 --> 01:10:15.789]  So think about that.
[01:10:15.789 --> 01:10:24.711]  26 days out, this is just escalating, escalating, seeing what they can get away with, hoping that the grassroots minions go out there and actually carry out attacks.
[01:10:24.711 --> 01:10:28.652]  You're seeing trucks being torched and offices being attacked and Congress people being
[01:10:29.701 --> 01:10:30.262]  We're good to go.
[01:10:49.580 --> 01:11:01.909]  I mean, you talk about a cult where they teach them a hypnotic word, like rapist, or a term like KKK, they probably don't even know what that idiot term stands for, and they just go completely insane.
[01:11:01.909 --> 01:11:07.093]  It's like a training an attack dog, you know, to say in German, attack, and then the German Shepherd attacks somebody.
[01:11:07.093 --> 01:11:10.455]  They just go, KKK, and everybody goes, ahhhhhh!
[01:11:10.455 --> 01:11:14.238]  I mean, this is beyond 1984 ten minutes of hate brainwashing.
[01:11:15.126 --> 01:11:18.427]  So there's no doubt now that they're trying to launch terror attacks.
[01:11:18.427 --> 01:11:20.028]  They've launched terror attacks.
[01:11:20.028 --> 01:11:21.768]  They are all calling for violence.
[01:11:21.768 --> 01:11:23.809]  They're completely out of control.
[01:11:23.809 --> 01:11:25.510]  And it's all because America's coming back.
[01:11:25.510 --> 01:11:29.011]  It's all because they've been trained to hate America as grassroots leftist.
[01:11:29.011 --> 01:11:30.692]  They've been trained to be inherently evil.
[01:11:30.692 --> 01:11:32.532]  They're sacramented dead babies.
[01:11:32.532 --> 01:11:35.853]  And they feel the spirit of goodness and just optimism coming back.
[01:11:35.853 --> 01:11:37.514]  And they don't know what to do.
[01:11:37.514 --> 01:11:39.235]  They don't know how to handle it.
[01:11:39.235 --> 01:11:42.956]  They don't know how to deal with humanity that's awakening to their tyranny.
[01:11:43.596 --> 01:11:49.580]  And so they're just totally throwing fits in an attempt to pressure us back into submission.
[01:11:49.580 --> 01:11:50.681]  And it is not going to work.
[01:11:50.681 --> 01:11:52.942]  The PSYOP is not working.
[01:11:52.942 --> 01:11:55.164]  So, they're going to engage in massive election fraud.
[01:11:55.164 --> 01:11:58.986]  George Soros does control an interest in half the voting machines in the country.
[01:11:58.986 --> 01:12:00.747]  They've got to be absolutely watched.
[01:12:00.747 --> 01:12:02.889]  Everybody has got to be on target.
[01:12:02.889 --> 01:12:06.051]  You've got to get everybody you know to go out and vote.
[01:12:06.051 --> 01:12:10.854]  And you've got to just be super, super aggressive and call in politically and peacefully.
[01:12:10.854 --> 01:12:12.055]  All the talk shows, you name it.
[01:12:13.177 --> 01:12:23.106]  Remember, remember how when I said Antifa says they're coming to your house to kill you, Congress, and members of law enforcement need to have your battle rifles by your bed to defend yourself.
[01:12:24.246 --> 01:12:32.452]  They took me off Twitter and said, National News, every channel, Alex Jones called for battle rivals to be used to kill the innocent and loving media.
[01:12:32.452 --> 01:12:35.615]  And of course it was all a lie, total hoax, never showed the clip.
[01:12:35.615 --> 01:12:42.781]  They would show edited, you know, words, one word here, one word there, like word salad, or refrigerator magnet game.
[01:12:42.781 --> 01:12:46.403]  This is the total war footing they're on, total push.
[01:12:46.403 --> 01:12:50.427]  And the Democrats this weekend were in Politico saying, we're gonna get even more ruthless.
[01:12:51.209 --> 01:12:56.173]  Well, we're up against a criminal group trying to push us into violence.
[01:12:56.173 --> 01:12:56.814]  And it won't matter.
[01:12:56.814 --> 01:12:58.355]  They're going to stage events and blame it on us.
[01:12:58.355 --> 01:13:00.877]  They're going to stage events and blame me.
[01:13:00.877 --> 01:13:04.460]  And I always knew this was coming if we were successful enough to unseat them.
[01:13:04.460 --> 01:13:06.822]  And so I'm taking one for the team here.
[01:13:06.822 --> 01:13:11.826]  But we can't let them, when they stage it, blame me or Trump or other liberty groups because it's going to be pure crap.
[01:13:12.526 --> 01:13:21.710]  So don't buy into the blown-up school or whatever, or the blown-up Washington Mall, when they say, you know, an Alex Jones fan did it, and then up front go, oh, we're so sorry, we condemn him.
[01:13:21.710 --> 01:13:29.114]  You're used to condemning me with all the other fake reports, all the other straw men, where everybody then, like parents, goes, we condemn him, we condemn him, we condemn him.
[01:13:30.174 --> 01:13:31.354]  Alex Jones is a Nazi.
[01:13:31.354 --> 01:13:32.214]  We condemn him.
[01:13:32.214 --> 01:13:33.135]  We condemn him.
[01:13:33.135 --> 01:13:34.635]  Alex Jones says nobody died at Parkland.
[01:13:34.635 --> 01:13:35.435]  Not true.
[01:13:35.435 --> 01:13:36.315]  We condemn him.
[01:13:36.315 --> 01:13:37.175]  We condemn him.
[01:13:37.175 --> 01:13:38.256]  We condemn him.
[01:13:38.256 --> 01:13:40.616]  Alex Jones keeps saying nobody died at Sandy Hook.
[01:13:40.616 --> 01:13:42.397]  Been saying for years, I believe it happened.
[01:13:42.397 --> 01:13:43.797]  And then they go, we condemn him.
[01:13:43.797 --> 01:13:44.637]  We condemn him.
[01:13:44.637 --> 01:13:45.637]  We condemn him.
[01:13:45.637 --> 01:13:47.117]  Alex Jones hates gays.
[01:13:47.117 --> 01:13:47.918]  We condemn him.
[01:13:47.918 --> 01:13:48.658]  We condemn him.
[01:13:48.658 --> 01:13:49.398]  None of this is true.
[01:13:49.398 --> 01:13:50.638]  They just say it.
[01:13:50.638 --> 01:13:52.659]  Alex Jones hates black people.
[01:13:52.659 --> 01:13:53.539]  We condemn him.
[01:13:53.539 --> 01:13:54.339]  We condemn him.
[01:13:54.339 --> 01:13:56.059]  We condemn him.
[01:13:56.059 --> 01:13:57.860]  This is how they operate.
[01:13:57.860 --> 01:13:58.460]  Okay?
[01:13:58.460 --> 01:13:58.940]  And so then,
[01:14:00.521 --> 01:14:05.423]  Alex Jones supporter blew up the college, blew up the Lepus professor meeting.
[01:14:05.423 --> 01:14:06.763]  His fan did it.
[01:14:06.763 --> 01:14:08.143]  Alex Jones told the guy to do it.
[01:14:08.143 --> 01:14:09.484]  It'll be a total lie.
[01:14:09.484 --> 01:14:10.364]  We condemn him!
[01:14:10.364 --> 01:14:11.124]  We condemn him!
[01:14:11.124 --> 01:14:11.724]  We condemn him!
[01:14:11.724 --> 01:14:12.445]  We say kill him!
[01:14:12.445 --> 01:14:16.086]  We say... See, this is how they do it.
[01:14:16.086 --> 01:14:17.706]  And so it's the same.
[01:14:17.706 --> 01:14:20.107]  Trump says all Mexicans are criminals and evil and he hates them.
[01:14:21.240 --> 01:14:22.101]  We condemn him.
[01:14:22.101 --> 01:14:22.922]  We condemn him.
[01:14:22.922 --> 01:14:24.443]  We condemn him.
[01:14:24.443 --> 01:14:25.484]  None of it's true.
[01:14:25.484 --> 01:14:28.167]  The economy's not growing better than Obama.
[01:14:28.167 --> 01:14:29.008]  We condemn him.
[01:14:29.008 --> 01:14:29.808]  We condemn him.
[01:14:29.808 --> 01:14:31.910]  We condemn him.
[01:14:31.910 --> 01:14:32.851]  Trump is a complete idiot.
[01:14:32.851 --> 01:14:33.452]  We condemn him.
[01:14:33.452 --> 01:14:36.335]  And then Nikki Haley, who can hardly talk.
[01:14:36.335 --> 01:14:38.877]  She looks like she's on a bunch of Prozac or something.
[01:14:38.877 --> 01:14:40.499]  It's like this little lettuce darling.
[01:14:40.499 --> 01:14:41.019]  Hey, little Q.
[01:14:42.199 --> 01:14:46.085]  Little point for everybody, for people to cue into here.
[01:14:46.085 --> 01:14:47.487]  Little star by this.
[01:14:47.487 --> 01:14:50.451]  If the mainstream media likes you, you're not good.
[01:14:50.451 --> 01:14:53.014]  She was brought in, she was a total Trojan horse.
[01:14:53.014 --> 01:14:55.758]  Trump's not letting them have the fight they want, so she resigned.
[01:14:55.758 --> 01:14:57.661]  But let me tell you, Nikki Haley's gonna run against Trump.
[01:14:58.542 --> 01:15:01.845]  And I mean, you know, she's just a dumber than a box of rocks, and they love her.
[01:15:01.845 --> 01:15:03.127]  The establishment loves her.
[01:15:03.127 --> 01:15:05.769]  All right, back to Owen Schroer in the ATX.
[01:15:05.769 --> 01:15:08.512]  I should be back in studio for the full transmission tomorrow.
[01:15:08.512 --> 01:15:10.794]  Don't forget, we have election night coverage.
[01:15:10.794 --> 01:15:12.115]  Kicked off the first time last night.
[01:15:12.115 --> 01:15:15.678]  I was supposed to be there, but I was just too exhausted.
[01:15:16.719 --> 01:15:18.261]  And I had a muffler problem on my car.
[01:15:18.261 --> 01:15:19.882]  It sounded like a rocket ship.
[01:15:19.882 --> 01:15:21.463]  The muffler got broken.
[01:15:21.463 --> 01:15:23.345]  I hit a bump in the road.
[01:15:23.345 --> 01:15:25.547]  And so, I was not there last night, but I'll try to be there tonight.
[01:15:25.547 --> 01:15:28.590]  But regardless, 8 to 10 p.m.
[01:15:28.590 --> 01:15:32.253]  with Millie Weaver and Rob Dew and David Nye and all the rest of the great crew.
[01:15:32.253 --> 01:15:34.575]  Alright, Infowars.com, Newswars.com.
[01:15:34.575 --> 01:15:35.436]  Spread those articles.
[01:15:35.436 --> 01:15:36.457]  Spread those videos.
[01:15:36.457 --> 01:15:37.658]  George Soros hates it when you do.
[01:15:40.564 --> 01:15:48.436]  Alright ladies and gentlemen, now when we come back, I've got tons of clips to get to and tons of news.
[01:15:48.436 --> 01:15:53.344]  Seriously, it's every day now a new act of violence or call to violence from the Democrat Party.
[01:15:53.344 --> 01:15:54.646]  This is out of control.
[01:15:57.699 --> 01:15:58.920]  Hear that?
[01:15:58.920 --> 01:16:04.302]  That's the sound of a house being trashed while a gang of thieves ransack the place.
[01:16:04.302 --> 01:16:07.203]  And what they don't steal will be destroyed.
[01:16:07.203 --> 01:16:10.784]  This year, resolve not to be the next victim of a break-in.
[01:16:10.784 --> 01:16:18.347]  Go to Faketv.com and discover a device that creates the illusion someone inside is watching TV, even when you're miles away.
[01:16:18.347 --> 01:16:22.949]  Security is a mindset, and Faketv should be part of your security solution.
[01:16:22.949 --> 01:16:25.390]  Be vigilant, but not fearful.
[01:16:25.390 --> 01:16:25.811]  Faketv.com
[01:16:27.423 --> 01:16:28.324]  It's a no-brainer.
[01:16:28.324 --> 01:16:30.745]  A Big Berkey water filter is the one you need, period.
[01:16:30.745 --> 01:16:38.871]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA and other endocrine disruptors, pesticides, bacteria, viruses and much more, right?
[01:16:38.871 --> 01:16:40.812]  And does it all at only two cents per gallon.
[01:16:40.812 --> 01:16:44.515]  Get the original and most trusted name in gravity water filtration, Big Berkey.
[01:16:44.515 --> 01:16:49.238]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[01:16:49.238 --> 01:16:53.702]  Call or click 1-877-99-BERKEY or bigberkeywaterfilters.com.
[01:16:53.702 --> 01:16:54.162]  That's 1-877-99-BERKEY.
[01:16:57.324 --> 01:17:00.066]  Bacon lovers, we ship free!
[01:17:00.066 --> 01:17:01.868]  Try our amazing bacon.
[01:17:01.868 --> 01:17:03.889]  No refrigeration required.
[01:17:03.889 --> 01:17:13.496]  Proprietary value-added packaging provides 10-year shelf life and protects the leanest, thickest, center-cut, fully cooked bacon in America today.
[01:17:13.496 --> 01:17:16.939]  Ready to eat right from the pouch or warm and serve.
[01:17:16.939 --> 01:17:18.801]  Savory and delicious.
[01:17:18.801 --> 01:17:21.763]  Wholesale price for your everyday use.
[01:17:21.763 --> 01:17:24.665]  Order today at ReadyToEatBacon.com.
[01:17:24.665 --> 01:17:25.966]  ReadyToEatBacon.com.
[01:17:27.347 --> 01:17:28.587]  Hi, I'm Dan Pilla.
