[00:00.000 --> 00:29.960]  There is all kinds of important developments that have happened in the last 24 hours.
[54:19.960 --> 54:27.960]  And in an interview where he this is unbelievable, the real news is here is he finally found a comb and he combed his hair for the first time, maybe in his life.
[54:27.960 --> 54:40.960]  When he sat down for an interview with CBS this morning saying he's going to win in 2020, which is just astounding to me because half of Bernie's base has totally abandoned him beyond abandon him.
[54:40.960 --> 54:44.960]  It's like when LeBron James left Cleveland and they started burning his jerseys.
[54:44.960 --> 54:46.960]  That's what has happened to Bernie Sanders.
[54:46.960 --> 54:48.960]  I don't see how this guy could win.
[54:48.960 --> 54:53.960]  His voting base in the 2016 election sued his ass.
[54:53.960 --> 54:56.960]  He got his ass sued by the people that voted for him.
[54:56.960 --> 54:58.960]  How in the hell does this guy think he's going to win?
[54:58.960 --> 55:09.960]  Or is Bernie Sanders posing as a Democrat again as a stalking horse because he's going to be the one.
[55:09.960 --> 55:10.960]  Look at that.
[55:10.960 --> 55:11.960]  He got a haircut and a comb.
[55:11.960 --> 55:13.960]  This is unbelievable.
[55:13.960 --> 55:17.960]  A good socialist, Bernie.
[55:17.960 --> 55:23.960]  I think he's going to be used as a stalking horse to keep attention off Tulsi Gabbard, which I don't understand.
[55:23.960 --> 55:27.960]  Look, if the Democrats wanted to win, they would be all in with Tulsi Gabbard.
[55:27.960 --> 55:30.960]  I fear Tulsi Gabbard.
[55:30.960 --> 55:33.960]  I thank God the Democrats don't want Tulsi Gabbard.
[55:33.960 --> 55:36.960]  I mean, wow.
[55:36.960 --> 55:37.960]  But here's Bernie Sanders.
[55:37.960 --> 55:38.960]  He's going to win.
[55:38.960 --> 55:46.960]  He's going to complete the socialist revolution, even though he lost last year and his voters sued his ass.
[55:46.960 --> 55:48.960]  DNC fraud lawsuit.
[55:48.960 --> 55:51.960]  That was against you, Bernie Sanders.
[55:51.960 --> 55:56.960]  You stole from your voters.
[55:56.960 --> 55:58.960]  You lied to your voters.
[55:58.960 --> 56:02.960]  They caught on.
[56:02.960 --> 56:11.960]  So the Democrats are just now openly admitting planned treason.
[56:11.960 --> 56:15.960]  See, first it was, oh, he's unfit, Russian collusion.
[56:15.960 --> 56:17.960]  Oh, but we don't want to remove the president.
[56:17.960 --> 56:19.960]  Oh, we're not targeting the president.
[56:19.960 --> 56:20.960]  It all comes out.
[56:20.960 --> 56:22.960]  The entire investigation was to target the president.
[56:22.960 --> 56:24.960]  It all comes out that they were planning a 25th Amendment coup.
[56:24.960 --> 56:30.960]  It all comes out that they were wearing wires to spy on Trump or we're going to spying on him with his cell phones, had him tap, fives warrants, everything.
[56:30.960 --> 56:34.960]  So they're behind closed doors.
[56:34.960 --> 56:36.960]  Treason has now been exposed.
[56:36.960 --> 56:38.960]  So now they're just going with open treason.
[56:38.960 --> 56:42.960]  I mean, it's the classic CYA technique.
[56:42.960 --> 56:53.960]  When you get caught doing something behind doors, just come out and do it wide open in the public to get the attention off the fact you did it behind closed doors act like, oh, there's nothing wrong here.
[56:53.960 --> 57:01.960]  And then, and then, sorry, the crew just handed me something.
[57:01.960 --> 57:03.960]  It's just beautiful.
[57:03.960 --> 57:10.960]  So then when they admit that they're just planning treason openly here in public to remove the president, they say, oh, he's just unfit.
[57:10.960 --> 57:19.960]  And then Dick Painter, I mean, folks, the fact that this guy is saying that Trump is unfit for office, this guy's a clown.
[57:19.960 --> 57:25.960]  This guy's a total goon, a jester, a joke.
[57:25.960 --> 57:27.960]  But he's going to say Trump is unfit.
[57:27.960 --> 57:31.960]  He can't even complete a television interview without slobbering on himself.
[57:31.960 --> 57:32.960]  I'm not exaggerating.
[57:32.960 --> 57:34.960]  That's Dick Painter.
[57:34.960 --> 57:39.960]  The former Bush ethics are Bush apparently had no ethics according to the Democrats.
[57:39.960 --> 57:43.960]  Oh, but now all of a sudden Richard Painter is the guy they listen to says Trump's unfit.
[57:43.960 --> 57:45.960]  He's drooling on air.
[57:45.960 --> 57:47.960]  We'll be right back with Carpe Donkton.
[57:47.960 --> 57:57.960]  You don't want to miss the next thing you made.
[57:57.960 --> 58:06.960]  By leaps and by bounds, the number one best selling supplement family in the world is energy drinks and energy supplements.
[58:06.960 --> 58:13.960]  But they are riddled with dyes and toxins and synthetic caffeine and other chemicals that sure get you a quick boost,
[58:13.960 --> 58:16.960]  but burn out in just a few hours and have terrible side effects.
[58:16.960 --> 58:25.960]  We have developed, hands down from our research, the most powerful, healthy energy drink pre-workout and beyond system in the world.
[58:25.960 --> 58:27.960]  There's nothing else like it.
[58:27.960 --> 58:28.960]  You must experience it.
[58:28.960 --> 58:30.960]  It is a total game changer.
[58:30.960 --> 58:35.960]  And it comes in easy to use packets to mix it with fruit juice or water, whatever you'd like.
[58:35.960 --> 58:37.960]  Warning, though, it's very, very strong.
[58:37.960 --> 58:38.960]  It lasts up to 10 hours.
[58:38.960 --> 58:45.960]  So take a half pack the first time you take it because Turbo Force is named Turbo Force because it will take you into overdrive.
[58:45.960 --> 59:06.960]  We all know that the outside toxins in the water is a serious health issue.
[59:06.960 --> 59:15.960]  Your whole house water filtration system is an advanced four stage compact filtration system that will provide water filtration for your entire home,
[59:15.960 --> 59:18.960]  removing 220 plus contaminants from your water.
[59:18.960 --> 59:28.960]  It's compact in size, easy to install and maintain and keeps fluoride and other dangerous toxins out of your water supply and away from you and your family.
[59:28.960 --> 59:35.960]  With its broad spectrum contaminant reduction, you'll only need this one filter for clean and refreshing water all over your home.
[59:35.960 --> 59:43.960]  Head to infowarstore.com and whether it's your first water filtration purchase or you're looking to replace your current run down systems,
[59:43.960 --> 01:00:09.960]  it's time to go big and go home with the pro pure whole house filtration system today.
[01:00:09.960 --> 01:00:38.960]  It's time to go home with the pro pure whole house filtration system today.
[01:00:38.960 --> 01:00:48.960]  As I say, we're about to be joined by the Rembrandt, the Da Vinci of meme making on the other side of this break,
[01:00:48.960 --> 01:00:50.960]  Carpe Dantum.
[01:00:50.960 --> 01:00:56.960]  We're going to debut this meme on the Alex Jones show in its entirety on the other side of this break.
[01:00:56.960 --> 01:01:02.960]  But his latest work, he just came out with this, the social media baseball card, if you will.
[01:01:02.960 --> 01:01:08.960]  Alex Jones does not compute, does not exist.
[01:01:08.960 --> 01:01:11.960]  He never even played the game.
[01:01:11.960 --> 01:01:12.960]  He was never even on.
[01:01:12.960 --> 01:01:15.960]  So in fact, Alex Jones never even existed.
[01:01:15.960 --> 01:01:17.960]  He was never even a human.
[01:01:17.960 --> 01:01:19.960]  Never.
[01:01:19.960 --> 01:01:22.960]  And so that is the latest art from Carpe Dantum.
[01:01:22.960 --> 01:01:47.960]  But let's look at the meme that Carpe Dantum made that President Trump shared that was then censored on Twitter.
[01:01:47.960 --> 01:02:03.960]  So this is actually the remix the President put up after they censored the original one.
[01:02:03.960 --> 01:02:06.960]  Democrats pouting to live in America.
[01:02:06.960 --> 01:02:07.960]  They're not proud to be American.
[01:02:07.960 --> 01:02:09.960]  They hate it.
[01:02:09.960 --> 01:02:24.960]  There's the old Bernie before he found a comb and a haircut.
[01:02:24.960 --> 01:02:35.960]  Tonight, we renew our resolve that America will never be a socialist country.
[01:02:35.960 --> 01:02:42.960]  That was reiterated yesterday in President Trump's speech addressing Venezuelan socialism as Bernie Powell.
[01:02:42.960 --> 01:02:46.960]  Maybe that's why he got the haircut and the comb.
[01:02:46.960 --> 01:02:53.960]  More people are working now than at any time in the history of our country.
[01:02:53.960 --> 01:03:00.960]  157 million people at work.
[01:03:00.960 --> 01:03:03.960]  Democrats hate that.
[01:03:03.960 --> 01:03:07.960]  They just want a bunch of socialists living off the government.
[01:03:07.960 --> 01:03:11.960]  Faith in America's destiny.
[01:03:11.960 --> 01:03:27.960]  That one nation under God must be the hope and the promise and the light and the glory among all the nations of the world.
[01:03:27.960 --> 01:03:48.960]  Thank you God bless you and God bless America.
[01:03:48.960 --> 01:03:58.960]  It's really just a gold mine, the memes created by Carpe Donkton.
[01:03:58.960 --> 01:04:05.960]  I go back and I recall, I'm not sure if it was his first meme, but I think it was probably the one that went viral.
[01:04:05.960 --> 01:04:23.960]  That is the Bugs Bunny with Trump's head on the Bugs Bunny head when he's the maestro at the orchestra, maestroing the CNN opera singer to basically blow up and then expose their drawers.
[01:04:23.960 --> 01:04:27.960]  And then there's all the other fake news sites on it and then all the fake news crumbles on them.
[01:04:27.960 --> 01:04:41.960]  That was meme warfare at the peak of the 2016 presidential election cycle, but Carpe Donkton never stopped and keeps delivering and he joins us on the other side.
[01:04:41.960 --> 01:04:46.960]  So, remember that video President Trump shared that got censored on Twitter?
[01:04:46.960 --> 01:04:49.960]  We have the creator of that video on the other side.
[01:04:49.960 --> 01:04:58.960]  Don't go anywhere. It's The Alex Jones Show.
[01:04:58.960 --> 01:05:05.960]  For those looking for the ultimate source of energy for their day, every day, the Brain Synergy Combo is here.
[01:05:05.960 --> 01:05:15.960]  Combining the powerful Turbo Force and Brain Force Plus new tropic formulas, this combo has what you need to hit your maximum potential every day.
[01:05:15.960 --> 01:05:39.960]  Hit the next generation of advanced neural activation with the Brain Force Plus new tropic, a fan-favorite formula fueled by powerful, time-tested ingredients for a true 360 win.
[01:05:39.960 --> 01:05:46.960]  With the Brain Synergy Combo, you can have energy wherever you need, at home, on the go, in the car, and more.
[01:05:46.960 --> 01:05:54.960]  Get pure energy on tech and take advantage of old and new InfoWars powerhouse formulas with the Brain Synergy Combo.
[01:05:54.960 --> 01:05:59.960]  Head to InfoWarsStore.com today.
[01:05:59.960 --> 01:06:08.960]  The civil rights group, the Southern Poverty Law Center, says there have been at least 700 cases of hateful harassment or intimidation since the election.
[01:06:08.960 --> 01:06:10.960]  This is America!
[01:06:10.960 --> 01:06:13.960]  Don't catch a slip in the regimes.
[01:06:13.960 --> 01:06:16.960]  Look what I'm whipin' up,
[01:06:16.960 --> 01:06:18.960]  This is America!
[01:06:18.960 --> 01:06:20.960]  Don't catch a slip in the regimes.
[01:06:20.960 --> 01:06:23.960]  Look what I'm whipin' up,
[01:06:23.960 --> 01:06:26.960]  This is America!
[01:06:26.960 --> 01:06:28.960]  Don't catch a slip in the regimes.
[01:06:28.960 --> 01:06:30.960]  Look how I'm livin' up,
[01:06:30.960 --> 01:06:32.960]  At least be trippin' up.
[01:06:32.960 --> 01:06:41.960]  You're watching the latest Carpe Dante meme video, where he's exposing all the fake hate crimes that the left have staged.
[01:06:41.960 --> 01:06:49.960]  You're watching the latest Carpe Dante meme video, where he's exposing all the fake hate crimes that the left have staged.
[01:07:11.960 --> 01:07:21.960]  You're watching the latest Carpe Dante meme video, where he's exposing all the fake hate crimes that the left have staged.
[01:07:41.960 --> 01:08:06.960]  You're watching the latest Carpe Dante meme video, where he's exposing all the fake hate crimes that the left have staged.
[01:08:06.960 --> 01:08:19.960]  So, Carpe Dante joins me now, and I gotta be honest with you folks, when this is to me, I have to approach this I think differently than maybe anyone else that's interviewed Carpe Dante.
[01:08:19.960 --> 01:08:25.960]  But really, I have to kind of switch gears here because I feel like right now I'm interviewing one of the greatest artists of all time.
[01:08:25.960 --> 01:08:27.960]  And so that's how I want to approach this.
[01:08:27.960 --> 01:08:31.960]  So Carpe Dante, thank you for joining me today on the Alex Jones show.
[01:08:31.960 --> 01:08:43.960]  First of all, so let's talk about the name. Obviously Carpe Diem sees the day, the famous saying, and then you have Carpe Noctum, which is sees the night.
[01:08:43.960 --> 01:08:47.960]  So Carpe Dante, is that sees the donk?
[01:08:47.960 --> 01:08:50.960]  It's sees the donkey.
[01:08:50.960 --> 01:08:52.960]  Sees the donkey?
[01:08:52.960 --> 01:08:56.960]  Sees the donkey. Sees that Democrat.
[01:08:56.960 --> 01:09:01.960]  Ah, okay, okay, because I was wondering, I knew that there had to be something to that name.
[01:09:01.960 --> 01:09:03.960]  So Carpe Dante sees the Democrat.
[01:09:03.960 --> 01:09:09.960]  So that's basically sees the opportunity that the left provides you to create beautiful memes.
[01:09:09.960 --> 01:09:13.960]  That is my interpretation of my fake Latin, yes.
[01:09:13.960 --> 01:09:16.960]  Well, I have to say, you've done a lot of great work.
[01:09:16.960 --> 01:09:18.960]  Obviously your creativity shines through.
[01:09:18.960 --> 01:09:30.960]  I feel like this last video you did is actually next level, because it's like multi-dimensional meme warfare where you take, and I want to know if you did this intentionally,
[01:09:30.960 --> 01:09:38.960]  but you take their leftist meme of forced meme warfare, which is the This Is America music video, which they forced everybody to watch.
[01:09:38.960 --> 01:09:41.960]  They gave it the Song of the Year Award.
[01:09:41.960 --> 01:09:45.960]  It was filled with all sorts of propaganda meant to demonize America.
[01:09:45.960 --> 01:09:51.960]  And then you took it and twisted it and said, no, you guys are the ones that's bad for America.
[01:09:51.960 --> 01:09:53.960]  Was that your intention using that song?
[01:09:53.960 --> 01:09:56.960]  Well, I have to give some credit to Mike Sternovich.
[01:09:56.960 --> 01:09:58.960]  It was his idea to use the song.
[01:09:58.960 --> 01:10:03.960]  But that was the intent was to turn that whole narrative around.
[01:10:03.960 --> 01:10:06.960]  Like you said, they made it Song of the Year.
[01:10:06.960 --> 01:10:10.960]  You know, it's got a good beat and all that kind of stuff, but it's not Song of the Year.
[01:10:10.960 --> 01:10:20.960]  And the video was intentionally made to go viral because of how controversial it was with all the violence that was in and all that.
[01:10:20.960 --> 01:10:26.960]  But yeah, the intent was to turn that around on them and use it back at them.
[01:10:26.960 --> 01:10:38.960]  Now, when you're seeing a situation like the Small Let story develop and you're trying to figure out how you can seize that donkey,
[01:10:38.960 --> 01:10:43.960]  what's going through your head? I mean, how do you analyze it? How do you come up with these ideas?
[01:10:43.960 --> 01:10:47.960]  And then when do you decide, OK, this is what I'm going with?
[01:10:47.960 --> 01:10:51.960]  Well, you know, I actually held off for a really long time on it.
[01:10:51.960 --> 01:10:56.960]  I didn't want to get caught, you know, attacking it if it was legitimate.
[01:10:56.960 --> 01:10:58.960]  I mean, the story was ridiculous.
[01:10:58.960 --> 01:11:04.960]  You mean like unlike CNN and the rest of the mainstream media choir, you waited to know the story. OK.
[01:11:04.960 --> 01:11:13.960]  Well, yeah, you know, it's a shocking thing these days, but I waited, you know, a whole week until it was clear that it was fake.
[01:11:13.960 --> 01:11:20.960]  I thought it sounded fake from the beginning, but without any sort of confirmation, I didn't want to get, I don't want to have to delete tweets.
[01:11:20.960 --> 01:11:26.960]  You know, I don't like to go back and say, oh, I made some bad tweets here, I'm going to delete them.
[01:11:26.960 --> 01:11:30.960]  I like to get the story right the first time.
[01:11:30.960 --> 01:11:35.960]  So after that, then I just approached it just like I'd approached anything else, you know, it's a hoax.
[01:11:35.960 --> 01:11:40.960]  It deserves to get made fun of like as much as you possibly can.
[01:11:40.960 --> 01:11:45.960]  Now, I see the video that you made and I'm watching it and it's just so brilliant.
[01:11:45.960 --> 01:11:51.960]  Like I said, it's 21st century art to me, you know, motion art, whatever you want to call it, meme art.
[01:11:51.960 --> 01:11:58.960]  And just, I mean, showing all the fake hate crimes and just boom, hitting them with the hoax, playing that this is America.
[01:11:58.960 --> 01:12:00.960]  It shows how they are the hoax.
[01:12:00.960 --> 01:12:01.960]  Like, I don't know.
[01:12:01.960 --> 01:12:06.960]  For me, it's just like this video just encapsulates everything about how they're the hoaxers.
[01:12:06.960 --> 01:12:07.960]  They're the liars.
[01:12:07.960 --> 01:12:08.960]  They're the dividers.
[01:12:08.960 --> 01:12:10.960]  They're the ones that are trying to destroy this country.
[01:12:10.960 --> 01:12:15.960]  And again, it's like it's just it's next level genius to use their meme against them.
[01:12:15.960 --> 01:12:19.960]  Has anybody have people like been upset with you for doing that?
[01:12:19.960 --> 01:12:23.960]  Has there been a backlash or has it mostly just been, dude, you knocked this one out of the park?
[01:12:23.960 --> 01:12:27.960]  I've gotten mostly really good feedback from it.
[01:12:27.960 --> 01:12:32.960]  And honestly, with the president tweeting me and everything like that, I got very little hate mail.
[01:12:32.960 --> 01:12:36.960]  I actually had more hate mail like before all this.
[01:12:36.960 --> 01:12:42.960]  So I don't know if people are just afraid to approach me or what, but most of the comments have been really good.
[01:12:42.960 --> 01:12:44.960]  A lot of people have liked it.
[01:12:44.960 --> 01:12:50.960]  I mean, I released it last night at like 10 o'clock and it did just as well as if I had released it primetime.
[01:12:50.960 --> 01:12:53.960]  So clearly it was popular.
[01:12:53.960 --> 01:13:03.960]  Now, I want to know what the first because I think correct me if I'm wrong, the first the first meme video you did that at least went viral and got a bunch of attention.
[01:13:03.960 --> 01:13:12.960]  Was it the was it the meme where you put Trump's head over Bugs Bunny, where he's the maestro of the CNN mainstream media orchestra?
[01:13:12.960 --> 01:13:13.960]  Yes.
[01:13:13.960 --> 01:13:18.960]  Well, I did one video before that, but it was not viral.
[01:13:18.960 --> 01:13:25.960]  The very first meme that actually went viral was the maestro and Alex Jones played it on the show.
[01:13:25.960 --> 01:13:33.960]  I have to say thank you guys very much because you've promoted my work over the last couple of years and really actually put me where I am today.
[01:13:33.960 --> 01:13:37.960]  So but that was the first one that was ever viral.
[01:13:37.960 --> 01:13:39.960]  Well, you put yourself where you're at.
[01:13:39.960 --> 01:13:41.960]  We're just an amplification tool here.
[01:13:41.960 --> 01:13:46.960]  And you know, we just want to get other patriots on there and just get their work out there and amplify them as well.
[01:13:46.960 --> 01:13:48.960]  It's your work that makes you popular.
[01:13:48.960 --> 01:13:51.960]  We're glad to be an amplification tool for you.
[01:13:51.960 --> 01:13:53.960]  Now, what did it mean?
[01:13:53.960 --> 01:13:59.960]  Obviously, you were covered by Alex Jones years ago and other videos went viral.
[01:13:59.960 --> 01:14:05.960]  And so you've probably been picked up, I'm sure by dozens of other media outlets, but to be retweeted by the president.
[01:14:05.960 --> 01:14:07.960]  What was that like?
[01:14:07.960 --> 01:14:10.960]  That was that was crazy.
[01:14:10.960 --> 01:14:12.960]  It was everything that I thought it was going to be.
[01:14:12.960 --> 01:14:19.960]  It was nuts. My my feed, there was no way I could keep up with with my Twitter feed.
[01:14:19.960 --> 01:14:21.960]  It was going a mile a minute.
[01:14:21.960 --> 01:14:24.960]  The REM thing was just insane.
[01:14:24.960 --> 01:14:29.960]  I couldn't believe that I was being attacked by a 90s rock band.
[01:14:29.960 --> 01:14:31.960]  Well, everybody hurts.
[01:14:31.960 --> 01:14:32.960]  That's true.
[01:14:32.960 --> 01:14:34.960]  Including REM.
[01:14:34.960 --> 01:14:36.960]  Some people hurt more than others, though, I think.
[01:14:36.960 --> 01:14:38.960]  I think we learned that this week.
[01:14:38.960 --> 01:14:43.960]  And I think the video had, what was it? Was it three million views when they took it down?
[01:14:43.960 --> 01:14:44.960]  What was it at?
[01:14:44.960 --> 01:14:47.960]  I believe it was three million, three and a half million, something like that.
[01:14:47.960 --> 01:14:53.960]  And then the original one that I put out has gotten a couple million views since.
[01:14:53.960 --> 01:14:58.960]  And then the president says, I don't even know where that one's at right now.
[01:14:58.960 --> 01:14:59.960]  4.21, I guess.
[01:14:59.960 --> 01:15:01.960]  Yeah, yeah, the new one.
[01:15:01.960 --> 01:15:09.960]  And so it's nice, though, because you didn't, you had no, correct me if I'm wrong, but you had no involvement with the, with the remake the president did, right?
[01:15:09.960 --> 01:15:12.960]  He just put his own music over your video.
[01:15:12.960 --> 01:15:15.960]  I am not a liberator to say.
[01:15:15.960 --> 01:15:20.960]  Okay, then I won't ask my next question either then.
[01:15:20.960 --> 01:15:30.960]  So in the next, in the next segment, though, with, with Carpe D'Ontim, I actually want to get into his mind about some of the stuff he thinks about, you know, with the politics and the Jesse Smollett story and some other developing things.
[01:15:30.960 --> 01:15:45.960]  But you just got into the mind there briefly of who I, I mean, folks, look, when honestly, when, when painters are painting stuff originally, when, if you go and like look at artists when they first started making stuff, nobody cared, they weren't popular.
[01:15:45.960 --> 01:15:53.960]  It wasn't until later in life where they really get popular, you're looking at a shining star right here, Carpe D'Ontim, of 21st century meme art.
[01:15:53.960 --> 01:15:56.960]  I'm telling you, this guy's legend.
[01:15:56.960 --> 01:16:02.960]  Maybe not today, maybe not tomorrow, but soon you'll need a plan and place to survive.
[01:16:02.960 --> 01:16:05.960]  Forget bunkers. You're not a live underground gopher.
[01:16:05.960 --> 01:16:07.960]  You need survivalist camps.
[01:16:07.960 --> 01:16:15.960]  The ultimate, fully functional, off the grid, mobile survival bug outhouse that's well equipped and custom built to outlast any other RV or trailer.
[01:16:15.960 --> 01:16:17.960]  Bold statement, you bet.
[01:16:17.960 --> 01:16:19.960]  See him now at survivalistcamps.com.
[01:16:19.960 --> 01:16:21.960]  That's survivalistcamps.com.
[01:16:21.960 --> 01:16:26.960]  Trust your family survival to survivalistcamps.com.
[01:16:26.960 --> 01:16:32.960]  We pledge allegiance to one flag and that flag is the American flag.
[01:16:32.960 --> 01:16:37.960]  Did you know the official National American flag has never been manufactured for retail stores?
[01:16:37.960 --> 01:16:42.960]  The one that Americans fought and died for, the one symbol that represents our Constitution.
[01:16:42.960 --> 01:16:46.960]  Now you can be a part of this great movement that's never been seen before.
[01:16:46.960 --> 01:16:56.960]  Together we'll recapture America. Call 1-877-383-4777 or visit theofficialflag.com, theofficialflag.com.
[01:16:56.960 --> 01:17:01.960]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[01:17:01.960 --> 01:17:06.960]  I sued the IRS in one. I beat the IRS then and I've been beating them ever since.
[01:17:06.960 --> 01:17:11.960]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems they thought might never be solved.
[01:17:11.960 --> 01:17:13.960]  I can help you too.
[01:17:13.960 --> 01:17:18.960]  No taxes you can't pay. Don't wait another day. There's no such thing as a hopeless tax case.
[01:17:18.960 --> 01:17:26.960]  Call 800-34-NO-TAX or go to my website, danpilla.com, that's danpilla.com, danpilla.com.
[01:17:26.960 --> 01:17:30.960]  Hunters, anglers, campers and survivalists, get back to nature.
[01:17:30.960 --> 01:17:37.960]  Expand your horizons with the highest quality, most versatile, unique sling shots and sling bows on the market at slingbow.com.
[01:17:37.960 --> 01:17:44.960]  Slingbow products are compact and models start from just 1798. They're perfect for your bug out bag or storing in your vehicle.
[01:17:44.960 --> 01:17:48.960]  Give yourself and your loved ones the excitement and tradition of slingbow.
[01:17:48.960 --> 01:17:53.960]  A new frontier in archery and truly modern twist on this primitive survival tool.
[01:17:53.960 --> 01:18:07.960]  Feel the thrill only at slingbow.com.
[01:18:07.960 --> 01:18:16.960]  By leaps and by bounds, the number one best selling supplement family in the world is energy drinks and energy supplements.
[01:18:16.960 --> 01:18:26.960]  They are riddled with dyes and toxins and synthetic caffeine and other chemicals that sure get you a quick boost but burn out in just a few hours and have terrible side effects.
[01:18:26.960 --> 01:18:35.960]  We have developed, hands down, from our research, the most powerful, healthy energy drink pre-workout and beyond system in the world.
[01:18:35.960 --> 01:18:45.960]  There's nothing else like it, you must experience it. It is a total game changer and it comes in easy to use, packaged, mixed in fruit juice or water, whatever you'd like.
[01:18:45.960 --> 01:18:54.960]  So it's very, very strong, it lasts 10 hours, so take a half pack at the first time you take it because TurboForce is named TurboForce because it will take you into overdrive.
[01:18:54.960 --> 01:18:57.960]  TurboForce and enforcelife.com.
[01:18:57.960 --> 01:19:03.960]  Wars are like 12 round heavyweight boxing championship fights.
[01:19:03.960 --> 01:19:09.960]  It's about who wants it, who's prepared to go the longest and who's ready to do the damage.
[01:19:09.960 --> 01:19:13.960]  We took on Hillary Clinton. We stopped her. We got a national stand.
[01:19:13.960 --> 01:19:17.960]  Nationalists are getting elected all over the world right now. We are winning.
[01:19:17.960 --> 01:19:23.960]  But those of us who are at the very front line at the tip of the spear are under unprecedented attack.
[01:19:23.960 --> 01:19:28.960]  So I come to you each day and try to explain to you that this is a war of attrition.
[01:19:28.960 --> 01:19:34.960]  This is about who wants it most and you know the persecution, the censorship, the sponsors, they've taken everything.
[01:19:34.960 --> 01:19:39.960]  I am in your hands, you are in my hands. I need financial support and I got products you and your family need.
[01:19:39.960 --> 01:19:44.960]  It's that simple. Thousands of great products, whatever is award winning, whatever is best selling,
[01:19:44.960 --> 01:19:48.960]  what folks love, what I love, we bring it to you at enforcelife.com.
[01:19:48.960 --> 01:19:54.960]  So please go to enforcelife.com today, look at all the great products because we're in your hands, I'm in your hands
[01:19:54.960 --> 01:19:57.960]  and your support is beyond critical. Thank you.
[01:20:00.960 --> 01:20:04.960]  You're listening to the Alex Jones show.
[01:20:04.960 --> 01:20:13.960]  And then it became a thing of like, oh, it's not necessarily that you don't believe that this is the truth.
[01:20:13.960 --> 01:20:17.960]  You don't even want to see the truth.
[01:20:20.960 --> 01:20:25.960]  Justice Small from the Hitchhaw Empire was attacked and beaten early this morning.
[01:20:25.960 --> 01:20:27.960]  It's horrible to record.
[01:20:27.960 --> 01:20:32.960]  They are looking for two suspects who are apparently wearing Make America Great Again hats.
[01:20:32.960 --> 01:20:37.960]  I'm really afraid that this is a much bigger operation than two people.
[01:20:37.960 --> 01:20:43.960]  Connect the dots. This is what happens. This needs to stop.
[01:20:43.960 --> 01:20:48.960]  And so I knew everyone would be picking apart his stories. Not for me, that's not my concern.
[01:20:48.960 --> 01:20:50.960]  Right, right, right, right.
[01:20:53.960 --> 01:20:56.960]  Brawley attracted a team of activists to her side.
[01:20:56.960 --> 01:21:04.960]  They're charging the white local officials who were involved in the crime, the mafia, the Ku Klux Klan, and the Irish Republican Army.
[01:21:04.960 --> 01:21:06.960]  They tried to destroy you.
[01:21:13.960 --> 01:21:17.960]  And that says a lot about the place that we are in our country right now.
[01:21:17.960 --> 01:21:25.960]  The fact that we have these fear Mongols, these people that are trying to separate us
[01:21:25.960 --> 01:21:28.960]  and it's just not okay.
[01:21:29.960 --> 01:21:32.960]  And that would be you, Jussie Smollett.
[01:21:32.960 --> 01:21:36.960]  You are the fear monger. You are the one trying to separate us.
[01:21:36.960 --> 01:21:41.960]  And it's all been exposed and now you face jail time, my friend.
[01:21:41.960 --> 01:21:49.960]  I almost hope for Jussie Smollett's case that this was a Democrat operation and he was just a puppet.
[01:21:49.960 --> 01:21:53.960]  Because that might be the only way you stay out of jail, friend.
[01:21:53.960 --> 01:22:05.960]  Now, that was a remake of the original Carpe-Dontum meme with the This Is America meme and the Jussie Smollett hoax and the other hoaxes put over it.
[01:22:05.960 --> 01:22:14.960]  And we talked to Carpe in the last segment just to kind of get into his head who I think is going to go down as one of the most legendary meme makers of all time.
[01:22:14.960 --> 01:22:17.960]  I don't think we understand this art form quite entirely yet.
[01:22:17.960 --> 01:22:23.960]  But I want to kind of just get into some politics with him, just what he thinks about current events here in this segment.
[01:22:23.960 --> 01:22:31.960]  So what do you make of this Carpe-Dontum that Jussie Smollett had the nerve while he knew this whole thing was obviously fake
[01:22:31.960 --> 01:22:37.960]  to go on TV and say, this is the state of America, racist, sexist, homophobic.
[01:22:37.960 --> 01:22:41.960]  How dare we live in this land of fear mongers that try to separate us.
[01:22:41.960 --> 01:22:48.960]  Everything that he is, he tries to project on America. I mean, what do you take away from that?
[01:22:48.960 --> 01:22:54.960]  Well, first, did he actually say fear mongrels? Did I miss hear that?
[01:22:54.960 --> 01:22:58.960]  Should we get the audio? We can play the audio again.
[01:22:58.960 --> 01:23:02.960]  I swear he said fear mongrels.
[01:23:02.960 --> 01:23:07.960]  He did say mongrel. He did. He said mongrel.
[01:23:07.960 --> 01:23:12.960]  Doesn't that sound just a little bit racist just on the surface right there?
[01:23:12.960 --> 01:23:15.960]  Wow. Well, I didn't even think about that.
[01:23:15.960 --> 01:23:26.960]  I mean, what was he trying to say there? But anyway, what I think about all of this is this is the tool that the left uses to silence people.
[01:23:26.960 --> 01:23:36.960]  It's how they make, well, like Alex Jones, they make associations with names so that they can make people fear to say those names.
[01:23:36.960 --> 01:23:43.960]  If you say Alex Jones on Twitter, you might get banned from Twitter. If you say Alex Jones on Facebook, you might get banned from Facebook.
[01:23:43.960 --> 01:23:49.960]  They want people to be quiet and they want them to feel that they're by themselves.
