[00:00.000 --> 00:02.000]  Assume, impeach him.
[40:30.000 --> 40:32.000]  it's in the Army times
[40:32.000 --> 40:34.000]  they've had countless generals
[40:34.000 --> 40:36.000]  you know be quoted in the Washington Post about
[40:36.000 --> 40:39.000]  yeah we'll use foreign troops for civil unrest in America
[40:39.000 --> 40:41.000]  and gun confiscation
[40:41.000 --> 40:43.000]  that's in my film Masters of Terror
[40:43.000 --> 40:48.000]  Washington Post article saying that
[40:48.000 --> 40:53.000]  but they've got to normalize it like it's no big deal
[40:53.000 --> 40:57.000]  Ronald Joe Biggs in one minute
[40:57.000 --> 40:59.000]  they've got to just act like it's yeah
[40:59.000 --> 41:01.000]  we arrest you for the rebel flag now
[41:01.000 --> 41:03.000]  ten years in prison, yeah your kids belong to us
[41:03.000 --> 41:05.000]  we're gonna force them to be inoculated
[41:05.000 --> 41:07.000]  oh yeah the borders are open and you're gonna pay for everybody
[41:07.000 --> 41:10.000]  and the border patrol is gonna ship the illegals in
[41:10.000 --> 41:14.000]  and give them vouchers
[41:14.000 --> 41:16.000]  and then pay seven thousand dollars a month
[41:16.000 --> 41:23.000]  per groups of three to house them
[41:23.000 --> 41:25.000]  and you wonder why suddenly you see demonstrations
[41:25.000 --> 41:27.000]  all over the country with people with communist flags
[41:27.000 --> 41:28.000]  by the hundreds
[41:28.000 --> 41:30.000]  I've been in Austin twice
[41:30.000 --> 41:32.000]  and heard chanting downtown
[41:32.000 --> 41:34.000]  it must be going on all the time
[41:34.000 --> 41:36.000]  and there'll be 200 communists marching
[41:36.000 --> 41:41.000]  with signs saying kill police
[41:41.000 --> 41:43.000]  they're warming up
[41:43.000 --> 41:44.000]  they're getting ready
[41:44.000 --> 41:46.000]  they're coming out of the shadows
[41:46.000 --> 41:47.000]  this is it people
[41:47.000 --> 41:49.000]  this is the takedown
[41:49.000 --> 41:51.000]  the destruction of the United States of America
[41:51.000 --> 41:53.000]  founded in 1776
[41:53.000 --> 41:58.000]  this is traitors cutting us up in pieces
[41:58.000 --> 42:03.000]  and I'm not scared for me
[42:03.000 --> 42:07.000]  I am in mourning
[42:07.000 --> 42:10.000]  when I look at the weird chip on their shoulder
[42:10.000 --> 42:11.000]  mentally ill people
[42:11.000 --> 42:13.000]  when I look at the head of the justice department
[42:13.000 --> 42:14.000]  when I look at Obama
[42:14.000 --> 42:17.000]  when I look at those Democratic members of Congress
[42:17.000 --> 42:20.000]  and the intimidated Republicans are all scared
[42:20.000 --> 42:23.000]  they are a crazed pack of organized thugs
[42:23.000 --> 42:25.000]  they are a mafia
[42:25.000 --> 42:26.000]  they are killers
[42:26.000 --> 42:28.000]  they are trash
[42:28.000 --> 42:30.000]  they would bring in Obamacare
[42:30.000 --> 42:31.000]  doubling and tripling prices
[42:31.000 --> 42:33.000]  on their own idiot constituents
[42:33.000 --> 42:37.000]  they are so ruthless
[42:37.000 --> 42:39.000]  but also they're so weak
[42:39.000 --> 42:43.000]  but our denial has allowed them to take over
[42:43.000 --> 42:46.000]  Joe Biggs is down there
[42:46.000 --> 42:49.000]  he was wearing his Hillary for President shirt
[42:49.000 --> 42:51.000]  but I'm told there's been some new developments
[42:51.000 --> 42:52.000]  down in San Antonio
[42:52.000 --> 42:54.000]  the maps on infowars.com where he's at
[42:54.000 --> 42:56.000]  Hillary's going to be there for another two hours
[42:56.000 --> 42:59.000]  she's speaking at two different events
[42:59.000 --> 43:02.000]  basically promoting a Latin American invasion
[43:02.000 --> 43:07.000]  that's being branded and sold as a race-based consciousness
[43:07.000 --> 43:10.000]  with the Ford Foundation and the Rockefeller Foundation
[43:10.000 --> 43:12.000]  it's not that Hispanics are bad
[43:12.000 --> 43:14.000]  it's that the government, the Ford Foundation
[43:14.000 --> 43:16.000]  is basically creating a victimology
[43:16.000 --> 43:18.000]  a Euro victim
[43:18.000 --> 43:20.000]  stirring it up
[43:20.000 --> 43:22.000]  some of it's true, you know, 10%
[43:22.000 --> 43:24.000]  90% is bull
[43:24.000 --> 43:26.000]  and then just trying to do what they've done with blacks
[43:26.000 --> 43:28.000]  and if you see how they've totally destroyed the black community
[43:28.000 --> 43:31.000]  and created victimology and dependency
[43:31.000 --> 43:33.000]  they're trying to do it with Hispanics
[43:33.000 --> 43:36.000]  and it's not been really that successful actually
[43:36.000 --> 43:38.000]  they've got almost 70% of Hispanics
[43:38.000 --> 43:41.000]  including illegals who are polled, don't want open borders
[43:41.000 --> 43:43.000]  they're not idiots
[43:43.000 --> 43:44.000]  I mean they know what they just left
[43:44.000 --> 43:46.000]  they don't want that coming here
[43:46.000 --> 43:48.000]  they understand it's massive
[43:48.000 --> 43:50.000]  and it's being coordinated by the globalist
[43:50.000 --> 43:53.000]  and so she's down there invoking race
[43:53.000 --> 43:56.000]  and saying you poor victims, you poor things
[43:56.000 --> 43:58.000]  and beating her evil drum
[43:58.000 --> 44:00.000]  and Joe Biggs is there reporting Joe
[44:00.000 --> 44:02.000]  tell me what you're witnessing with Hillary
[44:02.000 --> 44:03.000]  and what's happened so far
[44:03.000 --> 44:05.000]  I know you've had some success
[44:05.000 --> 44:07.000]  they're Joe Biggs
[44:07.000 --> 44:09.000]  Roger that, Joe
[44:09.000 --> 44:12.000]  actually I'm having an audio in my ear
[44:12.000 --> 44:14.000]  need to fix that
[44:14.000 --> 44:16.000]  I'm standing outside of the historic
[44:16.000 --> 44:19.000]  Sunset Station in San Antonio
[44:19.000 --> 44:22.000]  so far we have been able to
[44:22.000 --> 44:26.000]  basically weasel our way into the Hillary Clinton event
[44:26.000 --> 44:29.000]  and right now as you can see I have on
[44:29.000 --> 44:32.000]  my Hillary t-shirt
[44:32.000 --> 44:34.000]  and I'm standing in front of this
[44:34.000 --> 44:37.000]  Stalin-like photo of Hillary Clinton
[44:37.000 --> 44:39.000]  it's very eerie
[44:39.000 --> 44:43.000]  I'm literally deep in the lines then right now
[44:43.000 --> 44:45.000]  so I've got my Hillary for Prison t-shirt on
[44:45.000 --> 44:46.000]  under here
[44:46.000 --> 44:48.000]  I'm going to release that later
[44:48.000 --> 44:50.000]  once she comes out and speaks
[44:50.000 --> 44:52.000]  and scream Hillary for prison and take this shirt off
[44:52.000 --> 44:54.000]  and then start screaming Hillary for prison
[44:54.000 --> 44:56.000]  and we'll see what happens
[44:56.000 --> 44:58.000]  well Joe it's key you do this
[44:58.000 --> 45:00.000]  we have to get on the offensive
[45:00.000 --> 45:01.000]  everywhere Obama goes
[45:01.000 --> 45:03.000]  you were there with Zachari last week
[45:03.000 --> 45:05.000]  and the rest of the crew
[45:05.000 --> 45:07.000]  Matt and Josh and
[45:07.000 --> 45:09.000]  he had to hide out behind the college
[45:09.000 --> 45:11.000]  and they just shot it with a
[45:11.000 --> 45:14.000]  camera hand held without a lapel mic
[45:14.000 --> 45:16.000]  horrible audio and you could tell he was like
[45:16.000 --> 45:18.000]  a cornered cornered rat
[45:18.000 --> 45:20.000]  and
[45:20.000 --> 45:23.000]  it just shows we have to get on the offensive
[45:23.000 --> 45:25.000]  you just heard me break down
[45:25.000 --> 45:27.000]  that they are going to federalize all local departments
[45:27.000 --> 45:29.000]  under the UN and
[45:29.000 --> 45:31.000]  they now put out a hour and a half
[45:31.000 --> 45:33.000]  video report we're going to be playing parts of later
[45:33.000 --> 45:36.000]  where they admit it's all southern primary law center run
[45:36.000 --> 45:39.000]  with local spies and they will be arresting people
[45:39.000 --> 45:41.000]  for their political views
[45:41.000 --> 45:44.000]  and they're announcing that the patriots are going to be blowing everything up
[45:44.000 --> 45:46.000]  and the big war is about to be with the tea party
[45:46.000 --> 45:48.000]  that will start carrying out terror
[45:48.000 --> 45:50.000]  of course the tea party doesn't do that
[45:50.000 --> 45:52.000]  they're going to start blowing stuff up and saying we did it
[45:52.000 --> 45:54.000]  we've caught them before at Oklahoma City
[45:54.000 --> 45:56.000]  so it's now completely clear
[45:56.000 --> 45:58.000]  what they're doing it is
[45:58.000 --> 46:00.000]  over the top
[46:00.000 --> 46:02.000]  it's the standard deal where they do five minutes on fallen troops
[46:02.000 --> 46:04.000]  to terrorist overseas
[46:04.000 --> 46:06.000]  then they shift into domestic groups
[46:06.000 --> 46:08.000]  the tea party, the gun owners, the veterans
[46:08.000 --> 46:10.000]  so they're going operational with this now
[46:10.000 --> 46:12.000]  and it really shows
[46:12.000 --> 46:14.000]  moving to
[46:14.000 --> 46:16.000]  we've indicted two of
[46:16.000 --> 46:18.000]  Rand Paul's and Ron Paul's staffers
[46:18.000 --> 46:20.000]  and that of course is to
[46:20.000 --> 46:22.000]  try to get them to flip
[46:22.000 --> 46:24.000]  on the Paul's
[46:24.000 --> 46:26.000]  obviously Drudge was here last week to say they're coming after us
[46:26.000 --> 46:28.000]  and in private he told me even more
[46:28.000 --> 46:30.000]  Drudge is at the highest
[46:30.000 --> 46:32.000]  levels
[46:32.000 --> 46:34.000]  he talks to you name it
[46:34.000 --> 46:36.000]  not just Supreme Court justices I'll leave it at that
[46:36.000 --> 46:38.000]  and the Republicans have been told
[46:38.000 --> 46:40.000]  you submit or we're going to arrest you
[46:40.000 --> 46:42.000]  and we are going to take the free speech
[46:42.000 --> 46:44.000]  and we are going to put the tea party in prison
[46:44.000 --> 46:46.000]  so
[46:46.000 --> 46:48.000]  I mean it's on and that doesn't intimidate me
[46:48.000 --> 46:50.000]  I can't believe
[46:50.000 --> 46:52.000]  we're going to let this happen we've got to get in their face
[46:52.000 --> 46:54.000]  call them out as criminals
[46:54.000 --> 46:56.000]  and really show what they've done
[46:56.000 --> 46:58.000]  and a lot of foreign leaders
[46:58.000 --> 47:00.000]  are saying Obama's mentally ill
[47:00.000 --> 47:02.000]  you look at the attorney general she looks like a crazy lady
[47:02.000 --> 47:04.000]  with a chip on her shoulder
[47:04.000 --> 47:06.000]  I mean these
[47:06.000 --> 47:08.000]  this is a bunch of crazy community communist
[47:08.000 --> 47:10.000]  organizers and big banks
[47:10.000 --> 47:12.000]  who really think they're going to be able to take down the United States
[47:12.000 --> 47:14.000]  they're trying to take down Russia
[47:14.000 --> 47:16.000]  right now I mean they're crazy
[47:16.000 --> 47:18.000]  they think we're so down they fund Al Qaeda
[47:18.000 --> 47:20.000]  publicly
[47:20.000 --> 47:22.000]  I mean I know the military is waking up you talk about it Joe
[47:22.000 --> 47:26.000]  give me your take on what we were just breaking down
[47:26.000 --> 47:28.000]  I mean one of the interesting things is though
[47:28.000 --> 47:30.000]  a lot of people that come here they come here
[47:30.000 --> 47:32.000]  for the fact that they're quote unquote feminist
[47:32.000 --> 47:34.000]  and they come out here and they're like
[47:34.000 --> 47:36.000]  Hillary's for women well first of all
[47:36.000 --> 47:38.000]  Hillary Clinton covered for her husband
[47:38.000 --> 47:40.000]  who was doing stuff so that kind of goes against
[47:40.000 --> 47:42.000]  feminism
[47:42.000 --> 47:44.000]  herself cheats as well and then
[47:44.000 --> 47:46.000]  she also takes money the Clinton foundation
[47:46.000 --> 47:48.000]  takes money from Arab nations
[47:48.000 --> 47:50.000]  that literally degrade women
[47:50.000 --> 47:52.000]  don't let them show themselves
[47:52.000 --> 47:54.000]  have to cover up their entire bodies
[47:54.000 --> 47:56.000]  are not equal to men, can't get jobs
[47:56.000 --> 47:58.000]  can't do anything and yet
[47:58.000 --> 48:00.000]  these women that come out here and scream that
[48:00.000 --> 48:02.000]  Hillary for women are just completely and totally
[48:02.000 --> 48:04.000]  demented delusional mentally ill
[48:04.000 --> 48:06.000]  however you want to put it and then you have
[48:06.000 --> 48:08.000]  a whole large crowd over here to my left because
[48:08.000 --> 48:10.000]  we're inside like I said the lion's den
[48:10.000 --> 48:12.000]  I'm in Hillary Clinton territory right now
[48:12.000 --> 48:14.000]  there's hundreds of people here ready to
[48:14.000 --> 48:16.000]  find out what kind of free stuff they're going to get
[48:16.000 --> 48:18.000]  for voting for her
[48:18.000 --> 48:20.000]  one of them even cares about
[48:20.000 --> 48:22.000]  the American men and women who have gone
[48:22.000 --> 48:24.000]  overseas to fight for this country
[48:24.000 --> 48:26.000]  they don't care about them getting
[48:26.000 --> 48:28.000]  the healthcare that they deserve the education
[48:28.000 --> 48:30.000]  anything like that no no no everybody wants
[48:30.000 --> 48:32.000]  to come on into America open the borders
[48:32.000 --> 48:34.000]  and get their free ride to whatever
[48:34.000 --> 48:36.000]  else there is out there so we're going to
[48:36.000 --> 48:38.000]  sit here and talk to people and find out
[48:38.000 --> 48:40.000]  why they like her
[48:40.000 --> 48:42.000]  well it's identity politics they don't
[48:42.000 --> 48:44.000]  care if Clinton settled cases with women
[48:44.000 --> 48:46.000]  he raped they don't care
[48:46.000 --> 48:48.000]  if Hillary
[48:48.000 --> 48:50.000]  is involved in all sorts of evil
[48:50.000 --> 48:52.000]  corruption and fast and furious
[48:52.000 --> 48:54.000]  they like to feel powerful through
[48:54.000 --> 48:56.000]  her
[48:56.000 --> 48:58.000]  it's like a five-year-old boy imagining
[48:58.000 --> 49:00.000]  he's Batman or Superman
[49:00.000 --> 49:02.000]  they are they are posers
[49:02.000 --> 49:04.000]  and so that's who they are
[49:04.000 --> 49:06.000]  and also when you talk
[49:06.000 --> 49:08.000]  to them they are incredibly stupid
[49:08.000 --> 49:10.000]  they are they are
[49:10.000 --> 49:12.000]  sheep oriented
[49:12.000 --> 49:14.000]  and they are just pathetic
[49:14.000 --> 49:16.000]  I mean they are just idiots
[49:16.000 --> 49:18.000]  Hillary wants to allow families
[49:18.000 --> 49:20.000]  of victims who die in mass shootings
[49:20.000 --> 49:22.000]  to be able to sue gun manufacturers
[49:22.000 --> 49:24.000]  I mean that is the most ridiculous thing in the world
[49:24.000 --> 49:26.000]  and they are already setting up presidents right now
[49:26.000 --> 49:28.000]  a lawsuit just happened in Wisconsin
[49:28.000 --> 49:30.000]  I think it was yesterday an article came out
[49:30.000 --> 49:32.000]  in a Chicago newspaper and RT as well
[49:32.000 --> 49:34.000]  where
[49:34.000 --> 49:36.000]  two police officers were shot
[49:36.000 --> 49:38.000]  by someone who basically
[49:38.000 --> 49:40.000]  got a gun through a straw purchase
[49:40.000 --> 49:42.000]  and six million dollars has been awarded
[49:42.000 --> 49:44.000]  to the two shooting victims
[49:44.000 --> 49:46.000]  and they are getting that from
[49:46.000 --> 49:48.000]  the store
[49:48.000 --> 49:50.000]  so you know here they are
[49:50.000 --> 49:52.000]  they are going to push this whole thing
[49:52.000 --> 49:54.000]  we are going to go after straw purchases
[49:54.000 --> 49:56.000]  but meanwhile like you said we had fast and furious
[49:56.000 --> 49:58.000]  what was that they allowed these straw purchases to happen
[49:58.000 --> 50:00.000]  they allowed these guns to go around and what happened
[50:00.000 --> 50:02.000]  we lost an American board patrol agent
[50:02.000 --> 50:04.000]  from that so they flip flop on everything
[50:04.000 --> 50:06.000]  they say they are against this but then they are really for it
[50:06.000 --> 50:08.000]  I mean it's disgusting to be here
[50:08.000 --> 50:10.000]  they have this shirt on me right now
[50:10.000 --> 50:12.000]  they have this stolen picture of Hillary
[50:12.000 --> 50:14.000]  and by the way I am not being mean to fat people
[50:14.000 --> 50:16.000]  I have been overweight as well
[50:16.000 --> 50:18.000]  and they have mainstream articles asking the question
[50:18.000 --> 50:20.000]  why lesbians are three times
[50:20.000 --> 50:22.000]  larger on average than the average
[50:22.000 --> 50:24.000]  woman's weight
[50:24.000 --> 50:26.000]  why are Hillary supporters normally 300 pounds
[50:26.000 --> 50:28.000]  I mean that's another question
[50:28.000 --> 50:30.000]  well this is the first time I have ever been around this much
[50:30.000 --> 50:32.000]  at one time
[50:32.000 --> 50:34.000]  it really makes me nervous but
[50:34.000 --> 50:36.000]  as I look around I do have to say I agree with you there
[50:36.000 --> 50:38.000]  on that one Alex
[50:38.000 --> 50:40.000]  there are a lot of clump Hillary supporters
[50:40.000 --> 50:42.000]  here today
[50:42.000 --> 50:44.000]  but because these just these people are just
[50:44.000 --> 50:46.000]  zombies
[50:46.000 --> 50:48.000]  I guarantee you most of them don't work
[50:48.000 --> 50:50.000]  they sit in front of the television all day
[50:50.000 --> 50:52.000]  they consume all day
[50:52.000 --> 50:54.000]  that's all they want they are here to find out
[50:54.000 --> 50:56.000]  what other free things they can get to consume as well
[50:56.000 --> 50:58.000]  Joe stay there you are doing an incredible job
[50:58.000 --> 51:08.000]  this hour of GCN brought to you by Lysig
[51:08.000 --> 51:10.000]  like us on facebook for a 10% discount
[51:10.000 --> 51:30.000]  call 8705251440 or visit Lysig.com
[51:30.000 --> 51:58.000]  or visit Lysig.com
[51:58.000 --> 52:00.000]  or visit Lysig.com
[52:00.000 --> 52:02.000]  or visit Lysig.com
[52:02.000 --> 52:04.000]  or visit Lysig.com
[52:04.000 --> 52:08.000]  or visit Lysig.com
[52:08.000 --> 52:12.000]  or visit Lysig.com
[52:12.000 --> 52:16.000]  or visit Lysig.com
[52:16.000 --> 52:18.000]  or visit Lysig.com
[52:18.000 --> 52:20.000]  or visit Lysig.com
[52:20.000 --> 52:22.000]  you wouldn't go camping in the Everglades without
[52:22.000 --> 52:24.000]  B Few
[52:24.000 --> 52:30.160]  and debit cards. ID Stronghold.com is a technology company, so we understand how to best protect
[52:30.160 --> 52:36.000]  you against intrusive radio waves. ID Stronghold wallets are designed to block RFID signals,
[52:36.000 --> 52:41.520]  opened or closed, no matter where in the wallet you put your cards. Most other RFID wallets on
[52:41.520 --> 52:46.400]  the market were designed with only fashion in mind and do not shield properly, if at all.
[52:46.400 --> 52:50.320]  When you're shopping for your next wallet, be sure to get the protection you deserve
[52:50.320 --> 52:57.120]  by going to IDstronghold.com because getting anything else is like using latex gloves as oven mitts.
[52:58.880 --> 53:05.920]  Ouch. The human body is more than 60% water. Your brain and muscles are 75% water
[53:06.480 --> 53:12.560]  and your blood is 92% water. Water is vital to your body and alkalizing your water is the key
[53:12.560 --> 53:18.000]  to keep it running at its best. Alcovision plasma pH drops keep your entire body healthy,
[53:18.000 --> 53:24.400]  boosts energy, promotes weight loss, and even fights cancer. Call 800-518-7615
[53:24.400 --> 53:50.400]  or go to alcovision.com to find out more. That's alkavision.com.
[53:55.280 --> 54:06.400]  Defendershield.com, the worldwide leader in mobile radiation shielding.
[54:10.720 --> 54:12.960]  Historic events are taking place.
[54:12.960 --> 54:22.160]  Our will is being broken. Our finances are being destroyed. We're being maneuvered
[54:24.640 --> 54:29.760]  into total control. This is 21st century warfare.
[54:32.080 --> 54:35.840]  And we're not being alarmist here. We have incrementally been brought into this tyranny.
[54:37.680 --> 54:41.120]  I was going to have Robert Kiyosaki, who's a great gas free market guy,
[54:41.120 --> 54:44.800]  on about where he sees the world today. I am going to move him the next week.
[54:47.440 --> 54:58.400]  Because we have the breakdown and the transcript. Richard,
[54:58.400 --> 55:03.040]  can you bring that sheet back in here, please? I thought I had it.
[55:03.040 --> 55:09.760]  But with the quotes, we now have the video clips ready from the hour and a half
[55:10.880 --> 55:19.920]  Justice Department meeting. Thank you. Where it says that the anti-government groups,
[55:19.920 --> 55:23.280]  sovereign citizen movements, are the number one threat.
[55:23.280 --> 55:33.120]  And the same sentence says with attacks on synagogues and mosques.
[55:33.120 --> 55:37.920]  So it's saying that the patriot groups are going to attack mosques, basically, and synagogues.
[55:39.040 --> 55:42.880]  And domestic terrorism initiative announcement, threat of influence on the internet,
[55:42.880 --> 55:47.360]  social media, that'll be the censorship, the strong cities network, federalizing police,
[55:47.360 --> 55:51.360]  circumventing the states. And if your governor stands up against it, or your attorney general,
[55:51.360 --> 55:54.080]  like Texas, they just indict you.
[55:58.880 --> 56:01.840]  The definition of the codebook of domestic terrorism.
[56:01.840 --> 56:06.640]  So Dr. Paul Craig Roberts, former policy head of the department of the treasury,
[56:06.640 --> 56:11.120]  former editor, the editor of the Wall Street Journal, will be joining us on the insanity
[56:11.120 --> 56:24.080]  with Russia and the rest of the world. And man, when you look at the body language of Biden and
[56:24.080 --> 56:29.920]  the attorney general in these meetings, they are just crazed. They are just like, we're coming,
[56:29.920 --> 56:33.520]  we're ready, we're going to fight these people. We're just sitting here going, what are we doing?
[56:33.520 --> 56:36.480]  We just don't want you to bankrupt the country and take our guns. They're like,
[56:36.480 --> 56:41.680]  bitter clingers, we're coming. Remember those Democratic Party internal
[56:41.680 --> 56:46.880]  circulations where they said, don't worry, the Democrats are going to be in power,
[56:46.880 --> 56:50.320]  don't think we're in trouble. There's going to be terror attacks in America
[56:50.960 --> 56:55.600]  before Obama leaves office. This is on Fox News, and the Republicans are going to be blamed.
[56:57.440 --> 57:01.920]  I mean, when there's an attack, folks, they stand to gain. They're framing everybody.
[57:01.920 --> 57:06.880]  I mean, the White House is so evil, and I'm going back to Joe Biggs with us for five more minutes.
[57:09.920 --> 57:15.840]  They're so evil that they've actually launched an initiative with Soros-funded groups
[57:15.840 --> 57:19.680]  who start the chance to kill the pigs, deck the halls with dead cops.
[57:23.680 --> 57:25.520]  I mean, that's who runs the government, people.
[57:25.520 --> 57:32.880]  Do you understand how serious this is? And people are like, well, the cops are corrupt,
[57:32.880 --> 57:39.760]  so what? It's a trap. It's a setup. It's mind control, like projecting and telling the Hispanics
[57:39.760 --> 57:44.240]  that whites all hate them, or saying, because there's some bad cops out there out of three
[57:44.240 --> 57:49.440]  million cops that all the cops are bad. It's all mind control. It's identity politics,
[57:49.440 --> 57:54.240]  putting us in groups, and it puts the cops in groups so they follow their orders,
[57:54.240 --> 57:57.760]  they circle their wagons, and then the bosses tell them, go under the feds,
[57:58.320 --> 58:02.800]  go to the Southern Property Law Center event, go under the UN, and you won't get in trouble
[58:02.800 --> 58:09.520]  if you shoot somebody. They're politically have to join the cult now, or they're going to indict
[58:09.520 --> 58:16.800]  them or kill them. God, this is a sick takeover. I mean, it is just at every level. Listen,
[58:16.800 --> 58:20.640]  I didn't plug anything in the shower, and we need funds around this operation. I've got great water
[58:20.640 --> 58:26.480]  filters, free shipping, and 10% off. We've got supermobile vitalities back after being out for
[58:26.480 --> 58:33.200]  months. We've got 20% off the methylcobalamin, vitamin B12. We've got 10% off and free shipping
[58:33.200 --> 58:39.920]  on the storeable food. That's over the top. Infowarsstore.com, infowarslife.com, or 888-2533139.
[58:39.920 --> 58:44.320]  We need your support. Thank you. Second hour coming up. I know it's a scary show, folks. It's
[58:44.320 --> 58:50.880]  real. Believe me. Imagine being me, man. They're going to come. Listen, I'm a major target.
[59:14.720 --> 59:21.200]  material with type 3 hard coding. Bolt carrier group for 308 and 556 ARs. Custom
[59:21.200 --> 59:27.120]  kydex holsters. Ideal for concealed carry with.080 thick kydex to ensure durability.
[59:27.120 --> 59:33.840]  Most competitors material use.060. Configure yours today at hdfirearms.com. And my favorite,
[59:33.840 --> 59:39.600]  single stage trigger, a home run upgrade for your AR15 and AR10 platforms. Find out more at
[59:39.600 --> 59:50.560]  hdfirearms.com today or call 770-485-7015. That's hdfirearms.com or call 770-485-7015.
[59:53.120 --> 59:55.840]  You're listening to the Alex Jones show.
[59:55.840 --> 01:00:08.800]  All right, Alex Jones, you're alive. Let's fade this down.
[01:00:09.760 --> 01:00:14.320]  During the break, security started coming over to Joe Biggs and the crew, the camera person.
[01:00:14.880 --> 01:00:21.280]  Didn't matter, Josh, go with him today. Michael's down there. Great. And our new camera guy doing
[01:00:21.280 --> 01:00:24.480]  a great job. And so they're now circling. They're inside the Hillary event at one of the city
[01:00:24.480 --> 01:00:29.360]  community centers. He got a pass. They let him in. Will they throw him out now? Because he doesn't
[01:00:29.360 --> 01:00:33.840]  agree with her lord and savior and might actually do some real coverage. Joe Biggs, what's happening?
[01:00:34.800 --> 01:00:38.720]  So there's different guys. Every time I turn around, there's a different cop hiding behind a
[01:00:38.720 --> 01:00:44.160]  bush. Everybody is staring at me. The Secret Service keeps, they keep walking around and
[01:00:44.800 --> 01:00:48.240]  you'll see them peek around to see what I'm doing. You know, they know exactly who I am.
[01:00:49.040 --> 01:00:52.080]  And it's going to be interesting to see what happens. I think they're all just kind of like
[01:00:52.080 --> 01:00:55.760]  trying to get a perimeter around me to see what kind of hijinks I'm going to pull,
[01:00:55.760 --> 01:00:59.200]  which obviously I am because I mean, that's what I do. But, uh,
[01:00:59.200 --> 01:01:01.760]  But nothing illegal. I mean, I mean, you're just there to cover it.
[01:01:01.760 --> 01:01:02.560]  Well, no, no, no.
[01:01:02.560 --> 01:01:05.600]  And you're there so they can try to arrest you and look like tyrants they are.
[01:01:06.480 --> 01:01:10.400]  The guy at the front gate obviously didn't know how to do his job. That's his own fault.
[01:01:10.400 --> 01:01:13.920]  So if anybody is to blame, it'll be that guy. I'm not on the list.
[01:01:13.920 --> 01:01:17.280]  Well, no, I mean, the guy's not being a tyrant, Joe. I mean, they let you in.
[01:01:17.280 --> 01:01:23.440]  Yeah. And I even got this completely horrible Hillary Clinton Stalin t-shirt
[01:01:24.800 --> 01:01:28.400]  with my credentialed Hillary Clinton pass that, uh,
[01:01:29.600 --> 01:01:32.240]  and I have some posters and some goodies for us to bring back.
[01:01:32.240 --> 01:01:37.840]  Don't you love how Obama and her always copy communist iconography? I mean, it's so in our face.
[01:01:37.840 --> 01:01:41.360]  Hey, listen, look, come here, get another shot of this. I mean, this is just out of control.
[01:01:41.360 --> 01:01:42.320]  You got to get this picture.
[01:01:42.960 --> 01:01:43.760]  Oh, we've been showing it.
[01:01:43.760 --> 01:01:49.520]  It's just reminds me of watching like an old war movie when they're
[01:01:51.280 --> 01:01:53.360]  overseas. It's just I can't believe it.
[01:01:53.920 --> 01:01:57.120]  Can you believe they say that they're going to have a war with the Patriots?
[01:01:57.120 --> 01:01:58.240]  They're really going to do it, Joe.
[01:01:58.960 --> 01:02:04.080]  I mean, this and then they'll sit back in DC and in London and in New York,
[01:02:04.080 --> 01:02:06.880]  you know, in places while all this goes on. I mean,
[01:02:06.880 --> 01:02:09.360]  do you really think the military and the police are going to follow these orders
[01:02:09.360 --> 01:02:11.040]  and buy into the stuff they're going to pull?
[01:02:11.040 --> 01:02:15.040]  I'm sure there's always going to be a few red coats or a few turn coats.
[01:02:15.040 --> 01:02:18.480]  We're going to, uh, you know, uh, just follow orders and, you know,
[01:02:18.480 --> 01:02:20.320]  be bootlickers and do what they have to do.
[01:02:20.320 --> 01:02:24.480]  But I would have to say, you know, 90%, 95, probably even more than that.
[01:02:24.480 --> 01:02:26.720]  We're going to, you know, look at this guy, look at that order.
[01:02:26.720 --> 01:02:28.880]  Whenever it comes down to go, you know, it's screw you.
[01:02:28.880 --> 01:02:31.760]  I'm going over here. I'm staying with my people.
[01:02:31.760 --> 01:02:32.960]  I'm not going to follow those orders.
[01:02:32.960 --> 01:02:37.360]  I mean, we keep seeing sheriff after sheriff across the country stand up and come out and
[01:02:37.360 --> 01:02:41.440]  publicly state, make a YouTube video or, uh, have that's right. And that's the answer.
[01:02:41.440 --> 01:02:46.720]  You enemies, you, you, you serpers, you scum can't get us all. That's the key.
[01:02:47.440 --> 01:02:50.320]  Yeah. Everyone starting to speak out, you know, and it's good when you have these
[01:02:50.320 --> 01:02:52.880]  sheriffs coming out and saying, Hey, I'm going to follow the Constitution.
[01:02:52.880 --> 01:02:56.640]  If you give me an unlawful order, I will not follow it. I will not go out.
[01:02:56.640 --> 01:03:00.080]  I will not take people's guns. I will not pay force people to do, you know,
[01:03:00.080 --> 01:03:02.320]  something that's against the Constitution. And that's great.
[01:03:02.320 --> 01:03:05.760]  It's great that these sheriffs are coming out like the ones in Houston,
[01:03:05.760 --> 01:03:09.520]  the ones all across like, uh, and they're going to try to demoralize this and tell us
[01:03:09.520 --> 01:03:13.120]  we're losing if the civil war kicks off. We're not losing. We're winning.
[01:03:13.120 --> 01:03:16.560]  Always remember that as long as you're fighting back in the info war
[01:03:16.560 --> 01:03:20.960]  and defending yourself, if you have to, you're winning resistance is victory. Joe, isn't it?
[01:03:21.600 --> 01:03:23.360]  Well, look at this though. I want to show it really quick.
