[00:00.000 --> 00:02.000]  You've got it
[33:07.360 --> 33:17.360]  Network
[33:17.360 --> 33:37.360]  Music
[33:37.360 --> 33:39.360]  Yeah America has gone numb to corruption
[33:39.360 --> 33:41.360]  to the point of on BBC
[33:41.360 --> 33:43.360]  Fox News, ABC News
[33:43.360 --> 33:45.360]  I've played all the clips here
[33:45.360 --> 33:47.360]  I've been to a search engine
[33:47.360 --> 33:49.360]  news admits troops growing opium
[33:49.360 --> 33:51.360]  they go yeah we're ordered to grow the opium
[33:51.360 --> 33:53.360]  and then it shipped out of the country we don't know where it goes
[33:53.360 --> 33:55.360]  it's just gone up 13 fold
[33:55.360 --> 33:57.360]  from what it was 10 years ago
[33:57.360 --> 33:59.360]  when the liberation began
[33:59.360 --> 34:01.360]  $500 billion a year of heroin
[34:01.360 --> 34:03.360]  refined out of it and shipped worldwide
[34:03.360 --> 34:05.360]  America
[34:05.360 --> 34:07.360]  is run by corrupt interest
[34:07.360 --> 34:09.360]  2 megabanks got caught last year
[34:09.360 --> 34:11.360]  last December
[34:11.360 --> 34:13.360]  a year ago now
[34:13.360 --> 34:15.360]  laundering
[34:15.360 --> 34:17.360]  $376 billion
[34:17.360 --> 34:19.360]  in narcotics money
[34:19.360 --> 34:21.360]  out of the $500 billion
[34:21.360 --> 34:23.360]  here industry again just here in the US
[34:23.360 --> 34:25.360]  it's $500 billion in opium worldwide
[34:25.360 --> 34:27.360]  our own government says
[34:27.360 --> 34:29.360]  the government has been taken
[34:29.360 --> 34:31.360]  over by criminals this is what
[34:31.360 --> 34:33.360]  happens over and over again
[34:33.360 --> 34:35.360]  but here's the good news
[34:35.360 --> 34:37.360]  they wouldn't be coming out and openly
[34:37.360 --> 34:39.360]  saying okay we are going to start
[34:39.360 --> 34:41.360]  shutting down talk radio and bring
[34:41.360 --> 34:43.360]  back the fairness doctrine
[34:43.360 --> 34:45.360]  okay we are going to not let people criticize the government
[34:45.360 --> 34:47.360]  okay we are going to turn
[34:47.360 --> 34:49.360]  the Pentagon Lush
[34:49.360 --> 34:51.360]  and the private mercenary companies
[34:51.360 --> 34:53.360]  over 200 of them hired to wage
[34:53.360 --> 34:55.360]  offensive internet war
[34:55.360 --> 34:57.360]  on detractors of our agenda
[34:57.360 --> 34:59.360]  that means if you're not a globalist trader
[34:59.360 --> 35:01.360]  the reason
[35:01.360 --> 35:03.360]  we get hack attacks
[35:03.360 --> 35:05.360]  all the time out of department of defense
[35:05.360 --> 35:07.360]  and all sorts of dirty tricks the reason that
[35:07.360 --> 35:09.360]  happens is because they're scared to death
[35:09.360 --> 35:11.360]  because 74%
[35:11.360 --> 35:13.360]  of all donations
[35:13.360 --> 35:15.360]  from the military for both parties
[35:15.360 --> 35:17.360]  for presidential candidates
[35:17.360 --> 35:19.360]  go to Ron Paul
[35:19.360 --> 35:21.360]  because the military loves my radio show
[35:21.360 --> 35:23.360]  because they're average men and women
[35:23.360 --> 35:25.360]  who join for the right reasons
[35:25.360 --> 35:27.360]  and they know what I'm saying is the truth
[35:27.360 --> 35:29.360]  because they're in there getting the training for riot control
[35:29.360 --> 35:31.360]  and gun confiscation
[35:31.360 --> 35:33.360]  and they're good people
[35:33.360 --> 35:35.360]  and they know what's going on
[35:35.360 --> 35:37.360]  and so you bet they're in news week
[35:37.360 --> 35:39.360]  magazine and the hill
[35:39.360 --> 35:41.360]  all over the news admitting
[35:41.360 --> 35:43.360]  oh yeah the government's getting ready to shut down free speech
[35:43.360 --> 35:45.360]  why because we're
[35:45.360 --> 35:47.360]  destroying them
[35:47.360 --> 35:49.360]  we're defeating the small criminal group
[35:49.360 --> 35:51.360]  like John Corzine
[35:51.360 --> 35:53.360]  former head of Goldman Sachs
[35:53.360 --> 35:55.360]  that's the head of the new world order
[35:55.360 --> 35:57.360]  sets up his own MF global makes a 40 to one bet
[35:57.360 --> 35:59.360]  Goldman Sachs
[35:59.360 --> 36:01.360]  is told by its owner
[36:01.360 --> 36:03.360]  because it was just basically
[36:03.360 --> 36:05.360]  a front group again for JP Morgan
[36:05.360 --> 36:07.360]  a subsidiary of that MF global
[36:07.360 --> 36:09.360]  you give us that money
[36:09.360 --> 36:11.360]  it disappears out of the private customer accounts
[36:11.360 --> 36:13.360]  and Corzine now last week
[36:13.360 --> 36:15.360]  in Congress got caught
[36:15.360 --> 36:17.360]  when the head of the biggest commodity trading group
[36:17.360 --> 36:19.360]  the CMT went public
[36:19.360 --> 36:21.360]  we played the clip
[36:21.360 --> 36:23.360]  Financial Times of London ran with it as well
[36:23.360 --> 36:25.360]  and said Corzine did know
[36:25.360 --> 36:27.360]  and did direct the private accounts to be taken
[36:27.360 --> 36:29.360]  after he'd perjured himself
[36:29.360 --> 36:31.360]  before two committees
[36:31.360 --> 36:33.360]  he's at the highest level of government
[36:33.360 --> 36:35.360]  top Obama's
[36:35.360 --> 36:37.360]  advisor, former New Jersey governor
[36:37.360 --> 36:39.360]  former head of Goldman Sachs
[36:39.360 --> 36:41.360]  that's as high level as it gets
[36:41.360 --> 36:43.360]  and he's a common
[36:43.360 --> 36:45.360]  crook
[36:45.360 --> 36:47.360]  he's a common crook just like Bernie Madoff
[36:47.360 --> 36:49.360]  who founded the Nasdaq
[36:51.360 --> 36:53.360]  Ken Lay
[36:53.360 --> 36:55.360]  who came up with carbon taxes
[36:55.360 --> 36:57.360]  and all the stuff with Al Gore in meetings
[36:57.360 --> 36:59.360]  a common crook
[36:59.360 --> 37:01.360]  they're crooks
[37:01.360 --> 37:03.360]  and you go study who's funding
[37:03.360 --> 37:05.360]  the Ford Foundation
[37:05.360 --> 37:07.360]  who's funding RAND Corporation
[37:07.360 --> 37:09.360]  who's putting out these reports
[37:09.360 --> 37:11.360]  it's those very same companies
[37:11.360 --> 37:13.360]  they're the ones lobbying
[37:13.360 --> 37:15.360]  and giving money to pass NDAA
[37:15.360 --> 37:17.360]  of course
[37:17.360 --> 37:19.360]  foreign crook banks want the army
[37:19.360 --> 37:21.360]  on the streets
[37:21.360 --> 37:23.360]  what do you think they do
[37:23.360 --> 37:25.360]  it came out in 2002 when the BBC
[37:25.360 --> 37:27.360]  got the IMF World Bank documents
[37:27.360 --> 37:29.360]  when Joseph Stiklitz left
[37:29.360 --> 37:31.360]  first we take over and buy off both parties
[37:31.360 --> 37:33.360]  or all three parties in a third world country
[37:33.360 --> 37:35.360]  or a first world country or an old world country
[37:35.360 --> 37:37.360]  and then we implode the economy
[37:37.360 --> 37:39.360]  and then people get mad and
[37:39.360 --> 37:41.360]  once there's a revolution we try to bring in Marshall law
[37:41.360 --> 37:43.360]  and that further destroys things
[37:43.360 --> 37:45.360]  and they've got a plan for us
[37:47.360 --> 37:49.360]  and there's no reason
[37:49.360 --> 37:51.360]  it has to happen
[37:53.360 --> 37:55.360]  Ron Paul being number one, number two and number three
[37:55.360 --> 37:57.360]  and all polls combined
[37:57.360 --> 37:59.360]  in second place I've been telling you for six months
[37:59.360 --> 38:01.360]  the media now admits that
[38:03.360 --> 38:05.360]  the fact that he is in second place
[38:05.360 --> 38:07.360]  despite all the demonization
[38:07.360 --> 38:09.360]  and everything else shows you
[38:09.360 --> 38:11.360]  is a bellwether or a barometer
[38:11.360 --> 38:13.360]  or a gauge like in your car
[38:13.360 --> 38:15.360]  for the temperatures rising
[38:15.360 --> 38:17.360]  of the people
[38:17.360 --> 38:19.360]  this is a guy who understands it
[38:19.360 --> 38:21.360]  who does the real research
[38:21.360 --> 38:23.360]  weekly standard says he sounds
[38:23.360 --> 38:25.360]  just like Alex Jones, of course he does
[38:25.360 --> 38:27.360]  he's reading the same globalist documents
[38:27.360 --> 38:29.360]  I can't tell you how refreshing it is
[38:31.360 --> 38:33.360]  to have a Lord Moncton on
[38:33.360 --> 38:35.360]  or a Ron Paul on or someone who's a
[38:35.360 --> 38:37.360]  true scholar like I am who spends
[38:37.360 --> 38:39.360]  countless hours studying
[38:39.360 --> 38:41.360]  and I can say something and they finish my sentence
[38:41.360 --> 38:43.360]  up to date info
[38:43.360 --> 38:45.360]  people who know what they're talking about
[38:49.360 --> 38:51.360]  so again
[38:51.360 --> 38:53.360]  I'm going to warn everybody right now
[38:53.360 --> 38:55.360]  that we are at a historic crossroads
[38:55.360 --> 38:57.360]  remember just three weeks ago
[38:57.360 --> 38:59.360]  oh it's not true they're not going to use the army
[38:59.360 --> 39:01.360]  on the streets of America and the rest of American citizens
[39:01.360 --> 39:03.360]  and Obama's going to veto
[39:03.360 --> 39:05.360]  then they said okay it is in there
[39:05.360 --> 39:07.360]  but don't worry Obama's going to veto
[39:07.360 --> 39:09.360]  what the ACLU said
[39:09.360 --> 39:11.360]  and I said here's his letters to congress
[39:11.360 --> 39:13.360]  they're in the congressional record saying
[39:13.360 --> 39:15.360]  that he wants the pure power
[39:15.360 --> 39:17.360]  himself and they changed it and gave it to him
[39:17.360 --> 39:19.360]  he says he's going to sign it
[39:19.360 --> 39:21.360]  said he'd sign it Thursday he hadn't signed it yet
[39:21.360 --> 39:23.360]  unconstitutional robot signer
[39:23.360 --> 39:25.360]  that robo signer just like the big banks do
[39:25.360 --> 39:27.360]  to take your house that they don't own
[39:27.360 --> 39:29.360]  and remember ten years ago I was a conspiracy
[39:29.360 --> 39:31.360]  theorist having insiders on tell you
[39:31.360 --> 39:33.360]  that now it's admitted I mean
[39:33.360 --> 39:35.360]  you better start listening to me
[39:35.360 --> 39:37.360]  I don't watch football
[39:37.360 --> 39:39.360]  I don't
[39:39.360 --> 39:41.360]  screw around with my hair all day
[39:41.360 --> 39:43.360]  I don't run around acting trendy
[39:43.360 --> 39:45.360]  with my buddies and acting tough
[39:45.360 --> 39:47.360]  I spend my time researching
[39:47.360 --> 39:49.360]  I'm going to tell you again
[39:49.360 --> 39:51.360]  I know what I'm talking about
[39:51.360 --> 39:53.360]  you're in peril not listening to every word
[39:53.360 --> 39:55.360]  I tell you and I'm talking to new listeners
[39:57.360 --> 39:59.360]  we're all in peril
[39:59.360 --> 40:01.360]  I'm not up here risking my life my name
[40:01.360 --> 40:03.360]  my treasure my family folks
[40:03.360 --> 40:05.360]  because
[40:05.360 --> 40:07.360]  I don't think and know we can win
[40:07.360 --> 40:09.360]  and losing to these people
[40:09.360 --> 40:11.360]  a high tech eugenics based
[40:11.360 --> 40:13.360]  population reduction control freak
[40:13.360 --> 40:15.360]  system
[40:15.360 --> 40:17.360]  that's not an option if this was
[40:17.360 --> 40:19.360]  some boss hog corruption
[40:19.360 --> 40:21.360]  business as usual I wouldn't be so frantic
[40:21.360 --> 40:23.360]  it'd be a problem
[40:23.360 --> 40:25.360]  I'd say get involved in your government
[40:25.360 --> 40:27.360]  that was 30 40 years ago
[40:27.360 --> 40:29.360]  we've got really
[40:29.360 --> 40:31.360]  virulent tyranny with a bunch of control freaks
[40:31.360 --> 40:33.360]  who've never lost and who
[40:33.360 --> 40:35.360]  are very arrogant and who want
[40:35.360 --> 40:37.360]  global domination and want us to pay
[40:37.360 --> 40:39.360]  for it and fight for it
[40:39.360 --> 40:41.360]  and let me tell you you see the fruits
[40:41.360 --> 40:43.360]  of the new world order it isn't good
[40:43.360 --> 40:45.360]  you like it so far
[40:45.360 --> 40:47.360]  if talk show host across this country
[40:47.360 --> 40:49.360]  and prominent media people
[40:49.360 --> 40:51.360]  would all just start rebelling
[40:51.360 --> 40:53.360]  and start telling the truth because I know
[40:53.360 --> 40:55.360]  you're not stupid men and women we turn this
[40:55.360 --> 40:57.360]  around very quickly I know you get threatened
[40:57.360 --> 40:59.360]  with firing and the rest of it but if you all
[40:59.360 --> 41:01.360]  start rebelling and by the way I put this call
[41:01.360 --> 41:03.360]  out more and more I'm seeing it happen
[41:03.360 --> 41:05.360]  I'm not going to name names but I see it across
[41:05.360 --> 41:07.360]  the board good
[41:07.360 --> 41:09.360]  even if you're evil and corrupt you know
[41:09.360 --> 41:11.360]  you don't have a seat at this table in the new world
[41:11.360 --> 41:13.360]  order where it's going your own self
[41:13.360 --> 41:15.360]  preservation says you've got to fight this
[41:15.360 --> 41:17.360]  you know what your gut
[41:17.360 --> 41:19.360]  you know it intellectually you know I'm
[41:19.360 --> 41:21.360]  right so stand with humanity
[41:21.360 --> 41:23.360]  stand with the people and wake up
[41:23.360 --> 41:25.360]  so first I go through this
[41:25.360 --> 41:27.360]  exercise of explaining
[41:27.360 --> 41:29.360]  no it really does affect citizens here's clips
[41:29.360 --> 41:31.360]  of senators and people saying it
[41:31.360 --> 41:33.360]  here's the text then
[41:33.360 --> 41:35.360]  Obama's going to save us that was so people
[41:35.360 --> 41:37.360]  wouldn't lobby against it and stop it I'm like no
[41:37.360 --> 41:39.360]  he's going to sign it now he says he's going to sign
[41:39.360 --> 41:41.360]  it but in case you're a new
[41:41.360 --> 41:43.360]  listener
[41:43.360 --> 41:45.360]  let me just play one of four or five clips
[41:45.360 --> 41:47.360]  that are at info wars.com
[41:47.360 --> 41:49.360]  in the article presidential front runner warren's
[41:49.360 --> 41:51.360]  martial law being established in America
[41:51.360 --> 41:53.360]  the video of Ron Paul right there
[41:53.360 --> 41:55.360]  on our show breaking it down
[41:55.360 --> 41:57.360]  and I have the clips
[41:57.360 --> 41:59.360]  of the other senators saying it there
[41:59.360 --> 42:01.360]  but here is senator Carl
[42:01.360 --> 42:03.360]  Levin the author
[42:03.360 --> 42:05.360]  of the bill
[42:05.360 --> 42:07.360]  telling another senator hey don't gripe
[42:07.360 --> 42:09.360]  at me Obama asked for this
[42:09.360 --> 42:11.360]  okay
[42:11.360 --> 42:13.360]  and no wonder people can't
[42:13.360 --> 42:15.360]  figure out politics this is the deception
[42:15.360 --> 42:17.360]  you've got to wallow through four or five
[42:17.360 --> 42:19.360]  layers of it every time
[42:19.360 --> 42:21.360]  we're going to go to break and come back with this video
[42:21.360 --> 42:23.360]  but
[42:23.360 --> 42:25.360]  ladies and gentlemen
[42:25.360 --> 42:27.360]  I knew their game plan I know their plays
[42:27.360 --> 42:29.360]  so well like it's football
[42:29.360 --> 42:31.360]  that I said they're they just introduced
[42:31.360 --> 42:33.360]  this bill they're going to claim it's not in there
[42:33.360 --> 42:35.360]  then they're going to claim I said this three weeks ago that Obama's going to veto it
[42:35.360 --> 42:37.360]  but he's not going to veto it
[42:37.360 --> 42:39.360]  and sure enough
[42:39.360 --> 42:41.360]  now that they pass it they go yeah it affects citizens
[42:41.360 --> 42:43.360]  yeah the army's going to start being on the streets
[42:43.360 --> 42:45.360]  well of course they're going to start being on the streets
[42:45.360 --> 42:47.360]  the bankers are all going to go to prison
[42:47.360 --> 42:49.360]  if they don't have a stage civil emergency
[42:49.360 --> 42:51.360]  and a takeover and ban free speech
[42:51.360 --> 42:53.360]  in this country
[42:53.360 --> 42:55.360]  I mean you got that they're going for
[42:55.360 --> 42:57.360]  broke they're all in
[42:57.360 --> 42:59.360]  and I've been to the urban warfare drills where they've been training for it
[43:01.360 --> 43:03.360]  hi folks this is Alex Jones I'm looking
[43:03.360 --> 43:05.360]  for people that have the wisdom to spot savings
[43:05.360 --> 43:07.360]  opportunity
[43:07.360 --> 43:09.360]  and recognize risk saving means to make money
[43:09.360 --> 43:11.360]  the cow been pure soap company
[43:11.360 --> 43:13.360]  can save you thousands of dollars
[43:13.360 --> 43:15.360]  and give you good old-fashioned real soaps
[43:15.360 --> 43:17.360]  that are triple concentrated
[43:17.360 --> 43:19.360]  and twice as good as what you're using now
[43:19.360 --> 43:21.360]  soaps made from vegetable and coconut
[43:21.360 --> 43:23.360]  oils that contain no useless
[43:23.360 --> 43:25.360]  dyes perfumes deodorants
[43:25.360 --> 43:27.360]  or antibacterials your risk
[43:27.360 --> 43:29.360]  is the hundreds of hazardous toxic detergents
[43:29.360 --> 43:31.360]  that give you rashes itching
[43:31.360 --> 43:33.360]  sores and a terror
[43:33.360 --> 43:35.360]  creating clothing called lint
[43:35.360 --> 43:37.360]  if you want something better
[43:37.360 --> 43:39.360]  if you want something you've never had before
[43:39.360 --> 43:41.360]  you have to do something you've never done before
[43:41.360 --> 43:43.360]  getting a free catalog is easy
[43:43.360 --> 43:45.360]  by calling 800-340-7091
[43:45.360 --> 43:47.360]  or see Calvin on the web
[43:47.360 --> 43:49.360]  at 5starsoap.com
[43:49.360 --> 43:51.360]  take charge of your health now
[43:51.360 --> 43:53.360]  by calling 800-340-7091
[43:53.360 --> 43:55.360]  or see Calvin on the web
[43:55.360 --> 44:05.360]  at 5starsoap.com
[44:25.360 --> 44:27.360]  you'll find unbeatable deals
[44:27.360 --> 44:29.360]  on emergency backup power
[44:29.360 --> 44:31.360]  herb and vegetable seeds
[44:31.360 --> 44:33.360]  dehydrated foods emergency evacuation packs
[44:33.360 --> 44:35.360]  solar ovens gun safes
[44:35.360 --> 44:37.360]  and a host of truly unique stocking stuffers
[44:37.360 --> 44:39.360]  in these hard times why not give a gift
[44:39.360 --> 44:41.360]  that really counts
[44:41.360 --> 44:43.360]  a gift that could truly make a difference
[44:43.360 --> 44:45.360]  go to offthegridchristmas.com
[44:45.360 --> 44:47.360]  and our Christmas video highlighting
[44:47.360 --> 44:49.360]  perfect gifts for the off the grid fans
[44:49.360 --> 44:51.360]  in your family unbeatable gear
[44:51.360 --> 44:53.360]  unbeatable prices no more search
[44:53.360 --> 44:55.360]  offthegridchristmas.com
[44:55.360 --> 45:24.360]  that's offthegridchristmas.com
[45:25.360 --> 45:27.360]  it also comes equipped with the proper
[45:27.360 --> 45:29.360]  applicators and devices needed
[45:29.360 --> 45:31.360]  to deliver your silver solutions
[45:31.360 --> 45:33.360]  directly to key target areas
[45:33.360 --> 45:35.360]  this includes the eyes
[45:35.360 --> 45:37.360]  ears, nose, lungs
[45:37.360 --> 45:39.360]  topically to the skin
[45:39.360 --> 45:41.360]  and orally for the digestive system
[45:41.360 --> 45:43.360]  be sure to watch our new 7 minute
[45:43.360 --> 45:45.360]  video tour of the silver lung system
[45:45.360 --> 45:47.360]  at www.silverlungs.com
[45:47.360 --> 45:49.360]  to learn more about
[45:49.360 --> 45:51.360]  how the silver lung system works
[45:51.360 --> 45:53.360]  as well we are always
[45:53.360 --> 45:55.360]  ready to answer any questions you may have
[45:55.360 --> 45:59.360]  that's www.silverlungs.com
[45:59.360 --> 46:01.360]  Hi this is Alex Jones
[46:01.360 --> 46:03.360]  this holiday season more than
[46:03.360 --> 46:05.360]  half of our nation is in need of help
[46:05.360 --> 46:07.360]  due to the shattered economy
[46:07.360 --> 46:09.360]  so now is the time to express
[46:09.360 --> 46:11.360]  the holiday spirit more than ever
[46:11.360 --> 46:13.360]  consider helping those you love
[46:13.360 --> 46:15.360]  with the most important gift
[46:15.360 --> 46:17.360]  a supply of delicious, easy to fix
[46:17.360 --> 46:19.360]  and very storable foods
[46:19.360 --> 46:21.360]  from efoodsdirect.com
[46:21.360 --> 46:23.360]  their holiday gift and family pack
[46:23.360 --> 46:25.360]  started $99
[46:25.360 --> 46:27.360]  for a 16 day supply
[46:27.360 --> 46:29.360]  all their 5 week supply of quick and easy
[46:29.360 --> 46:31.360]  to fix meals includes a personal backpack
[46:31.360 --> 46:33.360]  in case of a grab and go emergency
[46:33.360 --> 46:35.360]  order their combo gift pack
[46:35.360 --> 46:37.360]  and you'll save hundreds
[46:37.360 --> 46:39.360]  plus get free shipping on your entire order
[46:39.360 --> 46:41.360]  call efoods today
[46:41.360 --> 46:43.360]  at 800-409-5633
[46:43.360 --> 46:45.360]  or visit them online
[46:45.360 --> 46:47.360]  at efoodsdirect.com
[46:47.360 --> 46:49.360]  forward slash Alex to find the special
[46:49.360 --> 46:51.360]  that's 800-409-5633
[46:51.360 --> 46:53.360]  or efoodsdirect.com
[46:53.360 --> 46:55.360]  forward slash Alex
[46:55.360 --> 46:57.360]  you can bet your life
[46:57.360 --> 47:21.360]  on efoodsdirect.com
[47:27.360 --> 47:29.360]  I know that a lot of people feel powerless
[47:29.360 --> 47:31.360]  and they hear this type of news
[47:31.360 --> 47:33.360]  and they think what do we do
[47:33.360 --> 47:35.360]  you become aware of it
[47:35.360 --> 47:37.360]  you learn how the global system works
[47:37.360 --> 47:39.360]  you decide that being informed
[47:39.360 --> 47:41.360]  is important
[47:41.360 --> 47:43.360]  and you realize that most media
[47:43.360 --> 47:45.360]  gives you different flavors
[47:45.360 --> 47:47.360]  of spin and bull
[47:47.360 --> 47:49.360]  but more and more because
[47:49.360 --> 47:51.360]  the private corporate world government
[47:51.360 --> 47:53.360]  is out in the open
[47:53.360 --> 47:55.360]  they don't even deny it now
[47:55.360 --> 47:57.360]  in fact things are so bad
[47:57.360 --> 47:59.360]  we're seeing
[47:59.360 --> 48:01.360]  horrified responses to what's happening
[48:01.360 --> 48:03.360]  from even powerful institutions
[48:03.360 --> 48:05.360]  and I'm going to get to some of that in a moment
[48:07.360 --> 48:09.360]  look at these headlines the hill
[48:09.360 --> 48:11.360]  internet piracy bill
[48:11.360 --> 48:13.360]  a free speech kill switch
[48:13.360 --> 48:15.360]  here's AP
[48:15.360 --> 48:17.360]  internet architects oppose
[48:17.360 --> 48:19.360]  US online privacy bill
[48:19.360 --> 48:21.360]  another headline
[48:21.360 --> 48:25.360]  this is the Chinese model of censorship
[48:25.360 --> 48:27.360]  the father of the internet
[48:27.360 --> 48:29.360]  and we're not talking about Al Gore
[48:29.360 --> 48:31.360]  the real inventors
[48:31.360 --> 48:33.360]  if the US begins
[48:33.360 --> 48:35.360]  its use of
[48:35.360 --> 48:37.360]  central position in the network
[48:37.360 --> 48:39.360]  for censorship that advances
[48:39.360 --> 48:41.360]  its political and economic agenda
[48:41.360 --> 48:43.360]  the consequences will be far reaching
[48:43.360 --> 48:45.360]  and destructive that's AP
[48:45.360 --> 48:47.360]  AFP
[48:47.360 --> 48:49.360]  NDAA bill aims to suppress internet freedom
[48:49.360 --> 48:51.360]  here's another one
[48:51.360 --> 48:53.360]  congress declares offensive war on the internet
[48:53.360 --> 48:55.360]  and NDAA
[48:55.360 --> 48:57.360]  listen to the NDAA national defense authorization act
[48:57.360 --> 48:59.360]  which already has all four branches of the military
[48:59.360 --> 49:01.360]  meaning the private contractors that run it
[49:01.360 --> 49:03.360]  section 954
[49:03.360 --> 49:05.360]  of the NDAA
[49:05.360 --> 49:07.360]  titled military activities in cyberspace
[49:07.360 --> 49:09.360]  receive no debate in congress as well
[49:09.360 --> 49:11.360]  as in the media
[49:11.360 --> 49:13.360]  the section states clearly quote
[49:13.360 --> 49:15.360]  congress affirms the department of defense
[49:15.360 --> 49:17.360]  has the capability and upon direction
[49:17.360 --> 49:19.360]  may conduct offensive operations
[49:19.360 --> 49:21.360]  in cyberspace to defend our nation
[49:21.360 --> 49:23.360]  allies and interest
[49:23.360 --> 49:25.360]  offensive, preemptive
[49:25.360 --> 49:27.360]  and you find out about what these generals have been saying for years
[49:27.360 --> 49:29.360]  they call it sock puppets
[49:29.360 --> 49:31.360]  and megathones
[49:31.360 --> 49:33.360]  they've got fake programs already disseminating
[49:33.360 --> 49:35.360]  disinfo, engaging in domestic propaganda
[49:35.360 --> 49:37.360]  and attacking
[49:37.360 --> 49:39.360]  websites and groups that don't agree
[49:39.360 --> 49:41.360]  with quote America's agenda
[49:41.360 --> 49:43.360]  that means the
[49:43.360 --> 49:45.360]  made off banker types that run our country's
[49:45.360 --> 49:47.360]  agenda
[49:47.360 --> 49:49.360]  and remember that
[49:49.360 --> 49:51.360]  remember that
[49:51.360 --> 49:53.360]  to simplify this
[49:53.360 --> 49:55.360]  it's a bunch of Kinley, Bernie made off
[49:55.360 --> 49:57.360]  John Corzine crooks
[49:57.360 --> 49:59.360]  people even worse than them
[49:59.360 --> 50:01.360]  that run this
[50:01.360 --> 50:03.360]  and are the ones setting this up
[50:03.360 --> 50:05.360]  and they created 1.5
[50:05.360 --> 50:07.360]  quadrillion
[50:07.360 --> 50:09.360]  1500
[50:09.360 --> 50:11.360]  trillion conservatively
[50:11.360 --> 50:13.360]  Washington Post says 654
[50:13.360 --> 50:15.360]  trillion of that is quote America's debt
[50:15.360 --> 50:17.360]  now your own personal debt
[50:17.360 --> 50:19.360]  government debt everything combined is 14.5
[50:19.360 --> 50:21.360]  trillion
[50:21.360 --> 50:23.360]  they've got you convinced that you're going to be debtor slaves because of that
[50:23.360 --> 50:25.360]  and meanwhile
[50:25.360 --> 50:27.360]  there's 600 plus trillion
[50:27.360 --> 50:29.360]  they say we've signed on to
[50:29.360 --> 50:31.360]  because it's their debt they create the derivatives
[50:31.360 --> 50:33.360]  buy up the world through the fraud
[50:33.360 --> 50:35.360]  the Ponzi scheme but they don't go to jail
[50:35.360 --> 50:37.360]  they just turn America and the rest of the world
[50:37.360 --> 50:39.360]  into a jail
[50:39.360 --> 50:41.360]  they finance al-Qaeda to start overthrowing
[50:41.360 --> 50:43.360]  those other countries all over the Middle East
[50:43.360 --> 50:45.360]  call it democracy as they stone and beat women
[50:45.360 --> 50:47.360]  and tell you
[50:47.360 --> 50:49.360]  to give your rights up where al-Qaeda will get you
[50:49.360 --> 50:51.360]  when they get al-Qaeda on the airplanes that protect them
[50:53.360 --> 50:55.360]  this is full spectrum dominance
[50:55.360 --> 50:57.360]  these global bankers control al-Qaeda
[50:57.360 --> 50:59.360]  and they use it to menace us
[50:59.360 --> 51:01.360]  so that we then give up our liberties
[51:01.360 --> 51:03.360]  be a little more sophisticated okay folks
[51:03.360 --> 51:05.360]  if you're a new listener
[51:05.360 --> 51:07.360]  figure out why the bankers are able to take over
[51:07.360 --> 51:09.360]  can you figure that out
[51:09.360 --> 51:11.360]  that Amaral Alaki died secretly at the Pentagon
[51:11.360 --> 51:13.360]  and got walking orders from the Pentagon brass
[51:13.360 --> 51:15.360]  AP Fox News
[51:15.360 --> 51:17.360]  can you figure out that we broke before it was even in congressional testimony
[51:17.360 --> 51:19.360]  for my witnesses at the U.S.
[51:19.360 --> 51:21.360]  government got the underwear Christmas Day
[51:21.360 --> 51:23.360]  bomber on the plane two years ago
[51:23.360 --> 51:25.360]  for two months
[51:25.360 --> 51:27.360]  that was not in the news you heard it here first
[51:27.360 --> 51:29.360]  because the people that witnessed it
[51:29.360 --> 51:31.360]  are my listeners
[51:31.360 --> 51:33.360]  and the media said they were full of baloney and then it came out
[51:33.360 --> 51:35.360]  it was all true in congressional testimony
[51:35.360 --> 51:37.360]  and the Congress said let's just move on
[51:37.360 --> 51:39.360]  the government got him on the plane
[51:39.360 --> 51:41.360]  let's just move on national security
[51:41.360 --> 51:43.360]  you bet they did
[51:43.360 --> 51:45.360]  to put those naked body scanners in
[51:45.360 --> 51:47.360]  so they can train you to be a good little slave
[51:49.360 --> 51:51.360]  now here's the deal I want to get into the internet situation
[51:51.360 --> 51:53.360]  and this global
[51:53.360 --> 51:55.360]  announcement to shut down free speech and how they're going to do it
[51:55.360 --> 51:57.360]  as I've been telling you for a decade
[51:57.360 --> 51:59.360]  how did I know
[51:59.360 --> 52:01.360]  there's a consortium called internet 2
[52:01.360 --> 52:03.360]  they've met in Austin
[52:03.360 --> 52:05.360]  they've met in London
[52:05.360 --> 52:07.360]  they've met in Tokyo
[52:07.360 --> 52:09.360]  it's made up of major corporations
[52:09.360 --> 52:11.360]  and big government institutions and universities
[52:11.360 --> 52:13.360]  and they openly a decade ago
[52:13.360 --> 52:15.360]  well actually the first meeting I saw
[52:15.360 --> 52:17.360]  was in 2000 so 12 years
[52:17.360 --> 52:19.360]  ago almost
[52:19.360 --> 52:21.360]  11 plus years ago they
[52:21.360 --> 52:23.360]  they said how they were going to do the whole thing
[52:23.360 --> 52:25.360]  and again I'm absolutely right again
[52:25.360 --> 52:27.360]  not because I'm smart
[52:27.360 --> 52:29.360]  you know when I learned that the enemy tells me
[52:29.360 --> 52:31.360]  exactly what they're going to do
[52:31.360 --> 52:33.360]  like I was a football coach and the other coach walked over
