[00:00.000 --> 00:15.000]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[35:33.000 --> 35:38.000]  Look we sent in our aircraft. I don't see any reason why we shouldn't send in our ground troops.
[35:38.000 --> 35:47.000]  You saw what the Iranians said that this effort by your country and others was illegal in Syria.
[35:47.000 --> 35:50.000]  What about his troops being on the ground killing Syrians?
[35:50.000 --> 36:02.000]  This is the irony and if you like the rather arrogant attitude that they give themselves the license to send troops to kill Syrians
[36:02.000 --> 36:07.000]  but then when we try to defend the Syrian people they say that is illegal.
[36:07.000 --> 36:08.000]  That's unacceptable.
[36:11.000 --> 36:12.000]  That's pretty amazing.
[36:12.000 --> 36:17.000]  They have done everything they can to come after Syria.
[36:17.000 --> 36:21.000]  They don't even make alliances with Israel, the Saudis.
[36:21.000 --> 36:24.000]  So I mean that's pretty disingenuous to see that.
[36:24.000 --> 36:30.000]  It's also the same sort of thing as we're talking about over the break about the Asymmetric Warfare Center in Virginia.
[36:30.000 --> 36:37.000]  When I was doing research on that before Joe Biggs and I went out there, I looked at their seminar that they had back in 2006
[36:37.000 --> 36:42.000]  talking about what had worked and what hadn't and Iraq basically most of it hadn't worked.
[36:42.000 --> 36:48.000]  But what they had learned was that what motivated these people was not religious extremism.
[36:48.000 --> 36:50.000]  They were very clear about that.
[36:50.000 --> 36:54.000]  They said they're motivated by the fact that they don't have any self-determination.
[36:54.000 --> 36:58.000]  They don't have any control over their lives because we've invaded them.
[36:58.000 --> 36:59.000]  That's what they're fighting against.
[36:59.000 --> 37:01.000]  I mean it's the same type.
[37:01.000 --> 37:06.000]  It's not some kind of Islamic caliphate that's really motivating this terrorism.
[37:06.000 --> 37:12.000]  And of course that's presuming that this is an organic natural resistance, a blowback.
[37:12.000 --> 37:13.000]  It's much deeper than that.
[37:13.000 --> 37:19.000]  This government has been, as you pointed out many times, training, equipping, fostering this,
[37:19.000 --> 37:22.000]  trying to come up with every excuse they can to get into Syria.
[37:22.000 --> 37:23.000]  Right.
[37:23.000 --> 37:31.000]  And every academic study, there's a Washington blog post article on this which basically goes through this.
[37:31.000 --> 37:36.000]  Every academic study proves that the main wellspring of terrorism in the Middle East
[37:36.000 --> 37:41.000]  is the fact that the US, the UK, the NATO countries are flooding the region with weapons,
[37:41.000 --> 37:42.000]  are bombing the area.
[37:42.000 --> 37:44.000]  This radicalizes the region.
[37:44.000 --> 37:45.000]  This creates terrorists.
[37:45.000 --> 37:51.000]  It has nothing to do with, as David Cameron said before the quote conspiracy theories.
[37:51.000 --> 37:57.000]  And then we have the nerve of Saudi Arabia to lecture us on combating terrorism
[37:57.000 --> 38:02.000]  when Saudi Arabia has beheaded more people in the last month alone
[38:02.000 --> 38:05.000]  than ISIS has beheaded since its foundation.
[38:05.000 --> 38:12.000]  Saudi Arabia, a country that treats female drivers as terrorists under their new anti-terror law,
[38:12.000 --> 38:20.000]  a theocratic dictatorship whose legal system is completely brutal, arcane, based on Sharia law,
[38:20.000 --> 38:26.000]  which ISIS embraces itself and yet they're supposedly engaging the attacks against ISIS.
[38:26.000 --> 38:33.000]  The 28 pages that were censored from the 9-11 commission report implicated Saudi Arabia in the attacks.
[38:33.000 --> 38:37.000]  And now we've got them lecturing us on how to fight terrorism.
[38:37.000 --> 38:38.000]  It's pretty rich, isn't it?
[38:38.000 --> 38:39.000]  Yeah.
[38:39.000 --> 38:40.000]  Yeah.
[38:40.000 --> 38:43.000]  And telling us that we need to commit money and personnel into this.
[38:43.000 --> 38:49.000]  This is clearly they have a lot of interest that they're not talking about in this area.
[38:49.000 --> 38:55.000]  They will allow them to even make allies with people like Israel that they say are their sworn enemies.
[38:55.000 --> 38:59.000]  They have an agenda here that is far beyond what they're saying.
[38:59.000 --> 39:06.000]  And we shouldn't forget that Saudi Arabia along with Qatar, Jordan, and here you see the graph.
[39:06.000 --> 39:12.000]  Charts show that U.S. policy has increased terror attacks in Iraq, in Afghanistan.
[39:12.000 --> 39:18.000]  If you scroll down the list there, since the U.S. invasion of Iraq in 2003,
[39:18.000 --> 39:26.000]  terrorist attacks have risen since the declaration of the war on terror in 2001, Iraq, Afghanistan,
[39:26.000 --> 39:29.000]  the Middle East in general.
[39:29.000 --> 39:33.000]  U.S. military involvement in the Middle East does not combat terrorism,
[39:33.000 --> 39:36.000]  which is again why we see these airstrikes on ISIS.
[39:36.000 --> 39:41.000]  It's not going to have the desired effect based on the past 15 years of history,
[39:41.000 --> 39:44.000]  even in Asia as you see from these graphs.
[39:44.000 --> 39:48.000]  It's had the opposite effect because they don't want a stable Middle East.
[39:48.000 --> 39:49.000]  That's the whole point.
[39:49.000 --> 39:54.000]  And in fact, another article that we can get to is defense contractors are making a killing.
[39:54.000 --> 39:59.000]  As a result of these airstrikes on ISIS, this is out of firstlook.org,
[39:59.000 --> 40:04.000]  defense contractor stocks have far exceeded the performance of the broader market.
[40:04.000 --> 40:10.000]  A Bloomberg index of the four largest Pentagon contractors rose 19% this year
[40:10.000 --> 40:14.000]  compared to 2.2% for the S&P 500.
[40:14.000 --> 40:17.000]  So again, ISIS are the best enemies money can buy.
[40:17.000 --> 40:22.000]  You know, in the United States there's a lot of talk about the infrastructure collapsing,
[40:22.000 --> 40:27.000]  the bridges are crumbling, 21 trillion in debt by the end of this year.
[40:27.000 --> 40:32.000]  But you know, don't worry, there's plenty of money available to bomb the terrorists
[40:32.000 --> 40:36.000]  that the United States, the Obama administration created in the first place.
[40:36.000 --> 40:41.000]  As a result of arming these jihadists in Syria, you see it there out of CNN.
[40:41.000 --> 40:43.000]  They wanted that with China to do this.
[40:43.000 --> 40:47.000]  Exactly. Defense stocks up big as ISIS crisis escalates.
[40:47.000 --> 40:53.000]  So the main beneficiaries from the bombardment of ISIS in Syria and Iraq
[40:53.000 --> 40:57.000]  are the military industrial complex that has a rotating door with Washington,
[40:57.000 --> 40:59.000]  with the Obama administration.
[40:59.000 --> 41:01.000]  They've got new profit centers.
[41:01.000 --> 41:03.000]  They always had the Cold War that was reliable for them.
[41:03.000 --> 41:07.000]  When that disappeared, they needed Islamic fundamentalists as a new profit center,
[41:07.000 --> 41:09.000]  terrorism as a new profit center.
[41:09.000 --> 41:14.000]  They were able to move that into a massive new business of equipping the police,
[41:14.000 --> 41:18.000]  militarizing the police, and now they've brought back the Cold War.
[41:18.000 --> 41:23.000]  So I mean, this is solid days for the military industrial complex.
[41:23.000 --> 41:25.000]  They've never seen anything like this.
[41:25.000 --> 41:30.000]  And I just want to point out too, just as they said in Foreign Affairs Magazine,
[41:30.000 --> 41:36.000]  just as the Asymmetric Warfare Center said, blowback is a real phenomenon in these areas.
[41:36.000 --> 41:42.000]  And it's when they go in and take away these people's self-determination that they then start,
[41:42.000 --> 41:47.000]  that makes them recruitable for these different groups.
[41:47.000 --> 41:51.000]  And what they do is at that point, they coalesce around the religion.
[41:51.000 --> 41:55.000]  In other words, the asymmetric operation, asymmetric warfare people,
[41:55.000 --> 41:59.000]  the counter-insurgency operations who had fought these people in Iraq said,
[41:59.000 --> 42:02.000]  it isn't being driven by religion.
[42:02.000 --> 42:07.000]  Instead, what we're coming in, taking over, invading these countries, denying them their self-determination,
[42:07.000 --> 42:12.000]  they have no economic future, that is driving them into religious extremism.
[42:12.000 --> 42:14.000]  So it's the opposite way around.
[42:14.000 --> 42:16.000]  And yet, they're coming in and saying it's religious extremism,
[42:16.000 --> 42:22.000]  so we need to take that down and then broadening that out to any criticism of 9-11,
[42:22.000 --> 42:28.000]  of 7-7, and of the government's official story, any criticism of the government, period.
[42:28.000 --> 42:32.000]  Exactly. And then we have Obama on CBS.
[42:32.000 --> 42:35.000]  We're going to get to his comments after the break.
[42:35.000 --> 42:41.000]  But he basically acknowledged that the growth of ISIS or ISIL in the Middle East, in Syria and Iraq,
[42:41.000 --> 42:45.000]  was directly as a result of the destabilization of Syria.
[42:45.000 --> 42:51.000]  Of course, what he didn't say were the causes, were the influences that led to the destabilization of Syria,
[42:51.000 --> 42:53.000]  which was the arming of the so-called moderate rebels.
[42:53.000 --> 42:59.000]  We'll get to that after the break. The Alex Jones Show, stay tuned infowars.com.
[43:23.000 --> 43:25.000]  InfidelBodyArmor.com
[43:25.000 --> 43:54.000]  InfidelBodyArmor.com
[43:55.000 --> 43:57.000]  888-253-3139
[43:57.000 --> 43:59.000]  DNA Force
[43:59.000 --> 44:05.000]  General, what do you think about the FBI saying that there's a terror alert on Monday about a potential foretold situation?
[44:05.000 --> 44:08.000]  The police are shoving people, shoving Alex, shoving the crowd.
[44:08.000 --> 44:10.000]  Here we go. It's not being assigned to them.
[44:10.000 --> 44:14.000]  Whether it's the radio show, the news websites, documentary films, or the nightly news,
[44:14.000 --> 44:16.000]  infowars is the tip of the spear.
[44:16.000 --> 44:20.000]  Is this another false-flight stage attack to take our civil liberties and promote Homeland Security?
[44:20.000 --> 44:22.000]  Are we sticking our hands down on our pants on the streets?
[44:22.000 --> 44:26.000]  It's up to us to set brush fires in the minds of men and women everywhere,
[44:26.000 --> 44:29.000]  and that's what PrisonPlanet.tv is designed to do.
[44:29.000 --> 44:37.000]  You watch the Assad regime is going to be blamed or accused of using chemical weapons against the so-called rebels.
[44:37.000 --> 44:41.000]  What we see now is a war against reality. It's a war against the truth.
[44:41.000 --> 44:46.000]  It's more vital than ever that supporters of freedom become members of PrisonPlanet.tv
[44:46.000 --> 44:50.000]  and share their membership with up to 11 friends and family.
[44:50.000 --> 44:55.000]  Visit infowarsnews.com today, become a member, share your membership,
[44:55.000 --> 45:21.000]  and help take the InfoWars to the next level.
[45:25.000 --> 45:52.000]  For more information, visit infowarsnews.com.
[45:52.000 --> 45:59.000]  Visit infowarsnews.com to get started with oxypowder or call 1-888-253-3139.
[46:22.000 --> 46:28.000]  If you'd like vitamin A, zinc, lutein, proprietary saffron bulb extracts and more,
[46:28.000 --> 46:36.000]  Occupower by InfoWarsLife is a new formulation specifically designed to nutritionally assist the natural function of healthy eyes.
[46:36.000 --> 46:40.000]  Optimize the natural power of your eyes with the latest addition to the
[46:40.000 --> 46:44.000]  Super High Quality InfoWarsLife Formulations, Occupower.
[46:44.000 --> 46:53.000]  Go to infowarslife.com or infowarsstore.com to order Occupower or call 1-888-253-3139.
[46:53.000 --> 47:21.000]  Occupower, open your eyes.
[47:21.000 --> 47:33.000]  It's a raging war on corruption. It's Alex Jones.
[47:33.000 --> 47:39.000]  It's the Alex Jones Show Sunday edition with me, Paul Joseph Watson and David Knight.
[47:39.000 --> 47:45.000]  We're going to go to this CBS news clip where Obama gave some very interesting comments today.
[47:45.000 --> 47:55.000]  Regarding ISIS, he basically acknowledged that the growth of ISIS in Syria and Iraq came about as a result of the destabilization of Syria,
[47:55.000 --> 48:02.000]  which of course was the direct result of the U.S. arming the moderate rebels against the Assad government.
[48:02.000 --> 48:11.000]  Obama didn't admit that in his quote, but he certainly went kind of a limited hangout some part of the way to acknowledging that situation.
[48:11.000 --> 48:15.000]  So here's the clip from CBS News.
[48:42.000 --> 48:47.000]  Our Marines were able to quash with the help of Sunni tribes.
[48:47.000 --> 48:55.000]  They went back underground, but over the past couple of years during the chaos of the Syrian Civil War,
[48:55.000 --> 49:00.000]  where essentially you have huge swaths of the country that are completely ungoverned,
[49:00.000 --> 49:10.000]  they were able to reconstitute themselves and take advantage of that chaos and attract foreign fighters who believed in their jihadist nonsense
[49:10.000 --> 49:19.000]  and traveled everywhere from Europe to the United States to Australia to other parts of the Muslim world converging on Syria.
[49:19.000 --> 49:23.000]  And so this became ground zero for jihadists around the world.
[49:23.000 --> 49:26.000]  And they've been very savvy in terms of their social media.
[49:26.000 --> 49:36.000]  In some cases you have old remnants of Saddam Hussein's military that had been expunged from the Iraqi military,
[49:36.000 --> 49:43.000]  which gave them some traditional military capacity and not just terrorist capacity.
[49:43.000 --> 49:51.000]  And this is one of the challenges that we're going to have generally is where you've got states that are failing or in the midst of civil war.
[49:51.000 --> 49:54.000]  These kinds of organizations thrive.
[49:54.000 --> 49:59.000]  That's why it's so important for us to recognize part of our solution here is going to be military.
[49:59.000 --> 50:03.000]  We just have to push them back and shrink their case.
[50:03.000 --> 50:10.000]  Obama is basically acknowledging that with the rise of jihadists destabilization in Syria,
[50:10.000 --> 50:13.000]  of course in Libya as well, that's where terrorists thrive.
[50:13.000 --> 50:16.000]  Because we know in Libya they arm the jihadists.
[50:16.000 --> 50:17.000]  I mean, look at Libya now.
[50:17.000 --> 50:19.000]  It's a complete failed state.
[50:19.000 --> 50:24.000]  Drug lords, gangs of terrorist militants are running the country.
[50:24.000 --> 50:33.000]  Black people are locked up in concentration camps as a direct result of U.S. airstrikes on Libya in 2011.
[50:33.000 --> 50:37.000]  We're seeing that same process again unfolding in Syria.
[50:37.000 --> 50:42.000]  So they destabilize the governments of Assad, of Gaddafi.
[50:42.000 --> 50:48.000]  The secular, mainly moderate, of course, they were proxy dictatorships in a sense,
[50:48.000 --> 50:54.000]  there were no mass terrorist attacks and destabilization campaigns in Libya, in Syria,
[50:54.000 --> 51:00.000]  before the United States, the United Kingdom and the NATO countries started arming these jihadist rebels.
[51:00.000 --> 51:06.000]  So Obama talks about, quote, jihadist nonsense in this CBS interview.
[51:06.000 --> 51:10.000]  They funded, they bankrolled, they armed the jihadist nonsense to begin with.
[51:10.000 --> 51:16.000]  The terrorists from Libya crossed into Syria to start that destabilization campaign.
[51:16.000 --> 51:21.000]  I thought that it was interesting that, you know, he goes some way to acknowledging that
[51:21.000 --> 51:26.000]  the primary cause of the growth of ISIS was the destabilization of these countries
[51:26.000 --> 51:32.000]  without admitting to the fact that it was the United States foreign policy in alignment with NATO,
[51:32.000 --> 51:38.000]  which was a deliberate attempt to create that destabilization in the first place,
[51:38.000 --> 51:44.000]  which of course led to Syria, led to the growth of ISIS, led to Benghazi.
[51:44.000 --> 51:49.000]  And basically this jihadist control over the region. David, no.
[51:49.000 --> 51:52.000]  I thought it was interesting that he's talking about jihadists from around the world.
[51:52.000 --> 51:55.000]  Just as I had mentioned, they were trying to sell the narrative about a month ago
[51:55.000 --> 51:58.000]  that there were 300 Americans that had gone over there to fight.
[51:58.000 --> 52:02.000]  Turns out it's not even that. Now they're admitting the FBI is saying maybe 12.
[52:02.000 --> 52:08.000]  That's hardly an international movement that we need to be concerned about.
[52:08.000 --> 52:11.000]  But it really shows, just look at the last couple of years.
[52:11.000 --> 52:15.000]  We've been pointing out the fake Seren gas attacks that they had a year ago,
[52:15.000 --> 52:19.000]  trying to lay that solely on the Syrian administration.
[52:19.000 --> 52:23.000]  And then earlier than that, there had been some other Seren gas attacks.
[52:23.000 --> 52:31.000]  And you had, after we were pointing out that there were reports that it was done by the Saudis
[52:31.000 --> 52:33.000]  or reports that it was not from Assad.
[52:33.000 --> 52:38.000]  And there were reports that back earlier in the spring, it had been a homegrown Seren gas.
[52:38.000 --> 52:42.000]  And of course, they were trying to sell the narrative that only the Assad regime could have Seren gas.
[52:42.000 --> 52:47.000]  And at that point, you had even the American military join with you and inspectors
[52:47.000 --> 52:52.000]  and with Russian inspectors and say, yeah, they do have the capability to do Seren gas.
[52:52.000 --> 52:56.000]  So that whole thing fizzled away, but they've looked for every kind of excuse they can
[52:56.000 --> 53:01.000]  to provoke an involvement of American forces in Syria because their ultimate goal,
[53:01.000 --> 53:06.000]  as we've been told for a long time, is to take down the Syrian regime.
[53:06.000 --> 53:10.000]  That's one of the regimes on the list to be taken down.
[53:10.000 --> 53:12.000]  And that's what the Saudi...
[53:12.000 --> 53:16.000]  Yeah, where's the clock? The seven countries to be taken down in the aftermath of 9-11.
[53:16.000 --> 53:18.000]  That's what the Saudi prince admitted earlier.
[53:18.000 --> 53:24.000]  The ultimate agenda behind targeting ISIS is to affect regime change in Syria.
[53:24.000 --> 53:26.000]  So that's now an open secret.
[53:26.000 --> 53:32.000]  We're going to switch now in the last four or five minutes in this segment to this foreign affairs piece,
[53:32.000 --> 53:35.000]  which of course is the publication of the CFR.
[53:35.000 --> 53:40.000]  It's the conversations that the elite are having with each other.
[53:40.000 --> 53:43.000]  You can see it here, the American disc temper.
[53:43.000 --> 53:48.000]  When polarization confronts the United States, Madisonian check and balance political system,
[53:48.000 --> 53:51.000]  the result is devastating.
[53:51.000 --> 53:55.000]  And what this article is about, it's a 9-10 page article,
[53:55.000 --> 54:01.000]  amidst a selection of other articles, it's basically almost half of the magazine
[54:01.000 --> 54:07.000]  in this September-October edition, is about the blind panic that the elite finds itself in
[54:07.000 --> 54:14.000]  as a result of the growth of the disc temper, as they call it, the populist uprising.
[54:14.000 --> 54:19.000]  There you see it on the CFR website, America in Decay, the sources of political dysfunction.
[54:19.000 --> 54:21.000]  And it's talking about how they need to...
[54:21.000 --> 54:24.000]  Here's a quote directly from the article,
[54:24.000 --> 54:31.000]  it's learned to co-opt, co-opt, that's the key phrase, and channel popular passions addressing
[54:31.000 --> 54:38.000]  political outsiders' legitimate grievances while bypassing their simplistic solutions.
[54:38.000 --> 54:44.000]  So they admit that this populist uprising, which mainly focuses on the decline in living standards
[54:44.000 --> 54:48.000]  in both the United States and Europe over the past 25 years,
[54:48.000 --> 54:53.000]  and the crisis in national identity as a result of mass immigration,
[54:53.000 --> 54:57.000]  it's a genuine issue, it's a legitimate concern that many people have,
[54:57.000 --> 55:02.000]  but what their solution to it is not to actually address the problem itself,
[55:02.000 --> 55:09.000]  but to hijack, to co-opt those populist uprisings endemic within the Tea Party,
[55:09.000 --> 55:15.000]  the UK Independence Party in the United Kingdom, and numerous other parties throughout Europe,
[55:15.000 --> 55:21.000]  the True Finn Party in Finland, Marine Le Pen in France and several others.
[55:21.000 --> 55:26.000]  So they need to hijack that, they need to divert it into separate channels
[55:26.000 --> 55:33.000]  so it gets shut down, so it gets closeted away, so nobody actually faces up to the problem.
[55:33.000 --> 55:36.000]  And it's amazing that they're admitting this.
[55:36.000 --> 55:40.000]  David Knight, how does this tie into what you've been researching earlier?
[55:40.000 --> 55:46.000]  We mentioned Catalonia and the wave of populist rebellion
[55:46.000 --> 55:49.000]  against the establishment system throughout Europe and the US.
[55:49.000 --> 55:55.000]  A lot of small countries are wanting to basically take back their self-governance.
[55:55.000 --> 55:59.000]  We see this happening throughout Europe, there's pockets of it happening in America.
[55:59.000 --> 56:02.000]  We see dissatisfaction out in California, for example.
[56:02.000 --> 56:06.000]  Some of the counties there want to secede from the state of California
[56:06.000 --> 56:10.000]  because they have a different view of a lot of different issues,
[56:10.000 --> 56:12.000]  whether it's gun control or other issues.
[56:12.000 --> 56:15.000]  So this is something that is definitely happening,
[56:15.000 --> 56:19.000]  but we all need to remember that this is really kind of, what they're talking about here,
[56:19.000 --> 56:22.000]  is essentially like the Cointel programs that we've seen in the past,
[56:22.000 --> 56:25.000]  where they go in and they take over any and every movement.
[56:25.000 --> 56:31.000]  They may come in and have some people who try to turn it into a violent movement.
[56:31.000 --> 56:36.000]  If it's a peaceful movement, they may come in and actually provoke things as agent provocateurs.
[56:36.000 --> 56:39.000]  We've seen that happen over and over again in the past.
[56:39.000 --> 56:41.000]  Or they may do what David Cameron did earlier,
[56:41.000 --> 56:43.000]  and that is they just come in and say,
[56:43.000 --> 56:45.000]  we're going to resort to outright censorship.
[56:45.000 --> 56:47.000]  We're going to shut you down that way.
[56:47.000 --> 56:49.000]  So they don't ever put all their eggs in one basket.
[56:49.000 --> 56:52.000]  They don't count on being able to completely shut people down.
[56:52.000 --> 56:55.000]  They want to also be able to covertly take over these movements,
[56:55.000 --> 56:58.000]  make them look bad, or completely take over the leadership of them.
[56:58.000 --> 57:00.000]  We'll get into it more after the break.
[57:00.000 --> 57:04.000]  We're going to take your calls 877-789-2539.
[57:04.000 --> 57:07.000]  That's 877-789-2539.
[57:07.000 --> 57:10.000]  It's the Alex Jones Show this Sunday edition.
[57:10.000 --> 57:13.000]  Back after the break, infowars.com. Stay tuned.
[57:40.000 --> 57:56.000]  When you're out on the road, the last place you want to be is on the road.
[57:56.000 --> 58:01.000]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[58:01.000 --> 58:10.000]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[58:10.000 --> 58:18.000]  They so pride in every stitch guarantee you love the way they fit.
[58:18.000 --> 58:23.000]  They put a diamond gusset in the crotch where you need it most.
[58:23.000 --> 58:28.000]  Blue diamond gussets got it, others don't.
[58:28.000 --> 58:32.000]  We turned jeans inside out, diamond gusset jeans.
[58:32.000 --> 58:35.000]  Made in the USA with unparalleled quality.
[58:35.000 --> 58:39.000]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection
[58:39.000 --> 58:42.000]  so you can ride all day with confidence.
[58:42.000 --> 58:44.000]  Order yours at gusset.com.
[58:44.000 --> 58:59.000]  Diamond gusset jeans got it, others don't.
[59:15.000 --> 59:21.000]  To stay safe and healthy during a crisis, you must have access to safe clean water.
[59:21.000 --> 59:25.000]  Water which will not be available at your local grocery store.
[59:25.000 --> 59:28.000]  There's a mad dash on right now to stock up on supplies.
[59:28.000 --> 59:35.000]  The Pro Pure Pro 1 G2.0 water filtration system is a must have for every modern independently minded household.
[59:35.000 --> 59:38.000]  Protect your family's safety during an emergency.
[59:38.000 --> 59:45.000]  Go to infowarstore.com today to purchase your Pro Pure Pro 1 G2.0 water filtration system
[59:45.000 --> 01:00:11.000]  or call 1-88-253-3139.
[01:00:15.000 --> 01:00:35.000]  It's Paul Joseph Watson on The Alex Jones Show with David Knight this Sunday edition.
[01:00:35.000 --> 01:00:38.000]  We got a lot of interesting guests coming up later this week.
[01:00:38.000 --> 01:00:42.000]  I'm going to be back in studio on Wednesday through Friday.
[01:00:42.000 --> 01:00:47.000]  A lot of really good guests lined up so be sure to mark that in your diary.
[01:00:47.000 --> 01:00:50.000]  We got some calls coming up after the next break.
[01:00:50.000 --> 01:00:53.000]  Byron in Pennsylvania is going to be first up.
[01:00:53.000 --> 01:01:00.000]  But for the moment we're talking about this foreign affairs article which is of course the CFR's publication.
[01:01:00.000 --> 01:01:05.000]  Basically the CFR runs the State Department in the United States as Hillary Clinton admitted.
[01:01:05.000 --> 01:01:10.000]  And they're talking about the populist uprising both in America and throughout Europe.
[01:01:10.000 --> 01:01:12.000]  And this is interesting.
[01:01:12.000 --> 01:01:17.000]  I mean I highlighted several passages of the article earlier today.
[01:01:17.000 --> 01:01:18.000]  Here's a quote.
[01:01:18.000 --> 01:01:26.000]  And yet when most Westerners hear the word democracy today, what they picture is a political atmosphere that is respectful, predictable
[01:01:26.000 --> 01:01:34.000]  and a little staid, a system in which a small number of long standing political parties alternate in government on a semi-regular basis
[01:01:34.000 --> 01:01:39.000]  resulting in reasonably moderate changes to public policy.
[01:01:39.000 --> 01:01:48.000]  So basically that is the CFR admitting their agenda to keep the two-party monopoly in place both in the United States
[01:01:48.000 --> 01:01:53.000]  with the Republicans and the Democrats and in the UK with the Tories and the Labour Party.
[01:01:53.000 --> 01:02:01.000]  The threat to that system in the UK is the UK independence party and of course the Tea Party sentiment
[01:02:01.000 --> 01:02:06.000]  rising in some factions of the Republican Party in the United States.
[01:02:06.000 --> 01:02:12.000]  And basically in this article they admit that, I mean here's another quote.
[01:02:12.000 --> 01:02:16.000]  You really need to get a hold of this if you can get your hands on the magazine.
[01:02:16.000 --> 01:02:21.000]  Quote, to harness the passion of the populist to the cause of reinvigorating governance
[01:02:21.000 --> 01:02:27.000]  but without helping them kindle the flames of an anti-democratic revolt.
[01:02:27.000 --> 01:02:35.000]  So they're admitting they need to harness the power of the populist uprising to reinforce the power of the state
[01:02:35.000 --> 01:02:40.000]  which of course runs completely opposite to the goal of this populist uprising
[01:02:40.000 --> 01:02:46.000]  which is to work towards smaller government, towards anti-status objectives.
[01:02:46.000 --> 01:02:52.000]  So the fact that they're talking about co-opting this movement to increase the power of the state
[01:02:52.000 --> 01:03:01.000]  and later they talk about wealth redistribution is absolutely amazing that it's so brazen in the CFR's own publication.
[01:03:01.000 --> 01:03:03.000]  David Knight, your comments on this.
[01:03:03.000 --> 01:03:08.000]  We've already seen that Paul. We've seen it with both the Tea Party as well as with the Occupied Movement
[01:03:08.000 --> 01:03:13.000]  that both of the mainstream political parties have moved in to co-op those movements to take them over.
[01:03:13.000 --> 01:03:20.000]  They're born out of frustration fundamentally both of them with the banking system and the abuses of the central banks
[01:03:20.000 --> 01:03:24.000]  and the very large powerful banks that are too big to jail as Eric Holder put it.
[01:03:24.000 --> 01:03:30.000]  That was the initial movement of the Tea Party where they came out by some people's account,
[01:03:30.000 --> 01:03:35.000]  half a million people went to Washington to protest the banker bailouts
[01:03:35.000 --> 01:03:40.000]  and of course the left's Occupied Movement is also upset about what the bankers are doing
[01:03:40.000 --> 01:03:44.000]  so what they do is both parties try to co-op that, both parties try to shut that down.
[01:03:44.000 --> 01:03:47.000]  The Republicans don't want to see Tea Party candidates elected.
[01:03:47.000 --> 01:03:54.000]  They've got their own mainstream candidates who very much like the situation in Hong Kong are vetted by the elitists.
[01:03:54.000 --> 01:03:58.000]  China wants to vet any candidate that appears on the ballot in Hong Kong.
[01:03:58.000 --> 01:04:03.000]  That's why we've got thousands of students protesting and that's now turned into a violent protest
[01:04:03.000 --> 01:04:07.000]  whether that was started by agent provocateurs or whether it was started by the police
[01:04:07.000 --> 01:04:10.000]  or whether it was just some hotheads who knows because we've seen that happen as well.
[01:04:10.000 --> 01:04:13.000]  We've seen agent provocateurs and co-intel programs.
[01:04:13.000 --> 01:04:19.000]  That is essentially what's happening but very often we don't hear that admitted in America.
[01:04:19.000 --> 01:04:26.000]  That's what's unusual about this is that the CFR which essentially has controlled the State Department in America
[01:04:26.000 --> 01:04:30.000]  since its creation even though Reagan wasn't a member of the CFR,
[01:04:30.000 --> 01:04:33.000]  the first president since its foundation did not be a member,
[01:04:33.000 --> 01:04:38.000]  he subsequently appointed 300 people from the CFR into the State Department.
[01:04:38.000 --> 01:04:41.000]  It's amazing. We're going to get more into this after the break.
[01:04:41.000 --> 01:04:46.000]  We're going to take your calls. John Rappaport is coming up to talk about Ebola and the CDC whistleblower.
[01:04:46.000 --> 01:04:58.000]  For the Alex Jones show, liveinfowars.com, stay tuned.
[01:05:17.000 --> 01:05:28.000]  DNA Force.
[01:05:28.000 --> 01:05:32.000]  The government's Department of Homeland Security is buying up loads of ammo.
[01:05:32.000 --> 01:05:36.000]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[01:05:36.000 --> 01:05:38.000]  Can you put two and two together?
[01:05:38.000 --> 01:05:43.000]  Infidel body armor can stop every round including hollow points and 308 sniper rounds.
[01:05:43.000 --> 01:05:47.000]  This is reasonably priced and fully legal, but for how long?
[01:05:47.000 --> 01:05:53.000]  Go to infidelbodyarmor.com, spelled I-N-F-I-D-E-L body armor.com.
[01:05:53.000 --> 01:06:22.000]  Infidel body armor just won't quit.
[01:06:22.000 --> 01:06:28.000]  There is a war. It's happening now. It will decide the fate of humanity.
[01:06:28.000 --> 01:06:44.000]  The time to choose sides has come. We are the Resistance. We are the Info War.
[01:06:44.000 --> 01:06:53.000]  It's the Alex Jones show on this Sunday live edition, September 28, 2014.
[01:06:53.000 --> 01:07:01.000]  We're going to go to your calls now. First up is Byron in Pennsylvania, who wants to talk about a shelter-in-place warning in Pennsylvania.
[01:07:01.000 --> 01:07:03.000]  Byron, go ahead.
[01:07:03.000 --> 01:07:14.000]  Yes, it's Byron, but anyway, I'm surprised I wasn't picked up or covered here because it's pretty big.
[01:07:14.000 --> 01:07:16.000]  They've been searching people's houses and everything for this guy that shot up police barracks.
[01:07:16.000 --> 01:07:20.000]  Is that a breaking story? Did that happen just recently?
[01:07:20.000 --> 01:07:24.000]  That actually happened over a week ago and it's still happening.
[01:07:24.000 --> 01:07:30.000]  Right, so they've got areas of Pennsylvania locked down then because of this incident.
[01:07:30.000 --> 01:07:35.000]  So what's happening there?
